simplified	TR	example_TR
吐	kusmak	Kendini iyi hissetmiyor, kusmak istiyor.
团	grup	Bir tur grubuna katıldık.
推辞	geri çevirmek	Arkadaşının davetini geri çevirdi.
推广	tanıtmak; yaygınlaştırmak	Şirket yeni ürünü tanıtıyor.
推荐	tavsiye etmek	Öğretmen bu kitabı tavsiye etti.
退	geri çekilmek	Lütfen bir adım geri çekil.
退步	gerilemek	Pratik yapmazsan seviyen geriler.
退休	emekli olmak	Gelecek yıl emekli olacak.
歪	eğri	Bu tablo eğri asılmış.
外公	anne tarafından dede	Anne tarafından dedem bu yıl seksen yaşında.
外交	diplomasi	Uluslararası ilişkiler ve diplomasi okuyor.
完美	mükemmel	Bu plan mükemmel değil.
完善	iyileştirmek	Hizmet sürecini iyileştirmemiz gerekiyor.
完整	tam; eksiksiz	Lütfen bana eksiksiz bir rapor verin.
玩具	oyuncak	Çocuk oyuncakları kutuya koydu.
万一	olur da	Olur da yağmur yağarsa başka gün gideriz.
王子	prens	Hikayedeki prens çok cesurdu.
往返	gidiş dönüş	Bu bilet aynı gün gidiş dönüşe izin verir.
网络	ağ	Buradaki ağ bağlantısı çok kararlı.
危害	zarar vermek	Sigara sağlığa zarar verir.
威胁	tehdit etmek	Kirlilik nehri tehdit ediyor.
微笑	gülümsemek	Bana gülümsedi.
唯一	tek	Bu tek yöntemdir.
围巾	atkı	Kışın atkı takar.
围绕	etrafında dönmek	Tartışma bu konu etrafında gelişti.
维修	bakım; tamir	Asansör tamirde.
违反	ihlal etmek	Bunu yapmak kuralları ihlal eder.
伟大	büyük	Bu büyük bir keşiftir.
委屈	haksızlığa uğramış hissetmek	Kendini çok haksızlığa uğramış hissetti.
尾巴	kuyruk	Yavru köpek kuyruğunu sallıyordu.
位于	yer almak	Okul şehir merkezinde yer alıyor.
位置	yer; konum	Bu yer çok sakin.
未必	mutlaka değil	Söylediği şey mutlaka doğru olmayabilir.
未来	gelecek	Gelecek için hazırlık yapmalıyız.
胃	mide	Midem biraz rahatsız.
胃口	iştah	Bugün iştahı çok iyi.
温暖	sıcak	İlkbahar güneşi çok sıcak.
温柔	nazik; yumuşak	O çok nazik konuşuyor.
文件	belge	Lütfen belgeyi bana gönder.
文具	kırtasiye malzemeleri	Çantada çok kırtasiye malzemesi var.
文明	uygar; medeniyet	Sıraya girmek uygar bir davranıştır.
文学	edebiyat	Çin edebiyatını seviyor.
文字	yazı	Bu yazıları okumak zor.
闻	koklamak; duymak	Çiçek kokusu aldım.
吻	öpmek	Anne çocuğun yanağını öptü.
稳定	istikrarlı	Fiyatlar istikrarlı kalıyor.
问候	selam iletmek	Lütfen ailene selamımı ilet.
卧室	yatak odası	Yatak odasında büyük bir yatak var.
握手	el sıkışmak	Karşılaştıklarında el sıkıştılar.
屋子	oda	Odanın içi çok sıcak.
无奈	çaresiz	Çaresizce başını salladı.
无数	sayısız	Gece gökyüzünde sayısız yıldız var.
无所谓	fark etmez	Ne yemek istediğin fark etmez.
武术	dövüş sanatı	Küçüklüğünden beri dövüş sanatı öğreniyor.
勿	-yapmayınız	Lütfen burada sigara içmeyiniz.
物理	fizik	Fizik dersi çok ilginç.
物质	madde	Su önemli bir maddedir.
雾	sis	Sabah yoğun sis vardı.
吸取	ders çıkarmak	Bu dersten ders çıkarmalıyız.
吸收	emmek; soğurmak	Bitkiler suyu emer.
戏剧	tiyatro; drama	Geleneksel tiyatro izlemeyi sever.
系	bölüm	Çince bölümünde okuyor.
系统	sistem	Bu sistem istikrarlı çalışıyor.
细节	ayrıntı	Lütfen bu ayrıntılara dikkat edin.
瞎	körü körüne	Körü körüne tahmin etme, önce kaynaklara bak.
下载	indirmek	Bu yazılımı indirdim.
吓	korkutmak	Ani ses beni ürküttü.
夏令营	yaz kampı	Çocuk Çince yaz kampına katıldı.
鲜艳	parlak renkli	Bu eteğin rengi çok parlak.
显得	göstermek	Bu kıyafet onu çok genç gösteriyor.
显然	açıkça	Açıkça sonucu zaten biliyor.
显示	göstermek	Ekran saati yanlış gösteriyor.
县	ilçe	Bu ilçede çok çay bahçesi var.
现代	modern	Modern yaşam internetsiz olmaz.
现实	gerçeklik	Gerçeklikle yüzleşmeliyiz.
现象	olgu	Bu olgu çok yaygındır.
限制	sınırlamak	Burada araç girişi sınırlıdır.
相处	geçinmek	Çok iyi geçiniyorlar.
相当	oldukça	Bu kitap oldukça ilginç.
相对	nispeten	Burada fiyatlar nispeten ucuz.
相关	ilgili	Lütfen ilgili belgeleri sağlayın.
相似	benzer	Bu iki karakterin anlamları çok benzer.
香肠	sosis	Kahvaltıda yumurta ve sosis var.
享受	keyfini çıkarmak	Tatilin keyfini çıkarıyorlar.
想念	özlemek	Ailemi çok özlüyorum.
想象	hayal etmek	O tür bir yaşamı hayal edemiyorum.
象棋	Çin satrancı	Dedem Çin satrancı oynamayı sever.
象征	simgelemek	Beyaz çoğu zaman saflığı simgeler.
项	madde; görev	Bu görev çok önemlidir.
项链	kolye	Gümüş bir kolye takıyor.
项目	proje	Bu proje üç ay gerektiriyor.
消费	tüketim; harcamak	Tatil döneminde tüketim arttı.
消化	sindirmek	Yemekten sonra yürümek sindirime yardımcı olur.
消极	olumsuz	Sorunlara olumsuz bir tavırla bakma.
消失	kaybolmak	Güneş yavaşça dağın arkasında kayboldu.
销售	satmak	Bu şirket elektronik ürünler satıyor.
小麦	buğday	Kuzeyde çok buğday ekilir.
小气	cimri	Bu kadar cimri olma.
孝顺	anne babaya bağlı	Anne babasına çok bağlıdır.
效率	verimlilik	Böyle yapmak verimliliği artırabilir.
歇	dinlenmek	Önce biraz dinlenelim.
斜	eğik	Bu yol biraz eğik.
写作	yazma	Yazma uzun süreli pratik gerektirir.
心理	psikoloji; zihinsel durum	Sınavdan önce zihinsel durumu ayarlamak gerekir.
心脏	kalp	Kalp sağlığı çok önemlidir.
欣赏	takdir etmek; seyretmek	Güzel manzarayı seyrettik.
信号	sinyal	Burada cep telefonu sinyali kötü.
信任	güvenmek	Arkadaşlar arasında güven gerekir.
形成	oluşmak	İyi alışkanlıklar yavaş yavaş oluşur.
形容	betimlemek	Bu duyguyu nasıl betimleyeceğimi bilmiyorum.
形势	durum	Şu anki durum oldukça karmaşık.
形式	biçim	Toplantı çevrim içi biçimde yapılabilir.
形象	imaj	Onun kamuoyu imajı çok iyi.
形状	şekil	Bu kutunun şekli çok özel.
行动	harekete geçmek	Hemen harekete geçmemiz gerekiyor.
行人	yaya	Yoldan geçerken yayalara dikkat et.
行为	davranış	Bu tür davranış kibar değildir.
幸亏	iyi ki	İyi ki bana hatırlattın.
幸运	şanslı	İş bulduğu için çok şanslıydı.
性质	nitelik	Bu sorunun niteliği çok ciddi.
兄弟	kardeşler	İki kardeşin ilişkisi çok iyi.
胸	göğüs	Göğsünde biraz sıkışma hissediyor.
休闲	boş zaman	Hafta sonu dinlenmek için iyi zamandır.
修改	düzeltmek	Lütfen bu makaleyi düzeltin.
虚心	açık fikirli	Görüşleri açık fikirle dinlemeliyiz.
叙述	anlatmak	Olanları açıkça anlattı.
宣布	duyurmak	Okul yeni kuralları duyurdu.
宣传	tanıtmak	Çevre koruma bilgisini tanıtıyorlar.
学历	eğitim düzeyi	Bu iş lisans eğitim düzeyi gerektiriyor.
学术	akademik	Bu toplantı akademik konuları tartışıyor.
学问	bilgi	O çok bilgili biridir.
血	kan	Elinden biraz kan aktı.
寻找	aramak	Yeni bir yöntem arıyoruz.
询问	sormak	Öğretmene sınav saatini sordu.
训练	antrenman yapmak	Sporcu her gün düzenli antrenman yapıyor.
迅速	hızlı	Haber hızla yayıldı.
押金	depozito	Ev kiralamak depozito ödemeyi gerektirir.
牙齿	diş	Lütfen dişlerine her gün iyi bak.
严肃	ciddi	Öğretmenin yüz ifadesi çok ciddiydi.
延长	uzatmak	Toplantı yarım saat uzadı.
演讲	konuşma	Yarınki konuşmasını hazırlıyor.
宴会	ziyafet	Bir ziyafete katıldılar.
阳台	balkon	Balkonda birkaç saksı çiçek var.
痒	kaşınmak	Kolum biraz kaşınıyor.
样式	tarz	Bu tarz çok popüler.
腰	bel	Uzun süre oturunca bel ağrıyabilir.
摇	sallamak	Rüzgar dalları ileri geri salladı.
咬	ısırmak	Bu köpek insan ısırmaz.
要不	nasıl olur	Yarın tekrar gitsek nasıl olur?
业务	iş; hizmet	Şirketin işleri giderek artıyor.
业余	boş zaman	Boş zamanlarında fotoğrafçılık öğreniyor.
夜	gece	Gece sokak çok sakindi.
依然	hâlâ	Hâlâ Pekin'de yaşıyor.
一辈子	ömür boyu	O ömrü boyunca müziği sevdi.
一旦	bir kez	Bir kez karar verdin mi, sürdürmelisin.
一律	istisnasız	Toplantı sırasında telefonlar istisnasız kapatılmalıdır.
一再	defalarca	Güvenliğe dikkat etmemizi defalarca hatırlattı.
一致	tutarlı; aynı	Herkesin görüşleri tamamen aynı.
疑问	soru; şüphe	Bu cevap hakkında bir sorum var.
移动	hareket ettirmek	Lütfen masayı biraz hareket ettirin.
移民	göç etmek	Yurt dışına göç etmeyi planlıyorlar.
遗憾	üzülmek	Seni göremediğim için üzgünüm.
乙	B tarafı	Sözleşmede B tarafı ödemeden sorumludur.
以及	ve; ayrıca	Kitap ve kırtasiye malzemeleri aldım.
以来	-den beri	Mezun olduğundan beri Pekin'de çalışıyor.
义务	görev; yükümlülük	Çevreyi korumak herkesin yükümlülüğüdür.
亿	yüz milyon	Bu ülkenin nüfusu bir milyardan fazladır.
意外	beklenmedik; kaza	Bu kez geç kalması tamamen beklenmedikti.
意义	anlam; önem	Bu etkinlik çok anlamlı.
议论	tartışmak	Herkes bu konuyu tartışıyor.
因而	bu nedenle	Çok çalışıyor, bu nedenle notları iyi.
因素	etken	Hava önemli bir etkendir.
银	gümüş	Gümüş bir bilezik takıyor.
印刷	basmak	Bu kitap çok net basılmış.
英俊	yakışıklı	O çok yakışıklı.
英雄	kahraman	İtfaiyeciler gerçek kahramanlardır.
营养	besin; beslenme	Kahvaltıda yeterli besin olmalı.
营业	iş yapmak; açık olmak	Bu dükkan saat dokuzda açılır.
迎接	karşılamak	Konukları karşılamak için havaalanına gittik.
影子	gölge	Sokak lambasının altında onun gölgesi var.
应付	başa çıkmak	Bu sorunla başa çıkabilir.
应用	uygulamak	Bu yöntem öğretimde uygulanabilir.
硬	sert	Bu sandalye çok sert.
硬件	donanım	Bu bilgisayarın donanımı iyi.
拥抱	sarılmak	Çocuk koşup annesine sarıldı.
拥挤	kalabalık	Sabah yoğun saatlerde metro çok kalabalık.
勇气	cesaret	Hatasını kabul edecek cesareti var.
用功	çalışkan; çok çalışmak	Çok çalışkan bir şekilde ders çalışıyor.
用途	kullanım alanı	Bu malzemenin kullanım alanı çok geniştir.
优惠	indirim	Bu dükkanda bugün indirim var.
优美	güzel; zarif	Buranın çevresi çok güzel.
优势	avantaj	Onun avantajı deneyiminin fazla olmasıdır.
悠久	köklü	Çin'in köklü bir tarihi vardır.
油炸	kızartılmış	Çok az kızartılmış yiyecek yerim.
游览	gezmek	Yarın Yasak Şehir'i gezeceğiz.
犹豫	tereddüt etmek	Cevap vermeden önce bir süre tereddüt etti.
有利	avantajlı	Bu koşul bizim için avantajlı.
幼儿园	anaokulu	Çocuk gelecek yıl anaokuluna gidecek.
娱乐	eğlence	Film izlemek bir eğlence türüdür.
与其	yerine	Şikayet etmek yerine harekete geçmek daha iyidir.
语气	ses tonu	Konuşma tonu çok yumuşak.
玉米	mısır	Akşam yemeğinde mısır çorbası var.
预报	tahmin	Hava tahmini yarın yağmur olacağını söylüyor.
预订	rezerve etmek	Otel rezervasyonu yaptım.
预防	önlemek	Sık sık el yıkamak soğuk algınlığını önleyebilir.
元旦	Yılbaşı	Yılbaşında bir gün tatil yapıyoruz.
原料	hammadde	Ekmeğin ana hammaddesi undur.
原则	ilke	İnsan ilkeli olmalıdır.
员工	çalışan	Şirkette üç yüz çalışan var.
圆	yuvarlak	Ay büyük ve yuvarlaktı.
愿望	dilek	Onun dileği dünyayı gezmek.
乐器	müzik aleti	Birkaç tür müzik aleti çalabiliyor.
晕	başı dönmek	Tekneye binince biraz başım dönüyor.
运气	şans	Bugün şansım iyi.
运输	taşımak; ulaşım	Bu malların demiryoluyla taşınması gerekiyor.
运用	kullanmak	Lütfen bu kelimeleri esnek biçimde kullanın.
灾害	afet	Sel bir doğal afettir.
再三	defalarca	Öğretmen tekrar etmemizi defalarca hatırlattı.
在乎	önemsemek	Arkadaşlarının görüşlerini çok önemsiyor.
在于	dayanmak	Başarı sebat etmeye dayanır.
赞成	katılmak	Önerine katılıyorum.
赞美	övmek	Herkes onun cesaretini övdü.
糟糕	kötü	Bugünkü hava gerçekten kötü.
造成	neden olmak	Şiddetli yağmur trafik sıkışıklığına neden oldu.
则	o halde; ise	Çalışılırsa ilerleme olur.
责备	suçlamak	Öğretmen onu suçlamadı.
摘	toplamak	Bahçede bir çiçek topladı.
窄	dar	Bu yol çok dar.
粘贴	yapıştırmak	Lütfen fotoğrafı buraya yapıştırın.
展开	başlamak	Tartışma hızla başladı.
展览	sergi	Müzede yeni bir sergi var.
占	yer kaplamak	Bu masa yer kaplıyor.
战争	savaş	Savaş halka acı getirir.
掌握	ustalaşmak	Temel dil bilgisinde ustalaştı.
涨	yükselmek	Son zamanlarda kira yine yükseldi.
长辈	büyükler	Yeni yıl döneminde büyükleri selamlamak gerekir.
账户	hesap	Lütfen banka hesabını kontrol et.
招待	ağırlamak	Ev sahibi konukları sıcak biçimde ağırladı.
着火	yanmak	Mutfak aniden alev aldı.
着凉	üşütmek	Hava soğudu, üşütme.
召开	toplantı düzenlemek	Okul yarın toplantı düzenleyecek.
照常	her zamanki gibi	Dükkan yarın her zamanki gibi açık olacak.
哲学	felsefe	Üniversitede felsefe okudu.
珍惜	değerini bilmek	Zamanın değerini bilmeliyiz.
真实	gerçek	Bu hikaye gerçektir.
针对	hedeflemek	Bu öneri yeni öğrencilere yöneliktir.
诊断	tanı koymak	Doktor hızla tanı koydu.
振动	titremek	Telefon masanın üzerinde titriyor.
阵	kısa süre	Dışarıda kısa bir yağmur yağdı.
争论	tartışmak	Bu konu hakkında uzun süre tartıştılar.
争取	elde etmeye çalışmak	Daha fazla fırsat elde etmeye çalışmalıyız.
征求	görüş istemek	Öğretmen herkesin görüşünü istedi.
挣	kurtulmak; kazanmak	Kuş ipten kurtuldu.
睁	açmak	Lütfen gözlerini biraz daha aç.
整个	bütün	Bütün şehir çok sessizdi.
整齐	düzenli	Kitaplar çok düzenli yerleştirilmiş.
整体	genel; bütün	Genel etkiyi düşünmemiz gerekiyor.
政府	hükümet	Hükümet yeni bir bildiri yayımladı.
政治	siyaset	Siyasete çok ilgi duyuyor.
正	doğru	Bu cevap doğrudur.
证件	kimlik belgesi	Lütfen kimlik belgenizi gösterin.
证据	kanıt	Polis yeni kanıt buldu.
支	adet	Masanın üzerinde bir kalem var.
支票	çek	Ödemeyi çekle yaptı.
执照	ruhsat; ehliyet	Araba kullanmak için ehliyet gerekir.
直	düz	Bu yoldan dümdüz ilerleyin.
指导	rehberlik etmek	Öğretmen bize tez yazarken rehberlik etti.
指挥	yönetmek	Bu operasyonu yönetmekten sorumlu.
制定	hazırlamak	Şirket yeni bir plan hazırladı.
制度	sistem	Okulun sıkı bir sistemi var.
制造	üretmek	Bu fabrika makine üretiyor.
制作	yapmak	Doğum günü pastası yapıyor.
志愿者	gönüllü	Etkinliğe birçok gönüllü katıldı.
智慧	bilgelik	Bu yaşlı kişi çok bilgedir.
治疗	tedavi etmek	Doktor hastayı tedavi ediyor.
秩序	düzen	Lütfen herkes düzeni korusun.
至今	bugüne kadar	Bu sorun bugüne kadar çözülmedi.
至于	-e gelince	Maliyete gelince, onu yarın konuşuruz.
中介	aracı; ajans	Evi aracı üzerinden kiraladı.
中心	merkez	Hastane şehir merkezinde.
中旬	ayın ortası	Toplantı mayıs ortasına planlandı.
种类	tür	Burada çok tür meyve var.
重大	büyük; önemli	Bu büyük bir karardır.
重量	ağırlık	Bu kutunun ağırlığı ne kadar?
周到	düşünceli; özenli	Hizmeti çok özenli.
猪	domuz	Çiftlikte çok domuz besleniyor.
竹子	bambu	Pandalar bambu yemeyi sever.
逐步	adım adım	Plan adım adım uygulanacak.
逐渐	yavaş yavaş	Hava yavaş yavaş soğudu.
主持	yönetmek; sunmak	Bugünkü toplantıyı o yönetiyor.
主动	inisiyatif almak	Sınıf arkadaşına yardım etmek için inisiyatif aldı.
主观	öznel	Bu değerlendirme biraz öznel.
主人	ev sahibi	Ev sahibi bizi sıcak karşıladı.
主任	müdür; başkan	Müdür ofiste.
主题	tema; konu	Bugünkü tartışmanın konusu çevre korumadır.
主席	başkan	Başkan toplantının başladığını duyurdu.
主张	savunmak	Önce trafik sorununu çözmeyi savunuyor.
煮	pişirmek	Annem erişte pişiriyor.
注册	kayıt olmak	Yeni kullanıcılar önce kayıt olmalıdır.
祝福	iyi dilekler	Arkadaşları iyi dileklerini gönderdi.
抓	yakalamak	Çocuk annesinin elini tuttu.
抓紧	zamanı iyi kullanmak	Zamanı iyi kullanmalıyız.
专家	uzman	Uzman öneriler sundu.
专心	dikkatini vermek	Derste dikkatle dinlemek gerekir.
转变	değişim	Onun tutumunda değişim oldu.
转告	iletmek	Lütfen ona yarın toplantı olduğunu ilet.
装	koymak; yerleştirmek	Lütfen kitapları çantaya koyun.
装饰	süslemek	Odayı çiçeklerle süslediler.
装修	tadilat yapmak	Yeni ev tadilatta.
撞	çarpışmak	İki araba kavşakta çarpıştı.
状况	durum	Şu anki durum oldukça istikrarlı.
状态	durum	Bugün durumu çok iyi.
追	kovalamak	Çocuk arkadan yavru köpeği kovalıyor.
追求	peşinden gitmek	Her zaman hayalinin peşinden gitti.
咨询	danışmak	Uzman bir doktora danışabilirsin.
姿势	duruş	Lütfen doğru duruşu koruyun.
资格	yeterlilik	Yarışmaya katılma yeterliliği var.
资金	fon; sermaye	Proje daha fazla fona ihtiyaç duyuyor.
资料	malzeme; bilgi	Lütfen belgeleri bana gönderin.
资源	kaynak	Su önemli bir doğal kaynaktır.
紫	mor	Mor rengi seviyor.
字母	harf	İngilizcede yirmi altı harf vardır.
字幕	altyazı	Bu filmde Çince altyazı var.
自从	-den beri	Mezun olduğundan beri nadiren geri geliyor.
自动	otomatik	Bu kapı otomatik olarak açılır.
自豪	gurur duymak	Kendi ilerlememle gurur duyuyorum.
自觉	kendi isteğiyle	Ödevini kendi isteğiyle tamamladı.
自私	bencil	İnsan çok bencil olmamalı.
自由	özgürlük	Herkes özgürlüğün değerini bilir.
自愿	gönüllü	Etkinliğe gönüllü olarak katıldılar.
综合	kapsamlı; birleştirmek	Çeşitli etkenleri kapsamlı biçimde değerlendirmemiz gerekiyor.
总裁	genel müdür	Genel müdür bugün konuşma yaptı.
总共	toplam	Bu yolculuk toplam üç bin yuan tuttu.
总理	başbakan	Başbakan toplantıya katıldı.
总算	sonunda	Sorun sonunda çözüldü.
总统	cumhurbaşkanı	Cumhurbaşkanı televizyonda konuşma yaptı.
总之	kısacası	Kısacası, zamanında bitirmeliyiz.
组	grup	Öğretmen bizi üç gruba ayırdı.
组成	oluşmak	Su hidrojen ve oksijenden oluşur.
组合	birleşim	Bu renk birleşimi güzel görünüyor.
组织	organize etmek	Okul bir gezi organize etti.
阻止	engellemek	Polis tehlikeli davranışı engelledi.
最初	başta	Başta pek anlamadım.
醉	sarhoş	Çok içti, biraz sarhoş.
尊敬	saygı duymak	Öğrencilerin hepsi öğretmene saygı duyar.
遵守	uymak	Trafik kurallarına uymalıyız.
作品	eser	Bu tablo onun eseridir.
作为	olarak	Öğretmen olarak çok sabırlı.
作文	kompozisyon yazmak	Öğretmen bizden bir kompozisyon yazmamızı istedi.
