hsk_key	source_word	simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV	ET	example_ET	IS	example_IS
4337:就算	就算	就算	čak i ako	Čak i ako bude padala kiša, krenućemo.	tudi če	Tudi če bo deževalo, bomo odšli.	net jei	Net jei lis, mes išvyksime.	pat ja	Pat ja līs, mēs dosimies ceļā.	isegi kui	Isegi kui sajab, asume teele.	jafnvel þótt	Jafnvel þótt það rigni leggjum við af stað.
4338:救援	救援	救援	spasavanje; pomoć	Spasilačka ekipa je već stigla u pogođeno područje.	reševanje; pomoč	Reševalna ekipa je že prispela na prizadeto območje.	gelbėjimas; pagalba	Gelbėjimo komanda jau atvyko į nelaimės rajoną.	glābšana; palīdzība	Glābšanas komanda jau ir ieradusies katastrofas zonā.	pääste; abi	Päästemeeskond on juba katastroofipiirkonda jõudnud.	björgun; hjálparstarf	Björgunarsveitin er þegar komin á hamfarasvæðið.
4339:救灾	救灾	救灾	pomoć u katastrofi; otklanjanje posledica	Vlada je organizovala ljude za pomoć u katastrofi.	pomoč ob nesreči	Vlada je organizirala ljudi za pomoč ob nesreči.	pagalba nelaimės atveju	Vyriausybė suorganizavo žmones pagalbai po nelaimės.	katastrofu seku likvidēšana; palīdzība katastrofā	Valdība organizēja cilvēkus palīdzībai katastrofas seku novēršanā.	katastroofiabi	Valitsus korraldas inimesi katastroofiabiks.	hamfarahjálp	Ríkisstjórnin skipulagði fólk til hamfarahjálpar.
4340:救助	救助	救助	pomoći; pružiti pomoć	Fondacija je pomogla mnogim porodicama u nevolji.	pomagati; reševati	Fundacija je pomagala številnim družinam v stiski.	padėti; gelbėti	Fondas padėjo daugeliui sunkumus patiriančių šeimų.	palīdzēt; glābt	Fonds palīdzēja daudzām grūtībās nonākušām ģimenēm.	abistama; päästma	Sihtasutus aitas paljusid raskustes peresid.	aðstoða; bjarga	Sjóðurinn aðstoðaði margar fjölskyldur í vanda.
4341:局1	局1	局	partija; runda	On je dobio ovu partiju šaha.	partija; krog	To partijo šaha je dobil.	partija; raundas	Šią šachmatų partiją jis laimėjo.	partija; raunds	Viņš uzvarēja šo šaha partiju.	partii; voor	Ta võitis selle malepartii.	leikur; umferð	Hann vann þessa skák.
4342:局2	局2	局	biro; uprava	Otišao je u poresku upravu da obavi postupak.	urad; služba	Šel je na davčni urad urediti postopke.	biuras; tarnyba	Jis nuėjo į mokesčių inspekciją sutvarkyti formalumų.	pārvalde; birojs	Viņš devās uz nodokļu pārvaldi nokārtot formalitātes.	amet; büroo	Ta läks maksuametisse asju ajama.	skrifstofa; stofnun	Hann fór á skattstofuna til að ganga frá formsatriðum.
4343:菊花	菊花	菊花	hrizantema	U jesen park bude pun hrizantema.	krizantema	Jeseni v parku cvetijo krizanteme.	chrizantema	Rudenį parke žydi daugybė chrizantemų.	krizantēma	Rudenī parks ir pilns ar krizantēmām.	krüsanteem	Sügisel õitsevad pargis krüsanteemid.	krýsantema	Á haustin blómstra krýsantemur um allan garðinn.
4348:聚集	聚集	聚集	okupiti se; sakupiti se	Masa se okupila na trgu.	zbrati se; zbirati se	Množica se je zbrala na trgu.	susirinkti; telktis	Minia susirinko aikštėje.	pulcēties; savākties	Pūlis pulcējās laukumā.	kogunema	Rahvahulk kogunes väljakule.	safnast saman	Mannfjöldinn safnaðist saman á torginu.
4351:捐款	捐款	捐款	donirati novac; donacija	Mnogi ljudi su donirali novac pogođenom području.	donirati denar; donacija	Veliko ljudi je doniralo denar prizadetemu območju.	aukoti pinigus; auka	Daugelis žmonių aukojo pinigų nelaimės rajonui.	ziedot naudu; ziedojums	Daudzi cilvēki ziedoja naudu katastrofas skartajai teritorijai.	raha annetama; annetus	Paljud inimesed annetasid katastroofipiirkonnale raha.	gefa peninga; peningagjöf	Margir gáfu peninga til hamfarasvæðisins.
4352:捐赠	捐赠	捐赠	donirati	Preduzeće je doniralo seriju računara.	donirati	Podjetje je doniralo več računalnikov.	aukoti; dovanoti	Įmonė paaukojo kompiuterių partiją.	ziedot	Uzņēmums ziedoja datoru partiju.	annetama	Ettevõte annetas hulga arvuteid.	gefa; styrkja	Fyrirtækið gaf tölvur.
4358:军人	军人	军人	vojnik; vojno lice	Taj vojnik je pomogao starijoj osobi da pređe ulicu.	vojak; vojaška oseba	Tisti vojak je pomagal starejši osebi čez cesto.	karys; kariškis	Tas karys padėjo senyvo amžiaus žmogui pereiti gatvę.	karavīrs; militārpersona	Tas karavīrs palīdzēja vecam cilvēkam šķērsot ceļu.	sõdur; sõjaväelane	See sõdur aitas eakal inimesel teed ületada.	hermaður; herþjónustumaður	Hermaðurinn hjálpaði gamla manninum yfir götuna.
4360:卡片	卡片	卡片	kartica; čestitka	Na kartici je napisala lepe želje.	kartica; voščilnica	Na kartico je napisala voščilo.	kortelė; atvirukas	Ji parašė linkėjimus ant kortelės.	kartīte; atklātne	Viņa uz kartītes uzrakstīja novēlējumu.	kaart; kaardike	Ta kirjutas kaardile head soovid.	kort	Hún skrifaði kveðju á kortið.
4361:开创	开创	开创	stvoriti; utrti put	Ova tehnologija je otvorila novu eru.	ustvariti; utirati pot	Ta tehnologija je ustvarila novo dobo.	sukurti; pradėti	Ši technologija pradėjo naują erą.	izveidot; aizsākt	Šī tehnoloģija aizsāka jaunu laikmetu.	rajama; algatama	See tehnoloogia lõi uue ajastu.	skapa; ryðja braut	Þessi tækni skapaði nýtt tímabil.
4362:开关	开关	开关	prekidač	Prekidač pored vrata je pokvaren.	stikalo	Stikalo pri vratih je pokvarjeno.	jungiklis	Jungiklis prie durų sugedęs.	slēdzis	Slēdzis pie durvīm ir salauzts.	lüliti	Ukse juures olev lüliti on katki.	rofi	Rofinn við hurðina er bilaður.
4363:开启	开启	开启	otvoriti; započeti	Sastanak je otvorio nove mogućnosti za saradnju.	odpreti; začeti	Sestanek je odprl nove možnosti za sodelovanje.	atverti; pradėti	Susitikimas atvėrė naujų bendradarbiavimo galimybių.	atvērt; sākt	Sapulce pavēra jaunas sadarbības iespējas.	avama; käivitama	Koosolek avas uusi koostöövõimalusi.	opna; hefja	Fundurinn opnaði ný tækifæri til samstarfs.
4364:开设	开设	开设	otvoriti; osnovati	Škola je otvorila kurs kineskog jezika.	odpreti; ustanoviti	Šola je odprla tečaj kitajščine.	atidaryti; įsteigti	Mokykla atidarė kinų kalbos kursą.	atvērt; izveidot	Skola atvēra ķīniešu valodas kursu.	avama; asutama	Kool avas hiina keele kursuse.	opna; stofna	Skólinn opnaði kínverskunámskeið.
4365:开头	开头	开头	početak	Početak članka je napisan vrlo privlačno.	začetek	Začetek članka je napisan zelo privlačno.	pradžia	Straipsnio pradžia parašyta labai patraukliai.	sākums	Raksta sākums ir uzrakstīts ļoti saistoši.	algus	Artikli algus on kirjutatud väga köitvalt.	upphaf	Upphaf greinarinnar er skrifað mjög aðlaðandi.
4369:看得起	看得起	看得起	ceniti; imati visoko mišljenje o	On vredno radi i nada se da će ga drugi ceniti.	ceniti; imeti visoko mnenje o	Trdo dela in upa, da ga bodo drugi cenili.	gerai vertinti; gerbti	Jis sunkiai dirba ir tikisi, kad kiti jį gerbs.	augstu vērtēt; cienīt	Viņš smagi strādā un cer, ka citi viņu cienīs.	kõrgelt hindama	Ta töötab kõvasti ja loodab, et teised teda kõrgelt hindavad.	meta mikils; líta upp til	Hann vinnur hart og vonar að aðrir meti hann mikils.
4370:看好	看好	看好	biti optimističan u vezi sa	Investitori su optimistični u vezi sa ovom industrijom.	biti optimističen glede	Vlagatelji so optimistični glede te panoge.	palankiai vertinti; tikėti	Investuotojai palankiai vertina šią pramonės šaką.	raudzīties cerīgi uz	Investori cerīgi raugās uz šo nozari.	optimistlik olema	Investorid suhtuvad sellesse valdkonda optimistlikult.	vera bjartsýnn á	Fjárfestar eru bjartsýnir á þessa atvinnugrein.
4371:看似	看似	看似	izgledati; naizgled	Ovaj problem deluje jednostavno, ali je zapravo složen.	videti se; navidezno	Ta težava se zdi preprosta, vendar je v resnici zapletena.	atrodyti; iš pažiūros	Ši problema atrodo paprasta, bet iš tikrųjų yra sudėtinga.	šķist; it kā	Šī problēma šķiet vienkārša, bet patiesībā ir sarežģīta.	näima; pealtnäha	See probleem näib lihtne, kuid on tegelikult keeruline.	virðast; að því er virðist	Þetta vandamál virðist einfalt en er í raun flókið.
4372:看中	看中	看中	svideti se; izabrati	Svidelo mu se jedno malo stanovanje.	izbrati; dopasti se mu	Izbral si je majhno stanovanje.	pamėgti; išsirinkti	Jam patiko nedidelis butas.	izraudzīties; iepatikties	Viņam iepatikās neliels dzīvoklis.	välja valima; meeldima hakkama	Ta valis välja väikese korteri.	falla fyrir; velja	Honum leist vel á litla íbúð.
4373:看重	看重	看重	ceniti; pridavati važnost	Kompanija veoma ceni sposobnosti zaposlenih.	ceniti; pripisovati pomen	Podjetje zelo ceni sposobnosti zaposlenih.	vertinti; teikti svarbą	Įmonė labai vertina darbuotojų gebėjimus.	augstu vērtēt; piešķirt nozīmi	Uzņēmums augstu vērtē darbinieku spējas.	väärtustama; tähtsaks pidama	Ettevõte väärtustab töötajate võimeid.	meta; leggja áherslu á	Fyrirtækið metur hæfni starfsmanna mikils.
4374:康复	康复	康复	opraviti se; rehabilitacija	Posle operacije se dobro oporavio i ubrzo ozdravio.	okrevati; rehabilitacija	Po operaciji je dobro okreval in kmalu ozdravel.	pasveikti; reabilitacija	Po operacijos jis gerai sveiko ir greitai pasveiko.	atveseļoties; rehabilitācija	Pēc operācijas viņš labi atveseļojās un drīz atguva veselību.	taastuma; taastusravi	Pärast operatsiooni taastus ta hästi ja sai peagi terveks.	batna; endurhæfing	Eftir aðgerðina náði hann sér vel og varð fljótt heill.
4379:科	科	科	odeljenje; predmet	Zakazao je pregled na odeljenju interne medicine.	oddelek; predmet	Naročil se je na internistični oddelek.	skyrius; dalykas	Jis užsiregistravo į vidaus ligų skyrių.	nodaļa; priekšmets	Viņš pierakstījās iekšķīgo slimību nodaļā.	osakond; õppeaine	Ta registreeris end sisehaiguste osakonda.	deild; námsgrein	Hann skráði sig á lyflækningadeild.
4380:科幻	科幻	科幻	naučna fantastika	Ovaj naučnofantastični film je veoma popularan.	znanstvena fantastika	Ta znanstvenofantastični film je zelo priljubljen.	mokslinė fantastika	Šis mokslinės fantastikos filmas labai populiarus.	zinātniskā fantastika	Šī zinātniskās fantastikas filma ir ļoti populāra.	ulme	See ulmefilm on väga populaarne.	vísindaskáldskapur	Þessi vísindaskáldskaparmynd er mjög vinsæl.
4382:科普	科普	科普	popularna nauka	Nastavnik je učenicima održao popularnonaučno predavanje.	poljudna znanost	Učitelj je učencem pripravil poljudnoznanstveno predavanje.	populiarusis mokslas	Mokytojas mokiniams surengė populiariojo mokslo paskaitą.	populārzinātne	Skolotājs skolēniem nolasīja populārzinātnisku lekciju.	populaarteadus	Õpetaja pidas õpilastele populaarteadusliku loengu.	vísindamiðlun	Kennarinn hélt nemendunum fyrirlestur um vísindi fyrir almenning.
4387:客车	客车	客车	putnički autobus	Putnički autobus polazi u sedam ujutru.	potniški avtobus	Potniški avtobus odpelje ob sedmih zjutraj.	keleivinis autobusas	Keleivinis autobusas išvyksta septintą ryto.	pasažieru autobuss	Pasažieru autobuss atiet septiņos no rīta.	reisibuss	Reisibuss väljub hommikul kell seitse.	farþegarúta	Farþegarútan fer klukkan sjö um morguninn.
4389:肯	肯	肯	biti voljan	On je voljan da odvoji vreme i pomogne drugima.	biti pripravljen	Pripravljen je porabiti čas za pomoč drugim.	būti linkusiam; sutikti	Jis sutinka skirti laiko padėti kitiems.	būt ar mieru	Viņš ir ar mieru veltīt laiku, lai palīdzētu citiem.	nõus olema	Ta on nõus kulutama aega teiste aitamiseks.	vera fús til	Hann er fús til að verja tíma í að hjálpa öðrum.
4391:空地	空地	空地	prazan prostor; slobodno zemljište	Deca igraju fudbal na praznom prostoru.	prazen prostor; nezazidano zemljišče	Otroci igrajo nogomet na praznem prostoru.	tuščia aikštelė; laisvas plotas	Vaikai žaidžia futbolą tuščioje aikštelėje.	brīvs laukums; tukša zeme	Bērni spēlē futbolu brīvajā laukumā.	vaba plats; tühi maa-ala	Lapsed mängivad vabal platsil jalgpalli.	autt svæði; óbyggt land	Börnin spila fótbolta á auða svæðinu.
4393:口感	口感	口感	tekstura u ustima; osećaj pri jelu	Ovaj hleb ima veoma meku teksturu.	občutek v ustih; tekstura	Ta kruh ima zelo mehko teksturo.	tekstūra burnoje; pojūtis burnoje	Šios duonos tekstūra labai minkšta.	tekstūra mutē; sajūta mutē	Šai maizei ir ļoti mīksta tekstūra.	suutunne; tekstuur	Selle saia tekstuur on väga pehme.	munntilfinning; áferð	Þetta brauð hefur mjög mjúka áferð.
4394:口号	口号	口号	parola; krilatica	Svi su zajedno uzviknuli parolu.	slogan; geslo	Vsi so skupaj vzkliknili slogan.	šūkis	Visi kartu sušuko šūkį.	sauklis	Visi kopā izsauca saukli.	loosung; hüüdlause	Kõik hüüdsid loosungi koos välja.	slagorð	Allir hrópuðu slagorðið saman.
4399:酷	酷	酷	kul; moderan	Ovaj kaput izgleda veoma kul.	kul; moden	Ta plašč je videti zelo kul.	kietas; madingas	Šis paltas atrodo labai kietai.	foršs; stilīgs	Šī jaka izskatās ļoti stilīga.	lahe; moodne	See mantel näeb väga lahe välja.	flottur; töff	Þessi úlpa lítur mjög töff út.
4401:夸奖	夸奖	夸奖	pohvaliti	Nastavnik je pohvalio njegov napredak.	pohvaliti	Učitelj je pohvalil njegov napredek.	pagirti	Mokytojas pagyrė jo pažangą.	paslavēt	Skolotājs paslavēja viņa progresu.	kiitma	Õpetaja kiitis tema edusamme.	hrósa	Kennarinn hrósaði framförum hans.
4404:快捷	快捷	快捷	brz; praktičan	Plaćanje preko interneta je veoma brzo i praktično.	hiter; priročen	Spletno plačilo je zelo hitro in priročno.	greitas; patogus	Mokėjimas internetu yra labai greitas ir patogus.	ātrs; ērts	Maksājums internetā ir ļoti ātrs un ērts.	kiire; mugav	Veebimakse on väga kiire ja mugav.	fljótur; þægilegur	Netgreiðsla er mjög fljótleg og þægileg.
4405:款	款	款	model; stil	Ovaj model telefona se veoma dobro prodaje.	model; slog	Ta model telefona se zelo dobro prodaja.	modelis; stilius	Šis telefono modelis labai gerai parduodamas.	modelis; stils	Šis tālruņa modelis tiek pārdots ļoti labi.	mudel; stiil	See telefonimudel müüb väga hästi.	gerð; stíll	Þessi símagerð selst mjög vel.
4408:困扰	困扰	困扰	mučiti; zadavati brigu	Ovaj problem ga muči već dugo.	mučiti; vznemirjati	Ta težava ga muči že dolgo.	varginti; neraminti	Ši problema jį vargina jau seniai.	apgrūtināt; mocīt	Šī problēma viņu moka jau ilgu laiku.	vaevama; häirima	See probleem on teda kaua vaevanud.	angra; valda áhyggjum	Þetta vandamál hefur angrað hann lengi.
4409:扩展	扩展	扩展	proširiti	Kompanija planira da proširi inostrana tržišta.	razširiti	Podjetje načrtuje razširitev tujih trgov.	plėsti	Įmonė planuoja plėsti užsienio rinkas.	paplašināt	Uzņēmums plāno paplašināt ārvalstu tirgus.	laiendama	Ettevõte plaanib laiendada välisturge.	stækka; víkka út	Fyrirtækið ætlar að stækka erlenda markaði.
4410:落	落	落	zaboraviti; ostaviti za sobom	Zaboravio je telefon u taksiju.	pozabiti; pustiti za sabo	Telefon je pozabil v taksiju.	palikti; užmiršti	Jis paliko telefoną taksi automobilyje.	atstāt; aizmirst	Viņš atstāja tālruni taksometrā.	maha jätma; unustama	Ta jättis telefoni taksosse.	skilja eftir; gleyma	Hann skildi símann sinn eftir í leigubílnum.
4413:来临	来临	来临	doći; približavati se	Prolećni festival se uskoro približava.	priti; približevati se	Pomladni festival se bo kmalu začel.	ateiti; artėti	Pavasario šventė netrukus ateis.	tuvoties; pienākt	Pavasara svētki drīz pienāks.	saabuma; lähenema	Kevadpüha on peagi saabumas.	koma; nálgast	Vorhátíðin er að nálgast.
4414:来往	来往	来往	kretati se tamo-amo; imati veze	Na ovom putu ima mnogo vozila koja prolaze.	prihajati in odhajati; imeti stike	Na tej cesti je veliko vozil, ki prihajajo in odhajajo.	judėti pirmyn ir atgal; palaikyti ryšius	Šiuo keliu važiuoja daug transporto priemonių.	braukt šurpu turpu; uzturēt sakarus	Pa šo ceļu brauc daudz transportlīdzekļu.	edasi-tagasi liikuma; suhtlema	Sellel teel liigub palju sõidukeid.	fara fram og til baka; eiga samskipti	Mörg ökutæki fara um þennan veg.
4415:赖	赖	赖	kriviti; oslanjati se	Za ovu stvar ne može se kriviti on.	kriviti; zanašati se na	Za to zadevo ni mogoče kriviti njega.	kaltinti; pasikliauti	Dėl šio reikalo negalima kaltinti jo.	vainot; paļauties uz	Šajā lietā viņu nevar vainot.	süüdistama; sõltuma	Selles asjas ei saa teda süüdistada.	kenna um; treysta á	Það er ekki hægt að kenna honum um þetta mál.
4417:栏	栏	栏	rubrika; polje	Molim vas, upišite ime u rubriku za ime.	rubrika; polje	Prosimo, napišite ime v polje za ime.	skiltis; laukelis	Prašome įrašyti vardą vardo laukelyje.	aile; lauks	Lūdzu, ierakstiet vārdu vārda laukā.	lahter; veerg	Palun kirjutage nimi nime lahtrisse.	reitur; dálkur	Vinsamlegast skrifaðu nafnið í nafnareitinn.
4418:兰花	兰花	兰花	orhideja	Orhideja na prozorskoj dasci je procvetala.	orhideja	Orhideja na okenski polici je zacvetela.	orchidėja	Orchidėja ant palangės pražydo.	orhideja	Orhideja uz palodzes ir uzziedējusi.	orhidee	Aknalaual olev orhidee läks õitsele.	brönugras	Brönugrasið á gluggakistunni blómstraði.
4420:狼	狼	狼	vuk	Noću se sa planine čulo zavijanje vukova.	volk	Ponoči se je z gore slišalo tuljenje volkov.	vilkas	Naktį nuo kalno sklido vilkų staugimas.	vilks	Naktī no kalna atskanēja vilku gaudošana.	hunt	Öösel kostis mäelt hundi ulgumist.	úlfur	Um nóttina heyrðist úlfagól frá fjallinu.
4422:牢	牢	牢	čvrst; stabilan	Ova stolica je veoma čvrsta.	trden; čvrst	Ta stol je zelo trden.	tvirtas	Ši kėdė labai tvirta.	stingrs; izturīgs	Šis krēsls ir ļoti izturīgs.	tugev; kindel	See tool on väga tugev.	traustur; sterkbyggður	Þessi stóll er mjög traustur.
4423:劳动力	劳动力	劳动力	radna snaga	Ovoj industriji je potrebno mnogo radne snage.	delovna sila	Ta panoga potrebuje veliko delovne sile.	darbo jėga	Šiai pramonės šakai reikia daug darbo jėgos.	darbaspēks	Šai nozarei vajag daudz darbaspēka.	tööjõud	See tööstusharu vajab palju tööjõudu.	vinnuafl	Þessi atvinnugrein þarf mikið vinnuafl.
4426:老太太	老太太	老太太	starija gospođa; starica	Ta starija gospođa svakog dana dolazi u park da šeta.	starejša gospa	Ta starejša gospa vsak dan pride na sprehod v park.	senyva ponia	Ta senyva ponia kasdien ateina pasivaikščioti į parką.	vecāka kundze; sirmgalve	Tā vecākā kundze katru dienu nāk pastaigāties parkā.	vanaproua; eakas naine	See vanaproua käib iga päev pargis jalutamas.	eldri kona; gömul kona	Sú eldri kona kemur í garðinn í göngutúr á hverjum degi.
4427:乐于	乐于	乐于	biti voljan; rado	On je voljan da prihvati nove izazove.	biti pripravljen; z veseljem	Pripravljen je sprejeti nove izzive.	būti pasirengusiam; noriai	Jis noriai priima naujus iššūkius.	labprāt; būt gatavam	Viņš labprāt pieņem jaunus izaicinājumus.	meeleldi; valmis olema	Ta on valmis uusi väljakutseid vastu võtma.	vera fús til; glaður að	Hann er fús til að taka við nýjum áskorunum.
4429:类别	类别	类别	kategorija; vrsta	Molim vas, razvrstajte dokumente po kategorijama.	kategorija; vrsta	Prosimo, razvrstite dokumente po kategorijah.	kategorija; rūšis	Prašome surūšiuoti dokumentus pagal kategorijas.	kategorija; veids	Lūdzu, sakārtojiet dokumentus pēc kategorijām.	kategooria; liik	Palun sorteerige failid kategooria järgi.	flokkur; tegund	Vinsamlegast flokkaðu skjölin eftir flokki.
4430:理	理	理	obazirati se; odgovoriti	Nije se obazirao na moje pitanje.	zmeniti se za; odgovoriti	Ni se zmenil za moje vprašanje.	kreipti dėmesį; atsakyti	Jis nekreipė dėmesio į mano klausimą.	pievērst uzmanību; atbildēt	Viņš nepievērsa uzmanību manam jautājumam.	tähelepanu pöörama; vastama	Ta ei teinud minu küsimusest välja.	sinna; svara	Hann sinnti ekki spurningunni minni.
4431:理财	理财	理财	upravljati finansijama	Počela je da uči kako da upravlja novcem.	upravljati finance	Začela se je učiti upravljanja denarja.	tvarkyti finansus	Ji pradėjo mokytis tvarkyti pinigus.	pārvaldīt finanses	Viņa sāka mācīties pārvaldīt naudu.	rahaasju korraldama	Ta hakkas õppima rahaasjade korraldamist.	stjórna fjármálum	Hún byrjaði að læra að stjórna peningum.
4432:理科	理科	理科	prirodne nauke	U srednjoj školi izabrao je prirodne nauke.	naravoslovni predmeti	V srednji šoli je izbral naravoslovne predmete.	gamtos mokslai	Vidurinėje mokykloje jis pasirinko gamtos mokslus.	dabaszinātņu priekšmeti	Vidusskolā viņš izvēlējās dabaszinātņu priekšmetus.	loodusained	Gümnaasiumis valis ta loodusainete suuna.	raungreinar	Í framhaldsskóla valdi hann raungreinar.
4433:理念	理念	理念	ideja; filozofija	Ova kompanija ceni ideju zaštite životne sredine.	koncept; načelo	To podjetje ceni okoljska načela.	koncepcija; filosofija	Ši įmonė vertina aplinkosaugos principus.	koncepcija; filozofija	Šis uzņēmums augstu vērtē vides aizsardzības principus.	kontseptsioon; põhimõte	See ettevõte väärtustab keskkonnahoiu põhimõtteid.	hugmynd; stefna	Þetta fyrirtæki metur umhverfisverndarsjónarmið mikils.
4434:理性	理性	理性	racionalan; razum	Moramo racionalno razgovarati o ovom pitanju.	racionalen; razum	O tem vprašanju se moramo pogovoriti racionalno.	racionalus; protas	Turime šį klausimą aptarti racionaliai.	racionāls; saprāts	Mums šis jautājums jāapspriež racionāli.	ratsionaalne; mõistus	Me peame seda küsimust arutama ratsionaalselt.	rökrænn; skynsemi	Við þurfum að ræða þetta mál á rökrænan hátt.
4435:立	立	立	stajati; postaviti	Na ulazu stoji jedna tabla.	stati; postaviti	Pri vhodu stoji tabla.	stovėti; pastatyti	Prie įėjimo stovi ženklas.	stāvēt; uzstādīt	Pie ieejas stāv zīme.	seisma; püstitama	Sissepääsu juures seisab silt.	standa; setja upp	Skilti stendur við innganginn.
4438:力度	力度	力度	jačina; obim	Vlada je povećala obim podrške.	jakost; obseg	Vlada je povečala obseg podpore.	stiprumas; mastas	Vyriausybė padidino paramos mastą.	intensitāte; apjoms	Valdība palielināja atbalsta apjomu.	tugevus; ulatus	Valitsus suurendas toetuse mahtu.	styrkur; umfang	Ríkisstjórnin jók umfang stuðningsins.
4439:历经	历经	历经	proći kroz; doživeti	Ovaj grad je prošao kroz mnoge promene.	prestati; doživeti	To mesto je prestalo številne spremembe.	patirti; pereiti per	Šis miestas patyrė daug pokyčių.	piedzīvot; iziet cauri	Šī pilsēta ir piedzīvojusi daudzas pārmaiņas.	läbi elama; kogema	See linn on läbi teinud palju muutusi.	ganga í gegnum; upplifa	Þessi borg hefur gengið í gegnum margar breytingar.
4440:历年	历年	历年	prethodne godine	Podaci iz prethodnih godina čuvaju se ovde.	pretekla leta	Podatki iz preteklih let so shranjeni tukaj.	ankstesni metai	Ankstesnių metų duomenys saugomi čia.	iepriekšējie gadi	Iepriekšējo gadu dati tiek glabāti šeit.	varasemad aastad	Varasemate aastate andmeid hoitakse siin.	fyrri ár	Gögn frá fyrri árum eru geymd hér.
4443:联合国	联合国	联合国	Ujedinjene nacije	Ujedinjene nacije su objavile novi izveštaj.	Združeni narodi	Združeni narodi so objavili novo poročilo.	Jungtinės Tautos	Jungtinės Tautos paskelbė naują ataskaitą.	Apvienoto Nāciju Organizācija	Apvienoto Nāciju Organizācija publicēja jaunu ziņojumu.	Ühinenud Rahvaste Organisatsioon	Ühinenud Rahvaste Organisatsioon avaldas uue aruande.	Sameinuðu þjóðirnar	Sameinuðu þjóðirnar gáfu út nýja skýrslu.
4444:联网	联网	联网	povezati se na mrežu	Ovaj računar još nije povezan na internet.	povezati se z omrežjem	Ta računalnik še ni povezan z internetom.	prisijungti prie tinklo	Šis kompiuteris dar neprijungtas prie interneto.	pieslēgties tīklam	Šis dators vēl nav pieslēgts internetam.	võrku ühendama	See arvuti pole veel internetti ühendatud.	tengjast neti	Þessi tölva er ekki enn tengd internetinu.
4446:链接	链接	链接	link; veza	Molim te, pošalji mi link.	povezava	Prosimo, pošlji mi povezavo.	nuoroda	Prašau atsiųsti man nuorodą.	saite	Lūdzu, atsūti man saiti.	link; viide	Palun saada mulle link.	tengill	Vinsamlegast sendu mér tengilinn.
4447:两岸	两岸	两岸	obe obale; dve strane	Pejzaž na obe obale je veoma lep.	oba bregova; obe strani	Pokrajina na obeh bregovih je zelo lepa.	abu krantai; abi pusės	Abiejų krantų vaizdai labai gražūs.	abi krasti; abas puses	Ainava abos krastos ir ļoti skaista.	mõlemad kaldad; mõlemad pooled	Mõlema kalda vaated on väga ilusad.	báðir bakkar; báðar hliðar	Útsýnið á báðum bökkum er mjög fallegt.
4448:两极	两极	两极	dva pola; krajnosti	Ovo pitanje je izazvalo dve krajnje reakcije.	dva pola; skrajnosti	To vprašanje je povzročilo skrajne odzive.	du poliai; kraštutinumai	Šis klausimas sukėlė dvi kraštutines reakcijas.	divi poli; galējības	Šis jautājums izraisīja divas galējas reakcijas.	kaks poolust; äärmused	See küsimus tekitas äärmuslikke reaktsioone.	tveir pólar; öfgar	Þetta mál vakti tvær öfgakenndar viðbragðir.
4450:料1	料1	料	sastojak; materijal	Za ovo jelo treba pripremiti sveže sastojke.	sestavina; material	Za pripravo te jedi je treba pripraviti sveže sestavine.	ingredientas; medžiaga	Norint pagaminti šį patiekalą, reikia paruošti šviežių ingredientų.	sastāvdaļa; materiāls	Lai pagatavotu šo ēdienu, jāsagatavo svaigas sastāvdaļas.	koostisosa; materjal	Selle roa tegemiseks tuleb ette valmistada värsked koostisosad.	hráefni; efni	Til að elda þennan rétt þarf að undirbúa fersk hráefni.
4451:料2	料2	料	očekivati; predvideti	Nisam očekivao da će doći tako rano.	pričakovati; predvideti	Nisem pričakoval, da bo prišel tako zgodaj.	tikėtis; numatyti	Nesitikėjau, kad jis ateis taip anksti.	gaidīt; paredzēt	Es negaidīju, ka viņš ieradīsies tik agri.	ootama; ette nägema	Ma ei oodanud, et ta nii vara tuleb.	búast við; sjá fyrir	Ég bjóst ekki við að hann kæmi svona snemma.
4454:流程	流程	流程	proces; tok rada	Molim vas, prvo se upoznajte sa postupkom prijave.	postopek; potek dela	Prosimo, najprej se seznanite s postopkom prijave.	procesas; darbo eiga	Prašome pirmiausia susipažinti su registracijos procesu.	process; darba plūsma	Lūdzu, vispirms iepazīstieties ar reģistrācijas procesu.	protsess; töövoog	Palun tutvuge kõigepealt registreerimisprotsessiga.	ferli; verkflæði	Vinsamlegast kynntu þér fyrst skráningarferlið.
4455:流动	流动	流动	protok; kretanje	Tokom praznika kretanje gradskog stanovništva je veoma veliko.	pretok; gibanje	Med prazniki je gibanje mestnega prebivalstva zelo veliko.	tekėjimas; judėjimas	Per šventes miesto gyventojų judėjimas labai didelis.	plūsma; kustība	Svētku laikā pilsētas iedzīvotāju kustība ir ļoti liela.	liikumine; voolamine	Pühade ajal on linnarahvastiku liikumine väga suur.	flæði; hreyfing	Á hátíðum er hreyfing borgarbúa mjög mikil.
