simplified	IT	example_IT
讥笑	deridere	Non deridere gli errori degli altri.
饥饿	la fame	La fame prolungata può influire sulla salute.
即便	anche se	Anche se piove, partiremo in orario.
即将	stare per	La riunione sta per iniziare.
及早	il prima possibile	I problemi vanno gestiti il prima possibile.
吉祥	di buon auspicio	In Cina il rosso spesso simboleggia la buona fortuna.
嫉妒	invidiare	Non dovrebbe invidiare il successo del collega.
急功近利	cercare vantaggi immediati	La ricerca non va fatta cercando risultati rapidi e miopi.
急剧	brusco; rapido	Le vendite sono calate bruscamente.
急切	ansioso; impaziente	Lei aspettava le notizie con ansia.
急于求成	avere fretta di ottenere risultati	Nell'apprendimento di una lingua non bisogna avere fretta di ottenere risultati.
急躁	impaziente; irritabile	Non diventare impaziente quando incontri difficoltà.
极端	estremo	Questo tipo di clima estremo sta diventando sempre più comune.
极限	il limite	Questo allenamento ha sfidato i suoi limiti.
疾病	la malattia	Le buone abitudini possono prevenire le malattie.
籍贯	il luogo d'origine	Nel modulo bisogna compilare il luogo d'origine.
级别	il livello; il grado	Questa competizione è divisa in tre livelli.
集团	il gruppo; la società	Questo gruppo ha filiali all'estero.
给予	dare; concedere	La scuola dà aiuto agli studenti poveri.
季军	il terzo classificato	Ha ottenuto il terzo posto nella gara.
季度	il trimestre	L'azienda pubblica i bilanci ogni trimestre.
寂静	silenzioso	La valle di notte è particolarmente silenziosa.
寄托	riporre; affidare	Ha riposto le proprie speranze nel figlio.
忌讳	il tabù; evitare	La gente del posto considera tabù parlarne a tavola.
技巧	la tecnica	Padroneggiare le tecniche può aumentare l'efficienza.
纪要	il verbale	Il segretario ha sistemato il verbale della riunione.
继承	ereditare; portare avanti	Ha ereditato l'attività del padre.
计较	discutere; fare storie	Non fare storie per una cosa così piccola.
记性	la memoria	Ha una memoria molto buona.
记载	registrare; annotare	I libri di storia hanno registrato questa guerra.
迹象	il segno	Al momento non ci sono segni di miglioramento.
佳肴	le prelibatezze	La tavola era piena di piatti deliziosi.
加工	lavorare; trasformare	Queste materie prime richiedono ulteriore lavorazione.
加剧	intensificare	Il conflitto si sta intensificando.
夹杂	mescolarsi	Il suono della pioggia era mescolato al tuono.
家常	familiare; casalingo	Mi piace mangiare piatti casalinghi.
家伙	il tizio	Quel tizio arriva sempre in ritardo.
家属	il familiare	Il medico ha avvisato i familiari del paziente.
家喻户晓	noto a tutti	Questa storia è nota a tutti.
坚定	fermo; risoluto	Il suo atteggiamento è molto fermo.
坚固	solido	Questo ponte è molto solido.
坚韧	tenace	Ha un carattere tenace.
坚实	solido	Questa ricerca ha una base solida.
坚硬	duro	Questa pietra è molto dura.
尖端	all'avanguardia	L'azienda investe in tecnologie all'avanguardia.
尖锐	acuto; spinoso	Questa questione è molto spinosa.
煎	friggere in padella	Lo chef sta friggendo il pesce.
监督	supervisionare	La supervisione pubblica aiuta a migliorare il lavoro.
监视	monitorare	La polizia sta monitorando il sospettato.
监狱	la prigione	Sta scontando una pena in prigione.
艰难	difficile	La fase iniziale dell'avvio di un'impresa è molto difficile.
剪彩	tagliare il nastro	Il sindaco ha tagliato il nastro per la nuova biblioteca.
拣	scegliere; selezionare	Ha scelto alcune mele dal cesto.
检讨	esaminare; fare autocritica	Ha esaminato seriamente i propri errori.
检验	testare; verificare	Gli esperimenti possono verificare questa ipotesi.
简化	semplificare	Per favore semplifica ulteriormente il processo.
简陋	semplice e spartano	Vivevano in una capanna semplice e spartana.
简体字	il carattere semplificato	Questo manuale usa i caratteri cinesi semplificati.
简要	breve; conciso	Per favore spiega brevemente il tuo punto di vista.
健全	migliorare; solido	L'azienda deve migliorare il proprio sistema di gestione.
剑	la spada	Sul muro è appesa un'antica spada.
溅	schizzare	L'acqua piovana gli è schizzata sui pantaloni.
舰艇	la nave militare	Varie navi militari hanno partecipato all'esercitazione.
见多识广	esperto e informato	Questo anziano è esperto e conosce molte cose.
见解	l'opinione; la visione	Ha intuizioni originali su questa questione.
见闻	le conoscenze e le esperienze	Il viaggio ha ampliato le sue conoscenze ed esperienze.
见义勇为	agire coraggiosamente per giustizia	È stato lodato per aver agito coraggiosamente per giustizia.
践踏	calpestare	Non calpestare il prato.
鉴别	distinguere; identificare	Gli esperti possono identificare se questo quadro è autentico.
鉴定	valutare; identificare	La polizia sta esaminando le impronte digitali.
鉴于	considerando; in vista di	Considerando il maltempo, l'evento è stato rinviato.
间谍	la spia	Questo film racconta una storia di spie.
间隔	l'intervallo	Tra le due riunioni c'è un intervallo di una settimana.
间接	indiretto	Questa politica avrà un impatto indiretto.
僵硬	rigido	Il suo sorriso sembrava rigido.
将军	il generale	Il generale ha impartito l'ordine.
将近	quasi	Questo progetto è durato quasi due anni.
将就	arrangiarsi; accontentarsi	Le condizioni non sono buone, quindi possiamo solo arrangiarci.
奖励	premiare; il premio	La scuola ha premiato gli studenti eccellenti.
奖赏	la ricompensa	Il re diede al guerriero una ricompensa generosa.
桨	il remo	Il barcaiolo usò il remo per spingere la barca verso la riva.
降临	calare; arrivare	La notte è calata gradualmente sulla città.
交叉	incrociarsi	Le due strade si incrociano qui.
交代	spiegare; chiarire	Per favore spiega chiaramente il compito.
交涉	negoziare	Le due parti stanno negoziando sulla questione del risarcimento.
交易	la transazione	Questa transazione è già stata completata.
娇气	delicatezza eccessiva	Non essere troppo delicato, il tempo non è freddo.
焦点	il punto focale; il centro	Il problema dell'occupazione è diventato il centro della discussione.
焦急	ansioso	La madre aspettava ansiosamente il ritorno del figlio.
侥幸	per fortuna; per caso	È scampato al disastro per fortuna.
搅拌	mescolare	Per favore mescola uniformemente la pastella.
缴纳	pagare	I residenti devono pagare puntualmente la bolletta dell'acqua.
角落	l'angolo	Il gatto si è nascosto nell'angolo della stanza.
教养	l'educazione; il buon comportamento	La buona educazione si vede nei dettagli.
较量	competere; confrontarsi	Le due squadre forti stanno per confrontarsi.
接连	di seguito	Ha ricevuto tre e-mail di seguito.
揭露	rivelare; smascherare	Il giornalista ha rivelato un problema di sicurezza alimentare.
皆	tutti	Queste regole sono note a tutti.
阶层	lo strato sociale	Strati sociali diversi hanno bisogni diversi.
截止	chiudere; terminare	Le iscrizioni si chiudono domani pomeriggio.
截至	fino a; al momento di	Fino a oggi si sono iscritte duecento persone.
杰出	eccezionale	È una scienziata eccezionale.
竭尽全力	fare tutto il possibile	Faremo tutto il possibile per completare il compito.
结晶	il frutto; la cristallizzazione	Questo risultato è il frutto di molti anni di sforzi.
结局	il finale	Il finale della storia è stato inatteso.
结算	saldare; liquidare	Il cliente ha chiesto di saldare le spese a fine mese.
节制	la moderazione; moderare	Bisogna mangiare e bere con moderazione.
节奏	il ritmo	Il ritmo di questa canzone è veloce.
解除	rimuovere; revocare	L'azienda ha revocato l'allarme di sicurezza.
解放	liberare	La riforma ha liberato le forze produttive.
解雇	licenziare	Il capo ha deciso di licenziare quel dipendente.
解剖	l'anatomia; dissezionare	Gli studenti di medicina stanno studiando anatomia.
解散	sciogliere	Dopo la fine della riunione, il gruppo si è sciolto.
解体	disintegrarsi; crollare	Quell'alleanza alla fine si è disintegrata.
借鉴	prendere a riferimento	Possiamo imparare dall'esperienza straniera.
借助	con l'aiuto di	Ha trovato il percorso con l'aiuto della mappa.
戒备	stare in guardia	La zona di confine resta in stato di massima allerta.
界限	il confine	Il lavoro e la vita hanno bisogno di confini chiari.
津津有味	con grande interesse	I bambini ascoltavano la storia con grande interesse.
金融	la finanza; finanziario	Il mercato finanziario oggi ha oscillato molto.
紧迫	urgente	Il tempo è poco e dobbiamo agire subito.
锦上添花	la ciliegina sulla torta	Questo regalo è stato davvero la ciliegina sulla torta.
晋升	essere promosso	L'anno scorso è stato promosso a direttore di reparto.
浸泡	mettere a bagno	I fagioli devono essere messi a bagno per una notte.
近来	di recente	Di recente il tempo è cambiato molto.
进而	e poi	Prima bisogna capire le esigenze, e poi formulare un piano.
进攻	attaccare	La squadra ha rafforzato l'attacco nel secondo tempo.
进化	evolvere	Gli organismi evolvono con l'ambiente.
进展	progredire	Il progetto attualmente procede senza intoppi.
兢兢业业	diligente e coscienzioso	Ha lavorato diligentemente per trent'anni.
惊动	allarmare; disturbare	Il forte rumore ha allarmato i residenti vicini.
惊奇	sorpreso; meravigliato	I bambini guardavano lo spettacolo di magia con meraviglia.
惊讶	sorprendere; stupito	La sua risposta mi ha sorpreso molto.
精打细算	gestire con attenzione i conti	Gestisce sempre le spese domestiche con molta attenzione.
精华	l'essenza	Questo articolo riassume l'essenza della teoria.
精简	snellire; ridurre	L'azienda ha deciso di snellire la dirigenza.
精密	preciso	Questo strumento è molto preciso.
精确	accurato; preciso	I dati devono essere precisi fino a due decimali.
精通	padroneggiare; essere esperto	È esperto in tre lingue straniere.
精心	con cura	La madre ha preparato la cena con cura.
精益求精	cercare sempre il meglio	Gli artigiani eccellenti cercano sempre di perfezionarsi.
精致	raffinato; squisito	Questo regalo è confezionato in modo molto raffinato.
经费	i fondi	I fondi per la ricerca sono già stati approvati.
经纬	longitudine e latitudine	La mappa indica le linee di longitudine e latitudine.
茎	il fusto	Il fusto della pianta sostiene le foglie.
井	il pozzo	All'ingresso del villaggio c'è un antico pozzo.
警告	avvertire	L'insegnante ha avvertito gli studenti di non copiare.
警惕	stare all'erta	Dobbiamo stare all'erta contro le truffe online.
颈椎	la vertebra cervicale	Stare a testa bassa a lungo può danneggiare la colonna cervicale.
境界	il livello; la sfera	La sua pittura ha raggiunto un nuovo livello.
敬礼	salutare militarmente	Il soldato ha salutato la bandiera nazionale.
敬业	dedicato al lavoro	Lavora seriamente ed è molto dedita al lavoro.
竞赛	la gara; la competizione	La scuola ha organizzato una gara di matematica.
竞选	candidarsi	Si sta preparando a candidarsi come sindaco.
镜头	l'obiettivo; l'inquadratura	Il fotografo ha regolato l'obiettivo.
纠纷	la controversia	Le due parti hanno risolto la controversia tramite mediazione.
纠正	correggere	L'insegnante ha corretto in tempo l'errore di pronuncia.
酒精	l'alcol	Il medico ha disinfettato la ferita con alcol.
就近	nelle vicinanze	Gli studenti possono iscriversi a una scuola vicina.
就业	l'occupazione	Il governo ha introdotto politiche per promuovere l'occupazione.
就职	entrare in carica	Il nuovo direttore entrerà ufficialmente in carica la prossima settimana.
救济	il soccorso; l'assistenza	Le vittime del disastro hanno ricevuto assistenza tempestiva.
居民	il residente	I residenti vicini si oppongono all'inquinamento acustico.
居住	risiedere; abitare	Hanno vissuto qui per dieci anni.
拘留	detenere	La polizia ha detenuto il sospettato secondo la legge.
拘束	sentirsi vincolato; trattenuto	Con gli amici non c'è bisogno di sentirsi in imbarazzo.
鞠躬	inchinarsi	L'attore si è inchinato al pubblico in segno di ringraziamento.
局部	locale; parziale	Il medico ha fatto solo un'anestesia locale.
局面	la situazione	Le trattative hanno migliorato la situazione tesa.
局势	la situazione	La situazione internazionale resta complessa.
局限	il limite	Questo metodo ha limiti evidenti.
举动	l'azione	La sua azione ha commosso tutti.
举世瞩目	attirare l'attenzione mondiale	Questo progetto ha ottenuto risultati che hanno attirato l'attenzione mondiale.
举足轻重	avere un peso decisivo	Questa azienda ha un peso decisivo nel settore.
咀嚼	masticare	Bisogna masticare lentamente quando si mangia.
沮丧	abbattuto; scoraggiato	Dopo aver perso la partita si sentiva molto abbattuto.
剧本	la sceneggiatura	Il regista sta modificando la sceneggiatura.
剧烈	violento; intenso	Il terreno ha tremato violentemente.
据悉	secondo quanto riferito	Secondo quanto riferito, la riunione sarà rinviata alla prossima settimana.
聚精会神	concentrarsi	I bambini ascoltavano la lezione con grande concentrazione.
卷	arrotolare	Ha arrotolato la mappa e l'ha messa nella borsa.
倔强	testardo	Questo bambino ha un carattere testardo.
决策	la decisione strategica	La dirigenza sta discutendo una decisione importante.
绝望	la disperazione	Dopo il fallimento per un periodo ha provato disperazione.
觉悟	la consapevolezza	Questa esperienza ha aumentato la sua consapevolezza.
觉醒	risvegliarsi	La coscienza ambientale del pubblico si sta risvegliando.
军队	l'esercito	L'esercito è arrivato rapidamente nella zona del disastro.
君子	il gentiluomo	Un gentiluomo dovrebbe essere coerente tra parole e azioni.
卡通	il cartone animato	Al bambino piace guardare film d'animazione.
开采	estrarre; sfruttare	Questa azienda è responsabile dell'estrazione dei minerali.
开除	espellere	La scuola ha deciso di espellere lo studente che aveva copiato.
开阔	ampio; aperto	Dalla cima della montagna la vista è molto ampia.
开朗	allegro; aperto	Ha un carattere allegro e molti amici.
开明	aperto; illuminato	I genitori hanno un atteggiamento aperto.
开辟	aprire; istituire	La città ha aperto una nuova linea di autobus.
开拓	sviluppare; aprire	L'azienda prevede di sviluppare i mercati esteri.
开展	svolgere; avviare	La scuola ha svolto un'attività di educazione alla sicurezza.
开支	le spese	Le spese mensili della famiglia sono aumentate.
刊登	pubblicare	Il giornale ha pubblicato il suo articolo.
刊物	la pubblicazione	Questa pubblicazione esce una volta al mese.
勘探	l'esplorazione; sondare	La squadra di ingegneri sta sondando le risorse idriche sotterranee.
侃侃而谈	parlare con sicurezza	Alla riunione ha parlato con sicurezza e a lungo.
砍伐	abbattere; tagliare	È vietato abbattere liberamente le foreste.
看待	considerare; vedere	Dobbiamo considerare questo problema in modo obiettivo.
慷慨	generoso	Ha donato generosamente il premio.
抗议	la protesta	I residenti protestano contro la costruzione della nuova fabbrica.
考察	ispezionare; indagare	Gli esperti sono andati sul posto per esaminare l'ambiente.
考古	l'archeologia	La squadra archeologica ha scoperto tombe antiche.
考核	valutare	L'azienda valuta ogni anno le prestazioni dei dipendenti.
考验	mettere alla prova	Questa crisi ha messo alla prova le capacità della squadra.
靠拢	avvicinarsi	I membri della squadra si sono avvicinati verso il centro.
磕	urtare	Ha urtato per sbaglio l'angolo del tavolo.
科目	la materia	La matematica è la sua materia preferita.
可观	considerevole	Questo investimento ha portato rendimenti considerevoli.
可口	gustoso	I piatti di questo ristorante sono gustosi.
可恶	odioso	Questo tipo di inganno è davvero odioso.
可行	fattibile	Questo piano è sostanzialmente fattibile.
渴望	desiderare ardentemente	I bambini desiderano ardentemente più opportunità.
克制	controllare; trattenere	Bisogna controllare le emozioni durante una discussione.
刻不容缓	non ammettere ritardi	Proteggere le fonti d'acqua non ammette ritardi.
客户	il cliente	Il cliente è molto soddisfatto del servizio.
课题	il tema; il progetto	Questo tema merita uno studio approfondito.
啃	rosicchiare	Il bambino sta rosicchiando una pannocchia.
恳切	sincero; fervente	Ha chiesto sinceramente aiuto a tutti.
坑	la buca	A bordo strada c'è una buca molto profonda.
空洞	vuoto; privo di contenuto	Il contenuto di questo rapporto è vuoto.
空前绝后	senza precedenti e irripetibile	Questo spettacolo può dirsi senza precedenti e irripetibile.
空想	la fantasia; fantasticare	Affidarsi solo alla fantasia non può risolvere i problemi.
空虚	il vuoto; vuoto	Dopo il periodo intenso si è sentito vuoto.
孔	il foro	Nel muro c'è un piccolo foro.
恐怖	terrificante	Quel film ha un'atmosfera terrificante.
恐吓	minacciare; intimidire	La controparte ha usato minacce per intimidire il testimone.
恐惧	la paura	Il buio faceva paura al bambino.
空白	lo spazio vuoto	Per favore firma nello spazio vuoto.
空隙	la fessura; l'intervallo	C'è una fessura tra la porta e il pavimento.
口气	il tono	Il suo tono di voce era molto duro.
口腔	la cavità orale	Il medico ha esaminato la sua cavità orale.
口头	orale; verbale	Hanno solo un accordo verbale.
口音	l'accento	Il suo mandarino ha un leggero accento.
扣	allacciare; il bottone	Per favore allaccia bene la cintura di sicurezza.
哭泣	piangere	La ragazza si è nascosta nell'angolo e piangeva.
枯萎	appassire	La mancanza d'acqua ha fatto appassire i fiori.
枯燥	noioso; arido	Questo lavoro è un po' noioso.
苦尽甘来	dopo le amarezze arriva la dolcezza	Dopo anni di perseveranza, le difficoltà hanno finalmente lasciato posto alla felicità.
苦涩	amaro e aspro	Questa tisana medicinale ha un sapore amaro e aspro.
挎	portare al braccio	È uscita portando una borsa di stoffa al braccio.
跨	scavalcare	Ha scavalcato il fosso e ha continuato ad avanzare.
快活	felice; allegro	I bambini giocavano felici sul prato.
宽敞	spazioso	Questa aula è luminosa e spaziosa.
宽容	la tolleranza	La società ha bisogno di più comprensione e tolleranza.
款待	ospitare cordialmente	Il padrone di casa ha ospitato cordialmente gli ospiti.
款式	il modello; lo stile	Questo capo ha uno stile molto originale.
筐	il cesto	Ha portato a casa un cesto di mele sulla schiena.
况且	inoltre; per di più	La strada è lunga e, per di più, sta facendo buio.
旷课	saltare le lezioni	Gli studenti che saltano le lezioni senza motivo saranno registrati.
框架	la cornice; il quadro	Il rapporto deve prima stabilire il quadro generale.
矿产	le risorse minerarie	Questa regione è ricca di risorse minerarie.
亏待	trattare ingiustamente	L'azienda non tratterà ingiustamente i dipendenti che lavorano seriamente.
亏损	la perdita; il deficit	Quest'anno la fabbrica ha subito gravi perdite.
捆绑	legare	Per favore lega bene queste scatole.
扩充	ampliare	La scuola prevede di ampliare la collezione della biblioteca.
扩散	diffondersi	La voce si è diffusa rapidamente online.
扩张	espandere	L'azienda sta espandendo l'attività con prudenza.
啦	particella finale di frase	Non preoccuparti, andrà tutto meglio.
喇叭	il clacson; l'altoparlante	Il clacson dell'auto ha suonato all'improvviso.
蜡烛	la candela	Sulla torta di compleanno erano inserite le candele.
来历	l'origine	L'origine di questo reperto culturale non è chiara.
来源	la fonte	Le notizie devono indicare la fonte delle informazioni.
栏目	la rubrica; la sezione	Questa rubrica va in onda una volta alla settimana.
懒惰	pigro	La pigrizia può influire sui risultati dello studio.
狼狈	in difficoltà; malridotto	Dopo la pioggia era bagnato fradicio e sembrava molto malridotto.
狼吞虎咽	divorare	Stava morendo di fame e divorava il pasto.
捞	pescare fuori	Il pescatore ha tirato fuori una rete dal fiume.
唠叨	brontolare	La madre brontola sempre per piccole cose.
牢固	solido; sicuro	La struttura di questo ponte è molto solida.
牢骚	le lamentele	È pieno di lamentele, ma non vuole cambiare.
乐趣	il piacere	Leggere le porta molto piacere.
乐意	essere disposto; essere felice di	Sono felice di aiutarti a correggere il curriculum.
雷达	il radar	Il radar ha rilevato un aereo in lontananza.
类似	simile	Problemi simili si sono già verificati in passato.
冷酷	freddo; insensibile	Il suo tono sembrava molto freddo.
冷落	trascurare; trattare con freddezza	Il nuovo dipendente si sentiva trascurato.
冷却	raffreddare; raffreddarsi	La macchina deve raffreddarsi prima della riparazione.
愣	restare di stucco	Appena sentita la notizia, è rimasto di stucco.
黎明	l'alba	All'alba la città si è svegliata gradualmente.
理睬	dare retta; prestare attenzione	Era arrabbiato e non dava retta a nessuno.
理所当然	dare per scontato	Non dare per scontato l'aiuto degli altri.
理直气壮	avere ragione e parlare con sicurezza	Con prove sufficienti, parlava con piena sicurezza.
理智	la ragione	Bisogna restare razionali davanti a un conflitto.
礼节	l'etichetta	Culture diverse hanno etichette diverse.
礼尚往来	ricambiare la cortesia	Tra vicini si dà importanza al ricambio della cortesia.
里程碑	la pietra miliare	Questo successo è una pietra miliare per il progetto.
例外	l'eccezione	Tutti devono partecipare, senza eccezioni.
利害	gli interessi; pro e contro	Questo riguarda gli interessi di entrambe le parti.
力求	sforzarsi di	Ci sforziamo di ridurre gli errori al minimo.
力所能及	entro le proprie possibilità	Per favore fai qualcosa entro le tue possibilità.
力争	sforzarsi di ottenere	La squadra si sforza di completare il compito in anticipo.
历代	le generazioni passate	Studiosi di generazioni passate hanno studiato questa questione.
历来	da sempre	Questa città ha sempre dato importanza all'istruzione.
立场	la posizione	Ha dichiarato la propria posizione alla riunione.
立方	il cubo; metro cubo	Questo serbatoio ha una capacità di tre metri cubi.
立交桥	il cavalcavia	Questo cavalcavia ha alleviato la congestione del traffico.
立体	tridimensionale	Questo dipinto ha un forte effetto tridimensionale.
立足	radicarsi; basarsi	Le imprese devono radicarsi nel mercato locale.
粒	il granello; classificatore per cose piccole e rotonde	Sul tavolo ci sono alcuni chicchi di riso.
廉洁	onesto e pulito	I funzionari pubblici devono rimanere onesti e puliti.
联欢	riunirsi per festeggiare	Gli studenti hanno tenuto una festa di Capodanno.
联络	contattare	Per favore contatta il cliente il prima possibile.
联盟	l'alleanza	Alcuni paesi hanno formato un'alleanza commerciale.
联想	associare	Questa foto mi fa pensare all'infanzia.
连年	per anni consecutivi	Questa regione subisce alluvioni da anni consecutivi.
连锁	la catena	Questa azienda gestisce supermercati a catena.
连同	insieme con	Per favore invia la fattura insieme al contratto.
良心	la coscienza	Bisogna vivere senza tradire la propria coscienza.
晾	asciugare all'aria	Ha steso i vestiti ad asciugare sul balcone.
谅解	la comprensione	Spero che tu possa comprendere le nostre difficoltà.
辽阔	vasto	La prateria è vasta e si estende oltre lo sguardo.
列举	elencare	L'insegnante ha elencato tre esempi.
临床	clinico	Questo farmaco è in fase di sperimentazione clinica.
淋	bagnarsi; inzupparsi	Non restare troppo a lungo sotto la pioggia.
吝啬	avaro; tirchio	Con gli amici non è mai avaro.
伶俐	intelligente; sveglio	Questa bambina è intelligente e sveglia.
凌晨	le prime ore del mattino	L'aereo decolla alle tre del mattino.
灵感	l'ispirazione	La musica gli ha dato ispirazione creativa.
灵魂	l'anima	La libertà è l'anima di quest'opera.
灵敏	sensibile; reattivo	Questo strumento reagisce in modo molto sensibile.
零星	sparso; frammentario	Nel cielo notturno c'erano luci sparse.
领会	capire; cogliere	Ha capito rapidamente il senso delle parole dell'insegnante.
领事馆	il consolato	È andato al consolato per sbrigare il visto.
领土	il territorio	Ogni paese dà importanza all'integrità territoriale.
领悟	comprendere	Dopo aver vissuto il fallimento, ha compreso la responsabilità.
领先	essere in testa; precedere	La loro tecnologia attualmente precede quella dei concorrenti.
领袖	il leader	Questo leader è profondamente rispettato dal popolo.
溜	sgattaiolare; scivolare via	Il cucciolo è sgattaiolato fuori dalla fessura della porta.
流浪	vagabondare	Da giovane ha vagabondato da un posto all'altro.
流露	rivelare	Sul suo volto traspariva gioia.
流氓	il teppista	La polizia ha catturato alcuni teppisti di strada.
流通	circolare	Questa valuta un tempo circolava localmente.
留恋	essere restio a lasciare	Alla laurea tutti erano affezionati al campus.
留念	tenere come ricordo	Abbiamo scattato foto davanti al cancello della scuola come ricordo.
留神	fare attenzione	Bisogna fare attenzione quando si attraversa la strada.
聋哑	sordomuto	La scuola offre aiuto ai bambini sordomuti.
隆重	solenne; grandioso	La conferenza si è tenuta solennemente nell'auditorium.
垄断	monopolizzare	Il monopolio può danneggiare la concorrenza del mercato.
笼罩	avvolgere	Una fitta nebbia avvolgeva tutto il villaggio.
搂	abbracciare	La madre ha abbracciato dolcemente il bambino.
炉灶	il fornello	Il fornello in cucina deve essere pulito.
轮船	la nave	La nave ha lasciato lentamente il porto.
轮廓	il contorno	Il profilo delle montagne lontane è molto chiaro.
轮胎	il pneumatico	I pneumatici dell'auto devono essere sostituiti.
论坛	il forum	Gli esperti hanno tenuto interventi al forum.
论证	la dimostrazione	La relazione deve dimostrare meglio l'argomento.
啰唆	essere prolisso	Non essere prolisso, vai direttamente al punto.
络绎不绝	in flusso continuo	I turisti arrivavano nella città antica in flusso continuo.
落成	essere completato	Il nuovo palazzetto sarà inaugurato ufficialmente domani.
落实	attuare	La riunione ha chiesto di attuare rapidamente la nuova politica.
屡次	ripetutamente	Lui ha ricordato ripetutamente a tutti di fare attenzione alla sicurezza.
履行	adempiere	Le due parti devono adempiere agli obblighi del contratto.
掠夺	il saccheggio	La guerra ha causato il saccheggio delle risorse.
嘛	la particella modale ma	Questa faccenda è semplice, no.
麻痹	la paralisi	Un lungo periodo senza problemi può rendere le persone negligenti.
麻木	intorpidito	Il freddo gli ha reso intorpidite le dita.
麻醉	l'anestesia	Prima dell'operazione il medico ha fatto l'anestesia al paziente.
码头	il molo	La nave merci ha attraccato vicino al molo.
蚂蚁	la formica	Le formiche stanno trasportando il cibo.
埋伏	l'imboscata	I soldati erano in imboscata nella valle.
埋没	lasciare nell'ombra	Non bisogna lasciare nell'ombra le persone di talento.
埋葬	seppellire	Gli abitanti del villaggio seppellirono l'anziano sul pendio.
脉搏	il polso	L'infermiera sta misurando il suo polso.
迈	fare un passo	Lui fece grandi passi verso l'ingresso.
埋怨	lamentarsi	Non lamentarti sempre degli altri.
慢性	cronico	Le malattie croniche richiedono cure a lungo termine.
漫长	lungo	Loro hanno attraversato una lunga attesa.
漫画	il fumetto	Questo fumetto è molto popolare tra i giovani.
蔓延	diffondersi	Il fuoco si è diffuso rapidamente nel profondo della foresta.
忙碌	occupato	La fine dell'anno è il periodo più occupato dell'azienda.
盲目	alla cieca	Negli investimenti non bisogna seguire le mode alla cieca.
茫茫	sconfinato	La barca scomparve nel mare sconfinato.
茫然	smarrito	Dopo aver ascoltato la spiegazione, lui sembrava ancora smarrito.
冒充	spacciarsi per	Qualcuno si è spacciato per poliziotto per truffare denaro.
冒犯	offendere	Le mie parole non volevano offenderti.
茂盛	rigoglioso	Gli alberi nel cortile crescono rigogliosi.
媒介	il mezzo	Internet è un importante mezzo di informazione.
枚	il classificatore per piccoli oggetti	Lui ha collezionato alcune monete commemorative.
美观	bello da vedere	Questo progetto è sia pratico sia bello da vedere.
美满	felice	Loro conducono una vita felice e appagante.
美妙	meraviglioso	Il concerto ha offerto un'esperienza meravigliosa.
萌芽	germogliare	Una nuova idea ha cominciato a germogliare.
猛烈	violento	La tempesta è arrivata con grande violenza.
眯	socchiudere gli occhi	La luce del sole era troppo forte, quindi socchiuse gli occhi.
弥补	compensare	Le scuse non possono compensare completamente la perdita.
弥漫	pervadere	Il profumo dei fiori pervadeva il cortile.
谜语	l'indovinello	Ai bambini piace risolvere indovinelli.
迷惑	confondere	I dati complessi lo hanno confuso.
迷人	affascinante	Il panorama notturno sul mare è molto affascinante.
迷信	la superstizione	L'educazione scientifica può ridurre la superstizione.
密度	la densità	Questo metallo ha una densità molto alta.
密封	sigillare	Dopo l'apertura, sigilla di nuovo il sacchetto.
棉花	il cotone	I contadini stanno raccogliendo il cotone.
免得	per evitare di	Esci prima per evitare di arrivare in ritardo.
免疫	l'immunità	Questo vaccino può aumentare l'immunità.
勉励	incoraggiare	L'insegnante incoraggia spesso gli studenti a continuare a studiare.
勉强	a malincuore	Lui ha accettato questo accordo a malincuore.
面貌	l'aspetto	L'aspetto della città è cambiato enormemente.
面子	la faccia	Lui non voleva perdere la faccia in pubblico.
描绘	descrivere	Il romanzo descrive la vita di campagna.
瞄准	mirare	Il tiratore ha mirato al bersaglio.
渺小	minuscolo	Davanti alla natura, le persone sembrano molto piccole.
藐视	disprezzare	Non possiamo disprezzare nessun avversario.
灭亡	crollare	Quella dinastia alla fine andò verso il crollo.
蔑视	il disprezzo	Il suo tono era pieno di disprezzo.
民间	popolare	L'arte popolare deve essere protetta.
民主	la democrazia	La riunione ha usato il voto democratico.
敏捷	agile	I movimenti dell'atleta sono molto agili.
敏锐	acuto	I giornalisti hanno bisogno di un'acuta capacità di osservazione.
名次	la posizione in classifica	Lei ha ottenuto una buona posizione in classifica nella gara.
名额	il posto disponibile	Questo progetto ha solo dieci posti disponibili.
名副其实	autentico	Lui è un autentico esperto.
名誉	la reputazione	Questa vicenda ha danneggiato la reputazione dell'azienda.
明明	chiaramente	Lui conosceva chiaramente la risposta, ma non voleva dirla.
明智	saggio	Rimandare la decisione è stata una scelta saggia.
命名	dare un nome	Gli scienziati hanno dato un nome alla nuova specie.
摸索	esplorare	Il team sta ancora esplorando un nuovo metodo.
摩擦	l'attrito	Tra i due paesi è comparso un attrito commerciale.
模范	il modello	Lui è un modello per tutti gli studenti della scuola.
模式	il modello	Questo modello commerciale ha molto successo.
模型	il modello	L'ingegnere ha costruito un modello del ponte.
磨合	il rodaggio	Una nuova squadra ha bisogno di tempo per il rodaggio.
膜	la membrana	Questa membrana può filtrare le impurità.
魔鬼	il diavolo	Il diavolo nella storia era molto astuto.
魔术	la magia	Ai bambini piace guardare spettacoli di magia.
抹杀	cancellare	Il suo contributo non può essere cancellato.
