simplified	TE	example_TE
朴实	సాదాసీదా; నిజాయితీగల	అతని భాష సాదాసీదాగా మరియు నిజాయితీగా ఉంది.
朴素	ఆడంబరం లేని; సరళమైన	ఆమె సరళమైన జీవనశైలిని ఇష్టపడుతుంది.
瀑布	జలపాతం	పర్యాటకులు జలపాతం పక్కన నిలబడి ఫోటోలు తీశారు.
凄凉	విరానంగా; విషాదంగా	చలికాలంలో పర్వత గ్రామం చాలా విరానంగా కనిపించింది.
期望	ఆశ; నిరీక్షణ	తల్లిదండ్రులకు పిల్లలపై అధిక ఆశలు ఉంటాయి.
期限	గడువు	నమోదు గడువు ఈ శుక్రవారం.
欺负	బాధించడం; వేధించడం	పెద్ద పిల్లలు చిన్న పిల్లలను వేధించకూడదు.
欺骗	మోసం చేయడం	తప్పుడు ప్రకటన వినియోగదారులను మోసం చేసింది.
奇妙	అద్భుతమైన; విచిత్రమైన	ప్రకృతిలో అనేక అద్భుతమైన ఘటనలు ఉన్నాయి.
旗袍	చైనీయుల సంప్రదాయ దుస్తులు	ఆమె ఎరుపు రంగు చైనీయుల సంప్రదాయ దుస్తులు ధరించి విందుకు వెళ్లింది.
旗帜	జెండా	చౌరస్తాలో రంగురంగుల జెండాలు రెపరెపలాడుతున్నాయి.
歧视	వివక్ష చూపడం; వివక్ష	చట్టం ఏ రూపమైన వివక్షనైనా నిషేధిస్తుంది.
齐全	పూర్తిగా ఉన్న	ఈ దుకాణంలో పనిముట్లు పూర్తిగా ఉన్నాయి.
齐心协力	అందరూ కలసి శ్రమించడం	అందరూ కలసి శ్రమించి పనిని పూర్తి చేశారు.
乞丐	భిక్షగాడు	రోడ్డు పక్కన ఒక వృద్ధ భిక్షగాడు కూర్చున్నాడు.
企图	ప్రయత్నించడం; యత్నం	అతడు నిజమైన పరిస్థితిని దాచడానికి ప్రయత్నించాడు.
启程	ప్రయాణం ప్రారంభించడం	ప్రతినిధి బృందం రేపు తెల్లవారుజామున ప్రయాణం ప్రారంభిస్తుంది.
启蒙	ఆరంభ జ్ఞానం ఇవ్వడం	ఈ పుస్తకం పిల్లల ప్రారంభ పఠనానికి సరిపోతుంది.
启事	ప్రకటన; నోటీసు	పాఠశాల గేటు వద్ద నియామక ప్రకటన అంటించారు.
启示	పాఠం; అవగాహన	ఈ వైఫల్యం మాకు ముఖ్యమైన పాఠం ఇచ్చింది.
岂有此理	అసంబద్ధమైన; న్యాయం లేని	ఇలాంటి రుసుము నిజంగా అసంబద్ధం.
起草	ముసాయిదా తయారు చేయడం	న్యాయవాది ఒప్పందాన్ని ముసాయిదా చేస్తున్నాడు.
起初	మొదట్లో	మొదట్లో అతడు ఆ వార్తను నమ్మలేదు.
起伏	ఎత్తుపల్లాలు ఉండడం	పర్వత రహదారి భూమి స్వరూపం ప్రకారం ఎత్తుపల్లాలు పడుతుంది.
起哄	అల్లరి చేయడం	విద్యార్థులు తరగతిలో అల్లరి చేయకూడదు.
起码	కనీసం	కనీసం నన్ను ముందుగానే తెలియజేయాలి.
起源	ఉద్భవించడం; మూలం	ఈ పండుగ ప్రాచీన కాలం నుండి ఉద్భవించింది.
器材	పరికరాలు	ప్రయోగశాలకు కొత్త బోధన పరికరాలు అవసరం.
器官	అవయవం	గుండె మానవ శరీరంలోని ముఖ్యమైన అవయవం.
气概	ధైర్య స్వభావం; వీరత్వం	ఈ కవిత వీరత్వాన్ని చూపిస్తుంది.
气功	చీగోంగ్ శ్వాసాభ్యాసం	తాత ప్రతిరోజు ఉదయం చీగోంగ్ అభ్యాసం చేస్తాడు.
气魄	వైభవం; ధైర్యమైన తీరు	ఈ వంతెనకు గొప్ప వైభవం ఉంది.
气色	ముఖవర్ణం	విశ్రాంతి తర్వాత అతని ముఖవర్ణం చాలా మెరుగైంది.
气势	ఉత్సాహం; వేగం	జట్టు ప్రారంభం నుంచే బలమైన ఉత్సాహంతో ఆడింది.
气味	వాసన	వంటగదిలో కాల్చిన రొట్టె వాసన ఉంది.
气象	వాతావరణ స్థితి; దృశ్య వాతావరణం	ఇక్కడి పీఠభూమి వాతావరణం త్వరగా మారుతుంది.
气压	గాలి పీడనం	గాలి పీడనం తగ్గితే వర్షం రావచ్చు.
气质	స్వభావ శైలి; వ్యక్తిత్వం	ఆమెకు ప్రశాంతమైన స్వభావ శైలి ఉంది.
迄今为止	ఇప్పటివరకు	ఇప్పటివరకు ప్రయోగం సజావుగా ముందుకు సాగింది.
掐	చిటికేయడం; కోయడం	ఆమె ఒక చిన్న పువ్వును కోసింది.
恰当	తగిన; సరైన	నీ సమాధానం చాలా తగినది.
恰到好处	అచ్చంగా సరైన స్థాయిలో	ఈ వంటకంలోని తీపి అచ్చంగా సరైన స్థాయిలో ఉంది.
恰巧	యాదృచ్ఛికంగా; అచ్చం అప్పుడే	నేను స్టేషన్‌కు చేరుకున్నప్పుడు యాదృచ్ఛికంగా వర్షం పడింది.
洽谈	చర్చించడం	రెండు పక్షాలు సహకార వివరాలను చర్చిస్తున్నాయి.
千方百计	ఎన్నో మార్గాల్లో ప్రయత్నించడం	వారు పరిష్కారం కోసం ఎన్నో మార్గాల్లో ప్రయత్నించారు.
牵	చేతి పట్టుకొని నడిపించడం; లాగడం	అమ్మ పిల్లవాడి చేయి పట్టుకొని రహదారి దాటించింది.
牵扯	సంబంధం కలిగి ఉండడం; ఇమిడిపోవడం	ఈ విషయం అనేక విభాగాలకు సంబంధించినది.
牵制	అణిచిపెట్టడం; కట్టడి చేయడం	ప్రత్యర్థి రక్షణ దాడిని కట్టడి చేసింది.
签署	సంతకం చేయడం	రెండు కంపెనీలు ఒప్పందంపై సంతకం చేశాయి.
谦逊	వినయమైన	విజయానంతరం కూడా అతడు వినయంగా ఉన్నాడు.
迁就	అనుకూలించిపోవడం; మన్నించడం	తల్లిదండ్రులు ఎప్పుడూ పిల్లలకే అనుకూలించిపోవకూడదు.
迁徙	వలస వెళ్లడం	వలస పక్షులు ప్రతి సంవత్సరం ఋతువుల ప్రకారం వలస వెళ్తాయి.
前景	భవిష్యత్ అవకాశాలు	ఈ రంగానికి మంచి భవిష్యత్ అవకాశాలు ఉన్నాయి.
前提	పూర్వ షరతు; ఆధారం	నమ్మకం సహకారానికి పూర్వ షరతు.
潜力	సామర్థ్యం; భవిష్యత్ శక్తి	ఈ విద్యార్థికి గొప్ప సామర్థ్యం ఉంది.
潜水	నీటిలో మునిగి ఈత కొట్టడం	వారు సముద్రతీరానికి వెళ్లి నీటిలో మునిగి ఈత నేర్చుకున్నారు.
潜移默化	తెలియకుండానే ప్రభావం చూపడం	కుటుంబ వాతావరణం పిల్లలపై తెలియకుండానే ప్రభావం చూపుతుంది.
谴责	ఖండించడం	అంతర్జాతీయ సమాజం హింసాత్మక చర్యలను ఖండించింది.
抢劫	దోపిడీ చేయడం	బ్యాంకును దోచుకున్న అనుమానితుడిని పోలీసులు పట్టుకున్నారు.
强制	బలవంతంగా అమలు చేయడం	కొత్త నియమం డ్రైవర్లు సీటు బెల్ట్ ధరించడాన్ని బలవంతం చేస్తుంది.
强迫	బలవంతం చేయడం	పిల్లలు ఇష్టపడని పనులు చేయమని బలవంతం చేయకండి.
抢救	అత్యవసరంగా రక్షించడం	వైద్యులు గాయపడిన కార్మికుడిని అత్యవసరంగా రక్షిస్తున్నారు.
桥梁	వంతెన; అనుసంధానం	భాష సాంస్కృతిక మార్పిడికి వంతెన.
窍门	చిట్కా; సులభమైన పద్ధతి	ఉచ్చారణ నేర్చుకోవడానికి కొన్ని చిట్కాలు ఉన్నాయి.
翘	పైకి ఎత్తడం	అతడు ఒక కాలును కుర్చీపైకి ఎత్తాడు.
切实	ప్రాయోగికమైన; నిజంగా అమలయ్యే	మనకు నిజంగా అమలయ్యే ప్రాయోగిక ప్రణాళిక అవసరం.
锲而不舍	వదలకుండా పట్టుదలగా కొనసాగడం	అతడు ఈ సమస్యను వదలకుండా పట్టుదలగా అధ్యయనం చేశాడు.
亲密	సన్నిహితమైన	వారు ఎప్పటినుంచీ సన్నిహిత సంబంధాన్ని కొనసాగించారు.
亲热	ఆప్యాయమైన; హృదయపూర్వకమైన	వృద్ధుడు అతిథులను ఆప్యాయంగా పలకరించాడు.
侵犯	హక్కును ఉల్లంఘించడం	ఈ ప్రవర్తన వ్యక్తిగత గోప్యతను ఉల్లంఘించింది.
侵略	ఆక్రమణ	ప్రజలు ఏ రూపమైన ఆక్రమణనైనా వ్యతిరేకిస్తారు.
钦佩	గౌరవంగా మెచ్చుకోవడం	ఆమె ధైర్యాన్ని నేను చాలా గౌరవంగా మెచ్చుకుంటాను.
勤俭	కష్టపడే మరియు మితవ్యయమైన	అమ్మమ్మ జీవితాంతం కష్టపడి మితవ్యయంగా ఇంటిని నడిపింది.
勤劳	కష్టపడే	కష్టపడే మనుషులు ఎప్పుడూ అవకాశాలను సృష్టించగలరు.
倾听	శ్రద్ధగా వినడం	ఉపాధ్యాయుడు విద్యార్థుల అభిప్రాయాలను శ్రద్ధగా విన్నాడు.
倾向	మొగ్గు; ధోరణి	యువ వినియోగదారులు ఆన్‌లైన్ కొనుగోలుకు మొగ్గు చూపుతున్నారు.
倾斜	వంగిపోవడం	భారీ వర్షం తర్వాత గోడ వంగడం ప్రారంభించింది.
清澈	స్పష్టమైన; పారదర్శకమైన	పర్వతాల్లోని వాగు చాలా పారదర్శకంగా ఉంది.
清晨	తెల్లవారుజాము	తెల్లవారుజామున గాలి ప్రత్యేకంగా తాజా ఉంటుంది.
清除	తొలగించడం	కార్మికులు రహదారిపై ఉన్న మంచును తొలగించారు.
清洁	శుభ్రమైన	ఆసుపత్రి పరిసరాలను శుభ్రంగా ఉంచాలి.
清理	శుభ్రపరచడం; సర్దుబాటు చేయడం	వారాంతంలో మేము గిడ్డంగిని శుభ్రపరిచాం.
清晰	స్పష్టమైన	ఈ ఫోటో చాలా స్పష్టంగా ఉంది.
清醒	స్పష్టమైన చైతన్యంతో ఉన్న; మేల్కొన్న	కాఫీ తాగిన తర్వాత అతడు మరింత స్పష్టంగా ఉన్నాడు.
清真	హలాల్; ఇస్లామీయ	దగ్గరలో ఒక హలాల్ భోజనశాల ఉంది.
情报	గూఢ సమాచారం; ముఖ్య సమాచారం	వార్తాప్రతినిధి ముఖ్యమైన గూఢ సమాచారాన్ని పొందాడు.
情节	కథాంశం; ఘటనల క్రమం	నవల కథాంశం చాలా ఉత్కంఠభరితంగా ఉంది.
情理	న్యాయబద్ధమైన భావం; కారణం	అతని అభ్యర్థన న్యాయబద్ధంగా లేదు.
情形	పరిస్థితి	స్థలంలోని పరిస్థితి ఊహించినదానికంటే సంక్లిష్టంగా ఉంది.
晴朗	మేఘరహితంగా ప్రకాశవంతమైన	ఈ రోజు ఆకాశం ప్రత్యేకంగా నిర్మలంగా ఉంది.
请柬	ఆహ్వాన పత్రం	వారు బంధువులకు మరియు స్నేహితులకు వివాహ ఆహ్వాన పత్రాలు పంపారు.
请教	సలహా అడగడం	ఒక ప్రశ్నపై మీ సలహా అడగాలని ఉంది.
请示	ఆదేశాలు కోరడం	ఈ విషయంపై ముందుగా నాయకుడి ఆదేశాలు కోరాలి.
请帖	ఆహ్వాన పత్రం	మెజపై పుట్టినరోజు ఆహ్వాన పత్రం ఉంది.
丘陵	కొండచరియల ప్రాంతం; చిన్న కొండలు	ఈ ప్రాంతంలో చిన్న కొండలు ఎక్కువగా ఉన్నాయి.
区分	తేడా గుర్తించడం	పిల్లవాడు ఇప్పటికే ఎడమ కుడి తేడా గుర్తించగలడు.
区域	ప్రాంతం	ఈ ప్రాంతంలో పార్కింగ్ నిషేధం.
屈服	లొంగిపోవడం	అతడు ఒత్తిడికి లొంగిపోలేదు.
曲折	సంక్లిష్టమైన; వంకరలతో కూడిన	వారు సంక్లిష్టమైన చర్చలను అనుభవించారు.
驱逐	బహిష్కరించడం; వెళ్లగొట్టడం	పోలీసులు అల్లరి చేసిన వారిని వెళ్లగొట్టారు.
渠道	మార్గం; ఛానల్	కంపెనీ కొత్త మార్గం ద్వారా ఉత్పత్తులను అమ్ముతోంది.
取缔	నిషేధించడం	ప్రభుత్వం అక్రమ మార్కెట్‌ను నిషేధించింది.
曲子	సంగీత స్వరం; బాణీ	ఈ బాణీ యొక్క మేళం చాలా అందంగా ఉంది.
趣味	ఆసక్తి; వినోదం	ఈ ఆట చాలా ఆసక్తికరంగా ఉంది.
圈套	ఉచ్చు; మోసపు పన్నాగం	అతడు దాదాపు మోసగాడి ఉచ్చులో పడిపోయాడు.
全局	మొత్తం పరిస్థితి	నాయకులు మొత్తం ప్రయోజనాలను పరిగణలోకి తీసుకోవాలి.
全力以赴	సర్వశక్తులతో ప్రయత్నించడం	పనిని పూర్తి చేయడానికి మేము సర్వశక్తులతో ప్రయత్నిస్తాము.
拳头	పిడికిలి	అతడు పిడికిలిని బిగించి పోటీకి సిద్ధమయ్యాడు.
权衡	తూచా తూలన చేయడం; పరిశీలించడం	మనం ఖర్చు మరియు ఫలితాన్ని తూచా తూలన చేయాలి.
权威	అధికారిక నిపుణుడు; ప్రామాణిక అధికారం	ఆ ప్రొఫెసర్ ఆ రంగంలో అధికారిక నిపుణుడు.
犬	కుక్క	ఈ రకం కుక్క ఇంటిని కాపాడటానికి సరిపోతుంది.
缺口	ఖాళీ; పగులు	గోడలో ఒక చిన్న పగులు ఉంది.
缺席	హాజరు కాకపోవడం	అతడు అనారోగ్యంతో సమావేశానికి హాజరు కాలేదు.
缺陷	లోపం	ఈ రూపకల్పనలో స్పష్టమైన లోపం ఉంది.
瘸	కుంటి	అతని ఎడమ కాలు కొంచెం కుంటిగా ఉంది.
确保	నిశ్చయంగా నిర్ధారించడం	దయచేసి తలుపు తాళం వేసిందని నిర్ధారించండి.
确立	స్థాపించడం; ఖరారు చేయడం	కంపెనీ కొత్త అభివృద్ధి లక్ష్యాలను ఖరారు చేసింది.
确切	ఖచ్చితమైన	నాకు ఖచ్చితమైన సమయం తెలియదు.
确信	దృఢంగా నమ్మడం	అతడు సమయానికి చేరుకుంటాడని నేను దృఢంగా నమ్ముతున్నాను.
群众	ప్రజా సమూహం; ప్రజలు	ప్రజలు కొత్త విధానానికి మద్దతు ఇస్తున్నారు.
染	రంగు వేయడం; అంటుకోవడం	ఆమె తన జుట్టుకు నలుపు రంగు వేసుకుంది.
嚷	గట్టిగా అరవడం	దారిలో గట్టిగా అరవకండి.
让步	రాయితీ ఇవ్వడం; వెనక్కి తగ్గడం	రెండు పక్షాలూ కొన్ని రాయితీలు ఇచ్చాయి.
饶恕	క్షమించడం	ఆమె చివరికి ఎదుటివారిని క్షమించడాన్ని ఎంచుకుంది.
扰乱	అల్లకల్లోలం చేయడం; భంగం కలిగించడం	శబ్దం తరగతి క్రమాన్ని భంగం కలిగించింది.
惹祸	ఇబ్బంది తెచ్చుకోవడం	అజాగ్రత్తగా సరదాగా మాట్లాడటం సులభంగా ఇబ్బంది తెచ్చుకోవచ్చు.
热泪盈眶	కన్నీళ్లు పొంగివచ్చేంతగా కదిలిపోవడం	మంచి వార్త విని ఆమె కళ్లలో కన్నీళ్లు పొంగివచ్చాయి.
热门	ప్రాచుర్యంలో ఉన్న	కృత్రిమ మేధస్సు ప్రాచుర్యంలో ఉన్న విషయం.
人道	మానవతా భావం	రక్షణ చర్య మానవతా భావాన్ని ప్రతిబింబించింది.
人格	వ్యక్తిత్వ గౌరవం	ఇతరులను అవమానించడం వ్యక్తిత్వ గౌరవాన్ని దెబ్బతీస్తుంది.
人工	కృత్రిమమైన; మానవ శ్రమతో చేసిన	ఈ నది మానవ శ్రమతో తవ్వబడింది.
人家	ఇతరులు	ఎప్పుడూ నిన్ను ఇతరులతో పోల్చుకోకు.
人间	మానవ లోకం	వసంతం మానవ లోకాన్ని జీవంతో నింపుతుంది.
人士	వ్యక్తులు; ప్రముఖులు	వివిధ వర్గాల వ్యక్తులు చర్చా సమావేశంలో పాల్గొన్నారు.
人为	మానవ కారణంతో జరిగిన; కృత్రిమమైన	ఈ ప్రమాదం మానవ కారణాల వల్ల జరిగింది.
人性	మానవ స్వభావం	ఈ సినిమా మానవ స్వభావాన్ని చర్చిస్తుంది.
人质	బంధి	పోలీసులు బంధిని విజయవంతంగా రక్షించారు.
仁慈	కరుణగల	ఆ వైద్యుడు రోగుల పట్ల చాలా కరుణగలవాడు.
忍耐	ఓర్పు చూపడం	పొడవైన వరుసలో నిలబడటానికి కొంత ఓర్పు అవసరం.
忍受	భరించడం	ఇక్కడి శబ్దాన్ని నేను భరించలేను.
任命	నియమించడం	డైరెక్టర్ మండలి ఆమెను మేనేజరుగా నియమించింది.
任性	తన ఇష్టానుసారం ప్రవర్తించే	పిల్లవాడు చాలా తన ఇష్టానుసారం ప్రవర్తిస్తే ఎదుగుదలపై ప్రభావం పడుతుంది.
任意	ఇష్టానుసారం; యాదృచ్ఛికంగా	దయచేసి డేటాను ఇష్టానుసారం మార్చవద్దు.
任重道远	బాధ్యత భారీగా, దారి దీర్ఘంగా ఉండటం	విద్యా సంస్కరణకు బాధ్యత భారీగా, దారి దీర్ఘంగా ఉంది.
认定	నిర్ధారించడం	పోలీసులు ఇది ఒక ప్రమాదమని నిర్ధారించారు.
认可	ఆమోదించడం; గుర్తింపు	అతని ప్రణాళిక అందరి ఆమోదం పొందింది.
仍旧	ఇప్పటికీ	అనేక సంవత్సరాల తర్వాత కూడా అతడు ఇక్కడే నివసిస్తున్నాడు.
日新月异	రోజురోజుకు వేగంగా మారడం	సాంకేతికత రోజురోజుకు వేగంగా అభివృద్ధి చెందుతోంది.
日益	రోజురోజుకు మరింత	పర్యావరణ సమస్యలు రోజురోజుకు మరింత తీవ్రమవుతున్నాయి.
容貌	రూపం; ముఖచిత్రం	కాలం అతని రూపాన్ని మార్చింది.
容纳	ధరించడం; చోటు ఇవ్వడం	ఈ మందిరం ఐదు వందల మందిని ఉంచగలదు.
容器	పాత్ర	దయచేసి ద్రవాన్ని గాజు పాత్రలో పోయండి.
容忍	సహించడం	కంపెనీ మోసాన్ని సహించదు.
溶解	కరుగడం	ఉప్పు నీటిలో కరుగుతుంది.
荣幸	గౌరవంగా భావించడం	సమావేశంలో పాల్గొనడం నాకు గౌరవంగా ఉంది.
荣誉	గౌరవం	ఈ పతకం అత్యున్నత గౌరవాన్ని సూచిస్తుంది.
融化	కరగడం	సూర్యకాంతి మంచును నెమ్మదిగా కరిగించింది.
融洽	సౌహార్దపూర్వకమైన	సహచరుల మధ్య సంబంధం చాలా సౌహార్దపూర్వకంగా ఉంది.
揉	రుద్దడం; మర్దన చేయడం	అమ్మ నా భుజాలను మెల్లగా రుద్దింది.
柔和	మృదువైన	దీపం మృదువుగా ఉంది, కళ్లకు గుచ్చదు.
儒家	కన్ఫ్యూషియన్ ఆలోచనా సంప్రదాయం	కన్ఫ్యూషియన్ ఆలోచన తూర్పు ఆసియా సంస్కృతిని ప్రభావితం చేసింది.
弱点	బలహీన బిందువు	అజాగ్రత్త అతని ప్రధాన బలహీన బిందువు.
若干	కొన్ని	సమావేశం కొన్ని సూచనలు పెట్టింది.
撒谎	అబద్ధం చెప్పడం	పిల్లలు అబద్ధం చెప్పకూడదు.
散文	గద్యరచన	ఆమె ఆధునిక గద్యరచనలు చదవడం ఇష్టపడుతుంది.
散布	ప్రచారం చేయడం; వ్యాప్తి చేయడం	ఆన్‌లైన్‌లో ఎవరో పుకార్లు వ్యాప్తి చేశారు.
散发	విడుదల చేయడం; వెదజల్లడం	తోటలో మృదువైన సువాసన వెదజల్లుతోంది.
丧失	కోల్పోవడం	అతడు నమ్మకాన్ని కోల్పోలేదు.
骚扰	వేధించడం; ఇబ్బంది పెట్టడం	దయచేసి ఇతర ప్రయాణికులను వేధించవద్దు.
嫂子	వదిన	వదిన చేసిన భోజనం చాలా రుచిగా ఉంటుంది.
刹车	బ్రేక్ వేయడం	డ్రైవర్ అకస్మాత్తుగా బ్రేక్ వేశాడు.
啥	ఏమి	నువ్వు ఇప్పుడే ఏమి అన్నావు?
筛选	వడపోసి ఎంపిక చేయడం	వ్యవస్థ స్వయంచాలకంగా జీవితవృత్తాంతాలను వడపోసి ఎంపిక చేస్తుంది.
山脉	పర్వత శ్రేణి	ఈ పర్వత శ్రేణి చాలా పొడవుగా ఉంది.
闪烁	మెరుస్తూ ఉండడం	దూరంలోని దీపాలు నిరంతరం మెరుస్తున్నాయి.
擅长	నైపుణ్యం కలిగి ఉండడం	అతడు సంక్లిష్ట సమస్యలను పరిష్కరించడంలో నైపుణ్యం కలిగి ఉన్నాడు.
擅自	అనుమతి లేకుండా	ఉద్యోగులు అనుమతి లేకుండా తమ స్థానం విడిచిపెట్టకూడదు.
伤脑筋	తలనొప్పి కలిగించే; క్లిష్టమైన	ఈ సమస్య నిజంగా తలనొప్పి కలిగిస్తోంది.
商标	వాణిజ్య చిహ్నం	కంపెనీ కొత్త వాణిజ్య చిహ్నాన్ని నమోదు చేసింది.
上级	పై అధికారులు	అతడు పరిస్థితిని పై అధికారులకు నివేదించాడు.
上进	మెరుగుపడాలని ప్రయత్నించే	ఆమె ఎప్పుడూ ముందుకు సాగాలని ప్రయత్నిస్తుంది.
上任	పదవి స్వీకరించడం	కొత్త మేనేజర్ వచ్చే వారం పదవి స్వీకరిస్తాడు.
上瘾	వ్యసనం పట్టడం	చాలామందికి చిన్న వీడియోలపై వ్యసనం పట్టుతుంది.
上游	ఎగువ ప్రవాహం	కాలుష్యం నది ఎగువ ప్రవాహం నుండి వచ్చింది.
尚且	కూడా; అయినప్పటికీ	పెద్దవారు కూడా తప్పులు చేస్తారు.
捎	తీసుకెళ్లి అందించడం	దయచేసి నా తరఫున ఒక సందేశం చెప్పండి.
梢	కొమ్మ చివర	పక్షి చెట్టు కొమ్మ చివర ఆగింది.
哨	గస్తీ సైనికుడు; ఈల	గేటు వద్ద ఒక గస్తీ సైనికుడు ఉన్నాడు.
奢侈	ఆడంబరమైన; వ్యయశీలమైన	ఇలాంటి ఖర్చు చాలా ఆడంబరంగా ఉంది.
舌头	నాలుక	అతడు తన నాలుకను కాల్చుకున్నాడు.
摄氏度	సెల్సియస్ డిగ్రీ	ఈ రోజు ఉష్ణోగ్రత ముప్పై సెల్సియస్ డిగ్రీలు.
涉及	సంబంధించటం	నివేదిక అనేక విభాగాలకు సంబంధించినది.
社区	సమాజం; కమ్యూనిటీ	సమాజం ఆరోగ్య ఉపన్యాసాన్ని నిర్వహించింది.
设立	స్థాపించడం	పాఠశాల విద్యార్థి వేతనాన్ని స్థాపించింది.
设想	ఆలోచన; ఊహించడం	ఈ ఆలోచనపై ఇంకా చర్చ అవసరం.
设置	సెట్ చేయడం; ఏర్పాటు చేయడం	దయచేసి పాస్‌వర్డ్‌ను మళ్లీ సెట్ చేయండి.
呻吟	మూలుగడం	రోగి మెల్లగా మూలిగాడు.
深奥	లోతైన; అర్థం చేసుకోవడానికి కష్టమైన	ఈ పుస్తకంలోని విషయం చాలా లోతైనది.
深沉	లోతైన; గంభీరమైన	అతని స్వరం తక్కువగా మరియు గంభీరంగా ఉంది.
深情厚谊	లోతైన స్నేహ బంధం	రెండు దేశాల ప్రజలు లోతైన స్నేహ బంధాన్ని ఏర్పరచుకున్నారు.
申报	ప్రకటించడం; నివేదించడం	ప్రయాణికులు వస్తువులను నిజాయితీగా ప్రకటించాలి.
绅士	సజ్జనుడు	అతని ప్రవర్తన ఒక సజ్జనుడిలా ఉంది.
神经	నాడి	ఒత్తిడి నాడీ వ్యవస్థను ప్రభావితం చేయగలదు.
神奇	అద్భుతమైన; మాయాజాలంలాంటి	ఇక్కడి దృశ్యం చాలా అద్భుతంగా ఉంది.
神气	ఉత్సాహభరితమైన తీరు; గర్వంగా కనిపించడం	అతడు ఈ రోజు ప్రత్యేకంగా ఉత్సాహంగా కనిపించాడు.
神圣	పవిత్రమైన	ఇది ఒక పవిత్రమైన బాధ్యత.
神态	ముఖభావం; తీరు	ఆమె ముఖభావం చాలా ప్రశాంతంగా ఉంది.
神仙	అమర దేవసమానుడు	కథనం ప్రకారం పర్వతాల్లో అమర దేవసమానులు నివసిస్తారు.
审查	సమీక్షించడం; పరిశీలించడం	వేదిక ప్రచురించిన విషయాలను సమీక్షిస్తుంది.
审理	విచారణ చేయడం	న్యాయస్థానం ఈ కేసును విచారణ చేస్తోంది.
审美	సౌందర్య అభిరుచి	అతని సౌందర్య అభిరుచి చాలా ప్రత్యేకంగా ఉంది.
审判	న్యాయ విచారణ; తీర్పు ప్రక్రియ	బహిరంగ న్యాయ విచారణ మీడియా దృష్టిని ఆకర్షించింది.
慎重	జాగ్రత్తగా; విచక్షణతో	ఈ నిర్ణయం తప్పనిసరిగా జాగ్రత్తగా తీసుకోవాలి.
渗透	చొరబడడం; చిమ్మి దిగడం	వాననీరు నెమ్మదిగా నేలలోకి చొరబడింది.
声明	ప్రకటన	కంపెనీ అధికారిక ప్రకటన విడుదల చేసింది.
声势	ప్రచార బలం; ఊపు	ఈ ప్రచార కార్యక్రమానికి గొప్ప ఊపు ఉంది.
声誉	పేరు ప్రతిష్ఠ	ఉత్పత్తి నాణ్యత బ్రాండ్ ప్రతిష్ఠను ప్రభావితం చేస్తుంది.
牲畜	పశువులు	కాపరులు పశువులను మేతభూమికి తిరిగి తోలారు.
生存	బతకడం; జీవించడం	అడవి జంతువులకు జీవించడానికి స్థలం అవసరం.
生机	జీవశక్తి	వసంత వర్షం భూమిని జీవశక్తితో నింపుతుంది.
生理	శరీర క్రియావిజ్ఞానం	నిద్ర మనిషి శరీర స్థితిని ప్రభావితం చేస్తుంది.
生疏	అలవాటు తగ్గిన; అపరిచితమైన	ఏళ్లుగా సాధన చేయకపోవడంతో అతని పియానో వాయించడం కొంచెం తడబడుతోంది.
生态	పర్యావరణ వ్యవస్థ	అడవి సంరక్షణ పర్యావరణ సమతుల్యతకు సంబంధించినది.
生物	జీవి	సముద్రంలో అనేక విచిత్ర జీవులు ఉన్నాయి.
生效	అమల్లోకి రావడం	కొత్త నిబంధన రేపు అధికారికంగా అమల్లోకి వస్తుంది.
生肖	చైనీస్ రాశి జంతువు	నీ చైనీస్ రాశి జంతువు ఏమిటి?
生锈	తుప్పు పట్టడం	సైకిల్ గొలుసుకు ఇప్పటికే తుప్పు పట్టింది.
生育	సంతానోత్పత్తి; ప్రసవం	ఆసుపత్రి సంతానోత్పత్తి సలహా సేవలు అందిస్తుంది.
省会	ప్రాంతీయ రాజధాని	చెంగ్డు పురాతన కాలం నుంచే సిచువాన్ ప్రాంతీయ రాజధాని.
盛产	సమృద్ధిగా ఉత్పత్తి చేయడం	ఇక్కడ ఉత్తమ నాణ్యమైన టీ సమృద్ధిగా ఉత్పత్తి అవుతుంది.
盛开	పుష్పించడం; పూర్తిగా వికసించడం	పార్కులో చెర్రీ పూలు పూర్తిగా వికసిస్తున్నాయి.
盛情	ఆతిథ్యపూర్వకమైన స్నేహభావం	ఆతిథ్యదారుడి ఆప్యాయ విందుకు మేము కృతజ్ఞతలు తెలుపుతున్నాము.
盛行	విస్తృతంగా ప్రాచుర్యం పొందడం	ఈ శైలి ఒకప్పుడు చాలా ప్రాచుర్యం పొందింది.
胜负	గెలుపు ఓటమి; ఫలితం	మ్యాచ్ చివరి నిమిషం గెలుపు ఓటమిని నిర్ణయించింది.
失事	ప్రమాదానికి గురవడం	విమాన ప్రమాదానికి కారణం ఇంకా దర్యాప్తులో ఉంది.
失误	తప్పు; పొరపాటు	ఒక చిన్న పొరపాటు ప్రాజెక్టు ఆలస్యానికి దారితీసింది.
失踪	కనబడకపోవడం	పోలీసులు కనబడని పిల్లవాడిని వెతుకుతున్నారు.
尸体	మృతదేహం	రక్షణ బృందం బాధితుని మృతదేహాన్ని కనుగొంది.
