simplified	HI	example_HI
趋势	रुझान	यह रुझान दिन-ब-दिन अधिक स्पष्ट हो रहा है।
取消	रद्द करना	बारिश की वजह से कार्यक्रम रद्द हो गया।
娶	विवाह करना	वह अगले साल उससे विवाह करने की योजना बना रहा है।
去世	देहांत होना	उसके दादाजी का पिछले साल देहांत हो गया।
圈	घेरा	कृपया सही उत्तर पर घेरा बनाइए।
全面	व्यापक; पूरा	हमें स्थिति को पूरी तरह समझना होगा।
权利	अधिकार	हर व्यक्ति को शिक्षा पाने का अधिकार है।
权力	सत्ता; शक्ति	सत्ता पर निगरानी होनी चाहिए।
劝	सलाह देना	दोस्त ने मुझे जल्दी आराम करने की सलाह दी।
缺乏	कमी होना	इस क्षेत्र में साफ़ पानी की कमी है।
确定	निश्चित करना	मैं अभी समय निश्चित नहीं कर सकता।
确认	पुष्टि करना	कृपया अपना पता पुष्टि करें।
群	समूह	बच्चों का एक समूह मैदान में खेल रहा है।
燃烧	जलना	लकड़ी जल रही है।
绕	चारों ओर घूमना	हम झील के चारों ओर एक चक्कर चले।
热爱	बहुत प्यार करना	वह अपने काम से बहुत प्यार करता है।
热烈	गर्मजोशी से	सबने मेहमानों का गर्मजोशी से स्वागत किया।
热心	मददगार; उत्साही	पड़ोसी सब बहुत मददगार हैं।
人才	प्रतिभाशाली व्यक्ति	कंपनी को और प्रतिभाशाली लोगों की ज़रूरत है।
人口	जनसंख्या	इस शहर की जनसंख्या बहुत अधिक है।
人类	मानवता; मनुष्य	मानवता को पृथ्वी की रक्षा करनी चाहिए।
人民币	रेनमिन्बी	मैंने कुछ रेनमिन्बी बदले।
人生	जीवन	जीवन में बहुत से चुनाव होते हैं।
人事	मानव संसाधन	वह मानव संसाधन विभाग में काम करती है।
人物	चरित्र; व्यक्ति	उपन्यास के पात्र बहुत वास्तविक लगते हैं।
人员	कर्मचारी; लोग	सभी कर्मचारी पहुँच चुके हैं।
忍不住	रोक न पाना	चुटकुला सुनकर वह हँसे बिना नहीं रह सका।
日常	दैनिक	यह मेरा दैनिक काम है।
日程	कार्यक्रम; समय-सारणी	आज की समय-सारणी बहुत भरी हुई है।
日历	कैलेंडर	दीवार पर एक कैलेंडर टँगा है।
日期	तारीख	कृपया तारीख साफ़-साफ़ लिखें।
日用品	दैनिक उपयोग की चीज़ें	सुपरमार्केट में बहुत सी दैनिक उपयोग की चीज़ें बिकती हैं।
日子	दिन; समय	इन दिनों वह बहुत व्यस्त है।
如何	कैसे	हमें यह समस्या कैसे हल करनी चाहिए?
如今	आजकल	आजकल यातायात बहुत अधिक सुविधाजनक हो गया है।
软	नरम	यह बिस्तर बहुत नरम है।
软件	सॉफ़्टवेयर	यह सॉफ़्टवेयर इस्तेमाल में आसान है।
弱	कमज़ोर	उसका शरीर अपेक्षाकृत कमज़ोर है।
洒	गिरा देना; छिड़कना	उसने गलती से पानी गिरा दिया।
嗓子	गला	मेरे गले में थोड़ा दर्द है।
色彩	रंग	इस चित्र में रंग बहुत समृद्ध हैं।
杀	मारना; हत्या करना	इस फ़िल्म में हत्या के दृश्य नहीं हैं।
沙漠	रेगिस्तान	रेगिस्तान में पानी बहुत अनमोल होता है।
沙滩	समुद्र तट	बच्चे समुद्र तट पर खेल रहे हैं।
傻	मूर्खतापूर्ण	मूर्खता मत करो।
晒	धूप में सुखाना	कपड़े बालकनी में धूप में सूख रहे हैं।
删除	हटाना	कृपया यह ईमेल हटा दें।
闪电	बिजली	रात में बिजली चमकी।
善良	दयालु	वह एक दयालु व्यक्ति है।
善于	में निपुण होना	वह समस्याएँ हल करने में निपुण है।
扇子	पंखा	गर्मियों में मैं अक्सर पंखा इस्तेमाल करता हूँ।
伤害	चोट पहुँचाना; ठेस पहुँचाना	दूसरों की भावनाओं को ठेस मत पहुँचाओ।
商品	सामान; उत्पाद	इस दुकान में बहुत सामान है।
商务	व्यापारिक काम	वह कल व्यापारिक बैठक में जाएगा।
商业	व्यापार; वाणिज्य	इस क्षेत्र में व्यापार बहुत विकसित है।
上当	धोखा खाना	वह लगभग धोखा खा गया था।
蛇	साँप	घास में एक साँप है।
舍不得	छोड़ने का मन न होना	मेरा यहाँ से जाने का मन नहीं है।
射击	निशानेबाज़ी	वह निशानेबाज़ी का अभ्यास कर रहा है।
摄影	फ़ोटोग्राफ़ी	उसे फ़ोटोग्राफ़ी में बहुत रुचि है।
设备	उपकरण	प्रयोगशाला के उपकरण बहुत आधुनिक हैं।
设计	डिज़ाइन	यह डिज़ाइन बहुत रचनात्मक है।
设施	सुविधाएँ	स्कूल की खेल सुविधाएँ अच्छी हैं।
伸	फैलाना	कृपया हाथ आगे बढ़ाइए।
深刻	गहरा	इस अनुभव ने मुझ पर गहरी छाप छोड़ी।
身材	शरीर की बनावट	उसका शरीर स्वस्थ बनावट वाला है।
身份	पहचान	कृपया पहचान का प्रमाण दिखाइए।
神话	पौराणिक कथा	बच्चों को पौराणिक कथाएँ सुनना पसंद है।
神秘	रहस्यमय	यह प्राचीन शहर बहुत रहस्यमय है।
升	लीटर	तेल की कीमत प्रति लीटर थोड़ी बढ़ गई।
声调	स्वर; टोन	चीनी भाषा में चार मूल स्वर होते हैं।
生产	उत्पादन करना	यह कारखाना मोबाइल फ़ोन बनाता है।
生动	जीवंत	शिक्षक बहुत जीवंत ढंग से समझाते हैं।
生长	बढ़ना	यह पौधा तेज़ी से बढ़ता है।
绳子	रस्सी	कृपया रस्सी से डिब्बा बाँध दें।
省略	छोड़ देना	यहाँ एक अक्षर छोड़ा जा सकता है।
胜利	जीत	आख़िरकार उन्हें जीत मिली।
失眠	अनिद्रा	उसे हाल में अक्सर अनिद्रा रहती है।
失去	खोना	आत्मविश्वास मत खोओ।
失业	बेरोज़गार होना	नौकरी छूटने के बाद उसने नए कौशल सीखना शुरू किया।
湿润	नम	बारिश के बाद हवा बहुत नम है।
狮子	शेर	चिड़ियाघर में दो शेर हैं।
诗	कविता	उसने एक कविता लिखी।
实话	सच बात	कृपया सच बात कहिए।
实践	व्यवहार; अभ्यास	सिद्धांत की जाँच व्यवहार से करनी होती है।
实习	प्रशिक्षु के रूप में काम करना	वह गर्मियों की छुट्टियों में अस्पताल में प्रशिक्षु के रूप में काम करेगी।
实现	साकार करना	आख़िरकार उसने अपना सपना साकार किया।
实验	प्रयोग	छात्र प्रयोग कर रहे हैं।
实用	व्यावहारिक	यह औज़ार बहुत व्यावहारिक है।
时差	समय का अंतर	वह अभी समय के अंतर का आदी नहीं हुआ है।
时代	युग	हम सूचना युग में रहते हैं।
时刻	क्षण	कृपया इस महत्वपूर्ण क्षण को याद रखें।
时髦	फ़ैशनेबल	यह कपड़ा बहुत फ़ैशनेबल है।
时期	अवधि; काल	विश्वविद्यालय का समय उस पर बहुत प्रभावशाली रहा।
时尚	फ़ैशन	उसे फ़ैशन में बहुत रुचि है।
石头	पत्थर	सड़क किनारे एक पत्थर है।
食物	भोजन	कृपया भोजन को फ़्रिज में रख दें।
使劲儿	ज़ोर लगाना	यह बोतल खोलने के लिए ज़ोर लगाना पड़ेगा।
始终	हमेशा; शुरू से अंत तक	उसे हमेशा विश्वास था कि वह सफल हो सकता है।
事实	तथ्य	तथ्यों ने सिद्ध किया कि वह सही था।
事物	चीज़; वस्तु	बच्चे नई चीज़ों के बारे में बहुत जिज्ञासु होते हैं।
事先	पहले से	कृपया मुझे समय पहले से बता दें।
似的	जैसा; मानो	वह इतना थका हुआ लग रहा था मानो एक शब्द भी बोलना न चाहता हो।
士兵	सैनिक	सैनिक प्रशिक्षण ले रहे हैं।
市场	बाज़ार	यह बाज़ार बहुत चहल-पहल वाला है।
试卷	परीक्षा-पत्र	शिक्षक परीक्षा-पत्र जाँच रहे हैं।
收获	लाभ; सीख	इस यात्रा से मुझे बहुत कुछ सीखने को मिला।
收据	रसीद	भुगतान के बाद कृपया रसीद संभालकर रखें।
手工	हाथ से बना	यह उपहार हाथ से बनाया गया है।
手术	ऑपरेशन	डॉक्टर कल उसका ऑपरेशन करेंगे।
手套	दस्ताने	सर्दियों में बाहर जाते समय दस्ताने पहनने चाहिए।
手续	औपचारिकताएँ	औपचारिकताएँ पूरी करने के लिए पहचान पत्र चाहिए।
手指	उँगली	उसकी उँगली घायल हो गई।
首	गीत-कविता के लिए वर्गसूचक	उसने एक गीत गाया।
受伤	घायल होना	वह मैच के दौरान घायल हो गया।
寿命	आयु; सेवा-काल	इस तरह की मशीन की सेवा-आयु लंबी होती है।
书架	पुस्तक-रैक	पुस्तक-रैक किताबों से भरा है।
梳子	कंघी	वह कंघी से बाल संवारती है।
舒适	आरामदायक	यह कमरा बहुत आरामदायक है।
蔬菜	सब्ज़ियाँ	ज़्यादा सब्ज़ियाँ खाना स्वास्थ्य के लिए अच्छा है।
输入	दर्ज करना	कृपया पासवर्ड कंप्यूटर में दर्ज करें।
熟练	निपुण	वह कंप्यूटर का निपुणता से उपयोग कर सकता है।
属于	का होना	यह किताब पुस्तकालय की है।
数	गिनना	कृपया गिनिए कि कितने लोग हैं।
鼠标	कंप्यूटर माउस	मेरा कंप्यूटर माउस खराब हो गया है।
数据	डेटा; आँकड़े	ये आँकड़े बहुत महत्वपूर्ण हैं।
数码	डिजिटल	उसने एक डिजिटल कैमरा खरीदा।
摔倒	गिर पड़ना	वह सड़क पर गिर पड़ी।
甩	झटकना	उसने हाथों का पानी झटक दिया।
双方	दोनों पक्ष	दोनों पक्ष इस योजना से सहमत हैं।
税	कर	सामान खरीदते समय कर देना पड़ता है।
说不定	शायद	शायद कल बर्फ़ पड़े।
说服	मनाना	आख़िरकार उसने अपने माता-पिता को मना लिया।
丝绸	रेशम	यह दुपट्टा रेशम का बना है।
丝毫	ज़रा भी	उसने अपना विचार ज़रा भी नहीं बदला।
思考	सोचना	कृपया इस समस्या पर गंभीरता से सोचिए।
思想	विचार	उसके विचार बहुत खुले हैं।
撕	फाड़ना	कृपया यह कागज़ मत फाड़िए।
私人	निजी	यह मेरी निजी जगह है।
似乎	लगता है	वह कुछ ख़ास खुश नहीं लगता।
搜索	खोजना	मैंने इंटरनेट पर सामग्री खोजी।
宿舍	छात्रावास	छात्र स्कूल के छात्रावास में रहते हैं।
随身	साथ रखना	कृपया पासपोर्ट अपने साथ रखें।
随时	कभी भी	तुम मुझे कभी भी फ़ोन कर सकते हो।
随手	सुविधा से; जाते-जाते	जाते समय कृपया दरवाज़ा बंद कर देना।
碎	टूट जाना	कप ज़मीन पर गिरकर टूट गया।
损失	नुकसान	इस दुर्घटना से बड़ा नुकसान हुआ।
缩短	छोटा करना	नए रास्ते ने दूरी कम कर दी।
所	संस्था के लिए वर्गसूचक	यह स्कूल बहुत प्रसिद्ध है।
锁	ताला लगाना	बाहर जाने से पहले दरवाज़े पर ताला लगा दें।
台阶	सीढ़ी	बुज़ुर्ग व्यक्ति धीरे-धीरे सीढ़ियाँ चढ़ा।
太极拳	ताई ची	पार्क में कुछ लोग ताई ची का अभ्यास कर रहे हैं।
太太	श्रीमती; पत्नी	श्रीमती वांग खाना बना रही हैं।
谈判	वार्ता; बातचीत	दोनों पक्ष बातचीत कर रहे हैं।
坦率	स्पष्टवादी	उसने स्पष्ट रूप से अपनी बात कह दी।
烫	बहुत गरम	यह चाय बहुत गरम है।
桃	आड़ू	पेड़ पर बहुत से आड़ू लगे हैं।
淘气	शरारती	यह बच्चा थोड़ा शरारती है।
逃	भागना	छोटा कुत्ता आँगन से भाग गया।
逃避	टालना; बचना	ज़िम्मेदारी से मत भागो।
讨价还价	मोलभाव करना	सामान खरीदते समय उसे मोलभाव करना पसंद है।
套	सेट; जोड़ा	उसने नए कपड़ों का एक सेट खरीदा।
特色	विशेषता	इस रेस्तराँ में स्थानीय विशेषता है।
特殊	विशेष	आज एक विशेष दिन है।
特征	लक्षण; विशेषता	इस जानवर की स्पष्ट विशेषताएँ हैं।
疼爱	बहुत प्यार करना	दादा-दादी बच्चे से बहुत प्यार करते हैं।
提倡	प्रोत्साहित करना	स्कूल पानी बचाने को प्रोत्साहित करता है।
提纲	रूपरेखा	लेख लिखने से पहले रूपरेखा बना लें।
提问	प्रश्न पूछना	छात्र कभी भी प्रश्न पूछ सकते हैं।
题目	प्रश्न; विषय	यह प्रश्न बहुत कठिन नहीं है।
体会	समझ; अनुभूति	यात्रा से मुझे नई समझ मिली।
体贴	ध्यान रखने वाला	वह परिवार का बहुत ध्यान रखता है।
体现	दिखाना; प्रकट करना	यह बात टीम भावना को दिखाती है।
体验	अनुभव करना	मैं स्थानीय जीवन का अनुभव करना चाहता हूँ।
天空	आकाश	आज आकाश बहुत नीला है।
天真	भोला	बच्चे का विचार बहुत भोला है।
调皮	शरारती	वह बिल्ली बहुत शरारती है।
调整	समायोजित करना	हमें योजना में बदलाव करना होगा।
挑战	चुनौती	यह एक बहुत बड़ी चुनौती है।
通常	आमतौर पर	वह आमतौर पर सात बजे उठता है।
统一	एक करना; समान करना	सबकी राय एक करनी होगी।
痛苦	दुख; पीड़ा	दोस्त को खोने से उसे बहुत दुख हुआ।
痛快	खुलकर; आनंद से	आज हमने खूब मज़े किए।
偷	चोरी करना	दूसरों की चीज़ें मत चुराओ।
投入	मन लगाकर; लगाना	वह बहुत मन लगाकर काम करता है।
投资	निवेश करना	उन्होंने एक नई परियोजना में निवेश किया।
透明	पारदर्शी	यह कप पारदर्शी है।
突出	प्रमुख; उभरा हुआ	उसकी खूबियाँ बहुत प्रमुख हैं।
土地	ज़मीन	यह ज़मीन बहुत उपजाऊ है।
土豆	आलू	मैंने कुछ आलू खरीदे।
兔子	खरगोश	बच्चे ने एक खरगोश पाल रखा है।
吐	उल्टी करना	उसकी तबीयत ठीक नहीं है और उसे उल्टी जैसा लग रहा है।
团	दल; समूह	हम एक यात्रा-दल में शामिल हुए।
推辞	मना करना	उसने दोस्त का निमंत्रण विनम्रता से ठुकरा दिया।
推广	प्रचार करना	कंपनी नया उत्पाद प्रचारित कर रही है।
推荐	सिफ़ारिश करना	शिक्षक ने यह किताब सुझाई।
退	पीछे हटना	कृपया एक कदम पीछे हटिए।
退步	पीछे जाना; गिरावट आना	अगर अभ्यास नहीं करोगे, तो स्तर गिर जाएगा।
退休	सेवानिवृत्त होना	वह अगले साल सेवानिवृत्त होने वाला है।
歪	टेढ़ा	यह चित्र टेढ़ा टँगा है।
外公	नाना	मेरे नाना इस साल अस्सी साल के हो गए।
外交	कूटनीति	वह अंतरराष्ट्रीय संबंध और कूटनीति पढ़ता है।
完美	पूर्ण; बेदाग़	यह योजना पूर्ण नहीं है।
完善	बेहतर बनाना; पूरा करना	हमें सेवा-प्रक्रिया को बेहतर बनाना होगा।
完整	पूरा	कृपया मुझे पूरी रिपोर्ट दीजिए।
玩具	खिलौना	बच्चे ने खिलौने डिब्बे में रख दिए।
万一	यदि कहीं; अगर	अगर बारिश हुई, तो हम किसी और दिन जाएँगे।
王子	राजकुमार	कहानी का राजकुमार बहुत बहादुर है।
往返	आना-जाना	इस टिकट से उसी दिन आना-जाना किया जा सकता है।
网络	इंटरनेट; नेटवर्क	यहाँ इंटरनेट कनेक्शन बहुत स्थिर है।
危害	हानि पहुँचाना	धूम्रपान स्वास्थ्य को नुकसान पहुँचा सकता है।
威胁	धमकी देना; ख़तरा बनना	प्रदूषण नदी के लिए ख़तरा बन रहा है।
微笑	मुस्कुराना	उसने मेरी ओर देखकर मुस्कुराया।
唯一	एकमात्र	यह एकमात्र तरीका है।
围巾	दुपट्टा; स्कार्फ़	सर्दियों में वह स्कार्फ़ पहनता है।
围绕	के इर्द-गिर्द	चर्चा इस मुद्दे के इर्द-गिर्द हुई।
维修	मरम्मत	लिफ़्ट की मरम्मत हो रही है।
违反	उल्लंघन करना	ऐसा करना नियमों का उल्लंघन है।
伟大	महान	यह एक महान खोज है।
委屈	अन्याय महसूस करना	उसे बहुत अन्याय महसूस हुआ।
尾巴	पूँछ	छोटा कुत्ता पूँछ हिला रहा था।
位于	स्थित होना	स्कूल शहर के केंद्र में स्थित है।
位置	स्थान	यह स्थान बहुत शांत है।
未必	ज़रूरी नहीं	उसकी कही बात ज़रूरी नहीं कि सच हो।
未来	भविष्य	हमें भविष्य के लिए तैयारी करनी चाहिए।
胃	पेट	मेरा पेट थोड़ा असहज है।
胃口	भूख	आज उसकी भूख अच्छी है।
温暖	गर्माहट भरा	वसंत की धूप बहुत गर्माहट भरी है।
温柔	कोमल	वह बहुत कोमल ढंग से बोलती है।
文件	दस्तावेज़	कृपया दस्तावेज़ मुझे भेज दें।
文具	स्टेशनरी	स्कूल बैग में बहुत सारी स्टेशनरी है।
文明	सभ्य	कतार में लगना सभ्य व्यवहार है।
文学	साहित्य	उसे चीनी साहित्य पसंद है।
文字	लिखे हुए अक्षर	इन अक्षरों को पढ़ना कठिन है।
闻	सूँघना	मुझे फूलों की महक आई।
吻	चूमना	माँ ने बच्चे के गाल को चूमा।
稳定	स्थिर	कीमतें स्थिर बनी हुई हैं।
问候	कुशल-क्षेम पूछना	कृपया मेरी ओर से अपने परिवार को नमस्कार कहना।
卧室	शयनकक्ष	शयनकक्ष में एक बड़ा बिस्तर है।
握手	हाथ मिलाना	मिलते समय उन्होंने हाथ मिलाया।
屋子	कमरा	कमरे में गरमाहट है।
无奈	लाचार	उसने लाचारी से सिर हिलाया।
无数	अनगिनत	रात के आसमान में अनगिनत तारे हैं।
无所谓	फ़र्क नहीं पड़ता	तुम क्या खाना चाहते हो, इससे फ़र्क नहीं पड़ता।
武术	मार्शल आर्ट	वह बचपन से मार्शल आर्ट सीख रहा है।
勿	मत; निषेध	कृपया यहाँ धूम्रपान न करें।
物理	भौतिकी	भौतिकी की कक्षा बहुत रोचक है।
物质	पदार्थ	पानी एक महत्वपूर्ण पदार्थ है।
雾	कोहरा	सुबह घना कोहरा था।
吸取	सीख लेना	हमें इस सबक से सीख लेनी चाहिए।
吸收	सोखना; अवशोषित करना	पौधे पानी अवशोषित करते हैं।
戏剧	नाटक	उसे पारंपरिक नाटक देखना पसंद है।
系	विभाग	वह चीनी विभाग में पढ़ती है।
系统	प्रणाली	यह प्रणाली स्थिर रूप से चलती है।
细节	विवरण	कृपया इन विवरणों पर ध्यान दें।
瞎	अंधाधुंध; यूँ ही	यूँ ही अंदाज़ा मत लगाओ, पहले सामग्री देखो।
下载	डाउनलोड करना	मैंने यह सॉफ़्टवेयर डाउनलोड किया।
吓	डराना	अचानक आवाज़ ने मुझे चौंका दिया।
夏令营	ग्रीष्मकालीन शिविर	बच्चे ने चीनी भाषा के ग्रीष्मकालीन शिविर में भाग लिया।
鲜艳	चटकीला	इस स्कर्ट का रंग बहुत चटकीला है।
显得	दिखना; लगना	यह कपड़ा उसे बहुत जवान दिखाता है।
显然	स्पष्ट रूप से	स्पष्ट है कि उसे परिणाम पहले ही पता है।
显示	दिखाना	स्क्रीन पर समय गलत दिख रहा है।
县	ज़िला; काउंटी	इस ज़िले में बहुत से चाय बागान हैं।
现代	आधुनिक	आधुनिक जीवन इंटरनेट के बिना नहीं चल सकता।
现实	वास्तविकता	हमें वास्तविकता का सामना करना होगा।
现象	घटना; परिघटना	यह घटना बहुत आम है।
限制	सीमित करना	यहाँ वाहनों के प्रवेश पर रोक है।
相处	मेलजोल रखना	वे आपस में बहुत अच्छे से रहते हैं।
相当	काफ़ी	यह किताब काफ़ी रोचक है।
相对	तुलनात्मक रूप से	यहाँ कीमतें तुलनात्मक रूप से सस्ती हैं।
相关	संबंधित	कृपया संबंधित सामग्री उपलब्ध कराएँ।
相似	मिलता-जुलता	इन दो अक्षरों के अर्थ बहुत मिलते-जुलते हैं।
香肠	सॉसेज	नाश्ते में अंडे और सॉसेज हैं।
享受	आनंद लेना	वे छुट्टी का आनंद ले रहे हैं।
想念	याद करना	मुझे अपने परिवार की बहुत याद आती है।
想象	कल्पना करना	मैं उस तरह के जीवन की कल्पना नहीं कर सकता।
象棋	चीनी शतरंज	दादाजी को चीनी शतरंज खेलना पसंद है।
象征	प्रतीक होना	सफ़ेद रंग अक्सर पवित्रता का प्रतीक होता है।
项	कार्य/विषय के लिए वर्गसूचक	यह काम बहुत महत्वपूर्ण है।
项链	हार	उसने चाँदी का हार पहना है।
项目	परियोजना	इस परियोजना को तीन महीने लगेंगे।
消费	खपत; खर्च	त्योहार के दौरान खर्च बढ़ गया।
消化	पाचन	खाने के बाद टहलना पाचन में मदद करता है।
消极	नकारात्मक	समस्याओं को नकारात्मक रवैये से मत देखो।
消失	गायब होना	सूरज धीरे-धीरे पहाड़ के पीछे गायब हो गया।
销售	बेचना; बिक्री करना	यह कंपनी इलेक्ट्रॉनिक उत्पाद बेचती है।
小麦	गेहूँ	उत्तर में बहुत गेहूँ बोया जाता है।
小气	कंजूस	इतने कंजूस मत बनो।
孝顺	माता-पिता का आदर करने वाला	वह अपने माता-पिता का बहुत आदर करता है।
效率	कार्यक्षमता	ऐसा करने से कार्यक्षमता बढ़ सकती है।
歇	आराम करना	चलो पहले थोड़ी देर आराम करें।
斜	तिरछा	यह रास्ता थोड़ा तिरछा है।
写作	लेखन	लेखन के लिए लंबे समय तक अभ्यास चाहिए।
心理	मानसिकता; मनोस्थिति	परीक्षा से पहले मनोस्थिति ठीक करनी चाहिए।
心脏	हृदय	हृदय का स्वास्थ्य बहुत महत्वपूर्ण है।
欣赏	सराहना करना; आनंद लेना	हमने सुंदर दृश्य का आनंद लिया।
信号	सिग्नल	यहाँ मोबाइल सिग्नल अच्छा नहीं है।
信任	विश्वास	दोस्तों के बीच विश्वास ज़रूरी है।
形成	बनना	अच्छी आदतें धीरे-धीरे बनती हैं।
形容	वर्णन करना	मुझे नहीं पता इस भावना का वर्णन कैसे करूँ।
形势	स्थिति	वर्तमान स्थिति काफ़ी जटिल है।
形式	रूप	बैठक ऑनलाइन रूप में की जा सकती है।
形象	छवि	उसकी सार्वजनिक छवि बहुत अच्छी है।
形状	आकार	इस डिब्बे का आकार बहुत खास है।
行动	कार्रवाई	हमें तुरंत कार्रवाई करनी होगी।
行人	पैदल यात्री	सड़क पार करते समय पैदल यात्रियों पर ध्यान दें।
行为	व्यवहार	इस तरह का व्यवहार शिष्ट नहीं है।
幸亏	सौभाग्य से	सौभाग्य से तुमने मुझे याद दिलाया।
幸运	भाग्यशाली	उसे नौकरी मिल गई, वह बहुत भाग्यशाली था।
性质	स्वरूप; प्रकृति	इस समस्या का स्वरूप बहुत गंभीर है।
兄弟	भाई	दोनों भाइयों के संबंध बहुत अच्छे हैं।
胸	छाती	उसे छाती में थोड़ा भारीपन महसूस हो रहा है।
休闲	विश्राम; अवकाश	सप्ताहांत विश्राम के लिए अच्छा समय है।
修改	संशोधन करना	कृपया इस लेख में संशोधन करें।
虚心	विनम्रतापूर्वक सीखने वाला	हमें विनम्रता से राय सुननी चाहिए।
叙述	वर्णन करना	उसने घटना का स्पष्ट वर्णन किया।
宣布	घोषणा करना	स्कूल ने नए नियमों की घोषणा की।
宣传	प्रचार करना	वे पर्यावरण संरक्षण का ज्ञान प्रचारित कर रहे हैं।
学历	शैक्षिक योग्यता	इस नौकरी के लिए स्नातक शैक्षिक योग्यता चाहिए।
学术	शैक्षणिक; अकादमिक	इस बैठक में अकादमिक मुद्दों पर चर्चा हुई।
学问	ज्ञान; विद्या	वह बहुत ज्ञानवान है।
血	खून; रक्त	उसके हाथ से थोड़ा खून बहा।
寻找	ढूँढ़ना; तलाश करना	हम नया तरीका ढूँढ़ रहे हैं।
询问	पूछना; पूछताछ करना	उसने शिक्षक से परीक्षा का समय पूछा।
训练	प्रशिक्षण; अभ्यास करना	खिलाड़ी हर दिन अभ्यास करता है।
迅速	तेज़; शीघ्र	ख़बर तेज़ी से फैल गई।
押金	जमानत राशि	घर किराए पर लेने के लिए जमानत राशि देनी पड़ती है।
牙齿	दाँत	कृपया हर दिन अपने दाँतों की अच्छी तरह देखभाल करें।
严肃	गंभीर	शिक्षक के चेहरे का भाव बहुत गंभीर था।
延长	बढ़ाना; लंबा करना	बैठक आधे घंटे के लिए बढ़ा दी गई।
演讲	भाषण	वह कल के भाषण की तैयारी कर रहा है।
宴会	भोज; दावत	वे एक भोज में शामिल हुए।
阳台	बालकनी	बालकनी में फूलों के कई गमले रखे हैं।
痒	खुजली होना	मेरी बाँह में थोड़ी खुजली हो रही है।
样式	शैली; ढंग	यह शैली बहुत लोकप्रिय है।
腰	कमर	लंबे समय तक बैठने से कमर दुख सकती है।
摇	हिलाना	हवा ने डालियों को इधर-उधर हिला दिया।
咬	काटना	यह कुत्ता लोगों को नहीं काटता।
要不	तो क्यों न; वरना	तो क्यों न हम कल फिर जाएँ?
业务	कारोबार; कामकाज	कंपनी का कारोबार बढ़ता जा रहा है।
业余	फुर्सत का; खाली समय का	वह खाली समय में फ़ोटोग्राफ़ी सीखता है।
夜	रात	रात में सड़क बहुत शांत रहती है।
依然	अब भी; फिर भी	वह अब भी बीजिंग में रहता है।
一辈子	ज़िंदगी भर	उसने ज़िंदगी भर संगीत से प्रेम किया।
一旦	एक बार अगर	एक बार निर्णय हो जाए, तो डटे रहना चाहिए।
一律	बिना अपवाद; सबके लिए समान रूप से	बैठक के दौरान सभी फ़ोन बंद रखने होंगे।
一再	बार-बार	उसने हमें बार-बार सुरक्षा पर ध्यान देने की याद दिलाई।
一致	एकमत; एक जैसा	सबकी राय पूरी तरह एक जैसी है।
疑问	सवाल; संदेह	मुझे इस उत्तर पर सवाल है।
移动	हिलाना; स्थानांतरित करना	कृपया मेज़ को थोड़ा हिला दें।
移民	प्रवास करना; आप्रवासन करना	वे विदेश प्रवास करने की योजना बना रहे हैं।
遗憾	अफ़सोस; खेद	तुमसे न मिल पाने का मुझे बहुत अफ़सोस है।
乙	दूसरा पक्ष; पक्ष बी	अनुबंध में दूसरा पक्ष भुगतान के लिए ज़िम्मेदार है।
以及	और; साथ ही	मैंने किताबें और स्टेशनरी खरीदी।
以来	से; तब से	स्नातक होने के बाद से वह बीजिंग में काम कर रहा है।
义务	कर्तव्य; दायित्व	पर्यावरण की रक्षा करना हर व्यक्ति का दायित्व है।
亿	एक अरब	इस देश की आबादी एक अरब से अधिक है।
意外	अप्रत्याशित; दुर्घटना	इस बार देर होना पूरी तरह अप्रत्याशित था।
意义	अर्थ; महत्व	यह गतिविधि बहुत अर्थपूर्ण है।
议论	चर्चा करना	सब इस बात पर चर्चा कर रहे हैं।
因而	इसलिए; परिणामस्वरूप	वह मेहनत से पढ़ता है, इसलिए उसके अंक अच्छे हैं।
因素	कारक	मौसम एक महत्वपूर्ण कारक है।
银	चाँदी	उसने चाँदी का कंगन पहना है।
印刷	छपाई	इस किताब की छपाई बहुत साफ़ है।
英俊	सुंदर; आकर्षक	वह बहुत आकर्षक दिखता है।
英雄	नायक; वीर	अग्निशामक सच्चे नायक हैं।
营养	पोषण	नाश्ते में पर्याप्त पोषण होना चाहिए।
营业	कारोबार शुरू करना; खुलना	यह दुकान नौ बजे खुलती है।
迎接	स्वागत करना	हम मेहमानों का स्वागत करने हवाई अड्डे गए।
影子	छाया	सड़क की बत्ती के नीचे उसकी छाया है।
应付	निपटना; संभालना	वह इस समस्या से निपट सकता है।
应用	लागू करना; प्रयोग करना	यह तरीका शिक्षण में लागू किया जा सकता है।
硬	सख़्त	यह कुर्सी बहुत सख़्त है।
硬件	हार्डवेयर	इस कंप्यूटर का हार्डवेयर अच्छा है।
拥抱	गले लगाना	बच्चा दौड़कर माँ से लिपट गया।
拥挤	भीड़भाड़ वाला	सुबह की भीड़ में मेट्रो बहुत भरी रहती है।
勇气	साहस	उसमें अपनी गलती मानने का साहस है।
用功	मेहनत से पढ़ना	वह बहुत मेहनत से पढ़ती है।
用途	उपयोग; काम	इस सामग्री के बहुत उपयोग हैं।
优惠	छूट; रियायत	इस दुकान में आज छूट है।
