simplified	KN	example_KN
快活	ಸಂತೋಷಭರಿತ	ಮಕ್ಕಳು ಹುಲ್ಲಿನ ಮೇಲೆ ಸಂತೋಷದಿಂದ ಆಟವಾಡಿದರು.
宽敞	ವಿಶಾಲ	ಈ ತರಗತಿ ಕೊಠಡಿ ಬೆಳಕಿನಿಂದ ಕೂಡಿದ್ದು ವಿಶಾಲವಾಗಿದೆ.
宽容	ಸಹಿಷ್ಣುತೆ	ಸಮಾಜಕ್ಕೆ ಇನ್ನಷ್ಟು ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವಿಕೆ ಮತ್ತು ಸಹಿಷ್ಣುತೆ ಬೇಕು.
款待	ಆತಿಥ್ಯ ನೀಡುವುದು	ಆತಿಥೇಯರು ಅತಿಥಿಗಳಿಗೆ ಆತ್ಮೀಯವಾಗಿ ಆತಿಥ್ಯ ನೀಡಿದರು.
款式	ಶೈಲಿ	ಈ ಬಟ್ಟೆಯ ಶೈಲಿ ಬಹಳ ಹೊಸದಾಗಿದೆ.
筐	ಬುಟ್ಟಿ	ಅವನು ಒಂದು ಬುಟ್ಟಿ ಸೇಬುಗಳನ್ನು ಹೊತ್ತು ಮನೆಗೆ ಹೋದ.
况且	ಇದಲ್ಲದೆ	ದಾರಿ ದೂರವಿದೆ, ಇದಲ್ಲದೆ ಕತ್ತಲಾಗುತ್ತಿದೆ.
旷课	ತರಗತಿ ತಪ್ಪಿಸುವುದು	ಕಾರಣವಿಲ್ಲದೆ ತರಗತಿ ತಪ್ಪಿಸುವ ವಿದ್ಯಾರ್ಥಿಗಳ ಹೆಸರನ್ನು ದಾಖಲಿಸಲಾಗುತ್ತದೆ.
框架	ಚೌಕಟ್ಟು	ವರದಿಗೆ ಮೊದಲು ಚೌಕಟ್ಟನ್ನು ನಿಗದಿಪಡಿಸಬೇಕು.
矿产	ಖನಿಜ ಸಂಪತ್ತು	ಈ ಪ್ರದೇಶ ಖನಿಜ ಸಂಪತ್ತಿನಲ್ಲಿ ಸಮೃದ್ಧವಾಗಿದೆ.
亏待	ಅನ್ಯಾಯವಾಗಿ ವರ್ತಿಸುವುದು	ಗಂಭೀರವಾಗಿ ಕೆಲಸ ಮಾಡುವ ನೌಕರರೊಂದಿಗೆ ಕಂಪನಿ ಅನ್ಯಾಯವಾಗಿ ವರ್ತಿಸುವುದಿಲ್ಲ.
亏损	ನಷ್ಟ	ಕಾರ್ಖಾನೆಗೆ ಈ ವರ್ಷ ಗಂಭೀರ ನಷ್ಟ ಉಂಟಾಯಿತು.
捆绑	ಕಟ್ಟಿ ಬಿಗಿಸುವುದು	ದಯವಿಟ್ಟು ಈ ಪೆಟ್ಟಿಗೆಗಳನ್ನು ಗಟ್ಟಿಯಾಗಿ ಕಟ್ಟಿ ಬಿಗಿಸಿ.
扩充	ವಿಸ್ತರಿಸುವುದು	ಶಾಲೆ ಗ್ರಂಥಾಲಯದ ಪುಸ್ತಕ ಸಂಗ್ರಹವನ್ನು ವಿಸ್ತರಿಸಲು ಯೋಜಿಸಿದೆ.
扩散	ಹರಡುವುದು	ವದಂತಿ ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ ಬೇಗ ಹರಡಿತು.
扩张	ವಿಸ್ತರಣೆ	ಕಂಪನಿ ವ್ಯವಹಾರವನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ವಿಸ್ತರಿಸುತ್ತಿದೆ.
啦	ಭಾವ ಸೂಚಕ ಪದ	ಚಿಂತಿಸಬೇಡ, ಎಲ್ಲವೂ ಉತ್ತಮವಾಗುತ್ತದೆ.
喇叭	ಹಾರ್ನ್	ಕಾರಿನ ಹಾರ್ನ್ ಅಕಸ್ಮಾತ್ ಮೊಳಗಿತು.
蜡烛	ಮೆಣಬತ್ತಿ	ಹುಟ್ಟುಹಬ್ಬದ ಕೇಕ್ ಮೇಲೆ ಮೆಣಬತ್ತಿಗಳನ್ನು ಇಡಲಾಗಿತ್ತು.
来历	ಮೂಲ ಹಿನ್ನೆಲೆ	ಈ ಸಾಂಸ್ಕೃತಿಕ ವಸ್ತುವಿನ ಮೂಲ ಹಿನ್ನೆಲೆ ಸ್ಪಷ್ಟವಿಲ್ಲ.
来源	ಮೂಲ	ಸುದ್ದಿಯಲ್ಲಿ ಮಾಹಿತಿಯ ಮೂಲವನ್ನು ಸೂಚಿಸಬೇಕು.
栏目	ಕಾರ್ಯಕ್ರಮ ವಿಭಾಗ	ಈ ಕಾರ್ಯಕ್ರಮ ವಿಭಾಗ ವಾರಕ್ಕೆ ಒಮ್ಮೆ ಪ್ರಸಾರವಾಗುತ್ತದೆ.
懒惰	ಸೋಮಾರಿತನ	ಸೋಮಾರಿತನ ಕಲಿಕೆಯ ಫಲಿತಾಂಶಕ್ಕೆ ಪರಿಣಾಮ ಬೀರುತ್ತದೆ.
狼狈	ದಯನೀಯ ಸ್ಥಿತಿ	ಮಳೆಯ ನಂತರ ಅವನು ಸಂಪೂರ್ಣ ಒದ್ದೆಯಾಗಿದ್ದು ತುಂಬಾ ದಯನೀಯವಾಗಿ ಕಾಣುತ್ತಿದ್ದ.
狼吞虎咽	ಹಸಿದಂತೆ ಗಾಬರಿಯಾಗಿ ತಿನ್ನುವುದು	ಅವನು ತುಂಬಾ ಹಸಿದಿದ್ದರಿಂದ ಗಾಬರಿಯಾಗಿ ಊಟ ಮಾಡಿದ.
捞	ನೀರಿನಿಂದ ಎತ್ತುವುದು	ಮೀನುಗಾರನು ನದಿಯಿಂದ ಒಂದು ಬಲೆಯನ್ನು ಎತ್ತಿಕೊಂಡ.
唠叨	ಮತ್ತೆ ಮತ್ತೆ ಗುನುಗುವುದು	ತಾಯಿ ಸದಾ ಸಣ್ಣ ವಿಷಯಗಳ ಬಗ್ಗೆ ಮತ್ತೆ ಮತ್ತೆ ಗುನುಗುತ್ತಾಳೆ.
牢固	ದೃಢ	ಈ ಸೇತುವೆಯ ರಚನೆ ಬಹಳ ದೃಢವಾಗಿದೆ.
牢骚	ದೂರು	ಅವನಲ್ಲಿ ದೂರುಗಳು ತುಂಬಿದ್ದರೂ ಬದಲಾವಣೆ ಮಾಡಲು ಇಷ್ಟವಿಲ್ಲ.
乐趣	ಆನಂದ	ಓದು ಅವಳಿಗೆ ಬಹಳ ಆನಂದ ತರುತ್ತದೆ.
乐意	ಸಂತೋಷದಿಂದ ಸಿದ್ಧ	ನಿನ್ನ ಜೀವನಚರಿತ್ರೆ ತಿದ್ದುಪಡಿ ಮಾಡಲು ನಾನು ಸಂತೋಷದಿಂದ ಸಿದ್ಧನಿದ್ದೇನೆ.
雷达	ರಡಾರ್	ರಡಾರ್ ದೂರದಲ್ಲಿದ್ದ ವಿಮಾನವನ್ನು ಪತ್ತೆಹಚ್ಚಿತು.
类似	ಹೋಲುವ	ಹೋಲುವ ಸಮಸ್ಯೆಗಳು ಹಿಂದೆಯೂ ಕಾಣಿಸಿಕೊಂಡಿವೆ.
冷酷	ನಿರ್ದಯ	ಅವನ ಧಾಟಿ ತುಂಬಾ ನಿರ್ದಯವಾಗಿ ಕೇಳಿಸಿತು.
冷落	ಕಡೆಗಣಿಸುವುದು	ಹೊಸ ನೌಕರನು ತಾನು ಕಡೆಗಣಿಸಲ್ಪಟ್ಟೆ ಎಂದು ಭಾವಿಸಿದ.
冷却	ತಂಪಾಗಿಸುವುದು	ಯಂತ್ರವನ್ನು ದುರಸ್ತಿ ಮಾಡುವ ಮೊದಲು ತಂಪಾಗಿಸಬೇಕು.
愣	ಗಾಬರಿಯಾಗಿ ನಿಂತುಹೋಗುವುದು	ಸುದ್ದಿ ಕೇಳಿ ಅವನು ಗಾಬರಿಯಾಗಿ ನಿಂತುಹೋದ.
黎明	ಬೆಳಗಿನ ಜಾವ	ಬೆಳಗಿನ ಜಾವ ನಗರ ನಿಧಾನವಾಗಿ ಎಚ್ಚರಗೊಂಡಿತು.
理睬	ಗಮನ ಕೊಡುವುದು	ಅವನು ಕೋಪಗೊಂಡಿದ್ದರಿಂದ ಯಾರನ್ನೂ ಗಮನಿಸಲಿಲ್ಲ.
理所当然	ಸಹಜ ಹಕ್ಕಂತೆ ಕಾಣುವುದು	ಇತರರ ಸಹಾಯವನ್ನು ಸಹಜ ಹಕ್ಕಂತೆ ಕಾಣಬೇಡಿ.
理直气壮	ನ್ಯಾಯದ ಬಲದಿಂದ ಆತ್ಮವಿಶ್ವಾಸದಿಂದ	ಸಾಕ್ಷಿ ಸಾಕಷ್ಟಿದ್ದರಿಂದ ಅವನು ನ್ಯಾಯದ ಬಲದಿಂದ ಆತ್ಮವಿಶ್ವಾಸದಿಂದ ಮಾತನಾಡಿದ.
理智	ವಿವೇಕ	ಘರ್ಷಣೆ ಎದುರಾದಾಗ ವಿವೇಕವನ್ನು ಕಾಯ್ದುಕೊಳ್ಳಬೇಕು.
礼节	ಶಿಷ್ಟಾಚಾರ	ಬೇರೆ ಬೇರೆ ಸಂಸ್ಕೃತಿಗಳಿಗೆ ಬೇರೆ ಬೇರೆ ಶಿಷ್ಟಾಚಾರಗಳಿವೆ.
礼尚往来	ಮರ್ಯಾದೆಗೆ ಮರ್ಯಾದೆ ನೀಡುವುದು	ನೆರೆಹೊರೆಯವರು ಮರ್ಯಾದೆಗೆ ಮರ್ಯಾದೆ ನೀಡುವುದನ್ನು ಮಹತ್ವಪಡುತ್ತಾರೆ.
里程碑	ಮೈಲುಗಲ್ಲು	ಈ ಯಶಸ್ಸು ಯೋಜನೆಗೆ ಮೈಲುಗಲ್ಲು.
例外	ವಿನಾಯಿತಿ	ಎಲ್ಲರೂ ಭಾಗವಹಿಸಬೇಕು, ವಿನಾಯಿತಿ ಇಲ್ಲ.
利害	ಹಿತಾಸಕ್ತಿ	ಇದು ಎರಡೂ ಪಕ್ಷಗಳ ಹಿತಾಸಕ್ತಿಗೆ ಸಂಬಂಧಿಸಿದೆ.
力求	ಪೂರ್ಣ ಪ್ರಯತ್ನಿಸುವುದು	ತಪ್ಪುಗಳನ್ನು ಕನಿಷ್ಠಕ್ಕೆ ಇಳಿಸಲು ನಾವು ಪೂರ್ಣ ಪ್ರಯತ್ನಿಸುತ್ತೇವೆ.
力所能及	ತನ್ನ ಸಾಮರ್ಥ್ಯದಲ್ಲಿರುವ	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಸಾಮರ್ಥ್ಯದಲ್ಲಿರುವ ಕೆಲವು ಕೆಲಸಗಳನ್ನು ಮಾಡಿ.
力争	ಪ್ರಯತ್ನಪಟ್ಟು ಸಾಧಿಸಲು ಯತ್ನಿಸುವುದು	ತಂಡ ಕೆಲಸವನ್ನು ನಿಗದಿಗಿಂತ ಮುಂಚಿತವಾಗಿ ಮುಗಿಸಲು ಪ್ರಯತ್ನಿಸುತ್ತಿದೆ.
历代	ಹಿಂದಿನ ಪೀಳಿಗೆಗಳು	ಹಿಂದಿನ ಪೀಳಿಗೆಯ ಪಂಡಿತರು ಈ ಸಮಸ್ಯೆಯನ್ನು ಅಧ್ಯಯನ ಮಾಡಿದ್ದಾರೆ.
历来	ಯಾವಾಗಲೂ	ಈ ನಗರ ಶಿಕ್ಷಣಕ್ಕೆ ಯಾವಾಗಲೂ ಮಹತ್ವ ನೀಡಿದೆ.
立场	ನಿಲುವು	ಅವನು ಸಭೆಯಲ್ಲಿ ತನ್ನ ನಿಲುವನ್ನು ತಿಳಿಸಿದ.
立方	ಘನ ಮೀಟರ್	ಈ ನೀರಿನ ಟ್ಯಾಂಕ್‌ಗೆ ಮೂರು ಘನ ಮೀಟರ್ ಸಾಮರ್ಥ್ಯವಿದೆ.
立交桥	ಮೇಲ್ಸೇತುವೆ	ಈ ಮೇಲ್ಸೇತುವೆ ಸಂಚಾರ ದಟ್ಟಣೆಯನ್ನು ತಗ್ಗಿಸಿತು.
立体	ತ್ರಿಮಿತೀಯ	ಈ ಚಿತ್ರಕ್ಕೆ ಬಲವಾದ ತ್ರಿಮಿತೀಯ ಅನುಭವವಿದೆ.
立足	ಆಧಾರವಾಗಿ ನಿಲ್ಲುವುದು	ಉದ್ಯಮಗಳು ಸ್ಥಳೀಯ ಮಾರುಕಟ್ಟೆಯನ್ನು ಆಧಾರವಾಗಿ ನಿಲ್ಲಬೇಕು.
粒	ಕಣ	ಮೇಜಿನ ಮೇಲೆ ಕೆಲವು ಅಕ್ಕಿ ಕಣಗಳಿವೆ.
廉洁	ನಿಷ್ಠಾವಂತ ಮತ್ತು ಭ್ರಷ್ಟರಹಿತ	ಸಾರ್ವಜನಿಕ ಅಧಿಕಾರಿಗಳು ನಿಷ್ಠಾವಂತರಾಗಿ ಭ್ರಷ್ಟರಹಿತರಾಗಿರಬೇಕು.
联欢	ಸಂಗಮ ಸಂಭ್ರಮ	ಸಹಪಾಠಿಗಳು ಹೊಸ ವರ್ಷದ ಸಂಗಮ ಸಂಭ್ರಮ ನಡೆಸಿದರು.
联络	ಸಂಪರ್ಕಿಸುವುದು	ದಯವಿಟ್ಟು ಗ್ರಾಹಕರನ್ನು ಬೇಗ ಸಂಪರ್ಕಿಸಿ.
联盟	ಮೈತ್ರಿಕೂಟ	ಕೆಲವು ದೇಶಗಳು ವ್ಯಾಪಾರ ಮೈತ್ರಿಕೂಟ ರಚಿಸಿದವು.
联想	ಮನಸ್ಸಿಗೆ ನೆನಪಿಸುವುದು	ಈ ಫೋಟೋ ನನಗೆ ಬಾಲ್ಯದ ನೆನಪನ್ನು ತರಿಸುತ್ತದೆ.
连年	ನಿರಂತರ ವರ್ಷಗಳು	ಈ ಪ್ರದೇಶ ನಿರಂತರ ವರ್ಷಗಳಿಂದ ಪ್ರವಾಹ ಅನುಭವಿಸಿದೆ.
连锁	ಚೈನ್	ಈ ಕಂಪನಿ ಚೈನ್ ಸೂಪರ್‌ಮಾರ್ಕೆಟ್‌ಗಳನ್ನು ನಡೆಸುತ್ತದೆ.
连同	ಒಟ್ಟಾಗಿ	ದಯವಿಟ್ಟು ಇನ್ವಾಯ್ಸ್ ಅನ್ನು ಒಪ್ಪಂದದೊಂದಿಗೆ ಒಟ್ಟಾಗಿ ಕಳುಹಿಸಿ.
良心	ಮನಸ್ಸಾಕ್ಷಿ	ಮನುಷ್ಯನು ಮನಸ್ಸಾಕ್ಷಿಗೆ ವಿರುದ್ಧವಾಗದಂತೆ ಬದುಕಬೇಕು.
晾	ಗಾಳಿಯಲ್ಲಿ ಒಣಗಿಸುವುದು	ಅವಳು ಬಟ್ಟೆಗಳನ್ನು ಬಾಲ್ಕನಿಯಲ್ಲಿ ಗಾಳಿಯಲ್ಲಿ ಒಣಗಲು ಹಾಕಿದಳು.
谅解	ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವುದು	ನಮ್ಮ ಕಷ್ಟಗಳನ್ನು ನೀವು ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವಿರಿ ಎಂದು ಆಶಿಸುತ್ತೇನೆ.
辽阔	ಅಪಾರ ವಿಶಾಲ	ಹುಲ್ಲುಗಾವಲು ಅಪಾರ ವಿಶಾಲವಾಗಿದ್ದು ಕಣ್ಣಿಗೆ ಅಂತ್ಯ ಕಾಣುವುದಿಲ್ಲ.
列举	ಪಟ್ಟಿಮಾಡುವುದು	ಶಿಕ್ಷಕರು ಮೂರು ಉದಾಹರಣೆಗಳನ್ನು ಪಟ್ಟಿಮಾಡಿದರು.
临床	ವೈದ್ಯಕೀಯ ಪ್ರಯೋಗಾತ್ಮಕ	ಈ ಔಷಧಿ ವೈದ್ಯಕೀಯ ಪ್ರಯೋಗದಲ್ಲಿದೆ.
淋	ಮಳೆಯಲ್ಲಿ ನೆನೆಸಿಕೊಳ್ಳುವುದು	ಮಳೆಯಲ್ಲಿ ತುಂಬಾ ಹೊತ್ತು ನೆನೆಸಿಕೊಳ್ಳಬೇಡಿ.
吝啬	ಕಂಜೂಸು	ಅವನು ಸ್ನೇಹಿತರ ವಿಷಯದಲ್ಲಿ ಎಂದಿಗೂ ಕಂಜೂಸು ಅಲ್ಲ.
伶俐	ಚುರುಕುಬುದ್ಧಿಯ	ಈ ಚಿಕ್ಕ ಹುಡುಗಿ ಬುದ್ಧಿವಂತಳೂ ಚುರುಕುಬುದ್ಧಿಯಳೂ ಆಗಿದ್ದಾಳೆ.
凌晨	ಬೆಳಗಿನ ಅತಿ ಮುಂಜಾನೆ	ವಿಮಾನ ಬೆಳಗಿನ ಅತಿ ಮುಂಜಾನೆ ಮೂರು ಗಂಟೆಗೆ ಹಾರುತ್ತದೆ.
灵感	ಸ್ಫೂರ್ತಿ	ಸಂಗೀತ ಅವನಿಗೆ ಸೃಜನಾತ್ಮಕ ಸ್ಫೂರ್ತಿ ನೀಡಿತು.
灵魂	ಆತ್ಮ	ಸ್ವಾತಂತ್ರ್ಯವೇ ಈ ಕೃತಿಯ ಆತ್ಮ.
灵敏	ಸೂಕ್ಷ್ಮ ಪ್ರತಿಕ್ರಿಯಾಶೀಲ	ಈ ಸಾಧನ ಬಹಳ ಸೂಕ್ಷ್ಮವಾಗಿ ಪ್ರತಿಕ್ರಿಯಿಸುತ್ತದೆ.
零星	ಚದುರಿದ	ರಾತ್ರಿ ಆಕಾಶದಲ್ಲಿ ಚದುರಿದ ದೀಪಗಳು ಇದ್ದವು.
领会	ಗ್ರಹಿಸುವುದು	ಅವನು ಶಿಕ್ಷಕರ ಅರ್ಥವನ್ನು ಬೇಗ ಗ್ರಹಿಸಿದ.
领事馆	ರಾಯಭಾರಿ ಕಚೇರಿ	ಅವನು ವೀಸಾ ಪ್ರಕ್ರಿಯೆಗೆ ರಾಯಭಾರಿ ಕಚೇರಿಗೆ ಹೋದ.
领土	ಪ್ರದೇಶ	ಪ್ರತಿ ದೇಶವೂ ಪ್ರದೇಶದ ಅಖಂಡತೆಯನ್ನು ಮಹತ್ವ ಕೊಡುತ್ತದೆ.
领悟	ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವುದು	ವಿಫಲತೆಯನ್ನು ಅನುಭವಿಸಿದ ನಂತರ ಅವನು ಜವಾಬ್ದಾರಿಯನ್ನು ಅರ್ಥಮಾಡಿಕೊಂಡ.
领先	ಮುನ್ನಡೆಯಲ್ಲಿರುವುದು	ಅವರ ತಂತ್ರಜ್ಞಾನ ಈಗ ಸಮಕಾಲೀನರಿಗಿಂತ ಮುನ್ನಡೆಯಲ್ಲಿದೆ.
领袖	ನಾಯಕ	ಈ ನಾಯಕ ಜನರಿಂದ ಆಳವಾದ ಗೌರವ ಪಡೆಯುತ್ತಾರೆ.
溜	ಜಾರಿಹೋಗುವುದು	ನಾಯಿ ಮರಿಯು ಬಾಗಿಲಿನ ಸಿಳ್ಳಿನಿಂದ ಜಾರಿಹೋಯಿತು.
流浪	ಅಲೆದಾಡುವುದು	ಅವನು ಯೌವನದಲ್ಲಿ ಹಲವು ಕಡೆ ಅಲೆದಾಡಿದ್ದ.
流露	ಹೊರಹೊಮ್ಮುವುದು	ಅವಳ ಮುಖದಲ್ಲಿ ಸಂತೋಷ ಹೊರಹೊಮ್ಮಿತು.
流氓	ಗುಂಡ	ಪೊಲೀಸರು ಕೆಲವು ಬೀದಿ ಗುಂಡರನ್ನು ಹಿಡಿದರು.
流通	ಪ್ರಚಲಿತದಲ್ಲಿರುವುದು	ಈ ನಾಣ್ಯ ವ್ಯವಸ್ಥೆ ಒಮ್ಮೆ ಸ್ಥಳೀಯವಾಗಿ ಪ್ರಚಲಿತದಲ್ಲಿತ್ತು.
留恋	ಬಿಡಲು ಮನಸ್ಸಿಲ್ಲದಿರುವುದು	ಪದವಿ ಪಡೆಯುವಾಗ ಎಲ್ಲರಿಗೂ ಕ್ಯಾಂಪಸ್ ಬಿಡಲು ಮನಸ್ಸಿರಲಿಲ್ಲ.
留念	ಸ್ಮರಣಿಕೆಗೆ ಉಳಿಸುವುದು	ನಾವು ಶಾಲಾ ಬಾಗಿಲ ಬಳಿ ಸ್ಮರಣಿಕೆಗೆ ಫೋಟೋ ತೆಗೆದೆವು.
留神	ಎಚ್ಚರಿಕೆಯಿಂದಿರು	ರಸ್ತೆ ದಾಟುವಾಗ ಖಂಡಿತ ಎಚ್ಚರಿಕೆಯಿಂದಿರಬೇಕು.
聋哑	ಕಿವುಡ ಮೂಕ	ಶಾಲೆ ಕಿವುಡ ಮೂಕ ಮಕ್ಕಳಿಗೆ ಸಹಾಯ ಒದಗಿಸುತ್ತದೆ.
隆重	ಗಂಭೀರ ಔಪಚಾರಿಕ	ಮಹಾಸಭೆ ಸಭಾಂಗಣದಲ್ಲಿ ಗಂಭೀರ ಔಪಚಾರಿಕವಾಗಿ ನಡೆಯಿತು.
垄断	ಏಕಾಧಿಕಾರ	ಏಕಾಧಿಕಾರ ಮಾರುಕಟ್ಟೆ ಸ್ಪರ್ಧೆಗೆ ಹಾನಿ ಮಾಡಬಹುದು.
笼罩	ಆವರಿಸುವುದು	ದಟ್ಟ ಮಂಜು ಇಡೀ ಗ್ರಾಮವನ್ನು ಆವರಿಸಿತು.
搂	ಅಪ್ಪಿಕೊಳ್ಳುವುದು	ತಾಯಿ ಮಗುವನ್ನು ಮೃದುವಾಗಿ ಅಪ್ಪಿಕೊಂಡಳು.
炉灶	ಅಡುಗೆ ಒಲೆ	ಅಡಿಗೆಯಲ್ಲಿರುವ ಅಡುಗೆ ಒಲೆ ಸ್ವಚ್ಛಗೊಳಿಸಬೇಕು.
轮船	ಹಡಗು	ಹಡಗು ನಿಧಾನವಾಗಿ ಬಂದರಿನಿಂದ ಹೊರಟಿತು.
轮廓	ಬಾಹ್ಯ ರೇಖೆ	ದೂರದ ಬೆಟ್ಟಗಳ ಬಾಹ್ಯ ರೇಖೆ ಬಹಳ ಸ್ಪಷ್ಟವಾಗಿದೆ.
轮胎	ಟೈರ್	ಕಾರಿನ ಟೈರ್‌ಗಳನ್ನು ಬದಲಿಸಬೇಕು.
论坛	ಚರ್ಚಾ ವೇದಿಕೆ	ತಜ್ಞರು ಚರ್ಚಾ ವೇದಿಕೆಯಲ್ಲಿ ಭಾಷಣ ಮಾಡಿದರು.
论证	ವಾದದಿಂದ ಸಾಬೀತುಪಡಿಸುವುದು	ವರದಿಗೆ ತನ್ನ ವಾದವನ್ನು ಇನ್ನಷ್ಟು ವಾದದಿಂದ ಸಾಬೀತುಪಡಿಸಬೇಕಾಗಿದೆ.
啰唆	ಉದ್ದವಾಗಿ ಮಾತಾಡುವುದು	ಉದ್ದವಾಗಿ ಮಾತಾಡದೆ ನೇರವಾಗಿ ಮುಖ್ಯ ವಿಷಯ ಹೇಳು.
络绎不绝	ನಿರಂತರ ಹರಿವು	ಪ್ರವಾಸಿಗರು ಹಳೆಯ ನಗರಕ್ಕೆ ನಿರಂತರ ಹರಿವಿನಂತೆ ಬಂದರು.
落成	ನಿರ್ಮಾಣ ಪೂರ್ಣಗೊಳ್ಳುವುದು	ಹೊಸ ಕ್ರೀಡಾಂಗಣ ನಾಳೆ ಅಧಿಕೃತವಾಗಿ ಪೂರ್ಣಗೊಳ್ಳಲಿದೆ.
落实	ಅಮಲಿಗೆ ತರುವುದು	ಸಭೆಯು ಹೊಸ ನೀತಿಯನ್ನು ಬೇಗ ಅಮಲಿಗೆ ತರಲು ಸೂಚಿಸಿತು.
屡次	ಪುನಃ ಪುನಃ	ಅವನು ಎಲ್ಲರಿಗೂ ಸುರಕ್ಷತೆಯನ್ನು ಗಮನಿಸಲು ಪುನಃ ಪುನಃ ನೆನಪಿಸಿದನು.
履行	ನಿರ್ವಹಿಸುವುದು	ಎರಡೂ ಪಕ್ಷಗಳು ಒಪ್ಪಂದದ ಕರ್ತವ್ಯಗಳನ್ನು ನಿರ್ವಹಿಸಬೇಕು.
掠夺	ಲೂಟಿ	ಯುದ್ಧವು ಸಂಪನ್ಮೂಲಗಳ ಲೂಟಿಗೆ ಕಾರಣವಾಯಿತು.
嘛	ಅಲ್ಲವೇ ಎಂಬ ಭಾವಸೂಚಕ ಕಣ	ಈ ವಿಷಯ ತುಂಬ ಸರಳ ಅಲ್ಲವೇ.
麻痹	ಎಚ್ಚರ ಕಳೆದುಕೊಳ್ಳುವುದು	ದೀರ್ಘಕಾಲ ಎಲ್ಲವೂ ಸುಗಮವಾಗಿದ್ದರೆ ಮನುಷ್ಯ ಎಚ್ಚರ ಕಳೆದುಕೊಳ್ಳಬಹುದು.
麻木	ಸಂವೇದನೆ ಇಲ್ಲದ	ಚಳಿಯಿಂದ ಅವನ ಬೆರಳುಗಳು ಸಂವೇದನೆ ಇಲ್ಲದಂತಾದವು.
麻醉	ಮತ್ತುಗೊಳಿಸುವುದು	ಶಸ್ತ್ರಚಿಕಿತ್ಸೆಗೆ ಮೊದಲು ವೈದ್ಯರು ರೋಗಿಯನ್ನು ಮತ್ತುಗೊಳಿಸಿದರು.
码头	ಬಂದರು ತಡೆ	ಸರಕು ಹಡಗು ಬಂದರು ತಡೆಯ ಬಳಿಯಲ್ಲಿ ನಿಂತಿತು.
蚂蚁	ಇರುವೆ	ಇರುವೆಗಳು ಆಹಾರವನ್ನು ಹೊತ್ತುಕೊಂಡು ಹೋಗುತ್ತಿವೆ.
埋伏	ಹೊಂಚು ಹಾಕುವುದು	ಸೈನಿಕರು ಕಣಿವೆಯಲ್ಲಿ ಹೊಂಚು ಹಾಕಿದ್ದರು.
埋没	ಗಮನಕ್ಕೆ ಬರದಂತೆ ಮಾಡುವುದು	ಪ್ರತಿಭಾವಂತರನ್ನು ಗಮನಕ್ಕೆ ಬರದಂತೆ ಬಿಡಬೇಡಿ.
埋葬	ಹೂಳುವುದು	ಗ್ರಾಮಸ್ಥರು ವೃದ್ಧರನ್ನು ಬೆಟ್ಟದ ಇಳಿಜಾರಿನಲ್ಲಿ ಹೂಳಿದರು.
脉搏	ನಾಡಿ	ನರ್ಸ್ ಅವನ ನಾಡಿಯನ್ನು ಅಳೆಯುತ್ತಿದ್ದಾಳೆ.
迈	ದೊಡ್ಡ ಹೆಜ್ಜೆ ಇಡುವುದು	ಅವನು ಬಾಗಿಲಿನ ಕಡೆಗೆ ದೊಡ್ಡ ಹೆಜ್ಜೆ ಇಟ್ಟು ನಡೆದನು.
埋怨	ದೂರು ಹೇಳುವುದು	ಎಂದಿಗೂ ಇತರರ ಬಗ್ಗೆ ದೂರು ಹೇಳಬೇಡ.
慢性	ದೀರ್ಘಕಾಲಿಕ	ದೀರ್ಘಕಾಲಿಕ ರೋಗಗಳಿಗೆ ದೀರ್ಘ ಚಿಕಿತ್ಸೆ ಬೇಕು.
漫长	ಬಹಳ ದೀರ್ಘ	ಅವರು ಬಹಳ ದೀರ್ಘ ನಿರೀಕ್ಷೆಯನ್ನು ಅನುಭವಿಸಿದರು.
漫画	ಕಾಮಿಕ್	ಈ ಕಾಮಿಕ್ ಯುವಕರಲ್ಲಿ ಬಹಳ ಜನಪ್ರಿಯವಾಗಿದೆ.
蔓延	ಹರಡುವುದು	ಬೆಂಕಿ ಬೇಗ ಕಾಡಿನ ಆಳಕ್ಕೆ ಹರಡಿತು.
忙碌	ಬಿಡುವಿಲ್ಲದ	ವರ್ಷಾಂತ್ಯ ಕಂಪನಿಯ ಅತ್ಯಂತ ಬಿಡುವಿಲ್ಲದ ಸಮಯ.
盲目	ಕುರುಡಾಗಿ	ಹೂಡಿಕೆಯಲ್ಲಿ ಪ್ರವೃತ್ತಿಯನ್ನು ಕುರುಡಾಗಿ ಅನುಸರಿಸಬಾರದು.
茫茫	ವಿಶಾಲ ಅಸೀಮ	ದೋಣಿ ವಿಶಾಲ ಅಸೀಮ ಸಮುದ್ರದಲ್ಲಿ ಕಾಣೆಯಾಗಿತು.
