simplified	BN	example_BN
来历	উৎপত্তি	এই সাংস্কৃতিক বস্তুটির উৎপত্তি অজানা।
来源	উৎস	খবরে তথ্যের উৎস উল্লেখ করতে হবে।
栏目	অনুষ্ঠান বিভাগ	এই অনুষ্ঠান বিভাগ প্রতি সপ্তাহে একবার প্রচারিত হয়।
懒惰	অলসতা	অলসতা শেখার ফলাফলে প্রভাব ফেলে।
狼狈	বিপর্যস্ত	বৃষ্টির পর সে পুরো ভিজে খুব বিপর্যস্ত দেখাচ্ছিল।
狼吞虎咽	গোগ্রাসে খাওয়া	সে খুব ক্ষুধার্ত ছিল, গোগ্রাসে খাবার খেল।
捞	জল থেকে তুলে নেওয়া	জেলে নদী থেকে একটি জাল তুলে নিল।
唠叨	বকবক করা	মা সব সময় ছোট বিষয় নিয়ে বকবক করেন।
牢固	মজবুত	এই সেতুর কাঠামো খুব মজবুত।
牢骚	অভিযোগ	তার অনেক অভিযোগ, কিন্তু বদলাতে চায় না।
乐趣	আনন্দ	পড়াশোনা তাকে অনেক আনন্দ দেয়।
乐意	সানন্দে রাজি	আমি তোমার জীবনবৃত্তান্ত সংশোধনে সানন্দে রাজি।
雷达	রাডার	রাডার দূরের বিমান শনাক্ত করেছে।
类似	সদৃশ	এ ধরনের সদৃশ সমস্যা আগেও দেখা গেছে।
冷酷	নিষ্ঠুর	তার কথার সুর খুব নিষ্ঠুর মনে হলো।
冷落	উপেক্ষিত করা	নতুন কর্মী নিজেকে উপেক্ষিত মনে করল।
冷却	ঠান্ডা হওয়া	যন্ত্রটি আগে ঠান্ডা হতে হবে, তারপর মেরামত করা যাবে।
愣	স্তব্ধ হয়ে যাওয়া	খবর শুনে সে স্তব্ধ হয়ে গেল।
黎明	ভোর	ভোরবেলায় শহর ধীরে ধীরে জেগে উঠল।
理睬	পাত্তা দেওয়া	সে রেগে গেছে, কাউকেই পাত্তা দিচ্ছে না।
理所当然	স্বাভাবিক অধিকার মনে করা	অন্যের সাহায্যকে স্বাভাবিক অধিকার মনে কোরো না।
理直气壮	ন্যায়ের জোরে দৃঢ়ভাবে	প্রমাণ যথেষ্ট ছিল, তাই সে ন্যায়ের জোরে দৃঢ়ভাবে বলল।
理智	বিবেকবুদ্ধি	সংঘর্ষের সময় বিবেকবুদ্ধি ধরে রাখতে হয়।
礼节	শিষ্টাচার	ভিন্ন সংস্কৃতির ভিন্ন শিষ্টাচার আছে।
礼尚往来	সৌজন্যে পারস্পরিক আদানপ্রদান	পড়শিদের মধ্যে সৌজন্যে পারস্পরিক আদানপ্রদান গুরুত্ব পায়।
里程碑	মাইলফলক	এই সাফল্য প্রকল্পের মাইলফলক।
例外	ব্যতিক্রম	সবাইকে অংশ নিতে হবে, কোনো ব্যতিক্রম নেই।
利害	স্বার্থসংঘাত	এটি দুই পক্ষের স্বার্থের সম্পর্কের সঙ্গে জড়িত।
力求	সর্বোচ্চ চেষ্টা করা	আমরা ভুল সর্বনিম্ন করতে সর্বোচ্চ চেষ্টা করি।
力所能及	সাধ্যের মধ্যে	দয়া করে সাধ্যের মধ্যে কিছু কাজ করো।
力争	প্রাণপণ চেষ্টা করা	দল আগেভাগে কাজ শেষ করতে প্রাণপণ চেষ্টা করছে।
历代	প্রজন্মের পর প্রজন্ম	প্রজন্মের পর প্রজন্মের পণ্ডিতেরা এই বিষয় নিয়ে গবেষণা করেছেন।
历来	সবসময় ধরে	এই শহর সবসময় ধরে শিক্ষাকে গুরুত্ব দেয়।
立场	অবস্থান	সে সভায় নিজের অবস্থান জানিয়েছে।
立方	ঘন	এই পানির ট্যাংকের ধারণক্ষমতা তিন ঘন মিটার।
立交桥	উড়ালসেতু	এই উড়ালসেতু যানজট কমিয়েছে।
立体	ত্রিমাত্রিক	এই ছবিতে শক্তিশালী ত্রিমাত্রিক অনুভূতি আছে।
立足	ভিত্তি গাড়া	প্রতিষ্ঠানকে স্থানীয় বাজারে ভিত্তি গাড়তে হবে।
粒	দানার গণনাশব্দ	টেবিলে কয়েক দানা চাল আছে।
廉洁	সৎ ও দুর্নীতিমুক্ত	সরকারি কর্মচারীদের সৎ ও দুর্নীতিমুক্ত থাকতে হবে।
联欢	সমবেত আনন্দোৎসব	সহপাঠীরা নববর্ষের সমবেত আনন্দোৎসব করেছে।
联络	যোগাযোগ করা	দয়া করে যত দ্রুত সম্ভব গ্রাহকের সঙ্গে যোগাযোগ করুন।
联盟	জোট	কয়েকটি দেশ বাণিজ্য জোট গঠন করেছে।
联想	মনে করিয়ে দেওয়া	এই ছবি আমাকে শৈশবের কথা মনে করিয়ে দেয়।
连年	বছরের পর বছর	এই অঞ্চল বছরের পর বছর বন্যায় ভোগে।
连锁	শৃঙ্খলধর্মী	এই কোম্পানি শৃঙ্খলধর্মী সুপারমার্কেট চালায়।
连同	সহ	দয়া করে চালানটি চুক্তির সঙ্গে পাঠান।
良心	বিবেক	মানুষকে নিজের বিবেকের কাছে সৎ থাকতে হয়।
晾	শুকাতে দেওয়া	সে কাপড়গুলো বারান্দায় শুকাতে দিয়েছে।
谅解	বোঝাপড়া করে ক্ষমা করা	আশা করি তুমি আমাদের অসুবিধা বুঝে ক্ষমা করবে।
辽阔	বিস্তীর্ণ	তৃণভূমি এত বিস্তীর্ণ যে এক নজরে শেষ দেখা যায় না।
列举	উদাহরণ হিসেবে বলা	শিক্ষক তিনটি উদাহরণ বলেছেন।
临床	ক্লিনিকাল	এই ওষুধের ক্লিনিকাল পরীক্ষা চলছে।
淋	বৃষ্টিতে ভেজা	বৃষ্টিতে বেশি সময় ভিজে থেকো না।
吝啬	কৃপণ	বন্ধুদের প্রতি সে কখনও কৃপণ নয়।
伶俐	চটপটে বুদ্ধিমান	এই ছোট মেয়েটি বুদ্ধিমান ও চটপটে।
凌晨	ভোররাত	বিমান ভোররাত তিনটায় উড়বে।
灵感	প্রেরণার ঝলক	সঙ্গীত তাকে সৃষ্টির প্রেরণার ঝলক দিয়েছে।
灵魂	আত্মা	স্বাধীনতা এই রচনার আত্মা।
灵敏	সংবেদনশীল	এই যন্ত্রের প্রতিক্রিয়া খুব সংবেদনশীল।
零星	ছিটেফোঁটা	রাতের আকাশে ছিটেফোঁটা আলো আছে।
领会	বুঝে নেওয়া	সে দ্রুত শিক্ষকের অর্থ বুঝে নিয়েছে।
领事馆	কনস্যুলেট	সে ভিসার কাজ করতে কনস্যুলেটে গেল।
领土	ভূখণ্ড	প্রতিটি দেশ ভূখণ্ডের অখণ্ডতাকে গুরুত্ব দেয়।
领悟	উপলব্ধি করা	ব্যর্থতার অভিজ্ঞতার পর সে দায়িত্ব উপলব্ধি করেছে।
领先	এগিয়ে থাকা	তাদের প্রযুক্তি বর্তমানে সমক্ষেত্রের অন্যদের চেয়ে এগিয়ে।
领袖	নেতা	এই নেতা জনগণের গভীর শ্রদ্ধা পান।
溜	চুপিসারে সরে যাওয়া	ছোট কুকুরটি দরজার ফাঁক দিয়ে চুপিসারে বেরিয়ে গেল।
流浪	ভবঘুরে ঘোরা	যৌবনে সে চারদিকে ভবঘুরে ঘুরেছে।
流露	প্রকাশ পেয়ে যাওয়া	তার মুখে আনন্দ প্রকাশ পেয়ে গেল।
流氓	গুণ্ডা	পুলিশ কয়েকজন রাস্তার গুণ্ডাকে ধরেছে।
流通	চলাচল করা	এই মুদ্রা একসময় স্থানীয়ভাবে চলত।
留恋	ছাড়তে না চাওয়া	স্নাতকের সময় সবাই ক্যাম্পাস ছাড়তে চাইছিল না।
留念	স্মৃতি হিসেবে রাখা	আমরা স্কুলের দরজায় ছবি তুলে স্মৃতি রাখলাম।
留神	সতর্ক থাকা	রাস্তা পার হওয়ার সময় অবশ্যই সতর্ক থাকতে হবে।
聋哑	বধির-মূক	স্কুল বধির-মূক শিশুদের সহায়তা দেয়।
隆重	জাঁকজমকপূর্ণভাবে	সম্মেলন অডিটোরিয়ামে জাঁকজমকপূর্ণভাবে অনুষ্ঠিত হলো।
垄断	একচেটিয়া দখল	একচেটিয়া দখল বাজার প্রতিযোগিতার ক্ষতি করে।
笼罩	ঢেকে রাখা	ঘন কুয়াশা পুরো গ্রাম ঢেকে রেখেছে।
搂	আলতো জড়িয়ে ধরা	মা শিশুটিকে আলতো করে জড়িয়ে ধরলেন।
炉灶	চুলা	রান্নাঘরের চুলা পরিষ্কার করা দরকার।
轮船	স্টিমার	স্টিমার ধীরে ধীরে বন্দর ছেড়ে গেল।
轮廓	রূপরেখা	দূরের পাহাড়ের রূপরেখা খুব স্পষ্ট।
轮胎	টায়ার	গাড়ির টায়ার বদলাতে হবে।
论坛	ফোরাম	বিশেষজ্ঞ ফোরামে বক্তৃতা দিয়েছেন।
论证	যুক্তি দিয়ে প্রমাণ করা	প্রতিবেদনে মতটি আরও যুক্তি দিয়ে প্রমাণ করতে হবে।
啰唆	বাগাড়ম্বর করা	আর বাগাড়ম্বর কোরো না, সরাসরি মূল কথা বলো।
络绎不绝	অবিরাম ভিড় করা	পর্যটকেরা অবিরাম প্রাচীন শহরে আসছিল।
落成	নির্মাণ সম্পন্ন হওয়া	নতুন ক্রীড়াভবন কাল আনুষ্ঠানিকভাবে নির্মাণ সম্পন্ন হবে।
落实	বাস্তবায়ন করা	সভায় নতুন নীতি দ্রুত বাস্তবায়নের নির্দেশ দেওয়া হয়েছে।
屡次	বারবার	সে সবাইকে নিরাপত্তার দিকে বারবার সতর্ক করেছে।
履行	পালন করা	দুই পক্ষকেই চুক্তির দায়িত্ব পালন করতে হবে।
掠夺	লুণ্ঠন করা	যুদ্ধের ফলে সম্পদের লুণ্ঠন ঘটেছে।
嘛	না	এই ব্যাপারটা তো খুব সহজ না।
麻痹	অসতর্ক করে তোলা	দীর্ঘদিন সব মসৃণ চললে মানুষ সহজে অসতর্ক হয়ে যায়।
麻木	অবশ	ঠান্ডায় তার আঙুল অবশ হয়ে গেল।
麻醉	অজ্ঞান করা	অস্ত্রোপচারের আগে চিকিৎসক রোগীকে অজ্ঞান করলেন।
码头	ঘাট	পণ্যবাহী জাহাজ ঘাটের পাশে নোঙর করল।
蚂蚁	পিঁপড়া	পিঁপড়ারা খাবার বয়ে নিয়ে যাচ্ছে।
埋伏	ওত পেতে থাকা	সৈন্যরা উপত্যকায় ওত পেতে ছিল।
埋没	অপ্রকাশিত থেকে যাওয়া	প্রতিভাবান মানুষকে অপ্রকাশিত থেকে যেতে দেওয়া উচিত নয়।
埋葬	কবর দেওয়া	গ্রামবাসীরা বৃদ্ধকে পাহাড়ের ঢালে কবর দিল।
脉搏	নাড়ির স্পন্দন	নার্স তার নাড়ির স্পন্দন মাপছেন।
迈	পা বাড়ানো	সে বড় বড় পা ফেলে দরজার দিকে গেল।
埋怨	অভিযোগ করা	সব সময় অন্যদের বিরুদ্ধে অভিযোগ কোরো না।
慢性	দীর্ঘস্থায়ী	দীর্ঘস্থায়ী রোগে দীর্ঘমেয়াদি চিকিৎসা লাগে।
漫长	দীর্ঘ	তারা দীর্ঘ অপেক্ষার মধ্য দিয়ে গেছে।
漫画	কমিক	এই কমিক তরুণদের মধ্যে খুব জনপ্রিয়।
蔓延	ছড়িয়ে পড়া	আগুন দ্রুত বনের গভীরে ছড়িয়ে পড়ল।
忙碌	ব্যস্ত	বছরের শেষ সময় কোম্পানির সবচেয়ে ব্যস্ত সময়।
盲目	অন্ধভাবে	বিনিয়োগে অন্ধভাবে প্রবণতার পেছনে ছোটা উচিত নয়।
茫茫	অসীম বিস্তৃত	নৌকাটি অসীম বিস্তৃত সাগরে মিলিয়ে গেল।
茫然	হতবুদ্ধি	ব্যাখ্যা শুনেও তার মুখে হতবুদ্ধি ভাব রইল।
冒充	ছদ্মবেশ ধারণ করা	কেউ পুলিশ সেজে টাকা প্রতারণা করেছে।
冒犯	অপমান করা	আমার কথায় তোমাকে অপমান করার ইচ্ছা ছিল না।
茂盛	ঘন সবুজ	আঙিনার গাছপালা খুব ঘন সবুজ হয়ে উঠেছে।
媒介	মাধ্যম	ইন্টারনেট তথ্যের গুরুত্বপূর্ণ মাধ্যম।
枚	ছোট গোল বস্তুর গণনাশব্দ	সে কয়েকটি স্মারক মুদ্রা সংগ্রহ করেছে।
美观	দৃষ্টিনন্দন	এই নকশা ব্যবহারিকও, দৃষ্টিনন্দনও।
美满	সুখী পূর্ণ	তারা সুখী পূর্ণ জীবন কাটায়।
美妙	অসাধারণ সুন্দর	সঙ্গীতানুষ্ঠান এক অসাধারণ সুন্দর অভিজ্ঞতা দিল।
萌芽	অঙ্কুরোদ্গম হওয়া	নতুন ভাবনাটি ধীরে ধীরে অঙ্কুরোদ্গম হতে শুরু করল।
猛烈	তীব্র	ঝড়টি খুব তীব্রভাবে এলো।
眯	চোখ কুঁচকানো	রোদ খুব কড়া ছিল, তাই সে চোখ কুঁচকাল।
弥补	পূরণ করা	ক্ষমা চাওয়া ক্ষতি পুরোপুরি পূরণ করতে পারে না।
弥漫	ভরে থাকা	আঙিনায় ফুলের গন্ধ ভরে ছিল।
谜语	ধাঁধা	শিশুরা ধাঁধা মেলাতে ভালোবাসে।
迷惑	বিভ্রান্ত করা	জটিল তথ্য তাকে বিভ্রান্ত করল।
迷人	মোহনীয়	সমুদ্রতীরের রাতের দৃশ্য খুব মোহনীয়।
迷信	কুসংস্কার	বিজ্ঞান শিক্ষা কুসংস্কার কমাতে পারে।
密度	ঘনত্ব	এই ধাতুর ঘনত্ব খুব বেশি।
密封	বায়ুরোধী করে বন্ধ করা	খোলার পর দয়া করে ব্যাগটি আবার বায়ুরোধী করে বন্ধ করুন।
棉花	তুলা	কৃষকেরা তুলা তুলছেন।
免得	যাতে না	আগে বেরোও, যাতে দেরি না হয়।
免疫	রোগপ্রতিরোধ	এই টিকা রোগপ্রতিরোধ ক্ষমতা বাড়াতে পারে।
勉励	উৎসাহ দেওয়া	শিক্ষক প্রায়ই ছাত্রদের পড়াশোনা চালিয়ে যেতে উৎসাহ দেন।
勉强	অনিচ্ছায়	সে অনিচ্ছায় এই ব্যবস্থায় রাজি হলো।
面貌	চেহারা	শহরের চেহারায় বড় পরিবর্তন হয়েছে।
面子	সম্মানরক্ষা	সে সবার সামনে সম্মান হারাতে চায়নি।
描绘	চিত্রিত করা	উপন্যাসটি গ্রামীণ জীবন চিত্রিত করেছে।
瞄准	লক্ষ্য করা	শুটার লক্ষ্যবস্তুর দিকে লক্ষ্য করল।
渺小	অতি ক্ষুদ্র	প্রকৃতির সামনে মানুষ অতি ক্ষুদ্র মনে হয়।
藐视	তুচ্ছ করা	আমরা কোনো প্রতিপক্ষকে তুচ্ছ করতে পারি না।
灭亡	ধ্বংস হয়ে যাওয়া	রাজবংশটি শেষ পর্যন্ত ধ্বংসের দিকে গেল।
蔑视	অবজ্ঞা করা	তার কণ্ঠে অবজ্ঞা ভরা ছিল।
民间	লোকজ	লোকজ শিল্প সংরক্ষণ করা দরকার।
民主	গণতন্ত্র	সভায় গণতান্ত্রিক ভোটপদ্ধতি গ্রহণ করা হলো।
敏捷	চটপটে	ক্রীড়াবিদের চলন খুব চটপটে।
敏锐	তীক্ষ্ণ	সাংবাদিকের তীক্ষ্ণ পর্যবেক্ষণশক্তি দরকার।
名次	স্থান	সে প্রতিযোগিতায় ভালো স্থান পেয়েছে।
名额	কোটা	এই প্রকল্পে মাত্র দশটি কোটা আছে।
名副其实	নাম ও কাজে সত্য	সে নাম ও কাজে সত্যিকারের বিশেষজ্ঞ।
名誉	সুনাম	এই ঘটনা কোম্পানির সুনাম নষ্ট করেছে।
明明	স্পষ্টতই	সে স্পষ্টতই উত্তর জানত, কিন্তু বলতে রাজি হলো না।
明智	বিবেচক	সিদ্ধান্ত পিছিয়ে দেওয়া ছিল বিবেচক পছন্দ।
命名	নামকরণ করা	বিজ্ঞানীরা নতুন প্রজাতির নামকরণ করলেন।
摸索	খুঁজে দেখা	দলটি এখনও নতুন পদ্ধতি খুঁজে দেখছে।
摩擦	ঘর্ষণ	দুই দেশের মধ্যে বাণিজ্যিক ঘর্ষণ দেখা দিয়েছে।
模范	আদর্শ	সে পুরো স্কুলের ছাত্রদের আদর্শ।
模式	মডেল	এই ব্যবসায়িক মডেল খুব সফল।
模型	মডেল	প্রকৌশলী সেতুর একটি মডেল বানিয়েছেন।
磨合	মানিয়ে নেওয়া	নতুন দলকে মানিয়ে নিতে সময় লাগে।
膜	ঝিল্লি	এই ঝিল্লি অমিশ্রণ ছেঁকে ফেলতে পারে।
魔鬼	শয়তান	গল্পের শয়তানটি খুব ধূর্ত।
魔术	জাদু	শিশুরা জাদুর প্রদর্শনী দেখতে ভালোবাসে।
抹杀	মুছে ফেলা	তার অবদান মুছে ফেলা যায় না।
墨水儿	কালি	কলমের কালি প্রায় শেষ।
莫名其妙	অকারণ রহস্যময়	তার প্রতিক্রিয়া সবাইকে অকারণ রহস্যময় মনে হলো।
默默	নীরবে	সে নীরবে অনেক মানুষকে সাহায্য করেছে।
谋求	সন্ধান করা	প্রতিষ্ঠানটি নতুন উন্নয়নের সুযোগ সন্ধান করছে।
模样	চেহারা	তার এখনকার চেহারায় অনেক পরিবর্তন এসেছে।
母语	মাতৃভাষা	শিশুরা ছোটবেলা থেকে মাতৃভাষা শেখে।
沐浴	স্নাত থাকা	ভোরের গ্রাম সূর্যালোকে স্নাত ছিল।
目睹	নিজ চোখে দেখা	অনেক মানুষ দুর্ঘটনাটি নিজ চোখে দেখেছে।
目光	দৃষ্টি	সবার দৃষ্টি মঞ্চে কেন্দ্রীভূত ছিল।
拿手	বিশেষ দক্ষ	লাল সসের মাছ রান্নায় সে বিশেষ দক্ষ।
纳闷儿	হতবাক হয়ে ভাবা	সে কেন দেরি করল, তা নিয়ে আমি সারাক্ষণ হতবাক হয়ে ভাবছিলাম।
耐用	টেকসই	এই জোড়া জুতা খুব টেকসই।
南辕北辙	লক্ষ্যের বিপরীত পথে চলা	তার পদ্ধতি লক্ষ্যটির সম্পূর্ণ বিপরীত পথে চলছে।
难得	দুর্লভ	এটি একটি দুর্লভ সুযোগ।
难堪	বিব্রতকর	প্রশ্নটি তাকে খুব বিব্রত করল।
难能可贵	দুর্লভ ও প্রশংসনীয়	চাপের মধ্যে সৎ থাকা দুর্লভ ও প্রশংসনীয়।
恼火	রেগে যাওয়া	যন্ত্রটি আবার নষ্ট হওয়ায় সে খুব রেগে গেল।
内涵	অন্তর্নিহিত অর্থ	এই শব্দের সমৃদ্ধ সাংস্কৃতিক অন্তর্নিহিত অর্থ আছে।
内幕	অন্দরকথা	সাংবাদিক ঘটনাটির অন্দরকথা তদন্ত করার চেষ্টা করলেন।
内在	অন্তর্নিহিত	সে মানুষের অন্তর্নিহিত গুণকে বেশি গুরুত্ব দেয়।
能量	শক্তি	এই নাশতা আমাকে অনেক শক্তি দেয়।
拟定	খসড়া তৈরি করা	সচিব সভার কর্মসূচির খসড়া তৈরি করছেন।
逆行	উল্টো পথে চলা	গাড়িটি একমুখী রাস্তায় উল্টো পথে চলছিল।
年度	বার্ষিক	কোম্পানি বার্ষিক প্রতিবেদন প্রকাশ করেছে।
捏	চিমটি কাটা	সে শিশুর গালে আলতো করে চিমটি কাটল।
凝固	জমাট বাঁধা	ঠান্ডা হলে মোম ধীরে ধীরে জমাট বাঁধবে।
凝聚	ঐক্যবদ্ধ করা	সাধারণ লক্ষ্য দলের শক্তিকে ঐক্যবদ্ধ করতে পারে।
凝视	একদৃষ্টে তাকিয়ে থাকা	সে দূরের আলোয় একদৃষ্টে তাকিয়ে ছিল।
拧	চিমটি কাটা	সে হাত দিয়ে আমাকে একবার চিমটি কাটল।
宁肯	বরং চাইবে	সে ব্যর্থ হলেও নীতি ছাড়তে বরং চাইবে না।
宁愿	বরং পছন্দ করা	আমি বাসের অপেক্ষা করার চেয়ে হাঁটতে বরং পছন্দ করি।
扭转	ঘুরিয়ে দেওয়া	নতুন নীতি লোকসানের অবস্থা ঘুরিয়ে দিয়েছে।
纽扣儿	বোতাম	এই শার্টের একটি বোতাম খুলে পড়েছে।
农历	চন্দ্রপঞ্জিকা	বসন্ত উৎসব চন্দ্রপঞ্জিকার তারিখে পালিত হয়।
浓厚	প্রবল	ইতিহাসের প্রতি তার প্রবল আগ্রহ আছে।
奴隶	দাস	প্রাচীন সমাজে দাসপ্রথা ছিল।
挪	সরানো	দয়া করে চেয়ারটি একটু পাশে সরাও।
虐待	নির্যাতন করা	আইন শিশুদের নির্যাতন নিষিদ্ধ করে।
哦	ওহ	ওহ, আমি শেষ পর্যন্ত বুঝেছি।
殴打	প্রহার করা	পুলিশ পথচারীকে প্রহার করা ব্যক্তিকে গ্রেপ্তার করেছে।
偶像	আদর্শ ব্যক্তি	সে ওই লেখককে নিজের আদর্শ ব্যক্তি মনে করে।
呕吐	বমি করা	নষ্ট খাবার খেয়ে সে বমি করতে শুরু করল।
趴	উপুড় হয়ে থাকা	ছোট বিড়ালটি জানালার ধারে উপুড় হয়ে ঘুমাচ্ছে।
徘徊	এদিক-ওদিক ঘোরা	সে দরজার সামনে অনেকক্ষণ এদিক-ওদিক ঘুরল।
排斥	প্রতিরোধ করা	নতুন উপাদানটি আর্দ্রতা প্রতিরোধ করে।
排除	বাদ দেওয়া	চিকিৎসক আগে গুরুতর রোগের সম্ভাবনা বাদ দিলেন।
排放	নিঃসরণ	কারখানাগুলোকে ধোঁয়ার নিঃসরণ কমাতে হবে।
排练	মহড়া দেওয়া	অভিনেতারা নতুন অনুষ্ঠানের মহড়া দিচ্ছেন।
派别	গোষ্ঠী	এই সংগঠনের ভেতরে ভিন্ন ভিন্ন গোষ্ঠী আছে।
派遣	পাঠানো	কোম্পানি প্রকৌশলীকে ঘটনাস্থলে পাঠিয়েছে।
攀登	আরোহণ করা	তারা কাল তুষারপাহাড়ে আরোহণের পরিকল্পনা করেছে।
盘旋	চক্রাকারে ঘোরা	বিমানটি বিমানবন্দরের ওপর চক্রাকারে ঘুরছিল।
判决	রায়	আদালত আজ রায় ঘোষণা করেছে।
畔	তীর	শিশুরা হ্রদের তীরে হাঁটছিল।
庞大	বিশাল	এই প্রকল্পে বিশাল অর্থের প্রয়োজন।
抛弃	পরিত্যাগ করা	সে নিজের স্বপ্ন পরিত্যাগ করতে রাজি নয়।
泡沫	ফেনা	কাপের ভেতরে অনেক সাদা ফেনা আছে।
培育	লালন করা	স্কুল ছাত্রদের দায়িত্ববোধ লালন করতে চেষ্টা করে।
配备	সজ্জিত করা	নতুন গাড়িটি নিরাপত্তা ব্যবস্থায় সজ্জিত।
配偶	স্বামী বা স্ত্রী	আবেদনপত্রে স্বামী বা স্ত্রীর তথ্য লিখতে হবে।
配套	সম্পূরক	পাড়াটিতে সম্পূর্ণ সম্পূরক সুবিধা আছে।
盆地	অববাহিকা	এই অববাহিকা গ্রীষ্মে খুব গরম থাকে।
烹饪	রান্না	রান্নার জন্য ধৈর্য ও অভিজ্ঞতা লাগে।
捧	দু হাতে ধরে রাখা	সে দু হাতে একগুচ্ছ ফুল ধরে ছিল।
劈	কুড়াল দিয়ে ফাড়া	শ্রমিক কুড়াল দিয়ে কাঠ ফাড়ছে।
批发	পাইকারি বিক্রি করা	এই দোকান মূলত ফল পাইকারি বিক্রি করে।
批判	সমালোচনা করা	প্রবন্ধটি এই ভুল মতের সমালোচনা করেছে।
疲惫	অবসন্ন	দীর্ঘ ভ্রমণের পর সবাই খুব অবসন্ন।
疲倦	ক্লান্ত	অবিরাম কাজ তাকে ক্লান্ত করে দিয়েছে।
皮革	চামড়া	এই ব্যাগটি চামড়া দিয়ে তৈরি।
屁股	নিতম্ব	পড়ে যাওয়ার পর শিশুটির নিতম্বে ব্যথা করছিল।
譬如	যেমন	যেমন, আমরা আগে ছোট পরীক্ষা করতে পারি।
偏差	বিচ্যুতি	পরীক্ষার ফলাফলে স্পষ্ট বিচ্যুতি আছে।
偏见	পক্ষপাত	আমাদের জাতিগত পক্ষপাত এড়ানো উচিত।
偏僻	দূরবর্তী	গ্রামটির অবস্থান খুব দূরবর্তী।
偏偏	ঠিক উল্টোভাবে	আমি যত তাড়াহুড়ো করছিলাম, গাড়ি ঠিক উল্টোভাবে তত ধীরে চলছিল।
片断	খণ্ডাংশ	চলচ্চিত্রে কয়েকটি দারুণ খণ্ডাংশ আছে।
片刻	ক্ষণিক	দয়া করে এখানে আমাকে এক মুহূর্ত অপেক্ষা করুন।
漂浮	ভেসে থাকা	ঝরা পাতা জলের ওপর ভেসে ছিল।
飘扬	উড়তে থাকা	জাতীয় পতাকা বাতাসে উড়ছিল।
撇	পাশে ফেলে রাখা	সে পুরনো পরিকল্পনাটি পাশে ফেলে রাখল।
拼搏	প্রাণপণ লড়াই করা	তরুণদের আদর্শের জন্য প্রাণপণ লড়াই করা উচিত।
拼命	প্রাণপণে	সে সামনে থাকা দলটিকে প্রাণপণে তাড়া করল।
贫乏	দরিদ্র	এই প্রবন্ধের বিষয়বস্তু তুলনামূলকভাবে দরিদ্র।
贫困	দারিদ্র্যপীড়িত	সরকার দারিদ্র্যপীড়িত পরিবারকে সাহায্য করে।
频繁	ঘনঘন	সাম্প্রতিক কালে এখানে সড়ক দুর্ঘটনা ঘনঘন ঘটছে।
频率	কম্পাঙ্ক	এই শব্দের কম্পাঙ্ক খুব বেশি।
品尝	স্বাদ নেওয়া	অতিথিরা স্থানীয় খাবারের স্বাদ নিচ্ছেন।
品德	নৈতিক চরিত্র	স্কুল ছাত্রদের নৈতিক চরিত্রের শিক্ষা গুরুত্ব দেয়।
品质	গুণমান	এই কোম্পানির পণ্যের গুণমান স্থিতিশীল।
品种	জাত	বাজারে ফলের অনেক জাত আছে।
屏幕	পর্দা	দয়া করে পর্দার উজ্জ্বলতা কমাও।
屏障	প্রতিরোধক	বন বাতাস ঠেকানোর গুরুত্বপূর্ণ প্রতিরোধক।
平凡	সাধারণ	সে বহু বছর সাধারণ পদে কাজ করেছে।
平面	সমতল	নকশাকার বাড়ির সমতল নকশা আঁকলেন।
平坦	সমান	এই রাস্তা খুব সমান।
平行	সমান্তরাল	এই দুই রেখা একে অপরের সমান্তরাল।
平庸	মধ্যম মানের	সে মধ্যম মানের জীবন নিয়ে সন্তুষ্ট নয়।
平原	সমভূমি	ট্রেনটি বিস্তীর্ণ সমভূমি পেরিয়ে গেল।
评估	মূল্যায়ন করা	বিশেষজ্ঞরা প্রকল্পের ঝুঁকি মূল্যায়ন করছেন।
评论	মন্তব্য করা	পাঠকেরা প্রবন্ধের নিচে মন্তব্য করতে পারেন।
坡	ঢাল	গাড়িটি ধীরে ধীরে ঢালে উঠল।
泼	ছিটিয়ে দেওয়া	মেঝেতে জল ছিটিয়ে দিও না।
颇	বেশ	এই ফল বেশ অপ্রত্যাশিত।
破例	ব্যতিক্রম করা	ব্যবস্থাপক তার জন্য ব্যতিক্রম করে আবেদন অনুমোদন করলেন।
迫不及待	আর অপেক্ষা সইছে না	শিশুদের আর অপেক্ষা সইছিল না, তারা উপহার খুলে ফেলল।
迫害	নিপীড়ন করা	ইতিহাসে বহু মানুষ নিপীড়নের শিকার হয়েছে।
魄力	সাহসী সিদ্ধান্তশক্তি	নেতার সাহসী সিদ্ধান্তশক্তি দরকার।
扑	ঝাঁপিয়ে পড়া	শিশুটি হঠাৎ মায়ের কোলে ঝাঁপিয়ে পড়ল।
铺	বিছিয়ে দেওয়া	শ্রমিকেরা নতুন কার্পেট বিছিয়ে দিচ্ছেন।
普及	ব্যাপক হওয়া	শহরে ইন্টারনেট ইতিমধ্যে ব্যাপক হয়েছে।
朴实	সরল	তার ভাষা সরল ও আন্তরিক।
朴素	সাদাসিধে	সে সাদাসিধে জীবনযাপন পছন্দ করে।
瀑布	জলপ্রপাত	পর্যটকেরা জলপ্রপাতের পাশে দাঁড়িয়ে ছবি তুলল।
