simplified	SL	example_SL
尖端	vrhunski	Podjetje vlaga v vrhunsko tehnologijo.
尖锐	oster	To vprašanje je zelo ostro.
煎	cvrenje v ponvi; ocvreti	Kuhar v ponvi cvre ribo.
监督	nadzorovati; nadzor	Javni nadzor pomaga izboljšati delo.
监视	nadzirati; spremljati	Policija spremlja osumljenca.
监狱	zapor	V zaporu prestaja kazen.
艰难	težak	Začetna faza ustanavljanja podjetja je zelo težka.
剪彩	prerezati trak	Župan je prerezal trak za novo knjižnico.
拣	izbrati	Iz košare je izbrala nekaj jabolk.
检讨	pregledati; samokritično oceniti	Resno je pregledal svoje napake.
检验	preizkusiti; preveriti	Poskusi lahko preverijo to hipotezo.
简化	poenostaviti	Prosim, še dodatno poenostavi postopek.
简陋	skromen; preprost	Živeli so v skromni majhni koči.
简体字	poenostavljena kitajska pismenka	Ta učbenik uporablja poenostavljene kitajske pismenke.
简要	kratek; jedrnat	Prosim, na kratko razloži svoje stališče.
健全	izpopolniti; okrepiti	Podjetje mora izpopolniti sistem upravljanja.
剑	meč	Na steni visi starodaven meč.
溅	pršiti; brizgniti	Deževnica mu je brizgnila po hlačah.
舰艇	vojaška ladja	Več vojaških ladij je sodelovalo v vaji.
见多识广	izkušen in razgledan	Ta starec je izkušen in zelo razgledan.
见解	pogled; mnenje	O tem vprašanju ima edinstven pogled.
见闻	znanje in izkušnje	Potovanja so razširila njegovo znanje in izkušnje.
见义勇为	pogumno storiti pravo stvar	Pohvalili so ga, ker je pogumno storil pravo stvar.
践踏	gaziti	Ne gazi po travniku.
鉴别	razlikovati; prepoznati	Strokovnjaki lahko prepoznajo, ali je ta slika pristna.
鉴定	identificirati; oceniti	Policija preučuje prstne odtise.
鉴于	glede na	Glede na slabo vreme je bil dogodek prestavljen.
间谍	vohun	Ta film pripoveduje zgodbo o vohunu.
间隔	razmik; presledek	Med obema sestankoma je en teden razmika.
间接	posreden	Ta politika bo imela posreden vpliv.
僵硬	tog; okoren	Njegov nasmeh je bil videti tog.
将军	general	General je izdal ukaz.
将近	skoraj	Ta projekt je trajal skoraj dve leti.
将就	nekako shajati	Razmere so slabe, zato bomo morali nekako shajati.
奖励	nagraditi	Šola je nagradila odlične učence.
奖赏	nagrada	Kralj je bojevniku dal bogato nagrado.
桨	veslo	Čolnar je z veslom zaveslal čoln proti obali.
降临	spustiti se	Noč se je postopoma spustila nad mesto.
交叉	križati se	Cesti se tukaj križata.
交代	razložiti	Prosim, jasno razloži nalogo.
交涉	pogajati se	Obe strani se pogajata o odškodnini.
交易	transakcija	Ta transakcija je že zaključena.
娇气	preobčutljiv	Ne bodi tako preobčutljiv, vreme ni hladno.
焦点	žarišče; fokus	Vprašanje zaposlovanja je postalo žarišče razprave.
焦急	zaskrbljen; tesnoben	Mati je tesnobno čakala, da se otrok vrne.
侥幸	po srečnem naključju	Po srečnem naključju se je izognil nesreči.
搅拌	mešati	Prosim, enakomerno premešaj testo.
缴纳	plačati	Stanovalci morajo pravočasno plačati račun za vodo.
角落	kot	Mačka se je skrila v kot sobe.
教养	vzgoja	Dobra vzgoja se kaže v podrobnostih.
较量	pomeriti se	Dve močni ekipi se bosta kmalu pomerili.
接连	zaporedoma	Prejel je tri e-poštna sporočila zaporedoma.
揭露	razkriti	Novinar je razkril težavo z varnostjo hrane.
皆	vsi	Ta pravila poznajo vsi.
阶层	sloj	Različni družbeni sloji imajo različne potrebe.
截止	zaključiti; izteči se	Prijave se zaključijo jutri popoldne.
截至	do	Do danes se je prijavilo že dvesto ljudi.
杰出	izjemen	Je izjemna znanstvenica.
竭尽全力	dati vse od sebe	Dali bomo vse od sebe, da dokončamo nalogo.
结晶	sad; kristalizacija	Ta dosežek je sad mnogih let truda.
结局	konec	Konec zgodbe je bil nepričakovan.
结算	poravnati račun	Stranka je zahtevala, da se stroški poravnajo konec meseca.
节制	zmernost	Pri hrani in pijači je potrebna zmernost.
节奏	ritem	Ritem te pesmi je hiter.
解除	odpraviti; preklicati	Podjetje je preklicalo varnostni alarm.
解放	osvoboditi	Reforma je osvobodila proizvodne sile.
解雇	odpustiti	Šef se je odločil odpustiti tega zaposlenega.
解剖	anatomija; seciranje	Študenti medicine se učijo anatomije.
解散	razpustiti se	Po koncu sestanka se je skupina razšla.
解体	razpasti	Ta zveza je na koncu razpadla.
借鉴	učiti se iz	Lahko se učimo iz tujih izkušenj.
借助	s pomočjo	S pomočjo zemljevida je našel pot.
戒备	pripravljenost; previdnost	Obmejno območje ostaja v visoki pripravljenosti.
界限	meja	Delo in življenje potrebujeta jasne meje.
津津有味	z velikim zanimanjem	Otroci so zgodbo poslušali z velikim zanimanjem.
金融	finance; finančni	Finančni trg je danes močno nihal.
紧迫	nujen	Čas je nujen in ukrepati moramo takoj.
锦上添花	češnja na torti	To darilo je bilo res češnja na torti.
晋升	napredovati; povišati	Lani je napredoval v vodjo oddelka.
浸泡	namakati	Fižol je treba namakati čez noč.
近来	v zadnjem času	V zadnjem času se vreme zelo spreminja.
进而	nato	Najprej razumi potrebe, nato pripravi načrt.
进攻	napadati; napad	Ekipa je v drugem polčasu okrepila napad.
进化	evolucija	Organizmi se razvijajo skupaj z okoljem.
进展	napredovati	Projekt trenutno gladko napreduje.
兢兢业业	vesten; marljiv	Trideset let je delal vestno in marljivo.
惊动	vznemiriti	Močan hrup je vznemiril bližnje prebivalce.
惊奇	začudenje	Otroci so z začudenjem gledali čarovniško predstavo.
惊讶	presenetiti	Njegov odgovor me je presenetil.
精打细算	skrbno gospodariti	Domače stroške vedno skrbno načrtuje.
精华	bistvo	Ta članek povzema bistvo teorije.
精简	poenostaviti; racionalizirati	Podjetje se je odločilo racionalizirati vodstvo.
精密	natančen	Ta instrument je zelo natančen.
精确	natančen	Podatki morajo biti natančni na dve decimalni mesti.
精通	obvladati	Obvlada tri tuje jezike.
精心	skrbno	Mati je skrbno pripravila večerjo.
精益求精	stremeti k popolnosti	Odlični obrtniki vedno stremijo k popolnosti.
精致	izdelan; prefinjen	To darilo je zelo prefinjeno zapakirano.
经费	sredstva	Sredstva za raziskavo so že odobrena.
经纬	zemljepisna dolžina in širina	Na zemljevidu so označene črte zemljepisne dolžine in širine.
茎	steblo	Steblo rastline podpira liste.
井	vodnjak	Pri vhodu v vas je star vodnjak.
警告	opozoriti	Učitelj je učence opozoril, naj ne goljufajo.
警惕	biti pozoren; biti na preži	Pozorni moramo biti na spletne prevare.
颈椎	vratna hrbtenica	Dolgotrajno gledanje navzdol lahko poškoduje vratno hrbtenico.
境界	raven	Njegovo slikarstvo je doseglo novo raven.
敬礼	salutirati	Vojak je salutiral državni zastavi.
敬业	predan delu	Dela resno in je zelo predana delu.
竞赛	tekmovanje	Šola je organizirala matematično tekmovanje.
竞选	kandidirati	Pripravlja se kandidirati za župana.
镜头	objektiv	Fotograf je prilagodil objektiv.
纠纷	spor	Obe strani sta spor rešili z mediacijo.
纠正	popraviti	Učitelj je pravočasno popravil napako v izgovoru.
酒精	alkohol	Zdravnik je rano razkužil z alkoholom.
就近	v bližini	Učenci se lahko vpišejo v bližnjo šolo.
就业	zaposlovanje	Vlada je uvedla politike za spodbujanje zaposlovanja.
就职	nastopiti funkcijo	Novi vodja bo uradno nastopil funkcijo prihodnji teden.
救济	pomoč	Žrtve nesreče so pravočasno prejele pomoč.
居民	prebivalec	Bližnji prebivalci nasprotujejo hrupnemu onesnaževanju.
居住	prebivati	Tukaj prebivajo že deset let.
拘留	pridržati	Policija je osumljenca zakonito pridržala.
拘束	zadržan; nesproščen	Pred prijatelji se ni treba počutiti zadržano.
鞠躬	pokloniti se	Igralec se je občinstvu poklonil v zahvalo.
局部	lokalen	Zdravnik je opravil samo lokalno anestezijo.
局面	situacija	Pogajanja so izboljšala napeto situacijo.
局势	razmere	Mednarodne razmere ostajajo zapletene.
局限	omejitev	Ta metoda ima očitne omejitve.
举动	dejanje	Njegovo dejanje je vse ganilo.
举世瞩目	pritegniti svetovno pozornost	Ta projekt je dosegel uspeh, ki je pritegnil svetovno pozornost.
举足轻重	ključen; odločilen	To podjetje ima v panogi ključen vpliv.
咀嚼	žvečiti	Med jedjo je treba počasi žvečiti.
沮丧	potrt	Po porazu na tekmi se je počutil zelo potrtega.
剧本	scenarij	Režiser popravlja scenarij.
剧烈	silovit	Tla so se silovito stresla.
据悉	po poročilih	Po poročilih bo sestanek prestavljen na naslednji teden.
聚精会神	zbrano	Otroci so zbrano poslušali uro.
卷	zviti	Zvil je zemljevid in ga spravil v torbo.
倔强	trmast	Ta otrok ima trmast značaj.
决策	odločitev	Vodstvo razpravlja o pomembni odločitvi.
绝望	obup	Po neuspehu je za nekaj časa občutil obup.
觉悟	zavedanje	Ta izkušnja je povečala njegovo zavedanje.
觉醒	prebujati se	Javna okoljska zavest se prebuja.
军队	vojska	Vojska je hitro prispela na prizadeto območje.
君子	plemenit človek	Plemenit človek bi moral uskladiti besede in dejanja.
卡通	risani film	Otrok rad gleda risane filme.
开采	rudariti; izkoriščati	To podjetje je odgovorno za izkoriščanje rudnin.
开除	izključiti	Šola se je odločila izključiti učenca, ki je goljufal.
开阔	širok	Z vrha gore je razgled zelo širok.
开朗	veder	Ima vedro osebnost in veliko prijateljev.
开明	odprt; razsvetljen	Starši imajo zelo odprt odnos.
开辟	odpreti	Mesto je odprlo novo avtobusno linijo.
开拓	razširiti	Podjetje načrtuje širitev na tuje trge.
开展	izvesti	Šola je izvedla dejavnost varnostnega izobraževanja.
开支	izdatki	Mesečni izdatki družine so se povečali.
刊登	objaviti	Časopis je objavil njegov članek.
刊物	publikacija	Ta publikacija izhaja enkrat na mesec.
勘探	raziskovanje	Inženirska ekipa raziskuje podzemne vodne vire.
侃侃而谈	samozavestno govoriti	Na sestanku je samozavestno in obširno govoril.
砍伐	sekati	Prostovoljna sečnja gozdov je prepovedana.
看待	gledati na	Na to vprašanje moramo gledati objektivno.
慷慨	radodaren	Radodarno je podaril denar od nagrade.
抗议	protestirati	Prebivalci so protestirali proti gradnji nove tovarne.
考察	preučiti	Strokovnjaki so šli na kraj preučit okolje.
考古	arheologija	Arheološka ekipa je odkrila starodavne grobnice.
考核	oceniti	Podjetje vsako leto ocenjuje uspešnost zaposlenih.
考验	preizkus	Ta kriza je preizkusila sposobnosti ekipe.
靠拢	približati se	Člani ekipe so se približali sredini.
磕	udariti se	Po nesreči se je udaril ob rob mize.
科目	predmet	Matematika je njegov najljubši predmet.
可观	znaten	Ta naložba je prinesla znaten donos.
可口	okusen	Hrana v tej restavraciji je okusna.
可恶	odvraten	Takšna prevara je res odvratna.
可行	izvedljiv	Ta načrt je v osnovi izvedljiv.
渴望	hrepeneti	Otroci hrepenijo po več priložnostih.
克制	obvladati	Med prepirom je treba obvladati čustva.
刻不容缓	ne dopušča odlašanja	Varstvo vodnih virov ne dopušča odlašanja.
客户	stranka; klient	Stranka je zelo zadovoljna s storitvijo.
课题	tema	Ta tema je vredna poglobljene raziskave.
啃	grizljati	Otrok grizlja kos koruze.
恳切	iskren	Iskreno je vse prosil za pomoč.
坑	jama	Ob cesti je globoka jama.
空洞	prazen	To poročilo je vsebinsko prazno.
空前绝后	brez primere	To predstavo lahko označimo kot brez primere.
空想	domišljija; prazno sanjarjenje	Če se zanašamo samo na domišljijo, težav ne moremo rešiti.
空虚	praznina	Ko je naglica minila, je občutil praznino.
孔	luknja	V steni je majhna luknja.
恐怖	grozljiv	Ta film ima grozljivo vzdušje.
恐吓	zastraševati	Druga stran je z grožnjami zastraševala pričo.
恐惧	strah	Tema je v otroku vzbudila strah.
空白	prazen prostor	Prosim, podpiši se v prazen prostor.
空隙	vrzel; reža	Med vrati in tlemi je reža.
口气	ton	Njegov ton govora je bil zelo trd.
口腔	ustna votlina	Zdravnik mu je pregledal ustno votlino.
口头	usten	Imajo samo ustni dogovor.
口音	naglas	Njegova mandarinščina ima rahel naglas.
扣	zapeti	Prosim, zapni si varnostni pas.
哭泣	jokati	Deklica se je skrila v kot in jokala.
枯萎	oveneti	Pomanjkanje vode je povzročilo, da so rože ovenele.
枯燥	dolgočasen	To delo je nekoliko dolgočasno.
苦尽甘来	po težavah pride sreča	Po letih vztrajnosti je po težavah končno prišla sreča.
苦涩	grenkoben	Ta zdravilni čaj ima grenkoben in trpek okus.
挎	nositi na roki	Odšla je ven s platneno torbo na roki.
跨	prestopiti	Prestopil je jarek in šel naprej.
快活	vesel	Otroci so se veselo igrali na travi.
宽敞	prostoren	Ta učilnica je svetla in prostorna.
宽容	strpnost	Družba potrebuje več razumevanja in strpnosti.
款待	pogostiti	Gostitelj je goste prisrčno pogostil.
款式	slog; kroj	Ta kos oblačila ima zelo nov slog.
筐	koš	Na hrbtu je domov nesel koš jabolk.
况且	poleg tega	Pot je daleč, poleg tega se že temni.
旷课	izostati od pouka	Učenci, ki brez razloga izostanejo od pouka, bodo zabeleženi.
框架	okvir	Poročilo mora najprej določiti okvir.
矿产	rudnine; mineralni viri	Ta regija je bogata z mineralnimi viri.
亏待	nepravično ravnati	Podjetje ne bo nepravično ravnalo z zaposlenimi, ki vestno delajo.
亏损	izguba	Tovarna je letos utrpela hude izgube.
捆绑	zvezati	Prosim, trdno zveži te škatle.
扩充	razširiti	Šola načrtuje razširiti knjižnično zbirko.
扩散	širiti se	Govorica se je hitro razširila po spletu.
扩张	širiti se	Podjetje previdno širi svoje poslovanje.
啦	stavčni členek	Ne skrbi, vse se bo izboljšalo.
喇叭	hupa; zvočnik	Avtomobilska hupa je nenadoma zatrobila.
蜡烛	sveča	Na rojstnodnevni torti so bile sveče.
来历	izvor	Izvor tega predmeta kulturne dediščine ni jasen.
来源	vir	Novice morajo navesti vir informacij.
栏目	rubrika	Ta rubrika je na sporedu enkrat na teden.
懒惰	lenoba	Lenoba lahko vpliva na učne rezultate.
狼狈	klavrn; v zadregi	Po dežju je bil ves premočen in videti zelo klavrno.
狼吞虎咽	požirati; hlastno jesti	Bil je sestradan in je hlastno jedel.
捞	potegniti ven	Ribič je iz reke potegnil mrežo.
唠叨	sitnariti; nergati	Mati vedno sitnari zaradi malenkosti.
牢固	trden	Konstrukcija tega mostu je zelo trdna.
牢骚	pritožba	Poln je pritožb, vendar se noče spremeniti.
乐趣	veselje	Branje ji prinaša veliko veselja.
乐意	z veseljem	Z veseljem ti pomagam popraviti življenjepis.
雷达	radar	Radar je zaznal letalo v daljavi.
类似	podoben	Podobne težave so se pojavile že prej.
冷酷	hladen; brezčuten	Njegov ton je zvenel zelo hladno.
冷落	zapostavljati	Novi zaposleni je imel občutek, da ga zapostavljajo.
冷却	ohladiti	Stroj se mora pred popravilom najprej ohladiti.
愣	otrpniti	Ko je slišal novico, je otrpnil.
黎明	zora	Ob zori se je mesto postopoma prebujalo.
理睬	zmeniti se za	Bil je jezen in se ni zmenil za nikogar.
理所当然	samoumeven	Ne imej pomoči drugih za samoumevno.
理直气壮	samozavestno	Z dovolj dokazi je govoril samozavestno.
理智	razum	Ob konfliktu je treba ohraniti razum.
礼节	bonton	Različne kulture imajo različen bonton.
礼尚往来	vzajemna vljudnost	Sosedje cenijo vzajemno vljudnost.
里程碑	mejnik	Ta uspeh je mejnik projekta.
例外	izjema	Vsi se morajo udeležiti, brez izjeme.
利害	interesi; koristi in škoda	To zadeva interese obeh strani.
力求	prizadevati si	Prizadevamo si zmanjšati napake na minimum.
力所能及	v okviru zmožnosti	Prosim, delaj stvari v okviru svojih zmožnosti.
力争	prizadevati si	Ekipa si prizadeva nalogo končati pred rokom.
历代	pretekle generacije	To vprašanje so preučevali učenjaki preteklih generacij.
历来	od nekdaj	To mesto je od nekdaj cenilo izobraževanje.
立场	stališče	Na sestanku je izrazil svoje stališče.
立方	kubični	Ta rezervoar ima prostornino tri kubične metre.
立交桥	nadvoz	Ta nadvoz je ublažil prometne zastoje.
立体	tridimenzionalen	Ta slika ima močan tridimenzionalni učinek.
立足	uveljaviti se; opreti se	Podjetja se morajo uveljaviti na lokalnem trgu.
粒	zrno	Na mizi je nekaj zrn riža.
廉洁	pošten; integriteten	Javni uslužbenci morajo ostati pošteni in integritetni.
联欢	družabno srečanje	Sošolci so pripravili novoletno družabno srečanje.
联络	stopiti v stik	Prosim, čim prej stopi v stik s stranko.
联盟	zavezništvo	Več držav je oblikovalo trgovinsko zavezništvo.
联想	asociirati; spomniti na	Ta fotografija me spomni na otroštvo.
连年	leto za letom	Ta regija leto za letom trpi zaradi poplav.
连锁	veriga	To podjetje upravlja verigo supermarketov.
连同	skupaj z	Prosim, pošlji račun skupaj s pogodbo.
良心	vest	Človek bi moral živeti tako, da ne izda svoje vesti.
晾	sušiti na zraku	Oblačila je obesila na balkon, da se posušijo.
谅解	razumevanje	Upam, da lahko razumete naše težave.
辽阔	prostran	Travnata ravnica je prostrana in ji ni videti konca.
列举	našteti	Učitelj je naštel tri primere.
临床	kliničen	To zdravilo je v kliničnih preizkušanjih.
淋	premočiti	Ne ostani predolgo na dežju, da ne boš premočen.
吝啬	lakom	Pri prijateljih nikoli ni lakom.
伶俐	bister; spreten	Ta deklica je pametna in bistra.
凌晨	zgodaj zjutraj	Letalo vzleti ob treh zgodaj zjutraj.
灵感	navdih	Glasba mu je dala ustvarjalni navdih.
灵魂	duša	Svoboda je duša tega dela.
灵敏	občutljiv	Ta naprava se zelo občutljivo odziva.
零星	razpršen	Na nočnem nebu so bile razpršene luči.
领会	razumeti	Hitro je razumel, kaj je učitelj mislil.
领事馆	konzulat	Šel je na konzulat urediti vizum.
领土	ozemlje	Vsaka država ceni ozemeljsko celovitost.
领悟	spoznati	Po izkušnji neuspeha je spoznal odgovornost.
领先	voditi	Njihova tehnologija trenutno vodi pred konkurenco.
领袖	voditelj	Ta voditelj uživa globoko spoštovanje ljudi.
溜	izmuzniti se	Kužek se je izmuznil skozi režo v vratih.
流浪	tavati	Ko je bil mlad, je taval iz kraja v kraj.
流露	pokazati se	Na njenem obrazu se je pokazalo veselje.
流氓	huligan	Policija je ujela več uličnih huliganov.
流通	krožiti	Ta valuta je nekoč krožila v tem kraju.
留恋	biti navezan; nerad oditi	Ob diplomi so bili vsi navezani na kampus.
留念	spomin	Pri šolskih vratih smo se fotografirali za spomin.
留神	paziti	Pri prečkanju ceste moraš paziti.
聋哑	gluh in nem	Šola nudi pomoč gluhim in nemim otrokom.
隆重	slovesen	Konferenca je slovesno potekala v avli.
垄断	monopol	Monopol lahko škoduje tržni konkurenci.
笼罩	prekrivati	Gosta megla je prekrivala celotno vas.
搂	objeti	Mati je nežno objela otroka.
炉灶	štedilnik	Štedilnik v kuhinji je treba očistiti.
轮船	ladja	Ladja je počasi zapustila pristanišče.
轮廓	obris	Obris oddaljenih vrhov je bil zelo jasen.
轮胎	pnevmatika	Avtomobilske pnevmatike je treba zamenjati.
论坛	forum	Strokovnjaki so imeli govore na forumu.
论证	dokazati; utemeljiti	Poročilo mora dodatno utemeljiti svoje stališče.
啰唆	dolgoveziti	Ne dolgovezi, povej bistvo.
络绎不绝	neprekinjen; v neskončnem toku	Obiskovalci so neprekinjeno prihajali v staro mesto.
落成	dokončati gradnjo	Nova telovadnica bo jutri uradno dokončana.
落实	izvesti	Sestanek je zahteval, da se nova politika čim prej izvede.
屡次	večkrat; znova in znova	Večkrat je vse opomnil, naj pazijo na varnost.
履行	izpolniti	Obe strani morata izpolniti pogodbene obveznosti.
掠夺	pleniti	Vojna je povzročila plenjenje virov.
嘛	stavčni členek	Ta stvar je vendar preprosta.
麻痹	ohromelost; nepazljivost	Dolgotrajen gladek potek lahko ljudi zlahka naredi nepazljive.
麻木	otrpel	Mraz mu je otrpnil prste.
麻醉	anestezija	Pred operacijo je zdravnik bolnika anesteziral.
码头	pomol; pristanišče	Tovorna ladja je pristala ob pomolu.
蚂蚁	mravlja	Mravlje prenašajo hrano.
埋伏	zaseda	Vojaki so v dolini čakali v zasedi.
埋没	ostati neopažen	Ne dovoli, da bi nadarjeni ljudje ostali neopaženi.
埋葬	pokopati	Vaščani so starca pokopali na pobočju.
脉搏	utrip	Medicinska sestra mu meri utrip.
迈	stopiti; zakoračiti	Z velikimi koraki je šel proti vratom.
埋怨	pritoževati se	Ne pritožuj se vedno nad drugimi.
慢性	kroničen	Kronične bolezni zahtevajo dolgoročno zdravljenje.
漫长	dolg; dolgotrajen	Prestali so dolgo čakanje.
漫画	strip; manga	Ta strip je zelo priljubljen med mladimi.
蔓延	širiti se	Ogenj se je hitro razširil globoko v gozd.
忙碌	zaposlen	Konec leta je najzasedenejši čas v podjetju.
盲目	slep; na slepo	Pri vlaganju ne smemo slepo slediti trendom.
茫茫	prostran; brezmejen	Ladja je izginila v prostranem morju.
茫然	zmeden	Po razlagi je še vedno gledal zmedeno.
冒充	izdajati se za	Nekdo se je izdajal za policista in ljudi ogoljufal za denar.
冒犯	užaliti	S svojimi besedami te nisem hotel užaliti.
茂盛	bujen	Drevesa na dvorišču rastejo bujno.
媒介	medij	Internet je pomemben informacijski medij.
枚	kos; števnik	Zbral je nekaj spominskih kovancev.
美观	estetski; lep	Ta dizajn je praktičen in lep.
美满	srečen; izpolnjen	Živijo srečno in izpolnjeno življenje.
美妙	čudovit	Koncert je prinesel čudovito doživetje.
萌芽	kaliti; zametek	Začela se je porajati nova ideja.
猛烈	silovit	Nevihta je prišla zelo silovito.
眯	pripreti oči	Sonce je bilo premočno, zato je priprl oči.
弥补	nadomestiti	Opravičilo ne more popolnoma nadomestiti izgube.
弥漫	napolnjevati	Vonj cvetja je napolnjeval dvorišče.
谜语	uganka	Otroci radi ugibajo uganke.
迷惑	zmeda; zmediti	Zapleteni podatki so ga zmedli.
迷人	očarljiv	Nočni pogled ob morju je zelo očarljiv.
迷信	vraževerje	Znanstveno izobraževanje lahko zmanjša vraževerje.
密度	gostota	Ta kovina ima visoko gostoto.
密封	zatesniti	Po odprtju vrečko znova zatesnite.
棉花	bombaž	Kmetje pobirajo bombaž.
免得	da ne bi	Odidi prej, da ne boš zamudil.
免疫	imunost	To cepivo lahko izboljša imunost.
勉励	spodbujati	Učitelj pogosto spodbuja učence, naj vztrajajo pri učenju.
勉强	nerad; s težavo	Nerad je privolil v ta dogovor.
面貌	podoba; videz	Podoba mesta se je močno spremenila.
面子	obraz; ugled	Ni hotel izgubiti obraza v javnosti.
描绘	opisati; prikazati	Roman prikazuje podeželsko življenje.
瞄准	meriti	Strelec je meril v tarčo.
渺小	neznaten; majhen	Pred naravo se ljudje zdijo zelo majhni.
藐视	podcenjevati; zaničevati	Ne smemo podcenjevati nobenega nasprotnika.
灭亡	propad	Ta dinastija je nazadnje šla proti propadu.
蔑视	prezir	Njegov ton je bil poln prezira.
民间	ljudski	Ljudsko umetnost je treba zaščititi.
民主	demokracija	Na sestanku so uporabili demokratično glasovanje.
敏捷	okreten	Gibanje športnika je zelo okretno.
敏锐	oster; pronicljiv	Novinarji potrebujejo ostro sposobnost opazovanja.
名次	uvrstitev	Na tekmovanju je dosegla dobro uvrstitev.
名额	mesto; kvota	Ta program ima samo deset mest.
名副其实	pravi; resničen	On je pravi strokovnjak, ne samo po imenu.
名誉	ugled	Ta zadeva je škodovala ugledu podjetja.
明明	očitno	Očitno je poznal odgovor, vendar ga ni hotel povedati.
明智	moder; pameten	Preložitev odločitve je bila modra izbira.
命名	poimenovati	Znanstveniki so poimenovali novo vrsto.
摸索	raziskovati	Ekipa še vedno raziskuje nove metode.
摩擦	trenje	Med državama je nastalo trgovinsko trenje.
模范	vzor	Je vzor vsem učencem v šoli.
模式	model; način	Ta poslovni model je zelo uspešen.
模型	model	Inženir je izdelal model mostu.
磨合	uskladiti se	Nova ekipa potrebuje čas, da se uskladi.
膜	membrana	Ta membrana lahko filtrira nečistoče.
魔鬼	hudič	Hudič v zgodbi je zelo prekanjen.
魔术	čarovnija	Otroci radi gledajo čarovniške predstave.
抹杀	izbrisati	Njegovega prispevka ni mogoče izbrisati.
墨水儿	črnilo	Črnila v nalivniku bo kmalu zmanjkalo.
莫名其妙	nerazumljiv	Njegova reakcija se je ljudem zdela nerazumljiva.
默默	tiho	Tiho je pomagala mnogim ljudem.
谋求	prizadevati si	Podjetje si prizadeva za nove razvojne priložnosti.
模样	videz	Njegov videz se je zdaj zelo spremenil.
母语	materni jezik	Otroci se od malega učijo maternega jezika.
沐浴	kopati se; biti obsijan	Vas je bila zjutraj obsijana s sončno svetlobo.
目睹	biti priča	Veliko ljudi je bilo priča tej nesreči.
目光	pogled	Pogledi vseh so bili usmerjeni na oder.
拿手	specialiteta	Dušena riba je njegova specialiteta.
纳闷儿	spraševati se	Ves čas sem se spraševal, zakaj zamuja.
耐用	trpežen	Ti čevlji so zelo trpežni.
南辕北辙	delati v nasprotju s ciljem	Njegov pristop je v nasprotju s ciljem.
难得	redek	To je redka priložnost.
难堪	neprijeten; osramočen	To vprašanje ga je spravilo v zadrego.
难能可贵	hvalevreden	Ostati pošten pod pritiskom je še posebej hvalevredno.
恼火	jezen; razdražen	Oprema se je spet pokvarila in bil je zelo jezen.
内涵	pomen; vsebina	Ta beseda ima bogate kulturne konotacije.
内幕	ozadje; notranje informacije	Novinar je poskušal raziskati ozadje dogodka.
内在	notranji	Bolj ceni človekove notranje lastnosti.
能量	energija	Ta zajtrk mi daje veliko energije.
拟定	pripraviti; sestaviti	Tajnica pripravlja dnevni red sestanka.
逆行	voziti v napačno smer	Tisti avto je v enosmerni ulici vozil v napačno smer.
年度	leten	Podjetje je objavilo letno poročilo.
捏	uščipniti	Nežno je uščipnila otroka v lice.
凝固	strditi se	Po ohlajanju se bo vosek počasi strdil.
凝聚	združiti	Skupni cilj lahko združi moč ekipe.
凝视	strmeti	Strmel je v luči v daljavi.
拧	uščipniti	Z roko me je enkrat uščipnil.
宁肯	raje	Raje bi doživela neuspeh, kot da bi se odpovedala načelom.
宁愿	raje	Raje bi šel peš, kot čakal avtobus.
扭转	obrniti; preokreniti	Nova politika je obrnila izgubaško stanje.
纽扣儿	gumb	Na tej srajci je odpadel gumb.
农历	lunarni koledar	Pomladni praznik se praznuje po lunarnem koledarju.
浓厚	močan	Ima močno zanimanje za zgodovino.
奴隶	suženj	V starodavni družbi je obstajalo suženjstvo.
挪	premakniti	Prosim, premakni stol malo vstran.
虐待	zlorabljati; trpinčiti	Zakon prepoveduje zlorabljanje otrok.
哦	o	O, končno razumem.
殴打	pretepsti	Policija je aretirala osebo, ki je pretepla mimoidočega.
偶像	idol	Tega pisatelja ima za svojega idola.
呕吐	bruhati	Po zaužitju pokvarjene hrane je začel bruhati.
趴	ležati na trebuhu	Mucka je ležala na trebuhu na okenski polici in spala.
徘徊	postavati; tavati	Pred vhodom je dolgo postaval.
排斥	odbijati; izključevati	Novi material odbija vlago.
排除	izključiti	Zdravnik je najprej izključil resno bolezen.
排放	emisija	Tovarne morajo zmanjšati emisije izpušnih plinov.
排练	vaditi	Igralci vadijo nov program.
派别	frakcija	V tej organizaciji obstajajo različne frakcije.
派遣	poslati; napotiti	Podjetje je na kraj napotilo inženirje.
攀登	plezati	Jutri se nameravajo povzpeti na zasneženo goro.
盘旋	krožiti	Letalo je krožilo nad letališčem.
判决	sodba	Sodišče je danes razglasilo sodbo.
畔	breg	Otroci so se sprehajali ob jezerskem bregu.
庞大	ogromen	Ta projekt zahteva ogromna sredstva.
抛弃	opustiti; zapustiti	Noče opustiti svojih sanj.
泡沫	pena	V skodelici je veliko bele pene.
培育	vzgajati; razvijati	Šola si prizadeva razvijati občutek odgovornosti pri učencih.
配备	opremiti	Novi avto je opremljen z varnostnim sistemom.
配偶	zakonec	V prijavnem obrazcu je treba navesti podatke o zakoncu.
配套	podporen; celovit	Skupnost ima celovite podporne objekte.
盆地	kotlina	V tej kotlini je poleti zelo vroče.
烹饪	kuhanje	Kuhanje zahteva potrpežljivost in izkušnje.
捧	držati z obema rokama	Z obema rokama je držala šopek rož.
