simplified	MY	example_MY
嗯	အင်း	အင်း၊ ကျွန်တော် သိပြီ။
年代	ခေတ်; ဆယ်စုနှစ်	ဒီဓာတ်ပုံကို ရှစ်ဆယ်ပြည့်နှစ်များတွင် ရိုက်ခဲ့သည်။
年纪	အသက်အရွယ်	သူ အသက်မကြီးသေးသော်လည်း အတွေ့အကြုံများစွာ ရှိသည်။
念	အသံထွက်ဖတ်သည်; သင်သည်	ကျေးဇူးပြု၍ စာပိုဒ်ကို တစ်ကြိမ် အသံထွက်ဖတ်ပါ။
宁可	ပိုနှစ်သက်သည်; သာ၍လိုလားသည်	ကျွန်တော် ဘတ်စ်ကားစောင့်တာထက် လမ်းလျှောက်ရတာ ပိုနှစ်သက်သည်။
牛仔裤	ဂျင်းဘောင်းဘီ	သူ ဂျင်းဘောင်းဘီတစ်ထည် ဝတ်ထားသည်။
农村	ကျေးလက်ဒေသ	သူမသည် ကျေးလက်ဒေသတွင် ကြီးပြင်းခဲ့သည်။
农民	လယ်သမား	လယ်သမားများသည် လယ်ကွင်းထဲတွင် အလုပ်လုပ်နေကြသည်။
农业	စိုက်ပျိုးရေး	စိုက်ပျိုးရေးသည် ဒီဒေသအတွက် အလွန်အရေးကြီးသည်။
浓	ပြင်းသော; ထူထဲသော	ဒီကော်ဖီက အလွန်ပြင်းသည်။
女士	အမျိုးသမီး	အဲဒီအမျိုးသမီးသည် ဘတ်စ်ကားကို စောင့်နေသည်။
欧洲	ဥရောပ	သူ နောက်လတွင် ဥရောပသို့ ခရီးသွားမည်။
偶然	မတော်တဆ; တိုက်ဆိုင်စွာ	ကျွန်တော် မတော်တဆ ကျောင်းနေဖက်ဟောင်းကို တွေ့ခဲ့သည်။
拍	ဓာတ်ပုံရိုက်သည်; ပုတ်သည်	ကျေးဇူးပြု၍ ကျွန်တော့်ကို ဓာတ်ပုံတစ်ပုံ ရိုက်ပေးပါ။
派	စေလွှတ်သည်	ကုမ္ပဏီက သူ့ကို ရှန်ဟိုင်းသို့ အလုပ်ခရီး စေလွှတ်ခဲ့သည်။
盼望	မျှော်လင့်သည်	သင့်ကို မကြာခင် တွေ့ရရန် ကျွန်တော် မျှော်လင့်နေသည်။
培训	သင်တန်းပေးသည်; သင်တန်း	ဝန်ထမ်းအသစ်များသည် သင်တန်းတက်ရမည်။
培养	ပျိုးထောင်သည်; ဖွံ့ဖြိုးစေသည်	ကျောင်းက ကျောင်းသားများ၏ စွမ်းရည်ပျိုးထောင်မှုကို အလေးထားသည်။
赔偿	လျော်ကြေးပေးသည်	ကုမ္ပဏီက ဆုံးရှုံးမှုအတွက် လျော်ကြေးပေးရန် သဘောတူခဲ့သည်။
佩服	လေးစားအားကျသည်	သူ၏ သတ္တိကို ကျွန်တော် အလွန်လေးစားအားကျသည်။
配合	ပူးပေါင်းဆောင်ရွက်သည်	ကျေးဇူးပြု၍ ဆရာ၏ စီစဉ်မှုကို ပူးပေါင်းဆောင်ရွက်ပါ။
盆	အိုး; ဇလုံ	လသာဆောင်ပေါ်တွင် ပန်းအိုးတစ်အိုး ရှိသည်။
碰	ထိသည်; တိုက်မိသည်	သတိထားပါ၊ ရေနွေးပူကို မထိပါနှင့်။
批	အသုတ်; ဝေဖန်သည်	ဒီကုန်ပစ္စည်းအသုတ် ယနေ့ ရောက်လာသည်။
批准	အတည်ပြုသည်	မန်နေဂျာက ဒီအစီအစဉ်ကို အတည်ပြုခဲ့သည်။
披	ပခုံးပေါ်တင်ခြုံသည်	သူမသည် အင်္ကျီတစ်ထည်ကို ပခုံးပေါ်တင်ခြုံထားသည်။
疲劳	ပင်ပန်းနွမ်းနယ်ခြင်း	အချိန်ကြာကြာ အလုပ်လုပ်ခြင်းက ပင်ပန်းနွမ်းနယ်စေနိုင်သည်။
匹	ကောင်	မြက်ခင်းပေါ်တွင် မြင်းတစ်ကောင် ရှိသည်။
片	ချပ်; အပိုင်း	ကျေးဇူးပြု၍ ပေါင်မုန့်တစ်ချပ် ပေးပါ။
片面	တစ်ဖက်သတ်သော	ဒီအမြင်က အလွန်တစ်ဖက်သတ်ဆန်သည်။
飘	လွင့်သည်	နှင်းပွင့်များသည် လေထဲတွင် လွင့်နေသည်။
拼音	ပင်ယင်	တရုတ်အက္ခရာဘေးတွင် ပင်ယင်ရေးပါ။
频道	ချန်နယ်	ကျေးဇူးပြု၍ သတင်းချန်နယ်သို့ ပြောင်းပါ။
凭	အပေါ်မူတည်၍; အထောက်အထားဖြင့်	လက်မှတ်ဖြင့် ဝင်ရောက်နိုင်သည်။
平均	ပျမ်းမျှ; ညီမျှစွာ	ပျမ်းမျှအားဖြင့် လူတစ်ဦးလျှင် ဆယ်ယွမ် ကုန်ခဲ့သည်။
平	ညီညာသော; ပြားသော	ဒီလမ်းက အလွန်ညီညာသည်။
平安	ဘေးကင်းသော; အေးချမ်းသော	သင့်ခရီး ဘေးကင်းပါစေ။
平常	ပုံမှန်; သာမန်	သူ ပုံမှန်အားဖြင့် နောက်ကျတာ အလွန်နည်းသည်။
平等	တန်းတူညီမျှသော	လူတိုင်းကို တန်းတူညီမျှစွာ ဆက်ဆံသင့်သည်။
平方	စတုရန်း	ဒီအခန်းသည် စတုရန်းမီတာ နှစ်ဆယ် ရှိသည်။
平衡	ဟန်ချက်ညီမှု	အလုပ်နှင့် ဘဝသည် ဟန်ချက်ညီရန် လိုသည်။
平静	ငြိမ်သက်သော	ရေကန်မျက်နှာပြင်သည် အလွန်ငြိမ်သက်သည်။
评价	အကဲဖြတ်သည်; အကဲဖြတ်ချက်	ဆရာက အလွန်မြင့်မားသော အကဲဖြတ်ချက် ပေးခဲ့သည်။
破产	ဒေဝါလီခံသည်	အဲဒီကုမ္ပဏီ မနှစ်က ဒေဝါလီခံခဲ့သည်။
破坏	ဖျက်ဆီးသည်; ပျက်စီးစေသည်	အများပြည်သူပိုင်ပစ္စည်းကို မဖျက်ဆီးပါနှင့်။
迫切	အရေးတကြီးဖြစ်သော	ကျွန်ုပ်တို့ ဆရာဝန်များ ပိုမိုလိုအပ်နေသည်။
期待	မျှော်လင့်စောင့်စားသည်	ကျွန်တော် ဒီခရီးစဉ်ကို အလွန်မျှော်လင့်နေသည်။
期间	ကာလအတွင်း	အစည်းအဝေးကာလအတွင်း ဖုန်းကို ပိတ်ထားပါ။
其余	ကျန်သော	ကျန်သောပြဿနာများကို မနက်ဖြန် ဆွေးနွေးမည်။
奇迹	အံ့ဖွယ်ရာ	ဆရာဝန်က ဒါဟာ အံ့ဖွယ်ရာတစ်ခုဖြစ်သည်ဟု ပြောခဲ့သည်။
企业	လုပ်ငန်း; ကုမ္ပဏီ	ဒီလုပ်ငန်းသည် လျင်မြန်စွာ ဖွံ့ဖြိုးနေသည်။
启发	လှုံ့ဆော်အကြံပေးသည်; အတွေးဖွင့်ပေးသည်	ဒီစာအုပ်က ကျွန်တော့်ကို အတွေးအမြင်များစွာ ပေးခဲ့သည်။
气氛	ပတ်ဝန်းကျင်အငွေ့အသက်	စာသင်ခန်းထဲရှိ အငွေ့အသက်က အလွန်သက်သောင့်သက်သာ ဖြစ်သည်။
汽油	ဓာတ်ဆီ	ကားသည် ဓာတ်ဆီဖြည့်ရန် လိုသည်။
签	လက်မှတ်ထိုးသည်	ကျေးဇူးပြု၍ ဒီနေရာမှာ သင့်နာမည် လက်မှတ်ထိုးပါ။
谦虚	နှိမ့်ချသော	သူ အလွန်ထူးချွန်ပြီး နှိမ့်ချလည်း နှိမ့်ချသည်။
前途	အနာဂတ်အလားအလာ	ဒီဘာသာရပ်တွင် အနာဂတ်အလားအလာ ကောင်းသည်။
浅	တိမ်သော; အရောင်ဖျော့သော	ဒီမြစ်က အလွန်တိမ်သည်။
欠	ကြွေးတင်သည်; လိုအပ်သည်	သူ ကျွန်တော့်ကို ယွမ်နှစ်ဆယ် ကြွေးတင်နေသေးသည်။
枪	သေနတ်	ရဲအရာရှိ၏ လက်ထဲတွင် သေနတ် ရှိသည်။
墙	နံရံ	နံရံပေါ်တွင် ပန်းချီကားတစ်ချပ် ချိတ်ထားသည်။
强调	အလေးထားပြောသည်	ဆရာက လုံခြုံရေးပြဿနာကို အလေးထားပြောခဲ့သည်။
强烈	ပြင်းထန်သော	သူ့တွင် တာဝန်ယူစိတ် ပြင်းထန်သည်။
抢	လုသည်; ပြိုင်လုသည်	အခြားသူများနှင့် ထိုင်ခုံ မလုပါနှင့်။
悄悄	တိတ်တဆိတ်	သူမ အခန်းထဲသို့ တိတ်တဆိတ် ဝင်သွားသည်။
瞧	ကြည့်သည်	ကြည့်ပါ၊ အပြင်မှာ နှင်းရွာနေသည်။
巧妙	လိမ္မာပါးနပ်သော	ဒီနည်းလမ်းက အလွန်လိမ္မာပါးနပ်သည်။
切	ဖြတ်သည်; လှီးသည်	ကျေးဇူးပြု၍ အသီးကို အတုံးလေးများ လှီးပါ။
亲爱	ချစ်ခင်ရသော	ချစ်ခင်ရသော သူငယ်ချင်း၊ ကျေးဇူးတင်ပါတယ်။
亲切	ကြင်နာရင်းနှီးသော	ဆရာ၏ စကားပြောပုံက အလွန်ကြင်နာရင်းနှီးသည်။
亲自	ကိုယ်တိုင်	မန်နေဂျာသည် ဧည့်သည်များကို ကိုယ်တိုင် ဧည့်ခံခဲ့သည်။
勤奋	ကြိုးစားသော	ကြိုးစားသောလူများသည် အောင်မြင်ရန် ပိုလွယ်သည်။
清淡	ပေါ့ပါးသော; အဆီမများသော	ကျွန်တော် ပေါ့ပါးသောဟင်းများကို ကြိုက်သည်။
轻视	အထင်သေးသည်	ဒီပြဿနာသေးသေးကို မအထင်သေးပါနှင့်။
轻易	လွယ်လွယ်ကူကူ	သူ လွယ်လွယ်ကူကူ လက်လျှော့မည် မဟုတ်ပါ။
青	စိမ်းပြာရောင်	ဒီအဝတ်အစားက စိမ်းပြာရောင် ဖြစ်သည်။
青春	ငယ်ရွယ်ချိန်	ငယ်ရွယ်ချိန်သည် တန်ဖိုးရှိသည်။
青少年	ဆယ်ကျော်သက်	ဆယ်ကျော်သက်များသည် အိပ်ချိန် လုံလောက်ရန် လိုသည်။
情景	မြင်ကွင်း; အခြေအနေ	ရုပ်ရှင်ထဲရှိ မြင်ကွင်းက အလွန်စိတ်ထိခိုက်စရာကောင်းသည်။
情绪	စိတ်ခံစားချက်	သူ၏ စိတ်ခံစားချက် မတည်ငြိမ်လှပါ။
请求	တောင်းဆိုချက်; တောင်းဆိုသည်	သူ တောင်းဆိုချက်တစ်ခု တင်ပြခဲ့သည်။
庆祝	ကျင်းပသည်; ဂုဏ်ပြုသည်	ကျွန်ုပ်တို့ သူ့မွေးနေ့ကို ကျင်းပခဲ့သည်။
球迷	ဘောလုံးပရိသတ်	ပရိသတ်များစွာ ပြိုင်ပွဲကြည့်ရန် လာခဲ့ကြသည်။
趋势	လမ်းကြောင်း; သဘောထား	ဒီလမ်းကြောင်းက ပိုပိုထင်ရှားလာနေသည်။
取消	ဖျက်သိမ်းသည်	မိုးရွာသောကြောင့် လှုပ်ရှားမှုကို ဖျက်သိမ်းခဲ့သည်။
娶	ဇနီးယူသည်	သူ နောက်နှစ်တွင် သူမကို ဇနီးယူရန် စီစဉ်ထားသည်။
去世	ကွယ်လွန်သည်	သူ့အဘိုး မနှစ်က ကွယ်လွန်ခဲ့သည်။
圈	ဝိုင်း; စက်ဝိုင်း	မှန်သောအဖြေပေါ်တွင် ဝိုင်းဆွဲပါ။
全面	အပြည့်အဝ; ဘက်စုံ	ကျွန်ုပ်တို့ အခြေအနေကို ဘက်စုံ နားလည်ရန် လိုသည်။
权利	အခွင့်အရေး	လူတိုင်းတွင် ပညာသင်ယူခွင့် ရှိသည်။
权力	အာဏာ	အာဏာကို ကြီးကြပ်စောင့်ကြည့်သင့်သည်။
劝	အကြံပေးသည်; တိုက်တွန်းသည်	သူငယ်ချင်းက ကျွန်တော့်ကို စောစောအနားယူရန် အကြံပေးခဲ့သည်။
缺乏	ချို့တဲ့သည်; မလုံလောက်သည်	ဒီဒေသတွင် သန့်ရှင်းသောရေ ချို့တဲ့သည်။
确定	သတ်မှတ်သည်; အတည်ပြုသည်	ကျွန်တော် အချိန်ကို မသတ်မှတ်နိုင်သေးပါ။
确认	အတည်ပြုသည်	ကျေးဇူးပြု၍ သင့်လိပ်စာကို အတည်ပြုပါ။
群	အုပ်စု	ကလေးတစ်စုသည် ကစားကွင်းတွင် ကစားနေကြသည်။
燃烧	လောင်ကျွမ်းသည်	သစ်သားသည် လောင်ကျွမ်းနေသည်။
绕	ပတ်သည်; ရှောင်ကွင်းသည်	ကျွန်ုပ်တို့ ရေကန်ကို တစ်ပတ်ပတ်ပြီး လမ်းလျှောက်ခဲ့ကြသည်။
热爱	အလွန်ချစ်မြတ်နိုးသည်	သူ မိမိအလုပ်ကို အလွန်ချစ်မြတ်နိုးသည်။
热烈	နွေးထွေးသော; တက်ကြွသော	လူတိုင်း ဧည့်သည်များကို နွေးထွေးစွာ ကြိုဆိုခဲ့ကြသည်။
热心	စိတ်အားထက်သန်သော; ကူညီလိုသော	အိမ်နီးချင်းများအားလုံး အလွန်ကူညီလိုစိတ်ရှိကြသည်။
人才	အရည်အချင်းရှိသူ	ကုမ္ပဏီသည် အရည်အချင်းရှိသူများ ပိုမိုလိုအပ်သည်။
人口	လူဦးရေ	ဒီမြို့တွင် လူဦးရေ များသည်။
人类	လူသားမျိုးနွယ်	လူသားမျိုးနွယ်သည် ကမ္ဘာမြေကို ကာကွယ်ရန် လိုသည်။
人民币	တရုတ်ယွမ်	ကျွန်တော် တရုတ်ယွမ်အချို့ လဲလှယ်ခဲ့သည်။
人生	ဘဝ	ဘဝတွင် ရွေးချယ်စရာများစွာ ရှိသည်။
人事	လူ့စွမ်းအားအရင်းအမြစ်	သူမသည် လူ့စွမ်းအားအရင်းအမြစ်ဌာနတွင် အလုပ်လုပ်သည်။
人物	ဇာတ်ကောင်; ပုဂ္ဂိုလ်	ဝတ္ထုထဲရှိ ဇာတ်ကောင်များက အလွန်တကယ်လို ခံစားရသည်။
人员	ဝန်ထမ်းများ	ဝန်ထမ်းများ အားလုံး ရောက်ရှိပြီးပြီ။
忍不住	မထိန်းနိုင်သည်	ဟာသကို ကြားပြီးနောက် သူ မရယ်ဘဲ မနေနိုင်ခဲ့သည်။
日常	နေ့စဉ်	ဒါက ကျွန်တော့် နေ့စဉ်အလုပ် ဖြစ်သည်။
日程	အစီအစဉ်ဇယား	ယနေ့အစီအစဉ်ဇယား အလွန်ပြည့်နေသည်။
日历	ပြက္ခဒိန်	နံရံပေါ်တွင် ပြက္ခဒိန်တစ်ခု ချိတ်ထားသည်။
日期	ရက်စွဲ	ကျေးဇူးပြု၍ ရက်စွဲကို ရှင်းရှင်းလင်းလင်း ရေးပါ။
日用品	နေ့စဉ်သုံးပစ္စည်းများ	စူပါမားကတ်တွင် နေ့စဉ်သုံးပစ္စည်းများစွာ ရောင်းသည်။
日子	နေ့ရက်များ	ဒီရက်ပိုင်း သူ အလွန်အလုပ်များနေသည်။
如何	ဘယ်လို	ဒီပြဿနာကို ဘယ်လို ဖြေရှင်းသင့်သလဲ။
如今	ယနေ့ခေတ်	ယနေ့ခေတ် သယ်ယူပို့ဆောင်ရေးက ပိုမိုအဆင်ပြေလာသည်။
软	ပျော့သော	ဒီကုတင်က အလွန်ပျော့သည်။
软件	ဆော့ဝဲ	ဒီဆော့ဝဲက အသုံးပြုရ လွယ်ကူသည်။
弱	အားနည်းသော	သူ၏ ခန္ဓာကိုယ်က အတော်အားနည်းသည်။
洒	ဖိတ်သည်; ဖြန်းသည်	သူ မတော်တဆ ရေကို ဖိတ်မိခဲ့သည်။
嗓子	လည်ချောင်း; အသံ	ကျွန်တော့် လည်ချောင်း နည်းနည်းနာနေသည်။
色彩	အရောင်အသွေး	ဒီပန်းချီကားမှာ အရောင်အသွေး ကြွယ်ဝသည်။
杀	သတ်သည်	ဒီရုပ်ရှင်ထဲမှာ လူသတ်မှုမြင်ကွင်း မရှိပါ။
沙漠	သဲကန္တာရ	သဲကန္တာရထဲမှာ ရေသည် အလွန်တန်ဖိုးရှိသည်။
沙滩	သဲသောင်ပြင်	ကလေးများသည် သဲသောင်ပြင်ပေါ်တွင် ကစားနေကြသည်။
傻	မိုက်သော; အူကြောင်ကြောင်ဖြစ်သော	မိုက်မဲသော အရာများ မလုပ်ပါနှင့်။
晒	နေပူလှန်းသည်	အဝတ်များကို လသာဆောင်မှာ နေပူလှန်းထားသည်။
删除	ဖျက်သည်	ဒီအီးမေးလ်ကို ဖျက်ပေးပါ။
闪电	လျှပ်စီး	ညဘက်တွင် လျှပ်စီးလက်လာသည်။
善良	စိတ်ကောင်းရှိသော	သူမသည် စိတ်ကောင်းရှိသော လူတစ်ယောက် ဖြစ်သည်။
善于	ကျွမ်းကျင်သည်; တော်သည်	သူသည် ပြဿနာဖြေရှင်းရာတွင် ကျွမ်းကျင်သည်။
扇子	ယပ်တောင်	နွေရာသီတွင် ကျွန်တော် ယပ်တောင်ကို မကြာခဏ သုံးသည်။
伤害	ထိခိုက်စေသည်; နာကျင်စေသည်	အခြားသူများ၏ ခံစားချက်ကို မထိခိုက်စေပါနှင့်။
商品	ကုန်ပစ္စည်း	ဒီဆိုင်မှာ ကုန်ပစ္စည်း အများကြီးရှိသည်။
商务	စီးပွားရေးကိစ္စ	သူသည် မနက်ဖြန် စီးပွားရေးအစည်းအဝေးတစ်ခုကို တက်ရမည်။
商业	စီးပွားရေး; ကူးသန်းရောင်းဝယ်ရေး	ဒီဒေသမှာ စီးပွားရေး အတော်ဖွံ့ဖြိုးသည်။
上当	လှည့်စားခံရသည်	သူသည် လှည့်စားခံရမလို ဖြစ်သွားသည်။
蛇	မြွေ	မြက်ခင်းထဲမှာ မြွေတစ်ကောင်ရှိသည်။
舍不得	ခွဲခွာရခက်သည်; လက်မလွှတ်ချင်	ဒီနေရာကို ခွဲခွာရမှာ ကျွန်တော် အလွန်မခွဲချင်ပါ။
射击	ပစ်ခတ်ခြင်း; သေနတ်ပစ်ခြင်း	သူသည် သေနတ်ပစ်လေ့ကျင့်နေသည်။
摄影	ဓာတ်ပုံရိုက်ကူးခြင်း	သူမသည် ဓာတ်ပုံရိုက်ကူးခြင်းကို အလွန်စိတ်ဝင်စားသည်။
设备	စက်ပစ္စည်းကိရိယာ	ဓာတ်ခွဲခန်းရှိ စက်ပစ္စည်းကိရိယာများသည် အလွန်ခေတ်မီသည်။
设计	ဒီဇိုင်း; ရေးဆွဲသည်	ဒီဒီဇိုင်းက အလွန်ဖန်တီးမှုရှိသည်။
设施	အဆောက်အအုံနှင့် ကိရိယာများ	ကျောင်း၏ အားကစားအဆောက်အအုံနှင့် ကိရိယာများ ကောင်းသည်။
伸	ဆန့်သည်	ကျေးဇူးပြု၍ လက်ကို ဆန့်ထုတ်ပါ။
深刻	နက်ရှိုင်းသော	ဒီအတွေ့အကြုံက ကျွန်တော့်ကို နက်ရှိုင်းသော အမှတ်ရမှု ချန်ခဲ့သည်။
身材	ခန္ဓာကိုယ်ပုံစံ	သူမ၏ ခန္ဓာကိုယ်ပုံစံသည် ကျန်းမာရေးကောင်းသည်။
身份	ကိုယ်ရေးအထောက်အထား	ကျေးဇူးပြု၍ ကိုယ်ရေးအထောက်အထားကို ပြပါ။
神话	ဒဏ္ဍာရီ	ကလေးများသည် ဒဏ္ဍာရီများ နားထောင်ရတာကို နှစ်သက်ကြသည်။
神秘	လျှို့ဝှက်ဆန်းကြယ်သော	ဒီရှေးဟောင်းမြို့သည် အလွန်လျှို့ဝှက်ဆန်းကြယ်သည်။
升	တက်သည်; လီတာ	ဆီစျေးက တစ်လီတာလျှင် အနည်းငယ်တက်သွားသည်။
声调	အသံအနိမ့်အမြင့်	တရုတ်ဘာသာတွင် အခြေခံ အသံအနိမ့်အမြင့် လေးမျိုးရှိသည်။
生产	ထုတ်လုပ်သည်	ဒီစက်ရုံသည် မိုဘိုင်းဖုန်းများ ထုတ်လုပ်သည်။
生动	သက်ဝင်သော	ဆရာက အကြောင်းအရာများကို အလွန်သက်ဝင်စွာ ရှင်းပြသည်။
生长	ကြီးထွားသည်	ဒီအပင်မျိုးသည် မြန်မြန်ကြီးထွားသည်။
绳子	ကြိုး	ကျေးဇူးပြု၍ သေတ္တာကို ကြိုးဖြင့် ချည်ပါ။
省略	ချန်လှပ်သည်	ဒီနေရာမှာ အက္ခရာတစ်လုံးကို ချန်လှပ်နိုင်သည်။
胜利	အောင်ပွဲ	သူတို့သည် နောက်ဆုံးတွင် အောင်ပွဲရရှိခဲ့သည်။
失眠	အိပ်မပျော်ခြင်း	သူသည် မကြာသေးမီက အိပ်မပျော်ခြင်း မကြာခဏဖြစ်သည်။
失去	ဆုံးရှုံးသည်	ယုံကြည်မှု မဆုံးရှုံးပါနှင့်။
失业	အလုပ်လက်မဲ့ဖြစ်သည်	အလုပ်လက်မဲ့ဖြစ်ပြီးနောက် သူသည် ကျွမ်းကျင်မှုအသစ်များ စတင်သင်ယူခဲ့သည်။
湿润	စိုစွတ်သော	မိုးရွာပြီးနောက် လေထုသည် အလွန်စိုစွတ်သည်။
狮子	ခြင်္သေ့	တိရစ္ဆာန်ဥယျာဉ်မှာ ခြင်္သေ့နှစ်ကောင်ရှိသည်။
诗	ကဗျာ	သူသည် ကဗျာတစ်ပုဒ် ရေးခဲ့သည်။
实话	အမှန်စကား	ကျေးဇူးပြု၍ အမှန်စကားကို ပြောပါ။
实践	လက်တွေ့ကျင့်သုံးမှု	သီအိုရီကို လက်တွေ့ကျင့်သုံးမှုမှတစ်ဆင့် စမ်းသပ်ရန် လိုသည်။
实习	အလုပ်သင်လုပ်သည်	သူမသည် နွေရာသီအားလပ်ရက်တွင် ဆေးရုံ၌ အလုပ်သင်လုပ်မည်။
实现	အကောင်အထည်ဖော်သည်	သူသည် နောက်ဆုံးတွင် မိမိအိပ်မက်ကို အကောင်အထည်ဖော်နိုင်ခဲ့သည်။
实验	စမ်းသပ်မှု	ကျောင်းသားများသည် စမ်းသပ်မှုတစ်ခု လုပ်နေကြသည်။
实用	လက်တွေ့အသုံးဝင်သော	ဒီကိရိယာက အလွန်လက်တွေ့အသုံးဝင်သည်။
时差	အချိန်ကွာခြားမှု	သူသည် အချိန်ကွာခြားမှုကို မညှိနိုင်သေးပါ။
时代	ခေတ်	ကျွန်ုပ်တို့သည် သတင်းအချက်အလက်ခေတ်တွင် နေထိုင်ကြသည်။
时刻	အချိန်အခိုက်အတန့်	ကျေးဇူးပြု၍ ဒီအရေးကြီးသော အချိန်အခိုက်အတန့်ကို မှတ်ထားပါ။
时髦	ခေတ်စားသော	ဒီအဝတ်အစားက အလွန်ခေတ်စားသည်။
时期	ကာလ	သူ၏ တက္ကသိုလ်ကာလသည် သူ့အပေါ် သက်ရောက်မှုကြီးခဲ့သည်။
时尚	ဖက်ရှင်	သူမသည် ဖက်ရှင်ကို အလွန်စိတ်ဝင်စားသည်။
石头	ကျောက်တုံး	လမ်းဘေးမှာ ကျောက်တုံးတစ်တုံးရှိသည်။
食物	အစားအစာ	ကျေးဇူးပြု၍ အစားအစာကို ရေခဲသေတ္တာထဲ ထည့်ပါ။
使劲儿	အားစိုက်သည်	ဒီပုလင်းကို ဖွင့်ရန် အားနည်းနည်းစိုက်ရမည်။
始终	အမြဲတမ်း; အစမှအဆုံး	သူသည် မိမိအောင်မြင်နိုင်မည်ဟု အမြဲတမ်း ယုံကြည်ခဲ့သည်။
事实	အချက်အလက်အမှန်	အချက်အလက်အမှန်များက သူမှန်ကြောင်း သက်သေပြသည်။
事物	အရာဝတ္ထု	ကလေးများသည် အသစ်သော အရာဝတ္ထုများအပေါ် အလွန်စူးစမ်းချင်ကြသည်။
事先	ကြိုတင်၍	ကျေးဇူးပြု၍ အချိန်ကို ကြိုတင်ပြောပြပါ။
似的	ကဲ့သို့; ပုံရသော	သူသည် ပင်ပန်းလွန်းသဖြင့် စကားတစ်ခွန်းတောင် မပြောချင်သလို ပုံရသည်။
士兵	စစ်သား	စစ်သားများသည် လေ့ကျင့်နေကြသည်။
市场	စျေးကွက်; ဈေး	ဒီဈေးက အလွန်စည်ကားသည်။
试卷	စာမေးပွဲဖြေလွှာ	ဆရာသည် စာမေးပွဲဖြေလွှာများ စစ်နေသည်။
收获	ရရှိမှု; အကျိုးကျေးဇူး	ဒီခရီးမှ ကျွန်တော် အများကြီး ရရှိခဲ့သည်။
收据	ပြေစာ	ငွေပေးပြီးနောက် ပြေစာကို သိမ်းထားပါ။
手工	လက်မှု	ဒီလက်ဆောင်သည် လက်မှုဖြင့် ပြုလုပ်ထားသည်။
手术	ခွဲစိတ်ကုသမှု	ဆရာဝန်သည် မနက်ဖြန် သူ့ကို ခွဲစိတ်ကုသမည်။
手套	လက်အိတ်	ဆောင်းရာသီတွင် အပြင်ထွက်လျှင် လက်အိတ်ဝတ်ပါ။
手续	လုပ်ထုံးလုပ်နည်း	လုပ်ထုံးလုပ်နည်းများ ဆောင်ရွက်ရန် မှတ်ပုံတင်ကတ်လိုသည်။
手指	လက်ချောင်း	သူ၏ လက်ချောင်း ဒဏ်ရာရထားသည်။
首	ပုဒ်	သူမသည် သီချင်းတစ်ပုဒ် ဆိုခဲ့သည်။
受伤	ဒဏ်ရာရသည်	သူသည် ပြိုင်ပွဲအတွင်း ဒဏ်ရာရခဲ့သည်။
寿命	သက်တမ်း	ဒီစက်မျိုး၏ အသုံးပြုသက်တမ်း ရှည်သည်။
书架	စာအုပ်စင်	စာအုပ်စင်ပေါ်မှာ စာအုပ်များ ပြည့်နေသည်။
梳子	ဘီး	သူမသည် ဘီးဖြင့် ဆံပင်ဖြီးသည်။
舒适	သက်တောင့်သက်သာရှိသော	ဒီအခန်းသည် အလွန်သက်တောင့်သက်သာရှိသည်။
蔬菜	ဟင်းသီးဟင်းရွက်	ဟင်းသီးဟင်းရွက်များ ပိုစားခြင်းသည် ကျန်းမာရေးအတွက် ကောင်းသည်။
输入	ထည့်သွင်းသည်	ကျေးဇူးပြု၍ စကားဝှက်ကို ကွန်ပျူတာထဲ ထည့်သွင်းပါ။
熟练	ကျွမ်းကျင်သော	သူသည် ကွန်ပျူတာကို ကျွမ်းကျင်စွာ အသုံးပြုနိုင်သည်။
属于	ပိုင်သည်	ဒီစာအုပ်သည် စာကြည့်တိုက်ပိုင်ဖြစ်သည်။
数	ရေတွက်သည်	ကျေးဇူးပြု၍ လူဘယ်နှစ်ယောက်ရှိသည်ကို ရေတွက်ပါ။
鼠标	မောက်စ်	ကျွန်တော့် ကွန်ပျူတာမောက်စ် ပျက်နေသည်။
数据	ဒေတာ	ဒီဒေတာများသည် အလွန်အရေးကြီးသည်။
数码	ဒစ်ဂျစ်တယ်	သူသည် ဒစ်ဂျစ်တယ်ကင်မရာတစ်လုံး ဝယ်ခဲ့သည်။
摔倒	လဲကျသည်	သူမသည် လမ်းပေါ်တွင် လဲကျသွားသည်။
甩	ခါထုတ်သည်	သူသည် လက်ပေါ်ရှိ ရေကို ခါထုတ်လိုက်သည်။
双方	နှစ်ဖက်	နှစ်ဖက်စလုံးက ဒီအစီအစဉ်ကို သဘောတူခဲ့ကြသည်။
税	အခွန်	ပစ္စည်းဝယ်သောအခါ အခွန်ပေးရသည်။
说不定	ဖြစ်ချင်ဖြစ်မည်; မသေချာ	မနက်ဖြန် နှင်းကျချင်ကျမည်။
说服	နားချသည်; စည်းရုံးသည်	သူသည် နောက်ဆုံးတွင် မိဘများကို နားချနိုင်ခဲ့သည်။
丝绸	ပိုးထည်	ဒီလည်ပင်းပဝါကို ပိုးထည်ဖြင့် ပြုလုပ်ထားသည်။
丝毫	နည်းနည်းမျှ	သူသည် မိမိစိတ်ကူးကို နည်းနည်းမျှ မပြောင်းခဲ့ပါ။
