simplified	MS	example_MS
推辞	menolak dengan sopan	Dia menolak jemputan kawannya dengan sopan.
推广	mempromosikan; memperluas	Syarikat itu sedang mempromosikan produk baharu.
推荐	mengesyorkan	Guru mengesyorkan buku ini.
退	berundur	Sila berundur satu langkah.
退步	merosot	Jika tidak berlatih, tahap anda akan merosot.
退休	bersara	Dia akan bersara tahun depan.
歪	senget	Lukisan ini tergantung senget.
外公	datuk sebelah ibu	Datuk sebelah ibu saya berumur lapan puluh tahun tahun ini.
外交	diplomasi; hal ehwal luar negeri	Dia mempelajari hubungan antarabangsa dan diplomasi.
完美	sempurna	Rancangan ini belum sempurna.
完善	menambah baik; menyempurnakan	Kita perlu menambah baik proses perkhidmatan.
完整	lengkap	Sila berikan laporan yang lengkap kepada saya.
玩具	mainan	Kanak-kanak itu memasukkan mainan ke dalam kotak.
万一	jika berlaku sesuatu; sekiranya	Sekiranya hujan, kita pergi pada hari lain.
王子	putera	Putera dalam cerita itu sangat berani.
往返	pergi balik; ulang-alik	Tiket ini membolehkan perjalanan pergi balik pada hari yang sama.
网络	internet; rangkaian	Sambungan internet di sini sangat stabil.
危害	membahayakan; memudaratkan	Merokok boleh memudaratkan kesihatan.
威胁	mengancam	Pencemaran sedang mengancam sungai itu.
微笑	senyuman; tersenyum	Dia tersenyum kepada saya.
唯一	satu-satunya	Ini satu-satunya cara.
围巾	selendang; skarf	Dia memakai selendang pada musim sejuk.
围绕	berpusat pada; berkisar tentang	Perbincangan itu berpusat pada isu ini.
维修	membaiki; penyelenggaraan	Lif sedang dibaiki.
违反	melanggar	Melakukan ini melanggar peraturan.
伟大	agung; hebat	Ini satu penemuan yang hebat.
委屈	berasa teraniaya	Dia berasa sangat teraniaya.
尾巴	ekor	Anak anjing itu mengibas-ngibaskan ekornya.
位于	terletak	Sekolah itu terletak di pusat bandar.
位置	kedudukan; tempat	Tempat ini sangat sunyi.
未必	belum tentu	Apa yang dia katakan belum tentu benar.
未来	masa depan	Kita perlu membuat persediaan untuk masa depan.
胃	perut	Perut saya rasa kurang selesa.
胃口	selera makan	Hari ini selera makannya baik.
温暖	hangat	Cahaya matahari musim bunga sangat hangat.
温柔	lembut	Dia bercakap dengan sangat lembut.
文件	dokumen; fail	Sila hantar dokumen itu kepada saya.
文具	alat tulis	Ada banyak alat tulis di dalam beg sekolah.
文明	bertamadun; beradab	Beratur ialah tingkah laku yang beradab.
文学	kesusasteraan	Dia suka kesusasteraan Cina.
文字	tulisan; aksara	Tulisan ini sukar dibaca.
闻	menghidu; mencium bau	Saya terhidu bau bunga.
吻	mencium; ciuman	Ibu mencium pipi anak itu.
稳定	stabil	Harga kekal stabil.
问候	menyampaikan salam	Sila sampaikan salam saya kepada keluarga anda.
卧室	bilik tidur	Ada sebuah katil besar di bilik tidur.
握手	berjabat tangan	Mereka berjabat tangan ketika bertemu.
屋子	bilik; rumah	Di dalam bilik itu hangat.
无奈	tidak berdaya; terpaksa	Dia menggelengkan kepala dengan tidak berdaya.
无数	tidak terkira; banyak sekali	Ada bintang yang tidak terkira banyaknya di langit malam.
无所谓	tidak kisah; tidak penting	Tidak kisah apa yang anda mahu makan.
武术	seni mempertahankan diri	Dia belajar seni mempertahankan diri sejak kecil.
勿	jangan	Sila jangan merokok di sini.
物理	fizik	Kelas fizik sangat menarik.
物质	bahan; zat	Air ialah bahan yang penting.
雾	kabus	Pagi itu kabus tebal.
吸取	mengambil pengajaran; menyerap	Kita patut mengambil pengajaran daripada hal ini.
吸收	menyerap	Tumbuhan menyerap air.
戏剧	drama; teater	Dia suka menonton drama tradisional.
系	jabatan; fakulti	Dia belajar di jabatan bahasa Cina.
系统	sistem	Sistem ini berjalan dengan stabil.
细节	perincian	Sila beri perhatian kepada perincian ini.
瞎	secara membuta tuli; sembarangan	Jangan meneka secara membuta tuli; lihat bahan dahulu.
下载	memuat turun	Saya memuat turun perisian ini.
吓	menakutkan; terkejut	Bunyi yang tiba-tiba itu mengejutkan saya.
夏令营	kem musim panas	Kanak-kanak itu menyertai kem musim panas bahasa Cina.
鲜艳	terang; cerah	Warna skirt ini sangat terang.
显得	kelihatan	Pakaian ini membuat dia kelihatan sangat muda.
显然	jelas; nyata	Jelas sekali, dia sudah tahu keputusannya.
显示	memaparkan; menunjukkan	Skrin memaparkan masa yang salah.
县	daerah	Daerah ini mempunyai banyak ladang teh.
现代	moden	Kehidupan moden tidak dapat dipisahkan daripada internet.
现实	realiti	Kita mesti menghadapi realiti.
现象	fenomena	Fenomena ini sangat biasa.
限制	mengehadkan; menyekat	Kemasukan kenderaan di sini dihadkan.
相处	bergaul; hidup bersama	Mereka bergaul dengan sangat baik.
相当	agak; cukup	Buku ini agak menarik.
相对	secara relatif; relatif	Harga di sini relatif murah.
相关	berkaitan	Sila sediakan bahan yang berkaitan.
相似	serupa; mirip	Makna dua aksara ini sangat serupa.
香肠	sosej	Ada telur dan sosej untuk sarapan.
享受	menikmati	Mereka sedang menikmati percutian.
想念	merindui	Saya sangat merindui keluarga saya.
想象	membayangkan; imaginasi	Saya tidak dapat membayangkan kehidupan seperti itu.
象棋	catur Cina	Datuk suka bermain catur Cina.
象征	melambangkan; lambang	Warna putih sering melambangkan kesucian.
项	item; perkara	Tugas ini sangat penting.
项链	rantai leher	Dia memakai rantai leher perak.
项目	projek; acara	Projek ini memerlukan tiga bulan.
消费	penggunaan; berbelanja	Penggunaan meningkat semasa cuti.
消化	pencernaan	Berjalan selepas makan membantu pencernaan.
消极	negatif; pasif	Jangan melihat masalah dengan sikap negatif.
消失	hilang	Matahari perlahan-lahan hilang di sebalik gunung.
销售	menjual; jualan	Syarikat ini menjual produk elektronik.
小麦	gandum	Banyak gandum ditanam di utara.
小气	kedekut	Jangan terlalu kedekut.
孝顺	berbakti kepada ibu bapa	Dia sangat berbakti kepada ibu bapanya.
效率	kecekapan	Cara ini boleh meningkatkan kecekapan.
歇	berehat	Mari kita berehat sebentar dahulu.
斜	condong	Jalan ini agak condong.
写作	penulisan	Menulis memerlukan latihan jangka panjang.
心理	psikologi; mental	Anda perlu menyesuaikan keadaan mental sebelum peperiksaan.
心脏	jantung	Kesihatan jantung sangat penting.
欣赏	menikmati; mengagumi	Kami menikmati pemandangan yang indah.
信号	isyarat	Isyarat telefon bimbit di sini lemah.
信任	kepercayaan; mempercayai	Antara rakan perlu ada kepercayaan.
形成	membentuk; terbentuk	Tabiat baik perlu terbentuk secara beransur-ansur.
形容	menggambarkan; menerangkan	Saya tidak tahu bagaimana menggambarkan perasaan ini.
形势	keadaan; situasi	Keadaan semasa agak rumit.
形式	bentuk	Mesyuarat boleh diadakan dalam bentuk dalam talian.
形象	imej	Imej awamnya sangat baik.
形状	bentuk	Bentuk kotak ini sangat istimewa.
行动	tindakan	Kita perlu mengambil tindakan dengan segera.
行人	pejalan kaki	Beri perhatian kepada pejalan kaki ketika melintas jalan.
行为	tingkah laku	Tingkah laku seperti ini tidak sopan.
幸亏	mujur; nasib baik	Mujur anda mengingatkan saya.
幸运	bernasib baik	Dia bernasib baik kerana mendapat pekerjaan.
性质	sifat	Sifat masalah ini sangat serius.
兄弟	adik-beradik lelaki; saudara lelaki	Hubungan dua beradik lelaki itu baik.
胸	dada	Dadanya terasa sedikit sesak.
休闲	masa lapang; santai	Hujung minggu ialah masa yang baik untuk bersantai.
修改	mengubah suai; menyemak semula	Sila semak semula artikel ini.
虚心	rendah hati; terbuka hati	Kita harus mendengar pendapat dengan rendah hati.
叙述	menceritakan; menghuraikan	Dia menceritakan kejadian itu dengan jelas.
宣布	mengumumkan	Sekolah mengumumkan peraturan baharu.
宣传	mempromosikan; menyebarkan	Mereka sedang mempromosikan pengetahuan tentang perlindungan alam sekitar.
学历	kelayakan akademik	Pekerjaan ini memerlukan ijazah sarjana muda.
学术	akademik	Mesyuarat ini membincangkan isu akademik.
学问	ilmu pengetahuan	Dia sangat berilmu.
血	darah	Tangannya berdarah sedikit.
寻找	mencari	Kami sedang mencari kaedah baharu.
询问	bertanya; menanyakan	Dia bertanya kepada guru tentang waktu peperiksaan.
训练	latihan; melatih	Atlet itu berlatih setiap hari.
迅速	cepat; pantas	Berita itu tersebar dengan cepat.
押金	deposit	Menyewa tempat memerlukan bayaran deposit.
牙齿	gigi	Sila jaga gigi anda dengan baik setiap hari.
严肃	serius	Ekspresi guru itu sangat serius.
延长	memanjangkan; melanjutkan	Mesyuarat dilanjutkan setengah jam.
演讲	ucapan; syarahan	Dia sedang menyediakan ucapan esok.
宴会	jamuan	Mereka menghadiri satu jamuan.
阳台	balkoni	Ada beberapa pasu bunga di balkoni.
痒	gatal	Lengan saya agak gatal.
样式	gaya; bentuk	Gaya ini sangat popular.
腰	pinggang	Pinggang boleh sakit selepas duduk terlalu lama.
摇	menggoyangkan; bergoyang	Angin menggoyangkan dahan ke sana sini.
咬	menggigit	Anjing ini tidak menggigit orang.
要不	kalau tidak; bagaimana kalau	Bagaimana kalau kita pergi lagi esok?
业务	perniagaan; urusan	Syarikat itu sedang mengembangkan perniagaannya.
业余	masa lapang; amatur	Dia belajar fotografi pada masa lapang.
夜	malam	Jalan itu sangat sunyi pada waktu malam.
依然	masih; tetap	Dia masih tinggal di Beijing.
一辈子	seumur hidup	Dia mencintai muzik seumur hidupnya.
一旦	sebaik sahaja; apabila	Sebaik sahaja anda membuat keputusan, anda harus bertahan.
一律	semuanya; tanpa kecuali	Semua telefon mesti dimatikan semasa mesyuarat.
一再	berulang kali	Dia berulang kali mengingatkan kami supaya memberi perhatian kepada keselamatan.
一致	sependapat; konsisten	Pendapat semua orang sepenuhnya konsisten.
疑问	soalan; keraguan	Saya ada soalan tentang jawapan ini.
移动	mengalihkan; bergerak	Sila alihkan meja itu sedikit.
移民	berhijrah; imigran	Mereka merancang untuk berhijrah ke luar negara.
遗憾	kesal; penyesalan	Saya kesal kerana tidak dapat berjumpa dengan anda.
乙	pihak B; kedua	Dalam kontrak, Pihak B bertanggungjawab membuat bayaran.
以及	serta; dan juga	Saya membeli buku serta alat tulis.
以来	sejak	Sejak tamat pengajian, dia bekerja di Beijing.
义务	kewajipan	Melindungi alam sekitar ialah kewajipan semua orang.
亿	seratus juta	Negara ini mempunyai penduduk lebih daripada satu bilion.
意外	tidak dijangka; kemalangan	Kelewatan kali ini benar-benar tidak dijangka.
意义	makna; kepentingan	Acara ini sangat bermakna.
议论	membincangkan; mengulas	Semua orang sedang membincangkan perkara ini.
因而	oleh itu; maka	Dia belajar dengan tekun, maka keputusannya baik.
因素	faktor	Cuaca ialah faktor penting.
银	perak	Dia memakai gelang perak.
印刷	mencetak; percetakan	Buku ini dicetak dengan sangat jelas.
英俊	kacak	Dia sangat kacak.
英雄	wira	Anggota bomba ialah wira sebenar.
营养	pemakanan; nutrisi	Sarapan harus mempunyai nutrisi yang mencukupi.
营业	berniaga; beroperasi	Kedai ini mula beroperasi pada pukul sembilan.
迎接	menyambut	Kami pergi ke lapangan terbang untuk menyambut tetamu.
影子	bayang-bayang	Bayang-bayangnya berada di bawah lampu jalan.
应付	menangani; menghadapi	Dia boleh menangani masalah ini.
应用	mengaplikasikan; penggunaan	Kaedah ini boleh diaplikasikan dalam pengajaran.
硬	keras	Kerusi ini terlalu keras.
硬件	perkakasan	Komputer ini mempunyai perkakasan yang baik.
拥抱	memeluk	Kanak-kanak itu berlari untuk memeluk ibunya.
拥挤	sesak	Metro sangat sesak pada waktu sibuk pagi.
勇气	keberanian	Dia mempunyai keberanian untuk mengakui kesilapannya.
用功	rajin belajar	Dia belajar dengan sangat rajin.
用途	kegunaan	Bahan ini mempunyai banyak kegunaan.
优惠	diskaun; tawaran istimewa	Kedai ini ada diskaun hari ini.
优美	indah; anggun	Persekitaran di sini sangat indah.
优势	kelebihan	Kelebihannya ialah pengalaman yang kaya.
悠久	panjang; lama	China mempunyai sejarah yang panjang.
油炸	menggoreng rendam	Saya jarang makan makanan bergoreng.
游览	melancong; melawat	Kami akan melawat Kota Larangan esok.
犹豫	teragak-agak	Dia teragak-agak sebentar sebelum menjawab.
有利	bermanfaat; menguntungkan	Keadaan ini menguntungkan kita.
幼儿园	tadika	Kanak-kanak itu akan masuk tadika tahun depan.
娱乐	hiburan	Menonton filem ialah sejenis hiburan.
与其	daripada	Daripada mengeluh, lebih baik bertindak.
语气	nada bicara	Nada bicaranya sangat lembut.
玉米	jagung	Ada sup jagung untuk makan malam.
预报	ramalan	Ramalan cuaca mengatakan esok akan hujan.
预订	menempah	Saya sudah menempah hotel.
预防	mencegah	Kerap membasuh tangan boleh mencegah selesema.
元旦	Hari Tahun Baru	Kami bercuti sehari pada Hari Tahun Baru.
原料	bahan mentah	Bahan mentah utama roti ialah tepung.
原则	prinsip	Seseorang harus mempunyai prinsip.
员工	pekerja	Syarikat itu mempunyai tiga ratus pekerja.
圆	bulat	Bulan itu besar dan bulat.
愿望	hasrat; keinginan	Hasratnya ialah mengembara ke seluruh dunia.
乐器	alat muzik	Dia boleh memainkan beberapa alat muzik.
晕	pening	Saya berasa sedikit pening apabila menaiki bot.
运气	nasib	Nasib saya baik hari ini.
运输	pengangkutan	Barang-barang ini memerlukan pengangkutan kereta api.
运用	menggunakan; memanfaatkan	Sila gunakan perkataan-perkataan ini dengan fleksibel.
灾害	bencana	Banjir ialah sejenis bencana alam.
再三	berulang-ulang	Guru berulang-ulang mengingatkan kami supaya mengulang kaji.
在乎	peduli; mengambil berat	Dia sangat peduli tentang pendapat rakannya.
在于	terletak pada	Kejayaan terletak pada ketekunan.
赞成	bersetuju	Saya bersetuju dengan cadangan anda.
赞美	memuji	Semua orang memuji keberaniannya.
糟糕	teruk	Cuaca hari ini benar-benar teruk.
造成	menyebabkan	Hujan lebat menyebabkan kesesakan lalu lintas.
则	maka	Jika seseorang bekerja keras, maka akan ada kemajuan.
责备	menyalahkan; menegur	Guru tidak menyalahkannya.
摘	memetik	Dia memetik sekuntum bunga di taman.
窄	sempit	Jalan ini terlalu sempit.
粘贴	menampal	Sila tampal foto di sini.
展开	memulakan; menjalankan	Perbincangan itu segera bermula.
展览	pameran	Muzium itu mempunyai pameran baharu.
占	menduduki; mengambil ruang	Meja ini mengambil ruang.
战争	peperangan	Peperangan membawa penderitaan kepada manusia.
掌握	menguasai	Dia sudah menguasai tatabahasa asas.
涨	naik	Sewa rumah naik lagi baru-baru ini.
长辈	orang tua; generasi lebih tua	Semasa Tahun Baru, kita harus memberi salam kepada orang tua.
账户	akaun	Sila semak akaun bank anda.
招待	melayan; menerima tetamu	Tuan rumah melayan tetamu dengan mesra.
着火	terbakar	Dapur tiba-tiba terbakar.
着凉	terkena sejuk; demam kerana kesejukan	Cuaca sejuk, jadi jangan sampai terkena sejuk.
召开	mengadakan mesyuarat	Sekolah akan mengadakan mesyuarat esok.
照常	seperti biasa	Kedai akan dibuka seperti biasa esok.
哲学	falsafah	Dia belajar falsafah di universiti.
珍惜	menghargai	Kita harus menghargai masa.
真实	benar; nyata	Cerita ini benar.
针对	ditujukan kepada; menyasarkan	Cadangan ini ditujukan kepada pelajar baharu.
诊断	diagnosis	Doktor segera membuat diagnosis.
振动	getaran; bergetar	Telefon sedang bergetar di atas meja.
阵	seketika; satu gelombang	Ada hujan sekejap di luar.
争论	berdebat; bertengkar	Mereka berdebat lama tentang isu ini.
争取	berusaha mendapatkan; memperjuangkan	Kita harus berusaha mendapatkan lebih banyak peluang.
征求	meminta; mendapatkan	Guru meminta pendapat semua orang.
挣	berusaha melepaskan diri; memperoleh	Burung itu berusaha melepaskan diri daripada tali.
睁	membuka mata	Sila buka mata anda sedikit lebih besar.
整个	seluruh	Seluruh bandar sangat sunyi.
整齐	kemas; teratur	Buku-buku disusun dengan sangat kemas.
整体	keseluruhan	Kita perlu mempertimbangkan kesan keseluruhan.
政府	kerajaan	Kerajaan mengeluarkan notis baharu.
政治	politik	Dia sangat berminat dalam politik.
正	betul; tepat	Jawapan ini betul.
证件	dokumen pengenalan; sijil	Sila tunjukkan dokumen pengenalan anda.
证据	bukti	Polis menemui bukti baharu.
支	penjodoh bilangan untuk pen; menyokong	Ada sebatang pen di atas meja.
支票	cek	Dia membayar dengan cek.
执照	lesen	Memandu memerlukan lesen memandu.
直	lurus; terus	Jalan terus di jalan ini.
指导	membimbing	Guru membimbing kami menulis kertas kerja.
指挥	mengarahkan; memimpin	Dia bertanggungjawab mengarahkan operasi ini.
制定	merangka; menggubal	Syarikat merangka rancangan baharu.
制度	sistem	Sekolah mempunyai sistem yang ketat.
制造	menghasilkan; membuat	Kilang ini menghasilkan mesin.
制作	membuat	Dia sedang membuat kek hari jadi.
志愿者	sukarelawan	Banyak sukarelawan menyertai acara itu.
智慧	kebijaksanaan	Orang tua ini mempunyai kebijaksanaan yang besar.
治疗	merawat	Doktor sedang merawat pesakit.
秩序	ketertiban; aturan	Sila kekalkan ketertiban.
至今	hingga kini	Masalah ini belum diselesaikan hingga kini.
至于	bagi; mengenai	Bagi kosnya, kita bincangkan esok.
中介	agensi; perantara	Dia menyewa apartmen melalui agensi.
中心	pusat	Hospital itu berada di pusat bandar.
中旬	pertengahan bulan	Mesyuarat dijadualkan pada pertengahan Mei.
种类	jenis	Ada banyak jenis buah di sini.
重大	penting; besar	Ini satu keputusan besar.
重量	berat	Berapakah berat kotak ini?
周到	teliti; penuh perhatian	Perkhidmatannya sangat teliti.
猪	babi	Ada banyak babi di ladang.
竹子	buluh	Panda suka makan buluh.
逐步	secara beransur-ansur; langkah demi langkah	Rancangan itu akan dilaksanakan langkah demi langkah.
逐渐	secara beransur-ansur	Cuaca secara beransur-ansur menjadi lebih sejuk.
主持	mempengerusikan; mengendalikan	Dia mengendalikan mesyuarat hari ini.
主动	berinisiatif	Dia berinisiatif membantu rakan sekelasnya.
主观	subjektif	Penilaian ini agak subjektif.
主人	tuan rumah; pemilik	Tuan rumah menyambut kami dengan mesra.
主任	pengarah; ketua	Pengarah berada di pejabat.
主题	tema; topik	Topik perbincangan hari ini ialah perlindungan alam sekitar.
主席	pengerusi	Pengerusi mengumumkan permulaan mesyuarat.
主张	mencadangkan; pendirian	Dia mencadangkan agar masalah lalu lintas diselesaikan dahulu.
煮	memasak; merebus	Ibu sedang memasak mi.
注册	mendaftar	Pengguna baharu perlu mendaftar dahulu.
祝福	ucapan selamat; restu	Rakan-rakan menghantar ucapan selamat.
抓	menangkap; menggenggam	Kanak-kanak itu menggenggam tangan ibunya.
抓紧	memanfaatkan sepenuhnya; menggenggam erat	Kita perlu memanfaatkan masa dengan baik.
专家	pakar	Pakar itu memberikan cadangan.
专心	menumpukan perhatian	Anda harus menumpukan perhatian semasa kelas.
转变	perubahan; berubah	Sikapnya berubah.
转告	menyampaikan	Sila beritahu dia bahawa ada mesyuarat esok.
装	memasukkan; berpura-pura	Sila masukkan buku ke dalam beg.
装饰	menghias; hiasan	Mereka menghias bilik dengan bunga.
装修	mengubah suai; renovasi	Rumah baharu itu sedang diubah suai.
撞	berlanggar; melanggar	Dua kereta berlanggar di persimpangan.
状况	keadaan	Keadaan semasa agak stabil.
状态	keadaan; status	Hari ini keadaannya baik.
追	mengejar	Kanak-kanak itu mengejar anak anjing dari belakang.
追求	mengejar; berusaha mencapai	Dia sentiasa mengejar impiannya.
咨询	berunding; mendapatkan nasihat	Anda boleh berunding dengan doktor profesional.
姿势	postur	Sila kekalkan postur yang betul.
资格	kelayakan	Dia mempunyai kelayakan untuk menyertai pertandingan.
资金	dana	Projek ini memerlukan lebih banyak dana.
资料	bahan; maklumat	Sila hantar bahan itu kepada saya.
资源	sumber	Air ialah sumber semula jadi yang penting.
紫	ungu	Dia suka warna ungu.
字母	huruf	Bahasa Inggeris mempunyai dua puluh enam huruf.
字幕	sari kata	Filem ini mempunyai sari kata bahasa Cina.
自从	sejak	Sejak tamat pengajian, dia jarang pulang.
自动	automatik	Pintu ini terbuka secara automatik.
自豪	bangga	Saya berasa bangga dengan kemajuan saya.
自觉	atas inisiatif sendiri; sedar	Dia menyiapkan kerja rumah atas inisiatif sendiri.
自私	mementingkan diri sendiri	Seseorang tidak patut terlalu mementingkan diri sendiri.
自由	kebebasan	Setiap orang menghargai kebebasan.
自愿	sukarela	Mereka menyertai aktiviti itu secara sukarela.
综合	menyeluruh; menggabungkan	Kita perlu mempertimbangkan pelbagai faktor secara menyeluruh.
总裁	ketua pegawai eksekutif; presiden syarikat	Ketua pegawai eksekutif memberikan ucapan hari ini.
总共	jumlahnya; keseluruhannya	Perjalanan ini menelan belanja tiga ribu yuan jumlahnya.
总理	perdana menteri	Perdana menteri menghadiri mesyuarat.
总算	akhirnya	Masalah itu akhirnya diselesaikan.
总统	presiden	Presiden menyampaikan ucapan di televisyen.
总之	ringkasnya	Ringkasnya, kita mesti selesai tepat pada masanya.
组	kumpulan; membentuk	Guru membahagikan kami kepada tiga kumpulan.
组成	membentuk; terdiri daripada	Air terdiri daripada hidrogen dan oksigen.
组合	gabungan	Gabungan warna ini kelihatan bagus.
组织	menganjurkan; organisasi	Sekolah menganjurkan satu lawatan.
阻止	menghalang	Polis menghalang tingkah laku berbahaya itu.
最初	pada mulanya	Pada mulanya, saya kurang faham.
醉	mabuk	Dia minum terlalu banyak dan agak mabuk.
尊敬	menghormati	Semua pelajar menghormati guru itu.
遵守	mematuhi	Kita mesti mematuhi peraturan lalu lintas.
作品	karya	Lukisan ini ialah karyanya.
作为	sebagai	Sebagai guru, dia sangat sabar.
作文	karangan	Guru meminta kami menulis karangan.
