simplified	ES-419	example_ES-419
萌芽	brote; germen	Una nueva idea empezó a surgir.
猛烈	violento; feroz	La tormenta llegó con mucha violencia.
眯	entrecerrar los ojos	La luz del sol era demasiado fuerte y él entrecerró los ojos.
弥补	compensar; subsanar	Una disculpa no puede compensar completamente la pérdida.
弥漫	llenar el aire; impregnarse	El aroma de las flores llenaba el patio.
谜语	adivinanza	A los niños les gusta resolver adivinanzas.
迷惑	confundir; desconcertar	Los datos complejos lo confundieron.
迷人	encantador; fascinante	La vista nocturna junto al mar es muy encantadora.
迷信	superstición	La educación científica puede reducir la superstición.
密度	densidad	Este metal tiene una densidad alta.
密封	sellar; cerrar herméticamente	Después de abrirla, vuelve a sellar la bolsa.
棉花	algodón	Los agricultores están recogiendo algodón.
免得	para evitar; no sea que	Sal temprano para evitar llegar tarde.
免疫	inmunidad	Esta vacuna puede mejorar la inmunidad.
勉励	animar; alentar	El profesor suele alentar a los estudiantes a seguir estudiando.
勉强	a regañadientes; con dificultad	Él aceptó este arreglo a regañadientes.
面貌	aspecto; apariencia	El aspecto de la ciudad ha cambiado mucho.
面子	prestigio; quedar bien	No quería perder prestigio delante de todos.
描绘	describir; retratar	La novela describe la vida rural.
瞄准	apuntar	El tirador apuntó al objetivo.
渺小	minúsculo; insignificante	Las personas parecen muy pequeñas ante la naturaleza.
藐视	despreciar	No debemos despreciar a ningún oponente.
灭亡	destruirse; perecer	Esta dinastía acabó encaminándose a la desaparición.
蔑视	desprecio; despreciar	Su tono estaba lleno de desprecio.
民间	popular; folclórico	El arte popular necesita protección.
民主	democracia	La reunión usó votación democrática.
敏捷	ágil; rápido	Los movimientos del deportista son muy ágiles.
敏锐	agudo; perspicaz	Los periodistas necesitan una observación aguda.
名次	puesto; clasificación	Ella obtuvo un buen puesto en la competición.
名额	cupo; plaza	Este programa solo tiene diez plazas.
名副其实	verdadero; digno de ese nombre	Él es un experto de verdad.
名誉	reputación; honor	Este asunto dañó la reputación de la empresa.
明明	claramente; obviamente	Él claramente sabía la respuesta, pero no quiso decirla.
明智	sensato; sabio	Aplazar la decisión fue una elección sensata.
命名	nombrar; dar nombre	Los científicos dieron nombre a la nueva especie.
摸索	explorar; buscar a tientas	El equipo todavía está explorando nuevos métodos.
摩擦	fricción; roce	Aparecieron fricciones comerciales entre los dos países.
模范	modelo; ejemplo	Él es un modelo para todos los estudiantes de la escuela.
模式	modo; modelo	Este modelo de negocio es muy exitoso.
模型	modelo	El ingeniero hizo un modelo del puente.
磨合	ajustarse; adaptarse mutuamente	El nuevo equipo necesita tiempo para adaptarse.
膜	membrana; película	Esta membrana puede filtrar impurezas.
魔鬼	demonio	El demonio del cuento era muy astuto.
魔术	magia	A los niños les gusta ver espectáculos de magia.
抹杀	borrar; negar	No se puede negar su contribución.
墨水儿	tinta	La tinta de la pluma está a punto de acabarse.
莫名其妙	inexplicable; desconcertante	Su reacción dejó a todos desconcertados.
默默	en silencio; discretamente	Ella ayudó discretamente a muchas personas.
谋求	buscar; esforzarse por	La empresa busca nuevas oportunidades de desarrollo.
模样	aspecto; apariencia	Su aspecto actual ha cambiado mucho.
母语	lengua materna	Los niños aprenden su lengua materna desde pequeños.
沐浴	bañarse; estar bañado	El pueblo de la mañana estaba bañado por la luz del sol.
目睹	presenciar	Muchas personas presenciaron este accidente.
目光	mirada; vista	Todas las miradas se concentraron en el escenario.
拿手	ser bueno en; especialidad	El pescado estofado es su plato estrella.
纳闷儿	estar desconcertado	Me seguía preguntando por qué llegó tarde.
耐用	duradero	Este par de zapatos es muy duradero.
南辕北辙	ir en contra del objetivo	Su método va en contra del objetivo.
难得	raro; difícil de conseguir	Esta es una oportunidad rara.
难堪	embarazoso; incómodo	Esta pregunta lo hizo sentirse muy incómodo.
难能可贵	loable por ser difícil	Seguir siendo honesto bajo presión es especialmente loable.
恼火	enfadado; irritado	El equipo volvió a romperse y él se enfadó mucho.
内涵	connotación; contenido	Esta palabra tiene ricas connotaciones culturales.
内幕	entresijos; información interna	El periodista intentó investigar los entresijos del incidente.
内在	interno; interior	Él valora más las cualidades interiores de una persona.
能量	energía	Este desayuno me da mucha energía.
拟定	redactar; formular	La secretaria está redactando la agenda de la reunión.
逆行	circular en sentido contrario	Ese auto iba en sentido contrario por una calle de sentido único.
年度	anual	La empresa publicó el informe anual.
捏	pellizcar; moldear	Ella pellizcó suavemente la mejilla del niño.
凝固	solidificarse; coagularse	Después de enfriarse, la cera se solidifica lentamente.
凝聚	unir; condensar	Un objetivo común puede unir la fuerza del equipo.
凝视	mirar fijamente	Él miraba fijamente las luces a lo lejos.
拧	pellizcar; retorcer	Él me dio un pellizco con la mano.
宁肯	preferir; antes que	Ella preferiría fracasar antes que renunciar a sus principios.
宁愿	preferir; más bien	Prefiero caminar antes que esperar el autobús.
扭转	revertir; dar la vuelta	La nueva política revirtió la situación de pérdidas.
纽扣儿	botón	A esta camisa se le cayó un botón.
农历	calendario lunar	La Fiesta de Primavera se celebra según el calendario lunar.
浓厚	fuerte; intenso	Él tiene un gran interés por la historia.
奴隶	esclavo	En la sociedad antigua existía la esclavitud.
挪	mover; desplazar	Por favor, mueve la silla un poco hacia un lado.
虐待	maltratar; abusar	La ley prohíbe maltratar a los niños.
哦	oh	Oh, por fin lo entiendo.
殴打	golpear; agredir	La policía arrestó a la persona que golpeó a un transeúnte.
偶像	ídolo	Ella considera a ese escritor su ídolo.
呕吐	vomitar	Él empezó a vomitar después de comer algo en mal estado.
趴	tumbarse boca abajo	El gatito dormía tumbado en el alféizar.
徘徊	dudar; deambular	Él estuvo mucho tiempo deambulando en la entrada.
排斥	rechazar; repeler	El nuevo material repele la humedad.
排除	descartar; eliminar	El médico primero descartó una enfermedad grave.
排放	emisión; descarga	Las fábricas deben reducir las emisiones de gases.
排练	ensayar	Los actores están ensayando un nuevo programa.
派别	facción; grupo	Dentro de esta organización hay distintas facciones.
派遣	enviar; despachar	La empresa envió ingenieros al lugar.
攀登	escalar	Ellos planean escalar la montaña nevada mañana.
盘旋	dar vueltas; circular	El avión daba vueltas sobre el aeropuerto.
判决	sentencia; fallo	El tribunal anunció hoy la sentencia.
畔	orilla; ribera	Los niños paseaban por la orilla del lago.
庞大	enorme; inmenso	Este proyecto requiere fondos enormes.
抛弃	abandonar; descartar	Él no quiere abandonar su sueño.
泡沫	espuma; burbuja	Hay mucha espuma blanca en la taza.
培育	cultivar; formar	La escuela se esfuerza por cultivar el sentido de responsabilidad de los estudiantes.
配备	equipar; dotar	El auto nuevo está equipado con un sistema de seguridad.
配偶	cónyuge	El formulario de solicitud requiere información del cónyuge.
配套	instalaciones complementarias; conjunto completo	La comunidad tiene instalaciones complementarias completas.
盆地	cuenca; depresión	Esta cuenca es muy calurosa en verano.
烹饪	cocina; arte culinario	Cocinar requiere paciencia y experiencia.
捧	sostener con ambas manos	Ella sostenía un ramo de flores con ambas manos.
劈	partir; cortar	El trabajador partió leña con un hacha.
批发	venta al por mayor	Esta tienda vende principalmente fruta al por mayor.
批判	criticar	El artículo criticó esta opinión equivocada.
疲惫	agotado; exhausto	Después del largo viaje, todos estaban agotados.
疲倦	cansado; fatigado	Trabajar sin parar lo hizo sentirse cansado.
皮革	cuero	Este bolso está hecho de cuero.
屁股	trasero	Al niño le dolía el trasero después de caerse.
譬如	por ejemplo	Por ejemplo, primero podemos hacer una pequeña prueba.
偏差	desviación; sesgo	Los resultados del experimento tienen una desviación evidente.
偏见	prejuicio	Debemos evitar los prejuicios étnicos.
偏僻	remoto; apartado	Este pueblo está en un lugar muy apartado.
偏偏	justamente; contra lo esperado	Cuanto más ansioso estaba, más lento iba el auto.
片断	fragmento; segmento	Hay varios fragmentos excelentes en la película.
片刻	un momento	Por favor, espérame aquí un momento.
漂浮	flotar	Las hojas caídas flotaban sobre el agua.
飘扬	ondear	La bandera nacional ondeaba al viento.
撇	dejar de lado; apartar	Él dejó de lado el viejo plan.
拼搏	luchar; esforzarse	Los jóvenes deben luchar por sus ideales.
拼命	con todas las fuerzas	Él persiguió al equipo de delante con todas sus fuerzas.
贫乏	pobre; escaso	El contenido de este artículo es bastante pobre.
贫困	pobreza; empobrecido	El gobierno ayuda a las familias pobres.
频繁	frecuente	Últimamente los accidentes de tráfico aquí han sido frecuentes.
频率	frecuencia	La frecuencia de este sonido es muy alta.
品尝	probar; degustar	Los invitados están probando la comida local.
品德	carácter moral	La escuela valora la educación moral de los estudiantes.
品质	calidad	La calidad de los productos de esta empresa es estable.
品种	variedad; tipo	En el mercado hay muchas variedades de fruta.
屏幕	pantalla	Por favor, baja el brillo de la pantalla.
屏障	barrera; protección	El bosque es una barrera importante contra el viento.
平凡	común; ordinario	Él trabajó durante años en un puesto ordinario.
平面	plano; superficie	El diseñador dibujó el plano de la casa.
平坦	llano; plano	Este camino es muy llano.
平行	paralelo	Estas dos líneas son paralelas entre sí.
平庸	mediocre	Él no se conforma con vivir una vida mediocre.
平原	llanura	El tren atravesó una vasta llanura.
评估	evaluar; valoración	Los expertos están evaluando los riesgos del proyecto.
评论	comentar; comentario	Los lectores pueden comentar debajo del artículo.
坡	pendiente; cuesta	El auto subió lentamente la cuesta.
泼	salpicar; derramar	No derrames agua en el suelo.
颇	bastante; considerablemente	Este resultado es bastante sorprendente.
破例	hacer una excepción	El gerente hizo una excepción y aprobó su solicitud.
迫不及待	impaciente; no poder esperar	Los niños no podían esperar para abrir los regalos.
迫害	perseguir; persecución	A lo largo de la historia muchas personas sufrieron persecución.
魄力	decisión; audacia	Un líder necesita decisión para tomar medidas.
扑	abalanzarse; lanzarse	El niño se lanzó de golpe a los brazos de su madre.
铺	tender; colocar; pavimentar	Los trabajadores están colocando una alfombra nueva.
普及	generalizarse; popularizar	Internet ya se ha generalizado en las ciudades.
朴实	sencillo; sincero	Su lenguaje es sencillo y sincero.
朴素	sencillo; austero	A ella le gusta un estilo de vida sencillo.
瀑布	cascada	Los turistas se hicieron fotos junto a la cascada.
凄凉	desolado	La aldea de montaña parecía muy desolada en invierno.
期望	expectativa; esperanza	Los padres tienen grandes expectativas para sus hijos.
期限	plazo; fecha límite	La fecha límite de inscripción es este viernes.
欺负	intimidar; abusar de	Los niños mayores no deben intimidar a los pequeños.
欺骗	engañar; estafar	La publicidad falsa engañó a los consumidores.
奇妙	maravilloso; fantástico	La naturaleza tiene muchos fenómenos maravillosos.
旗袍	qipao; vestido chino	Ella llevó un qipao rojo a la fiesta.
旗帜	bandera; estandarte	En la plaza ondeaban banderas de colores vivos.
歧视	discriminar; discriminación	La ley prohíbe cualquier forma de discriminación.
齐全	completo; bien surtido	Esta tienda tiene una selección completa de herramientas.
齐心协力	unir fuerzas; colaborar	Todos unieron fuerzas para completar la tarea.
乞丐	mendigo	Había un viejo mendigo sentado junto al camino.
企图	intentar; intento	Él intentó ocultar la situación real.
启程	partir; emprender viaje	La delegación partirá mañana temprano.
启蒙	iniciación; educar	Este libro es adecuado para iniciar a los niños en la lectura.
启事	aviso; anuncio	En la entrada de la escuela había un anuncio de contratación.
启示	enseñanza; revelación	Este fracaso nos dio una enseñanza importante.
岂有此理	absurdo; inadmisible	Este tipo de cobro es realmente inadmisible.
起草	redactar; preparar un borrador	El abogado está redactando el contrato.
起初	al principio	Al principio, él no creyó la noticia.
起伏	ondular; altibajos	La carretera de montaña sube y baja con el terreno.
起哄	armar alboroto; abuchear	Los alumnos no deben armar alboroto en clase.
起码	como mínimo; al menos	Como mínimo deberías avisarme con antelación.
起源	origen; originarse	Esta fiesta se originó en la antigüedad.
器材	equipo; material	El laboratorio necesita nuevo material didáctico.
器官	órgano	El corazón es un órgano importante del cuerpo humano.
气概	espíritu; temple	Este poema muestra un espíritu heroico.
气功	qigong	Mi abuelo practica qigong todas las mañanas.
气魄	grandeza; audacia	Este puente tiene una gran presencia.
气色	aspecto; color de la cara	Después de descansar, su aspecto mejoró mucho.
气势	ímpetu; fuerza	El equipo empezó el partido con mucha fuerza.
气味	olor; aroma	En la cocina había olor a pan tostado.
气象	meteorología; condiciones atmosféricas	En esta meseta las condiciones atmosféricas cambian muy rápido.
气压	presión atmosférica	La bajada de la presión atmosférica puede traer lluvia.
气质	temperamento; porte	Ella tiene un temperamento tranquilo.
迄今为止	hasta ahora	Hasta ahora, el experimento avanza sin problemas.
掐	pellizcar; arrancar	Ella arrancó una pequeña flor.
恰当	adecuado; apropiado	Tu respuesta fue muy adecuada.
恰到好处	justo en su punto; perfecto	El dulzor de este plato está justo en su punto.
恰巧	por casualidad; justo	Cuando llegué a la estación, justo empezó a llover.
洽谈	negociar; conversar	Ambas partes están negociando los detalles de la cooperación.
千方百计	por todos los medios	Ellos buscaron una solución por todos los medios.
牵	llevar de la mano; tirar	La madre llevó al niño de la mano al cruzar la calle.
牵扯	implicar; involucrar	Este asunto implica a muchos departamentos.
牵制	contener; restringir	La defensa rival contuvo el ataque.
签署	firmar	Las dos empresas firmaron un acuerdo.
谦逊	humilde; modestia	Él siguió siendo humilde después de tener éxito.
迁就	ceder ante; adaptarse a	Los padres no pueden ceder siempre ante los hijos.
迁徙	migrar; desplazarse	Las aves migratorias se desplazan cada año según la estación.
前景	perspectiva; futuro	Este sector tiene buenas perspectivas.
前提	premisa; condición previa	La confianza es una condición previa para cooperar.
潜力	potencial; capacidad	Este estudiante tiene mucho potencial.
潜水	bucear; sumergirse	Ellos fueron a la playa para aprender a bucear.
潜移默化	influencia imperceptible	El ambiente familiar influye imperceptiblemente en los niños.
谴责	condenar; criticar	La comunidad internacional condenó los actos violentos.
抢劫	robar; atracar	La policía detuvo al sospechoso de atracar el banco.
强制	obligatorio; imponer	La nueva norma obliga a los conductores a usar el cinturón de seguridad.
强迫	obligar; forzar	No obligues a los niños a hacer lo que no les gusta.
抢救	rescatar; salvar	Los médicos están intentando salvar al trabajador herido.
桥梁	puente	La lengua es un puente para el intercambio cultural.
窍门	truco; método práctico	Hay algunos trucos para aprender la pronunciación.
翘	levantar	Él levantó un pie y lo apoyó en la silla.
切实	práctico; realista	Necesitamos un plan práctico y viable.
锲而不舍	perseverar	Él investigó este problema con perseverancia.
亲密	íntimo; cercano	Ellos siempre han mantenido una relación cercana.
亲热	cariñoso; afectuoso	El anciano saludó cariñosamente a los invitados.
侵犯	violar; vulnerar	Este comportamiento vulnera la privacidad personal.
侵略	invasión; agresión	El pueblo se opone a cualquier forma de invasión.
钦佩	admirar; respetar	Admiro mucho su valentía.
勤俭	trabajador y ahorrativo	Mi abuela administró la casa de manera trabajadora y ahorrativa toda su vida.
勤劳	trabajador; diligente	Las personas trabajadoras siempre pueden crear oportunidades.
倾听	escuchar atentamente	El profesor escuchó atentamente las opiniones de los estudiantes.
倾向	tendencia; inclinarse a	Los consumidores jóvenes tienden a comprar por internet.
倾斜	inclinarse; estar ladeado	Después de la lluvia intensa, el muro empezó a inclinarse.
清澈	claro; cristalino	El arroyo de la montaña es muy cristalino.
清晨	madrugada; primeras horas de la mañana	El aire de la madrugada es especialmente fresco.
清除	eliminar; despejar	Los trabajadores despejaron la nieve de la carretera.
清洁	limpio; limpieza	El hospital debe mantener limpio el entorno.
清理	ordenar; limpiar	El fin de semana ordenamos el almacén.
清晰	claro; nítido	Esta foto es muy nítida.
清醒	despierto; lúcido	Después de beber café, él estaba mucho más despierto.
清真	halal; musulmán	Cerca hay un restaurante halal.
情报	información; inteligencia	El periodista obtuvo información importante.
情节	trama; episodio	La trama de la novela es muy tensa.
情理	razón; sentido	Su petición no tiene sentido.
情形	situación; circunstancias	La situación en el lugar era más compleja de lo imaginado.
晴朗	despejado; soleado	El cielo de hoy está especialmente despejado.
请柬	invitación escrita	Ellos enviaron invitaciones de boda a familiares y amigos.
请教	consultar; pedir consejo	Quisiera consultarle una pregunta.
请示	pedir instrucciones	Este asunto debe consultarse primero con el jefe.
请帖	tarjeta de invitación	En la mesa había una tarjeta de invitación de cumpleaños.
丘陵	colinas	Esta zona tiene muchas colinas.
区分	distinguir; diferenciar	El niño ya puede distinguir la izquierda de la derecha.
区域	zona; región	En esta zona está prohibido estacionar.
屈服	ceder; rendirse	Él no cedió ante la presión.
曲折	sinuoso; complicado	Ellos pasaron por negociaciones complicadas.
驱逐	expulsar; desalojar	La policía expulsó a las personas que causaban disturbios.
渠道	canal; vía	La empresa vende productos por nuevos canales.
取缔	prohibir; clausurar	El gobierno clausuró el mercado ilegal.
曲子	melodía; pieza musical	Esta melodía tiene una línea muy hermosa.
趣味	interés; diversión	Este juego tiene mucho interés.
圈套	trampa; engaño	Él casi cayó en la trampa de los estafadores.
全局	panorama general; conjunto	Un líder debe considerar los intereses del conjunto.
全力以赴	esforzarse al máximo	Haremos todo lo posible para completar la tarea.
拳头	puño	Él apretó el puño para prepararse para la competencia.
权衡	sopesar; evaluar	Necesitamos sopesar los costos y los resultados.
权威	autoridad; experto reconocido	Este profesor es una autoridad en ese campo.
犬	perro; can	Este tipo de perro es adecuado para vigilar la casa.
缺口	brecha; abertura	Hay una pequeña abertura en la pared.
缺席	ausencia; estar ausente	Él faltó a la reunión por enfermedad.
缺陷	defecto; falla	Este diseño tiene un defecto evidente.
瘸	cojo	Él cojea un poco de la pierna izquierda.
确保	asegurar; garantizar	Por favor, asegúrate de que la puerta esté cerrada con llave.
确立	establecer; fijar	La empresa estableció nuevos objetivos de desarrollo.
确切	exacto; preciso	No sé la hora exacta.
确信	estar convencido; estar seguro	Estoy convencido de que llegará a tiempo.
群众	masas; público	El público apoya mucho la nueva política.
染	teñir; contagiarse	Ella se tiñó el pelo de negro.
嚷	gritar; vociferar	No grites en el pasillo.
让步	concesión; ceder	Ambas partes hicieron algunas concesiones.
饶恕	perdonar; absolver	Ella finalmente decidió perdonar a la otra parte.
扰乱	perturbar; alterar	El ruido alteró el orden de la clase.
惹祸	meterse en problemas	Bromear sin cuidado puede meterte en problemas.
热泪盈眶	con los ojos llenos de lágrimas	Al oír la buena noticia, se le llenaron los ojos de lágrimas.
热门	popular; de moda	La inteligencia artificial es un tema de moda.
人道	humanitario; compasivo	La operación de rescate mostró un espíritu humanitario.
人格	personalidad; dignidad	Insultar a otros daña la dignidad personal.
人工	artificial; trabajo manual	Este río fue excavado de forma artificial.
人家	los demás; otra persona	No te compares siempre con los demás.
人间	mundo humano; mundo	La primavera llena el mundo de vitalidad.
人士	persona; figura	Personas de distintos sectores asistieron al simposio.
人为	humano; causado por personas	Este accidente fue causado por factores humanos.
人性	naturaleza humana; humanidad	Esta película habla de la naturaleza humana.
人质	rehén	La policía rescató con éxito al rehén.
仁慈	bondadoso; compasivo	Este médico es muy bondadoso con los pacientes.
忍耐	paciencia; aguantar	Hacer una fila larga requiere un poco de paciencia.
忍受	soportar; aguantar	No puedo soportar el ruido de aquí.
任命	nombrar; designar	La junta la nombró gerente.
任性	caprichoso; obstinado	Un niño demasiado caprichoso puede verse afectado en su crecimiento.
任意	arbitrario; a voluntad	Por favor, no modifiques los datos a voluntad.
任重道远	responsabilidad pesada y camino largo	La reforma educativa tiene una responsabilidad pesada y un camino largo.
认定	determinar; considerar	La policía determinó que se trataba de un accidente.
认可	aprobar; reconocimiento	Su plan obtuvo el reconocimiento de todos.
仍旧	todavía; aún	Muchos años después, él todavía vive aquí.
日新月异	cambiar rápidamente	La tecnología cambia rápidamente.
日益	cada vez más; día a día	Los problemas ambientales son cada vez más graves.
容貌	aspecto; apariencia	Los años cambiaron su apariencia.
容纳	albergar; contener	Este salón puede albergar a quinientas personas.
容器	recipiente; envase	Por favor, vierte el líquido en el recipiente de vidrio.
容忍	tolerar; soportar	La empresa no puede tolerar conductas fraudulentas.
溶解	disolver; disolverse	La sal se disuelve en el agua.
荣幸	honrado; un honor	Es un honor para mí participar en la reunión.
荣誉	honor; prestigio	Esta medalla representa el máximo honor.
融化	derretirse; fundirse	La luz del sol hizo que la nieve y el hielo se derritieran poco a poco.
融洽	armonioso; cordial	La relación entre los compañeros es muy cordial.
揉	frotar; masajear	Mamá me masajeó suavemente los hombros.
柔和	suave; tenue	La luz es suave y no molesta los ojos.
儒家	confucianismo	El pensamiento confuciano influyó en la cultura de Asia Oriental.
弱点	debilidad; punto débil	El descuido es su principal debilidad.
若干	varios; cierta cantidad	La reunión presentó varias propuestas.
撒谎	mentir	Los niños no deben mentir.
散文	prosa; ensayo	A ella le gusta leer prosa moderna.
散布	difundir; propagar	Alguien difundió rumores en internet.
散发	emitir; distribuir	El jardín desprendía un aroma fresco.
丧失	perder	Él no perdió la confianza.
骚扰	acosar; molestar	Por favor, no molestes a los demás pasajeros.
嫂子	cuñada	La comida que prepara mi cuñada es muy sabrosa.
刹车	frenar	El conductor frenó de repente.
啥	qué	¿Qué dijiste hace un momento?
筛选	filtrar; seleccionar	El sistema filtrará automáticamente los currículos.
山脉	cordillera	Esta cordillera es muy larga.
闪烁	parpadear; centellear	Las luces lejanas parpadeaban sin parar.
擅长	ser bueno en; dominar	Él es bueno resolviendo problemas complejos.
擅自	sin permiso; por cuenta propia	Los empleados no pueden abandonar su puesto sin permiso.
伤脑筋	difícil; problemático	Este problema es realmente difícil.
商标	marca registrada; logotipo	La empresa registró una nueva marca.
上级	superior; autoridad superior	Él informó de la situación a su superior.
上进	ambicioso; con ganas de progresar	Ella siempre tiene muchas ganas de progresar.
上任	asumir el cargo	El nuevo gerente asumirá el cargo la próxima semana.
上瘾	hacerse adicto; engancharse	Muchas personas se han enganchado a los videos cortos.
上游	curso alto; parte superior	La contaminación viene del curso alto del río.
尚且	incluso; todavía	Incluso los adultos cometen errores.
捎	llevar; transmitir	Por favor, transmíteme un mensaje.
梢	punta de una rama	El ave se posó en la punta de una rama.
哨	silbato; centinela	Había un centinela en la entrada.
奢侈	lujoso; extravagante	Este tipo de consumo es demasiado extravagante.
舌头	lengua	Él se quemó la lengua.
摄氏度	grados Celsius	La temperatura de hoy es de treinta grados Celsius.
涉及	implicar; tratar	El informe implica a varios departamentos.
社区	comunidad	La comunidad organizó una charla sobre salud.
设立	establecer; crear	La escuela creó una beca.
设想	imaginar; planear	Esta idea todavía necesita discutirse.
设置	configurar; instalar	Por favor, vuelve a configurar la contraseña.
呻吟	gemir	El paciente gemía en voz baja.
深奥	profundo; abstruso	El contenido de este libro es muy profundo.
深沉	profundo; grave	Su voz era baja y grave.
深情厚谊	amistad profunda	Los pueblos de los dos países formaron una amistad profunda.
申报	declarar; informar	Los viajeros deben declarar los objetos con sinceridad.
绅士	caballero	Él se comporta como un caballero.
神经	nervio	La presión afecta al sistema nervioso.
神奇	mágico; asombroso	El paisaje de aquí es realmente asombroso.
神气	porte; aire orgulloso	Él hoy parecía especialmente orgulloso.
神圣	sagrado	Esta es una responsabilidad sagrada.
神态	expresión; semblante	Su expresión era muy tranquila.
神仙	inmortal; deidad	La leyenda dice que en la montaña vivían inmortales.
审查	revisar; censurar	La plataforma revisará el contenido publicado.
审理	juzgar; conocer un caso	El tribunal está juzgando este caso.
审美	gusto estético	Su gusto estético es muy particular.
审判	juicio; juzgar	El juicio público atrajo la atención de los medios.
慎重	prudente; cuidadoso	Esta decisión debe tomarse con prudencia.
渗透	penetrar; filtrarse	El agua de lluvia penetró lentamente en el suelo.
声明	declaración	La empresa publicó una declaración oficial.
声势	impulso; fuerza	Esta campaña publicitaria tuvo mucha fuerza.
声誉	reputación; prestigio	La calidad del producto afecta la reputación de la marca.
牲畜	ganado	Los pastores llevaron el ganado de vuelta al pastizal.
生存	sobrevivir; existir	Los animales salvajes necesitan espacio para sobrevivir.
生机	vitalidad; fuerza vital	La lluvia de primavera llenó la tierra de vitalidad.
生理	fisiología	El sueño afecta el estado fisiológico de una persona.
生疏	oxidado; poco familiar	Después de años sin practicar, su piano estaba algo oxidado.
生态	ecología	La protección del bosque está relacionada con el equilibrio ecológico.
生物	organismo; ser vivo	En el océano hay muchos seres vivos extraños.
生效	entrar en vigor	La nueva norma entrará oficialmente en vigor mañana.
生肖	signo del zodiaco chino	¿Cuál es tu signo del zodiaco chino?
生锈	oxidarse	La cadena de la bicicleta ya se oxidó.
生育	dar a luz; reproducción	El hospital ofrece asesoramiento sobre reproducción.
省会	capital provincial	Chengdú ha sido la capital provincial de Sichuan desde tiempos antiguos.
盛产	producir en abundancia	Aquí se produce té de alta calidad en abundancia.
盛开	florecer plenamente	Los cerezos del parque están en plena floración.
盛情	hospitalidad generosa	Agradecemos la generosa hospitalidad del anfitrión.
盛行	estar de moda; prevalecer	Este estilo estuvo muy de moda durante un tiempo.
胜负	victoria o derrota; resultado	El último minuto del partido decidió el resultado.
失事	sufrir un accidente	La causa del accidente aéreo aún se está investigando.
失误	error; equivocación	Un pequeño error provocó el retraso del proyecto.
失踪	desaparecido	La policía está buscando al niño desaparecido.
尸体	cadáver	El equipo de rescate encontró el cadáver de la víctima.
师范	pedagógico; de formación docente	Ella se graduó en una universidad pedagógica.
施加	ejercer; imponer	Los padres no deben ejercer demasiada presión.
施展	poner en práctica; desplegar	Por fin tuvo la oportunidad de desplegar su talento.
十足	pleno; completo	Él tiene plena confianza en el resultado.
实惠	ventajoso; económico	Los precios de esta tienda son muy convenientes.
实力	fuerza; capacidad	La fuerza general del equipo es muy alta.
实施	implementar; ejecutar	El gobierno empezó a implementar el nuevo plan.
实事求是	ser realista; buscar la verdad en los hechos	Al investigar hay que ser realista.
实行	aplicar; poner en práctica	La empresa aplica un sistema de trabajo flexible.
实质	esencia; sustancia	La esencia del problema no ha cambiado.
拾	recoger	Él se agachó para recoger la llave del suelo.
时常	a menudo; frecuentemente	El abuelo habla a menudo de su juventud.
时而	de vez en cuando; a ratos	El tiempo está a ratos despejado y a ratos nublado.
时光	tiempo; época	Los buenos momentos siempre parecen muy breves.
时机	momento oportuno	Ahora no es un buen momento para negociar.
时事	actualidad; asuntos del momento	Los estudiantes discuten la actualidad internacional cada semana.
石油	petróleo	El precio del petróleo volvió a subir.
识别	identificar; reconocer	El sistema puede reconocer distintos rostros.
使命	misión	Proteger el medio ambiente es una misión común.
世代	generación; de generación en generación	Este oficio se transmite de generación en generación en la familia.
事故	accidente	En este accidente no hubo heridos ni muertos.
事迹	hechos; hazañas	Sus hazañas heroicas se difundieron ampliamente.
事件	suceso; incidente	Este incidente atrajo la atención social.
事态	situación; desarrollo de los acontecimientos	El gobierno está controlando el desarrollo de la situación.
事务	asuntos; tareas	Ella se encarga de los asuntos diarios de la empresa.
事项	asunto; punto	Por favor, confirma los puntos importantes del contrato.
事业	causa; carrera	Él considera la educación como la causa de toda su vida.
势必	inevitablemente; sin duda	El aumento de costos inevitablemente afectará los precios.
势力	poder; influencia	La influencia comercial local es muy fuerte.
是非	lo correcto y lo incorrecto; disputas	Él no quiere involucrarse en disputas de oficina.
示范	demostrar; ejemplo	El profesor hizo primero una demostración.
示威	manifestación; manifestarse	Hubo una manifestación pacífica en el centro de la ciudad.
示意	indicar; hacer una señal	El gerente hizo una señal para que todos guardaran silencio.
视力	vista; agudeza visual	Mirar la pantalla durante mucho tiempo afecta la vista.
视频	vídeo; grabación audiovisual	Por favor, envíame el vídeo.
视线	línea de visión	La niebla espesa bloqueó la visión del conductor.
视野	horizonte; campo de visión	Viajar puede ampliar los horizontes.
试图	intentar	Él intentó explicar su decisión.
试验	experimento; prueba	Los científicos realizaron muchos experimentos.
适宜	adecuado; apropiado	El clima de aquí es adecuado para vivir.
逝世	fallecer	Este escritor falleció el año pasado.
释放	liberar; poner en libertad	El tribunal decidió poner en libertad al acusado.
收藏	coleccionar; colección	Él coleccionó muchas estampillas antiguas.
收缩	contraerse; encogerse	El aire frío hace que el metal se contraiga.
收益	ganancias; rendimiento	El rendimiento de la inversión fue más alto de lo esperado.
收音机	aparato de radio	La abuela escucha la radio todos los días.
守护	proteger; custodiar	Los médicos protegen la vida de los pacientes.
手法	técnica; método	La técnica de filmación del director es muy particular.
