simplified	BG	example_BG
畔	бряг	Децата се разхождаха край брега на езерото.
庞大	огромен	Този проект изисква огромни средства.
抛弃	изоставям	Той не желае да изостави мечтата си.
泡沫	пяна; балон	В чашата има много бяла пяна.
培育	възпитавам; отглеждам	Училището се старае да възпитава чувство за отговорност у учениците.
配备	оборудвам; снабдявам	Новият автомобил е оборудван със система за безопасност.
配偶	съпруг; съпруга	В заявлението трябва да се попълни информация за съпруга.
配套	допълващ; съпътстващ	Кварталът има пълни съпътстващи удобства.
盆地	котловина	Тази котловина е много гореща през лятото.
烹饪	готвене; кулинария	Готвенето изисква търпение и опит.
捧	държа с две ръце	Тя държеше букет цветя с две ръце.
劈	цепя; сека	Работникът цепеше дърва с брадва.
批发	търговия на едро	Този магазин продава главно плодове на едро.
批判	критикувам	Статията критикува тази погрешна гледна точка.
疲惫	изтощен	След дългото пътуване всички бяха изтощени.
疲倦	уморен	Непрекъснатата работа го умори.
皮革	кожа	Тази чанта е направена от кожа.
屁股	дупе; задни части	След падането детето го болеше дупето.
譬如	например	Например, можем първо да направим малък тест.
偏差	отклонение; пристрастие	В резултатите от експеримента има очевидно отклонение.
偏见	предразсъдък	Трябва да избягваме етническите предразсъдъци.
偏僻	отдалечен	Това село е на много отдалечено място.
偏偏	точно пък; въпреки очакванията	Колкото повече бързах, толкова по-бавно точно пък вървеше колата.
片断	откъс; фрагмент	Във филма има няколко впечатляващи откъса.
片刻	миг; кратко време	Моля, почакай ме тук за миг.
漂浮	плувам на повърхността	Падналите листа плуваха по водата.
飘扬	развявам се	Националният флаг се развяваше на вятъра.
撇	захвърлям; оставям настрана	Той остави стария план настрана.
拼搏	боря се; старая се	Младите хора трябва да се борят за идеалите си.
拼命	с всички сили	Той с всички сили догонваше отбора отпред.
贫乏	оскъден	Съдържанието на тази статия е доста оскъдно.
贫困	бедност; беден	Правителството помага на бедни семейства.
频繁	чест; често	Напоследък тук пътните произшествия са чести.
频率	честота	Този звук има висока честота.
品尝	опитвам на вкус	Гостите опитват местната храна.
品德	морални качества	Училището цени възпитанието на морални качества у учениците.
品质	качество	Качеството на продуктите на тази компания е стабилно.
品种	сорт; разновидност	На пазара има много разновидности плодове.
屏幕	екран	Моля, намалете яркостта на екрана.
屏障	преграда; защита	Гората е важна преграда срещу вятъра.
平凡	обикновен	Той много години работи на обикновена длъжност.
平面	равнина; план	Дизайнерът нарисува план на къщата.
平坦	равен; гладък	Този път е много равен.
平行	паралелен	Тези две линии са паралелни една на друга.
平庸	посредствен	Той не иска да живее посредствен живот.
平原	равнина	Влакът премина през широка равнина.
评估	оценявам; оценка	Експертите оценяват рисковете на проекта.
评论	коментирам; коментар	Читателите могат да коментират под статията.
坡	наклон	Колата бавно изкачи наклона.
泼	плискам	Не плискай водата на пода.
颇	доста	Този резултат е доста изненадващ.
破例	правя изключение	Управителят направи изключение и одобри заявлението му.
迫不及待	нямам търпение	Децата нямаха търпение да отворят подаръците.
迫害	преследвам; гонение	В историята много хора са били подложени на гонения.
魄力	решителност; смелост	Ръководителите се нуждаят от решителност при вземане на решения.
扑	хвърлям се към	Детето внезапно се хвърли в прегръдките на майка си.
铺	постилам; полагам	Работниците полагат нов килим.
普及	разпространявам; всеобщ	Интернет вече е широко разпространен в градовете.
朴实	прост; искрен	Езикът му е прост и искрен.
朴素	скромен; прост	Тя харесва скромен начин на живот.
瀑布	водопад	Туристите стояха до водопада и се снимаха.
凄凉	пуст; тъжен	Планинското село изглеждаше пусто през зимата.
期望	очакване; надежда	Родителите имат големи очаквания към децата си.
期限	срок	Срокът за записване е този петък.
欺负	тормозя	По-големите деца не бива да тормозят по-малките.
欺骗	мамя	Фалшивата реклама измами потребителите.
奇妙	чудесен; удивителен	В природата има много удивителни явления.
旗袍	ципао; китайска рокля	Тя носеше червено ципао на вечерното събиране.
旗帜	знаме	На площада се вееха ярки знамена.
歧视	дискриминация; дискриминирам	Законът забранява всякаква форма на дискриминация.
齐全	пълен; комплектен	В този магазин има пълен набор от инструменти.
齐心协力	обединявам усилия	Всички обединиха усилия и завършиха задачата.
乞丐	просяк	Край пътя седеше стар просяк.
企图	опит; опитвам се	Той се опита да скрие истинската ситуация.
启程	потеглям	Делегацията ще потегли утре рано сутринта.
启蒙	просвещавам; въвеждам в знания	Тази книга е подходяща за първо четене на деца.
启事	обява; съобщение	На входа на училището беше залепена обява за работа.
启示	поука; откровение	Този провал ни даде важна поука.
岂有此理	абсурдно; недопустимо	Такъв вид такса е наистина абсурдна.
起草	изготвям проект	Адвокатът изготвя договора.
起初	в началото	В началото той не вярваше на тази новина.
起伏	издигане и спадане	Планинският път се издига и спуска според терена.
起哄	вдигам шум; подигравам	Учениците не трябва да вдигат шум в час.
起码	поне; най-малкото	Поне трябваше да ме уведомиш предварително.
起源	произход; произлизам	Този празник произлиза от древността.
器材	оборудване; материали	Лабораторията се нуждае от ново учебно оборудване.
器官	орган	Сърцето е важен орган в човешкото тяло.
气概	дух; величие	Това стихотворение показва героичен дух.
气功	цигун	Дядо всяка сутрин практикува цигун.
气魄	мащаб; внушителност	Този мост има внушителен вид.
气色	тен; вид на лицето	След почивката видът му беше много по-добър.
气势	инерция; напор	От самото начало отборът имаше силен напор.
气味	миризма; аромат	В кухнята имаше мирис на препечен хляб.
气象	метеорология; време	Времето на това плато се променя много бързо.
气压	атмосферно налягане	Понижаването на атмосферното налягане може да донесе дъжд.
气质	темперамент; излъчване	Тя има спокойно излъчване.
迄今为止	досега	Досега експериментът върви гладко.
掐	късам; щипвам	Тя откъсна малко цвете.
恰当	подходящ	Отговорът ти е много подходящ.
恰到好处	точно както трябва	Сладостта на това ястие е точно както трябва.
恰巧	случайно; тъкмо	Когато пристигнах на гарата, тъкмо заваля.
洽谈	обсъждам; преговарям	Двете страни обсъждат подробностите за сътрудничеството.
千方百计	с всички възможни средства	Те търсеха решение с всички възможни средства.
牵	водя за ръка; дърпам	Майката държеше детето за ръка, докато пресичаха улицата.
牵扯	засягам; въвличам	Този въпрос засяга много отдели.
牵制	ограничавам; сдържам	Защитата на противника сдържа атаката.
签署	подписвам	Двете компании подписаха споразумение.
谦逊	скромен	След успеха си той остана скромен.
迁就	угаждам; приспособявам се	Родителите не могат винаги да угаждат на децата.
迁徙	мигрирам	Прелетните птици всяка година мигрират според сезона.
前景	перспектива	Тази индустрия има добра перспектива.
前提	предпоставка	Доверието е предпоставка за сътрудничество.
潜力	потенциал	Този ученик има голям потенциал.
潜水	гмуркам се	Те отидоха на морето да учат гмуркане.
潜移默化	неусетно влияние	Семейната среда неусетно влияе на децата.
谴责	осъждам	Международната общност осъди насилието.
抢劫	обирам; грабеж	Полицията залови заподозрения, който обра банката.
强制	принуждавам; задължителен	Новото правило задължава шофьорите да слагат предпазен колан.
强迫	насилвам; принуждавам	Не принуждавай децата да правят неща, които не харесват.
抢救	спасявам	Лекарите спасяват ранения работник.
桥梁	мост	Езикът е мост за културен обмен.
窍门	трик; похват	За учене на произношение има някои похвати.
翘	повдигам	Той повдигна единия си крак върху стола.
切实	практичен; реален	Нуждаем се от практичен и осъществим план.
锲而不舍	упорствам	Той упорито изследва този въпрос.
亲密	близък; интимен	Те винаги са поддържали близки отношения.
亲热	сърдечен; топъл	Старецът сърдечно посрещна гостите.
侵犯	нарушавам; посягам на	Това поведение наруши личната неприкосновеност.
侵略	агресия; нашествие	Народът се противопоставя на всякаква форма на агресия.
钦佩	възхищавам се	Много се възхищавам на смелостта и.
勤俭	трудолюбив и пестелив	Баба цял живот управляваше домакинството трудолюбиво и пестеливо.
勤劳	трудолюбив	Трудолюбивите хора винаги могат да създават възможности.
倾听	слушам внимателно	Учителят внимателно изслуша мненията на учениците.
倾向	склонност; тенденция	Младите потребители са склонни да пазаруват онлайн.
倾斜	накланям се	След проливния дъжд стената започна да се накланя.
清澈	бистър	Планинският поток е много бистър.
清晨	ранна сутрин	В ранната сутрин въздухът е особено свеж.
清除	премахвам; разчиствам	Работниците разчистиха снега от пътя.
清洁	чист	Болниците трябва да поддържат чиста среда.
清理	разчиствам; подреждам	През уикенда разчистихме склада.
清晰	ясен	Тази снимка е много ясна.
清醒	бодър; трезвен	След като пи кафе, той стана много по-бодър.
清真	халал; мюсюлмански	Наблизо има халал ресторант.
情报	разузнавателна информация	Репортерът получи важна разузнавателна информация.
情节	сюжет	Сюжетът на романа е много напрегнат.
情理	разум; логика	Искането му не е разумно.
情形	ситуация; обстоятелства	Ситуацията на място беше по-сложна от очакваното.
晴朗	ясен; слънчев	Днес небето е особено ясно.
请柬	покана	Те изпратиха сватбени покани на роднини и приятели.
请教	съветвам се; питам за съвет	Бих искал да се посъветвам с вас по един въпрос.
请示	искам указания	По този въпрос първо трябва да се поискат указания от ръководителя.
请帖	покана	На масата имаше покана за рожден ден.
丘陵	хълмове	В този район има много хълмове.
区分	разграничавам	Детето вече може да различава ляво и дясно.
区域	район; зона	В този район паркирането е забранено.
屈服	отстъпвам; подчинявам се	Той не отстъпи пред натиска.
曲折	сложен; криволичещ	Те преминаха през сложни преговори.
驱逐	изгонвам	Полицията изгони нарушителите на реда.
渠道	канал	Компанията продава продукти чрез нов канал.
取缔	забранявам	Правителството забрани незаконния пазар.
曲子	мелодия	Мелодията на тази песен е красива.
趣味	интерес; забавление	Тази игра е много интересна.
圈套	капан	Той почти попадна в капана на измамника.
全局	цялостна ситуация	Ръководителите трябва да мислят за общия интерес.
全力以赴	давам всичко от себе си	Ще дадем всичко от себе си, за да завършим задачата.
拳头	юмрук	Той стисна юмрук и се подготви за състезанието.
权衡	преценявам; претеглям	Трябва да преценим разходите и ефекта.
权威	авторитет; авторитетен	Този професор е авторитет в тази област.
犬	куче	Този вид куче е подходящо за пазене на дом.
缺口	пролука; празнина	В стената има малка пролука.
缺席	отсъствие; отсъствам	Той отсъства от заседанието поради болест.
缺陷	недостатък; дефект	В този дизайн има очевиден недостатък.
瘸	куц	Левият му крак е малко куц.
确保	гарантирам; уверявам се	Моля, уверете се, че вратата е заключена.
确立	установявам	Компанията установи нови цели за развитие.
确切	точен; определен	Не знам точния час.
确信	убеден съм	Убеден съм, че той ще пристигне навреме.
群众	масите; народът	Народът подкрепя новата политика.
染	боядисвам	Тя боядиса косата си черна.
嚷	викам	Не викай силно в коридора.
让步	отстъпка; отстъпвам	И двете страни направиха някои отстъпки.
饶恕	прощавам; прошка	Накрая тя избра да прости на другия човек.
扰乱	смущавам; нарушавам	Шумът наруши реда в класната стая.
惹祸	създавам неприятности	Невнимателните шеги лесно създават неприятности.
热泪盈眶	очи, пълни със сълзи	Като чу добрата новина, очите и се напълниха със сълзи.
热门	популярен	Изкуственият интелект е популярна тема.
人道	хуманност; хуманитарен	Спасителната акция показа хуманен дух.
人格	личност; достойнство	Обиждането на другите накърнява личното достойнство.
人工	изкуствен; ръчен труд	Тази река е изкопана изкуствено.
人家	другите хора	Не се сравнявай постоянно с другите хора.
人间	човешкият свят	Пролетта изпълва човешкия свят с жизненост.
人士	личност; представител	Представители от различни среди участваха в дискусията.
人为	човешки; изкуствен	Тази злополука беше причинена от човешки фактори.
人性	човешка природа	Този филм обсъжда човешката природа.
人质	заложник	Полицията успешно спаси заложника.
仁慈	милостив; добър	Този лекар е много добър към пациентите.
忍耐	търпение; търпя	Чакането на дълга опашка изисква малко търпение.
忍受	понасям	Не мога да понасям шума тук.
任命	назначавам	Управителният съвет я назначи за мениджър.
任性	своенравен	Ако детето е твърде своенравно, това може да повлияе на развитието му.
任意	произволен; произволно	Моля, не променяйте данните произволно.
任重道远	тежка отговорност и дълъг път	Образователната реформа има тежка отговорност и дълъг път.
认定	установявам; определям	Полицията установи, че това е инцидент.
认可	одобрявам; признание	Планът му получи одобрението на всички.
仍旧	все още	Много години по-късно той все още живееше тук.
日新月异	бърз напредък	Технологиите се развиват с бърз напредък всеки ден.
日益	все повече	Проблемите с околната среда стават все по-сериозни.
容貌	външност	Годините промениха външността му.
容纳	побирам; приемам	Тази зала може да побере петстотин души.
容器	съд	Моля, излейте течността в стъклен съд.
容忍	търпя; толерирам	Компанията не може да толерира измами.
溶解	разтварям се	Солта се разтваря във вода.
荣幸	за мен е чест	За мен е чест да участвам в заседанието.
荣誉	чест; слава	Този медал представлява най-високата чест.
融化	топя се	Слънчевата светлина бавно разтопи леда и снега.
融洽	хармоничен	Отношенията между колегите са много хармонични.
揉	разтривам; меся	Мама леко разтри раменете ми.
柔和	мек; нежен	Светлината е мека и не дразни очите.
儒家	конфуцианство	Конфуцианската мисъл повлия на източноазиатската култура.
弱点	слабо място	Невниманието е основното му слабо място.
若干	няколко	На заседанието бяха предложени няколко предложения.
撒谎	лъжа	Децата не трябва да лъжат.
散文	есе; проза	Тя обича да чете съвременна проза.
散布	разпространявам	Някой разпространява слухове в интернет.
散发	излъчвам; раздавам	Градината излъчваше свеж аромат.
丧失	губя	Той не загуби увереност.
骚扰	тормозя; безпокоя	Моля, не тормозете другите пътници.
嫂子	съпруга на по-големия брат	Ястията на съпругата на по-големия ми брат са вкусни.
刹车	спирам с спирачка	Шофьорът внезапно натисна спирачката.
啥	какво	Какво каза току-що?
筛选	филтрирам; подбирам	Системата автоматично ще подбира автобиографиите.
山脉	планинска верига	Тази планинска верига е много дълга.
闪烁	мигам; трептя	Светлините в далечината непрекъснато трептяха.
擅长	добър съм в	Той е добър в решаването на сложни проблеми.
擅自	без разрешение	Служителите не могат да напускат поста си без разрешение.
伤脑筋	труден; главоболен	Този проблем е наистина главоболен.
商标	търговска марка	Компанията регистрира нова търговска марка.
上级	началници; висши органи	Той докладва ситуацията на началниците си.
上进	стремя се към напредък	Тя винаги се стреми към напредък.
上任	встъпвам в длъжност	Новият мениджър ще встъпи в длъжност следващата седмица.
上瘾	пристрастявам се	Много хора се пристрастяват към кратки видеа.
上游	горно течение	Замърсяването идва от горното течение на реката.
尚且	дори	Дори възрастните допускат грешки.
捎	предавам; нося за някого	Моля, предай ми съобщение.
梢	връх на клон	Птицата кацна на върха на дървото.
哨	свирка; пост	На входа има един часови.
奢侈	разточителен; луксозен	Такова потребление е твърде разточително.
舌头	език	Той изгори езика си.
摄氏度	градус по Целзий	Днес температурата е тридесет градуса по Целзий.
涉及	засягам; включвам	Докладът засяга няколко отдела.
社区	общност; квартал	Общността организира здравна лекция.
设立	създавам; учредявам	Училището учреди стипендия.
设想	идея; предполагам	Тази идея все още трябва да се обсъди.
设置	настройвам; поставям	Моля, настройте паролата отново.
呻吟	стена	Пациентът тихо стенеше.
深奥	дълбок; труден за разбиране	Съдържанието на тази книга е много дълбоко.
深沉	дълбок	Гласът му беше нисък и дълбок.
深情厚谊	дълбока дружба	Народите на двете страни изградиха дълбока дружба.
申报	декларирам	Пътниците трябва честно да декларират вещите си.
绅士	джентълмен	Той се държи като джентълмен.
神经	нерв	Стресът може да повлияе на нервната система.
神奇	вълшебен	Пейзажът тук е много вълшебен.
神气	самоуверен вид; оживен	Днес той изглеждаше особено самоуверен.
神圣	свещен	Това е свещен дълг.
神态	изражение; вид	Изражението и беше много спокойно.
神仙	безсмъртен дух	Легендата разказва, че в планината живеят безсмъртни духове.
审查	проверявам; преглеждам	Платформата ще преглежда публикуваното съдържание.
审理	разглеждам дело	Съдът разглежда това дело.
审美	естетически вкус	Неговият естетически вкус е много особен.
审判	съдебен процес; съдя	Откритият съдебен процес привлече вниманието на медиите.
慎重	предпазлив; внимателен	Това решение трябва да бъде взето внимателно.
渗透	прониквам	Дъждовната вода бавно проникна в почвата.
声明	изявление	Компанията публикува официално изявление.
声势	размах; мощен импулс	Тази рекламна кампания има голям размах.
声誉	репутация	Качеството на продукта влияе върху репутацията на марката.
牲畜	добитък	Пастирите върнаха добитъка на пасището.
生存	оцелявам; съществувам	Дивите животни се нуждаят от пространство за оцеляване.
生机	жизненост	Пролетният дъжд изпълва земята с жизненост.
生理	физиология	Сънят влияе върху физиологичното състояние на човека.
生疏	непознат; позабравен	След години без практика свиренето му на пиано е малко позабравено.
生态	екология	Опазването на горите е свързано с екологичния баланс.
生物	организъм; живо същество	В океана има много необичайни организми.
生效	влизам в сила	Новата наредба официално влиза в сила утре.
生肖	китайски зодиакален знак	Какъв е твоят китайски зодиакален знак?
生锈	ръждясвам	Веригата на велосипеда вече е ръждясала.
生育	раждане; плодовитост	Болницата предоставя консултации по плодовитост.
省会	провинциална столица	Чънду отдавна е столица на провинция Съчуан.
盛产	произвеждам в изобилие	Тук се произвежда висококачествен чай в изобилие.
盛开	цъфтя обилно	Черешовите цветове в парка са в пълен цъфтеж.
盛情	топло гостоприемство	Благодарим на домакина за топлото гостоприемство.
盛行	популярен; широко разпространен	Този стил някога беше много популярен.
胜负	победа или загуба; изход	Последната минута на мача реши изхода.
失事	претърпявам катастрофа	Причината за самолетната катастрофа все още се разследва.
失误	грешка	Една малка грешка доведе до забавяне на проекта.
失踪	изчезнал	Полицията търси изчезналото дете.
尸体	труп	Спасителният екип намери тялото на жертвата.
师范	педагогически	Тя завърши педагогически университет.
施加	оказвам	Родителите не трябва да оказват прекомерен натиск.
施展	проявявам; използвам напълно	Най-накрая той получи шанс да прояви таланта си.
十足	пълен; напълно	Той е напълно уверен в резултата.
实惠	изгоден	Цените в този магазин са много изгодни.
实力	сила; възможности	Общата сила на отбора е много голяма.
实施	прилагам	Правителството започна да прилага новия план.
实事求是	търся истината от фактите	При изследванията трябва да се търси истината от фактите.
实行	въвеждам; прилагам	Компанията въведе гъвкава работна система.
实质	същност	Същността на проблема не се е променила.
拾	вдигам	Той се наведе и вдигна ключа от земята.
时常	често	Дядо често разказва за младините си.
时而	от време на време	Времето ту е слънчево, ту е облачно.
时光	време; период	Хубавото време винаги изглежда кратко.
时机	подходящ момент	Сега не е добър момент за преговори.
时事	текущи събития	Учениците всяка седмица обсъждат международни текущи събития.
石油	петрол	Цените на петрола отново се повишиха.
识别	разпознавам	Системата може да разпознава различни лица.
使命	мисия	Опазването на околната среда е обща мисия.
世代	поколение	Този занаят се предава в семейството от поколения.
事故	злополука	При тази злополука няма ранени или загинали.
事迹	дела; подвизи	Неговите героични дела се разпространиха широко.
事件	събитие; инцидент	Този инцидент привлече обществено внимание.
事态	ситуация; развитие	Правителството контролира развитието на ситуацията.
事务	дела; работа	Тя отговаря за ежедневните дела на компанията.
事项	въпрос; точка	Моля, потвърдете важните точки в договора.
事业	дело; кариера	Той приема образованието като дело на целия си живот.
势必	неизбежно	Повишаването на разходите неизбежно ще повлияе на цените.
势力	влияние; сила	Местното бизнес влияние е много силно.
是非	спорове; добро и зло	Той не иска да се въвлича в офис спорове.
示范	демонстрирам; демонстрация	Учителят първо направи демонстрация.
示威	демонстрация; демонстрирам	В центъра на града се проведе мирна демонстрация.
示意	давам знак	Мениджърът даде знак на всички да пазят тишина.
视力	зрение	Продължителното гледане на екран може да повлияе на зрението.
视频	видео	Моля, изпрати ми видеото.
视线	линия на видимост	Гъстата мъгла закри видимостта на шофьора.
视野	кръгозор	Пътуването може да разшири кръгозора.
试图	опитвам се	Той се опита да обясни решението си.
试验	опит; експеримент	Учените проведоха много експерименти.
适宜	подходящ	Климатът тук е подходящ за живеене.
逝世	почивам; умирам	Този писател почина миналата година.
释放	освобождавам	Съдът реши да освободи обвиняемия.
收藏	колекционирам	Той колекционира много стари марки.
收缩	свивам се	Студеният въздух може да накара метала да се свие.
收益	печалба; доход	Доходността от инвестицията беше по-висока от очакваното.
收音机	радио	Баба всеки ден слуша радио.
守护	пазя; защитавам	Лекарите пазят живота на пациентите.
手法	техника; похват	Снимачната техника на режисьора е много особена.
手势	жест	Той използва жест, за да покаже съгласие.
手艺	занаят; умение	Умението на този майстор е много добро.
首饰	бижута	Тя носеше прости сребърни бижута.
首要	най-важен	Безопасността е най-важната задача.
受罪	страдам	Пациентът много страдаше след операцията.
授予	присъждам	Училището му присъди почетна степен.
书法	калиграфия	Той упражнява калиграфия от малък.
书记	секретар	Селският партиен секретар председателства събранието.
书籍	книги	Библиотеката съхранява голямо количество книги.
书面	писмен	Моля, предоставете писмено доказателство.
疏忽	небрежност	Тази грешка произлезе от небрежност в работата.
疏远	отдалечавам се	Недоразумението постепенно отдалечи двамата.
舒畅	спокоен и радостен	След разходката настроението ми беше спокойно и радостно.
数额	сума	Размерът на обезщетението още не е определен.
束	връзка; сноп	Тя купи букет цветя.
束缚	ограничавам	Традиционните представи ограничиха избора му.
树立	изграждам; установявам	Компанията трябва да изгради добър имидж.
竖	изправям; вертикален	Моля, изправете табелата.
耍	играя си с	Не си играй с телефона по време на работа.
衰老	стареене	Упражненията могат да забавят стареенето.
衰退	спад; рецесия	Икономическият спад повлия на заетостта.
率领	водя; предвождам	Капитанът поведе отбора напред.
涮火锅	ям китайски горещ съд	През зимата всички обичат да ядат китайски горещ съд.
双胞胎	близнаци	Те са двойка близнаци.
爽快	откровен; освежен	Тя отговори много откровено.
水利	водно стопанство	Този район отдава значение на строителството за водно стопанство.
水龙头	кран	Кухненският кран тече.
水泥	цимент	Работниците пренесоха цимент до строежа.
瞬间	миг	Светлините изгаснаха всички за един миг.
司法	съдебен	Съдебната независимост изисква институционална гаранция.
司令	командир	Командирът издаде заповед за отстъпление.
思念	липсвам; тъгувам по	Тя често тъгува по родния си край.
思索	размишлявам	Той наведе глава и дълго размишлява.
思维	мислене	Тази тренировка може да подобри логическото мислене.
斯文	изискан; културен	Той говори много изискано и меко.
私自	без разрешение; тайно	Учениците не могат да напускат училището без разрешение.
死亡	смърт	Злополуката причини смъртта на няколко души.
四肢	крайници	Преди упражнения трябва да раздвижиш крайниците.
寺庙	храм	В планината има стар храм.
肆无忌惮	без задръжки	Той без задръжки нарушаваше правилата.
饲养	отглеждам животни	Фермата отглежда много млечни крави.
耸	свивам рамене	След като го чу, той само сви рамене.
艘	брояч за кораби	В пристанището са спрели три товарни кораба.
苏醒	идвам в съзнание	Пациентът най-накрая дойде в съзнание.
俗话	поговорка	Както гласи поговорката, упражнението прави майстора.
塑造	оформям	Средата може да оформи характера на човека.
素食	вегетарианска храна	Този ресторант предлага вегетарианска храна.
素质	качества; подготовка	Обслужващият персонал е с високи качества.
诉讼	съдебен иск	Двете страни решиха да го уредят чрез съдебен иск.
算数	важи; държа на думата си	Трябва да държиш на думите, които си казал.
随即	веднага след това	След края на заседанието той веднага си тръгна.
随意	произволно; както желаеш	Моля, не променяйте настройките произволно.
岁月	години; течение на времето	Изминалите години промениха външността му.
隧道	тунел	Влакът премина през дълъг тунел.
损坏	повреждам	Проливният дъжд повреди пътя.
索取	изисквам; поискам	Клиентите могат безплатно да поискат мостри.
索性	просто; направо	Дъждът беше твърде силен, затова просто не излязохме.
塌	срутвам се	Покривът на старата къща се срути.
踏实	спокоен; реалистичен	След като завърших задачата, се почувствах спокоен.
塔	кула; пагода	В центъра на града има висока кула.
台风	тайфун	Очаква се тайфунът да достигне сушата утре.
