simplified	TL	example_TL
时髦	uso	Usong-uso ang damit na ito.
时期	panahon	Malaki ang naging impluwensiya sa kanya ng panahon niya sa unibersidad.
时尚	moda	Interesado siya sa moda.
石头	bato	May isang bato sa tabi ng daan.
食物	pagkain	Pakilagay ang pagkain sa pridyider.
使劲儿	gumamit ng lakas	Kailangang gumamit ng lakas para buksan ang boteng ito.
始终	palaging; mula simula hanggang wakas	Palagi siyang naniniwalang magtatagumpay siya.
事实	katotohanan	Pinatunayan ng mga katotohanan na tama siya.
事物	bagay	Mausisa ang mga bata sa mga bagong bagay.
事先	maaga; bago pa	Pakisabi sa akin ang oras nang maaga.
似的	parang	Parang pagod na pagod siya at ayaw nang magsalita.
士兵	sundalo	Nagsasanay ang mga sundalo.
市场	pamilihan; merkado	Masigla ang pamilihang ito.
试卷	papel ng pagsusulit	Itinatama ng guro ang mga papel ng pagsusulit.
收获	ani; natamo	Marami akong natamo sa biyaheng ito.
收据	resibo	Pakitago ang resibo pagkatapos magbayad.
手工	gawang-kamay	Gawang-kamay ang regalong ito.
手术	operasyon	Ooperahan siya ng doktor bukas.
手套	guwantes	Magsuot ng guwantes kapag lalabas sa taglamig.
手续	proseso; papeles	Kailangan ng ID para ayusin ang papeles.
手指	daliri	Nasugatan ang daliri niya.
首	piraso; awit	Kumanta siya ng isang awit.
受伤	masugatan	Nasugatan siya sa paligsahan.
寿命	habambuhay; tagal ng gamit	Mahaba ang tagal ng gamit ng ganitong makina.
书架	estante ng libro	Puno ng mga libro ang estante.
梳子	suklay	Sinusuklay niya ang buhok gamit ang suklay.
舒适	komportable	Komportable ang kuwartong ito.
蔬菜	gulay	Mabuti sa katawan ang kumain ng mas maraming gulay.
输入	ilagay; ipasok	Pakipasok ang password sa kompyuter.
熟练	bihasa	Bihasa siyang gumamit ng kompyuter.
属于	kabilang sa; pag-aari ng	Pag-aari ng aklatan ang librong ito.
数	bilangin	Pakibilang kung ilang tao ang naroon.
鼠标	mouse; pangturo ng kompyuter	Sira ang pangturo ng kompyuter ko.
数据	datos	Mahalaga ang mga datos na ito.
数码	digital	Bumili siya ng isang kamerang digital.
摔倒	madapa	Nadapa siya sa daan.
甩	ipagpag; iwasiwas	Ipinagpag niya ang tubig sa kamay niya.
双方	magkabilang panig	Pumayag ang magkabilang panig sa planong ito.
税	buwis	Kailangang magbayad ng buwis kapag bumibili.
说不定	marahil	Marahil uulan ng niyebe bukas.
说服	hikayatin; kumbinsihin	Sa wakas, nakumbinsi niya ang mga magulang niya.
丝绸	seda	Gawa sa seda ang bandanang ito.
丝毫	kaunti man	Hindi niya binago ang isip niya kahit kaunti.
思考	pag-isipan	Pag-isipan nang mabuti ang problemang ito.
思想	kaisipan	Bukas ang kaisipan niya.
撕	punitin	Huwag punitin ang papel na ito.
私人	pribado	Pribadong espasyo ko ito.
似乎	tila; parang	Parang hindi siya gaanong masaya.
搜索	maghanap	Naghanap ako ng mga materyales sa internet.
宿舍	dormitoryo	Nakatira ang mga estudyante sa dormitoryo ng paaralan.
随身	dala-dala	Pakidala lagi ang pasaporte mo.
随时	kahit kailan	Maaari mo akong tawagan kahit kailan.
随手	kasabay; habang paalis	Pakisara ang pinto pag-alis mo.
碎	basag	Nahulog ang tasa sa lupa at nabasag.
损失	pagkalugi; pinsala	Nagdulot ng malaking pagkalugi ang aksidenteng ito.
缩短	paikliin	Pinaikli ng bagong ruta ang biyahe.
所	paaralan; pantukoy sa gusali	Sikat ang paaralang ito.
锁	ikandado	Pakikandado ang pinto bago lumabas.
台阶	hagdan; baitang	Dahan-dahang umakyat sa baitang ang matanda.
太极拳	Taijiquan; tai chi	May mga taong nagsasanay ng tai chi sa parke.
太太	Gng.; asawa	Nagluluto si Gng. Wang.
谈判	makipagnegosasyon; usapan	Nakikipagnegosasyon ang magkabilang panig.
坦率	tapat; prangka	Prangka niyang sinabi ang iniisip niya.
烫	mainit; nakakapaso	Napakainit ng tasang tsaa na ito.
桃	melokoton	Maraming melokoton ang namunga sa puno.
淘气	makulit	Medyo makulit ang batang ito.
逃	tumakas	Tumakas ang tuta mula sa bakuran.
逃避	iwasan	Huwag iwasan ang pananagutan.
讨价还价	tumawad	Mahilig siyang tumawad kapag namimili.
套	kompleto; set	Bumili siya ng bagong set ng damit.
特色	tampok na katangian	May lokal na katangian ang restawrang ito.
特殊	espesyal	Espesyal ang araw na ito.
特征	katangian	May malinaw na katangian ang hayop na ito.
疼爱	mahalin nang lubos	Mahal na mahal ng mga lolo't lola ang bata.
提倡	itaguyod	Itinataguyod ng paaralan ang pagtitipid sa tubig.
提纲	balangkas	Gumawa muna ng balangkas bago sumulat ng artikulo.
提问	magtanong	Maaaring magtanong ang mga estudyante kahit kailan.
题目	tanong; paksa	Hindi masyadong mahirap ang tanong na ito.
体会	maunawaan mula sa karanasan; pagkaunawa	Sa paglalakbay, nagkaroon ako ng bagong pagkaunawa.
体贴	mapagmalasakit	Mapagmalasakit siya sa pamilya niya.
体现	ipakita; sumalamin	Ipinakita ng bagay na ito ang diwa ng grupo.
体验	makaranas	Gusto kong maranasan ang lokal na buhay.
天空	langit	Napakaasul ng langit ngayon.
天真	inosente; walang malisya	Inosente ang iniisip ng bata.
调皮	makulit	Makulit ang pusang iyon.
调整	ayusin; baguhin	Kailangan nating ayusin ang plano.
挑战	hamon	Isang malaking hamon ito.
通常	karaniwan	Karaniwan siyang bumabangon nang alas siyete.
统一	pag-isahin	Kailangang pag-isahin ang opinyon ng lahat.
痛苦	sakit; pagdurusa	Nagdulot sa kanya ng matinding lungkot ang pagkawala ng kaibigan.
痛快	masaya; lubos ang saya	Napakasiya ng laro namin ngayon.
偷	magnakaw	Huwag magnakaw ng gamit ng iba.
投入	magtuon; mamuhunan	Nagtrabaho siya nang buong tuon.
投资	mamuhunan	Namuhunan sila sa isang bagong proyekto.
透明	aninag; malinaw	Aninag ang tasang ito.
突出	namumukod-tangi	Namumukod-tangi ang mga kalakasan niya.
土地	lupa	Mataba ang lupang ito.
土豆	patatas	Bumili ako ng ilang patatas.
兔子	kuneho	Nag-aalaga ng kuneho ang bata.
吐	sumuka	Masama ang pakiramdam niya at gusto niyang sumuka.
团	grupo; pangkat	Sumali kami sa isang grupo sa paglilibot.
推辞	tanggihan	Tinanggihan niya ang imbitasyon ng kaibigan.
推广	isulong; ipalaganap	Isinusulong ng kumpanya ang bagong produkto.
推荐	irekomenda	Inirekomenda ng guro ang librong ito.
退	umatras	Umatras ka ng isang hakbang.
退步	umatras; bumaba ang antas	Kung hindi ka magsasanay, bababa ang antas mo.
退休	magretiro	Magre-retiro siya sa susunod na taon.
歪	tabingi; baluktot	Tabingi ang pagkakasabit ng kuwadro na ito.
外公	lolo sa ina	Otsenta taong gulang na ang lolo ko sa ina ngayong taon.
外交	diplomasya; ugnayang panlabas	Pinag-aaralan niya ang ugnayang pandaigdig at diplomasya.
完美	perpekto	Hindi perpekto ang planong ito.
完善	pagbutihin; gawing mas maayos	Kailangan nating pagbutihin ang proseso ng serbisyo.
完整	buo	Pakibigyan ako ng isang buong ulat.
玩具	laruan	Inilagay ng bata ang mga laruan sa kahon.
万一	sakaling	Sakaling umulan, sa ibang araw na tayo pupunta.
王子	prinsipe	Matapang ang prinsipe sa kuwento.
往返	balikang biyahe	Maaaring gamitin ang tiket na ito para sa balikang biyahe sa parehong araw.
网络	internet; network	Matatag ang koneksiyon dito.
危害	makapinsala	Makapipinsala sa kalusugan ang paninigarilyo.
威胁	magbanta; banta	Nagbabantang sirain ng polusyon ang ilog.
微笑	ngiti	Ngumiti siya sa akin.
唯一	nag-iisa; tanging	Ito ang tanging paraan.
围巾	bandana; pambalot sa leeg	Nakasuot siya ng bandana sa taglamig.
围绕	umiikot sa; nakasentro sa	Umiikot ang talakayan sa problemang ito.
维修	ayusin; kumpunihin	Inaayos ang asensor.
违反	lumabag	Lumalabag sa patakaran ang paggawa nito.
伟大	dakila; napakahalaga	Isang dakilang tuklas ito.
委屈	masaktan ang loob; maapi	Pakiramdam niya ay naapi siya.
尾巴	buntot	Ikinakawag ng tuta ang buntot nito.
位于	matatagpuan sa	Matatagpuan ang paaralan sa sentro ng lungsod.
位置	lugar; posisyon	Tahimik ang lugar na ito.
未必	hindi tiyak na	Hindi tiyak na totoo ang sinabi niya.
未来	hinaharap	Kailangan nating maghanda para sa hinaharap.
胃	tiyan	Medyo masama ang pakiramdam ng tiyan ko.
胃口	gana	Maganda ang gana niya ngayon.
温暖	mainit; maalinsangan	Mainit ang sikat ng araw sa tagsibol.
温柔	malambing; banayad	Banayad siyang magsalita.
文件	dokumento	Pakipadala sa akin ang dokumento.
文具	kagamitang pansulat	Maraming kagamitang pansulat sa bag.
文明	sibilisado; kabihasnan	Isang sibilisadong asal ang pagpila.
文学	panitikan	Mahilig siya sa panitikang Tsino.
文字	sulat; mga karakter	Mahirap basahin ang mga karakter na ito.
闻	maamoy; marinig	Naamoy ko ang halimuyak ng bulaklak.
吻	halik; halikan	Hinalikan ng ina ang pisngi ng bata.
稳定	matibay; matatag	Nananatiling matatag ang presyo.
问候	mangumusta	Pakikumusta ako sa pamilya mo.
卧室	kuwarto; silid-tulugan	May malaking kama sa silid-tulugan.
握手	makipagkamay	Nagkamayan sila nang magkita.
屋子	kuwarto	Mainit sa loob ng kuwarto.
无奈	walang magawa; napilitan	Wala siyang magawa kundi umiling.
无数	di-mabilang	May di-mabilang na bituin sa langit sa gabi.
无所谓	hindi mahalaga	Hindi mahalaga kung ano ang gusto mong kainin.
武术	sining pandigma	Nag-aaral siya ng sining pandigma mula pagkabata.
勿	huwag	Huwag manigarilyo rito.
物理	pisika	Interesante ang klase sa pisika.
物质	sangkap; materyal	Mahalagang sangkap ang tubig.
雾	hamog; ulap sa lupa	Makapal ang hamog noong umaga.
吸取	matuto mula; kunin	Dapat tayong matuto mula sa aral na ito.
吸收	sumipsip; tumanggap	Sumisipsip ng tubig ang mga halaman.
戏剧	dula; teatro	Mahilig siyang manood ng tradisyonal na dula.
系	kagawaran; ugnayan	Nag-aaral siya sa kagawaran ng wikang Tsino.
系统	sistema	Matatag na tumatakbo ang sistemang ito.
细节	detalye	Pakipansin ang mga detalyeng ito.
瞎	basta-basta; bulag	Huwag basta manghula; tingnan muna ang mga materyales.
下载	i-download; kunin mula sa internet	Na-download ko ang programang ito.
吓	takutin	Nagulat ako sa biglaang tunog.
夏令营	kampo sa tag-init	Sumali ang bata sa kampo sa wikang Tsino sa tag-init.
鲜艳	matingkad	Matingkad ang kulay ng paldang ito.
显得	magmukhang; lumitaw	Pinagmumukha siyang bata ng damit na ito.
显然	malinaw na	Malinaw na alam na niya ang resulta.
显示	ipakita	Mali ang oras na ipinapakita sa iskrin.
县	distrito	Maraming taniman ng tsaa sa distritong ito.
现代	makabago; modernong panahon	Hindi maihihiwalay ang internet sa makabagong buhay.
现实	realidad	Dapat nating harapin ang realidad.
现象	penomenon; pangyayari	Karaniwan ang ganitong pangyayari.
限制	limitahan; paghigpitan	Pinaghihigpitan dito ang pagpasok ng sasakyan.
相处	makisama	Maganda ang pakikisama nila.
相当	medyo; lubos	Medyo interesante ang librong ito.
相对	medyo; kaugnay	Medyo mura ang presyo rito.
相关	kaugnay	Pakibigay ang kaugnay na materyales.
相似	magkatulad; kahawig	Magkatulad ang kahulugan ng dalawang karakter na ito.
香肠	longganisa	May itlog at longganisa sa almusal.
享受	masiyahan; tamasahin	Tinatamasa nila ang bakasyon.
想念	mangulila; ma-miss	Nangungulila ako nang husto sa pamilya ko.
想象	isipin; gunigunihin	Hindi ko maisip ang ganoong buhay.
象棋	ahedres Tsino	Mahilig maglaro ng ahedres Tsino ang lolo.
象征	sumagisag	Madalas sumagisag sa kadalisayan ang puti.
项	bagay; paksa	Mahalaga ang gawaing ito.
项链	kuwintas	Nakasuot siya ng pilak na kuwintas.
项目	proyekto	Kailangan ng tatlong buwan ang proyektong ito.
消费	gumastos; konsumo	Tumaas ang paggastos sa panahon ng pista.
消化	tunawin; pantunaw	Nakakatulong sa pagtunaw ng pagkain ang paglalakad pagkatapos kumain.
消极	negatibo	Huwag tingnan ang problema nang negatibo.
消失	mawala	Dahan-dahang nawala ang araw sa likod ng bundok.
销售	magbenta; benta	Nagbebenta ng elektronikong produkto ang kumpanyang ito.
小麦	trigo	Maraming trigo ang itinatanim sa hilaga.
小气	maramot	Huwag kang maging ganyang karamot.
孝顺	magalang at mapagmahal sa magulang	Mapagmahal siya sa kaniyang mga magulang.
效率	kahusayan	Mapapataas ng ganitong paraan ang kahusayan.
歇	magpahinga	Magpahinga muna tayo sandali.
斜	pahilis	Medyo pahilis ang daang ito.
写作	pagsulat	Kailangan ng mahabang pagsasanay ang pagsulat.
心理	sikolohikal; isip	Kailangang ayusin ang kalagayan ng isip bago ang pagsusulit.
心脏	puso	Napakahalaga ng kalusugan ng puso.
欣赏	humanga; pahalagahan	Hinangaan namin ang magandang tanawin.
信号	senyas	Mahina ang senyas ng telepono rito.
信任	tiwala	Kailangan ng tiwala sa pagitan ng magkaibigan.
形成	mabuo	Kailangang unti-unting mabuo ang mabubuting gawi.
形容	ilarawan	Hindi ko alam kung paano ilalarawan ang damdaming ito.
形势	kalagayan; sitwasyon	Medyo komplikado ang kasalukuyang kalagayan.
形式	anyo; paraan	Maaaring idaos sa internet ang pulong.
形象	imahe	Maganda ang pampublikong imahe niya.
形状	hugis	Espesyal ang hugis ng kahong ito.
行动	kumilos; aksiyon	Kailangan nating kumilos agad.
行人	naglalakad; taong tumatawid	Mag-ingat sa mga naglalakad kapag tumatawid ng kalsada.
行为	asal; kilos	Hindi magalang ang ganitong asal.
幸亏	mabuti na lang	Mabuti na lang at pinaalalahanan mo ako.
幸运	masuwerte; suwerte	Masuwerte siyang nakahanap ng trabaho.
性质	kalikasan; katangian	Seryoso ang katangian ng problemang ito.
兄弟	magkapatid na lalaki; magkapatid	Maganda ang relasyon ng magkapatid na lalaki.
胸	dibdib	Medyo masikip ang pakiramdam niya sa dibdib.
休闲	pahinga; paglilibang	Magandang oras para magpahinga ang katapusan ng linggo.
修改	baguhin; rebisahin	Pakirebisa ang artikulong ito.
虚心	mapagpakumbaba; bukas ang isip	Dapat tayong makinig sa opinyon nang bukas ang isip.
叙述	ikuwento; isalaysay	Malinaw niyang isinalaysay ang nangyari.
宣布	ipahayag	Ipinahayag ng paaralan ang bagong patakaran.
宣传	ipalaganap; itaguyod	Ipinapalaganap nila ang kaalaman tungkol sa pangangalaga sa kapaligiran.
学历	antas ng edukasyon	Kailangan sa trabahong ito ang antas na kolehiyo.
学术	akademiko; pang-akademiko	Tinalakay sa pulong na ito ang mga usaping pang-akademiko.
学问	karunungan; kaalaman	Marami siyang karunungan.
血	dugo	Kaunting dugo ang lumabas sa kamay niya.
寻找	maghanap	Naghahanap kami ng bagong paraan.
询问	magtanong	Nagtanong siya sa guro tungkol sa oras ng pagsusulit.
训练	pagsasanay; magsanay	Araw-araw nagsasanay ang atleta.
迅速	mabilis	Mabilis kumalat ang balita.
押金	deposito	Kailangang magbayad ng deposito kapag umuupa ng bahay.
牙齿	ngipin	Alagaan mong mabuti ang ngipin araw-araw.
严肃	seryoso	Seryoso ang ekspresyon ng guro.
延长	pahabain; madagdagan	Nadagdagan ng kalahating oras ang pulong.
演讲	talumpati	Inihahanda niya ang talumpati para bukas.
宴会	handaan; piging	Dumalo sila sa isang handaan.
阳台	balkonahe	May ilang paso ng bulaklak sa balkonahe.
痒	makati	Medyo makati ang braso ko.
样式	estilo; anyo	Sikat ang ganitong estilo.
腰	baywang; ibabang likod	Maaaring sumakit ang baywang kapag matagal na nakaupo.
摇	uyugin; alugin	Inuuga ng hangin ang mga sanga.
咬	kumagat	Hindi nangangagat ng tao ang asong ito.
要不	kung hindi; kaya kaya	Kaya kaya bukas na lang tayo pumunta?
业务	negosyo; gawain	Dumarami nang dumarami ang gawain ng kumpanya.
业余	libreng oras; hindi propesyonal	Nag-aaral siya ng potograpiya sa libreng oras.
夜	gabi	Tahimik ang kalye sa gabi.
依然	pa rin	Nakatira pa rin siya sa Beijing.
一辈子	buong buhay	Buong buhay niyang minahal ang musika.
一旦	kapag; minsan na	Kapag nakapagdesisyon na, dapat magpatuloy.
一律	lahat; pare-pareho	Kailangang patayin ang lahat ng telepono habang nagpupulong.
一再	paulit-ulit	Paulit-ulit niya kaming pinaalalahanang mag-ingat.
一致	nagkakaisa; pareho	Ganap na nagkakaisa ang opinyon ng lahat.
疑问	tanong; pagdududa	May tanong ako tungkol sa sagot na ito.
移动	ilipat	Pakiusog nang kaunti ang mesa.
移民	mangibang-bansa; lumipat ng bansa	Plano nilang mangibang-bansa.
遗憾	panghihinayang; magsisi	Nanghihinayang akong hindi kita nakita.
乙	Panig B	Sa kontrata, Panig B ang responsable sa pagbabayad.
以及	pati; at	Bumili ako ng mga libro pati kagamitang pansulat.
以来	mula nang	Mula nang magtapos, palagi siyang nagtatrabaho sa Beijing.
义务	tungkulin	Tungkulin ng bawat tao ang protektahan ang kapaligiran.
亿	bilyon; sandaang milyon	Higit sa isang bilyon ang populasyon ng bansang ito.
意外	di-inaasahan; aksidente	Ganap na di-inaasahan ang pagkahuli ngayon.
意义	kahulugan; kabuluhan	May malaking kabuluhan ang gawaing ito.
议论	pag-usapan; talakayin	Pinag-uusapan ng lahat ang bagay na ito.
因而	kaya; dahil dito	Masipag siyang nag-aaral, kaya maganda ang marka niya.
因素	salik	Mahalagang salik ang panahon.
银	pilak	Nakasuot siya ng pilak na pulseras.
印刷	imprenta; paglimbag	Malinaw ang pagkakalimbag ng aklat na ito.
英俊	gwapo	Gwapo siya.
英雄	bayani	Tunay na bayani ang mga bumbero.
营养	nutrisyon	Dapat may sapat na nutrisyon ang almusal.
营业	magbukas; magnegosyo	Nagbubukas ang tindahang ito nang alas nuwebe.
迎接	salubungin	Pumunta kami sa paliparan para salubungin ang mga bisita.
影子	anino	Nasa ilalim ng ilaw sa kalye ang anino niya.
应付	harapin; kayanin	Kaya niyang harapin ang problemang ito.
应用	gamitin; ilapat	Maaaring ilapat ang paraang ito sa pagtuturo.
硬	matigas	Masyadong matigas ang silyang ito.
硬件	pisikal na kagamitan ng kompyuter	Maganda ang pisikal na kagamitan ng kompyuter na ito.
拥抱	yakapin	Tumakbo ang bata para yakapin ang nanay.
拥挤	siksikan	Siksikan ang subway sa oras ng dagsa sa umaga.
勇气	tapang	May tapang siyang aminin ang pagkakamali.
用功	masipag mag-aral	Masipag siyang mag-aral.
用途	gamit	Maraming gamit ang materyal na ito.
优惠	diskuwento	May diskuwento ang tindahang ito ngayon.
优美	maganda; elegante	Maganda ang kapaligiran dito.
优势	kalamangan	Kalamangan niya ang maraming karanasan.
悠久	mahaba; matagal	May mahabang kasaysayan ang Tsina.
油炸	pinirito	Bihira akong kumain ng pagkaing pinirito.
游览	mamasyal; libutin	Bukas lilibutin namin ang Ipinagbabawal na Lungsod.
犹豫	mag-atubili	Nag-atubili siya sandali bago sumagot.
有利	makabubuti; paborable	Makabubuti sa atin ang kondisyong ito.
幼儿园	paaralan ng maliliit na bata	Papasok sa paaralan ng maliliit na bata ang bata sa susunod na taon.
娱乐	libangan	Isang uri ng libangan ang panonood ng pelikula.
与其	kaysa	Sa halip na magreklamo, mas mabuting kumilos.
语气	tono; paraan ng pagsasalita	Banayad ang tono ng pagsasalita niya.
玉米	mais	May sopas na mais sa hapunan.
预报	taya	Sabi ng taya ng panahon, uulan bukas.
预订	magpa-book; magpareserba	Nakapagpareserba na ako ng hotel.
预防	iwasan; pigilan	Maaaring makaiwas sa sipon sa madalas na paghuhugas ng kamay.
元旦	Araw ng Bagong Taon	Wala kaming pasok ng isang araw sa Araw ng Bagong Taon.
原料	hilaw na materyal	Pangunahing hilaw na materyal ng tinapay ang harina.
原则	prinsipyo	Dapat may prinsipyo ang tao.
员工	empleyado	May tatlong daang empleyado ang kumpanya.
圆	bilog	Malaki at bilog ang buwan.
愿望	hangarin; nais	Hangarin niyang maglakbay sa buong mundo.
乐器	instrumentong pangmusika	Marunong siyang tumugtog ng ilang instrumentong pangmusika.
晕	hilo	Medyo nahihilo ako kapag sumasakay ng bangka.
运气	suwerte	Maganda ang suwerte ko ngayon.
运输	transportasyon	Kailangan ng mga kalakal na ito ng transportasyong riles.
运用	gamitin	Pakigamit nang malikhain ang mga salitang ito.
灾害	sakuna	Isang uri ng likas na sakuna ang baha.
再三	paulit-ulit	Paulit-ulit kaming pinaalalahanan ng guro na magbalik-aral.
在乎	pahalagahan; alintanahin	Mahalaga sa kanya ang opinyon ng mga kaibigan.
在于	nasa	Nasa pagpupursige ang tagumpay.
赞成	sang-ayunan	Sang-ayon ako sa mungkahi mo.
赞美	purihin	Pinuri ng lahat ang tapang niya.
糟糕	masama; palpak	Napakasama ng panahon ngayon.
造成	magdulot	Nagdulot ng pagsisikip ng trapiko ang malakas na ulan.
则	kung gayon; ay	Kung magsisikap, magkakaroon ng pag-unlad.
责备	sisihin; punahin	Hindi siya sinisi ng guro.
摘	pitasin	Pumitas siya ng isang bulaklak sa hardin.
窄	makitid	Masyadong makitid ang daang ito.
粘贴	idikit	Pakidikit ang litrato rito.
展开	magsimula; ilunsad	Mabilis na nagsimula ang talakayan.
展览	eksibisyon; ipakita	May bagong eksibisyon sa museo.
占	umokupa; kumain ng espasyo	Kumakain ng espasyo ang mesang ito.
战争	digmaan	Nagdudulot ng pagdurusa sa mga tao ang digmaan.
掌握	makabisado; hawakan	Nakabisado na niya ang batayang gramatika.
涨	tumaas	Tumaas na naman kamakailan ang upa.
长辈	nakatatanda	Dapat kumustahin ang nakatatanda sa Bagong Taon.
账户	kuwenta; account	Pakisuri ang kuwenta mo sa bangko.
招待	tumanggap; mag-asikaso	Mainit na tinanggap ng may-ari ang mga bisita.
着火	masunog	Biglang nasunog ang kusina.
着凉	malamigan; sipunin	Malamig na, huwag kang magkasipon.
召开	idaos	Idaraos ng paaralan ang pulong bukas.
照常	gaya ng dati	Bukas gaya ng dati ang tindahan bukas.
哲学	pilosopiya	Pilosopiya ang pinag-aralan niya sa unibersidad.
珍惜	pahalagahan	Dapat nating pahalagahan ang oras.
真实	totoo	Totoo ang kuwentong ito.
针对	nakatuon sa	Nakatuon sa mga bagong estudyante ang mungkahing ito.
诊断	pagsusuri	Mabilis na nagbigay ng pagsusuri ang doktor.
振动	manginig	Nanginginig ang telepono sa mesa.
阵	saglit; bugso	Umulan nang saglit sa labas.
争论	magtalo; pagtalunan	Matagal silang nagtalo tungkol sa problemang ito.
争取	pagsikapan; ipaglaban	Dapat nating pagsikapan na makakuha ng mas maraming pagkakataon.
征求	hingin; humingi ng opinyon	Hiningi ng guro ang opinyon ng lahat.
挣	makawala; kumita	Nakawala ang maliit na ibon mula sa lubid.
睁	imulat	Pakiimulat nang mas malaki ang mga mata mo.
整个	buo	Tahimik ang buong lungsod.
整齐	maayos; malinis ang ayos	Maayos ang pagkakalagay ng mga libro.
整体	kabuuan	Kailangan nating isaalang-alang ang kabuuang epekto.
政府	pamahalaan	Naglabas ang pamahalaan ng bagong abiso.
政治	pulitika	Interesado siya sa pulitika.
正	tama	Tama ang sagot na ito.
证件	dokumento ng pagkakakilanlan	Pakipakita ang dokumento ng pagkakakilanlan mo.
证据	ebidensiya	Nakahanap ang pulis ng bagong ebidensiya.
支	pantukoy sa panulat	May isang panulat sa mesa.
支票	tseke	Nagbayad siya gamit ang tseke.
执照	lisensya	Kailangan ng lisensya sa pagmamaneho.
直	tuwid; direkta	Dumiretso ka sa daang ito.
指导	gabayan	Ginabayan kami ng guro sa pagsulat ng tesis.
指挥	pamunuan; utusan	Siya ang responsable sa pamumuno ng kilos na ito.
制定	bumuo; magtakda	Bumuo ang kumpanya ng bagong plano.
制度	sistema; patakaran	May mahigpit na sistema ang paaralan.
制造	gumawa; magmanupaktura	Gumagawa ng makina ang pabrikang ito.
制作	gumawa	Gumagawa siya ng cake para sa kaarawan.
志愿者	boluntaryo	Maraming boluntaryo ang sumali sa gawain.
智慧	karunungan	May malaking karunungan ang matandang ito.
治疗	gamutin	Ginagamot ng doktor ang pasyente.
秩序	kaayusan	Panatilihin po ng lahat ang kaayusan.
至今	hanggang ngayon	Hanggang ngayon, hindi pa nalulutas ang problemang ito.
至于	tungkol naman sa	Tungkol naman sa gastos, bukas natin pag-uusapan.
中介	ahensiya; tagapamagitan	Nakaupa siya ng bahay sa pamamagitan ng ahensiya.
中心	sentro	Nasa sentro ng lungsod ang ospital.
中旬	kalagitnaan ng buwan	Nakaayos ang pulong sa kalagitnaan ng Mayo.
种类	uri	Maraming uri ng prutas dito.
重大	mahalaga; malaki	Isang mahalagang desisyon ito.
重量	timbang	Ano ang timbang ng kahong ito?
周到	maalaga; mapag-isip	Napakaalaga ng serbisyo niya.
猪	baboy	Maraming baboy ang inaalagaan sa bukid.
竹子	kawayan	Mahilig kumain ng kawayan ang panda.
逐步	unti-unti; hakbang-hakbang	Unti-unting ipatutupad ang plano.
逐渐	unti-unti	Unti-unting lumamig ang panahon.
主持	mamuno; magtanghal	Siya ang mamumuno sa pulong ngayon.
主动	kusang-loob; aktibo	Kusang-loob niyang tinulungan ang kaklase.
主观	subhetibo	Medyo subhetibo ang pagtatasang ito.
主人	may-ari; tagatanggap	Mainit kaming sinalubong ng may-ari.
主任	direktor; pinuno	Nasa opisina ang direktor.
主题	paksa	Pangangalaga sa kapaligiran ang paksa ng talakayan ngayon.
主席	tagapangulo	Inihayag ng tagapangulo ang pagsisimula ng pulong.
主张	ipanukala; panindigan	Iminumungkahi niyang unahin ang paglutas ng problema sa trapiko.
煮	magluto; pakuluan	Nagluluto si Mama ng pansit.
注册	magrehistro	Kailangang magrehistro muna ang bagong gumagamit.
祝福	basbas; pagbati	Nagpadala ng pagbati ang mga kaibigan.
抓	humawak; manghuli	Hinawakan ng bata ang kamay ng nanay.
抓紧	sulitin; bilisan	Kailangan nating sulitin ang oras.
专家	dalubhasa	Nagbigay ng mungkahi ang dalubhasa.
专心	magpokus; tumutok	Dapat makinig nang mabuti sa klase.
转变	pagbabago	Nagbago ang saloobin niya.
转告	iparating	Pakiiparating sa kanya na may pulong bukas.
装	ilagay; magkunwari	Pakilagay ang mga libro sa bag.
装饰	palamutian	Pinalamutian nila ang kuwarto ng mga bulaklak.
装修	ayusin; renovasyon	Inaayos ang bagong bahay.
撞	bumangga	Nagbanggaan ang dalawang kotse sa kanto.
状况	kalagayan	Medyo matatag ang kasalukuyang kalagayan.
状态	kondisyon; kalagayan	Maganda ang kondisyon niya ngayon.
追	habulin	Hinahabol ng bata ang tuta mula sa likod.
追求	habulin; pagsikapan	Palagi niyang pinagsisikapan ang kaniyang pangarap.
咨询	kumonsulta	Maaari kang kumonsulta sa espesyalistang doktor.
姿势	tindig; postura	Panatilihin ang tamang postura.
资格	kwalipikasyon	Kwalipikado siyang sumali sa paligsahan.
资金	pondo	Kailangan ng proyekto ng mas maraming pondo.
资料	materyales	Pakipadala sa akin ang mga materyales.
资源	yaman	Mahalagang likas na yaman ang tubig.
紫	lila	Gusto niya ang kulay lila.
字母	titik	May dalawampu't anim na titik ang Ingles.
字幕	subtitle	May subtitle sa wikang Tsino ang pelikulang ito.
自从	mula nang	Mula nang magtapos, bihira na siyang bumalik.
自动	awtomatiko	Awtomatikong bumubukas ang pintong ito.
自豪	ipagmalaki	Ipinagmamalaki ko ang pag-unlad ko.
自觉	kusang-loob	Kusang-loob niyang tinapos ang takdang-aralin.
自私	makasarili	Hindi dapat masyadong makasarili ang tao.
自由	kalayaan	Pinapahalagahan ng bawat tao ang kalayaan.
自愿	kusang-loob	Kusang-loob silang sumali sa gawain.
综合	komprehensibo; pagsamahin	Kailangan nating komprehensibong isaalang-alang ang iba't ibang salik.
