hsk_key	source_word	simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
911:休假	休假	休假	brać urlop	W przyszłym miesiącu ona bierze urlop.	vakantie nemen; verlof nemen	Zij neemt volgende maand vakantie.	ta semester; vara ledig	Hon tar semester nästa månad.	ta ferie; ta permisjon	Hun tar ferie neste måned.	holde ferie; tage fri	Hun holder ferie i næste måned.	ottaa lomaa	Hän jää lomalle ensi kuussa.
913:选	选	选	wybierać	Proszę, wybierz jedną odpowiedź.	kiezen	Kies een antwoord, alsjeblieft.	välja	Välj ett svar, är du snäll.	velge	Vær så snill å velge ett svar.	vælge	Vælg venligst et svar.	valita	Valitse yksi vastaus, ole hyvä.
916:牙	牙	牙	ząb	Trochę boli mnie ząb.	tand	Mijn tand doet een beetje pijn.	tand	Min tand gör lite ont.	tann	Tannen min gjør litt vondt.	tand	Min tand gør lidt ondt.	hammas	Hammastani särkee vähän.
917:牙刷	牙刷	牙刷	szczoteczka do zębów	Kupiłem nową szczoteczkę do zębów.	tandenborstel	Ik heb een nieuwe tandenborstel gekocht.	tandborste	Jag köpte en ny tandborste.	tannbørste	Jeg kjøpte en ny tannbørste.	tandbørste	Jeg købte en ny tandbørste.	hammasharja	Ostin uuden hammasharjan.
918:羊	羊	羊	owca; koza	Na górze jest kilka owiec.	schaap; geit	Er lopen een paar schapen op de berg.	får; get	Det finns några får på berget.	sau; geit	Det er noen sauer på fjellet.	får; ged	Der er nogle får på bjerget.	lammas; vuohi	Vuorella on muutama lammas.
919:养	养	养	hodować; trzymać	U niego w domu trzymają kota.	houden; grootbrengen	Zijn familie houdt een kat.	föda upp; hålla	Hans familj har en katt.	oppdra; holde	Familien hans har en katt.	opdrætte; holde	Hans familie har en kat.	kasvattaa; pitää	Hänen perheellään on kissa.
924:一块儿	一块儿	一块儿	razem	Chodźmy razem coś zjeść.	samen	Laten we samen gaan eten.	tillsammans	Vi går och äter tillsammans.	sammen	La oss gå og spise sammen.	sammen	Lad os gå ud og spise sammen.	yhdessä	Mennään yhdessä syömään.
926:以后	以后	以后	potem; po	Po lekcji wracam do domu.	na; later	Na de les ga ik naar huis.	efter; senare	Efter lektionen går jag hem.	etter; senere	Etter timen går jeg hjem.	efter; senere	Efter timen går jeg hjem.	jälkeen; myöhemmin	Menen kotiin tunnin jälkeen.
928:以上	以上	以上	powyżej; więcej niż	Osoby powyżej osiemnastu lat mogą kupić bilet.	boven; meer dan	Mensen boven de achttien kunnen kaartjes kopen.	över; mer än	Personer över arton kan köpa biljetter.	over; mer enn	Personer over atten kan kjøpe billetter.	over; mere end	Personer over atten kan købe billetter.	yli; enemmän kuin	Yli kahdeksantoistavuotiaat voivat ostaa lippuja.
929:以外	以外	以外	poza; oprócz	Poza klasą jest bardzo cicho.	buiten; behalve	Buiten het klaslokaal is het erg stil.	utanför; förutom	Det är mycket tyst utanför klassrummet.	utenfor; bortsett fra	Det er veldig stille utenfor klasserommet.	udenfor; bortset fra	Der er meget stille uden for klasseværelset.	ulkopuolella; paitsi	Luokan ulkopuolella on hyvin hiljaista.
931:以下	以下	以下	poniżej; następujący	Proszę, uważnie przeczytaj poniższą treść.	hieronder; het volgende	Lees de volgende inhoud zorgvuldig, alsjeblieft.	nedan; följande	Läs följande innehåll noggrant.	nedenfor; følgende	Vennligst les innholdet nedenfor nøye.	nedenfor; følgende	Læs venligst følgende indhold grundigt.	alla; seuraava	Lue seuraava sisältö huolellisesti.
937:银行卡	银行卡	银行卡	karta bankowa	Nie mogę znaleźć swojej karty bankowej.	bankpas; bankkaart	Ik kan mijn bankpas niet vinden.	bankkort	Jag kan inte hitta mitt bankkort.	bankkort	Jeg finner ikke bankkortet mitt.	bankkort	Jeg kan ikke finde mit bankkort.	pankkikortti	En löydä pankkikorttiani.
942:邮件	邮件	邮件	e-mail; poczta elektroniczna	Wysłałem e-mail.	e-mail; post	Ik heb een e-mail gestuurd.	e-post; mejl	Jag skickade ett mejl.	e-post; mail	Jeg sendte en e-post.	e-mail; post	Jeg sendte en e-mail.	sähköposti; viesti	Lähetin sähköpostin.
943:游客	游客	游客	turysta; odwiedzający	Codziennie jest tu wielu turystów.	toerist; bezoeker	Er zijn hier elke dag veel toeristen.	turist; besökare	Det finns många turister här varje dag.	turist; besøkende	Det er mange turister her hver dag.	turist; besøgende	Der er mange turister her hver dag.	turisti; vierailija	Täällä on joka päivä paljon turisteja.
945:邮箱	邮箱	邮箱	skrzynka e-mail; skrzynka pocztowa	Proszę, wyślij plik na moją skrzynkę e-mail.	e-mailbox; postvak	Stuur het bestand naar mijn e-mailbox, alsjeblieft.	e-postlåda; brevlåda	Skicka filen till min e-postlåda.	e-postkasse; postkasse	Send filen til e-postkassen min, vær så snill.	e-mailindbakke; postkasse	Send venligst filen til min e-mailindbakke.	sähköpostilaatikko; postilaatikko	Lähetä tiedosto sähköpostilaatikkooni.
946:有关	有关	有关	związany z; dotyczący	Ta książka jest związana z kulturą chińską.	gerelateerd aan; betreffende	Dit boek heeft te maken met Chinese cultuur.	relaterad till; beträffande	Den här boken handlar om kinesisk kultur.	relatert til; angående	Denne boken er relatert til kinesisk kultur.	relateret til; vedrørende	Denne bog handler om kinesisk kultur.	liittyä; koskea	Tämä kirja liittyy kiinalaiseen kulttuuriin.
948:有用	有用	有用	przydatny	Ten sposób jest bardzo przydatny.	nuttig	Deze methode is erg nuttig.	användbar	Den här metoden är mycket användbar.	nyttig; brukbar	Denne metoden er veldig nyttig.	nyttig; brugbar	Denne metode er meget nyttig.	hyödyllinen	Tämä menetelmä on hyvin hyödyllinen.
952:雨衣	雨衣	雨衣	płaszcz przeciwdeszczowy	Proszę, załóż płaszcz przeciwdeszczowy, gdy pada.	regenjas	Draag een regenjas als het regent.	regnjacka; regnrock	Bär regnjacka när det regnar.	regnjakke; regnfrakk	Bruk regnjakke når det regner.	regnjakke; regnfrakke	Tag regnjakke på, når det regner.	sadetakki	Pue sadetakki, kun sataa.
954:遇见	遇见	遇见	spotkać; natknąć się	Spotkałem nauczyciela po drodze.	tegenkomen; ontmoeten	Ik kwam mijn leraar onderweg tegen.	träffa; stöta på	Jag stötte på min lärare på vägen.	møte; treffe på	Jeg møtte læreren min på veien.	møde; støde på	Jeg mødte min lærer på vejen.	tavata; törmätä	Törmäsin opettajaani tiellä.
955:园	园	园	ogród; park	W tym ogrodzie jest dużo kwiatów.	tuin; park	Er zijn veel bloemen in deze tuin.	trädgård; park	Det finns många blommor i den här trädgården.	hage; park	Det er mange blomster i denne hagen.	have; park	Der er mange blomster i denne have.	puutarha; puisto	Tässä puutarhassa on paljon kukkia.
956:员	员	员	przyrostek osoby w roli	Mój starszy brat jest kelnerem.	achtervoegsel voor een functiepersoon	Mijn oudere broer is ober.	suffix för en person i en roll	Min äldre bror är servitör.	suffiks for en person i en rolle	Storebroren min er servitør.	suffiks for en person i en rolle	Min storebror er tjener.	roolia ilmaiseva pääte	Vanhempi veljeni on tarjoilija.
960:运动会	运动会	运动会	zawody sportowe; dzień sportu	W przyszłym tygodniu szkoła organizuje zawody sportowe.	sportdag; sportwedstrijd	De school houdt volgende week een sportdag.	idrottstävling; sportdag	Skolan håller idrottstävling nästa vecka.	idrettsstevne; sportsdag	Skolen skal holde idrettsstevne neste uke.	sportsstævne; idrætsdag	Skolen holder sportsstævne i næste uge.	urheilukisat; liikuntapäivä	Koulu järjestää urheilukisat ensi viikolla.
961:运动员	运动员	运动员	sportowiec; zawodnik	Ten sportowiec biega bardzo szybko.	sporter; atleet	Deze sporter rent erg snel.	idrottare; atlet	Den här idrottaren springer mycket snabbt.	idrettsutøver; atlet	Denne idrettsutøveren løper veldig fort.	sportsudøver; atlet	Denne sportsudøver løber meget hurtigt.	urheilija	Tämä urheilija juoksee hyvin nopeasti.
964:怎么办	怎么办	怎么办	co zrobić; jak sobie poradzić	Nie wiem, co zrobić.	wat te doen; hoe aanpakken	Ik weet niet wat ik moet doen.	vad göra; hur hantera det	Jag vet inte vad jag ska göra.	hva man skal gjøre; hvordan håndtere det	Jeg vet ikke hva jeg skal gjøre.	hvad man skal gøre; hvordan håndtere det	Jeg ved ikke, hvad jeg skal gøre.	mitä tehdä; miten toimia	En tiedä, mitä tehdä.
965:怎样	怎样	怎样	jak; jaki	Co sądzisz o tym sposobie?	hoe; wat voor	Wat vind je van deze methode?	hur; vilken sorts	Vad tycker du om den här metoden?	hvordan; hva slags	Hva synes du om denne metoden?	hvordan; hvilken slags	Hvad synes du om denne metode?	miten; millainen	Mitä mieltä olet tästä menetelmästä?
973:照相	照相	照相	robić zdjęcie; fotografować	Robimy zdjęcie przy wejściu.	een foto maken; fotograferen	We maken een foto bij de ingang.	ta ett foto; fotografera	Vi tar ett foto vid ingången.	ta bilde; fotografere	Vi tar bilde ved inngangen.	tage et foto; fotografere	Vi tager et foto ved indgangen.	ottaa valokuva; kuvata	Otamme valokuvan sisäänkäynnillä.
974:直到	直到	直到	aż do; dopiero	Nie wróciłem do domu aż do wieczora.	tot; pas	Ik ging pas 's avonds naar huis.	tills; inte förrän	Jag gick inte hem förrän på kvällen.	til; ikke før	Jeg dro ikke hjem før om kvelden.	indtil; først	Jeg tog først hjem om aftenen.	asti; vasta	Menin kotiin vasta illalla.
976:纸	纸	纸	papier	Na stole leży kartka papieru.	papier	Er ligt een vel papier op tafel.	papper	Det ligger ett papper på bordet.	papir	Det ligger et ark papir på bordet.	papir	Der ligger et stykke papir på bordet.	paperi	Pöydällä on paperiarkki.
977:只能	只能	只能	można tylko; nie mieć innego wyjścia	Dzisiaj pada, więc możemy tylko zostać w domu.	alleen kunnen	Het regent vandaag, dus we kunnen alleen thuisblijven.	bara kunna	Det regnar i dag, så vi kan bara stanna hemma.	kunne bare	Det regner i dag, så vi kan bare være hjemme.	kunne kun	Det regner i dag, så vi kan kun blive hjemme.	voida vain	Tänään sataa, joten voimme vain olla kotona.
978:只是	只是	只是	tylko; po prostu	Chcę ci tylko pomóc.	alleen; gewoon	Ik wil je alleen helpen.	bara; endast	Jag vill bara hjälpa dig.	bare; kun	Jeg vil bare hjelpe deg.	kun; bare	Jeg vil bare hjælpe dig.	vain; pelkästään	Haluan vain auttaa sinua.
980:只有	只有	只有	jest tylko; tylko	Tutaj jest tylko jeden pokój.	er is alleen; slechts	Hier is er maar één kamer.	det finns bara; endast	Det finns bara ett rum här.	det finnes bare; kun	Det finnes bare ett rom her.	der er kun; kun	Der er kun ét værelse her.	on vain; ainoastaan	Täällä on vain yksi huone.
981:中	中	中	w; wśród	Na zdjęciu są trzy osoby.	in; tussen	Er staan drie mensen op de foto.	i; bland	Det finns tre personer på bilden.	i; blant	Det er tre personer på bildet.	i; blandt	Der er tre personer på billedet.	ssa; joukossa	Kuvassa on kolme ihmistä.
989:住院	住院	住院	leżeć w szpitalu; być hospitalizowanym	Dziadek jest w szpitalu.	in het ziekenhuis liggen; opgenomen zijn	Opa ligt in het ziekenhuis.	ligga på sjukhus	Farfar ligger på sjukhus.	være innlagt på sykehus	Bestefar er på sykehus.	være indlagt på hospitalet	Bedstefar er på hospitalet.	olla sairaalassa; joutua sairaalaan	Isoisä on sairaalassa.
990:字典	字典	字典	słownik	Używam słownika, żeby sprawdzać nowe słowa.	woordenboek	Ik gebruik een woordenboek om nieuwe woorden op te zoeken.	ordbok	Jag använder en ordbok för att slå upp nya ord.	ordbok	Jeg bruker en ordbok for å slå opp nye ord.	ordbog	Jeg bruger en ordbog til at slå nye ord op.	sanakirja	Käytän sanakirjaa uusien sanojen etsimiseen.
992:子	子	子	przyrostek używany w rzeczownikach	Na stole leży książka.	achtervoegsel in zelfstandige naamwoorden	Er ligt een boek op tafel.	suffix i substantiv	Det ligger en bok på bordet.	suffiks brukt i substantiv	Det ligger en bok på bordet.	suffiks brugt i navneord	Der ligger en bog på bordet.	substantiiveissa käytettävä pääte	Pöydällä on kirja.
993:总	总	总	zawsze; ogólnie	On zawsze bardzo wcześnie przychodzi do szkoły.	altijd; over het algemeen	Hij komt altijd heel vroeg op school.	alltid; i allmänhet	Han kommer alltid mycket tidigt till skolan.	alltid; generelt	Han kommer alltid veldig tidlig til skolen.	altid; generelt	Han kommer altid meget tidligt i skole.	aina; yleensä	Hän tulee kouluun aina hyvin aikaisin.
999:做客	做客	做客	być gościem; iść w gości	W weekend idę w gości do przyjaciela.	op bezoek zijn; te gast zijn	Dit weekend ben ik te gast bij een vriend.	vara gäst; hälsa på	I helgen ska jag vara gäst hemma hos en vän.	være gjest; besøke	I helgen skal jeg være gjest hos en venn.	være gæst; besøge	I weekenden skal jeg være gæst hos en ven.	olla vieraana; käydä kylässä	Viikonloppuna menen ystävän luo kylään.
