simplified	SI	example_SI	TA	example_TA	TE	example_TE	KN	example_KN	ML	example_ML	KK	example_KK	KA	example_KA	HY	example_HY
有些	සමහරක්; කිහිපයක්	සමහර පොත් ගුරුවරයා ළඟ තියෙනවා.	சில; சிலவை	சில புத்தகங்கள் ஆசிரியரிடம் உள்ளன.	కొన్ని	కొన్ని పుస్తకాలు ఉపాధ్యాయుడి దగ్గర ఉన్నాయి.	ಕೆಲವು	ಕೆಲವು ಪುಸ್ತಕಗಳು ಶಿಕ್ಷಕರ ಬಳಿ ಇವೆ.	ചില	ചില പുസ്തകങ്ങൾ അധ്യാപകന്റെ പക്കലുണ്ട്.	кейбір; бірнеше	Кейбір кітаптар мұғалімде.	ზოგი; რამდენიმე	ზოგი წიგნი მასწავლებელთანაა.	որոշ; մի քանի	Որոշ գրքեր ուսուցչի մոտ են։
雨	වැස්ස	අද වැස්ස වැටෙනවා.	மழை	இன்று மழை பெய்கிறது.	వర్షం	ఈరోజు వర్షం పడుతోంది.	ಮಳೆ	ಇಂದು ಮಳೆ ಬರುತ್ತಿದೆ.	മഴ	ഇന്ന് മഴ പെയ്യുന്നു.	жаңбыр	Бүгін жаңбыр жауып тұр.	წვიმა	დღეს წვიმს.	անձրև	Այսօր անձրև է գալիս։
早	ඉක්මන්; උදේ	ඔහු සෑම උදේම ඉතා ඉක්මනින් නැගිටිනවා.	விரைவில்; காலை	அவர் ஒவ்வொரு காலையும் மிகவும் சீக்கிரம் எழுகிறார்.	త్వరగా; ఉదయం	అతను ప్రతి ఉదయం చాలా త్వరగా లేస్తాడు.	ಬೆಗ; ಬೆಳಗ್ಗೆ	ಅವನು ಪ್ರತಿದಿನ ಬೆಳಗ್ಗೆ ಬಹಳ ಬೇಗ ಎದ್ದುಕೊಳ್ಳುತ್ತಾನೆ.	വേഗം; രാവിലെ	അവൻ എല്ലാ രാവിലെയും വളരെ വേഗം എഴുന്നേൽക്കും.	ерте; таңертең	Ол әр таң сайын өте ерте тұрады.	ადრე; დილა	ის ყოველ დილით ძალიან ადრე დგება.	շուտ; առավոտ	Նա ամեն առավոտ շատ շուտ է արթնանում։
早饭	උදෑසන ආහාරය	උදෑසන ආහාරයට මම කිරි බොනවා.	காலை உணவு	காலை உணவில் நான் பால் குடிக்கிறேன்.	అల్పాహారం	అల్పాహారానికి నేను పాలు తాగుతాను.	ಬೆಳಗಿನ ಊಟ	ಬೆಳಗಿನ ಊಟಕ್ಕೆ ನಾನು ಹಾಲು ಕುಡಿಯುತ್ತೇನೆ.	പ്രഭാതഭക്ഷണം	പ്രഭാതഭക്ഷണത്തിന് ഞാൻ പാൽ കുടിക്കുന്നു.	таңғы ас	Таңғы асқа сүт ішемін.	საუზმე	საუზმეზე რძეს ვსვამ.	նախաճաշ	Նախաճաշին կաթ եմ խմում։
怎么	කෙසේද	ඔයා පාසලට කෙසේ යනවාද?	எப்படி	நீ பள்ளிக்கு எப்படி செல்கிறாய்?	ఎలా	నువ్వు పాఠశాలకు ఎలా వెళ్తావు?	ಹೇಗೆ	ನೀನು ಶಾಲೆಗೆ ಹೇಗೆ ಹೋಗುತ್ತೀಯ?	എങ്ങനെ	നീ സ്കൂളിലേക്ക് എങ്ങനെ പോകുന്നു?	қалай	Мектепке қалай барасың?	როგორ	სკოლაში როგორ მიდიხარ?	ինչպես	Ինչպե՞ս ես դպրոց գնում։
这边	මේ පැත්ත; මෙතැනට	කරුණාකර මේ පැත්තට එන්න.	இந்த பக்கம்; இங்கே	தயவு செய்து இங்கே வா.	ఈ వైపు; ఇక్కడికి	దయచేసి ఇక్కడికి రా.	ಈ ಕಡೆ; ಇಲ್ಲಿಗೆ	ದಯವಿಟ್ಟು ಇಲ್ಲಿಗೆ ಬಾ.	ഈ വശം; ഇവിടെക്ക്	ദയവായി ഇവിടെ വരൂ.	мына жақ; осында	Өтінемін, осы жаққа кел.	ეს მხარე; აქეთ	გთხოვ, აქეთ მოდი.	այս կողմ; այստեղ	Խնդրում եմ, այստեղ արի։
这个	මෙය; මේක	මේ baozi ඉතා රසයි.	இது	இந்த baozi மிகவும் சுவையாக உள்ளது.	ఇది	ఈ baozi చాలా రుచిగా ఉంది.	ಇದು	ಈ baozi ಬಹಳ ರುಚಿಯಾಗಿದೆ.	ഇത്	ഈ baozi വളരെ രുചിയാണ്.	мынау; бұл	Бұл baozi өте дәмді.	ეს	ეს baozi ძალიან გემრიელია.	սա	Այս baozi-ն շատ համեղ է։
这里	මෙහි	මෙහි මගේ පාසල තියෙනවා.	இங்கே	இங்கே என் பள்ளி உள்ளது.	ఇక్కడ	ఇక్కడ నా పాఠశాల ఉంది.	ಇಲ್ಲಿ	ಇಲ್ಲಿ ನನ್ನ ಶಾಲೆ ಇದೆ.	ഇവിടെ	ഇവിടെ എന്റെ സ്കൂൾ ഉണ്ട്.	осында; бұл жерде	Менің мектебім осында.	აქ	აქ ჩემი სკოლაა.	այստեղ	Այստեղ իմ դպրոցն է։
这儿	මෙහි	මෙහි අවන්හලක් තියෙනවා.	இங்கே	இங்கே ஒரு உணவகம் உள்ளது.	ఇక్కడ	ఇక్కడ ఒక రెస్టారెంట్ ఉంది.	ಇಲ್ಲಿ	ಇಲ್ಲಿ ಒಂದು ಉಪಹಾರಗೃಹ ಇದೆ.	ഇവിടെ	ഇവിടെ ഒരു റെസ്റ്റോറന്റ് ഉണ്ട്.	осында; бұл жерде	Осында мейрамхана бар.	აქ	აქ რესტორანია.	այստեղ	Այստեղ ռեստորան կա։
这些	මේවා	මේ චීන අක්ෂර ලියන්න පහසුයි.	இவை	இந்த சீன எழுத்துகளை எழுத எளிது.	ఇవి	ఈ చైనీస్ అక్షరాలు రాయడం సులువు.	ಇವು	ಈ ಚೀನೀ ಅಕ್ಷರಗಳನ್ನು ಬರೆಯುವುದು ಸುಲಭ.	ഇവ	ഈ ചൈനീസ് അക്ഷരങ്ങൾ എഴുതാൻ എളുപ്പമാണ്.	мыналар	Мына қытай иероглифтерін жазу оңай.	ესენი	ეს ჩინური იეროგლიფები ადვილი დასაწერია.	սրանք	Այս չինական գրանշանները հեշտ է գրել։
只	සතුන් හෝ යුගලයක එකක් සඳහා ගණන් වචනය	මේසය යට බළලෙක් ඉන්නවා.	விலங்கு அல்லது ஜோடியின் ஒன்றுக்கான எண்ணுப்பெயர்	மேசையின் கீழ் ஒரு பூனை உள்ளது.	జంతువులకు లేదా జతలో ఒకదానికి లెక్కపదం	బల్ల కింద ఒక పిల్లి ఉంది.	ಪ್ರಾಣಿಗಳು ಅಥವಾ ಜೋಡಿಯೊಂದಕ್ಕೆ ಎಣಿಕೆ ಪದ	ಮೇಜಿನ ಕೆಳಗೆ ಒಂದು ಬೆಕ್ಕು ಇದೆ.	മൃഗങ്ങൾക്കോ ജോഡിയിലെ ഒറ്റതിനോ ഉള്ള എണ്ണുവാക്ക്	മേശയുടെ കീഴിൽ ഒരു പൂച്ച ഉണ്ട്.	жануарға немесе жұптың біріне арналған есеп сөзі	Үстелдің астында бір мысық бар.	ცხოველებისთვის ან წყვილის ერთისთვის მთვლელი სიტყვა	მაგიდის ქვეშ ერთი კატაა.	հաշվիչ բառ կենդանու կամ զույգի մեկ մասի համար	Սեղանի տակ մեկ կատու կա։
中学	මධ්‍යම පාසල	මගේ අයියා මධ්‍යම පාසලේ ඉගෙන ගන්නවා.	நடுத்தரப் பள்ளி	என் அண்ணன் நடுத்தரப் பள்ளியில் படிக்கிறார்.	మాధ్యమిక పాఠశాల	నా అన్నయ్య మాధ్యమిక పాఠశాలలో చదువుతున్నాడు.	ಪ್ರೌಢಶಾಲೆ	ನನ್ನ ಅಣ್ಣ ಪ್ರೌಢಶಾಲೆಯಲ್ಲಿ ಓದುತ್ತಾನೆ.	ഹൈസ്കൂൾ; സെക്കൻഡറി സ്കൂൾ	എന്റെ ചേട്ടൻ ഹൈസ്കൂളിൽ പഠിക്കുന്നു.	орта мектеп	Ағам орта мектепте оқиды.	საშუალო სკოლა	ჩემი უფროსი ძმა საშუალო სკოლაში სწავლობს.	միջնակարգ դպրոց	Ավագ եղբայրս միջնակարգ դպրոցում է սովորում։
中学生	මධ්‍යම පාසල් ශිෂ්‍යයා	ඇය මධ්‍යම පාසල් ශිෂ්‍යාවක්.	நடுத்தரப் பள்ளி மாணவர்	அவள் நடுத்தரப் பள்ளி மாணவி.	మాధ్యమిక పాఠశాల విద్యార్థి	ఆమె మాధ్యమిక పాఠశాల విద్యార్థిని.	ಪ್ರೌಢಶಾಲಾ ವಿದ್ಯಾರ್ಥಿ	ಅವಳು ಪ್ರೌಢಶಾಲಾ ವಿದ್ಯಾರ್ಥಿನಿ.	ഹൈസ്കൂൾ വിദ്യാർത്ഥി	അവൾ ഹൈസ്കൂൾ വിദ്യാർത്ഥിനിയാണ്.	орта мектеп оқушысы	Ол орта мектеп оқушысы.	საშუალო სკოლის მოსწავლე	ის საშუალო სკოლის მოსწავლეა.	միջնակարգ դպրոցի աշակերտ	Նա միջնակարգ դպրոցի աշակերտուհի է։
字	අක්ෂරය; අත්අකුරු	ඔහුගේ අත්අකුරු ඉතා ලස්සනයි.	எழுத்து; கைஎழுத்து	அவரின் கைஎழுத்து மிகவும் அழகாக உள்ளது.	అక్షరం; చేతిరాత	అతని చేతిరాత చాలా అందంగా ఉంది.	ಅಕ್ಷರ; ಕೈಬರಹ	ಅವನ ಕೈಬರಹ ಬಹಳ ಸುಂದರವಾಗಿದೆ.	അക്ഷരം; കൈയെഴുത്ത്	അവന്റെ കൈയെഴുത്ത് വളരെ സുന്ദരമാണ്.	әріп; жазу	Оның жазуы өте әдемі.	ასო; ხელწერა	მისი ხელწერა ძალიან ლამაზია.	տառ; ձեռագիր	Նրա ձեռագիրը շատ գեղեցիկ է։
做饭	කෑම පිසීම	තාත්තා මුළුතැන්ගෙයි කෑම පිසිනවා.	சமையல் செய்தல்	அப்பா சமையலறையில் சமைக்கிறார்.	వంట చేయడం	నాన్న వంటగదిలో వంట చేస్తున్నారు.	ಅಡುಗೆ ಮಾಡುವುದು	ಅಪ್ಪ ಅಡುಗೆಮನೆಯಲ್ಲಿ ಅಡುಗೆ ಮಾಡುತ್ತಿದ್ದಾರೆ.	പാചകം ചെയ്യുക	അച്ഛൻ അടുക്കളയിൽ പാചകം ചെയ്യുന്നു.	тамақ пісіру	Әкем асүйде тамақ пісіріп жатыр.	საჭმლის მომზადება	მამა სამზარეულოში საჭმელს ამზადებს.	կերակուր պատրաստել	Հայրս խոհանոցում կերակուր է պատրաստում։
