simplified	HI	example_HI
模式	मॉडल	यह व्यापार मॉडल बहुत सफल है।
模型	मॉडल	इंजीनियर ने पुल का मॉडल बनाया।
磨合	तालमेल बैठाना	नई टीम को तालमेल बैठाने में समय चाहिए।
膜	झिल्ली	यह झिल्ली अशुद्धियाँ छान सकती है।
魔鬼	शैतान	कहानी का शैतान बहुत चालाक था।
魔术	जादू	बच्चे जादू का प्रदर्शन देखना पसंद करते हैं।
抹杀	नकार देना	उसके योगदान को नकारा नहीं जा सकता।
墨水儿	स्याही	कलम की स्याही लगभग खत्म हो गई है।
莫名其妙	समझ से परे	उसकी प्रतिक्रिया समझ से परे थी।
默默	चुपचाप	उसने चुपचाप बहुत लोगों की मदद की।
谋求	तलाश करना	उद्यम नए विकास अवसरों की तलाश कर रहा है।
模样	रूप-रंग	अब उसका रूप-रंग बहुत बदल गया है।
母语	मातृभाषा	बच्चा बचपन से मातृभाषा सीखता है।
沐浴	नहाया हुआ होना	सुबह का गाँव धूप में नहाया हुआ था।
目睹	आँखों से देखना	कई लोगों ने इस दुर्घटना को आँखों से देखा।
目光	नज़र	सबकी नज़र मंच पर केंद्रित थी।
拿手	विशेष हुनर वाला	ब्रेज़्ड मछली उसकी विशेष डिश है।
纳闷儿	हैरान होना	मैं अब तक हैरान हूँ कि वह देर से क्यों आया।
耐用	टिकाऊ	यह जोड़ी जूते बहुत टिकाऊ है।
南辕北辙	लक्ष्य के उलट	उसका तरीका लक्ष्य के बिल्कुल उलट है।
难得	दुर्लभ	यह एक दुर्लभ अवसर है।
难堪	शर्मनाक	इस प्रश्न ने उसे बहुत शर्मनाक स्थिति में डाल दिया।
难能可贵	दुर्लभ और मूल्यवान	दबाव में ईमानदार रहना दुर्लभ और मूल्यवान है।
恼火	चिढ़ा हुआ	उपकरण फिर खराब हो गया, वह बहुत चिढ़ गया।
内涵	अर्थ-गहराई	इस शब्द में समृद्ध सांस्कृतिक अर्थ-गहराई है।
内幕	भीतरी सच	पत्रकार घटना का भीतरी सच जाँचने की कोशिश कर रहा था।
内在	भीतरी	वह व्यक्ति के भीतरी गुणों को अधिक महत्व देता है।
能量	ऊर्जा	इस नाश्ते ने मुझे बहुत ऊर्जा दी।
拟定	मसौदा बनाना	सचिव बैठक का कार्यक्रम मसौदा बना रहा है।
逆行	उल्टी दिशा में चलना	वह गाड़ी एकतरफ़ा सड़क पर उल्टी दिशा में चल रही थी।
年度	वार्षिक	कंपनी ने वार्षिक रिपोर्ट जारी की।
捏	चुटकी लेना	उसने बच्चे के गाल को हल्के से चुटकी ली।
凝固	जमना	ठंडा होने के बाद मोम धीरे-धीरे जम जाएगा।
凝聚	एकजुट करना	साझा लक्ष्य टीम की शक्ति को एकजुट कर सकता है।
凝视	टकटकी लगाकर देखना	वह दूर की रोशनी को टकटकी लगाकर देख रहा था।
拧	मरोड़ना	उसने हाथ से मुझे ज़रा मरोड़ दिया।
宁肯	बेहतर समझना	वह असफल होना बेहतर समझती है, पर सिद्धांत नहीं छोड़ेगी।
宁愿	पसंद करना	मैं बस का इंतज़ार करने के बजाय पैदल चलना पसंद करूँगा।
扭转	पलटना	नई नीति ने घाटे की स्थिति पलट दी।
纽扣儿	बटन	इस कमीज़ का एक बटन गिर गया।
农历	चंद्र कैलेंडर	वसंत उत्सव चंद्र कैलेंडर की तारीख़ से मनाया जाता है।
浓厚	गहरा	उसे इतिहास में गहरी रुचि है।
奴隶	गुलाम	प्राचीन समाज में गुलामी व्यवस्था मौजूद थी।
挪	हटाना	कृपया कुर्सी को थोड़ा बगल में हटा दें।
虐待	दुर्व्यवहार करना	कानून बच्चों के साथ दुर्व्यवहार पर रोक लगाता है।
哦	ओह	ओह, अब मैं अंततः समझ गया।
殴打	पीटना	पुलिस ने राहगीर को पीटने वाले व्यक्ति को गिरफ्तार किया।
偶像	आदर्श	वह उस लेखक को अपना आदर्श मानती है।
呕吐	उल्टी करना	खराब खाना खाने के बाद वह उल्टी करने लगा।
趴	पेट के बल लेटना	छोटी बिल्ली खिड़की की चौखट पर पेट के बल सो रही थी।
徘徊	मँडराना	वह दरवाज़े पर बहुत देर तक मँडराता रहा।
排斥	दूर रखना	नया पदार्थ नमी को दूर रखता है।
排除	हटा देना	डॉक्टर ने पहले गंभीर बीमारी की संभावना हटा दी।
排放	उत्सर्जन करना	कारखाने को अपशिष्ट गैस का उत्सर्जन कम करना होगा।
排练	रिहर्सल करना	कलाकार नए कार्यक्रम की रिहर्सल कर रहे हैं।
派别	गुट	इस संगठन के भीतर अलग-अलग गुट हैं।
派遣	भेजना	कंपनी ने इंजीनियरों को स्थल पर भेजा।
攀登	चढ़ाई करना	वे कल बर्फ़ीले पहाड़ पर चढ़ाई करने की योजना बना रहे हैं।
盘旋	चक्कर लगाना	विमान हवाई अड्डे के ऊपर चक्कर लगा रहा था।
判决	फ़ैसला	अदालत ने आज फ़ैसला सुनाया।
畔	किनारा	बच्चे झील के किनारे टहल रहे थे।
庞大	विशाल	इस परियोजना के लिए विशाल धनराशि चाहिए।
抛弃	त्याग देना	वह अपना सपना त्यागना नहीं चाहता।
泡沫	झाग	कप में बहुत सारा सफ़ेद झाग है।
培育	विकसित करना	विद्यालय छात्रों में ज़िम्मेदारी की भावना विकसित करता है।
配备	सुसज्जित करना	नई कार सुरक्षा प्रणाली से सुसज्जित है।
配偶	जीवनसाथी	आवेदन पत्र में जीवनसाथी की जानकारी भरनी होगी।
配套	सहायक	समुदाय में पूर्ण सहायक सुविधाएँ हैं।
盆地	बेसिन	यह बेसिन गर्मियों में बहुत गरम होता है।
烹饪	पकाना	पकाने में धैर्य और अनुभव चाहिए।
捧	दोनों हाथों से थामना	वह दोनों हाथों से फूलों का गुलदस्ता थामे थी।
劈	चीरना	मज़दूर कुल्हाड़ी से लकड़ी चीर रहा है।
批发	थोक बेचना	यह दुकान मुख्य रूप से फल थोक बेचती है।
批判	आलोचना करना	लेख ने इस गलत विचार की आलोचना की।
疲惫	थका-हारा	लंबी यात्रा के बाद सब थके-हारे थे।
疲倦	थका हुआ	लगातार काम ने उसे थका दिया।
皮革	चमड़ा	यह बैग चमड़े का बना है।
屁股	नितंब	बच्चा गिरने के बाद उसके नितंब में दर्द हुआ।
譬如	उदाहरण के लिए	उदाहरण के लिए, हम पहले छोटा परीक्षण कर सकते हैं।
偏差	विचलन	प्रयोग के परिणाम में स्पष्ट विचलन है।
偏见	पूर्वाग्रह	हमें जातीय पूर्वाग्रह से बचना चाहिए।
偏僻	दूर-दराज़	यह गाँव बहुत दूर-दराज़ जगह पर है।
偏偏	ऐन वही	मैं जितना जल्दी कर रहा था, गाड़ी ऐन वही और धीमी हो गई।
片断	खंड	फ़िल्म में कई शानदार खंड हैं।
片刻	क्षणभर	कृपया यहाँ मेरा क्षणभर इंतज़ार करें।
漂浮	तैरना	गिरे हुए पत्ते पानी की सतह पर तैर रहे हैं।
飘扬	लहराना	राष्ट्रीय ध्वज हवा में लहरा रहा है।
撇	एक तरफ़ रखना	उसने पुरानी योजना को एक तरफ़ रख दिया।
拼搏	संघर्ष करना	युवाओं को अपने आदर्शों के लिए संघर्ष करना चाहिए।
拼命	जान लगाकर	वह आगे वाली टीम को पकड़ने के लिए जान लगाकर दौड़ा।
贫乏	कमज़ोर	इस लेख की सामग्री कुछ कमज़ोर है।
贫困	गरीबी	सरकार गरीब परिवारों की मदद करती है।
频繁	बार-बार	हाल में यहाँ यातायात दुर्घटनाएँ बार-बार हो रही हैं।
频率	आवृत्ति	इस ध्वनि की आवृत्ति बहुत ऊँची है।
品尝	चखना	मेहमान स्थानीय व्यंजन चख रहे हैं।
品德	चरित्र	विद्यालय छात्रों की चरित्र शिक्षा को महत्व देता है।
品质	गुणवत्ता	इस कंपनी के उत्पादों की गुणवत्ता स्थिर है।
品种	किस्म	बाज़ार में फलों की कई किस्में हैं।
屏幕	स्क्रीन	कृपया स्क्रीन की चमक कम करें।
屏障	रक्षा-आवरण	वन हवा से बचाने वाला महत्वपूर्ण रक्षा-आवरण है।
平凡	साधारण	वह कई वर्षों से साधारण पद पर काम कर रहा है।
平面	समतल	डिज़ाइनर ने घर का समतल नक्शा बनाया।
平坦	समतल	यह सड़क बहुत समतल है।
平行	समानांतर	ये दोनों रेखाएँ एक-दूसरे के समानांतर हैं।
平庸	सामान्य	वह सामान्य जीवन जीकर संतुष्ट नहीं है।
平原	मैदान	रेलगाड़ी विशाल मैदान से होकर गुज़री।
评估	आकलन करना	विशेषज्ञ परियोजना के जोखिम का आकलन कर रहे हैं।
评论	टिप्पणी करना	पाठक लेख के नीचे टिप्पणी कर सकते हैं।
坡	ढलान	कार धीरे-धीरे ढलान पर चढ़ी।
泼	छिड़कना	पानी ज़मीन पर मत छिड़को।
颇	काफ़ी	यह परिणाम काफ़ी अप्रत्याशित है।
破例	अपवाद करना	प्रबंधक ने उसके लिए अपवाद करके आवेदन मंज़ूर किया।
迫不及待	बेसब्र	बच्चे उपहार खोलने के लिए बेसब्र थे।
迫害	उत्पीड़न करना	इतिहास में बहुत लोगों ने उत्पीड़न सहा।
魄力	साहसिक निर्णय-शक्ति	नेता को साहसिक निर्णय-शक्ति चाहिए।
扑	लपकना	बच्चा अचानक माँ की बाँहों में लपक पड़ा।
铺	बिछाना	मज़दूर नया कालीन बिछा रहे हैं।
普及	व्यापक होना	इंटरनेट शहरों में पहले ही व्यापक हो चुका है।
朴实	सादा और सच्चा	उसकी भाषा सादी और सच्ची है।
朴素	सादा	उसे सादा जीवन पसंद है।
瀑布	झरना	पर्यटक झरने के पास तस्वीरें ले रहे थे।
凄凉	उदास और सुनसान	सर्दियों में पहाड़ी गाँव उदास और सुनसान दिखता है।
期望	अपेक्षा	माता-पिता को बच्चों से ऊँची अपेक्षाएँ होती हैं।
期限	समय-सीमा	पंजीकरण की समय-सीमा इस शुक्रवार है।
欺负	तंग करना	बड़े बच्चों को छोटे बच्चों को तंग नहीं करना चाहिए।
欺骗	धोखा देना	झूठे विज्ञापन ने उपभोक्ताओं को धोखा दिया।
奇妙	अद्भुत	प्रकृति में कई अद्भुत घटनाएँ हैं।
旗袍	चीनी चोंगसम पोशाक	वह लाल चीनी चोंगसम पोशाक पहनकर पार्टी में गई।
旗帜	झंडा	चौक पर चमकीले झंडे लहरा रहे थे।
歧视	भेदभाव	कानून किसी भी प्रकार के भेदभाव को रोकता है।
齐全	पूरा	इस दुकान में औज़ार बहुत पूरे हैं।
齐心协力	मिलकर मेहनत करना	सबने मिलकर मेहनत की और काम पूरा किया।
乞丐	भिखारी	सड़क किनारे एक बूढ़ा भिखारी बैठा था।
企图	कोशिश करना	उसने वास्तविक स्थिति छिपाने की कोशिश की।
启程	रवाना होना	प्रतिनिधिमंडल कल सुबह रवाना होगा।
启蒙	प्रारंभिक शिक्षा	यह पुस्तक बच्चों की प्रारंभिक पढ़ाई के लिए उपयुक्त है।
启事	सूचना	विद्यालय के द्वार पर भर्ती सूचना लगी थी।
启示	सीख	इस असफलता ने हमें महत्वपूर्ण सीख दी।
岂有此理	यह तो बिल्कुल अनुचित है	इस तरह की वसूली तो बिल्कुल अनुचित है।
起草	मसौदा तैयार करना	वकील अनुबंध का मसौदा तैयार कर रहा है।
起初	शुरू में	शुरू में उसे इस समाचार पर विश्वास नहीं था।
起伏	ऊँच-नीच	पहाड़ी रास्ता ज़मीन के अनुसार ऊँच-नीच वाला है।
起哄	हंगामा करना	छात्रों को कक्षा में हंगामा नहीं करना चाहिए।
起码	कम से कम	तुम्हें कम से कम मुझे पहले से सूचित करना चाहिए था।
起源	उत्पत्ति	इस त्योहार की उत्पत्ति प्राचीन काल में हुई।
器材	उपकरण	प्रयोगशाला को नए शिक्षण उपकरण चाहिए।
器官	अंग	हृदय मानव शरीर का महत्वपूर्ण अंग है।
气概	वीरता	इस कविता में वीरता प्रकट होती है।
气功	चीगोंग	दादाजी हर सुबह चीगोंग का अभ्यास करते हैं।
气魄	भव्यता	यह बड़ा पुल बहुत भव्यता रखता है।
气色	चेहरे की रंगत	आराम के बाद उसके चेहरे की रंगत बहुत बेहतर हो गई।
气势	जोश	टीम ने शुरुआत से ही मज़बूत जोश दिखाया।
气味	गंध	रसोई में भुनी रोटी की गंध थी।
气象	मौसमीय स्थिति	यहाँ पठारी मौसमीय स्थिति बहुत तेज़ी से बदलती है।
气压	वायुदाब	वायुदाब घटने से बारिश आ सकती है।
气质	व्यक्तित्व-आभा	उसमें शांत व्यक्तित्व-आभा है।
迄今为止	अब तक	अब तक प्रयोग सुचारु रूप से आगे बढ़ा है।
掐	तोड़ना	उसने एक छोटा फूल तोड़ा।
恰当	उचित	तुम्हारा उत्तर बहुत उचित है।
恰到好处	बिल्कुल ठीक	इस व्यंजन की मिठास बिल्कुल ठीक है।
恰巧	संयोग से	मैं स्टेशन पहुँचा तो संयोग से बारिश होने लगी।
洽谈	बातचीत करना	दोनों पक्ष सहयोग के विवरणों पर बातचीत कर रहे हैं।
千方百计	हर संभव उपाय करना	उन्होंने समाधान खोजने के लिए हर संभव उपाय किया।
牵	पकड़कर ले जाना	माँ बच्चे का हाथ पकड़कर सड़क पार करा रही थी।
牵扯	जुड़ा होना	यह मामला कई विभागों से जुड़ा है।
牵制	रोककर बाँधना	विरोधी की रक्षा ने आक्रमण को रोककर बाँध दिया।
签署	हस्ताक्षर करना	दो कंपनियों ने समझौते पर हस्ताक्षर किए।
谦逊	विनम्र	सफल होने के बाद भी वह बहुत विनम्र रहा।
迁就	मन रखना	माता-पिता हमेशा बच्चे का मन नहीं रख सकते।
迁徙	प्रवास करना	प्रवासी पक्षी हर साल मौसम के अनुसार प्रवास करते हैं।
前景	भविष्य की संभावना	इस उद्योग की भविष्य की संभावना अच्छी है।
前提	पूर्वशर्त	विश्वास सहयोग की पूर्वशर्त है।
潜力	क्षमता	इस छात्र में बड़ी क्षमता है।
潜水	गोताखोरी	वे समुद्र किनारे गोताखोरी सीखने गए।
潜移默化	चुपचाप असर डालना	पारिवारिक वातावरण बच्चों पर चुपचाप असर डालता है।
谴责	निंदा करना	अंतरराष्ट्रीय समाज ने हिंसा की निंदा की।
抢劫	डकैती करना	पुलिस ने बैंक डकैती के संदिग्ध को पकड़ लिया।
强制	अनिवार्य करना	नए नियम ने चालकों के लिए सीट बेल्ट अनिवार्य की।
强迫	मजबूर करना	बच्चों को नापसंद काम करने के लिए मजबूर मत करो।
抢救	आपात बचाव करना	डॉक्टर घायल मज़दूर का आपात बचाव कर रहे हैं।
桥梁	पुल	भाषा सांस्कृतिक आदान-प्रदान का पुल है।
窍门	तरकीब	उच्चारण सीखने की कुछ तरकीबें हैं।
翘	ऊपर उठाना	उसने एक पैर कुर्सी पर ऊपर उठा रखा था।
切实	व्यावहारिक	हमें व्यावहारिक और लागू की जा सकने वाली योजना चाहिए।
锲而不舍	लगातार लगे रहना	वह इस समस्या पर लगातार लगा रहा।
亲密	घनिष्ठ	उन्होंने हमेशा घनिष्ठ संबंध बनाए रखा।
亲热	स्नेहपूर्ण	बुज़ुर्ग ने अतिथियों का स्नेहपूर्वक स्वागत किया।
侵犯	उल्लंघन करना	यह व्यवहार निजी गोपनीयता का उल्लंघन करता है।
侵略	आक्रमण	लोग किसी भी प्रकार के आक्रमण का विरोध करते हैं।
钦佩	प्रशंसा करना	मैं उसके साहस की बहुत प्रशंसा करता हूँ।
勤俭	मेहनती और मितव्ययी	दादी ने पूरी उम्र मेहनती और मितव्ययी ढंग से घर चलाया।
勤劳	मेहनती	मेहनती लोग हमेशा अवसर बना सकते हैं।
倾听	ध्यान से सुनना	शिक्षक ने छात्रों की राय ध्यान से सुनी।
倾向	झुकाव रखना	युवा उपभोक्ताओं का ऑनलाइन खरीदारी की ओर झुकाव है।
倾斜	झुकना	भारी बारिश के बाद दीवार झुकने लगी।
清澈	स्वच्छ और साफ़	पहाड़ की धारा का पानी बहुत स्वच्छ और साफ़ है।
清晨	सुबह-सुबह	सुबह-सुबह की हवा विशेष रूप से ताज़ा होती है।
清除	हटाना	मज़दूरों ने सड़क की बर्फ़ हटाई।
清洁	साफ़	अस्पताल को वातावरण साफ़ रखना चाहिए।
清理	साफ़-सफाई करना	सप्ताहांत में हमने गोदाम की साफ़-सफाई की।
清晰	स्पष्ट	यह तस्वीर बहुत स्पष्ट है।
清醒	सचेत	कॉफ़ी पीने के बाद वह बहुत अधिक सचेत हो गया।
清真	हलाल	पास में एक हलाल रेस्तराँ है।
情报	सूचना	पत्रकार को महत्वपूर्ण सूचना मिली।
情节	कथानक	उपन्यास का कथानक बहुत तनावपूर्ण है।
情理	तर्क और भावना	उसकी माँग तर्क और भावना के अनुरूप नहीं है।
情形	स्थिति	घटनास्थल की स्थिति कल्पना से अधिक जटिल थी।
晴朗	साफ़ मौसम वाला	आज का आकाश विशेष रूप से साफ़ है।
请柬	निमंत्रण-पत्र	उन्होंने रिश्तेदारों और दोस्तों को विवाह निमंत्रण-पत्र भेजे।
请教	सलाह माँगना	मैं आपसे एक प्रश्न पर सलाह माँगना चाहता हूँ।
请示	अनुमति माँगना	इस मामले में पहले नेता से अनुमति माँगनी होगी।
请帖	निमंत्रण कार्ड	मेज़ पर जन्मदिन का निमंत्रण कार्ड रखा था।
丘陵	पहाड़ियाँ	इस क्षेत्र में पहाड़ियाँ बहुत हैं।
区分	फर्क करना	बच्चा अब बाएँ और दाएँ में फर्क कर सकता है।
区域	क्षेत्र	इस क्षेत्र में पार्किंग मना है।
屈服	झुकना	वह दबाव के आगे नहीं झुका।
曲折	उतार-चढ़ाव भरा	उन्होंने उतार-चढ़ाव भरी बातचीत झेली।
驱逐	खदेड़ना	पुलिस ने उपद्रव करने वालों को खदेड़ दिया।
渠道	माध्यम	कंपनी नए माध्यम से उत्पाद बेचती है।
取缔	प्रतिबंधित करना	सरकार ने अवैध बाज़ार को प्रतिबंधित कर दिया।
曲子	धुन	इस धुन की लय बहुत सुंदर है।
趣味	रुचि	यह खेल बहुत रुचिकर है।
圈套	जाल	वह लगभग ठगों के जाल में फँस गया था।
全局	समग्र स्थिति	नेता को समग्र हितों पर विचार करना चाहिए।
全力以赴	पूरी ताकत लगाना	हम काम पूरा करने के लिए पूरी ताकत लगा देंगे।
拳头	मुट्ठी	उसने प्रतियोगिता की तैयारी में मुट्ठी कस ली।
权衡	तौलना	हमें लागत और प्रभाव को तौलना होगा।
权威	प्राधिकारी	यह प्रोफ़ेसर इस क्षेत्र का प्राधिकारी है।
犬	कुत्ता	इस नस्ल का कुत्ता घर की रखवाली के लिए उपयुक्त है।
缺口	दरार	दीवार में एक छोटी दरार है।
缺席	अनुपस्थित होना	वह बीमारी के कारण बैठक से अनुपस्थित रहा।
缺陷	दोष	इस डिज़ाइन में स्पष्ट दोष है।
瘸	लंगड़ा	उसका बायाँ पैर थोड़ा लंगड़ा है।
确保	सुनिश्चित करना	कृपया सुनिश्चित करें कि दरवाज़ा बंद है।
确立	स्थापित करना	कंपनी ने नया विकास लक्ष्य स्थापित किया।
确切	सटीक	मुझे सटीक समय नहीं पता।
确信	निश्चय होना	मुझे निश्चय है कि वह समय पर पहुँचेगा।
群众	जनसमूह	जनसमूह नई नीति का बहुत समर्थन करता है।
染	रंगना	उसने अपने बाल काले रंगे।
嚷	चिल्लाना	गलियारे में ज़ोर से मत चिल्लाओ।
让步	रियायत	दोनों पक्षों ने कुछ रियायतें दीं।
饶恕	क्षमा करना	उसने अंत में दूसरे पक्ष को क्षमा करना चुना।
扰乱	बाधित करना	शोर ने कक्षा की व्यवस्था बाधित की।
惹祸	मुसीबत खड़ी करना	बेतुका मज़ाक आसानी से मुसीबत खड़ी कर सकता है।
热泪盈眶	आँखें आँसुओं से भर जाना	अच्छी खबर सुनकर उसकी आँखें आँसुओं से भर गईं।
热门	लोकप्रिय	कृत्रिम बुद्धिमत्ता लोकप्रिय विषय है।
人道	मानवीय	राहत कार्रवाई ने मानवीय भावना दिखाई।
人格	व्यक्तित्व-गरिमा	दूसरों का अपमान व्यक्तित्व-गरिमा को चोट पहुँचाता है।
人工	मानव-निर्मित	यह नदी मानव-निर्मित रूप से खोदी गई है।
人家	दूसरे लोग	हमेशा अपनी तुलना दूसरे लोगों से मत करो।
人间	मानव संसार	वसंत मानव संसार को जीवन से भर देता है।
人士	व्यक्ति	विभिन्न क्षेत्रों के व्यक्ति चर्चा बैठक में शामिल हुए।
人为	मानवीय कारण से	यह दुर्घटना मानवीय कारण से हुई।
人性	मानव स्वभाव	यह फ़िल्म मानव स्वभाव पर चर्चा करती है।
人质	बंधक	पुलिस ने बंधक को सफलतापूर्वक बचाया।
仁慈	दयालु	यह डॉक्टर रोगियों के प्रति बहुत दयालु है।
忍耐	धैर्य	लंबी पंक्ति में लगने के लिए थोड़ा धैर्य चाहिए।
忍受	सहन करना	मैं यहाँ का शोर सहन नहीं कर सकता।
任命	नियुक्त करना	निदेशक मंडल ने उसे प्रबंधक नियुक्त किया।
任性	ज़िद्दी	बच्चा बहुत ज़िद्दी हो तो विकास प्रभावित होता है।
任意	मनमाने ढंग से	कृपया डेटा को मनमाने ढंग से न बदलें।
任重道远	भारी जिम्मेदारी और लंबा रास्ता	शिक्षा सुधार में भारी जिम्मेदारी और लंबा रास्ता है।
认定	निर्धारित करना	पुलिस ने निर्धारित किया कि यह दुर्घटना थी।
认可	स्वीकृति	उसकी योजना को सबकी स्वीकृति मिली।
仍旧	अब भी	कई साल बाद भी वह अब भी यहीं रहता है।
日新月异	दिन-ब-दिन बदलना	तकनीक दिन-ब-दिन बदल रही है।
日益	दिनोंदिन	पर्यावरण समस्या दिनोंदिन गंभीर हो रही है।
容貌	चेहरा-मोहरा	समय ने उसका चेहरा-मोहरा बदल दिया।
容纳	समाहित करना	यह हॉल पाँच सौ लोगों को समाहित कर सकता है।
容器	पात्र	कृपया तरल को काँच के पात्र में डालें।
容忍	सहन करना	कंपनी धोखाधड़ी को सहन नहीं कर सकती।
溶解	घुलना	नमक पानी में घुल जाता है।
荣幸	सम्मानित महसूस करना	बैठक में भाग लेना मेरे लिए सम्मान की बात है।
荣誉	सम्मान	यह पदक सर्वोच्च सम्मान का प्रतिनिधित्व करता है।
融化	पिघलना	धूप ने बर्फ़ को धीरे-धीरे पिघला दिया।
融洽	सौहार्दपूर्ण	सहकर्मियों के संबंध बहुत सौहार्दपूर्ण हैं।
揉	मलना	माँ ने मेरे कंधे को हल्के से मला।
柔和	नरम	रोशनी नरम है और आँखों को नहीं चुभती।
儒家	कन्फ्यूशियस परंपरा	कन्फ्यूशियस परंपरा ने पूर्वी एशियाई संस्कृति को प्रभावित किया।
弱点	कमज़ोरी	लापरवाही उसकी मुख्य कमज़ोरी है।
若干	कई	बैठक में कई सुझाव दिए गए।
撒谎	झूठ बोलना	बच्चों को झूठ नहीं बोलना चाहिए।
散文	गद्य	उसे आधुनिक गद्य पढ़ना पसंद है।
散布	फैलाना	इंटरनेट पर किसी ने अफ़वाहें फैलाईं।
散发	फैलाना	बगीचे में हल्की सुगंध फैल रही है।
丧失	खो देना	उसने आत्मविश्वास नहीं खोया।
骚扰	परेशान करना	कृपया अन्य यात्रियों को परेशान न करें।
嫂子	भाभी	भाभी का बनाया खाना बहुत स्वादिष्ट है।
刹车	ब्रेक लगाना	चालक ने अचानक ब्रेक लगाया।
啥	क्या	तुमने अभी क्या कहा।
筛选	छाँटना	प्रणाली अपने-आप जीवनवृत्त छाँटेगी।
山脉	पर्वत-श्रृंखला	यह पर्वत-श्रृंखला बहुत लंबी है।
闪烁	टिमटिमाना	दूर की रोशनी लगातार टिमटिमा रही थी।
擅长	निपुण होना	वह जटिल समस्याएँ संभालने में निपुण है।
擅自	बिना अनुमति	कर्मचारी बिना अनुमति पद नहीं छोड़ सकते।
伤脑筋	सिरदर्द बनना	यह समस्या सचमुच सिरदर्द बन गई है।
商标	ट्रेडमार्क	कंपनी ने नया ट्रेडमार्क पंजीकृत किया।
上级	वरिष्ठ अधिकारी	उसने स्थिति वरिष्ठ अधिकारी को रिपोर्ट की।
上进	उन्नति-प्रेमी	वह हमेशा बहुत उन्नति-प्रेमी रही है।
上任	पद संभालना	नया प्रबंधक अगले सप्ताह पद संभालेगा।
上瘾	लत लगना	बहुत लोगों को छोटे वीडियो की लत लग जाती है।
上游	ऊपरी धारा	प्रदूषण नदी की ऊपरी धारा से आता है।
尚且	तक भी	बड़े लोग तक भी गलती करते हैं।
捎	संदेश पहुँचा देना	कृपया मेरे लिए एक संदेश पहुँचा देना।
梢	सिरा	पक्षी पेड़ के सिरे पर बैठा था।
哨	पहरा	द्वार पर एक पहरेदार था।
奢侈	फ़िज़ूलखर्च	इस तरह का खर्च बहुत फ़िज़ूलखर्च है।
舌头	जीभ	उसकी जीभ जल गई।
摄氏度	डिग्री सेल्सियस	आज तापमान तीस डिग्री सेल्सियस है।
涉及	संबंधित होना	रिपोर्ट कई विभागों से संबंधित है।
社区	समुदाय	समुदाय ने स्वास्थ्य व्याख्यान आयोजित किया।
设立	स्थापित करना	विद्यालय ने छात्रवृत्ति स्थापित की।
设想	कल्पना	इस कल्पना पर अभी चर्चा करनी होगी।
设置	सेट करना	कृपया पासवर्ड फिर से सेट करें।
呻吟	कराहना	रोगी धीमी आवाज़ में कराह रहा था।
深奥	गूढ़	इस पुस्तक की सामग्री बहुत गूढ़ है।
深沉	गंभीर	उसकी आवाज़ धीमी और गंभीर है।
深情厚谊	गहरा स्नेह और मित्रता	दो देशों की जनता ने गहरा स्नेह और मित्रता बनाई।
申报	घोषित करना	यात्रियों को वस्तुएँ सच्चाई से घोषित करनी होंगी।
绅士	सभ्य पुरुष	उसका आचरण एक सभ्य पुरुष जैसा है।
神经	तंत्रिका	तनाव तंत्रिका तंत्र को प्रभावित कर सकता है।
神奇	जादुई	यहाँ का दृश्य बहुत जादुई है।
神气	गर्वीला	वह आज विशेष रूप से गर्वीला दिख रहा है।
神圣	पवित्र	यह एक पवित्र जिम्मेदारी है।
神态	भाव-भंगिमा	उसकी भाव-भंगिमा बहुत शांत थी।
神仙	देवता	कथा में कहा गया है कि पहाड़ में देवता रहते हैं।
审查	जाँच करना	प्लेटफ़ॉर्म प्रकाशित सामग्री की जाँच करेगा।
审理	सुनवाई करना	अदालत इस मामले की सुनवाई कर रही है।
审美	सौंदर्य-बोध	उसका सौंदर्य-बोध बहुत अनूठा है।
审判	न्यायिक सुनवाई	खुली न्यायिक सुनवाई ने मीडिया का ध्यान खींचा।
慎重	सावधान	यह निर्णय बहुत सावधानी से लेना होगा।
渗透	रिसना	बारिश का पानी धीरे-धीरे मिट्टी में रिस गया।
声明	घोषणा	कंपनी ने औपचारिक घोषणा जारी की।
声势	प्रचार-बल	इस प्रचार का प्रचार-बल बहुत बड़ा था।
声誉	प्रतिष्ठा	उत्पाद की गुणवत्ता ब्रांड की प्रतिष्ठा को प्रभावित करती है।
牲畜	पशुधन	चरवाहे पशुधन को घास के मैदान में वापस ले गए।
