simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO
竞争	konkurować; konkurencja	On jest bardzo pewny siebie i lubi konkurować z innymi.	concurreren; de concurrentie	Hij is erg zelfverzekerd en houdt ervan met anderen te concurreren.	tävla; konkurrens	Han är mycket självsäker och tycker om att tävla med andra.	konkurrere; konkurranse	Han er veldig selvsikker og liker å konkurrere med andre.
竟然	niespodziewanie	Nigdy bym nie pomyślał, że jest takim człowiekiem.	onverwacht; tot mijn verbazing	Ik had nooit gedacht dat hij zo iemand was.	oväntat; faktiskt	Jag hade aldrig trott att han var en sådan person.	uventet; faktisk	Jeg hadde aldri trodd at han var en slik person.
镜子	lustro	Przepraszam, stłukłem lustro.	de spiegel	Sorry, ik heb de spiegel gebroken.	en spegel	Förlåt, jag slog sönder spegeln.	et speil	Beklager, jeg knuste speilet.
究竟	właściwie; naprawdę	Dlaczego właściwie płaczesz?	eigenlijk; precies	Waarom huil je eigenlijk?	egentligen; exakt	Varför gråter du egentligen?	egentlig; nøyaktig	Hvorfor gråter du egentlig?
举	podnieść; przytoczyć	Proszę podnieść rękę, żeby odpowiedzieć na pytanie.	optillen; opsteken	Steek alstublieft uw hand op om de vraag te beantwoorden.	lyfta; räcka upp	Räck upp handen för att svara på frågan.	løfte; rekke opp	Vennligst rekk opp hånden for å svare på spørsmålet.
举办	organizować; urządzać	To wydarzenie jest organizowane przez nas.	organiseren; houden	Dit evenement wordt door ons georganiseerd.	arrangera; hålla	Det här evenemanget arrangeras av oss.	arrangere; holde	Dette arrangementet organiseres av oss.
举行	odbywać się; organizować	Zebranie odbędzie się o drugiej.	houden; plaatsvinden	De vergadering wordt om twee uur gehouden.	hålla; äga rum	Mötet hålls klockan två.	holde; finne sted	Møtet holdes klokken to.
拒绝	odmówić; odrzucić	On odrzucił zaproszenie wszystkich.	weigeren; afwijzen	Hij sloeg ieders uitnodiging af.	vägra; tacka nej	Han tackade nej till allas inbjudan.	nekte; avslå	Han avslo alles invitasjon.
聚会	przyjęcie; spotkanie	Jutro jest spotkanie. Chcesz wziąć udział?	het feest; de bijeenkomst	Er is morgen een bijeenkomst. Wil je komen?	en fest; en träff	Det är en träff i morgon. Vill du vara med?	en fest; en sammenkomst	Det er en sammenkomst i morgen. Vil du delta?
距离	odległość; być oddalonym	Mój dom jest daleko od firmy.	de afstand	Mijn huis ligt ver van het bedrijf.	ett avstånd	Mitt hem ligger långt från företaget.	en avstand	Hjemmet mitt ligger langt fra selskapet.
开玩笑	żartować; robić sobie żarty	Żartujesz sobie ze mnie?	grappen maken; een grap maken	Maak je een grapje met me?	skämtа; skoja	Skämtar du med mig?	spøke; tulle	Tuller du med meg?
开心	szczęśliwy; radosny	Moja młodsza siostra uśmiechnęła się radośnie.	blij; gelukkig	Mijn zusje glimlachte blij.	glad; lycklig	Min lillasyster log glatt.	glad; lykkelig	Lillesøsteren min smilte lykkelig.
看法	opinia; pogląd	On zawsze obstawał przy swoim zdaniu.	de mening; de opvatting	Hij heeft altijd aan zijn mening vastgehouden.	en åsikt; en syn	Han har alltid hållit fast vid sin åsikt.	en mening; et syn	Han har alltid holdt fast ved meningen sin.
烤鸭	pieczona kaczka	Pekińska pieczona kaczka jest słynna.	de geroosterde eend	Peking-eend is beroemd.	en rostad anka	Pekinganka är berömd.	stekt and	Pekingand er berømt.
考虑	rozważać; brać pod uwagę	Poważnie rozważę tę sprawę.	overwegen; de overweging	Ik zal deze kwestie serieus overwegen.	överväga; fundera på	Jag ska överväga den här frågan noggrant.	vurdere; overveie	Jeg skal vurdere dette spørsmålet seriøst.
棵	klasyfikator dla drzew i roślin	To drzewo jest wysokie i duże.	het telwoord voor bomen en planten	De boom is hoog en groot.	klassificerare för träd och växter	Trädet är högt och stort.	telleord for trær og planter	Treet er høyt og stort.
科学	nauka; naukowy	W szkole nauczył się dużo wiedzy naukowej.	de wetenschap; wetenschappelijk	Hij heeft op school veel wetenschappelijke kennis geleerd.	vetenskap; vetenskaplig	Han lärde sig mycket vetenskaplig kunskap i skolan.	vitenskap; vitenskapelig	Han lærte mye vitenskapelig kunnskap på skolen.
咳嗽	kaszleć; kaszel	Ma przeziębienie i mocno kaszle.	hoesten; de hoest	Hij is verkouden en hoest erg.	hosta; en hosta	Han är förkyld och hostar mycket.	hoste; en hoste	Han er forkjølet og hoster mye.
可怜	biedny; żałosny	To dziecko nie może znaleźć domu, jakie to biedne.	zielig; arm	Dit kind kan de weg naar huis niet vinden, wat zielig.	stackars; ömklig	Det här barnet hittar inte hem, så stackars det är.	stakkars; ynkelig	Dette barnet finner ikke hjem, så stakkars.
可是	ale; jednak	Chociaż bardzo chcę iść, naprawdę nie mam czasu.	maar; echter	Hoewel ik heel graag wil gaan, heb ik echt geen tijd.	men; dock	Även om jag verkligen vill gå har jag faktiskt inte tid.	men; imidlertid	Selv om jeg virkelig vil gå, har jeg faktisk ikke tid.
可惜	szkoda; niestety	Szkoda, że nie możesz przyjść na nasze przyjęcie.	jammer; helaas	Het is jammer dat je niet naar ons feest kunt komen.	synd; tyvärr	Det är synd att du inte kan komma på vår fest.	synd; dessverre	Det er synd at du ikke kan komme på festen vår.
客厅	salon; pokój dzienny	Tata ogląda telewizję w salonie.	de woonkamer	Vader kijkt tv in de woonkamer.	ett vardagsrum	Pappa tittar på tv i vardagsrummet.	en stue	Pappa ser på TV i stuen.
肯定	pewny; na pewno	Na pewno wrócę przed piątą.	zeker; beslist	Ik ben zeker voor vijf uur terug.	säker; definitivt	Jag kommer definitivt tillbaka före klockan fem.	sikker; definitivt	Jeg kommer definitivt tilbake før klokken fem.
空	pusty; wolny	Ten pokój jest pusty.	leeg; vrij	Deze kamer is leeg.	tom; ledig	Det här rummet är tomt.	tom; ledig	Dette rommet er tomt.
空气	powietrze	Powietrze w parku jest bardzo świeże.	de lucht	De lucht in het park is erg fris.	luft	Luften i parken är mycket frisk.	luft	Luften i parken er veldig frisk.
恐怕	obawiać się; chyba	Obawiam się, że będzie padać. Czy masz parasol?	ik ben bang dat; vrezen	Ik ben bang dat het gaat regenen. Heb je een paraplu meegenomen?	jag är rädd att; frukta	Jag är rädd att det kommer att regna. Har du med dig paraply?	jeg er redd for at; frykte	Jeg er redd for at det skal regne. Har du tatt med paraply?
苦	gorzki; trudność	Ta kawa jest bardzo gorzka.	bitter; zwaar	Deze kop koffie is erg bitter.	bitter; svår	Den här koppen kaffe är mycket bitter.	bitter; vanskelig	Denne koppen kaffe er veldig bitter.
矿泉水	woda mineralna	Kupiłem dwie butelki wody mineralnej.	het mineraalwater	Ik heb twee flessen mineraalwater gekocht.	mineralvatten	Jag köpte två flaskor mineralvatten.	mineralvann	Jeg kjøpte to flasker mineralvann.
困	senny; zmęczony	Jestem senny i chcę iść spać.	slaperig; moe	Ik ben slaperig en wil gaan slapen.	sömnig; trött	Jag är sömnig och vill gå och lägga mig.	søvnig; trøtt	Jeg er søvnig og vil legge meg.
困难	trudność; problem	To zadanie jest dla mnie bardzo trudne.	de moeilijkheid; het probleem	Deze taak is erg moeilijk voor mij.	en svårighet; ett problem	Den här uppgiften är mycket svår för mig.	en vanskelighet; et problem	Denne oppgaven er veldig vanskelig for meg.
垃圾桶	kosz na śmieci	Na ulicy jest wiele koszy na śmieci.	de vuilnisbak	Er staan veel vuilnisbakken op straat.	en soptunna; en papperskorg	Det finns många soptunnor på gatan.	en søppelbøtte	Det er mange søppelbøtter på gaten.
拉	ciągnąć; trzymać za rękę	Mama wzięła córkę za rękę.	trekken; vasthouden	Moeder pakte de hand van haar dochter.	dra; hålla i	Mamman tog sin dotters hand.	dra; holde	Moren tok datteren i hånden.
辣	ostry; pikantny	Nie jestem przyzwyczajony do jedzenia zbyt ostrych potraw.	pittig; scherp	Ik ben niet gewend om te pittig eten te eten.	stark; kryddig	Jag är inte van vid att äta alltför stark mat.	sterk; krydret	Jeg er ikke vant til å spise altfor sterk mat.
来不及	nie zdążyć; za późno	Dziś rano wstałem późno i nie zdążyłem zjeść śniadania.	geen tijd meer hebben; te laat zijn	Ik stond vanmorgen laat op en had geen tijd meer voor ontbijt.	inte hinna; vara för sent	Jag gick upp sent i morse och hann inte äta frukost.	ikke rekke; være for sent	Jeg sto opp sent i morges og rakk ikke frokost.
来得及	zdążyć; mieć jeszcze czas	Film zaczyna się dopiero o dziewiątej trzydzieści, więc jeszcze zdążymy.	nog tijd hebben	De film begint pas om half tien, dus er is nog tijd.	hinna; det finns tid	Filmen börjar inte förrän halv tio, så vi hinner.	rekke; ha tid	Filmen begynner ikke før halv ti, så vi rekker det.
来自	pochodzić z	Pochodzę z prowincji Shandong.	komen uit	Ik kom uit de provincie Shandong.	komma från	Jag kommer från Shandongprovinsen.	komme fra	Jeg kommer fra Shandong-provinsen.
懒	leniwy	Mój kot jest bardzo leniwy i śpi całe popołudnie.	lui	Mijn kat is erg lui en slaapt de hele middag.	lat	Min katt är mycket lat och sover hela eftermiddagen.	lat	Katten min er veldig lat og sover hele ettermiddagen.
浪费	marnować; strata	To po prostu strata czasu.	verspillen; de verspilling	Dit is gewoon tijdverspilling.	slösa; slöseri	Det här är bara slöseri med tid.	sløse; sløsing	Dette er bare sløsing med tid.
浪漫	romantyczny	Ta książka opowiada romantyczną historię miłosną.	romantisch	Dit boek vertelt een romantisch liefdesverhaal.	romantisk	Den här boken berättar en romantisk kärlekshistoria.	romantisk	Denne boken forteller en romantisk kjærlighetshistorie.
老虎	tygrys	Za każdym razem, gdy idziemy do zoo, syn najbardziej lubi oglądać tygrysa.	de tijger	Elke keer dat we naar de dierentuin gaan, kijkt mijn zoon het liefst naar de tijger.	en tiger	Varje gång vi går till zoo tycker min son bäst om att titta på tigern.	en tiger	Hver gang vi går i dyrehagen, liker sønnen min best å se på tigeren.
冷静	spokojny; opanowany	Nie denerwuj się, proszę uspokój się.	kalm; rustig	Word niet opgewonden, kalmeer alstublieft.	lugn; sansad	Bli inte upprörd, lugna dig.	rolig; behersket	Ikke bli opphisset, ro deg ned.
理发	strzyc się; fryzura	Kiedy idziesz się ostrzyc?	naar de kapper gaan; het knippen	Wanneer ga je naar de kapper?	klippa sig; en klippning	När ska du klippa dig?	klippe seg; en hårklipp	Når skal du klippe deg?
理解	rozumieć; zrozumienie	Czy rozumiesz to pytanie?	begrijpen; het begrip	Kun je deze vraag begrijpen?	förstå; förståelse	Kan du förstå den här frågan?	forstå; forståelse	Kan du forstå dette spørsmålet?
理想	ideał; marzenie	Jaki jest twój wymarzony zawód?	het ideaal; de droom	Wat is jouw ideale beroep?	en dröm; ett ideal	Vilket är ditt idealyrke?	en drøm; et ideal	Hva er drømmeyrket ditt?
礼拜天	niedziela	Czy masz wolne w tę niedzielę?	de zondag	Ben je deze zondag vrij?	en söndag	Är du ledig den här söndagen?	en søndag	Har du fri denne søndagen?
礼貌	uprzejmość; maniery	To dziecko jest bardzo uprzejme.	de beleefdheid; de manieren	Dit kind is erg beleefd.	artighet; gott uppförande	Det här barnet är mycket artigt.	høflighet; manerer	Dette barnet er veldig høflig.
例如	na przykład	Lubię sport, na przykład bieganie i pływanie.	bijvoorbeeld	Ik hou van sport, bijvoorbeeld hardlopen en zwemmen.	till exempel	Jag gillar sport, till exempel löpning och simning.	for eksempel	Jeg liker sport, for eksempel løping og svømming.
力气	siła	Po tak długim marszu byłem tak zmęczony, że nie miałem już siły.	de kracht	Na zo ver lopen was ik zo moe dat ik geen kracht meer overhad.	kraft; styrka	Efter att ha gått så långt var jag så trött att jag inte hade någon kraft kvar.	kraft; styrke	Etter å ha gått så langt var jeg så trøtt at jeg ikke hadde krefter igjen.
厉害	poważny; silny	Był poważnie chory i trafił do szpitala.	ernstig; hevig	Hij was ernstig ziek en werd opgenomen in het ziekenhuis.	allvarlig; kraftig	Han var allvarligt sjuk och blev inlagd på sjukhus.	alvorlig; kraftig	Han var alvorlig syk og ble innlagt på sykehus.
俩	dwoje; obaj	My dwoje jesteśmy dobrymi przyjaciółmi.	twee; allebei	Wij tweeën zijn goede vrienden.	två; båda	Vi två är goda vänner.	to; begge	Vi to er gode venner.
联系	kontakt; związek	Czy nadal masz kontakt z kolegami ze studiów?	het contact; de verbinding	Heb je nog contact met je studiegenoten?	kontakt; förbindelse	Har du fortfarande kontakt med dina kurskamrater från universitetet?	kontakt; forbindelse	Har du fortsatt kontakt med studiekameratene dine?
连	nawet; łącznie z	Jak mogłeś nawet o mnie zapomnieć?	zelfs; inclusief	Hoe kon je zelfs mij vergeten?	till och med; inklusive	Hur kunde du till och med glömma mig?	til og med; inkludert	Hvordan kunne du til og med glemme meg?
凉快	chłodny; przyjemnie chłodny	Jesienią pogoda jest bardzo przyjemnie chłodna.	lekker koel; fris	Het weer in de herfst is heel lekker koel.	sval; behagligt kall	Vädret på hösten är mycket svalt.	sval; kjølig	Været om høsten er veldig svalt.
零钱	drobne; reszta	Czy możesz rozmienić mi trochę pieniędzy na drobne?	het kleingeld	Kunt u wat geld voor mij in kleingeld wisselen?	växel; småpengar	Kan du växla lite pengar till småpengar åt mig?	vekslepenger; småpenger	Kan du veksle litt penger til småpenger for meg?
另外	oprócz tego; inny	Chcę porozmawiać z tobą o jeszcze jednej sprawie.	daarnaast; een ander	Ik wil met je over nog iets anders praten.	dessutom; en annan	Jag vill prata med dig om en annan sak också.	i tillegg; en annen	Jeg vil snakke med deg om en annen ting også.
流利	płynny	Mówisz płynnie po chińsku.	vloeiend	Je spreekt vloeiend Chinees.	flytande	Du talar kinesiska flytande.	flytende	Du snakker flytende kinesisk.
流行	popularny; modny	Wielu młodych ludzi lubi muzykę pop.	populair; modieus	Veel jonge mensen houden van popmuziek.	populär; modern	Många unga gillar popmusik.	populær; moderne	Mange unge liker popmusikk.
留	zostawić; pozostać	Proszę zostaw swój numer telefonu.	achterlaten; blijven	Laat alstublieft uw telefoonnummer achter.	lämna; stanna	Lämna ditt telefonnummer, tack.	legge igjen; bli	Vennligst legg igjen telefonnummeret ditt.
旅行	podróż; podróżować	Planujemy latem podróż do Yunnanu.	de reis; reizen	We zijn van plan in de zomer naar Yunnan te reizen.	en resa; resa	Vi planerar att resa till Yunnan i sommar.	en reise; reise	Vi planlegger å reise til Yunnan om sommeren.
乱	chaos; nieporządek	Szczeniak narobił bałaganu w pokoju.	rommelig; chaos	De puppy heeft de kamer overhoop gehaald.	stökig; oreda	Valpen stökade till rummet.	rotete; uorden	Valpen rotet til rommet.
律师	prawnik	Moja mama jest prawniczką.	de advocaat	Mijn moeder is advocaat.	en advokat	Min mamma är advokat.	en advokat	Moren min er advokat.
麻烦	kłopotliwy; zawracać komuś głowę	Czy możesz pomóc mi wziąć kubek?	lastig; moeite	Kunt u me helpen een beker te pakken?	besvärlig; besvära	Kan du hjälpa mig att hämta en kopp?	plagsom; bry	Kan du hjelpe meg å hente en kopp?
马虎	niedbały; nieuważny	Odrobina niedbałości może prowadzić do błędów.	slordig; onzorgvuldig	Een beetje slordigheid kan tot fouten leiden.	slarvig; vårdslös	Lite slarv kan leda till misstag.	slurvete; uforsiktig	Litt slurv kan føre til feil.
满	pełny	Kubek jest pełny.	vol	De beker is vol.	full	Koppen är full.	full	Koppen er full.
毛	włos; sierść	Sierść tego kota jest biała.	het haar; de vacht	De vacht van deze kat is wit.	hår; päls	Den här kattens päls är vit.	hår; pels	Pelsen til denne katten er hvit.
毛巾	ręcznik	Jest gorąco, więc wytrzyj pot ręcznikiem.	de handdoek	Het is warm, dus veeg je zweet af met een handdoek.	en handduk	Det är varmt, så torka bort svetten med en handduk.	et håndkle	Det er varmt, så tørk av svetten med et håndkle.
美丽	piękny	Ona naprawdę jest piękną dziewczyną.	mooi	Zij is echt een mooi meisje.	vacker	Hon är verkligen en vacker flicka.	vakker	Hun er virkelig en vakker jente.
梦	sen	To naprawdę ciekawy sen!	de droom	Dit is echt een interessante droom!	en dröm	Det här är verkligen en intressant dröm!	en drøm	Dette er virkelig en interessant drøm!
迷路	zgubić się; stracić drogę	On zgubił się w lesie.	verdwalen	Hij is verdwaald in het bos.	gå vilse	Han gick vilse i skogen.	gå seg vill	Han gikk seg vill i skogen.
密码	hasło; kod	Zapomniałem hasła do karty kredytowej.	het wachtwoord; de code	Ik ben het wachtwoord van mijn creditcard vergeten.	ett lösenord; en kod	Jag glömde lösenordet till mitt kreditkort.	et passord; en kode	Jeg glemte passordet til kredittkortet mitt.
免费	bezpłatny; za darmo	W tej restauracji napoje są darmowe.	gratis	In dit restaurant zijn drankjes gratis.	gratis	På den här restaurangen är drycker gratis.	gratis	På denne restauranten er drikke gratis.
秒	sekunda	Proszę poczekaj na mnie dziesięć sekund.	de seconde	Wacht alstublieft tien seconden op me.	en sekund	Vänta på mig i tio sekunder, tack.	et sekund	Vennligst vent på meg i ti sekunder.
民族	narodowość; grupa etniczna	Chiny są krajem wieloetnicznym.	de etnische groep; de nationaliteit	China is een land met veel etnische groepen.	en etnisk grupp; nationalitet	Kina är ett land med många etniska grupper.	en folkegruppe; nasjonalitet	Kina er et land med mange folkegrupper.
母亲	matka	Pozwólcie, że przedstawię: to moja matka.	de moeder	Mag ik voorstellen: dit is mijn moeder.	en mor	Låt mig presentera: det här är min mor.	en mor	La meg presentere: dette er moren min.
目的	cel	Nie rozumiem jego celu w robieniu tego.	het doel	Ik begrijp zijn doel hiermee niet.	ett syfte; ett mål	Jag förstår inte hans syfte med att göra detta.	et formål; et mål	Jeg forstår ikke formålet hans med å gjøre dette.
耐心	cierpliwy; cierpliwość	Przy edukowaniu dzieci potrzeba cierpliwości.	geduldig; het geduld	Je hebt geduld nodig bij het opvoeden van kinderen.	tålamod; tålmodig	Man behöver tålamod när man uppfostrar barn.	tålmodighet; tålmodig	Man trenger tålmodighet når man oppdrar barn.
难道	czyżby; czy naprawdę	Czy te potrawy naprawdę nie są smaczne?	kan het zijn dat; toch niet	Zijn deze gerechten dan niet lekker?	kan det vara så att; verkligen	Är de här rätterna verkligen inte goda?	kan det være at; virkelig	Er disse rettene virkelig ikke gode?
难受	czuć się źle; cierpieć	Jestem przeziębiony i czuję się okropnie.	zich beroerd voelen; moeilijk te verdragen	Ik ben verkouden en voel me ellendig.	må dåligt; vara svårt att stå ut med	Jag är förkyld och mår uselt.	føle seg dårlig; være vondt å tåle	Jeg er forkjølet og føler meg elendig.
内	wewnątrz; w ciągu	Proszę ukończyć zadanie w ciągu trzech dni.	binnen; intern	Maak de taak alstublieft binnen drie dagen af.	inom; inre	Slutför uppgiften inom tre dagar.	innen; indre	Vennligst fullfør oppgaven innen tre dager.
内容	treść; zawartość	Treść tego artykułu jest bardzo ciekawa.	de inhoud	De inhoud van dit artikel is erg boeiend.	innehåll	Innehållet i den här artikeln är mycket spännande.	innhold	Innholdet i denne artikkelen er veldig spennende.
能力	zdolność; umiejętność	On ma duże umiejętności w pracy.	het vermogen; de bekwaamheid	Hij is erg bekwaam in zijn werk.	förmåga; kapacitet	Han är mycket kompetent i arbetet.	evne; kapasitet	Han er svært dyktig i arbeidet.
年龄	wiek	Niegrzecznie jest pytać kogoś od niechcenia o wiek.	de leeftijd	Het is onbeleefd om zomaar naar iemands leeftijd te vragen.	ålder	Det är oartigt att fråga någon om åldern utan vidare.	alder	Det er uhøflig å spørre noen tilfeldig om alder.
弄	robić; załatwiać; obsługiwać	Szczeniak narobił bałaganu w pokoju.	doen; voor elkaar krijgen	De puppy heeft de kamer overhoop gehaald.	göra; fixa	Valpen stökade till rummet.	gjøre; ordne	Valpen rotet til rommet.
暖和	ciepły; przyjemnie ciepły	Nadeszła wiosna i pogoda robi się cieplejsza.	warm; lekker warm	De lente is gekomen en het weer wordt warmer.	varm; behagligt varm	Våren är här och vädret blir varmare.	varm; deilig varm	Våren er her, og været blir varmere.
偶尔	okazjonalnie; czasami	Czasami widuję ją w szkole.	af en toe; soms	Ik zie haar af en toe op school.	ibland; då och då	Jag ser henne ibland i skolan.	av og til; noen ganger	Jeg ser henne av og til på skolen.
排队	stać w kolejce; ustawić się w kolejce	Ludzie kupujący bilety stoją w kolejce.	in de rij staan; een rij vormen	De mensen die kaartjes kopen staan in de rij.	stå i kö; köa	Personerna som köper biljetter står i kö.	stå i kø; stille seg i kø	Folkene som kjøper billetter står i kø.
排列	układać; porządkować	Proszę ułóż te pudełka od największego do najmniejszego.	ordenen; rangschikken	Rangschik deze dozen alstublieft van groot naar klein.	ordna; arrangera	Ordna de här lådorna från störst till minst.	ordne; arrangere	Vennligst ordne disse eskene fra størst til minst.
判断	oceniać; osąd	Twój osąd jest całkowicie poprawny.	beoordelen; het oordeel	Je oordeel is helemaal juist.	bedöma; ett omdöme	Din bedömning är helt korrekt.	vurdere; en vurdering	Vurderingen din er helt riktig.
陪	towarzyszyć; dotrzymywać towarzystwa	Kiedy jestem smutny, zawsze jesteś przy mnie.	vergezellen; gezelschap houden	Als ik verdrietig ben, ben je altijd bij me.	följa med; hålla sällskap	När jag är ledsen finns du alltid vid min sida.	følge; holde med selskap	Når jeg er trist, er du alltid ved min side.
批评	krytykować; krytyka	Nauczyciele rzadko mnie krytykują.	bekritiseren; de kritiek	Leraren bekritiseren mij zelden.	kritisera; kritik	Lärare kritiserar mig sällan.	kritisere; kritikk	Lærere kritiserer meg sjelden.
皮肤	skóra	Mama bardzo dba o ochronę skóry.	de huid	Moeder let erg op het beschermen van de huid.	hud	Mamma är mycket noga med att skydda huden.	hud	Mor er svært opptatt av å beskytte huden.
脾气	charakter; temperament	On ma dobry charakter i nigdy się nie złości.	het temperament; het humeur	Hij heeft een goed humeur en wordt nooit boos.	temperament; humör	Han har gott humör och blir aldrig arg.	temperament; humør	Han har godt humør og blir aldri sint.
篇	artykuł; tekst	Czytałem ten artykuł wiele razy.	het artikel; het stuk	Ik heb dit artikel al vaak gelezen.	en artikel; en text	Jag har läst den här artikeln många gånger.	en artikkel; en tekst	Jeg har lest denne artikkelen mange ganger.
骗	oszukiwać; kłamać	Nie okłamałem cię, on naprawdę przyszedł.	bedriegen; liegen	Ik heb niet tegen je gelogen, hij is echt gekomen.	lura; ljuga	Jag ljög inte för dig, han kom verkligen.	lure; lyve	Jeg løy ikke for deg, han kom virkelig.
乒乓球	tenis stołowy; ping-pong	Kto chce wziąć udział w meczu tenisa stołowego?	het tafeltennis; pingpong	Wie wil meedoen aan een tafeltenniswedstrijd?	bordtennis; pingis	Vem vill delta i en bordtennismatch?	bordtennis; pingpong	Hvem vil delta i en bordtenniskamp?
平时	zwykle; na co dzień	Ona rzadko ćwiczy na co dzień.	gewoonlijk; normaal gesproken	Normaal gesproken sport ze zelden.	vanligtvis; till vardags	Hon tränar sällan till vardags.	vanligvis; til daglig	Til vanlig trener hun sjelden.
破	zepsuty; rozbity	Przepraszam, rozbiłem lustro.	kapot; gebroken	Sorry, ik heb de spiegel gebroken.	trasig; sönder	Förlåt, jag slog sönder spegeln.	ødelagt; knust	Beklager, jeg knuste speilet.
葡萄	winogrono	Winogrona kosztują pięć yuanów za pół kilograma.	de druif	Druiven kosten vijf yuan per halve kilo.	en druva	Druvor kostar fem yuan per halvkilo.	en drue	Druer koster fem yuan per halvkilo.
普遍	powszechny; ogólny	Ten problem jest powszechny.	algemeen; wijdverspreid	Dit probleem komt veel voor.	allmän; utbredd	Det här problemet är vanligt.	vanlig; utbredt	Dette problemet er vanlig.
普通话	mandaryński; putonghua	Mówisz bardzo dobrze po mandaryńsku.	het Mandarijn; Putonghua	Je spreekt heel goed Mandarijn.	mandarin; putonghua	Du talar mandarin mycket bra.	mandarin; putonghua	Du snakker veldig godt mandarin.
其次	następnie; po drugie	Bezpieczeństwo jest pierwsze, a szybkość druga.	ten tweede; vervolgens	Veiligheid komt eerst, snelheid komt op de tweede plaats.	för det andra; därefter	Säkerheten kommer först och hastigheten på andra plats.	for det andre; deretter	Sikkerhet kommer først, og fart kommer deretter.
其中	wśród nich; z tego	W naszej klasie jest dwudziestu uczniów, z których pięciu pochodzi z zagranicy.	waaronder; daarvan	Er zijn twintig leerlingen in onze klas, van wie er vijf uit het buitenland komen.	bland dem; däribland	Det finns tjugo elever i vår klass, varav fem kommer från utlandet.	blant dem; hvorav	Det er tjue elever i klassen vår, hvorav fem kommer fra utlandet.
气候	klimat	Czy potrafisz przyzwyczaić się do klimatu północy?	het klimaat	Kun je je aanpassen aan het noordelijke klimaat?	ett klimat	Kan du vänja dig vid klimatet i norr?	et klima	Kan du tilpasse deg klimaet i nord?
千万	koniecznie; za żadną cenę	Koniecznie nie zapomnij o jutrzejszym spotkaniu.	beslist; vooral niet	Vergeet de vergadering van morgen beslist niet.	se till att; absolut inte	Glöm absolut inte mötet i morgon.	for all del; absolutt ikke	For all del, ikke glem møtet i morgen.
签证	wiza	Jutro idę do ambasady złożyć wniosek o wizę.	het visum	Ik ga morgen naar de ambassade om een visum aan te vragen.	ett visum	Jag ska till ambassaden i morgon för att ansöka om visum.	et visum	Jeg skal til ambassaden i morgen for å søke om visum.
敲	pukać; uderzać	Ktoś puka do drzwi. Idź zobacz, kto to.	kloppen; slaan	Iemand klopt op de deur. Ga kijken wie het is.	knacka; slå	Någon knackar på dörren. Gå och se vem det är.	banke; slå	Noen banker på døren. Gå og se hvem det er.
桥	most	Nad rzeką jest mały most.	de brug	Er is een kleine brug over de rivier.	en bro	Det finns en liten bro över floden.	en bro	Det er en liten bro over elven.
巧克力	czekolada	Najbardziej lubię czekoladę.	de chocolade	Ik hou het meest van chocolade.	choklad	Jag älskar choklad mest.	sjokolade	Jeg liker sjokolade aller best.
亲戚	krewny	Większość moich krewnych mieszka w Pekinie.	het familielid; de verwant	De meeste van mijn familieleden wonen in Beijing.	en släkting	De flesta av mina släktingar bor i Peking.	en slektning	De fleste av slektningene mine bor i Beijing.
轻	lekki	To pudełko jest lekkie.	licht	Deze doos is licht.	lätt	Den här lådan är lätt.	lett	Denne esken er lett.
轻松	zrelaksowany; łatwy	Ta praca nie jest dla niego łatwa.	ontspannen; gemakkelijk	Deze baan is niet gemakkelijk voor hem.	avslappnad; lätt	Det här jobbet är inte lätt för honom.	avslappet; lett	Denne jobben er ikke lett for ham.
情况	sytuacja; okoliczności	Sytuacja bardzo się zmieniła.	de situatie; de omstandigheden	De situatie is sterk veranderd.	en situation; omständigheter	Situationen har förändrats mycket.	en situasjon; omstendigheter	Situasjonen har endret seg mye.
穷	biedny	Chociaż starszy pan jest bardzo biedny, żyje szczęśliwie.	arm	Hoewel de oude man erg arm is, leeft hij gelukkig.	fattig	Även om den gamle mannen är mycket fattig lever han lyckligt.	fattig	Selv om den gamle mannen er veldig fattig, lever han lykkelig.
区别	różnica; odróżniać	Czy jest jakaś różnica między tymi dwoma materiałami?	het verschil; onderscheiden	Is er enig verschil tussen deze twee materialen?	en skillnad; skilja	Är det någon skillnad mellan de här två materialen?	en forskjell; skille	Er det noen forskjell mellom disse to materialene?
取	brać; pobierać	Idę do banku wypłacić pieniądze.	nemen; opnemen	Ik ga naar de bank om geld op te nemen.	ta; hämta	Jag ska till banken för att ta ut pengar.	ta; hente	Jeg skal til banken for å ta ut penger.
全部	cały; wszystko	Muzyka jest dla mnie wszystkim.	alles; geheel	Muziek is alles voor mij.	allt; hela	Musik är allt för mig.	alt; hele	Musikk er alt for meg.
缺点	wada; słaby punkt	Nie można porównywać własnych wad z zaletami innych.	het nadeel; de zwakke plek	Je moet je eigen tekortkomingen niet vergelijken met de voordelen van anderen.	en nackdel; en svaghet	Man kan inte jämföra sina egna brister med andras fördelar.	en ulempe; en svakhet	Man kan ikke sammenligne sine egne svakheter med andres fordeler.
缺少	brakować; brak	Zobacz, czego jeszcze brakuje, kupię to teraz.	ontbreken; het tekort	Kijk wat er nog ontbreekt, dan koop ik het nu.	sakna; brist	Se vad som fortfarande saknas, så köper jag det nu.	mangle; mangel	Se hva som fortsatt mangler, så kjøper jeg det nå.
