simplified	PT	example_PT
问候	cumprimentar; enviar saudações	Por favor, envia cumprimentos meus à tua família.
卧室	o quarto	Há uma cama grande no quarto.
握手	apertar a mão	Eles apertaram as mãos quando se encontraram.
屋子	o quarto; a divisão	A divisão está quente.
无奈	sem alternativa; impotente	Ele abanou a cabeça sem alternativa.
无数	inúmeros	Há inúmeras estrelas no céu noturno.
无所谓	não importar; tanto faz	Tanto faz o que queres comer.
武术	as artes marciais	Ele estuda artes marciais desde pequeno.
勿	não; proibido	Por favor, não fumes aqui.
物理	a física	A aula de física é muito interessante.
物质	a substância; a matéria	A água é uma substância importante.
雾	o nevoeiro	De manhã havia muito nevoeiro.
吸取	absorver; tirar uma lição	Devemos tirar uma lição desta experiência.
吸收	absorver	As plantas absorvem água.
戏剧	o teatro; o drama	Ele gosta de ver teatro tradicional.
系	o departamento; a faculdade	Ela estuda no departamento de chinês.
系统	o sistema	Este sistema funciona de forma estável.
细节	o detalhe	Por favor, presta atenção a estes detalhes.
瞎	às cegas; sem fundamento	Não adivinhes sem fundamento; vê primeiro os materiais.
下载	descarregar	Descarreguei este programa informático.
吓	assustar	O som repentino assustou-me.
夏令营	o campo de verão	A criança participou num campo de verão de chinês.
鲜艳	vivo; vistoso	A cor desta saia é muito viva.
显得	parecer; fazer parecer	Esta roupa faz com que ele pareça muito jovem.
显然	obviamente; claramente	Obviamente, ele já sabe o resultado.
显示	mostrar; apresentar	O ecrã mostra a hora errada.
县	o concelho; o condado	Este condado tem muitas plantações de chá.
现代	moderno; a era moderna	A vida moderna não se separa da Internet.
现实	a realidade	Temos de enfrentar a realidade.
现象	o fenómeno	Este fenómeno é muito comum.
限制	restringir; limitar	A entrada de veículos é limitada aqui.
相处	dar-se bem	Eles dão-se muito bem.
相当	bastante; consideravelmente	Este livro é bastante interessante.
相对	relativamente	Os preços aqui são relativamente baratos.
相关	relevante; relacionado	Por favor, fornece os materiais relevantes.
相似	semelhante	O significado destes dois caracteres é muito semelhante.
香肠	a salsicha	Ao pequeno-almoço há ovos e salsicha.
享受	desfrutar	Eles estão a desfrutar das férias.
想念	ter saudades de	Tenho muitas saudades da minha família.
想象	imaginar	Não consigo imaginar esse tipo de vida.
象棋	o xadrez chinês	O avô gosta de jogar xadrez chinês.
象征	simbolizar; o símbolo	O branco simboliza muitas vezes a pureza.
项	item; classificador para tarefas	Esta tarefa é muito importante.
项链	o colar	Ela está a usar um colar de prata.
项目	o projeto	Este projeto precisa de três meses.
消费	o consumo	O consumo aumentou durante as festas.
消化	digerir; a digestão	Passear depois de comer ajuda a digestão.
消极	negativo; passivo	Não olhes para os problemas com uma atitude negativa.
消失	desaparecer	O sol desapareceu lentamente atrás da montanha.
销售	vender; as vendas	Esta empresa vende produtos eletrónicos.
小麦	o trigo	No norte planta-se muito trigo.
小气	forreta; mesquinho	Não sejas tão forreta.
孝顺	devotado aos pais; filial	Ele é muito dedicado aos pais.
效率	a eficiência	Fazer assim pode aumentar a eficiência.
歇	descansar; fazer uma pausa	Vamos descansar primeiro um pouco.
斜	inclinado	Esta estrada é um pouco inclinada.
写作	a escrita; escrever	A escrita exige prática a longo prazo.
心理	psicológico; mental	Antes do exame, é preciso ajustar o estado psicológico.
心脏	o coração	A saúde do coração é muito importante.
欣赏	apreciar; admirar	Apreciámos a bela paisagem.
信号	o sinal	O sinal do telemóvel aqui é mau.
信任	a confiança; confiar	Entre amigos é preciso haver confiança.
形成	formar-se; ganhar forma	Os bons hábitos precisam de se formar gradualmente.
形容	descrever	Não sei como descrever esta sensação.
形势	a situação; as circunstâncias	Atualmente a situação é relativamente complexa.
形式	a forma; o formato	A reunião pode realizar-se em formato virtual.
形象	a imagem	A imagem pública dele é muito boa.
形状	a forma	O formato desta caixa é muito especial.
行动	agir; a ação	Temos de agir imediatamente.
行人	o peão	Ao atravessar a estrada, presta atenção aos peões.
行为	o comportamento	Este tipo de comportamento é indelicado.
幸亏	felizmente	Felizmente, lembraste-me.
幸运	sortudo; sorte	Ele teve sorte em encontrar trabalho.
性质	a natureza; o carácter	A natureza deste problema é muito grave.
兄弟	os irmãos	Os dois irmãos têm uma boa relação.
胸	o peito	Ele sente um aperto no peito.
休闲	o lazer	O fim de semana é uma boa altura para lazer.
修改	alterar; rever	Por favor, revê este artigo.
虚心	modesto; de mente aberta	Devemos ouvir opiniões com mente aberta.
叙述	narrar; relatar	Ele relatou claramente o que aconteceu.
宣布	anunciar	A escola anunciou as novas regras.
宣传	promover; divulgar	Eles estão a divulgar conhecimentos de proteção ambiental.
学历	as habilitações académicas	Este trabalho exige licenciatura.
学术	académico	Esta reunião discute questões académicas.
学问	o conhecimento; a erudição	Ele tem muito conhecimento.
血	o sangue	A mão dele sangrou um pouco.
寻找	procurar	Estamos à procura de um novo método.
询问	perguntar; informar-se	Ele perguntou ao professor a hora do exame.
训练	treinar; o treino	O atleta treina todos os dias.
迅速	rápido; rapidamente	A notícia espalhou-se rapidamente.
押金	a caução; o depósito	Arrendar uma casa exige pagar caução.
牙齿	os dentes	Por favor, cuida bem dos dentes todos os dias.
严肃	sério	A expressão do professor é muito séria.
延长	prolongar; estender	A reunião prolongou-se por meia hora.
演讲	o discurso; a palestra	Ele está a preparar o discurso de amanhã.
宴会	o banquete; a receção	Eles participaram num banquete.
阳台	a varanda	Há vários vasos de flores na varanda.
痒	ter comichão	O meu braço tem um pouco de comichão.
样式	o estilo; o modelo	Este estilo é muito popular.
腰	a cintura; a zona lombar	Depois de estar sentado muito tempo, a zona lombar pode doer.
摇	abanar; balançar	O vento abanou os ramos de um lado para o outro.
咬	morder	Este cão não morde pessoas.
要不	então; que tal	Então vamos antes amanhã?
业务	o negócio; a atividade	Os negócios da empresa estão a crescer.
业余	nos tempos livres; amador	Ele estuda fotografia nos tempos livres.
夜	a noite	À noite, a rua está muito sossegada.
依然	ainda; como antes	Ele ainda vive em Pequim.
一辈子	a vida inteira	Ela amou música a vida inteira.
一旦	uma vez que; assim que	Uma vez tomada a decisão, é preciso persistir.
一律	todos; sem exceção	Durante a reunião, todos os telemóveis devem estar desligados.
一再	repetidamente	Ele lembrou-nos repetidamente de prestar atenção à segurança.
一致	unânime; consistente	As opiniões de todos são completamente unânimes.
疑问	a dúvida; a pergunta	Tenho uma dúvida sobre esta resposta.
移动	mover	Por favor, move a mesa um pouco.
移民	emigrar; imigrar	Eles planeiam emigrar para o estrangeiro.
遗憾	lamentar; pena	Lamento não ter conseguido ver-te.
乙	a parte B; segundo	No contrato, a parte B é responsável pelo pagamento.
以及	bem como; e	Comprei livros bem como material escolar.
以来	desde	Desde que se formou, ele trabalha sempre em Pequim.
义务	o dever; a obrigação	Proteger o ambiente é dever de todos.
亿	cem milhões; mil milhões	Este país tem mais de mil milhões de habitantes.
意外	inesperado; o acidente	Chegar atrasado desta vez foi completamente inesperado.
意义	o significado; o sentido	Esta atividade tem muito significado.
议论	discutir; comentar	Todos estão a discutir este assunto.
因而	por isso; portanto	Ele estuda muito, por isso tem boas notas.
因素	o fator	O tempo é um fator importante.
银	a prata; prateado	Ela está a usar uma pulseira de prata.
印刷	imprimir; a impressão	Este livro está impresso com muita nitidez.
英俊	bonito; elegante	Ele é muito bonito.
英雄	o herói	Os bombeiros são verdadeiros heróis.
营养	a nutrição	O pequeno-almoço deve ter nutrição suficiente.
营业	estar aberto; funcionar	Esta loja começa a funcionar às nove.
迎接	receber; acolher	Fomos ao aeroporto receber os convidados.
影子	a sombra	A sombra dele está debaixo do candeeiro de rua.
应付	lidar com; dar conta de	Ele consegue lidar com este problema.
应用	aplicar; a aplicação	Este método pode ser aplicado ao ensino.
硬	duro	Esta cadeira é demasiado dura.
硬件	o equipamento físico	Este computador tem bom equipamento físico.
拥抱	abraçar	A criança correu para abraçar a mãe.
拥挤	cheio; congestionado	O metro está muito cheio na hora de ponta da manhã.
勇气	a coragem	Ele tem coragem para admitir o erro.
用功	estudar com empenho	Ela estuda com muito empenho.
用途	o uso; a aplicação	Este material tem muitos usos.
优惠	o desconto; favorável	Esta loja tem descontos hoje.
优美	bonito; elegante	O ambiente aqui é muito bonito.
优势	a vantagem	A vantagem dele é ter muita experiência.
悠久	longo; antigo	A China tem uma longa história.
油炸	frito; fritar em óleo	Como raramente alimentos fritos.
游览	visitar; fazer turismo	Amanhã vamos visitar a Cidade Proibida.
犹豫	hesitar	Ele hesitou um pouco antes de responder.
有利	favorável; vantajoso	Esta condição é favorável para nós.
幼儿园	o jardim de infância	A criança vai para o jardim de infância no próximo ano.
娱乐	o entretenimento	Ver filmes é uma forma de entretenimento.
与其	em vez de	Em vez de reclamar, é melhor agir.
语气	o tom; a maneira de falar	O tom de voz dele é muito suave.
玉米	o milho	Ao jantar há sopa de milho.
预报	a previsão	A previsão do tempo diz que amanhã vai chover.
预订	reservar	Já reservei o hotel.
预防	prevenir	Lavar as mãos com frequência pode prevenir constipações.
元旦	o Dia de Ano Novo	No Dia de Ano Novo temos um dia de folga.
原料	a matéria-prima	A principal matéria-prima do pão é a farinha.
原则	o princípio	Uma pessoa deve ter princípios.
员工	o funcionário; o empregado	A empresa tem trezentos funcionários.
圆	redondo; o círculo	A lua está grande e redonda.
愿望	o desejo	O desejo dele é viajar à volta do mundo.
乐器	o instrumento musical	Ela sabe tocar vários instrumentos musicais.
晕	tonto; com tonturas	Fico um pouco tonto quando ando de barco.
运气	a sorte	Hoje tenho boa sorte.
运输	o transporte	Estas mercadorias precisam de transporte ferroviário.
运用	utilizar; aplicar	Por favor, utiliza estas palavras de forma flexível.
灾害	o desastre	As cheias são um tipo de desastre natural.
再三	repetidamente	O professor lembrou-nos repetidamente de rever a matéria.
在乎	importar-se com	Ele importa-se muito com a opinião dos amigos.
在于	estar em; residir em	O sucesso está na persistência.
赞成	concordar; aprovar	Concordo com a tua sugestão.
赞美	elogiar	Todos elogiaram a coragem dela.
糟糕	péssimo; terrível	O tempo hoje está mesmo péssimo.
造成	causar	A chuva forte causou um engarrafamento.
则	então; nesse caso	Se houver esforço, haverá progresso.
责备	culpar; repreender	O professor não o culpou.
摘	apanhar; colher	Ela apanhou uma flor no jardim.
窄	estreito	Esta estrada é demasiado estreita.
粘贴	colar	Por favor, cola a fotografia aqui.
展开	começar; desenvolver-se	A discussão começou rapidamente.
展览	a exposição	O museu tem uma nova exposição.
占	ocupar	Esta mesa ocupa espaço.
战争	a guerra	A guerra traz sofrimento às pessoas.
掌握	dominar; controlar	Ele já domina a gramática básica.
涨	subir	A renda voltou a subir recentemente.
长辈	os mais velhos; os familiares mais velhos	Durante o Ano Novo, devemos cumprimentar os familiares mais velhos.
账户	a conta	Por favor, verifica a tua conta bancária.
招待	receber; acolher	O anfitrião recebeu calorosamente os convidados.
着火	incendiar-se; pegar fogo	A cozinha pegou fogo de repente.
着凉	constipar-se	Está frio, não te constipes.
召开	realizar; convocar	A escola vai realizar uma reunião amanhã.
照常	como habitualmente	A loja vai abrir como habitualmente amanhã.
哲学	a filosofia	Ele estudou filosofia na universidade.
珍惜	valorizar; estimar	Devemos valorizar o tempo.
真实	verdadeiro; real	Esta história é verdadeira.
针对	dirigido a; visar	Esta sugestão é dirigida aos novos alunos.
诊断	o diagnóstico; diagnosticar	O médico fez rapidamente o diagnóstico.
振动	vibrar	O telemóvel está a vibrar em cima da mesa.
阵	um período curto; uma rajada	Lá fora caiu uma chuvada breve.
争论	discutir; debater	Eles discutiram este problema durante muito tempo.
争取	esforçar-se por; lutar por	Devemos esforçar-nos por conseguir mais oportunidades.
征求	pedir; solicitar	O professor pediu a opinião de todos.
挣	libertar-se; ganhar	O passarinho libertou-se da corda.
睁	abrir os olhos	Por favor, abre um pouco mais os olhos.
整个	todo; inteiro	Toda a cidade está muito sossegada.
整齐	arrumado; ordenado	Os livros estão muito bem arrumados.
整体	o todo; geral	Temos de considerar o efeito geral.
政府	o governo	O governo publicou um novo aviso.
政治	a política	Ele interessa-se muito por política.
正	correto; exatamente	Esta resposta está correta.
证件	o documento de identificação	Por favor, apresenta o teu documento de identificação.
证据	a prova; a evidência	A polícia encontrou novas provas.
支	classificador para objetos compridos	Há uma caneta em cima da mesa.
支票	o cheque	Ele pagou com cheque.
执照	a licença; a carta de condução	Para conduzir é preciso carta de condução.
直	direto; em frente	Segue sempre em frente por esta estrada.
指导	orientar	O professor orientou-nos na escrita da tese.
指挥	dirigir; comandar	Ele é responsável por dirigir esta ação.
制定	elaborar; formular	A empresa elaborou um novo plano.
制度	o sistema; o regime	A escola tem um sistema rigoroso.
制造	fabricar	Esta fábrica fabrica máquinas.
制作	fazer; produzir	Ela está a fazer um bolo de aniversário.
志愿者	o voluntário	Muitos voluntários participaram na atividade.
智慧	a sabedoria	Este idoso tem muita sabedoria.
治疗	tratar; o tratamento	O médico está a tratar o doente.
秩序	a ordem	Por favor, mantenham a ordem.
至今	até hoje	Este problema ainda não foi resolvido até hoje.
至于	quanto a	Quanto aos custos, falamos amanhã.
中介	a agência; o intermediário	Ele arrendou a casa através de uma agência.
中心	o centro	O hospital fica no centro da cidade.
中旬	meados do mês	A reunião está marcada para meados de maio.
种类	o tipo; a variedade	Há muitos tipos de fruta aqui.
重大	importante; de grande importância	Esta é uma decisão importante.
重量	o peso	Qual é o peso desta caixa?
周到	atencioso; cuidadoso	O serviço dele é muito atencioso.
猪	o porco	Há muitos porcos na quinta.
竹子	o bambu	Os pandas gostam de comer bambu.
逐步	passo a passo; gradualmente	O plano será implementado passo a passo.
逐渐	gradualmente	O tempo foi ficando gradualmente mais frio.
主持	presidir; apresentar	Ela preside à reunião de hoje.
主动	tomar a iniciativa	Ele tomou a iniciativa de ajudar o colega.
主观	subjetivo	Esta avaliação é um pouco subjetiva.
主人	o anfitrião; o dono	O anfitrião recebeu-nos calorosamente.
主任	o diretor; o chefe	O diretor está no escritório.
主题	o tema	O tema da discussão de hoje é a proteção ambiental.
主席	o presidente; o presidente da mesa	O presidente anunciou o início da reunião.
主张	defender; a posição	Ele defende resolver primeiro o problema do trânsito.
煮	cozer; cozinhar	A mãe está a cozinhar massa.
注册	registar-se	Os novos utilizadores precisam de se registar primeiro.
祝福	os votos; a bênção	Os amigos enviaram votos de felicidade.
抓	agarrar; apanhar	A criança agarrou a mão da mãe.
抓紧	aproveitar bem; apressar-se	Temos de aproveitar bem o tempo.
专家	o especialista	O especialista apresentou sugestões.
专心	concentrar-se; atento	Durante a aula, deves ouvir com atenção.
转变	a mudança; mudar	A atitude dele mudou.
转告	transmitir; dizer por alguém	Por favor, diz-lhe que há reunião amanhã.
装	pôr; fingir	Por favor, põe os livros na mala.
装饰	decorar	Eles decoraram o quarto com flores.
装修	renovar; fazer obras	A casa nova está em obras.
撞	colidir; bater	Dois carros colidiram no cruzamento.
状况	a situação; o estado	A situação atual está relativamente estável.
状态	o estado	Hoje ele está em muito boa forma.
追	perseguir; correr atrás	A criança corre atrás do cachorrinho.
追求	perseguir; procurar	Ele sempre perseguiu o seu sonho.
咨询	consultar; pedir aconselhamento	Podes consultar um médico especialista.
姿势	a postura	Por favor, mantém a postura correta.
资格	a qualificação; a elegibilidade	Ele tem qualificação para participar na competição.
资金	os fundos; o financiamento	O projeto precisa de mais financiamento.
资料	os materiais; a informação	Por favor, envia-me os materiais.
资源	o recurso	A água é um recurso natural importante.
紫	roxo; violeta	Ela gosta da cor roxa.
字母	a letra; o alfabeto	O inglês tem vinte e seis letras.
字幕	as legendas	Este filme tem legendas em chinês.
自从	desde	Desde que se formou, ele raramente voltou.
自动	automático; automaticamente	Esta porta abre automaticamente.
自豪	o orgulho; sentir orgulho	Sinto orgulho no meu progresso.
自觉	por iniciativa própria; consciente	Ele fez os trabalhos de casa por iniciativa própria.
自私	egoísta	Uma pessoa não deve ser demasiado egoísta.
自由	a liberdade	Todos valorizam a liberdade.
自愿	voluntário; por vontade própria	Eles participaram voluntariamente na atividade.
综合	integrar; abrangente	Precisamos de considerar todos os fatores de forma abrangente.
总裁	o diretor executivo; o presidente executivo	O diretor executivo fez um discurso hoje.
总共	no total	Esta viagem custou três mil yuan no total.
总理	o primeiro-ministro	O primeiro-ministro participou na reunião.
总算	finalmente	O problema finalmente ficou resolvido.
总统	o presidente	O presidente fez um discurso televisivo.
总之	em suma; resumindo	Em suma, temos de terminar a tempo.
组	o grupo	O professor dividiu-nos em três grupos.
组成	ser composto por; formar	A água é composta por hidrogénio e oxigénio.
组合	a combinação	Esta combinação de cores fica bonita.
组织	organizar; a organização	A escola organizou uma viagem.
阻止	impedir; travar	A polícia impediu o comportamento perigoso.
最初	no início	No início, eu não compreendia muito bem.
醉	bêbedo; embriagado	Ele bebeu demais e está um pouco bêbedo.
尊敬	respeitar	Os alunos respeitam muito o professor.
遵守	cumprir; obedecer a	Temos de cumprir as regras de trânsito.
作品	a obra	Este quadro é uma obra dele.
作为	como; na qualidade de	Como professor, ele é muito paciente.
作文	a redação; a composição	O professor pediu-nos para escrever uma redação.
