simplified	SV	example_SV
训练	träna; träning	Idrottaren tränar varje dag.
迅速	snabb	Nyheten spreds snabbt.
押金	en deposition	Att hyra bostad kräver att man betalar deposition.
牙齿	tänder	Ta väl hand om dina tänder varje dag.
严肃	allvarlig	Lärarens ansiktsuttryck var mycket allvarligt.
延长	förlänga	Mötet förlängdes med en halvtimme.
演讲	ett tal; föredrag	Han förbereder morgondagens tal.
宴会	en bankett	De deltog i en bankett.
阳台	en balkong	Det står flera krukor blommor på balkongen.
痒	klia	Min arm kliar lite.
样式	en stil; modell	Den här stilen är mycket populär.
腰	midja; ländrygg	Om man sitter länge kan ländryggen göra ont.
摇	skaka; gunga	Vinden skakade grenarna fram och tillbaka.
咬	bita	Den här hunden biter inte människor.
要不	annars; eller	Ska vi annars gå igen imorgon?
业务	affärsverksamhet	Företagets affärsverksamhet växer.
业余	på fritiden; amatör	Han studerar fotografi på fritiden.
夜	natt	Gatan är mycket tyst på natten.
依然	fortfarande	Han bor fortfarande i Beijing.
一辈子	ett helt liv	Hon älskade musik hela livet.
一旦	när; så snart som	När du väl har bestämt dig måste du hålla fast vid det.
一律	utan undantag	Alla telefoner ska vara avstängda under mötet.
一再	upprepade gånger	Han påminde oss upprepade gånger om säkerheten.
一致	överens; enhetlig	Allas åsikter är helt överens.
疑问	en fråga; tvekan	Jag har en fråga om det här svaret.
移动	flytta	Flytta bordet lite.
移民	immigrera; emigrera	De planerar att emigrera utomlands.
遗憾	beklagande; synd	Jag tycker det är synd att jag inte kunde träffa dig.
乙	part B; andra	I avtalet ansvarar part B för betalningen.
以及	och; samt	Jag köpte böcker och skrivmaterial.
以来	sedan	Sedan examen har han arbetat i Beijing.
义务	en skyldighet	Att skydda miljön är allas skyldighet.
亿	hundra miljoner; miljard	Det här landet har över en miljard invånare.
意外	oväntad; olycka	Att jag kom sent den här gången var helt oväntat.
意义	betydelse	Den här aktiviteten är mycket meningsfull.
议论	diskutera	Alla diskuterar den här saken.
因而	därför	Han studerar hårt, därför är hans betyg bra.
因素	en faktor	Vädret är en viktig faktor.
银	silver; silvrig	Hon bär ett silverarmband.
印刷	trycka	Den här boken är mycket tydligt tryckt.
英俊	stilig	Han ser mycket stilig ut.
英雄	en hjälte	Brandmän är verkliga hjältar.
营养	näring	Frukosten bör ha tillräcklig näring.
营业	hålla öppet	Den här butiken öppnar klockan nio.
迎接	välkomna; hämta	Vi åkte till flygplatsen för att ta emot gästerna.
影子	en skugga	Hans skugga syns under gatlyktan.
应付	hantera	Han kan hantera det här problemet.
应用	tillämpa	Den här metoden kan tillämpas i undervisningen.
硬	hård	Den här stolen är för hård.
硬件	hårdvara	Den här datorn har bra hårdvara.
拥抱	krama	Barnet sprang fram och kramade mamma.
拥挤	trång	Tunnelbanan är mycket trång under morgonrusningen.
勇气	mod	Han har mod att erkänna sitt misstag.
用功	studera flitigt	Hon studerar mycket flitigt.
用途	användning	Det här materialet har många användningsområden.
优惠	rabatt; förmån	Den här butiken har rabatt idag.
优美	vacker; elegant	Miljön här är mycket vacker.
优势	en fördel	Hans fördel är rik erfarenhet.
悠久	långvarig; anrik	Kina har en lång historia.
油炸	friterad	Jag äter sällan friterad mat.
游览	besöka; se sig omkring	Vi besöker Förbjudna staden imorgon.
犹豫	tveka	Han tvekade en stund innan han svarade.
有利	gynnsam	Det här villkoret är gynnsamt för oss.
幼儿园	en förskola	Barnet börjar på förskola nästa år.
娱乐	underhållning	Att se film är en form av underhållning.
与其	i stället för	I stället för att klaga är det bättre att agera.
语气	en ton	Hans ton när han talar är mycket mild.
玉米	majs	Det finns majssoppa till middag.
预报	en prognos	Väderprognosen säger att det regnar imorgon.
预订	boka	Jag har redan bokat hotellet.
预防	förebygga	Att tvätta händerna ofta kan förebygga förkylning.
元旦	nyårsdagen	Vi är lediga en dag på nyårsdagen.
原料	råvara	Den viktigaste råvaran i bröd är mjöl.
原则	en princip	Man bör ha principer i livet.
员工	en anställd	Företaget har trehundra anställda.
圆	rund	Månen är stor och rund.
愿望	en önskan	Hans önskan är att resa runt i världen.
乐器	ett musikinstrument	Hon kan spela flera musikinstrument.
晕	yr	Jag blir lite yr när jag åker båt.
运气	tur	Jag har ganska god tur idag.
运输	transport	De här varorna behöver transporteras med järnväg.
运用	använda; tillämpa	Använd de här orden flexibelt.
灾害	en katastrof	Översvämning är en naturkatastrof.
再三	upprepade gånger	Läraren påminde oss upprepade gånger om att repetera.
在乎	bry sig om	Han bryr sig mycket om sina vänners åsikter.
在于	ligga i	Framgång ligger i uthållighet.
赞成	hålla med	Jag håller med om ditt förslag.
赞美	berömma	Alla berömde hennes mod.
糟糕	dålig; hemsk	Vädret idag är verkligen hemskt.
造成	orsaka	Det kraftiga regnet orsakade trafikstockning.
则	då	Om man arbetar hårt gör man framsteg.
责备	klandra	Läraren klandrade honom inte.
摘	plocka	Hon plockade en blomma i trädgården.
窄	smal	Den här vägen är för smal.
粘贴	klistra	Klistra fast fotot här.
展开	börja; utveckla sig	Diskussionen kom snabbt igång.
展览	en utställning	Museet har en ny utställning.
占	ta upp	Det här bordet tar plats.
战争	krig	Krig ger människor lidande.
掌握	behärska	Han behärskar redan grundläggande grammatik.
涨	stiga	Hyran har stigit igen nyligen.
长辈	äldre släktingar	Vid nyår bör man hälsa på äldre släktingar.
账户	ett konto	Kontrollera ditt bankkonto.
招待	ta emot; bjuda	Värden tog varmt emot gästerna.
着火	börja brinna	Köket började plötsligt brinna.
着凉	bli förkyld	Det är kallt, bli inte förkyld.
召开	hålla; sammankalla	Skolan håller möte imorgon.
照常	som vanligt	Butiken har öppet som vanligt imorgon.
哲学	filosofi	Han studerade filosofi på universitetet.
珍惜	värdesätta	Vi bör värdesätta tiden.
真实	sann; verklig	Den här berättelsen är sann.
针对	riktad mot	Det här förslaget riktar sig till nya studenter.
诊断	en diagnos	Läkaren ställde snabbt en diagnos.
振动	vibrera	Mobilen vibrerar på bordet.
阵	en kort stund; skur	Det kom en kort regnskur ute.
争论	diskutera; argumentera	De diskuterade den här frågan länge.
争取	sträva efter	Vi bör sträva efter fler möjligheter.
征求	be om; inhämta	Läraren bad alla om deras åsikter.
挣	ta sig loss; tjäna	Fågeln tog sig loss från repet.
睁	öppna ögonen	Öppna ögonen lite mer.
整个	hela	Hela staden är mycket tyst.
整齐	prydlig	Böckerna står mycket prydligt.
整体	helhet	Vi måste tänka på helhetseffekten.
政府	regering	Regeringen utfärdade ett nytt meddelande.
政治	politik	Han är mycket intresserad av politik.
正	rätt; korrekt	Det här svaret är korrekt.
证件	legitimation	Visa din legitimation.
证据	bevis	Polisen hittade nya bevis.
支	räkneord för långa smala föremål	Det ligger en penna på bordet.
支票	en check	Han betalade med check.
执照	ett tillstånd; körkort	Att köra bil kräver körkort.
直	rakt	Gå rakt fram på den här vägen.
指导	vägleda	Läraren vägledde oss i att skriva uppsatsen.
指挥	leda; kommendera	Han ansvarar för att leda den här insatsen.
制定	utarbeta	Företaget utarbetade en ny plan.
制度	ett system	Skolan har ett strikt system.
制造	tillverka	Den här fabriken tillverkar maskiner.
制作	göra	Hon gör en födelsedagstårta.
志愿者	en volontär	Många volontärer deltog i aktiviteten.
智慧	visdom	Den äldre personen har stor visdom.
治疗	behandla	Läkaren behandlar patienten.
秩序	ordning	Upprätthåll ordning.
至今	hittills	Det här problemet har hittills inte lösts.
至于	vad gäller	Vad gäller kostnaden diskuterar vi den imorgon.
中介	en förmedling; mellanhand	Han hyrde bostaden genom en förmedling.
中心	ett centrum	Sjukhuset ligger i stadens centrum.
中旬	mitten av månaden	Mötet är planerat till mitten av maj.
种类	en sort	Det finns många sorters frukt här.
重大	viktig; stor	Det här är ett viktigt beslut.
重量	vikt	Vad väger den här lådan?
周到	omtänksam; noggrann	Hans service är mycket omtänksam.
猪	en gris	Det finns många grisar på gården.
竹子	bambu	Pandor tycker om att äta bambu.
逐步	stegvis	Planen kommer att genomföras stegvis.
逐渐	gradvis	Vädret blev gradvis kallare.
主持	leda; vara värd	Hon leder dagens möte.
主动	på eget initiativ	Han hjälpte sin klasskamrat på eget initiativ.
主观	subjektiv	Den här bedömningen är lite subjektiv.
主人	värd; ägare	Värden välkomnade oss varmt.
主任	chef; föreståndare	Chefen är på kontoret.
主题	ett tema	Dagens diskussionstema är miljöskydd.
主席	en ordförande	Ordföranden förklarade mötet öppnat.
主张	förespråka; åsikt	Han förespråkar att lösa trafikproblemet först.
煮	koka	Mamma kokar nudlar.
注册	registrera sig	Nya användare måste först registrera sig.
祝福	lyckönskningar	Vänner skickade lyckönskningar.
抓	gripa; ta	Barnet tog tag i mammas hand.
抓紧	utnyttja väl; hålla hårt	Vi måste utnyttja tiden väl.
专家	en expert	Experten gav förslag.
专心	koncentrerad	Man bör lyssna koncentrerat på lektionen.
转变	en förändring	Hans attityd förändrades.
转告	framföra ett meddelande	Berätta för honom att det är möte imorgon.
装	lägga i; låtsas	Lägg böckerna i väskan.
装饰	dekorera	De dekorerade rummet med blommor.
装修	renovera	Det nya huset renoveras.
撞	kollidera	Två bilar kolliderade i korsningen.
状况	en situation; ett tillstånd	Den nuvarande situationen är ganska stabil.
状态	tillstånd; form	Han är i god form idag.
追	jaga	Barnet jagar valpen bakifrån.
追求	eftersträva	Han har alltid eftersträvat sin dröm.
咨询	rådfråga	Du kan rådfråga en specialistläkare.
姿势	en hållning	Håll rätt hållning.
资格	kvalifikation	Han är kvalificerad att delta i tävlingen.
资金	finansiering; kapital	Projektet behöver mer finansiering.
资料	material; uppgifter	Skicka materialet till mig.
资源	resurser	Vatten är en viktig naturresurs.
紫	lila	Hon tycker om färgen lila.
字母	en bokstav	Engelskan har tjugosex bokstäver.
字幕	undertexter	Den här filmen har kinesiska undertexter.
自从	sedan	Sedan examen kommer han sällan tillbaka.
自动	automatisk	Den här dörren öppnas automatiskt.
自豪	stolt	Jag är stolt över mina framsteg.
自觉	medveten; självmant	Han gjorde läxan självmant.
自私	självisk	Man bör inte vara för självisk.
自由	frihet	Alla värdesätter frihet.
自愿	frivillig	De deltog frivilligt i aktiviteten.
综合	sammanfatta; integrera	Vi behöver överväga alla slags faktorer samlat.
总裁	vd	Vd:n höll ett tal idag.
总共	totalt	Den här resan kostade totalt tretusen yuan.
总理	statsminister	Statsministern deltog i mötet.
总算	äntligen	Problemet löstes äntligen.
总统	president	Presidenten höll ett tv-tal.
总之	kort sagt	Kort sagt måste vi bli klara i tid.
组	en grupp	Läraren delade in oss i tre grupper.
组成	bestå av	Vatten består av väte och syre.
组合	en kombination	Den här färgkombinationen ser bra ut.
组织	organisera; organisation	Skolan organiserade en resa.
阻止	hindra	Polisen hindrade det farliga beteendet.
最初	till en början	Till en början förstod jag inte riktigt.
醉	full	Han drack för mycket och är lite full.
尊敬	respektera	Alla studenter respekterar läraren.
遵守	följa	Vi måste följa trafikreglerna.
作品	ett verk	Den här tavlan är hans verk.
作为	som	Som lärare är han mycket tålmodig.
作文	en uppsats	Läraren bad oss skriva en uppsats.
