simplified	ML	example_ML
品种	ഇനം	ഈ തോട്ടത്തിൽ പല ഇനം മാങ്ങകളുണ്ട്.
屏幕	തിരശ്ശീല	കമ്പ്യൂട്ടറിന്റെ തിരശ്ശീല പെട്ടെന്ന് കറുപ്പായി.
屏障	തടസ്സഭിത്തി	മലകൾ ഗ്രാമത്തിന് പ്രകൃതിദത്ത തടസ്സഭിത്തിയാണ്.
平凡	സാധാരണമായ	സാധാരണമായ ദിവസത്തിലും അവൾ സന്തോഷം കണ്ടെത്തുന്നു.
平面	സമതലം	എഞ്ചിനീയർ കെട്ടിടത്തിന്റെ സമതലരേഖ വരച്ചു.
平坦	നിരപ്പായ	ഈ റോഡ് വളരെ നിരപ്പായതാണ്.
平行	സമാന്തരമായ	രണ്ട് രേഖകളും സമാന്തരമായി നീളുന്നു.
平庸	ശരാശരിയായ	അവന്റെ പ്രകടനം ശരാശരിയായിരുന്നെങ്കിലും സ്ഥിരതയുള്ളതായിരുന്നു.
平原	സമഭൂമി	നദിക്കരയിലെ സമഭൂമിയിൽ നെല്ല് വളരുന്നു.
评估	വിലയിരുത്തുക	വിദഗ്ധർ പദ്ധതിയുടെ ചെലവ് വിലയിരുത്തി.
评论	അഭിപ്രായപ്പെടുക	അവൾ പുസ്തകത്തെക്കുറിച്ച് വിശദമായി അഭിപ്രായപ്പെട്ടു.
坡	ചരിവ്	വണ്ടി ചരിവിലൂടെ പതുക്കെ ഇറങ്ങി.
泼	ചീറ്റിക്കുക	കുട്ടി അബദ്ധത്തിൽ വെള്ളം നിലത്തിൽ ചീറ്റിച്ചു.
颇	വളരെ	ഇന്ന് കാര്യങ്ങൾ വളരെ വിജയകരമായി നടന്നു.
破例	ഒഴിവാക്കൽ അനുവദിക്കുക	ഈ തവണ മാത്രം അധ്യാപകൻ ഒഴിവാക്കൽ അനുവദിച്ചു.
迫不及待	കാത്തിരിക്കാൻ കഴിയാത്ത	കുട്ടികൾ സമ്മാനം തുറക്കാൻ കാത്തിരിക്കാൻ കഴിഞ്ഞില്ല.
迫害	പീഡിപ്പിക്കുക	ചരിത്രത്തിൽ പല സമൂഹങ്ങൾക്കും പീഡനം അനുഭവിക്കേണ്ടി വന്നു.
魄力	ധൈര്യശക്തി	കഠിനസമയത്ത് അവൻ വലിയ ധൈര്യശക്തി കാണിച്ചു.
扑	ചാടി വീഴുക	കുട്ടി സന്തോഷത്തോടെ അച്ഛന്റെ മടിയിലേക്ക് ചാടി വീണു.
铺	വിരിച്ച് വയ്ക്കുക	അവൾ നിലത്തിൽ പായ വിരിച്ച് വച്ചു.
普及	വ്യാപകമാക്കുക	ഗ്രാമങ്ങളിൽ ശുദ്ധജല സേവനം വ്യാപകമാക്കണം.
朴实	ലളിതവും സത്യസന്ധവും	അവന്റെ ലളിതവും സത്യസന്ധവുമായ സ്വഭാവം എല്ലാവർക്കും ഇഷ്ടമാണ്.
朴素	ലളിതമായ	അവൾ ലളിതമായ വസ്ത്രം ധരിച്ചു.
瀑布	വെള്ളച്ചാട്ടം	മഴക്കാലത്ത് വെള്ളച്ചാട്ടം അതിസുന്ദരമായി.
凄凉	ശൂന്യവും ദുഃഖകരവുമായ	യുദ്ധത്തിനു ശേഷം ഗ്രാമം ശൂന്യവും ദുഃഖകരവുമായിരുന്നു.
期望	പ്രതീക്ഷ	മാതാപിതാക്കൾക്ക് കുട്ടികളോടു വലിയ പ്രതീക്ഷ ഉണ്ട്.
期限	കാലപരിധി	അപേക്ഷ സമർപ്പിക്കാനുള്ള കാലപരിധി നാളെ തീരും.
欺负	ഉപദ്രവിക്കുക	വലിയ കുട്ടികൾ ചെറുക്കുട്ടികളെ ഉപദ്രവിക്കരുത്.
欺骗	വഞ്ചിക്കുക	തെറ്റായ പരസ്യം ഉപഭോക്താക്കളെ വഞ്ചിച്ചു.
奇妙	അത്ഭുതകരമായ	പ്രകൃതിയിൽ പല അത്ഭുതകരമായ സംഭവങ്ങൾ കാണാം.
旗袍	ചിയോങ്സാം വസ്ത്രം	വിരുന്നിൽ അവൾ മനോഹരമായ ചിയോങ്സാം വസ്ത്രം ധരിച്ചു.
旗帜	പതാക	കാറ്റിൽ ചുവന്ന പതാക പാറി.
歧视	വിവേചനം കാണിക്കുക	ജോലിയിൽ ആരോടും വിവേചനം കാണിക്കരുത്.
齐全	പൂർണ്ണമായ	കടയിൽ ആവശ്യമായ ഉപകരണങ്ങൾ പൂർണ്ണമായി ഉണ്ടായിരുന്നു.
齐心协力	ഒറ്റമനസ്സോടെ സഹകരിക്കുക	ഗ്രാമവാസികൾ പാലം പണിയാൻ ഒറ്റമനസ്സോടെ സഹകരിച്ചു.
乞丐	ഭിക്ഷക്കാരൻ	വൃദ്ധനായ ഭിക്ഷക്കാരന് അവർ ഭക്ഷണം നൽകി.
企图	ശ്രമം	കള്ളൻ രക്ഷപ്പെടാനുള്ള ശ്രമം നടത്തി.
启程	യാത്രപുറപ്പെടുക	ഞങ്ങൾ പുലർച്ചെ യാത്രപുറപ്പെട്ടു.
启蒙	പ്രബോധനം	പുസ്തകങ്ങൾ കുട്ടികളുടെ പ്രബോധനത്തിന് സഹായിക്കുന്നു.
启事	അറിയിപ്പ്	സ്കൂളിന്റെ വാതിലിൽ പുതിയ അറിയിപ്പ് പതിച്ചു.
启示	ബോധോദയം	ആ അനുഭവം അവന് വലിയ ബോധോദയം നൽകി.
岂有此理	അസംബന്ധം	ഇത്ര അന്യായമായ തീരുമാനം പൂർണ്ണമായും അസംബന്ധമാണ്.
起草	കരട് തയ്യാറാക്കുക	അവൾ കരാറിന്റെ കരട് തയ്യാറാക്കി.
起初	ആദ്യം	ആദ്യം അവൻ ഈ പദ്ധതി സംശയത്തോടെ നോക്കി.
起伏	ഉയർച്ചതാഴ്ച	ഈ വഴിയിൽ പല ഉയർച്ചതാഴ്ചകൾ ഉണ്ട്.
起哄	കലഹം ഉണ്ടാക്കുക	ചിലർ യോഗത്തിൽ അനാവശ്യമായി കലഹം ഉണ്ടാക്കി.
起码	കുറഞ്ഞത്	ഈ ജോലി തീർക്കാൻ കുറഞ്ഞത് മൂന്ന് ദിവസം വേണം.
起源	ഉത്ഭവം	ഈ ആചാരത്തിന്റെ ഉത്ഭവം പഴയ ഗ്രാമജീവിതത്തിലാണ്.
器材	ഉപകരണങ്ങൾ	കായികപരിശീലനത്തിന് പുതിയ ഉപകരണങ്ങൾ വാങ്ങി.
器官	അവയവം	ഹൃദയം ശരീരത്തിലെ പ്രധാന അവയവമാണ്.
气概	ഉജ്ജ്വല മനോഭാവം	അവന്റെ ഉജ്ജ്വല മനോഭാവം എല്ലാവരെയും പ്രേരിപ്പിച്ചു.
气功	ചീഗോങ് അഭ്യാസം	വൃദ്ധൻ ദിവസവും രാവിലെ ചീഗോങ് അഭ്യാസം ചെയ്യുന്നു.
气魄	ധൈര്യഗംഭീരം	ഈ കെട്ടിടത്തിന്റെ രൂപകൽപ്പനയിൽ ധൈര്യഗംഭീരം കാണാം.
气色	മുഖനിറം	വിശ്രമത്തിന് ശേഷം അവളുടെ മുഖനിറം മെച്ചപ്പെട്ടു.
气势	ഗംഭീര ഭാവം	സേനയുടെ നീക്കം ഗംഭീര ഭാവം സൃഷ്ടിച്ചു.
气味	മണം	മുറിയിൽ പുഷ്പങ്ങളുടെ മണം നിറഞ്ഞു.
气象	കാലാവസ്ഥാവിദ്യ	അവൻ സർവകലാശാലയിൽ കാലാവസ്ഥാവിദ്യ പഠിക്കുന്നു.
气压	വായുമർദ്ദം	മഴയ്ക്കുമുമ്പ് വായുമർദ്ദം താഴ്ന്നു.
气质	സ്വഭാവഗുണം	അവളുടെ ശാന്തമായ സ്വഭാവഗുണം എല്ലാവർക്കും ഇഷ്ടമാണ്.
迄今为止	ഇതുവരെ	ഇതുവരെ പ്രശ്നത്തിന് വ്യക്തമായ മറുപടി കിട്ടിയിട്ടില്ല.
掐	നുള്ളുക	കുഞ്ഞ് പൂവിന്റെ തണ്ട് നുള്ളി.
恰当	യോജിച്ച	ഈ സാഹചര്യത്തിന് യോജിച്ച മറുപടി വേണം.
恰到好处	ശരിയായ അളവിൽ	അവളുടെ തമാശ ശരിയായ അളവിൽ ഉണ്ടായിരുന്നു.
恰巧	യാദൃച്ഛികമായി	ഞങ്ങൾ യാദൃച്ഛികമായി സ്റ്റേഷനിൽ കണ്ടുമുട്ടി.
洽谈	ചർച്ച നടത്തുക	രണ്ട് കമ്പനികളും സഹകരണത്തെക്കുറിച്ച് ചർച്ച നടത്തി.
千方百计	എല്ലാ വഴികളും പരീക്ഷിച്ച്	അവൻ എല്ലാ വഴികളും പരീക്ഷിച്ച് പ്രശ്നം പരിഹരിച്ചു.
牵	പിടിച്ചുനടത്തുക	അമ്മ കുഞ്ഞിന്റെ കൈ പിടിച്ചുനടത്തി.
牵扯	ഉൾപ്പെടുക	ഈ വിഷയം പല വകുപ്പുകളെയും ഉൾപ്പെടുത്തുന്നു.
牵制	നിയന്ത്രിച്ച് തടയുക	ചെറിയ സംഘം ശത്രുവിന്റെ നീക്കം നിയന്ത്രിച്ച് തടഞ്ഞു.
签署	ഒപ്പിടുക	രണ്ട് രാജ്യങ്ങളും കരാറിൽ ഒപ്പിട്ടു.
谦逊	വിനയമുള്ള	വിജയിച്ചിട്ടും അവൻ വളരെ വിനയമുള്ളവനാണ്.
迁就	വഴങ്ങിക്കൊടുക്കുക	ശാന്തി നിലനിർത്താൻ അവൾ പലപ്പോഴും വഴങ്ങിക്കൊടുക്കുന്നു.
迁徙	കുടിയേറുക	പക്ഷികൾ ശീതകാലത്ത് തെക്കോട്ട് കുടിയേറുന്നു.
前景	ഭാവി സാധ്യത	ഈ പദ്ധതിയുടെ ഭാവി സാധ്യത നല്ലതാണ്.
前提	മുൻവ്യവസ്ഥ	വിശ്വാസം നല്ല സഹകരണത്തിന്റെ മുൻവ്യവസ്ഥയാണ്.
潜力	ശേഷി	ഈ വിദ്യാർത്ഥിക്കു വലിയ ശേഷി ഉണ്ട്.
潜水	മുങ്ങൽ	അവൻ കടലിൽ മുങ്ങൽ പരിശീലിക്കുന്നു.
潜移默化	അറിവില്ലാതെ സ്വാധീനിക്കുക	കുടുംബാന്തരീക്ഷം കുട്ടികളെ അറിവില്ലാതെ സ്വാധീനിക്കും.
谴责	അപലപിക്കുക	സഭ അതിക്രമത്തെ ശക്തമായി അപലപിച്ചു.
抢劫	കവർച്ച നടത്തുക	കടയിൽ രാത്രി കവർച്ച നടന്നു.
强制	നിർബന്ധിക്കുക	നിയമം എല്ലാവരെയും സുരക്ഷാനിയമം പാലിക്കാൻ നിർബന്ധിക്കുന്നു.
强迫	ബലമായി നിർബന്ധിക്കുക	അവനെ ഇഷ്ടമില്ലാത്ത ജോലിക്ക് ബലമായി നിർബന്ധിക്കരുത്.
抢救	രക്ഷപ്പെടുത്തുക	ഡോക്ടർമാർ രോഗിയെ രക്ഷപ്പെടുത്താൻ ശ്രമിച്ചു.
桥梁	പാലം	വിദ്യാഭ്യാസം ആളുകൾക്കിടയിലെ പാലമാണ്.
窍门	ചാതുര്യമാർഗം	ഈ പ്രശ്നത്തിന് ചെറിയൊരു ചാതുര്യമാർഗം ഉണ്ട്.
翘	പൊങ്ങി നിൽക്കുക	പുസ്തകത്തിന്റെ ഒരു മൂല പൊങ്ങി നിൽക്കുന്നു.
切实	പ്രായോഗികമായ	നമുക്ക് പ്രായോഗികമായ പരിഹാരം വേണം.
锲而不舍	വിട്ടുകൊടുക്കാതെ ശ്രമിക്കുക	അവൻ വർഷങ്ങളോളം വിട്ടുകൊടുക്കാതെ ശ്രമിച്ചു.
亲密	അടുത്ത ബന്ധമുള്ള	അവർക്കിടയിൽ അടുത്ത ബന്ധമുണ്ട്.
亲热	സ്നേഹപൂർവ്വമായ	സുഹൃത്തുക്കൾ സ്നേഹപൂർവ്വമായി സംസാരിച്ചു.
侵犯	ലംഘിക്കുക	മറ്റുള്ളവരുടെ അവകാശം ലംഘിക്കരുത്.
侵略	അധിനിവേശം	അധിനിവേശം രാജ്യത്തിന് വലിയ നാശം വരുത്തി.
钦佩	ബഹുമാനത്തോടെ ആരാധിക്കുക	അവളുടെ ധൈര്യത്തെ എല്ലാവരും ബഹുമാനത്തോടെ ആരാധിച്ചു.
勤俭	പരിശ്രമിയും മിതവ്യയിയും	അവരുടെ കുടുംബം പരിശ്രമിയും മിതവ്യയിയുമാണ്.
勤劳	കഠിനാധ്വാനിയായ	കഠിനാധ്വാനിയായ കർഷകൻ വയലിൽ പുലർച്ചെ എത്തി.
倾听	ശ്രദ്ധിച്ചു കേൾക്കുക	നല്ല നേതാവ് ജനങ്ങളുടെ ശബ്ദം ശ്രദ്ധിച്ചു കേൾക്കും.
倾向	പ്രവണത	യുവാക്കൾക്ക് പുതിയ സാങ്കേതികതയിലേക്കുള്ള പ്രവണത കൂടുതലാണ്.
倾斜	ചായുക	പഴയ മതിൽ ഒരു വശത്തേക്ക് ചായുന്നു.
清澈	സുതാര്യമായ	തോടിലെ വെള്ളം വളരെ സുതാര്യമാണ്.
清晨	പുലർച്ചെ	പുലർച്ചെ പക്ഷികളുടെ ശബ്ദം കേട്ടു.
清除	നീക്കം ചെയ്യുക	തൊഴിലാളികൾ വഴിയിലെ മണ്ണ് നീക്കം ചെയ്തു.
清洁	ശുചിയായ	ശുചിയായ മുറിയിൽ പഠിക്കാൻ എളുപ്പമാണ്.
清理	വൃത്തിയാക്കുക	അവൾ മേശയിലെ പഴയ പേപ്പറുകൾ വൃത്തിയാക്കി.
清晰	വ്യക്തമായ	മൈക്രോഫോൺ വഴി അവന്റെ ശബ്ദം വ്യക്തമായി കേട്ടു.
清醒	ജാഗ്രതയുള്ള	നിർണ്ണയം എടുക്കുമ്പോൾ മനസ്സ് ജാഗ്രതയോടെ വേണം.
清真	ഹലാൽ	ഈ ഹോട്ടലിൽ ഹലാൽ ഭക്ഷണം ലഭിക്കും.
情报	രഹസ്യവിവരം	സുരക്ഷാസേനയ്ക്ക് പുതിയ രഹസ്യവിവരം ലഭിച്ചു.
情节	കഥാസന്ദർഭം	സിനിമയുടെ കഥാസന്ദർഭം വളരെ രസകരമാണ്.
情理	യുക്തിയും കാരണവും	അവന്റെ അഭ്യർത്ഥനയിൽ യുക്തിയും കാരണവും ഉണ്ട്.
情形	സ്ഥിതി	ഇപ്പോൾ സ്ഥിതി പതുക്കെ മെച്ചപ്പെടുന്നു.
晴朗	തെളിഞ്ഞ	ഇന്ന് ആകാശം തെളിഞ്ഞതാണ്.
请柬	ക്ഷണക്കത്ത്	വിവാഹത്തിന്റെ ക്ഷണക്കത്ത് ഇന്നലെ ലഭിച്ചു.
请教	ഉപദേശം ചോദിക്കുക	അവൾ അധ്യാപകനോട് ഉപദേശം ചോദിച്ചു.
请示	നിർദേശം ചോദിക്കുക	ജീവനക്കാരൻ മേലധികാരിയോട് നിർദേശം ചോദിച്ചു.
请帖	ക്ഷണക്കത്ത്	വിരുന്നിന് മനോഹരമായ ക്ഷണക്കത്ത് അയച്ചു.
丘陵	കുന്നിൻപ്രദേശം	കുന്നിൻപ്രദേശത്ത് ചെറിയ ഗ്രാമങ്ങൾ കാണാം.
区分	വേർതിരിക്കുക	സത്യവും അഭ്യൂഹവും വേർതിരിക്കാൻ പഠിക്കണം.
区域	പ്രദേശം	ഈ പ്രദേശത്ത് പുതിയ സ്കൂൾ തുറന്നു.
屈服	കീഴടങ്ങുക	അവൻ സമ്മർദ്ദത്തിന് കീഴടങ്ങിയില്ല.
曲折	വളവുകളുള്ള	മലയിലെ വഴി വളവുകളുള്ളതാണ്.
驱逐	പുറത്താക്കുക	അധികാരികൾ നിയമവിരുദ്ധ സംഘത്തെ പുറത്താക്കി.
渠道	വഴി	കർഷകർക്ക് വിൽപ്പനയ്ക്ക് പുതിയ വഴി ലഭിച്ചു.
取缔	നിരോധിക്കുക	നഗരം അപകടകരമായ വ്യാപാരം നിരോധിച്ചു.
曲子	ധൂനം	അവൾ പഴയ ധൂനം പതുക്കെ പാടി.
趣味	താൽപര്യം	അവനു ചരിത്രത്തിൽ വലിയ താൽപര്യം ഉണ്ട്.
圈套	കുടുക്ക്	അവൻ തട്ടിപ്പുകാരുടെ കുടുക്കിൽ വീണു.
全局	മൊത്തസ്ഥിതി	തീരുമാനത്തിന് മുമ്പ് മൊത്തസ്ഥിതി മനസ്സിലാക്കണം.
全力以赴	മുഴുവൻ ശക്തിയോടെ ശ്രമിക്കുക	സംഘം വിജയം നേടാൻ മുഴുവൻ ശക്തിയോടെ ശ്രമിച്ചു.
拳头	മുഷ്ടി	കോപത്തിൽ അവൻ മുഷ്ടി മുറുക്കി.
权衡	തൂക്കിനോക്കുക	നമുക്ക് ഗുണദോഷങ്ങൾ തൂക്കിനോക്കണം.
权威	അധികാരപ്രാമാണ്യം	ഈ വിഷയത്തിൽ അവൻ അധികാരപ്രാമാണ്യമുള്ള വിദഗ്ധനാണ്.
犬	നായ	കാവൽനായ വീട്ടുവാതിലിനരികിൽ നിന്നു.
缺口	വിടവ്	ഭിത്തിയിൽ ചെറിയൊരു വിടവ് ഉണ്ട്.
缺席	അഭാവം	അവന്റെ അഭാവം യോഗത്തിൽ ശ്രദ്ധിക്കപ്പെട്ടു.
缺陷	ദോഷം	യന്ത്രത്തിലെ ദോഷം ഉടൻ കണ്ടെത്തി.
瘸	മുടന്തനായ	പരിക്കിനുശേഷം അവൻ കുറച്ച് മുടന്തനായി നടന്നു.
确保	ഉറപ്പാക്കുക	സുരക്ഷ ഉറപ്പാക്കാൻ വാതിൽ പൂട്ടുക.
确立	സ്ഥാപിക്കുക	പുതിയ നിയമം വ്യക്തമായ മാനദണ്ഡം സ്ഥാപിച്ചു.
确切	കൃത്യമായ	എനിക്ക് കൃത്യമായ സമയം അറിയില്ല.
确信	ഉറപ്പായി വിശ്വസിക്കുക	അവൾ തന്റെ തീരുമാനം ശരിയെന്ന് ഉറപ്പായി വിശ്വസിക്കുന്നു.
群众	ജനക്കൂട്ടം	ജനക്കൂട്ടം മൈതാനത്ത് ഒത്തുകൂടി.
染	നിറം കൊടുക്കുക	അവൾ വസ്ത്രത്തിന് നീല നിറം കൊടുത്തു.
嚷	വിളിച്ചുപറയുക	അവൻ ദൂരത്ത് നിന്ന് എന്റെ പേര് വിളിച്ചുപറഞ്ഞു.
让步	വഴങ്ങിക്കൊടുക്കൽ	ചർച്ചയിൽ രണ്ടുപക്ഷവും ചെറിയ വഴങ്ങിക്കൊടുക്കൽ നടത്തി.
饶恕	ക്ഷമിക്കുക	അവൻ പഴയ തെറ്റ് ക്ഷമിച്ചു.
扰乱	അലോസരപ്പെടുത്തുക	ശബ്ദം ക്ലാസിന്റെ ശാന്തത അലോസരപ്പെടുത്തി.
惹祸	കുഴപ്പം വരുത്തുക	അശ്രദ്ധയായ വാക്കുകൾ വലിയ കുഴപ്പം വരുത്താം.
热泪盈眶	കണ്ണുനിറയുക	സന്തോഷവാർത്ത കേട്ട് അവളുടെ കണ്ണുനിറഞ്ഞു.
热门	ജനപ്രിയമായ	ഈ കോഴ്സ് ഇപ്പോൾ വളരെ ജനപ്രിയമാണ്.
人道	മാനവികത	യുദ്ധത്തിൽ പോലും മാനവികത പാലിക്കണം.
人格	വ്യക്തിത്വവും മാന്യതയും	സത്യസന്ധത വ്യക്തിത്വവും മാന്യതയും ശക്തമാക്കുന്നു.
人工	കൃത്രിമമായ	ഈ തടാകം കൃത്രിമമായി നിർമ്മിച്ചതാണ്.
人家	മറ്റുള്ളവർ	മറ്റുള്ളവർ എന്ത് പറയും എന്ന് മാത്രം ചിന്തിക്കരുത്.
人间	മനുഷ്യലോകം	കവിക്ക് മനുഷ്യലോകത്തിലെ സ്നേഹം പ്രധാനമാണ്.
人士	വ്യക്തി	സാംസ്കാരിക രംഗത്തെ പ്രമുഖ വ്യക്തി പ്രസംഗിച്ചു.
人为	മനുഷ്യനിർമ്മിതമായ	ഈ തീപിടിത്തം മനുഷ്യനിർമ്മിതമായ പിഴവാണ്.
人性	മനുഷ്യസ്വഭാവം	കരുണ മനുഷ്യസ്വഭാവത്തിന്റെ നല്ല ഭാഗമാണ്.
人质	ബന്ദി	പോലീസ് ബന്ദിയെ സുരക്ഷിതമായി രക്ഷപ്പെടുത്തി.
仁慈	കരുണയുള്ള	കരുണയുള്ള നേതാവ് ജനങ്ങളെ ശ്രദ്ധിച്ചു.
忍耐	സഹിക്കുക	ദീർഘചികിത്സയ്ക്ക് സഹനശക്തി വേണം.
忍受	സഹിച്ചുനിൽക്കുക	അവൾ വേദന ധൈര്യത്തോടെ സഹിച്ചുനിന്നു.
任命	നിയമിക്കുക	സർക്കാർ പുതിയ ഡയറക്ടറെ നിയമിച്ചു.
任性	പിടിവാശിയുള്ള	പിടിവാശിയുള്ള കുട്ടി ആരെയും കേട്ടില്ല.
任意	ഇഷ്ടാനുസൃതമായ	ഇഷ്ടാനുസൃതമായ മാറ്റങ്ങൾ സംവിധാനത്തെ ബാധിക്കും.
任重道远	വലിയ ഉത്തരവാദിത്വവും ദീർഘപഥവും	വിദ്യാഭ്യാസപരിഷ്കാരത്തിന് വലിയ ഉത്തരവാദിത്വവും ദീർഘപഥവുമുണ്ട്.
认定	ഉറപ്പായി കരുതുക	അവർ ഈ തെളിവ് നിർണ്ണായകമാണെന്ന് ഉറപ്പായി കരുതി.
认可	അംഗീകരിക്കുക	വിദഗ്ധർ പുതിയ രീതിയെ അംഗീകരിച്ചു.
仍旧	ഇപ്പോഴും	വർഷങ്ങൾ കഴിഞ്ഞിട്ടും അവൻ ഇപ്പോഴും അതേ വീട്ടിലാണ്.
日新月异	വേഗത്തിൽ മാറിമുന്നേറുക	സാങ്കേതിക ലോകം വേഗത്തിൽ മാറിമുന്നേറുന്നു.
日益	ദിവസേന കൂടുതൽ	നഗരത്തിലെ ഗതാഗതം ദിവസേന കൂടുതൽ തിരക്കേറുന്നു.
容貌	രൂപഭാവം	അവളുടെ രൂപഭാവം അമ്മയെ ഓർമ്മിപ്പിക്കുന്നു.
容纳	ഉൾക്കൊള്ളുക	ഈ ഹാൾ ആയിരം പേരെ ഉൾക്കൊള്ളും.
容器	പാത്രം	ചൂടുവെള്ളം സുരക്ഷിതമായ പാത്രത്തിൽ ഒഴിക്കുക.
容忍	സഹിക്കുക	അനീതിയെ നീണ്ടുനേരം സഹിക്കാനാവില്ല.
溶解	ലയിക്കുക	ഉപ്പ് വെള്ളത്തിൽ വേഗം ലയിക്കുന്നു.
荣幸	ബഹുമാനമായി തോന്നുക	ഇവിടെ സംസാരിക്കാൻ എനിക്ക് വലിയ ബഹുമാനമായി തോന്നുന്നു.
荣誉	ബഹുമതി	അവൾ ദേശീയ ബഹുമതി നേടി.
融化	ഉരുകുക	ചൂടിൽ മഞ്ഞ് പതുക്കെ ഉരുകി.
融洽	സൗഹൃദപരമായ ഐക്യം	സംഘത്തിനകത്ത് സൗഹൃദപരമായ ഐക്യം നിലനിൽക്കുന്നു.
揉	മൃദുവായി ഞെക്കുക	അമ്മ കുഞ്ഞിന്റെ കൈ മൃദുവായി ഞെക്കി.
柔和	മൃദുവായ	മുറിയിലെ വെളിച്ചം മൃദുവായിരുന്നു.
儒家	കോൺഫ്യൂഷ്യൻ പാരമ്പര്യം	കോൺഫ്യൂഷ്യൻ പാരമ്പര്യം വിദ്യാഭ്യാസത്തെ പ്രധാനമായി കാണുന്നു.
弱点	ദുർബലത	അവൻ സ്വന്തം ദുർബലത തുറന്ന് സമ്മതിച്ചു.
若干	ചില	റിപ്പോർട്ടിൽ ചില പ്രശ്നങ്ങൾ ചൂണ്ടിക്കാട്ടി.
撒谎	കള്ളം പറയുക	കള്ളം പറയുന്നത് വിശ്വാസം തകർക്കും.
散文	ഗദ്യരചന	അവൾ മനോഹരമായ ഗദ്യരചന എഴുതി.
散布	പ്രചരിപ്പിക്കുക	തെറ്റായ വാർത്തകൾ പ്രചരിപ്പിക്കരുത്.
散发	വിതരണം ചെയ്യുക	സ്വയംസേവകർ ഭക്ഷണപ്പൊതികൾ വിതരണം ചെയ്തു.
丧失	നഷ്ടപ്പെടുക	അശ്രദ്ധ കാരണം അവസരം നഷ്ടപ്പെട്ടു.
骚扰	ഉപദ്രവിച്ച് അലട്ടുക	അയൽവാസികളെ ശബ്ദംകൊണ്ട് ഉപദ്രവിച്ച് അലട്ടരുത്.
嫂子	ചേട്ടന്റെ ഭാര്യ	ചേട്ടന്റെ ഭാര്യ കുട്ടികൾക്ക് ഭക്ഷണം നൽകി.
刹车	ബ്രേക്ക് ഇടുക	ഡ്രൈവർ പെട്ടെന്ന് ബ്രേക്ക് ഇട്ടു.
啥	എന്ത്	അവൻ സംസാരഭാഷയിൽ എന്ത് എന്ന് ചോദിച്ചു.
筛选	തിരഞ്ഞെടുത്ത് വാരിവിടുക	അധ്യാപകൻ നല്ല ലേഖനങ്ങൾ തിരഞ്ഞെടുത്ത് വാരിവിട്ടു.
山脉	പർവതനിര	പർവതനിര മേഘങ്ങളിൽ മറഞ്ഞു.
闪烁	മിന്നിമറയുക	രാത്രിയിൽ നക്ഷത്രങ്ങൾ മിന്നിമറഞ്ഞു.
擅长	കഴിവുള്ള	അവൾ ചിത്രരചനയിൽ കഴിവുള്ളവളാണ്.
擅自	അനുമതിയില്ലാതെ	അനുമതിയില്ലാതെ മുറിയിൽ കടക്കരുത്.
伤脑筋	തലവേദനയായ	ഈ കണക്കുപ്രശ്നം എല്ലാവർക്കും തലവേദനയായി.
商标	വ്യാപാരമുദ്ര	കുപ്പിയിൽ കമ്പനിയുടെ വ്യാപാരമുദ്ര പതിഞ്ഞിരുന്നു.
上级	മേലധികാരി	അവൻ തീരുമാനം മേലധികാരിക്ക് അറിയിച്ചു.
上进	മുന്നേറാൻ ആഗ്രഹമുള്ള	മുന്നേറാൻ ആഗ്രഹമുള്ള വിദ്യാർത്ഥി കൂടുതൽ പരിശീലിച്ചു.
上任	പദവി ഏറ്റെടുക്കുക	പുതിയ മേയർ ഇന്ന് പദവി ഏറ്റെടുത്തു.
上瘾	അടിമപ്പെടുക	കളിയിൽ അധികം സമയം ചെലവഴിച്ചാൽ അതിന് അടിമപ്പെടാം.
上游	മുകളൊഴുക്ക്	നദിയുടെ മുകളൊഴുക്കിൽ മഴ കൂടുതലായിരുന്നു.
尚且	പോലും	വിദഗ്ധർക്കുപോലും ഈ പ്രശ്നം എളുപ്പമല്ല.
捎	കൊണ്ടുപോയി നൽകുക	വീട്ടിലേക്ക് ഈ കത്ത് കൊണ്ടുപോയി നൽകൂ.
梢	കൊമ്പിന്റെ അറ്റം	കൊമ്പിന്റെ അറ്റത്ത് ചെറിയ പക്ഷി ഇരുന്നു.
哨	വിസിൽ	കാവൽക്കാരൻ വിസിൽ മുഴക്കി.
奢侈	ആഡംബരമായ	അത്ര ആഡംബരമായ ചെലവ് ആവശ്യമില്ല.
舌头	നാവ്	ചൂട് ചായ കുടിച്ചതിനാൽ നാവ് പൊള്ളിച്ചു.
摄氏度	സെൽഷ്യസ് ഡിഗ്രി	ഇന്ന് താപനില മുപ്പത് സെൽഷ്യസ് ഡിഗ്രിയിലാണ്.
涉及	ഉൾപ്പെടുക	ഈ കരാറിൽ പല വകുപ്പുകളും ഉൾപ്പെടുന്നു.
社区	സമൂഹം	സമൂഹത്തിലെ എല്ലാവരും ശുചീകരണത്തിൽ പങ്കെടുത്തു.
设立	സ്ഥാപിക്കുക	ഗ്രാമത്തിൽ പുതിയ വായനശാല സ്ഥാപിച്ചു.
设想	സങ്കൽപ്പിക്കുക	അവൻ ഭാവിയിലെ നഗരത്തെ സങ്കൽപ്പിച്ചു.
设置	സജ്ജീകരിക്കുക	ഫോണിൽ സുരക്ഷാസംവിധാനം സജ്ജീകരിക്കുക.
