simplified	NE	example_NE
模范	नमुना	ऊ सम्पूर्ण विद्यालयका विद्यार्थीका लागि नमुना हो।
模式	ढाँचा	यो व्यापारिक ढाँचा धेरै सफल छ।
模型	नमुना मोडेल	इन्जिनियरले पुलको नमुना मोडेल बनायो।
磨合	तालमेल मिलाउनु	नयाँ टोलीलाई तालमेल मिलाउन समय चाहिन्छ।
膜	झिल्ली	यो झिल्लीले अशुद्धता छान्न सक्छ।
魔鬼	शैतान	कथाको शैतान निकै धूर्त थियो।
魔术	जादू	बालबालिकालाई जादू प्रदर्शन हेर्न मन पर्छ।
抹杀	मेटाउनु	उसको योगदान मेटाउन मिल्दैन।
墨水儿	मसी	कलमको मसी सकिन लागेको छ।
莫名其妙	अर्थ नबुझिने	उसको प्रतिक्रिया अर्थ नबुझिने थियो।
默默	चुपचाप	उनले चुपचाप धेरै मानिसलाई सहयोग गरिन्।
谋求	खोज्नु	व्यवसायले नयाँ विकास अवसर खोजिरहेको छ।
模样	रूपरङ	उसको अहिलेको रूपरङ धेरै बदलिएको छ।
母语	मातृभाषा	बालकले सानैदेखि मातृभाषा सिक्छ।
沐浴	नुहाउनु	बिहानको गाउँ घाममा नुहाएको जस्तो थियो।
目睹	प्रत्यक्ष देख्नु	धेरै मानिसले त्यो दुर्घटना प्रत्यक्ष देखे।
目光	नजर	सबैको नजर मञ्चमा केन्द्रित भयो।
拿手	निपुण	रातो मसलेदार माछा उसको निपुण परिकार हो।
纳闷儿	छक्क पर्नु	ऊ किन ढिलो आयो भनेर म लगातार छक्क परेँ।
耐用	टिकाउ	यो जुत्ता धेरै टिकाउ छ।
南辕北辙	लक्ष्यविपरीत काम गर्नु	उसको तरिका लक्ष्यविपरीत काम गर्नुजस्तै छ।
难得	दुर्लभ	यो दुर्लभ अवसर हो।
难堪	अप्ठ्यारो	यो प्रश्नले उसलाई धेरै अप्ठ्यारो पार्‍यो।
难能可贵	दुर्लभ र प्रशंसनीय	दबाबमा पनि इमानदार रहनु दुर्लभ र प्रशंसनीय छ।
恼火	रिस उठ्नु	उपकरण फेरि बिग्रियो, उसलाई धेरै रिस उठ्यो।
内涵	गहिरो अर्थ	यो शब्दमा समृद्ध सांस्कृतिक गहिरो अर्थ छ।
内幕	भित्री कुरा	पत्रकारले घटनाको भित्री कुरा अनुसन्धान गर्न खोज्यो।
内在	आन्तरिक	उसले मानिसको आन्तरिक गुणलाई बढी महत्व दिन्छ।
能量	ऊर्जा	यो बिहानको खाजाले मलाई धेरै ऊर्जा दियो।
拟定	मस्यौदा बनाउनु	सचिवले बैठकको कार्यसूचीको मस्यौदा बनाउँदैछिन्।
逆行	उल्टो दिशामा जानु	त्यो गाडी एकतर्फी बाटोमा उल्टो दिशामा गयो।
年度	वार्षिक	कम्पनीले वार्षिक प्रतिवेदन सार्वजनिक गर्‍यो।
捏	चिमोट्नु	उनले बच्चाको गाला हल्कासँग चिमोटिन्।
凝固	जम्नु	चिसिएपछि मैन बिस्तारै जम्छ।
凝聚	एकजुट पार्नु	साझा लक्ष्यले टोलीको शक्ति एकजुट पार्न सक्छ।
凝视	एकटक हेर्नु	ऊ टाढाको बत्तीतिर एकटक हेरिरह्यो।
拧	चिमोट्नु	उसले हातले मलाई एकपटक चिमोट्यो।
宁肯	बरु रोज्नु	उनी असफल हुन बरु रोज्छिन् तर सिद्धान्त त्याग्न चाहँदिनन्।
宁愿	बरु चाहनु	म बस पर्खिनुभन्दा बरु हिँड्न चाहन्छु।
扭转	उल्ट्याउनु	नयाँ नीतिले घाटाको अवस्था उल्ट्यायो।
纽扣儿	टाँक	यो कमिजको एउटा टाँक खस्यो।
农历	चन्द्र पात्रो	वसन्त पर्व चन्द्र पात्रोअनुसार मनाइन्छ।
浓厚	गहिरो	उसलाई इतिहासप्रति गहिरो रुचि छ।
奴隶	दास	प्राचीन समाजमा दास व्यवस्था थियो।
挪	सार्नु	कृपया कुर्सीलाई अलि छेउतिर सार्नुहोस्।
虐待	दुर्व्यवहार गर्नु	कानुनले बालबालिकामाथि दुर्व्यवहार गर्न निषेध गर्छ।
哦	ओहो	ओहो, म अन्ततः बुझें।
殴打	कुटपिट गर्नु	प्रहरीले बाटो हिँड्नेलाई कुटपिट गर्ने व्यक्तिलाई पक्राउ गर्‍यो।
偶像	आदर्श व्यक्ति	उनले त्यो लेखकलाई आफ्नो आदर्श व्यक्ति मान्छिन्।
呕吐	बान्ता गर्नु	बिग्रिएको खाना खाएपछि उसले बान्ता गर्न थाल्यो।
趴	घोप्टो पर्नु	सानो बिरालो झ्यालको चौकोसमा घोप्टो परेर सुत्यो।
徘徊	वरिपरि घुमिरहनु	ऊ ढोकामा धेरै बेर वरिपरि घुमिरह्यो।
排斥	अस्वीकार गर्नु	नयाँ पदार्थले चिस्यान अस्वीकार गर्छ।
排除	हटाउनु	चिकित्सकले पहिले गम्भीर रोग हटाउनुभयो।
排放	उत्सर्जन	कारखानाले धुवाँको उत्सर्जन घटाउनुपर्छ।
排练	पूर्वाभ्यास गर्नु	कलाकारहरू नयाँ कार्यक्रमको पूर्वाभ्यास गरिरहेका छन्।
派别	गुट	यो संगठनभित्र विभिन्न गुट छन्।
派遣	पठाउनु	कम्पनीले इन्जिनियरलाई स्थलमा पठायो।
攀登	चढ्नु	उनीहरूले भोलि हिउँपहाड चढ्ने योजना बनाए।
盘旋	घुमिरहनु	विमान विमानस्थलमाथि घुमिरह्यो।
判决	फैसला	अदालतले आज फैसला सुनायो।
畔	किनार	बालबालिका तालको किनारमा हिँडे।
庞大	विशाल	यो परियोजनालाई विशाल रकम चाहिन्छ।
抛弃	त्याग्नु	ऊ आफ्नो सपना त्याग्न चाहँदैन।
泡沫	फिँज	गिलासमा धेरै सेतो फिँज छ।
培育	विकास गर्नु	विद्यालयले विद्यार्थीको जिम्मेवारी भावना विकास गर्न प्रयास गर्छ।
配备	सुसज्जित गर्नु	नयाँ गाडी सुरक्षा प्रणालीले सुसज्जित छ।
配偶	जीवनसाथी	आवेदन फाराममा जीवनसाथीको जानकारी भर्नुपर्छ।
配套	पूरक सुविधा	समुदायमा पूर्ण पूरक सुविधा छन्।
盆地	उपत्यका	यो उपत्यका गर्मीमा निकै तातो हुन्छ।
烹饪	पकाउने कला	पकाउने कलामा धैर्य र अनुभव चाहिन्छ।
捧	दुवै हातले समात्नु	उनले दुवै हातले फूलको गुच्छा समातिन्।
劈	चिर्नु	मजदुरले बन्चरोले दाउरा चिर्‍यो।
批发	थोक बिक्री	यो पसलले मुख्यतः फलफूल थोक बिक्री गर्छ।
批判	आलोचना गर्नु	लेखले यस्तो गलत दृष्टिकोणको आलोचना गर्‍यो।
疲惫	थकित	लामो यात्रापछि सबैजना धेरै थकित भए।
疲倦	थकाइ लागेको	लगातार कामले उसलाई थकाइ लागेको छ।
皮革	छाला	यो झोला छालाले बनेको हो।
屁股	नितम्ब	बच्चा लडेपछि नितम्ब दुख्यो।
譬如	उदाहरणका लागि	उदाहरणका लागि, हामी पहिले सानो परीक्षण गर्न सक्छौँ।
偏差	विचलन	प्रयोगको नतिजामा स्पष्ट विचलन छ।
偏见	पूर्वाग्रह	हामीले जातीय पूर्वाग्रहबाट बच्नुपर्छ।
偏僻	दुर्गम	यो गाउँको स्थान धेरै दुर्गम छ।
偏偏	ठ्याक्कै उल्टो	म जति हतारिन्छु, गाडी ठ्याक्कै उल्टो झन् ढिलो हुन्छ।
片断	अंश	चलचित्रमा केही उत्कृष्ट अंश छन्।
片刻	क्षणभर	कृपया यहाँ क्षणभर मलाई पर्खनुहोस्।
漂浮	तैरिनु	झरेका पात पानीको सतहमा तैरिरहेका छन्।
飘扬	फहराउनु	राष्ट्रिय झन्डा हावामा फहराइरहेको छ।
撇	छेउमा राख्नु	उसले पुरानो योजना छेउमा राखिदियो।
拼搏	संघर्ष गर्नु	युवाहरूले आदर्शका लागि संघर्ष गर्नुपर्छ।
拼命	ज्यान दिएर प्रयास गर्नु	उसले अगाडिको टोली पछ्याउन ज्यान दिएर प्रयास गर्‍यो।
贫乏	कमजोर	यो लेखको सामग्री तुलनात्मक रूपमा कमजोर छ।
贫困	गरिबी	सरकारले गरिबीमा रहेका परिवारलाई सहयोग गर्छ।
频繁	बारम्बार	हाल यहाँ सडक दुर्घटना बारम्बार हुन्छ।
频率	आवृत्ति	यो आवाजको आवृत्ति धेरै उच्च छ।
品尝	चाख्नु	पाहुनाहरू स्थानीय परिकार चाखिरहेका छन्।
品德	नैतिक चरित्र	विद्यालयले विद्यार्थीको नैतिक चरित्र शिक्षालाई महत्व दिन्छ।
品质	गुणस्तर	यो कम्पनीका उत्पादनको गुणस्तर स्थिर छ।
品种	जात	बजारमा फलफूलका धेरै जात छन्।
屏幕	पर्दा	कृपया पर्दाको उज्यालो घटाउनुहोस्।
屏障	रक्षात्मक अवरोध	जंगल हावाबाट बचाउने महत्वपूर्ण रक्षात्मक अवरोध हो।
平凡	साधारण	ऊ साधारण पदमा धेरै वर्षदेखि काम गर्दैछ।
平面	समतल	डिजाइनरले घरको समतल नक्सा कोर्‍यो।
平坦	समथर	यो बाटो धेरै समथर छ।
平行	समानान्तर	यी दुई रेखा एकअर्कासँग समानान्तर छन्।
平庸	औसत	ऊ औसत जीवन बिताउन सन्तुष्ट छैन।
平原	मैदान	रेल विशाल मैदान पार गर्दै गयो।
评估	मूल्याङ्कन गर्नु	विशेषज्ञहरूले परियोजनाको जोखिम मूल्याङ्कन गरिरहेका छन्।
评论	टिप्पणी गर्नु	पाठकहरूले लेखमुनि टिप्पणी गर्न सक्छन्।
坡	उकालो	कार बिस्तारै उकालो चढ्यो।
泼	छ्याप्नु	पानी भुइँमा नछ्याप।
颇	निकै	यो नतिजा निकै अनपेक्षित छ।
破例	अपवाद गर्नु	व्यवस्थापकले उसका लागि अपवाद गरी आवेदन स्वीकृत गरे।
迫不及待	अधीर हुनु	बालबालिका उपहार खोल्न अधीर भए।
迫害	दमन गर्नु	इतिहासमा धेरै मानिस दमनको सिकार भए।
魄力	साहसिक निर्णय क्षमता	नेतृत्वलाई साहसिक निर्णय क्षमता चाहिन्छ।
扑	झम्टिनु	बच्चा एकैचोटि आमाको अँगालोमा झम्टियो।
铺	ओछ्याउनु	मजदुरहरूले नयाँ कालिन ओछ्याइरहेका छन्।
普及	व्यापक बनाउनु	इन्टरनेट शहरहरूमा व्यापक बनिसकेको छ।
朴实	सरल	उनको भाषा सरल र इमानदार छ।
朴素	सादा	उनलाई सादा जीवनशैली मन पर्छ।
瀑布	झरना	पर्यटकहरू झरनाछेउ फोटो खिच्न उभिए।
凄凉	उजाड	जाडोमा पहाडी गाउँ धेरै उजाड देखिन्छ।
期望	अपेक्षा	आमाबाबुको बच्चाप्रति उच्च अपेक्षा छ।
期限	म्याद	दर्ताको म्याद यस शुक्रबार हो।
欺负	हेप्नु	ठूला बच्चाले साना बच्चालाई हेप्नु हुँदैन।
欺骗	धोका दिनु	झुटो विज्ञापनले उपभोक्तालाई धोका दियो।
奇妙	अद्भुत	प्रकृतिमा धेरै अद्भुत घटना छन्।
旗袍	चिनियाँ शैलीको पोशाक	उनी रातो चिनियाँ शैलीको पोशाक लगाएर भोजमा सहभागी भइन्।
旗帜	झन्डा	चोकमा चम्किला झन्डा फहराइरहेका छन्।
歧视	भेदभाव	कानुनले कुनै पनि प्रकारको भेदभाव निषेध गर्छ।
齐全	पूरा	यो पसलमा औजारहरू धेरै पूरा छन्।
齐心协力	एकजुट भएर काम गर्नु	सबैले एकजुट भएर काम गरी कार्य पूरा गरे।
乞丐	भिखारी	बाटोछेउ एक वृद्ध भिखारी बसेका थिए।
企图	प्रयास गर्नु	उसले वास्तविक अवस्था लुकाउने प्रयास गर्‍यो।
启程	यात्रा सुरु गर्नु	प्रतिनिधिमण्डल भोलि बिहानै यात्रा सुरु गर्नेछ।
启蒙	प्रारम्भिक शिक्षा दिनु	यो पुस्तक बालबालिकाको प्रारम्भिक पढाइका लागि उपयुक्त छ।
启事	सूचना	विद्यालयको ढोकामा भर्ती सूचना टाँसिएको छ।
启示	महत्वपूर्ण शिक्षा	यो असफलताले हामीलाई महत्वपूर्ण शिक्षा दियो।
岂有此理	असंगत	यस्तो शुल्क साँच्चै असंगत छ।
起草	मस्यौदा तयार गर्नु	वकिलले सम्झौताको मस्यौदा तयार गर्दैछन्।
起初	सुरुमा	सुरुमा उसले यो समाचार विश्वास गरेन।
起伏	उकालो ओरालो हुनु	पहाडी बाटो भूभागसँगै उकालो ओरालो हुन्छ।
起哄	हल्ला मच्चाउनु	विद्यार्थीहरूले कक्षामा हल्ला मच्चाउनु हुँदैन।
起码	कम्तीमा	तिमीले कम्तीमा मलाई पहिल्यै खबर गर्नुपर्थ्यो।
起源	उत्पत्ति हुनु	यो चाड प्राचीन समयमा उत्पत्ति भएको हो।
器材	उपकरण	प्रयोगशालालाई नयाँ शिक्षण उपकरण चाहिन्छ।
器官	अङ्ग	मुटु मानव शरीरको महत्वपूर्ण अङ्ग हो।
气概	वीर भावना	यो कविताले वीर भावना देखाउँछ।
气功	श्वास व्यायाम	हजुरबुबा हरेक बिहान श्वास व्यायाम गर्नुहुन्छ।
气魄	भव्यता	यो ठूलो पुलमा धेरै भव्यता छ।
气色	अनुहारको रङ	आराम गरेपछि उनको अनुहारको रङ धेरै राम्रो भयो।
气势	जोश	टोलीको खेल सुरुबाटै धेरै जोशिलो थियो।
气味	गन्ध	भान्सामा टोस्ट रोटीको गन्ध छ।
气象	मौसम अवस्था	यहाँको उच्चभूमि मौसम अवस्था छिट्टै बदलिन्छ।
气压	वायुदाब	वायुदाब घट्दा वर्षा आउन सक्छ।
气质	स्वभाव	उनमा शान्त स्वभाव छ।
迄今为止	अहिलेसम्म	अहिलेसम्म प्रयोग राम्रोसँग अघि बढिरहेको छ।
掐	चुँड्नु	उनले एउटा सानो फूल चुँडिन्।
恰当	उचित	तिम्रो उत्तर धेरै उचित छ।
恰到好处	ठ्याक्कै मिलेको	यो परिकारको गुलियोपन ठ्याक्कै मिलेको छ।
恰巧	संयोगले	म स्टेशन पुग्दा संयोगले पानी पर्‍यो।
洽谈	वार्ता गर्नु	दुवै पक्ष सहकार्यका विवरणमा वार्ता गरिरहेका छन्।
千方百计	हरेक उपाय लगाएर	उनीहरूले हरेक उपाय लगाएर समाधान खोजे।
牵	हात समातेर लैजानु	आमाले बच्चाको हात समातेर बाटो पार गराइन्।
牵扯	सम्बन्धित हुनु	यो कुरा धेरै विभागसँग सम्बन्धित छ।
牵制	नियन्त्रणमा राख्नु	विपक्षीको रक्षाले आक्रमणलाई नियन्त्रणमा राख्यो।
签署	हस्ताक्षर गर्नु	दुई कम्पनीले सम्झौतामा हस्ताक्षर गरे।
谦逊	विनम्र	सफल भएपछि पनि ऊ विनम्र नै रह्यो।
迁就	अनुकूल हुन झुक्नु	आमाबाबुले सधैँ बच्चाको अनुकूल हुन झुक्नु हुँदैन।
迁徙	बसाइँ सर्नु	प्रवासी चरा हरेक वर्ष मौसमअनुसार बसाइँ सर्छन्।
前景	भविष्यको सम्भावना	यो उद्योगको भविष्यको सम्भावना राम्रो छ।
前提	पूर्वशर्त	विश्वास सहकार्यको पूर्वशर्त हो।
潜力	सम्भावना	यो विद्यार्थीमा ठूलो सम्भावना छ।
潜水	पानीमुनि डुबुल्की मार्नु	उनीहरू समुद्र किनारमा पानीमुनि डुबुल्की मार्न सिक्न गए।
潜移默化	अदृश्य रूपमा प्रभाव पार्नु	परिवारको वातावरणले बच्चालाई अदृश्य रूपमा प्रभाव पार्छ।
谴责	निन्दा गर्नु	अन्तर्राष्ट्रिय समुदायले हिंसात्मक व्यवहारको निन्दा गर्‍यो।
抢劫	लुटपाट गर्नु	प्रहरीले बैंक लुट्ने शंकित व्यक्तिलाई समात्यो।
强制	अनिवार्य बनाउनु	नयाँ नियमले चालकलाई सुरक्षा पेटी बाँध्न अनिवार्य बनाउँछ।
强迫	जबरजस्ती गर्नु	बच्चालाई मन नपर्ने काम गर्न जबरजस्ती नगर।
抢救	उद्धार उपचार गर्नु	चिकित्सकहरू घाइते मजदुरको उद्धार उपचार गरिरहेका छन्।
桥梁	पुल	भाषा सांस्कृतिक आदानप्रदानको पुल हो।
窍门	सिपिलो उपाय	उच्चारण सिक्न केही सिपिलो उपाय छन्।
翘	उठाउनु	उसले एउटा खुट्टा कुर्सीमा उठाएर राख्यो।
切实	व्यावहारिक	हामीलाई व्यावहारिक र सम्भव योजना चाहिन्छ।
锲而不舍	लगातार लागिरहनु	ऊ यो समस्याको अनुसन्धानमा लगातार लागिरह्यो।
亲密	नजिकको	उनीहरूले सधैँ नजिकको सम्बन्ध कायम राखे।
亲热	आत्मीय	वृद्धले पाहुनालाई आत्मीय रूपमा स्वागत गरे।
侵犯	उल्लङ्घन गर्नु	यस्तो व्यवहारले व्यक्तिगत गोपनीयता उल्लङ्घन गर्छ।
侵略	आक्रमण	जनताले कुनै पनि प्रकारको आक्रमणको विरोध गर्छन्।
钦佩	प्रशंसा गर्नु	म उनको साहसको धेरै प्रशंसा गर्छु।
勤俭	मेहनती र मितव्ययी	हजुरआमाले जीवनभर मेहनती र मितव्ययी भएर घर चलाउनुभयो।
勤劳	मेहनती	मेहनती मानिसले सधैँ अवसर सिर्जना गर्न सक्छ।
倾听	ध्यान दिएर सुन्नु	शिक्षकले विद्यार्थीको राय ध्यान दिएर सुन्नुभयो।
倾向	झुकाव हुनु	युवा उपभोक्ता अनलाइन किनमेलतिर झुकाव राख्छन्।
倾斜	ढल्किनु	भारी वर्षापछि पर्खाल ढल्किन थाल्यो।
清澈	निर्मल	पहाडको खोलाको पानी धेरै निर्मल छ।
清晨	बिहान सबेरै	बिहान सबेरैको हावा विशेष ताजा हुन्छ।
清除	हटाउनु	मजदुरहरूले बाटोको हिउँ हटाए।
清洁	सफा	अस्पतालले वातावरण सफा राख्नुपर्छ।
清理	सफा र मिलाउनु	सप्ताहान्तमा हामीले गोदाम सफा र मिलायौँ।
清晰	स्पष्ट	यो फोटो धेरै स्पष्ट छ।
清醒	सचेत	कफी पिएपछि ऊ धेरै सचेत भयो।
清真	हलाल	नजिकै एउटा हलाल भोजनालय छ।
情报	महत्वपूर्ण सूचना	पत्रकारले महत्वपूर्ण सूचना पाए।
情节	कथानक	उपन्यासको कथानक धेरै तनावपूर्ण छ।
情理	तर्कसंगतता	उसको माग तर्कसंगत छैन।
情形	अवस्था	स्थलको अवस्था सोचेभन्दा जटिल थियो।
晴朗	घमाइलो	आज आकाश असाधारण रूपमा घमाइलो छ।
请柬	निमन्त्रणा पत्र	उनीहरूले आफन्त र साथीलाई विवाहको निमन्त्रणा पत्र पठाए।
请教	सल्लाह माग्नु	म तपाईंलाई एउटा प्रश्नमा सल्लाह माग्न चाहन्छु।
请示	निर्देशन माग्नु	यो कुरा पहिले नेतृत्वसँग निर्देशन माग्नुपर्छ।
请帖	निमन्त्रणा कार्ड	टेबलमा जन्मदिनको निमन्त्रणा कार्ड राखिएको छ।
丘陵	डाँडाकाँडा	यो क्षेत्रमा डाँडाकाँडा धेरै छन्।
区分	छुट्याउनु	बच्चाले अब दायाँ र बायाँ छुट्याउन सक्छ।
区域	क्षेत्र	यो क्षेत्रमा पार्किङ निषेध छ।
屈服	झुक्नु	ऊ दबाबसामु झुकेन।
曲折	घुमाउरो	उनीहरूले घुमाउरो वार्ता प्रक्रिया भोगे।
驱逐	निकाल्नु	प्रहरीले उपद्रवी व्यक्तिहरूलाई निकाल्यो।
渠道	माध्यम	कम्पनीले नयाँ माध्यमबाट उत्पादन बिक्री गर्छ।
取缔	प्रतिबन्ध लगाउनु	सरकारले अवैध बजारमा प्रतिबन्ध लगायो।
曲子	धुन	यो धुनको लय धेरै सुन्दर छ।
趣味	रुचि	यो खेलमा धेरै रुचि छ।
圈套	फन्दा	ऊ झन्डै ठगको फन्दामा परेको थियो।
全局	समग्र अवस्था	नेतृत्वले समग्र हितबारे सोच्नुपर्छ।
全力以赴	पूर्ण प्रयास गर्नु	हामी कार्य पूरा गर्न पूर्ण प्रयास गर्नेछौँ।
拳头	मुट्ठी	उसले प्रतियोगिताका लागि मुट्ठी कस्यो।
权衡	तौलमोल गर्नु	हामीले लागत र प्रभाव तौलमोल गर्नुपर्छ।
权威	आधिकारिक विज्ञ	यी प्राध्यापक यस क्षेत्रमा आधिकारिक विज्ञ हुन्।
犬	कुकुर	यो जातको कुकुर घर कुर्न उपयुक्त छ।
缺口	सानो फाटो	पर्खालमा एउटा सानो फाटो छ।
缺席	अनुपस्थित हुनु	उनी बिरामी भएर बैठकमा अनुपस्थित भए।
缺陷	दोष	यो डिजाइनमा स्पष्ट दोष छ।
瘸	लङ्गडो	उनको देब्रे खुट्टा अलि लङ्गडो छ।
确保	सुनिश्चित गर्नु	कृपया ढोका ताल्चा लागेको सुनिश्चित गर्नुहोस्।
确立	स्थापित गर्नु	कम्पनीले नयाँ विकास लक्ष्य स्थापित गर्‍यो।
确切	ठ्याक्कै	मलाई ठ्याक्कै समय थाहा छैन।
确信	दृढ विश्वास हुनु	मलाई उनी समयमै आइपुग्ने दृढ विश्वास छ।
群众	सर्वसाधारण	सर्वसाधारणले नयाँ नीतिलाई धेरै समर्थन गरे।
染	रङ लगाउनु	उनले कपाल कालो रङमा रंगाइन्।
嚷	चिच्याउनु	करिडोरमा ठूलो स्वरले नचिच्याऊ।
让步	रियायत दिनु	दुवै पक्षले केही रियायत दिए।
饶恕	माफ गर्नु	उनले अन्ततः अर्को पक्षलाई माफ गर्ने रोजिन्।
扰乱	अव्यवस्थित पार्नु	हल्लाले कक्षाको व्यवस्था अव्यवस्थित पार्‍यो।
惹祸	समस्या निम्त्याउनु	जथाभावी मजाक गर्दा सजिलै समस्या निम्तिन्छ।
热泪盈眶	आँखा आँसुले भरिनु	राम्रो खबर सुनेर उनका आँखा आँसुले भरिए।
热门	चर्चित	कृत्रिम बुद्धिमत्ता चर्चित विषय हो।
人道	मानवीयता	उद्धार कार्यले मानवीय भावना देखायो।
人格	व्यक्तित्व	अरूलाई अपमान गर्दा व्यक्तित्वको गरिमामा चोट पुग्छ।
人工	मानव निर्मित	यो नदी मानव निर्मित रूपमा खनिएको हो।
人家	अरू मानिस	सधैँ आफूलाई अरू मानिससँग तुलना नगर।
人间	मानव संसार	वसन्तले मानव संसारलाई जीवन्त बनाउँछ।
人士	व्यक्ति	विभिन्न क्षेत्रका व्यक्तिहरू गोष्ठीमा सहभागी भए।
人为	मानवीय कारणले भएको	यो दुर्घटना मानवीय कारणले भएको थियो।
人性	मानव स्वभाव	यो चलचित्रले मानव स्वभावबारे छलफल गर्छ।
人质	बन्धक	प्रहरीले बन्धकलाई सफलतापूर्वक उद्धार गर्‍यो।
仁慈	दयालु	यी चिकित्सक बिरामीप्रति निकै दयालु छन्।
忍耐	धैर्य	लामो लाइनमा बस्न केही धैर्य चाहिन्छ।
忍受	सहनु	म यहाँको हल्ला सहन सक्दिनँ।
任命	नियुक्त गर्नु	सञ्चालक समितिले उनलाई प्रबन्धक नियुक्त गर्‍यो।
任性	जिद्दी	बच्चा धेरै जिद्दी भए उसको विकासमा असर पर्छ।
任意	मनपरी	कृपया डाटा मनपरी संशोधन नगर्नुहोस्।
任重道远	जिम्मेवारी ठूलो र बाटो लामो	शिक्षा सुधारको जिम्मेवारी ठूलो र बाटो लामो छ।
认定	ठहर गर्नु	प्रहरीले यो दुर्घटना हो भनेर ठहर गर्‍यो।
认可	स्वीकृति	उनको योजनाले सबैको स्वीकृति पायो।
仍旧	अझै पनि	धेरै वर्षपछि पनि उनी अझै यहीँ बस्छन्।
日新月异	तीव्र रूपमा बदलिनु	प्रविधि तीव्र रूपमा बदलिरहेको छ।
日益	दिनानुदिन	वातावरण समस्या दिनानुदिन गम्भीर बन्दै छ।
容貌	रूपरङ	समयले उनको रूपरङ बदल्यो।
容纳	अटाउनु	यो हलमा पाँच सय जना अट्न सक्छन्।
容器	भाँडो	कृपया तरल पदार्थ काँचको भाँडोमा हाल्नुहोस्।
容忍	सहन गर्नु	कम्पनीले ठगी व्यवहार सहन सक्दैन।
溶解	घुल्नु	नुन पानीमा घुल्छ।
荣幸	सम्मानित महसुस गर्नु	बैठकमा सहभागी हुन पाउँदा म सम्मानित महसुस गर्छु।
荣誉	सम्मान	यो पदक सर्वोच्च सम्मानको प्रतीक हो।
融化	पग्लिनु	घामले हिउँ बिस्तारै पगाल्यो।
融洽	सौहार्दपूर्ण	सहकर्मीहरूबीचको सम्बन्ध धेरै सौहार्दपूर्ण छ।
揉	मिच्नु	आमाले मेरो काँध बिस्तारै मिच्नुभयो।
柔和	कोमल	बत्तीको उज्यालो कोमल छ र आँखा पोल्दैन।
儒家	कन्फ्युसियस परम्परा	कन्फ्युसियस परम्पराको विचारले पूर्वी एसियाली संस्कृतिमा प्रभाव पारेको छ।
弱点	कमजोरी	लापरबाही उनको मुख्य कमजोरी हो।
若干	केही	बैठकले केही सुझाव प्रस्तुत गर्‍यो।
撒谎	झूट बोल्नु	बच्चाले झूट बोल्नु हुँदैन।
散文	गद्य	उनी आधुनिक गद्य पढ्न मन पराउँछिन्।
散布	फैलाउनु	इन्टरनेटमा कसैले अफवाह फैलायो।
散发	सुगन्ध फैलाउनु	बगैँचामा मिठो सुगन्ध फैलिरहेको छ।
丧失	गुमाउनु	उनले आत्मविश्वास गुमाएनन्।
骚扰	हैरान पार्नु	कृपया अरू यात्रुलाई हैरान नपार्नुहोस्।
嫂子	भाउजू	भाउजूले बनाएको खाना स्वादिष्ट छ।
刹车	ब्रेक लगाउनु	चालकले अचानक ब्रेक लगाए।
啥	के	तिमीले भर्खर के भन्यौ?
筛选	छान्नु	प्रणालीले जीवनवृत्त स्वतः छान्छ।
山脉	पर्वतमाला	यो पर्वतमाला धेरै लामो छ।
闪烁	टिमटिमाउनु	टाढाको बत्ती निरन्तर टिमटिमाइरहेको छ।
擅长	दक्ष हुनु	उनी जटिल समस्या समाधान गर्न दक्ष छन्।
擅自	अनुमतिबिना	कर्मचारीले अनुमतिबिना कामको ठाउँ छोड्न मिल्दैन।
伤脑筋	टाउको दुखाइ हुनु	यो समस्या साँच्चै टाउको दुखाइ हो।
商标	व्यापार चिह्न	कम्पनीले नयाँ व्यापार चिह्न दर्ता गर्‍यो।
上级	माथिल्लो अधिकारी	उनले माथिल्लो अधिकारीलाई अवस्था प्रतिवेदन गरे।
上进	उन्नति चाहने	उनी सधैँ उन्नति चाहने छिन्।
上任	पदभार ग्रहण गर्नु	नयाँ प्रबन्धक अर्को हप्ता पदभार ग्रहण गर्नेछन्।
上瘾	लत लाग्नु	धेरै मानिसलाई छोटा भिडियोको लत लागेको छ।
上游	माथिल्लो बहाव	प्रदूषण नदीको माथिल्लो बहावबाट आएको हो।
尚且	समेत	वयस्कहरू समेत गल्ती गर्छन्।
捎	सन्देश पुर्‍याउनु	कृपया मेरो सन्देश पुर्‍याइदिनुहोस्।
梢	टुप्पो	चरा रूखको टुप्पोमा बसेको छ।
哨	सन्तरी	ढोकामा एक जना सन्तरी छ।
奢侈	विलासी	यस्तो खर्च धेरै विलासी छ।
舌头	जिब्रो	उनको जिब्रो पोल्यो।
摄氏度	डिग्री सेल्सियस	आज तापक्रम तीस डिग्री सेल्सियस छ।
涉及	सम्बन्धित हुनु	प्रतिवेदन धेरै विभागसँग सम्बन्धित छ।
社区	समुदाय	समुदायले स्वास्थ्य व्याख्यान आयोजना गर्‍यो।
设立	स्थापना गर्नु	विद्यालयले छात्रवृत्ति स्थापना गर्‍यो।
设想	परिकल्पना	यो परिकल्पनाबारे अझै छलफल गर्नुपर्छ।
设置	मिलाउनु	कृपया गोप्य शब्द फेरि मिलाउनुहोस्।
呻吟	कराह्नु	बिरामी सानो स्वरमा कराहिरहेथे।
