simplified	SK	example_SK
结晶	plod	Tento výsledok je plodom mnohoročného úsilia
结局	koniec	Koniec príbehu bol nečakaný
结算	vyúčtovať	Klient požiadal, aby sa poplatky vyúčtovali na konci mesiaca
节制	striedmosť	V jedle a pití treba mať striedmosť
节奏	rytmus	Rytmus tejto piesne je rýchly
解除	zrušiť	Firma zrušila bezpečnostný poplach
解放	oslobodiť	Reforma oslobodila výrobné sily
解雇	prepustiť	Šéf sa rozhodol prepustiť toho zamestnanca
解剖	anatómia	Študenti medicíny študujú anatómiu
解散	rozísť sa	Po skončení schôdze sa skupina rozišla
解体	rozpadnúť sa	Tá aliancia sa nakoniec rozpadla
借鉴	poučiť sa	Môžeme sa poučiť zo zahraničných skúseností
借助	s pomocou	S pomocou mapy našiel trasu
戒备	pohotovosť	Pohraničná oblasť zostáva vo vysokej pohotovosti
界限	hranica	Práca a život potrebujú jasné hranice
津津有味	so záujmom	Deti počúvali príbeh s veľkým záujmom
金融	financie	Finančný trh dnes výrazne kolísal
紧迫	naliehavý	Čas je naliehavý a musíme konať okamžite
锦上添花	čerešnička na torte	Tento darček bol naozaj čerešničkou na torte
晋升	povýšiť	Minulý rok bol povýšený na manažéra oddelenia
浸泡	namáčať	Fazuľu treba namáčať cez noc
近来	nedávno	Nedávno sa počasie veľmi menilo
进而	potom	Najprv pochopte potreby a potom vypracujte plán
进攻	útok	Tím v druhom polčase posilnil útok
进化	evolúcia	Organizmy sa vyvíjajú spolu s prostredím
进展	pokrok	Projekt momentálne napreduje hladko
兢兢业业	svedomito	Tridsať rokov pracoval svedomito
惊动	vyrušiť	Hlasný zvuk vyrušil neďalekých obyvateľov
惊奇	úžas	Deti s úžasom sledovali kúzelnícke predstavenie
惊讶	prekvapiť	Jeho odpoveď ma prekvapila
精打细算	hospodárne plánovať	Domácnosť vždy vedie veľmi hospodárne
精华	podstata	Tento článok zhrnul podstatu teórie
精简	zoštíhliť	Firma sa rozhodla zoštíhliť manažment
精密	presný	Tento prístroj je veľmi presný
精确	presný	Údaje musia byť presné na dve desatinné miesta
精通	ovládať	Ovláda tri cudzie jazyky
精心	starostlivo	Matka starostlivo pripravila večeru
精益求精	usilovať sa o dokonalosť	Vynikajúci remeselníci sa vždy usilujú o dokonalosť
精致	jemný	Tento darček je veľmi jemne zabalený
经费	finančné prostriedky	Finančné prostriedky na výskum už boli schválené
经纬	zemepisná dĺžka a šírka	Na mape sú vyznačené čiary zemepisnej dĺžky a šírky
茎	stonka	Stonka rastliny podopiera listy
井	studňa	Pri vstupe do dediny je stará studňa
警告	varovať	Učiteľ varoval študentov, aby nepodvádzali
警惕	byť ostražitý	Musíme byť ostražití voči internetovým podvodom
颈椎	krčná chrbtica	Dlhé pozeranie nadol môže poškodiť krčnú chrbticu
境界	úroveň	Jeho maľba dosiahla novú úroveň
敬礼	salutovať	Vojak salutoval štátnej vlajke
敬业	oddaný práci	Pracuje seriózne a je veľmi oddaná práci
竞赛	súťaž	Škola usporiadala matematickú súťaž
竞选	kandidovať	Pripravuje sa kandidovať na primátora
镜头	objektív	Fotograf upravil objektív
纠纷	spor	Obe strany vyriešili spor mediáciou
纠正	opraviť	Učiteľ včas opravil chybu vo výslovnosti
酒精	alkohol	Lekár dezinfikoval ranu alkoholom
就近	blízky	Študenti sa môžu zapísať do blízkej školy
就业	zamestnanosť	Vláda zaviedla politiky na podporu zamestnanosti
就职	nastúpiť do funkcie	Nový manažér oficiálne nastúpi do funkcie budúci týždeň
救济	pomoc	Obete katastrofy dostali včasnú pomoc
居民	obyvateľ	Blízki obyvatelia sú proti hlukovému znečisteniu
居住	bývať	Bývajú tu už desať rokov
拘留	zadržať	Polícia podľa zákona zadržala podozrivého
拘束	nesmelý	Pred priateľmi netreba byť nesmelý
鞠躬	pokloniť sa	Herec sa divákom poklonil na poďakovanie
局部	miestny	Lekár urobil iba miestne znecitlivenie
局面	situácia	Rokovania zlepšili napätú situáciu
局势	situácia	Medzinárodná situácia zostáva zložitá
局限	obmedzenie	Táto metóda má zjavné obmedzenia
举动	čin	Jeho čin všetkých dojal
举世瞩目	upútať svetovú pozornosť	Tento projekt dosiahol výsledky, ktoré upútali svetovú pozornosť
举足轻重	kľúčový	Táto firma má v odvetví kľúčový vplyv
咀嚼	žuť	Pri jedle treba pomaly žuť
沮丧	sklamaný	Po prehre v zápase sa cítil veľmi sklamaný
剧本	scenár	Režisér upravuje scenár
剧烈	prudký	Zem sa prudko otriasla
据悉	podľa správ	Podľa správ bude schôdza odložená na budúci týždeň
聚精会神	sústredene	Deti sústredene počúvali hodinu
卷	zrolovať	Zroloval mapu a vložil ju do tašky
倔强	tvrdohlavý	Toto dieťa má tvrdohlavú povahu
决策	rozhodnutie	Vedenie diskutuje o dôležitom rozhodnutí
绝望	zúfalstvo	Po neúspechu istý čas cítil zúfalstvo
觉悟	vedomie	Táto skúsenosť zvýšila jeho vedomie
觉醒	prebúdzať sa	Environmentálne vedomie verejnosti sa prebúdza
军队	armáda	Armáda rýchlo dorazila do oblasti katastrofy
君子	čestný človek	Čestný človek by mal mať slová a činy v súlade
卡通	animovaný film	Dieťa rado pozerá animované filmy
开采	ťažiť	Táto firma zodpovedá za ťažbu nerastov
开除	vylúčiť	Škola sa rozhodla vylúčiť študenta, ktorý podvádzal
开阔	široký	Z vrcholu hory je veľmi široký výhľad
开朗	veselý	Má veselú povahu a veľa priateľov
开明	otvorený	Postoj rodičov je veľmi otvorený
开辟	otvoriť	Mesto otvorilo novú autobusovú linku
开拓	rozšíriť	Firma plánuje rozšíriť sa na zahraničné trhy
开展	uskutočniť	Škola uskutočnila aktivitu bezpečnostného vzdelávania
开支	výdavky	Mesačné výdavky rodiny sa zvýšili
刊登	publikovať	Noviny publikovali jeho článok
刊物	publikácia	Táto publikácia vychádza raz mesačne
勘探	prieskum	Inžiniersky tím robí prieskum podzemných vodných zdrojov
侃侃而谈	sebavedome rozprávať	Na schôdzi sebavedome a obšírne rozprával
砍伐	výrub	Svojvoľný výrub lesov je zakázaný
看待	vnímať	Mali by sme túto otázku vnímať objektívne
慷慨	štedrý	Štedro daroval svoju prémiu
抗议	protestovať	Obyvatelia protestovali proti stavbe novej továrne
考察	preskúmať	Odborníci išli na miesto preskúmať prostredie
考古	archeológia	Archeologický tím objavil staroveké hrobky
考核	hodnotiť	Firma každý rok hodnotí výkon zamestnancov
考验	skúška	Táto kríza bola skúškou schopností tímu
靠拢	priblížiť sa	Členovia tímu sa priblížili k stredu
磕	naraziť	Neopatrne narazil do rohu stola
科目	predmet	Matematika je jeho obľúbený predmet
可观	značný	Táto investícia priniesla značné výnosy
可口	chutný	Jedlá v tejto reštaurácii sú chutné
可恶	odporný	Takéto klamanie je naozaj odporné
可行	uskutočniteľný	Tento plán je v zásade uskutočniteľný
渴望	túžiť	Deti túžia po viacerých príležitostiach
克制	ovládať	Pri hádke treba ovládať emócie
刻不容缓	neznesie odklad	Ochrana vodných zdrojov neznesie odklad
客户	klient	Klient je so službou veľmi spokojný
课题	téma	Táto téma stojí za hlbší výskum
啃	obhrýzať	Dieťa obhrýza kus kukurice
恳切	úprimný	Úprimne požiadal všetkých o pomoc
坑	jama	Pri ceste je hlboká jama
空洞	prázdny	Obsah tejto správy je prázdny
空前绝后	bezprecedentný	Toto predstavenie možno nazvať bezprecedentným a neopakovateľným
空想	fantázia	Spoliehať sa iba na fantáziu nedokáže vyriešiť problémy
空虚	prázdnota	Po skončení zaneprázdnenia cítil prázdnotu
孔	otvor	V stene je malý otvor
恐怖	desivý	Ten film má desivú atmosféru
恐吓	zastrašovať	Druhá strana zastrašovala svedka hrozbami
恐惧	strach	Tma v dieťati vyvolala strach
空白	prázdne miesto	Prosím podpíšte sa na prázdne miesto
空隙	medzera	Medzi dverami a podlahou je medzera
口气	tón	Jeho tón reči bol veľmi tvrdý
口腔	ústna dutina	Lekár mu vyšetril ústnu dutinu
口头	ústny	Majú iba ústnu dohodu
口音	prízvuk	Jeho mandarínčina má mierny prízvuk
扣	zapnúť	Prosím zapnite si bezpečnostný pás
哭泣	plakať	Dievča sa schovalo do rohu a plakalo
枯萎	zvädnúť	Nedostatok vody spôsobil, že kvety zvädli
枯燥	nudný	Táto práca je trochu nudná
苦尽甘来	po ťažkostiach príde radosť	Po rokoch vytrvalosti konečne po ťažkostiach prišla radosť
苦涩	horký	Tento liečivý čaj chutí horko a trpko
挎	niesť na ruke	Vyšla von s látkovou taškou na ruke
跨	prekročiť	Prekročil priekopu a pokračoval dopredu
快活	veselý	Deti sa veselo hrali na tráve
宽敞	priestranný	Táto trieda je svetlá a priestranná
宽容	tolerancia	Spoločnosť potrebuje viac porozumenia a tolerancie
款待	pohostiť	Hostiteľ hostí srdečne pohostil
款式	štýl	Tento kus oblečenia má veľmi nový štýl
筐	kôš	Na chrbte niesol domov kôš jabĺk
况且	okrem toho	Cesta je ďaleko a okrem toho sa už stmieva
旷课	vymeškať hodinu	Študenti, ktorí bezdôvodne vymeškajú hodinu, budú zapísaní
框架	rámec	Správa musí mať najprv určený rámec
矿产	nerastné suroviny	Tento región je bohatý na nerastné suroviny
亏待	zaobchádzať nespravodlivo	Firma nebude nespravodlivo zaobchádzať so zamestnancami, ktorí pracujú poctivo
亏损	strata	Továreň tento rok utrpela vážne straty
捆绑	zviazať	Prosím pevne zviažte tieto škatule
扩充	rozšíriť	Škola plánuje rozšíriť zbierku knižnice
扩散	šíriť sa	Fáma sa rýchlo šírila na internete
扩张	rozširovať	Firma opatrne rozširuje podnikanie
啦	častica	Neboj sa, všetko sa zlepší
喇叭	klaksón	Klaksón auta sa zrazu ozval
蜡烛	sviečka	Na narodeninovej torte boli zapichnuté sviečky
来历	pôvod	Pôvod tejto kultúrnej pamiatky je nejasný
来源	zdroj	Správy musia uvádzať zdroj informácií
栏目	rubrika	Táto rubrika sa vysiela raz týždenne
懒惰	lenivosť	Lenivosť môže ovplyvniť výsledky učenia
狼狈	úbohý	Po daždi bol celý premočený a vyzeral veľmi úboho
狼吞虎咽	hltať	Bol vyhladovaný a hltal jedlo
捞	vytiahnuť	Rybár vytiahol z rieky sieť
唠叨	frflať	Matka vždy frfle pre maličkosti
牢固	pevný	Konštrukcia tohto mosta je veľmi pevná
牢骚	sťažnosť	Je plný sťažností, ale nechce sa zmeniť
乐趣	radosť	Čítanie jej prináša veľa radosti
乐意	rád	S radosťou ti pomôžem upraviť životopis
雷达	radar	Radar zachytil lietadlo v diaľke
类似	podobný	Podobné problémy sa objavili aj predtým
冷酷	chladný	Jeho tón znel veľmi chladne
冷落	zanedbávať	Nový zamestnanec mal pocit, že ho zanedbávajú
冷却	ochladiť	Stroj sa musí pred opravou najprv ochladiť
愣	stuhnúť	Keď počul tú správu, stuhol
黎明	úsvit	Za úsvitu sa mesto postupne prebúdzalo
理睬	všímať si	Bol nahnevaný a nikoho si nevšímal
理所当然	samozrejmý	Nepovažujte pomoc iných za samozrejmú
理直气壮	sebavedomo	S dostatočnými dôkazmi hovoril sebavedomo
理智	rozum	Pri konflikte treba zachovať rozum
礼节	etiketa	Rôzne kultúry majú rôznu etiketu
礼尚往来	zdvorilosť za zdvorilosť	Susedia si cenia vzájomnú zdvorilosť
里程碑	míľnik	Tento úspech je míľnikom projektu
例外	výnimka	Všetci sa musia zúčastniť, bez výnimky
利害	záujmy	Týka sa to záujmov oboch strán
力求	snažiť sa	Snažíme sa znížiť chyby na minimum
力所能及	v rámci možností	Prosím robte veci v rámci svojich možností
力争	usilovať sa	Tím sa usiluje dokončiť úlohu v predstihu
历代	minulé generácie	Tento problém skúmali učenci minulých generácií
历来	vždy	Toto mesto si vždy cenilo vzdelanie
立场	stanovisko	Na schôdzi vyjadril svoje stanovisko
立方	kubický	Táto nádrž má objem tri kubické metre
立交桥	mimoúrovňová križovatka	Táto mimoúrovňová križovatka zmiernila dopravné zápchy
立体	trojrozmerný	Tento obraz má silný trojrozmerný efekt
立足	opierať sa	Podniky by sa mali opierať o miestny trh
粒	zrno	Na stole je niekoľko zŕn ryže
廉洁	čestný	Štátni úradníci musia zostať čestní a bezúhonní
联欢	spoločné stretnutie	Spolužiaci usporiadali novoročné spoločné stretnutie
联络	kontaktovať	Prosím čo najskôr kontaktujte klienta
联盟	aliancia	Niekoľko krajín vytvorilo obchodnú alianciu
联想	spomenúť si	Táto fotografia mi pripomína detstvo
连年	rok čo rok	Tento región rok čo rok trpí povodňami
连锁	reťazec	Táto firma prevádzkuje reťazec supermarketov
连同	spolu s	Prosím pošlite faktúru spolu so zmluvou
良心	svedomie	Človek by mal žiť tak, aby nezradil svoje svedomie
晾	sušiť	Vyvesila oblečenie na balkón, aby sa sušilo
谅解	pochopenie	Dúfam, že môžete pochopiť naše ťažkosti
辽阔	rozsiahly	Trávnatá rovina je rozsiahla a nedovidieť na jej okraj
列举	vymenovať	Učiteľ vymenoval tri príklady
临床	klinický	Tento liek prechádza klinickými skúškami
淋	premoknúť	Nebuď v daždi príliš dlho, aby si nepremokol
吝啬	lakomý	Voči priateľom nikdy nie je lakomý
伶俐	šikovný	Toto dievčatko je múdre a šikovné
凌晨	nad ránom	Lietadlo odlieta o tretej nad ránom
灵感	inšpirácia	Hudba mu dala tvorivú inšpiráciu
灵魂	duša	Sloboda je dušou tohto diela
灵敏	citlivý	Tento prístroj reaguje veľmi citlivo
零星	roztrúsený	Na nočnej oblohe boli roztrúsené svetlá
领会	pochopiť	Rýchlo pochopil, čo učiteľ myslel
领事馆	konzulát	Išiel na konzulát vybaviť vízum
领土	územie	Každá krajina si cení územnú celistvosť
领悟	uvedomiť si	Po skúsenosti s neúspechom si uvedomil zodpovednosť
领先	viesť	Ich technológia momentálne vedie pred konkurenciou
领袖	líder	Tento líder je ľudom hlboko rešpektovaný
溜	vykĺznuť	Šteniatko vykĺzlo škárou vo dverách
流浪	túlať sa	Keď bol mladý, túlal sa z miesta na miesto
流露	prejaviť sa	Na jej tvári sa prejavila radosť
流氓	chuligán	Polícia chytila niekoľko pouličných chuligánov
流通	obiehať	Táto mena kedysi obiehala miestne
留恋	nerád odchádzať	Pri promócii všetci neradi opúšťali školský areál
留念	pamiatka	Pri bráne školy sme sa odfotili na pamiatku
留神	dávať pozor	Pri prechádzaní cez cestu musíš dávať pozor
聋哑	nepočujúci a nemý	Škola poskytuje pomoc nepočujúcim a nemým deťom
隆重	slávnostný	Konferencia sa slávnostne konala v aule
垄断	monopol	Monopol môže poškodiť trhovú súťaž
笼罩	zahaľovať	Hustá hmla zahaľovala celú dedinu
搂	objať	Matka jemne objala dieťa
炉灶	sporák	Sporák v kuchyni treba vyčistiť
轮船	loď	Loď pomaly opustila prístav
轮廓	obrys	Obrys vzdialených vrcholov bol veľmi jasný
轮胎	pneumatika	Pneumatiky auta treba vymeniť
论坛	fórum	Odborníci prednášali na fóre
论证	dokázať	Správa musí ďalej dokázať svoj argument
啰唆	rozvláčny	Nebuď rozvláčny a prejdi rovno k veci
络绎不绝	nepretržite	Návštevníci prichádzali do starého mesta nepretržite
落成	dokončiť stavbu	Nová telocvičňa bude zajtra oficiálne dokončená
落实	realizovať	Schôdza požadovala rýchlu realizáciu novej politiky
屡次	opakovane	Opakovane všetkým pripomínal, aby dbali na bezpečnosť
履行	splniť	Obe strany musia splniť zmluvné povinnosti
掠夺	plieniť	Vojna viedla k plieneniu zdrojov
嘛	častica	Táto vec je predsa jednoduchá
麻痹	ochabnutie	Dlhodobý hladký priebeh môže ľahko viesť k neopatrnosti
麻木	znecitlivený	Chlad mu znecitlivel prsty
麻醉	anestézia	Pred operáciou lekár pacienta uspal anestéziou
码头	prístavné mólo	Nákladná loď zakotvila pri prístavnom móle
蚂蚁	mravec	Mravce nesú potravu
埋伏	čakať v zálohe	Vojaci čakali v zálohe v údolí
埋没	nechať nepovšimnutý	Nedovoľte, aby talentovaní ľudia zostali nepovšimnutí
埋葬	pochovať	Dedinčania pochovali starca na úbočí kopca
脉搏	pulz	Sestra mu meria pulz
迈	urobiť krok	Rázne vykročil k dverám
埋怨	sťažovať sa	Nesťažuj sa stále na iných
慢性	chronický	Chronické choroby si vyžadujú dlhodobú liečbu
漫长	dlhý	Prešli dlhým čakaním
漫画	komiks	Tento komiks je veľmi obľúbený medzi mladými ľuďmi
蔓延	šíriť sa	Oheň sa rýchlo šíril hlboko do lesa
忙碌	zaneprázdnený	Koniec roka je vo firme najrušnejšie obdobie
盲目	slepý	Investovanie by nemalo slepo nasledovať trendy
茫茫	rozľahlý	Loď zmizla v rozľahlom mori
茫然	zmätený	Po vypočutí vysvetlenia stále vyzeral zmätene
冒充	vydávať sa za	Niekto sa vydával za policajta a podvodom vylákal peniaze
冒犯	uraziť	Moje slová ťa nemali uraziť
茂盛	bujný	Stromy na dvore rastú bujne
媒介	médium	Internet je dôležité informačné médium
枚	kus	Nazbieral niekoľko pamätných mincí
美观	pekný	Tento dizajn je praktický aj pekný
美满	šťastný	Žijú šťastný a naplnený život
美妙	úžasný	Koncert priniesol úžasný zážitok
萌芽	klíčiť	Začala klíčiť nová myšlienka
猛烈	prudký	Búrka prišla veľmi prudko
眯	prižmúriť	Slnko bolo príliš silné, a tak prižmúril oči
弥补	nahradiť	Ospravedlnenie nemôže úplne nahradiť stratu
弥漫	napĺňať	Vôňa kvetov napĺňala dvor
谜语	hádanka	Deti rady hádajú hádanky
迷惑	zmiasť	Zložité údaje ho zmiatli
迷人	očarujúci	Nočný výhľad pri mori je veľmi očarujúci
迷信	poverčivosť	Vedecké vzdelávanie môže znížiť poverčivosť
密度	hustota	Tento kov má vysokú hustotu
密封	utesniť	Po otvorení vrecko znovu utesnite
棉花	bavlna	Roľníci zbierajú bavlnu
免得	aby nie	Odíď skôr, aby si nemeškal
免疫	imunita	Táto vakcína môže zlepšiť imunitu
勉励	povzbudiť	Učiteľ často povzbudzuje študentov, aby pokračovali v štúdiu
勉强	neochotne	Neochotne súhlasil s týmto usporiadaním
面貌	vzhľad	Vzhľad mesta sa výrazne zmenil
面子	tvár	Nechcel na verejnosti stratiť tvár
描绘	opísať	Román opisuje vidiecky život
瞄准	mieriť	Strelec mieril na cieľ
渺小	malý	Pred prírodou sa ľudia zdajú veľmi malí
藐视	podceňovať	Nesmieme podceňovať žiadneho súpera
灭亡	zánik	Táto dynastia nakoniec smerovala k zániku
蔑视	pohŕdanie	Jeho tón bol plný pohŕdania
民间	ľudový	Ľudové umenie potrebuje ochranu
民主	demokracia	Na schôdzi sa použilo demokratické hlasovanie
敏捷	obratný	Pohyby športovca sú veľmi obratné
敏锐	bystrý	Novinári potrebujú bystrý pozorovací zmysel
名次	umiestnenie	V súťaži dosiahla dobré umiestnenie
名额	kvóta	Tento program má iba desať miest
名副其实	skutočný	Je skutočným odborníkom, nielen podľa mena
名誉	povesť	Táto vec poškodila povesť firmy
明明	zjavne	Zjavne poznal odpoveď, ale odmietol ju povedať
明智	múdry	Odložiť rozhodnutie bola múdra voľba
命名	pomenovať	Vedci pomenovali nový druh
摸索	hľadať	Tím stále hľadá nové metódy
摩擦	trenie	Medzi oboma krajinami vzniklo obchodné trenie
模范	vzor	Je vzorom pre všetkých študentov školy
模式	model	Tento obchodný model je veľmi úspešný
模型	model	Inžinier vyrobil model mosta
磨合	zohrávať sa	Nový tím potrebuje čas, aby sa zohral
膜	membrána	Táto membrána dokáže filtrovať nečistoty
魔鬼	diabol	Diabol v príbehu je veľmi prefíkaný
魔术	kúzlo	Deti rady sledujú kúzelnícke predstavenia
抹杀	vymazať	Jeho prínos nemožno vymazať
墨水儿	atrament	Atrament v pere je takmer minutý
莫名其妙	nepochopiteľný	Jeho reakcia ľuďom pripadala nepochopiteľná
默默	potichu	Potichu pomohla mnohým ľuďom
谋求	usilovať sa	Podnik sa usiluje o nové možnosti rozvoja
模样	vzhľad	Jeho vzhľad sa teraz veľmi zmenil
母语	materinský jazyk	Deti sa učia materinský jazyk od útleho veku
沐浴	kúpať sa	Ranná dedina sa kúpala v slnečnom svetle
目睹	vidieť na vlastné oči	Mnohí ľudia videli nehodu na vlastné oči
目光	pohľad	Pohľady všetkých sa sústredili na javisko
拿手	špecialita	Dusená ryba je jeho špecialita
纳闷儿	čudovať sa	Stále som sa čudoval, prečo mešká
耐用	trvácny	Tieto topánky sú veľmi trvácne
南辕北辙	ísť proti cieľu	Jeho postup ide proti cieľu
难得	vzácny	Je to vzácna príležitosť
难堪	trápny	Táto otázka ho dostala do trápnej situácie
难能可贵	chvályhodný	Zostať čestný pod tlakom je obzvlášť chvályhodné
恼火	nahnevaný	Zariadenie sa znovu pokazilo a on bol veľmi nahnevaný
内涵	význam	Toto slovo má bohatý kultúrny význam
内幕	zákulisie	Reportér sa pokúsil preskúmať zákulisie incidentu
内在	vnútorný	Viac si cení vnútorné vlastnosti človeka
能量	energia	Tieto raňajky mi dodávajú veľa energie
拟定	vypracovať	Tajomník vypracúva program schôdze
逆行	ísť opačným smerom	To auto išlo opačným smerom v jednosmernej ulici
年度	ročný	Firma zverejnila výročnú správu
捏	štípať	Jemne poštípala dieťa do líca
凝固	stuhnúť	Po ochladení vosk pomaly stuhne
凝聚	zjednotiť	Spoločný cieľ môže zjednotiť silu tímu
凝视	upretý pohľad	Upieral pohľad na svetlá v diaľke
拧	uštipnúť	Rukou ma raz uštipol
宁肯	radšej	Radšej zlyhá, než by sa vzdala svojich zásad
宁愿	radšej	Radšej pôjdem pešo, než čakať na autobus
扭转	zvrátiť	Nová politika zvrátila stratovú situáciu
纽扣儿	gombík	Tejto košeli odpadol gombík
农历	lunárny kalendár	Sviatok jari sa slávi podľa lunárneho kalendára
浓厚	silný	Má silný záujem o históriu
奴隶	otrok	Otroctvo existovalo v starovekej spoločnosti
挪	posunúť	Prosím posuň stoličku trochu nabok
虐待	týrať	Zákon zakazuje týrať deti
哦	ó	Ó, konečne tomu rozumiem
殴打	zbiť	Polícia zatkla človeka, ktorý zbil okoloidúceho
偶像	idol	Považuje toho spisovateľa za svoj idol
呕吐	vracať	Po zjedení pokazeného jedla začal vracať
趴	ležať na bruchu	Mačiatko ležalo na bruchu na parapete a spalo
徘徊	prechádzať sa sem a tam	Dlho sa prechádzal sem a tam pri dverách
排斥	odpudzovať	Nový materiál odpudzuje vlhkosť
排除	vylúčiť	Lekár najprv vylúčil vážnu chorobu
排放	emisie	Továrne musia znížiť výfukové emisie
排练	skúšať	Herci skúšajú nový program
派别	frakcia	V tejto organizácii sú rôzne frakcie
派遣	vyslať	Firma vyslala inžinierov na miesto
攀登	vyliezť	Plánujú zajtra vyliezť na zasneženú horu
盘旋	krúžiť	Lietadlo krúžilo nad letiskom
判决	rozsudok	Súd dnes oznámil rozsudok
畔	breh	Deti sa prechádzali pri brehu jazera
庞大	obrovský	Tento projekt si vyžaduje obrovské finančné prostriedky
抛弃	opustiť	Nechce opustiť svoj sen
泡沫	pena	V pohári je veľa bielej peny
培育	pestovať	Škola sa usiluje pestovať u študentov zmysel pre zodpovednosť
配备	vybaviť	Nové auto je vybavené bezpečnostným systémom
配偶	manžel	Vo formulári treba uviesť údaje o manželovi alebo manželke
配套	kompletný	Komunita má kompletné podporné zariadenia
盆地	kotlina	V tejto kotline je v lete veľmi horúco
烹饪	varenie	Varenie si vyžaduje trpezlivosť a skúsenosti
捧	držať oboma rukami	Držala kyticu kvetov oboma rukami
劈	štiepať	Robotník štiepal drevo sekerou
批发	veľkoobchod	Tento obchod sa zaoberá najmä veľkoobchodom s ovocím
批判	kritizovať	Článok kritizoval tento chybný názor
疲惫	vyčerpaný	Po dlhej ceste boli všetci vyčerpaní
疲倦	unavený	Nepretržitá práca ho unavila
皮革	koža	Táto taška je vyrobená z kože
屁股	zadok	Po páde dieťa bolel zadok
譬如	napríklad	Napríklad môžeme najprv urobiť malý test
偏差	odchýlka	Vo výsledkoch experimentu je zjavná odchýlka
偏见	predsudok	Mali by sme sa vyhýbať etnickým predsudkom
偏僻	odľahlý	Táto dedina leží na veľmi odľahlom mieste
偏偏	práve	Čím viac som sa ponáhľal, tým pomalšie práve išlo auto
片断	úryvok	Vo filme je niekoľko výborných úryvkov
片刻	chvíľa	Prosím počkaj tu na mňa chvíľu
漂浮	plávať	Opadané listy plávali na vode
飘扬	viať	Štátna vlajka viala vo vetre
撇	odhodiť	Starý plán odhodil nabok
拼搏	usilovať sa	Mladí ľudia by sa mali usilovať o svoje ideály
拼命	zo všetkých síl	Zo všetkých síl dobiehal tím pred sebou
贫乏	chudobný	Obsah tohto článku je dosť chudobný
贫困	chudobný	Vláda pomáha chudobným rodinám
频繁	častý	Dopravné nehody sú tu v poslednom čase časté
频率	frekvencia	Frekvencia tohto zvuku je veľmi vysoká
品尝	ochutnať	Hostia ochutnávajú miestne jedlo
品德	morálny charakter	Škola si cení morálnu výchovu študentov
品质	kvalita	Kvalita výrobkov tejto firmy je stabilná
品种	odroda	Na trhu je veľa odrôd ovocia
屏幕	obrazovka	Prosím zníž jas obrazovky
屏障	bariéra	Les je dôležitou bariérou proti vetru
平凡	obyčajný	Dlhé roky pracoval na obyčajnom mieste
平面	pôdorys	Dizajnér nakreslil pôdorys domu
平坦	rovný	Táto cesta je veľmi rovná
平行	rovnobežný	Tieto dve čiary sú navzájom rovnobežné
平庸	priemerný	Nie je spokojný s priemerným životom
平原	rovina	Vlak prechádzal cez rozľahlú rovinu
评估	posúdiť	Odborníci posudzujú riziká projektu
评论	komentovať	Čitatelia môžu komentovať pod článkom
坡	svah	Auto pomaly vyšlo na svah
泼	vyliať	Nevylievaj vodu na podlahu
颇	dosť	Tento výsledok je dosť prekvapujúci
破例	urobiť výnimku	Manažér urobil výnimku a schválil jeho žiadosť
迫不及待	nevedieť sa dočkať	Deti sa nevedeli dočkať otvorenia darčekov
迫害	prenasledovať	V dejinách bolo mnoho ľudí prenasledovaných
魄力	rozhodnosť	Lídri potrebujú rozhodnosť pri prijímaní rozhodnutí
扑	vrhnúť sa	Dieťa sa zrazu vrhlo matke do náručia
铺	položiť	Robotníci kladú nový koberec
普及	rozšírený	Internet je už v mestách veľmi rozšírený
朴实	úprimný	Jeho jazyk je jednoduchý a úprimný
朴素	jednoduchý	Má rada jednoduchý spôsob života
瀑布	vodopád	Turisti stáli pri vodopáde a fotografovali sa
凄凉	pustý	Horská dedina vyzerala v zime veľmi pusto
期望	očakávanie	Rodičia majú od svojich detí veľké očakávania
期限	termín	Termín registrácie je tento piatok
欺负	šikanovať	Staršie deti by nemali šikanovať mladšie deti
欺骗	oklamať	Falošná reklama oklamala spotrebiteľov
奇妙	úžasný	Príroda má mnoho úžasných javov
旗袍	čchi-pchao	Na večierok si obliekla červené čchi-pchao
旗帜	zástava	Na námestí viali jasné zástavy
歧视	diskriminovať	Zákon zakazuje akúkoľvek formu diskriminácie
齐全	kompletný	Tento obchod má kompletný sortiment náradia
齐心协力	spoločne sa usilovať	Všetci sa spoločne usilovali dokončiť úlohu
乞丐	žobrák	Pri ceste sedel starý žobrák
企图	pokus	Pokúsil sa skryť skutočnú situáciu
启程	vyraziť	Delegácia vyrazí zajtra skoro ráno
启蒙	úvodný	Táto kniha je vhodná ako úvodné čítanie pre deti
启事	oznámenie	Pri bráne školy bolo vyvesené oznámenie o nábore
启示	poučenie	Tento neúspech nám dal dôležité poučenie
岂有此理	absurdný	Takýto poplatok je naozaj absurdný
起草	vypracovať	Právnik vypracúva zmluvu
起初	spočiatku	Spočiatku tej správe neveril
起伏	stúpať a klesať	Horská cesta stúpa a klesá podľa terénu
起哄	robiť rozruch	Študenti by nemali robiť rozruch na hodine
起码	prinajmenšom	Prinajmenšom by si ma mal vopred informovať
起源	pôvod	Tento sviatok má pôvod v dávnych časoch
器材	vybavenie	Laboratórium potrebuje nové učebné vybavenie
器官	orgán	Srdce je dôležitý orgán ľudského tela
气概	duch	Táto báseň ukazuje hrdinského ducha
