simplified	LO	example_LO
面子	ໜ້າຕາ	ລາວບໍ່ຢາກເສຍໜ້າຕາຕໍ່ໜ້າຄົນອື່ນ.
描绘	ພັນລະນາວາດພາບ	ນິຍາຍເລື່ອງນີ້ພັນລະນາວາດພາບຊີວິດຊົນນະບົດ.
瞄准	ເລັງ	ນັກຍິງປືນເລັງເປົ້າໝາຍ.
渺小	ນ້ອຍຈ້ອຍ	ມະນຸດເບິ່ງນ້ອຍຈ້ອຍຫຼາຍຕໍ່ໜ້າທຳມະຊາດ.
藐视	ດູຖູກ	ພວກເຮົາບໍ່ຄວນດູຖູກຄູ່ແຂ່ງໃດໆ.
灭亡	ລົ້ມສະຫຼາຍ	ລາຊະວົງນີ້ສຸດທ້າຍກໍໄປສູ່ການລົ້ມສະຫຼາຍ.
蔑视	ດູໝິ່ນ	ນ້ຳສຽງຂອງລາວເຕັມໄປດ້ວຍການດູໝິ່ນ.
民间	ພື້ນບ້ານ	ສິລະປະພື້ນບ້ານຕ້ອງໄດ້ຮັບການປົກປ້ອງ.
民主	ປະຊາທິປະໄຕ	ກອງປະຊຸມໃຊ້ວິທີລົງຄະແນນແບບປະຊາທິປະໄຕ.
敏捷	ວ່ອງໄວ	ນັກກິລາຄົນນີ້ເຄື່ອນໄຫວວ່ອງໄວຫຼາຍ.
敏锐	ແຫຼມຄົມ	ນັກຂ່າວຕ້ອງມີສາຍຕາສັງເກດທີ່ແຫຼມຄົມ.
名次	ອັນດັບ	ນາງໄດ້ອັນດັບດີໃນການແຂ່ງຂັນ.
名额	ຈຳນວນສິດ	ໂຄງການນີ້ມີຈຳນວນສິດພຽງສິບບ່ອນ.
名副其实	ສົມຊື່ແທ້ໆ	ລາວແມ່ນຜູ້ຊ່ຽວຊານທີ່ສົມຊື່ແທ້ໆ.
名誉	ຊື່ສຽງກຽດຕິຍົດ	ເລື່ອງນີ້ທຳລາຍຊື່ສຽງກຽດຕິຍົດຂອງບໍລິສັດ.
明明	ຊັດໆຢູ່ແລ້ວ	ລາວຊັດໆຢູ່ແລ້ວວ່າຮູ້ຄຳຕອບ ແຕ່ບໍ່ຍອມເວົ້າ.
明智	ສະຫຼາດຮອບຄອບ	ການເລື່ອນການຕັດສິນໃຈແມ່ນທາງເລືອກທີ່ສະຫຼາດຮອບຄອບ.
命名	ຕັ້ງຊື່	ນັກວິທະຍາສາດຕັ້ງຊື່ໃຫ້ສິ່ງມີຊີວິດຊະນິດໃໝ່.
摸索	ຄົ້ນຫາລອງຜິດລອງຖືກ	ທີມງານຍັງຄົ້ນຫາວິທີໃໝ່ດ້ວຍການລອງຜິດລອງຖືກ.
摩擦	ຄວາມຂັດແຍ້ງ	ລະຫວ່າງສອງປະເທດເກີດຄວາມຂັດແຍ້ງດ້ານການຄ້າ.
模范	ແບບຢ່າງ	ລາວແມ່ນແບບຢ່າງຂອງນັກຮຽນທັງໂຮງຮຽນ.
模式	ຮູບແບບ	ຮູບແບບທຸລະກິດນີ້ປະສົບຜົນສຳເລັດຫຼາຍ.
模型	ແບບຈຳລອງ	ວິສະວະກອນເຮັດແບບຈຳລອງຂົວ.
磨合	ປັບໂຕໃຫ້ເຂົ້າກັນ	ທີມໃໝ່ຕ້ອງໃຊ້ເວລາປັບໂຕໃຫ້ເຂົ້າກັນ.
膜	ເຢື່ອ	ເຢື່ອຊະນິດນີ້ສາມາດກອງສິ່ງປົນເປື້ອນໄດ້.
魔鬼	ຜີມານ	ຜີມານໃນນິທານເຈົ້າເລ່ຫຼາຍ.
魔术	ມາຍາກົນ	ເດັກນ້ອຍມັກເບິ່ງການສະແດງມາຍາກົນ.
抹杀	ລຶບລ້າງ	ບໍ່ຄວນລຶບລ້າງຄວາມອຸທິດຂອງລາວ.
墨水儿	ນ້ຳມຶກ	ນ້ຳມຶກໃນປາກກາໃກ້ຈະໝົດແລ້ວ.
莫名其妙	ແປກປະຫຼາດບໍ່ເຂົ້າໃຈ	ປະຕິກິລິຍາຂອງລາວແປກປະຫຼາດຈົນຄົນບໍ່ເຂົ້າໃຈ.
默默	ຢ່າງງຽບໆ	ນາງຊ່ວຍຄົນຫຼາຍຄົນຢ່າງງຽບໆ.
谋求	ສະແຫວງຫາ	ວິສາຫະກິດກຳລັງສະແຫວງຫາໂອກາດພັດທະນາໃໝ່.
模样	ຮູບຮ່າງທ່າທາງ	ຮູບຮ່າງທ່າທາງຂອງລາວປ່ຽນໄປຫຼາຍ.
母语	ພາສາແມ່	ເດັກນ້ອຍຮຽນພາສາແມ່ຕັ້ງແຕ່ນ້ອຍ.
沐浴	ອາບແສງ	ບ້ານຍາມເຊົ້າອາບຢູ່ໃນແສງຕາເວັນ.
目睹	ເຫັນດ້ວຍຕາ	ຫຼາຍຄົນເຫັນອຸບັດເຫດນີ້ດ້ວຍຕາ.
目光	ສາຍຕາ	ສາຍຕາຂອງທຸກຄົນຈັບຈ້ອງໄປທີ່ເວທີ.
拿手	ຖະນັດ	ປາຕົ້ມນ້ຳແດງແມ່ນອາຫານທີ່ລາວຖະນັດ.
纳闷儿	ສົງໄສງົງໃຈ	ຂ້ອຍສົງໄສງົງໃຈຢູ່ຕະຫຼອດວ່າເປັນຫຍັງລາວມາສາຍ.
耐用	ທົນທານ	ເກີບຄູ່ນີ້ທົນທານຫຼາຍ.
南辕北辙	ສວນທາງກັບເປົ້າໝາຍ	ວິທີເຮັດຂອງລາວສວນທາງກັບເປົ້າໝາຍ.
难得	ຫາຍາກ	ນີ້ແມ່ນໂອກາດທີ່ຫາຍາກ.
难堪	ອັບອາຍລຳບາກໃຈ	ຄຳຖາມນີ້ເຮັດໃຫ້ລາວອັບອາຍລຳບາກໃຈ.
难能可贵	ຫາຍາກແລະມີຄ່າຄວນຊົມ	ການຮັກສາຄວາມຊື່ສັດພາຍໃຕ້ຄວາມກົດດັນແມ່ນຫາຍາກແລະມີຄ່າຄວນຊົມ.
恼火	ໂມໂຫ	ອຸປະກອນເສຍອີກແລ້ວ ລາວໂມໂຫຫຼາຍ.
内涵	ຄວາມໝາຍລຶກຊຶ້ງ	ຄຳນີ້ມີຄວາມໝາຍທາງວັດທະນະທຳທີ່ລຶກຊຶ້ງ.
内幕	ຂໍ້ມູນເບື້ອງຫຼັງ	ນັກຂ່າວພະຍາຍາມສືບຫາຂໍ້ມູນເບື້ອງຫຼັງຂອງເຫດການ.
内在	ພາຍໃນ	ລາວໃຫ້ຄວາມສຳຄັນກັບຄຸນນະພາບພາຍໃນຂອງຄົນຫຼາຍກວ່າ.
能量	ພະລັງງານ	ອາຫານເຊົ້າມື້ນີ້ໃຫ້ພະລັງງານຫຼາຍແກ່ຂ້ອຍ.
拟定	ຮ່າງກຳນົດ	ເລຂາກຳລັງຮ່າງກຳນົດວາລະກອງປະຊຸມ.
逆行	ຂັບສວນທາງ	ລົດຄັນນັ້ນຂັບສວນທາງໃນຖະໜົນທາງດຽວ.
年度	ປະຈຳປີ	ບໍລິສັດເຜີຍແຜ່ບົດລາຍງານປະຈຳປີ.
捏	ບີບເບົາໆ	ນາງບີບແກ້ມເດັກນ້ອຍເບົາໆ.
凝固	ແຂງຕົວ	ຫຼັງຈາກເຢັນລົງ ຂີ້ເຜີ້ງຈະຄ່ອຍໆແຂງຕົວ.
凝聚	ຮວບຮວມ	ເປົ້າໝາຍຮ່ວມສາມາດຮວບຮວມພະລັງຂອງທີມໄດ້.
凝视	ຈ້ອງເບິ່ງ	ລາວຈ້ອງເບິ່ງແສງໄຟຢູ່ໄກໆ.
拧	ບິດບີບ	ລາວໃຊ້ມືບິດບີບຂ້ອຍຄັ້ງໜຶ່ງ.
宁肯	ຍອມທີ່ຈະ	ນາງຍອມທີ່ຈະລົ້ມເຫຼວ ແຕ່ບໍ່ຍອມປະຖິ້ມຫຼັກການ.
宁愿	ຍອມທີ່ຈະ	ຂ້ອຍຍອມທີ່ຈະຍ່າງ ແທນທີ່ຈະລໍຖ້າລົດ.
扭转	ປິ່ນກັບ	ນະໂຍບາຍໃໝ່ປິ່ນກັບສະພາບຂາດທຶນ.
纽扣儿	ກະດຸມ	ເສື້ອເຊີດຕົວນີ້ຫຼຸດກະດຸມໄປເມັດໜຶ່ງ.
农历	ປະຕິທິນຈັນທະຄະຕິ	ຕຸດຈີນສະຫຼອງຕາມວັນທີໃນປະຕິທິນຈັນທະຄະຕິ.
浓厚	ເຂັ້ມຂຸ້ນ	ລາວມີຄວາມສົນໃຈເຂັ້ມຂຸ້ນຕໍ່ປະຫວັດສາດ.
奴隶	ທາດ	ສັງຄົມບູຮານມີລະບົບທາດ.
挪	ຂະຍັບ	ກະລຸນາຂະຍັບຕັ່ງໄປຂ້າງໆໜ່ອຍ.
虐待	ທາລຸນ	ກົດໝາຍຫ້າມທາລຸນເດັກ.
哦	ໂອ້	ໂອ້ ໃນທີ່ສຸດຂ້ອຍກໍເຂົ້າໃຈແລ້ວ.
殴打	ທຸບຕີ	ຕຳຫຼວດຈັບຄົນທີ່ທຸບຕີຄົນຍ່າງຜ່ານທາງ.
偶像	ບຸກຄົນຕົ້ນແບບ	ນາງຖືນັກຂຽນຄົນນັ້ນເປັນບຸກຄົນຕົ້ນແບບ.
呕吐	ອາເມັນ	ຫຼັງກິນອາຫານເສຍ ລາວເລີ່ມອາເມັນ.
趴	ນອນຄວ່ຳ	ແມວນ້ອຍນອນຄວ່ຳຫຼັບຢູ່ຂອບປ່ອງຢ້ຽມ.
徘徊	ເດີນວົນໄປມາ	ລາວເດີນວົນໄປມາຢູ່ໜ້າປະຕູດົນຫຼາຍ.
排斥	ຂັບໄລ່ອອກ	ວັດສະດຸໃໝ່ສາມາດຂັບໄລ່ຄວາມຊຸ່ມອອກ.
排除	ຕັດອອກ	ແພດຕັດຄວາມເປັນໄປໄດ້ຂອງໂຣກຮ້າຍແຮງອອກກ່ອນ.
排放	ປ່ອຍອອກ	ໂຮງງານຕ້ອງຫຼຸດການປ່ອຍອາຍເສຍອອກ.
排练	ຝຶກຊ້ອມການສະແດງ	ນັກສະແດງກຳລັງຝຶກຊ້ອມລາຍການໃໝ່.
派别	ຝ່າຍກຸ່ມ	ພາຍໃນອົງການນີ້ມີຝ່າຍກຸ່ມຕ່າງກັນ.
派遣	ສົ່ງໄປປະຈຳ	ບໍລິສັດສົ່ງວິສະວະກອນໄປປະຈຳຢູ່ພື້ນທີ່.
攀登	ປີນຂຶ້ນ	ພວກເຂົາວາງແຜນປີນຂຶ້ນພູຫິມະມື້ອື່ນ.
盘旋	ບິນວົນ	ເຮືອບິນບິນວົນຢູ່ເໜືອສະໜາມບິນ.
判决	ຄຳພິພາກສາ	ສານປະກາດຄຳພິພາກສາໃນມື້ນີ້.
畔	ຮິມ	ເດັກນ້ອຍເດີນຫຼິ້ນຢູ່ຮິມທະເລສາບ.
庞大	ໃຫຍ່ຫຼວງ	ໂຄງການນີ້ຕ້ອງການເງິນທຶນໃຫຍ່ຫຼວງ.
抛弃	ປະຖິ້ມ	ລາວບໍ່ຢາກປະຖິ້ມຄວາມຝັນຂອງຕົນ.
泡沫	ຟອງ	ໃນຈອກມີຟອງສີຂາວຫຼາຍ.
培育	ບົ່ມເພາະ	ໂຮງຮຽນພະຍາຍາມບົ່ມເພາະຄວາມຮັບຜິດຊອບໃຫ້ນັກຮຽນ.
配备	ຕິດຕັ້ງພ້ອມ	ລົດໃໝ່ຕິດຕັ້ງລະບົບຄວາມປອດໄພພ້ອມ.
配偶	ຄູ່ສົມລົດ	ໃບສະໝັກຕ້ອງກອກຂໍ້ມູນຄູ່ສົມລົດ.
配套	ຄົບຊຸດ	ຊຸມຊົນນີ້ມີສິ່ງອຳນວຍຄວາມສະດວກຄົບຊຸດ.
盆地	ອ່າງພູ	ອ່າງພູນີ້ຮ້ອນຫຼາຍໃນລະດູຮ້ອນ.
烹饪	ການປຸງອາຫານ	ການປຸງອາຫານຕ້ອງການຄວາມອົດທົນແລະປະສົບການ.
捧	ປະຄອງ	ນາງປະຄອງຊໍ່ດອກໄມ້ດ້ວຍສອງມື.
劈	ຜ່າ	ຄົນງານໃຊ້ຂວານຜ່າຟືນ.
批发	ຂາຍສົ່ງ	ຮ້ານນີ້ສ່ວນໃຫຍ່ຂາຍສົ່ງໝາກໄມ້.
批判	ວິພາກວິຈານ	ບົດຄວາມວິພາກວິຈານທັດສະນະຜິດນີ້.
疲惫	ເມື່ອຍລ້າ	ຫຼັງຈາກເດີນທາງໄກ ທຸກຄົນເມື່ອຍລ້າຫຼາຍ.
疲倦	ເມື່ອຍອ່ອນ	ການເຮັດວຽກຕໍ່ເນື່ອງເຮັດໃຫ້ລາວເມື່ອຍອ່ອນ.
皮革	ໜັງສັດ	ກະເປົາໃບນີ້ເຮັດຈາກໜັງສັດ.
屁股	ກົ້ນ	ເດັກນ້ອຍລົ້ມແລ້ວເຈັບກົ້ນຫຼາຍ.
譬如	ຕົວຢ່າງເຊັ່ນ	ຕົວຢ່າງເຊັ່ນ ພວກເຮົາສາມາດທົດສອບນ້ອຍໆກ່ອນ.
偏差	ຄວາມຄາດເຄື່ອນ	ຜົນການທົດລອງມີຄວາມຄາດເຄື່ອນຊັດເຈນ.
偏见	ອະຄະຕິ	ພວກເຮົາຄວນຫຼີກລ່ຽງອະຄະຕິຕໍ່ຊົນເຜົ່າ.
偏僻	ຫ່າງໄກທຸລະກັນດານ	ບ້ານນີ້ຕັ້ງຢູ່ບ່ອນຫ່າງໄກທຸລະກັນດານ.
偏偏	ກັບດັນ	ຍິ່ງຂ້ອຍຮີບ ລົດກັບດັນຍິ່ງຊ້າ.
片断	ຕອນສັ້ນ	ໃນຮູບເງົາມີຕອນສັ້ນທີ່ນ່າປະທັບໃຈຫຼາຍຕອນ.
片刻	ຊົ່ວຄູ່	ກະລຸນາລໍຖ້າຂ້ອຍຢູ່ນີ້ຊົ່ວຄູ່.
漂浮	ລອຍ	ໃບໄມ້ຮ່ວງລອຍຢູ່ເທິງຜິວນ້ຳ.
飘扬	ປິວສະບັດ	ທຸງຊາດປິວສະບັດຢູ່ໃນລົມ.
撇	ປະໄວ້ຂ້າງໜຶ່ງ	ລາວປະແຜນເກົ່າໄວ້ຂ້າງໜຶ່ງ.
拼搏	ສູ້ພະຍາຍາມ	ຄົນໜຸ່ມຄວນສູ້ພະຍາຍາມເພື່ອອຸດົມການ.
拼命	ສຸດຊີວິດ	ລາວວິ່ງໄລ່ທີມຂ້າງໜ້າຢ່າງສຸດຊີວິດ.
贫乏	ຂາດແຄນ	ເນື້ອຫາຂອງບົດຄວາມນີ້ຂາດແຄນພໍສົມຄວນ.
贫困	ທຸກຍາກ	ລັດຖະບານຊ່ວຍເຫຼືອຄອບຄົວທຸກຍາກ.
频繁	ຖີ່ເລື້ອຍໆ	ຊ່ວງນີ້ອຸບັດເຫດຈະລາຈອນຢູ່ນີ້ເກີດຂຶ້ນຖີ່ເລື້ອຍໆ.
频率	ຄວາມຖີ່	ສຽງຊະນິດນີ້ມີຄວາມຖີ່ສູງ.
品尝	ຊິມລົດ	ແຂກກຳລັງຊິມລົດອາຫານທ້ອງຖິ່ນ.
品德	ຄຸນທຳ	ໂຮງຮຽນໃຫ້ຄວາມສຳຄັນກັບການສຶກສາຄຸນທຳຂອງນັກຮຽນ.
品质	ຄຸນນະພາບ	ຄຸນນະພາບສິນຄ້າຂອງບໍລິສັດນີ້ຄົງທີ່.
品种	ຊະນິດພັນ	ໃນຕະຫຼາດມີຊະນິດພັນໝາກໄມ້ຫຼາຍ.
屏幕	ໜ້າຈໍ	ກະລຸນາຫຼຸດຄວາມສະຫວ່າງຂອງໜ້າຈໍ.
屏障	ກຳແພງກັ້ນ	ປ່າໄມ້ແມ່ນກຳແພງກັ້ນລົມທີ່ສຳຄັນ.
平凡	ທຳມະດາ	ລາວເຮັດວຽກໃນຕຳແໜ່ງທຳມະດາມາຫຼາຍປີ.
平面	ພື້ນຮາບ	ນັກອອກແບບແຕ້ມແຜນຜັງພື້ນຮາບຂອງເຮືອນ.
平坦	ຮາບພຽງ	ຖະໜົນສາຍນີ້ຮາບພຽງຫຼາຍ.
平行	ຂະໜານ	ເສັ້ນສອງເສັ້ນນີ້ຂະໜານກັນ.
平庸	ທຳມະດາບໍ່ໂດດເດັ່ນ	ລາວບໍ່ຍອມໃຊ້ຊີວິດທຳມະດາບໍ່ໂດດເດັ່ນ.
平原	ທົ່ງພຽງ	ລົດໄຟແລ່ນຜ່ານທົ່ງພຽງກວ້າງໃຫຍ່.
评估	ປະເມີນ	ຜູ້ຊ່ຽວຊານກຳລັງປະເມີນຄວາມສ່ຽງຂອງໂຄງການ.
评论	ຄວາມຄິດເຫັນ	ຜູ້ອ່ານສາມາດຂຽນຄວາມຄິດເຫັນໃຕ້ບົດຄວາມ.
坡	ຄ້ອຍ	ລົດຄ່ອຍໆຂັບຂຶ້ນຄ້ອຍ.
泼	ສາດ	ຢ່າສາດນ້ຳລົງພື້ນ.
颇	ຄ່ອນຂ້າງ	ຜົນນີ້ຄ່ອນຂ້າງເຮັດໃຫ້ຄົນປະຫຼາດໃຈ.
破例	ຍົກເວັ້ນພິເສດ	ຜູ້ຈັດການຍົກເວັ້ນພິເສດແລະອະນຸມັດໃບສະໝັກໃຫ້ລາວ.
迫不及待	ອົດລໍບໍ່ໄຫວ	ເດັກນ້ອຍອົດລໍບໍ່ໄຫວທີ່ຈະເປີດຂອງຂວັນ.
迫害	ກົດຂີ່ຂົ່ມເຫັງ	ໃນປະຫວັດສາດ ມີຄົນຫຼາຍຄົນເຄີຍຖືກກົດຂີ່ຂົ່ມເຫັງ.
魄力	ຄວາມກ້າຕັດສິນໃຈ	ຜູ້ນຳຕ້ອງມີຄວາມກ້າຕັດສິນໃຈ.
扑	ໂຜເຂົ້າໄປ	ເດັກນ້ອຍໂຜເຂົ້າໄປໃນອ້ອມກອດແມ່ທັນທີ.
铺	ປູ	ຄົນງານກຳລັງປູພົມໃໝ່.
普及	ແຜ່ຫຼາຍ	ອິນເຕີເນັດແຜ່ຫຼາຍແລ້ວໃນເມືອງ.
朴实	ຮຽບງ່າຍຈິງໃຈ	ພາສາຂອງລາວຮຽບງ່າຍແລະຈິງໃຈ.
朴素	ລຽບງ່າຍ	ນາງມັກວິຖີຊີວິດທີ່ລຽບງ່າຍ.
瀑布	ນ້ຳຕົກ	ນັກທ່ອງທ່ຽວຢືນຖ່າຍຮູບຢູ່ຂ້າງນ້ຳຕົກ.
凄凉	ເສົ້າເຫງົາ	ບ້ານພູໃນລະດູໜາວເບິ່ງເສົ້າເຫງົາຫຼາຍ.
期望	ຄວາມຄາດຫວັງ	ພໍ່ແມ່ມີຄວາມຄາດຫວັງສູງຕໍ່ລູກ.
期限	ກຳນົດເວລາ	ກຳນົດເວລາລົງທະບຽນແມ່ນວັນສຸກນີ້.
欺负	ລັງແກ	ເດັກໃຫຍ່ບໍ່ຄວນລັງແກເດັກນ້ອຍ.
欺骗	ຫຼອກລວງ	ໂຄສະນາປອມຫຼອກລວງຜູ້ບໍລິໂພກ.
奇妙	ອັດສະຈັນ	ທຳມະຊາດມີປາກົດການອັດສະຈັນຫຼາຍຢ່າງ.
旗袍	ຊຸດຊີ່ຜາວ	ນາງໃສ່ຊຸດຊີ່ຜາວສີແດງໄປຮ່ວມງານລາຕີ.
旗帜	ທຸງ	ຢູ່ຈະຕຸລັດມີທຸງສີສົດໃສປິວຢູ່.
歧视	ການເລືອກປະຕິບັດ	ກົດໝາຍຫ້າມການເລືອກປະຕິບັດທຸກຮູບແບບ.
齐全	ຄົບຖ້ວນ	ເຄື່ອງມືໃນຮ້ານນີ້ຄົບຖ້ວນຫຼາຍ.
齐心协力	ຮ່ວມໃຈກັນ	ທຸກຄົນຮ່ວມໃຈກັນເຮັດວຽກຈົນສຳເລັດ.
乞丐	ຄົນຂໍທານ	ຂ້າງທາງມີຄົນຂໍທານເຖົ້າຄົນໜຶ່ງນັ່ງຢູ່.
企图	ພະຍາຍາມຈະ	ລາວພະຍາຍາມຈະປິດບັງສະພາບຄວາມຈິງ.
启程	ອອກເດີນທາງ	ຄະນະຜູ້ແທນຈະອອກເດີນທາງແຕ່ເຊົ້າມື້ອື່ນ.
启蒙	ເປີດຄວາມຮູ້ເບື້ອງຕົ້ນ	ປຶ້ມເຫຼັ້ມນີ້ເໝາະສຳລັບການອ່ານເປີດຄວາມຮູ້ເບື້ອງຕົ້ນຂອງເດັກ.
启事	ປະກາດ	ຢູ່ໜ້າໂຮງຮຽນມີປະກາດຮັບສະໝັກຕິດໄວ້.
启示	ບົດຮຽນຊີ້ນຳ	ຄວາມລົ້ມເຫຼວຄັ້ງນີ້ໃຫ້ບົດຮຽນຊີ້ນຳສຳຄັນແກ່ພວກເຮົາ.
岂有此理	ບໍ່ມີເຫດຜົນເລີຍ	ການເກັບຄ່າແບບນີ້ບໍ່ມີເຫດຜົນເລີຍ.
起草	ຮ່າງ	ທະນາຍຄວາມກຳລັງຮ່າງສັນຍາ.
起初	ຕອນແລກ	ຕອນແລກ ລາວບໍ່ເຊື່ອຂ່າວນີ້.
起伏	ຂຶ້ນໆລົງໆ	ຖະໜົນພູເຂົາຂຶ້ນໆລົງໆຕາມພູມສັນຖານ.
起哄	ກໍ່ສຽງວຸ່ນວາຍ	ນັກຮຽນບໍ່ຄວນກໍ່ສຽງວຸ່ນວາຍໃນຫ້ອງຮຽນ.
起码	ຢ່າງນ້ອຍ	ຢ່າງນ້ອຍເຈົ້າຄວນແຈ້ງຂ້ອຍລ່ວງໜ້າ.
起源	ຕົ້ນກຳເນີດ	ງານບຸນນີ້ມີຕົ້ນກຳເນີດຈາກສະໄໝບູຮານ.
器材	ອຸປະກອນ	ຫ້ອງທົດລອງຕ້ອງການອຸປະກອນການສອນໃໝ່.
器官	ອະໄວຍະວະ	ຫົວໃຈແມ່ນອະໄວຍະວະສຳຄັນຂອງຮ່າງກາຍ.
气概	ຈິດໃຈກ້າຫານ	ບົດກະວີນີ້ສະແດງຈິດໃຈກ້າຫານຂອງວິລະຊົນ.
气功	ຊີກົງ	ພໍ່ຕູ້ຝຶກຊີກົງທຸກເຊົ້າ.
气魄	ຄວາມຍິ່ງໃຫຍ່ອາດຫານ	ຂົວໃຫຍ່ນີ້ມີຄວາມຍິ່ງໃຫຍ່ອາດຫານຫຼາຍ.
气色	ສີໜ້າ	ຫຼັງຈາກພັກຜ່ອນ ສີໜ້າຂອງລາວດີຂຶ້ນຫຼາຍ.
气势	ພະລັງບຸກບືນ	ທີມບານເລີ່ມເກມມາກໍມີພະລັງບຸກບືນແຮງຫຼາຍ.
气味	ກິ່ນ	ໃນຫ້ອງຄົວມີກິ່ນເຂົ້າຈີ່ອົບ.
气象	ສະພາບອາກາດ	ສະພາບອາກາດເທິງພູສູງບ່ອນນີ້ປ່ຽນໄວຫຼາຍ.
气压	ຄວາມກົດອາກາດ	ຄວາມກົດອາກາດຫຼຸດລົງອາດນຳຝົນມາ.
气质	ບຸກຄະລິກ	ນາງມີບຸກຄະລິກທີ່ສະຫງົບ.
迄今为止	ຈົນຮອດປັດຈຸບັນ	ຈົນຮອດປັດຈຸບັນ ການທົດລອງດຳເນີນໄປຢ່າງລາບລື່ນ.
掐	ເດັດ	ນາງເດັດດອກໄມ້ນ້ອຍດອກໜຶ່ງ.
恰当	ເໝາະສົມ	ຄຳຕອບຂອງເຈົ້າເໝາະສົມຫຼາຍ.
恰到好处	ພໍດີພໍເໝາະ	ຄວາມຫວານຂອງອາຫານຈານນີ້ພໍດີພໍເໝາະ.
恰巧	ພໍດີ	ຕອນຂ້ອຍໄປຮອດສະຖານີ ຝົນກໍຕົກພໍດີ.
洽谈	ເຈລະຈາ	ທັງສອງຝ່າຍກຳລັງເຈລະຈາລາຍລະອຽດການຮ່ວມມື.
千方百计	ທຸກວິຖີທາງ	ພວກເຂົາຫາວິທີແກ້ໄຂທຸກວິຖີທາງ.
牵	ຈູງ	ແມ່ຈູງລູກຂ້າມຖະໜົນ.
牵扯	ພົວພັນເຖິງ	ເລື່ອງນີ້ພົວພັນເຖິງຫຼາຍພະແນກ.
牵制	ຈຳກັດຄວບຄຸມ	ການປ້ອງກັນຂອງຝ່າຍຕົງຂ້າມຈຳກັດການບຸກໂຈມຕີ.
签署	ລົງນາມ	ສອງບໍລິສັດລົງນາມໃນຂໍ້ຕົກລົງ.
谦逊	ຖ່ອມຕົນ	ຫຼັງຈາກປະສົບຜົນສຳເລັດ ລາວຍັງຖ່ອມຕົນຢູ່.
迁就	ຕາມໃຈ	ພໍ່ແມ່ບໍ່ຄວນຕາມໃຈລູກຕະຫຼອດ.
迁徙	ອົບພະຍົບຍ້າຍຖິ່ນ	ນົກອົບພະຍົບຍ້າຍຖິ່ນຕາມລະດູການທຸກປີ.
前景	ອະນາຄົດທິດທາງ	ອຸດສາຫະກຳນີ້ມີອະນາຄົດທິດທາງດີຫຼາຍ.
前提	ເງື່ອນໄຂພື້ນຖານ	ຄວາມໄວ້ວາງໃຈແມ່ນເງື່ອນໄຂພື້ນຖານຂອງການຮ່ວມມື.
潜力	ສັກຍະພາບ	ນັກຮຽນຄົນນີ້ມີສັກຍະພາບຫຼາຍ.
潜水	ດຳນ້ຳ	ພວກເຂົາໄປຮຽນດຳນ້ຳຢູ່ທະເລ.
潜移默化	ຄ່ອຍໆຊຶມຊັບໂດຍບໍ່ຮູ້ຕົວ	ສິ່ງແວດລ້ອມໃນຄອບຄົວຈະຄ່ອຍໆຊຶມຊັບແລະສົ່ງຜົນຕໍ່ເດັກ.
谴责	ປະນາມ	ສັງຄົມສາກົນປະນາມພຶດຕິກຳຮຸນແຮງ.
抢劫	ປຸ້ນ	ຕຳຫຼວດຈັບຜູ້ຕ້ອງສົງໄສປຸ້ນທະນາຄານໄດ້.
强制	ບັງຄັບ	ກົດລະບຽບໃໝ່ບັງຄັບໃຫ້ຄົນຂັບລົດຄາດເຂັມຂັດນິລະໄພ.
强迫	ບັງຄັບຝືນໃຈ	ຢ່າບັງຄັບຝືນໃຈເດັກໃຫ້ເຮັດສິ່ງທີ່ບໍ່ມັກ.
抢救	ຊ່ວຍຊີວິດດ່ວນ	ແພດກຳລັງຊ່ວຍຊີວິດດ່ວນຄົນງານທີ່ບາດເຈັບ.
桥梁	ຂົວ	ພາສາແມ່ນຂົວແຫ່ງການແລກປ່ຽນວັດທະນະທຳ.
窍门	ເຄັດລັບ	ການຮຽນອອກສຽງມີເຄັດລັບບາງຢ່າງ.
翘	ຍົກຂຶ້ນ	ລາວຍົກຂາຂ້າງໜຶ່ງຂຶ້ນວາງເທິງຕັ່ງ.
切实	ຈິງຈັງແລະເຮັດໄດ້	ພວກເຮົາຕ້ອງການແຜນທີ່ຈິງຈັງແລະເຮັດໄດ້.
锲而不舍	ພະຍາຍາມບໍ່ລົດລະ	ລາວພະຍາຍາມບໍ່ລົດລະໃນການສຶກສາບັນຫານີ້.
亲密	ໃກ້ຊິດ	ພວກເຂົາຮັກສາຄວາມສຳພັນໃກ້ຊິດມາຕະຫຼອດ.
亲热	ສະນິດອົບອຸ່ນ	ຜູ້ເຖົ້າທັກທາຍແຂກຢ່າງສະນິດອົບອຸ່ນ.
侵犯	ລ່ວງລະເມີດ	ພຶດຕິກຳນີ້ລ່ວງລະເມີດຄວາມເປັນສ່ວນຕົວ.
侵略	ຮຸກຮານ	ປະຊາຊົນຕໍ່ຕ້ານການຮຸກຮານທຸກຮູບແບບ.
钦佩	ນັບຖືຊົມເຊີຍ	ຂ້ອຍນັບຖືຊົມເຊີຍຄວາມກ້າຫານຂອງນາງຫຼາຍ.
勤俭	ຂະຫຍັນແລະປະຢັດ	ແມ່ຕູ້ດູແລຄອບຄົວຢ່າງຂະຫຍັນແລະປະຢັດຕະຫຼອດຊີວິດ.
