simplified	NE	example_NE
青少年	किशोरकिशोरी	किशोरकिशोरीलाई पर्याप्त निद्रा चाहिन्छ।
情景	दृश्य	चलचित्रको दृश्य धेरै भावुक छ।
情绪	भावना	उनको भावना धेरै स्थिर छैन।
请求	अनुरोध	उनले एउटा अनुरोध गरे।
庆祝	मनाउनु	हामीले उनको जन्मदिन मनायौं।
球迷	खेलप्रेमी	धेरै खेलप्रेमी खेल हेर्न आए।
趋势	प्रवृत्ति	यो प्रवृत्ति झन् झन् स्पष्ट हुँदैछ।
取消	रद्द गर्नु	पानी परेकोले कार्यक्रम रद्द भयो।
娶	विवाह गर्नु	उनी अर्को वर्ष उनीसँग विवाह गर्ने योजना बनाउँछन्।
去世	निधन हुनु	उनका हजुरबुबाको गत वर्ष निधन भयो।
圈	घेरा	कृपया सही उत्तरमा घेरा लगाऊ।
全面	समग्र रूपमा	हामीले अवस्थालाई समग्र रूपमा बुझ्नुपर्छ।
权利	अधिकार	सबैलाई शिक्षा पाउने अधिकार छ।
权力	शक्ति	शक्तिमाथि निगरानी हुनुपर्छ।
劝	सल्लाह दिनु	साथीले मलाई चाँडै आराम गर्न सल्लाह दिए।
缺乏	अभाव हुनु	यो क्षेत्रमा सफा पानीको अभाव छ।
确定	निर्धारण गर्नु	म अझै समय निर्धारण गर्न सक्दिनँ।
确认	पुष्टि गर्नु	कृपया आफ्नो ठेगाना पुष्टि गर।
群	समूह	बालबालिकाको एक समूह खेलमैदानमा खेलिरहेको छ।
燃烧	जल्नु	काठ जलिरहेको छ।
绕	वरिपरि घुम्नु	हामी तालको वरिपरि एक पटक हिँड्यौं।
热爱	माया गर्नु	उनी आफ्नो कामलाई धेरै माया गर्छन्।
热烈	न्यानो	सबैले पाहुनालाई न्यानो स्वागत गरे।
热心	सहयोगी	छिमेकीहरू सबै धेरै सहयोगी छन्।
人才	प्रतिभाशाली व्यक्ति	कम्पनीलाई थप प्रतिभाशाली व्यक्ति चाहिन्छ।
人口	जनसंख्या	यो शहरको जनसंख्या ठूलो छ।
人类	मानवजाति	मानवजातिले पृथ्वीको रक्षा गर्नुपर्छ।
人民币	रेनमिन्बी	मैले केही रेनमिन्बी साटें।
人生	जीवन	जीवनमा धेरै छनोटहरू हुन्छन्।
人事	मानव संसाधन	उनी मानव संसाधन विभागमा काम गर्छिन्।
人物	पात्र	उपन्यासका पात्रहरू धेरै वास्तविक लाग्छन्।
人员	कर्मचारी	कर्मचारीहरू सबै आइपुगेका छन्।
忍不住	रोक्न नसक्नु	ठट्टा सुनेपछि उनी हाँसो रोक्न सकेनन्।
日常	दैनिक	यो मेरो दैनिक काम हो।
日程	कार्यतालिका	आजको कार्यतालिका धेरै भरिएको छ।
日历	पात्रो	भित्तामा पात्रो झुन्डिएको छ।
日期	मिति	कृपया मिति स्पष्ट लेख।
日用品	दैनिक सामान	सुपरमार्केटमा धेरै दैनिक सामान बेचिन्छ।
日子	दिनहरू	यी दिनहरू उनी धेरै व्यस्त छन्।
如何	कसरी	हामीले यो समस्या कसरी समाधान गर्ने?
如今	आजकल	आजकल यातायात धेरै सुविधाजनक भएको छ।
软	नरम	यो ओछ्यान धेरै नरम छ।
软件	सफ्टवेयर	यो सफ्टवेयर प्रयोग गर्न सजिलो छ।
弱	कमजोर	उनको शरीर तुलनात्मक रूपमा कमजोर छ।
洒	छ्याप्नु	उनले अनजानमा पानी छ्यापे।
嗓子	घाँटी	मेरो घाँटी अलि दुखेको छ।
色彩	रङ्ग	यो चित्रमा रङ्ग धेरै धनी छन्।
杀	हत्या गर्नु	यो चलचित्रमा हत्या दृश्य छैन।
沙漠	मरुभूमि	मरुभूमिमा पानी धेरै बहुमूल्य हुन्छ।
沙滩	समुद्री किनार	बालबालिका समुद्री किनारमा खेलिरहेका छन्।
傻	मूर्ख	मूर्ख काम नगर।
晒	घाममा सुकाउनु	कपडा बाल्कनीमा घाममा सुकिरहेका छन्।
删除	मेटाउनु	कृपया यो इमेल मेटाऊ।
闪电	बिजुली चम्किनु	राति बिजुली चम्कियो।
善良	दयालु	उनी दयालु व्यक्ति हुन्।
善于	सिपालु हुनु	उनी समस्या समाधान गर्न सिपालु छन्।
扇子	पंखा	गर्मीमा म प्रायः पंखा प्रयोग गर्छु।
伤害	हानि पुर्याउनु	अरूको भावनामा हानि नपुर्याऊ।
商品	सामान	यो पसलमा धेरै सामान छन्।
商务	व्यापारिक	उनी भोलि व्यापारिक बैठकमा भाग लिनेछन्।
商业	व्यापार	यो क्षेत्रमा व्यापार राम्रोसँग विकसित छ।
上当	ठगिनु	उनी झन्डै ठगिए।
蛇	सर्प	घाँसमा एउटा सर्प छ।
舍不得	छोड्न मन नलाग्नु	मलाई यो ठाउँ छोड्न मन लाग्दैन।
射击	गोली चलाउने अभ्यास	उनी गोली चलाउने अभ्यास गर्दैछन्।
摄影	फोटोग्राफी	उनी फोटोग्राफीमा धेरै रुचि राख्छिन्।
设备	उपकरण	प्रयोगशालाका उपकरण धेरै उन्नत छन्।
设计	डिजाइन	यो डिजाइन धेरै सिर्जनात्मक छ।
设施	सुविधा	विद्यालयका खेलकुद सुविधा राम्रा छन्।
伸	तन्काउनु	कृपया आफ्नो हात तन्काऊ।
深刻	गहिरो	यो अनुभवले मलाई गहिरो प्रभाव पार्यो।
身材	शरीरको बनोट	उनको शरीरको बनोट स्वस्थ छ।
身份	पहिचान	कृपया पहिचान प्रमाण देखाऊ।
神话	मिथक	बालबालिका मिथक सुन्न मन पराउँछन्।
神秘	रहस्यमय	यो प्राचीन शहर धेरै रहस्यमय छ।
升	बढ्नु	तेलको मूल्य प्रति लिटर अलि बढ्यो।
声调	स्वर	चिनियाँ भाषामा चार आधारभूत स्वर छन्।
生产	उत्पादन गर्नु	यो कारखानाले मोबाइल फोन उत्पादन गर्छ।
生动	जीवन्त	शिक्षकले कुरा धेरै जीवन्त रूपमा बुझाउनुहुन्छ।
生长	बढ्नु	यो प्रकारको बिरुवा छिटो बढ्छ।
绳子	डोरी	कृपया डोरीले बाकस बाँध।
省略	छोड्नु	यहाँ एउटा अक्षर छोड्न सकिन्छ।
胜利	विजय	उनीहरूले अन्ततः विजय पाए।
失眠	निद्रा नलाग्नु	हालसालै उनलाई प्रायः निद्रा लाग्दैन।
失去	गुमाउनु	आत्मविश्वास नगुमाऊ।
失业	बेरोजगार हुनु	जागिर गुमाएपछि उनले नयाँ सीप सिक्न थाले।
湿润	चिस्यानयुक्त	पानी परेपछि हावा धेरै चिस्यानयुक्त छ।
狮子	सिंह	चिडियाखानामा दुईवटा सिंह छन्।
诗	कविता	उनले एउटा कविता लेखे।
实话	साँचो कुरा	कृपया साँचो कुरा भन।
实践	अभ्यास	सिद्धान्तलाई अभ्यासबाट जाँच्नुपर्छ।
实习	इन्टर्नशिप गर्नु	उनी गर्मी बिदामा अस्पतालमा इन्टर्नशिप गर्नेछिन्।
实现	पूरा गर्नु	उनले अन्ततः आफ्नो सपना पूरा गरे।
实验	प्रयोग	विद्यार्थीहरू प्रयोग गरिरहेका छन्।
实用	व्यावहारिक	यो औजार धेरै व्यावहारिक छ।
时差	समय फरक	उनी अझै समय फरकसँग अनुकूल भएका छैनन्।
时代	युग	हामी सूचना युगमा बाँच्छौं।
时刻	क्षण	कृपया यो महत्वपूर्ण क्षण सम्झ।
时髦	फेसनेबल	यो कपडा धेरै फेसनेबल छ।
时期	अवधि	उनको विश्वविद्यालय अवधि उनीमाथि ठूलो प्रभाव पार्यो।
时尚	फेसन	उनी फेसनमा धेरै रुचि राख्छिन्।
石头	ढुंगा	बाटोको छेउमा एउटा ढुंगा छ।
食物	खाना	कृपया खाना फ्रिजमा राख।
使劲儿	बल लगाउनु	यो बोतल खोल्न केही बल लगाउनुपर्छ।
始终	सधैं	उनी सधैं आफू सफल हुन सक्छु भन्ने विश्वास गर्थे।
事实	तथ्य	तथ्यले उनी सही थिए भन्ने प्रमाणित गर्छ।
事物	कुरा	बालबालिका नयाँ कुराप्रति धेरै जिज्ञासु हुन्छन्।
事先	पहिले नै	कृपया समय पहिले नै मलाई भन।
似的	जस्तो	उनी यति थाकेका जस्तो देखिए कि बोल्न चाहेनन्।
士兵	सैनिक	सैनिकहरू तालिम लिइरहेका छन्।
市场	बजार	यो बजार धेरै चहलपहलयुक्त छ।
试卷	परीक्षा पत्र	शिक्षकले परीक्षा पत्र जाँच्दै हुनुहुन्छ।
收获	प्राप्ति	यो यात्राबाट मैले धेरै प्राप्ति गरें।
收据	रसिद	पैसा तिरेपछि कृपया रसिद सुरक्षित राख।
手工	हस्तनिर्मित	यो उपहार हस्तनिर्मित हो।
手术	शल्यक्रिया	डाक्टरले भोलि उनको शल्यक्रिया गर्नेछन्।
手套	पञ्जा	जाडोमा बाहिर जाँदा पञ्जा लगाऊ।
手续	प्रक्रिया	प्रक्रिया पूरा गर्न परिचयपत्र चाहिन्छ।
手指	औंला	उनको औंलामा चोट लागेको छ।
首	गीत	उनले एउटा गीत गाइन्।
受伤	घाइते हुनु	उनी खेलको क्रममा घाइते भए।
寿命	आयु	यो प्रकारको मेसिनको सेवा आयु लामो छ।
书架	किताब राख्ने दराज	किताब राख्ने दराज किताबले भरिएको छ।
梳子	काँगियो	उनी काँगियोले कपाल कोर्छिन्।
舒适	आरामदायी	यो कोठा धेरै आरामदायी छ।
蔬菜	तरकारी	धेरै तरकारी खानु स्वास्थ्यका लागि राम्रो हो।
输入	प्रविष्ट गर्नु	कृपया कम्प्युटरमा पासवर्ड प्रविष्ट गर।
熟练	निपुण	उनी कम्प्युटर निपुण रूपमा प्रयोग गर्न सक्छन्।
属于	सम्बन्धित हुनु	यो किताब पुस्तकालयसँग सम्बन्धित छ।
数	गन्नु	कृपया कति जना छन् भनेर गन।
鼠标	माउस	मेरो कम्प्युटरको माउस बिग्रिएको छ।
数据	डाटा	यी डाटा धेरै महत्वपूर्ण छन्।
数码	डिजिटल	उनले डिजिटल क्यामेरा किने।
摔倒	लड्नु	उनी बाटोमा लडिन्।
甩	झट्काउनु	उनले हातबाट पानी झट्काए।
双方	दुवै पक्ष	दुवै पक्षले यो योजनामा सहमति जनाए।
税	कर	सामान किन्दा कर तिर्नुपर्छ।
说不定	शायद	शायद भोलि हिउँ पर्न सक्छ।
说服	मनाउनु	उनले अन्ततः आफ्ना आमाबुबालाई मनाए।
丝绸	रेशम	यो स्कार्फ रेशमबाट बनेको हो।
丝毫	अलिकति पनि	उनले आफ्नो विचार अलिकति पनि बदलेनन्।
思考	विचार गर्नु	कृपया यो समस्याबारे राम्ररी विचार गर।
思想	विचार	उनको विचार धेरै खुला छ।
撕	च्यात्नु	कृपया यो कागज नच्यात।
私人	निजी	यो मेरो निजी ठाउँ हो।
似乎	जस्तो देखिनु	उनी धेरै खुसी नभएको जस्तो देखिन्छ।
搜索	खोज्नु	मैले अनलाइन सामग्री खोजें।
宿舍	छात्रावास	विद्यार्थीहरू विद्यालयको छात्रावासमा बस्छन्।
随身	साथमा	कृपया आफ्नो राहदानी साथमा राख।
随时	जुनसुकै बेला	तिमी मलाई जुनसुकै बेला फोन गर्न सक्छौ।
随手	निस्कँदा	कृपया निस्कँदा ढोका बन्द गर।
碎	टुक्रिनु	कप भुइँमा खस्यो र टुक्रियो।
损失	नोक्सानी	यो दुर्घटनाले ठूलो नोक्सानी गरायो।
缩短	छोटो बनाउनु	नयाँ बाटोले यात्रा छोटो बनायो।
所	विद्यालय	यो विद्यालय धेरै प्रसिद्ध छ।
锁	ताल्चा लगाउनु	बाहिर जानुअघि ढोकामा ताल्चा लगाऊ।
台阶	सिँढी	वृद्ध मानिस बिस्तारै सिँढी चढे।
太极拳	ताइची	उद्यानमा केही मानिसहरू ताइची अभ्यास गर्दैछन्।
太太	श्रीमती	वाङ श्रीमती खाना पकाउँदै हुनुहुन्छ।
谈判	वार्ता गर्नु	दुवै पक्ष वार्ता गरिरहेका छन्।
坦率	खुलस्त	उनले आफ्नो विचार खुलस्त रूपमा व्यक्त गरे।
烫	तातो	यो चिया धेरै तातो छ।
桃	आरु	रुखमा धेरै आरु फले।
淘气	चञ्चल	यो बच्चा अलि चञ्चल छ।
逃	भाग्नु	कुकुरको बच्चा आँगनबाट भाग्यो।
逃避	पन्छिनु	जिम्मेवारीबाट नपन्छिऊ।
讨价还价	मोलतोल गर्नु	उनी किनमेल गर्दा मोलतोल गर्न मन पराउँछन्।
套	सेट	उनले नयाँ कपडाको सेट किने।
特色	विशेषता	यो रेस्टुरेन्टमा स्थानीय विशेषता छ।
特殊	विशेष	आज विशेष दिन हो।
特征	लक्षण	यो प्रकारको जनावरमा स्पष्ट लक्षण छन्।
疼爱	अत्यन्त माया गर्नु	हजुरबा हजुरआमाले बच्चालाई अत्यन्त माया गर्नुहुन्छ।
提倡	प्रोत्साहन गर्नु	विद्यालयले पानी बचत गर्न प्रोत्साहन गर्छ।
提纲	रूपरेखा	लेख लेख्नुअघि रूपरेखा बनाऊ।
提问	प्रश्न गर्नु	विद्यार्थीहरूले जुनसुकै बेला प्रश्न गर्न सक्छन्।
题目	प्रश्न	यो प्रश्न धेरै गाह्रो छैन।
体会	अनुभवबाट बुझ्नु	यात्रामार्फत मैले नयाँ कुरा बुझें।
体贴	विचारशील	उनी परिवारप्रति धेरै विचारशील छन्।
体现	प्रतिबिम्बित गर्नु	यो कुराले टोली भावना प्रतिबिम्बित गर्छ।
体验	अनुभव गर्नु	म स्थानीय जीवन अनुभव गर्न चाहन्छु।
天空	आकाश	आज आकाश धेरै निलो छ।
天真	निष्कपट	बच्चाको विचार धेरै निष्कपट छ।
调皮	चञ्चल	त्यो बिरालो धेरै चञ्चल छ।
调整	समायोजन गर्नु	हामीले योजना समायोजन गर्नुपर्छ।
挑战	चुनौती	यो ठूलो चुनौती हो।
通常	सामान्यतया	उनी सामान्यतया सात बजे उठ्छन्।
统一	एकीकृत गर्नु	सबैको विचार एकीकृत गर्नुपर्छ।
痛苦	पीडा	साथी गुमाउँदा उनलाई धेरै पीडा भयो।
痛快	रमाइलो	आज हामीले साँच्चै रमाइलो गर्यौं।
偷	चोर्नु	अरूको सामान नचोर।
投入	मन लगाएर लाग्नु	उनी काममा धेरै मन लगाएर लाग्छन्।
投资	लगानी गर्नु	उनीहरूले नयाँ परियोजनामा लगानी गरे।
透明	पारदर्शी	यो कप पारदर्शी छ।
突出	प्रमुख	उनका बलिया पक्षहरू धेरै प्रमुख छन्।
土地	जमिन	यो जमिन धेरै उर्वर छ।
土豆	आलु	मैले केही आलु किनेँ।
兔子	खरायो	बच्चाले एउटा खरायो पालेको छ।
吐	बान्ता आउनु	उनी अस्वस्थ छन् र बान्ता आउन लागेको छ।
团	समूह	हामी भ्रमण समूहमा सामेल भयौं।
推辞	अस्वीकार गर्नु	उनले साथीको निमन्त्रणा अस्वीकार गरे।
推广	प्रचार गर्नु	कम्पनीले नयाँ उत्पादन प्रचार गर्दैछ।
推荐	सिफारिस गर्नु	शिक्षकले यो किताब सिफारिस गर्नुभयो।
退	पछाडि हट्नु	कृपया एक पाइला पछाडि हट।
退步	पछाडि पर्नु	अभ्यास नगरे स्तर पछाडि पर्छ।
退休	सेवानिवृत्त हुनु	उनी अर्को वर्ष सेवानिवृत्त हुनेछन्।
歪	टेढो	यो चित्र टेढो झुन्डिएको छ।
外公	हजुरबा	मेरा हजुरबा यस वर्ष असी वर्षका हुनुभयो।
外交	कूटनीति	उनी अन्तर्राष्ट्रिय सम्बन्ध र कूटनीति पढ्छन्।
完美	पूर्ण	यो योजना पूर्ण छैन।
完善	सुधार गर्नु	हामीले सेवा प्रक्रिया सुधार गर्नुपर्छ।
完整	पूर्ण	कृपया मलाई पूर्ण प्रतिवेदन देऊ।
玩具	खेलौना	बच्चाले खेलौना बाकसमा राख्यो।
万一	यदि कदाचित	यदि कदाचित पानी पर्‍यो भने हामी अर्को दिन जान्छौं।
王子	राजकुमार	कथाको राजकुमार धेरै बहादुर छ।
往返	आवतजावत	यो टिकटले सोही दिन आवतजावत गर्न मिल्छ।
网络	इन्टरनेट	यहाँको इन्टरनेट जडान धेरै स्थिर छ।
危害	हानि पुर्याउनु	धूम्रपानले स्वास्थ्यमा हानि पुर्याउन सक्छ।
威胁	धम्की दिनु	प्रदूषणले नदीलाई धम्की दिइरहेको छ।
微笑	मुस्कान	उनी मसँग मुस्कुराइन्।
唯一	एक मात्र	यो एक मात्र उपाय हो।
围巾	मफलर	जाडोमा उनी मफलर लगाउँछन्।
围绕	केन्द्रित हुनु	छलफल यो विषयमा केन्द्रित भयो।
维修	मर्मत	लिफ्ट मर्मत हुँदैछ।
违反	उल्लङ्घन गर्नु	यस्तो गर्नु नियमको उल्लङ्घन हो।
伟大	महान	यो महान खोज हो।
委屈	अन्याय भएको महसुस गर्नु	उनलाई धेरै अन्याय भएको महसुस भयो।
尾巴	पुच्छर	कुकुरको बच्चाले पुच्छर हल्लायो।
位于	स्थित हुनु	विद्यालय शहरको केन्द्रमा स्थित छ।
位置	स्थान	यो स्थान धेरै शान्त छ।
未必	अनिवार्य छैन	उनले भनेको कुरा अनिवार्य रूपमा सत्य छैन।
未来	भविष्य	हामीले भविष्यका लागि तयारी गर्नुपर्छ।
胃	पेट	मेरो पेट अलि असहज छ।
胃口	भोक	आज उनको भोक राम्रो छ।
温暖	न्यानो	वसन्तको घाम धेरै न्यानो छ।
温柔	कोमल	उनी धेरै कोमल रूपमा बोल्छिन्।
文件	कागजात	कृपया मलाई कागजात पठाऊ।
文具	स्टेशनरी	झोलामा धेरै स्टेशनरी छन्।
文明	सभ्य	लाइनमा बस्नु सभ्य व्यवहार हो।
文学	साहित्य	उनी चिनियाँ साहित्य मन पराउँछिन्।
文字	लिपि	यी लिपि पढ्न गाह्रो छन्।
闻	सुगन्ध आउनु	मैले फूलको सुगन्ध आएजस्तो पाएँ।
吻	चुम्बन गर्नु	आमाले बच्चाको गालामा चुम्बन गरिन्।
稳定	स्थिर	मूल्य स्थिर रहन्छ।
问候	अभिवादन पठाउनु	कृपया मेरो अभिवादन तिम्रो परिवारलाई पठाऊ।
卧室	सुत्ने कोठा	सुत्ने कोठामा ठूलो ओछ्यान छ।
握手	हात मिलाउनु	भेट्दा उनीहरूले हात मिलाए।
屋子	कोठा	कोठाभित्र न्यानो छ।
无奈	लाचार	उनले लाचार भएर टाउको हल्लाए।
无数	असंख्य	रातको आकाशमा असंख्य तारा छन्।
无所谓	फरक पर्दैन	तिमी के खान चाहन्छौ भन्ने फरक पर्दैन।
武术	मार्सल आर्ट	उनले बाल्यकालदेखि मार्सल आर्ट सिकेका छन्।
勿	नगर्नु	कृपया यहाँ धूम्रपान नगर्नुहोस्।
物理	भौतिकशास्त्र	भौतिकशास्त्र कक्षा धेरै रोचक छ।
物质	पदार्थ	पानी महत्वपूर्ण पदार्थ हो।
雾	कुहिरो	बिहान बाक्लो कुहिरो थियो।
吸取	सिक्नु	हामीले यस पाठबाट सिक्नुपर्छ।
吸收	सोस्नु	बिरुवाले पानी सोस्छ।
戏剧	नाटक	उनी परम्परागत नाटक हेर्न मन पराउँछन्।
系	विभाग	उनी चिनियाँ विभागमा पढ्छिन्।
系统	प्रणाली	यो प्रणाली स्थिर रूपमा चल्छ।
细节	विवरण	कृपया यी विवरणमा ध्यान देऊ।
瞎	अन्धाधुन्ध	अन्धाधुन्ध अनुमान नगर, पहिले सामग्री हेर।
下载	डाउनलोड गर्नु	मैले यो सफ्टवेयर डाउनलोड गरें।
吓	तर्साउनु	अचानक आएको आवाजले मलाई तर्सायो।
夏令营	गर्मी शिविर	बच्चाले चिनियाँ गर्मी शिविरमा भाग लियो।
鲜艳	चम्किलो	यो स्कर्टको रङ्ग धेरै चम्किलो छ।
显得	देखिनु	यो कपडाले उनलाई धेरै जवान देखाउँछ।
显然	स्पष्ट रूपमा	स्पष्ट रूपमा, उनलाई नतिजा पहिले नै थाहा छ।
显示	देखाउनु	स्क्रिनले गलत समय देखाइरहेको छ।
县	जिल्ला	यो जिल्लामा धेरै चिया बगान छन्।
现代	आधुनिक	आधुनिक जीवन इन्टरनेटबाट अलग हुन सक्दैन।
现实	वास्तविकता	हामीले वास्तविकताको सामना गर्नुपर्छ।
现象	घटना	यो घटना धेरै सामान्य छ।
限制	सीमित गर्नु	यहाँ गाडी प्रवेश सीमित गरिएको छ।
相处	मिलेर बस्नु	उनीहरू धेरै राम्रोसँग मिलेर बस्छन्।
相当	धेरै	यो किताब धेरै रोचक छ।
相对	तुलनात्मक रूपमा	यहाँका मूल्य तुलनात्मक रूपमा सस्ता छन्।
相关	सम्बन्धित	कृपया सम्बन्धित सामग्री उपलब्ध गराऊ।
相似	मिल्दोजुल्दो	यी दुई अक्षरको अर्थ धेरै मिल्दोजुल्दो छ।
香肠	ससेज	बिहानको खाजामा अण्डा र ससेज छ।
享受	आनन्द लिनु	उनीहरू बिदाको आनन्द लिइरहेका छन्।
想念	सम्झनु	म आफ्नो परिवारलाई धेरै सम्झन्छु।
想象	कल्पना गर्नु	म त्यस्तो जीवन कल्पना गर्न सक्दिनँ।
象棋	चिनियाँ चेस	हजुरबुबा चिनियाँ चेस खेल्न मन पराउनुहुन्छ।
象征	प्रतीक हुनु	सेतो रङ्ग प्रायः पवित्रताको प्रतीक हुन्छ।
项	काम	यो काम धेरै महत्वपूर्ण छ।
项链	हार	उनले चाँदीको हार लगाएकी छिन्।
项目	परियोजना	यो परियोजनालाई तीन महिना चाहिन्छ।
消费	खपत	बिदामा खपत बढ्यो।
消化	पाचन	खानापछि हिँड्दा पाचनमा मद्दत हुन्छ।
消极	नकारात्मक	समस्यालाई नकारात्मक दृष्टिले नहेर।
消失	हराउनु	सूर्य बिस्तारै पहाडपछाडि हरायो।
销售	बिक्री गर्नु	यो कम्पनीले इलेक्ट्रोनिक उत्पादन बिक्री गर्छ।
小麦	गहुँ	उत्तरमा धेरै गहुँ रोपिन्छ।
小气	कञ्जुस	यति कञ्जुस नबन।
孝顺	आमाबुबाप्रति भक्त	उनी आमाबुबाप्रति धेरै भक्त छन्।
效率	दक्षता	यसरी गर्दा दक्षता बढाउन सकिन्छ।
歇	आराम गर्नु	पहिले केही बेर आराम गरौं।
斜	ढल्केको	यो बाटो अलि ढल्केको छ।
写作	लेखन	लेखनका लागि दीर्घकालीन अभ्यास चाहिन्छ।
心理	मानसिक	परीक्षाअघि मानसिक अवस्था मिलाउनुपर्छ।
心脏	मुटु	मुटुको स्वास्थ्य धेरै महत्वपूर्ण छ।
欣赏	आस्वादन गर्नु	हामीले सुन्दर दृश्यको आस्वादन गर्यौं।
信号	सिग्नल	यहाँ मोबाइल फोनको सिग्नल कमजोर छ।
信任	विश्वास	साथीहरूबीच विश्वास चाहिन्छ।
形成	बन्नु	राम्रा बानीहरू बिस्तारै बन्नुपर्छ।
形容	वर्णन गर्नु	म यो अनुभूति कसरी वर्णन गर्ने थाहा छैन।
形势	स्थिति	हालको स्थिति तुलनात्मक रूपमा जटिल छ।
形式	रूप	बैठक अनलाइन रूप लिन सक्छ।
形象	छवि	उनको सार्वजनिक छवि धेरै राम्रो छ।
形状	आकार	यो बाकसको आकार धेरै विशेष छ।
行动	कार्य	हामीले तुरुन्त कार्य गर्नुपर्छ।
行人	पैदलयात्री	बाटो काट्दा पैदलयात्रीलाई ध्यान देऊ।
行为	व्यवहार	यस्तो व्यवहार अशिष्ट छ।
幸亏	भाग्यले	भाग्यले तिमीले मलाई सम्झायौ।
幸运	भाग्यमानी	उनी जागिर पाउन भाग्यमानी भए।
性质	स्वभाव	यो समस्याको स्वभाव धेरै गम्भीर छ।
兄弟	दाजुभाइ	यी दुई दाजुभाइको सम्बन्ध राम्रो छ।
胸	छाती	उनलाई छातीमा अलि कसिएको महसुस हुन्छ।
休闲	फुर्सद	सप्ताहन्त फुर्सदका लागि राम्रो समय हो।
修改	संशोधन गर्नु	कृपया यो लेख संशोधन गर।
虚心	विनम्र	हामीले विनम्र भएर सुझाव सुन्नुपर्छ।
叙述	वर्णन गर्नु	उनले घटना स्पष्ट रूपमा वर्णन गरे।
宣布	घोषणा गर्नु	विद्यालयले नयाँ नियम घोषणा गर्यो।
宣传	प्रचार गर्नु	उनीहरू वातावरण संरक्षण ज्ञान प्रचार गर्दैछन्।
学历	शैक्षिक योग्यता	यो कामका लागि स्नातक शैक्षिक योग्यता चाहिन्छ।
学术	शैक्षिक	यो बैठकमा शैक्षिक विषय छलफल हुन्छ।
学问	ज्ञान	उनी धेरै ज्ञान भएका व्यक्ति हुन्।
血	रगत	उनको हातबाट अलि रगत निस्कियो।
寻找	खोज्नु	हामी नयाँ तरिका खोजिरहेका छौं।
询问	सोध्नु	उनले शिक्षकलाई परीक्षा समयबारे सोधे।
训练	तालिम गर्नु	खेलाडी हरेक दिन तालिम गर्छ।
迅速	छिटो	समाचार छिटो फैलियो।
押金	धरौटी	घर भाडामा लिन धरौटी तिर्नुपर्छ।
牙齿	दाँत	कृपया हरेक दिन दाँतको राम्रो हेरचाह गर।
严肃	गम्भीर	शिक्षकको अनुहार धेरै गम्भीर छ।
延长	लम्ब्याउनु	बैठक आधा घण्टा लम्ब्याइयो।
演讲	भाषण	उनी भोलिको भाषणको तयारी गर्दैछन्।
宴会	भोज	उनीहरू भोजमा सहभागी भए।
阳台	बाल्कनी	बाल्कनीमा फूलका केही गमला छन्।
痒	चिलाउनु	मेरो हात अलि चिलाउँछ।
样式	शैली	यो शैली धेरै लोकप्रिय छ।
腰	कम्मर	लामो समय बस्दा कम्मर दुख्न सक्छ।
摇	हल्लाउनु	हावाले हाँगाहरू यताउता हल्लायो।
咬	टोक्नु	यो कुकुरले मानिस टोक्दैन।
要不	नत्र	नत्र हामी भोलि फेरि जाऔं?
业务	व्यवसाय	कम्पनीको व्यवसाय बढिरहेको छ।
业余	फुर्सदको समयमा	उनी फुर्सदको समयमा फोटोग्राफी सिक्छन्।
夜	रात	रातमा सडक धेरै शान्त हुन्छ।
依然	अझै	उनी अझै बेइजिङमा बस्छन्।
一辈子	जीवनभरि	उनले जीवनभरि संगीतलाई माया गरिन्।
一旦	एक पटक	एक पटक निर्णय गरेपछि अडिग रहनुपर्छ।
一律	सबै	बैठकमा सबै फोन बन्द गर्नुपर्छ।
一再	बारम्बार	उनले हामीलाई सुरक्षा ध्यान दिन बारम्बार सम्झाए।
一致	एकमत	सबैको विचार पूर्ण रूपमा एकमत छ।
疑问	प्रश्न	मलाई यो उत्तरबारे प्रश्न छ।
移动	सार्नु	कृपया टेबल अलि सार।
移民	आप्रवासन गर्नु	उनीहरू विदेशमा आप्रवासन गर्ने योजना बनाउँछन्।
遗憾	खेद हुनु	तिमीलाई भेट्न नसकेकोमा मलाई खेद छ।
乙	दोस्रो पक्ष	सम्झौतामा दोस्रो पक्ष भुक्तानीको जिम्मामा छ।
以及	र	मैले किताब र स्टेशनरी किनेँ।
以来	देखि	स्नातक भएदेखि उनी बेइजिङमा काम गरिरहेका छन्।
义务	कर्तव्य	वातावरण संरक्षण गर्नु सबैको कर्तव्य हो।
亿	अर्ब	यो देशको जनसंख्या एक अर्बभन्दा बढी छ।
意外	अप्रत्याशित	यस पटक ढिलो हुनु पूर्ण रूपमा अप्रत्याशित थियो।
意义	अर्थ	यो कार्यक्रम धेरै अर्थपूर्ण छ।
议论	छलफल गर्नु	सबैले यो कुरा छलफल गरिरहेका छन्।
因而	त्यसैले	उनी मेहनत गरेर पढ्छन्, त्यसैले उनको अंक राम्रो छ।
因素	कारक	मौसम महत्वपूर्ण कारक हो।
银	चाँदी	उनले चाँदीको ब्रेसलेट लगाएकी छिन्।
印刷	छाप्नु	यो किताब धेरै स्पष्ट रूपमा छापिएको छ।
英俊	सुन्दर	उनी धेरै सुन्दर छन्।
英雄	नायक	अग्निनियन्त्रकहरू सच्चा नायक हुन्।
