simplified	HY	example_HY
枯燥	ձանձրալի; չոր	Այս աշխատանքը մի քիչ ձանձրալի է։
苦尽甘来	դժվարություններից հետո լավ օրեր գալ	Տարիների համառությունից հետո դժվարությունները վերջապես փոխվեցին երջանկության։
苦涩	դառը և տտիպ; ցավոտ	Այս դեղաբույսերով թեյը դառը և տտիպ համ ունի։
挎	թևից կախել; կողքից կրել	Նա կտորե պայուսակը թևից կախած դուրս եկավ։
跨	քայլով անցնել; հաղթահարել	Նա անցավ առվակի վրայով և շարունակեց առաջ գնալ։
快活	ուրախ; զվարթ	Երեխաները ուրախ խաղում էին խոտի վրա։
宽敞	ընդարձակ; լայն	Այս դասասենյակը լուսավոր և ընդարձակ է։
宽容	հանդուրժող; ներողամիտ	Հասարակությանը ավելի շատ հասկացողություն և հանդուրժողականություն է պետք։
款待	հյուրասիրել; ջերմ ընդունել	Տանտերը ջերմորեն հյուրասիրեց հյուրերին։
款式	ձև; ոճ; մոդել	Այս հագուստի ոճը շատ նորարար է։
筐	զամբյուղ	Նա խնձորներով լի զամբյուղը տուն տարավ։
况且	բացի այդ; առավել ևս	Ճանապարհը հեռու է, բացի այդ՝ արդեն մթնում է։
旷课	դասից բացակայել առանց պատճառի	Առանց պատճառի դասից բացակայած աշակերտները կգրանցվեն։
框架	շրջանակ; կառուցվածք	Զեկույցի կառուցվածքը նախ պետք է սահմանել։
矿产	հանքային պաշարներ	Այս շրջանը հարուստ է հանքային պաշարներով։
亏待	անարդար վերաբերվել	Ընկերությունը անարդար չի վարվի լրջորեն աշխատող աշխատակիցների հետ։
亏损	վնաս; կորուստ	Գործարանը այս տարի լուրջ վնասներ կրեց։
捆绑	կապել; փաթեթավորել	Խնդրում եմ այս արկղերը ամուր կապիր։
扩充	ընդլայնել; ավելացնել	Դպրոցը ծրագրում է ընդլայնել գրադարանի հավաքածուն։
扩散	տարածվել; տարածել	Լուրը արագ տարածվեց համացանցում։
扩张	ընդլայնում; ընդարձակվել	Ընկերությունը զգուշորեն ընդլայնում է իր բիզնեսը։
啦	նախադասության վերջի մասնիկ	Մի անհանգստացիր, ամեն ինչ ավելի լավ կլինի։
喇叭	ազդանշանային շեփոր; բարձրախոս	Մեքենայի ազդանշանը հանկարծ հնչեց։
蜡烛	մոմ	Ծննդյան տորթի վրա մոմեր էին դրված։
来历	ծագում; պատմություն	Այս մշակութային հուշարձանի ծագումը պարզ չէ։
来源	աղբյուր; ծագում	Լուրերը պետք է նշեն տեղեկության աղբյուրը։
栏目	սյունակ; բաժին	Այս հաղորդման բաժինը եթեր է դուրս գալիս շաբաթը մեկ անգամ։
懒惰	ծույլ; ծուլություն	Ծուլությունը կարող է ազդել ուսման արդյունքների վրա։
狼狈	խղճուկ վիճակում; վատ դրության մեջ	Անձրևից հետո նա ամբողջությամբ թրջվել էր և շատ խղճուկ տեսք ուներ։
狼吞虎咽	ագահորեն ուտել; արագ կուլ տալ	Նա շատ սոված էր և ագահորեն կուլ տվեց ճաշը։
捞	ջրից հանել; որսալ	Ձկնորսը ցանցը հանեց գետից։
唠叨	շատախոսել; անընդհատ դժգոհել	Մայրը միշտ մանրուքների մասին շատ է խոսում։
牢固	ամուր; հաստատուն	Այս կամրջի կառուցվածքը շատ ամուր է։
牢骚	դժգոհություն; բողոք	Նա լի է դժգոհություններով, բայց չի ուզում փոխվել։
乐趣	հաճույք; ուրախություն	Ընթերցանությունը նրան շատ հաճույք է տալիս։
乐意	պատրաստ լինել; սիրով համաձայնել	Ես սիրով պատրաստ եմ օգնել քեզ վերանայել կենսագրականդ։
雷达	ռադար	Ռադարը հեռվում ինքնաթիռ հայտնաբերեց։
类似	նման; համանման	Նման խնդիրներ նախկինում էլ են եղել։
冷酷	սառնասիրտ; անզգա	Նրա տոնը շատ սառնասիրտ էր հնչում։
冷落	անտեսել; սառը վերաբերվել	Նոր աշխատակիցը իրեն անտեսված զգաց։
冷却	սառչել; հովացնել	Մեքենան պետք է սառչի, հետո միայն վերանորոգվի։
愣	ապշել; քարանալ	Լուրը լսելով՝ նա քարացավ։
黎明	արշալույս	Արշալույսին քաղաքը աստիճանաբար արթնացավ։
理睬	ուշադրություն դարձնել; արձագանքել	Նա բարկացած էր և ոչ ոքի ուշադրություն չէր դարձնում։
理所当然	ինքնին հասկանալի համարել	Մի համարիր ուրիշների օգնությունը ինքնին հասկանալի։
理直气壮	արդարացի և վստահ խոսել	Բավարար ապացույցներով նա լիովին վստահ խոսեց։
理智	բանականություն; ողջամտություն	Հակամարտության ժամանակ պետք է ողջամիտ մնաս։
礼节	էթիկետ; վարվելակարգ	Տարբեր մշակույթներում վարվելակարգը տարբեր է։
礼尚往来	քաղաքավարությանը քաղաքավարությամբ պատասխանել	Հարևանները կարևորում են փոխադարձ քաղաքավարությունը։
里程碑	նշաձող; կարևոր հանգրվան	Այս հաջողությունը նախագծի համար կարևոր հանգրվան է։
例外	բացառություն	Բոլորը պետք է մասնակցեն, առանց բացառության։
利害	շահեր և վնասներ; օգուտ ու վնաս	Սա առնչվում է երկու կողմերի շահերին։
力求	ջանալ; ամեն կերպ ձգտել	Մենք ձգտում ենք սխալները նվազագույնի հասցնել։
力所能及	ուժերի սահմաններում	Խնդրում եմ արա այն, ինչ քո ուժերի սահմաններում է։
力争	ձգտել; պայքարել հասնելու համար	Թիմը ձգտում է առաջադրանքը ժամանակից շուտ ավարտել։
历代	նախորդ սերունդներ; անցյալ դինաստիաներ	Նախորդ սերունդների գիտնականները ուսումնասիրել են այս հարցը։
历来	միշտ; մշտապես	Այս քաղաքը միշտ կարևորել է կրթությունը։
立场	դիրքորոշում; տեսակետ	Նա ժողովում հայտնեց իր դիրքորոշումը։
立方	խորանարդ; խորանարդային	Այս ջրամբարի տարողությունը երեք խորանարդ մետր է։
立交桥	էստակադա; վերգետնյա խաչմերուկ	Այս էստակադան թեթևացրեց երթևեկության խցանումը։
立体	եռաչափ; ծավալային	Այս նկարը ուժեղ եռաչափ ազդեցություն ունի։
立足	հաստատվել; հենվել	Ձեռնարկությունները պետք է հենվեն տեղական շուկայի վրա։
粒	հատիկ; մանր հատ	Սեղանի վրա մի քանի բրնձի հատիկ կա։
廉洁	ազնիվ և անշահախնդիր	Պետական պաշտոնյաները պետք է ազնիվ և անշահախնդիր մնան։
联欢	հավաքույթ կազմակերպել; միասին ուրախանալ	Դասընկերները Ամանորի հավաքույթ անցկացրին։
联络	կապ հաստատել; կապ	Խնդրում եմ որքան հնարավոր է շուտ կապ հաստատիր հաճախորդի հետ։
联盟	դաշինք; միություն	Մի քանի երկիր առևտրային դաշինք կազմեց։
联想	ասոցիացնել; հիշեցնել	Այս լուսանկարը ինձ հիշեցնում է մանկությունս։
连年	տարիներ շարունակ; անընդմեջ տարիներ	Այս շրջանում տարիներ շարունակ ջրհեղեղներ են եղել։
连锁	ցանցային; շղթա	Այս ընկերությունը ցանցային սուպերմարկետներ է վարում։
连同	հետ միասին; ներառյալ	Խնդրում եմ հաշիվը պայմանագրի հետ միասին ուղարկիր։
良心	խիղճ	Մարդ պետք է ապրի այնպես, որ խղճին չդավաճանի։
晾	չորացնել օդում	Նա հագուստը կախեց պատշգամբում չորանալու համար։
谅解	ըմբռնում; ներողամտություն	Հույս ունեմ՝ կարող ես հասկանալ մեր դժվարությունները։
辽阔	վիթխարի; ընդարձակ	Տափաստանը վիթխարի է և ձգվում է մինչև տեսադաշտի սահմանը։
列举	թվարկել; օրինակներ բերել	Ուսուցիչը երեք օրինակ թվարկեց։
临床	կլինիկական	Այս դեղը անցնում է կլինիկական փորձարկումներ։
淋	թրջվել; հեղեղվել	Մի մնա անձրևի տակ այնքան երկար, որ թրջվես։
吝啬	ժլատ	Նա երբեք ժլատ չէ ընկերների հանդեպ։
伶俐	ճարպիկ; խելացի	Այս փոքրիկ աղջիկը խելացի և արագամիտ է։
凌晨	վաղ լուսաբացին; գիշերվա ուշ ժամերին	Ինքնաթիռը թռչում է գիշերվա ժամը երեքին։
灵感	ոգեշնչում; ներշնչանք	Երաժշտությունը նրան ստեղծագործական ներշնչանք տվեց։
灵魂	հոգի; ոգի	Ազատությունը այս ստեղծագործության հոգին է։
灵敏	զգայուն; արագ արձագանքող	Այս գործիքը շատ զգայուն է արձագանքում։
零星	ցրված; պատառիկ-պատառիկ	Գիշերային երկնքում ցրված լույսեր կային։
领会	ըմբռնել; հասկանալ	Նա արագ ըմբռնեց ուսուցչի ասածը։
领事馆	հյուպատոսարան	Նա գնաց հյուպատոսարան վիզայի հարցերը կարգավորելու։
领土	տարածք; պետական տարածք	Յուրաքանչյուր երկիր կարևորում է տարածքային ամբողջականությունը։
领悟	հասկանալ; գիտակցել	Ձախողումից հետո նա հասկացավ պատասխանատվությունը։
领先	առաջատար լինել; առաջ անցնել	Նրանց տեխնոլոգիան այժմ առաջ է մրցակիցներից։
领袖	առաջնորդ	Այս առաջնորդը խոր հարգանք է վայելում ժողովրդի կողմից։
溜	սողոսկել; փախչել	Շնիկը դռան ճեղքից սողոսկեց դուրս։
流浪	թափառել; դեգերել	Երիտասարդ տարիներին նա մի ժամանակ տեղից տեղ էր թափառում։
流露	արտահայտվել; երևալ	Նրա դեմքին ուրախություն էր երևում։
流氓	խուլիգան; ավազակ	Ոստիկանությունը բռնեց փողոցի մի քանի խուլիգանների։
流通	շրջանառվել	Այս արժույթը մի ժամանակ տեղում շրջանառվում էր։
留恋	չցանկանալ հեռանալ; կարոտով հիշել	Ավարտելիս բոլորը կապվածություն էին զգում համալսարանի հանդեպ։
留念	հիշատակ պահել	Մենք դպրոցի դարպասի մոտ լուսանկարվեցինք որպես հիշատակ։
留神	ուշադիր լինել; զգուշանալ	Ճանապարհը անցնելիս պետք է ուշադիր լինես։
聋哑	խուլ ու համր	Դպրոցը օգնություն է տրամադրում խուլ ու համր երեխաներին։
隆重	հանդիսավոր; շքեղ	Համաժողովը հանդիսավոր անցկացվեց դահլիճում։
垄断	մենաշնորհել; մենաշնորհ	Մենաշնորհը կարող է վնասել շուկայական մրցակցությանը։
笼罩	պատել; ծածկել	Խիտ մառախուղը պատեց ամբողջ գյուղը։
搂	գրկել; գիրկն առնել	Մայրը մեղմորեն գրկեց երեխային։
炉灶	վառարան; օջախ	Խոհանոցի վառարանը մաքրելու կարիք ունի։
轮船	շոգենավ; նավ	Նավը դանդաղ հեռացավ նավահանգստից։
轮廓	ուրվագիծ	Հեռավոր լեռների ուրվագիծը շատ պարզ է։
轮胎	անվադող	Մեքենայի անվադողերը պետք է փոխել։
论坛	ֆորում	Մասնագետները ելույթ ունեցան ֆորումում։
论证	հիմնավորել; ապացուցել	Զեկույցը պետք է ավելի լավ հիմնավորի իր փաստարկը։
啰唆	երկարաբանել; շատախոսել	Մի երկարաբանիր, անցիր բուն հարցին։
络绎不绝	անընդհատ հոսքով; անդադար	Այցելուները անընդհատ հոսքով գալիս էին հին քաղաք։
落成	շինարարությունն ավարտել; պաշտոնապես բացել	Նոր մարզադահլիճը վաղը պաշտոնապես կբացվի։
落实	իրականացնել; կյանքի կոչել	Ժողովը պահանջեց արագ իրականացնել նոր քաղաքականությունը։
屡次	բազմիցս; կրկին ու կրկին	Նա բազմիցս հիշեցրեց բոլորին ուշադրություն դարձնել անվտանգությանը։
履行	կատարել; իրագործել	Երկու կողմերն էլ պետք է կատարեն պայմանագրային պարտավորությունները։
掠夺	թալանել; կողոպտել	Պատերազմը հանգեցրեց ռեսուրսների թալանին։
嘛	հո; չէ՞	Այս գործը հո պարզ է։
麻痹	անզգայացում; կաթված; զգոնության կորուստ	Երկարատև հաջող ընթացքը կարող է հեշտությամբ թուլացնել զգոնությունը։
麻木	թմրած; անզգա	Ցրտից նրա մատները թմրել էին։
麻醉	անզգայացնել; անզգայացում	Վիրահատությունից առաջ բժիշկը անզգայացրեց հիվանդին։
码头	նավամատույց	Բեռնանավը կանգ առավ նավամատույցի մոտ։
蚂蚁	մրջյուն	Մրջյունները սնունդ են տեղափոխում։
埋伏	դարան; դարան մտնել	Զինվորները դարան մտան հովտում։
埋没	մոռացության մատնել; աննկատ թողնել	Թույլ մի տվեք, որ տաղանդավոր մարդիկ աննկատ մնան։
埋葬	թաղել	Գյուղացիները ծերունուն թաղեցին բլրի լանջին։
脉搏	զարկերակ; զարկ	Բուժքույրը չափում է նրա զարկերակը։
迈	քայլ անել; առաջ շարժվել	Նա լայն քայլերով մոտեցավ դռանը։
埋怨	բողոքել; մեղադրել	Մի միշտ բողոքիր ուրիշներից։
慢性	քրոնիկ; դանդաղ ընթացող	Քրոնիկ հիվանդությունները երկարատև բուժում են պահանջում։
漫长	երկարատև; ձգվող	Նրանք երկարատև սպասման միջով անցան։
漫画	կոմիքս; ծաղրանկար	Այս կոմիքսը շատ սիրված է երիտասարդների շրջանում։
蔓延	տարածվել; ընդարձակվել	Կրակը արագ տարածվեց անտառի խորքը։
忙碌	զբաղված; գործերով ծանրաբեռնված	Տարվա վերջը ընկերության ամենազբաղված ժամանակն է։
盲目	կույր; աննպատակ	Ներդրումները չպետք է կուրորեն հետևեն միտումներին։
茫茫	անծայրածիր; անսահման	Նավը անհետացավ անծայրածիր ծովում։
茫然	շփոթված; անտեղյակ	Բացատրությունը լսելուց հետո նա դեռ շփոթված տեսք ուներ։
冒充	կեղծ ներկայանալ; ուրիշի տեղը ներկայանալ	Մեկը կեղծ ներկայացել էր որպես ոստիկան և մարդկանցից փող էր խաբել։
冒犯	վիրավորել; անտեղի նեղացնել	Իմ խոսքերը քեզ վիրավորելու համար չէին։
茂盛	փարթամ; առատ աճող	Բակի ծառերը փարթամ են աճում։
媒介	միջոց; միջնորդ	Համացանցը տեղեկատվության կարևոր միջոց է։
枚	հատ; փոքր առարկաների հաշվիչ բառ	Նա հավաքել էր մի քանի հուշադրամ։
美观	գեղեցիկ; աչքին հաճելի	Այս դիզայնը թե գործնական է, թե աչքին հաճելի։
美满	երջանիկ; լիակատար	Նրանք երջանիկ ու լիարժեք կյանքով են ապրում։
美妙	հրաշալի; սքանչելի	Համերգը հրաշալի փորձառություն պարգևեց։
萌芽	ծիլ; սաղմնավորվել	Նոր գաղափար սկսեց սաղմնավորվել։
猛烈	սաստիկ; ուժգին	Փոթորիկը շատ ուժգին վրա հասավ։
眯	աչքերը կկոցել; ննջել	Արևը չափազանց ուժեղ էր, նա աչքերը կկոցեց։
弥补	լրացնել; փոխհատուցել	Ներողությունը չի կարող ամբողջությամբ փոխհատուցել կորուստը։
弥漫	տարածվել օդում; լցվել	Ծաղիկների բույրը լցվել էր բակը։
谜语	հանելուկ	Երեխաները սիրում են հանելուկներ գուշակել։
迷惑	շփոթեցնել; մոլորեցնել	Բարդ տվյալները նրան շփոթեցրին։
迷人	հմայիչ; գրավիչ	Ծովափի գիշերային տեսարանը շատ հմայիչ է։
迷信	սնահավատություն	Գիտական կրթությունը կարող է նվազեցնել սնահավատությունը։
密度	խտություն	Այս մետաղը բարձր խտություն ունի։
密封	հերմետիկ փակել; կնքել	Բացելուց հետո խնդրում եմ նորից ամուր փակել տոպրակը։
棉花	բամբակ	Գյուղացիները բամբակ են հավաքում։
免得	որպեսզի չ; խուսափելու համար	Ավելի շուտ դուրս եկ, որպեսզի չուշանաս։
免疫	իմունիտետ; դիմադրողականություն	Այս պատվաստանյութը կարող է բարձրացնել դիմադրողականությունը։
勉励	քաջալերել; խրախուսել	Ուսուցիչը հաճախ քաջալերում է աշակերտներին շարունակել սովորել։
勉强	դժկամորեն; դժվարությամբ; ստիպել	Նա դժկամորեն համաձայնեց այս պայմանավորվածությանը։
面貌	տեսք; կերպար	Քաղաքի տեսքը շատ է փոխվել։
面子	պատիվ; դեմքի պահպանում	Նա չէր ուզում հասարակության առաջ կորցնել պատիվը։
描绘	պատկերել; նկարագրել	Վեպը պատկերում է գյուղական կյանքը։
瞄准	նշան բռնել; նպատակ ունենալ	Հրաձիգը նշան բռնեց թիրախին։
渺小	փոքրիկ; աննշան	Բնության առաջ մարդը շատ փոքր է թվում։
藐视	արհամարհել; վերևից նայել	Մենք չպետք է արհամարհենք ոչ մի հակառակորդի։
灭亡	կործանվել; ոչնչանալ	Այս արքայատոհմը վերջում գնաց դեպի կործանում։
蔑视	արհամարհանք; արհամարհել	Նրա տոնը լի էր արհամարհանքով։
民间	ժողովրդական; ժողովրդի մեջ	Ժողովրդական արվեստը պաշտպանության կարիք ունի։
民主	ժողովրդավարություն	Ժողովում կիրառվեց ժողովրդավարական քվեարկություն։
敏捷	ճարպիկ; արագաշարժ	Մարզիկի շարժումները շատ արագաշարժ են։
敏锐	սուր; խորաթափանց	Լրագրողներին պետք է սուր դիտողականություն։
名次	տեղ; վարկանիշ	Նա մրցույթում լավ տեղ գրավեց։
名额	տեղերի քանակ; քվոտա	Այս ծրագրում ընդամենը տասը տեղ կա։
名副其实	անվանը լիովին համապատասխան; իսկական	Նա իսկական փորձագետ է՝ թե անունով, թե գործով։
名誉	համբավ; պատիվ	Այս գործը վնասեց ընկերության համբավին։
明明	ակնհայտորեն; պարզորեն	Նա ակնհայտորեն գիտեր պատասխանը, բայց հրաժարվեց ասել։
明智	իմաստուն; խելամիտ	Որոշումը հետաձգելը խելամիտ ընտրություն էր։
命名	անվանել	Գիտնականները անվանեցին նոր տեսակը։
摸索	փորձով որոնել; ուղի փնտրել	Թիմը դեռ նոր մեթոդներ է որոնում։
摩擦	շփում; հակասություն	Երկու երկրների միջև առևտրային հակասություն առաջացավ։
模范	օրինակելի; օրինակ	Նա դպրոցի բոլոր աշակերտների համար օրինակ է։
模式	մոդել; եղանակ	Այս բիզնես մոդելը շատ հաջող է։
模型	մոդել; մանրակերտ	Ինժեները կամրջի մանրակերտ պատրաստեց։
磨合	հարմարվել միմյանց; ներդաշնակվել	Նոր թիմին ժամանակ է պետք միմյանց հարմարվելու համար։
膜	թաղանթ	Այս թաղանթը կարող է զտել խառնուրդները։
魔鬼	սատանա; չար ոգի	Պատմության սատանան շատ խորամանկ է։
魔术	մոգություն; կախարդական հնարք	Երեխաները սիրում են դիտել կախարդական հնարքներ։
抹杀	ջնջել; ուրանալ	Նրա ներդրումը չի կարելի ջնջել։
墨水儿	թանաք	Գրչի թանաքը գրեթե վերջացել է։
莫名其妙	անհասկանալի; տարօրինակ	Նրա արձագանքը մարդկանց տարօրինակ թվաց։
默默	լուռ; անաղմուկ	Նա լուռ օգնել է շատ մարդկանց։
谋求	ձգտել; փնտրել	Ձեռնարկությունը զարգացման նոր հնարավորություններ է փնտրում։
模样	տեսք; կերպար	Նրա տեսքը հիմա շատ է փոխվել։
母语	մայրենի լեզու	Երեխաները մայրենի լեզուն սովորում են վաղ տարիքից։
沐浴	լողանալ; ողողվել	Առավոտյան գյուղը ողողված էր արևի լույսով։
目睹	ականատես լինել	Շատ մարդիկ ականատես եղան վթարին։
目光	հայացք	Բոլորի հայացքները ուղղված էին բեմին։
拿手	հմուտ; լավ ստացվող	Շոգեխաշած ձուկը նրա ամենահաջող ուտեստն է։
纳闷儿	զարմանալ; գլխի չընկնել	Ես անընդհատ զարմանում էի, թե ինչու նա ուշացավ։
耐用	դիմացկուն	Այս կոշիկները շատ դիմացկուն են։
南辕北辙	նպատակին հակառակ գործել	Նրա եղանակը հակառակ է նպատակին։
难得	հազվագյուտ; դժվար ձեռք բերվող	Սա հազվագյուտ հնարավորություն է։
难堪	ամոթալի; անհարմար	Այս հարցը նրան անհարմար դրության մեջ դրեց։
难能可贵	հազվադեպ ու գնահատելի	Ճնշման տակ ազնիվ մնալը հատկապես գնահատելի է։
恼火	զայրացած; բարկանալ	Սարքավորումը նորից փչացավ, և նա շատ զայրացավ։
内涵	ներքին իմաստ; բովանդակություն	Այս բառը հարուստ մշակութային իմաստ ունի։
内幕	ներքին պատմություն; կուլիսային տեղեկություն	Լրագրողը փորձեց պարզել դեպքի ներքին պատմությունը։
内在	ներքին; բնածին	Նա ավելի շատ գնահատում է մարդու ներքին որակները։
能量	էներգիա; ուժ	Այս նախաճաշը ինձ շատ էներգիա է տալիս։
拟定	կազմել; նախագծել	Քարտուղարը կազմում է ժողովի օրակարգը։
逆行	հակառակ ուղղությամբ երթևեկել; հետ գնալ	Այդ մեքենան միակողմանի փողոցում հակառակ ուղղությամբ էր գնում։
年度	տարեկան; տարի	Ընկերությունը հրապարակեց իր տարեկան զեկույցը։
捏	կսմթել; ճմլել; ձև տալ	Նա մեղմ կսմթեց երեխայի այտը։
凝固	պնդանալ; սառչել	Սառչելուց հետո մոմը դանդաղ կպնդանա։
凝聚	միավորել; կուտակել	Ընդհանուր նպատակը կարող է միավորել թիմի ուժը։
凝视	սևեռուն նայել	Նա սևեռուն նայում էր հեռվի լույսերին։
拧	կսմթել; քամել; ոլորել	Նա ձեռքով ինձ մեկ անգամ կսմթեց։
宁肯	ավելի շուտ կնախընտրել; գերադասել	Նա ավելի շուտ կձախողվի, քան կհրաժարվի իր սկզբունքներից։
宁愿	գերադասել; ավելի լավ համարել	Ես գերադասում եմ քայլել, քան սպասել ավտոբուսին։
扭转	շրջել; փոխել ընթացքը	Նոր քաղաքականությունը շրջեց վնասաբեր իրավիճակը։
纽扣儿	կոճակ	Այս վերնաշապիկից մի կոճակ պոկվել է։
农历	լուսնային օրացույց	Գարնան տոնը նշվում է լուսնային օրացույցով։
浓厚	խիտ; ուժեղ հետաքրքրություն ունեցող	Նա պատմության հանդեպ մեծ հետաքրքրություն ունի։
奴隶	ստրուկ	Հին հասարակությունում ստրկություն կար։
挪	տեղափոխել; մի կողմ քաշել	Խնդրում եմ աթոռը մի քիչ մի կողմ տեղափոխիր։
虐待	վատ վերաբերվել; բռնության ենթարկել	Օրենքը արգելում է երեխաների հանդեպ բռնությունը։
哦	օհ; ահա	Օհ, վերջապես հասկացա։
殴打	ծեծել	Ոստիկանությունը ձերբակալեց անցորդին ծեծած մարդուն։
偶像	կուռք	Նա այդ գրողին իր կուռքն է համարում։
呕吐	փսխել	Փչացած սնունդ ուտելուց հետո նա սկսեց փսխել։
趴	փորի վրա պառկել	Փիսիկը փորի վրա պառկած քնել էր պատուհանագոգին։
徘徊	երկմտել; այս ու այն կողմ քայլել	Նա երկար ժամանակ այս ու այն կողմ էր քայլում դռան մոտ։
排斥	մերժել; դուրս մղել	Նոր նյութը դուրս է մղում խոնավությունը։
排除	բացառել; վերացնել	Բժիշկը նախ բացառեց ծանր հիվանդությունը։
排放	արտանետում; արտանետել	Գործարանները պետք է նվազեցնեն արտանետումները։
排练	փորձ անել; փորձ	Դերասանները նոր ծրագիր են փորձ անում։
派别	խմբավորում; հոսանք	Այս կազմակերպության ներսում տարբեր խմբավորումներ կան։
派遣	ուղարկել; գործուղել	Ընկերությունը ինժեներներ ուղարկեց տեղամաս։
攀登	մագլցել; բարձրանալ	Նրանք վաղը ծրագրում են բարձրանալ ձյունածածկ լեռը։
盘旋	շրջապտույտ անել; պտտվել	Ինքնաթիռը պտտվում էր օդանավակայանի վերևում։
判决	դատավճիռ; վճիռ	Դատարանը այսօր հրապարակեց դատավճիռը։
畔	ափ; եզերք	Երեխաները քայլում էին լճի ափով։
庞大	հսկայական; վիթխարի	Այս նախագիծը հսկայական միջոցներ է պահանջում։
抛弃	լքել; հրաժարվել	Նա չի ուզում լքել իր երազանքը։
泡沫	փրփուր; պղպջակ	Բաժակի մեջ շատ սպիտակ փրփուր կա։
培育	դաստիարակել; աճեցնել	Դպրոցը ջանում է դաստիարակել աշակերտների պատասխանատվության զգացումը։
配备	սարքավորել; ապահովել	Նոր մեքենան ապահովված է անվտանգության համակարգով։
配偶	ամուսին; զուգընկեր	Դիմումի ձևում պետք է նշել ամուսնու տվյալները։
配套	լրակազմ կազմող; համալրված	Թաղամասը ունի լիովին համալրված օժանդակ հարմարություններ։
盆地	գոգավորություն; ավազան	Այս ավազանում ամռանը շատ շոգ է։
烹饪	խոհարարություն	Խոհարարությունը համբերություն և փորձ է պահանջում։
捧	երկու ձեռքով պահել; բարձր պահել	Նա երկու ձեռքով ծաղկեփունջ էր պահում։
劈	ճեղքել; կացնով կտրել	Բանվորը կացնով փայտ էր ճեղքում։
批发	մեծածախ վաճառք	Այս խանութը հիմնականում միրգ է վաճառում մեծածախ։
批判	քննադատել	Հոդվածը քննադատեց այս սխալ տեսակետը։
疲惫	հոգնած; ուժասպառ	Երկար ճանապարհորդությունից հետո բոլորը ուժասպառ էին։
疲倦	հոգնած	Անընդմեջ աշխատանքը նրան հոգնեցրեց։
皮革	կաշի	Այս պայուսակը կաշվից է պատրաստված։
屁股	հետույք	Ընկնելուց հետո երեխայի հետույքը ցավեց։
譬如	օրինակ; օրինակ՝	Օրինակ՝ կարող ենք նախ փոքր փորձ անել։
偏差	շեղում; կողմնակալություն	Փորձի արդյունքներում ակնհայտ շեղում կա։
偏见	նախապաշարում	Մենք պետք է խուսափենք ազգային նախապաշարումից։
偏僻	հեռավոր; մեկուսի	Այս գյուղը շատ հեռավոր վայրում է։
偏偏	հենց այդպես էլ; ի հեճուկս սպասելիքի	Որքան շատ էի շտապում, մեքենան հենց այնքան դանդաղ էր գնում։
片断	հատված; բեկոր	Ֆիլմում մի քանի հրաշալի հատված կա։
片刻	պահ; կարճ ժամանակ	Խնդրում եմ մի պահ սպասիր այստեղ։
漂浮	լողալ; սավառնել	Թափված տերևները լողում էին ջրի վրա։
飘扬	ծածանվել	Դրոշը ծածանվում էր քամու մեջ։
撇	դեն նետել; թեք գիծ քաշել	Նա հին ծրագիրը դեն նետեց։
拼搏	պայքարել; ջանք գործադրել	Երիտասարդները պետք է պայքարեն իրենց իդեալների համար։
拼命	ամբողջ ուժով; ամեն գնով	Նա ամբողջ ուժով հետապնդեց առաջ գնացող թիմին։
贫乏	աղքատիկ; պակաս	Այս հոդվածի բովանդակությունը բավական աղքատիկ է։
贫困	աղքատություն; աղքատ	Կառավարությունը օգնում է աղքատ ընտանիքներին։
频繁	հաճախակի	Վերջերս այստեղ ճանապարհատրանսպորտային պատահարները հաճախակի են դարձել։
频率	հաճախություն	Այս ձայնի հաճախությունը շատ բարձր է։
品尝	համտեսել	Հյուրերը համտեսում են տեղական ուտելիքը։
品德	բարոյականություն; բնավորություն	Դպրոցը կարևորում է աշակերտների բարոյական դաստիարակությունը։
品质	որակ	Այս ընկերության արտադրանքի որակը կայուն է։
品种	տեսակ; ցեղատեսակ	Շուկայում մրգերի շատ տեսակներ կան։
屏幕	էկրան	Խնդրում եմ նվազեցրու էկրանի պայծառությունը։
屏障	պատնեշ; պաշտպանիչ արգելք	Անտառը քամու դեմ կարևոր պատնեշ է։
平凡	սովորական; հասարակ	Նա երկար տարիներ աշխատել է սովորական պաշտոնում։
平面	հարթություն; հատակագիծ	Դիզայները տան հատակագիծը գծեց։
平坦	հարթ	Այս ճանապարհը շատ հարթ է։
平行	զուգահեռ	Այս երկու գծերը միմյանց զուգահեռ են։
平庸	միջակ	Նա չի ուզում միջակ կյանքով ապրել։
平原	հարթավայր	Գնացքը անցավ ընդարձակ հարթավայրով։
评估	գնահատել; գնահատում	Փորձագետները գնահատում են նախագծի ռիսկերը։
评论	մեկնաբանել; մեկնաբանություն	Ընթերցողները կարող են մեկնաբանել հոդվածի տակ։
坡	լանջ; թեքություն	Մեքենան դանդաղ բարձրացավ լանջով։
泼	շաղ տալ; թափել	Ջուրը մի թափիր հատակին։
颇	բավական; բավականին	Այս արդյունքը բավական զարմանալի է։
破例	բացառություն անել	Մենեջերը բացառություն արեց և հաստատեց նրա դիմումը։
迫不及待	անհամբեր; շտապող	Երեխաները անհամբեր սպասում էին նվերները բացելուն։
迫害	հալածել; հալածանք	Պատմության մեջ շատ մարդիկ հալածանքի են ենթարկվել։
魄力	համարձակություն; վճռականություն	Ղեկավարներին որոշումներ կայացնելու համարձակություն է պետք։
