simplified	HU	example_HU
稳定	stabil	Az árak stabilak maradnak.
问候	üdvözletet küldeni	Kérlek, add át üdvözletemet a családodnak.
卧室	hálószoba	A hálószobában van egy nagy ágy.
握手	kezet fogni	Találkozáskor kezet fogtak.
屋子	szoba	A szobában meleg van.
无奈	tehetetlenül	Tehetetlenül megrázta a fejét.
无数	számtalan	Az éjszakai égbolton számtalan csillag van.
无所谓	nem számít	Nem számít, mit akarsz enni.
武术	harcművészet	Gyerekkora óta tanul harcművészetet.
勿	ne	Kérjük, itt ne dohányozzon.
物理	fizika	A fizikaóra nagyon érdekes.
物质	anyag	A víz fontos anyag.
雾	köd	Reggel nagy köd volt.
吸取	levonni; tanulni belőle	Tanulnunk kell ebből a leckéből.
吸收	felszívni	A növények felszívják a vizet.
戏剧	színház; dráma	Szeret hagyományos színházat nézni.
系	tanszék; kar	A kínai tanszéken tanul.
系统	rendszer	Ez a rendszer stabilan működik.
细节	részlet	Kérlek, figyelj ezekre a részletekre.
瞎	vakon; találomra	Ne találgass vakon, először nézd meg az anyagokat.
下载	letölteni	Letöltöttem ezt a szoftvert.
吓	megijeszteni	A hirtelen hang megijesztett.
夏令营	nyári tábor	A gyerek részt vett egy kínai nyári táborban.
鲜艳	élénk színű	Ennek a szoknyának nagyon élénk a színe.
显得	tűnni; látszani	Ez a ruha nagyon fiatalnak mutatja őt.
显然	nyilvánvalóan	Nyilvánvalóan már tudja az eredményt.
显示	mutatni	A képernyő rossz időt mutat.
县	megye	Ebben a megyében sok teaültetvény van.
现代	modern	A modern élet nem választható el az internettől.
现实	valóság	Szembe kell néznünk a valósággal.
现象	jelenség	Ez a jelenség nagyon gyakori.
限制	korlátozni	Itt korlátozott a járművek behajtása.
相处	kijönni valakivel	Nagyon jól kijönnek egymással.
相当	meglehetősen	Ez a könyv meglehetősen érdekes.
相对	viszonylag	Az árak itt viszonylag olcsók.
相关	kapcsolódó	Kérjük, adja meg a kapcsolódó anyagokat.
相似	hasonló	E két írásjegy jelentése nagyon hasonló.
香肠	kolbász	Reggelire tojás és kolbász van.
享受	élvezni	Élvezik a nyaralást.
想念	hiányolni	Nagyon hiányzik a családom.
想象	elképzelni	Nem tudom elképzelni azt az életet.
象棋	kínai sakk	Nagypapa szeret kínai sakkozni.
象征	jelképezni	A fehér gyakran a tisztaságot jelképezi.
项	tétel; feladat számlálószava	Ez a feladat nagyon fontos.
项链	nyaklánc	Ezüst nyakláncot visel.
项目	projekt	Ez a projekt három hónapot igényel.
消费	fogyasztás; költés	Az ünnep alatt nőtt a fogyasztás.
消化	emészteni	Étkezés után sétálni segíti az emésztést.
消极	negatív	Ne nézd a problémákat negatív hozzáállással.
消失	eltűnni	A nap lassan eltűnt a hegy mögött.
销售	eladni	Ez a cég elektronikai termékeket árul.
小麦	búza	Északon sok búzát termesztenek.
小气	fukar	Ne légy ilyen fukar.
孝顺	szülőtisztelő	Nagyon tiszteli és gondozza a szüleit.
效率	hatékonyság	Így csinálva javítható a hatékonyság.
歇	pihenni	Először pihenjünk egy kicsit.
斜	ferde	Ez az út egy kicsit lejtős.
写作	írás	Az íráshoz hosszú távú gyakorlás kell.
心理	lelkiállapot; pszichológia	A vizsga előtt be kell állítanod a lelkiállapotodat.
心脏	szív	A szív egészsége nagyon fontos.
欣赏	gyönyörködni; értékelni	Gyönyörködtünk a szép tájban.
信号	jel	Itt gyenge a mobiltelefon-jel.
信任	bizalom	A barátok között bizalomra van szükség.
形成	kialakulni	A jó szokásoknak fokozatosan kell kialakulniuk.
形容	leírni	Nem tudom, hogyan írjam le ezt az érzést.
形势	helyzet	A jelenlegi helyzet viszonylag összetett.
形式	forma	Az értekezlet online formában is megtartható.
形象	imázs; kép	A nyilvános imázsa nagyon jó.
形状	forma	Ennek a doboznak nagyon különleges a formája.
行动	cselekvés; cselekedni	Azonnal cselekednünk kell.
行人	gyalogos	Útátkeléskor figyelj a gyalogosokra.
行为	viselkedés	Ez a fajta viselkedés udvariatlan.
幸亏	szerencsére	Szerencsére emlékeztettél.
幸运	szerencsés	Szerencsés volt, hogy munkát talált.
性质	jelleg	Ennek a problémának a jellege nagyon súlyos.
兄弟	testvérek	A két testvér jó kapcsolatban van.
胸	mellkas	Kicsit szorítást érez a mellkasában.
休闲	szabadidő	A hétvége jó idő a pihenésre.
修改	módosítani	Kérlek, módosítsd ezt a cikket.
虚心	nyitott; szerény	Nyitottan kell meghallgatnunk a véleményeket.
叙述	elbeszélni	Világosan elbeszélte, mi történt.
宣布	bejelenteni	Az iskola bejelentette az új szabályokat.
宣传	népszerűsíteni; propagálni	A környezetvédelemmel kapcsolatos ismereteket népszerűsítik.
学历	végzettség	Ehhez a munkához alapképzéses végzettség kell.
学术	tudományos; akadémiai	Ez az értekezlet tudományos kérdéseket tárgyal.
学问	tudás	Nagyon nagy tudású ember.
血	vér	Kicsit vérzett a keze.
寻找	keresni	Új módszert keresünk.
询问	érdeklődni	Megkérdezte a tanárt a vizsga időpontjáról.
训练	edzeni; kiképezni	A sportoló minden nap edz.
迅速	gyors	A hír gyorsan elterjedt.
押金	kaució	Lakásbérléskor kauciót kell fizetni.
牙齿	fog	Kérlek, minden nap vigyázz jól a fogaidra.
严肃	komoly	A tanár arckifejezése nagyon komoly.
延长	meghosszabbítani	Az értekezletet fél órával meghosszabbították.
演讲	beszéd; előadás	A holnapi beszédére készül.
宴会	bankett; lakoma	Részt vettek egy banketten.
阳台	erkély	Az erkélyen több cserép virág van.
痒	viszket	Kicsit viszket a karom.
样式	stílus	Ez a stílus nagyon népszerű.
腰	derék	Hosszú ülés után fájhat a derekad.
摇	rázni; lengetni	A szél ide-oda rázta az ágakat.
咬	harapni	Ez a kutya nem harap embereket.
要不	mit szólnál hozzá	Mit szólnál hozzá, ha holnap újra elmennénk?
业务	üzlet; üzleti tevékenység	A vállalat üzleti tevékenysége növekszik.
业余	szabadidős; szabadidőben	Szabadidejében fényképezést tanul.
夜	éjszaka	Az utca éjszaka nagyon csendes.
依然	még mindig	Még mindig Pekingben él.
一辈子	egész életében	Egész életében szerette a zenét.
一旦	amint; ha egyszer	Ha egyszer döntesz, ki kell tartanod.
一律	kivétel nélkül	Az értekezlet alatt minden telefont ki kell kapcsolni.
一再	ismételten	Ismételten emlékeztetett minket, hogy figyeljünk a biztonságra.
一致	egységes; azonos	Mindenki véleménye teljesen egységes.
疑问	kérdés	Van egy kérdésem ezzel a válasszal kapcsolatban.
移动	mozgatni	Kérlek, mozdítsd el egy kicsit az asztalt.
移民	kivándorolni; bevándorló	Külföldre terveznek kivándorolni.
遗憾	sajnálat; sajnálni	Sajnálom, hogy nem láthattalak.
乙	B fél	A szerződésben a B fél felelős a fizetésért.
以及	valamint	Könyveket, valamint írószereket vettem.
以来	óta	A diploma megszerzése óta Pekingben dolgozik.
义务	kötelesség	A környezet védelme mindenkinek kötelessége.
亿	százmillió	Ennek az országnak több mint egymilliárd lakosa van.
意外	váratlan	Ez a késés teljesen váratlan volt.
意义	jelentőség	Ennek az eseménynek nagy jelentősége van.
议论	megvitatni	Mindenki ezt az ügyet vitatja.
因而	ezért	Szorgalmasan tanul, ezért jók a jegyei.
因素	tényező	Az időjárás fontos tényező.
银	ezüst	Ezüst karkötőt visel.
印刷	nyomtatni	Ez a könyv nagyon tisztán van nyomtatva.
英俊	jóképű	Nagyon jóképű.
英雄	hős	A tűzoltók igazi hősök.
营养	táplálék; tápérték	A reggelinek elegendő tápértéke kell legyen.
营业	nyitva tart; üzletel	Ez az üzlet kilenckor nyit.
迎接	fogadni	Kimentünk a repülőtérre fogadni a vendégeket.
影子	árnyék	Az árnyéka az utcai lámpa alatt van.
应付	megbirkózni valamivel	Meg tud birkózni ezzel a problémával.
应用	alkalmazni	Ez a módszer alkalmazható a tanításban.
硬	kemény	Ez a szék túl kemény.
硬件	hardver	Ennek a számítógépnek jó a hardvere.
拥抱	megölelni	A gyerek odaszaladt, hogy megölelje anyát.
拥挤	zsúfolt	A metró a reggeli csúcsidőben nagyon zsúfolt.
勇气	bátorság	Van bátorsága beismerni a hibáját.
用功	szorgalmasan tanulni	Nagyon szorgalmasan tanul.
用途	felhasználás	Ennek az anyagnak sokféle felhasználása van.
优惠	kedvezmény	Ma kedvezmény van ebben az üzletben.
优美	szép; elegáns	Az itteni környezet nagyon szép.
优势	előny	Az előnye a gazdag tapasztalat.
悠久	hosszú múltú	Kínának hosszú történelme van.
油炸	olajban sült	Ritkán eszem olajban sült ételt.
游览	várost nézni; bejárni	Holnap bejárjuk a Tiltott Várost.
犹豫	habozni	Egy ideig habozott, mielőtt válaszolt.
有利	kedvező	Ez a feltétel kedvező számunkra.
幼儿园	óvoda	A gyerek jövőre óvodába megy.
娱乐	szórakozás	A filmnézés a szórakozás egyik formája.
与其	ahelyett hogy	Ahelyett, hogy panaszkodnánk, jobb cselekedni.
语气	hangnem	A beszédhangneme nagyon szelíd.
玉米	kukorica	Vacsorára kukoricaleves van.
预报	előrejelzés	Az időjárás-előrejelzés szerint holnap esni fog.
预订	lefoglalni	Már lefoglaltam a szállodát.
预防	megelőzni	A gyakori kézmosás megelőzheti a megfázást.
元旦	újév napja	Újév napján egy nap szabadságunk van.
原料	alapanyag	A kenyér fő alapanyaga a liszt.
原则	elv	Az embernek legyenek elvei.
员工	alkalmazott	A vállalatnak háromszáz alkalmazottja van.
圆	kerek	A hold nagy és kerek.
愿望	kívánság	Az a kívánsága, hogy beutazza a világot.
乐器	hangszer	Több hangszeren is tud játszani.
晕	szédülni	Hajón utazva kicsit szédülök.
运气	szerencse	Ma jó szerencsém van.
运输	szállítás	Ezeket az árukat vasúton kell szállítani.
运用	használni	Kérlek, használd rugalmasan ezeket a szavakat.
灾害	katasztrófa	Az árvíz természeti katasztrófa.
再三	újra meg újra	A tanár újra meg újra emlékeztetett minket az ismétlésre.
在乎	törődni valamivel	Nagyon törődik a barátai véleményével.
在于	abban rejlik	A siker a kitartásban rejlik.
赞成	egyetérteni	Egyetértek a javaslatoddal.
赞美	dicsérni	Mindenki dicsérte a bátorságát.
糟糕	szörnyű	A mai idő igazán szörnyű.
造成	okozni	A nagy eső forgalmi dugót okozott.
则	akkor; ha	Ha valaki keményen dolgozik, akkor fejlődni fog.
责备	hibáztatni	A tanár nem hibáztatta őt.
摘	leszedni	Leszedett egy virágot a kertben.
窄	keskeny	Ez az út túl keskeny.
粘贴	beragasztani	Kérlek, ragaszd ide a fényképet.
展开	elkezdődni; kibontakozni	A vita gyorsan elkezdődött.
展览	kiállítás	A múzeumban új kiállítás van.
占	elfoglalni	Ez az asztal helyet foglal.
战争	háború	A háború szenvedést hoz az embereknek.
掌握	elsajátítani	Már elsajátította az alapvető nyelvtant.
涨	emelkedni	A lakbér nemrég ismét emelkedett.
长辈	idősebb rokonok	Újévkor illik köszönteni az idősebb rokonokat.
账户	számla	Kérjük, ellenőrizze a bankszámláját.
招待	vendégül látni	A házigazda melegen fogadta a vendégeket.
着火	kigyulladni	A konyha hirtelen kigyulladt.
着凉	megfázni	Hideg van, ne fázz meg.
召开	összehívni	Az iskola holnap értekezletet tart.
照常	szokás szerint	Az üzlet holnap szokás szerint nyitva lesz.
哲学	filozófia	Az egyetemen filozófiát tanult.
珍惜	megbecsülni	Meg kell becsülnünk az időt.
真实	valódi; igaz	Ez a történet igaz.
针对	célozni; irányulni valamire	Ez a javaslat az új diákoknak szól.
诊断	diagnózis	Az orvos gyorsan felállította a diagnózist.
振动	rezegni	A telefon rezeg az asztalon.
阵	rövid zápor; rövid időszak	Odakint volt egy rövid zápor.
争论	vitatkozni; vita	Sokáig vitatkoztak erről a kérdésről.
争取	törekedni valamire	Több lehetőség megszerzésére kell törekednünk.
征求	kikérni; kérni	A tanár kikérte mindenki véleményét.
挣	kiszabadulni; keresni pénzt	A madár kiszabadult a kötélből.
睁	kinyitni a szemét	Kérjük, nyissa ki egy kicsit jobban a szemét.
整个	egész	Az egész város nagyon csendes.
整齐	rendezett	A könyvek nagyon rendezetten vannak elhelyezve.
整体	egész; összesség	Figyelembe kell vennünk az összhatást.
政府	kormány	A kormány új értesítést adott ki.
政治	politika	Nagyon érdekli a politika.
正	helyes	Ez a válasz helyes.
证件	igazolvány	Kérjük, mutassa be az igazolványát.
证据	bizonyíték	A rendőrség új bizonyítékot talált.
支	darab; hosszú tárgyak számlálószava	Az asztalon van egy toll.
支票	csekk	Csekkel fizetett.
执照	engedély; jogosítvány	A vezetéshez jogosítvány szükséges.
直	egyenesen	Menjen egyenesen előre ezen az úton.
指导	irányítani; útmutatást adni	A tanár útmutatást adott a dolgozat megírásához.
指挥	irányítani; vezényelni	Ő felelős ennek az akciónak az irányításáért.
制定	kidolgozni	A cég új tervet dolgozott ki.
制度	rendszer	Az iskolának szigorú rendszere van.
制造	gyártani	Ez a gyár gépeket gyárt.
制作	készíteni	Éppen születésnapi tortát készít.
志愿者	önkéntes	Sok önkéntes vett részt az eseményen.
智慧	bölcsesség	Ennek az idős embernek nagy bölcsessége van.
治疗	kezelni; gyógyítani	Az orvos kezeli a beteget.
秩序	rend	Kérjük, tartsák fenn a rendet.
至今	mindmáig	Ez a probléma mindmáig nem oldódott meg.
至于	ami pedig illeti	A költségeket illetően holnap beszélünk róla.
中介	közvetítő; ügynökség	Ügynökségen keresztül bérelte a lakást.
中心	központ	A kórház a városközpontban van.
中旬	hónap közepe	Az értekezlet május közepére van ütemezve.
种类	fajta	Itt sokféle gyümölcs van.
重大	jelentős	Ez jelentős döntés.
重量	súly	Mennyi ennek a doboznak a súlya?
周到	figyelmes; alapos	A szolgáltatása nagyon figyelmes.
猪	disznó	A farmon sok disznót tartanak.
竹子	bambusz	A pandák szeretnek bambuszt enni.
逐步	lépésről lépésre	A tervet lépésről lépésre hajtják végre.
逐渐	fokozatosan	Az idő fokozatosan hidegebbé vált.
主持	vezetni; moderálni	Ő vezeti a mai értekezletet.
主动	kezdeményező	Kezdeményezően segített az osztálytársának.
主观	szubjektív	Ez az értékelés kissé szubjektív.
主人	házigazda; tulajdonos	A házigazda melegen üdvözölt minket.
主任	igazgató; vezető	A vezető az irodában van.
主题	téma	A mai beszélgetés témája a környezetvédelem.
主席	elnök	Az elnök bejelentette az értekezlet kezdetét.
主张	álláspont; szorgalmazni	Azt szorgalmazza, hogy először a közlekedési problémát oldják meg.
煮	főzni	Anya tésztát főz.
注册	regisztrálni	Az új felhasználóknak először regisztrálniuk kell.
祝福	jókívánság	A barátai jókívánságokat küldtek.
抓	megragadni	A gyerek megragadta anya kezét.
抓紧	jól kihasználni	Jól ki kell használnunk az időt.
专家	szakértő	A szakértő javaslatokat tett.
专心	figyelni; összpontosítani	Órán figyelmesen kell hallgatni.
转变	változás	Megváltozott a hozzáállása.
转告	átadni egy üzenetet	Kérlek, mondd meg neki, hogy holnap értekezlet lesz.
装	betenni; becsomagolni	Kérlek, tedd a könyveket a táskába.
装饰	díszíteni	Virágokkal díszítették a szobát.
装修	felújítani	Az új házat éppen felújítják.
撞	nekiütközni	Két autó ütközött a kereszteződésben.
状况	állapot; helyzet	A jelenlegi helyzet viszonylag stabil.
状态	állapot	Ma nagyon jó állapotban van.
追	kergetni; üldözni	A gyerek hátulról kergeti a kiskutyát.
追求	törekedni valamire	Mindig az álmát követte.
咨询	tanácsot kérni	Fordulhat szakorvoshoz tanácsért.
姿势	testtartás	Kérjük, tartsa meg a helyes testtartást.
资格	jogosultság; képesítés	Jogosult részt venni a versenyen.
资金	pénzeszköz; tőke	A projektnek több pénzre van szüksége.
资料	anyagok; adatok	Kérlek, küldd el nekem az anyagokat.
资源	erőforrás	A víz fontos természeti erőforrás.
紫	lila	Szereti a lila színt.
字母	betű	Az angolban huszonhat betű van.
字幕	felirat	Ennek a filmnek kínai felirata van.
自从	amióta	Amióta lediplomázott, ritkán tér vissza.
自动	automatikus	Ez az ajtó automatikusan kinyílik.
自豪	büszke	Büszke vagyok a fejlődésemre.
自觉	saját kezdeményezésből	Saját kezdeményezésből fejezte be a házi feladatot.
自私	önző	Az ember ne legyen túl önző.
自由	szabadság	Mindenki értékeli a szabadságot.
自愿	önkéntes	Önként vettek részt az eseményen.
综合	átfogó; összefoglalni	Átfogóan kell mérlegelnünk a különféle tényezőket.
总裁	vezérigazgató	A vezérigazgató ma beszédet mondott.
总共	összesen	Ez az utazás összesen háromezer jüanba került.
总理	miniszterelnök	A miniszterelnök részt vett az értekezleten.
总算	végre	A probléma végre megoldódott.
总统	elnök	Az elnök televíziós beszédet mondott.
总之	röviden	Röviden, időben be kell fejeznünk.
组	csoport	A tanár három csoportra osztott minket.
组成	áll valamiből	A víz hidrogénből és oxigénből áll.
组合	kombináció	Ez a színkombináció jól néz ki.
组织	szervezni; szervezet	Az iskola kirándulást szervezett.
阻止	megakadályozni	A rendőrség megakadályozta a veszélyes viselkedést.
最初	kezdetben	Kezdetben nem nagyon értettem.
醉	részeg	Túl sokat ivott, és egy kicsit részeg.
尊敬	tisztelni	A diákok mind tisztelik a tanárt.
遵守	betartani	Be kell tartanunk a közlekedési szabályokat.
作品	mű	Ez a festmény az ő műve.
作为	mint	Tanárként nagyon türelmes.
作文	fogalmazás	A tanár megkért minket, hogy írjunk egy fogalmazást.
