simplified	KA	example_KA
轮胎	საბურავი	მანქანის საბურავები შესაცვლელია.
论坛	ფორუმი	ექსპერტებმა ფორუმზე სიტყვით გამოვიდნენ.
论证	დასაბუთება	ანგარიშმა არგუმენტი კიდევ უფრო უნდა დაასაბუთოს.
啰唆	სიტყვამრავლობა	ნუ სიტყვამრავლობ, პირდაპირ მთავარზე გადადი.
络绎不绝	უწყვეტი ნაკადი	ტურისტები ძველ ქალაქში უწყვეტ ნაკადად მოდიოდნენ.
落成	დასრულება	ახალი სპორტული დარბაზი ხვალ ოფიციალურად დასრულდება.
落实	განხორციელება	შეხვედრამ ახალი პოლიტიკის სწრაფად განხორციელება მოითხოვა.
屡次	არაერთხელ	მან ყველას არაერთხელ შეახსენა უსაფრთხოებაზე ყურადღება.
履行	შესრულება	ორივე მხარემ ხელშეკრულების ვალდებულებები უნდა შეასრულოს.
掠夺	ძარცვა	ომმა რესურსების ძარცვა გამოიწვია.
嘛	ნაწილაკი	ეს საქმე ხომ მარტივია.
麻痹	მოდუნება	ხანგრძლივმა წარმატებამ ადამიანი ადვილად შეიძლება მოდუნებულად და გაუფრთხილებლად აქციოს.
麻木	დაბუჟებული	სიცივემ მის თითებს დაბუჟება აგრძნობინა.
麻醉	ანესთეზია	ოპერაციამდე ექიმმა პაციენტს ანესთეზია გაუკეთა.
码头	ნავმისადგომი	სატვირთო გემი ნავმისადგომთან გაჩერდა.
蚂蚁	ჭიანჭველა	ჭიანჭველები საჭმელს ეზიდებიან.
埋伏	ჩასაფრება	ჯარისკაცები ხეობაში ჩასაფრდნენ.
埋没	დაფარვა	ნუ დავუშვებთ, რომ ნიჭიერი ადამიანები შეუმჩნევლად დარჩნენ.
埋葬	დაკრძალვა	სოფლელებმა მოხუცი ფერდობზე დაკრძალეს.
脉搏	პულსი	მედდა მის პულსს ზომავს.
迈	ნაბიჯის გადადგმა	მან ფართო ნაბიჯებით კარისკენ წავიდა.
埋怨	დადანაშაულება	სხვებს მუდამ ნუ ადანაშაულებ.
慢性	ქრონიკული	ქრონიკულ დაავადებებს ხანგრძლივი მკურნალობა სჭირდება.
漫长	ხანგრძლივი	მათ ხანგრძლივი ლოდინი გადაიტანეს.
漫画	კომიქსი	ეს კომიქსი ახალგაზრდებში ძალიან პოპულარულია.
蔓延	გავრცელება	ცეცხლი სწრაფად გავრცელდა ტყის სიღრმისკენ.
忙碌	დატვირთული	წლის ბოლო კომპანიის ყველაზე დატვირთული დროა.
盲目	ბრმად	ინვესტიციებში ბრმად მიყოლა არ შეიძლება.
茫茫	უსაზღვრო	ნავი უსაზღვრო ზღვაში გაუჩინარდა.
茫然	დაბნეული	ახსნის მოსმენის შემდეგაც ის დაბნეული სახით დარჩა.
冒充	თავის გასაღება	ვიღაცამ თავი პოლიციელად გაასაღა და ხალხს ფული გამოსტყუა.
冒犯	შეურაცხყოფა	ჩემი სიტყვებით შენი შეურაცხყოფა არ მინდოდა.
茂盛	ხშირი	ეზოში ხეები ძალიან ხშირია და კარგად იზრდება.
媒介	მედიუმი	ინტერნეტი ინფორმაციის მნიშვნელოვანი მედიუმია.
枚	ცალი	მან რამდენიმე სამახსოვრო მონეტა შეაგროვა.
美观	ლამაზი	ეს დიზაინი ერთდროულად პრაქტიკული და ლამაზია.
美满	ბედნიერი	ისინი ბედნიერ და სრულ ცხოვრებას ეწევიან.
美妙	მშვენიერი	კონცერტმა მშვენიერი გამოცდილება მოუტანა.
萌芽	გაღივება	ახალი იდეა ნელ-ნელა გაჩნდა.
猛烈	ძლიერი	ქარიშხალი ძალიან ძლიერი იყო.
眯	თვალების მოჭუტვა	მზე ძალიან ძლიერი იყო, ამიტომ მან თვალები მოჭუტა.
弥补	ანაზღაურება	ბოდიში დანაკარგს სრულად ვერ აანაზღაურებს.
弥漫	გავრცელება	ყვავილების სურნელი ეზოში გავრცელდა.
谜语	გამოცანა	ბავშვებს გამოცანების გამოცნობა უყვართ.
迷惑	დაბნევა	რთულმა მონაცემებმა ის დააბნია.
迷人	მომხიბვლელი	ზღვისპირა ღამის ხედი ძალიან მომხიბვლელია.
迷信	ცრურწმენა	სამეცნიერო განათლება ცრურწმენებს ამცირებს.
密度	სიმკვრივე	ამ ლითონს მაღალი სიმკვრივე აქვს.
密封	დალუქვა	გახსნის შემდეგ გთხოვთ, პაკეტი ხელახლა დალუქოთ.
棉花	ბამბა	ფერმერები ბამბას კრეფენ.
免得	თავიდან ასაცილებლად	ადრე გადი, რომ დაგვიანება თავიდან აიცილო.
免疫	იმუნიტეტი	ეს ვაქცინა იმუნიტეტს აძლიერებს.
勉励	გამხნევება	მასწავლებელი მოსწავლეებს ხშირად ამხნევებს, რომ სწავლა გააგრძელონ.
勉强	უხალისოდ	ის ამ შეთანხმებას უხალისოდ დათანხმდა.
面貌	იერსახე	ქალაქის იერსახე დიდად შეიცვალა.
面子	სახე	მას საჯაროდ სახის დაკარგვა არ უნდოდა.
描绘	აღწერა	რომანი სოფლის ცხოვრებას აღწერს.
瞄准	დამიზნება	მსროლელმა სამიზნეს დაუმიზნა.
渺小	უმცირესი	ადამიანი ბუნების წინაშე ძალიან პატარა ჩანს.
藐视	დამცირება	არც ერთი მოწინააღმდეგე არ უნდა დავამციროთ.
灭亡	დაღუპვა	ეს დინასტია საბოლოოდ დაღუპვისკენ წავიდა.
蔑视	ზიზღი	მის ტონში ზიზღი იგრძნობოდა.
民间	ხალხური	ხალხურ ხელოვნებას დაცვა სჭირდება.
民主	დემოკრატია	შეხვედრაზე დემოკრატიული კენჭისყრა გამოიყენეს.
敏捷	მოქნილი	სპორტსმენის მოძრაობები ძალიან მოქნილია.
敏锐	მახვილი	ჟურნალისტს მახვილი დაკვირვების უნარი სჭირდება.
名次	ადგილი	მან შეჯიბრში კარგი ადგილი დაიკავა.
名额	კვოტა	ამ პროგრამაში მხოლოდ ათი ადგილია.
名副其实	ნამდვილი	ის ნამდვილი ექსპერტია სახელითაც და საქმითაც.
名誉	რეპუტაცია	ამ ამბავმა კომპანიის რეპუტაცია დააზიანა.
明明	აშკარად	მან პასუხი აშკარად იცოდა, მაგრამ თქმა არ სურდა.
明智	გონივრული	გადაწყვეტილების გადადება გონივრული არჩევანი იყო.
命名	სახელის დარქმევა	მეცნიერებმა ახალ სახეობას სახელი დაარქვეს.
摸索	ძიება	გუნდი ჯერ კიდევ ახალ მეთოდს ეძებს.
摩擦	ხახუნი	ორ ქვეყანას შორის სავაჭრო ხახუნი გაჩნდა.
模范	ნიმუში	ის მთელი სკოლის მოსწავლეებისთვის ნიმუშია.
模式	მოდელი	ეს ბიზნეს მოდელი ძალიან წარმატებულია.
模型	მაკეტი	ინჟინერმა ხიდის მაკეტი შექმნა.
磨合	შეთანხმება	ახალ გუნდს ერთმანეთთან შესათანხმებლად დრო სჭირდება.
膜	მემბრანა	ამ მემბრანას მინარევების გაფილტვრა შეუძლია.
魔鬼	ეშმაკი	ამბავში ეშმაკი ძალიან მზაკვარია.
魔术	ჯადოსნობა	ბავშვებს ჯადოსნური წარმოდგენების ყურება უყვართ.
抹杀	წაშლა	მისი წვლილის წაშლა არ შეიძლება.
墨水儿	მელანი	კალამში მელანი თითქმის გათავდა.
莫名其妙	გაუგებარი	მისმა რეაქციამ ხალხი სრულიად დააბნია.
默默	ჩუმად	მან ბევრ ადამიანს ჩუმად დაეხმარა.
谋求	ძიება	კომპანია განვითარების ახალ შესაძლებლობებს ეძებს.
模样	გარეგნობა	მისი ამჟამინდელი გარეგნობა ძალიან შეიცვალა.
母语	დედაენა	ბავშვები დედაენას პატარაობიდან სწავლობენ.
沐浴	მზით განათება	დილის სოფელი მზის შუქში იყო გახვეული.
目睹	თვითმხილველობა	ბევრმა ადამიანმა ეს შემთხვევა საკუთარი თვალით ნახა.
目光	მზერა	ყველას მზერა სცენაზე იყო მიმართული.
拿手	საფირმო	ჩაშუშული თევზი მისი საფირმო კერძია.
纳闷儿	გაკვირვება	დიდხანს მიკვირდა, რატომ დააგვიანა.
耐用	გამძლე	ეს ფეხსაცმელი ძალიან გამძლეა.
南辕北辙	მიზნის საპირისპიროდ მოქმედება	მისი მეთოდი მიზანს სრულიად ეწინააღმდეგება.
难得	იშვიათი	ეს იშვიათი შესაძლებლობაა.
难堪	შერცხვენილი	ამ კითხვამ ის ძალიან შეარცხვინა.
难能可贵	იშვიათად დასაფასებელი	ზეწოლის ქვეშ პატიოსნების შენარჩუნება განსაკუთრებით დასაფასებელია.
恼火	გაღიზიანება	მოწყობილობა ისევ გაფუჭდა და ის ძალიან გაღიზიანდა.
内涵	შინაარსი	ამ სიტყვას მდიდარი კულტურული შინაარსი აქვს.
内幕	შიდა ამბავი	ჟურნალისტი შემთხვევის შიდა ამბის გამოძიებას ცდილობდა.
内在	შინაგანი	ის ადამიანის შინაგან თვისებებს უფრო აფასებს.
能量	ენერგია	ეს საუზმე დიდ ენერგიას მაძლევს.
拟定	შედგენა	მდივანი შეხვედრის დღის წესრიგს ადგენს.
逆行	საპირისპირო მიმართულებით სვლა	ის მანქანა ცალმხრივ ქუჩაზე საპირისპირო მიმართულებით მიდიოდა.
年度	წლიური	კომპანიამ წლიური ანგარიში გამოაქვეყნა.
捏	ჩქმეტა	მან ბავშვს ლოყაზე ნაზად უჩქმიტა.
凝固	გამყარება	გაგრილების შემდეგ ცვილი ნელ-ნელა გამყარდება.
凝聚	გაერთიანება	საერთო მიზანი გუნდის ძალას აერთიანებს.
凝视	მიშტერება	ის შორეულ სინათლეებს მიშტერებოდა.
拧	ჩქმეტა	მან ხელით ერთხელ მიჩქმიტა.
宁肯	უფრო ურჩევნია	მას ურჩევნია დამარცხდეს, ვიდრე პრინციპებზე უარი თქვას.
宁愿	უპირატესობის მინიჭება	მირჩევნია ფეხით წავიდე, ვიდრე ავტობუსს დაველოდო.
扭转	შემობრუნება	ახალმა პოლიტიკამ ზარალიანი მდგომარეობა შემოაბრუნა.
纽扣儿	ღილი	ამ პერანგს ერთი ღილი მოსწყდა.
农历	მთვარის კალენდარი	გაზაფხულის დღესასწაულს მთვარის კალენდრის მიხედვით აღნიშნავენ.
浓厚	ძლიერი	მას ისტორიისადმი ძლიერი ინტერესი აქვს.
奴隶	მონა	ძველ საზოგადოებაში მონობის სისტემა არსებობდა.
挪	გადაწევა	გთხოვ, სკამი გვერდით ცოტა გადაწიო.
虐待	ძალადობა	კანონი ბავშვებზე ძალადობას კრძალავს.
哦	ო	ო, ბოლოს მივხვდი.
殴打	ცემება	პოლიციამ გამვლელის მცემელი დააკავა.
偶像	კერპი	ის იმ მწერალს თავის კერპად მიიჩნევს.
呕吐	ღებინება	გაფუჭებული საკვების ჭამის შემდეგ მას ღებინება დაეწყო.
趴	მუცელზე წოლა	კნუტი ფანჯრის რაფაზე მუცელზე იწვა და ეძინა.
徘徊	ყოყმანი	ის კართან დიდხანს ყოყმანობდა.
排斥	განზიდვა	ახალი მასალა ტენს განიზიდავს.
排除	გამორიცხვა	ექიმმა ჯერ სერიოზული დაავადება გამორიცხა.
排放	გამონაბოლქვი	ქარხნებმა გამონაბოლქვი უნდა შეამცირონ.
排练	რეპეტიცია	მსახიობები ახალ პროგრამას რეპეტიციას უკეთებენ.
派别	ფრაქცია	ამ ორგანიზაციაში სხვადასხვა ფრაქციაა.
派遣	გაგზავნა	კომპანიამ ინჟინრები ადგილზე გაგზავნა.
攀登	ასვლა	ისინი ხვალ თოვლიან მთაზე ასვლას გეგმავენ.
盘旋	წრეზე ფრენა	თვითმფრინავი აეროპორტის თავზე წრეზე დაფრინავდა.
判决	განაჩენი	სასამართლომ დღეს განაჩენი გამოაცხადა.
畔	ნაპირი	ბავშვები ტბის ნაპირას სეირნობდნენ.
庞大	უზარმაზარი	ამ პროექტს უზარმაზარი დაფინანსება სჭირდება.
抛弃	მიტოვება	მას საკუთარი ოცნების მიტოვება არ სურს.
泡沫	ქაფი	ჭიქაში ბევრი თეთრი ქაფია.
培育	განვითარება	სკოლა მოსწავლეებში პასუხისმგებლობის გრძნობის განვითარებას ცდილობს.
配备	აღჭურვა	ახალი მანქანა უსაფრთხოების სისტემით არის აღჭურვილი.
配偶	მეუღლე	განაცხადში მეუღლის ინფორმაციის შევსებაა საჭირო.
配套	სრული ინფრასტრუქტურა	უბანს სრული დამხმარე ინფრასტრუქტურა აქვს.
盆地	ქვაბული	ეს ქვაბული ზაფხულში ძალიან ცხელია.
烹饪	კულინარია	კულინარიას მოთმინება და გამოცდილება სჭირდება.
捧	ხელებით დაჭერა	მას ხელებში ყვავილების თაიგული ეჭირა.
劈	გაპობა	მუშა ნაჯახით შეშას აპობს.
批发	საბითუმო ვაჭრობა	ეს მაღაზია ძირითადად ხილს საბითუმოდ ყიდის.
批判	კრიტიკა	სტატიამ ეს მცდარი შეხედულება გააკრიტიკა.
疲惫	გამოფიტული	გრძელი მოგზაურობის შემდეგ ყველა გამოფიტული იყო.
疲倦	დაღლილი	უწყვეტმა მუშაობამ ის დაღალა.
皮革	ტყავი	ეს ჩანთა ტყავისგან არის დამზადებული.
屁股	უკანალი	დაცემის შემდეგ ბავშვს უკანალი სტკიოდა.
譬如	მაგალითად	მაგალითად, ჯერ პატარა ტესტი შეგვიძლია ჩავატაროთ.
偏差	გადახრა	ექსპერიმენტის შედეგებში აშკარა გადახრაა.
偏见	ცრურწმენული დამოკიდებულება	ეთნიკური ცრურწმენული დამოკიდებულება უნდა ავირიდოთ.
偏僻	მოშორებული	ეს სოფელი ძალიან მოშორებულ ადგილას მდებარეობს.
偏偏	ჯიუტად საპირისპიროდ	რაც უფრო ვჩქარობდი, მანქანა ჯიუტად უფრო ნელა მიდიოდა.
片断	ნაწყვეტი	ფილმში რამდენიმე შესანიშნავი ნაწყვეტია.
片刻	წამიერი დრო	გთხოვ, აქ ცოტა ხანს დამელოდო.
漂浮	ტივტივი	დაცვენილი ფოთლები წყლის ზედაპირზე ტივტივებდა.
飘扬	ფრიალი	სახელმწიფო დროშა ქარში ფრიალებდა.
撇	გვერდზე გადადება	მან ძველი გეგმა გვერდზე გადადო.
拼搏	ბრძოლა	ახალგაზრდებმა იდეალებისთვის უნდა იბრძოლონ.
拼命	მთელი ძალით	ის წინ მიმავალ ჯგუფს მთელი ძალით დაედევნა.
贫乏	მწირი	ამ სტატიის შინაარსი საკმაოდ მწირია.
贫困	სიღარიბე	მთავრობა ღარიბ ოჯახებს ეხმარება.
频繁	ხშირი	ბოლო დროს აქ საგზაო შემთხვევები ხშირია.
频率	სიხშირე	ამ ხმის სიხშირე მაღალია.
品尝	დაგემოვნება	სტუმრები ადგილობრივ კერძებს აგემოვნებენ.
品德	ზნეობა	სკოლა მოსწავლეების ზნეობრივ განათლებას აფასებს.
品质	ხარისხი	ამ კომპანიის პროდუქტის ხარისხი სტაბილურია.
品种	სახეობა	ბაზარში ხილის ბევრი სახეობაა.
屏幕	ეკრანი	გთხოვთ, ეკრანის სიკაშკაშე შეამციროთ.
屏障	ბარიერი	ტყე ქარისგან დაცვის მნიშვნელოვანი ბარიერია.
平凡	ჩვეულებრივი	ის მრავალი წელი ჩვეულებრივ თანამდებობაზე მუშაობდა.
平面	გეგმა	დიზაინერმა სახლის გეგმა დახატა.
平坦	ბრტყელი	ეს გზა ძალიან ბრტყელია.
平行	პარალელური	ეს ორი ხაზი ერთმანეთის პარალელურია.
平庸	საშუალო	მას საშუალო ცხოვრებით დაკმაყოფილება არ სურს.
平原	ვაკე	მატარებელმა ვრცელი ვაკე გადაკვეთა.
评估	შეფასება	ექსპერტები პროექტის რისკებს აფასებენ.
评论	კომენტარი	მკითხველებს სტატიაზე კომენტარის დატოვება შეუძლიათ.
坡	ფერდობი	მანქანა ნელა ავიდა ფერდობზე.
泼	შესხმა	წყალს იატაკზე ნუ შეასხამ.
颇	საკმაოდ	ეს შედეგი საკმაოდ მოულოდნელია.
破例	გამონაკლისის დაშვება	მენეჯერმა მისთვის გამონაკლისი დაუშვა და განაცხადი დაამტკიცა.
迫不及待	მოუთმენლად	ბავშვებმა საჩუქრები მოუთმენლად გახსნეს.
迫害	დევნა	ისტორიაში ბევრ ადამიანს დევნა გამოუცდია.
魄力	გამბედაობა	ხელმძღვანელს გადაწყვეტილების მისაღებად გამბედაობა სჭირდება.
扑	შევარდნა	ბავშვი უცებ დედის მკლავებში შევარდა.
铺	დაგება	მუშები ახალ ხალიჩას აგებენ.
普及	გავრცელება	ინტერნეტი ქალაქებში უკვე ფართოდ გავრცელდა.
朴实	უბრალო	მისი ენა უბრალო და გულწრფელია.
朴素	მარტივი	მას მარტივი ცხოვრების წესი უყვარს.
瀑布	ჩანჩქერი	ტურისტები ჩანჩქერის გვერდით ფოტოებს იღებდნენ.
凄凉	უსიცოცხლო	ზამთარში მთის სოფელი უსიცოცხლოდ გამოიყურებოდა.
期望	მოლოდინი	მშობლებს შვილების მიმართ დიდი მოლოდინები აქვთ.
期限	ვადა	რეგისტრაციის ვადა ამ პარასკევს იწურება.
欺负	დაჩაგვრა	უფროსმა ბავშვებმა პატარები არ უნდა დაჩაგრონ.
欺骗	მოტყუება	ყალბმა რეკლამამ მომხმარებლები მოატყუა.
奇妙	საოცარი	ბუნებაში ბევრი საოცარი მოვლენა არსებობს.
旗袍	ჩინური კაბა	მან წვეულებაზე წითელი ჩინური კაბა ჩაიცვა.
旗帜	დროშა	მოედანზე კაშკაშა დროშები ფრიალებდა.
歧视	დისკრიმინაცია	კანონი ნებისმიერი ფორმის დისკრიმინაციას კრძალავს.
齐全	სრული	ამ მაღაზიაში ხელსაწყოების სრული არჩევანია.
齐心协力	ერთობლივი ძალისხმევა	ყველამ ერთობლივი ძალისხმევით დავალება შეასრულა.
乞丐	მათხოვარი	გზის პირას მოხუცი მათხოვარი იჯდა.
企图	მცდელობა	მან ნამდვილი ვითარების დამალვა სცადა.
启程	გამგზავრება	დელეგაცია ხვალ დილით ადრე გაემგზავრება.
启蒙	საწყისი განათლება	ეს წიგნი ბავშვების საწყისი კითხვისთვის არის შესაფერისი.
启事	განცხადება	სკოლის კართან სამსახურში მიღების განცხადება იყო გაკრული.
启示	გაკვეთილი	ამ მარცხმა ჩვენთვის მნიშვნელოვანი გაკვეთილი მოიტანა.
岂有此理	სრული აბსურდი	ასეთი გადასახადი სრული აბსურდია.
起草	შედგენა	იურისტი ხელშეკრულებას ადგენს.
起初	თავდაპირველად	თავდაპირველად მას ეს ამბავი არ სჯეროდა.
起伏	მაღლა-დაბლა სვლა	მთის გზა რელიეფთან ერთად მაღლა-დაბლა მიდის.
起哄	არეულობის ატეხა	მოსწავლეებმა გაკვეთილზე არეულობა არ უნდა ატეხონ.
起码	სულ მცირე	სულ მცირე, წინასწარ მაინც უნდა გამაფრთხილო.
起源	წარმოშობა	ეს დღესასწაული ძველ დროში წარმოიშვა.
器材	აღჭურვილობა	ლაბორატორიას ახალი სასწავლო აღჭურვილობა სჭირდება.
器官	ორგანო	გული ადამიანის სხეულის მნიშვნელოვანი ორგანოა.
气概	სული	ეს ლექსი გმირულ სულს გამოხატავს.
气功	ციგუნი	ბაბუა ყოველ დილით ციგუნს ვარჯიშობს.
气魄	შთამბეჭდავი იერი	ამ ხიდს შთამბეჭდავი იერი აქვს.
气色	სახის ფერი	დასვენების შემდეგ მისი სახის ფერი ბევრად უკეთესი გახდა.
气势	იმპულსი	გუნდს თამაშის დასაწყისიდან ძლიერი იმპულსი ჰქონდა.
气味	სუნი	სამზარეულოში შემწვარი პურის სუნი იყო.
气象	ამინდი	აქ პლატოს ამინდი სწრაფად იცვლება.
气压	ჰაერის წნევა	ჰაერის წნევის დაცემამ შესაძლოა წვიმა მოიტანოს.
气质	ტემპერამენტი	მას მშვიდი ტემპერამენტი აქვს.
迄今为止	აქამდე	აქამდე ექსპერიმენტი შეუფერხებლად მიმდინარეობდა.
掐	მოწყვეტა	მან პატარა ყვავილი მოწყვიტა.
恰当	შესაფერისი	შენი პასუხი ძალიან შესაფერისია.
恰到好处	ზუსტად ზომიერი	ამ კერძის სიტკბო ზუსტად ზომიერია.
恰巧	შემთხვევით	სადგურში მისვლისას შემთხვევით წვიმა დაიწყო.
洽谈	მოლაპარაკება	ორი მხარე თანამშრომლობის დეტალებზე მოლაპარაკებას აწარმოებს.
千方百计	ყველა შესაძლო გზით	ისინი ყველა შესაძლო გზით გამოსავალს ეძებდნენ.
牵	ხელის მოკიდება	დედამ ბავშვს გზის გადაკვეთისას ხელი მოჰკიდა.
牵扯	ჩართვა	ეს საქმე ბევრ განყოფილებას ეხება.
牵制	შეზღუდვა	მოწინააღმდეგის დაცვამ შეტევა შეზღუდა.
签署	ხელმოწერა	ორმა კომპანიამ შეთანხმებას ხელი მოაწერა.
谦逊	მოკრძალებული	წარმატების შემდეგაც ის მოკრძალებული დარჩა.
迁就	დათმობა	მშობლები შვილებს ყოველთვის არ უნდა დაეთმონ.
迁徙	მიგრაცია	გადამფრენი ფრინველები ყოველწლიურად სეზონის მიხედვით მიგრირებენ.
前景	პერსპექტივა	ამ დარგს კარგი პერსპექტივა აქვს.
前提	წინაპირობა	ნდობა თანამშრომლობის წინაპირობაა.
潜力	პოტენციალი	ამ მოსწავლეს დიდი პოტენციალი აქვს.
潜水	ყვინთვა	ისინი ზღვისპირეთში ყვინთვის სასწავლად წავიდნენ.
潜移默化	შეუმჩნეველი გავლენა	ოჯახური გარემო ბავშვზე შეუმჩნევლად მოქმედებს.
谴责	დაგმობა	საერთაშორისო საზოგადოებამ ძალადობა დაგმო.
抢劫	ძარცვა	პოლიციამ ბანკის მძარცველი ეჭვმიტანილი დაიჭირა.
强制	იძულება	ახალი წესი მძღოლებს უსაფრთხოების ღვედის შეკვრას აიძულებს.
强迫	დაძალება	ბავშვებს ნუ დააძალებთ იმას, რაც არ მოსწონთ.
抢救	გადარჩენა	ექიმები დაშავებული მუშის გადარჩენას ცდილობენ.
桥梁	ხიდი	ენა კულტურული გაცვლის ხიდია.
窍门	ხრიკი	გამოთქმის სწავლას რამდენიმე ხრიკი აქვს.
翘	აწევა	მან ერთი ფეხი სკამზე ასწია.
切实	პრაქტიკული	ჩვენ პრაქტიკული და განხორციელებადი გეგმა გვჭირდება.
锲而不舍	დაჟინებული შეუპოვრობა	მან ეს საკითხი დაჟინებული შეუპოვრობით შეისწავლა.
亲密	ახლო	ისინი ყოველთვის ახლო ურთიერთობას ინარჩუნებდნენ.
亲热	თბილი	მოხუცმა სტუმრებს თბილად მიესალმა.
侵犯	დარღვევა	ეს ქცევა პირად კონფიდენციალურობას არღვევს.
侵略	აგრესია	ხალხი ნებისმიერი ფორმის აგრესიას ეწინააღმდეგება.
钦佩	აღტაცება	მისი გამბედაობით ძალიან აღფრთოვანებული ვარ.
勤俭	შრომისმოყვარე და მომჭირნე	ბებიამ მთელი ცხოვრება შრომისმოყვარეობითა და მომჭირნეობით მართა ოჯახი.
勤劳	შრომისმოყვარე	შრომისმოყვარე ადამიანი ყოველთვის ქმნის შესაძლებლობებს.
倾听	ყურადღებით მოსმენა	მასწავლებელი მოსწავლეების აზრებს ყურადღებით უსმენდა.
倾向	ტენდენცია	ახალგაზრდა მომხმარებლები ონლაინ შოპინგისკენ იხრებიან.
倾斜	დახრა	ძლიერი წვიმის შემდეგ კედელმა დახრა დაიწყო.
清澈	გამჭვირვალე	მთის ნაკადული ძალიან გამჭვირვალეა.
清晨	დილაადრიან	დილაადრიან ჰაერი განსაკუთრებით სუფთაა.
清除	გაწმენდა	მუშებმა გზიდან თოვლი გაწმინდეს.
清洁	სისუფთავე	საავადმყოფომ გარემოს სისუფთავე უნდა შეინარჩუნოს.
清理	დალაგება	შაბათ-კვირას საწყობი დავალაგეთ.
清晰	მკაფიო	ეს ფოტო ძალიან მკაფიოა.
清醒	ფხიზელი	ყავის დალევის შემდეგ ის ბევრად უფრო ფხიზლად გახდა.
清真	ჰალალური	ახლოს ჰალალური რესტორანია.
情报	ინფორმაცია	ჟურნალისტმა მნიშვნელოვანი ინფორმაცია მოიპოვა.
情节	სიუჟეტი	რომანის სიუჟეტი ძალიან დაძაბულია.
情理	გონივრულობა	მისი მოთხოვნა გონივრული არ არის.
情形	ვითარება	ადგილზე ვითარება წარმოდგენილზე უფრო რთული იყო.
晴朗	მოწმენდილი	დღეს ცა განსაკუთრებით მოწმენდილია.
请柬	მოსაწვევი	მათ ნათესავებსა და მეგობრებს ქორწილის მოსაწვევები გაუგზავნეს.
请教	რჩევის თხოვნა	მსურს ერთ საკითხზე თქვენი რჩევა გთხოვოთ.
请示	მითითების თხოვნა	ეს საქმე ჯერ ხელმძღვანელს უნდა შეუთანხმდეს.
请帖	მოსაწვევი ბარათი	მაგიდაზე დაბადების დღის მოსაწვევი ბარათი იდო.
丘陵	ბორცვები	ამ მხარეში ბევრი ბორცვია.
区分	გარჩევა	ბავშვს უკვე შეუძლია მარცხენისა და მარჯვენის გარჩევა.
区域	ზონა	ამ ზონაში პარკირება აკრძალულია.
屈服	დამორჩილება	ის ზეწოლას არ დაემორჩილა.
曲折	რთული	მათ რთული მოლაპარაკებები გაიარეს.
驱逐	გაძევება	პოლიციამ წესრიგის დამრღვევები გააძევა.
渠道	არხი	კომპანია პროდუქტს ახალი არხებით ყიდის.
取缔	აკრძალვა	მთავრობამ უკანონო ბაზარი აკრძალა.
曲子	მელოდია	ამ მელოდიას ძალიან ლამაზი ჟღერადობა აქვს.
趣味	საინტერესოობა	ეს თამაში ძალიან საინტერესოა.
圈套	მახე	ის თითქმის თაღლითის მახეში გაება.
全局	საერთო სურათი	ხელმძღვანელმა საერთო ინტერესები უნდა გაითვალისწინოს.
全力以赴	მთელი ძალით	ჩვენ დავალების შესასრულებლად მთელი ძალით ვიმუშავებთ.
拳头	მუშტი	მან მუშტი შეკრა და შეჯიბრისთვის მოემზადა.
权衡	აწონ-დაწონა	ხარჯი და შედეგი უნდა ავწონ-დავწონოთ.
权威	ავტორიტეტი	ეს პროფესორი ამ სფეროს ავტორიტეტია.
犬	ძაღლი	ეს ჯიშის ძაღლი სახლის დასაცავად შესაფერისია.
缺口	ნაპრალი	კედელზე პატარა ნაპრალია.
缺席	არყოფნა	ავადმყოფობის გამო ის შეხვედრას არ დაესწრო.
缺陷	ნაკლი	ამ დიზაინს აშკარა ნაკლი აქვს.
瘸	კოჭლი	მისი მარცხენა ფეხი ცოტა კოჭლია.
