simplified	AZ	example_AZ
时刻	an	Xahiş edirəm, bu mühüm anı yadda saxlayın.
时髦	dəbli	Bu paltar çox dəblidir.
时期	dövr	Universitet dövrü ona böyük təsir göstərdi.
时尚	moda	O modaya çox maraq göstərir.
石头	daş	Yol kənarında bir daş var.
食物	yemək	Xahiş edirəm, yeməyi soyuducuya qoyun.
使劲儿	güc sərf etmək	Bu şüşəni açmaq üçün güc sərf etmək lazımdır.
始终	həmişə	O, uğur qazanacağına həmişə inanırdı.
事实	fakt	Faktlar onun haqlı olduğunu sübut etdi.
事物	şey	Uşaqlar yeni şeylərə çox maraq göstərirlər.
事先	əvvəlcədən	Xahiş edirəm, vaxtı mənə əvvəlcədən deyin.
似的	sanki	O elə yorğun idi ki, sanki bir söz də demək istəmirdi.
士兵	əsgər	Əsgərlər məşq edirlər.
市场	bazar	Bu bazar çox hərəkətlidir.
试卷	imtahan vərəqi	Müəllim imtahan vərəqlərini yoxlayır.
收获	qazanc	Bu səfərdən çox şey qazandım.
收据	qəbz	Ödənişdən sonra qəbzi saxlayın.
手工	əl işi	Bu hədiyyə əl işidir.
手术	əməliyyat	Həkim sabah onu əməliyyat edəcək.
手套	əlcək	Qışda çölə çıxanda əlcək taxmaq lazımdır.
手续	prosedur	Prosedurları yerinə yetirmək üçün şəxsiyyət vəsiqəsi lazımdır.
手指	barmaq	Onun barmağı zədələnib.
首	ədəd	O bir mahnı oxudu.
受伤	yaralanmaq	O yarışda yaralandı.
寿命	xidmət müddəti	Bu cür maşının xidmət müddəti uzundur.
书架	kitab rəfi	Kitab rəfi kitablarla doludur.
梳子	daraq	O daraqla saçını darayır.
舒适	rahat	Bu otaq çox rahatdır.
蔬菜	tərəvəz	Daha çox tərəvəz yemək sağlamlıq üçün faydalıdır.
输入	daxil etmək	Xahiş edirəm, şifrəni kompüterə daxil edin.
熟练	məharətlə	O kompüterdən məharətlə istifadə edə bilir.
属于	məxsus olmaq	Bu kitab kitabxanaya məxsusdur.
数	saymaq	Xahiş edirəm, neçə nəfər olduğunu sayın.
鼠标	siçan	Kompüter siçanım xarab olub.
数据	məlumat	Bu məlumatlar çox vacibdir.
数码	rəqəmsal	O rəqəmsal fotoaparat aldı.
摔倒	yıxılmaq	O yolda yıxıldı.
甩	silkələmək	O əlindəki suyu silkib atdı.
双方	hər iki tərəf	Hər iki tərəf bu plana razılaşdı.
税	vergi	Alış-veriş edəndə vergi ödəmək lazımdır.
说不定	bəlkə	Bəlkə sabah qar yağacaq.
说服	inandırmaq	O nəhayət valideynlərini inandırdı.
丝绸	ipək	Bu şərf ipəkdən hazırlanıb.
丝毫	zərrə qədər	O fikrini zərrə qədər dəyişmədi.
思考	düşünmək	Xahiş edirəm, bu məsələni ciddi düşünün.
思想	düşüncə	Onun düşüncəsi çox açıqdır.
撕	cırmaq	Xahiş edirəm, bu kağızı cırmayın.
私人	şəxsi	Bu mənim şəxsi məkanımdır.
似乎	deyəsən	Deyəsən, o çox sevincli deyil.
搜索	axtarmaq	Mən şəbəkədə məlumat axtardım.
宿舍	yataqxana	Tələbələr məktəb yataqxanasında yaşayırlar.
随身	yanında saxlamaq	Xahiş edirəm, pasportunuzu yanınızda saxlayın.
随时	istənilən vaxt	Sən mənə istənilən vaxt zəng edə bilərsən.
随手	çıxarkən	Çıxanda qapını bağlayın.
碎	sınmaq	Fincan yerə düşüb sındı.
损失	itki	Bu qəza böyük itkiyə səbəb oldu.
缩短	qısaltmaq	Yeni marşrut yolu qısaltdı.
所	yer; ədəd	Bu məktəb çox məşhurdur.
锁	kilidləmək	Evdən çıxmazdan əvvəl qapını kilidləyin.
台阶	pilləkən	Yaşlı adam pilləkənləri yavaş-yavaş qalxdı.
太极拳	tayçi	Parkda adamlar tayçi ilə məşğul olur.
太太	xanım	Van xanım yemək bişirir.
谈判	danışıqlar	Hər iki tərəf danışıqlar aparır.
坦率	açıq	O fikrini açıq şəkildə dedi.
烫	çox isti	Bu fincan çay çox istidir.
桃	şaftalı	Ağacda çoxlu şaftalı yetişib.
淘气	dəcəl	Bu uşaq bir az dəcəldir.
逃	qaçmaq	Küçük həyətdən qaçdı.
逃避	qaçmaq	Məsuliyyətdən qaçma.
讨价还价	bazarlıq etmək	O alış-veriş edəndə bazarlıq etməyi sevir.
套	dəst	O yeni geyim dəsti aldı.
特色	xüsusiyyət	Bu restoranın yerli xüsusiyyəti var.
特殊	xüsusi	Bu gün xüsusi bir gündür.
特征	əlamət	Bu heyvanın aydın əlamətləri var.
疼爱	əzizləmək	Nənə və baba uşağı çox əzizləyirlər.
提倡	təşviq etmək	Məktəb suya qənaəti təşviq edir.
提纲	plan	Məqalə yazmazdan əvvəl plan qur.
提问	sual vermək	Tələbələr istənilən vaxt sual verə bilərlər.
题目	sual	Bu sual çox çətin deyil.
体会	anlayış	Səyahət sayəsində yeni bir anlayış qazandım.
体贴	qayğıkeş	O ailəsinə qarşı çox qayğıkeşdir.
体现	əks etdirmək	Bu iş komanda ruhunu əks etdirir.
体验	təcrübə etmək	Mən yerli həyatı yaşamaq istəyirəm.
天空	səma	Bu gün səma çox mavidir.
天真	sadəlövh	Uşağın fikri çox sadəlövhdür.
调皮	dəcəl	O pişik çox dəcəldir.
调整	tənzimləmək	Biz planı tənzimləməliyik.
挑战	çətinlik	Bu çox böyük çətinlikdir.
通常	adətən	O adətən saat yeddidə qalxır.
统一	birləşdirmək	Hamının fikrini birləşdirmək lazımdır.
痛苦	əzab	Dostunu itirmək ona böyük əzab verdi.
痛快	ürəkdən	Bu gün ürəkdən əyləndik.
偷	oğurlamaq	Başqalarının əşyalarını oğurlama.
投入	özünü vermək	O işinə böyük diqqətlə özünü verir.
投资	sərmayə qoymaq	Onlar yeni layihəyə sərmayə qoydular.
透明	şəffaf	Bu stəkan şəffafdır.
突出	seçilən	Onun üstünlükləri çox seçilir.
土地	torpaq	Bu torpaq çox məhsuldardır.
土豆	kartof	Mən bir neçə kartof aldım.
兔子	dovşan	Uşaq bir dovşan saxlayır.
吐	qusmaq	O özünü pis hiss edir və qusmaq istəyir.
团	qrup	Biz bir səyahət qrupuna qoşulduq.
推辞	imtina etmək	O dostunun dəvətindən imtina etdi.
推广	təbliğ etmək	Şirkət yeni məhsulu təbliğ edir.
推荐	tövsiyə etmək	Müəllim bu kitabı tövsiyə etdi.
退	geri çəkilmək	Xahiş edirəm, bir addım geri çəkilin.
退步	geriləmək	Məşq etməsən, səviyyən geriləyər.
退休	pensiyaya çıxmaq	O gələn il pensiyaya çıxacaq.
歪	əyri	Bu rəsm əyri asılıb.
外公	ana babası	Mənim ana babam bu il səksən yaşındadır.
外交	diplomatiya	O beynəlxalq münasibətlər və diplomatiya öyrənir.
完美	mükəmməl	Bu plan mükəmməl deyil.
完善	təkmilləşdirmək	Biz xidmət prosesini təkmilləşdirməliyik.
完整	tam	Xahiş edirəm, mənə tam hesabat verin.
玩具	oyuncaq	Uşaq oyuncaqları qutuya qoydu.
万一	birdən	Birdən yağış yağsa, başqa gün gedərik.
王子	şahzadə	Nağıldakı şahzadə çox cəsurdur.
往返	gedib-gəlmək	Bu biletlə həmin gün gedib-gəlmək olar.
网络	şəbəkə bağlantısı	Burada şəbəkə bağlantısı çox sabitdir.
危害	zərər vurmaq	Siqaret çəkmək sağlamlığa zərər vurur.
威胁	təhdid etmək	Çirklənmə çayı təhdid edir.
微笑	gülümsəmək	O mənə gülümsədi.
唯一	yeganə	Bu yeganə yoldur.
围巾	şərf	Qışda o şərf taxır.
围绕	ətrafında	Müzakirə bu məsələ ətrafında aparıldı.
维修	təmir etmək	Lift təmir olunur.
违反	pozmaq	Belə etmək qaydaları pozur.
伟大	böyük	Bu böyük bir kəşfdir.
委屈	incik hiss etmək	O özünü çox incik hiss etdi.
尾巴	quyruq	Küçük quyruğunu yelləyirdi.
位于	yerləşmək	Məktəb şəhər mərkəzində yerləşir.
位置	yer	Bu yer çox sakitdir.
未必	mütləq deyil	Onun dediyi mütləq doğru deyil.
未来	gələcək	Biz gələcəyə hazırlaşmalıyıq.
胃	mədə	Mədəm bir az narahatdır.
胃口	iştaha	Bu gün onun iştahası yaxşıdır.
温暖	ilıq	Yaz günəşi çox ilıqdır.
温柔	zərif	O çox zərif danışır.
文件	sənəd	Xahiş edirəm, sənədi mənə göndərin.
文具	dəftərxana ləvazimatı	Çantada çoxlu dəftərxana ləvazimatı var.
文明	mədəni	Növbədə dayanmaq mədəni davranışdır.
文学	ədəbiyyat	O Çin ədəbiyyatını sevir.
文字	yazı	Bu yazıları oxumaq çətindir.
闻	iyləmək	Mən çiçək qoxusu duydum.
吻	öpmək	Ana uşağın üzündən öpdü.
稳定	sabit	Qiymətlər sabit qalır.
问候	salam göndərmək	Xahiş edirəm, ailənizə məndən salam çatdırın.
卧室	yataq otağı	Yataq otağında böyük çarpayı var.
握手	əl sıxmaq	Görüşəndə onlar əl sıxdılar.
屋子	otaq	Otağın içi istidir.
无奈	çarəsiz	O, çarəsiz halda başını yellədi.
无数	saysız-hesabsız	Gecə səmasında saysız-hesabsız ulduz var.
无所谓	fərqi yoxdur	Nə yemək istəsən, fərqi yoxdur.
武术	döyüş sənəti	O uşaqlıqdan döyüş sənəti öyrənib.
勿	olmaz	Xahiş edirəm, burada siqaret çəkmək olmaz.
物理	fizika	Fizika dərsi çox maraqlıdır.
物质	maddə	Su vacib bir maddədir.
雾	duman	Səhər qalın duman var idi.
吸取	dərs çıxarmaq	Biz bu hadisədən dərs çıxarmalıyıq.
吸收	udmaq	Bitkilər suyu udur.
戏剧	dram	O ənənəvi dram tamaşalarına baxmağı sevir.
系	fakültə	O Çin dili fakültəsində oxuyur.
系统	sistem	Bu sistem sabit işləyir.
细节	detal	Xahiş edirəm, bu detallara diqqət edin.
瞎	kor-koranə	Kor-koranə təxmin etmə, əvvəlcə məlumatlara bax.
下载	yükləmək	Mən bu proqram təminatını yüklədim.
吓	qorxutmaq	Qəfil səs məni qorxutdu.
夏令营	yay düşərgəsi	Uşaq Çin dili yay düşərgəsində iştirak etdi.
鲜艳	parlaq	Bu ətəyin rəngi çox parlaqdır.
显得	göstərmək	Bu paltar onu çox gənc göstərir.
显然	açıq-aydın	Açıq-aydın, o nəticəni artıq bilir.
显示	göstərmək	Ekran vaxtı səhv göstərir.
县	qəza	Bu qəzada çoxlu çay bağları var.
现代	müasir	Müasir həyatı şəbəkəsiz təsəvvür etmək olmur.
现实	reallıq	Biz reallıqla üzləşməliyik.
现象	hadisə	Bu hadisə çox yayğındır.
限制	məhdudlaşdırmaq	Burada nəqliyyat vasitələrinin girişi məhdudlaşdırılıb.
相处	yola getmək	Onlar bir-biri ilə çox yaxşı yola gedirlər.
相当	xeyli	Bu kitab xeyli maraqlıdır.
相对	nisbətən	Burada qiymətlər nisbətən ucuzdur.
相关	əlaqəli	Xahiş edirəm, əlaqəli məlumatları təqdim edin.
相似	oxşar	Bu iki heroqlifin mənası çox oxşardır.
香肠	kolbasa	Səhər yeməyində yumurta və kolbasa var.
享受	zövq almaq	Onlar tətildən zövq alırlar.
想念	darıxmaq	Mən ailəm üçün çox darıxıram.
想象	təsəvvür etmək	Mən belə həyatı təsəvvür edə bilmirəm.
象棋	Çin şahmatı	Babam Çin şahmatı oynamağı sevir.
象征	rəmzləndirmək	Ağ rəng çox vaxt saflığı rəmzləndirir.
项	bənd	Bu tapşırıq çox vacibdir.
项链	boyunbağı	O gümüş boyunbağı taxıb.
项目	layihə	Bu layihə üç ay tələb edir.
消费	istehlak etmək	Bayram dövründə istehlak artdı.
消化	həzm	Yeməkdən sonra gəzmək həzmə kömək edir.
消极	mənfi	Problemlərə mənfi münasibətlə baxma.
消失	yoxa çıxmaq	Günəş dağın arxasında yavaş-yavaş yoxa çıxdı.
销售	satmaq	Bu şirkət elektron məhsullar satır.
小麦	buğda	Şimalda çox buğda əkilib.
小气	xəsis	Bu qədər xəsis olma.
孝顺	valideynə hörmətli	O valideynlərinə çox hörmətlidir.
效率	səmərəlilik	Belə etmək səmərəliliyi artıra bilər.
歇	dincəlmək	Gəl əvvəl bir az dincələk.
斜	maili	Bu yol bir az mailidir.
写作	yazı	Yazı uzunmüddətli məşq tələb edir.
心理	psixoloji	İmtahandan əvvəl psixoloji vəziyyəti tənzimləmək lazımdır.
心脏	ürək	Ürək sağlamlığı çox vacibdir.
欣赏	seyr etmək	Biz gözəl mənzərəni seyr etdik.
信号	siqnal	Burada mobil telefon siqnalı pisdir.
信任	etibar	Dostlar arasında etibar lazımdır.
形成	formalaşmaq	Yaxşı vərdişlər tədricən formalaşır.
形容	təsvir etmək	Bu hissi necə təsvir edəcəyimi bilmirəm.
形势	vəziyyət	Hazırkı vəziyyət nisbətən mürəkkəbdir.
形式	forma	İclas onlayn formada keçirilə bilər.
形象	imic	Onun ictimai imici yaxşıdır.
形状	forma	Bu qutunun forması çox xüsusidir.
行动	hərəkət etmək	Biz dərhal hərəkət etməliyik.
行人	piyada	Yolu keçərkən piyadalara diqqət edin.
行为	davranış	Belə davranış nəzakətli deyil.
幸亏	yaxşı ki	Yaxşı ki, sən mənə xatırlatdın.
幸运	şanslı	O iş tapmaqda şanslı oldu.
性质	xarakter	Bu problemin xarakteri çox ciddidir.
兄弟	qardaşlar	İki qardaşın münasibəti yaxşıdır.
胸	sinə	O sinəsində bir az sıxıntı hiss edir.
休闲	istirahət	Həftəsonu istirahət üçün yaxşı vaxtdır.
修改	düzəliş etmək	Xahiş edirəm, bu məqaləyə düzəliş edin.
虚心	açıqfikirli	Biz fikirləri açıqfikirli şəkildə dinləməliyik.
叙述	nəql etmək	O hadisəni aydın şəkildə nəql etdi.
宣布	elan etmək	Məktəb yeni qaydaları elan etdi.
宣传	təbliğ etmək	Onlar ətraf mühitin qorunması haqqında bilikləri təbliğ edirlər.
学历	təhsil səviyyəsi	Bu iş bakalavr təhsili tələb edir.
学术	elmi	Bu iclasda elmi məsələlər müzakirə olunur.
学问	bilik	O çox biliklidir.
血	qan	Onun əlindən bir az qan çıxdı.
寻找	axtarmaq	Biz yeni üsul axtarırıq.
询问	soruşmaq	O müəllimdən imtahan vaxtını soruşdu.
训练	məşq etmək	İdmançı hər gün məşq edir.
迅速	sürətlə	Xəbər sürətlə yayıldı.
押金	depozit	Ev kirayələmək üçün depozit ödəmək lazımdır.
牙齿	diş	Xahiş edirəm, hər gün dişlərinizə yaxşı baxın.
严肃	ciddi	Müəllimin üz ifadəsi çox ciddidir.
延长	uzatmaq	İclas yarım saat uzadıldı.
演讲	çıxış	O sabahkı çıxışına hazırlaşır.
宴会	ziyafət	Onlar bir ziyafətdə iştirak etdilər.
阳台	balkon	Balkonda bir neçə gül qabı var.
痒	qaşınmaq	Qolum bir az qaşınır.
样式	üslub	Bu üslub çox məşhurdur.
腰	bel	Uzun oturanda bel ağrıya bilər.
摇	yelləmək	Külək budaqları o yana-bu yana yellədi.
咬	dişləmək	Bu it adam dişləmir.
要不	yoxsa	Yoxsa sabah yenə gedək?
业务	iş fəaliyyəti	Şirkətin iş fəaliyyəti getdikcə artır.
业余	boş vaxt	O boş vaxtında fotoqrafiya öyrənir.
夜	gecə	Gecə küçə çox sakitdir.
依然	hələ də	O hələ də Pekində yaşayır.
一辈子	bir ömür	O bir ömür musiqini sevdi.
一旦	bir dəfə	Bir dəfə qərar verdinsə, davam etməlisən.
一律	hamısı	İclas zamanı telefonların hamısı söndürülməlidir.
一再	təkrar-təkrar	O bizə təhlükəsizliyə diqqət etməyi təkrar-təkrar xatırlatdı.
一致	eyni	Hamının fikri tamamilə eynidir.
疑问	sual	Mənim bu cavabla bağlı sualım var.
移动	tərpətmək	Xahiş edirəm, stolu bir az tərpədin.
移民	köçmək	Onlar xaricə köçməyi planlaşdırırlar.
遗憾	təəssüf	Səni görə bilmədiyimə təəssüflənirəm.
乙	B tərəfi	Müqavilədə B tərəfi ödənişə cavabdehdir.
以及	həmçinin	Mən kitablar və həmçinin dəftərxana ləvazimatı aldım.
以来	bəri	Məzun olandan bəri o Pekində işləyir.
义务	vəzifə	Ətraf mühiti qorumaq hər kəsin vəzifəsidir.
亿	yüz milyon	Bu ölkənin əhalisi bir milyarddan çoxdur.
意外	gözlənilməz	Bu dəfə gecikmək tamamilə gözlənilməz idi.
意义	məna	Bu tədbirin böyük mənası var.
议论	müzakirə etmək	Hamı bu məsələni müzakirə edir.
因而	buna görə	O çox çalışır, buna görə qiymətləri yaxşıdır.
因素	amil	Hava vacib amildir.
银	gümüş	O gümüş bilərzik taxıb.
印刷	çap etmək	Bu kitab çox aydın çap olunub.
英俊	yaraşıqlı	O çox yaraşıqlıdır.
英雄	qəhrəman	Yanğınsöndürənlər əsl qəhrəmandırlar.
营养	qida	Səhər yeməyində kifayət qədər qida olmalıdır.
营业	işləmək	Bu mağaza saat doqquzda işləməyə başlayır.
迎接	qarşılamaq	Biz qonaqları qarşılamaq üçün hava limanına getdik.
影子	kölgə	Küçə lampasının altında onun kölgəsi var.
应付	öhdəsindən gəlmək	O bu problemin öhdəsindən gələ bilər.
应用	tətbiq etmək	Bu üsulu tədrisdə tətbiq etmək olar.
硬	sərt	Bu stul çox sərtdir.
硬件	aparat təminatı	Bu kompüterin aparat təminatı yaxşıdır.
拥抱	qucaqlamaq	Uşaq qaçıb anasını qucaqladı.
拥挤	basabas	Səhər pik saatında metro çox basabas olur.
勇气	cəsarət	Onun səhvini etiraf etməyə cəsarəti var.
用功	çalışqanlıqla oxumaq	O çox çalışqanlıqla oxuyur.
用途	istifadə sahəsi	Bu maddənin istifadə sahəsi genişdir.
优惠	endirim	Bu mağazada bu gün endirim var.
优美	gözəl	Buranın mühiti çox gözəldir.
优势	üstünlük	Onun üstünlüyü zəngin təcrübəsidir.
悠久	qədim	Çinin qədim tarixi var.
油炸	yağda qızartmaq	Mən yağda qızardılmış yeməkləri az yeyirəm.
游览	gəzmək	Biz sabah Qadağan olunmuş şəhəri gəzəcəyik.
犹豫	tərəddüd etmək	O bir az tərəddüd edib sonra cavab verdi.
有利	faydalı	Bu şərt bizim üçün faydalıdır.
幼儿园	uşaq bağçası	Uşaq gələn il uşaq bağçasına gedəcək.
娱乐	əyləncə	Film izləmək əyləncənin bir növüdür.
与其	əvəzinə	Şikayət etmək əvəzinə hərəkət etmək daha yaxşıdır.
语气	ton	Onun danışıq tonu çox mülayimdir.
玉米	qarğıdalı	Axşam yeməyində qarğıdalı şorbası var.
预报	proqnoz	Hava proqnozu sabah yağış yağacağını deyir.
预订	əvvəlcədən bron etmək	Mən oteli artıq əvvəlcədən bron etmişəm.
预防	qarşısını almaq	Əlləri tez-tez yumaq soyuqdəymənin qarşısını ala bilər.
元旦	Yeni il günü	Yeni il günü biz bir gün istirahət edirik.
原料	xammal	Çörəyin əsas xammalı undur.
原则	prinsip	İnsanın prinsipləri olmalıdır.
员工	əməkdaş	Şirkətdə üç yüz əməkdaş var.
圆	dairəvi	Ay böyük və dairəvidir.
愿望	arzu	Onun arzusu dünyanı gəzməkdir.
乐器	musiqi aləti	O bir neçə musiqi alətində ifa edə bilir.
晕	başı gicəllənmək	Gəmiyə minəndə başım bir az gicəllənir.
运气	bəxt	Bu gün bəxtim yaxşıdır.
运输	daşıma	Bu malları dəmir yolu ilə daşımaq lazımdır.
运用	istifadə etmək	Xahiş edirəm, bu sözlərdən çevik istifadə edin.
灾害	fəlakət	Sel təbii fəlakətin bir növüdür.
再三	təkrar-təkrar	Müəllim bizə təkrar etməyi təkrar-təkrar xatırlatdı.
在乎	əhəmiyyət vermək	O dostlarının fikrinə çox əhəmiyyət verir.
在于	asılı olmaq	Uğur əzmkarlıqdan asılıdır.
赞成	razılaşmaq	Mən sənin təklifinlə razıyam.
赞美	tərifləmək	Hamı onun cəsarətini təriflədi.
糟糕	pis	Bu gün hava həqiqətən pisdir.
造成	səbəb olmaq	Güclü yağış tıxaca səbəb oldu.
则	onda	Çalışsan, onda irəliləyiş olar.
责备	qınamaq	Müəllim onu qınamadı.
摘	dərmək	O bağdan bir çiçək dərdi.
窄	dar	Bu yol çox dardır.
粘贴	yapışdırmaq	Xahiş edirəm, şəkli buraya yapışdırın.
展开	başlamaq	Müzakirə tez başladı.
展览	sərgi	Muzeydə yeni sərgi var.
占	yer tutmaq	Bu stol yer tutur.
战争	müharibə	Müharibə xalqa əzab gətirir.
掌握	mənimsəmək	O əsas qrammatikanı artıq mənimsəyib.
涨	bahalanmaq	Son vaxtlar kirayə haqqı yenə bahalanıb.
长辈	böyüklər	Yeni il zamanı böyüklərə salam vermək lazımdır.
账户	hesab	Xahiş edirəm, bank hesabınızı yoxlayın.
招待	qəbul etmək	Ev sahibi qonaqları səmimi qəbul etdi.
着火	yanğın çıxmaq	Mətbəxdə qəflətən yanğın çıxdı.
着凉	soyuqlamaq	Hava soyuqdur, soyuqlama.
召开	keçirmək	Məktəb sabah iclas keçirəcək.
照常	həmişəki kimi	Mağaza sabah həmişəki kimi işləyəcək.
哲学	fəlsəfə	O universitetdə fəlsəfə oxuyub.
珍惜	qədrini bilmək	Biz vaxtın qədrini bilməliyik.
真实	həqiqi	Bu hekayə həqiqidir.
针对	yönəlmiş	Bu təklif yeni tələbələrə yönəlib.
诊断	diaqnoz	Həkim tez diaqnoz qoydu.
振动	titrəmək	Telefon stolun üstündə titrəyir.
阵	qısa müddət	Çöldə qısa müddət yağış yağdı.
争论	mübahisə etmək	Onlar bu məsələ haqqında uzun müddət mübahisə etdilər.
争取	çalışmaq	Biz daha çox imkan qazanmağa çalışmalıyıq.
征求	fikir soruşmaq	Müəllim hamının fikrini soruşdu.
挣	azad olmaq	Quş kəndirdən azad oldu.
睁	açmaq	Xahiş edirəm, gözlərini bir az daha geniş aç.
整个	bütün	Bütün şəhər çox sakit idi.
整齐	səliqəli	Kitablar çox səliqəli düzülüb.
整体	ümumi	Biz ümumi təsiri nəzərə almalıyıq.
政府	hökumət	Hökumət yeni bildiriş yaydı.
政治	siyasət	O siyasətə çox maraq göstərir.
正	düzgün	Bu cavab düzgündür.
证件	sənəd	Xahiş edirəm, sənədinizi göstərin.
证据	sübut	Polis yeni sübut tapdı.
支	ədəd	Stolun üstündə bir qələm var.
支票	çek	O çeklə ödədi.
执照	lisenziya	Maşın sürmək üçün sürücülük lisenziyası lazımdır.
直	düz	Bu yolla düz irəli gedin.
指导	yol göstərmək	Müəllim bizə məqalə yazmaqda yol göstərdi.
指挥	idarə etmək	O bu əməliyyatı idarə etməyə cavabdehdir.
制定	hazırlamaq	Şirkət yeni plan hazırladı.
制度	sistem	Məktəbdə ciddi sistem var.
制造	istehsal etmək	Bu zavod maşın istehsal edir.
制作	hazırlamaq	O ad günü tortu hazırlayır.
志愿者	könüllü	Tədbirdə çoxlu könüllü iştirak etdi.
智慧	müdriklik	Bu yaşlı insan çox müdrikdir.
治疗	müalicə etmək	Həkim xəstəni müalicə edir.
秩序	qayda	Xahiş edirəm, hamı qaydanı qorusun.
至今	indiyə qədər	Bu problem indiyə qədər həll olunmayıb.
至于	-gə gəlincə	Xərclərə gəlincə, sabah danışarıq.
中介	vasitəçi	O evi vasitəçi ilə kirayələdi.
中心	mərkəz	Xəstəxana şəhər mərkəzindədir.
中旬	ayın ortası	İclas may ayının ortasına təyin edilib.
种类	növ	Burada meyvə növləri çoxdur.
重大	mühüm	Bu mühüm qərardır.
重量	çəki	Bu qutunun çəkisi nə qədərdir?
周到	diqqətli	Onun xidməti çox diqqətlidir.
猪	donuz	Fermada çox donuz saxlanılır.
竹子	bambuk	Pandalar bambuk yeməyi sevir.
逐步	mərhələli	Plan mərhələli şəkildə həyata keçiriləcək.
逐渐	tədricən	Hava tədricən soyudu.
主持	aparmaq	O bugünkü iclası aparır.
主动	təşəbbüslə	O sinif yoldaşına təşəbbüslə kömək etdi.
主观	subyektiv	Bu qiymətləndirmə bir az subyektivdir.
主人	ev sahibi	Ev sahibi bizi səmimi qarşıladı.
主任	müdir	Müdir kabinetdədir.
主题	mövzu	Bugünkü müzakirənin mövzusu ətraf mühitin qorunmasıdır.
主席	sədr	Sədr iclasın başladığını elan etdi.
主张	təklif etmək	O əvvəlcə nəqliyyat problemini həll etməyi təklif edir.
煮	bişirmək	Anam əriştə bişirir.
注册	qeydiyyatdan keçmək	Yeni istifadəçilər əvvəlcə qeydiyyatdan keçməlidirlər.
祝福	xeyir-dua	Dostlar xeyir-dualarını göndərdilər.
抓	tutmaq	Uşaq anasının əlindən tutdu.
抓紧	vaxtdan səmərəli istifadə etmək	Biz vaxtdan səmərəli istifadə etməliyik.
专家	mütəxəssis	Mütəxəssis təklif verdi.
专心	diqqətlə	Dərsdə diqqətlə qulaq asmaq lazımdır.
转变	dəyişiklik	Onun münasibətində dəyişiklik baş verdi.
转告	çatdırmaq	Xahiş edirəm, ona sabah iclas olduğunu çatdırın.
装	qoymaq	Xahiş edirəm, kitabları çantaya qoyun.
装饰	bəzəmək	Onlar otağı güllərlə bəzədilər.
装修	təmir etmək	Yeni ev təmir olunur.
撞	toqquşmaq	İki maşın yolayrıcında toqquşdu.
状况	vəziyyət	Hazırkı vəziyyət nisbətən sabitdir.
状态	hal	Bu gün onun halı yaxşıdır.
追	qovmaq	Uşaq arxadan küçüyü qovur.
追求	ardınca getmək	O həmişə öz arzusunun ardınca gedib.
咨询	məsləhətləşmək	Sən peşəkar həkimlə məsləhətləşə bilərsən.
姿势	duruş	Xahiş edirəm, düzgün duruşu saxlayın.
资格	ixtisas	Onun yarışda iştirak etmək ixtisası var.
资金	vəsait	Layihəyə daha çox vəsait lazımdır.
资料	məlumat	Xahiş edirəm, məlumatları mənə göndərin.
资源	resurs	Su vacib təbii resursdur.
紫	bənövşəyi	O bənövşəyi rəngi sevir.
字母	hərf	İngilis dilində iyirmi altı hərf var.
字幕	subtitr	Bu filmdə Çin subtitrləri var.
自从	-dan bəri	Məzun olandan bəri o nadir hallarda qayıdır.
自动	avtomatik	Bu qapı avtomatik açılır.
自豪	fəxr etmək	Mən öz irəliləyişimlə fəxr edirəm.
自觉	könüllü şəkildə	O ev tapşırığını könüllü şəkildə yerinə yetirdi.
自私	eqoist	İnsan çox eqoist olmamalıdır.
自由	azadlıq	Hər kəs azadlığın qədrini bilir.
自愿	könüllü	Onlar tədbirdə könüllü iştirak etdilər.
综合	ümumiləşdirmək	Biz müxtəlif amilləri ümumiləşdirərək nəzərə almalıyıq.
总裁	baş direktor	Baş direktor bu gün çıxış etdi.
总共	cəmi	Bu səfər cəmi üç min yuan tutdu.
总理	baş nazir	Baş nazir iclasda iştirak etdi.
总算	nəhayət	Problem nəhayət həll olundu.
总统	prezident	Prezident televiziya ilə çıxış etdi.
总之	qısası	Qısası, biz vaxtında bitirməliyik.
组	qrup	Müəllim bizi üç qrupa böldü.
组成	tərkibində olmaq	Su hidrogen və oksigendən ibarətdir.
组合	uyğunluq	Bu rəng uyğunluğu gözəl görünür.
组织	təşkil etmək	Məktəb səyahət təşkil etdi.
阻止	dayandırmaq	Polis təhlükəli davranışı dayandırdı.
最初	əvvəlcə	Əvvəlcə mən çox başa düşmürdüm.
醉	sərxoş	O çox içib bir az sərxoş oldu.
尊敬	hörmət etmək	Şagirdlərin hamısı müəllimə hörmət edir.
遵守	riayət etmək	Biz yol hərəkəti qaydalarına riayət etməliyik.
作品	əsər	Bu rəsm onun əsəridir.
作为	kimi	Müəllim kimi o çox səbrlidir.
作文	inşa	Müəllim bizdən bir inşa yazmağı istədi.
