hsk_key	source_word	simplified	SI	example_SI	TA	example_TA
4336:救命	救命	救命	ජීවිතය බේරයි; උදව් ඉල්ලයි	තීරණාත්මක මොහොතේ වෛද්‍යවරයා ජීවිතය බේරුවේය.	உயிரைக் காப்பாற்று; உதவி	முக்கிய தருணத்தில் மருத்துவர் உயிரைக் காப்பாற்றினார்.
4337:就算	就算	就算	වුවද	වැස්සත් අපි පිටත්ව යන්නෙමු.	இருந்தாலும்	மழை பெய்தாலும் நாங்கள் புறப்படுவோம்.
4338:救援	救援	救援	ගලවා ගැනීම; සහන	ගලවා ගැනීමේ කණ්ඩායම ආපදා ප්‍රදේශයට දැනටමත් පැමිණ ඇත.	மீட்பு; நிவாரணம்	மீட்பு குழு ஏற்கனவே பேரிடர் பகுதிக்கு வந்துள்ளது.
4339:救灾	救灾	救灾	ආපදා සහන	රජය ආපදා සහන සඳහා පිරිස් සංවිධානය කළේය.	பேரிடர் நிவாரணம்	அரசு பேரிடர் நிவாரணத்திற்கு பணியாளர்களை ஏற்பாடு செய்தது.
4340:救助	救助	救助	උදව් කරයි; ගලවා ගනී	පදනම දුෂ්කරතාවල සිටි පවුල් බොහෝකට උදව් කළේය.	உதவி செய்; காப்பாற்று	அறக்கட்டளை சிரமத்தில் உள்ள பல குடும்பங்களுக்கு உதவியது.
4341:局1	局1	局	ක්‍රීඩා වටය; වාරය	මෙම චෙස් වටය ඔහු ජය ගත්තේය.	சுற்று; ஆட்டம்	இந்த சதுரங்க ஆட்டத்தை அவர் வென்றார்.
4342:局2	局2	局	කාර්යාලය; දෙපාර්තමේන්තුව	ඔහු ක්‍රියා පටිපාටි කිරීමට බදු කාර්යාලයට ගියේය.	அலுவலகம்; துறை	அவர் நடைமுறைகளை செய்ய வரித் துறைக்கு சென்றார்.
4343:菊花	菊花	菊花	ක්‍රිසන්තමම් මල	සරත් කාලයේ උද්‍යානය ක්‍රිසන්තමම් මල්වලින් පිරී යයි.	சாமந்தி	இலையுதிர் காலத்தில் பூங்கா முழுவதும் சாமந்தி மலர்கிறது.
4348:聚集	聚集	聚集	රැස් වේ; එකතු වේ	ජනතාව චතුරශ්‍රයේ රැස් වූහ.	கூடு; திரள்	மக்கள் சதுக்கத்தில் கூடியனர்.
4351:捐款	捐款	捐款	මුදල් පරිත්‍යාග කරයි; මුදල් පරිත්‍යාගය	බොහෝ දෙනා ආපදා ප්‍රදේශයට මුදල් පරිත්‍යාග කළහ.	நன்கொடை பணம்; பணம் வழங்கு	பலர் பேரிடர் பகுதிக்கு நன்கொடை பணம் வழங்கினர்.
4352:捐赠	捐赠	捐赠	පරිත්‍යාග කරයි	ව්‍යාපාරය පරිගණක කට්ටලයක් පරිත්‍යාග කළේය.	நன்கொடை வழங்கு; தானம் செய்	நிறுவனம் கணினிகள் தொகுப்பை நன்கொடை வழங்கியது.
4358:军人	军人	军人	සෙබළා; හමුදා පුද්ගලයා	ඒ සෙබළා වැඩිහිටියාට පාර හරහා යාමට උදව් කළේය.	படைவீரர்; இராணுவ நபர்	அந்த படைவீரர் முதியவரை சாலை கடக்க உதவினார்.
4360:卡片	卡片	卡片	කාඩ්පත	ඇය කාඩ්පතේ සුභ පැතුම් ලිව්වාය.	அட்டை	அவள் அட்டையில் வாழ்த்துகளை எழுதியாள்.
4361:开创	开创	开创	ආරම්භ කරයි; පුරෝගාමී වේ	මෙම තාක්ෂණය නව යුගයක් ආරම්භ කළේය.	தொடங்கி உருவாக்கு; முன்னோடியாக இரு	இந்த தொழில்நுட்பம் புதிய காலத்தை உருவாக்கியது.
4362:开关	开关	开关	ස්විචය	දොර අසල ස්විචය කැඩී ඇත.	சுவிட்ச்	கதவின் அருகிலுள்ள சுவிட்ச் பழுதாகிவிட்டது.
4363:开启	开启	开启	විවෘත කරයි; ආරම්භ කරයි	රැස්වීම නව සහයෝගිතා අවස්ථා විවෘත කළේය.	திற; தொடங்கு	கூட்டம் புதிய ஒத்துழைப்பு வாய்ப்புகளைத் திறந்தது.
4364:开设	开设	开设	ආරම්භ කරයි; ස්ථාපිත කරයි	පාසල චීන භාෂා පාඨමාලාවක් ආරම්භ කළේය.	தொடங்கு; நிறுவு	பள்ளி சீன மொழி பாடநெறியை தொடங்கியது.
4365:开头	开头	开头	ආරම්භය	ලිපියේ ආරම්භය ඉතා ආකර්ෂණීය ලෙස ලියා ඇත.	தொடக்கம்; ஆரம்பம்	கட்டுரையின் தொடக்கம் மிகவும் ஈர்க்கக்கூடிய வகையில் எழுதப்பட்டுள்ளது.
4369:看得起	看得起	看得起	ගෞරවයෙන් සලකයි; ඉහළින් සලකයි	ඔහු මහන්සි වී වැඩ කරන්නේ අන් අය ඔහුව ගෞරවයෙන් සලකනු ඇතැයි බලාපොරොත්තුවෙනි.	மதிப்புடன் பார்; உயர்வாக நினை	அவர் கடுமையாக உழைக்கிறார்; மற்றவர்கள் அவரை மதிப்புடன் பார்க்க வேண்டும் என்று நம்புகிறார்.
4370:看好	看好	看好	හොඳ බලාපොරොත්තුවක් තබයි	ආයෝජකයෝ මෙම කර්මාන්තය ගැන හොඳ බලාපොරොත්තුවක් තබති.	நல்ல எதிர்பார்ப்பு கொள்	முதலீட்டாளர்கள் இந்த துறையைப் பற்றி நல்ல எதிர்பார்ப்பு கொண்டுள்ளனர்.
4371:看似	看似	看似	පෙනෙන්නේ; බැලූ විට	මෙම ගැටලුව සරල ලෙස පෙනුණත් ඇත්තෙන්ම සංකීර්ණය.	தோன்றுவது; வெளிப்படையாக	இந்த பிரச்சினை எளிமையாகத் தோன்றினாலும் உண்மையில் சிக்கலானது.
4372:看中	看中	看中	කැමති වී තෝරා ගනී	ඔහු කුඩා මහල් නිවසකට කැමති වී තෝරා ගත්තේය.	பிடித்து தேர்வு செய்	அவர் ஒரு சிறிய குடியிருப்பை பிடித்து தேர்வு செய்தார்.
4373:看重	看重	看重	වැදගත් කොට සලකයි; අගය කරයි	සමාගම සේවකයන්ගේ හැකියාව ඉතා වැදගත් කොට සලකයි.	மதிப்பு கொடு; முக்கியத்துவம் அளி	நிறுவனம் ஊழியர்களின் திறனை மிகவும் மதிக்கிறது.
4374:康复	康复	康复	සුවය ලබයි; පුනරුත්ථාපනය	ශල්‍යකර්මයෙන් පසු ඔහු හොඳින් යථා තත්ත්වයට පත් වී ඉක්මනින් සුවය ලැබීය.	மீண்டு குணமடை; மறுவாழ்வு	அறுவை சிகிச்சைக்குப் பிறகு அவர் நன்றாக மீண்டு விரைவில் குணமடைந்தார்.
4379:科	科	科	අංශය; විෂය	ඔහු අභ්‍යන්තර වෛද්‍ය අංශයට ලියාපදිංචි විය.	துறை; பாடப்பிரிவு	அவர் உள் மருத்துவத் துறைக்கு பதிவு செய்தார்.
4380:科幻	科幻	科幻	විද්‍යා ප්‍රබන්ධ	මෙම විද්‍යා ප්‍රබන්ධ චිත්‍රපටය ඉතා ජනප්‍රියය.	அறிவியல் புனைகதை	இந்த அறிவியல் புனைகதை திரைப்படம் மிகவும் பிரபலமானது.
4382:科普	科普	科普	ජනප්‍රිය විද්‍යා දැනුම	ගුරුවරයා සිසුන්ට ජනප්‍රිය විද්‍යා දේශනයක් කළේය.	அறிவியல் பொதுமைப்படுத்தல்	ஆசிரியர் மாணவர்களுக்கு அறிவியல் பொதுமைப்படுத்தல் சொற்பொழிவு ஒன்றை வழங்கினார்.
4387:客车	客车	客车	මගී බස් රථය	මගී බස් රථය උදේ හතට පිටත් වේ.	பயணிகள் பேருந்து	பயணிகள் பேருந்து காலை ஏழு மணிக்கு புறப்படுகிறது.
4389:肯	肯	肯	කැමති වේ; සූදානම් වේ	ඔහු අන් අයට උදව් කිරීමට කාලය වැය කිරීමට කැමතිය.	சம்மதிக்க; விரும்பு	அவர் பிறருக்கு உதவ நேரம் செலவிட விரும்புகிறார்.
4391:空地	空地	空地	හිස් භූමිය; විවෘත ඉඩම	දරුවන් හිස් භූමියේ පාපන්දු ක්‍රීඩා කරති.	திறந்த நிலம்; காலி இடம்	குழந்தைகள் திறந்த நிலத்தில் கால்பந்து விளையாடுகிறார்கள்.
4393:口感	口感	口感	මුඛ හැඟීම; ආහාරයේ ස්පර්ශ රසය	මෙම පාන් වර්ගයේ මුඛ හැඟීම ඉතා මෘදුය.	வாயுணர்வு; உணவு அமைப்பு	இந்த ரொட்டியின் வாயுணர்வு மிகவும் மென்மையானது.
4394:口号	口号	口号	සටන් පාඨය	සියලු දෙනා එක්ව සටන් පාඨය කෑගැසූහ.	கோஷம்	அனைவரும் சேர்ந்து கோஷத்தை முழக்கினர்.
4399:酷	酷	酷	හැඩකාර; නවීන	මෙම කබාය ඉතා හැඩකාර ලෙස පෙනේ.	அசத்தலான; நவீன	இந்த மேலங்கி மிகவும் அசத்தலாக தெரிகிறது.
4401:夸奖	夸奖	夸奖	ප්‍රශංසා කරයි	ගුරුවරයා ඔහුගේ ප්‍රගතිය ප්‍රශංසා කළේය.	பாராட்டு	ஆசிரியர் அவரின் முன்னேற்றத்தை பாராட்டினார்.
4404:快捷	快捷	快捷	වේගවත්; පහසු	අන්තර්ජාල ගෙවීම ඉතා වේගවත් හා පහසුය.	விரைவான; வசதியான	இணைய கட்டணம் மிகவும் விரைவாகவும் வசதியாகவும் உள்ளது.
4405:款	款	款	මාදිලිය; විලාසය	මෙම ජංගම දුරකථන මාදිලිය හොඳින් විකිණේ.	மாடல்; வகை	இந்த கைபேசி மாடல் நன்றாக விற்கிறது.
4408:困扰	困扰	困扰	කරදර කරයි; පීඩා කරයි	මෙම ගැටලුව ඔහුට දිගු කාලයක් කරදර කළේය.	தொந்தரவு செய்; சிரமப்படுத்து	இந்த பிரச்சினை அவரை நீண்ட காலமாக தொந்தரவு செய்தது.
4409:扩展	扩展	扩展	ව්‍යාප්ත කරයි; පුළුල් කරයි	සමාගම විදේශ වෙළඳපොළ පුළුල් කිරීමට සැලසුම් කරයි.	விரிவாக்கு; நீட்டு	நிறுவனம் வெளிநாட்டு சந்தையை விரிவாக்க திட்டமிடுகிறது.
4410:落	落	落	අමතක කර තබා යයි; වැටෙයි	ඔහු ජංගම දුරකථනය කුලී රථයේ අමතක කර තබා ගියේය.	விட்டுவிடு; விழு	அவர் கைபேசியை வாடகை காரில் விட்டுவிட்டார்.
4413:来临	来临	来临	පැමිණෙයි; ළඟා වේ	වසන්ත උත්සවය ළඟා වෙමින් පවතී.	வருகை தரு; நெருங்கு	வசந்த விழா நெருங்கி வருகிறது.
4414:来往	来往	来往	එහා මෙහා ගමන් කරයි; සම්බන්ධතා පවත්වයි	මෙම මාර්ගයේ වාහන බොහෝ එහා මෙහා ගමන් කරයි.	வரவும் போகவும் செய்; தொடர்பு கொள்	இந்த சாலையில் பல வாகனங்கள் வரவும் போகவும் செய்கின்றன.
4415:赖	赖	赖	දෝෂ පවරයි; රඳා පවතී	මෙම කාරණය ඔහුට දෝෂ පවරන්න බැහැ.	குற்றம் சாட்டு; சார்ந்து இரு	இந்த விஷயத்திற்கு அவரை குற்றம் சாட்ட முடியாது.
4417:栏	栏	栏	තීරුව; ක්ෂේත්‍රය	කරුණාකර නම ක්ෂේත්‍රයේ ඔබේ නම ලියන්න.	புலம்; நிரல்	தயவுசெய்து பெயர் புலத்தில் உங்கள் பெயரை எழுதுங்கள்.
4418:兰花	兰花	兰花	ඕකිඩ් මල	ජනේල පඩියේ ඇති ඕකිඩ් මල පිපී ඇත.	ஆர்க்கிட் மலர்	சாளரத் தட்டில் உள்ள ஆர்க்கிட் மலர்ந்துள்ளது.
4420:狼	狼	狼	වෘකයා	රාත්‍රියේ කන්දෙන් වෘකයන්ගේ හඬ ඇසුණි.	ஓநாய்	இரவில் மலையிலிருந்து ஓநாய் அலறல் கேட்டது.
4422:牢	牢	牢	ශක්තිමත්; ස්ථිර	මෙම පුටුව ඉතා ශක්තිමත්ය.	உறுதியான; வலுவான	இந்த நாற்காலி மிகவும் உறுதியானது.
4423:劳动力	劳动力	劳动力	ශ්‍රම බලකාය	මෙම කර්මාන්තයට විශාල ශ්‍රම බලකායක් අවශ්‍යය.	தொழிலாளர் பலம்	இந்த துறைக்கு பெரிய தொழிலாளர் பலம் தேவை.
4426:老太太	老太太	老太太	මහලු කාන්තාව	ඒ මහලු කාන්තාව දිනපතා උද්‍යානයට ඇවිදින්න එයි.	முதிய பெண்	அந்த முதிய பெண் தினமும் பூங்காவுக்கு நடைப்பயிற்சிக்கு வருகிறார்.
4427:乐于	乐于	乐于	කැමැත්තෙන්; සතුටින්	ඔහු නව අභියෝග පිළිගැනීමට කැමතිය.	விருப்பத்துடன்; மகிழ்ச்சியுடன்	அவர் புதிய சவால்களை விருப்பத்துடன் ஏற்கிறார்.
4429:类别	类别	类别	කාණ්ඩය; වර්ගය	කරුණාකර ලිපිගොනු කාණ්ඩය අනුව සකස් කරන්න.	வகை; பிரிவு	தயவுசெய்து கோப்புகளை வகைப்படி ஒழுங்குபடுத்துங்கள்.
4430:理	理	理	සැලකිල්ල දක්වයි; ප්‍රතිචාර දක්වයි	ඔහු මගේ ප්‍රශ්නයට කිසිදු සැලකිල්ලක් දැක්වූයේ නැත.	கவனிக்க; பதில் அளி	அவர் என் கேள்வியை கவனிக்கவில்லை.
4431:理财	理财	理财	මුදල් කළමනාකරණය කරයි	ඇය මුදල් කළමනාකරණය ඉගෙන ගැනීමට පටන් ගත්තාය.	நிதி மேலாண்மை செய்	அவள் நிதி மேலாண்மை கற்கத் தொடங்கினாள்.
4432:理科	理科	理科	විද්‍යා විෂයන්	ඔහු උසස් පාසලේදී විද්‍යා විෂයන් තෝරා ගත්තේය.	அறிவியல் பாடப்பிரிவு	அவர் உயர்நிலைப் பள்ளியில் அறிவியல் பாடப்பிரிவைத் தேர்ந்தெடுத்தார்.
4433:理念	理念	理念	සංකල්පය; මූලධර්මය	මෙම සමාගම පරිසර ආරක්ෂණ මූලධර්මයට වැදගත්කම දෙයි.	கருத்தியல்; கொள்கை	இந்த நிறுவனம் சுற்றுச்சூழல் பாதுகாப்பு கொள்கையை மதிக்கிறது.
4434:理性	理性	理性	තර්කානුකූල; විචාරශීලී	අපි මෙම ගැටලුව තර්කානුකූලව සාකච්ඡා කළ යුතුය.	பகுத்தறிவு; விவேகமான	இந்த பிரச்சினையை நாம் பகுத்தறிவுடன் விவாதிக்க வேண்டும்.
4435:立	立	立	සිටුවයි; නැගී සිටී	දොරටුව අසල පුවරුවක් සිටුවා ඇත.	நிறுத்து; நில்	வாயிலில் ஒரு பலகை நிறுத்தப்பட்டுள்ளது.
4438:力度	力度	力度	ශක්තිය; තීව්‍රතාව	රජය සහාය දීමේ තීව්‍රතාව වැඩි කළේය.	வலிமை; தீவிரம்	அரசு ஆதரவு அளவை அதிகரித்தது.
4439:历经	历经	历经	අත්විඳයි; හරහා යයි	මෙම නගරය බොහෝ වෙනස්කම් අත්විඳ ඇත.	கடந்து அனுபவி	இந்த நகரம் பல மாற்றங்களை அனுபவித்துள்ளது.
4440:历年	历年	历年	පසුගිය වසරවල්	පසුගිය වසරවල දත්ත සියල්ල මෙහි සුරක්ෂිත කර ඇත.	கடந்த ஆண்டுகள்	கடந்த ஆண்டுகளின் தரவுகள் அனைத்தும் இங்கே சேமிக்கப்பட்டுள்ளன.
4443:联合国	联合国	联合国	එක්සත් ජාතීන්ගේ සංවිධානය	එක්සත් ජාතීන්ගේ සංවිධානය නව වාර්තාවක් නිකුත් කළේය.	ஐக்கிய நாடுகள் சபை	ஐக்கிய நாடுகள் சபை புதிய அறிக்கையை வெளியிட்டது.
4444:联网	联网	联网	ජාලයට සම්බන්ධ වේ	මෙම පරිගණකය තවමත් අන්තර්ජාලයට සම්බන්ධ වී නැත.	இணையத்துடன் இணை	இந்த கணினி இன்னும் இணையத்துடன் இணைக்கப்படவில்லை.
4446:链接	链接	链接	සබැඳිය	කරුණාකර සබැඳිය මට එවන්න.	இணைப்பு	தயவுசெய்து இணைப்பை எனக்கு அனுப்புங்கள்.
4447:两岸	两岸	两岸	දෙපස ඉවුරු; දෙපස	දෙපස ඉවුරුවල දර්ශනය ඉතා සුන්දරය.	இரு கரைகள்; இரு பக்கங்கள்	இரு கரைகளின் காட்சியும் மிகவும் அழகாக உள்ளது.
4448:两极	两极	两极	දෙඅන්ත; අන්ත දෙක	මෙම ගැටලුව දෙඅන්ත ප්‍රතිචාර ඇති කළේය.	இரு முனைகள்; தீவிரங்கள்	இந்த பிரச்சினை இரு முனையான எதிர்வினைகளை ஏற்படுத்தியது.
4450:料1	料1	料	ද්‍රව්‍යය; අමුද්‍රව්‍ය	මෙම කෑම සෑදීමට නැවුම් අමුද්‍රව්‍ය සූදානම් කළ යුතුය.	பொருள்; சேர்வை	இந்த உணவை செய்ய புதிய சேர்வைகளை தயார் செய்ய வேண்டும்.
4451:料2	料2	料	අපේක්ෂා කරයි; කලින් සිතයි	ඔහු මෙතරම් ඉක්මනින් එයි කියා මම අපේක්ෂා කළේ නැත.	எதிர்பார்; ஊகி	அவர் இவ்வளவு சீக்கிரம் வருவார் என்று நான் எதிர்பார்க்கவில்லை.
4454:流程	流程	流程	ක්‍රියාවලිය; වැඩ ප්‍රවාහය	කරුණාකර පළමුව ලියාපදිංචි වීමේ ක්‍රියාවලිය තේරුම් ගන්න.	செயல்முறை; பணிப்போக்கு	தயவுசெய்து முதலில் பதிவு செயல்முறையை புரிந்துகொள்ளுங்கள்.
4455:流动	流动	流动	ගලා යයි; චලනය වේ	නිවාඩු දිනවල නගර ජනගහන චලනය ඉතා වැඩිය.	ஓடு; நகர்வு	விடுமுறை நாட்களில் நகர மக்கள் நகர்வு அதிகமாக இருக்கும்.
4456:浏览器	浏览器	浏览器	බ්‍රවුසරය	කරුණාකර මෙම වෙබ් පිටුව බ්‍රවුසරයෙන් විවෘත කරන්න.	உலாவி	தயவுசெய்து இந்த இணையப் பக்கத்தை உலாவியில் திறக்குங்கள்.
4457:流量	流量	流量	ප්‍රවාහ ප්‍රමාණය; දත්ත ප්‍රවාහය	මෙම වෙබ් අඩවියේ අද ප්‍රවාහ ප්‍රමාණය ඉහළය.	போக்குவரத்து; தரவு ஓட்டம்	இந்த இணையதளத்தில் இன்று போக்குவரத்து அதிகமாக உள்ளது.
4458:流入	流入	流入	ඇතුළට ගලා යයි	වැසි ජලය භූගත නලවලට ගලා ගියේය.	உள்ளே பாய்	மழைநீர் நிலத்தடி குழாய்களில் பாய்ந்தது.
4460:楼道	楼道	楼道	ගොඩනැගිලි මංතීරුව; පඩිපෙළ මංතීරුව	ගොඩනැගිලි මංතීරුවේ අනවශ්‍ය දේවල් ගොඩ නොගසන්න.	நடைபாதை; படிக்கட்டு வழி	நடைபாதையில் சிதறிய பொருட்களை குவிக்காதீர்கள்.
4461:露	露	露	පෙන්වයි; හෙළි කරයි	ඔහු සිනාසුණු විට දත් පෙන්වීය.	காட்டு; வெளிப்படுத்து	அவர் சிரித்தவுடன் பற்களை காட்டினார்.
4462:漏洞	漏洞	漏洞	දුර්වලතාව; ආරක්ෂක සිදුර	මෙම පද්ධතියේ ආරක්ෂක දුර්වලතාවක් ඇත.	குறைபாடு; பாதுகாப்பு பலவீனம்	இந்த அமைப்பில் பாதுகாப்பு பலவீனம் உள்ளது.
4463:露1	露1	露	පෙනී සිටී; හෙළි වේ	ඔහු අවසානයේ පෙනී සිටියේය.	வெளிப்படு; தோன்று	அவர் இறுதியாக தோன்றினார்.
4464:路程	路程	路程	ගමන් දුර; ගමන	මෙතැනින් පාසලට ගමන් දුර වැඩි නැත.	பயண தூரம்; பயணம்	இங்கிருந்து பள்ளிவரை பயண தூரம் அதிகமில்லை.
4465:路况	路况	路况	මාර්ග තත්ත්වය	රියදුරු කලින් මාර්ග තත්ත්වය පරීක්ෂා කළේය.	சாலை நிலைமை	ஓட்டுநர் முன்கூட்டியே சாலை நிலைமையை பார்த்தார்.
4466:路面	路面	路面	මාර්ග මතුපිට	වැස්සෙන් පසු මාර්ග මතුපිට ඉතා ලිස්සන සුළුය.	சாலை மேற்பரப்பு	மழைக்குப் பிறகு சாலை மேற்பரப்பு மிகவும் வழுக்கும்.
4467:录像	录像	录像	වීඩියෝ පටිගත කිරීම	රැස්වීම මුළු කාලයම වීඩියෝ පටිගත කර ඇත.	காணொளி பதிவு	கூட்டம் முழுவதும் காணொளியாக பதிவு செய்யப்பட்டது.
4468:录用	录用	录用	බඳවා ගනී	සමාගම ඔහුව බඳවා ගැනීමට තීරණය කළේය.	பணியில் அமர்த்து	நிறுவனம் அவரை பணியில் அமர்த்த முடிவு செய்தது.
4469:录制	录制	录制	පටිගත කරයි	ඔවුහු වැඩසටහනක් පටිගත කරමින් සිටිති.	பதிவு செய்	அவர்கள் நிகழ்ச்சியை பதிவு செய்து கொண்டிருக்கிறார்கள்.
4470:旅程	旅程	旅程	ගමන	මෙම ගමන මට අමතක නොවන එකක් විය.	பயணம்	இந்த பயணம் எனக்கு மறக்க முடியாததாக இருந்தது.
4471:旅途	旅途	旅途	ගමන් මඟ; සංචාරය	ගමන් මඟේදී ආරක්ෂාව ගැන සැලකිලිමත් වන්න.	பயணப் பாதை; பயணம்	பயணத்தின் போது பாதுகாப்பில் கவனம் செலுத்துங்கள்.
4473:率	率	率	අනුපාතය	මෙම ප්‍රදේශයේ රැකියා අනුපාතය ඉහළය.	விகிதம்	இந்த பகுதியில் வேலைவாய்ப்பு விகிதம் அதிகமாக உள்ளது.
4474:绿化	绿化	绿化	හරිතකරණය	නගර හරිතකරණය වාතය වඩා හොඳ කරයි.	பசுமைப்படுத்தல்	நகர பசுமைப்படுத்தல் காற்றை மேலும் நல்லதாக்குகிறது.
4475:轮	轮	轮	වටය; වාරය; රෝදය	මෙම තරග වටයේ ඔහු හොඳින් ක්‍රීඩා කළේය.	சுற்று; முறை; சக்கரம்	இந்த போட்டி சுற்றில் அவர் நன்றாக செயல்பட்டார்.
4478:轮椅	轮椅	轮椅	රෝද පුටුව	වැඩිහිටියා රෝද පුටුවකින් විදුලි සෝපානයට ඇතුළු විය.	சக்கர நாற்காலி	முதியவர் சக்கர நாற்காலியில் லிப்டில் நுழைந்தார்.
4479:轮子	轮子	轮子	රෝදය	ගමන් මල්ලේ රෝදය කැඩී ඇත.	சக்கரம்	சூட்கேஸின் சக்கரம் பழுதாகிவிட்டது.
4481:落地	落地	落地	ගොඩබසී; බිම ස්පර්ශ කරයි	ගුවන් යානය ආරක්ෂිතව ගොඩබැස්සේය.	தரையிறங்கு; தரையைத் தொடு	விமானம் பாதுகாப்பாக தரையிறங்கியது.
4487:埋	埋	埋	වළ දමයි	දරුවා මුහුදු කවචය වැලි තුළ වළ දැමුවේය.	புதை	குழந்தை சிப்பியை மணலில் புதைத்தது.
4492:盲人	盲人	盲人	අන්ධ පුද්ගලයා	මෙම මංසන්ධියේ අන්ධ පුද්ගලයන් සඳහා මංතීරුවක් ඇත.	பார்வையற்றவர்	இந்த சந்திப்பில் பார்வையற்றவர்களுக்கு நடைபாதை உள்ளது.
4493:冒	冒	冒	නිකුත් වේ; අවදානම ගනී	බඳුනෙන් උණු වාෂ්ප නිකුත් වෙමින් තිබේ.	எழு; அபாயத்தை ஏற்று	பானையில் இருந்து நீராவி எழுகிறது.
4496:煤	煤	煤	ගල් අඟුරු	මෙම කර්මාන්තශාලාව කලින් ගල් අඟුරු භාවිත කර විදුලිය නිපදවීය.	நிலக்கரி	இந்த தொழிற்சாலை முன்பு நிலக்கரியைப் பயன்படுத்தி மின்சாரம் உற்பத்தி செய்தது.
4497:梅花	梅花	梅花	ප්ලම් මල	ශීත කාලයේ ප්ලම් මල් ඉතා ලස්සනට පිපෙයි.	பிளம் மலர்	குளிர்காலத்தில் பிளம் மலர்கள் அழகாக மலர்கின்றன.
4502:密	密	密	ඝන; කිට්ටු	මෙම වනාන්තරය ඉතා ඝනය.	அடர்ந்த; நெருக்கமான	இந்த காடு மிகவும் அடர்ந்தது.
4505:密集	密集	密集	ඝනව එකතු වූ; සංකේන්ද්‍රිත	මෙහි ජනගහනය ඝනව එකතු වී ඇත.	அடர்த்தியான; நெருக்கமான	இங்குள்ள மக்கள் தொகை அடர்த்தியாக உள்ளது.
4506:棉	棉	棉	කපු	මෙම ඇඳුම කපු වලින් සාදා ඇත.	பருத்தி	இந்த ஆடை பருத்தியால் செய்யப்பட்டதாகும்.
4507:免	免	免	නිදහස් කරයි; වළක්වයි	දරුවන්ට ටිකට් ගාස්තුවෙන් නිදහස්ව ඇතුළු විය හැකිය.	விலக்கு; தவிர்	குழந்தைகள் கட்டணமின்றி நுழையலாம்.
4509:免税	免税	免税	බදු රහිත	ගුවන් තොටුපළේ බදු රහිත වෙළඳසැල් ඇත.	வரிவிலக்கு; வரியற்ற	விமான நிலையத்தில் வரிவிலக்கு கடைகள் உள்ளன.
4511:面部	面部	面部	මුහුණ ප්‍රදේශය	වෛද්‍යවරයා ඔහුගේ මුහුණේ තුවාලය පරීක්ෂා කළේය.	முகப்பகுதி	மருத்துவர் அவரது முகப்பகுதி காயத்தை பரிசோதித்தார்.
4512:面粉	面粉	面粉	පිටි	පාන් සෑදීමට මට පිටි මල්ලක් අවශ්‍යය.	மாவு	ரொட்டி செய்ய எனக்கு ஒரு மூட்டை மாவு தேவை.
4516:妙	妙	妙	අපූරු; දක්ෂ	මෙම ක්‍රමය ඇත්තෙන්ම අපූරුය.	அருமையான; புத்திசாலித்தனமான	இந்த வழி உண்மையில் அருமையானது.
4517:灭	灭	灭	නිවයි; අක්‍රිය වේ	සුළඟ ඉටිපන්දම නිවා දැමීය.	அணை; அணைந்து போ	காற்று மெழுகுவர்த்தியை அணைத்தது.
4518:民歌	民歌	民歌	ජන ගීතය	ඇය ජන ගීත බොහෝ ගායනා කළ හැකිය.	நாட்டுப்புறப் பாடல்	அவள் பல நாட்டுப்புறப் பாடல்கள் பாட முடியும்.
4520:民俗	民俗	民俗	ජන සිරිත්	මෙම ප්‍රදර්ශනය දේශීය ජන සිරිත් හඳුන්වා දෙයි.	நாட்டுப்புற வழக்கங்கள்	இந்த கண்காட்சி உள்ளூர் நாட்டுப்புற வழக்கங்களை அறிமுகப்படுத்துகிறது.
4521:民宿	民宿	民宿	ගෘහ ආගන්තුක නිවස; අමුත්තන්ගේ නිවස	සති අන්තයේ අපි කඳුකරයේ අමුත්තන්ගේ නිවසක නැවතුණෙමු.	வீட்டு விடுதி; விருந்தினர் இல்லம்	வார இறுதியில் நாங்கள் மலையில் உள்ள வீட்டு விடுதியில் தங்கினோம்.
4522:民众	民众	民众	ජනතාව; මහජනයා	ජනතාව නව ප්‍රතිපත්තිය ගැන ඉතා අවධානයෙන් සිටිති.	மக்கள்; பொதுமக்கள்	மக்கள் புதிய கொள்கையை பற்றி மிகவும் கவனம் செலுத்துகிறார்கள்.
4525:明亮	明亮	明亮	දීප්තිමත්	පන්ති කාමරය ඉතා දීප්තිමත්ය.	ஒளிமயமான; பிரகாசமான	வகுப்பறை மிகவும் பிரகாசமாக உள்ளது.
4527:名气	名气	名气	කීර්තිය; ප්‍රසිද්ධිය	මෙම ලේඛකයාට විශාල කීර්තියක් ඇත.	புகழ்; பெயர்	இந்த எழுத்தாளர் மிகவும் புகழ்பெற்றவர்.
4528:名胜	名胜	名胜	ප්‍රසිද්ධ දර්ශනීය ස්ථානය	බීජිංහි ප්‍රසිද්ධ දර්ශනීය ස්ථාන බොහෝ ඇත.	புகழ்பெற்ற சுற்றுலா இடம்	பெய்ஜிங்கில் பல புகழ்பெற்ற சுற்றுலா இடங்கள் உள்ளன.
4532:模拟	模拟	模拟	අනුකරණය කරයි	සිසුහු පන්තියේදී සම්මුඛ සාකච්ඡාවක් අනුකරණය කළහ.	உருவகப்படுத்து; போலிசெய்	மாணவர்கள் வகுப்பில் நேர்காணலை உருவகப்படுத்தினர்.
