simplified	JA	example_JA
冒充	なりすます	誰かが警察官になりすまして金をだまし取りました。
冒犯	失礼をする	私の言葉はあなたに失礼をするつもりではありませんでした。
茂盛	生い茂る	庭の木々はよく生い茂っています。
媒介	媒体	インターネットは重要な情報媒体です。
枚	枚	彼は記念硬貨を数枚収集しました。
美观	見た目がよい	このデザインは実用的で見た目もよいです。
美满	幸せな	彼らは幸せな生活を送っています。
美妙	すばらしい	コンサートはすばらしい体験をもたらしました。
萌芽	芽生える	新しい考えが芽生え始めました。
猛烈	猛烈な	嵐は非常に猛烈にやって来ました。
眯	目を細める	日差しが強すぎて、彼は目を細めました。
弥补	補う	謝罪だけでは損失を完全に補うことはできません。
弥漫	満ちる	花の香りが庭に満ちていました。
谜语	なぞなぞ	子どもたちはなぞなぞを当てるのが好きです。
迷惑	戸惑わせる	複雑なデータは彼を戸惑わせました。
迷人	魅力的な	海辺の夜景は非常に魅力的です。
迷信	迷信	科学教育は迷信を減らすことができます。
密度	密度	この金属は密度が高いです。
密封	密封する	開封後は袋を再び密封してください。
棉花	綿花	農民は綿花を摘んでいます。
免得	しないように	遅刻しないように早めに出かけてください。
免疫	免疫	このワクチンは免疫力を高められます。
勉励	励ます	先生はよく学生に学習を続けるよう励まします。
勉强	しぶしぶ	彼はしぶしぶこの手配に同意しました。
面貌	様子	都市の様子は大きく変わりました。
面子	面子	彼は人前で面子を失いたくありませんでした。
描绘	描く	小説は農村生活を描いています。
瞄准	狙う	射手は目標を狙いました。
渺小	ちっぽけな	人は大自然の前ではとても小さく見えます。
藐视	軽視する	私たちはどんな相手も軽視してはいけません。
灭亡	滅亡する	この王朝は最終的に滅亡へ向かいました。
蔑视	軽蔑	彼の口調には軽蔑が満ちていました。
民间	民間	民間芸術は保護が必要です。
民主	民主	会議は民主的な投票方式を採用しました。
敏捷	敏捷な	その選手の動きは非常に敏捷です。
敏锐	鋭い	記者には鋭い観察力が必要です。
名次	順位	彼女は試合で良い順位を取りました。
名额	定員	このプロジェクトの定員は十人だけです。
名副其实	名実ともに	彼は名実ともに専門家です。
名誉	名誉	この件は会社の名誉を損ないました。
明明	明らかに	彼は明らかに答えを知っているのに、言おうとしません。
明智	賢明な	決定を延期するのは賢明な選択です。
命名	命名する	科学者は新しい種に名前を付けました。
摸索	模索する	チームはまだ新しい方法を模索しています。
摩擦	摩擦	二国間に貿易摩擦が生じました。
模范	模範	彼は全校生徒の模範です。
模式	モデル	このビジネスモデルはとても成功しています。
模型	模型	技師は橋の模型を作りました。
磨合	なじむ	新しいチームにはなじむ時間が必要です。
膜	膜	この膜は不純物をろ過できます。
魔鬼	悪魔	物語の中の悪魔はとてもずる賢いです。
魔术	手品	子どもたちは手品を見るのが好きです。
抹杀	抹消する	彼の貢献を抹消することはできません。
墨水儿	インク	ペンの中のインクはもうすぐなくなります。
莫名其妙	わけが分からない	彼の反応は人をわけが分からなくさせました。
默默	黙って	彼女は黙って多くの人を助けました。
谋求	求める	企業は新しい発展の機会を求めています。
模样	様子	彼の今の様子は大きく変わりました。
母语	母語	子どもは幼いころから母語を学びます。
沐浴	浴びる	朝の村は日光を浴びていました。
目睹	目撃する	多くの人がこの事故を目撃しました。
目光	視線	皆の視線は舞台に集中していました。
拿手	得意な	魚の醤油煮は彼の得意料理です。
纳闷儿	不思議に思う	私は彼がなぜ遅刻したのかずっと不思議に思っていました。
耐用	丈夫な	この靴はとても丈夫です。
南辕北辙	目的と逆のことをする	彼のやり方は目標とまったく逆です。
难得	貴重な	これは貴重な機会です。
难堪	気まずい	この質問は彼をとても気まずくさせました。
难能可贵	貴重で称賛に値する	圧力の下で正直でいることは貴重で称賛に値します。
恼火	腹を立てる	設備がまた壊れて、彼はとても腹を立てました。
内涵	内涵	この言葉には豊かな文化的内涵があります。
内幕	内幕	記者は事件の内幕を調査しようとしました。
内在	内面的な	彼は人の内面的な品質をより重視します。
能量	エネルギー	この朝食は私に多くのエネルギーを与えます。
拟定	作成する	秘書は会議日程を作成しています。
逆行	逆走する	その車は一方通行の道を逆走していました。
年度	年度	会社は年度報告を公表しました。
捏	つまむ	彼女は子どもの頬を軽くつまみました。
凝固	固まる	冷却後、ろうはゆっくり固まります。
凝聚	結集する	共通の目標はチームの力を結集できます。
凝视	見つめる	彼は遠くの灯りを見つめていました。
拧	つねる	彼は手で私を一度つねりました。
宁肯	むしろ	彼女は原則を捨てるくらいなら、むしろ失敗を選びます。
宁愿	むしろ	私はバスを待つより、むしろ歩きたいです。
扭转	逆転する	新しい政策は赤字の局面を逆転させました。
纽扣儿	ボタン	このシャツはボタンが一つ取れました。
农历	旧暦	春節は旧暦の日付で祝われます。
浓厚	強い	彼は歴史に強い興味を持っています。
奴隶	奴隷	古代社会には奴隷制度が存在しました。
挪	動かす	椅子を少し横へ動かしてください。
虐待	虐待する	法律は子どもの虐待を禁じています。
哦	ああ	ああ、私はやっと分かりました。
殴打	殴る	警察は通行人を殴った人を逮捕しました。
偶像	偶像	彼女はその作家を偶像と見なしています。
呕吐	嘔吐する	彼は悪いものを食べた後、嘔吐し始めました。
趴	腹ばいになる	子猫は窓台で腹ばいになって眠っていました。
徘徊	うろうろする	彼は入口で長い間うろうろしていました。
排斥	排斥する	新素材は水分を排斥します。
排除	除外する	医者はまず深刻な病気を除外しました。
排放	排出	工場は排気ガスの排出を減らさなければなりません。
排练	リハーサルする	俳優たちは新しい演目をリハーサルしています。
派别	派閥	この組織の内部には異なる派閥があります。
派遣	派遣する	会社は技術者を現場へ派遣しました。
攀登	登る	彼らは明日雪山に登る予定です。
盘旋	旋回する	飛行機は空港上空を旋回していました。
判决	判決	裁判所は今日判決を言い渡しました。
畔	ほとり	子どもたちは湖のほとりを散歩しました。
庞大	膨大な	このプロジェクトには膨大な資金が必要です。
抛弃	捨てる	彼は自分の夢を捨てたくありません。
泡沫	泡	コップの中には白い泡がたくさんあります。
培育	育てる	学校は学生の責任感を育てるよう努めています。
配备	備える	新車には安全システムが備えられています。
配偶	配偶者	申請書には配偶者情報を記入する必要があります。
配套	付帯の	地域には完全な付帯施設があります。
盆地	盆地	この盆地は夏に非常に暑くなります。
烹饪	料理	料理には忍耐と経験が必要です。
捧	両手で持つ	彼女は両手で花束を持っていました。
劈	割る	作業員は斧で薪を割りました。
批发	卸売する	この店は主に果物を卸売しています。
批判	批判する	文章はこの誤った見方を批判しました。
疲惫	疲れ切った	長旅の後、皆は疲れ切っていました。
疲倦	疲れる	連続した仕事で彼は疲れを感じました。
皮革	革	このバッグは革でできています。
屁股	お尻	子どもは転んだ後、お尻がとても痛くなりました。
譬如	例えば	例えば、まず小さなテストをすることができます。
偏差	偏差	実験結果には明らかな偏差があります。
偏见	偏見	私たちは民族的偏見を避けるべきです。
偏僻	辺ぴな	この村の場所はとても辺ぴです。
偏偏	あいにく	私が焦るほど、車はあいにくますます遅くなりました。
片断	断片	映画にはいくつかのすばらしい断片があります。
片刻	少しの間	ここで少しの間私を待ってください。
漂浮	浮かぶ	落ち葉が水面に浮かんでいました。
飘扬	はためく	国旗が風の中ではためいています。
撇	放っておく	彼は古い計画を脇に放っておきました。
拼搏	奮闘する	若者は理想のために奮闘すべきです。
拼命	必死に	彼は前の隊列を必死に追いかけました。
贫乏	乏しい	この文章は内容が比較的乏しいです。
贫困	貧困	政府は貧困家庭を支援しています。
频繁	頻繁な	最近ここでは交通事故が頻繁です。
频率	周波数	この音の周波数は高いです。
品尝	味わう	客は地元の美食を味わっています。
品德	品徳	学校は学生の品徳教育を重視しています。
品质	品質	この会社の製品品質は安定しています。
品种	品種	市場には果物の品種がたくさんあります。
屏幕	画面	画面の明るさを下げてください。
屏障	障壁	森林は防風の重要な障壁です。
平凡	平凡な	彼は平凡な職場で何年も働きました。
平面	平面	設計者は家の平面図を描きました。
平坦	平坦な	この道は非常に平坦です。
平行	平行	この二本の線は互いに平行です。
平庸	平凡な	彼は平凡な生活に甘んじていません。
平原	平原	列車は広大な平原を通り抜けました。
评估	評価する	専門家はプロジェクトのリスクを評価しています。
评论	コメントする	読者は記事の下にコメントできます。
坡	坂	車はゆっくり坂を上りました。
泼	こぼす	水を床にこぼさないでください。
颇	かなり	この結果はかなり意外です。
破例	例外を作る	マネージャーは彼のために例外を作って申請を承認しました。
迫不及待	待ちきれない	子どもたちは待ちきれずに贈り物を開けました。
迫害	迫害する	歴史上、多くの人が迫害を受けました。
魄力	決断力	指導者には決断力が必要です。
扑	飛び込む	子どもは急に母親の胸に飛び込みました。
铺	敷く	作業員は新しいカーペットを敷いています。
普及	普及する	インターネットは都市で既に普及しています。
朴实	素朴な	彼の言葉は素朴で誠実です。
朴素	質素な	彼女は質素な生活方式が好きです。
瀑布	滝	観光客は滝のそばで写真を撮りました。
凄凉	もの寂しい	冬の山村はとてももの寂しく見えました。
期望	期待	両親は子どもに高い期待を寄せています。
期限	期限	申し込み期限は今週金曜日です。
欺负	いじめる	年上の子どもは小さな子どもをいじめるべきではありません。
欺骗	だます	虚偽広告は消費者をだましました。
奇妙	奇妙な	自然には多くの奇妙な現象があります。
旗袍	チャイナドレス	彼女は赤いチャイナドレスを着て夜会に参加しました。
旗帜	旗	広場には鮮やかな旗がはためいていました。
歧视	差別する	法律はいかなる形の差別も禁じています。
齐全	そろっている	この店の工具はとてもそろっています。
齐心协力	力を合わせる	皆は力を合わせて任務を完成しました。
乞丐	乞食	道端に一人の老いた乞食が座っていました。
企图	企てる	彼は真実の状況を隠そうと企てました。
启程	出発する	代表団は明日の早朝に出発します。
启蒙	啓蒙する	この本は子どもの初歩的な読書に適しています。
启事	掲示	学校の門に求人の掲示が貼ってありました。
启示	示唆	今回の失敗は私たちに重要な示唆を与えました。
岂有此理	とんでもない	このような料金は本当にとんでもありません。
起草	起草する	弁護士は契約書を起草しています。
起初	最初は	最初は、彼はその知らせを信じませんでした。
起伏	起伏する	山道は地形に沿って起伏しています。
起哄	騒ぎ立てる	学生たちは授業中に騒ぎ立ててはいけません。
起码	少なくとも	あなたは少なくとも事前に私に知らせるべきです。
起源	起源	この祭りは古代に起源があります。
器材	器材	実験室には新しい教学器材が必要です。
器官	器官	心臓は人体の重要な器官です。
气概	気概	この詩は英雄の気概を表しています。
气功	気功	祖父は毎朝気功を練習しています。
气魄	迫力	この大橋にはとても迫力があります。
气色	顔色	休んだ後、彼の顔色はずっと良くなりました。
气势	勢い	チームは開始直後から勢いが強かったです。
气味	におい	台所には焼いたパンのにおいがありました。
气象	気象	ここの高原の気象は変化が速いです。
气压	気圧	気圧の低下は雨をもたらす可能性があります。
气质	気質	彼女には静かな気質があります。
迄今为止	これまでのところ	これまでのところ、実験は順調に進んでいます。
掐	摘む	彼女は小さな花を一輪摘みました。
恰当	適切な	あなたの答えはとても適切です。
恰到好处	ちょうどよい	この料理の甘さはちょうどよいです。
恰巧	ちょうど	私が駅に着いた時、ちょうど雨が降りました。
洽谈	協議する	双方は協力の詳細を協議しています。
千方百计	あらゆる方法で	彼らはあらゆる方法で解決策を探しました。
牵	手を引く	母親は子どもの手を引いて道路を渡りました。
牵扯	関わる	この件は多くの部門に関わっています。
牵制	牽制する	相手の守備が攻撃を牽制しました。
签署	署名する	二つの会社は協定に署名しました。
谦逊	謙虚な	彼は成功した後も依然として謙虚でした。
迁就	合わせる	親はいつも子どもに合わせることはできません。
迁徙	移動する	渡り鳥は毎年季節に合わせて移動します。
前景	見通し	この業界の見通しはとても良いです。
前提	前提	信頼は協力の前提です。
潜力	潜在力	この学生には大きな潜在力があります。
潜水	潜水する	彼らは海辺へ潜水を習いに行きました。
潜移默化	知らず知らずに影響する	家庭環境は子どもに知らず知らずに影響します。
谴责	非難する	国際社会は暴力行為を非難しました。
抢劫	強盗する	警察は銀行を強盗した容疑者を捕まえました。
强制	強制する	新しい規則は運転手にシートベルト着用を強制します。
强迫	強制する	子どもに嫌いなことを強制してはいけません。
抢救	救助する	医師は負傷した作業員を救助しています。
桥梁	橋	言語は文化交流の橋です。
窍门	こつ	発音を学ぶにはいくつかのこつがあります。
翘	上げる	彼は片足を椅子の上に上げました。
切实	実行可能な	私たちには実行可能な計画が必要です。
锲而不舍	粘り強く続ける	彼は粘り強くこの問題を研究しました。
亲密	親密な	彼らはずっと親密な関係を保っています。
亲热	親しげな	老人は親しげに客を迎えました。
侵犯	侵害する	この行為は個人のプライバシーを侵害しました。
侵略	侵略	人々はいかなる形の侵略にも反対します。
钦佩	敬服する	私は彼女の勇気にとても敬服しています。
勤俭	勤勉で倹約な	祖母は一生勤勉で倹約に家を切り盛りしました。
勤劳	勤勉な	勤勉な人はいつも機会を作り出せます。
倾听	耳を傾ける	先生は学生の意見に真剣に耳を傾けました。
倾向	傾向	若い消費者はネットショッピングをする傾向があります。
倾斜	傾く	大雨の後、壁が傾き始めました。
清澈	澄んだ	山の渓流はとても澄んでいます。
清晨	早朝	早朝の空気は特に新鮮です。
清除	取り除く	作業員は道路上の積雪を取り除きました。
清洁	清潔な	病院は環境を清潔に保たなければなりません。
清理	片付ける	週末に私たちは倉庫を片付けました。
清晰	はっきりした	この写真はとてもはっきりしています。
清醒	はっきりする	コーヒーを飲んだ後、彼はかなりはっきりしました。
清真	ハラールの	近くにハラールのレストランがあります。
情报	情報	記者は重要な情報を得ました。
情节	筋	小説の筋はとても緊迫しています。
情理	道理	彼の要求は道理に合いません。
情形	状況	現場の状況は想像より複雑でした。
晴朗	晴れた	今日の空は格別に晴れています。
请柬	招待状	彼らは親戚や友人に結婚式の招待状を送りました。
请教	教えを請う	私はあなたに一つ質問して教えを請いたいです。
请示	指示を仰ぐ	この件は先に上司に指示を仰ぐ必要があります。
请帖	招待状	机の上に誕生日の招待状が一枚置いてありました。
丘陵	丘陵	この地域には丘陵が多いです。
区分	区別する	子どもはすでに左右を区別できます。
区域	区域	この区域は駐車禁止です。
屈服	屈服する	彼は圧力に屈服しませんでした。
曲折	曲折した	彼らは曲折した交渉を経験しました。
驱逐	追い払う	警察は騒ぎを起こした人を追い払いました。
渠道	ルート	会社は新しいルートを通じて製品を販売しています。
取缔	取り締まる	政府は違法市場を取り締まりました。
曲子	曲	この曲は旋律がとても美しいです。
趣味	面白み	このゲームはとても面白みがあります。
圈套	わな	彼は危うく詐欺師のわなにはまるところでした。
全局	全体	指導者は全体の利益を考えなければなりません。
全力以赴	全力を尽くす	私たちは全力を尽くして任務を完成します。
拳头	拳	彼は拳を握りしめて試合に備えました。
权衡	比較検討する	私たちはコストと効果を比較検討する必要があります。
权威	権威	この教授はその分野の権威です。
犬	犬	この種類の犬は留守番に適しています。
缺口	欠けた部分	壁に小さな欠けた部分があります。
缺席	欠席する	彼は病気のため会議を欠席しました。
缺陷	欠陥	この設計には明らかな欠陥があります。
瘸	足が不自由な	彼の左足は少し不自由です。
确保	確保する	ドアがすでに施錠されていることを確保してください。
确立	確立する	会社は新しい発展目標を確立しました。
确切	正確な	私は正確な時間を知りません。
确信	確信する	私は彼が時間どおりに到着すると確信しています。
群众	大衆	大衆は新しい政策を支持しています。
染	染める	彼女は髪を黒く染めました。
嚷	叫ぶ	廊下で大声で叫ばないでください。
让步	譲歩する	双方はいくつか譲歩しました。
饶恕	許す	彼女は最終的に相手を許すことを選びました。
扰乱	乱す	騒音が授業の秩序を乱しました。
惹祸	災いを招く	不用意な冗談は災いを招きやすいです。
热泪盈眶	感動で涙があふれる	良い知らせを聞いて、彼女は感動で涙があふれました。
热门	人気の	人工知能は人気の話題です。
人道	人道	救援活動は人道精神を示しました。
人格	人格	他人を侮辱すると人格の尊厳を傷つけます。
人工	人工の	この川は人工的に掘られました。
人家	他人	いつも自分を他人と比べないでください。
人间	人の世	春は人の世を活気で満たします。
人士	人々	各界の人々が座談会に参加しました。
人为	人為的な	今回の事故は人為的な原因で起こりました。
人性	人間性	この映画は人間性を論じています。
人质	人質	警察は人質を無事に救出しました。
仁慈	慈悲深い	この医師は患者にとても慈悲深いです。
忍耐	忍耐	長い列に並ぶには少し忍耐が必要です。
忍受	耐える	私はここの騒音に耐えられません。
任命	任命する	取締役会は彼女をマネージャーに任命しました。
任性	わがままな	子どもがあまりにわがままだと成長に影響します。
任意	任意に	データを任意に変更しないでください。
任重道远	責任が重く道のりが長い	教育改革は責任が重く道のりが長いです。
认定	認定する	警察はこれを事故だと認定しました。
认可	認める	彼の案は皆に認められました。
仍旧	依然として	何年も後、彼は依然としてここに住んでいました。
日新月异	日進月歩	科学技術の発展は日進月歩です。
日益	日増しに	環境問題は日増しに深刻になっています。
容貌	容貌	年月は彼の容貌を変えました。
容纳	収容する	このホールは五百人を収容できます。
容器	容器	液体をガラス容器に注いでください。
容忍	容認する	会社は詐欺行為を容認できません。
溶解	溶ける	塩は水の中で溶けます。
荣幸	光栄な	会議に参加できて私はとても光栄です。
荣誉	名誉	このメダルは最高の名誉を表します。
融化	溶ける	日光で氷雪がゆっくり溶けました。
融洽	和やかな	同僚同士の関係はとても和やかです。
揉	揉む	母は私の肩をそっと揉みました。
柔和	柔らかな	照明は柔らかく、まぶしくありません。
儒家	儒家	儒家思想は東アジア文化に影響しました。
弱点	弱点	不注意は彼の主な弱点です。
若干	いくつかの	会議はいくつかの提案を出しました。
撒谎	嘘をつく	子どもは嘘をつくべきではありません。
散文	散文	彼女は現代散文を読むのが好きです。
散布	広める	ネット上で誰かがうわさを広めました。
散发	放つ	庭にはすがすがしい香りが漂っています。
丧失	失う	彼は自信を失いませんでした。
骚扰	嫌がらせをする	他の乗客に嫌がらせをしないでください。
嫂子	兄嫁	兄嫁の作ったご飯はとてもおいしいです。
刹车	ブレーキをかける	運転手は突然ブレーキをかけました。
啥	何	あなたはさっき何と言いましたか。
筛选	選別する	システムは履歴書を自動で選別します。
山脉	山脈	この山脈はとても長いです。
闪烁	きらめく	遠くの灯りが絶えずきらめいていました。
擅长	得意である	彼は複雑な問題を処理するのが得意です。
擅自	勝手に	従業員は勝手に持ち場を離れてはいけません。
伤脑筋	頭を悩ませる	この問題は本当に頭を悩ませます。
商标	商標	会社は新しい商標を登録しました。
上级	上司	彼は状況を上司に報告しました。
上进	向上心がある	彼女はずっと向上心があります。
上任	就任する	新しいマネージャーは来週就任します。
上瘾	依存する	多くの人がショート動画に依存しています。
上游	上流	汚染は川の上流から来ています。
尚且	でさえ	大人でさえ間違いを犯します。
捎	ことづける	私のために伝言をことづけてください。
梢	こずえ	鳥が木のこずえに止まりました。
哨	見張り	門の前に一人の見張り兵がいます。
奢侈	ぜいたくな	このような消費はあまりにぜいたくです。
舌头	舌	彼は舌をやけどしました。
摄氏度	摂氏度	今日の気温は摂氏三十度です。
涉及	関わる	報告は複数の部門に関わっています。
社区	コミュニティ	コミュニティは健康講座を開催しました。
设立	設立する	学校は奨学金を設立しました。
设想	構想	この構想はまだ議論が必要です。
设置	設定する	パスワードを再設定してください。
呻吟	うめく	患者は小さな声でうめきました。
深奥	奥深い	この本の内容はとても奥深いです。
深沉	低く深い	彼の声は低く深かったです。
深情厚谊	深い友情	両国の人々は深い友情を結びました。
申报	申告する	旅行者は物品を正直に申告する必要があります。
绅士	紳士	彼の振る舞いは紳士のようです。
神经	神経	ストレスは神経系に影響します。
神奇	不思議な	ここの景色はとても不思議です。
神气	意気揚々とした	彼は今日とても意気揚々として見えました。
神圣	神聖な	これは神聖な職責です。
神态	表情	彼女の表情はとても落ち着いていました。
神仙	仙人	伝説では山の中に仙人が住んでいます。
审查	審査する	プラットフォームは公開内容を審査します。
审理	審理する	裁判所はこの事件を審理しています。
审美	審美眼	彼の審美眼はとても独特です。
审判	裁判	公開裁判はメディアの注目を集めました。
慎重	慎重な	この決定は慎重に行わなければなりません。
渗透	染み込む	雨水がゆっくり土壌に染み込みました。
声明	声明	会社は正式な声明を発表しました。
声势	勢い	今回の宣伝活動は勢いがとても大きいです。
声誉	評判	製品の品質はブランドの評判に影響します。
牲畜	家畜	牧民は家畜を牧草地へ追い戻しました。
生存	生存する	野生動物には生存空間が必要です。
生机	生気	春の雨は大地を生気で満たします。
生理	生理	睡眠は人の生理状態に影響します。
生疏	不慣れな	何年も練習していないので、彼のピアノは少し不慣れです。
生态	生態	森林保護は生態の均衡に関係しています。
生物	生物	海には多くの珍しい生物がいます。
生效	発効する	新しい規定は明日正式に発効します。
生肖	干支	あなたの干支は何ですか。
生锈	錆びる	自転車のチェーンはもう錆びています。
生育	出産	病院は出産相談サービスを提供しています。
省会	省都	成都は古くから四川省の省都です。
盛产	豊富に産する	ここは良質なお茶を豊富に産します。
盛开	満開になる	公園の桜が今満開です。
盛情	厚意	私たちは主人の温かいもてなしに感謝します。
盛行	流行する	このスタイルは一時とても流行しました。
胜负	勝敗	試合の最後の一分が勝敗を決めました。
失事	事故を起こす	飛行機事故の原因はまだ調査中です。
失误	ミス	一つの小さなミスがプロジェクトの延期につながりました。
失踪	行方不明になる	警察は行方不明の子どもを探しています。
尸体	遺体	救助隊は犠牲者の遺体を発見しました。
师范	師範	彼女は師範大学を卒業しました。
施加	加える	親は過度な圧力を加えるべきではありません。
施展	発揮する	彼はついに才能を発揮する機会を得ました。
十足	十分な	彼は結果に十分な自信を持っています。
实惠	手頃な	この店の価格はとても手頃です。
实力	実力	チーム全体の実力はとても強いです。
实施	実施する	政府は新しい案を実施し始めました。
实事求是	事実に基づいて考える	研究をするには事実に基づいて考えるべきです。
实行	実行する	会社はフレックスタイム制を実行しています。
实质	本質	問題の本質は変わっていません。
拾	拾う	彼は腰をかがめて地面の鍵を拾いました。
时常	しばしば	祖父はしばしば若い頃のことを話します。
时而	時には	天気は時には晴れ、時には曇ります。
时光	時間	楽しい時間はいつも短く感じます。
时机	時機	今は交渉に良い時機ではありません。
时事	時事	学生は毎週国際時事について話し合います。
石油	石油	石油価格が再び上昇しました。
识别	識別する	システムは異なる顔を識別できます。
使命	使命	環境を守ることは共通の使命です。
世代	世代	この技術は家族の中で世代を超えて伝えられてきました。
事故	事故	この事故では死傷者は出ませんでした。
事迹	事績	彼の英雄的な事績は広く伝わりました。
事件	事件	今回の事件は社会の関心を引きました。
事态	事態	政府は事態の進展を制御しています。
事务	事務	彼女は会社の日常事務を担当しています。
事项	事項	契約の重要事項を確認してください。
事业	事業	彼は教育を生涯の事業としています。
势必	必ず	コストの上昇は必ず価格に影響します。
势力	勢力	地元の商業勢力はとても強いです。
是非	もめごと	彼は職場のもめごとに巻き込まれたくありません。
示范	実演する	先生はまず一度実演しました。
示威	デモ	市中心部で平和的なデモが行われました。
示意	合図する	マネージャーは皆に静かにするよう合図しました。
视力	視力	長時間画面を見ると視力に影響します。
视频	動画	その動画を私に送ってください。
视线	視線	濃霧が運転手の視線を遮りました。
视野	視野	旅行は視野を広げることができます。
试图	試みる	彼は自分の決定を説明しようと試みました。
试验	試験	科学者は何度も試験を行いました。
适宜	適した	ここの気候は居住に適しています。
逝世	亡くなる	この作家は昨年亡くなりました。
释放	釈放する	裁判所は被告を釈放することを決定しました。
收藏	収集する	彼は多くの古い切手を収集しました。
收缩	収縮する	冷たい空気は金属を収縮させます。
收益	収益	投資収益は予想より高かったです。
收音机	ラジオ	祖母は毎日ラジオを聞きます。
守护	守る	医師は患者の命を守っています。
手法	手法	監督の撮影手法はとても独特です。
手势	ジェスチャー	彼はジェスチャーで同意を示しました。
手艺	腕前	この職人の腕前はとても良いです。
首饰	アクセサリー	彼女は簡素な銀のアクセサリーを身につけていました。
首要	最重要の	安全は最重要の任務です。
受罪	苦しむ	患者は手術後にとても苦しみました。
授予	授与する	学校は彼に名誉学位を授与しました。
书法	書道	彼は子どもの頃から書道を練習しています。
书记	書記	村の書記が会議を主宰しました。
书籍	書籍	図書館は大量の書籍を所蔵しています。
书面	書面	書面の証明を提出してください。
疏忽	不注意	今回のミスは仕事上の不注意から生じました。
疏远	疎遠になる	誤解によって二人は次第に疎遠になりました。
舒畅	すがすがしい	散歩の後、気分がとてもすがすがしくなりました。
数额	金額	賠償金額はまだ決まっていません。
束	束	彼女は花束を一束買いました。
束缚	縛る	伝統的な考えが彼の選択を縛りました。
树立	打ち立てる	会社は良いイメージを打ち立てる必要があります。
竖	立てる	看板を立ててください。
耍	いじる	勤務時間中に携帯電話をいじらないでください。
衰老	老化する	運動は老化を遅らせることができます。
衰退	衰退する	経済の衰退は雇用に影響しました。
率领	率いる	隊長は隊伍を率いて前進しました。
涮火锅	火鍋を食べる	冬には皆が火鍋を食べるのが好きです。
双胞胎	双子	彼らは一組の双子です。
爽快	さっぱりした	彼女はとてもさっぱりと答えました。
水利	水利	この地域は水利建設を重視しています。
水龙头	蛇口	台所の蛇口から水が漏れています。
水泥	セメント	作業員はセメントを工事現場へ運びました。
瞬间	瞬間	明かりは一瞬ですべて消えました。
司法	司法	司法の独立には制度的な保障が必要です。
司令	司令官	司令官は撤退命令を出しました。
思念	恋しく思う	彼女はよく故郷を恋しく思います。
思索	思索する	彼はうつむいて長い間思索しました。
思维	思考	この訓練は論理的思考を高められます。
斯文	上品な	彼の話し方はとても上品です。
私自	無断で	学生は無断で学校を離れてはいけません。
死亡	死亡	事故で複数の人が死亡しました。
四肢	四肢	運動前には四肢を動かす必要があります。
寺庙	寺院	山の上に古い寺院があります。
肆无忌惮	やりたい放題に	彼はやりたい放題に規則を破りました。
饲养	飼育する	農場は多くの乳牛を飼育しています。
耸	すくめる	彼は聞き終えると肩をすくめただけでした。
艘	隻	港には三隻の貨物船が停泊しています。
苏醒	意識を取り戻す	患者はついに意識を取り戻しました。
俗话	ことわざ	ことわざに、習うより慣れよと言います。
塑造	形作る	環境は人の性格を形作ります。
素食	菜食	このレストランは菜食を提供しています。
素质	資質	サービススタッフの資質はとても高いです。
诉讼	訴訟	双方は訴訟で解決することに決めました。
算数	有効である	あなたが言ったことは有効でなければなりません。
随即	すぐに	会議が終わった後、彼はすぐに去りました。
随意	勝手に	設定を勝手に変更しないでください。
岁月	歳月	歳月は彼の容貌を変えました。
隧道	トンネル	列車は長いトンネルを通り抜けました。
损坏	損傷する	大雨が道路を損傷しました。
索取	請求する	顧客は無料でサンプルを請求できます。
索性	いっそ	雨がひどいので、私たちはいっそ外出しませんでした。
塌	崩れる	古い家の屋根が崩れました。
踏实	安心した	任務を終えた後、私は心がとても安心しました。
塔	塔	市の中心に高い塔があります。
台风	台風	台風は明日上陸する見込みです。
太空	宇宙	人類はずっと宇宙を探索してきました。
泰斗	大家	彼は言語学界の大家です。
摊	屋台	彼女は市場で果物の屋台を出しました。
瘫痪	麻痺	交通事故で彼の下肢は麻痺しました。
贪婪	貪欲な	貪欲さは人を破滅させることがあります。
贪污	汚職	官員は汚職のため調査されました。
弹性	弾力	この材料はとても弾力があります。
坦白	白状する	彼はついに真相を白状しました。
叹气	ため息をつく	結果を聞いて、彼は思わずため息をつきました。
探测	探知する	設備は地下水を探知できます。
探索	探求する	科学者は宇宙を探求し続けています。
探讨	検討する	専門家は改革案を検討しました。
探望	見舞う	週末に私は病院へ友人を見舞いに行きました。
倘若	もし	もし雨が降れば、活動は延期されます。
掏	取り出す	彼はポケットから鍵を取り出しました。
滔滔不绝	とうとうと話す	彼は歴史の話になるととうとうと話します。
淘汰	淘汰する	このチームは早めに淘汰されました。
陶瓷	陶磁器	景徳鎮は陶磁器で有名です。
陶醉	酔いしれる	観客は音楽に酔いしれました。
讨好	機嫌を取る	彼はわざと上司の機嫌を取ることを望みません。
特长	得意分野	絵を描くことは彼女の得意分野です。
特定	特定の	特定の時間内に申請を提出してください。
特意	わざわざ	私はわざわざあなたにお礼を言いに来ました。
提拔	抜てきする	会社は彼女を部門主管に抜てきしました。
提炼	精錬する	工場は鉱石から金属を精錬します。
提示	提示する	システムはパスワード入力を提示します。
提议	提案する	彼女は明日引き続き討論することを提案しました。
题材	題材	この映画の題材は新鮮です。
体裁	ジャンル	小説と詩は異なるジャンルです。
体积	体積	この箱は体積が大きいです。
