simplified	NL	example_NL
将就	zich behelpen	De omstandigheden zijn slecht, dus we kunnen ons alleen maar behelpen
奖励	belonen	De school beloonde uitstekende studenten
奖赏	de beloning	De koning gaf de krijger een royale beloning
桨	de roeispaan	De bootsman roeide de boot met een roeispaan naar de oever
降临	neerdalen	De nacht daalde geleidelijk neer over de stad
交叉	kruisen	De twee wegen kruisen elkaar hier
交代	duidelijk uitleggen	Leg de taak alstublieft duidelijk uit
交涉	onderhandelen	Beide partijen onderhandelen over de schadevergoeding
交易	de transactie	Deze transactie is al afgerond
娇气	te gevoelig	Wees niet te gevoelig, het weer is niet koud
焦点	het middelpunt	Werkgelegenheid werd het middelpunt van de discussie
焦急	bezorgd	De moeder wachtte bezorgd tot haar kind terugkwam
侥幸	door geluk	Hij ontsnapte door geluk aan de ramp
搅拌	roeren	Roer het beslag alstublieft gelijkmatig
缴纳	betalen	Bewoners moeten de waterrekening op tijd betalen
角落	de hoek	De kat verstopte zich in de hoek van de kamer
教养	de opvoeding	Goede opvoeding blijkt uit details
较量	de strijd	De twee sterke teams gaan binnenkort de strijd aan
接连	achter elkaar	Hij ontving drie e-mails achter elkaar
揭露	onthullen	De journalist onthulde een voedselveiligheidsprobleem
皆	allemaal	Deze regels zijn bij iedereen bekend
阶层	de sociale laag	Verschillende sociale lagen hebben verschillende behoeften
截止	sluiten	De inschrijving sluit morgenmiddag
截至	tot en met	Tot en met vandaag hebben tweehonderd mensen zich ingeschreven
杰出	uitmuntend	Zij is een uitmuntende wetenschapper
竭尽全力	zijn uiterste best doen	Wij zullen ons uiterste best doen om de taak af te ronden
结晶	de vrucht	Dit resultaat is de vrucht van jarenlange inspanning
结局	het einde	Het einde van het verhaal was onverwacht
结算	afrekenen	De klant vroeg om de kosten aan het eind van de maand af te rekenen
节制	matiging betrachten	Met eten en drinken moet je matiging betrachten
节奏	het ritme	Het ritme van dit lied is snel
解除	opheffen	Het bedrijf hief het veiligheidsalarm op
解放	bevrijden	De hervorming bevrijdde de productiekrachten
解雇	ontslaan	De baas besloot die werknemer te ontslaan
解剖	de ontleding	Medische studenten bestuderen ontleding
解散	uiteengaan	Na afloop van de vergadering ging de groep uiteen
解体	uiteenvallen	Die alliantie viel uiteindelijk uiteen
借鉴	leren van	We kunnen leren van buitenlandse ervaring
借助	met behulp van	Hij vond de route met behulp van de kaart
戒备	op zijn hoede zijn	Het grensgebied blijft in hoge staat van paraatheid
界限	de grens	Werk en leven hebben duidelijke grenzen nodig
津津有味	met veel belangstelling	De kinderen luisterden met veel belangstelling naar het verhaal
金融	de financiele sector	De financiele markt schommelde vandaag sterk
紧迫	dringend	De tijd is dringend, we moeten meteen handelen
锦上添花	de kers op de taart	Dit cadeau was echt de kers op de taart
晋升	promoveren	Hij werd vorig jaar gepromoveerd tot afdelingsmanager
浸泡	weken	De bonen moeten een nacht weken
近来	de laatste tijd	Het weer is de laatste tijd sterk veranderd
进而	vervolgens	Begrijp eerst de behoeften en stel vervolgens een plan op
进攻	de aanval	Het team versterkte de aanval in de tweede helft
进化	evolueren	Organismen evolueren met hun omgeving
进展	vorderen	Het project vordert momenteel soepel
兢兢业业	gewetensvol	Hij werkte dertig jaar gewetensvol
惊动	opschrikken	Het harde geluid schrikte de omwonenden op
惊奇	verbaasd	De kinderen keken verbaasd naar de goochelvoorstelling
惊讶	verrassen	Zijn antwoord verraste mij
精打细算	zuinig plannen	Zij plant het huishouden altijd zuinig en zorgvuldig
精华	de essentie	Dit artikel vat de essentie van de theorie samen
精简	stroomlijnen	Het bedrijf besloot het management te stroomlijnen
精密	nauwkeurig	Dit instrument is zeer nauwkeurig
精确	exact	De gegevens moeten exact zijn tot twee cijfers achter de komma
精通	beheersen	Hij beheerst drie vreemde talen
精心	zorgvuldig	Moeder bereidde het avondeten zorgvuldig voor
精益求精	blijven verbeteren	Uitstekende vakmensen blijven altijd verbeteren
精致	fijn afgewerkt	Dit cadeau is heel fijn afgewerkt verpakt
经费	de financiering	De onderzoeksfinanciering is al goedgekeurd
经纬	lengte- en breedtegraden	Op de kaart staan lengte- en breedtegraden aangegeven
茎	de stengel	De stengel van de plant ondersteunt de bladeren
井	de put	Bij de dorpsingang staat een oude put
警告	waarschuwen	De docent waarschuwde de studenten niet te spieken
警惕	alert zijn	We moeten alert zijn op online fraude
颈椎	de nekwervels	Lang naar beneden kijken kan de nekwervels beschadigen
境界	het niveau	Zijn schilderkunst bereikte een nieuw niveau
敬礼	salueren	De soldaat salueerde voor de nationale vlag
敬业	toegewijd zijn aan het werk	Zij werkt serieus en is erg toegewijd aan haar werk
竞赛	de wedstrijd	De school organiseerde een wiskundewedstrijd
竞选	zich verkiesbaar stellen	Hij bereidt zich voor om zich verkiesbaar te stellen als burgemeester
镜头	de lens	De fotograaf stelde de lens bij
纠纷	het geschil	Beide partijen losten het geschil op via bemiddeling
纠正	corrigeren	De docent corrigeerde de uitspraakfout op tijd
酒精	alcohol	De arts ontsmette de wond met alcohol
就近	in de buurt	Studenten kunnen naar een school in de buurt gaan
就业	werkgelegenheid	De regering voerde beleid in om werkgelegenheid te bevorderen
就职	in functie treden	De nieuwe manager treedt volgende week officieel in functie
救济	noodhulp	De rampenslachtoffers kregen tijdig noodhulp
居民	de bewoners	Omwonenden verzetten zich tegen geluidsoverlast
居住	wonen	Zij wonen hier al tien jaar
拘留	vasthouden	De politie hield de verdachte volgens de wet vast
拘束	geremd voelen	Bij vrienden hoef je je niet geremd te voelen
鞠躬	buigen	De acteur boog voor het publiek om te bedanken
局部	plaatselijk	De arts gebruikte alleen plaatselijke verdoving
局面	de situatie	De onderhandelingen verbeterden de gespannen situatie
局势	de toestand	De internationale toestand blijft ingewikkeld
局限	de beperking	Deze methode heeft duidelijke beperkingen
举动	de handeling	Zijn handeling ontroerde iedereen
举世瞩目	wereldwijde aandacht trekken	Dit project behaalde resultaten die wereldwijd aandacht trokken
举足轻重	een doorslaggevende rol spelen	Dit bedrijf speelt een doorslaggevende rol in de sector
咀嚼	kauwen	Bij het eten moet je langzaam kauwen
沮丧	terneergeslagen	Na het verlies van de wedstrijd was hij erg terneergeslagen
剧本	het script	De regisseur herziet het script
剧烈	hevig	De grond schudde hevig
据悉	naar verluidt	Naar verluidt wordt de vergadering uitgesteld tot volgende week
聚精会神	geconcentreerd	De kinderen luisterden geconcentreerd naar de les
卷	oprollen	Hij rolde de kaart op en stopte hem in de tas
倔强	koppig	Dit kind heeft een koppig karakter
决策	de beslissing	Het management bespreekt een belangrijke beslissing
绝望	de wanhoop	Na de mislukking voelde hij zich een tijdlang wanhopig
觉悟	het bewustzijn	Deze ervaring verhoogde zijn bewustzijn
觉醒	ontwaken	Het milieubewustzijn van het publiek ontwaakt
军队	het leger	Het leger kwam snel in het rampgebied aan
君子	een rechtschapen mens	Een rechtschapen mens moet woorden en daden laten overeenkomen
卡通	de tekenfilm	Het kind kijkt graag naar tekenfilms
开采	delven	Dit bedrijf is verantwoordelijk voor het delven van mineralen
开除	wegsturen	De school besloot de leerling die had gespiekt weg te sturen
开阔	ruim	Op de bergtop is het uitzicht heel ruim
开朗	opgewekt	Zij heeft een opgewekt karakter en veel vrienden
开明	open van geest	De houding van de ouders is open van geest
开辟	openen	De stad opende een nieuwe busroute
开拓	ontwikkelen	Het bedrijf is van plan overzeese markten te ontwikkelen
开展	uitvoeren	De school voerde een activiteit over veiligheidseducatie uit
开支	de uitgaven	De maandelijkse uitgaven van het gezin zijn gestegen
刊登	publiceren	De krant publiceerde zijn artikel
刊物	de publicatie	Deze publicatie verschijnt een keer per maand
勘探	verkennen	Het bouwteam verkent ondergrondse waterbronnen
侃侃而谈	zelfverzekerd spreken	Hij sprak tijdens de vergadering zelfverzekerd en uitvoerig
砍伐	kappen	Willekeurig bossen kappen is verboden
看待	beschouwen	We moeten dit probleem objectief beschouwen
慷慨	vrijgevig	Hij doneerde zijn prijzengeld vrijgevig
抗议	protesteren	Bewoners protesteerden tegen de bouw van een nieuwe fabriek
考察	ter plaatse onderzoeken	Deskundigen gingen ter plaatse de omgeving onderzoeken
考古	archeologie	Het archeologische team ontdekte oude graven
考核	beoordelen	Het bedrijf beoordeelt elk jaar de prestaties van werknemers
考验	op de proef stellen	Deze crisis stelde de vaardigheden van het team op de proef
靠拢	dichterbij komen	De teamleden kwamen dichter naar het midden toe
磕	stoten	Hij stootte per ongeluk tegen de hoek van de tafel
科目	het vak	Wiskunde is zijn favoriete vak
可观	aanzienlijk	Deze investering bracht aanzienlijke opbrengsten
可口	lekker	Het eten in dit restaurant is lekker
可恶	verachtelijk	Dit soort bedrog is echt verachtelijk
可行	haalbaar	Dit plan is in principe haalbaar
渴望	verlangen naar	De kinderen verlangen naar meer kansen
克制	beheersen	Bij een discussie moet je je emoties beheersen
刻不容缓	geen uitstel dulden	Het beschermen van waterbronnen duldt geen uitstel
客户	de klant	De klant is erg tevreden over de service
课题	het onderwerp	Dit onderwerp verdient diepgaand onderzoek
啃	knagen	Het kind knaagt aan een stuk mais
恳切	oprecht	Hij vroeg iedereen oprecht om hulp
坑	de kuil	Langs de weg is een diepe kuil
空洞	inhoudsloos	Dit rapport is inhoudsloos
空前绝后	ongeevenaard	Deze voorstelling kan ongeevenaard worden genoemd
空想	de fantasie	Alleen op fantasie vertrouwen kan problemen niet oplossen
空虚	leeg	Na de drukte voelde hij zich leeg
孔	het gaatje	Er zit een klein gaatje in de muur
恐怖	angstaanjagend	Die film heeft een angstaanjagende sfeer
恐吓	intimideren	De andere partij gebruikte dreigementen om de getuige te intimideren
恐惧	de angst	De duisternis gaf het kind angst
空白	de lege ruimte	Teken alstublieft in de lege ruimte
空隙	de kier	Er zit een kier tussen de deur en de vloer
口气	de toon	Zijn toon was erg hard
口腔	de mondholte	De arts onderzocht zijn mondholte
口头	mondeling	Zij hebben alleen een mondelinge overeenkomst
口音	het accent	Zijn Mandarijn heeft een licht accent
扣	vastmaken	Maak alstublieft uw veiligheidsgordel vast
哭泣	huilen	Het meisje verstopte zich in de hoek en huilde
枯萎	verwelken	Gebrek aan water liet de bloemen verwelken
枯燥	saai	Dit werk is een beetje saai
苦尽甘来	na moeilijke tijden komt geluk	Na jaren volhouden kwamen na moeilijke tijden eindelijk betere tijden
苦涩	bitter	Deze kruidenthee smaakt bitter en wrang
挎	over de arm dragen	Zij ging naar buiten met een stoffen tas over haar arm
跨	overstappen	Hij stapte over de sloot en liep verder
快活	vrolijk	De kinderen speelden vrolijk op het gras
宽敞	ruim	Dit klaslokaal is licht en ruim
宽容	verdraagzaamheid	De samenleving heeft meer begrip en verdraagzaamheid nodig
款待	gastvrij ontvangen	De gastheer ontving de gasten hartelijk
款式	het model	Dit kledingstuk heeft een heel nieuw model
筐	de mand	Hij droeg een mand appels naar huis
况且	bovendien	De weg is ver en bovendien wordt het bijna donker
旷课	spijbelen	Leerlingen die zonder reden spijbelen worden geregistreerd
框架	het kader	Voor het verslag moet eerst het kader worden bepaald
矿产	de delfstoffen	Deze regio is rijk aan delfstoffen
亏待	oneerlijk behandelen	Het bedrijf zal werknemers die serieus werken niet oneerlijk behandelen
亏损	het verlies	De fabriek leed dit jaar zware verliezen
捆绑	vastbinden	Bind deze dozen alstublieft stevig vast
扩充	uitbreiden	De school is van plan de bibliotheekcollectie uit te breiden
扩散	zich verspreiden	Het gerucht verspreidde zich snel online
扩张	de uitbreiding	Het bedrijf breidt zijn activiteiten voorzichtig uit
啦	zinsfinale partikel	Maak je geen zorgen alles komt goed
喇叭	de claxon	De claxon van de auto klonk plotseling
蜡烛	de kaars	Er stonden kaarsen op de verjaardagstaart
来历	de herkomst	De herkomst van dit cultuurvoorwerp is onduidelijk
来源	de bron	Nieuws moet de bron van de informatie vermelden
栏目	de rubriek	Deze rubriek wordt eenmaal per week uitgezonden
懒惰	de luiheid	Luiheid kan het leerresultaat beinvloeden
狼狈	erbarmelijk	Na de regen was hij helemaal doorweekt en zag hij er erbarmelijk uit
狼吞虎咽	schrokken	Hij had enorme honger en schrokte zijn maaltijd naar binnen
捞	opvissen	De visser viste een net uit de rivier op
唠叨	zeuren	Moeder zeurt altijd over kleine dingen
牢固	stevig	De constructie van deze brug is heel stevig
牢骚	de klacht	Hij zit vol klachten maar wil niet veranderen
乐趣	het plezier	Lezen geeft haar veel plezier
乐意	graag bereid zijn	Ik ben graag bereid je cv te verbeteren
雷达	de radar	De radar ontdekte een vliegtuig in de verte
类似	vergelijkbaar	Vergelijkbare problemen zijn vroeger ook voorgekomen
冷酷	kil	Zijn toon klonk erg kil
冷落	negeren	De nieuwe medewerker voelde zich genegeerd
冷却	afkoelen	De machine moet eerst afkoelen voordat hij wordt gerepareerd
愣	verbijsterd zijn	Toen hij het nieuws hoorde bleef hij verbijsterd staan
黎明	de dageraad	Bij dageraad werd de stad langzaam wakker
理睬	aandacht schenken	Hij was boos en schonk niemand aandacht
理所当然	vanzelfsprekend	Beschouw de hulp van anderen niet als vanzelfsprekend
理直气壮	zelfverzekerd in zijn recht spreken	Met voldoende bewijs sprak hij heel zelfverzekerd
理智	de rede	Blijf redelijk wanneer je met een conflict te maken krijgt
礼节	de etiquette	Verschillende culturen hebben verschillende etiquette
礼尚往来	wederkerige beleefdheid	Tussen buren hecht men waarde aan wederkerige beleefdheid
里程碑	de mijlpaal	Dit succes is een mijlpaal voor het project
例外	de uitzondering	Iedereen moet deelnemen zonder uitzondering
利害	de belangen	Dit raakt de belangen van beide partijen
力求	ernaar streven	Wij streven ernaar fouten tot een minimum te beperken
力所能及	binnen het eigen vermogen	Doe alstublieft iets wat binnen uw vermogen ligt
力争	alles op alles zetten	Het team zet alles op alles om de taak eerder af te ronden
历代	opeenvolgende generaties	Geleerden uit opeenvolgende generaties hebben dit probleem bestudeerd
历来	altijd	Deze stad heeft onderwijs altijd belangrijk gevonden
立场	het standpunt	Hij maakte op de vergadering zijn standpunt duidelijk
立方	kubiek	Deze watertank heeft een inhoud van drie kubieke meter
立交桥	het viaduct	Dit viaduct verminderde de verkeersopstopping
立体	driedimensionaal	Dit schilderij heeft een sterk driedimensionaal effect
立足	steunen op	Ondernemingen moeten op de lokale markt steunen
粒	de korrel	Er liggen een paar rijstkorrels op tafel
廉洁	integer	Ambtenaren moeten integer en eerlijk blijven
联欢	de feestbijeenkomst	De klasgenoten hielden een nieuwjaarsbijeenkomst
联络	contact opnemen	Neem alstublieft zo snel mogelijk contact op met de klant
联盟	de alliantie	Enkele landen vormden een handelsalliantie
联想	denken aan	Deze foto doet mij aan mijn jeugd denken
连年	jaar na jaar	Deze regio heeft jaar na jaar met overstromingen te maken gehad
连锁	de keten	Dit bedrijf exploiteert supermarktketens
连同	samen met	Stuur de factuur alstublieft samen met het contract op
良心	het geweten	Een mens moet zo leven dat hij zijn geweten niet verraadt
晾	aan de lucht laten drogen	Zij hing de kleren op het balkon te drogen
谅解	het begrip	Ik hoop dat u begrip kunt hebben voor onze moeilijkheden
辽阔	uitgestrekt	De grasvlakte is uitgestrekt en lijkt eindeloos
列举	opsommen	De docent somde drie voorbeelden op
临床	klinisch	Dit medicijn ondergaat klinische proeven
淋	doornat worden	Blijf niet te lang in de regen staan en word niet doornat
吝啬	gierig	Tegenover vrienden is hij nooit gierig
伶俐	pienter	Dit kleine meisje is pienter en vlug van begrip
凌晨	in de vroege ochtend	Het vliegtuig vertrekt om drie uur in de vroege ochtend
灵感	de inspiratie	Muziek gaf hem creatieve inspiratie
灵魂	de ziel	Vrijheid is de ziel van dit werk
灵敏	gevoelig	Dit instrument reageert heel gevoelig
零星	verspreid	In de nachtelijke lucht waren verspreide lichten te zien
领会	begrijpen	Hij begreep snel wat de leraar bedoelde
领事馆	het consulaat	Hij ging naar het consulaat om zijn visum te regelen
领土	het grondgebied	Elk land hecht waarde aan de integriteit van zijn grondgebied
领悟	inzien	Na de mislukking zag hij het belang van verantwoordelijkheid in
领先	vooroplopen	Hun technologie loopt momenteel voor op die van branchegenoten
领袖	de leider	Deze leider wordt diep door het volk gerespecteerd
溜	wegsluipen	De puppy glipte door de kier van de deur naar buiten
流浪	zwerven	In zijn jeugd zwierf hij eens van plaats naar plaats
流露	tonen	Op haar gezicht was vreugde te zien
流氓	de straatcrimineel	De politie pakte enkele straatcriminelen op
流通	in omloop zijn	Deze munt was ooit lokaal in omloop
留恋	met weemoed gehecht zijn	Bij het afstuderen waren allen met weemoed aan de campus gehecht
留念	als herinnering bewaren	Wij maakten foto's bij de schoolpoort als herinnering
留神	opletten	Let goed op wanneer je de straat oversteekt
聋哑	doofstom	De school biedt hulp aan doofstomme kinderen
隆重	plechtig	De conferentie werd plechtig in de aula gehouden
垄断	monopoliseren	Een monopolie kan de marktconcurrentie schaden
笼罩	omhullen	Dichte mist omhulde het hele dorp
搂	omhelzen	De moeder omhelsde het kind zachtjes
炉灶	het fornuis	Het fornuis in de keuken moet worden schoongemaakt
轮船	het schip	Het schip verliet langzaam de haven
轮廓	de omtrek	De omtrek van de verre bergtoppen was heel duidelijk
轮胎	de band	De autobanden moeten worden vervangen
论坛	het forum	Deskundigen hielden toespraken op het forum
论证	onderbouwen	Het verslag moet het standpunt verder onderbouwen
啰唆	langdradig zijn	Wees niet zo langdradig en kom direct ter zake
络绎不绝	in een onafgebroken stroom	Bezoekers kwamen in een onafgebroken stroom naar de oude stad
落成	opgeleverd worden	De nieuwe sporthal wordt morgen officieel opgeleverd
落实	uitvoeren	De vergadering eiste dat het nieuwe beleid snel werd uitgevoerd
屡次	herhaaldelijk	Hij herinnerde iedereen herhaaldelijk aan de veiligheid
履行	nakomen	Beide partijen moeten hun contractuele verplichtingen nakomen
掠夺	plunderen	De oorlog leidde tot het plunderen van hulpbronnen
嘛	modale partikel	Deze zaak is toch heel eenvoudig
麻痹	de verslapping	Langdurig succes kan mensen gemakkelijk onoplettend maken
麻木	verdoofd	De kou maakte zijn vingers verdoofd
麻醉	verdoven	Voor de operatie verdoofde de arts de patient
码头	de pier	Het vrachtschip meerde aan bij de pier
蚂蚁	de mier	De mieren dragen voedsel
埋伏	de hinderlaag	De soldaten lagen in een hinderlaag in de vallei
埋没	onopgemerkt laten	Laat talent niet onopgemerkt blijven
埋葬	begraven	De dorpelingen begroeven de oude man op de berghelling
脉搏	de pols	De verpleegkundige meet zijn pols
迈	een stap zetten	Hij zette grote stappen naar de deuropening
埋怨	klagen	Klaag niet altijd over anderen
慢性	chronisch	Chronische ziekten vereisen langdurige behandeling
漫长	langdurig	Zij maakten een langdurige wachttijd mee
漫画	de strip	Dit stripboek is erg populair bij jongeren
蔓延	zich uitbreiden	Het vuur breidde zich snel diep het bos in uit
忙碌	druk	Het einde van het jaar is de drukste tijd voor het bedrijf
盲目	blindelings	Beleggen moet trends niet blindelings volgen
茫茫	uitgestrekt	Het schip verdween in de uitgestrekte zee
茫然	verdwaasd	Na de uitleg keek hij nog steeds verdwaasd
冒充	zich voordoen als	Iemand deed zich voor als politieagent om geld af te troggelen
冒犯	beledigen	Mijn woorden waren niet bedoeld om je te beledigen
茂盛	weelderig	De bomen in de tuin groeien weelderig
媒介	het medium	Het internet is een belangrijk medium voor informatie
枚	telwoord voor kleine voorwerpen	Hij verzamelde enkele herdenkingsmunten
美观	mooi vormgegeven	Dit ontwerp is zowel praktisch als mooi vormgegeven
美满	gelukkig	Zij leiden een gelukkig en vervuld leven
美妙	prachtig	Het concert bracht een prachtige ervaring
萌芽	ontkiemen	Een nieuw idee begon te ontkiemen
猛烈	hevig	De storm kwam heel hevig opzetten
眯	de ogen samenknijpen	Het zonlicht was te fel dus kneep hij zijn ogen samen
弥补	compenseren	Een verontschuldiging kan het verlies niet volledig compenseren
弥漫	de lucht vullen	De bloemengeur vulde de tuin
谜语	het raadsel	Kinderen raden graag raadsels
迷惑	verwarren	De ingewikkelde gegevens verwarden hem
迷人	betoverend	Het nachtelijke uitzicht aan zee was heel betoverend
迷信	het bijgeloof	Wetenschappelijk onderwijs kan bijgeloof verminderen
密度	de dichtheid	Dit metaal heeft een hoge dichtheid
密封	afsluiten	Sluit de zak na het openen alstublieft opnieuw af
棉花	het katoen	Boeren plukken katoen
免得	om te voorkomen	Vertrek wat eerder om te voorkomen dat je te laat komt
免疫	de immuniteit	Dit vaccin kan de immuniteit versterken
勉励	aanmoedigen	De docent moedigt studenten vaak aan om te blijven studeren
勉强	met tegenzin	Hij stemde met tegenzin in met deze regeling
面貌	het aanzien	Het aanzien van de stad is sterk veranderd
面子	het gezicht	Hij wilde in het openbaar geen gezichtsverlies lijden
描绘	afbeelden	De roman beeldt het dorpsleven af
瞄准	richten	De schutter richtte op het doel
渺小	heel klein	Mensen lijken heel klein tegenover de natuur
藐视	neerkijken op	Wij mogen op geen enkele tegenstander neerkijken
灭亡	ten onder gaan	Deze dynastie ging uiteindelijk ten onder
蔑视	de minachting	Zijn toon zat vol minachting
民间	volks-	Volkskunst moet worden beschermd
民主	de democratie	De vergadering gebruikte een democratische stemming
敏捷	lenig	De bewegingen van de sporter waren heel lenig
敏锐	scherp	Verslaggevers hebben een scherp observatievermogen nodig
名次	de rangschikking	Zij behaalde een goede plaats in de wedstrijd
名额	de plaats	Dit programma heeft maar tien plaatsen
名副其实	werkelijk die naam waard	Hij is werkelijk die naam waard als expert
名誉	de reputatie	Deze zaak beschadigde de reputatie van het bedrijf
明明	duidelijk	Hij kende duidelijk het antwoord maar wilde het niet zeggen
明智	verstandig	Het besluit uitstellen was een verstandige keuze
命名	een naam geven	Wetenschappers gaven de nieuwe soort een naam
摸索	verkennen	Het team verkent nog nieuwe methoden
摩擦	de wrijving	Er ontstond handelswrijving tussen de twee landen
模范	het voorbeeld	Hij is een voorbeeld voor alle leerlingen op school
模式	de werkwijze	Deze zakelijke werkwijze is erg succesvol
模型	het model	De ingenieur maakte een model van de brug
磨合	op elkaar ingespeeld raken	Het nieuwe team heeft tijd nodig om op elkaar ingespeeld te raken
膜	het membraan	Dit membraan kan onzuiverheden filteren
魔鬼	de duivel	De duivel in het verhaal is erg sluw
魔术	de goochelkunst	Kinderen kijken graag naar goochelvoorstellingen
抹杀	uitwissen	Zijn bijdrage kan niet worden uitgewist
墨水儿	de inkt	De inkt in de pen is bijna op
莫名其妙	onbegrijpelijk	Zijn reactie was voor iedereen onbegrijpelijk
默默	in stilte	Zij hielp veel mensen in stilte
谋求	nastreven	Het bedrijf streeft nieuwe ontwikkelingskansen na
模样	het uiterlijk	Zijn uiterlijk is nu sterk veranderd
母语	de moedertaal	Kinderen leren hun moedertaal van jongs af aan
沐浴	gehuld zijn in	Het dorp was in de ochtendzon gehuld
目睹	met eigen ogen zien	Veel mensen zagen het ongeluk met eigen ogen
目光	de blik	Ieders blik was op het podium gericht
拿手	waar iemand goed in is	Gestoofde vis is het gerecht waar hij goed in is
纳闷儿	zich afvragen	Ik vroeg me steeds af waarom hij te laat was
耐用	duurzaam	Deze schoenen zijn heel duurzaam
南辕北辙	tegen het doel ingaan	Zijn aanpak gaat tegen het doel in
难得	zeldzaam	Dit is een zeldzame kans
难堪	beschaamd	Deze vraag maakte hem beschaamd
难能可贵	lofwaardig juist omdat het moeilijk is	Eerlijk blijven onder druk is bijzonder lofwaardig
恼火	geirriteerd	De apparatuur ging weer kapot en hij was erg geirriteerd
内涵	de connotatie	Dit woord heeft rijke culturele connotaties
内幕	het achtergrondverhaal	De journalist probeerde het achtergrondverhaal van de zaak te onderzoeken
内在	innerlijk	Hij hecht meer waarde aan iemands innerlijke kwaliteiten
能量	de energie	Dit ontbijt geeft mij veel energie
拟定	opstellen	De secretaris stelt de agenda voor de vergadering op
逆行	tegen de richting in rijden	Die auto reed tegen de richting in op een eenrichtingsstraat
年度	jaarlijks	Het bedrijf publiceerde het jaarverslag
捏	knijpen	Zij kneep zachtjes in de wang van het kind
凝固	stollen	Na het afkoelen zal de was langzaam stollen
凝聚	samenbrengen	Een gemeenschappelijk doel kan de kracht van het team samenbrengen
凝视	staren	Hij staarde naar de lichten in de verte
拧	knijpen	Hij kneep mij een keer met zijn hand
宁肯	liever	Zij faalt liever dan haar principes op te geven
宁愿	liever	Ik loop liever dan op de bus te wachten
扭转	omkeren	Het nieuwe beleid keerde de verliesgevende situatie om
纽扣儿	de knoop	Van dit overhemd is een knoop afgevallen
农历	de maankalender	Het Lentefeest wordt volgens de maankalender gevierd
浓厚	sterk	Hij heeft een sterke belangstelling voor geschiedenis
奴隶	de slaaf	In oude samenlevingen bestond slavernij
挪	verplaatsen	Zet de stoel alstublieft een beetje opzij
虐待	mishandelen	De wet verbiedt het mishandelen van kinderen
哦	oh	Oh nu begrijp ik het eindelijk
殴打	in elkaar slaan	De politie arresteerde de persoon die een voorbijganger in elkaar sloeg
偶像	het idool	Zij ziet die schrijver als haar idool
呕吐	braken	Hij begon te braken nadat hij bedorven eten had gegeten
趴	op de buik liggen	Het katje lag op de vensterbank te slapen
徘徊	rondhangen	Hij hing lange tijd bij de deuropening rond
排斥	afstoten	Het nieuwe materiaal stoot vocht af
排除	uitsluiten	De arts sloot eerst een ernstige ziekte uit
排放	de uitstoot	Fabrieken moeten de uitstoot van afvalgas verminderen
排练	repeteren	De acteurs repeteren een nieuw programma
派别	de factie	Binnen deze organisatie bestaan verschillende facties
派遣	uitzenden	Het bedrijf zond ingenieurs naar de locatie
攀登	beklimmen	Zij zijn van plan morgen de besneeuwde berg te beklimmen
盘旋	cirkelen	Het vliegtuig cirkelde boven de luchthaven
判决	het vonnis	De rechtbank maakte vandaag het vonnis bekend
畔	de oever	De kinderen wandelden langs de oever van het meer
庞大	enorm	Dit project vereist enorme financiering
抛弃	opgeven	Hij wil zijn droom niet opgeven
泡沫	het schuim	Er zit veel wit schuim in de beker
培育	ontwikkelen	De school werkt hard aan het ontwikkelen van verantwoordelijkheidsgevoel bij studenten
配备	uitrusten	De nieuwe auto is uitgerust met een veiligheidssysteem
配偶	de echtgenoot	Op het aanvraagformulier moet informatie over de echtgenoot worden ingevuld
配套	aanvullend	De wijk heeft complete aanvullende voorzieningen
盆地	het bekken	Dit bekken is in de zomer erg heet
烹饪	het koken	Koken vereist geduld en ervaring
捧	in beide handen houden	Zij hield een bos bloemen in beide handen
劈	hakken	De arbeider hakte brandhout met een bijl
批发	in het groot verkopen	Deze winkel verkoopt vooral fruit in het groot
批判	bekritiseren	Het artikel bekritiseerde deze verkeerde opvatting
疲惫	uitgeput	Na de lange reis was iedereen uitgeput
疲倦	moe	Door achter elkaar te werken werd hij moe
皮革	het leer	Deze tas is van leer gemaakt
屁股	het achterwerk	Het achterwerk van het kind deed pijn na de val
譬如	bijvoorbeeld	Bijvoorbeeld, we kunnen eerst een kleine test doen
偏差	de afwijking	Er zit een duidelijke afwijking in de experimentele resultaten
偏见	het vooroordeel	Wij moeten etnische vooroordelen vermijden
偏僻	afgelegen	Dit dorp ligt erg afgelegen
偏偏	juist onverwacht	Hoe meer haast ik had, juist onverwacht werd de auto trager
片断	het fragment	De film bevat enkele prachtige fragmenten
片刻	een ogenblik	Wacht hier alstublieft een ogenblik op mij
漂浮	drijven	Gevallen bladeren dreven op het water
飘扬	wapperen	De nationale vlag wapperde in de wind
撇	opzij leggen	Hij legde het oude plan opzij
拼搏	strijden	Jonge mensen moeten voor hun idealen strijden
拼命	uit alle macht	Hij haalde de ploeg voor hem uit alle macht in
贫乏	armzalig	De inhoud van dit artikel is nogal armzalig
贫困	armoedig	De overheid helpt arme gezinnen
频繁	frequent	De laatste tijd gebeuren hier frequent verkeersongevallen
频率	de frequentie	De frequentie van dit geluid is erg hoog
品尝	proeven	De gasten proeven lokale gerechten
品德	het karakter	De school hecht waarde aan karaktervorming van studenten
品质	de kwaliteit	De productkwaliteit van dit bedrijf is stabiel
品种	de soort	Op de markt zijn veel soorten fruit
屏幕	het scherm	Zet de helderheid van het scherm lager
