simplified	AZ	example_AZ
忽略	nəzərdən qaçırmaq	Zəhmət olmasa, bu təfərrüatı nəzərdən qaçırmayın.
湖泊	göl	Bu ərazidə çoxlu təbii göllər var.
胡乱	pərakəndə	Əşyaları yerə pərakəndə qoyma.
胡须	saqqal	Onun saqqalı artıq ağarıb.
花瓣	ləçək	Yağışdan sonra ləçəklər bütün yerə töküldü.
花蕾	tumurcuq	Yazda budaqlarda tumurcuqlar çıxır.
华丽	dəbdəbəli	Səhnədəki geyimlər çox dəbdəbəli idi.
华侨	xaricdə yaşayan çinli	Çoxlu xaricdə yaşayan çinli vətəninə sərmayə qoymağa qayıtdı.
划分	bölmək	Müəllim şagirdləri dörd qrupa böldü.
化肥	kimyəvi gübrə	Fermerlər əkinlərə kimyəvi gübrə verdilər.
化石	fosil	Muzeydə dinozavr fosilləri nümayiş etdirildi.
化验	analiz	Həkim ona qan analizi verməyi tapşırdı.
化妆	makiyaj etmək	O, səhnəyə çıxmazdan əvvəl makiyaj edirdi.
画蛇添足	lazımsız əlavə etmək	Daha çox izah əlavə etmək əksinə lazımsız olar.
话筒	mikrofon	Aparıcı mikrofonu tamaşaçıya uzatdı.
欢乐	sevinc	Bayram meydanı sevinclə dolu idi.
环节	mərhələ	Təlimin hər mərhələsi çox vacibdir.
还原	bərpa etmək	Zəhmət olmasa, ayarları ilkin vəziyyətə bərpa edin.
缓和	yumşalmaq	İki tərəf arasındakı münasibətlər tədricən yumşaldı.
患者	xəstə	Həkim xəstənin vəziyyətini soruşur.
荒凉	kimsəsiz	Bu torpaq çox kimsəsiz görünür.
荒谬	absurd	Bu izah çox absurd səslənir.
荒唐	gülünc	Onun qərarı çox gülünc idi.
皇帝	imperator	İmperator möhtəşəm sarayda yaşayırdı.
皇后	imperatriça	İmperatriça mərasimdə iştirak etdi.
黄昏	alaqaranlıq	Alaqaranlıqda küçə işıqları yandı.
恍然大悟	birdən anlamaq	İzahı dinləyəndən sonra o, birdən hər şeyi anladı.
晃	bulanmaq	Bir an gözünün önündə hər şey bulandı və o yox oldu.
挥霍	israf etmək	O, valideynlərinin pulunu israf etməməli idi.
辉煌	parlaq	Bu şəhərin parlaq tarixi var.
回报	mükafat	Zəhmətli iş sonda mükafat gətirəcək.
回避	yayınmaq	O, bu məsələdən daim yayınır.
回顾	nəzərdən keçirmək	İclasın sonunda bütün ilin işi nəzərdən keçirildi.
回收	təkrar emal etmək	Məhəllə köhnə batareyaları təkrar emal etməyə başladı.
悔恨	peşmanlıq	O, keçmiş səhvlərinə görə peşmanlıq hiss etdi.
毁灭	məhv etmək	Müharibə bu şəhəri az qala məhv etdi.
会晤	görüşmək	İki ölkənin liderləri sabah görüşəcəklər.
汇报	hesabat vermək	O, menecerə irəliləyiş barədə hesabat verdi.
贿赂	rüşvət	Məmur rüşvətə görə araşdırılır.
昏迷	koma	Xəstə hələ də koma vəziyyətindədir.
荤	ətli	Bu yemək ətlidir və vegetarianlara uyğun deyil.
浑身	başdan-ayağa	Qaçışdan sonra o, başdan-ayağa tər içində idi.
混合	qarışdırmaq	Zəhmət olmasa, iki materialı bərabər qarışdırın.
混乱	qarışıqlıq	Hadisə yerində bir müddət böyük qarışıqlıq oldu.
混淆	qarışdırmaq	Bu iki anlayışı qarışdırmayın.
混浊	bulanıq	Yağışdan sonra çayın suyu bulanıq oldu.
活该	haqq etmək	O, məsləhətə qulaq asmadı, ona görə uğursuzluğu haqq etdi.
活力	canlılıq	Bu şəhər canlılıqla doludur.
火箭	raket	Raket uğurla planlaşdırılmış orbitə çıxdı.
火焰	alov	Külək alovu daha da yüksəltdi.
火药	barıt	Barıt qədim müharibə üsullarını dəyişdi.
货币	valyuta	Valyuta siyasəti iqtisadi inkişafa təsir edir.
基地	baza	Bura bir vaxtlar vacib təlim bazası idi.
基金	fond	Məktəb təqaüd fondu yaratdı.
基因	gen	Alimlər bu geni araşdırırlar.
机动	çevik	Bu dəstə yüksək çevikliyini qoruyur.
机构	qurum	Bu qurum keyfiyyət yoxlamasına cavabdehdir.
机灵	zirək	Bu uşaq çox zirəkdir.
机密	məxfi	Bu materiallar məxfidir.
机械	maşın avadanlığı	Zavod yeni maşın avadanlığı gətirdi.
机遇	fürsət	Gənclər fürsətləri tutmalıdırlar.
机智	hazırcavab	Onun cavabı çox hazırcavab idi.
激发	oyatmaq	Müəllim şagirdlərin marağını oyatdı.
激励	həvəsləndirmək	Bu uğur bütün komandanı həvəsləndirdi.
激情	ehtiras	O, çıxış edərkən ehtirasla dolu idi.
讥笑	lağa qoymaq	Başqalarının səhvlərini lağa qoymayın.
饥饿	aclıq	Uzunmüddətli aclıq sağlamlığa təsir edə bilər.
即便	hətta	Hətta yağış yağsa da, biz vaxtında yola düşəcəyik.
即将	tezliklə	İclas tezliklə başlayacaq.
及早	mümkün qədər tez	Problem aşkar ediləndə onu mümkün qədər tez həll etmək lazımdır.
吉祥	uğur	Qırmızı rəng Çində çox vaxt uğuru simvolizə edir.
嫉妒	paxıllıq etmək	O, həmkarının uğuruna paxıllıq etməməlidir.
急功近利	tez qazanc dalınca qaçmaq	Araşdırmada tez qazanc dalınca qaçmaq olmaz.
急剧	kəskin	Satış həcmi kəskin azaldı.
急切	səbirsiz	O, xəbəri səbirsizliklə gözləyirdi.
急于求成	tez nəticə istəmək	Dil öyrənəndə tez nəticə istəmək olmaz.
急躁	səbirsiz	Çətinliklə qarşılaşanda səbirsiz olmayın.
极端	ekstremal	Bu cür ekstremal hava getdikcə daha çox yayılır.
极限	hədd	Bu məşq onun həddini sınadı.
疾病	xəstəlik	Yaxşı vərdişlər xəstəliyin qarşısını ala bilər.
籍贯	əslən olduğu yer	Formada əslən olduğun yeri yazmaq lazımdır.
级别	səviyyə	Bu yarış üç səviyyəyə bölünür.
集团	qrup	Bu qrupun xaricdə filialları var.
给予	vermək	Məktəb yoxsul şagirdlərə yardım verir.
季军	üçüncü yer	O, yarışda üçüncü yeri qazandı.
季度	rüb	Şirkət hər rüb maliyyə hesabatı yayımlayır.
寂静	səssiz	Gecə vadisi xüsusilə səssiz idi.
寄托	ümid bağlamaq	O, ümidini uşağına bağladı.
忌讳	tabu saymaq	Yerlilər yemək masasında bu məsələni danışmağı tabu sayırlar.
技巧	texnika	Texnikanı mənimsəmək səmərəliliyi artıra bilər.
纪要	iclas protokolu	Katib iclas protokolunu səliqəyə saldı.
继承	miras almaq	O, atasının işini miras aldı.
计较	xırda şeyə ilişmək	Bu qədər xırda şeyə ilişmə.
记性	yaddaş	Onun yaddaşı çox yaxşıdır.
记载	qeydə almaq	Tarix kitabları bu müharibəni qeydə alıb.
迹象	əlamət	Hazırda yaxşılaşma əlaməti yoxdur.
佳肴	ləziz yemək	Masanın üstü ləziz yeməklərlə dolu idi.
加工	emal etmək	Bu xammalı daha da emal etmək lazımdır.
加剧	kəskinləşmək	Ziddiyyətlər kəskinləşir.
夹杂	qarışmaq	Yağış səsinə göy gurultusu qarışmışdı.
家常	ev yeməyi	Mən ev yeməklərini sevirəm.
家伙	adam	O adam həmişə gecikir.
家属	ailə üzvü	Həkim xəstənin ailə üzvlərinə xəbər verdi.
家喻户晓	hamıya məlum	Bu hekayə hamıya məlumdur.
坚定	qəti	Onun mövqeyi çox qətidir.
坚固	möhkəm	Bu körpü çox möhkəmdir.
坚韧	dözümlü	Onun dözümlü xarakteri var.
坚实	möhkəm	Bu araşdırmanın möhkəm əsası var.
坚硬	sərt	Bu daş çox sərtdir.
尖端	qabaqcıl	Şirkət qabaqcıl texnologiyaya sərmayə qoyur.
尖锐	kəskin	Bu məsələ çox kəskindir.
煎	qızartmaq	Aşpaz balığı qızardır.
监督	nəzarət	İctimai nəzarət işi yaxşılaşdırmağa kömək edir.
监视	izləmək	Polis şübhəlini izləyir.
监狱	həbsxana	O, həbsxanada cəza çəkir.
艰难	çətin	İş qurmağın ilk mərhələsi çox çətindir.
剪彩	lent kəsmək	Mer yeni kitabxananın açılışında lent kəsdi.
拣	seçmək	O, səbətdən bir neçə alma seçdi.
检讨	səhvini təhlil etmək	O, öz səhvlərini ciddi şəkildə təhlil etdi.
检验	yoxlamaq	Təcrübə bu fərziyyəni yoxlaya bilər.
简化	sadələşdirmək	Zəhmət olmasa, prosesi daha da sadələşdirin.
简陋	sadə	Onlar çox sadə bir daxmada yaşayırdılar.
简体字	sadələşdirilmiş Çin yazısı	Bu dərslik sadələşdirilmiş Çin yazısından istifadə edir.
简要	qısa	Zəhmət olmasa, fikrini qısa izah et.
健全	təkmilləşdirmək	Şirkət idarəetmə sistemini təkmilləşdirməlidir.
剑	qılınc	Divarda qədim bir qılınc asılıb.
溅	sıçramaq	Yağış suyu onun şalvarına sıçradı.
舰艇	hərbi gəmi	Bir neçə hərbi gəmi təlimdə iştirak etdi.
见多识广	dünyagörüşlü	Bu qoca çox dünyagörüşlüdür.
见解	baxış	Onun bu məsələyə özünəməxsus baxışı var.
见闻	dünyagörüşü	Səyahət onun dünyagörüşünü genişləndirdi.
见义勇为	haqq üçün cəsarətlə davranmaq	O, haqq üçün cəsarətlə davrandığına görə tərifləndi.
践踏	tapdalamaq	Çəməni tapdalamayın.
鉴别	ayırd etmək	Mütəxəssis bu rəsmin həqiqi olub-olmadığını ayırd edə bilər.
鉴定	ekspertiza etmək	Polis barmaq izlərini ekspertiza edir.
鉴于	nəzərə alaraq	Pis havanı nəzərə alaraq tədbir təxirə salındı.
间谍	casus	Bu film casus hekayəsindən bəhs edir.
间隔	fasilə	İki iclas arasında bir həftə fasilə var.
间接	dolayı	Bu siyasət dolayı təsir göstərəcək.
僵硬	donmuş	Onun təbəssümü donmuş görünürdü.
将军	general	General əmr verdi.
将近	təxminən	Bu layihə təxminən iki il davam etdi.
将就	yola vermək	Şərait pisdir, ona görə hələlik yola verməliyik.
奖励	mükafatlandırmaq	Məktəb əla şagirdləri mükafatlandırdı.
奖赏	mükafat	Kral döyüşçüyə böyük mükafat verdi.
桨	avar	Qayıqçı avarla qayığı sahilə doğru sürdü.
降临	çökmək	Gecə tədricən şəhərin üstünə çökdü.
交叉	kəsişmək	İki yol burada kəsişir.
交代	izah etmək	Zəhmət olmasa, tapşırığı aydın izah edin.
交涉	danışıqlar aparmaq	İki tərəf kompensasiya məsələsi üzrə danışıqlar aparır.
交易	əməliyyat	Bu əməliyyat artıq tamamlanıb.
娇气	nazlı	Çox nazlı olma, hava soyuq deyil.
焦点	diqqət mərkəzi	Məşğulluq məsələsi müzakirənin diqqət mərkəzinə çevrildi.
焦急	narahat	Ana uşağının qayıtmasını narahat halda gözləyirdi.
侥幸	bəxti gətirmək	Onun bəxti gətirdi və fəlakətdən xilas oldu.
搅拌	qarışdırmaq	Zəhmət olmasa, xəmiri bərabər qarışdırın.
缴纳	ödəmək	Sakinlər su haqqını vaxtında ödəməlidirlər.
角落	künc	Pişik otağın küncündə gizləndi.
教养	tərbiyə	Yaxşı tərbiyə xırda detallarda görünür.
较量	yarışmaq	İki güclü komanda tezliklə yarışacaq.
接连	ard-arda	O, ard-arda üç e-poçt aldı.
揭露	ifşa etmək	Jurnalist qida təhlükəsizliyi problemini ifşa etdi.
皆	hamı	Bu qaydaları hamı bilir.
阶层	təbəqə	Fərqli təbəqələrin fərqli ehtiyacları var.
截止	bağlanmaq	Qeydiyyat sabah günortadan sonra bağlanır.
截至	bu günə qədər	Bu günə qədər iki yüz nəfər qeydiyyatdan keçib.
杰出	görkəmli	O, görkəmli alimdir.
竭尽全力	var gücü ilə çalışmaq	Biz tapşırığı bitirmək üçün var gücümüzlə çalışacağıq.
结晶	bəhrə	Bu nəticə illərin zəhmətinin bəhrəsidir.
结局	son	Hekayənin sonu gözlənilməz idi.
结算	hesablaşmaq	Müştəri xərclərin ayın sonunda hesablanmasını istədi.
节制	ölçülü olmaq	Yemək-içməkdə ölçülü olmaq lazımdır.
节奏	ritm	Bu mahnının ritmi sürətlidir.
解除	ləğv etmək	Şirkət təhlükəsizlik xəbərdarlığını ləğv etdi.
解放	azad etmək	İslahat məhsuldar qüvvələri azad etdi.
解雇	işdən çıxarmaq	Müdir həmin işçini işdən çıxarmağa qərar verdi.
解剖	anatomiya	Tibb tələbələri anatomiya öyrənirlər.
解散	dağılmaq	İclas bitəndən sonra dəstə dağıldı.
解体	dağılmaq	O ittifaq sonda dağıldı.
借鉴	faydalanmaq	Biz xarici təcrübədən faydalana bilərik.
借助	köməyi ilə	O, xəritənin köməyi ilə yolu tapdı.
戒备	ayıq-sayıq olmaq	Sərhəd bölgəsi yüksək ayıq-sayıq vəziyyətdədir.
界限	sərhəd	İş və həyat arasında aydın sərhəd lazımdır.
津津有味	maraqla	Uşaqlar hekayəni böyük maraqla dinlədilər.
金融	maliyyə	Maliyyə bazarında bu gün böyük dalğalanma oldu.
紧迫	təcili	Vaxt azdır, dərhal hərəkət etməliyik.
锦上添花	gözələ əlavə gözəllik qatmaq	Bu hədiyyə həqiqətən gözələ əlavə gözəllik qatdı.
晋升	vəzifədə yüksəlmək	O, keçən il şöbə müdiri vəzifəsinə yüksəldi.
浸泡	islatmaq	Lobyaları bir gecə islatmaq lazımdır.
近来	son vaxtlar	Son vaxtlar hava çox dəyişib.
进而	sonra	Əvvəl ehtiyacları öyrən, sonra plan hazırla.
进攻	hücum	Komanda ikinci hissədə hücumu gücləndirdi.
进化	təkamül etmək	Canlılar mühitlə birlikdə təkamül edir.
进展	irəliləmək	Layihə hazırda yaxşı irəliləyir.
兢兢业业	vicdanla	O, otuz il vicdanla işlədi.
惊动	təşvişə salmaq	Güclü səs yaxınlıqdakı sakinləri təşvişə saldı.
惊奇	heyrətlə	Uşaqlar sehrbazlıq tamaşasına heyrətlə baxdılar.
惊讶	təəccüblənmək	Onun cavabı məni təəccübləndirdi.
精打细算	qənaətlə idarə etmək	O, gündəlik xərcləri həmişə qənaətlə idarə edir.
精华	mahiyyət	Bu məqalə nəzəriyyənin mahiyyətini ümumiləşdirir.
精简	ixtisar etmək	Şirkət idarəetmə heyətini ixtisar etməyə qərar verdi.
精密	dəqiq	Bu cihaz çox dəqiqdir.
精确	dəqiq	Məlumatlar vergüldən sonra iki rəqəmə qədər dəqiq olmalıdır.
精通	mükəmməl bilmək	O, üç xarici dili mükəmməl bilir.
精心	diqqətlə	Ana axşam yeməyini diqqətlə hazırladı.
精益求精	kamilliyə can atmaq	Yaxşı sənətkarlar həmişə kamilliyə can atırlar.
精致	incə	Bu hədiyyə çox incə qablaşdırılıb.
经费	maliyyə vəsaiti	Araşdırma üçün maliyyə vəsaiti artıq təsdiqlənib.
经纬	enlik və uzunluq	Xəritədə enlik və uzunluq xətləri göstərilib.
茎	gövdə	Bitkinin gövdəsi yarpaqları saxlayır.
井	quyu	Kəndin girişində qədim bir quyu var.
警告	xəbərdarlıq etmək	Müəllim şagirdləri köçürməmək barədə xəbərdar etdi.
警惕	ayıq olmaq	Biz internet fırıldaqlarına qarşı ayıq olmalıyıq.
颈椎	boyun fəqərəsi	Uzun müddət başı aşağı baxmaq boyun fəqərəsinə zərər verə bilər.
境界	səviyyə	Onun rəssamlığı yeni səviyyəyə çatdı.
敬礼	hərbi salam vermək	Əsgər dövlət bayrağına hərbi salam verdi.
敬业	işinə sadiq olmaq	O, işinə ciddi yanaşır və işinə çox sadiqdir.
竞赛	müsabiqə	Məktəb riyaziyyat müsabiqəsi keçirdi.
竞选	seçkidə namizəd olmaq	O, mer seçkisində namizəd olmağa hazırlaşır.
镜头	obyektiv	Fotoqraf obyektivi tənzimlədi.
纠纷	mübahisə	İki tərəf mübahisəni vasitəçilik yolu ilə həll etdi.
纠正	düzəltmək	Müəllim tələffüz səhvini vaxtında düzəltdi.
酒精	spirt	Həkim yaranı spirtlə dezinfeksiya etdi.
就近	yaxınlıqda	Şagirdlər yaxınlıqdakı məktəbə qəbul ola bilərlər.
就业	məşğulluq	Hökumət məşğulluğu artırmaq üçün siyasət tətbiq etdi.
就职	vəzifəyə başlamaq	Yeni menecer gələn həftə rəsmi olaraq vəzifəyə başlayacaq.
救济	yardım	Fəlakət zərərçəkənləri vaxtında yardım aldılar.
居民	sakin	Yaxınlıqdakı sakinlər səs-küy çirklənməsinə qarşı çıxırlar.
居住	yaşamaq	Onlar burada on il yaşayıblar.
拘留	saxlamaq	Polis şübhəlini qanuna uyğun olaraq saxladı.
拘束	sıxılmaq	Dostların yanında sıxılmağa ehtiyac yoxdur.
鞠躬	baş əymək	Aktyor tamaşaçılara təşəkkür üçün baş əydi.
局部	yerli	Həkim yalnız yerli keyitmə etdi.
局面	vəziyyət	Danışıqlar gərgin vəziyyəti yaxşılaşdırdı.
局势	durum	Beynəlxalq durum hələ də mürəkkəbdir.
局限	məhdudiyyət	Bu üsulun açıq məhdudiyyəti var.
举动	hərəkət	Onun hərəkəti hamını çox təsirləndirdi.
举世瞩目	dünya diqqətini cəlb etmək	Bu layihə dünya diqqətini cəlb edən nailiyyət qazandı.
举足轻重	həlledici rol oynamaq	Bu şirkət sahədə həlledici rol oynayır.
咀嚼	çeynəmək	Yemək yeyərkən yavaş-yavaş çeynəmək lazımdır.
沮丧	ruhdan düşmüş	O, oyunu uduzandan sonra çox ruhdan düşdü.
剧本	ssenari	Rejissor ssenarini düzəldir.
剧烈	şiddətli	Yerdə şiddətli silkələnmə baş verdi.
据悉	məlumata görə	Məlumata görə, iclas gələn həftəyə təxirə salınacaq.
聚精会神	diqqətlə cəmləşmək	Uşaqlar dərsi tam diqqətlə dinlədilər.
卷	bükmək	O, xəritəni büküb çantasına qoydu.
倔强	inadkar	Bu uşağın xarakteri çox inadkardır.
决策	qərar	Rəhbərlik vacib qərarı müzakirə edir.
绝望	ümidsizlik	Uğursuzluqdan sonra o, bir müddət ümidsizlik hiss etdi.
觉悟	şüur	Bu təcrübə onun şüurunu yüksəltdi.
觉醒	oyanmaq	İctimaiyyətin ekoloji şüuru oyanır.
军队	ordu	Ordu fəlakət bölgəsinə tez çatdı.
君子	alicənab insan	Alicənab insanın sözü və əməli uyğun olmalıdır.
卡通	cizgi filmi	Uşaq cizgi filmlərinə baxmağı sevir.
开采	çıxarmaq	Bu şirkət faydalı qazıntıların çıxarılmasına cavabdehdir.
开除	qovmaq	Məktəb köçürən şagirdi qovmağa qərar verdi.
开阔	geniş	Dağın başında mənzərə çox genişdir.
开朗	şən	Onun xasiyyəti şəndir və dostları çoxdur.
开明	açıq fikirli	Valideynlərin münasibəti çox açıq fikirlidir.
开辟	açmaq	Şəhər yeni avtobus xətti açdı.
开拓	genişləndirmək	Şirkət xarici bazarları genişləndirməyi planlaşdırır.
开展	keçirmək	Məktəb təhlükəsizlik maarifləndirmə fəaliyyəti keçirdi.
开支	xərc	Ailənin aylıq xərci artdı.
刊登	dərc etmək	Qəzet onun məqaləsini dərc etdi.
刊物	nəşr	Bu nəşr ayda bir dəfə çıxır.
勘探	kəşfiyyat aparmaq	Mühəndis qrupu yeraltı su mənbələri üçün kəşfiyyat aparır.
侃侃而谈	əminliklə uzun danışmaq	O, iclasda əminliklə uzun danışdı.
砍伐	kəsmək	Meşələri özbaşına kəsmək qadağandır.
看待	baxmaq	Biz bu məsələyə obyektiv baxmalıyıq.
慷慨	səxavətli	O, mükafat pulunu səxavətlə bağışladı.
抗议	etiraz etmək	Sakinlər yeni zavod tikintisinə etiraz etdilər.
考察	yerində araşdırmaq	Mütəxəssislər mühiti yerində araşdırmaq üçün sahəyə getdilər.
考古	arxeologiya	Arxeoloqlar qədim məzarlar tapdılar.
考核	qiymətləndirmək	Şirkət hər il işçilərin performansını qiymətləndirir.
考验	sınaqdan keçirmək	Bu böhran komandanın bacarığını sınaqdan keçirdi.
靠拢	yaxınlaşmaq	Komanda üzvləri ortaya doğru yaxınlaşdılar.
磕	dəymək	O, ehtiyatsızlıqdan masanın küncünə dəydi.
科目	fənn	Riyaziyyat onun ən sevdiyi fəndir.
可观	xeyli	Bu investisiya xeyli gəlir gətirdi.
可口	dadlı	Bu restoranın yeməkləri çox dadlıdır.
可恶	iyrənc	Bu cür aldatma davranışı həqiqətən iyrəncdir.
可行	mümkün	Bu plan əsasən mümkündür.
渴望	can atmaq	Uşaqlar daha çox imkan əldə etməyə can atırlar.
克制	nəzarətdə saxlamaq	Mübahisə zamanı hisslərini nəzarətdə saxlamaq lazımdır.
刻不容缓	təxirəsalınmaz	Su mənbələrini qorumaq təxirəsalınmazdır.
客户	müştəri	Müştəri xidmətdən çox razıdır.
课题	mövzu	Bu mövzu dərin araşdırmaya layiqdir.
啃	gəmirmək	Uşaq bir qarğıdalı parçasını gəmirir.
恳切	səmimi	O, hamıdan səmimi şəkildə kömək istədi.
坑	çuxur	Yol kənarında çox dərin çuxur var.
空洞	boş	Bu hesabatın məzmunu boşdur.
空前绝后	bənzəri olmayan	Bu tamaşanı bənzəri olmayan adlandırmaq olar.
空想	xəyal	Yalnız xəyalla problemi həll etmək olmaz.
空虚	boşluq	Gərginlik keçəndən sonra o, boşluq hiss etdi.
孔	deşik	Divarda kiçik bir deşik var.
恐怖	qorxulu	O filmin atmosferi çox qorxuludur.
恐吓	hədələmək	Qarşı tərəf şahidi hədələdi.
恐惧	qorxu	Qaranlıq uşaqda qorxu yaratdı.
空白	boş yer	Zəhmət olmasa, boş yerdə imza atın.
空隙	boşluq	Qapı ilə döşəmə arasında boşluq var.
口气	ton	Onun danışıq tonu çox sərt idi.
口腔	ağız boşluğu	Həkim onun ağız boşluğunu yoxladı.
口头	şifahi	Onların yalnız şifahi razılaşması var.
口音	ləhcə	Onun standart Çin dilində bir az ləhcə var.
扣	bağlamaq	Zəhmət olmasa, təhlükəsizlik kəmərini bağlayın.
哭泣	ağlamaq	Qız küncdə gizlənib ağlayırdı.
枯萎	solmaq	Susuzluq güllərin solmasına səbəb oldu.
枯燥	darıxdırıcı	Bu iş bir az darıxdırıcıdır.
苦尽甘来	zəhmətin bəhrəsini görmək	İllərlə səbirdən sonra nəhayət zəhmətinin bəhrəsini gördü.
苦涩	acı	Bu dərman çayının dadı acıdır.
挎	qoluna taxmaq	O, parça çantasını qoluna taxıb evdən çıxdı.
跨	üstündən keçmək	O, arxın üstündən keçib irəli getdi.
快活	şən	Uşaqlar çəməndə şən oynayırdılar.
宽敞	geniş	Bu sinif otağı işıqlı və genişdir.
宽容	dözümlülük	Cəmiyyətə daha çox anlayış və dözümlülük lazımdır.
款待	qonaqlamaq	Ev sahibi qonaqları səmimi qonaqladı.
款式	üslub	Bu geyimin üslubu çox yenidir.
筐	səbət	O, bir səbət alma ilə evə qayıtdı.
况且	üstəlik	Yol uzaqdır, üstəlik hava qaralır.
旷课	dərsdən yayınmaq	Səbəbsiz dərsdən yayınan şagird qeyd olunacaq.
框架	çərçivə	Hesabat üçün əvvəlcə çərçivəni müəyyən etmək lazımdır.
矿产	faydalı qazıntılar	Bu bölgə faydalı qazıntılarla zəngindir.
亏待	pis davranmaq	Şirkət ciddi çalışan işçilərə pis davranmayacaq.
亏损	zərər	Zavod bu il ciddi zərər gördü.
捆绑	bağlamaq	Zəhmət olmasa, bu qutuları möhkəm bağlayın.
扩充	genişləndirmək	Məktəb kitabxana fondunu genişləndirməyi planlaşdırır.
扩散	yayılmaq	Şayiə internetdə tez yayıldı.
扩张	genişlənmək	Şirkət biznesini ehtiyatla genişləndirir.
啦	sonluq hissəciyi	Narahat olma, hər şey yaxşı olacaq.
喇叭	siqnal	Avtomobil siqnalı qəfil səsləndi.
蜡烛	şam	Ad günü tortunun üstünə şamlar qoyulmuşdu.
来历	mənşə	Bu mədəniyyət əşyasının mənşəyi məlum deyil.
来源	mənbə	Xəbərdə məlumat mənbəyi göstərilməlidir.
栏目	rubrika	Bu rubrika həftədə bir dəfə yayımlanır.
懒惰	tənbəllik	Tənbəllik öyrənmə nəticəsinə təsir edə bilər.
狼狈	pis vəziyyətdə	Yağışdan sonra o, başdan-ayağa islanmış və çox pis vəziyyətdə idi.
狼吞虎咽	acgözlüklə yemək	O, çox ac idi və yeməyi acgözlüklə yedi.
捞	çıxarmaq	Balıqçı çaydan bir tor çıxardı.
唠叨	deyinmək	Ana həmişə xırda şeylərə görə deyinir.
牢固	möhkəm	Bu körpünün quruluşu çox möhkəmdir.
牢骚	giley	O, gileylə doludur, amma dəyişmək istəmir.
乐趣	zövq	Kitab oxumaq ona çox zövq verir.
乐意	məmnuniyyətlə	Mən sənin CV-ni düzəltməyə məmnuniyyətlə kömək edərəm.
雷达	radar	Radar uzaqdakı təyyarəni aşkar etdi.
类似	oxşar	Oxşar problemlər əvvəllər də ortaya çıxıb.
冷酷	soyuq	Onun danışıq tonu çox soyuq səsləndi.
冷落	diqqətsiz qalmaq	Yeni işçi özünü diqqətsiz qalmış hiss etdi.
冷却	soyumaq	Maşın təmirdən əvvəl soyumalıdır.
愣	donub qalmaq	Xəbəri eşidəndə o, donub qaldı.
黎明	sübh	Sübh vaxtı şəhər tədricən oyandı.
理睬	fikir vermək	O, hirslənmişdi və heç kimə fikir vermirdi.
理所当然	təbii saymaq	Başqalarının köməyini təbii sayma.
理直气壮	haqlı olaraq inamla danışmaq	Sübutlar kifayət idi, ona görə o, haqlı olaraq inamla danışdı.
理智	ağıl	Münaqişə zamanı ağlı qorumaq lazımdır.
礼节	etiket	Fərqli mədəniyyətlərin fərqli etiketi var.
礼尚往来	nəzakətə nəzakətlə cavab vermək	Qonşular arasında nəzakətə nəzakətlə cavab vermək önəmlidir.
里程碑	mərhələ	Bu uğur layihə üçün mühüm mərhələdir.
例外	istisna	Hamı iştirak etməlidir, istisna yoxdur.
利害	maraqlar	Bu, hər iki tərəfin maraqlarına aiddir.
力求	çalışmaq	Biz səhvləri minimuma endirməyə çalışırıq.
力所能及	gücü çatan	Zəhmət olmasa, gücünüz çatan işləri edin.
力争	nail olmağa çalışmaq	Komanda tapşırığı vaxtından əvvəl bitirməyə çalışır.
历代	keçmiş nəsillər	Keçmiş nəsillərin alimləri bu məsələni araşdırıblar.
历来	həmişə	Bu şəhər həmişə təhsilə önəm verib.
立场	mövqe	O, iclasda mövqeyini bildirdi.
立方	kub	Bu su çəninin tutumu üç kub metrdir.
立交桥	estakada	Bu estakada nəqliyyat sıxlığını azaltdı.
立体	üçölçülü	Bu rəsmdə güclü üçölçülü təsir var.
立足	əsaslanmaq	Şirkətlər yerli bazara əsaslanmalıdır.
粒	dənə	Masanın üstündə bir neçə düyü dənəsi var.
廉洁	dürüst və təmiz	Dövlət qulluqçuları dürüst və təmiz qalmalıdır.
联欢	şənlik keçirmək	Sinif yoldaşları Yeni il şənliyi keçirdilər.
联络	əlaqə saxlamaq	Zəhmət olmasa, müştəri ilə mümkün qədər tez əlaqə saxlayın.
联盟	ittifaq	Bir neçə ölkə ticarət ittifaqı yaratdı.
联想	xatırlatmaq	Bu foto mənə uşaqlığımı xatırladır.
连年	illər boyu	Bu bölgə illər boyu daşqınlardan əziyyət çəkib.
连锁	şəbəkə	Bu şirkət supermarket şəbəkəsi işlədir.
连同	birlikdə	Zəhmət olmasa, qaiməni müqavilə ilə birlikdə göndərin.
良心	vicdan	İnsan vicdanına qarşı çıxmadan yaşamalıdır.
晾	qurutmaq	O, paltarları eyvanda qurutmağa asdı.
谅解	anlayış	Ümid edirəm ki, çətinliyimizi anlayarsınız.
辽阔	geniş	Çöl genişdir, sonu gözə görünmür.
列举	sadalamaq	Müəllim üç nümunə sadaladı.
临床	klinik	Bu dərman klinik sınaqlardan keçirilir.
淋	islanmaq	Yağışda çox uzun müddət islanma.
吝啬	xəsis	O, dostlarına qarşı heç vaxt xəsis deyil.
伶俐	zirək	Bu balaca qız ağıllı və zirəkdir.
凌晨	gecə yarısından sonra	Təyyarə gecə saat üçdə qalxır.
灵感	ilham	Musiqi ona yaradıcılıq ilhamı verdi.
灵魂	ruh	Azadlıq bu əsərin ruhudur.
