simplified	MY	example_MY
品种	မျိုးကွဲ; အမျိုးအစား	ဤဥယျာဉ်တွင် နှင်းဆီမျိုးကွဲများစွာ ရှိသည်။
屏幕	မျက်နှာပြင်	ကွန်ပျူတာမျက်နှာပြင်ကို အချိန်ကြာကြည့်လျှင် မျက်စိပင်ပန်းနိုင်သည်။
屏障	အကာအရံ	တောင်တန်းသည် မြို့ကို လေပြင်းမှ ကာကွယ်သော သဘာဝအကာအရံ ဖြစ်သည်။
平凡	သာမန်သော	သူသည် သာမန်သောအလုပ်ကိုပင် တာဝန်ကျေပွန်စွာ လုပ်ဆောင်သည်။
平面	ပြင်ညီ; မျက်နှာပြင်	ဒီဇိုင်နာသည် အဆောက်အအုံ၏ ပြင်ညီပုံကို ဆွဲခဲ့သည်။
平坦	ညီညာသော	ဤလမ်းသည် ညီညာပြီး စက်ဘီးစီးရန် သင့်တော်သည်။
平行	တန်းပြိုင်ဖြစ်သော	ရထားလမ်းနှစ်ကြောင်းသည် တန်းပြိုင်ဖြစ်နေသည်။
平庸	သာမန်ညံ့ဖျင်းသော	သူသည် သာမန်ညံ့ဖျင်းသောရလဒ်ကို လက်မခံဘဲ ပိုကြိုးစားသည်။
平原	မြေပြန့်	မြေပြန့်ဒေသတွင် စိုက်ပျိုးရေးလုပ်ငန်း ဖွံ့ဖြိုးသည်။
评估	အကဲဖြတ်သည်	ကျွမ်းကျင်သူများသည် စီမံကိန်း၏ အန္တရာယ်ကို အကဲဖြတ်နေကြသည်။
评论	မှတ်ချက်ပေးသည်; သုံးသပ်ချက်	စာဖတ်သူများသည် ဆောင်းပါးအောက်တွင် မှတ်ချက်များ ပေးခဲ့ကြသည်။
坡	တောင်စောင်း; လျှောစောင်း	ကားသည် တောင်စောင်းပေါ်သို့ ဖြည်းဖြည်းတက်နေသည်။
泼	ဖြန်းပက်သည်; ဖိတ်ချသည်	ကလေးသည် ရေကို မြေပေါ်သို့ မတော်တဆ ဖိတ်ချခဲ့သည်။
颇	အတော်လေး	ဤစာအုပ်သည် အတော်လေး စိတ်ဝင်စားဖွယ်ကောင်းသည်။
破例	ခြွင်းချက်ပြုသည်	အခြေအနေထူးခြားသောကြောင့် ကျောင်းသည် တစ်ကြိမ်သာ ခြွင်းချက်ပြုခဲ့သည်။
迫不及待	မစောင့်နိုင်လောက်အောင် အလျင်လိုသော	ကလေးများသည် လက်ဆောင်ဖွင့်ရန် မစောင့်နိုင်လောက်အောင် အလျင်လိုနေကြသည်။
迫害	နှိပ်စက်ညှဉ်းပန်းသည်	သမိုင်းတွင် အချို့အုပ်စုများသည် ယုံကြည်ချက်ကြောင့် နှိပ်စက်ညှဉ်းပန်းခံခဲ့ရသည်။
魄力	ရဲရင့်ပြတ်သားမှု	ခေါင်းဆောင်ကောင်းတစ်ဦးတွင် ရဲရင့်ပြတ်သားမှု လိုအပ်သည်။
扑	ခုန်ဝင်သည်; ဖိဖမ်းသည်	ကြောင်သည် ကြွက်ကို ဖမ်းရန် ရုတ်တရက် ခုန်ဝင်လိုက်သည်။
铺	ဆိုင်; ခင်းသည်	လမ်းဘေးဆိုင်သည် မနက်စောစော ဖွင့်သည်။
普及	ကျယ်ကျယ်ပြန့်ပြန့်ဖြန့်ဝေသည်	အင်တာနက်အသုံးပြုမှုသည် ကျေးလက်ဒေသများတွင်လည်း ကျယ်ကျယ်ပြန့်ပြန့်ဖြစ်လာသည်။
朴实	ရိုးသားရိုးရှင်းသော	သူ၏ ရိုးသားရိုးရှင်းသော စကားလုံးများက လူများကို ထိခိုက်စေသည်။
朴素	ရိုးရိုးရှင်းရှင်းသော	သူမသည် ရိုးရိုးရှင်းရှင်းသော အဝတ်အစားကို နှစ်သက်သည်။
瀑布	ရေတံခွန်	တောင်ကြားရှိ ရေတံခွန်သည် ခရီးသွားများကို ဆွဲဆောင်သည်။
凄凉	ဝမ်းနည်းဆိတ်ညံသော	စွန့်ပစ်ထားသောရွာသည် ဝမ်းနည်းဆိတ်ညံသော ခံစားမှု ပေးသည်။
期望	မျှော်လင့်ချက်; မျှော်လင့်သည်	မိဘများသည် ကလေးများအပေါ် မြင့်မားသော မျှော်လင့်ချက်ထားကြသည်။
期限	သတ်မှတ်ကာလ	စာချုပ်၏ သတ်မှတ်ကာလမှာ တစ်နှစ်ဖြစ်သည်။
欺负	အနိုင်ကျင့်သည်	အားနည်းသူကို အနိုင်ကျင့်ခြင်း မပြုသင့်ပါ။
欺骗	လိမ်လည်သည်	ဖောက်သည်များကို လိမ်လည်ခြင်းသည် ယုံကြည်မှုကို ဖျက်ဆီးသည်။
奇妙	အံ့သြဖွယ်ကောင်းသော	ညကောင်းကင်ရှိ ကြယ်များသည် အံ့သြဖွယ်ကောင်းသော မြင်ကွင်းတစ်ခု ဖြစ်သည်။
旗袍	ချီဖေါင်ဝတ်စုံ	အခမ်းအနားတွင် သူမသည် လှပသော ချီဖေါင်ဝတ်စုံကို ဝတ်ထားသည်။
旗帜	အလံ	အားကစားသမားများသည် နိုင်ငံအလံကို ကိုင်ဆောင်ကာ ဝင်လာကြသည်။
歧视	ခွဲခြားဆက်ဆံသည်	အလုပ်ခွင်တွင် မည်သည့်လူမျိုးကိုမျှ ခွဲခြားဆက်ဆံခြင်း မပြုရ။
齐全	ပြည့်စုံသော	ဤဆိုင်တွင် ခရီးသွားပစ္စည်းများ ပြည့်စုံစွာ ရရှိနိုင်သည်။
齐心协力	စည်းလုံးညီညွတ်စွာ ကြိုးစားသည်	ရွာသားများသည် တံတားပြုပြင်ရန် စည်းလုံးညီညွတ်စွာ ကြိုးစားခဲ့ကြသည်။
乞丐	သူတောင်းစား	လမ်းထောင့်တွင် သူတောင်းစားတစ်ဦး အစားအစာ တောင်းနေသည်။
企图	ကြံစည်မှု; ကြိုးပမ်းချက်	သူတို့၏ လိမ်လည်ကြံစည်မှုကို ရဲများက ဖော်ထုတ်ခဲ့သည်။
启程	ခရီးစတင်ထွက်ခွာသည်	အဖွဲ့သည် မနက်စောစော တောင်တက်ခရီး စတင်ထွက်ခွာမည်။
启蒙	အသိပညာဖွင့်ပေးသည်	ကလေးများအတွက် ပုံပြင်စာအုပ်များသည် အသိပညာဖွင့်ပေးရာတွင် အရေးကြီးသည်။
启事	ကြေညာချက်	ကျောင်းဝင်ပေါက်တွင် ပျောက်ဆုံးပစ္စည်းကြေညာချက်ကို ကပ်ထားသည်။
启示	သင်ခန်းစာ; အသိအမြင်ဖွင့်ပေးမှု	ဤဖြစ်ရပ်က ကျွန်ုပ်တို့အား အချိန်စီမံခန့်ခွဲမှု၏ အရေးကြီးမှုကို သင်ခန်းစာပေးသည်။
岂有此理	လုံးဝမဖြစ်သင့်သော	ဤကဲ့သို့သော မတရားသောဆုံးဖြတ်ချက်သည် လုံးဝမဖြစ်သင့်ပါ။
起草	မူကြမ်းရေးဆွဲသည်	ရှေ့နေသည် စာချုပ်မူကြမ်းကို ရေးဆွဲနေသည်။
起初	အစပိုင်းတွင်	အစပိုင်းတွင် သူသည် အလုပ်ကို ခက်ခဲသည်ဟု ထင်ခဲ့သည်။
起伏	အတက်အကျ	တောင်တန်း၏ အတက်အကျများကြောင့် ခရီးလမ်း ခက်ခဲသည်။
起哄	ဆူညံအနှောင့်အယှက်ပြုသည်	လူငယ်အချို့သည် အစည်းအဝေးတွင် ဆူညံအနှောင့်အယှက်ပြုခဲ့ကြသည်။
起码	အနည်းဆုံး	ဤအလုပ်အတွက် အနည်းဆုံး လူသုံးဦး လိုအပ်သည်။
起源	မူလဇစ်မြစ်	ဤရိုးရာပွဲတော်၏ မူလဇစ်မြစ်ကို သမိုင်းတွင် ရှာတွေ့နိုင်သည်။
器材	ကိရိယာပစ္စည်း	အားကစားခန်းမတွင် လေ့ကျင့်ရေးကိရိယာပစ္စည်းများ ပြည့်စုံသည်။
器官	ကိုယ်အင်္ဂါ	နှလုံးသည် လူ့ခန္ဓာကိုယ်၏ အရေးကြီးသော ကိုယ်အင်္ဂါ ဖြစ်သည်။
气概	စိတ်ဓာတ်ရဲရင့်မှု	သူ၏ စိတ်ဓာတ်ရဲရင့်မှုသည် အသင်းသားများကို အားတက်စေသည်။
气功	ချီဂုံ	ဥယျာဉ်တွင် လူကြီးများသည် မနက်တိုင်း ချီဂုံလေ့ကျင့်ကြသည်။
气魄	ရဲရင့်ခမ်းနားမှု	ဤအဆောက်အအုံ၏ ဒီဇိုင်းတွင် ရဲရင့်ခမ်းနားမှု ထင်ရှားသည်။
气色	မျက်နှာသွေးရောင်	နားပြီးနောက် သူ၏ မျက်နှာသွေးရောင် ပိုကောင်းလာသည်။
气势	အရှိန်အဟုန်; ခမ်းနားမှု	အဖွဲ့၏ အရှိန်အဟုန်သည် ပွဲအစကတည်းက ပြင်းထန်ခဲ့သည်။
气味	အနံ့	မီးဖိုချောင်မှ ဟင်းအနံ့က အလွန်မွှေးသည်။
气象	မိုးလေဝသ; အသွင်အပြင်	မိုးလေဝသဌာနသည် မုန်တိုင်းသတိပေးချက် ထုတ်ပြန်ခဲ့သည်။
气压	လေဖိအား	တောင်ပေါ်တွင် လေဖိအား နည်းသဖြင့် အသက်ရှူရန် ခက်နိုင်သည်။
气质	ကိုယ်ရည်ကိုယ်သွေး	သူမ၏ တည်ငြိမ်သော ကိုယ်ရည်ကိုယ်သွေးက လူများကို ယုံကြည်စေသည်။
迄今为止	ယခုအချိန်အထိ	ယခုအချိန်အထိ စီမံကိန်းသည် စီစဉ်ထားသည့်အတိုင်း တိုးတက်နေသည်။
掐	ညှစ်ဆိတ်သည်	သူမသည် ပန်းတစ်ပွင့်ကို ညင်သာစွာ ဆိတ်ယူခဲ့သည်။
恰当	သင့်လျော်သော	အခြေအနေနှင့် သင့်လျော်သော စကားလုံးများကို ရွေးသင့်သည်။
恰到好处	အတိအကျသင့်လျော်သော	သူ၏ ဟာသသည် အချိန်နှင့် အတိအကျသင့်လျော်ခဲ့သည်။
恰巧	တိုက်တိုက်ဆိုင်ဆိုင်	သူမကို ရှာနေချိန်မှာပဲ တိုက်တိုက်ဆိုင်ဆိုင် လမ်းမှာ တွေ့ခဲ့သည်။
洽谈	ညှိနှိုင်းဆွေးနွေးသည်	ကုမ္ပဏီနှစ်ခုသည် ပူးပေါင်းရေးအတွက် ညှိနှိုင်းဆွေးနွေးနေကြသည်။
千方百计	နည်းလမ်းမျိုးစုံဖြင့်	အဖွဲ့သည် ပြဿနာကို ဖြေရှင်းရန် နည်းလမ်းမျိုးစုံဖြင့် ကြိုးစားခဲ့သည်။
牵	ဆွဲခေါ်သည်; လက်တွဲသည်	မိခင်သည် ကလေး၏ လက်ကို တွဲပြီး လမ်းဖြတ်ကူးခဲ့သည်။
牵扯	ပါဝင်ဆက်စပ်သည်	ဤကိစ္စသည် ဌာနများစွာနှင့် ပါဝင်ဆက်စပ်နေသည်။
牵制	ချုပ်ကိုင်ကန့်သတ်သည်	ရန်သူ၏ လှုပ်ရှားမှုကို ချုပ်ကိုင်ကန့်သတ်ရန် အစီအစဉ်ချခဲ့သည်။
签署	လက်မှတ်ရေးထိုးသည်	နှစ်နိုင်ငံသည် ကုန်သွယ်ရေးသဘောတူညီချက်ကို လက်မှတ်ရေးထိုးခဲ့ကြသည်။
谦逊	နှိမ့်ချသော	အောင်မြင်မှုများစွာ ရခဲ့သော်လည်း သူသည် အမြဲနှိမ့်ချနေသည်။
迁就	လိုက်လျောညှိနှိုင်းသည်	အခြားသူများကို အလွန်လိုက်လျောညှိနှိုင်းလျှင် မိမိလိုအပ်ချက်များကို မေ့နိုင်သည်။
迁徙	ရွှေ့ပြောင်းနေထိုင်သည်	ရာသီပြောင်းချိန်တွင် ငှက်များသည် တောင်ဘက်သို့ ရွှေ့ပြောင်းသွားကြသည်။
前景	အနာဂတ်အလားအလာ	ဤနည်းပညာ၏ အနာဂတ်အလားအလာသည် အလွန်ကောင်းသည်။
前提	ကြိုတင်အခြေအနေ	ယုံကြည်မှုသည် ပူးပေါင်းဆောင်ရွက်မှု၏ ကြိုတင်အခြေအနေ ဖြစ်သည်။
潜力	အလားအလာ	သူသည် ငယ်ရွယ်သော်လည်း ကြီးမားသော အလားအလာ ရှိသည်။
潜水	ရေငုပ်သည်	ခရီးသွားများသည် ပင်လယ်ထဲတွင် ရေငုပ်ရန် သွားကြသည်။
潜移默化	မသိမသာ သက်ရောက်ပြောင်းလဲစေသည်	မိသားစုပတ်ဝန်းကျင်သည် ကလေး၏ အပြုအမူကို မသိမသာ သက်ရောက်ပြောင်းလဲစေသည်။
谴责	ပြင်းထန်စွာရှုတ်ချသည်	နိုင်ငံတကာအဖွဲ့အစည်းများသည် အကြမ်းဖက်မှုကို ပြင်းထန်စွာရှုတ်ချခဲ့ကြသည်။
抢劫	လုယက်သည်	ဘဏ်လုယက်မှုဖြစ်ပြီးနောက် ရဲများက လမ်းများကို ပိတ်ဆို့ခဲ့သည်။
强制	အတင်းအကျပ်ပြုသည်	ကျောင်းတွင် လုံခြုံရေးလေ့ကျင့်မှုကို အတင်းအကျပ်ပါဝင်ရမည်ဟု သတ်မှတ်ထားသည်။
强迫	ဖိအားပေးအတင်းလုပ်စေသည်	မိဘများသည် ကလေးကို မိမိမနှစ်သက်သောအရာကို အတင်းလုပ်စေခြင်း မပြုသင့်ပါ။
抢救	အရေးပေါ်ကယ်ဆယ်သည်	ဆရာဝန်များသည် ဒဏ်ရာရသူကို အရေးပေါ်ကယ်ဆယ်ခဲ့ကြသည်။
桥梁	တံတား	ဘာသာစကားသည် ယဉ်ကျေးမှုများအကြား တံတားတစ်စင်း ဖြစ်နိုင်သည်။
窍门	နည်းလမ်းကောင်း; လျှို့ဝှက်နည်း	ဤစက်ကို သုံးရာတွင် နည်းလမ်းကောင်းတစ်ခု ရှိသည်။
翘	ထင်ရှားသော; မြှောက်သည်	သူသည် အတန်းထဲတွင် ထင်ရှားသော ကျောင်းသားတစ်ဦး ဖြစ်သည်။
切实	လက်တွေ့ကျသော	ပြဿနာကို ဖြေရှင်းရန် လက်တွေ့ကျသော အစီအစဉ် လိုအပ်သည်။
锲而不舍	ဇွဲမလျှော့ဘဲ ဆက်ကြိုးစားသည်	သူသည် ပန်းတိုင်မရောက်မချင်း ဇွဲမလျှော့ဘဲ ဆက်ကြိုးစားခဲ့သည်။
亲密	ရင်းနှီးသော	သူတို့နှစ်ဦးသည် ငယ်စဉ်ကတည်းက ရင်းနှီးသော မိတ်ဆွေများ ဖြစ်သည်။
亲热	ချစ်ခင်နွေးထွေးသော	အဘိုးအဘွားများသည် မြေးများကို ချစ်ခင်နွေးထွေးစွာ ကြိုဆိုကြသည်။
侵犯	ချိုးဖောက်သည်	မည်သူမျှ အခြားသူ၏ ကိုယ်ရေးကိုယ်တာအခွင့်အရေးကို ချိုးဖောက်ခွင့်မရှိပါ။
侵略	ကျူးကျော်တိုက်ခိုက်မှု	သမိုင်းစာအုပ်တွင် နိုင်ငံခြားကျူးကျော်တိုက်ခိုက်မှုများကို ဖော်ပြထားသည်။
钦佩	လေးစားအားကျသည်	ကျွန်ုပ်သည် သူ၏ ရိုးသားမှုနှင့် သတ္တိကို လေးစားအားကျသည်။
勤俭	အလုပ်ကြိုးစားပြီး ချွေတာသော	သူတို့မိသားစုသည် အလုပ်ကြိုးစားပြီး ချွေတာသော အလေ့အကျင့်ရှိသည်။
勤劳	အလုပ်ကြိုးစားသော	ရွာသားများသည် အလုပ်ကြိုးစားပြီး မြေကို ကောင်းစွာစိုက်ပျိုးကြသည်။
倾听	ဂရုတစိုက်နားထောင်သည်	ခေါင်းဆောင်ကောင်းသည် ဝန်ထမ်းများ၏ အသံကို ဂရုတစိုက်နားထောင်သင့်သည်။
倾向	လိုလားသဘောထား; ဦးတည်ချက်	လူငယ်များသည် အွန်လိုင်းသင်ယူမှုကို ပို၍လိုလားသည့် သဘောထားရှိကြသည်။
倾斜	စောင်းသည်	အဟောင်းအိမ်၏ နံရံသည် အနည်းငယ် စောင်းနေသည်။
清澈	ကြည်လင်သော	တောင်ပေါ်မြစ်ရေသည် အလွန်ကြည်လင်သည်။
清晨	မနက်စောစော	မနက်စောစောတွင် ဥယျာဉ်ထဲ၌ လေကောင်းလေသန့် ရသည်။
清除	ရှင်းလင်းဖယ်ရှားသည်	လုပ်သားများသည် လမ်းပေါ်ရှိ အမှိုက်များကို ရှင်းလင်းဖယ်ရှားခဲ့ကြသည်။
清洁	သန့်ရှင်းသော; သန့်ရှင်းရေးလုပ်သည်	ဆေးရုံအခန်းများကို နေ့တိုင်း သန့်ရှင်းရေးလုပ်ရသည်။
清理	ရှင်းလင်းစီစဉ်သည်	အားလပ်ရက်မတိုင်မီ ရုံးစားပွဲကို ရှင်းလင်းစီစဉ်ပါ။
清晰	ရှင်းလင်းပြတ်သားသော	အစီရင်ခံစာတွင် အချက်အလက်များကို ရှင်းလင်းပြတ်သားစွာ ဖော်ပြထားသည်။
清醒	သတိကြည်လင်သော	ညအိပ်ရေးကောင်းပြီးနောက် သူ၏ စိတ်သည် သတိကြည်လင်လာသည်။
清真	ဟလာလ်; အစ္စလာမ်ဘာသာဆိုင်ရာ	ဤစားသောက်ဆိုင်သည် ဟလာလ်အစားအစာများကို ပေးသည်။
情报	ထောက်လှမ်းရေးအချက်အလက်	အဖွဲ့သည် လုံခြုံရေးဆိုင်ရာ ထောက်လှမ်းရေးအချက်အလက်များကို စုဆောင်းခဲ့သည်။
情节	ဇာတ်လမ်းအပိုင်း	ဤရုပ်ရှင်၏ ဇာတ်လမ်းအပိုင်းများသည် တင်းကျပ်စွာ ဆက်စပ်နေသည်။
情理	အကြောင်းတရားနှင့် လူ့ခံစားမှု	သူ၏ တောင်းဆိုချက်သည် အကြောင်းတရားနှင့် လူ့ခံစားမှု နှစ်ဖက်လုံးနှင့် ကိုက်ညီသည်။
情形	အခြေအနေ	အခြေအနေပြောင်းလဲလျှင် အစီအစဉ်ကို ပြန်လည်ညှိရမည်။
晴朗	ကြည်လင်သော	ယနေ့ မိုးကောင်းကင်သည် ကြည်လင်ပြီး နေရောင်လည်း ကောင်းသည်။
请柬	ဖိတ်စာ	သူတို့သည် မင်္ဂလာဆောင်ဖိတ်စာများကို မိတ်ဆွေများထံ ပို့ခဲ့ကြသည်။
请教	အကြံဉာဏ်တောင်းသည်	ပြဿနာမဖြေရှင်းနိုင်လျှင် ဆရာထံ အကြံဉာဏ်တောင်းနိုင်သည်။
请示	ညွှန်ကြားချက်တောင်းခံသည်	ဝန်ထမ်းသည် ဆုံးဖြတ်ချက်မချမီ မန်နေဂျာထံ ညွှန်ကြားချက်တောင်းခံခဲ့သည်။
请帖	ဖိတ်စာ	မွေးနေ့ပွဲဖိတ်စာကို သူငယ်ချင်းများထံ ပို့ထားသည်။
丘陵	ကုန်းမြင့်တောင်ကုန်းများ	ဤဒေသတွင် ကုန်းမြင့်တောင်ကုန်းများ အများအပြား ရှိသည်။
区分	ခွဲခြားသည်	ကလေးများသည် အရောင်အမျိုးမျိုးကို ခွဲခြားတတ်လာသည်။
区域	ဒေသ; ဧရိယာ	ဤဒေသတွင် ဆောက်လုပ်ရေးလုပ်ငန်းများ မြန်မြန်ဖွံ့ဖြိုးနေသည်။
屈服	လက်မြှောက်အညံ့ခံသည်	အခက်အခဲများကြားတွင် သူသည် မလက်မြှောက်ဘဲ ဆက်ကြိုးစားခဲ့သည်။
曲折	ကွေ့ကောက်သော; ရှုပ်ထွေးသော	အောင်မြင်မှုလမ်းကြောင်းသည် ကွေ့ကောက်ရှုပ်ထွေးနိုင်သည်။
驱逐	မောင်းထုတ်သည်	တရားမဝင်နေထိုင်သူများကို နယ်စပ်မှ မောင်းထုတ်ခဲ့သည်။
渠道	လမ်းကြောင်း; ချန်နယ်	ကုမ္ပဏီသည် ရောင်းချရေးလမ်းကြောင်းအသစ်များ ရှာဖွေနေသည်။
取缔	ပိတ်ပင်နှိမ်နင်းသည်	အစိုးရသည် တရားမဝင်စျေးကွက်များကို ပိတ်ပင်နှိမ်နင်းခဲ့သည်။
曲子	တေးသွား	သူမသည် ညနေတိုင်း တေးသွားအသစ်တစ်ပုဒ် လေ့ကျင့်သည်။
趣味	စိတ်ဝင်စားစရာ; အရသာ	ဤပြတိုက်တွင် ကလေးများအတွက် စိတ်ဝင်စားစရာ လှုပ်ရှားမှုများ ရှိသည်။
圈套	ထောင်ချောက်; လှည့်ကွက်	သူသည် လိမ်လည်သူများ၏ ထောင်ချောက်ထဲ မကျအောင် သတိထားခဲ့သည်။
全局	အခြေအနေတစ်ခုလုံး	ဆုံးဖြတ်ချက်ချရာတွင် အခြေအနေတစ်ခုလုံးကို ကြည့်ရမည်။
全力以赴	အားလုံးစိုက်ထုတ်ကြိုးစားသည်	အဖွဲ့သည် ပြိုင်ပွဲအနိုင်ရရန် အားလုံးစိုက်ထုတ်ကြိုးစားခဲ့သည်။
拳头	လက်သီး	သူသည် ဒေါသထွက်သော်လည်း လက်သီးမသုံးဘဲ စကားဖြင့် ဖြေရှင်းခဲ့သည်။
权衡	ချိန်ဆစဉ်းစားသည်	ဆုံးဖြတ်ချက်မချမီ အကျိုးကျေးဇူးနှင့် အန္တရာယ်ကို ချိန်ဆစဉ်းစားရမည်။
权威	အာဏာပိုင်; ယုံကြည်စိတ်ချရသော	ဤအစီရင်ခံစာကို နယ်ပယ်အတွင်း ယုံကြည်စိတ်ချရသော အာဏာပိုင်အဖွဲ့က ထုတ်ပြန်ခဲ့သည်။
犬	ခွေး	ဤဥယျာဉ်ထဲသို့ ခွေးများ မဝင်ရဟု ဆိုင်းဘုတ်က ဖော်ပြထားသည်။
缺口	ကွာဟချက်; လိုအပ်ချက်	ဘတ်ဂျက်တွင် ကြီးမားသော ကွာဟချက်တစ်ခု ရှိနေသည်။
缺席	မတက်ရောက်သည်	သူသည် ဖျားနာသောကြောင့် အစည်းအဝေးကို မတက်ရောက်နိုင်ခဲ့ပါ။
缺陷	ချို့ယွင်းချက်	ထုတ်ကုန်တွင် ချို့ယွင်းချက်တွေ့သဖြင့် ပြန်လည်သိမ်းယူခဲ့သည်။
瘸	ခြေမသန်သော	မတော်တဆမှုအပြီး သူသည် ခေတ္တ ခြေမသန်ဖြစ်သွားသည်။
确保	သေချာစေသည်	လုပ်ငန်းပြီးစီးမှုအရည်အသွေးကို သေချာစေရန် စစ်ဆေးရမည်။
确立	တည်ထောင်သတ်မှတ်သည်	သုတေသနအဖွဲ့သည် စံနှုန်းအသစ်ကို တည်ထောင်သတ်မှတ်ခဲ့သည်။
确切	တိကျသော	ကျွန်ုပ်တို့သည် ဖြစ်ရပ်၏ တိကျသောအချိန်ကို မသိရသေးပါ။
确信	သေချာယုံကြည်သည်	သူသည် မိမိ၏ ရွေးချယ်မှုမှန်ကြောင်း သေချာယုံကြည်နေသည်။
群众	ပြည်သူလူထု	ပြည်သူလူထု၏ ထောက်ခံမှုမရှိလျှင် အစီအစဉ်အောင်မြင်ရန် ခက်ခဲသည်။
染	ဆေးဆိုးသည်; ကူးစက်သည်	သူမသည် ဆံပင်ကို အညိုရောင် ဆေးဆိုးခဲ့သည်။
嚷	အော်ဟစ်ပြောသည်	လူအုပ်ထဲတွင် တစ်ယောက်က အသံကျယ်ကျယ် အော်ဟစ်ပြောနေသည်။
让步	လိုက်လျောပေးသည်	နှစ်ဖက်စလုံး အနည်းငယ် လိုက်လျောပေးမှ သဘောတူညီမှုရနိုင်သည်။
饶恕	ခွင့်လွှတ်သည်	သူမသည် အမှားကို ဝန်ခံသောကြောင့် မိတ်ဆွေက ခွင့်လွှတ်ခဲ့သည်။
扰乱	နှောင့်ယှက်သည်	အတန်းအတွင်း ဆူညံခြင်းသည် သင်ကြားမှုကို နှောင့်ယှက်နိုင်သည်။
惹祸	ပြဿနာဖြစ်စေသည်	သူ၏ မစဉ်းစားဘဲပြောသောစကားသည် ပြဿနာဖြစ်စေခဲ့သည်။
热泪盈眶	မျက်ရည်ဝဲလောက်အောင် စိတ်လှုပ်ရှားသည်	အောင်မြင်သတင်းကို ကြားသောအခါ သူမသည် မျက်ရည်ဝဲလောက်အောင် စိတ်လှုပ်ရှားခဲ့သည်။
热门	လူကြိုက်များသော	ဤဘာသာရပ်သည် ယခုနှစ်တွင် လူကြိုက်များသော ရွေးချယ်မှု ဖြစ်လာသည်။
人道	လူသားချင်းစာနာမှု	စစ်ဘေးဒုက္ခသည်များအတွက် လူသားချင်းစာနာမှုအကူအညီ လိုအပ်သည်။
人格	ကိုယ်ရည်ကိုယ်သွေး; ဂုဏ်သိက္ခာ	လူတစ်ဦး၏ ဂုဏ်သိက္ခာကို လေးစားရမည်။
人工	လူလုပ်; လက်ဖြင့်လုပ်သော	ဤရေကန်သည် သဘာဝမဟုတ်ဘဲ လူလုပ်ရေကန် ဖြစ်သည်။
人家	အခြားသူ; အိမ်ထောင်စု	အခြားသူ၏ ကိုယ်ရေးကိုယ်တာကိစ္စကို အလွန်မေးမြန်းမနေသင့်ပါ။
人间	လူ့လောက	ကဗျာတွင် လူ့လောက၏ ပျော်ရွှင်မှုနှင့် ဝမ်းနည်းမှုကို ဖော်ပြထားသည်။
人士	ပုဂ္ဂိုလ်; နယ်ပယ်မှလူ	စီးပွားရေးနယ်ပယ်မှ ပုဂ္ဂိုလ်များသည် ဆွေးနွေးပွဲတွင် ပါဝင်ခဲ့ကြသည်။
人为	လူလုပ်; လူကြောင့်ဖြစ်သော	ဤမီးလောင်မှုသည် သဘာဝမဟုတ်ဘဲ လူကြောင့်ဖြစ်သော ဖြစ်ရပ် ဖြစ်သည်။
人性	လူ့သဘာဝ	စာရေးဆရာသည် လူ့သဘာဝ၏ ရှုပ်ထွေးမှုကို ရေးသားထားသည်။
人质	ဓားစာခံ	ရဲတပ်ဖွဲ့သည် ဓားစာခံများကို ဘေးကင်းစွာ ကယ်တင်ခဲ့သည်။
仁慈	ကြင်နာသနားသော	သူသည် ဆင်းရဲသူများအပေါ် ကြင်နာသနားသော စိတ်ရှိသည်။
忍耐	သည်းခံသည်	အခက်အခဲကြားတွင် သည်းခံနိုင်ခြင်းသည် အရေးကြီးသည်။
忍受	ခံနိုင်ရည်ရှိသည်; သည်းခံခံစားသည်	သူသည် နာကျင်မှုကို မပြောဘဲ သည်းခံခံစားခဲ့သည်။
任命	ခန့်အပ်သည်	ဘုတ်အဖွဲ့သည် သူမကို ဌာနမှူးအသစ်အဖြစ် ခန့်အပ်ခဲ့သည်။
任性	ကိုယ်ထင်ရာလုပ်သော	ကလေးသည် ကိုယ်ထင်ရာလုပ်သော အပြုအမူကြောင့် မိဘများ စိတ်ပူကြသည်။
任意	ကြိုက်သလို; မည်သည့်မဆို	ဤနေရာတွင် ကားကို ကြိုက်သလို မရပ်နားရ။
任重道远	တာဝန်ကြီးပြီး လမ်းရှည်သော	ပညာရေးပြုပြင်ပြောင်းလဲရေးသည် တာဝန်ကြီးပြီး လမ်းရှည်သော အလုပ် ဖြစ်သည်။
认定	သတ်မှတ်အတည်ပြုသည်; ခိုင်မာစွာယုံကြည်သည်	စစ်ဆေးရေးအဖွဲ့သည် မီးလောင်မှုကို မတော်တဆမှုအဖြစ် သတ်မှတ်အတည်ပြုခဲ့သည်။
认可	အသိအမှတ်ပြုသည်	သူ၏ အလုပ်အရည်အသွေးကို မန်နေဂျာက အသိအမှတ်ပြုခဲ့သည်။
仍旧	ယခင်အတိုင်း ဆက်လက်	နှစ်များကြာသော်လည်း သူ၏ အလုပ်စိတ်ဓာတ်သည် ယခင်အတိုင်း ဆက်လက်ကောင်းမွန်နေသည်။
日新月异	နေ့စဉ်လစဉ် မြန်မြန်ပြောင်းလဲတိုးတက်သော	နည်းပညာနယ်ပယ်သည် နေ့စဉ်လစဉ် မြန်မြန်ပြောင်းလဲတိုးတက်နေသည်။
