simplified	SW	example_SW
归还	kurudisha	Tafadhali rudisha vitabu kwa wakati.
规范	kiwango; kanuni	Shule iliweka viwango vya kusimamia maabara.
规格	vipimo; kiwango	Vipimo vya kundi hili la vipuri havilingani.
规划	mpango; kupanga	Mipango ya mji inahitaji kuzingatia usafiri.
规章	kanuni	Wafanyakazi lazima wafuate kanuni za kampuni.
轨道	reli; njia	Treni husafiri kwenye reli.
贵族	tabaka la waheshimiwa; mtu wa tabaka la juu	Mali hii zamani ilikuwa ya tabaka la waheshimiwa.
跪	kupiga magoti	Alipiga magoti mbele ya sanamu.
棍棒	rungu; fimbo	Polisi walitaifisha marungu kwenye eneo hilo.
国防	ulinzi wa taifa	Ujenzi wa ulinzi wa taifa unahitaji uwekezaji wa muda mrefu.
国务院	Baraza la Serikali	Baraza la Serikali lilitoa tangazo jipya.
果断	thabiti; wa kuamua haraka	Kiongozi alifanya uamuzi thabiti.
过度	kupita kiasi	Matumizi ya simu kupita kiasi yanaweza kuathiri usingizi.
过渡	mpito	Kampuni iko katika hatua ya mpito ya mabadiliko.
过奖	kunisifia kupita kiasi	Unanisifia kupita kiasi, bado ninahitaji kujifunza.
过滤	kuchuja	Kifaa hiki kinaweza kuchuja uchafu.
过失	kosa; uzembe	Ajali hii ilisababishwa na kosa la kibinadamu.
过问	kujihusisha; kuulizia	Meneja hujihusisha mara chache na mambo haya madogo.
过瘾	kuridhisha; kutosheleza hamu	Kutazama mechi hii kuliridhisha sana.
过于	kupita kiasi	Mpango huu ni mgumu kupita kiasi.
嗨	jamani; salamu	Jamani, kwa nini wewe pia umekuja?
海拔	mwinuko kutoka usawa wa bahari	Kijiji hiki kiko kwenye mwinuko mkubwa.
海滨	pwani; ufukwe	Walikaa wikendi pwani.
含糊	isiyo wazi; yenye utata	Jibu lake halikuwa wazi kabisa.
含义	maana; maana iliyofichika	Neno hili lina maana maalumu.
寒暄	kusalimiana kwa maneno ya kawaida	Baada ya kukutana, kwanza walisalimiana kwa maneno machache.
罕见	nadra	Ugonjwa huu ni nadra sana.
捍卫	kutetea; kulinda	Wakili alijitahidi kutetea haki za mteja.
航空	usafiri wa anga	Kampuni ya ndege ilifuta safari.
航天	safari za anga za juu	Mpango wa anga za juu wa China unaendelea haraka.
航行	kusafiri majini; kusafiri angani	Meli inasafiri baharini.
行列	safu; kundi	Alijiunga na safu ya wajitoleaji.
毫米	milimita	Kipande hiki cha kioo kina unene wa milimita tano.
毫无	bila kabisa	Maelezo yake hayana msingi kabisa.
豪迈	jasiri; yenye nguvu	Uimbaji wake ulikuwa jasiri na wenye nguvu.
号召	kutoa wito	Serikali ilitoa wito kwa wote kuokoa maji.
耗费	kutumia; kugharimu	Mradi huu ulitumia kiasi kikubwa cha fedha.
呵	kufoka; kukemea	Baba alipaza sauti mara moja, na mtoto akasimama mara moja.
合并	kuunganisha	Kampuni hizo mbili zinapanga kuungana mwaka ujao.
合成	kutengeneza kwa kuunganisha	Nyenzo hii inaweza kutengenezwa kwa njia bandia.
合伙	kushirikiana; kuingia ubia	Walifungua mgahawa kwa ubia.
合算	kuwa na faida; nafuu	Kupanda basi ni nafuu zaidi kuliko kuchukua teksi.
和蔼	mpole; mwenye upole	Daktari huyu huzungumza kwa upole sana.
和解	maridhiano	Pande hizo mbili hatimaye zilifikia maridhiano.
和睦	maelewano; amani	Majirani wanaishi kwa maelewano.
和气	kirafiki; mpole	Bosi huwatendea watu kwa njia ya kirafiki.
和谐	maelewano; yenye uwiano	Muziki ulifanya mazingira yawe na maelewano zaidi.
嘿	jamani	Jamani, ulisikia hilo?
痕迹	alama; nyayo	Alama za magurudumu zilibaki ardhini.
狠心	katili; asiye na huruma	Alikataa ombi la rafiki yake kwa ukatili.
恨不得	kutamani sana	Natamani nirudi nyumbani kupumzika mara moja.
哼	kuguna; kutoa sauti ya kutoridhika	Aliguna kwa kutoridhika.
横	mlalo	Tafadhali chora mstari wa mlalo kwenye karatasi.
哄	kicheko kikubwa; kelele	Kila mtu alicheka kwa sauti kubwa.
烘	kuoka; kupasha kwa moto	Mkate unaokwa kwenye tanuri.
轰动	msisimko mkubwa	Habari hii ilisababisha msisimko mkubwa nchini kote.
宏观	kwa mtazamo mpana	Tunahitaji kuchambua uchumi kwa mtazamo mpana.
宏伟	kubwa na ya kuvutia	Muundo wa daraja hili ni mkubwa na wa kuvutia.
洪水	mafuriko	Mafuriko yaliharibu madaraja kadhaa.
喉咙	koo	Alizungumza sana, na koo lake linauma kidogo.
吼	kunguruma; kupiga kelele	Alipiga kelele kubwa kuelekea mbali.
候选	mgombea	Yeye ni mwakilishi mgombea mwaka huu.
后代	vizazi vijavyo	Lazima tulinde mazingira kwa ajili ya vizazi vijavyo.
后顾之忧	wasiwasi wa baadaye	Kipato thabiti kilimwondolea wasiwasi wa baadaye.
后勤	ugavi na vifaa	Idara ya ugavi inawajibika kusambaza vifaa.
呼唤	kuita	Mama alimwita mtoto mlangoni.
呼啸	kuvuma	Upepo baridi ulivuma nje ya dirisha.
呼吁	kutoa wito	Wataalamu walitoa wito kwa wote kupunguza ubadhirifu.
忽略	kupuuza	Tafadhali usipuuze undani huu.
湖泊	ziwa	Eneo hili lina maziwa mengi ya asili.
胡乱	holela; ovyo	Usiweke vitu ovyo sakafuni.
胡须	ndevu	Ndevu zake tayari zimekuwa nyeupe.
花瓣	petali	Baada ya mvua, petali zilianguka kila mahali ardhini.
花蕾	kichipukizi cha ua	Wakati wa masika, vichipukizi vya maua hukua kwenye matawi.
华丽	ya fahari; ya kupendeza	Mavazi ya jukwaani yalikuwa ya fahari sana.
华侨	Mchina wa ng'ambo	Wachina wengi wa ng'ambo walirudi nchini kuwekeza.
划分	kugawa	Mwalimu aliwagawa wanafunzi katika makundi manne.
化肥	mbolea ya kemikali	Wakulima waliweka mbolea ya kemikali kwenye mazao.
化石	visukuku	Makumbusho yalionyesha visukuku vya dinosaur.
化验	vipimo vya maabara	Daktari alimwomba afanyiwe kipimo cha damu.
化妆	kujipodoa	Alikuwa akijipodoa kabla ya kupanda jukwaani.
画蛇添足	kuongeza kisichohitajika; kuharibu kwa kuzidisha	Kuongeza maelezo zaidi hakutakuwa na maana.
话筒	kipaza sauti	Mtangazaji alimpa hadhira kipaza sauti.
欢乐	furaha	Uwanja wa tamasha ulijaa furaha.
环节	sehemu; hatua	Kila sehemu ya mafunzo ni muhimu.
还原	kurudisha hali ya awali	Tafadhali rudisha mipangilio katika hali yake ya awali.
缓和	kupoa; kupunguza	Mahusiano kati ya pande hizo mbili yalipungua mvutano taratibu.
患者	mgonjwa	Daktari anauliza kuhusu hali ya mgonjwa.
荒凉	ukiwa; isiyo na watu	Ardhi hii inaonekana ya ukiwa sana.
荒谬	kipuuzi; isiyo na mantiki	Maelezo haya yanasikika kuwa ya kipuuzi.
荒唐	ya kipuuzi; isiyoaminika	Uamuzi wake ulikuwa wa kipuuzi mno.
皇帝	mfalme	Mfalme aliishi katika kasri kubwa.
皇后	malkia	Malkia alihudhuria sherehe.
黄昏	jioni; machweo	Wakati wa jioni, taa za barabarani ziliwashwa.
恍然大悟	kuelewa ghafla	Baada ya kusikia maelezo, alielewa ghafla.
晃	kuyumba; kuonekana kwa haraka	Kwa ukungu wa macho, alipotea machoni.
挥霍	kutapanya mali	Hapaswi kutapanya pesa za wazazi wake.
辉煌	tukufu; yenye utukufu	Mji huu una historia yenye utukufu.
回报	malipo; faida ya kurudi	Juhudi kubwa hatimaye zitaleta malipo.
回避	kuepuka	Aliendelea kuliepuka suala hili.
回顾	kupitia upya; kukumbuka	Mwishoni, mkutano ulipitia upya kazi ya mwaka.
回收	kusaga tena; kukusanya upya	Jumuiya ya makazi ilianza kukusanya betri za zamani kwa matumizi mapya.
悔恨	majuto	Alijuta kwa makosa yake ya zamani.
毁灭	kuangamiza; kuharibu	Vita karibu viliuangamiza mji huu.
会晤	kukutana; mkutano	Viongozi wa nchi hizo mbili watakutana kesho.
汇报	kutoa ripoti	Alimpa meneja ripoti ya maendeleo.
贿赂	rushwa; kuhonga	Afisa huyo alichunguzwa kwa rushwa.
昏迷	kupoteza fahamu; kuwa kwenye koma	Mgonjwa bado yuko kwenye koma.
荤	chakula chenye nyama	Sahani hii ina nyama na haifai kwa walaji mboga.
浑身	mwili mzima	Baada ya kukimbia, mwili wake wote ulijaa jasho.
混合	kuchanganya	Tafadhali changanya vifaa hivi viwili sawasawa.
混乱	machafuko; vurugu	Eneo hilo liliwahi kuwa na machafuko makubwa.
混淆	kuchanganya; kutatanisha	Usizichanganye dhana hizi mbili.
混浊	ya tope; chafu	Baada ya mvua, maji ya mto yakawa ya tope.
活该	anastahili; ni haki yake	Alipuuza ushauri, kwa hiyo alistahili kushindwa.
活力	nguvu; uhai	Mji huu umejaa uhai.
火箭	roketi	Roketi iliingia kwa mafanikio kwenye njia iliyopangwa.
火焰	mwali; moto	Upepo ulifanya miali ya moto ipande juu zaidi.
火药	baruti	Baruti ilibadilisha vita vya kale.
货币	sarafu; fedha	Sera ya fedha huathiri maendeleo ya uchumi.
基地	kituo; kambi	Hapa zamani palikuwa kituo muhimu cha mafunzo.
基金	mfuko wa fedha	Shule ilianzisha mfuko wa ufadhili wa masomo.
基因	jeni	Wanasayansi wanachunguza jeni hii.
机动	wepesi wa kusogea; inayoweza kusogea	Timu hii inaendelea kuwa na wepesi mkubwa wa kusogea.
机构	taasisi; muundo	Taasisi hii inawajibika kwa ukaguzi wa ubora.
机灵	mwerevu; mwenye akili ya haraka	Mtoto huyu ni mwerevu sana.
机密	siri; ya siri	Nyenzo hizi ni za siri.
机械	mashine; mitambo	Kiwanda kilileta mitambo mipya.
机遇	fursa	Vijana wanapaswa kushika fursa.
机智	ujanja wa haraka; busara ya haraka	Jibu lake lilikuwa la busara ya haraka.
激发	kuchochea	Mwalimu alichochea shauku ya wanafunzi.
激励	kuhamasisha	Mafanikio haya yaliihamasisha timu nzima.
激情	shauku kubwa; ari	Alikuwa amejaa shauku alipokuwa akizungumza.
讥笑	kudhihaki	Usidhihaki makosa ya watu wengine.
饥饿	njaa	Njaa ya muda mrefu inaweza kuathiri afya.
即便	hata kama	Hata mvua ikinyesha, tutaondoka kwa wakati.
即将	karibu; inakaribia	Mkutano unakaribia kuanza.
及早	mapema iwezekanavyo	Matatizo yanapaswa kushughulikiwa mapema iwezekanavyo.
吉祥	bahati njema; yenye heri	Rangi nyekundu mara nyingi huashiria bahati njema nchini China.
嫉妒	wivu; kuonea wivu	Hapaswi kuonea wivu mafanikio ya mwenzake.
急功近利	kutafuta faida ya haraka; kuona karibu	Utafiti haupaswi kufanywa kwa tamaa fupi ya faida ya haraka.
急剧	ghafla na kwa kasi	Mauzo yalishuka kwa kasi.
急切	hamu kubwa; wasiwasi	Alisubiri habari kwa wasiwasi.
急于求成	kutaka mafanikio ya haraka	Huwezi kukimbilia matokeo ya haraka unapojifunza lugha.
急躁	kukosa subira; kuwa na pupa	Usikose subira unapokutana na matatizo.
极端	uliokithiri	Hali ya hewa ya aina hii iliyokithiri inazidi kuwa ya kawaida.
极限	kikomo	Mazoezi haya yalijaribu kikomo chake.
疾病	ugonjwa	Tabia nzuri zinaweza kuzuia magonjwa.
籍贯	asili ya ukoo; mahali pa asili	Fomu inahitaji ujaze mahali pa asili.
级别	kiwango; daraja	Shindano hili limegawanywa katika viwango vitatu.
集团	kundi la kampuni; kundi kubwa	Kundi hili lina matawi ng'ambo.
给予	kutoa	Shule huwapa msaada wanafunzi maskini.
季军	mshindi wa tatu	Alipata nafasi ya tatu katika shindano.
季度	robo mwaka	Kampuni hutoa ripoti za fedha kila robo mwaka.
寂静	kimya	Bonde huwa kimya hasa usiku.
寄托	kuweka matumaini	Aliweka matumaini yake kwa mtoto wake.
忌讳	mwiko; jambo la kuepuka	Wenyeji wanaona ni mwiko kulizungumzia hili mezani wakati wa chakula.
技巧	mbinu; ustadi	Kumudu mbinu kunaweza kuongeza ufanisi.
纪要	muhtasari wa mkutano	Katibu alipanga muhtasari wa mkutano.
继承	kurithi; kuendeleza	Alirithi kazi ya baba yake.
计较	kubishania; kujali kupita kiasi	Usibishanie jambo dogo kama hili.
记性	kumbukumbu	Ana kumbukumbu nzuri sana.
记载	kurekodi; kumbukumbu iliyoandikwa	Vitabu vya historia vilirekodi vita hivi.
迹象	dalili; ishara	Kwa sasa hakuna dalili za kuboreka.
佳肴	vyakula vitamu	Meza ilijaa vyakula vitamu.
加工	kusindika; kuchakata	Malighafi hizi zinahitaji kuchakatwa zaidi.
加剧	kuzidisha; kuongezeka	Mgogoro unaongezeka.
夹杂	kuchanganyika	Sauti ya mvua ilichanganyika na radi.
家常	ya nyumbani; ya kila siku	Napenda kula vyakula vya nyumbani.
家伙	jamaa; mtu yule	Jamaa huyo huchelewa kila wakati.
家属	jamaa wa familia; ndugu wa karibu	Daktari aliwajulisha ndugu wa mgonjwa.
家喻户晓	kujulikana na kila mtu	Hadithi hii inajulikana na kila kaya.
坚定	thabiti; imara	Msimamo wake ni thabiti sana.
坚固	imara; thabiti	Daraja hili ni imara sana.
坚韧	ustahimilivu; imara	Anayo tabia ya ustahimilivu.
坚实	imara; yenye msingi thabiti	Utafiti huu una msingi thabiti.
坚硬	ngumu	Jiwe hili ni gumu sana.
尖端	ya kisasa kabisa; ncha kali	Kampuni inawekeza katika teknolojia ya kisasa kabisa.
尖锐	kali; chungu	Suala hili ni kali sana.
煎	kukaanga kwenye kikaangio	Mpishi anakaanga samaki.
监督	usimamizi; kusimamia	Usimamizi wa umma husaidia kuboresha kazi.
监视	kufuatilia kwa karibu	Polisi wanamfuatilia mshukiwa.
监狱	gereza	Anatumikia kifungo gerezani.
艰难	ngumu; yenye changamoto	Hatua za mwanzo za kuanzisha biashara ni ngumu sana.
剪彩	kukata utepe	Meya alikata utepe wa maktaba mpya.
拣	kuchagua; kuokota	Alichagua tufaha chache kutoka kwenye kikapu.
检讨	kujichunguza; kupitia upya	Alipitia kwa umakini makosa yake mwenyewe.
检验	kupima; kuthibitisha	Majaribio yanaweza kuthibitisha nadharia hii.
简化	kurahisisha	Tafadhali rahisisha mchakato zaidi.
简陋	rahisi na duni	Waliishi kwenye kibanda rahisi na duni.
简体字	herufi za Kichina zilizorahisishwa	Kitabu hiki cha masomo kinatumia herufi zilizorahisishwa.
简要	kwa ufupi	Tafadhali eleza mtazamo wako kwa ufupi.
健全	kuboresha; kamili	Kampuni inahitaji kuboresha mfumo wake wa usimamizi.
剑	upanga	Upanga wa kale unaning'inia ukutani.
溅	kuruka kwa matone	Maji ya mvua yaliruka na kumwagikia suruali yake.
舰艇	chombo cha kivita cha majini	Vyombo kadhaa vya kivita vya majini vilishiriki mazoezi.
见多识广	mwenye uzoefu na maarifa	Mzee huyu ana uzoefu na maarifa mengi.
见解	mtazamo; uelewa	Ana mtazamo wa kipekee kuhusu suala hili.
见闻	maarifa kutokana na kuona na kusikia	Safari ilipanua maarifa na uzoefu wake.
见义勇为	kutenda kwa ujasiri kwa ajili ya haki	Alisifiwa kwa kutenda kwa ujasiri jambo lililo sahihi.
践踏	kukanyaga	Usikanyage nyasi.
鉴别	kutambua tofauti	Wataalamu wanaweza kutambua kama mchoro huu ni halisi.
鉴定	kuchunguza; kutathmini	Polisi wanachunguza alama za vidole.
鉴于	kwa kuzingatia	Kwa kuzingatia hali mbaya ya hewa, tukio liliahirishwa.
间谍	jasusi	Filamu hii inasimulia hadithi ya jasusi.
间隔	nafasi; muda kati	Mikutano hii miwili imetenganishwa kwa wiki moja.
间接	isiyo ya moja kwa moja	Sera hii itakuwa na athari isiyo ya moja kwa moja.
僵硬	gumu; isiyo ya kawaida	Tabasamu lake lilionekana gumu.
将军	jenerali	Jenerali alitoa amri.
将近	karibu; takribani	Mradi huu uliendelea kwa karibu miaka miwili.
将就	kujikimu; kuvumilia hali duni	Mazingira ni mabaya, kwa hiyo tunaweza kujikimu tu.
奖励	tuzo; kutuza	Shule iliwatuza wanafunzi bora.
奖赏	zawadi; tuzo	Mfalme alimpa shujaa zawadi kubwa.
桨	kasia	Mwendesha mashua alitumia kasia kuisukuma mashua kuelekea ufukweni.
降临	kufika; kutanda	Usiku ulitanda taratibu juu ya mji.
交叉	kuvuka; kukutana	Barabara hizi mbili hukutana hapa.
交代	kueleza wazi; kukabidhi	Tafadhali eleza kazi kwa uwazi.
交涉	majadiliano; kujadiliana	Pande hizo mbili zinajadili kuhusu fidia.
交易	muamala; biashara	Muamala huu tayari umekamilika.
娇气	dekedeke; dhaifu kupita kiasi	Usiwe dekedeke sana, hali ya hewa si baridi.
焦点	kiini; jambo kuu	Ajira ikawa kiini cha majadiliano.
焦急	wasiwasi; hali ya kutulia	Mama alisubiri kwa wasiwasi mtoto arudi.
侥幸	kwa bahati tu	Alinusurika maafa kwa bahati tu.
搅拌	koroga	Tafadhali koroga mchanganyiko sawasawa.
缴纳	kulipa	Wakazi wanahitaji kulipa bili ya maji kwa wakati.
角落	kona	Paka alijificha kwenye kona ya chumba.
教养	malezi; adabu	Malezi mazuri huonekana katika mambo madogo.
较量	kushindana	Timu hizi mbili kali zinakaribia kushindana.
接连	mfululizo	Alipokea barua pepe tatu mfululizo.
揭露	kufichua	Mwandishi wa habari alifichua tatizo la usalama wa chakula.
皆	wote; kila mmoja	Kanuni hizi zinajulikana na wote.
阶层	tabaka	Tabaka tofauti za kijamii zina mahitaji tofauti.
截止	kufunga; kukoma	Usajili unafungwa kesho alasiri.
截至	hadi kufikia	Hadi leo, watu mia mbili wamejisajili.
杰出	bora; mashuhuri	Yeye ni mwanasayansi bora.
竭尽全力	kutumia nguvu zote	Tutatumia nguvu zote kumaliza kazi.
结晶	matokeo ya juhudi; fuwele	Mafanikio haya ni matokeo ya juhudi za miaka mingi.
结局	mwisho	Mwisho wa hadithi haukutarajiwa.
结算	kulipia; kufunga hesabu	Mteja aliomba ada zilipwe mwishoni mwa mwezi.
节制	kiasi; kujizuia	Mtu anapaswa kuwa na kiasi katika kula na kunywa.
节奏	mdundo; kasi	Mdundo wa wimbo huu ni wa haraka.
解除	kuondoa	Kampuni iliondoa tahadhari ya usalama.
解放	kukomboa	Mageuzi yalikomboa nguvu za uzalishaji.
解雇	kumfukuza kazi	Bosi aliamua kumfukuza mfanyakazi huyo.
解剖	anatomia; kuchambua	Wanafunzi wa udaktari wanasoma anatomia.
解散	kuvunjika; kusambaratika	Baada ya mkutano kumalizika, kundi lilitawanyika.
解体	kusambaratika; kuporomoka	Muungano huo hatimaye ulisambaratika.
借鉴	kujifunza kutoka kwa uzoefu	Tunaweza kujifunza kutoka kwa uzoefu wa nje.
借助	kwa msaada wa	Alipata njia kwa msaada wa ramani.
戒备	tahadhari; ulinzi	Eneo la mpakani linaendelea kuwa katika tahadhari kubwa.
界限	mpaka; kikomo	Kazi na maisha vinahitaji mipaka iliyo wazi.
津津有味	kwa hamu kubwa	Watoto walisikiliza hadithi kwa hamu kubwa.
金融	fedha; masuala ya fedha	Soko la fedha lilibadilika sana leo.
紧迫	dharura; ya haraka	Muda ni wa dharura, lazima tuchukue hatua mara moja.
锦上添花	kuongeza uzuri juu ya kilicho tayari kizuri	Zawadi hii ilikuwa nyongeza nzuri juu ya kilicho tayari kizuri.
晋升	kupandishwa cheo	Alipandishwa cheo kuwa meneja wa idara mwaka jana.
浸泡	kuloweka	Maharagwe yanahitaji kulowekwa usiku kucha.
近来	hivi karibuni	Hali ya hewa imebadilika sana hivi karibuni.
进而	kisha; baadaye	Kwanza elewa mahitaji, kisha tengeneza mpango.
进攻	kushambulia	Timu iliimarisha mashambulizi katika kipindi cha pili.
进化	mageuzi ya viumbe	Viumbe hubadilika pamoja na mazingira yao.
进展	maendeleo	Mradi kwa sasa unaendelea vizuri.
兢兢业业	kwa bidii na uangalifu	Alifanya kazi kwa bidii na uangalifu kwa miaka thelathini.
惊动	kushtua; kutia tahadhari	Kelele kubwa ziliwashtua wakazi wa karibu.
惊奇	kushangaa	Watoto walitazama onyesho la uchawi kwa mshangao.
惊讶	kushangaa	Jibu lake lilinishangaza.
精打细算	kupanga matumizi kwa uangalifu	Yeye daima hupanga matumizi ya nyumbani kwa uangalifu.
精华	kiini; sehemu bora	Makala hii inafupisha kiini cha nadharia.
精简	kurahisisha; kupunguza	Kampuni iliamua kurahisisha usimamizi.
精密	sahihi sana	Kifaa hiki ni sahihi sana.
精确	sahihi	Data lazima iwe sahihi hadi nafasi mbili za desimali.
精通	kubobea	Amebobea katika lugha tatu za kigeni.
精心	kwa uangalifu mkubwa	Mama aliandaa chakula cha jioni kwa uangalifu mkubwa.
精益求精	kuzidi kuboresha kilicho bora	Mafundi bora daima hutafuta kuzidi kuboresha kazi yao.
精致	nadhifu; ya kupendeza	Zawadi hii imefungashwa kwa uangalifu na kupendeza.
经费	fedha za matumizi; bajeti	Fedha za utafiti tayari zimeidhinishwa.
经纬	mistari ya kijiografia; mambo makuu	Ramani inaonyesha mistari ya kijiografia ya urefu na upana.
茎	shina	Shina la mmea hubeba majani yake.
井	kisima	Kuna kisima cha zamani mlangoni mwa kijiji.
警告	kuonya	Mwalimu aliwaonya wanafunzi wasidanganye.
警惕	kuwa macho	Tunapaswa kuwa macho dhidi ya ulaghai wa mtandaoni.
颈椎	pingili za shingo	Kuinama kwa muda mrefu kunaweza kuharibu pingili za shingo.
境界	kiwango; upeo	Uchoraji wake ulifikia kiwango kipya.
敬礼	kutoa saluti	Askari alitoa saluti kwa bendera ya taifa.
敬业	kujitolea kazini	Anafanya kazi kwa makini na amejitolea sana.
竞赛	shindano	Shule iliandaa shindano la hisabati.
竞选	kugombea uchaguzi	Anajiandaa kugombea umeya.
镜头	lenzi; picha ya kamera	Mpiga picha alirekebisha lenzi.
纠纷	mzozo	Pande hizo mbili zilisuluhisha mzozo kwa upatanishi.
纠正	kusahihisha	Mwalimu alisahihisha kosa la matamshi kwa wakati.
酒精	alkoholi	Daktari alisafisha jeraha kwa alkoholi.
就近	karibu; jirani	Wanafunzi wanaweza kujiandikisha katika shule iliyo karibu.
就业	ajira	Serikali ilitoa sera za kukuza ajira.
就职	kushika wadhifa	Meneja mpya atashika wadhifa rasmi wiki ijayo.
救济	msaada wa dharura	Waathiriwa wa maafa walipata msaada kwa wakati.
居民	mkazi	Wakazi wa karibu wanapinga uchafuzi wa kelele.
居住	kuishi	Wameishi hapa kwa miaka kumi.
拘留	kuweka kizuizini	Polisi walimweka mtuhumiwa kizuizini kwa mujibu wa sheria.
拘束	kubanwa; kujizuia	Hakuna haja ya kujisikia kubanwa mbele ya marafiki.
鞠躬	kuinama kwa heshima	Mwigizaji aliinama kwa heshima kuwashukuru watazamaji.
局部	sehemu; eneo maalumu	Daktari alitumia ganzi ya sehemu tu.
局面	hali	Mazungumzo yaliboresha hali iliyokuwa ya mvutano.
局势	hali	Hali ya kimataifa bado ni tata.
局限	ukomo	Njia hii ina ukomo dhahiri.
举动	kitendo	Kitendo chake kiliwagusa watu wote.
举世瞩目	kuvutia macho ya dunia	Mradi huu ulivutia macho ya dunia.
举足轻重	kuwa muhimu sana	Kampuni hii ni muhimu sana katika sekta hiyo.
咀嚼	kutafuna	Unapaswa kutafuna polepole unapokula.
沮丧	kuvunjika moyo	Alihisi kuvunjika moyo sana baada ya kupoteza mechi.
剧本	hati ya tamthilia	Mwongozaji anarekebisha hati ya filamu.
剧烈	kali; kwa nguvu	Ardhi ilitikisika kwa nguvu.
据悉	inaripotiwa	Inaripotiwa kuwa mkutano utaahirishwa hadi wiki ijayo.
聚精会神	kuzingatia kikamilifu	Watoto walisikiliza somo kwa kuzingatia kikamilifu.
卷	kukunja	Alikunja ramani na kuiweka kwenye mfuko.
倔强	mkaidi	Mtoto huyu ana tabia ya ukaidi.
决策	uamuzi wa kimkakati	Uongozi unajadili uamuzi muhimu.
绝望	kukata tamaa	Baada ya kushindwa, aliwahi kukata tamaa.
觉悟	ufahamu	Uzoefu huu ulimpandisha kiwango cha ufahamu.
觉醒	kupata mwamko	Ufahamu wa umma kuhusu mazingira unaanza kupata mwamko.
军队	jeshi	Jeshi lilifika haraka katika eneo la maafa.
君子	muungwana	Muungwana anapaswa kulinganisha maneno na vitendo.
卡通	katuni	Mtoto anapenda kutazama filamu za katuni.
开采	kuchimba madini	Kampuni hii inahusika na kuchimba madini.
开除	kufukuza	Shule iliamua kumfukuza mwanafunzi aliyedanganya.
开阔	pana	Mtazamo kutoka kileleni mwa mlima ni mpana sana.
开朗	mchangamfu	Yeye ni mchangamfu na ana marafiki wengi.
开明	mwenye fikra wazi	Wazazi wana mtazamo wenye fikra wazi.
开辟	kufungua; kuanzisha	Jiji lilifungua njia mpya ya basi.
开拓	kupanua; kufungua maeneo mapya	Kampuni inapanga kupanua masoko ya ng'ambo.
开展	kuendesha; kuanzisha	Shule iliendesha shughuli ya elimu ya usalama.
开支	gharama	Gharama za kila mwezi za familia ziliongezeka.
刊登	kuchapisha	Gazeti lilichapisha makala yake.
刊物	chapisho	Chapisho hili hutoka mara moja kwa mwezi.
勘探	uchunguzi wa rasilimali	Timu ya uhandisi inachunguza vyanzo vya maji chini ya ardhi.
侃侃而谈	kuzungumza kwa kujiamini	Alizungumza kwa kujiamini na kwa kirefu katika mkutano.
砍伐	kukata miti	Kukata miti ovyo msituni kumepigwa marufuku.
看待	kuchukulia	Tunapaswa kulichukulia suala hili kwa mtazamo wa haki.
慷慨	mkarimu; kwa ukarimu	Alitoa pesa zake za zawadi kwa ukarimu.
抗议	kupinga	Wakazi walipinga ujenzi wa kiwanda kipya.
考察	kukagua; kuchunguza	Wataalamu walikwenda eneo hilo kukagua mazingira.
考古	akiolojia	Timu ya akiolojia iligundua makaburi ya kale.
考核	kutathmini	Kampuni hutathmini utendaji wa wafanyakazi kila mwaka.
考验	kujaribu	Mgogoro huu ulijaribu uwezo wa timu.
靠拢	kusogea karibu	Wanachama wa timu walisogea karibu kuelekea katikati.
磕	kugonga	Alijigonga kwa bahati mbaya kwenye pembe ya meza.
科目	somo	Hisabati ndilo somo analolipenda zaidi.
可观	mkubwa; wa maana	Uwekezaji huu ulileta faida kubwa.
可口	tamu	Chakula cha mgahawa huu ni kitamu.
可恶	chukizo	Udanganyifu wa aina hii ni chukizo kweli.
可行	tekelezeka	Mpango huu kimsingi unatekelezeka.
渴望	kutamani sana	Watoto wanatamani sana fursa zaidi.
克制	kujizuia; kudhibiti	Unapaswa kudhibiti hisia zako wakati wa mabishano.
刻不容缓	haiwezi kucheleweshwa	Kulinda vyanzo vya maji hakuwezi kucheleweshwa.
客户	mteja	Mteja ameridhika sana na huduma.
课题	mada; suala	Mada hii inafaa kuchunguzwa kwa kina.
啃	kuguguna	Mtoto anaguguna kipande cha mahindi.
恳切	ya dhati	Aliomba msaada wa kila mtu kwa dhati.
坑	shimo; kulaghai	Kuna shimo refu kando ya barabara.
空洞	tupu; isiyo na maudhui	Ripoti hii haina maudhui ya kutosha.
空前绝后	ya kipekee kabisa	Onyesho hili linaweza kuitwa la kipekee kabisa.
空想	ndoto tupu	Kutegemea ndoto tupu pekee hakuwezi kutatua matatizo.
空虚	utupu	Baada ya shughuli nyingi kupita, alihisi utupu.
孔	tundu; shimo	Kuna tundu dogo ukutani.
恐怖	ya kutisha	Filamu hiyo ina hali ya kutisha.
恐吓	kutishia	Upande mwingine ulitumia vitisho kumtisha shahidi.
恐惧	hofu	Giza lilimfanya mtoto ahisi hofu.
空白	nafasi tupu	Tafadhali tia sahihi katika nafasi tupu.
空隙	mwanya; pengo	Kuna mwanya kati ya mlango na sakafu.
口气	toni ya sauti	Toni yake ya kusema ilikuwa kali sana.
口腔	tundu la mdomo	Daktari alikagua tundu lake la mdomo.
口头	kwa mdomo	Wana makubaliano ya mdomo tu.
口音	lafudhi	Kiswahili chake kina lafudhi kidogo.
