simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV
精彩	сјајан; изванредан	Данашњи наступ је био изванредан!	čudovit; izvrsten	Današnji nastop je bil izjemen!	nuostabus; įspūdingas	Šiandienos pasirodymas buvo nuostabus!	izcils; lielisks	Šodienas priekšnesums bija lielisks!
经济	економија; економски	Економија се ових година брзо развија.	gospodarstvo; gospodarski	V zadnjih letih se gospodarstvo hitro razvija.	ekonomika; ekonominis	Pastaraisiais metais ekonomika sparčiai vystosi.	ekonomika; ekonomisks	Pēdējos gados ekonomika attīstās ļoti strauji.
经历	искуство; доживети	Своје путничко искуство претворила је у чланак.	izkušnja; doživeti	Svojo potovalno izkušnjo je zapisala v članek.	patirtis; patirti	Kelionės patirtį ji aprašė straipsnyje.	pieredze; piedzīvot	Viņa savu ceļojuma pieredzi aprakstīja rakstā.
经验	искуство	Он је наставник са богатим искуством.	izkušnje	Je učitelj z bogatimi izkušnjami.	patirtis	Jis yra patyręs mokytojas.	pieredze	Viņš ir skolotājs ar bagātu pieredzi.
景色	пејзаж; призор	При заласку сунца пејзаж уз море је веома леп.	pokrajina; razgled	Ob sončnem zahodu je morska pokrajina zelo lepa.	vaizdas; kraštovaizdis	Saulėlydžio metu pajūrio vaizdas labai gražus.	ainava; skats	Saulrietā ainava pie jūras ir ļoti skaista.
警察	полиција; полицајац	Полиција спроводи истрагу.	policija; policist	Policija izvaja preiskavo.	policija; policininkas	Policija atlieka tyrimą.	policija; policists	Policija veic izmeklēšanu.
竞争	такмичити се; конкуренција	Веома је самоуверен и воли да се такмичи са другима.	tekmovati; konkurenca	Zelo je samozavesten in rad tekmuje z drugimi.	konkuruoti; konkurencija	Jis labai pasitiki savimi ir mėgsta konkuruoti su kitais.	sacensties; konkurence	Viņš ir ļoti pašpārliecināts un viņam patīk sacensties ar citiem.
竟然	неочекивано; на изненађење	Никада нисам мислио да је он такав човек.	nepričakovano; na presenečenje	Nikoli si nisem mislil, da je tak človek.	netikėtai; pasirodo	Niekada nemaniau, kad jis toks žmogus.	negaidīti; izrādās	Es nekad nebūtu domājis, ka viņš ir tāds cilvēks.
镜子	огледало	Извините, разбио сам огледало.	ogledalo	Oprostite, razbil sem ogledalo.	veidrodis	Atsiprašau, sudaužiau veidrodį.	spogulis	Atvainojiet, es sasitu spoguli.
究竟	заправо; у ствари	Зашто заправо плачеш?	pravzaprav; natanko	Zakaj pravzaprav jokaš?	iš tikrųjų; galų gale	Kodėl tu iš tikrųjų verki?	īsti; patiesībā	Kāpēc tu īsti raudi?
举	подићи; дизати	Молим вас, подигните руку да одговорите на питање.	dvigniti	Prosimo, dvignite roko in odgovorite na vprašanje.	pakelti	Prašome pakelti ranką ir atsakyti į klausimą.	pacelt	Lūdzu, paceliet roku, lai atbildētu uz jautājumu.
举办	организовати; одржати	Овај догађај организујемо ми.	organizirati; prirediti	Ta dogodek organiziramo mi.	organizuoti; rengti	Šį renginį organizuojame mes.	rīkot; organizēt	Šo pasākumu rīkojam mēs.
举行	одржати се; одржати	Састанак ће се одржати у два сата.	potekati; prirediti	Sestanek bo ob dveh.	vykti; rengti	Susitikimas vyks antrą valandą.	notikt; rīkot	Sanāksme notiks pulksten divos.
拒绝	одбити	Одбио је свачији позив.	zavrniti	Zavrnil je povabila vseh.	atsisakyti; atmesti	Jis atmetė visų kvietimą.	atteikt; noraidīt	Viņš noraidīja visu uzaicinājumu.
聚会	окупљање; журка; састати се	Сутра је окупљање, хоћеш ли да учествујеш?	zabava; srečanje; srečati se	Jutri je srečanje, se ga želiš udeležiti?	vakarėlis; susitikimas	Rytoj bus vakarėlis, ar nori dalyvauti?	sanākšana; ballīte; satikties	Rīt ir sanākšana, vai gribi piedalīties?
距离	удаљеност; бити далеко од	Моја кућа је далеко од компаније.	razdalja; biti daleč od	Moj dom je daleč od podjetja.	atstumas; būti toli nuo	Mano namai yra toli nuo įmonės.	attālums; būt tālu no	Manas mājas ir tālu no uzņēmuma.
开玩笑	шалити се	Да ли се ти то шалиш?	šaliti se	Se šališ?	juokauti	Tu juokauji?	jokot	Vai tu joko?
开心	бити срећан; радовати се	Млађа сестра се срећно насмешила.	biti vesel; veseliti se	Mlajša sestra se je veselo nasmehnila.	būti laimingam; džiaugtis	Jaunesnioji sesuo laimingai nusišypsojo.	būt priecīgam; priecāties	Māsa priecīgi pasmaidīja.
看法	гледиште; мишљење	Увек је истрајавао у свом мишљењу.	mnenje; pogled	Vedno je vztrajal pri svojem mnenju.	požiūris; nuomonė	Jis visada laikėsi savo nuomonės.	viedoklis; skatījums	Viņš vienmēr ir turējies pie sava viedokļa.
烤鸭	печена патка	Пекиншка печена патка је позната.	pečena raca	Pekinška pečena raca je znana.	kepta antis	Pekino kepta antis yra garsi.	cepta pīle	Pekinas ceptā pīle ir slavena.
考虑	размотрити; размишљати	Озбиљно ћу размислити о овом питању.	premisliti; upoštevati	Resno bom premislil o tem vprašanju.	apsvarstyti; svarstymas	Rimtai apsvarstysiu šį klausimą.	apsvērt; pārdomāt	Es nopietni apsvēršu šo jautājumu.
棵	бројна реч за дрвеће и биљке	Ово дрво је и високо и велико.	števec za drevesa in rastline	To drevo je visoko in veliko.	skaitiklis medžiams ir augalams	Šis medis ir aukštas ir didelis.	skaitītājvārds kokiem un augiem	Šis koks ir gan augsts, gan liels.
科学	наука; научни	У школи је научио много научних знања.	znanost; znanstven	V šoli se je naučil veliko znanstvenih znanj.	mokslas; mokslinis	Mokykloje jis įgijo daug mokslo žinių.	zinātne; zinātnisks	Skolā viņš apguva daudz zinātnisku zināšanu.
咳嗽	кашљати	Прехладио се и много кашље.	kašljati	Prehladil se je in močno kašlja.	kosėti	Jis peršalo ir labai kosėja.	klepot	Viņš ir saaukstējies un stipri klepo.
可怜	јадан; за жаљење	Ово дете не може да нађе дом, стварно је јадно.	ubog; pomilovanja vreden	Ta otrok ne najde doma, res je ubog.	vargšas; gailėtinas	Šis vaikas neranda namų, tikras vargšas.	nožēlojams; žēlīgs	Šis bērns nevar atrast mājas, tiešām žēl.
可是	али; међутим	Иако баш желим да идем, заиста немам времена.	vendar; ampak	Čeprav si zelo želim iti, res nimam časa.	bet; tačiau	Nors labai noriu eiti, tikrai neturiu laiko.	bet; tomēr	Lai gan ļoti gribu iet, man tiešām nav laika.
可惜	штета; нажалост	Баш је штета што не можеш да дођеш на наше окупљање.	škoda; žal	Res je škoda, da ne moreš priti na naše srečanje.	gaila; deja	Labai gaila, kad negali ateiti į mūsų vakarėlį.	žēl; diemžēl	Ļoti žēl, ka nevari atnākt uz mūsu sanākšanu.
客厅	дневна соба	Тата гледа телевизију у дневној соби.	dnevna soba	Oče gleda televizijo v dnevni sobi.	svetainė	Tėtis žiūri televizorių svetainėje.	viesistaba	Tētis skatās televizoru viesistabā.
肯定	сигурно; бити сигуран	Сигурно ћу се вратити пре пет сати.	zagotovo; biti prepričan	Zagotovo se bom vrnil pred peto uro.	tikrai; būti tikram	Tikrai grįšiu prieš penktą valandą.	noteikti; būt pārliecinātam	Es noteikti atgriezīšos pirms pieciem.
空	празан; слободан	Ова соба је празна.	prazen; prost	Ta soba je prazna.	tuščias; laisvas	Šis kambarys tuščias.	tukšs; brīvs	Šī istaba ir tukša.
空气	ваздух; атмосфера	Ваздух у парку је веома свеж.	zrak; ozračje	Zrak v parku je zelo svež.	oras; atmosfera	Parke oras labai gaivus.	gaiss; atmosfēra	Parkā gaiss ir ļoti svaigs.
恐怕	бојати се; бојим се да	Бојим се да ће падати киша, јеси ли понео кишобран?	bati se; bojim se, da	Bojim se, da bo deževalo, si vzel dežnik?	bijoti; bijau, kad	Bijau, kad lis, ar pasiėmei skėtį?	baidīties; baidos, ka	Baidos, ka līs, vai paņēmi lietussargu?
苦	горак; мука	Ова шоља кафе је веома горка.	grenak; stiska	Ta skodelica kave je zelo grenka.	kartus; sunkumas	Šis puodelis kavos labai kartus.	rūgts; grūtības	Šī kafijas tase ir ļoti rūgta.
矿泉水	минерална вода	Купио сам две флаше минералне воде.	mineralna voda	Kupil sem dve steklenici mineralne vode.	mineralinis vanduo	Nusipirkau du butelius mineralinio vandens.	minerālūdens	Es nopirku divas pudeles minerālūdens.
困	поспан; уморан	Поспан сам и хоћу да идем да спавам.	zaspan; utrujen	Zaspan sem in hočem iti spat.	mieguistas; pavargęs	Esu mieguistas ir noriu eiti miegoti.	miegains; noguris	Es esmu miegains un gribu iet gulēt.
困难	тежак; тешкоћа	Овај задатак је за мене веома тежак.	težaven; težava	Ta naloga je zame zelo težka.	sunkus; sunkumas	Ši užduotis man labai sunki.	grūts; grūtības	Šis uzdevums man ir ļoti grūts.
垃圾桶	канта за смеће	На улици има много канти за смеће.	koš za smeti	Na ulici je veliko košev za smeti.	šiukšliadėžė	Gatvėje yra daug šiukšliadėžių.	atkritumu tvertne	Uz ielas ir daudz atkritumu tvertņu.
拉	вући; држати	Мама је држала ћерку за руку.	vleči; držati	Mama je držala hčer za roko.	traukti; laikyti	Mama laikė dukrą už rankos.	vilkt; turēt	Mamma turēja meitu aiz rokas.
辣	љут; пикантан	Нисам навикао да једем превише љута јела.	pekoč; začinjen	Nisem vajen jesti preveč pekočih jedi.	aštrus; pikantiškas	Nesu įpratęs valgyti per aštrių patiekalų.	ass; pikants	Es neesmu pieradis ēst pārāk asus ēdienus.
来不及	немати довољно времена; бити прекасно	Јутрос сам касно устао и нисам стигао да доручкујем.	ne utegniti; biti prepozno	Zjutraj sem pozno vstal in nisem utegnil zajtrkovati.	nespėti; būti per vėlu	Šį rytą atsikėliau vėlai ir nespėjau papusryčiauti.	nepaspēt; būt par vēlu	Šorīt piecēlos vēlu un nepaspēju paēst brokastis.
来得及	има још времена; стићи на време	Филм почиње тек у пола десет, још има времена.	utegniti; biti še čas	Film se začne šele ob pol desetih, še je čas.	spėti; dar yra laiko	Filmas prasidės tik pusę dešimtos, dar spėsime.	paspēt; vēl ir laiks	Filma sākas tikai pusdesmitos, vēl ir laiks.
来自	долазити из	Долазим из провинције Шандонг.	prihajati iz	Prihajam iz province Shandong.	kilti iš	Esu iš Šandongo provincijos.	nākt no	Es nāku no Šaņdunas provinces.
懒	лењ	Моја мала мачка је веома лења и спава цело поподне.	len	Moj maček je zelo len in spi celo popoldne.	tingus	Mano katinėlis labai tingus ir miega visą popietę.	slinks	Mans kaķēns ir ļoti slinks un guļ visu pēcpusdienu.
浪费	расипати; трошити узалуд	Овако се само губи време.	zapravljati; tratiti	S tem samo tratimo čas.	švaistyti	Taip daryti yra tik laiko švaistymas.	izšķērdēt; tērēt velti	Tā darīt ir tikai laika izšķiešana.
浪漫	романтичан	Ова књига прича једну романтичну љубавну причу.	romantičen	Ta knjiga pripoveduje romantično ljubezensko zgodbo.	romantiškas	Ši knyga pasakoja romantišką meilės istoriją.	romantisks	Šī grāmata stāsta romantisku mīlas stāstu.
老虎	тигар	Сваки пут када одемо у зоолошки врт, син највише воли да гледа тигра.	tiger	Vsakič ko gremo v živalski vrt, sin najraje gleda tigra.	tigras	Kiekvieną kartą einant į zoologijos sodą, sūnui labiausiai patinka žiūrėti į tigrą.	tīģeris	Katru reizi, kad ejam uz zoodārzu, dēlam visvairāk patīk skatīties tīģeri.
冷静	смирен; прибран	Немој се узбуђивати, прво се мало смири.	miren; priseben	Ne razburjaj se, najprej se malo pomiri.	ramus; šaltakraujiškas	Nesijaudink, pirmiausia nusiramink.	mierīgs; nosvērts	Neuztraucies, vispirms nomierinies.
理发	шишати се; шишање	Када идеш на шишање?	striči se; striženje	Kdaj greš k frizerju?	kirptis; kirpimas	Kada eisi kirptis?	griezt matus; frizūra	Kad tu iesi griezt matus?
理解	разумети; разумевање	Можеш ли сада да разумеш ово питање?	razumeti; razumevanje	Ali zdaj razumeš to vprašanje?	suprasti; supratimas	Ar dabar supranti šį klausimą?	saprast; izpratne	Vai tu tagad saproti šo jautājumu?
理想	идеал; сан	Које је твоје идеално занимање?	ideal; sanje	Kateri je tvoj idealni poklic?	idealus; svajonė	Kokia tavo ideali profesija?	ideāls; sapnis	Kāda ir tava ideālā profesija?
礼拜天	недеља	Да ли си слободан ове недеље?	nedelja	Ali si to nedeljo prost?	sekmadienis	Ar šį sekmadienį turi laiko?	svētdiena	Vai šajā svētdienā tev ir brīvs laiks?
礼貌	учтивост; манири	Ово дете је веома учтиво.	vljudnost; manire	Ta otrok je zelo vljuden.	mandagumas; manieros	Šis vaikas labai mandagus.	pieklājība; manieres	Šis bērns ir ļoti pieklājīgs.
例如	на пример	Волим спорт, на пример трчање и пливање.	na primer	Rad imam šport, na primer tek in plavanje.	pavyzdžiui	Mėgstu sportą, pavyzdžiui, bėgimą ir plaukimą.	piemēram	Man patīk sports, piemēram, skriešana un peldēšana.
力气	снага	После толиког пешачења био сам толико уморан да ми није остало нимало снаге.	moč	Po tako dolgi hoji sem bil tako utrujen, da mi ni ostalo nič moči.	jėga	Nuėjęs tokį ilgą kelią buvau toks pavargęs, kad visai nebeturėjau jėgų.	spēks	No tik ilgas iešanas biju tik noguris, ka man vairs nebija spēka.
厉害	озбиљан; тежак	Био је веома болестан и примљен је у болницу.	resen; hud	Bil je zelo bolan in je bil sprejet v bolnišnico.	sunkus; rimtas	Jis labai sirgo ir buvo paguldytas į ligoninę.	smaga; nopietns	Viņš bija ļoti slims un tika ievietots slimnīcā.
俩	нас двоје; обоје	Нас двоје смо добри пријатељи.	dva; oba	Midva sva dobra prijatelja.	du; abu	Mes dviese esame geri draugai.	divi; abi	Mēs abi esam labi draugi.
联系	контакт; веза	Да ли си још у контакту са колегама са факултета?	stik; povezava	Ali si še v stiku s sošolci z univerze?	ryšys; kontaktas	Ar vis dar palaikai ryšį su universiteto bendrakursiais?	sakars; kontakts	Vai tev vēl ir kontakts ar augstskolas kursabiedriem?
连	чак; укључујући	Како си могао чак и мене да заборавиш?	celo; vključno s	Kako si lahko pozabil celo mene?	net; įskaitant	Kaip galėjai pamiršti net mane?	pat; ieskaitot	Kā tu varēji aizmirst pat mani?
凉快	пријатно свеж; прохладан	Јесење време је веома прохладно.	prijetno hladen; svež	Jesensko vreme je zelo prijetno hladno.	vėsus; maloniai vėsus	Rudenį oras labai maloniai vėsus.	vēss; patīkami vēss	Rudens laiks ir ļoti patīkami vēss.
零钱	ситан новац	Можете ли ми разменити нешто новца у ситан новац?	drobiž; droben denar	Ali mi lahko zamenjate nekaj denarja v drobiž?	smulkūs pinigai	Ar galėtumėte iškeisti šiek tiek pinigų į smulkius?	sīknauda	Vai varat man samainīt naudu sīknaudā?
另外	други; осим тога	Хоћу да разговарам с тобом о још једној ствари.	dodaten; poleg tega	S teboj se želim pogovoriti še o drugi stvari.	kitas; be to	Noriu su tavimi pasikalbėti apie dar vieną dalyką.	cits; turklāt	Es gribu ar tevi parunāt vēl par vienu lietu.
流利	течан	Говориш кинески веома течно.	tekoč	Kitajsko govoriš zelo tekoče.	sklandus	Tu labai sklandžiai kalbi kiniškai.	plūstošs	Tu ļoti plūstoši runā ķīniski.
流行	популаран; модеран	Многи млади воле поп музику.	priljubljen; moden	Veliko mladih ima rado popularno glasbo.	populiarus; madingas	Daug jaunų žmonių mėgsta populiariąją muziką.	populārs; moderns	Daudzi jaunieši mīl populāro mūziku.
留	оставити; остати	Молим те, остави свој број телефона.	pustiti; ostati	Prosim, pusti svojo telefonsko številko.	palikti; pasilikti	Prašome palikti savo telefono numerį.	atstāt; palikt	Lūdzu, atstāj savu tālruņa numuru.
旅行	путовати; путовање	Планирамо да лети путујемо у Јунан.	potovati; potovanje	Poleti načrtujemo potovanje v Yunnan.	keliauti; kelionė	Vasarą planuojame keliauti į Junaną.	ceļot; ceļojums	Vasarā plānojam ceļot uz Juņnaņu.
乱	неуредан; хаотичан	Штене је направило неред у соби.	neurejen; zmešan	Kužek je razmetal sobo.	netvarkingas; chaotiškas	Šuniukas sujaukė kambarį.	nekārtīgs; haotisks	Kucēns sajauca istabu nekārtībā.
律师	адвокат	Моја мама је адвокат.	odvetnik	Moja mama je odvetnica.	advokatas	Mano mama yra advokatė.	advokāts	Mana mamma ir advokāte.
麻烦	узнемирити; проблематичан	Можете ли ми, молим вас, донети чашу?	nadlegovati; težaven	Ali mi lahko, prosim, prinesete skodelico?	trukdyti; varginantis	Gal galėtumėte man paimti puodelį?	apgrūtināt; traucējošs	Vai, lūdzu, varat man atnest krūzi?
马虎	немаран; површан	Само мало немара може довести до грешке.	malomaren; površen	Že malo malomarnosti lahko povzroči napako.	neatidus; aplaidus	Net nedidelis neatidumas gali sukelti klaidą.	paviršs; neuzmanīgs	Neliela paviršība var novest pie kļūdas.
满	пун; испуњен	Шоља је пуна.	poln	Skodelica je polna.	pilnas	Puodelis pilnas.	pilns	Krūze ir pilna.
毛	длака; крзно	Крзно ове мачке је бело.	dlaka; kožuh	Kožuh te mačke je bel.	kailis; plaukas	Šios katės kailis baltas.	spalva; mati	Šī kaķa spalva ir balta.
毛巾	пешкир	Вруће је, обриши зној пешкиром.	brisača	Vroče je, obriši si znoj z brisačo.	rankšluostis	Karšta, nusišluostyk prakaitą rankšluosčiu.	dvielis	Ir karsti, noslauki sviedrus ar dvieli.
美丽	леп	Она је заиста лепа девојка.	lep	Res je lepo dekle.	gražus	Ji tikrai graži mergina.	skaists	Viņa tiešām ir skaista meitene.
梦	сан	Ово је заиста занимљив сан!	sanje	To so res zanimive sanje!	sapnas	Tai tikrai įdomus sapnas!	sapnis	Tas tiešām ir interesants sapnis!
迷路	изгубити се	Изгубио се у шуми.	izgubiti se	Izgubil se je v gozdu.	pasiklysti	Jis pasiklydo miške.	apmaldīties	Viņš apmaldījās mežā.
密码	лозинка; шифра	Заборавио сам шифру кредитне картице.	geslo; koda	Pozabil sem geslo svoje kreditne kartice.	slaptažodis; kodas	Pamiršau savo kreditinės kortelės kodą.	parole; kods	Es aizmirsu savas kredītkartes kodu.
免费	бесплатан	У овом ресторану су пића бесплатна.	brezplačen	V tej restavraciji so pijače brezplačne.	nemokamas	Šiame restorane gėrimai nemokami.	bezmaksas	Šajā restorānā dzērieni ir bez maksas.
秒	секунда	Молим те, сачекај ме десет секунди.	sekunda	Prosim, počakaj me deset sekund.	sekundė	Prašau palauk manęs dešimt sekundžių.	sekunde	Lūdzu, pagaidi mani desmit sekundes.
民族	националност; етничка група	Кина је вишенационална земља.	narodnost; etnična skupina	Kitajska je večetnična država.	tautybė; etninė grupė	Kinija yra daugiatautė šalis.	tautība; etniskā grupa	Ķīna ir daudznacionāla valsts.
母亲	мајка	Дозволите да представим, ово је моја мајка.	mati	Naj predstavim, to je moja mati.	motina	Leiskite pristatyti, tai mano motina.	māte	Ļaujiet iepazīstināt, šī ir mana māte.
目的	циљ; сврха	Не разумем циљ његовог таквог поступка.	namen; cilj	Ne razumem namena njegovega ravnanja.	tikslas	Nesuprantu jo tokio elgesio tikslo.	mērķis; nolūks	Es nesaprotu viņa šādas rīcības mērķi.
耐心	стрпљење; стрпљив	За васпитавање деце потребно је стрпљење.	potrpežljivost; potrpežljiv	Pri vzgoji otrok je potrebna potrpežljivost.	kantrybė; kantrus	Auklėjant vaikus reikia kantrybės.	pacietība; pacietīgs	Audzinot bērnus, vajadzīga pacietība.
难道	зар; зар је могуће	Зар ова јела нису укусна?	mar; ali res	Mar te jedi niso okusne?	argi; nejaugi	Argi šie patiekalai neskanūs?	vai tad; vai tiešām	Vai tad šie ēdieni nav garšīgi?
难受	осећати се лоше	Прехладио сам се и осећам се веома лоше.	slabo se počutiti	Prehladil sem se in se počutim zelo slabo.	blogai jaustis	Peršalau ir jaučiuosi labai blogai.	justies slikti	Es saaukstējos un jūtos ļoti slikti.
内	у року од; унутар	Молим вас, завршите задатак у року од три дана.	v roku; znotraj	Prosimo, dokončajte nalogo v treh dneh.	per; viduje	Prašome atlikti užduotį per tris dienas.	laikā; iekšpusē	Lūdzu, pabeidziet uzdevumu trīs dienu laikā.
内容	садржај	Садржај овог чланка је веома занимљив.	vsebina	Vsebina tega članka je zelo zanimiva.	turinys	Šio straipsnio turinys labai įdomus.	saturs	Šī raksta saturs ir ļoti interesants.
能力	способност	Он има веома јаке радне способности.	sposobnost	Pri delu je zelo sposoben.	gebėjimas	Jis labai geba dirbti.	spēja	Viņš darbā ir ļoti spējīgs.
年龄	године; старост	Није пристојно тек тако питати некога за године.	starost	Ni vljudno kar tako vprašati nekoga po starosti.	amžius	Nemandagu šiaip sau klausti kito žmogaus amžiaus.	vecums	Nav pieklājīgi bez iemesla jautāt kādam vecumu.
弄	направити; урадити	Штене је направило велики неред у соби.	narediti; spraviti v stanje	Kužek je sobo zelo razmetal.	padaryti; sujaukti	Šuniukas labai sujaukė kambarį.	izdarīt; sajaukt	Kucēns ļoti sajauca istabu.
暖和	топао	Дошло је пролеће и време је постало топлије.	topel	Prišla je pomlad in vreme je postalo toplejše.	šiltas	Atėjo pavasaris, ir oras tapo šiltesnis.	silts	Ir atnācis pavasaris, un laiks kļūst siltāks.
偶尔	повремено	Повремено је видим у школи.	občasno	Občasno jo vidim v šoli.	retkarčiais	Retkarčiais matau ją mokykloje.	reizēm	Reizēm es viņu redzu skolā.
排队	стајати у реду	Људи који купују карте стоје у реду.	stati v vrsto	Ljudje, ki kupujejo vstopnice, stojijo v vrsti.	stovėti eilėje	Žmonės, perkantys bilietus, stovi eilėje.	stāvēt rindā	Cilvēki, kas pērk biļetes, stāv rindā.
排列	поређати; распоредити	Молим вас, поређајте ове кутије од највеће до најмање.	razporediti	Prosimo, razporedite te škatle od največje do najmanjše.	išdėstyti	Prašome išdėstyti šias dėžes nuo didžiausios iki mažiausios.	sakārtot	Lūdzu, sakārtojiet šīs kastes no lielākās līdz mazākajai.
判断	процена; судити	Твоја процена је потпуно тачна.	presoja; presoditi	Tvoja presoja je popolnoma pravilna.	sprendimas; vertinti	Tavo sprendimas visiškai teisingas.	spriedums; vērtēt	Tavs spriedums ir pilnīgi pareizs.
陪	пратити; бити уз некога	Када сам тужан, ти си увек уз мене.	spremljati; biti ob komu	Ko sem žalosten, si vedno ob meni.	lydėti; būti šalia	Kai man liūdna, tu visada esi šalia manęs.	pavadīt; būt blakus	Kad man ir skumji, tu vienmēr esi man blakus.
批评	критиковати; критика	Наставник ме ретко критикује.	kritizirati; kritika	Učitelj me redko kritizira.	kritikuoti; kritika	Mokytojas mane retai kritikuoja.	kritizēt; kritika	Skolotājs mani reti kritizē.
皮肤	кожа	Мама много пази да заштити кожу.	koža	Mama zelo pazi na nego kože.	oda	Mama labai rūpinasi odos apsauga.	āda	Mamma ļoti rūpējas par ādas aizsardzību.
脾气	нарав; темперамент	Он је добре нарави и никада се не љути.	značaj; temperament	Ima dober značaj in se nikoli ne razjezi.	būdas; temperamentas	Jo būdas geras, jis niekada nesupyksta.	raksturs; temperaments	Viņam ir labs raksturs, un viņš nekad nedusmojas.
篇	чланак; текст	Овај чланак сам прочитао много пута.	članek; besedilo	Ta članek sem prebral že velikokrat.	straipsnis; tekstas	Šį straipsnį perskaičiau daug kartų.	raksts; teksts	Šo rakstu esmu lasījis daudzas reizes.
骗	лагати; преварити	Нисам те слагао, он је стварно дошао.	lagati; prevarati	Nisem ti lagal, res je prišel.	meluoti; apgauti	Aš tau nemelavau, jis tikrai atėjo.	melot; apmānīt	Es tev nemeloju, viņš tiešām atnāca.
乒乓球	стони тенис	Ко жели да учествује у такмичењу у стоном тенису?	namizni tenis	Kdo želi sodelovati na tekmi v namiznem tenisu?	stalo tenisas	Kas nori dalyvauti stalo teniso varžybose?	galda teniss	Kurš vēlas piedalīties galda tenisa sacensībās?
平时	обично; иначе	Она обично ретко вежба.	običajno; navadno	Običajno se redko ukvarja s športom.	paprastai; įprastai	Ji paprastai retai sportuoja.	parasti; ikdienā	Viņa parasti reti sporto.
破	разбијен; разбити	Извините, разбио сам огледало.	razbit; razbiti	Oprostite, razbil sem ogledalo.	sudužęs; sudaužyti	Atsiprašau, sudaužiau veidrodį.	saplīsis; saplēst	Atvainojiet, es saplēsu spoguli.
葡萄	грожђе	Грожђе кошта пет јуана за пола килограма.	grozdje	Grozdje stane pet juanov za pol kilograma.	vynuogės	Vynuogės kainuoja penkis juanius už pusę kilogramo.	vīnogas	Vīnogas maksā piecus juaņus par puskilogramu.
普遍	уобичајен; распрострањен	Овај проблем је веома чест.	pogost; razširjen	Ta težava je zelo pogosta.	paplitęs; bendras	Ši problema labai paplitusi.	izplatīts; vispārējs	Šī problēma ir ļoti izplatīta.
普通话	мандарински; путунхуа	Веома добро говориш мандарински.	mandarinščina; putonghua	Mandarinščino govoriš zelo dobro.	mandarinų kalba; putonghua	Tu labai gerai kalbi mandarinų kalba.	mandarīnu ķīniešu valoda; putunhua	Tu ļoti labi runā mandarīnu ķīniešu valodā.
其次	затим; као друго	Безбедност је на првом месту, а брзина на другом.	nato; drugič	Varnost je na prvem mestu, hitrost pa na drugem.	antra; paskui	Saugumas yra pirmoje vietoje, o greitis antroje vietoje.	otrkārt; pēc tam	Drošība ir pirmajā vietā, bet ātrums otrajā.
其中	међу њима; од тога	У нашем одељењу има двадесет ученика, од којих пет долази из иностранства.	med njimi; od tega	V našem razredu je dvajset učencev, od tega jih pet prihaja iz tujine.	tarp jų; iš jų	Mūsų klasėje yra dvidešimt mokinių, iš jų penki yra iš užsienio.	tostarp; no tiem	Mūsu klasē ir divdesmit skolēnu, no tiem pieci ir no ārzemēm.
气候	клима	Можеш ли да се навикнеш на климу на северу?	podnebje	Se lahko navadiš na severno podnebje?	klimatas	Ar gali prisitaikyti prie šiaurės klimato?	klimats	Vai vari pierast pie ziemeļu klimata?
千万	обавезно; никако	Никако не заборави сутрашњи састанак.	nikakor; obvezno	Nikar ne pozabi jutrišnjega sestanka.	būtinai; jokiu būdu	Jokiu būdu nepamiršk rytdienos susitikimo.	noteikti; nekādā gadījumā	Nekādā gadījumā neaizmirsti rītdienas sanāksmi.
签证	виза	Сутра идем у амбасаду да поднесем захтев за визу.	vizum	Jutri grem na veleposlaništvo urediti vizum.	viza	Rytoj eisiu į ambasadą tvarkyti vizos.	vīza	Rīt es iešu uz vēstniecību nokārtot vīzu.
敲	куцати; ударити	Неко куца на врата, иди погледај ко је дошао.	potrkati; udariti	Nekdo trka na vrata, pojdi pogledat, kdo je prišel.	belsti; trankyti	Kažkas beldžia į duris, eik pažiūrėti, kas atėjo.	klauvēt; sist	Kāds klauvē pie durvīm, ej paskaties, kas atnācis.
桥	мост	Изнад реке је мали мост.	most	Nad reko je majhen most.	tiltas	Virš upės yra mažas tiltas.	tilts	Pār upi ir mazs tilts.
巧克力	чоколада	Највише волим чоколаду.	čokolada	Najraje imam čokolado.	šokoladas	Labiausiai mėgstu šokoladą.	šokolāde	Man visvairāk garšo šokolāde.
亲戚	рођак	Већина мојих рођака живи у Пекингу.	sorodnik	Večina mojih sorodnikov živi v Pekingu.	giminaitis	Dauguma mano giminaičių gyvena Pekine.	radinieks	Lielākā daļa manu radinieku dzīvo Pekinā.
轻	лаган	Ова кутија је лагана.	lahek	Ta škatla je lahka.	lengvas	Ši dėžė lengva.	viegls	Šī kaste ir viegla.
轻松	лак; опуштен	Овај посао за њега није лак.	lahek; sproščen	To delo zanj ni lahko.	lengvas; atsipalaidavęs	Šis darbas jam nėra lengvas.	viegls; atslābināts	Šis darbs viņam nav viegls.
情况	ситуација; стање	Ситуација се много променила.	položaj; situacija	Situacija se je zelo spremenila.	padėtis; situacija	Situacija labai pasikeitė.	situācija; apstākļi	Situācija ir ļoti mainījusies.
穷	сиромашан	Иако је овај старац сиромашан, живи срећно.	reven	Čeprav je ta starec reven, živi srečno.	neturtingas	Nors šis senolis neturtingas, jis gyvena laimingai.	nabadzīgs	Lai gan šis vecais cilvēks ir nabadzīgs, viņš dzīvo laimīgi.
