simplified	VI	example_VI
环节	khâu	Mỗi khâu của khóa đào tạo đều rất quan trọng.
还原	khôi phục	Vui lòng khôi phục cài đặt về trạng thái mặc định.
缓和	dịu đi	Quan hệ giữa hai bên dần dịu đi.
患者	bệnh nhân	Bác sĩ đang hỏi về tình trạng của bệnh nhân.
荒凉	hoang vắng	Mảnh đất này trông vô cùng hoang vắng.
荒谬	hoang đường	Cách giải thích này nghe rất hoang đường.
荒唐	vô lý	Quyết định của anh ấy quá vô lý.
皇帝	hoàng đế	Hoàng đế sống trong cung điện nguy nga.
皇后	hoàng hậu	Hoàng hậu đã tham dự lễ mừng.
黄昏	hoàng hôn	Lúc hoàng hôn, đèn đường bật sáng.
恍然大悟	bỗng hiểu ra	Sau khi nghe lời giải thích, anh ấy bỗng hiểu ra.
晃	thoáng qua	Trước mắt thoáng qua một cái, anh ấy đã biến mất.
挥霍	phung phí	Anh ấy không nên phung phí tiền của cha mẹ.
辉煌	huy hoàng	Thành phố này có lịch sử huy hoàng.
回报	đền đáp	Làm việc chăm chỉ cuối cùng sẽ có đền đáp.
回避	né tránh	Anh ấy luôn né tránh vấn đề này.
回顾	nhìn lại	Cuối cuộc họp, mọi người nhìn lại công việc cả năm.
回收	tái chế	Khu dân cư bắt đầu tái chế pin cũ.
悔恨	hối hận	Anh ấy hối hận về những sai lầm trong quá khứ.
毁灭	hủy diệt	Chiến tranh gần như hủy diệt thành phố này.
会晤	gặp gỡ	Lãnh đạo hai nước sẽ gặp gỡ vào ngày mai.
汇报	báo cáo	Anh ấy báo cáo tiến độ với giám đốc.
贿赂	hối lộ	Quan chức bị điều tra vì hối lộ.
昏迷	hôn mê	Bệnh nhân vẫn đang trong trạng thái hôn mê.
荤	món mặn	Món này là món mặn, không phù hợp với người ăn chay.
浑身	toàn thân	Sau khi chạy xong, toàn thân anh ấy đầy mồ hôi.
混合	trộn	Hãy trộn đều hai loại vật liệu.
混乱	hỗn loạn	Hiện trường từng rất hỗn loạn.
混淆	nhầm lẫn	Đừng nhầm lẫn hai khái niệm này.
混浊	đục	Sau cơn mưa, nước sông trở nên đục.
活该	đáng đời	Anh ấy không nghe lời khuyên, thất bại cũng đáng đời.
活力	sức sống	Thành phố này tràn đầy sức sống.
火箭	tên lửa	Tên lửa đã đi vào quỹ đạo dự kiến thành công.
火焰	ngọn lửa	Gió thổi làm ngọn lửa bốc cao hơn.
火药	thuốc súng	Thuốc súng đã thay đổi cách chiến tranh thời cổ đại.
货币	tiền tệ	Chính sách tiền tệ ảnh hưởng đến phát triển kinh tế.
基地	căn cứ	Nơi này từng là một căn cứ huấn luyện quan trọng.
基金	quỹ	Trường đã thành lập quỹ học bổng.
基因	gen	Các nhà khoa học đang nghiên cứu gen này.
机动	cơ động	Đội này duy trì khả năng cơ động cao.
机构	cơ quan	Cơ quan này phụ trách kiểm tra chất lượng.
机灵	lanh lợi	Đứa trẻ này rất lanh lợi.
机密	bí mật	Những tài liệu này thuộc loại bí mật.
机械	máy móc	Nhà máy đã đưa vào máy móc mới.
机遇	cơ hội	Người trẻ nên nắm bắt cơ hội.
机智	nhanh trí	Câu trả lời của anh ấy rất nhanh trí.
激发	khơi dậy	Giáo viên đã khơi dậy hứng thú của học sinh.
激励	khích lệ	Thành công lần này đã khích lệ cả đội.
激情	đam mê	Khi diễn thuyết, anh ấy tràn đầy đam mê.
讥笑	chế giễu	Đừng chế giễu lỗi lầm của người khác.
饥饿	đói	Đói lâu ngày có thể ảnh hưởng đến sức khỏe.
即便	ngay cả khi	Ngay cả khi trời mưa, chúng tôi vẫn xuất phát đúng giờ.
即将	sắp	Cuộc họp sắp bắt đầu.
及早	sớm	Phát hiện vấn đề thì phải xử lý sớm.
吉祥	cát tường	Màu đỏ ở Trung Quốc thường tượng trưng cho điều cát tường.
嫉妒	ghen tị	Anh ấy không nên ghen tị với thành công của đồng nghiệp.
急功近利	nóng vội cầu lợi	Làm nghiên cứu không thể nóng vội cầu lợi.
急剧	đột ngột	Doanh số giảm đột ngột.
急切	nóng lòng	Cô ấy nóng lòng chờ tin tức.
急于求成	nôn nóng thành công	Học ngôn ngữ không thể nôn nóng thành công.
急躁	nôn nóng	Gặp khó khăn thì đừng nôn nóng.
极端	cực đoan	Loại thời tiết cực đoan này ngày càng phổ biến.
极限	giới hạn	Lần huấn luyện này đã thử thách giới hạn của anh ấy.
疾病	bệnh tật	Thói quen tốt có thể phòng ngừa bệnh tật.
籍贯	nguyên quán	Trên biểu mẫu cần điền nguyên quán.
级别	cấp bậc	Cuộc thi này chia thành ba cấp bậc.
集团	tập đoàn	Tập đoàn này có chi nhánh ở nước ngoài.
给予	trao	Trường trao sự giúp đỡ cho học sinh nghèo.
季军	hạng ba	Anh ấy giành hạng ba trong cuộc thi.
季度	quý	Công ty công bố báo cáo tài chính mỗi quý.
寂静	tĩnh lặng	Thung lũng ban đêm đặc biệt tĩnh lặng.
寄托	gửi gắm	Cô ấy gửi gắm hy vọng vào con mình.
忌讳	kiêng kỵ	Người địa phương kiêng kỵ bàn chuyện này trên bàn ăn.
技巧	kỹ thuật	Nắm vững kỹ thuật có thể nâng cao hiệu suất.
纪要	biên bản	Thư ký đã sắp xếp biên bản cuộc họp.
继承	kế thừa	Anh ấy kế thừa sự nghiệp của cha.
计较	so đo	Đừng so đo vì chút chuyện nhỏ này.
记性	trí nhớ	Anh ấy có trí nhớ rất tốt.
记载	ghi chép	Sử sách đã ghi chép cuộc chiến này.
迹象	dấu hiệu	Hiện tại chưa có dấu hiệu chuyển biến tốt.
佳肴	món ngon	Trên bàn bày đầy món ngon.
加工	gia công	Những nguyên liệu này cần được gia công thêm.
加剧	trầm trọng thêm	Mâu thuẫn đang trầm trọng thêm.
夹杂	lẫn	Tiếng mưa lẫn với tiếng sấm.
家常	gia đình	Tôi thích ăn món ăn gia đình.
家伙	gã	Gã đó lúc nào cũng đến muộn.
家属	người nhà	Bác sĩ đã thông báo cho người nhà bệnh nhân.
家喻户晓	ai cũng biết	Câu chuyện này ai cũng biết.
坚定	kiên định	Thái độ của cô ấy rất kiên định.
坚固	chắc chắn	Cây cầu này rất chắc chắn.
坚韧	kiên cường	Anh ấy có tính cách kiên cường.
坚实	vững chắc	Nghiên cứu này có nền tảng vững chắc.
坚硬	cứng	Hòn đá này rất cứng.
尖端	tiên tiến	Công ty đầu tư vào công nghệ tiên tiến.
尖锐	gay gắt	Vấn đề này rất gay gắt.
煎	chiên	Đầu bếp đang chiên cá.
监督	giám sát	Sự giám sát của công chúng giúp cải thiện công việc.
监视	theo dõi	Cảnh sát đang theo dõi nghi phạm.
监狱	nhà tù	Anh ấy đang thụ án trong nhà tù.
艰难	khó khăn	Giai đoạn đầu khởi nghiệp vô cùng khó khăn.
剪彩	cắt băng	Thị trưởng cắt băng khánh thành thư viện mới.
拣	chọn	Cô ấy chọn vài quả táo trong giỏ.
检讨	kiểm điểm	Anh ấy nghiêm túc kiểm điểm lỗi lầm của mình.
检验	kiểm nghiệm	Thí nghiệm có thể kiểm nghiệm giả thuyết này.
简化	đơn giản hóa	Vui lòng đơn giản hóa thêm quy trình.
简陋	đơn sơ	Họ sống trong một căn nhà nhỏ đơn sơ.
简体字	chữ giản thể	Sách giáo khoa này dùng chữ giản thể.
简要	ngắn gọn	Vui lòng trình bày ngắn gọn quan điểm của bạn.
健全	hoàn thiện	Công ty cần hoàn thiện hệ thống quản lý.
剑	kiếm	Trên tường treo một thanh kiếm cổ.
溅	bắn	Nước mưa bắn lên quần của anh ấy.
舰艇	tàu chiến	Nhiều tàu chiến đã tham gia cuộc diễn tập.
见多识广	từng trải hiểu biết rộng	Cụ già này từng trải và hiểu biết rộng.
见解	kiến giải	Anh ấy có kiến giải độc đáo về vấn đề này.
见闻	kiến văn	Du lịch đã mở rộng kiến văn của anh ấy.
见义勇为	thấy việc nghĩa thì làm	Anh ấy được khen vì thấy việc nghĩa thì làm.
践踏	giẫm đạp	Đừng giẫm đạp lên bãi cỏ.
鉴别	phân biệt	Chuyên gia có thể phân biệt bức tranh này thật hay giả.
鉴定	giám định	Cảnh sát đang giám định dấu vân tay.
鉴于	xét đến	Xét đến thời tiết xấu, hoạt động được hoãn lại.
间谍	gián điệp	Bộ phim này kể một câu chuyện gián điệp.
间隔	khoảng cách	Hai cuộc họp cách nhau một tuần.
间接	gián tiếp	Chính sách này sẽ tạo ra ảnh hưởng gián tiếp.
僵硬	cứng đờ	Nụ cười của anh ấy trông rất cứng đờ.
将军	tướng quân	Tướng quân đã ra lệnh.
将近	gần	Công trình này kéo dài gần hai năm.
将就	tạm chấp nhận	Điều kiện không tốt, chúng tôi chỉ có thể tạm chấp nhận.
奖励	khen thưởng	Trường đã khen thưởng học sinh xuất sắc.
奖赏	phần thưởng	Nhà vua ban phần thưởng hậu hĩnh cho chiến binh.
桨	mái chèo	Người lái thuyền dùng mái chèo chèo thuyền vào bờ.
降临	buông xuống	Màn đêm dần buông xuống trên thành phố.
交叉	giao nhau	Hai con đường giao nhau ở đây.
交代	giải thích rõ	Vui lòng giải thích rõ nhiệm vụ.
交涉	thương lượng	Hai bên đang thương lượng về vấn đề bồi thường.
交易	giao dịch	Giao dịch này đã hoàn tất.
娇气	yếu ớt	Đừng quá yếu ớt, thời tiết không lạnh.
焦点	tiêu điểm	Vấn đề việc làm trở thành tiêu điểm thảo luận.
焦急	sốt ruột	Người mẹ sốt ruột chờ con trở về.
侥幸	may mắn	Anh ấy may mắn thoát khỏi tai họa.
搅拌	khuấy	Vui lòng khuấy đều bột.
缴纳	nộp	Cư dân cần nộp tiền nước đúng hạn.
角落	góc	Con mèo trốn trong góc phòng.
教养	giáo dưỡng	Giáo dưỡng tốt thể hiện trong từng chi tiết.
较量	đọ sức	Hai đội mạnh sắp đọ sức.
接连	liên tiếp	Anh ấy liên tiếp nhận được ba email.
揭露	vạch trần	Phóng viên vạch trần vấn đề an toàn thực phẩm.
皆	đều	Những quy định này mọi người đều biết.
阶层	tầng lớp	Các tầng lớp khác nhau có nhu cầu khác nhau.
截止	kết thúc đăng ký	Việc đăng ký kết thúc vào chiều mai.
截至	tính đến	Tính đến hôm nay, đã có hai trăm người đăng ký.
杰出	kiệt xuất	Cô ấy là một nhà khoa học kiệt xuất.
竭尽全力	dốc hết sức	Chúng tôi sẽ dốc hết sức hoàn thành nhiệm vụ.
结晶	kết tinh	Thành quả này là kết tinh của nhiều năm nỗ lực.
结局	kết cục	Kết cục của câu chuyện nằm ngoài dự đoán.
结算	thanh toán	Khách hàng yêu cầu thanh toán chi phí vào cuối tháng.
节制	tiết chế	Ăn uống phải có tiết chế.
节奏	nhịp điệu	Nhịp điệu của bài hát này rất nhanh.
解除	gỡ bỏ	Công ty đã gỡ bỏ báo động an ninh.
解放	giải phóng	Cải cách đã giải phóng sức sản xuất.
解雇	sa thải	Ông chủ quyết định sa thải nhân viên đó.
解剖	giải phẫu	Sinh viên y khoa đang học giải phẫu.
解散	giải tán	Sau khi cuộc họp kết thúc, đội ngũ giải tán.
解体	tan rã	Liên minh đó cuối cùng tan rã.
借鉴	học hỏi	Chúng ta có thể học hỏi kinh nghiệm nước ngoài.
借助	nhờ vào	Anh ấy nhờ vào bản đồ để tìm được tuyến đường.
戒备	cảnh giới	Khu vực biên giới duy trì cảnh giới cao.
界限	ranh giới	Công việc và cuộc sống cần ranh giới rõ ràng.
津津有味	say sưa	Trẻ em say sưa nghe câu chuyện.
金融	tài chính	Thị trường tài chính hôm nay biến động lớn.
紧迫	cấp bách	Thời gian cấp bách, chúng ta phải hành động ngay.
锦上添花	thêm hoa trên gấm	Món quà này thật sự là thêm hoa trên gấm.
晋升	thăng chức	Anh ấy được thăng chức làm trưởng bộ phận vào năm ngoái.
浸泡	ngâm	Đậu cần được ngâm qua đêm.
近来	gần đây	Gần đây thời tiết thay đổi rất nhiều.
进而	tiếp đó	Trước tiên hiểu nhu cầu, tiếp đó xây dựng phương án.
进攻	tấn công	Đội bóng tăng cường tấn công trong hiệp hai.
进化	tiến hóa	Sinh vật sẽ tiến hóa theo môi trường.
进展	tiến triển	Dự án hiện đang tiến triển thuận lợi.
兢兢业业	tận tụy	Anh ấy đã làm việc tận tụy suốt ba mươi năm.
惊动	làm kinh động	Tiếng động lớn làm kinh động cư dân gần đó.
惊奇	kinh ngạc	Trẻ em kinh ngạc nhìn màn biểu diễn ảo thuật.
惊讶	ngạc nhiên	Câu trả lời của anh ấy khiến tôi rất ngạc nhiên.
精打细算	tính toán kỹ lưỡng	Cô ấy luôn tính toán kỹ lưỡng trong cuộc sống.
精华	tinh hoa	Bài viết này tóm tắt tinh hoa của lý thuyết.
精简	tinh giản	Công ty quyết định tinh giản tầng quản lý.
精密	chính xác	Thiết bị này rất chính xác.
精确	chính xác	Dữ liệu phải chính xác đến hai chữ số sau dấu thập phân.
精通	thành thạo	Anh ấy thành thạo ba ngoại ngữ.
精心	tỉ mỉ	Mẹ đã tỉ mỉ chuẩn bị bữa tối.
精益求精	không ngừng hoàn thiện	Thợ giỏi luôn không ngừng hoàn thiện.
精致	tinh xảo	Món quà này được đóng gói rất tinh xảo.
经费	kinh phí	Kinh phí nghiên cứu đã được phê duyệt.
经纬	kinh vĩ	Bản đồ đánh dấu các đường kinh vĩ.
茎	thân cây	Thân cây đỡ lá.
井	giếng	Ở đầu làng có một cái giếng cổ.
警告	cảnh cáo	Giáo viên cảnh cáo học sinh không được gian lận.
警惕	cảnh giác	Chúng ta phải cảnh giác với lừa đảo trên mạng.
颈椎	đốt sống cổ	Cúi đầu lâu có thể làm tổn thương đốt sống cổ.
境界	cảnh giới	Tranh của anh ấy đã đạt đến cảnh giới mới.
敬礼	chào	Người lính chào quốc kỳ.
敬业	tận tâm với nghề	Cô ấy làm việc nghiêm túc và rất tận tâm với nghề.
竞赛	cuộc thi	Trường đã tổ chức cuộc thi toán.
竞选	tranh cử	Anh ấy chuẩn bị tranh cử thị trưởng.
镜头	ống kính	Nhiếp ảnh gia điều chỉnh ống kính.
纠纷	tranh chấp	Hai bên đã giải quyết tranh chấp thông qua hòa giải.
纠正	sửa chữa	Giáo viên kịp thời sửa lỗi phát âm.
酒精	cồn	Bác sĩ dùng cồn khử trùng vết thương.
就近	gần đó	Học sinh có thể nhập học ở trường gần đó.
就业	việc làm	Chính phủ đưa ra chính sách thúc đẩy việc làm.
就职	nhậm chức	Giám đốc mới sẽ chính thức nhậm chức vào tuần tới.
救济	cứu trợ	Nạn dân đã nhận được cứu trợ kịp thời.
居民	cư dân	Cư dân gần đó phản đối ô nhiễm tiếng ồn.
居住	cư trú	Họ đã cư trú ở đây mười năm.
拘留	tạm giữ	Cảnh sát tạm giữ nghi phạm theo pháp luật.
拘束	gò bó	Trước mặt bạn bè không cần gò bó.
鞠躬	cúi chào	Diễn viên cúi chào khán giả để cảm ơn.
局部	cục bộ	Bác sĩ chỉ gây tê cục bộ.
局面	cục diện	Cuộc đàm phán đã cải thiện cục diện căng thẳng.
局势	tình hình	Tình hình quốc tế vẫn phức tạp.
局限	hạn chế	Phương pháp này có hạn chế rõ ràng.
举动	hành động	Hành động của anh ấy khiến mọi người rất cảm động.
举世瞩目	được cả thế giới chú ý	Công trình này đạt thành tựu được cả thế giới chú ý.
举足轻重	có vai trò quan trọng	Công ty này có vai trò quan trọng trong ngành.
咀嚼	nhai	Khi ăn nên nhai chậm.
沮丧	chán nản	Sau khi thua trận, anh ấy rất chán nản.
剧本	kịch bản	Đạo diễn đang sửa kịch bản.
剧烈	dữ dội	Mặt đất rung chuyển dữ dội.
据悉	được biết	Được biết, cuộc họp sẽ hoãn đến tuần sau.
聚精会神	tập trung cao độ	Trẻ em tập trung cao độ nghe bài giảng.
卷	cuộn	Anh ấy cuộn bản đồ lại và bỏ vào túi.
倔强	bướng bỉnh	Đứa trẻ này có tính cách rất bướng bỉnh.
决策	quyết sách	Ban quản lý đang thảo luận một quyết sách quan trọng.
绝望	tuyệt vọng	Sau thất bại, có lúc anh ấy cảm thấy tuyệt vọng.
觉悟	nhận thức	Trải nghiệm lần này đã nâng cao nhận thức của anh ấy.
觉醒	thức tỉnh	Ý thức bảo vệ môi trường của công chúng đang thức tỉnh.
军队	quân đội	Quân đội nhanh chóng đến vùng thiên tai.
君子	quân tử	Người quân tử nên nói đi đôi với làm.
卡通	hoạt hình	Đứa trẻ thích xem phim hoạt hình.
开采	khai thác	Công ty này phụ trách khai thác khoáng sản.
开除	đuổi học	Trường quyết định đuổi học học sinh gian lận.
开阔	rộng mở	Đứng trên đỉnh núi, tầm nhìn rất rộng mở.
开朗	cởi mở	Cô ấy tính cách cởi mở và có nhiều bạn.
开明	cởi mở	Thái độ của cha mẹ rất cởi mở.
开辟	mở ra	Thành phố đã mở ra tuyến xe buýt mới.
开拓	mở rộng	Công ty dự định mở rộng thị trường nước ngoài.
开展	tiến hành	Trường đã tiến hành hoạt động giáo dục an toàn.
开支	chi tiêu	Chi tiêu hằng tháng của gia đình tăng lên.
刊登	đăng	Báo đã đăng bài viết của anh ấy.
刊物	ấn phẩm	Ấn phẩm này xuất bản mỗi tháng một lần.
勘探	thăm dò	Đội công trình đang thăm dò nguồn nước ngầm.
侃侃而谈	nói tự tin	Anh ấy nói tự tin và lưu loát trong cuộc họp.
砍伐	chặt phá	Cấm chặt phá rừng tùy tiện.
看待	nhìn nhận	Chúng ta nên nhìn nhận vấn đề này một cách khách quan.
慷慨	hào phóng	Anh ấy hào phóng quyên góp tiền thưởng.
抗议	phản đối	Cư dân phản đối việc xây nhà máy mới.
考察	khảo sát	Chuyên gia đến hiện trường khảo sát môi trường.
考古	khảo cổ	Đội khảo cổ phát hiện mộ cổ.
考核	đánh giá	Công ty đánh giá biểu hiện của nhân viên mỗi năm.
考验	thử thách	Cuộc khủng hoảng lần này thử thách năng lực của đội.
靠拢	xích lại	Các thành viên trong đội xích lại về phía giữa.
磕	va	Anh ấy vô ý va vào góc bàn.
科目	môn học	Toán là môn học yêu thích nhất của anh ấy.
可观	đáng kể	Khoản đầu tư này mang lại lợi nhuận đáng kể.
可口	ngon	Món ăn của nhà hàng này rất ngon.
可恶	đáng ghét	Hành vi lừa dối này thật đáng ghét.
可行	khả thi	Phương án này về cơ bản khả thi.
渴望	khao khát	Trẻ em khao khát có thêm cơ hội.
克制	kiềm chế	Khi tranh luận, cần kiềm chế cảm xúc.
刻不容缓	không thể trì hoãn	Bảo vệ nguồn nước là việc không thể trì hoãn.
客户	khách hàng	Khách hàng rất hài lòng với dịch vụ.
课题	đề tài	Đề tài này đáng được nghiên cứu sâu.
啃	gặm	Đứa trẻ đang gặm một bắp ngô.
恳切	tha thiết	Anh ấy tha thiết xin mọi người giúp đỡ.
坑	hố	Bên đường có một cái hố rất sâu.
空洞	rỗng tuếch	Nội dung báo cáo này rỗng tuếch.
空前绝后	chưa từng có và khó lặp lại	Buổi biểu diễn này có thể nói là chưa từng có và khó lặp lại.
空想	ảo tưởng	Chỉ dựa vào ảo tưởng thì không thể giải quyết vấn đề.
空虚	trống rỗng	Sau khi bận rộn qua đi, anh ấy cảm thấy trống rỗng.
孔	lỗ	Trên tường có một cái lỗ nhỏ.
恐怖	kinh dị	Bộ phim đó có bầu không khí rất kinh dị.
恐吓	đe dọa	Đối phương dùng lời đe dọa để uy hiếp nhân chứng.
恐惧	sợ hãi	Bóng tối khiến đứa trẻ cảm thấy sợ hãi.
空白	khoảng trống	Vui lòng ký tên vào khoảng trống.
空隙	khe hở	Giữa cửa và sàn nhà có khe hở.
口气	giọng điệu	Giọng điệu nói chuyện của anh ấy rất cứng rắn.
口腔	khoang miệng	Bác sĩ kiểm tra khoang miệng của anh ấy.
口头	bằng miệng	Họ chỉ có thỏa thuận bằng miệng.
口音	giọng	Phổ thông của anh ấy có một chút giọng địa phương.
扣	cài	Vui lòng cài dây an toàn.
哭泣	khóc	Cô gái trốn trong góc và khóc.
枯萎	héo	Thiếu nước làm hoa héo.
枯燥	khô khan	Công việc này hơi khô khan.
苦尽甘来	khổ tận cam lai	Sau nhiều năm kiên trì, cuối cùng cũng khổ tận cam lai.
苦涩	đắng chát	Tách trà thuốc này có vị đắng chát.
挎	khoác	Cô ấy khoác một chiếc túi vải ra ngoài.
跨	bước qua	Anh ấy bước qua mương nước rồi tiếp tục đi về phía trước.
快活	vui vẻ	Trẻ em chơi rất vui vẻ trên bãi cỏ.
宽敞	rộng rãi	Phòng học này sáng sủa và rộng rãi.
宽容	bao dung	Xã hội cần nhiều sự thấu hiểu và bao dung hơn.
款待	tiếp đãi	Chủ nhà nhiệt tình tiếp đãi khách.
款式	kiểu dáng	Bộ quần áo này có kiểu dáng rất mới lạ.
筐	giỏ	Anh ấy vác một giỏ táo về nhà.
况且	huống chi	Đường rất xa, huống chi trời sắp tối.
旷课	trốn học	Học sinh trốn học vô cớ sẽ bị ghi nhận.
框架	khung	Báo cáo cần xác định khung trước.
矿产	khoáng sản	Khu vực này có tài nguyên khoáng sản phong phú.
亏待	đối xử bạc bẽo	Công ty sẽ không đối xử bạc bẽo với nhân viên làm việc nghiêm túc.
亏损	thua lỗ	Năm nay nhà máy bị thua lỗ nghiêm trọng.
捆绑	buộc	Vui lòng buộc chắc những chiếc thùng này.
扩充	mở rộng	Trường dự định mở rộng bộ sưu tập sách của thư viện.
扩散	lan rộng	Tin đồn nhanh chóng lan rộng trên mạng.
扩张	mở rộng	Công ty đang thận trọng mở rộng kinh doanh.
啦	nhé	Đừng lo nhé, mọi thứ sẽ tốt lên.
喇叭	còi	Còi ô tô đột nhiên vang lên.
蜡烛	nến	Trên bánh sinh nhật cắm nến.
来历	nguồn gốc	Nguồn gốc của hiện vật này không rõ.
来源	nguồn	Tin tức phải ghi rõ nguồn thông tin.
栏目	chuyên mục	Chuyên mục này phát sóng mỗi tuần một lần.
懒惰	lười biếng	Lười biếng sẽ ảnh hưởng đến hiệu quả học tập.
狼狈	nhếch nhác	Sau cơn mưa, anh ấy ướt sũng và trông rất nhếch nhác.
狼吞虎咽	ăn ngấu nghiến	Anh ấy đói lả nên ăn ngấu nghiến.
捞	vớt	Ngư dân vớt một tấm lưới từ dưới sông lên.
唠叨	cằn nhằn	Mẹ luôn cằn nhằn vì những chuyện nhỏ.
牢固	chắc chắn	Kết cấu của cây cầu này rất chắc chắn.
牢骚	lời than phiền	Anh ấy đầy lời than phiền nhưng không muốn thay đổi.
乐趣	niềm vui	Đọc sách mang lại cho cô ấy nhiều niềm vui.
乐意	sẵn lòng	Tôi rất sẵn lòng giúp bạn sửa sơ yếu lý lịch.
雷达	ra đa	Ra đa phát hiện máy bay ở xa.
类似	tương tự	Những vấn đề tương tự trước đây cũng từng xuất hiện.
冷酷	lạnh lùng	Giọng điệu của anh ấy nghe rất lạnh lùng.
冷落	thờ ơ	Nhân viên mới cảm thấy mình bị thờ ơ.
冷却	làm nguội	Máy cần được làm nguội trước rồi mới sửa.
愣	sững ra	Nghe tin này, anh ấy sững ra.
黎明	bình minh	Lúc bình minh, thành phố dần tỉnh giấc.
理睬	để ý	Anh ấy tức giận nên không để ý đến ai.
理所当然	đương nhiên	Đừng xem sự giúp đỡ của người khác là điều đương nhiên.
理直气壮	có lý nên tự tin	Bằng chứng đầy đủ, anh ấy nói rất có lý nên tự tin.
理智	lý trí	Khi gặp xung đột, cần giữ lý trí.
礼节	lễ tiết	Các nền văn hóa khác nhau có lễ tiết khác nhau.
礼尚往来	có qua có lại	Hàng xóm coi trọng phép có qua có lại.
里程碑	cột mốc	Thành công lần này là cột mốc của dự án.
例外	ngoại lệ	Mọi người đều phải tham gia, không có ngoại lệ.
利害	lợi hại	Điều này liên quan đến lợi hại của cả hai bên.
力求	cố gắng hết sức	Chúng tôi cố gắng hết sức giảm lỗi xuống mức thấp nhất.
力所能及	trong khả năng	Vui lòng làm những việc trong khả năng của mình.
力争	phấn đấu	Đội phấn đấu hoàn thành nhiệm vụ trước thời hạn.
历代	qua các đời	Học giả qua các đời đều nghiên cứu vấn đề này.
历来	từ trước đến nay	Thành phố này từ trước đến nay luôn coi trọng giáo dục.
立场	lập trường	Anh ấy bày tỏ lập trường trong cuộc họp.
立方	lập phương	Bể nước này có dung tích ba mét khối.
立交桥	cầu vượt	Cây cầu vượt này đã giảm ùn tắc giao thông.
立体	ba chiều	Bức tranh này có cảm giác ba chiều rất mạnh.
立足	đứng vững	Doanh nghiệp phải đứng vững trên thị trường địa phương.
粒	hạt	Trên bàn có vài hạt gạo.
廉洁	liêm khiết	Công chức phải giữ sự liêm khiết.
联欢	liên hoan	Các bạn học đã tổ chức buổi liên hoan năm mới.
联络	liên hệ	Vui lòng liên hệ khách hàng càng sớm càng tốt.
联盟	liên minh	Vài quốc gia đã thành lập liên minh thương mại.
联想	liên tưởng	Bức ảnh này khiến tôi liên tưởng đến thời thơ ấu.
连年	nhiều năm liền	Khu vực này chịu lũ lụt nhiều năm liền.
连锁	chuỗi	Công ty này kinh doanh chuỗi siêu thị.
连同	cùng với	Vui lòng gửi hóa đơn cùng với hợp đồng.
良心	lương tâm	Làm người phải không hổ thẹn với lương tâm.
晾	phơi	Cô ấy phơi quần áo ngoài ban công.
谅解	thông cảm	Hy vọng bạn có thể thông cảm cho khó khăn của chúng tôi.
辽阔	rộng lớn	Thảo nguyên rộng lớn, nhìn không thấy bờ.
列举	liệt kê	Giáo viên liệt kê ba ví dụ.
临床	lâm sàng	Loại thuốc này đang tiến hành thử nghiệm lâm sàng.
淋	dầm	Đừng dầm mưa quá lâu.
吝啬	keo kiệt	Anh ấy chưa bao giờ keo kiệt với bạn bè.
伶俐	lanh lợi	Cô bé này thông minh lanh lợi.
凌晨	rạng sáng	Máy bay cất cánh lúc ba giờ rạng sáng.
灵感	cảm hứng	Âm nhạc mang lại cho anh ấy cảm hứng sáng tác.
灵魂	linh hồn	Tự do là linh hồn của tác phẩm này.
灵敏	nhạy	Thiết bị này phản ứng rất nhạy.
零星	rải rác	Trong bầu trời đêm có vài ánh đèn rải rác.
领会	lĩnh hội	Anh ấy nhanh chóng lĩnh hội ý của giáo viên.
领事馆	lãnh sự quán	Anh ấy đến lãnh sự quán làm thị thực.
领土	lãnh thổ	Mỗi quốc gia đều coi trọng sự toàn vẹn lãnh thổ.
领悟	ngộ ra	Sau khi trải qua thất bại, anh ấy ngộ ra trách nhiệm.
领先	dẫn đầu	Công nghệ của họ hiện đang dẫn đầu các đối thủ cùng ngành.
领袖	lãnh tụ	Vị lãnh tụ này được nhân dân hết sức kính trọng.
溜	lẻn	Chú chó con lẻn ra ngoài qua khe cửa.
流浪	lang thang	Khi còn trẻ, anh ấy từng lang thang khắp nơi.
流露	bộc lộ	Trên mặt cô ấy bộc lộ niềm vui.
流氓	côn đồ	Cảnh sát bắt được vài tên côn đồ đường phố.
流通	lưu thông	Đồng tiền này từng lưu thông tại địa phương.
留恋	lưu luyến	Khi tốt nghiệp, mọi người đều lưu luyến khuôn viên trường.
留念	lưu niệm	Chúng tôi chụp ảnh lưu niệm ở cổng trường.
留神	chú ý	Khi qua đường nhất định phải chú ý.
聋哑	câm điếc	Trường cung cấp trợ giúp cho trẻ em câm điếc.
隆重	long trọng	Đại hội được tổ chức long trọng trong hội trường.
垄断	độc quyền	Độc quyền có thể gây hại cho cạnh tranh thị trường.
笼罩	bao phủ	Sương mù dày đặc bao phủ cả ngôi làng.
搂	ôm	Mẹ nhẹ nhàng ôm đứa trẻ.
炉灶	bếp	Bếp trong nhà bếp cần được vệ sinh.
轮船	tàu thủy	Tàu thủy chậm rãi rời cảng.
轮廓	đường nét	Đường nét của dãy núi phía xa rất rõ.
轮胎	lốp xe	Lốp xe ô tô cần được thay.
论坛	diễn đàn	Các chuyên gia phát biểu tại diễn đàn.
论证	luận chứng	Báo cáo cần luận chứng thêm cho quan điểm.
