simplified	LT	example_LT
数码	skaitmeninis	Jis nusipirko skaitmeninį fotoaparatą.
摔倒	pargriūti	Ji pargriuvo ant kelio.
甩	purtyti; sviesti	Jis nupurtė vandenį nuo rankų.
双方	abi pusės	Abi pusės sutiko su šiuo planu.
税	mokestis	Perkant daiktus reikia mokėti mokestį.
说不定	galbūt; negali tiksliai žinoti	Galbūt rytoj snigs.
说服	įtikinti	Galiausiai jis įtikino tėvus.
丝绸	šilkas	Šis šalikas pagamintas iš šilko.
丝毫	visiškai; nė kiek	Jis nė kiek nepakeitė nuomonės.
思考	apmąstyti	Prašau gerai apmąstyti šią problemą.
思想	mintis; mąstymas	Jo mąstymas labai atviras.
撕	plėšti	Prašau neplėšyti šio popieriaus lapo.
私人	privatus	Tai mano privati erdvė.
似乎	atrodo; regis	Atrodo, jis nelabai laimingas.
搜索	ieškoti	Internete ieškojau medžiagos.
宿舍	bendrabutis	Studentai gyvena mokyklos bendrabutyje.
随身	su savimi	Prašau pasą turėti su savimi.
随时	bet kada	Gali man paskambinti bet kada.
随手	pakeliui; išeinant	Išeidamas prašau uždaryti duris.
碎	sudužti; suskilti	Puodelis nukrito ant žemės ir sudužo.
损失	nuostolis	Ši avarija sukėlė didelių nuostolių.
缩短	sutrumpinti	Naujas maršrutas sutrumpino kelionę.
所	vieta; įstaigos skaitiklis	Ši mokykla labai garsi.
锁	užrakinti; spyna	Prašau prieš išeidamas užrakinti duris.
台阶	laiptelis	Senolis lėtai užlipo laipteliais.
太极拳	taidzičiuan; taiči	Kai kurie žmonės parke praktikuoja taiči.
太太	ponia; žmona	Ponia Wang gamina.
谈判	derėtis; derybos	Abi pusės derasi.
坦率	atviras; tiesus	Jis atvirai išsakė savo mintis.
烫	karštas; nudeginti	Šis arbatos puodelis labai karštas.
桃	persikas	Ant medžio užaugo daug persikų.
淘气	išdykęs	Šis vaikas šiek tiek išdykęs.
逃	pabėgti	Šuniukas pabėgo iš kiemo.
逃避	vengti; išsisukinėti	Nevengyk atsakomybės.
讨价还价	derėtis dėl kainos	Apsipirkdamas jis mėgsta derėtis.
套	komplektas; apvalkalas	Jis nusipirko naują drabužių komplektą.
特色	ypatybė; savitumas	Šis restoranas turi vietinių ypatumų.
特殊	ypatingas	Šiandien ypatinga diena.
特征	bruožas; požymis	Šios rūšies gyvūnas turi akivaizdžių bruožų.
疼爱	labai mylėti	Seneliai labai myli vaiką.
提倡	skatinti; propaguoti	Mokykla skatina taupyti vandenį.
提纲	planas; apmatai	Prieš rašydamas straipsnį sudaryk planą.
提问	užduoti klausimą	Studentai gali bet kada užduoti klausimus.
题目	klausimas; tema	Šis klausimas nėra labai sunkus.
体会	suvokti; patirtis	Keliaudamas įgijau naują supratimą.
体贴	dėmesingas; rūpestingas	Jis labai dėmesingas savo šeimai.
体现	atspindėti	Šis dalykas atspindi komandos dvasią.
体验	patirti; išbandyti	Noriu patirti vietinį gyvenimą.
天空	dangus	Šiandien dangus labai mėlynas.
天真	naivus; nekaltas	Vaiko mintis labai nekalta.
调皮	išdykęs	Tas katinas labai išdykęs.
调整	koreguoti; pakoregavimas	Turime pakoreguoti planą.
挑战	iššūkis	Tai didelis iššūkis.
通常	paprastai	Paprastai jis keliasi septintą.
统一	suvienodinti; suvienyti	Visų nuomones reikia suvienodinti.
痛苦	skausmas; kančia	Draugo netektis jį labai nuliūdino.
痛快	labai smagus; nuoširdžiai linksmas	Šiandien tikrai puikiai praleidome laiką.
偷	vogti	Nevok kitų žmonių daiktų.
投入	susitelkti; investuoti	Jis dirba labai susitelkęs.
投资	investuoti; investicija	Jie investavo į naują projektą.
透明	skaidrus	Šis puodelis skaidrus.
突出	ryškus; išsiskiriantis	Jo pranašumai labai ryškūs.
土地	žemė	Šis žemės plotas labai derlingas.
土豆	bulvė	Nusipirkau kelias bulves.
兔子	triušis	Vaikas augina triušį.
吐	vemti	Jis blogai jaučiasi ir nori vemti.
团	grupė; apvalus	Prisijungėme prie turistinės grupės.
推辞	atsisakyti; atmesti	Jis atsisakė draugo kvietimo.
推广	populiarinti; skatinti	Įmonė reklamuoja naują produktą.
推荐	rekomenduoti	Mokytojas rekomendavo šią knygą.
退	atsitraukti; trauktis	Prašau atsitraukti vieną žingsnį.
退步	regresuoti; suprastėti	Jei nesipraktikuosi, tavo lygis suprastės.
退休	išeiti į pensiją	Kitais metais jis išeis į pensiją.
歪	kreivas; pakrypęs	Šis paveikslas kabo kreivai.
外公	senelis iš motinos pusės	Mano senelis iš motinos pusės šiemet yra aštuoniasdešimties.
外交	diplomatija; užsienio reikalai	Jis studijuoja tarptautinius santykius ir diplomatiją.
完美	tobulas; tobulumas	Šis planas nėra tobulas.
完善	tobulinti; pagerinti	Turime pagerinti paslaugų procesą.
完整	pilnas; išsamus	Prašau duoti man išsamią ataskaitą.
玩具	žaislas	Vaikas sudėjo žaislus į dėžę.
万一	jeigu kartais; dėl viso pikto	Jeigu kartais lis, eisime kitą dieną.
王子	princas	Princas pasakoje labai drąsus.
往返	kelionė pirmyn ir atgal	Šis bilietas leidžia tą pačią dieną nuvykti ir grįžti.
网络	internetas; tinklas	Interneto ryšys čia labai stabilus.
危害	kenkti; kelti pavojų	Rūkymas gali pakenkti sveikatai.
威胁	grasinti; kelti grėsmę	Tarša kelia grėsmę upei.
微笑	šypsena; nusišypsoti	Ji man nusišypsojo.
唯一	vienintelis	Tai vienintelis būdas.
围巾	šalikas	Žiemą jis nešioja šaliką.
围绕	suktis apie; sutelkti dėmesį į	Diskusija sutelkta į šį klausimą.
维修	remontas; techninė priežiūra	Liftas remontuojamas.
违反	pažeisti	Taip elgiantis pažeidžiamos taisyklės.
伟大	didus; puikus	Tai didis atradimas.
委屈	jaustis nuskriaustam	Ji jautėsi labai nuskriausta.
尾巴	uodega	Šuniukas vizgino uodegą.
位于	būti įsikūrusiam; būti	Mokykla yra miesto centre.
位置	vieta; padėtis	Ši vieta labai rami.
未必	nebūtinai	Tai, ką jis pasakė, nebūtinai tiesa.
未来	ateitis	Turime ruoštis ateičiai.
胃	skrandis	Man šiek tiek nemalonu skrandyje.
胃口	apetitas	Šiandien jis turi gerą apetitą.
温暖	šiltas	Pavasario saulė labai šilta.
温柔	švelnus	Ji kalba labai švelniai.
文件	dokumentas; failas	Prašau atsiųsti man dokumentą.
文具	rašymo reikmenys; mokyklinės priemonės	Mokyklinėje kuprinėje yra daug mokyklinių priemonių.
文明	civilizuotas; civilizacija	Laukti eilėje yra civilizuotas elgesys.
文学	literatūra	Ji mėgsta kinų literatūrą.
文字	rašmenys; raštas	Šiuos rašmenis sunku skaityti.
闻	užuosti; girdėti	Užuodžiau gėlių kvapą.
吻	bučinys; pabučiuoti	Mama pabučiavo vaiką į skruostą.
稳定	stabilus; stabilumas	Kainos išlieka stabilios.
问候	pasveikinti; perduoti linkėjimus	Prašau perduoti mano linkėjimus savo šeimai.
卧室	miegamasis	Miegamajame yra didelė lova.
握手	paspausti ranką	Susitikę jie paspaudė vienas kitam ranką.
屋子	kambarys; namas	Kambaryje šilta.
无奈	bejėgis; neturėti išeities	Jis bejėgiškai papurtė galvą.
无数	nesuskaičiuojamas; daugybė	Naktiniame danguje yra daugybė žvaigždžių.
无所谓	nesvarbu; vis tiek	Nesvarbu, ką nori valgyti.
武术	kovos menai	Nuo vaikystės jis mokėsi kovos menų.
勿	ne; draudžiama	Prašau čia nerūkyti.
物理	fizika	Fizikos pamoka labai įdomi.
物质	medžiaga; materija	Vanduo yra svarbi medžiaga.
雾	rūkas	Ryte buvo tirštas rūkas.
吸取	pasinaudoti; pasimokyti	Turėtume pasimokyti iš šios pamokos.
吸收	sugerti; absorbuoti	Augalai sugeria vandenį.
戏剧	drama; teatras	Jam patinka žiūrėti tradicinį teatrą.
系	fakultetas; skyrius	Ji studijuoja kinų kalbos fakultete.
系统	sistema	Ši sistema veikia stabiliai.
细节	detalės	Prašau atkreipti dėmesį į šias detales.
瞎	aklai; neapgalvotai	Nespėliok aklai, pirmiausia pažiūrėk medžiagą.
下载	atsisiųsti	Atsisiunčiau šią programinę įrangą.
吓	išgąsdinti	Staigus garsas mane išgąsdino.
夏令营	vasaros stovykla	Vaikas dalyvavo kinų kalbos vasaros stovykloje.
鲜艳	ryškiaspalvis	Šio sijono spalva labai ryški.
显得	atrodyti	Su šiais drabužiais jis atrodo labai jaunas.
显然	akivaizdu	Akivaizdu, kad jis jau žino rezultatą.
显示	rodyti	Ekranas rodo neteisingą laiką.
县	apskritis; rajonas	Šiame rajone yra daug arbatos plantacijų.
现代	šiuolaikinis; modernūs laikai	Šiuolaikinio gyvenimo sunku įsivaizduoti be interneto.
现实	realybė	Turime susidurti su realybe.
现象	reiškinys	Šis reiškinys labai dažnas.
限制	riboti; apribojimas	Čia ribojamas transporto priemonių įvažiavimas.
相处	sutarti; sugyventi	Jie labai gerai sutaria.
相当	gana; atitinkamas	Ši knyga gana įdomi.
相对	palyginti; santykinai	Kainos čia palyginti žemos.
相关	susijęs; atitinkamas	Prašau pateikti atitinkamą medžiagą.
相似	panašus	Šių dviejų rašmenų reikšmės labai panašios.
香肠	dešra	Pusryčiams yra kiaušinių ir dešros.
享受	mėgautis; malonumas	Jie mėgaujasi atostogomis.
想念	ilgėtis	Labai ilgiuosi šeimos.
想象	įsivaizduoti	Negaliu įsivaizduoti tokio gyvenimo.
象棋	kinų šachmatai	Senelis mėgsta žaisti kinų šachmatais.
象征	simbolis; simbolizuoti	Balta dažnai simbolizuoja tyrumą.
项	punktas; dalykas	Ši užduotis labai svarbi.
项链	vėrinys	Ji nešioja sidabrinį vėrinį.
项目	projektas; punktas	Šiam projektui reikia trijų mėnesių.
消费	vartojimas; vartoti	Per šventes vartojimas padidėjo.
消化	virškinimas; virškinti	Pasivaikščiojimas po valgio padeda virškinimui.
消极	neigiamas; pasyvus	Nežiūrėk į problemas neigiamu požiūriu.
消失	išnykti	Saulė pamažu išnyko už kalno.
销售	parduoti; pardavimas	Ši įmonė parduoda elektronikos gaminius.
小麦	kviečiai	Šiaurėje auginama daug kviečių.
小气	šykštus	Nebūk toks šykštus.
孝顺	pagarbus ir rūpestingas tėvams	Jis labai pagarbus ir rūpestingas tėvams.
效率	efektyvumas	Taip darant galima pagerinti efektyvumą.
歇	pailsėti; sustoti	Pirmiausia truputį pailsėkime.
斜	įstrižas; nuožulnus	Šis kelias šiek tiek nuožulnus.
写作	rašymas	Rašymui reikia ilgalaikės praktikos.
心理	psichologinis; psichika	Prieš egzaminą reikia psichologiškai pasiruošti.
心脏	širdis	Širdies sveikata labai svarbi.
欣赏	grožėtis; vertinti	Grožėjomės gražiu kraštovaizdžiu.
信号	signalas	Mobiliojo telefono signalas čia prastas.
信任	pasitikėti; pasitikėjimas	Tarp draugų reikia pasitikėjimo.
形成	susiformuoti; susidaryti	Geri įpročiai turi formuotis pamažu.
形容	apibūdinti	Nežinau, kaip apibūdinti šį jausmą.
形势	padėtis; situacija	Dabartinė padėtis gana sudėtinga.
形式	forma	Susitikimas gali vykti nuotoline forma.
形象	įvaizdis; vaizdas	Jo viešasis įvaizdis labai geras.
形状	forma	Šios dėžės forma labai ypatinga.
行动	veiksmas; veikti	Turime veikti nedelsdami.
行人	pėsčiasis	Eidamas per kelią atkreipk dėmesį į pėsčiuosius.
行为	elgesys	Toks elgesys nemandagus.
幸亏	laimei	Laimei, tu man priminei.
幸运	laimingas; sėkmė	Jam pasisekė rasti darbą.
性质	pobūdis; savybė	Šios problemos pobūdis labai rimtas.
兄弟	broliai	Dviejų brolių santykiai geri.
胸	krūtinė	Jis jaučia nedidelį spaudimą krūtinėje.
休闲	laisvalaikis; poilsis	Savaitgalis yra geras laikas poilsiui.
修改	pataisyti; pakeisti	Prašau pataisyti šį straipsnį.
虚心	kuklus; atviras nuomonei	Turėtume atvirai klausytis nuomonių.
叙述	pasakoti; atpasakoti	Jis aiškiai papasakojo, kas įvyko.
宣布	paskelbti	Mokykla paskelbė naujas taisykles.
宣传	reklamuoti; skleisti	Jie skleidžia žinias apie aplinkos apsaugą.
学历	išsilavinimas; akademinė kvalifikacija	Šiam darbui reikia universitetinio išsilavinimo.
学术	akademinis; mokslinis	Ši konferencija aptaria akademinius klausimus.
学问	žinios; išsilavinimas	Jis labai išsilavinęs.
血	kraujas	Jo ranka šiek tiek kraujavo.
寻找	ieškoti	Ieškome naujo metodo.
询问	teirautis; paklausti	Jis pasiteiravo mokytojo apie egzamino laiką.
训练	treniruotis; treniruotė	Sportininkas kasdien treniruojasi.
迅速	greitas; sparčiai	Žinia greitai pasklido.
押金	užstatas	Nuomojantis būstą reikia sumokėti užstatą.
牙齿	dantys	Prašau kasdien gerai prižiūrėti dantis.
严肃	rimtas	Mokytojo veido išraiška buvo labai rimta.
延长	pratęsti; pailginti	Susitikimas buvo pratęstas puse valandos.
演讲	kalba; pranešimas	Jis ruošia rytojaus pranešimą.
宴会	banketas; pobūvis	Jie dalyvavo bankete.
阳台	balkonas	Balkone stovi keli vazonai gėlių.
痒	niežėti	Man šiek tiek niežti ranką.
样式	stilius; modelis	Šis stilius labai populiarus.
腰	juosmuo; apatinė nugaros dalis	Ilgai sėdint gali skaudėti juosmenį.
摇	kratyti; siūbuoti	Vėjas siūbavo šakas pirmyn ir atgal.
咬	kąsti	Šis šuo žmonių nekanda.
要不	gal; antraip	Gal eikime rytoj?
业务	verslas; veikla	Įmonės veiklos vis daugėja.
业余	laisvalaikio; mėgėjiškas	Laisvalaikiu jis mokosi fotografijos.
夜	naktis; vakaras	Naktį gatvėje labai tylu.
依然	vis dar	Jis vis dar gyvena Pekine.
一辈子	visą gyvenimą	Ji visą gyvenimą mylėjo muziką.
一旦	kai tik; vos tik	Kai tik apsisprendi, reikia laikytis sprendimo.
一律	be išimties; visi	Susitikimo metu visi telefonai turi būti išjungti.
一再	pakartotinai; ne kartą	Jis ne kartą priminė mums rūpintis saugumu.
一致	vieningas; sutampantis	Visų nuomonės visiškai sutampa.
疑问	klausimas; abejonė	Turiu klausimą dėl šio atsakymo.
移动	perkelti; judėti	Prašau truputį perkelti stalą.
移民	emigruoti; imigrantas	Jie planuoja emigruoti į užsienį.
遗憾	gailėtis; apgailestavimas	Gailiuosi, kad negalėjau tavęs pamatyti.
乙	šalis B; antrasis	Sutartyje šalis B atsakinga už mokėjimą.
以及	taip pat; ir	Nusipirkau knygų ir rašymo reikmenų.
以来	nuo tada, kai	Nuo tada, kai baigė studijas, jis visą laiką dirba Pekine.
义务	pareiga	Aplinkos apsauga yra kiekvieno pareiga.
亿	šimtas milijonų	Šioje šalyje gyvena daugiau kaip milijardas žmonių.
意外	netikėtas; nelaimė	Šį kartą vėlavimas buvo visiškai netikėtas.
意义	reikšmė; prasmė	Šis renginys turi didelę prasmę.
议论	aptarinėti	Visi aptarinėja šį reikalą.
因而	todėl	Jis stropiai mokosi, todėl jo pažymiai geri.
因素	veiksnys	Oras yra svarbus veiksnys.
银	sidabras; sidabrinis	Ji dėvi sidabrinę apyrankę.
印刷	spausdinti; spauda	Ši knyga išspausdinta labai aiškiai.
英俊	išvaizdus; dailus	Jis labai išvaizdus.
英雄	didvyris; herojus	Ugniagesiai yra tikri didvyriai.
营养	mityba; maistingumas	Pusryčiuose turi būti pakankamai maistingumo.
营业	dirbti; vykdyti veiklą	Ši parduotuvė pradeda dirbti devintą valandą.
迎接	pasitikti	Vykome į oro uostą pasitikti svečių.
影子	šešėlis	Jo šešėlis matyti po gatvės žibintu.
应付	susidoroti	Jis gali susidoroti su šia problema.
应用	taikyti; pritaikymas	Šį metodą galima taikyti mokyme.
硬	kietas	Ši kėdė per kieta.
硬件	aparatinė įranga	Šio kompiuterio aparatinė įranga gera.
拥抱	apkabinti	Vaikas pribėgo apkabinti mamos.
拥挤	sausakimšas; grūstis	Rytinio piko metu metro labai sausakimšas.
勇气	drąsa	Jis turi drąsos pripažinti klaidą.
用功	stropiai mokytis	Ji mokosi labai stropiai.
用途	paskirtis; naudojimas	Ši medžiaga turi daug paskirčių.
优惠	nuolaida; palankus	Šiandien šioje parduotuvėje yra nuolaida.
优美	gražus; elegantiškas	Aplinka čia labai graži.
优势	pranašumas	Jo pranašumas yra didelė patirtis.
悠久	ilgametis; senas	Kinija turi ilgą istoriją.
油炸	keptas aliejuje	Retai valgau aliejuje keptą maistą.
游览	lankyti; apžiūrėti	Rytoj apžiūrėsime Uždraustąjį miestą.
犹豫	dvejoti	Jis kurį laiką dvejojo ir tik tada atsakė.
有利	palankus; naudingas	Ši sąlyga mums palanki.
幼儿园	vaikų darželis	Vaikas kitais metais eis į vaikų darželį.
娱乐	pramoga; pramogauti	Filmų žiūrėjimas yra pramoga.
与其	užuot; verčiau	Užuot skundęsi, verčiau imkimės veiksmų.
语气	tonas; kalbėjimo maniera	Jo kalbėjimo tonas labai švelnus.
玉米	kukurūzai	Vakarienei yra kukurūzų sriubos.
预报	prognozė	Orų prognozė sako, kad rytoj lis.
预订	rezervuoti; užsisakyti iš anksto	Jau rezervavau viešbutį.
预防	užkirsti kelią; profilaktika	Dažnas rankų plovimas gali padėti išvengti peršalimo.
元旦	Naujųjų metų diena	Naujųjų metų dieną turime vieną laisvą dieną.
原料	žaliava	Pagrindinė duonos žaliava yra miltai.
原则	principas	Gyvenime reikia turėti principus.
员工	darbuotojas	Įmonėje yra trys šimtai darbuotojų.
圆	apvalus; apskritimas	Mėnulis didelis ir apvalus.
愿望	noras; troškimas	Jo noras yra apkeliauti pasaulį.
乐器	muzikos instrumentas	Ji moka groti keliais muzikos instrumentais.
晕	svaigti; svaigulys	Plaukiant laivu man šiek tiek svaigsta galva.
运气	sėkmė	Šiandien man sekasi.
运输	transportas; pervežimas	Šias prekes reikia gabenti geležinkeliu.
运用	naudoti; taikyti	Prašau lanksčiai vartoti šiuos žodžius.
灾害	nelaimė; stichinė nelaimė	Potvynis yra stichinė nelaimė.
再三	ne kartą; pakartotinai	Mokytojas ne kartą priminė mums kartoti.
在乎	rūpėti	Jam labai rūpi draugų nuomonė.
在于	slypėti; priklausyti nuo	Sėkmė slypi atkaklume.
赞成	pritarti	Pritariu tavo pasiūlymui.
赞美	girti; pagirti	Visi gyrė jos drąsą.
糟糕	prastas; siaubingas	Šiandien oras tikrai prastas.
造成	sukelti	Stiprus lietus sukėlė eismo spūstį.
则	tuomet; tada	Jei stengsiesi, tuomet bus pažangos.
责备	kaltinti; priekaištauti	Mokytojas jo nekaltino.
摘	nuskinti; skinti	Ji sode nuskynė gėlę.
窄	siauras	Šis kelias per siauras.
粘贴	priklijuoti; įklijuoti	Prašau priklijuoti nuotrauką čia.
展开	pradėti; išskleisti	Diskusija greitai prasidėjo.
展览	paroda; eksponuoti	Muziejuje yra nauja paroda.
占	užimti	Šis stalas užima vietą.
战争	karas	Karas atneša žmonėms kančių.
掌握	įvaldyti; valdyti	Jis jau įvaldė pagrindinę gramatiką.
涨	kilti	Pastaruoju metu nuoma vėl pakilo.
长辈	vyresnieji; vyresnės kartos giminaičiai	Per Naujuosius metus reikia pasveikinti vyresniuosius.
账户	sąskaita; paskyra	Prašau patikrinti savo banko sąskaitą.
招待	priimti; vaišinti	Šeimininkas šiltai priėmė svečius.
着火	užsidegti	Virtuvė staiga užsidegė.
着凉	peršalti	Atšalo, neperšalk.
召开	sušaukti; rengti	Mokykla rytoj rengs susirinkimą.
照常	kaip įprasta	Parduotuvė rytoj dirbs kaip įprasta.
哲学	filosofija	Universitete jis studijavo filosofiją.
珍惜	branginti	Turime branginti laiką.
真实	tikras; realus	Ši istorija tikra.
针对	skirtas; nukreiptas į	Šis pasiūlymas skirtas naujiems studentams.
诊断	diagnozė; diagnozuoti	Gydytojas greitai nustatė diagnozę.
振动	vibruoti	Telefonas vibruoja ant stalo.
阵	trumpas laikotarpis; gūsis	Lauke trumpai palijo.
争论	ginčytis; diskutuoti	Jie ilgai ginčijosi dėl šio klausimo.
争取	stengtis gauti; kovoti dėl	Turime siekti daugiau galimybių.
征求	prašyti; teirautis nuomonės	Mokytojas paklausė visų nuomonės.
挣	išsilaisvinti; uždirbti	Paukštelis išsilaisvino iš virvės.
睁	atmerkti	Prašau plačiau atmerkti akis.
整个	visas; ištisas	Visas miestas buvo labai tylus.
整齐	tvarkingas	Knygos sudėtos labai tvarkingai.
整体	visuma; bendras	Turime atsižvelgti į bendrą poveikį.
政府	vyriausybė	Vyriausybė paskelbė naują pranešimą.
政治	politika; politinis	Jis labai domisi politika.
正	teisingas; tiesiai	Šis atsakymas teisingas.
证件	asmens dokumentas	Prašau parodyti savo asmens dokumentą.
证据	įrodymas	Policija rado naujų įrodymų.
支	vienetas ilgiems daiktams	Ant stalo yra vienas rašiklis.
支票	čekis	Jis sumokėjo čekiu.
执照	leidimas; licencija	Vairuoti reikia vairuotojo pažymėjimo.
直	tiesiai; tiesus	Eikite šiuo keliu tiesiai į priekį.
指导	vadovauti; nukreipti	Mokytojas vadovavo mums rašant darbą.
指挥	vadovauti; vadovas	Jis atsakingas už šios operacijos vadovavimą.
制定	parengti; nustatyti	Įmonė parengė naują planą.
制度	sistema; tvarka	Mokykloje yra griežta tvarka.
制造	gaminti	Ši gamykla gamina mašinas.
制作	gaminti; ruošti	Ji gamina gimtadienio tortą.
志愿者	savanoris	Daug savanorių dalyvavo renginyje.
智慧	išmintis	Šis senolis turi daug išminties.
治疗	gydyti; gydymas	Gydytojas gydo pacientą.
秩序	tvarka	Prašau visų palaikyti tvarką.
至今	iki šiol	Ši problema iki šiol neišspręsta.
至于	kalbant apie	Kalbant apie išlaidas, aptarsime jas rytoj.
中介	tarpininkas; agentūra	Jis išsinuomojo būstą per agentūrą.
中心	centras	Ligoninė yra miesto centre.
中旬	mėnesio vidurys	Susitikimas numatytas gegužės viduryje.
种类	rūšis; tipas	Čia yra daug vaisių rūšių.
重大	svarbus; didelis	Tai svarbus sprendimas.
重量	svoris	Koks šios dėžės svoris?
周到	apgalvotas; dėmesingas	Jo aptarnavimas labai dėmesingas.
猪	kiaulė; kiauliena	Ūkyje auginama daug kiaulių.
竹子	bambukas	Pandos mėgsta valgyti bambuką.
逐步	palaipsniui; žingsnis po žingsnio	Planas bus įgyvendinamas palaipsniui.
逐渐	pamažu; palaipsniui	Oras pamažu atšalo.
主持	vesti; pirmininkauti	Ji veda šiandienos susitikimą.
主动	iniciatyvus; savo iniciatyva	Jis savo iniciatyva padėjo klasės draugui.
主观	subjektyvus	Šis vertinimas šiek tiek subjektyvus.
主人	šeimininkas	Šeimininkas mus šiltai pasveikino.
主任	direktorius; vedėjas	Vedėjas yra kabinete.
主题	tema	Šiandienos diskusijos tema yra aplinkos apsauga.
主席	pirmininkas	Pirmininkas paskelbė susitikimo pradžią.
主张	siūlyti; laikytis nuomonės	Jis siūlo pirmiausia spręsti eismo problemą.
煮	virti; gaminti	Mama verda makaronus.
注册	registruotis	Nauji vartotojai pirmiausia turi užsiregistruoti.
祝福	linkėjimas	Draugai atsiuntė linkėjimų.
抓	griebti; sugauti	Vaikas sugriebė mamos ranką.
抓紧	skubėti; gerai išnaudoti	Turime gerai išnaudoti laiką.
专家	ekspertas; specialistas	Ekspertas pateikė pasiūlymų.
专心	susikaupti	Per pamoką reikia susikaupus klausytis.
转变	pokytis; pasikeisti	Jo požiūris pasikeitė.
转告	perduoti žinią	Prašau perduoti jam, kad rytoj bus susitikimas.
装	įdėti; apsimesti	Prašau įdėti knygas į krepšį.
装饰	puošti; dekoracija	Jie papuošė kambarį gėlėmis.
装修	remontuoti; įrengti	Naujas namas remontuojamas.
撞	atsitrenkti; susidurti	Du automobiliai susidūrė sankryžoje.
状况	padėtis; būklė	Dabartinė padėtis gana stabili.
状态	būsena	Šiandien jis geros būsenos.
追	vytis	Vaikas iš paskos vejasi šuniuką.
追求	siekti	Jis visada siekė savo svajonės.
咨询	konsultuotis; konsultacija	Gali pasikonsultuoti su specialistu gydytoju.
姿势	laikysena; poza	Prašau išlaikyti taisyklingą laikyseną.
资格	kvalifikacija; teisė	Jis turi teisę dalyvauti varžybose.
资金	lėšos; kapitalas	Projektui reikia daugiau lėšų.
资料	medžiaga; duomenys	Prašau atsiųsti man medžiagą.
资源	ištekliai	Vanduo yra svarbus gamtos išteklius.
紫	violetinis	Jai patinka violetinė spalva.
字母	raidė; abėcėlė	Anglų kalboje yra dvidešimt šešios raidės.
字幕	subtitrai	Šiame filme yra kiniški subtitrai.
自从	nuo tada, kai	Nuo tada, kai baigė studijas, jis retai grįžta.
自动	automatinis; automatiškai	Šios durys atsidaro automatiškai.
自豪	didžiuotis	Aš didžiuojuosi savo pažanga.
自觉	sąmoningas; savo iniciatyva	Jis savo iniciatyva atliko namų darbus.
自私	savanaudis; savanaudiškumas	Žmogus neturėtų būti per daug savanaudis.
自由	laisvė; laisvas	Kiekvienas brangina laisvę.
自愿	savanoriškas; savo noru	Jie savanoriškai dalyvavo renginyje.
综合	apibendrinti; integruoti	Turime visapusiškai apsvarstyti įvairius veiksnius.
总裁	generalinis direktorius	Generalinis direktorius šiandien pasakė kalbą.
总共	iš viso	Ši kelionė iš viso kainavo tris tūkstančius juanių.
总理	ministras pirmininkas	Ministras pirmininkas dalyvavo susitikime.
总算	pagaliau	Problema pagaliau išspręsta.
总统	prezidentas	Prezidentas pasakė televizijos kalbą.
总之	trumpai tariant	Trumpai tariant, turime baigti laiku.
组	grupė; suskirstyti	Mokytojas suskirstė mus į tris grupes.
组成	sudaryti	Vanduo sudarytas iš vandenilio ir deguonies.
组合	derinys; derinti	Šis spalvų derinys gražiai atrodo.
组织	organizuoti; organizacija	Mokykla organizavo kelionę.
阻止	sustabdyti; užkirsti kelią	Policija sustabdė pavojingą elgesį.
最初	iš pradžių	Iš pradžių nelabai supratau.
醉	girtas; apgirtęs	Jis per daug išgėrė ir yra šiek tiek apgirtęs.
尊敬	gerbti	Visi mokiniai gerbia mokytoją.
遵守	laikytis	Privalome laikytis eismo taisyklių.
作品	kūrinys	Šis paveikslas yra jo kūrinys.
作为	kaip; elgesys	Kaip mokytojas, jis labai kantrus.
作文	rašinys; rašyti rašinį	Mokytojas paprašė mūsų parašyti rašinį.
