simplified	LO	example_LO
近代	ຍຸກໃກ້	ຈີນຍຸກໃກ້ຜ່ານການປ່ຽນແປງຫຼາຍ.
进步	ກ້າວໜ້າ	ພາສາຈີນຂອງລາວກ້າວໜ້າໄວ.
进口	ນຳເຂົ້າ	ລົດຄັນນີ້ເປັນລົດນຳເຂົ້າ.
精力	ພະລັງງານ	ເດັກນ້ອຍມີພະລັງງານຫຼາຍ.
精神	ຈິດໃຈ	ມື້ນີ້ລາວມີຈິດໃຈດີ.
经典	ຄລາສສິກ	ນີ້ແມ່ນຮູບເງົາຄລາສສິກ.
经商	ເຮັດທຸລະກິດ	ພໍ່ຂອງລາວເຮັດທຸລະກິດຢູ່ຕ່າງປະເທດ.
经营	ບໍລິຫານ	ນາງບໍລິຫານຮ້ານນ້ອຍໜຶ່ງ.
酒吧	ບາ	ຕອນແລງພວກເຂົາໄປບາ.
救	ຊ່ວຍຊີວິດ	ທ່ານໝໍໄດ້ຊ່ວຍຊີວິດລາວ.
救护车	ລົດສຸກເສີນ	ລົດສຸກເສີນມາຮອດຢ່າງໄວ.
舅舅	ນ້າຊາຍຝ່າຍແມ່	ນ້າຊາຍຝ່າຍແມ່ຂອງຂ້ອຍຢູ່ນານຈິງ.
居然	ກັບ	ລາວກັບລືມວັນເກີດຂອງຕົນເອງ.
桔子	ສົ້ມຈີນ	ເທິງໂຕະມີສົ້ມຈີນຫຼາຍໜ່ວຍ.
俱乐部	ສະໂມສອນ	ນາງເຂົ້າສະໂມສອນລອຍນ້ຳ.
具备	ມີພ້ອມ	ລາວມີປະສົບການບໍລິຫານພ້ອມ.
具体	ລະອຽດຊັດເຈນ	ກະລຸນາເວົ້າໃຫ້ລະອຽດຊັດເຈນກວ່ານີ້.
巨大	ມະຫາສານ	ໂຄງການນີ້ຕ້ອງການການລົງທຶນມະຫາສານ.
据说	ວ່າກັນວ່າ	ວ່າກັນວ່າລາວກັບປະເທດແລ້ວ.
捐	ບໍລິຈາກ	ທຸກຄົນຍິນດີບໍລິຈາກເງິນ.
决赛	ຮອບຊິງຊະນະເລີດ	ມື້ອື່ນແມ່ນຮອບຊິງຊະນະເລີດບານເຕະ.
决心	ຄວາມຕັ້ງໃຈ	ລາວຕັດສິນໃຈແນ່ວແນ່ວ່າຈະຮຽນພາສາຈີນໃຫ້ດີ.
绝对	ຢ່າງແນ່ນອນ	ເລື່ອງນີ້ຢ່າງແນ່ນອນຫ້າມລືມ.
角色	ບົດບາດ	ນາງມີບົດບາດສຳຄັນໃນຮູບເງົາ.
军事	ການທະຫານ	ລາວສົນໃຈປະຫວັດການທະຫານຫຼາຍ.
均匀	ສະໝ່ຳສະເໝີ	ກະລຸນາທາສີໃຫ້ສະໝ່ຳສະເໝີ.
卡车	ລົດບັນທຸກ	ມີລົດບັນທຸກຈອດຢູ່ປາກທາງ.
开发	ພັດທະນາ	ບໍລິສັດກຳລັງພັດທະນາຜະລິດຕະພັນໃໝ່.
开放	ເປີດ	ສວນສາທາລະນະເປີດຫົກໂມງເຊົ້າທຸກມື້.
开幕式	ພິທີເປີດ	ພິທີເປີດຈະຈັດຂຶ້ນຕອນແລງມື້ອື່ນ.
开水	ນ້ຳຕົ້ມ	ກະລຸນາໃຫ້ນ້ຳຕົ້ມຈອກໜຶ່ງແກ່ຂ້ອຍ.
砍	ຕັດ	ຄົນງານກຳລັງຕັດກິ່ງໄມ້.
看不起	ດູຖູກ	ຢ່າດູຖູກໃຜ.
看望	ໄປຢ້ຽມ	ທ້າຍອາທິດນີ້ຂ້ອຍຈະໄປຢ້ຽມປູ່ຍ່າຕາຍາຍ.
靠	ພິງ	ລາວພິງຝາເພື່ອພັກ.
颗	ດວງ	ມີດາວໜຶ່ງດວງຢູ່ໃນທ້ອງຟ້າກາງຄືນ.
可见	ເຫັນໄດ້ວ່າ	ເຫັນໄດ້ວ່າວິທີນີ້ໄດ້ຜົນ.
可靠	ໄວ້ໃຈໄດ້	ລາວເປັນໝູ່ທີ່ໄວ້ໃຈໄດ້.
可怕	ໜ້າຢ້ານ	ຄວາມຝັນນີ້ໜ້າຢ້ານເກີນໄປ.
克	ກຣາມ	ກະລຸນາໃສ່ເກືອສອງກຣາມ.
克服	ເອົາຊະນະ	ພວກເຮົາຕ້ອງເອົາຊະນະຄວາມຫຍຸ້ງຍາກ.
刻苦	ຂະຫຍັນຫຼາຍ	ລາວຮຽນຂະຫຍັນຫຼາຍ.
客观	ຢ່າງພາວະວິໄສ	ກະລຸນາວິເຄາະບັນຫາຢ່າງພາວະວິໄສ.
课程	ຫຼັກສູດ	ຫຼັກສູດນີ້ມີປະໂຫຍດຫຼາຍ.
空间	ພື້ນທີ່	ຫ້ອງນີ້ມີພື້ນທີ່ຫຼາຍ.
控制	ຄວບຄຸມ	ຄົນຂັບຄວບຄຸມຄວາມໄວຂອງລົດ.
空闲	ເວລາວ່າງ	ຕອນບ່າຍມື້ອື່ນເຈົ້າມີເວລາວ່າງບໍ?
口味	ລົດຊາດ	ລົດຊາດຂອງລາວຄ່ອນຂ້າງອ່ອນ.
夸	ຊົມ	ອາຈານຊົມລາວວ່າກ້າວໜ້າຫຼາຍ.
夸张	ເກີນຈິງ	ການສະແດງອອກຂອງລາວເກີນຈິງນິດໜ່ອຍ.
会计	ນັກບັນຊີ	ນາງເຮັດວຽກເປັນນັກບັນຊີຢູ່ບໍລິສັດ.
宽	ກວ້າງ	ຖະໜົນນີ້ກວ້າງຫຼາຍ.
昆虫	ແມງໄມ້	ເດັກນ້ອຍກຳລັງສັງເກດແມງໄມ້.
扩大	ຂະຫຍາຍ	ໂຮງຮຽນວາງແຜນຂະຫຍາຍຫໍສະໝຸດ.
辣椒	ໝາກເຜັດ	ອາຫານນີ້ໃສ່ໝາກເຜັດຫຼາຍ.
拦	ຂວາງ	ຕຳຫຼວດຂວາງລົດຄັນໜຶ່ງ.
烂	ເນົ່າ	ໝາກແອັບເປິ້ນນີ້ເນົ່າແລ້ວ.
朗读	ອ່ານອອກສຽງ	ກະລຸນາອ່ານບົດຄວາມອອກສຽງ.
劳动	ແຮງງານ	ແຮງງານເຮັດໃຫ້ຄົນຮູ້ສຶກສຳເລັດ.
劳驾	ຂໍໂທດລົບກວນ	ຂໍໂທດລົບກວນ ສະຖານີລົດໄຟໃຕ້ດິນຢູ່ໃສ?
姥姥	ຍາຍ	ຍາຍຂອງຂ້ອຍເຮັດອາຫານເກັ່ງຫຼາຍ.
老百姓	ປະຊາຊົນທົ່ວໄປ	ປະຊາຊົນທົ່ວໄປສົນໃຈຄ່າຄອງຊີບ.
老板	ເຈົ້ານາຍ	ມື້ນີ້ເຈົ້ານາຍບໍ່ຢູ່ຫ້ອງການ.
老婆	ເມຍ	ລາວຊື້ດອກໄມ້ໃຫ້ເມຍ.
老实	ຊື່ສັດ	ລາວເປັນຄົນຊື່ສັດ.
老鼠	ໜູ	ໃນຫ້ອງຄົວມີໜູໂຕໜຶ່ງ.
乐观	ມອງໂລກໃນແງ່ດີ	ນາງມອງອະນາຄົດໃນແງ່ດີ.
雷	ຟ້າຮ້ອງ	ຟ້າຮ້ອງເມື່ອຄືນດັງຫຼາຍ.
类型	ປະເພດ	ຮູບເງົາແບບນີ້ຈັດຢູ່ໃນປະເພດໃດ?
冷淡	ເຢັນຊາ	ທ່າທີຂອງລາວເຢັນຊານິດໜ່ອຍ.
厘米	ເຊນຕິແມັດ	ປາກການີ້ຍາວສິບຫ້າເຊນຕິແມັດ.
梨	ໝາກສາລີ່	ຂ້ອຍຊື້ໝາກສາລີ່ຫຼາຍໜ່ວຍ.
离婚	ຢ່າຮ້າງ	ພວກເຂົາຢ່າຮ້າງປີກາຍ.
理论	ທິດສະດີ	ທິດສະດີນີ້ຊັບຊ້ອນຫຼາຍ.
理由	ເຫດຜົນ	ເຈົ້າມີເຫດຜົນຫຍັງທີ່ມາຊ້າ?
利润	ກຳໄລ	ກຳໄລຂອງບໍລິສັດປີນີ້ເພີ່ມຂຶ້ນ.
利息	ດອກເບ້ຍ	ດອກເບ້ຍທະນາຄານບໍ່ສູງ.
利益	ຜົນປະໂຫຍດ	ພວກເຮົາຕ້ອງປົກປ້ອງຜົນປະໂຫຍດຂອງທຸກຄົນ.
利用	ໃຊ້ປະໂຫຍດ	ລາວໃຊ້ປະໂຫຍດຈາກທ້າຍອາທິດເພື່ອຮຽນພາສາຈີນ.
力量	ພະລັງ	ຄວາມສາມັກຄີແມ່ນພະລັງ.
立即	ທັນທີ	ກະລຸນາອອກຈາກທີ່ນີ້ທັນທີ.
立刻	ທັນໃດນັ້ນ	ຫຼັງໄດ້ຍິນຂ່າວ ລາວອອກເດີນທາງທັນໃດນັ້ນ.
联合	ຮ່ວມກັນ	ບໍລິສັດສອງແຫ່ງຮ່ວມກັນພັດທະນາຜະລິດຕະພັນ.
连忙	ຮີບ	ໄດ້ຍິນໂທລະສັບດັງ ລາວຮີບຮັບສາຍ.
连续	ຕໍ່ເນື່ອງ	ລາວເຮັດວຽກຕໍ່ເນື່ອງສິບຊົ່ວໂມງ.
恋爱	ຄວາມຮັກ	ພວກເຂົາກຳລັງຢູ່ໃນຄວາມຮັກ.
粮食	ທັນຍາພືດ	ຜົນຜະລິດທັນຍາພືດປີນີ້ເພີ່ມຂຶ້ນ.
良好	ດີ	ລາວມີນິໄສການຮຽນທີ່ດີ.
亮	ສະຫວ່າງ	ໄຟໃນຫ້ອງສະຫວ່າງຫຼາຍ.
了不起	ຍອດຢ້ຽມ	ນາງໄດ້ຮັບຜົນສຳເລັດທີ່ຍອດຢ້ຽມ.
列车	ລົດໄຟ	ລົດໄຟກຳລັງຈະອອກ.
临时	ຊົ່ວຄາວ	ນີ້ແມ່ນການຕັດສິນໃຈຊົ່ວຄາວ.
灵活	ຍືດຫຍຸ່ນ	ວິທີຮຽນຄວນຍືດຫຍຸ່ນ.
铃	ກະດິ່ງ	ກະດິ່ງເຂົ້າຫ້ອງຮຽນດັງແລ້ວ.
零件	ຊິ້ນສ່ວນ	ເຄື່ອງຈັກນີ້ຂາດຊິ້ນສ່ວນໜຶ່ງ.
零食	ຂອງກິນຫຼິ້ນ	ເດັກນ້ອຍມັກກິນຂອງກິນຫຼິ້ນ.
领导	ຜູ້ນຳ	ຜູ້ນຳກຳລັງປະຊຸມ.
领域	ຂົງເຂດ	ນາງເຮັດວຽກໃນຂົງເຂດການສຶກສາ.
流传	ສືບຕໍ່	ເລື່ອງນີ້ສືບຕໍ່ກັນມາດົນແລ້ວ.
流泪	ນ້ຳຕາໄຫຼ	ຫຼັງໄດ້ຍິນຂ່າວນີ້ ນາງນ້ຳຕາໄຫຼ.
浏览	ເບິ່ງຜ່ານໆ	ຂ້ອຍຈະເບິ່ງໜ້າເວັບຜ່ານໆກ່ອນ.
龙	ມັງກອນ	ໃນວັດທະນະທຳຈີນມີມັງກອນ.
漏	ຮົ່ວ	ຫຼັງຄາຮົ່ວນ້ຳຝົນ.
录取	ຮັບເຂົ້າຮຽນ	ລາວຖືກມະຫາວິທະຍາໄລຮັບເຂົ້າຮຽນ.
录音	ບັນທຶກສຽງ	ກະລຸນາເລີ່ມບັນທຶກສຽງ.
陆地	ພື້ນດິນ	ເຕົ່າທະເລປີນຂຶ້ນມາເທິງພື້ນດິນ.
陆续	ທະຍອຍ	ແຂກທະຍອຍມາຮອດ.
轮流	ຜັດປ່ຽນກັນ	ພວກເຮົາຜັດປ່ຽນກັນອະນາໄມຫ້ອງຮຽນ.
论文	ວິທະຍານິພົນ	ນາງກຳລັງຂຽນວິທະຍານິພົນຈົບການສຶກສາ.
逻辑	ຕັກກະ	ຕັກກະຂອງລາວຊັດເຈນຫຼາຍ.
落后	ລ້າຫຼັງ	ພວກເຮົາຈະລ້າຫຼັງຄົນອື່ນບໍ່ໄດ້.
骂	ດ່າ	ກະລຸນາຢ່າດ່າເດັກ.
麦克风	ໄມໂຄຣໂຟນ	ກະລຸນາສົ່ງໄມໂຄຣໂຟນໃຫ້ລາວ.
馒头	ໝັ່ນໂຖ	ຕອນເຊົ້າຂ້ອຍກິນໝັ່ນໂຖໜຶ່ງລູກ.
满足	ຕອບສະໜອງ	ຄຳຕອບນີ້ບໍ່ຕອບສະໜອງຂໍ້ກຳນົດ.
毛病	ບັນຫາ	ຄອມພິວເຕີເຄື່ອງນີ້ມີບັນຫານ້ອຍໜຶ່ງ.
矛盾	ຄວາມຂັດແຍ້ງ	ລະຫວ່າງພວກເຂົາມີຄວາມຂັດແຍ້ງບາງຢ່າງ.
冒险	ສ່ຽງໄພ	ໄປທີ່ນັ້ນຄົນດຽວສ່ຽງໄພເກີນໄປ.
贸易	ການຄ້າ	ການຄ້າສາກົນກຳລັງພັດທະນາໄວ.
媒体	ສື່ມວນຊົນ	ສື່ມວນຊົນລາຍງານເລື່ອງນີ້.
煤炭	ຖ່ານຫີນ	ເຂດນີ້ຜະລິດຖ່ານຫີນ.
眉毛	ຄິ້ວ	ຄິ້ວຂອງນາງໜາ.
美术	ສິລະປະ	ນ້ອງສາວຂອງຂ້ອຍມັກສິລະປະ.
魅力	ສະເໜ່	ເມືອງນີ້ມີສະເໜ່ຫຼາຍ.
梦想	ຄວາມຝັນ	ຄວາມຝັນຂອງລາວແມ່ນການເປັນທ່ານໝໍ.
密切	ໃກ້ຊິດ	ພວກເຮົາຮັກສາການຕິດຕໍ່ຢ່າງໃກ້ຊິດ.
秘密	ຄວາມລັບ	ນີ້ແມ່ນຄວາມລັບຂອງພວກເຮົາ.
秘书	ເລຂານຸການ	ເລຂານຸການຈັດເວລາປະຊຸມ.
蜜蜂	ເຜິ້ງ	ໃນດອກໄມ້ມີເຜິ້ງຫຼາຍ.
面对	ເຜີຍໜ້າກັບ	ພວກເຮົາຄວນເຜີຍໜ້າກັບຄວາມຫຍຸ້ງຍາກຢ່າງກ້າຫານ.
面积	ເນື້ອທີ່	ເນື້ອທີ່ຂອງຫ້ອງນີ້ບໍ່ໃຫຍ່.
面临	ປະເຊີນກັບ	ບໍລິສັດກຳລັງປະເຊີນກັບຄວາມທ້າທາຍໃໝ່.
描写	ພັນລະນາ	ນັກຂຽນພັນລະນາຊີວິດຊົນນະບົດ.
苗条	ຜອມເພີຍ	ຮູບຮ່າງຂອງນາງຜອມເພີຍ.
敏感	ອ່ອນໄຫວ	ຫົວຂໍ້ນີ້ຄ່ອນຂ້າງອ່ອນໄຫວ.
名牌	ຍີ່ຫໍ້ດັງ	ລາວຊື້ໂມງຍີ່ຫໍ້ດັງໜຶ່ງເຮືອນ.
名片	ນາມບັດ	ກະລຸນາໃຫ້ນາມບັດຂ້ອຍໃບໜຶ່ງ.
名胜古迹	ສະຖານທີ່ທ່ອງທ່ຽວແລະໂບຮານສະຖານ	ປັກກິ່ງມີສະຖານທີ່ທ່ອງທ່ຽວແລະໂບຮານສະຖານຫຼາຍ.
明确	ຊັດເຈນ	ອາຈານອະທິບາຍຂໍ້ກຳນົດຢ່າງຊັດເຈນ.
明显	ເຫັນໄດ້ຊັດ	ຄວາມກ້າວໜ້າຂອງລາວເຫັນໄດ້ຊັດ.
明星	ດາລາ	ນາງຢາກເປັນດາລາຮູບເງົາ.
命令	ຄຳສັ່ງ	ທະຫານຕ້ອງປະຕິບັດຕາມຄຳສັ່ງ.
命运	ຊະຕາກຳ	ລາວເຊື່ອວ່າຊະຕາກຳສາມາດປ່ຽນໄດ້.
摸	ຈັບ	ກະລຸນາຢ່າຈັບຮູບວາດນີ້.
摩托车	ລົດຈັກ	ລາວຂີ່ລົດຈັກໄປເຮັດວຽກ.
模仿	ຮຽນແບບ	ເດັກນ້ອຍມັກຮຽນແບບຄຳເວົ້າຂອງຜູ້ໃຫຍ່.
模糊	ບໍ່ຊັດ	ຮູບນີ້ບໍ່ຊັດນິດໜ່ອຍ.
模特	ນາງແບບ	ນາງເປັນນາງແບບເສື້ອຜ້າ.
陌生	ແປກໜ້າ	ເມືອງນີ້ແປກໜ້າຫຼາຍສຳລັບຂ້ອຍ.
某	ຄົນໜຶ່ງ	ອາຈານຄົນໜຶ່ງໂທຫາຂ້ອຍ.
木头	ໄມ້	ໂຕະນີ້ເຮັດຈາກໄມ້.
目标	ເປົ້າໝາຍ	ເປົ້າໝາຍຂອງຂ້ອຍແມ່ນສອບໃຫ້ຜ່ານ.
目录	ສາລະບານ	ກະລຸນາເບິ່ງສາລະບານຢູ່ຕົ້ນປື້ມກ່ອນ.
目前	ໃນປັດຈຸບັນ	ໃນປັດຈຸບັນສະຖານະການຄ່ອນຂ້າງຄົງທີ່.
哪怕	ເຖິງແມ່ນວ່າ	ເຖິງແມ່ນວ່າລາວຫຍຸ້ງ ລາວກໍຍັງຮຽນຕໍ່.
难怪	ບໍ່ແປກໃຈ	ບໍ່ແປກໃຈທີ່ມື້ນີ້ເຈົ້າດີໃຈຫຼາຍ.
难免	ຫຼີກລ້ຽງຍາກ	ເຮັດຄັ້ງທຳອິດກໍຫຼີກລ້ຽງຄວາມຜິດພາດຍາກ.
脑袋	ຫົວ	ລາວເຈັບຫົວນິດໜ່ອຍ.
内部	ພາຍໃນ	ນີ້ແມ່ນເອກະສານພາຍໃນຂອງບໍລິສັດ.
内科	ພະແນກອາຍຸລະກຳ	ມື້ນີ້ລາວຈະໄປພົບໝໍພະແນກອາຍຸລະກຳ.
嫩	ອ່ອນນຸ່ມ	ຊີ້ນຊິ້ນນີ້ອ່ອນນຸ່ມຫຼາຍ.
能干	ເກັ່ງສາມາດ	ນາງເປັນຄົນທີ່ເກັ່ງສາມາດຫຼາຍ.
能源	ພະລັງງານ	ພະລັງງານແສງຕາເວັນແມ່ນພະລັງງານສະອາດຊະນິດໜຶ່ງ.
嗯	ອືມ	ອືມ ຂ້ອຍເຂົ້າໃຈແລ້ວ.
年代	ທົດສະວັດ	ຮູບນີ້ຖ່າຍໃນທົດສະວັດປີແປດສິບ.
年纪	ອາຍຸ	ລາວອາຍຸບໍ່ຫຼາຍ ແຕ່ມີປະສົບການຫຼາຍ.
念	ອ່ານ	ກະລຸນາອ່ານບົດຮຽນດັງໆໜຶ່ງຮອບ.
宁可	ຍອມ	ຂ້ອຍຍອມຍ່າງດີກວ່າລໍຖ້າລົດເມ.
牛仔裤	ໂສ້ງຢີນ	ລາວໃສ່ໂສ້ງຢີນຕົວໜຶ່ງ.
农村	ຊົນນະບົດ	ນາງເຕີບໃຫຍ່ຢູ່ຊົນນະບົດ.
农民	ຊາວນາ	ຊາວນາກຳລັງເຮັດວຽກໃນນາ.
农业	ກະສິກຳ	ກະສິກຳສຳຄັນຫຼາຍຕໍ່ເຂດນີ້.
浓	ເຂັ້ມ	ກາເຟຈອກນີ້ເຂັ້ມເກີນໄປ.
女士	ທ່ານຜູ້ຍິງ	ທ່ານຜູ້ຍິງຄົນນັ້ນກຳລັງລໍຖ້າລົດເມ.
欧洲	ເອີຣົບ	ເດືອນໜ້າລາວຈະໄປທ່ຽວເອີຣົບ.
偶然	ໂດຍບັງເອີນ	ຂ້ອຍພົບເພື່ອນຮຽນເກົ່າໂດຍບັງເອີນ.
拍	ຖ່າຍ	ກະລຸນາຊ່ວຍຂ້ອຍຖ່າຍຮູບ.
派	ສົ່ງ	ບໍລິສັດສົ່ງລາວໄປຊຽງໄຮ້ເພື່ອເຮັດວຽກ.
盼望	ຫວັງຢາກ	ຂ້ອຍຫວັງຢາກພົບເຈົ້າໄວໆ.
培训	ການຝຶກອົບຮົມ	ພະນັກງານໃໝ່ຕ້ອງເຂົ້າການຝຶກອົບຮົມ.
培养	ປູກຝັງ	ໂຮງຮຽນໃຫ້ຄວາມສຳຄັນກັບການປູກຝັງຄວາມສາມາດຂອງນັກຮຽນ.
赔偿	ຊົດເຊີຍ	ບໍລິສັດຕົກລົງຈະຊົດເຊີຍຄວາມເສຍຫາຍ.
佩服	ນັບຖື	ຂ້ອຍນັບຖືຄວາມກ້າຫານຂອງລາວຫຼາຍ.
配合	ຮ່ວມມື	ກະລຸນາຮ່ວມມືກັບການຈັດການຂອງອາຈານ.
盆	ກະຖາງ	ລະບຽງມີກະຖາງດອກໄມ້ໜຶ່ງກະຖາງ.
碰	ແຕະ	ລະວັງ ຢ່າແຕະນ້ຳຮ້ອນ.
批	ຊຸດ	ສິນຄ້າຊຸດນີ້ມາຮອດມື້ນີ້.
批准	ອະນຸມັດ	ຜູ້ຈັດການອະນຸມັດແຜນນີ້.
披	ຄຸມ	ນາງຄຸມເສື້ອຄຸມໄວ້ເທິງບ່າ.
疲劳	ເມື່ອຍລ້າ	ເຮັດວຽກດົນໆອາດເຮັດໃຫ້ເມື່ອຍລ້າ.
匹	ໂຕ	ເທິງສະໜາມຫຍ້າມີມ້າໂຕໜຶ່ງ.
片	ແຜ່ນ	ກະລຸນາໃຫ້ເຂົ້າຈີ່ແຜ່ນໜຶ່ງແກ່ຂ້ອຍ.
片面	ດ້ານດຽວ	ຄວາມເຫັນນີ້ດ້ານດຽວເກີນໄປ.
飘	ປິວ	ຫິມະກຳລັງປິວຢູ່ໃນອາກາດ.
拼音	ພິນອິນ	ກະລຸນາຂຽນພິນອິນໄວ້ຂ້າງຕົວອັກສອນຈີນ.
频道	ຊ່ອງ	ກະລຸນາປ່ຽນໄປຊ່ອງຂ່າວ.
凭	ດ້ວຍ	ເຈົ້າສາມາດເຂົ້າໄດ້ດ້ວຍປີ້.
平均	ໂດຍສະເລ່ຍ	ໂດຍສະເລ່ຍ ແຕ່ລະຄົນໃຊ້ສິບຢວນ.
平	ຮາບພຽງ	ຖະໜົນນີ້ຮາບພຽງຫຼາຍ.
平安	ປອດໄພ	ຂໍໃຫ້ເຈົ້າເດີນທາງປອດໄພ.
平常	ປົກກະຕິ	ປົກກະຕິລາວບໍ່ຄ່ອຍມາຊ້າ.
平等	ເທົ່າທຽມ	ທຸກຄົນຄວນຖືກປະຕິບັດຢ່າງເທົ່າທຽມ.
平方	ຕາແມັດ	ຫ້ອງນີ້ມີຊາວຕາແມັດ.
平衡	ຄວາມສົມດຸນ	ວຽກງານແລະຊີວິດຕ້ອງການຄວາມສົມດຸນ.
平静	ສະຫງົບ	ຜິວນ້ຳຂອງທະເລສາບສະຫງົບຫຼາຍ.
评价	ປະເມີນ	ອາຈານໃຫ້ການປະເມີນສູງຫຼາຍ.
破产	ລົ້ມລະລາຍ	ບໍລິສັດນັ້ນລົ້ມລະລາຍປີກາຍ.
破坏	ທຳລາຍ	ກະລຸນາຢ່າທຳລາຍຊັບສິນສາທາລະນະ.
迫切	ຮີບດ່ວນ	ພວກເຮົາຕ້ອງການທ່ານໝໍເພີ່ມຢ່າງຮີບດ່ວນ.
期待	ຄາດຫວັງ	ຂ້ອຍຄາດຫວັງການເດີນທາງຄັ້ງນີ້.
期间	ໃນລະຫວ່າງ	ໃນລະຫວ່າງປະຊຸມ ກະລຸນາປິດໂທລະສັບ.
其余	ທີ່ເຫຼືອ	ບັນຫາທີ່ເຫຼືອຈະປຶກສາກັນມື້ອື່ນ.
奇迹	ປາຕິຫານ	ທ່ານໝໍເວົ້າວ່ານີ້ແມ່ນປາຕິຫານ.
企业	ວິສາຫະກິດ	ວິສາຫະກິດນີ້ກຳລັງພັດທະນາໄວ.
启发	ແຮງບັນດານໃຈ	ປື້ມເຫຼັ້ມນີ້ໃຫ້ແຮງບັນດານໃຈແກ່ຂ້ອຍຫຼາຍ.
气氛	ບັນຍາກາດ	ບັນຍາກາດໃນຫ້ອງຮຽນຜ່ອນຄາຍຫຼາຍ.
汽油	ນ້ຳມັນເບນຊິນ	ລົດຄັນນີ້ຕ້ອງການນ້ຳມັນເບນຊິນ.
签	ເຊັນຊື່	ກະລຸນາເຊັນຊື່ຂອງເຈົ້າຢູ່ບ່ອນນີ້.
谦虚	ຖ່ອມຕົນ	ລາວເກັ່ງຫຼາຍ ແລະຍັງຖ່ອມຕົນຫຼາຍ.
前途	ອະນາຄົດ	ສາຂານີ້ມີອະນາຄົດດີ.
浅	ຕື້ນ	ແມ່ນ້ຳນີ້ຕື້ນຫຼາຍ.
欠	ຕິດໜີ້	ລາວຍັງຕິດໜີ້ຂ້ອຍຊາວຢວນ.
枪	ປືນ	ຕຳຫຼວດຖືປືນຢູ່.
墙	ຝາ	ມີຮູບວາດແຂວນຢູ່ເທິງຝາ.
强调	ເນັ້ນ	ອາຈານເນັ້ນບັນຫາຄວາມປອດໄພ.
强烈	ຮຸນແຮງ	ລາວມີຄວາມຮັບຜິດຊອບຮຸນແຮງ.
抢	ແຍ່ງ	ຢ່າແຍ່ງບ່ອນນັ່ງກັບຄົນອື່ນ.
悄悄	ຢ່າງງຽບໆ	ນາງຍ່າງເຂົ້າຫ້ອງຢ່າງງຽບໆ.
瞧	ເບິ່ງ	ເບິ່ງ ຂ້າງນອກຫິມະກຳລັງຕົກ.
巧妙	ສະຫຼາດແນບນຽນ	ວິທີນີ້ສະຫຼາດແນບນຽນຫຼາຍ.
切	ຕັດ	ກະລຸນາຕັດໝາກໄມ້ເປັນຊິ້ນນ້ອຍໆ.
亲爱	ທີ່ຮັກ	ເພື່ອນທີ່ຮັກ ຂອບໃຈເຈົ້າ.
亲切	ເປັນມິດ	ອາຈານເວົ້າຢ່າງເປັນມິດຫຼາຍ.
亲自	ດ້ວຍຕົນເອງ	ຜູ້ຈັດການຕ້ອນຮັບແຂກດ້ວຍຕົນເອງ.
勤奋	ຂະຫຍັນ	ຄົນຂະຫຍັນມັກຈະປະສົບຜົນສຳເລັດງ່າຍກວ່າ.
清淡	ອ່ອນ	ຂ້ອຍມັກກິນອາຫານລົດຊາດອ່ອນ.
轻视	ດູເບົາ	ຢ່າດູເບົາບັນຫານ້ອຍນີ້.
轻易	ງ່າຍໆ	ລາວຈະບໍ່ຍອມແພ້ງ່າຍໆ.
青	ຂຽວອົມຟ້າ	ເສື້ອຜ້າຊິ້ນນີ້ສີຂຽວອົມຟ້າ.
青春	ໄວໜຸ່ມ	ໄວໜຸ່ມເປັນສິ່ງມີຄ່າ.
青少年	ໄວລຸ້ນ	ໄວລຸ້ນຕ້ອງການການນອນໃຫ້ພຽງພໍ.
情景	ສະພາບການ	ສະພາບການໃນຮູບເງົານັ້ນຊວນຊຶ້ງຫຼາຍ.
情绪	ອາລົມ	ອາລົມຂອງລາວບໍ່ຄ່ອຍຄົງທີ່.
请求	ຄຳຂໍ	ລາວຍື່ນຄຳຂໍໜຶ່ງ.
庆祝	ສະຫຼອງ	ພວກເຮົາສະຫຼອງວັນເກີດຂອງລາວ.
球迷	ແຟນບານ	ແຟນບານຫຼາຍຄົນມາເບິ່ງການແຂ່ງຂັນ.
趋势	ແນວໂນ້ມ	ແນວໂນ້ມນີ້ເຫັນໄດ້ຊັດຂຶ້ນເລື້ອຍໆ.
取消	ຍົກເລີກ	ກິດຈະກຳຖືກຍົກເລີກເພາະຝົນຕົກ.
娶	ແຕ່ງເມຍ	ລາວວາງແຜນຈະແຕ່ງເມຍກັບນາງປີໜ້າ.
去世	ເສຍຊີວິດ	ປູ່ຂອງລາວເສຍຊີວິດປີກາຍ.
圈	ວົງ	ກະລຸນາວົງຄຳຕອບທີ່ຖືກຕ້ອງ.
全面	ຮອບດ້ານ	ພວກເຮົາຕ້ອງເຂົ້າໃຈສະຖານະການຢ່າງຮອບດ້ານ.
权利	ສິດ	ທຸກຄົນມີສິດໄດ້ຮັບການສຶກສາ.
权力	ອຳນາດ	ອຳນາດຄວນຖືກກວດກາ.
劝	ແນະນຳ	ໝູ່ຂອງຂ້ອຍແນະນຳໃຫ້ຂ້ອຍພັກໄວຂຶ້ນ.
缺乏	ຂາດແຄນ	ເຂດນີ້ຂາດແຄນນ້ຳສະອາດ.
确定	ກຳນົດ	ຂ້ອຍຍັງກຳນົດເວລາບໍ່ໄດ້.
