simplified	VI	example_VI
绳子	dây thừng	Xin hãy dùng dây thừng buộc chặt cái thùng.
省略	lược bỏ	Ở đây có thể lược bỏ một chữ.
胜利	thắng lợi; chiến thắng	Cuối cùng họ đã giành được thắng lợi.
失眠	mất ngủ	Gần đây anh ấy thường bị mất ngủ.
失去	mất	Đừng đánh mất niềm tin.
失业	thất nghiệp	Sau khi thất nghiệp, anh ấy bắt đầu học kỹ năng mới.
湿润	ẩm	Không khí sau mưa rất ẩm.
狮子	sư tử	Trong sở thú có hai con sư tử.
诗	thơ	Anh ấy đã viết một bài thơ.
实话	lời thật	Xin bạn hãy nói thật.
实践	thực tiễn; thực hành	Lý thuyết cần được kiểm nghiệm qua thực tiễn.
实习	thực tập	Kỳ nghỉ hè cô ấy sẽ đi thực tập ở bệnh viện.
实现	thực hiện; đạt được	Cuối cùng anh ấy đã thực hiện được ước mơ.
实验	thí nghiệm	Các học sinh đang làm thí nghiệm.
实用	thực dụng; thiết thực	Công cụ này rất thiết thực.
时差	chênh lệch múi giờ	Anh ấy vẫn chưa thích nghi với chênh lệch múi giờ.
时代	thời đại	Chúng ta đang sống trong thời đại thông tin.
时刻	khoảnh khắc; thời khắc	Xin hãy ghi nhớ khoảnh khắc quan trọng này.
时髦	thời thượng	Chiếc áo này rất thời thượng.
时期	thời kỳ	Thời đại học có ảnh hưởng rất lớn đến anh ấy.
时尚	thời trang	Cô ấy rất quan tâm đến thời trang.
石头	đá	Bên đường có một hòn đá.
食物	thức ăn	Xin hãy cho thức ăn vào tủ lạnh.
使劲儿	dùng sức	Mở cái chai này phải dùng sức.
始终	từ đầu đến cuối; luôn luôn	Anh ấy luôn tin rằng mình có thể thành công.
事实	sự thật	Sự thật chứng minh anh ấy đúng.
事物	sự vật; thứ	Trẻ con rất tò mò về những sự vật mới.
事先	trước; trước đó	Xin hãy nói trước cho tôi biết thời gian.
似的	như thể	Anh ấy mệt đến mức như thể không muốn nói một câu nào.
士兵	binh sĩ	Binh sĩ đang huấn luyện.
市场	chợ; thị trường	Khu chợ này rất nhộn nhịp.
试卷	bài thi	Giáo viên đang chấm bài thi.
收获	thu hoạch; thu được	Chuyến đi lần này giúp tôi thu được rất nhiều.
收据	biên lai	Sau khi thanh toán, xin hãy giữ lại biên lai.
手工	thủ công	Món quà này được làm thủ công.
手术	phẫu thuật	Ngày mai bác sĩ sẽ phẫu thuật cho anh ấy.
手套	găng tay	Mùa đông ra ngoài phải đeo găng tay.
手续	thủ tục	Làm thủ tục cần chứng minh thư.
手指	ngón tay	Ngón tay của anh ấy bị thương.
首	bài; chiếc	Cô ấy hát một bài hát.
受伤	bị thương	Anh ấy bị thương trong trận đấu.
寿命	tuổi thọ; thời hạn sử dụng	Loại máy này có tuổi thọ rất dài.
书架	giá sách	Giá sách đã đầy sách.
梳子	lược	Cô ấy dùng lược chải tóc.
舒适	thoải mái	Căn phòng này rất thoải mái.
蔬菜	rau	Ăn nhiều rau tốt cho sức khỏe.
输入	nhập; nhập vào	Xin hãy nhập mật khẩu vào máy tính.
熟练	thành thạo	Anh ấy có thể sử dụng máy tính thành thạo.
属于	thuộc về	Cuốn sách này thuộc về thư viện.
数	đếm	Xin bạn đếm xem có mấy người.
鼠标	chuột máy tính	Chuột máy tính của tôi bị hỏng.
数据	dữ liệu	Những dữ liệu này rất quan trọng.
数码	kỹ thuật số	Anh ấy mua một chiếc máy ảnh kỹ thuật số.
摔倒	ngã	Cô ấy ngã trên đường.
甩	vẩy; hất	Anh ấy vẩy nước trên tay.
双方	hai bên	Hai bên đều đồng ý với phương án này.
税	thuế	Khi mua đồ cần trả thuế.
说不定	có lẽ; không chừng	Không chừng ngày mai sẽ có tuyết.
说服	thuyết phục	Cuối cùng anh ấy đã thuyết phục được bố mẹ.
丝绸	lụa	Chiếc khăn quàng này làm bằng lụa.
丝毫	một chút; chút nào	Anh ấy không hề thay đổi ý định chút nào.
思考	suy nghĩ	Xin hãy suy nghĩ nghiêm túc về vấn đề này.
思想	tư tưởng; suy nghĩ	Tư tưởng của anh ấy rất cởi mở.
撕	xé	Xin đừng xé tờ giấy này.
私人	riêng tư; cá nhân	Đây là không gian riêng tư của tôi.
似乎	dường như	Anh ấy dường như không vui lắm.
搜索	tìm kiếm	Tôi tìm kiếm tài liệu trên mạng.
宿舍	ký túc xá	Sinh viên ở ký túc xá của trường.
随身	mang theo người	Xin hãy mang hộ chiếu theo người.
随时	bất cứ lúc nào	Bạn có thể gọi điện cho tôi bất cứ lúc nào.
随手	tiện tay	Khi rời đi, xin hãy tiện tay đóng cửa.
碎	vỡ	Cái cốc rơi xuống đất và vỡ rồi.
损失	tổn thất	Tai nạn lần này gây ra tổn thất lớn.
缩短	rút ngắn	Tuyến đường mới đã rút ngắn quãng đường.
所	ngôi; cơ sở	Ngôi trường này rất nổi tiếng.
锁	khóa	Trước khi ra ngoài, xin hãy khóa cửa cho kỹ.
台阶	bậc thềm; bậc thang	Người già từ từ bước lên bậc thềm.
太极拳	thái cực quyền	Có người đang tập thái cực quyền trong công viên.
太太	bà; phu nhân	Bà Vương đang nấu ăn.
谈判	đàm phán	Hai bên đang tiến hành đàm phán.
坦率	thẳng thắn	Anh ấy thẳng thắn nói ra suy nghĩ của mình.
烫	nóng; bỏng	Tách trà này rất nóng.
桃	đào	Trên cây có rất nhiều quả đào.
淘气	nghịch ngợm	Đứa trẻ này hơi nghịch ngợm.
逃	trốn; chạy trốn	Con chó con chạy trốn khỏi sân.
逃避	trốn tránh	Đừng trốn tránh trách nhiệm.
讨价还价	mặc cả	Khi mua đồ, anh ấy thích mặc cả.
套	bộ; bộ quần áo	Anh ấy mua một bộ quần áo mới.
特色	đặc sắc; nét riêng	Nhà hàng này có nét đặc sắc địa phương.
特殊	đặc biệt	Hôm nay là một ngày đặc biệt.
特征	đặc trưng; đặc điểm	Loài động vật này có đặc điểm rõ ràng.
疼爱	yêu thương	Ông bà rất yêu thương đứa trẻ.
提倡	đề xướng; khuyến khích	Nhà trường khuyến khích tiết kiệm nước.
提纲	dàn ý	Trước khi viết bài, hãy lập dàn ý trước.
提问	đặt câu hỏi	Học sinh có thể đặt câu hỏi bất cứ lúc nào.
题目	đề bài; câu hỏi	Đề bài này không khó lắm.
体会	thể hội; cảm nhận	Qua chuyến đi, tôi có được cảm nhận mới.
体贴	chu đáo; biết quan tâm	Anh ấy rất chu đáo với gia đình.
体现	thể hiện	Việc này thể hiện tinh thần đồng đội.
体验	trải nghiệm	Tôi muốn trải nghiệm cuộc sống địa phương.
天空	bầu trời	Bầu trời hôm nay rất xanh.
天真	ngây thơ	Suy nghĩ của đứa trẻ rất ngây thơ.
调皮	nghịch ngợm	Con mèo kia rất nghịch ngợm.
调整	điều chỉnh	Chúng tôi cần điều chỉnh kế hoạch.
挑战	thử thách	Đây là một thử thách rất lớn.
通常	thường; thông thường	Anh ấy thường dậy lúc bảy giờ.
统一	thống nhất	Ý kiến của mọi người cần được thống nhất.
痛苦	đau khổ	Mất bạn khiến anh ấy rất đau khổ.
痛快	vui vẻ; sảng khoái	Hôm nay chơi thật vui.
偷	trộm	Đừng trộm đồ của người khác.
投入	tập trung; đầu tư	Anh ấy làm việc rất tập trung.
投资	đầu tư	Họ đầu tư vào một dự án mới.
透明	trong suốt	Cái cốc này trong suốt.
突出	nổi bật	Ưu điểm của anh ấy rất nổi bật.
土地	đất đai; đất	Mảnh đất này rất màu mỡ.
土豆	khoai tây	Tôi mua mấy củ khoai tây.
兔子	thỏ	Đứa trẻ nuôi một con thỏ.
吐	nôn	Anh ấy không khỏe và muốn nôn.
团	đoàn; nhóm	Chúng tôi tham gia một đoàn du lịch.
推辞	từ chối	Anh ấy đã từ chối lời mời của bạn.
推广	quảng bá; phổ biến	Công ty đang quảng bá sản phẩm mới.
推荐	giới thiệu; đề cử	Giáo viên giới thiệu cuốn sách này.
退	lùi	Xin hãy lùi lại một bước.
退步	thụt lùi	Nếu không luyện tập, trình độ sẽ thụt lùi.
退休	nghỉ hưu	Năm sau anh ấy sẽ nghỉ hưu.
歪	lệch; nghiêng	Bức tranh này treo lệch rồi.
外公	ông ngoại	Năm nay ông ngoại tôi tám mươi tuổi.
外交	ngoại giao	Anh ấy học quan hệ quốc tế và ngoại giao.
完美	hoàn hảo	Kế hoạch này không hoàn hảo.
完善	hoàn thiện; cải thiện	Chúng ta cần cải thiện quy trình dịch vụ.
完整	hoàn chỉnh; đầy đủ	Xin hãy cho tôi một bản báo cáo đầy đủ.
玩具	đồ chơi	Đứa trẻ bỏ đồ chơi vào thùng.
万一	nhỡ; phòng khi	Nhỡ trời mưa, chúng ta sẽ đi ngày khác.
王子	hoàng tử	Hoàng tử trong câu chuyện rất dũng cảm.
往返	đi về; khứ hồi	Vé này có thể đi về trong ngày.
网络	mạng	Kết nối mạng ở đây rất ổn định.
危害	gây hại; nguy hại	Hút thuốc sẽ gây hại cho sức khỏe.
威胁	đe dọa	Ô nhiễm đang đe dọa dòng sông.
微笑	mỉm cười	Cô ấy mỉm cười với tôi.
唯一	duy nhất	Đây là cách duy nhất.
围巾	khăn quàng	Mùa đông anh ấy quàng khăn.
围绕	xoay quanh	Cuộc thảo luận xoay quanh vấn đề này.
维修	sửa chữa; bảo trì	Thang máy đang được sửa chữa.
违反	vi phạm	Làm như vậy là vi phạm quy định.
伟大	vĩ đại	Đây là một phát hiện vĩ đại.
委屈	tủi thân; oan ức	Cô ấy cảm thấy rất tủi thân.
尾巴	đuôi	Con chó con vẫy đuôi.
位于	nằm ở	Trường nằm ở trung tâm thành phố.
位置	vị trí	Chỗ này rất yên tĩnh.
未必	chưa chắc	Điều anh ấy nói chưa chắc là thật.
未来	tương lai	Chúng ta cần chuẩn bị cho tương lai.
胃	dạ dày	Dạ dày tôi hơi khó chịu.
胃口	khẩu vị; cảm giác thèm ăn	Hôm nay anh ấy ăn uống rất ngon miệng.
温暖	ấm áp	Ánh nắng mùa xuân rất ấm áp.
温柔	dịu dàng	Cô ấy nói chuyện rất dịu dàng.
文件	tài liệu; tệp	Xin hãy gửi tài liệu cho tôi.
文具	văn phòng phẩm	Trong cặp sách có rất nhiều văn phòng phẩm.
文明	văn minh	Xếp hàng là một hành vi văn minh.
文学	văn học	Cô ấy thích văn học Trung Quốc.
文字	chữ viết; văn tự	Những chữ này rất khó đọc.
闻	ngửi thấy	Tôi ngửi thấy một mùi hoa thơm.
吻	hôn	Mẹ hôn lên mặt đứa trẻ.
稳定	ổn định	Giá cả giữ ổn định.
问候	hỏi thăm	Xin hãy thay tôi hỏi thăm gia đình bạn.
卧室	phòng ngủ	Trong phòng ngủ có một chiếc giường lớn.
握手	bắt tay	Khi gặp nhau, họ đã bắt tay.
屋子	phòng; căn phòng	Trong phòng rất ấm.
无奈	bất lực	Anh ấy bất lực lắc đầu.
无数	vô số	Trên bầu trời đêm có vô số ngôi sao.
无所谓	không quan trọng	Bạn muốn ăn gì cũng không quan trọng.
武术	võ thuật	Anh ấy học võ thuật từ nhỏ.
勿	đừng; không được	Xin đừng hút thuốc ở đây.
物理	vật lý	Lớp vật lý rất thú vị.
物质	vật chất; chất	Nước là một chất quan trọng.
雾	sương mù	Buổi sáng có sương mù rất dày.
吸取	rút ra; tiếp thu	Chúng ta nên rút kinh nghiệm từ bài học lần này.
吸收	hấp thụ	Cây cối hấp thụ nước.
戏剧	kịch; sân khấu	Anh ấy thích xem kịch truyền thống.
系	khoa; ngành	Cô ấy học ở khoa tiếng Trung.
系统	hệ thống	Hệ thống này vận hành ổn định.
细节	chi tiết	Xin hãy chú ý đến những chi tiết này.
瞎	mù quáng; bừa	Đừng đoán bừa, hãy xem tài liệu trước.
下载	tải xuống	Tôi đã tải xuống phần mềm này.
吓	làm sợ; dọa	Âm thanh đột ngột làm tôi giật mình.
夏令营	trại hè	Đứa trẻ tham gia trại hè tiếng Trung.
鲜艳	sặc sỡ; tươi sáng	Màu của chiếc váy này rất sặc sỡ.
显得	trông; có vẻ	Chiếc áo này làm anh ấy trông rất trẻ.
显然	rõ ràng	Rõ ràng là anh ấy đã biết kết quả rồi.
显示	hiển thị	Màn hình hiển thị thời gian không đúng.
县	huyện	Huyện này có rất nhiều vườn trà.
现代	hiện đại	Cuộc sống hiện đại không thể tách rời mạng.
现实	hiện thực	Chúng ta phải đối mặt với hiện thực.
现象	hiện tượng	Hiện tượng này rất thường gặp.
限制	hạn chế; giới hạn	Ở đây hạn chế xe cộ đi vào.
相处	hòa hợp; sống chung	Họ hòa hợp với nhau rất tốt.
相当	khá; tương đối	Cuốn sách này khá thú vị.
相对	tương đối	Giá ở đây tương đối rẻ.
相关	liên quan	Xin hãy cung cấp tài liệu liên quan.
相似	giống nhau; tương tự	Nghĩa của hai chữ này rất giống nhau.
香肠	xúc xích	Bữa sáng có trứng và xúc xích.
享受	tận hưởng	Họ đang tận hưởng kỳ nghỉ.
想念	nhớ	Tôi rất nhớ gia đình.
想象	tưởng tượng	Tôi không thể tưởng tượng cuộc sống kiểu đó.
象棋	cờ tướng	Ông nội thích chơi cờ tướng.
象征	tượng trưng	Màu trắng thường tượng trưng cho sự thuần khiết.
项	mục; việc	Nhiệm vụ này rất quan trọng.
项链	dây chuyền	Cô ấy đeo một sợi dây chuyền bạc.
项目	dự án; hạng mục	Dự án này cần ba tháng.
消费	tiêu dùng; tiêu thụ	Tiêu dùng tăng trong dịp lễ.
消化	tiêu hóa	Đi dạo sau bữa ăn có lợi cho tiêu hóa.
消极	tiêu cực	Đừng nhìn vấn đề bằng thái độ tiêu cực.
消失	biến mất	Mặt trời dần biến mất sau núi.
销售	bán hàng; tiêu thụ	Công ty này bán sản phẩm điện tử.
小麦	lúa mì	Ở miền Bắc trồng rất nhiều lúa mì.
小气	keo kiệt	Đừng keo kiệt như vậy.
孝顺	hiếu thảo	Anh ấy rất hiếu thảo với bố mẹ.
效率	hiệu suất; hiệu quả	Làm như vậy có thể nâng cao hiệu suất.
歇	nghỉ	Chúng ta nghỉ một lát trước nhé.
斜	nghiêng	Con đường này hơi nghiêng.
写作	viết; sáng tác	Viết cần luyện tập lâu dài.
心理	tâm lý	Trước kỳ thi cần điều chỉnh trạng thái tâm lý.
心脏	tim	Sức khỏe tim mạch rất quan trọng.
欣赏	thưởng thức; ngắm	Chúng tôi ngắm phong cảnh đẹp.
信号	tín hiệu	Tín hiệu điện thoại ở đây không tốt.
信任	tin tưởng	Giữa bạn bè cần có sự tin tưởng.
形成	hình thành	Thói quen tốt cần dần dần hình thành.
形容	miêu tả	Tôi không biết miêu tả cảm giác này thế nào.
形势	tình thế; tình hình	Tình hình hiện nay tương đối phức tạp.
形式	hình thức	Cuộc họp có thể dùng hình thức trực tuyến.
形象	hình ảnh	Hình ảnh công chúng của anh ấy rất tốt.
形状	hình dạng	Hình dạng của chiếc hộp này rất đặc biệt.
行动	hành động	Chúng ta cần hành động ngay.
行人	người đi bộ	Khi qua đường phải chú ý người đi bộ.
行为	hành vi	Loại hành vi này không lịch sự.
幸亏	may mà	May mà bạn đã nhắc tôi.
幸运	may mắn	Anh ấy may mắn tìm được việc làm.
性质	tính chất	Tính chất của vấn đề này rất nghiêm trọng.
兄弟	anh em	Quan hệ giữa hai anh em họ rất tốt.
胸	ngực	Anh ấy cảm thấy hơi tức ngực.
休闲	nghỉ ngơi; giải trí	Cuối tuần là thời gian tốt để nghỉ ngơi.
修改	sửa đổi; chỉnh sửa	Xin hãy chỉnh sửa bài viết này.
虚心	khiêm tốn; cầu thị	Chúng ta nên khiêm tốn lắng nghe ý kiến.
叙述	kể lại; thuật lại	Anh ấy thuật lại rõ ràng sự việc đã xảy ra.
宣布	tuyên bố; công bố	Nhà trường đã công bố quy định mới.
宣传	tuyên truyền; quảng bá	Họ đang tuyên truyền kiến thức bảo vệ môi trường.
学历	trình độ học vấn	Công việc này yêu cầu trình độ đại học.
学术	học thuật	Hội nghị lần này thảo luận các vấn đề học thuật.
学问	học vấn; kiến thức	Anh ấy rất có học vấn.
血	máu	Tay anh ấy chảy một chút máu.
寻找	tìm kiếm	Chúng tôi đang tìm kiếm phương pháp mới.
询问	hỏi; hỏi thăm	Anh ấy hỏi giáo viên về thời gian thi.
训练	huấn luyện; luyện tập	Vận động viên kiên trì luyện tập mỗi ngày.
迅速	nhanh chóng	Tin tức nhanh chóng lan truyền.
押金	tiền đặt cọc	Thuê nhà cần trả tiền đặt cọc.
牙齿	răng	Xin hãy chăm sóc răng của bạn mỗi ngày.
严肃	nghiêm túc; nghiêm nghị	Vẻ mặt của giáo viên rất nghiêm nghị.
延长	kéo dài	Cuộc họp kéo dài thêm nửa tiếng.
演讲	bài diễn thuyết; diễn thuyết	Anh ấy đang chuẩn bị bài diễn thuyết ngày mai.
宴会	tiệc; yến tiệc	Họ tham gia một bữa tiệc.
阳台	ban công	Trên ban công đặt vài chậu hoa.
痒	ngứa	Cánh tay tôi hơi ngứa.
样式	kiểu dáng	Kiểu dáng này rất được ưa chuộng.
腰	eo; thắt lưng	Ngồi lâu sẽ bị đau thắt lưng.
摇	lắc	Gió làm cành cây lắc qua lắc lại.
咬	cắn	Con chó này không cắn người.
要不	hay là; nếu không	Hay là ngày mai chúng ta đi lại nhé.
业务	nghiệp vụ; kinh doanh	Công việc kinh doanh của công ty ngày càng nhiều.
业余	ngoài giờ; nghiệp dư	Thời gian rảnh anh ấy học nhiếp ảnh.
夜	đêm	Ban đêm đường phố rất yên tĩnh.
依然	vẫn; vẫn như cũ	Anh ấy vẫn sống ở Bắc Kinh.
一辈子	cả đời	Cô ấy yêu âm nhạc cả đời.
一旦	một khi	Một khi đã quyết định thì phải kiên trì.
一律	tất cả; đồng loạt	Trong thời gian họp, tất cả điện thoại phải tắt.
一再	nhiều lần	Anh ấy nhiều lần nhắc chúng tôi chú ý an toàn.
一致	nhất trí	Ý kiến của mọi người hoàn toàn nhất trí.
疑问	thắc mắc; câu hỏi	Tôi có thắc mắc về câu trả lời này.
移动	di chuyển	Xin hãy di chuyển cái bàn một chút.
移民	di cư; nhập cư	Họ dự định di cư ra nước ngoài.
遗憾	tiếc nuối	Tôi rất tiếc vì không thể gặp bạn.
乙	bên B	Trong hợp đồng, bên B chịu trách nhiệm thanh toán.
以及	và; cũng như	Tôi mua sách cũng như văn phòng phẩm.
以来	từ khi	Từ khi tốt nghiệp, anh ấy vẫn luôn làm việc ở Bắc Kinh.
义务	nghĩa vụ	Bảo vệ môi trường là nghĩa vụ của mỗi người.
亿	trăm triệu	Đất nước này có dân số hơn một tỷ người.
意外	bất ngờ; ngoài ý muốn	Lần đến muộn này hoàn toàn là ngoài ý muốn.
意义	ý nghĩa	Hoạt động lần này rất có ý nghĩa.
议论	bàn luận; thảo luận	Mọi người đang bàn luận về việc này.
因而	do đó; vì thế	Anh ấy học chăm chỉ, vì thế thành tích rất tốt.
因素	yếu tố	Thời tiết là một yếu tố quan trọng.
银	bạc; màu bạc	Cô ấy đeo một chiếc vòng tay bạc.
印刷	in ấn	Quyển sách này được in rất rõ.
英俊	đẹp trai; khôi ngô	Anh ấy trông rất đẹp trai.
英雄	anh hùng	Lính cứu hỏa là những anh hùng thật sự.
营养	dinh dưỡng	Bữa sáng cần có đủ dinh dưỡng.
营业	kinh doanh; mở cửa	Cửa hàng này bắt đầu mở cửa lúc chín giờ.
迎接	đón; chào đón	Chúng tôi ra sân bay đón khách.
影子	bóng; bóng dáng	Dưới đèn đường có bóng của anh ấy.
应付	đối phó; xử lý	Anh ấy có thể xử lý vấn đề này.
应用	ứng dụng; áp dụng	Phương pháp này có thể áp dụng vào giảng dạy.
硬	cứng	Chiếc ghế này cứng quá.
硬件	phần cứng	Phần cứng của chiếc máy tính này khá tốt.
拥抱	ôm	Đứa trẻ chạy lại ôm mẹ.
拥挤	đông đúc; chen chúc	Tàu điện ngầm rất đông vào giờ cao điểm buổi sáng.
勇气	lòng dũng cảm; can đảm	Anh ấy có can đảm thừa nhận sai lầm.
用功	chăm chỉ học hành	Cô ấy học rất chăm chỉ.
用途	công dụng; mục đích sử dụng	Loại vật liệu này có rất nhiều công dụng.
优惠	ưu đãi; giảm giá	Hôm nay cửa hàng này có ưu đãi.
优美	đẹp; tao nhã	Môi trường ở đây rất đẹp.
优势	lợi thế	Lợi thế của anh ấy là có nhiều kinh nghiệm.
悠久	lâu đời	Trung Quốc có lịch sử lâu đời.
油炸	chiên ngập dầu	Tôi rất ít ăn đồ chiên.
游览	tham quan	Ngày mai chúng tôi sẽ tham quan Cố Cung.
犹豫	do dự	Anh ấy do dự một lúc rồi mới trả lời.
有利	có lợi; thuận lợi	Điều kiện này có lợi cho chúng tôi.
幼儿园	nhà trẻ; trường mẫu giáo	Năm sau đứa trẻ sẽ đi học mẫu giáo.
娱乐	giải trí	Xem phim là một hình thức giải trí.
与其	thay vì	Thay vì than phiền, chi bằng hành động.
语气	giọng điệu; ngữ khí	Giọng nói của anh ấy rất ôn hòa.
玉米	ngô; bắp	Bữa tối có súp ngô.
预报	dự báo	Dự báo thời tiết nói ngày mai có mưa.
预订	đặt trước	Tôi đã đặt khách sạn rồi.
预防	phòng ngừa	Rửa tay thường xuyên có thể phòng ngừa cảm lạnh.
元旦	Tết Dương lịch	Ngày Tết Dương lịch chúng tôi được nghỉ một ngày.
原料	nguyên liệu	Nguyên liệu chính của bánh mì là bột mì.
原则	nguyên tắc	Làm người phải có nguyên tắc.
员工	nhân viên	Công ty có ba trăm nhân viên.
圆	tròn	Mặt trăng vừa to vừa tròn.
愿望	nguyện vọng; mong ước	Ước muốn của anh ấy là đi du lịch vòng quanh thế giới.
乐器	nhạc cụ	Cô ấy biết chơi vài loại nhạc cụ.
晕	chóng mặt	Khi đi tàu tôi hơi chóng mặt.
运气	vận may; may mắn	Hôm nay vận may của tôi khá tốt.
运输	vận chuyển	Những hàng hóa này cần vận chuyển bằng đường sắt.
运用	vận dụng; sử dụng	Xin hãy vận dụng linh hoạt những từ này.
灾害	thiên tai; tai họa	Lũ lụt là một loại thiên tai.
再三	nhiều lần; hết lần này đến lần khác	Giáo viên nhiều lần nhắc chúng tôi ôn tập.
在乎	quan tâm; để ý	Anh ấy rất quan tâm đến cách nhìn của bạn bè.
在于	nằm ở; cốt ở	Thành công nằm ở sự kiên trì.
赞成	tán thành	Tôi tán thành đề nghị của bạn.
赞美	khen ngợi	Mọi người đều khen ngợi lòng dũng cảm của cô ấy.
糟糕	tồi tệ	Thời tiết hôm nay thật tồi tệ.
造成	gây ra	Mưa lớn đã gây ra tắc đường.
则	thì	Nếu cố gắng thì sẽ có tiến bộ.
责备	trách móc; phê bình	Giáo viên không trách anh ấy.
摘	hái; ngắt	Cô ấy hái một bông hoa trong vườn.
窄	hẹp	Con đường này hẹp quá.
粘贴	dán	Xin hãy dán ảnh ở đây.
展开	bắt đầu; triển khai	Cuộc thảo luận nhanh chóng bắt đầu.
展览	triển lãm	Bảo tàng có một triển lãm mới.
占	chiếm; chiếm chỗ	Chiếc bàn này chiếm chỗ.
战争	chiến tranh	Chiến tranh mang lại đau khổ cho nhân dân.
掌握	nắm vững; làm chủ	Anh ấy đã nắm vững ngữ pháp cơ bản.
涨	tăng	Gần đây tiền thuê nhà lại tăng.
长辈	bậc trưởng bối; người lớn tuổi	Khi đón năm mới phải hỏi thăm người lớn tuổi.
账户	tài khoản	Xin hãy kiểm tra tài khoản ngân hàng của bạn.
招待	tiếp đãi	Chủ nhà nhiệt tình tiếp đãi khách.
着火	bốc cháy	Nhà bếp đột nhiên bốc cháy.
着凉	bị nhiễm lạnh; bị cảm	Trời lạnh rồi, đừng để bị cảm.
召开	tổ chức; triệu tập	Ngày mai trường sẽ tổ chức cuộc họp.
照常	như thường lệ	Ngày mai cửa hàng vẫn mở cửa như thường lệ.
哲学	triết học	Ở đại học anh ấy học triết học.
珍惜	trân trọng	Chúng ta phải trân trọng thời gian.
真实	chân thật; có thật	Câu chuyện này là có thật.
针对	nhắm vào; dành cho	Đề nghị này dành cho sinh viên mới.
诊断	chẩn đoán	Bác sĩ nhanh chóng đưa ra chẩn đoán.
振动	rung	Điện thoại đang rung trên bàn.
阵	trận; cơn	Bên ngoài có một cơn mưa rào.
争论	tranh luận	Họ đã tranh luận về vấn đề này rất lâu.
争取	cố gắng giành lấy; phấn đấu	Chúng ta phải cố gắng giành thêm nhiều cơ hội.
征求	trưng cầu; xin ý kiến	Giáo viên đã xin ý kiến mọi người.
挣	vùng ra; kiếm được	Con chim nhỏ đã vùng ra khỏi sợi dây.
睁	mở mắt	Xin hãy mở mắt to hơn một chút.
整个	toàn bộ; cả	Toàn bộ thành phố đều rất yên tĩnh.
整齐	gọn gàng; ngăn nắp	Sách được xếp rất gọn gàng.
整体	tổng thể	Chúng ta cần xem xét hiệu quả tổng thể.
政府	chính phủ	Chính phủ đã ban hành thông báo mới.
政治	chính trị	Anh ấy rất quan tâm đến chính trị.
正	đúng; ngay; chính	Câu trả lời này là đúng.
证件	giấy tờ; giấy tờ tùy thân	Xin hãy xuất trình giấy tờ của bạn.
证据	chứng cứ; bằng chứng	Cảnh sát đã tìm thấy bằng chứng mới.
支	cây; chiếc	Một cây bút ở trên bàn.
支票	séc	Anh ấy thanh toán bằng séc.
执照	giấy phép; bằng lái	Lái xe cần có bằng lái.
直	thẳng	Cứ đi thẳng về phía trước theo con đường này.
指导	hướng dẫn	Giáo viên hướng dẫn chúng tôi viết luận văn.
指挥	chỉ huy; điều hành	Anh ấy phụ trách chỉ huy hành động lần này.
制定	xây dựng; đặt ra	Công ty đã xây dựng kế hoạch mới.
制度	chế độ; hệ thống	Trường có chế độ rất nghiêm ngặt.
制造	chế tạo; sản xuất	Nhà máy này sản xuất máy móc.
制作	làm; chế tác	Cô ấy đang làm bánh sinh nhật.
志愿者	tình nguyện viên	Rất nhiều tình nguyện viên đã tham gia hoạt động.
智慧	trí tuệ	Ông cụ này rất có trí tuệ.
治疗	điều trị	Bác sĩ đang điều trị cho bệnh nhân.
秩序	trật tự	Xin mọi người giữ trật tự.
至今	đến nay; cho đến nay	Vấn đề này đến nay vẫn chưa được giải quyết.
至于	còn về; đối với	Còn về chi phí, ngày mai chúng ta bàn tiếp.
中介	môi giới; trung gian	Anh ấy thuê nhà thông qua môi giới.
中心	trung tâm	Bệnh viện nằm ở trung tâm thành phố.
中旬	trung tuần	Cuộc họp được sắp xếp vào trung tuần tháng năm.
种类	chủng loại; loại	Ở đây có rất nhiều loại trái cây.
重大	trọng đại; quan trọng	Đây là một quyết định trọng đại.
重量	trọng lượng	Trọng lượng của chiếc thùng này là bao nhiêu?
周到	chu đáo	Dịch vụ của anh ấy rất chu đáo.
猪	lợn; heo	Trong nông trại nuôi rất nhiều lợn.
竹子	cây trúc; tre	Gấu trúc thích ăn tre.
逐步	từng bước	Kế hoạch sẽ được thực hiện từng bước.
逐渐	dần dần	Thời tiết dần dần trở lạnh.
主持	chủ trì	Cô ấy chủ trì cuộc họp hôm nay.
主动	chủ động	Anh ấy chủ động giúp bạn học.
主观	chủ quan	Đánh giá này hơi chủ quan.
主人	chủ nhà; chủ nhân	Chủ nhà nhiệt tình chào đón chúng tôi.
主任	chủ nhiệm; trưởng bộ phận	Chủ nhiệm đang ở văn phòng.
主题	chủ đề	Chủ đề thảo luận hôm nay là bảo vệ môi trường.
主席	chủ tịch	Chủ tịch tuyên bố cuộc họp bắt đầu.
主张	chủ trương; quan điểm	Anh ấy chủ trương giải quyết vấn đề giao thông trước.
煮	nấu; luộc	Mẹ đang nấu mì.
注册	đăng ký	Người dùng mới cần đăng ký trước.
祝福	lời chúc	Bạn bè đã gửi lời chúc đến.
抓	nắm; bắt	Đứa trẻ nắm lấy tay mẹ.
抓紧	tranh thủ; nắm chắc	Chúng ta phải tranh thủ thời gian.
专家	chuyên gia	Chuyên gia đã đưa ra đề xuất.
