simplified	DE	example_DE
号召	aufrufen	Die Regierung rief alle dazu auf, Wasser zu sparen.
耗费	verbrauchen; kosten	Dieses Projekt verbrauchte sehr viel Geld.
呵	anhauchen; zurechtweisen	Der Vater rief kurz, und das Kind hielt sofort inne.
合并	fusionieren	Die beiden Unternehmen planen, nächstes Jahr zu fusionieren.
合成	synthetisieren	Dieses Material kann künstlich synthetisiert werden.
合伙	sich zusammentun	Sie taten sich zusammen und eröffneten ein Restaurant.
合算	sich lohnen	Mit dem Bus zu fahren lohnt sich mehr als ein Taxi.
和蔼	freundlich; gütig	Dieser Arzt spricht sehr freundlich.
和解	Versöhnung; sich einigen	Beide Seiten erzielten schließlich eine Einigung.
和睦	harmonisch	Die Nachbarn kommen harmonisch miteinander aus.
和气	freundlich	Der Chef behandelt Menschen freundlich.
和谐	harmonisch	Die Musik machte die Atmosphäre harmonischer.
嘿	hey	Hey, hast du es gehört?
痕迹	Spur	Auf dem Boden blieben Radspuren zurück.
狠心	hartherzig	Er lehnte die Bitte seines Freundes hartherzig ab.
恨不得	am liebsten sofort	Am liebsten würde ich sofort nach Hause gehen und mich ausruhen.
哼	schnauben; brummen	Er brummte unzufrieden.
横	waagerecht	Bitte ziehe eine waagerechte Linie auf dem Papier.
哄	in Gelächter ausbrechen	Alle brachen plötzlich in Gelächter aus.
烘	backen; trocknen	Das Brot wird gerade im Ofen gebacken.
轰动	Aufsehen erregen	Diese Nachricht erregte im ganzen Land Aufsehen.
宏观	makro; gesamtwirtschaftlich	Wir müssen die Wirtschaft aus makroökonomischer Sicht analysieren.
宏伟	großartig; imposant	Der Entwurf dieser Brücke ist sehr imposant.
洪水	Flut	Die Flut zerstörte mehrere Brücken.
喉咙	Kehle	Er hat zu viel gesprochen, seine Kehle tut etwas weh.
吼	brüllen	Er brüllte laut in die Ferne.
候选	Kandidat	Sie ist dieses Jahr eine Kandidatin als Vertreterin.
后代	Nachkommen	Wir müssen die Umwelt für kommende Generationen schützen.
后顾之忧	Sorge im Rücken; spätere Sorge	Ein stabiles Einkommen nahm ihm die Sorge um die Zukunft.
后勤	Logistik; Versorgung	Die Logistikabteilung ist für die Materialversorgung zuständig.
呼唤	rufen	Die Mutter rief das Kind an der Tür.
呼啸	heulen	Der kalte Wind heulte vor dem Fenster.
呼吁	appellieren	Experten appellieren an alle, Verschwendung zu reduzieren.
忽略	übersehen	Ignoriere dieses Detail bitte nicht.
湖泊	See	In dieser Region gibt es viele natürliche Seen.
胡乱	willkürlich; unordentlich	Leg die Sachen nicht einfach unordentlich auf den Boden.
胡须	Bart	Sein Bart ist schon weiß geworden.
花瓣	Blütenblatt	Nach dem Regen lagen überall Blütenblätter auf dem Boden.
花蕾	Blütenknospe	Im Frühling wachsen Knospen an den Zweigen.
华丽	prächtig; luxuriös	Die Kostüme auf der Bühne waren sehr prächtig.
华侨	Auslandschinese	Viele Auslandschinesen kehrten zur Investition in ihre Heimat zurück.
划分	einteilen	Der Lehrer teilte die Schüler in vier Gruppen ein.
化肥	chemischer Dünger	Die Bauern düngen die Pflanzen mit Kunstdünger.
化石	Fossil	Das Museum stellte Dinosaurierfossilien aus.
化验	Labortest	Der Arzt ließ ihn einen Bluttest machen.
化妆	sich schminken	Sie schminkt sich gerade vor dem Auftritt.
画蛇添足	etwas unnötig hinzufügen	Eine weitere Erklärung hinzuzufügen wäre eher überflüssig.
话筒	Mikrofon	Der Moderator reichte dem Publikum das Mikrofon.
欢乐	Freude	Der Festplatz war voller Freude.
环节	Glied; Abschnitt	Jeder Abschnitt der Schulung ist wichtig.
还原	wiederherstellen	Bitte stelle die Einstellungen auf den Standardzustand zurück.
缓和	sich entspannen; mildern	Die Beziehungen beider Seiten entspannen sich allmählich.
患者	Patient	Der Arzt fragt gerade nach dem Zustand des Patienten.
荒凉	öde; verlassen	Dieses Land sieht sehr öde aus.
荒谬	absurd	Diese Erklärung klingt sehr absurd.
荒唐	unsinnig; absurd	Seine Entscheidung war zu absurd.
皇帝	Kaiser	Der Kaiser wohnte in einem prächtigen Palast.
皇后	Kaiserin	Die Kaiserin nahm an der Feier teil.
黄昏	Abenddämmerung	In der Abenddämmerung gingen die Straßenlaternen an.
恍然大悟	plötzlich verstehen	Nach der Erklärung verstand er es plötzlich.
晃	flackern; verschwimmen	Vor seinen Augen flackerte es kurz, dann war er verschwunden.
挥霍	verschwenden	Er sollte das Geld seiner Eltern nicht verschwenden.
辉煌	glänzend; ruhmreich	Diese Stadt hat eine glanzvolle Geschichte.
回报	Rückzahlung; Lohn	Harte Arbeit wird am Ende belohnt.
回避	vermeiden; ausweichen	Er weicht diesem Problem immer aus.
回顾	Rückblick	Am Ende der Sitzung blickte man auf die Arbeit des ganzen Jahres zurück.
回收	recyceln	Die Wohnanlage begann, alte Batterien zu sammeln.
悔恨	Reue	Er empfindet Reue über seine früheren Fehler.
毁灭	zerstören	Der Krieg zerstörte diese Stadt fast vollständig.
会晤	sich treffen	Die Staats- und Regierungschefs beider Länder treffen sich morgen.
汇报	berichten	Er berichtete dem Manager über den Fortschritt.
贿赂	Bestechung	Der Beamte wurde wegen Bestechung untersucht.
昏迷	Koma; bewusstlos	Der Patient befindet sich noch im Koma.
荤	Fleischgericht	Dieses Gericht enthält Fleisch und ist für Vegetarier ungeeignet.
浑身	am ganzen Körper	Nach dem Laufen war er am ganzen Körper verschwitzt.
混合	mischen	Bitte mische die beiden Materialien gleichmäßig.
混乱	chaotisch	Vor Ort war es zeitweise sehr chaotisch.
混淆	verwechseln	Verwechsle diese beiden Begriffe nicht.
混浊	trüb	Nach dem Regen wurde das Flusswasser trüb.
活该	es geschieht jemandem recht	Er hörte nicht auf Ratschläge, sein Scheitern geschieht ihm recht.
活力	Vitalität	Diese Stadt ist voller Vitalität.
火箭	Rakete	Die Rakete erreichte erfolgreich die vorgesehene Umlaufbahn.
火焰	Flamme	Der Wind blies die Flammen höher.
火药	Schießpulver	Schießpulver veränderte die Kriegsführung in der Antike.
货币	Währung; Geld	Geldpolitik beeinflusst die wirtschaftliche Entwicklung.
基地	Stützpunkt; Basis	Dies war früher ein wichtiger Trainingsstützpunkt.
基金	Fonds	Die Schule richtete einen Stipendienfonds ein.
基因	Gen	Wissenschaftler untersuchen dieses Gen.
机动	mobil; beweglich	Diese Einheit bleibt hoch mobil.
机构	Institution; Einrichtung	Diese Einrichtung ist für Qualitätsprüfung zuständig.
机灵	klug; pfiffig	Dieses Kind ist sehr pfiffig.
机密	geheim	Diese Unterlagen sind geheim.
机械	Maschine; mechanisch	Die Fabrik führte neue Maschinen ein.
机遇	Gelegenheit	Junge Menschen müssen Gelegenheiten ergreifen.
机智	geistesgegenwärtig	Seine Antwort war sehr geistesgegenwärtig.
激发	anregen; wecken	Der Lehrer weckte das Interesse der Schüler.
激励	ermutigen; anspornen	Dieser Erfolg spornte das ganze Team an.
激情	Leidenschaft	Bei seiner Rede war er voller Leidenschaft.
讥笑	verspotten	Verspotte nicht die Fehler anderer.
饥饿	Hunger	Langer Hunger beeinträchtigt die Gesundheit.
即便	selbst wenn	Selbst wenn es regnet, fahren wir pünktlich los.
即将	bald; unmittelbar bevorstehend	Die Sitzung beginnt gleich.
及早	frühzeitig	Wenn ein Problem entdeckt wird, muss es frühzeitig behandelt werden.
吉祥	glückverheißend	Rot symbolisiert in China oft Glück.
嫉妒	Neid; beneiden	Er sollte den Erfolg seines Kollegen nicht beneiden.
急功近利	auf schnellen Erfolg aus sein	Bei Forschung darf man nicht auf schnellen Erfolg aus sein.
急剧	steil; drastisch	Der Umsatz sank drastisch.
急切	dringend; sehnsüchtig	Sie wartete sehnsüchtig auf Nachricht.
急于求成	zu schnell Erfolg wollen	Beim Sprachenlernen darf man keinen schnellen Erfolg erzwingen.
急躁	ungeduldig	Bei Schwierigkeiten darf man nicht ungeduldig werden.
极端	extrem	Solches extreme Wetter wird immer häufiger.
极限	Grenze; Limit	Dieses Training forderte seine Grenzen heraus.
疾病	Krankheit	Gute Gewohnheiten können Krankheiten vorbeugen.
籍贯	Herkunftsort	Im Formular muss der Herkunftsort eingetragen werden.
级别	Stufe; Niveau	Dieser Wettbewerb ist in drei Stufen unterteilt.
集团	Konzern	Dieser Konzern hat Niederlassungen im Ausland.
给予	geben; gewähren	Die Schule gewährt armen Schülern Hilfe.
季军	dritter Platz	Er gewann im Wettbewerb den dritten Platz.
季度	Quartal	Das Unternehmen veröffentlicht jedes Quartal den Finanzbericht.
寂静	still; ruhig	Das Tal ist nachts besonders still.
寄托	legen auf; anvertrauen	Sie setzt ihre Hoffnung auf ihr Kind.
忌讳	Tabu	Die Einheimischen halten es für tabu, am Esstisch über diese Sache zu sprechen.
技巧	Technik; Fertigkeit	Wenn man die Technik beherrscht, kann man die Effizienz erhöhen.
纪要	Protokoll	Die Sekretärin ordnete das Sitzungsprotokoll.
继承	erben; fortführen	Er führte das Geschäft seines Vaters fort.
计较	sich um Kleinigkeiten kümmern	Streite nicht wegen dieser Kleinigkeit.
记性	Gedächtnis	Er hat ein sehr gutes Gedächtnis.
记载	aufzeichnen	In Geschichtsbüchern ist dieser Krieg aufgezeichnet.
迹象	Anzeichen	Derzeit gibt es keine Anzeichen einer Besserung.
佳肴	Delikatesse; feines Gericht	Der Tisch war voller köstlicher Gerichte.
加工	verarbeiten	Diese Rohstoffe müssen weiterverarbeitet werden.
加剧	sich verschärfen	Der Konflikt verschärft sich gerade.
夹杂	vermischen; durchsetzt sein	Der Regen war vom Donner durchsetzt.
家常	hausgemacht; alltäglich	Ich esse gern Hausmannskost.
家伙	Kerl	Dieser Kerl kommt immer zu spät.
家属	Familienangehörige	Der Arzt informierte die Angehörigen des Patienten.
家喻户晓	allgemein bekannt	Diese Geschichte ist allgemein bekannt.
坚定	fest; entschlossen	Ihre Haltung ist sehr entschlossen.
坚固	stabil; fest	Diese Brücke ist sehr stabil.
坚韧	zäh; widerstandsfähig	Er hat einen zähen Charakter.
坚实	solide; fest	Diese Forschung hat eine solide Grundlage.
坚硬	hart	Dieser Stein ist sehr hart.
尖端	Spitzentechnologie; fortschrittlich	Das Unternehmen investiert in Spitzentechnologie.
尖锐	scharf; zugespitzt	Dieses Problem ist äußerst zugespitzt.
煎	braten	Der Koch brät gerade Fisch.
监督	überwachen	Öffentliche Überwachung hilft, die Arbeit zu verbessern.
监视	überwachen	Die Polizei überwacht gerade den Verdächtigen.
监狱	Gefängnis	Er verbüßt seine Strafe im Gefängnis.
艰难	schwierig	Die Anfangsphase einer Unternehmensgründung ist sehr schwierig.
剪彩	Band durchschneiden	Der Bürgermeister durchschnitt das Band für die neue Bibliothek.
拣	auswählen; herauspicken	Sie suchte ein paar Äpfel aus dem Korb heraus.
检讨	seine Fehler prüfen	Er prüfte seine eigenen Fehler ernsthaft.
检验	prüfen; testen	Das Experiment kann diese Hypothese prüfen.
简化	vereinfachen	Bitte vereinfache den Ablauf weiter.
简陋	einfach; schlicht	Sie wohnen in einer einfachen kleinen Hütte.
简体字	vereinfachte Schriftzeichen	Dieses Lehrbuch verwendet vereinfachte Schriftzeichen.
简要	kurz; knapp	Bitte erkläre deinen Standpunkt kurz.
健全	vervollständigen; gesund	Das Unternehmen muss sein Verwaltungssystem vervollständigen.
剑	Schwert	An der Wand hängt ein altes Schwert.
溅	spritzen	Regenwasser spritzte auf seine Hose.
舰艇	Kriegsschiff	Mehrere Kriegsschiffe nahmen an der Übung teil.
见多识广	viel gesehen und erfahren haben	Dieser alte Mann hat viel gesehen und ist sehr erfahren.
见解	Ansicht; Einsicht	Er hat zu diesem Problem eine eigenständige Ansicht.
见闻	Erfahrung; Gesehenes und Gehörtes	Das Reisen erweiterte seinen Erfahrungshorizont.
见义勇为	mutig für Gerechtigkeit eintreten	Er wurde gelobt, weil er mutig für Gerechtigkeit eintrat.
践踏	zertrampeln	Tritt nicht auf den Rasen.
鉴别	unterscheiden; erkennen	Experten können die Echtheit dieses Gemäldes erkennen.
鉴定	identifizieren; begutachten	Die Polizei untersucht gerade die Fingerabdrücke.
鉴于	angesichts	Angesichts des schlechten Wetters wird die Veranstaltung verschoben.
间谍	Spion	Dieser Film erzählt eine Spionagegeschichte.
间隔	Abstand	Zwischen den beiden Sitzungen liegt eine Woche.
间接	indirekt	Diese Politik wird indirekte Auswirkungen haben.
僵硬	steif	Sein Lächeln wirkte sehr steif.
将军	General	Der General gab den Befehl.
将近	fast; beinahe	Dieses Projekt dauerte fast zwei Jahre.
将就	sich behelfen	Die Bedingungen sind schlecht, wir können uns nur irgendwie behelfen.
奖励	belohnen	Die Schule belohnte hervorragende Schüler.
奖赏	Belohnung	Der König gab dem Krieger eine reiche Belohnung.
桨	Ruder	Der Bootsführer ruderte das Boot mit dem Ruder ans Ufer.
降临	hereinbrechen	Die Nacht senkte sich allmählich über die Stadt.
交叉	sich kreuzen	Die beiden Straßen kreuzen sich hier.
交代	erklären; übergeben	Bitte erkläre die Aufgabe klar.
交涉	verhandeln	Beide Seiten verhandeln gerade über die Entschädigung.
交易	Handel; Geschäft	Dieses Geschäft ist bereits abgeschlossen.
娇气	empfindlich	Sei nicht so empfindlich, das Wetter ist nicht kalt.
焦点	Brennpunkt; Fokus	Das Beschäftigungsproblem wurde zum Fokus der Diskussion.
焦急	besorgt; ungeduldig	Die Mutter wartete besorgt auf die Rückkehr des Kindes.
侥幸	glücklicherweise; mit Glück	Er entkam dem Unglück nur mit Glück.
搅拌	rühren	Bitte rühre den Teig gleichmäßig.
缴纳	entrichten; bezahlen	Die Bewohner müssen die Wassergebühr pünktlich bezahlen.
角落	Ecke	Die Katze versteckte sich in der Ecke des Zimmers.
教养	Erziehung; Benehmen	Gute Erziehung zeigt sich in Details.
较量	sich messen	Die zwei starken Teams werden sich bald messen.
接连	nacheinander	Er erhielt nacheinander drei E-Mails.
揭露	aufdecken	Journalisten deckten Probleme der Lebensmittelsicherheit auf.
皆	alle	Diese Regeln sind allen bekannt.
阶层	Schicht	Verschiedene Schichten haben unterschiedliche Bedürfnisse.
截止	enden; Frist ablaufen	Die Anmeldung endet morgen Nachmittag.
截至	bis zu	Bis heute haben sich bereits zweihundert Personen angemeldet.
杰出	hervorragend	Sie ist eine hervorragende Wissenschaftlerin.
竭尽全力	alles geben	Wir werden alles geben, um die Aufgabe zu erledigen.
结晶	Kristall; Ergebnis	Dieses Ergebnis ist die Frucht jahrelanger Arbeit.
结局	Ende	Das Ende der Geschichte ist unerwartet.
结算	abrechnen	Der Kunde verlangt, die Kosten Ende des Monats abzurechnen.
节制	Mäßigung	Beim Essen sollte man Maß halten.
节奏	Rhythmus	Der Rhythmus dieses Liedes ist sehr schnell.
解除	aufheben	Das Unternehmen hob den Sicherheitsalarm auf.
解放	befreien	Die Reform befreite die Produktivkräfte.
解雇	entlassen	Der Chef beschloss, diesen Mitarbeiter zu entlassen.
解剖	Anatomie; sezieren	Medizinstudenten lernen Anatomie.
解散	sich auflösen; auflösen	Nach dem Ende der Sitzung löste sich die Gruppe auf.
解体	zerfallen	Das Bündnis zerfiel schließlich.
借鉴	aus etwas lernen; als Referenz nutzen	Wir können aus den Erfahrungen anderer Länder lernen.
借助	mithilfe von	Er fand mithilfe der Karte den Weg.
戒备	Wachsamkeit; Alarmbereitschaft	Das Grenzgebiet bleibt in hoher Alarmbereitschaft.
界限	Grenze	Arbeit und Leben brauchen klare Grenzen.
津津有味	mit großem Interesse	Die Kinder hörten der Geschichte mit großem Interesse zu.
金融	Finanzen; Finanzwesen	Der Finanzmarkt schwankte heute stark.
紧迫	dringend	Die Zeit ist knapp, wir müssen sofort handeln.
锦上添花	das Tüpfelchen auf dem i	Dieses Geschenk war wirklich das Tüpfelchen auf dem i.
晋升	befördern	Er wurde letztes Jahr zum Abteilungsleiter befördert.
浸泡	einweichen	Die Bohnen müssen über Nacht eingeweicht werden.
近来	in letzter Zeit	In letzter Zeit hat sich das Wetter stark verändert.
进而	und dann	Zuerst verstehen wir den Bedarf und erarbeiten dann einen Plan.
进攻	Angriff; angreifen	Die Mannschaft verstärkte in der zweiten Halbzeit den Angriff.
进化	Evolution; sich entwickeln	Lebewesen entwickeln sich mit ihrer Umwelt.
进展	Fortschritt; vorankommen	Das Projekt kommt derzeit gut voran.
兢兢业业	gewissenhaft	Er arbeitete dreißig Jahre lang gewissenhaft.
惊动	aufschrecken	Der laute Knall schreckte die Anwohner auf.
惊奇	erstaunt	Die Kinder sahen der Zaubervorstellung erstaunt zu.
惊讶	überrascht; erstaunt	Seine Antwort überraschte mich.
精打细算	sorgfältig haushalten	Sie haushaltet im Alltag immer sehr sorgfältig.
精华	Kern; Essenz	Dieser Artikel fasst den Kern der Theorie zusammen.
精简	straffen; vereinfachen	Das Unternehmen beschloss, die Führungsebene zu straffen.
精密	präzise	Dieses Gerät ist sehr präzise.
精确	genau; präzise	Die Daten müssen auf zwei Dezimalstellen genau sein.
精通	beherrschen; gut können	Er beherrscht drei Fremdsprachen.
精心	sorgfältig	Die Mutter bereitete das Abendessen sorgfältig vor.
精益求精	nach Perfektion streben	Gute Handwerker streben immer nach Perfektion.
精致	fein; exquisit	Dieses Geschenk ist sehr fein verpackt.
经费	Mittel; Budget	Die Forschungsmittel wurden bereits genehmigt.
经纬	Längen- und Breitengrade	Auf der Karte sind Längen- und Breitengrade eingezeichnet.
茎	Stängel	Der Stängel der Pflanze trägt die Blätter.
井	Brunnen	Am Dorfeingang gibt es einen alten Brunnen.
警告	warnen	Der Lehrer warnte die Schüler davor zu schummeln.
警惕	wachsam sein	Wir sollten gegenüber Onlinebetrug wachsam sein.
颈椎	Halswirbel	Langes Herunterschauen kann die Halswirbel schädigen.
境界	Niveau; Sphäre	Seine Malerei erreichte ein neues Niveau.
敬礼	salutieren	Der Soldat salutierte vor der Nationalflagge.
敬业	beruflich engagiert	Sie arbeitet ernsthaft und ist sehr engagiert.
竞赛	Wettbewerb	Die Schule veranstaltete einen Mathematikwettbewerb.
竞选	kandidieren	Er bereitet sich darauf vor, für das Bürgermeisteramt zu kandidieren.
镜头	Linse; Kameraeinstellung	Der Fotograf stellte die Linse ein.
纠纷	Streitigkeit	Beide Seiten lösten die Streitigkeit durch Vermittlung.
纠正	korrigieren	Der Lehrer korrigierte den Aussprachefehler rechtzeitig.
酒精	Alkohol	Der Arzt desinfizierte die Wunde mit Alkohol.
就近	in der Nähe	Schüler können eine Schule in der Nähe besuchen.
就业	Beschäftigung	Die Regierung führte Maßnahmen zur Förderung der Beschäftigung ein.
就职	ein Amt antreten	Der neue Manager tritt nächste Woche offiziell sein Amt an.
救济	Nothilfe; Unterstützung	Die Katastrophenopfer erhielten rechtzeitig Nothilfe.
居民	Einwohner	Die Anwohner wehren sich gegen die Lärmbelastung.
居住	wohnen	Sie wohnen seit zehn Jahren hier.
拘留	festnehmen; in Gewahrsam nehmen	Die Polizei nahm den Verdächtigen gesetzmäßig fest.
拘束	gehemmt; sich eingeschränkt fühlen	Vor Freunden muss man sich nicht gehemmt fühlen.
鞠躬	sich verbeugen	Der Schauspieler verbeugte sich dankend vor dem Publikum.
局部	örtlich; teilweise	Der Arzt führte nur eine örtliche Betäubung durch.
局面	Lage; Situation	Die Verhandlungen verbesserten die angespannte Lage.
局势	Lage; Situation	Die internationale Lage bleibt komplex.
局限	Grenze; Beschränkung	Diese Methode hat deutliche Grenzen.
举动	Handlung	Seine Handlung rührte alle sehr.
举世瞩目	weltweite Aufmerksamkeit erregen	Dieses Projekt erzielte weltweit beachtete Erfolge.
举足轻重	eine entscheidende Rolle spielen	Dieses Unternehmen spielt in der Branche eine entscheidende Rolle.
咀嚼	kauen	Beim Essen sollte man langsam kauen.
沮丧	niedergeschlagen	Nach der Niederlage im Spiel war er sehr niedergeschlagen.
剧本	Drehbuch; Skript	Der Regisseur überarbeitet gerade das Drehbuch.
剧烈	heftig	Der Boden bebte heftig.
据悉	berichten zufolge	Berichten zufolge wird die Sitzung auf nächste Woche verschoben.
聚精会神	sich voll konzentrieren	Die Kinder hörten dem Unterricht voll konzentriert zu.
卷	aufrollen	Er rollte die Karte auf und steckte sie in die Tasche.
倔强	stur	Dieses Kind hat einen sehr sturen Charakter.
决策	Entscheidung; Entscheidungsfindung	Die Geschäftsleitung bespricht eine wichtige Entscheidung.
绝望	Verzweiflung	Nach dem Scheitern empfand er zeitweise Verzweiflung.
觉悟	Bewusstsein	Diese Erfahrung stärkte sein Bewusstsein.
觉醒	erwachen; bewusst werden	Das Umweltbewusstsein der Öffentlichkeit erwacht.
军队	Armee	Die Armee traf schnell im Katastrophengebiet ein.
君子	Ehrenmann; edler Mensch	Ein Ehrenmann sollte Worte und Taten in Einklang bringen.
卡通	Zeichentrick	Das Kind schaut gern Zeichentrickfilme.
开采	abbauen; fördern	Dieses Unternehmen ist für den Abbau von Mineralien verantwortlich.
开除	verweisen; ausschließen	Die Schule beschloss, den Schüler wegen Betrugs zu verweisen.
开阔	weit; offen	Vom Gipfel aus ist die Aussicht sehr weit.
开朗	heiter; aufgeschlossen	Sie ist heiter und hat viele Freunde.
开明	aufgeschlossen	Die Haltung der Eltern ist sehr aufgeschlossen.
开辟	eröffnen; erschließen	Die Stadt eröffnete eine neue Buslinie.
开拓	erschließen; ausbauen	Das Unternehmen plant, Auslandsmärkte zu erschließen.
开展	durchführen; entfalten	Die Schule führte eine Sicherheitsbildungsaktion durch.
开支	Ausgaben	Die monatlichen Ausgaben der Familie sind gestiegen.
刊登	veröffentlichen	Die Zeitung veröffentlichte seinen Artikel.
刊物	Publikation	Diese Publikation erscheint einmal im Monat.
勘探	erkunden; prospektieren	Das Ingenieurteam erkundet unterirdische Wasserquellen.
侃侃而谈	selbstsicher und ausführlich sprechen	Er sprach in der Sitzung selbstsicher und ausführlich.
砍伐	fällen	Willkürliches Fällen von Wäldern ist verboten.
看待	betrachten	Wir sollten dieses Problem objektiv betrachten.
慷慨	großzügig	Er spendete das Preisgeld großzügig.
抗议	protestieren	Die Anwohner protestierten gegen den Bau der neuen Fabrik.
考察	untersuchen; inspizieren	Experten fuhren zum Standort, um die Umgebung zu untersuchen.
考古	Archäologie	Das Archäologenteam entdeckte antike Gräber.
考核	beurteilen; prüfen	Das Unternehmen beurteilt jedes Jahr die Leistung der Mitarbeiter.
考验	auf die Probe stellen	Diese Krise stellte die Fähigkeiten des Teams auf die Probe.
靠拢	näher zusammenrücken	Die Teammitglieder rückten zur Mitte hin näher zusammen.
磕	stoßen; anschlagen	Er stieß versehentlich gegen die Tischecke.
科目	Fach	Mathematik ist sein Lieblingsfach.
可观	beachtlich	Diese Investition brachte beachtliche Erträge.
可口	lecker	Das Essen in diesem Restaurant ist lecker.
可恶	abscheulich	Diese Art von Betrug ist wirklich abscheulich.
可行	durchführbar	Dieser Plan ist grundsätzlich durchführbar.
渴望	sich sehnen nach	Die Kinder sehnen sich nach mehr Chancen.
克制	beherrschen; Zurückhaltung	In einer Diskussion sollte man seine Gefühle beherrschen.
刻不容缓	keinen Aufschub dulden	Der Schutz der Wasserquellen duldet keinen Aufschub.
客户	Kunde; Klient	Der Kunde ist mit dem Service sehr zufrieden.
课题	Thema; Forschungsfrage	Dieses Thema verdient eine gründliche Untersuchung.
啃	nagen; knabbern	Das Kind knabbert an einem Maiskolben.
恳切	aufrichtig	Er bat alle aufrichtig um Hilfe.
坑	Grube	Am Straßenrand ist eine tiefe Grube.
空洞	inhaltsleer	Dieser Bericht ist inhaltlich leer.
空前绝后	einmalig	Diese Aufführung kann man als einmalig bezeichnen.
空想	Fantasie; Luftschloss	Nur auf Fantasien zu bauen löst keine Probleme.
空虚	Leere; leer	Nach der Hektik fühlte er sich leer.
孔	Loch	In der Wand ist ein kleines Loch.
恐怖	furchterregend	Die Atmosphäre dieses Films ist furchterregend.
恐吓	einschüchtern; bedrohen	Die Gegenseite schüchterte den Zeugen mit Drohungen ein.
恐惧	Angst	Die Dunkelheit machte dem Kind Angst.
空白	Leerstelle	Bitte unterschreiben Sie an der Leerstelle.
空隙	Spalt	Zwischen Tür und Boden ist ein Spalt.
口气	Tonfall	Sein Tonfall war sehr hart.
口腔	Mundhöhle	Der Arzt untersuchte seine Mundhöhle.
口头	mündlich	Sie haben nur eine mündliche Vereinbarung.
口音	Akzent	Sein Mandarin hat einen leichten Akzent.
扣	anschnallen; zuknöpfen	Bitte schnallen Sie den Sicherheitsgurt an.
哭泣	weinen	Das Mädchen versteckte sich in der Ecke und weinte.
枯萎	verwelken	Wassermangel ließ die Blumen verwelken.
枯燥	trocken; langweilig	Diese Arbeit ist ein wenig langweilig.
苦尽甘来	nach harten Zeiten kommt Gutes	Nach Jahren des Durchhaltens kamen endlich bessere Zeiten.
苦涩	bitter und herb	Dieser Kräutertee schmeckt bitter und herb.
挎	am Arm tragen	Sie ging mit einer Stofftasche am Arm hinaus.
跨	überqueren; überschreiten	Er überquerte den Graben und ging weiter.
快活	fröhlich	Die Kinder spielten fröhlich auf der Wiese.
宽敞	geräumig	Dieses Klassenzimmer ist hell und geräumig.
宽容	Toleranz; tolerant	Die Gesellschaft braucht mehr Verständnis und Toleranz.
款待	gastlich bewirten	Der Gastgeber bewirtete die Gäste herzlich.
款式	Stil; Modell	Dieses Kleidungsstück hat einen sehr neuen Stil.
筐	Korb	Er trug einen Korb Äpfel nach Hause.
况且	außerdem	Der Weg ist weit, außerdem wird es bald dunkel.
旷课	den Unterricht schwänzen	Schüler, die ohne Grund den Unterricht schwänzen, werden registriert.
框架	Rahmen; Struktur	Der Bericht muss zuerst seine Struktur festlegen.
矿产	Bodenschätze	Diese Region ist reich an Bodenschätzen.
亏待	ungerecht behandeln	Das Unternehmen wird fleißige Mitarbeiter nicht ungerecht behandeln.
亏损	Verlust	Die Fabrik machte dieses Jahr schwere Verluste.
捆绑	binden; festbinden	Bitte binden Sie diese Kisten fest zusammen.
扩充	erweitern	Die Schule plant, den Bibliotheksbestand zu erweitern.
扩散	sich ausbreiten	Das Gerücht verbreitete sich schnell im Internet.
扩张	Expansion; expandieren	Das Unternehmen baut sein Geschäft vorsichtig aus.
啦	Partikel am Satzende	Mach dir keine Sorgen, alles wird gut.
喇叭	Hupe; Lautsprecher	Die Autohupe ertönte plötzlich.
蜡烛	Kerze	Auf der Geburtstagstorte steckten Kerzen.
来历	Herkunft	Die Herkunft dieses Kulturguts ist unklar.
来源	Quelle	Nachrichten müssen die Informationsquelle angeben.
栏目	Rubrik	Diese Rubrik wird einmal pro Woche ausgestrahlt.
懒惰	Faulheit	Faulheit kann den Lernerfolg beeinträchtigen.
狼狈	erbärmlich; in Verlegenheit geraten	Nach dem Regen war er völlig durchnässt und sah sehr erbärmlich aus.
狼吞虎咽	gierig verschlingen	Er war sehr hungrig und verschlang seine Mahlzeit.
捞	herausfischen	Der Fischer zog ein Netz aus dem Fluss.
唠叨	nörgeln; schwatzen	Die Mutter nörgelt immer wegen Kleinigkeiten.
牢固	fest; stabil	Die Struktur dieser Brücke ist sehr stabil.
牢骚	Beschwerde	Er ist voller Beschwerden, will aber nichts ändern.
乐趣	Vergnügen	Lesen bereitet ihr viel Vergnügen.
乐意	gern bereit sein	Ich helfe dir gern, deinen Lebenslauf zu überarbeiten.
雷达	Radar	Das Radar entdeckte ein Flugzeug in der Ferne.
类似	ähnlich	Ähnliche Probleme sind früher auch aufgetreten.
冷酷	kalt; gefühllos	Sein Ton klang sehr kalt.
冷落	vernachlässigen	Der neue Mitarbeiter fühlte sich vernachlässigt.
冷却	abkühlen	Die Maschine muss vor der Reparatur erst abkühlen.
愣	erstarren; benommen sein	Als er die Nachricht hörte, erstarrte er.
黎明	Morgengrauen	Im Morgengrauen erwachte die Stadt allmählich.
理睬	beachten	Er war wütend und beachtete niemanden.
理所当然	selbstverständlich	Nimm die Hilfe anderer nicht als selbstverständlich hin.
