simplified	HY	example_HY
拍	լուսանկարել; նկարել	Խնդրում եմ, օգնիր ինձ մի լուսանկար անել։
派	ուղարկել; նշանակել	Ընկերությունը նրան Շանհայ գործուղման ուղարկեց։
盼望	անհամբեր սպասել	Ես անհամբեր սպասում եմ քեզ շուտ տեսնելուն։
培训	վերապատրաստում; ուսուցում	Նոր աշխատակիցները պետք է մասնակցեն վերապատրաստման։
培养	զարգացնել; դաստիարակել	Դպրոցը կարևորում է աշակերտների կարողությունների զարգացումը։
赔偿	փոխհատուցել	Ընկերությունը համաձայնեց փոխհատուցել վնասը։
佩服	հիանալ; հարգանքով վերաբերվել	Ես շատ եմ հիանում նրա քաջությամբ։
配合	համագործակցել; համաձայնեցնել	Խնդրում եմ, բոլորդ համագործակցեք ուսուցչի ծրագրի հետ։
盆	թաղար; աման	Պատշգամբում մի թաղար ծաղիկ կա։
碰	դիպչել; բախվել	Զգույշ, տաք ջրին մի դիպչիր։
批	խումբ; խմբաքանակ	Այս խմբաքանակի ապրանքը այսօր հասավ։
批准	հաստատել; թույլատրել	Մենեջերը հաստատեց այս ծրագիրը։
披	գցել ուսերին; ծածկվել	Նա ուսերին մի վերարկու էր գցել։
疲劳	հոգնածություն; հոգնած	Երկար աշխատելուց մարդ հոգնածություն է զգում։
匹	ձիու հաշվիչ բառ	Խոտածածկի վրա մի ձի կա։
片	կտոր; շերտ; հաշվիչ բառ	Խնդրում եմ, ինձ մի կտոր հաց տվեք։
片面	միակողմանի	Այս տեսակետը չափազանց միակողմանի է։
飘	սավառնել; թռչել օդում	Ձյան փաթիլները սավառնում են օդում։
拼音	փինյին; չինարենի հնչյունագրություն	Խնդրում եմ, չինական նշանի կողքին գրեք փինյինը։
频道	ալիք; հեռուստաալիք	Խնդրում եմ, փոխեք նորությունների ալիքին։
凭	հիման վրա; ըստ	Տոմսով կարելի է ներս մտնել։
平均	միջին; միջինում	Միջինում յուրաքանչյուր մարդ ծախսեց տասը յուան։
平	հարթ	Այս ճանապարհը շատ հարթ է։
平安	անվտանգ; խաղաղ	Մաղթում եմ քեզ անվտանգ ճանապարհ։
平常	սովորաբար; սովորական	Նա սովորաբար հազվադեպ է ուշանում։
平等	հավասար	Յուրաքանչյուր մարդ պետք է հավասար վերաբերմունքի արժանանա։
平方	քառակուսի	Այս սենյակը քսան քառակուսի մետր է։
平衡	հավասարակշռություն; հավասարակշռել	Աշխատանքի և կյանքի միջև հավասարակշռություն է պետք։
平静	հանգիստ; հանդարտ	Լճի մակերեսը շատ հանդարտ է։
评价	գնահատական; գնահատել	Ուսուցիչը շատ բարձր գնահատական տվեց։
破产	սնանկանալ	Այդ ընկերությունը անցյալ տարի սնանկացավ։
破坏	վնասել; քանդել	Խնդրում եմ, մի վնասեք հանրային գույքը։
迫切	հրատապ	Մենք հրատապ ավելի շատ բժիշկների կարիք ունենք։
期待	սպասել; ակնկալել	Ես շատ եմ սպասում այս ճանապարհորդությանը։
期间	ընթացքում; ժամանակ	Ժողովի ընթացքում խնդրում եմ անջատեք հեռախոսները։
其余	մնացած	Մնացած հարցերը վաղը կքննարկենք։
奇迹	հրաշք	Բժիշկն ասաց, որ սա հրաշք է։
企业	ձեռնարկություն; ընկերություն	Այս ձեռնարկությունը արագ է զարգանում։
启发	ոգեշնչում; նոր միտք տալ	Այս գիրքը ինձ շատ նոր մտքեր տվեց։
气氛	մթնոլորտ	Դասարանում մթնոլորտը շատ թեթև է։
汽油	բենզին	Մեքենային պետք է բենզին լցնել։
签	ստորագրել	Խնդրում եմ, այստեղ ստորագրեք ձեր անունը։
谦虚	համեստ	Նա ոչ միայն շատ լավն է, այլ նաև շատ համեստ է։
前途	ապագա; հեռանկար	Այս մասնագիտությունը լավ հեռանկար ունի։
浅	ծանծաղ; բաց գույնի	Այս գետը շատ ծանծաղ է։
欠	պարտք լինել	Նա դեռ ինձ քսան յուան է պարտք։
枪	հրացան; զենք	Ոստիկանի ձեռքին զենք կար։
墙	պատ	Պատին մի նկար է կախված։
强调	շեշտել	Ուսուցիչը շեշտեց անվտանգության հարցը։
强烈	ուժեղ; բուռն	Նա ուժեղ պատասխանատվության զգացում ունի։
抢	խլել; կռվել վերցնելու համար	Ուրիշների հետ նստատեղի համար մի կռվեք։
悄悄	լուռ; գաղտնի	Նա լուռ մտավ սենյակ։
瞧	նայել; տես	Տես, դրսում ձյուն է գալիս։
巧妙	հնարամիտ; խելացի	Այս մեթոդը շատ հնարամիտ է։
切	կտրել	Խնդրում եմ, միրգը փոքր կտորների կտրեք։
亲爱	սիրելի	Սիրելի ընկեր, շնորհակալություն։
亲切	ջերմ; բարեհամբույր	Ուսուցիչը շատ ջերմ է խոսում։
亲自	անձամբ	Մենեջերը անձամբ ընդունեց հյուրերին։
勤奋	աշխատասեր	Աշխատասեր մարդիկ ավելի հեշտ են հաջողության հասնում։
清淡	թեթև համով; մեղմ	Ես սիրում եմ թեթև ուտեստներ։
轻视	թերագնահատել; արհամարհել	Մի թերագնահատիր այս փոքր խնդիրը։
轻易	հեշտությամբ; թեթևակի	Նա հեշտությամբ չի հանձնվի։
青	կապտականաչ; կանաչավուն	Այս հագուստը կապտականաչ գույնի է։
青春	երիտասարդություն	Երիտասարդությունը թանկ է։
青少年	պատանիներ; դեռահասներ	Դեռահասներին բավարար քուն է պետք։
情景	տեսարան; իրավիճակ	Ֆիլմի տեսարանը շատ հուզիչ է։
情绪	տրամադրություն; հույզեր	Նրա տրամադրությունը այնքան էլ կայուն չէ։
请求	խնդրանք; խնդրել	Նա մի խնդրանք ներկայացրեց։
庆祝	տոնել	Մենք տոնեցինք նրա ծննդյան օրը։
球迷	մարզասեր; երկրպագու	Շատ երկրպագուներ եկան խաղը դիտելու։
趋势	միտում	Այս միտումը ավելի ու ավելի ակնհայտ է դառնում։
取消	չեղարկել	Անձրևի պատճառով միջոցառումը չեղարկվեց։
娶	կին առնել; ամուսնանալ կնոջ հետ	Նա նախատեսում է հաջորդ տարի ամուսնանալ նրա հետ։
去世	մահանալ	Նրա պապիկը անցյալ տարի մահացավ։
圈	շրջան; շրջան անել	Խնդրում եմ, ճիշտ պատասխանի վրա շրջան գծեք։
全面	ամբողջական; համակողմանի	Մենք պետք է ամբողջական պատկերացում ունենանք իրավիճակի մասին։
权利	իրավունք	Յուրաքանչյուր մարդ կրթություն ստանալու իրավունք ունի։
权力	իշխանություն; լիազորություն	Իշխանությունը պետք է վերահսկվի։
劝	խորհուրդ տալ; համոզել	Ընկերս ինձ խորհուրդ տվեց շուտ հանգստանալ։
缺乏	պակասել; պակաս ունենալ	Այս շրջանում մաքուր ջուր է պակասում։
确定	հաստատել; որոշել	Ես դեռ չեմ կարող ժամանակը հաստատել։
确认	հաստատել; ստուգել	Խնդրում եմ, հաստատեք ձեր հասցեն։
群	խումբ; երամ	Մի խումբ երեխաներ խաղում են մարզադաշտում։
燃烧	վառվել	Փայտը վառվում է։
绕	շրջանցել; շուրջը պտտվել	Մենք լճի շուրջը մեկ շրջան քայլեցինք։
热爱	ջերմորեն սիրել	Նա շատ է սիրում իր աշխատանքը։
热烈	ջերմ; բուռն	Բոլորը ջերմորեն ողջունեցին հյուրերին։
热心	սրտացավ; պատրաստակամ	Հարևանները բոլորը շատ սրտացավ են։
人才	տաղանդ; մասնագետ	Ընկերությանը ավելի շատ մասնագետներ են պետք։
人口	բնակչություն	Այս քաղաքի բնակչությունը շատ մեծ է։
人类	մարդկություն	Մարդկությունը պետք է պաշտպանի Երկիրը։
人民币	յուան; չինական յուան	Ես մի քիչ յուան փոխանակեցի։
人生	կյանք; մարդկային կյանք	Կյանքում շատ ընտրություններ կան։
人事	կադրեր; անձնակազմի գործեր	Նա աշխատում է կադրերի բաժնում։
人物	կերպար; անձնավորություն	Վեպի կերպարները շատ իրական են։
人员	աշխատակիցներ; անձնակազմ	Աշխատակիցները արդեն բոլորը եկել են։
忍不住	չդիմանալ; իրեն չզսպել	Անեկդոտը լսելով՝ նա իրեն չզսպեց և ծիծաղեց։
日常	առօրյա	Սա իմ առօրյա աշխատանքն է։
日程	օրակարգ; ժամանակացույց	Այսօրվա օրակարգը շատ հագեցած է։
日历	օրացույց	Պատին օրացույց է կախված։
日期	ամսաթիվ	Խնդրում եմ, հստակ գրեք ամսաթիվը։
日用品	առօրյա ապրանքներ	Սուպերմարկետում շատ առօրյա ապրանքներ են վաճառում։
日子	օրեր; կյանք	Վերջին օրերին նա շատ զբաղված է։
如何	ինչպես	Մենք ինչպե՞ս պետք է լուծենք այս խնդիրը։
如今	այժմ; մեր օրերում	Այժմ տրանսպորտը շատ ավելի հարմար է։
软	փափուկ	Այս մահճակալը շատ փափուկ է։
软件	ծրագրակազմ	Այս ծրագրակազմը շատ հեշտ է օգտագործել։
弱	թույլ	Նրա մարմինը համեմատաբար թույլ է։
洒	թափել; ցանել	Նա անզգուշությամբ ջուրը թափեց։
嗓子	կոկորդ; ձայն	Կոկորդս մի քիչ ցավում է։
色彩	գունավորում; գույներ	Այս նկարի գույները շատ հարուստ են։
杀	սպանել	Այս ֆիլմում սպանության տեսարան չկա։
沙漠	անապատ	Անապատում ջուրը շատ թանկ է։
沙滩	ավազափ; լողափ	Երեխաները խաղում են ավազափին։
傻	հիմար; անխելք	Հիմար բան մի արա։
晒	արևի տակ չորացնել; արևահարվել	Հագուստը չորանում է պատշգամբում։
删除	ջնջել	Խնդրում եմ, ջնջեք այս նամակը։
闪电	կայծակ	Գիշերը կայծակ երևաց։
善良	բարի; բարեսիրտ	Նա բարի մարդ է։
善于	հմուտ լինել; լավ կարողանալ	Նա լավ կարողանում է խնդիրներ լուծել։
扇子	հովհար	Ամռանը ես հաճախ հովհար եմ օգտագործում։
伤害	վնասել; վիրավորել	Մի վիրավորիր ուրիշների զգացմունքները։
商品	ապրանք	Այս խանութում շատ ապրանքներ կան։
商务	գործարար; բիզնես	Նա վաղը մասնակցելու է գործարար ժողովի։
商业	առևտրային; բիզնես	Այս շրջանում առևտուրը շատ զարգացած է։
上当	խաբվել	Նա քիչ էր մնում խաբվեր։
蛇	օձ	Խոտերի մեջ մի օձ կա։
舍不得	ափսոսալ; չուզենալ բաժանվել	Ես չեմ ուզում հեռանալ այստեղից։
射击	կրակել; հրաձգություն	Նա հրաձգություն է մարզում։
摄影	լուսանկարչություն	Նա շատ է հետաքրքրվում լուսանկարչությամբ։
设备	սարքավորում	Լաբորատորիայի սարքավորումները շատ առաջադեմ են։
设计	դիզայն; նախագծել	Այս դիզայնը շատ ստեղծագործական է։
设施	հարմարություններ; կառույցներ	Դպրոցի սպորտային հարմարությունները շատ լավն են։
伸	երկարացնել; պարզել	Խնդրում եմ, ձեռքդ պարզիր։
深刻	խորը; տպավորիչ	Այս փորձը ինձ վրա խոր տպավորություն թողեց։
身材	կազմվածք	Նրա կազմվածքը առողջ է։
身份	ինքնություն; կարգավիճակ	Խնդրում եմ, ներկայացրեք անձը հաստատող փաստաթուղթ։
神话	առասպել	Երեխաները սիրում են առասպելական պատմություններ լսել։
神秘	խորհրդավոր	Այս հին քաղաքը շատ խորհրդավոր է։
升	լիտր; բարձրանալ	Նավթի գինը յուրաքանչյուր լիտրի համար մի քիչ բարձրացավ։
声调	հնչերանգ; տոն	Չինարենում չորս հիմնական տոն կա։
生产	արտադրել; արտադրություն	Այս գործարանը հեռախոսներ է արտադրում։
生动	կենդանի; պատկերավոր	Ուսուցիչը շատ պատկերավոր է պատմում։
生长	աճել	Այս բույսը շատ արագ է աճում։
绳子	պարան	Խնդրում եմ, տուփը պարանով լավ կապիր։
省略	բաց թողնել; կրճատել	Այստեղ կարելի է մի բառ բաց թողնել։
胜利	հաղթանակ	Նրանք վերջապես հաղթանակ տարան։
失眠	անքնություն ունենալ	Վերջերս նա հաճախ անքնություն ունի։
失去	կորցնել	Մի կորցրու վստահությունը։
失业	գործազուրկ դառնալ	Գործազուրկ դառնալուց հետո նա սկսեց նոր հմտություններ սովորել։
湿润	խոնավ	Անձրևից հետո օդը շատ խոնավ է։
狮子	առյուծ	Կենդանաբանական այգում երկու առյուծ կա։
诗	բանաստեղծություն	Նա մի բանաստեղծություն գրեց։
实话	ճշմարտություն	Խնդրում եմ, ճշմարտությունն ասա։
实践	պրակտիկա; գործնական փորձ	Տեսությունը պետք է ստուգել պրակտիկայով։
实习	պրակտիկա անցնել	Նա ամառային արձակուրդին հիվանդանոցում պրակտիկա է անցնում։
实现	իրականացնել	Նա վերջապես իրականացրեց իր երազանքը։
实验	փորձ; փորձարկում	Ուսանողները փորձ են անում։
实用	գործնական; օգտակար	Այս գործիքը շատ գործնական է։
时差	ժամային տարբերություն	Նա դեռ չի հարմարվել ժամային տարբերությանը։
时代	դարաշրջան; ժամանակաշրջան	Մենք ապրում ենք տեղեկատվության դարաշրջանում։
时刻	պահ; ակնթարթ	Խնդրում եմ, հիշիր այս կարևոր պահը։
时髦	նորաձև	Այս հագուստը շատ նորաձև է։
时期	ժամանակաշրջան	Համալսարանական շրջանը նրա վրա մեծ ազդեցություն ունեցավ։
时尚	նորաձևություն	Նա շատ է հետաքրքրվում նորաձևությամբ։
石头	քար	Ճանապարհի եզրին մի քար կա։
食物	սնունդ	Խնդրում եմ, սնունդը դրեք սառնարանի մեջ։
使劲儿	ուժ գործադրել	Այս շիշը բացելու համար պետք է ուժ գործադրել։
始终	միշտ; սկզբից մինչև վերջ	Նա միշտ հավատում էր, որ կարող է հաջողության հասնել։
事实	փաստ	Փաստերը ապացուցում են, որ նա ճիշտ է։
事物	բան; երևույթ	Երեխան շատ հետաքրքրասեր է նոր բաների նկատմամբ։
事先	նախօրոք	Խնդրում եմ, ժամանակը նախօրոք ասա ինձ։
似的	կարծես; նման	Նա այնքան հոգնած էր, կարծես ոչ մի բառ չէր ուզում ասել։
士兵	զինվոր	Զինվորները մարզվում են։
市场	շուկա	Այս շուկան շատ աշխույժ է։
试卷	քննական թերթ	Ուսուցիչը ուղղում է քննական թերթերը։
收获	ձեռքբերում; բերք	Այս ճանապարհորդությունից ես շատ բան ստացա։
收据	անդորրագիր	Վճարելուց հետո խնդրում եմ պահեք անդորրագիրը։
手工	ձեռագործ	Այս նվերը ձեռքով է պատրաստված։
手术	վիրահատություն	Բժիշկը վաղը նրան վիրահատելու է։
手套	ձեռնոց	Ձմռանը դուրս գալիս պետք է ձեռնոց հագնել։
手续	ձևակերպումներ	Ձևակերպումները կատարելու համար անձնագիր է պետք։
手指	մատ	Նրա մատը վնասվել է։
首	երգի կամ բանաստեղծության հաշվիչ բառ	Նա մի երգ երգեց։
受伤	վիրավորվել	Նա մրցման ժամանակ վիրավորվեց։
寿命	կյանքի տևողություն; ծառայության ժամկետ	Այս սարքի ծառայության ժամկետը երկար է։
书架	գրադարակ	Գրադարակի վրա լիքը գրքեր կան։
梳子	սանր	Նա սանրով սանրում է մազերը։
舒适	հարմարավետ	Այս սենյակը շատ հարմարավետ է։
蔬菜	բանջարեղեն	Շատ բանջարեղեն ուտելը օգտակար է առողջությանը։
输入	մուտքագրել	Խնդրում եմ, գաղտնաբառը մուտքագրեք համակարգչում։
熟练	վարժ; հմուտ	Նա կարողանում է համակարգիչը վարժ օգտագործել։
属于	պատկանել	Այս գիրքը պատկանում է գրադարանին։
数	հաշվել	Խնդրում եմ, հաշվի՛ր՝ քանի մարդ կա։
鼠标	մկնիկ	Իմ մկնիկը փչացել է։
数据	տվյալներ	Այս տվյալները շատ կարևոր են։
数码	թվային	Նա թվային ֆոտոխցիկ գնեց։
摔倒	ընկնել	Նա ճանապարհին ընկավ։
甩	թափ տալ; շպրտել	Նա ձեռքի ջուրը թափ տվեց։
双方	երկու կողմերը	Երկու կողմերն էլ համաձայնեցին այս ծրագրին։
税	հարկ	Գնումներ անելիս հարկ պետք է վճարել։
说不定	գուցե; հնարավոր է	Գուցե վաղը ձյուն գա։
说服	համոզել	Նա վերջապես համոզեց ծնողներին։
丝绸	մետաքս	Այս շարֆը մետաքսից է պատրաստված։
丝毫	ամենևին; մի փոքր անգամ	Նա ամենևին չփոխեց իր միտքը։
思考	մտածել; խորհել	Խնդրում եմ, լրջորեն մտածեք այս հարցի մասին։
思想	միտք; գաղափարներ	Նրա մտածելակերպը շատ բաց է։
撕	պատռել	Խնդրում եմ, այս թուղթը մի պատռեք։
私人	մասնավոր; անձնական	Սա իմ անձնական տարածքն է։
似乎	կարծես; թվում է	Նա կարծես այնքան էլ ուրախ չէ։
搜索	որոնել	Ես համացանցում նյութեր եմ որոնում։
宿舍	հանրակացարան	Ուսանողները ապրում են դպրոցի հանրակացարանում։
随身	իր հետ; մոտը	Խնդրում եմ, անձնագիրդ միշտ մոտդ պահիր։
随时	ցանկացած պահի	Դու կարող ես ցանկացած պահի զանգահարել ինձ։
随手	ձեռքի հետ; անմիջապես	Հեռանալիս խնդրում եմ դուռը փակիր։
碎	կոտրվել; մանրացած	Բաժակը ընկավ գետնին և կոտրվեց։
损失	կորուստ; վնաս	Այս վթարը մեծ վնաս պատճառեց։
缩短	կրճատել	Նոր երթուղին կրճատեց ճանապարհը։
所	հաստատության հաշվիչ բառ	Այս դպրոցը շատ հայտնի է։
锁	կողպել; կողպեք	Դուրս գալուց առաջ խնդրում եմ դուռը լավ կողպիր։
台阶	աստիճան	Ծեր մարդը դանդաղ բարձրացավ աստիճաններով։
太极拳	թայչի	Այգում մարդիկ թայչի են պարապում։
太太	տիկին; կին	Տիկին Վանը ճաշ է պատրաստում։
谈判	բանակցություն	Երկու կողմերը բանակցություններ են վարում։
坦率	անկեղծ; ուղիղ	Նա անկեղծորեն ասաց իր միտքը։
烫	շատ տաք; այրող	Այս թեյը շատ տաք է։
桃	դեղձ	Ծառի վրա շատ դեղձեր կան։
淘气	չարաճճի	Այս երեխան մի քիչ չարաճճի է։
逃	փախչել	Փոքր շունը բակից փախավ։
逃避	խուսափել	Մի խուսափիր պատասխանատվությունից։
讨价还价	սակարկել	Գնումներ անելիս նա սիրում է սակարկել։
套	հավաքածու; կոմպլեկտ	Նա նոր հագուստի հավաքածու գնեց։
特色	առանձնահատկություն	Այս ռեստորանը տեղական առանձնահատկություն ունի։
特殊	հատուկ; առանձնահատուկ	Այսօր հատուկ օր է։
特征	հատկանիշ; առանձնահատկություն	Այս կենդանին ակնհայտ հատկանիշներ ունի։
疼爱	սիրել ու փայփայել	Պապն ու տատը շատ են փայփայում երեխային։
提倡	քարոզել; խրախուսել	Դպրոցը խրախուսում է ջուր խնայել։
提纲	պլան; ուրվագիծ	Հոդված գրելուց առաջ նախ ուրվագիծ կազմիր։
提问	հարց տալ	Ուսանողները կարող են ցանկացած պահի հարց տալ։
题目	վերնագիր; խնդիր; հարց	Այս խնդիրը այնքան էլ դժվար չէ։
体会	զգացողություն; ըմբռնում	Ճանապարհորդության միջոցով ես նոր ըմբռնում ունեցա։
体贴	ուշադիր; հոգատար	Նա շատ հոգատար է ընտանիքի նկատմամբ։
体现	արտահայտել; ցույց տալ	Այս դեպքը արտահայտեց թիմային ոգին։
体验	փորձել; փորձառություն ունենալ	Ես ուզում եմ զգալ տեղական կյանքը։
天空	երկինք	Այսօր երկինքը շատ կապույտ է։
天真	միամիտ; անմեղ	Երեխայի մտքերը շատ միամիտ են։
调皮	չարաճճի	Այդ կատուն շատ չարաճճի է։
调整	կարգավորել; փոփոխել	Մենք պետք է ծրագիրը կարգավորենք։
挑战	մարտահրավեր	Սա շատ մեծ մարտահրավեր է։
通常	սովորաբար	Նա սովորաբար ժամը յոթին է արթնանում։
统一	միավորել; միասնականացնել	Բոլորի կարծիքները պետք է միասնականացնել։
痛苦	ցավոտ; տառապանք	Ընկերոջը կորցնելը նրան շատ ցավ պատճառեց։
痛快	հաճելի; լիաթոք	Այսօր իսկապես լավ զվարճացանք։
偷	գողանալ	Մի գողացիր ուրիշների իրերը։
投入	նվիրված; ներդնել ուժ	Նա շատ նվիրված է աշխատում։
投资	ներդրում անել	Նրանք նոր նախագծում ներդրում արեցին։
透明	թափանցիկ	Այս բաժակը թափանցիկ է։
突出	աչքի ընկնող; ընդգծված	Նրա առավելությունները շատ աչքի ընկնող են։
土地	հող	Այս հողը շատ բերրի է։
土豆	կարտոֆիլ	Ես մի քանի կարտոֆիլ գնեցի։
兔子	նապաստակ	Երեխան մի նապաստակ է պահում։
吐	փսխել	Նա իրեն վատ է զգում և ուզում է փսխել։
团	խումբ; տուրիստական խումբ	Մենք մի տուրիստական խմբի միացանք։
推辞	մերժել քաղաքավարի	Նա մերժեց ընկերոջ հրավերը։
推广	տարածել; առաջ մղել	Ընկերությունը տարածում է նոր արտադրանքը։
推荐	խորհուրդ տալ	Ուսուցիչը խորհուրդ տվեց այս գիրքը։
退	հետ գնալ; նահանջել	Խնդրում եմ, մեկ քայլ հետ գնացեք։
退步	հետընթաց ունենալ	Եթե չվարժվես, մակարդակդ հետ կգնա։
退休	թոշակի անցնել	Նա հաջորդ տարի թոշակի է անցնելու։
歪	ծուռ	Այս նկարը ծուռ է կախված։
外公	մոր հայրը; պապիկ	Իմ պապիկը այս տարի ութսուն տարեկան է։
外交	դիվանագիտություն	Նա սովորում է միջազգային հարաբերություններ և դիվանագիտություն։
完美	կատարյալ	Այս ծրագիրը կատարյալ չէ։
完善	կատարելագործել	Մենք պետք է կատարելագործենք ծառայության ընթացքը։
完整	ամբողջական	Խնդրում եմ, ինձ ամբողջական զեկույց տվեք։
玩具	խաղալիք	Երեխան խաղալիքները դրեց տուփի մեջ։
万一	եթե հանկարծ; հանկարծ	Եթե հանկարծ անձրև գա, ուրիշ օր կգնանք։
王子	արքայազն	Պատմության արքայազնը շատ քաջ է։
往返	գնալ-գալ; երկկողմանի	Այս տոմսով կարելի է նույն օրը գնալ և վերադառնալ։
网络	ցանց; համացանց	Այստեղի ցանցը շատ կայուն է։
危害	վնասել; վտանգել	Ծխելը վնասում է առողջությանը։
威胁	սպառնալ	Աղտոտումը սպառնում է գետերին։
微笑	ժպտալ	Նա ինձ ժպտաց։
唯一	միակ	Սա միակ միջոցն է։
围巾	շարֆ	Ձմռանը նա շարֆ է կրում։
围绕	շուրջը; կենտրոնանալ շուրջ	Քննարկումը ծավալվեց այս հարցի շուրջ։
维修	վերանորոգել; սպասարկել	Վերելակը վերանորոգվում է։
违反	խախտել	Այսպես անելն օրենքները խախտում է։
伟大	մեծ; վեհ	Սա մեծ հայտնագործություն է։
委屈	վիրավորված; անարդարացիորեն տուժած	Նա իրեն շատ վիրավորված զգաց։
尾巴	պոչ	Փոքր շունը պոչը թափահարում է։
位于	գտնվել	Դպրոցը գտնվում է քաղաքի կենտրոնում։
位置	տեղ; դիրք	Այս տեղը շատ հանգիստ է։
未必	պարտադիր չէ; գուցե ոչ	Նրա ասածը պարտադիր չէ, որ ճիշտ լինի։
未来	ապագա	Մենք պետք է պատրաստվենք ապագային։
胃	ստամոքս	Ստամոքսս մի քիչ անհարմար է։
胃口	ախորժակ	Այսօր նրա ախորժակը շատ լավ է։
温暖	տաք; ջերմ	Գարնան արևը շատ ջերմ է։
温柔	նուրբ; քնքուշ	Նա շատ նուրբ է խոսում։
文件	փաստաթուղթ	Խնդրում եմ, փաստաթուղթը ուղարկեք ինձ։
文具	գրենական պիտույքներ	Պայուսակում շատ գրենական պիտույքներ կան։
文明	քաղաքակիրթ; քաղաքակրթություն	Հերթ կանգնելը քաղաքակիրթ վարք է։
文学	գրականություն	Նա սիրում է չինական գրականությունը։
文字	գրեր; տեքստ	Այս գրերը շատ դժվար է կարդալ։
闻	հոտ առնել; լսել	Ես ծաղկի բույր զգացի։
吻	համբուրել	Մայրիկը համբուրեց երեխայի այտը։
稳定	կայուն	Գները կայուն են մնում։
问候	ողջույն փոխանցել	Խնդրում եմ, իմ ողջույնները փոխանցիր ընտանիքիդ։
卧室	ննջասենյակ	Ննջասենյակում մեծ մահճակալ կա։
握手	ձեռք սեղմել	Հանդիպելիս նրանք ձեռք սեղմեցին։
屋子	սենյակ; տուն	Սենյակում շատ տաք է։
无奈	անճար; անելանելի	Նա անճար գլուխը շարժեց։
无数	անհամար; անթիվ	Գիշերային երկնքում անհամար աստղեր կան։
无所谓	նշանակություն չունի; միևնույն է	Կարևոր չէ՝ ինչ ես ուզում ուտել։
武术	մարտարվեստ	Նա մանկուց մարտարվեստ է սովորում։
勿	մի՛	Խնդրում ենք, այստեղ մի՛ ծխեք։
物理	ֆիզիկա	Ֆիզիկայի դասը շատ հետաքրքիր է։
物质	նյութ	Ջուրը կարևոր նյութ է։
雾	մառախուղ	Առավոտյան խիտ մառախուղ կար։
吸取	դաս քաղել; յուրացնել	Մենք պետք է դաս քաղենք այս դեպքից։
吸收	կլանել; ներծծել	Բույսերը ջուր են կլանում։
戏剧	թատրոն; դրամա	Նա սիրում է ավանդական թատրոն դիտել։
系	ֆակուլտետ; բաժին	Նա սովորում է չինարենի բաժնում։
系统	համակարգ	Այս համակարգը կայուն է աշխատում։
细节	մանրամասներ; մանրուքներ	Խնդրում եմ, ուշադրություն դարձրու այս մանրամասներին։
瞎	կուրորեն; անհիմն	Մի՛ կուրորեն գուշակիր, նախ նայիր նյութերը։
下载	ներբեռնել	Ես ներբեռնել եմ այս ծրագիրը։
吓	վախեցնել	Հանկարծակի ձայնը ինձ վախեցրեց։
夏令营	ամառային ճամբար	Երեխան մասնակցեց չինարենի ամառային ճամբարին։
鲜艳	վառ; գունեղ	Այս զգեստի գույնը շատ վառ է։
显得	երևալ; թվալ	Այս հագուստը նրան ավելի երիտասարդ է ցույց տալիս։
显然	ակնհայտորեն; պարզ է	Ակնհայտ է, որ նա արդեն գիտի արդյունքը։
显示	ցույց տալ; ցուցադրել	Էկրանը սխալ ժամ է ցույց տալիս։
县	գավառ; շրջան	Այս գավառում շատ թեյի այգիներ կան։
现代	ժամանակակից	Ժամանակակից կյանքը անհնար է պատկերացնել առանց համացանցի։
现实	իրականություն	Մենք պետք է առերեսվենք իրականությանը։
现象	երևույթ	Այս երևույթը շատ տարածված է։
限制	սահմանափակել	Այստեղ մեքենաների մուտքը սահմանափակված է։
相处	յոլա գնալ; հարաբերություններ ունենալ	Նրանք շատ լավ են յոլա գնում։
相当	բավականին; համեմատաբար	Այս գիրքը բավականին հետաքրքիր է։
相对	համեմատաբար; հարաբերական	Այստեղ գները համեմատաբար էժան են։
相关	համապատասխան; առնչվող	Խնդրում եմ, տրամադրեք համապատասխան նյութերը։
相似	նման	Այս երկու նշանների իմաստները շատ նման են։
香肠	երշիկ	Նախաճաշին ձու և երշիկ կա։
享受	վայելել	Նրանք վայելում են արձակուրդը։
想念	կարոտել	Ես շատ եմ կարոտում ընտանիքիս։
想象	պատկերացնել; երևակայել	Ես չեմ կարող պատկերացնել այդպիսի կյանք։
象棋	չինական շախմատ	Պապիկը սիրում է չինական շախմատ խաղալ։
象征	խորհրդանշել; խորհրդանիշ	Սպիտակը հաճախ մաքրություն է խորհրդանշում։
项	կետ; միավոր	Այս առաջադրանքը շատ կարևոր է։
项链	վզնոց	Նա արծաթե վզնոց է կրում։
项目	նախագիծ; ծրագիր	Այս նախագիծը երեք ամիս է պահանջում։
消费	սպառում; ծախսել	Տոների ընթացքում սպառումն ավելացավ։
消化	մարսել; մարսողություն	Ուտելուց հետո զբոսնելը օգնում է մարսողությանը։
消极	բացասական; պասիվ	Խնդիրներին բացասական վերաբերմունքով մի՛ նայիր։
消失	անհետանալ	Արևը դանդաղ անհետացավ սարի հետևում։
销售	վաճառել; վաճառք	Այս ընկերությունը էլեկտրոնային ապրանքներ է վաճառում։
小麦	ցորեն	Հյուսիսում շատ ցորեն են ցանել։
小气	ժլատ; մանրախնդիր	Այդքան ժլատ մի՛ եղիր։
孝顺	ծնողասեր; ծնողներին հարգող	Նա շատ հարգալից է իր ծնողների հանդեպ։
