simplified	NO	example_NO
就业	sysselsetting	Regjeringen innførte tiltak for å fremme sysselsetting
就职	tiltre	Den nye lederen tiltrer offisielt neste uke
救济	nødhjelp	Katastrofeofrene fikk nødhjelp i tide
居民	beboer	Beboere i nærheten protesterer mot støyforurensning
居住	bo	De har bodd her i ti år
拘留	pågripse	Politiet pågrep den mistenkte etter loven
拘束	hemmet	Det er ikke nødvendig å føle seg hemmet foran venner
鞠躬	bukke	Skuespilleren bukket til publikum som takk
局部	lokal	Legen brukte bare lokalbedøvelse
局面	situasjon	Forhandlingene forbedret den spente situasjonen
局势	situasjon	Den internasjonale situasjonen er fortsatt kompleks
局限	begrensning	Denne metoden har tydelige begrensninger
举动	handling	Handlingen hans rørte alle
举世瞩目	vekke verdens oppmerksomhet	Dette prosjektet vekket verdens oppmerksomhet
举足轻重	avgjørende	Dette selskapet er avgjørende viktig i bransjen
咀嚼	tygge	Du bør tygge sakte når du spiser
沮丧	frustrert	Han følte seg svært frustrert etter å ha tapt kampen
剧本	et manus	Regissøren reviderer manuset
剧烈	kraftig	Bakken ristet kraftig
据悉	ifølge meldinger	Ifølge meldinger blir møtet utsatt til neste uke
聚精会神	konsentrere seg	Barna lyttet til timen med full konsentrasjon
卷	rulle sammen	Han rullet sammen kartet og la det i vesken
倔强	sta	Dette barnet har en sta karakter
决策	en beslutning	Ledelsen diskuterer en viktig beslutning
绝望	fortvilelse	Etter nederlaget følte han en stund fortvilelse
觉悟	bevissthet	Denne erfaringen økte bevisstheten hans
觉醒	våkne	Den offentlige miljøbevisstheten våkner
军队	hæren	Hæren kom raskt fram til katastrofeområdet
君子	en gentleman	En gentleman bør la ord og handling stemme
卡通	animasjonsfilm	Barnet liker å se animasjonsfilmer
开采	utvinne	Dette selskapet har ansvar for å utvinne mineraler
开除	utvise	Skolen bestemte seg for å utvise eleven som jukset
开阔	vid	Utsikten fra fjelltoppen er svært vid
开朗	utadvendt	Hun er utadvendt og har mange venner
开明	åpensinnet	Foreldrene har en åpensinnet holdning
开辟	åpne	Byen åpnet en ny bussrute
开拓	utvide	Selskapet planlegger å utvide til utenlandske markeder
开展	gjennomføre	Skolen gjennomførte en aktivitet om sikkerhetsopplæring
开支	utgifter	Familiens månedlige utgifter økte
刊登	publisere	Avisen publiserte artikkelen hans
刊物	en publikasjon	Denne publikasjonen kommer ut en gang i måneden
勘探	undersøke	Ingeniørteamet undersøker underjordiske vannkilder
侃侃而谈	snakke selvsikkert	Han snakket selvsikkert og lenge på møtet
砍伐	felle	Tilfeldig felling av skog er forbudt
看待	se på	Vi bør se objektivt på dette spørsmålet
慷慨	gavmild	Han donerte premiepengene sine gavmildt
抗议	protestere	Beboerne protesterte mot byggingen av en ny fabrikk
考察	undersøke	Eksperter dro til stedet for å undersøke miljøet
考古	arkeologi	Det arkeologiske teamet oppdaget gamle graver
考核	vurdere	Selskapet vurderer ansattes prestasjoner hvert år
考验	prøve	Denne krisen prøvde teamets evner
靠拢	nærme seg	Teammedlemmene nærmet seg midten
磕	støte	Han støtte ved et uhell borti bordhjørnet
科目	et fag	Matematikk er favorittfaget hans
可观	betydelig	Denne investeringen ga betydelig avkastning
可口	velsmakende	Maten på denne restauranten er velsmakende
可恶	avskyelig	Denne typen bedrag er virkelig avskyelig
可行	gjennomførbar	Denne planen er i hovedsak gjennomførbar
渴望	lengte etter	Barna lengter etter flere muligheter
克制	kontrollere	Du bør kontrollere følelsene dine under en krangel
刻不容缓	tåler ingen utsettelse	Å beskytte vannkilder tåler ingen utsettelse
客户	kunde	Kunden er svært fornøyd med tjenesten
课题	et tema	Dette temaet er verdt grundige studier
啃	gnage	Barnet gnager på en maiskolbe
恳切	oppriktig	Han ba oppriktig alle om hjelp
坑	en grop	Det er en dyp grop ved veien
空洞	tom	Denne rapporten er tom for innhold
空前绝后	uten sidestykke	Denne forestillingen kan kalles uten sidestykke
空想	fantasi	Bare å stole på fantasi kan ikke løse problemer
空虚	tom	Etter at travelheten var over, følte han seg tom
孔	et hull	Det er et lite hull i veggen
恐怖	skremmende	Den filmen har en skremmende stemning
恐吓	true	Den andre siden brukte trusler for å true vitnet
恐惧	frykt	Mørket fikk barnet til å føle frykt
空白	et blankt felt	Vennligst signer i det blanke feltet
空隙	en sprekk	Det er en sprekk mellom døren og gulvet
口气	tone	Tonen hans var svært hard
口腔	munnhule	Legen undersøkte munnhulen hans
口头	muntlig	De har bare en muntlig avtale
口音	aksent	Mandarinen hans har en svak aksent
扣	feste	Vennligst fest sikkerhetsbeltet
哭泣	gråte	Jenta gjemte seg i hjørnet og gråt
枯萎	visne	Mangel på vann fikk blomstene til å visne
枯燥	kjedelig	Dette arbeidet er litt kjedelig
苦尽甘来	motgang blir til lykke	Etter mange års utholdenhet ble motgang til slutt til lykke
苦涩	bitter	Denne medisinske teen smaker bittert og snerpende
挎	bære	Hun gikk ut med en tøypose på armen
跨	gå over	Han gikk over grøften og fortsatte framover
快活	glad	Barna lekte glade på gresset
宽敞	romslig	Dette klasserommet er lyst og romslig
宽容	toleranse	Samfunnet trenger mer forståelse og toleranse
款待	ta imot	Verten tok varmt imot gjestene
款式	stil	Dette plagget har en svært ny stil
筐	en kurv	Han bar en kurv med epler hjem
况且	dessuten	Veien er lang, og dessuten blir det mørkt
旷课	skulke	Elever som skulker uten grunn, blir registrert
框架	rammeverket	Rapporten må først få satt rammeverket
矿产	mineraler	Dette området er rikt på mineralressurser
亏待	behandle urettferdig	Selskapet vil ikke behandle ansatte som arbeider seriøst urettferdig
亏损	tap	Fabrikken hadde alvorlige tap i år
捆绑	binde	Vennligst bind disse eskene godt fast
扩充	utvide	Skolen planlegger å utvide bibliotekets samling
扩散	spre seg	Ryktet spredte seg raskt på nettet
扩张	ekspandere	Selskapet ekspanderer virksomheten forsiktig
啦	da	Ikke bekymre deg da, alt blir bedre
喇叭	bilhorn	Bilhornet lød plutselig
蜡烛	et stearinlys	Det sto stearinlys på bursdagskaken
来历	opphav	Opphavet til dette kulturminnet er uklart
来源	kilde	Nyheter må oppgi informasjonskilden
栏目	en spalte	Denne programspalten sendes en gang i uken
懒惰	latskap	Latskap kan påvirke læringsresultater
狼狈	forhutlet	Etter regnet var han gjennomvåt og så forhutlet ut
狼吞虎咽	sluke maten	Han var skrubbsulten og slukte maten
捞	fiske opp	Fiskeren fisket et garn opp av elven
唠叨	maser	Mor maser alltid om småting
牢固	solid	Konstruksjonen til denne broen er svært solid
牢骚	klager	Han har mange klager, men vil ikke endre seg
乐趣	glede	Lesing gir henne mye glede
乐意	villig	Jeg er villig til å hjelpe deg med å revidere CV-en
雷达	radarsystem	Radarsystemet oppdaget et fly i det fjerne
类似	lignende	Lignende problemer har oppstått før
冷酷	kald	Tonen hans hørtes veldig kald ut
冷落	forsømt	Den nye ansatte følte seg forsømt
冷却	kjøle seg ned	Maskinen må kjøle seg ned før reparasjon
愣	stivne	Da han hørte nyheten, stivnet han
黎明	daggry	Ved daggry våknet byen gradvis
理睬	bry seg om	Han var sint og brydde seg ikke om noen
理所当然	selvsagt	Ikke ta andres hjelp som noe selvsagt
理直气壮	med full trygghet	Med nok bevis snakket han med full trygghet
理智	fornuftig	Du bør være fornuftig når du møter konflikt
礼节	etikette	Ulike kulturer har ulik etikette
礼尚往来	gjengjelde høflighet	Naboer setter pris på å gjengjelde høflighet
里程碑	en milepæl	Denne suksessen er en milepæl for prosjektet
例外	unntak	Alle må delta, uten unntak
利害	interesser	Dette berører interessene til begge sider
力求	strebe etter	Vi streber etter å redusere feil til et minimum
力所能及	innenfor evne	Vennligst gjør det som ligger innenfor din evne
力争	jobbe hardt for	Teamet jobber hardt for å fullføre oppgaven før fristen
历代	tidligere generasjoner	Forskere fra tidligere generasjoner har studert dette spørsmålet
历来	alltid	Denne byen har alltid verdsatt utdanning
立场	standpunkt	Han la fram sitt standpunkt på møtet
立方	kubikk	Denne vanntanken rommer tre kubikkmeter
立交桥	en overgangsbro	Denne overgangsbroen lettet trafikkorken
立体	tredimensjonal	Dette maleriet har en sterk tredimensjonal effekt
立足	etablere seg	Bedrifter bør etablere seg i det lokale markedet
粒	et korn	Det ligger noen riskorn på bordet
廉洁	redelig	Offentlige tjenestemenn må være redelige og rene
联欢	en fest	Klassekameratene holdt en nyttårsfest
联络	kontakte	Vennligst kontakt kunden så snart som mulig
联盟	en allianse	Flere land dannet en handelsallianse
联想	minne om	Dette bildet minner meg om barndommen
连年	år etter år	Dette området har hatt flom år etter år
连锁	kjede	Dette selskapet driver kjedesupermarkeder
连同	sammen med	Vennligst send fakturaen sammen med kontrakten
良心	samvittighet	Man bør leve på en måte som ikke svikter samvittigheten
晾	tørke	Hun hengte klærne til tørk på balkongen
谅解	forståelse	Jeg håper du kan vise forståelse for våre vanskeligheter
辽阔	vidstrakt	Gressletten er vidstrakt og strekker seg så langt man kan se
列举	liste opp	Læreren listet opp tre eksempler
临床	klinisk	Denne medisinen gjennomgår kliniske forsøk
淋	bli gjennomvåt	Ikke bli gjennomvåt i regnet for lenge
吝啬	gjerrig	Han er aldri gjerrig overfor vennene sine
伶俐	kvikk	Denne lille jenta er kvikk og snarrådig
凌晨	tidlig om morgenen	Flyet tar av klokken tre tidlig om morgenen
灵感	inspirasjon	Musikk ga ham kreativ inspirasjon
灵魂	sjel	Frihet er sjelen i dette verket
灵敏	følsom	Dette instrumentet reagerer svært følsomt
零星	spredt	Det var spredte lys på nattehimmelen
领会	forstå	Han forsto raskt hva læreren mente
领事馆	et konsulat	Han dro til konsulatet for å ordne visum
领土	territorium	Hvert land verdsetter territoriell integritet
领悟	innse	Etter å ha opplevd nederlag innså han ansvar
领先	ligge foran	Teknologien deres ligger nå foran konkurrentenes
领袖	en leder	Denne lederen er dypt respektert av folket
溜	snike seg ut	Valpen snek seg ut gjennom sprekken i døren
流浪	vandre omkring	Han vandret en gang omkring fra sted til sted da han var ung
流露	komme til syne	Gleden kom til syne i ansiktet hennes
流氓	en bølle	Politiet tok flere gatebøller
流通	sirkulere	Denne valutaen sirkulerte en gang lokalt
留恋	være knyttet til	Ved eksamen følte alle seg knyttet til campus
留念	ta som minne	Vi tok bilder ved skoleporten som minne
留神	passe på	Du må passe på når du krysser veien
聋哑	døvstum	Skolen gir hjelp til døvstumme barn
隆重	høytidelig	Konferansen ble holdt høytidelig i auditoriet
垄断	monopolisere	Monopol kan skade markedskonkurransen
笼罩	dekke	Tung tåke dekket hele landsbyen
搂	omfavne	Moren omfavnet barnet forsiktig
炉灶	en komfyr	Komfyren på kjøkkenet må rengjøres
轮船	et skip	Skipet forlot havnen sakte
轮廓	kontur	Konturen av fjelltoppene i det fjerne er svært tydelig
轮胎	et dekk	Bildekkene må byttes
论坛	et forum	Eksperter holdt foredrag på forumet
论证	underbygge	Rapporten må underbygge argumentasjonen ytterligere
啰唆	masete	Slutt å være masete og kom rett til poenget
络绎不绝	i en jevn strøm	Besøkende kom til den gamle byen i en jevn strøm
落成	ferdigstilles	Den nye idrettshallen blir offisielt ferdigstilt i morgen
落实	iverksette	Møtet krevde at den nye politikken skulle iverksettes raskt
屡次	gjentatte ganger	Han minnet alle gjentatte ganger om å passe på sikkerheten
履行	oppfylle	Begge parter må oppfylle kontraktsforpliktelsene
掠夺	plyndre	Krigen førte til plyndring av ressurser
嘛	jo	Denne saken er jo enkel
麻痹	uforsiktig	Langvarig medgang kan lett gjøre folk uforsiktige
麻木	nummen	Kulden gjorde fingrene hans numne
麻醉	bedøve	Før operasjonen bedøvet legen pasienten
码头	en kai	Lasteskipet la til ved kaien
蚂蚁	en maur	Maurene bærer mat
埋伏	et bakhold	Soldatene lå i bakhold i dalen
埋没	oversett	Ikke la talentfulle mennesker bli oversett
埋葬	begrave	Landsbyboerne begravde den gamle mannen i åssiden
脉搏	puls	Sykepleieren måler pulsen hans
迈	ta et steg	Han tok et langt steg mot døren
埋怨	klage	Ikke klag alltid på andre
慢性	kronisk	Kroniske sykdommer krever langvarig behandling
漫长	lang	De gikk gjennom en lang ventetid
漫画	tegneserie	Denne tegneserien er svært populær blant unge
蔓延	spre seg	Brannen spredte seg raskt dypt inn i skogen
忙碌	travel	Slutten av året er selskapets travleste tid
盲目	blind	Investering bør ikke følge trender blindt
茫茫	vidstrakt	Båten forsvant ut i det vidstrakte havet
茫然	blank	Etter å ha hørt forklaringen så han fortsatt blank ut
冒充	utgi seg for	Noen utga seg for å være politibetjent for å lure folk for penger
冒犯	fornærme	Ordene mine var ikke ment å fornærme deg
茂盛	frodig	Trærne i hagen vokser frodig
媒介	medium	Internett er et viktig informasjonsmedium
枚	stykker	Han samlet flere minnemynter
美观	tiltalende	Dette designet er både praktisk og tiltalende
美满	lykkelig	De lever et lykkelig og fullverdig liv
美妙	fantastisk	Konserten ga en fantastisk opplevelse
萌芽	begynnelse	En ny idé begynte å spire
猛烈	voldsom	Stormen kom svært voldsomt
眯	myse	Solen var for sterk, så han myste
弥补	veie opp	En unnskyldning kan ikke fullt ut veie opp for tapet
弥漫	fylle	Lukten av blomster fylte gården
谜语	en gåte	Barn liker å gjette gåter
迷惑	forvirre	De kompliserte dataene gjorde ham forvirret
迷人	sjarmerende	Nattutsikten ved sjøen er svært sjarmerende
迷信	overtro	Naturfagsundervisning kan redusere overtro
密度	tetthet	Dette metallet har høy tetthet
密封	forsegle	Etter åpning, forsegl posen igjen
棉花	bomull	Bøndene plukker bomull
免得	for å unngå	Dra tidligere for å unngå å komme for sent
免疫	immunitet	Denne vaksinen kan forbedre immuniteten
勉励	oppmuntre	Læreren oppmuntrer ofte elevene til å fortsette å studere
勉强	motvillig	Han gikk motvillig med på denne ordningen
面貌	utseende	Byens utseende har endret seg mye
面子	ansikt	Han ville ikke miste ansikt offentlig
描绘	skildre	Romanen skildrer livet på landet
瞄准	sikte	Skytteren siktet mot målet
渺小	liten	Mennesker virker svært små overfor naturen
藐视	se ned på	Vi må ikke se ned på noen motstander
灭亡	gå til grunne	Dette dynastiet gikk til slutt mot undergang
蔑视	forakt	Tonen hans var full av forakt
民间	folkelig	Folkelig kunst trenger beskyttelse
民主	demokratisk	Møtet brukte demokratisk avstemning
敏捷	smidig	Utøverens bevegelser er svært smidige
敏锐	skarp	Journalister trenger skarp observasjonsevne
名次	plassering	Hun fikk en god plassering i konkurransen
名额	plass	Dette programmet har bare ti plasser
名副其实	ekte	Han er en ekte ekspert i både navn og virkelighet
名誉	omdømme	Denne saken skadet selskapets omdømme
明明	tydelig	Han visste tydelig svaret, men nektet å si det
明智	klok	Å utsette beslutningen var et klokt valg
命名	navngi	Forskerne navnga den nye arten
摸索	utforske	Teamet utforsker fortsatt nye metoder
摩擦	friksjon	Det oppsto handelsfriksjon mellom de to landene
模范	forbilde	Han er et forbilde for alle elevene på skolen
模式	en modell	Denne forretningsmodellen er svært vellykket
模型	en modell	Ingeniøren laget en bromodell
磨合	tilpasse seg	Det nye teamet trenger tid til å tilpasse seg hverandre
膜	en membran	Denne membranen kan filtrere urenheter
魔鬼	en djevel	Djevelen i historien er svært slu
魔术	magi	Barn liker å se trylleshow
抹杀	utslette	Bidraget hans kan ikke utslettes
墨水儿	blekk	Blekket i pennen er nesten brukt opp
莫名其妙	uforståelig	Reaksjonen hans fikk folk til å føle seg forvirret
默默	stille	Hun hjalp mange mennesker stille
谋求	søke	Bedriften søker nye utviklingsmuligheter
模样	utseende	Utseendet hans har endret seg mye nå
母语	morsmål	Barn lærer morsmålet sitt fra tidlig alder
沐浴	badet i	Landsbyen om morgenen var badet i sollys
目睹	være vitne til	Mange mennesker var vitne til ulykken
目光	blikk	Alles blikk var rettet mot scenen
拿手	spesialitet	Braisert fisk er spesialiteten hans
纳闷儿	undre seg	Jeg undret meg stadig over hvorfor han var sen
耐用	holdbar	Dette paret sko er svært holdbart
南辕北辙	mot sin hensikt	Tilnærmingen hans går mot hensikten
难得	sjelden	Dette er en sjelden mulighet
难堪	pinlig	Dette spørsmålet gjorde ham pinlig berørt
难能可贵	rosverdig	Å forbli ærlig under press er særlig rosverdig
恼火	irritert	Utstyret gikk i stykker igjen, og han ble svært irritert
内涵	innhold	Dette ordet har rikt kulturelt innhold
内幕	innsidehistorie	Reporteren prøvde å undersøke innsidehistorien bak hendelsen
内在	indre; iboende	Han verdsetter menneskers indre egenskaper høyere
能量	energi; krefter	Denne frokosten gir meg mye energi
拟定	utarbeide; formulere	Sekretæren utarbeider møteagendaen
逆行	kjøre mot kjøreretningen	Den bilen kjørte mot kjøreretningen i en enveiskjørt gate
年度	år; års-	Selskapet publiserte årsrapporten
捏	knipe; elte	Hun knep barnet forsiktig i kinnet
凝固	stivne; størkne	Etter avkjøling vil voksen langsomt stivne
凝聚	samle; forene	Et felles mål kan samle lagets styrke
凝视	stirre	Han stirret på lysene i det fjerne
拧	vri; klype	Han knep meg i armen med hånden
宁肯	heller	Hun vil heller mislykkes enn å gi opp prinsippene sine
宁愿	heller	Jeg vil heller gå enn å vente på bussen
扭转	snu; vende	Den nye politikken snudde den tapsbringende situasjonen
纽扣儿	en knapp	Denne skjorten mistet en knapp
农历	månekalenderen	Vårfesten feires etter månekalenderen
浓厚	sterk; dyp	Han har sterk interesse for historie
奴隶	en slave	Slaveri fantes i oldtidens samfunn
挪	flytte	Flytt stolen litt til siden
虐待	mishandle	Loven forbyr mishandling av barn
哦	å; aha	Å, nå forstår jeg endelig
殴打	banke opp; mishandle	Politiet arresterte personen som banket opp en forbipasserende
偶像	et idol; et forbilde	Hun ser på den forfatteren som et forbilde
呕吐	kaste opp	Han begynte å kaste opp etter å ha spist bedervet mat
趴	ligge på magen	Kattungen lå på magen i vinduskarmen og sov
徘徊	nøle; vandre fram og tilbake	Han vandret lenge fram og tilbake ved døren
排斥	avvise; utelukke	Det nye materialet støter bort fuktighet
排除	utelukke; fjerne	Legen utelukket først alvorlig sykdom
排放	utslipp	Fabrikker må redusere utslippene
排练	øve; en prøve	Skuespillerne øver på et nytt program
派别	en fraksjon; en retning	Det finnes ulike fraksjoner i denne organisasjonen
派遣	sende; utsende	Selskapet sendte ingeniører til stedet
攀登	klatre; bestige	De planlegger å bestige snøfjellet i morgen
盘旋	sirkle; kretse	Flyet sirklet over flyplassen
判决	en dom	Retten kunngjorde dommen i dag
畔	ved bredden	Barna gikk langs innsjøbredden
庞大	enorm; svært stor	Dette prosjektet krever enorme midler
抛弃	forlate; gi opp	Han er ikke villig til å gi opp drømmen sin
泡沫	skum; boble	Det er mye hvitt skum i koppen
培育	dyrke fram; oppdra	Skolen arbeider for å dyrke elevenes ansvarsfølelse
配备	utstyre	Den nye bilen er utstyrt med et sikkerhetssystem
配偶	en ektefelle	Søknadsskjemaet krever opplysninger om ektefelle
配套	komplett; tilhørende	Boligområdet har komplette fasiliteter
盆地	et dalbasseng	Dette dalbassenget er svært varmt om sommeren
烹饪	matlaging	Matlaging krever tålmodighet og erfaring
捧	holde med begge hender	Hun holdt en blomsterbukett med begge hender
劈	kløyve; hogge	Arbeideren kløyvde ved med øks
批发	engros	Denne butikken driver hovedsakelig med fruktengros
批判	kritisere	Artikkelen kritiserte dette feilaktige synet
疲惫	utslitt	Alle var utslitte etter den lange reisen
疲倦	trøtt	Sammenhengende arbeid gjorde ham trøtt
皮革	lær	Denne vesken er laget av lær
屁股	en rumpe	Barnet fikk vondt i rumpa etter fallet
譬如	for eksempel	For eksempel kan vi gjøre en liten test først
偏差	avvik; skjevhet	Det er et tydelig avvik i forsøksresultatene
偏见	en fordom	Vi bør unngå etniske fordommer
偏僻	avsides	Denne landsbyen ligger svært avsides
偏偏	akkurat; uheldigvis	Jo mer stresset jeg var, desto tregere gikk bilen
片断	et utdrag; et fragment	Det finnes flere flotte utdrag i filmen
片刻	et øyeblikk	Vent her et øyeblikk på meg
漂浮	flyte; drive	Falne blader fløt på vannet
飘扬	vaie; blafre	Nasjonalflagget vaiet i vinden
撇	kaste bort; en venstreskrå strek	Han kastet den gamle planen til side
拼搏	kjempe; streve	Unge mennesker bør kjempe for idealene sine
拼命	av alle krefter	Han jaget laget foran av alle krefter
贫乏	mangelfull; fattig	Innholdet i denne artikkelen er ganske tynt
贫困	fattigdom; fattig	Myndighetene hjelper fattige familier
频繁	hyppig	Trafikkulykker har vært hyppige her i det siste
频率	en frekvens	Frekvensen til denne lyden er svært høy
品尝	smake	Gjestene smaker på lokal mat
品德	moral; karakter	Skolen verdsetter elevenes moralske dannelse
品质	kvalitet	Kvaliteten på selskapets produkter er stabil
品种	en sort; en variant	Det finnes mange fruktsorter på markedet
屏幕	en skjerm	Senk lysstyrken på skjermen
屏障	en barriere	Skogen er en viktig barriere mot vind
平凡	vanlig; ordinær	Han arbeidet i mange år i en vanlig stilling
平面	et plan; plantegning	Designeren tegnet en plantegning av huset
平坦	flat; jevn	Denne veien er svært jevn
平行	parallell	Disse to linjene er parallelle med hverandre
平庸	middelmådig	Han er ikke fornøyd med å leve et middelmådig liv
平原	en slette	Toget passerte en vidstrakt slette
评估	vurdere; evaluere	Eksperter vurderer risikoene i prosjektet
评论	kommentere; en kommentar	Lesere kan kommentere under artikkelen
坡	en bakke; en skråning	Bilen kjørte sakte opp bakken
泼	sprute; helle	Ikke sprut vannet på gulvet
颇	ganske; nokså	Dette resultatet er ganske overraskende
破例	gjøre et unntak	Lederen gjorde et unntak og godkjente søknaden hans
迫不及待	utålmodig; kunne ikke vente	Barna kunne ikke vente med å åpne gavene
迫害	forfølge; undertrykke	Mange mennesker ble forfulgt gjennom historien
魄力	handlekraft; mot	Ledere trenger handlekraft til å ta beslutninger
扑	kaste seg; storme mot	Barnet kastet seg plutselig i armene på moren
铺	legge; bre ut	Arbeiderne legger et nytt teppe
普及	utbredt; popularisere	Internett er allerede blitt utbredt i byene
朴实	enkel; jordnær	Språket hans er enkelt og oppriktig
朴素	enkel; nøktern	Hun liker en enkel livsstil
瀑布	en foss	Turistene sto ved fossen og tok bilder
凄凉	øde; trist	Fjellandsbyen så svært øde ut om vinteren
期望	forventning; håp	Foreldre har høye forventninger til barna sine
期限	en frist	Registreringsfristen er denne fredagen
欺负	mobbe; plage	Eldre barn bør ikke mobbe yngre barn
欺骗	lure; bedra	Den falske reklamen lurte forbrukerne
奇妙	vidunderlig; fantastisk	Naturen har mange vidunderlige fenomener
旗袍	en qipao; en kinesisk kjole	Hun hadde på seg en rød qipao på kveldsfesten
旗帜	et flagg	Fargerike flagg vaiet på torget
歧视	diskriminere; diskriminering	Loven forbyr enhver form for diskriminering
齐全	komplett	Denne butikken har et komplett utvalg av verktøy
齐心协力	samarbeide; trekke sammen	Alle samarbeidet om å fullføre oppgaven
乞丐	en tigger	En gammel tigger satt ved veikanten
企图	forsøk; forsøke	Han forsøkte å skjule den virkelige situasjonen
启程	legge ut på reisen	Delegasjonen legger ut tidlig i morgen
启蒙	grunnleggende opplæring	Denne boken passer til barns første lesing
启事	en kunngjøring; et oppslag	Et rekrutteringsoppslag ble hengt opp ved skoleporten
启示	lærdom; innsikt	Dette nederlaget ga oss en viktig lærdom
岂有此理	absurd; urimelig	Denne typen gebyr er virkelig absurd
起草	utarbeide; lage et utkast	Advokaten utarbeider kontrakten
起初	til å begynne med	Til å begynne med trodde han ikke på nyheten
起伏	stige og falle; bølger	Fjellveien stiger og faller med terrenget
起哄	lage bråk; rope i kor	Elever bør ikke lage bråk i timen
起码	i det minste	I det minste bør du varsle meg på forhånd
起源	opprinnelse; stamme fra	Denne festivalen stammer fra oldtiden
器材	utstyr	Laboratoriet trenger nytt undervisningsutstyr
器官	et organ	Hjertet er et viktig organ i menneskekroppen
气概	ånd; storsinn	Dette diktet viser heltemodig ånd
气功	qigong	Bestefar trener qigong hver morgen
气魄	storartet stil; dristighet	Denne broen har en imponerende stil
气色	ansiktsfarge; teint	Etter hvile så ansiktsfargen hans mye bedre ut
气势	driv; kraft	Laget hadde sterkt driv fra starten
气味	lukt; duft	Det luktet ristet brød på kjøkkenet
气象	meteorologi; værforhold	Værforholdene på dette platået endrer seg raskt
气压	lufttrykk	Et fall i lufttrykket kan føre til regn
气质	temperament	Hun har et rolig temperament
迄今为止	hittil; så langt	Så langt har forsøket gått jevnt framover
掐	plukke; klype	Hun plukket en liten blomst
恰当	passende	Svaret ditt er svært passende
恰到好处	akkurat passe	Sødmen i denne retten er akkurat passe
恰巧	tilfeldigvis; akkurat	Det begynte tilfeldigvis å regne da jeg kom til stasjonen
洽谈	forhandle; drøfte	De to sidene drøfter detaljene i samarbeidet
千方百计	på alle mulige måter	De prøvde på alle mulige måter å finne en løsning
牵	lede; holde i hånden	Moren holdt barnet i hånden da de krysset veien
牵扯	involvere; trekke inn	Denne saken involverer mange avdelinger
牵制	holde tilbake; binde opp	Motstanderens forsvar holdt angrepet tilbake
签署	undertegne	De to selskapene undertegnet en avtale
谦逊	beskjeden; ydmyk	Han forble beskjeden etter suksessen
迁就	tilpasse seg; føye	Foreldre kan ikke alltid føye barna sine
迁徙	migrere; trekke	Trekkfugler flytter med årstidene hvert år
前景	utsikter	Denne bransjen har gode utsikter
前提	en forutsetning	Tillit er en forutsetning for samarbeid
潜力	potensial	Denne eleven har stort potensial
潜水	dykke	De dro til kysten for å lære å dykke
潜移默化	påvirke umerkelig	Familiemiljøet kan påvirke barn umerkelig
谴责	fordømme	Det internasjonale samfunnet fordømte volden
抢劫	rane; ran	Politiet tok den mistenkte som ranet banken
强制	tvinge; håndheve	Den nye regelen tvinger sjåfører til å bruke sikkerhetsbelte
强迫	tvinge	Ikke tving barn til å gjøre ting de misliker
抢救	redde; akuttbehandle	Legene prøver å redde den skadde arbeideren
桥梁	en bro	Språk er en bro for kulturell utveksling
窍门	et triks; en metode	Det finnes noen triks for å lære uttale
翘	løfte; vippe	Han løftet den ene foten opp på stolen
切实	praktisk; gjennomførbar	Vi trenger en praktisk og gjennomførbar plan
锲而不舍	utholdende; gi ikke opp	Han studerte dette problemet med utholdenhet
亲密	nær; fortrolig	De har alltid beholdt et nært forhold
亲热	varm; kjærlig	Den gamle hilste gjestene varmt
侵犯	krenke; bryte mot	Denne handlingen krenket personlig privatliv
侵略	invasjon; aggresjon	Folket motsetter seg enhver form for invasjon
钦佩	beundre	Jeg beundrer motet hennes sterkt
勤俭	flittig og sparsommelig	Bestemor drev husholdningen flittig og sparsommelig hele livet
勤劳	flittig	Flittige mennesker kan alltid skape muligheter
倾听	lytte oppmerksomt	Læreren lyttet nøye til elevenes meninger
倾向	tendens; helle mot	Unge forbrukere har en tendens til å handle på nettet
倾斜	helle; skråne	Etter det kraftige regnet begynte muren å helle
清澈	klar; gjennomsiktig	Bekken i fjellet er svært klar
清晨	tidlig morgen	Luften tidlig om morgenen er spesielt frisk
清除	fjerne	Arbeiderne fjernet snøen fra veien
清洁	ren	Sykehus må holde miljøet rent
清理	rydde; gå gjennom	Vi ryddet lageret i helgen
清晰	klar; tydelig	Dette bildet er svært tydelig
清醒	klar i hodet; våken	Etter å ha drukket kaffe ble han mye mer våken
清真	halal; muslimsk	Det finnes en halalrestaurant i nærheten
情报	etterretning; informasjon	Reporteren fikk tak i viktig informasjon
情节	handling; plott	Handlingen i romanen er svært intens
情理	fornuft; rimelighet	Forespørselen hans er urimelig
情形	situasjon; omstendigheter	Situasjonen på stedet var mer kompleks enn ventet
晴朗	klar og solrik	Himmelen er spesielt klar i dag
请柬	et invitasjonskort	De sendte bryllupsinvitasjoner til slekt og venner
请教	rådføre seg med	Jeg vil gjerne rådføre meg med deg om et spørsmål
请示	be om instruks	Først må denne saken rapporteres til lederen for instruks
请帖	et invitasjonskort	Et bursdagsinvitasjonskort lå på bordet
丘陵	åser	Dette området har mange åser
区分	skille; skjelne	Barnet kan allerede skille venstre fra høyre
区域	et område	Parkering er forbudt i dette området
屈服	gi etter; overgi seg	Han ga ikke etter for press
曲折	kronglete; komplisert	De gikk gjennom kompliserte forhandlinger
