simplified	KK	example_KK
网络	интернет	Мұндағы интернет байланысы өте тұрақты.
危害	зиян келтіру	Темекі шегу денсаулыққа зиян келтіреді.
威胁	қауіп төндіру	Ластану өзенге қауіп төндіріп тұр.
微笑	күлімдеу	Ол маған күлімдеп қарады.
唯一	жалғыз	Бұл жалғыз жол.
围巾	мойынорағыш	Қыста ол мойынорағыш тағады.
围绕	төңірегінде	Талқылау осы мәселе төңірегінде жүрді.
维修	жөндеу	Лифт жөнделіп жатыр.
违反	бұзу	Бұлай істеу ережені бұзады.
伟大	ұлы	Бұл ұлы жаңалық.
委屈	ренжу	Ол қатты ренжіді.
尾巴	құйрық	Күшік құйрығын бұлғап тұр.
位于	орналасу	Мектеп қала орталығында орналасқан.
位置	орын	Бұл орын өте тыныш.
未必	міндетті емес	Оның айтқаны міндетті түрде шын емес.
未来	болашақ	Біз болашаққа дайындалуымыз керек.
胃	асқазан	Асқазаным сәл жайсыз.
胃口	тәбет	Бүгін оның тәбеті жақсы.
温暖	жылы	Көктемгі күн сәулесі өте жылы.
温柔	нәзік	Ол өте нәзік сөйлейді.
文件	құжат	Құжатты маған жіберіңіз.
文具	кеңсе заттары	Сөмкеде кеңсе заттары көп.
文明	мәдениетті	Кезекте тұру - мәдениетті әрекет.
文学	әдебиет	Ол Қытай әдебиетін ұнатады.
文字	жазу	Бұл жазуларды оқу қиын.
闻	иіскеу	Мен гүлдің иісін сездім.
吻	сүю	Анасы баласының бетінен сүйді.
稳定	тұрақты	Бағалар тұрақты болып тұр.
问候	сәлем айту	Отбасыңа менің сәлемімді айт.
卧室	жатын бөлме	Жатын бөлмеде үлкен төсек бар.
握手	қол алысу	Кездескенде олар қол алысты.
屋子	бөлме	Бөлменің іші жылы.
无奈	амалсыз	Ол амалсыз басын шайқады.
无数	сансыз	Түнгі аспанда сансыз жұлдыз бар.
无所谓	бәрібір	Не жегің келсе де, бәрібір.
武术	жекпе-жек өнері	Ол бала кезінен жекпе-жек өнерін үйренген.
勿	болмайды	Мұнда темекі шегуге болмайды.
物理	физика	Физика сабағы өте қызық.
物质	зат	Су - маңызды зат.
雾	тұман	Таңертең қалың тұман болды.
吸取	сабақ алу	Біз бұл оқиғадан сабақ алуымыз керек.
吸收	сіңіру	Өсімдіктер суды сіңіреді.
戏剧	драма	Ол дәстүрлі драманы көргенді ұнатады.
系	факультет	Ол қытай тілі факультетінде оқиды.
系统	жүйе	Бұл жүйе тұрақты жұмыс істейді.
细节	ұсақ-түйек	Осы ұсақ-түйектерге назар аударыңыз.
瞎	беталды	Беталды болжама, алдымен материалдарды қара.
下载	жүктеп алу	Мен бұл бағдарламаны жүктеп алдым.
吓	шошыту	Кенет шыққан дыбыс мені шошытты.
夏令营	жазғы лагерь	Бала қытай тілі жазғы лагеріне қатысты.
鲜艳	ашық түсті	Бұл көйлектің түсі өте ашық.
显得	көрсету	Бұл киім оны өте жас көрсетеді.
显然	анық	Анық, ол нәтижені біліп қойды.
显示	көрсету	Экран уақытты қате көрсетіп тұр.
县	уезд	Бұл уезде шай бақтары көп.
现代	заманауи	Заманауи өмір интернетсіз болмайды.
现实	шындық	Біз шындықпен бетпе-бет келуіміз керек.
现象	құбылыс	Бұл құбылыс өте жиі кездеседі.
限制	шектеу	Мұнда көліктің кіруі шектелген.
相处	тіл табысу	Олар бір-бірімен жақсы тіл табысады.
相当	едәуір	Бұл кітап едәуір қызық.
相对	салыстырмалы	Мұндағы бағалар салыстырмалы түрде арзан.
相关	қатысты	Қатысты материалдарды беріңіз.
相似	ұқсас	Бұл екі иероглифтің мағынасы өте ұқсас.
香肠	шұжық	Таңғы аста жұмыртқа мен шұжық бар.
享受	ләззат алу	Олар демалыстан ләззат алып жүр.
想念	сағыну	Мен отбасымды қатты сағындым.
想象	елестету	Мен ондай өмірді елестете алмаймын.
象棋	қытай шахматы	Атам қытай шахматын ойнағанды ұнатады.
象征	білдіру	Ақ түс көбіне тазалықты білдіреді.
项	тапсырма	Бұл тапсырма өте маңызды.
项链	алқа	Ол күміс алқа тағып алған.
项目	жоба	Бұл жобаға үш ай керек.
消费	тұтыну	Мереке кезінде тұтыну артты.
消化	ас қорыту	Тамақтан кейін серуендеу ас қорытуға көмектеседі.
消极	теріс	Мәселеге теріс көзқараспен қарамаңыз.
消失	жоғалу	Күн таудың артына баяу жоғалды.
销售	сату	Бұл компания электрондық өнімдер сатады.
小麦	бидай	Солтүстікте көп бидай егілген.
小气	сараң	Мұнша сараң болма.
孝顺	ата-анасын сыйлау	Ол ата-анасын қатты сыйлайды.
效率	тиімділік	Бұлай істеу тиімділікті арттырады.
歇	демалу	Алдымен біраз демалайық.
斜	көлбеу	Бұл жол сәл көлбеу.
写作	жазу	Жазуға ұзақ уақыт жаттығу керек.
心理	психологиялық	Емтихан алдында психологиялық күйіңді реттеу керек.
心脏	жүрек	Жүрек саулығы өте маңызды.
欣赏	тамашалау	Біз әдемі көріністі тамашаладық.
信号	сигнал	Мұнда ұялы телефон сигналы нашар.
信任	сенім	Достар арасында сенім керек.
形成	қалыптасу	Жақсы әдеттер біртіндеп қалыптасады.
形容	сипаттау	Бұл сезімді қалай сипаттауды білмеймін.
形势	жағдай	Қазіргі жағдай біршама күрделі.
形式	форма	Жиналыс онлайн форматта өтуі мүмкін.
形象	бейне	Оның қоғамдық бейнесі жақсы.
形状	пішін	Бұл қораптың пішіні өте ерекше.
行动	әрекет ету	Біз дереу әрекет етуіміз керек.
行人	жаяу жүргінші	Жолдан өткенде жаяу жүргіншілерге назар аударыңыз.
行为	мінез-құлық	Мұндай мінез-құлық әдепсіз.
幸亏	абырой болғанда	Абырой болғанда, сен маған ескерттің.
幸运	бақытты	Ол жұмыс тапқанына бақытты болды.
性质	сипат	Бұл мәселенің сипаты өте ауыр.
兄弟	ағайынды	Екі ағайындының қарым-қатынасы жақсы.
胸	кеуде	Оның кеудесі сәл қысылып тұр.
休闲	демалыс	Демалыс күндері тынығуға жақсы уақыт.
修改	түзету	Бұл мақаланы түзетіңіз.
虚心	ашық көңілмен	Біз пікірлерді ашық көңілмен тыңдауымыз керек.
叙述	баяндау	Ол болған оқиғаны анық баяндады.
宣布	жариялау	Мектеп жаңа ережелерді жариялады.
宣传	насихаттау	Олар қоршаған ортаны қорғау білімін насихаттап жүр.
学历	білім деңгейі	Бұл жұмыс бакалавр білім деңгейін талап етеді.
学术	ғылыми	Бұл жиналыста ғылыми мәселелер талқыланады.
学问	білім	Ол өте білімді.
血	қан	Оның қолынан аздап қан шықты.
寻找	іздеу	Біз жаңа әдіс іздеп жатырмыз.
询问	сұрау	Ол мұғалімнен емтихан уақытын сұрады.
训练	жаттығу	Спортшы күн сайын жаттығуды жалғастырады.
迅速	тез	Хабар тез тарады.
押金	кепілақы	Үй жалдау үшін кепілақы төлеу керек.
牙齿	тіс	Күн сайын тісіңізді жақсы күтіңіз.
严肃	байсалды	Мұғалімнің жүзі өте байсалды.
延长	ұзарту	Жиналыс жарты сағатқа ұзартылды.
演讲	сөз сөйлеу	Ол ертеңгі сөзін дайындап жатыр.
宴会	банкет	Олар бір банкетке қатысты.
阳台	балкон	Балконда бірнеше құмыра гүл тұр.
痒	қышу	Қолым сәл қышып тұр.
样式	үлгі	Бұл үлгі өте танымал.
腰	бел	Ұзақ отырсаң, белің ауырады.
摇	шайқау	Жел бұтақтарды ары-бері шайқады.
咬	тістеу	Бұл ит адамды тістемейді.
要不	әйтпесе	Әйтпесе ертең қайта барайық.
业务	бизнес	Компанияның бизнесі барған сайын көбейіп жатыр.
业余	бос уақытта	Ол бос уақытында фотография оқиды.
夜	түн	Түнде көшеде өте тыныш.
依然	әлі де	Ол әлі де Бейжіңде тұрады.
一辈子	өмір бойы	Ол өмір бойы музыканы жақсы көрді.
一旦	бір рет	Бір рет шешім қабылдасаң, табанды болу керек.
一律	бәрі	Жиналыс кезінде телефондардың бәрі өшірілуі керек.
一再	қайта-қайта	Ол бізге қауіпсіздікке назар аударуды қайта-қайта ескертті.
一致	бірдей	Барлығының пікірі толық бірдей.
疑问	сұрақ	Бұл жауапқа қатысты менде сұрақ бар.
移动	жылжыту	Үстелді сәл жылжытыңыз.
移民	көшіп бару	Олар шетелге көшіп баруды жоспарлап отыр.
遗憾	өкініш	Сені көре алмағаныма өкініш білдіремін.
乙	екінші тарап	Келісімшартта екінші тарап төлем жасауға жауапты.
以及	және	Мен кітап және кеңсе заттарын сатып алдым.
以来	бері	Оқуды бітіргелі бері ол Бейжіңде жұмыс істеп келеді.
义务	міндет	Қоршаған ортаны қорғау - әр адамның міндеті.
亿	миллиард	Бұл елдің халқы бір миллиардтан асады.
意外	күтпеген жағдай	Бұл жолы кешігу толық күтпеген жағдай болды.
意义	мағына	Бұл іс-шараның мағынасы зор.
议论	талқылау	Барлығы осы істі талқылап жатыр.
因而	сондықтан	Ол тырысып оқиды, сондықтан бағалары жақсы.
因素	фактор	Ауа райы - маңызды фактор.
银	күміс	Ол күміс білезік тағып алған.
印刷	басылу	Бұл кітап өте анық басылған.
英俊	сымбатты	Ол өте сымбатты.
英雄	қаһарман	Өрт сөндірушілер - нағыз қаһармандар.
营养	қорек	Таңғы аста жеткілікті қорек болуы керек.
营业	жұмыс істеу	Бұл дүкен сағат тоғызда жұмысын бастайды.
迎接	қарсы алу	Біз қонақтарды қарсы алу үшін әуежайға бардық.
影子	көлеңке	Көше шамының астында оның көлеңкесі бар.
应付	шешу	Ол бұл мәселені шеше алады.
应用	қолдану	Бұл әдісті оқытуда қолдануға болады.
硬	қатты	Бұл орындық тым қатты.
硬件	жабдық	Бұл компьютердің жабдығы жақсы.
拥抱	құшақтау	Бала жүгіріп барып анасын құшақтады.
拥挤	адам көп	Таңғы қарбаласта метро өте адамға толы.
勇气	батылдық	Оның қателігін мойындауға батылдығы бар.
用功	ынтамен оқу	Ол өте ынтамен оқиды.
用途	қолданыс	Бұл материалдың қолданысы кең.
优惠	жеңілдік	Бұл дүкенде бүгін жеңілдік бар.
优美	көркем	Мұндағы орта өте көркем.
优势	артықшылық	Оның артықшылығы - тәжірибесінің молдығы.
悠久	ұзақ	Қытайдың тарихы ұзақ.
油炸	майға қуыру	Мен майға қуырылған тағамды сирек жеймін.
游览	аралау	Біз ертең Тыйым салынған қаланы аралаймыз.
犹豫	екі ойлы болу	Ол біраз екі ойлы болып барып жауап берді.
有利	пайдалы	Бұл шарт бізге пайдалы.
幼儿园	балабақша	Бала келесі жылы балабақшаға барады.
娱乐	көңіл көтеру	Кино көру - көңіл көтерудің бір түрі.
与其	одан гөрі	Шағымданғаннан гөрі әрекет еткен дұрыс.
语气	дауыс ырғағы	Оның дауыс ырғағы өте жұмсақ.
玉米	жүгері	Кешкі асқа жүгері сорпасы бар.
预报	болжам	Ауа райы болжамы ертең жаңбыр жауады дейді.
预订	алдын ала брондау	Мен қонақүйді алдын ала брондап қойдым.
预防	алдын алу	Қолды жиі жуу суық тиюдің алдын алады.
元旦	Жаңа жыл	Жаңа жыл күні біз бір күн демаламыз.
原料	шикізат	Нанның негізгі шикізаты - ұн.
原则	қағида	Адамда қағида болуы керек.
员工	қызметкер	Компанияда үш жүз қызметкер бар.
圆	дөңгелек	Ай үлкен әрі дөңгелек.
愿望	тілек	Оның тілегі - әлемді аралау.
乐器	музыкалық аспап	Ол бірнеше музыкалық аспапта ойнай алады.
晕	бас айналу	Қайыққа мінгенде басым сәл айналады.
运气	сәттілік	Бүгін менің сәттілігім жаман емес.
运输	тасымалдау	Бұл тауарларды теміржолмен тасымалдау керек.
运用	қолдану	Бұл сөздерді икемді қолданыңыз.
灾害	апат	Су тасқыны - табиғи апаттың бір түрі.
再三	қайта-қайта	Мұғалім бізге қайталауды қайта-қайта ескертті.
在乎	мән беру	Ол достарының пікіріне қатты мән береді.
在于	байланысты	Табыс табандылыққа байланысты.
赞成	қолдау	Мен сенің ұсынысыңды қолдаймын.
赞美	мадақтау	Барлығы оның батылдығын мадақтады.
糟糕	нашар	Бүгін ауа райы шынымен нашар.
造成	себеп болу	Қатты жаңбыр көлік кептелісіне себеп болды.
则	онда	Тырыссаң, онда ілгерілеу болады.
责备	кінәлау	Мұғалім оны кінәлаған жоқ.
摘	үзіп алу	Ол бақтан бір гүл үзіп алды.
窄	тар	Бұл жол тым тар.
粘贴	жапсыру	Суретті осы жерге жапсырыңыз.
展开	басталу	Талқылау тез басталды.
展览	көрме	Музейде жаңа көрме бар.
占	орын алу	Бұл үстел көп орын алады.
战争	соғыс	Соғыс халыққа азап әкеледі.
掌握	меңгеру	Ол негізгі грамматиканы меңгеріп алды.
涨	қымбаттау	Соңғы кезде үй жалдау ақысы тағы қымбаттады.
长辈	үлкендер	Жаңа жылда үлкендерге сәлем беру керек.
账户	шот	Банк шотыңызды тексеріңіз.
招待	қабылдау	Үй иесі қонақтарды жылы қабылдады.
着火	өртену	Асүй кенеттен өртеніп кетті.
着凉	суық тию	Күн суық, суық тиіп қалма.
召开	өткізу	Мектеп ертең жиналыс өткізеді.
照常	әдеттегідей	Дүкен ертең әдеттегідей жұмыс істейді.
哲学	философия	Ол университетте философия оқыды.
珍惜	қадірлеу	Біз уақытты қадірлеуіміз керек.
真实	шын	Бұл әңгіме шын.
针对	арналған	Бұл ұсыныс жаңа студенттерге арналған.
诊断	диагноз	Дәрігер тез диагноз қойды.
振动	дірілдеу	Телефон үстелде дірілдеп тұр.
阵	өткінші	Сыртта өткінші жаңбыр жауды.
争论	дауласу	Олар бұл мәселе туралы ұзақ дауласқан.
争取	ұмтылу	Біз көбірек мүмкіндікке ұмтылуымыз керек.
征求	сұрау	Мұғалім бәрінің пікірін сұрады.
挣	босанып шығу	Құс арқаннан босанып шықты.
睁	ашу	Көзіңізді сәл кеңірек ашыңыз.
整个	бүкіл	Бүкіл қала өте тыныш.
整齐	ретті	Кітаптар өте ретті қойылған.
整体	жалпы	Біз жалпы әсерді ескеруіміз керек.
政府	үкімет	Үкімет жаңа хабарлама шығарды.
政治	саясат	Ол саясатқа қатты қызығады.
正	дұрыс	Бұл жауап дұрыс.
证件	құжат	Құжатыңызды көрсетіңіз.
证据	дәлел	Полиция жаңа дәлел тапты.
支	дана	Үстелде бір қалам бар.
支票	чек	Ол чекпен төледі.
执照	куәлік	Көлік жүргізу үшін жүргізуші куәлігі керек.
直	тура	Бұл жолмен тура алға жүріңіз.
指导	бағыт беру	Мұғалім бізге дипломдық жұмыс жазуға бағыт берді.
指挥	басқару	Ол бұл әрекетті басқаруға жауапты.
制定	жасау	Компания жаңа жоспар жасады.
制度	жүйе	Мектепте қатаң жүйе бар.
制造	өндіру	Бұл зауыт машина өндіреді.
制作	жасау	Ол туған күн тортын жасап жатыр.
志愿者	ерікті	Іс-шараға көп ерікті қатысты.
智慧	даналық	Бұл қарт адамның даналығы мол.
治疗	емдеу	Дәрігер науқасты емдеп жатыр.
秩序	тәртіп	Барлығыңыз тәртіп сақтаңыз.
至今	осы күнге дейін	Бұл мәселе осы күнге дейін шешілген жоқ.
至于	ал	Ал шығын туралы ертең сөйлесеміз.
中介	делдал	Ол пәтерді делдал арқылы жалдады.
中心	орталық	Аурухана қала орталығында.
中旬	ортасы	Жиналыс мамырдың ортасына жоспарланған.
种类	түр	Мұнда жемістің түрі көп.
重大	маңызды	Бұл маңызды шешім.
重量	салмақ	Бұл қораптың салмағы қанша?
周到	ұқыпты	Оның қызметі өте ұқыпты.
猪	шошқа	Фермада көп шошқа өсіріледі.
竹子	бамбук	Пандалар бамбук жегенді ұнатады.
逐步	біртіндеп	Жоспар біртіндеп іске асырылады.
逐渐	бірте-бірте	Ауа райы бірте-бірте суыта бастады.
主持	жүргізу	Ол бүгінгі жиналысты жүргізеді.
主动	өз еркімен	Ол сыныптасына өз еркімен көмектесті.
主观	субъективті	Бұл баға сәл субъективті.
主人	үй иесі	Үй иесі бізді жылы қарсы алды.
主任	меңгеруші	Меңгеруші кеңседе отыр.
主题	тақырып	Бүгінгі талқылау тақырыбы - қоршаған ортаны қорғау.
主席	төраға	Төраға жиналыстың басталғанын жариялады.
主张	ұсыну	Ол алдымен көлік мәселесін шешуді ұсынады.
煮	пісіру	Анам кеспе пісіріп жатыр.
注册	тіркелу	Жаңа қолданушылар алдымен тіркелуі керек.
祝福	тілек	Достар тілектерін жолдады.
抓	ұстау	Бала анасының қолын ұстады.
抓紧	тиімді пайдалану	Біз уақытты тиімді пайдалануымыз керек.
专家	сарапшы	Сарапшы ұсыныс айтты.
专心	зейін қою	Сабақта зейін қойып тыңдау керек.
转变	өзгеріс	Оның көзқарасында өзгеріс болды.
转告	айтып беру	Оған ертең жиналыс болатынын айтып беріңіз.
装	салу	Кітаптарды сөмкеге салыңыз.
装饰	безендіру	Олар бөлмені гүлмен безендірді.
装修	жөндеу	Жаңа үй жөнделіп жатыр.
撞	соғылу	Екі көлік қиылыста соғылды.
状况	жағдай	Қазіргі жағдай біршама тұрақты.
状态	күй	Бүгін оның күйі жақсы.
追	қуу	Бала артынан күшікті қуып жүр.
追求	ұмтылу	Ол әрдайым өз арманына ұмтылып келеді.
咨询	кеңес алу	Сіз кәсіби дәрігерден кеңес ала аласыз.
姿势	қалып	Дұрыс қалыпты сақтаңыз.
资格	құқық	Оның жарысқа қатысу құқығы бар.
资金	қаржы	Жобаға көбірек қаржы керек.
资料	материал	Материалдарды маған жіберіңіз.
资源	ресурс	Су - маңызды табиғи ресурс.
紫	күлгін	Ол күлгін түсті ұнатады.
字母	әріп	Ағылшын тілінде жиырма алты әріп бар.
字幕	субтитр	Бұл фильмде қытайша субтитр бар.
自从	бері	Оқуды бітіргеннен бері ол сирек қайтады.
自动	автоматты	Бұл есік автоматты түрде ашылады.
自豪	мақтану	Мен өз ілгерілеуімді мақтан тұтамын.
自觉	өз еркімен	Ол үй тапсырмасын өз еркімен орындады.
自私	өзімшіл	Адам тым өзімшіл болмауы керек.
自由	еркіндік	Әр адам еркіндікті қадірлейді.
自愿	ерікті түрде	Олар іс-шараға ерікті түрде қатысты.
综合	жан-жақты	Біз әртүрлі факторларды жан-жақты ескеруіміз керек.
总裁	бас директор	Бас директор бүгін сөз сөйледі.
总共	барлығы	Бұл сапарға барлығы үш мың юань кетті.
总理	премьер-министр	Премьер-министр жиналысқа қатысты.
总算	ақыры	Мәселе ақыры шешілді.
总统	президент	Президент теледидар арқылы сөз сөйледі.
总之	қысқасы	Қысқасы, біз уақытында аяқтауымыз керек.
组	топ	Мұғалім бізді үш топқа бөлді.
组成	құралу	Су сутек пен оттектен құралады.
组合	үйлесім	Бұл түс үйлесімі әдемі көрінеді.
组织	ұйымдастыру	Мектеп саяхат ұйымдастырды.
阻止	тоқтату	Полиция қауіпті әрекетті тоқтатты.
最初	бастапқыда	Бастапқыда мен онша түсінбедім.
醉	мас	Ол көп ішіп, сәл мас болып қалды.
尊敬	құрметтеу	Оқушылардың бәрі мұғалімді құрметтейді.
遵守	сақтау	Біз жол қозғалысы ережелерін сақтауымыз керек.
作品	туынды	Бұл сурет - оның туындысы.
作为	ретінде	Мұғалім ретінде ол өте сабырлы.
作文	шығарма	Мұғалім бізге бір шығарма жазуды тапсырды.
