simplified	NO	example_NO
消化	fordøyelse	Å gå en tur etter måltidet hjelper fordøyelsen.
消极	negativ	Ikke se på problemer med en negativ holdning.
消失	forsvinne	Solen forsvant sakte bak fjellet.
销售	selge	Selskapet selger elektroniske produkter.
小麦	hvete	Det dyrkes mye hvete i nord.
小气	gjerrig	Ikke vær så gjerrig.
孝顺	være god mot foreldrene sine	Han er veldig god mot foreldrene sine.
效率	effektivitet	Å gjøre det slik kan øke effektiviteten.
歇	hvile	La oss hvile litt først.
斜	skrå	Denne veien er litt skrå.
写作	skriving	Skriving krever langvarig øvelse.
心理	psykisk; mental	Man bør justere den mentale tilstanden før eksamen.
心脏	hjerte	Hjertehelse er veldig viktig.
欣赏	beundre; nyte	Vi nøt den vakre utsikten.
信号	signal	Mobilsignalet her er dårlig.
信任	tillit	Venner trenger tillit mellom seg.
形成	dannes	Gode vaner må dannes gradvis.
形容	beskrive	Jeg vet ikke hvordan jeg skal beskrive denne følelsen.
形势	situasjon	Den nåværende situasjonen er ganske komplisert.
形式	form	Møtet kan holdes digitalt.
形象	omdømme; image	Han har et godt offentlig omdømme.
形状	form; fasong	Denne esken har en spesiell form.
行动	handling	Vi må handle med en gang.
行人	fotgjenger	Vær oppmerksom på fotgjengere når du krysser veien.
行为	oppførsel	Denne typen oppførsel er uhøflig.
幸亏	heldigvis	Heldigvis minnet du meg på det.
幸运	heldig	Han var heldig og fant en jobb.
性质	karakter; natur	Dette problemet er alvorlig av karakter.
兄弟	brødre	De to brødrene har et godt forhold.
胸	bryst	Han kjenner litt trykk i brystet.
休闲	fritid	Helgen er en god tid for fritid.
修改	revidere; endre	Revider denne artikkelen.
虚心	ydmyk; åpen	Vi bør lytte ydmykt til andres meninger.
叙述	fortelle; beskrive	Han beskrev tydelig hva som skjedde.
宣布	kunngjøre	Skolen kunngjorde de nye reglene.
宣传	promotere; informere	De informerer om miljøvern.
学历	utdanningsnivå	Denne jobben krever bachelorgrad.
学术	akademisk	Møtet diskuterer akademiske spørsmål.
学问	kunnskap	Han har mye kunnskap.
血	blod	Hånden hans blødde litt.
寻找	lete etter; søke	Vi leter etter en ny metode.
询问	spørre; forhøre seg	Han spurte læreren om eksamenstidspunktet.
训练	trene	Utøveren trener hver dag.
迅速	rask	Nyheten spredte seg raskt.
押金	depositum	Å leie bolig krever at man betaler depositum.
牙齿	tenner	Ta godt vare på tennene dine hver dag.
严肃	alvorlig	Lærerens ansiktsuttrykk er veldig alvorlig.
延长	forlenge	Møtet ble forlenget med en halv time.
演讲	en tale; et foredrag	Han forbereder morgendagens tale.
宴会	en bankett; middagsselskap	De deltok på en bankett.
阳台	en balkong	Det står flere blomsterpotter på balkongen.
痒	klø	Armen min klør litt.
样式	en stil; type	Denne stilen er veldig populær.
腰	korsrygg; midje	Man kan få vondt i korsryggen etter å ha sittet lenge.
摇	riste; svaie	Vinden ristet greinene fram og tilbake.
咬	bite	Denne hunden biter ikke mennesker.
要不	ellers; hva om	Hva om vi drar igjen i morgen?
业务	forretningsområde	Selskapets forretninger vokser.
业余	på fritiden	Han studerer fotografering på fritiden.
夜	natt	Gaten er veldig stille om natten.
依然	fortsatt	Han bor fortsatt i Beijing.
一辈子	hele livet	Hun elsket musikk hele livet.
一旦	når først; så snart	Når du først har bestemt deg, bør du holde fast ved det.
一律	uten unntak; alle	Alle mobiltelefoner skal slås av under møtet.
一再	gjentatte ganger	Han minnet oss gjentatte ganger på å være forsiktige.
一致	enig; samstemt	Alles meninger er helt samstemte.
疑问	et spørsmål; tvil	Jeg har et spørsmål om dette svaret.
移动	flytte	Flytt bordet litt.
移民	immigrere	De planlegger å immigrere til utlandet.
遗憾	beklage; synes er synd	Jeg beklager at jeg ikke fikk møte deg.
乙	part B	Part B er ansvarlig for betaling i kontrakten.
以及	samt; og	Jeg kjøpte bøker samt skrivesaker.
以来	siden	Siden han ble ferdig utdannet, har han arbeidet i Beijing.
义务	plikt	Å beskytte miljøet er alles plikt.
亿	hundre millioner; milliard	Dette landet har over én milliard innbyggere.
意外	uventet; en ulykke	At jeg kom for sent denne gangen, var helt uventet.
意义	betydning	Dette arrangementet er veldig meningsfullt.
议论	diskutere	Alle diskuterer denne saken.
因而	derfor	Han studerer hardt, derfor har han gode karakterer.
因素	en faktor	Været er en viktig faktor.
银	sølv	Hun har på seg et sølvarmbånd.
印刷	trykke; trykking	Denne boken er trykt veldig tydelig.
英俊	kjekk	Han ser veldig kjekk ut.
英雄	en helt	Brannfolk er ekte helter.
营养	næring	Frokosten bør ha nok næring.
营业	holde åpent; drive butikk	Denne butikken åpner klokken ni.
迎接	ta imot; ønske velkommen	Vi dro til flyplassen for å ta imot gjestene.
影子	en skygge	Skyggen hans er under gatelykten.
应付	håndtere	Han kan håndtere dette problemet.
应用	anvende	Denne metoden kan anvendes i undervisning.
硬	hard	Denne stolen er for hard.
硬件	maskinvare	Denne datamaskinen har god maskinvare.
拥抱	klemme	Barnet løp bort og klemte mamma.
拥挤	trang; overfylt	T-banen er veldig overfylt i morgenrushet.
勇气	mot	Han har mot til å innrømme feilen.
用功	studere flittig	Hun studerer veldig flittig.
用途	bruksområde	Dette materialet har mange bruksområder.
优惠	rabatt	Denne butikken har rabatt i dag.
优美	vakker	Miljøet her er veldig vakkert.
优势	en fordel	Fordelen hans er rik erfaring.
悠久	langvarig; lang	Kina har en lang historie.
油炸	frityrsteke	Jeg spiser sjelden fritert mat.
游览	besøke; se seg rundt	Vi skal besøke Den forbudte by i morgen.
犹豫	nøle	Han nølte en stund før han svarte.
有利	gunstig	Denne betingelsen er gunstig for oss.
幼儿园	barnehage	Barnet begynner i barnehage neste år.
娱乐	underholdning	Å se film er en form for underholdning.
与其	heller enn	Heller enn å klage, bør man handle.
语气	tonefall	Tonefallet hans er veldig mildt.
玉米	mais	Det er maissuppe til middag.
预报	varsel; prognose	Værmeldingen sier at det blir regn i morgen.
预订	bestille på forhånd	Jeg har allerede bestilt hotellet.
预防	forebygge	Å vaske hendene ofte kan forebygge forkjølelse.
元旦	nyttårsdag	Vi har én fridag på nyttårsdag.
原料	råvare	Hovedråvaren i brød er mel.
原则	prinsipp	Man bør ha prinsipper.
员工	ansatt	Selskapet har tre hundre ansatte.
圆	rund	Månen er stor og rund.
愿望	ønske	Ønsket hans er å reise jorden rundt.
乐器	musikkinstrument	Hun kan spille flere musikkinstrumenter.
晕	svimmel	Jeg blir litt svimmel når jeg tar båt.
运气	flaks; hell	Jeg har god flaks i dag.
运输	transport	Disse varene må fraktes med tog.
运用	bruke	Bruk disse ordene fleksibelt.
灾害	katastrofe	Flom er en naturkatastrofe.
再三	gjentatte ganger	Læreren minnet oss gjentatte ganger på å repetere.
在乎	bry seg om	Han bryr seg mye om vennenes meninger.
在于	ligge i	Suksess ligger i utholdenhet.
赞成	være enig i	Jeg er enig i forslaget ditt.
赞美	rose	Alle roste motet hennes.
糟糕	forferdelig	Været er virkelig forferdelig i dag.
造成	forårsake	Det kraftige regnet forårsaket trafikkork.
则	da; så	Hvis man arbeider hardt, blir det fremgang.
责备	klandre	Læreren klandret ham ikke.
摘	plukke	Hun plukket en blomst i hagen.
窄	smal	Denne veien er for smal.
粘贴	lime inn; feste	Lim bildet inn her.
展开	begynne; utfolde seg	Diskusjonen begynte raskt.
展览	en utstilling	Museet har en ny utstilling.
占	ta opp	Dette bordet tar opp plass.
战争	krig	Krig bringer lidelse til folket.
掌握	mestre	Han har allerede mestret grunnleggende grammatikk.
涨	stige	Husleien har steget igjen nylig.
长辈	eldre slektninger	Ved nyttår bør man hilse på de eldre slektningene.
账户	en konto	Sjekk bankkontoen din.
招待	ta imot; være vert for	Verten tok varmt imot gjestene.
着火	ta fyr	Kjøkkenet tok plutselig fyr.
着凉	bli forkjølet	Det er kaldt, så ikke bli forkjølet.
召开	holde et møte	Skolen holder møte i morgen.
照常	som vanlig	Butikken holder åpent som vanlig i morgen.
哲学	filosofi	Han studerte filosofi på universitetet.
珍惜	verdsette	Vi bør verdsette tiden.
真实	sann; virkelig	Denne historien er sann.
针对	rettet mot	Dette forslaget er rettet mot nye studenter.
诊断	en diagnose	Legen stilte raskt en diagnose.
振动	vibrere	Mobiltelefonen vibrerer på bordet.
阵	en kort stund; byge	Det kom en kort regnbyge ute.
争论	diskutere; krangle	De diskuterte dette spørsmålet lenge.
争取	kjempe for; prøve å få	Vi bør kjempe for flere muligheter.
征求	be om; innhente	Læreren ba alle om deres meninger.
挣	komme seg løs; tjene	Fuglen kom seg løs fra tauet.
睁	åpne øynene	Åpne øynene litt mer.
整个	hel; hele	Hele byen er veldig stille.
整齐	ryddig; pent ordnet	Bøkene er lagt veldig ryddig.
整体	helhet	Vi må vurdere helhetsvirkningen.
政府	regjering	Myndighetene publiserte en ny melding.
政治	politikk	Han er veldig interessert i politikk.
正	riktig	Dette svaret er riktig.
证件	legitimasjon; ID-dokument	Vis legitimasjonen din.
证据	bevis	Politiet fant nye bevis.
支	telleord for penner	Det ligger en penn på bordet.
支票	en sjekk	Han betalte med sjekk.
执照	et førerkort; en lisens	Man trenger førerkort for å kjøre bil.
直	rett; rett fram	Gå rett fram langs denne veien.
指导	veilede	Læreren veiledet oss i å skrive oppgaven.
指挥	lede; dirigere	Han har ansvar for å lede denne aksjonen.
制定	utarbeide	Selskapet utarbeidet en ny plan.
制度	et system; en ordning	Skolen har et strengt system.
制造	produsere	Denne fabrikken produserer maskiner.
制作	lage	Hun lager bursdagskake.
志愿者	en frivillig	Mange frivillige deltok i arrangementet.
智慧	visdom	Den eldre personen har stor visdom.
治疗	behandle	Legen behandler pasienten.
秩序	orden	Vennligst hold orden.
至今	til nå; den dag i dag	Dette problemet er fortsatt ikke løst.
至于	når det gjelder	Når det gjelder kostnadene, snakker vi om dem i morgen.
中介	en mellommann; et byrå	Han leide boligen gjennom et byrå.
中心	sentrum; senter	Sykehuset ligger i sentrum.
中旬	midten av måneden	Møtet er lagt til midten av mai.
种类	type; sort	Det finnes mange typer frukt her.
重大	stor; viktig	Dette er en viktig beslutning.
重量	vekt	Hva er vekten på denne esken?
周到	omtenksom; grundig	Servicen hans er svært omtenksom.
猪	en gris	Det er mange griser på gården.
竹子	bambus	Pandaer liker å spise bambus.
逐步	steg for steg	Planen blir gjennomført steg for steg.
逐渐	gradvis	Været ble gradvis kaldere.
主持	lede; være vert for	Hun leder dagens møte.
主动	ta initiativ	Han tok initiativ til å hjelpe klassekameraten.
主观	subjektiv	Denne vurderingen er litt subjektiv.
主人	en vert; eier	Verten ønsket oss varmt velkommen.
主任	en leder; direktør	Lederen er på kontoret.
主题	et tema	Temaet for dagens diskusjon er miljøvern.
主席	møteleder; formann	Møtelederen erklærte møtet for åpnet.
主张	mene; gå inn for	Han mener at trafikkproblemet bør løses først.
煮	koke	Mamma koker nudler.
注册	registrere seg	Nye brukere må registrere seg først.
祝福	velsignelse; gode ønsker	Vennene sendte gode ønsker.
抓	gripe; ta tak i	Barnet tok tak i mammas hånd.
抓紧	utnytte godt; skynde seg	Vi må utnytte tiden godt.
专家	en ekspert	Eksperten kom med forslag.
专心	konsentrert; oppmerksom	Man bør høre oppmerksomt etter i timen.
转变	en endring; endre	Holdningen hans endret seg.
转告	videreformidle	Fortell ham at det er møte i morgen.
装	legge; late som	Legg bøkene i vesken.
装饰	dekorere	De dekorerte rommet med blomster.
装修	pusse opp; renovere	Det nye huset blir pusset opp.
撞	kollidere; støte	To biler kolliderte i veikrysset.
状况	situasjon; tilstand	Den nåværende situasjonen er ganske stabil.
状态	tilstand; form	Han er i god form i dag.
追	jage; følge etter	Barnet løper etter valpen bakfra.
追求	forfølge; søke	Han har alltid fulgt drømmen sin.
咨询	rådføre seg; konsultere	Du kan rådføre deg med en spesialistlege.
姿势	holdning; stilling	Hold riktig kroppsstilling.
资格	kvalifikasjon; rett	Han har rett til å delta i konkurransen.
资金	midler; kapital	Prosjektet trenger mer finansiering.
资料	materiale	Send meg materialet.
资源	ressurs	Vann er en viktig naturressurs.
紫	lilla	Hun liker fargen lilla.
字母	en bokstav	Engelsk har tjueseks bokstaver.
字幕	undertekster	Denne filmen har kinesiske undertekster.
自从	siden	Siden han ble ferdig utdannet, har han sjelden kommet tilbake.
自动	automatisk	Denne døren åpner seg automatisk.
自豪	være stolt	Jeg er stolt av fremgangen min.
自觉	av eget initiativ	Han gjorde leksene av eget initiativ.
自私	egoistisk	Man bør ikke være for egoistisk.
自由	frihet	Alle verdsetter frihet.
自愿	frivillig	De deltok frivillig i arrangementet.
综合	helhetlig; integrere	Vi må vurdere alle faktorene helhetlig.
总裁	administrerende direktør	Administrerende direktør holdt en tale i dag.
总共	til sammen	Reisen kostet til sammen tre tusen yuan.
总理	statsminister	Statsministeren deltok på møtet.
总算	endelig	Problemet ble endelig løst.
总统	president	Presidenten holdt en TV-tale.
总之	kort sagt	Kort sagt må vi bli ferdige i tide.
组	en gruppe	Læreren delte oss inn i tre grupper.
组成	bestå av	Vann består av hydrogen og oksygen.
组合	en kombinasjon	Denne fargekombinasjonen ser fin ut.
组织	organisere	Skolen organiserte en tur.
阻止	stoppe; forhindre	Politiet stoppet den farlige handlingen.
最初	i begynnelsen	I begynnelsen forstod jeg det ikke helt.
醉	full	Han drakk for mye og er litt full.
尊敬	respektere	Alle elevene respekterer læreren.
遵守	følge; overholde	Vi må følge trafikkreglene.
作品	et verk	Dette maleriet er verket hans.
作为	som	Som lærer er han veldig tålmodig.
作文	en stil; skriveoppgave	Læreren ba oss skrive en stil.
