simplified	LV	example_LV
火焰	liesma	Vējš pacēla liesmas augstāk.
火药	šaujampulveris	Šaujampulveris mainīja seno karu veidu.
货币	valūta	Monetārā politika ietekmē ekonomikas attīstību.
基地	bāze	Šeit reiz bija svarīga treniņu bāze.
基金	fonds	Skola izveidoja stipendiju fondu.
基因	gēns	Zinātnieki pēta šo gēnu.
机动	mobils	Šī vienība saglabā augstu mobilitāti.
机构	iestāde	Šī iestāde atbild par kvalitātes pārbaudi.
机灵	attapīgs	Šis bērns ir ļoti attapīgs.
机密	konfidenciāls	Šie materiāli ir konfidenciāli.
机械	mašīnas	Rūpnīca ieviesa jaunas mašīnas.
机遇	iespēja	Jauniešiem jāizmanto iespējas.
机智	asprātīgs	Viņa atbilde bija ļoti asprātīga.
激发	rosināt	Skolotājs rosināja skolēnu interesi.
激励	iedvesmot	Šie panākumi iedvesmoja visu komandu.
激情	kaislība	Viņa runa bija pilna kaislības.
讥笑	izsmiet	Nevajag izsmiet citu cilvēku kļūdas.
饥饿	bads	Ilgstošs bads var ietekmēt veselību.
即便	pat ja	Pat ja līs, mēs izbrauksim laikā.
即将	tūlīt	Sanāksme tūlīt sāksies.
及早	laikus	Problēmas jārisina laikus.
吉祥	labvēlīgs	Sarkanā krāsa Ķīnā bieži simbolizē labvēlīgu veiksmi.
嫉妒	skaust	Viņam nevajadzētu skaust kolēģa panākumus.
急功近利	tiekties pēc ātra labuma	Pētījumos nedrīkst tiekties pēc ātra labuma.
急剧	straujš	Pārdošanas apjoms strauji kritās.
急切	nepacietīgs	Viņa nepacietīgi gaidīja ziņas.
急于求成	steigties pēc rezultāta	Valodu mācoties, nedrīkst steigties pēc rezultāta.
急躁	nepacietīgs	Saskaroties ar grūtībām, nekļūsti nepacietīgs.
极端	ekstrēms	Šādi ekstrēmi laikapstākļi kļūst arvien izplatītāki.
极限	robeža	Šis treniņš pārbaudīja viņa robežas.
疾病	slimība	Labi ieradumi var palīdzēt novērst slimības.
籍贯	dzimtā vieta	Veidlapā jānorāda dzimtā vieta.
级别	līmenis	Šīs sacensības ir sadalītas trīs līmeņos.
集团	korporācija	Šai korporācijai ir filiāles ārzemēs.
给予	sniegt	Skola sniedz palīdzību trūcīgiem skolēniem.
季军	trešā vieta	Viņš sacensībās ieguva trešo vietu.
季度	ceturksnis	Uzņēmums katru ceturksni publicē finanšu pārskatu.
寂静	klusums	Nakts ielejā valdīja īpašs klusums.
寄托	saistīt cerības	Viņa saistīja savas cerības ar bērnu.
忌讳	tabu	Vietējie uzskata par tabu apspriest šo pie galda.
技巧	paņēmiens	Paņēmienu apgūšana var uzlabot efektivitāti.
纪要	protokols	Sekretārs sakārtoja sanāksmes protokolu.
继承	mantot	Viņš mantoja tēva darbu.
计较	kasīties	Nevajag kasīties par tik mazu lietu.
记性	atmiņa	Viņam ir ļoti laba atmiņa.
记载	ierakstīt	Vēstures grāmatās ir ierakstīts šis karš.
迹象	pazīme	Pašlaik nav uzlabošanās pazīmju.
佳肴	delikatese	Galds bija pilns ar gardām delikatesēm.
加工	apstrādāt	Šīs izejvielas jāturpina apstrādāt.
加剧	pastiprināties	Pretrunas pastiprinās.
夹杂	jaukties	Lietus skaņā jaucās pērkona dārdi.
家常	ikdienišķs	Man patīk ēst ikdienišķus mājas ēdienus.
家伙	tips	Tas tips vienmēr kavējas.
家属	ģimenes loceklis	Ārsts informēja pacienta ģimenes locekļus.
家喻户晓	visiem zināms	Šis stāsts ir visiem zināms.
坚定	nelokāms	Viņas nostāja ir ļoti nelokāma.
坚固	izturīgs	Šis tilts ir ļoti izturīgs.
坚韧	sīksts	Viņam ir sīksts raksturs.
坚实	stingrs	Šim pētījumam ir stingrs pamats.
坚硬	ciets	Šis akmens ir ļoti ciets.
尖端	progresīvs	Uzņēmums iegulda progresīvās tehnoloģijās.
尖锐	ass	Šis jautājums ir ļoti ass.
煎	cept uz pannas	Pavārs cep zivi uz pannas.
监督	uzraudzīt	Sabiedrības uzraudzība palīdz uzlabot darbu.
监视	novērot	Policija novēro aizdomās turēto.
监狱	cietums	Viņš izcieš sodu cietumā.
艰难	grūts	Uzņēmuma sākuma posms bija ļoti grūts.
剪彩	pārgriezt lentu	Mērs pārgrieza lenti jaunajai bibliotēkai.
拣	izvēlēties	Viņa no groza izvēlējās dažus ābolus.
检讨	pārskatīt	Viņš nopietni pārskatīja savas kļūdas.
检验	pārbaudīt	Eksperiments var pārbaudīt šo hipotēzi.
简化	vienkāršot	Lūdzu, vēl vairāk vienkāršo procesu.
简陋	vienkāršs	Viņi dzīvoja vienkāršā būdiņā.
简体字	vienkāršotā ķīnzīme	Šajā mācību grāmatā lieto vienkāršotās ķīnzīmes.
简要	īss	Lūdzu, īsi izskaidro savu viedokli.
健全	pilnveidot	Uzņēmumam jāpilnveido pārvaldības sistēma.
剑	zobens	Pie sienas karājas sens zobens.
溅	šļakstīties	Lietus ūdens uzšļakstījās uz viņa biksēm.
舰艇	karakuģis	Vairāki karakuģi piedalījās mācībās.
见多识广	pieredzējis	Šis vecais vīrs ir pieredzējis un zinošs.
见解	uzskats	Viņam ir savdabīgs uzskats par šo jautājumu.
见闻	redzētais un dzirdētais	Ceļošana paplašināja viņa redzēto un dzirdēto.
见义勇为	drosmīgi rīkoties taisnības vārdā	Viņu uzslavēja par drosmīgu rīcību taisnības vārdā.
践踏	mīdīt	Nemīdi zālienu.
鉴别	atšķirt	Eksperti var atšķirt, vai šī glezna ir īsta.
鉴定	identificēt	Policija identificē pirkstu nospiedumus.
鉴于	ņemot vērā	Ņemot vērā slikto laiku, pasākums tika pārcelts.
间谍	spiegs	Šī filma stāsta spiegu stāstu.
间隔	intervāls	Starp abām sanāksmēm ir vienas nedēļas intervāls.
间接	netiešs	Šai politikai būs netieša ietekme.
僵硬	stīvs	Viņa smaids izskatījās stīvs.
将军	ģenerālis	Ģenerālis izdeva pavēli.
将近	gandrīz	Šis projekts ilga gandrīz divus gadus.
将就	iztikt	Apstākļi ir slikti, tāpēc varam tikai iztikt.
奖励	apbalvot	Skola apbalvoja izcilus skolēnus.
奖赏	atalgojums	Karalis piešķīra karavīram dāsnu atalgojumu.
桨	airis	Laivinieks ar airi airēja laivu uz krastu.
降临	nolaisties	Nakts pamazām nolaidās pār pilsētu.
交叉	krustoties	Abi ceļi šeit krustojas.
交代	paskaidrot	Lūdzu, skaidri paskaidro uzdevumu.
交涉	vest sarunas	Abas puses ved sarunas par kompensāciju.
交易	darījums	Šis darījums jau ir pabeigts.
娇气	izlutināts	Neesi tik izlutināts, laiks nemaz nav auksts.
焦点	uzmanības centrs	Nodarbinātības jautājums kļuva par diskusijas uzmanības centru.
焦急	satraukts	Māte satraukti gaidīja bērna atgriešanos.
侥幸	laimīgas sagadīšanās dēļ	Viņš laimīgas sagadīšanās dēļ izvairījās no nelaimes.
搅拌	maisīt	Lūdzu, vienmērīgi samaisi mīklu.
缴纳	samaksāt	Iedzīvotājiem ūdens maksa jāsamaksā laikā.
角落	stūris	Kaķis paslēpās istabas stūrī.
教养	audzināšana	Laba audzināšana redzama detaļās.
较量	sacensties	Divas spēcīgas komandas drīz sacentīsies.
接连	pēc kārtas	Viņš pēc kārtas saņēma trīs e-pastus.
揭露	atklāt	Žurnālists atklāja pārtikas drošības problēmu.
皆	visi	Šie noteikumi ir visiem zināmi.
阶层	slānis	Dažādiem sociālajiem slāņiem ir dažādas vajadzības.
截止	noslēgt	Reģistrācija noslēgsies rīt pēcpusdienā.
截至	līdz	Līdz šodienai ir reģistrējušies divi simti cilvēku.
杰出	izcils	Viņa ir izcila zinātniece.
竭尽全力	darīt visu iespējamo	Mēs darīsim visu iespējamo, lai pabeigtu uzdevumu.
结晶	rezultāts	Šis sasniegums ir daudzu gadu darba rezultāts.
结局	nobeigums	Stāsta nobeigums bija negaidīts.
结算	norēķināties	Klients lūdza mēneša beigās norēķināties par izmaksām.
节制	mērenība	Ēšanā un dzeršanā jāievēro mērenība.
节奏	ritms	Šīs dziesmas ritms ir ātrs.
解除	atcelt	Uzņēmums atcēla drošības trauksmi.
解放	atbrīvot	Reforma atbrīvoja ražošanas spēkus.
解雇	atlaist	Priekšnieks nolēma atlaist šo darbinieku.
解剖	anatomija	Medicīnas studenti mācās anatomiju.
解散	izklīst	Pēc sanāksmes beigām grupa izklīda.
解体	sabrukt	Šī alianse galu galā sabruka.
借鉴	mācīties no	Mēs varam mācīties no ārzemju pieredzes.
借助	ar palīdzību	Viņš atrada maršrutu ar kartes palīdzību.
戒备	trauksmes gatavība	Pierobežas apvidū saglabājas augsta trauksmes gatavība.
界限	robeža	Darbam un dzīvei vajadzīgas skaidras robežas.
津津有味	ar lielu interesi	Bērni ar lielu interesi klausījās stāstu.
金融	finanses	Finanšu tirgus šodien ļoti svārstījās.
紧迫	steidzams	Laiks ir steidzams, un mums jārīkojas tūlīt.
锦上添花	kā punkts uz i	Šī dāvana patiešām bija kā punkts uz i.
晋升	paaugstināt	Viņu pērn paaugstināja par nodaļas vadītāju.
浸泡	mērcēt	Pupiņas jāmērcē visu nakti.
近来	pēdējā laikā	Pēdējā laikā laikapstākļi ļoti mainās.
进而	tālāk	Vispirms jāizprot vajadzības un tālāk jāizstrādā plāns.
进攻	uzbrukums	Komanda otrajā puslaikā pastiprināja uzbrukumu.
进化	evolūcija	Dzīvās būtnes evolūcijas gaitā pielāgojas videi.
进展	progress	Projekts pašlaik virzās ar labu progresu.
兢兢业业	apzinīgi	Viņš trīsdesmit gadus strādāja apzinīgi.
惊动	satraukt	Skaļais troksnis satrauca tuvumā dzīvojošos.
惊奇	pārsteigts	Bērni pārsteigti skatījās burvju priekšnesumu.
惊讶	pārsteigt	Viņa atbilde mani pārsteidza.
精打细算	rūpīgi rēķināt	Viņa vienmēr rūpīgi rēķina mājsaimniecības izdevumus.
精华	būtība	Šis raksts apkopo teorijas būtību.
精简	optimizēt	Uzņēmums nolēma optimizēt vadības līmeni.
精密	precīzs	Šis instruments ir ļoti precīzs.
精确	precīzs	Datiem jābūt precīziem līdz divām zīmēm aiz komata.
精通	labi pārvaldīt	Viņš labi pārvalda trīs svešvalodas.
精心	rūpīgi	Māte rūpīgi sagatavoja vakariņas.
精益求精	tiekties pēc pilnības	Izcili amatnieki vienmēr tiecas pēc pilnības.
精致	izsmalcināts	Šī dāvana ir ļoti izsmalcināti iesaiņota.
经费	līdzekļi	Pētījuma līdzekļi jau ir apstiprināti.
经纬	garums un platums	Kartē ir atzīmētas garuma un platuma līnijas.
茎	kāts	Auga kāts balsta lapas.
井	aka	Pie ciema ieejas ir sena aka.
警告	brīdināt	Skolotājs brīdināja skolēnus nešpikot.
警惕	būt modram	Mums jābūt modriem pret interneta krāpšanu.
颈椎	kakla skriemeļi	Ilgstoša skatīšanās uz leju kaitē kakla skriemeļiem.
境界	līmenis	Viņa glezniecība sasniedza jaunu līmeni.
敬礼	salutēt	Karavīrs salutēja valsts karogam.
敬业	veltīts darbam	Viņa strādā nopietni un ir ļoti veltīta darbam.
竞赛	sacensības	Skola sarīkoja matemātikas sacensības.
竞选	kandidēt	Viņš gatavojas kandidēt uz mēra amatu.
镜头	objektīvs	Fotogrāfs noregulēja objektīvu.
纠纷	strīds	Abas puses atrisināja strīdu ar mediācijas palīdzību.
纠正	labot	Skolotājs laikus laboja izrunas kļūdu.
酒精	spirts	Ārsts dezinficēja brūci ar spirtu.
就近	tuvumā	Skolēni var mācīties tuvumā esošā skolā.
就业	nodarbinātība	Valdība ieviesa politiku nodarbinātības veicināšanai.
就职	stāties amatā	Jaunais vadītājs oficiāli stāsies amatā nākamnedēļ.
救济	palīdzība	Katastrofas cietušie laikus saņēma palīdzību.
居民	iedzīvotājs	Tuvumā dzīvojošie iedzīvotāji iebilst pret trokšņa piesārņojumu.
居住	dzīvot	Viņi šeit dzīvo jau desmit gadus.
拘留	aizturēt	Policija saskaņā ar likumu aizturēja aizdomās turēto.
拘束	saspringts	Draugu priekšā nav jābūt saspringtam.
鞠躬	paklanīties	Aktieris paklanījās skatītājiem pateicībā.
局部	lokāls	Ārsts veica tikai lokālo anestēziju.
局面	situācija	Sarunas uzlaboja saspringto situāciju.
局势	stāvoklis	Starptautiskais stāvoklis joprojām ir sarežģīts.
局限	ierobežojums	Šai metodei ir acīmredzami ierobežojumi.
举动	rīcība	Viņa rīcība visus ļoti aizkustināja.
举世瞩目	piesaistīt pasaules uzmanību	Šis projekts guva sasniegumus, kas piesaistīja pasaules uzmanību.
举足轻重	ļoti ietekmīgs	Šis uzņēmums nozarē ir ļoti ietekmīgs.
咀嚼	košļāt	Ēdot vajadzētu lēni košļāt.
沮丧	nomākts	Pēc zaudējuma spēlē viņš jutās ļoti nomākts.
剧本	scenārijs	Režisors labo scenāriju.
剧烈	spēcīgs	Zeme spēcīgi satricinājās.
据悉	kā ziņots	Kā ziņots, sanāksme tiks pārcelta uz nākamo nedēļu.
聚精会神	pilnībā koncentrēties	Bērni pilnībā koncentrējās uz nodarbību.
卷	sarullēt	Viņš sarullēja karti un ielika somā.
倔强	stūrgalvīgs	Šim bērnam ir stūrgalvīgs raksturs.
决策	lēmums	Vadība apspriež svarīgu lēmumu.
绝望	izmisums	Pēc neveiksmes viņš kādu laiku juta izmisumu.
觉悟	apziņa	Šī pieredze paaugstināja viņa apziņu.
觉醒	atmosties	Sabiedrības vides apziņa mostas.
军队	armija	Armija ātri ieradās katastrofas zonā.
君子	krietns cilvēks	Krietnam cilvēkam vārdiem jāatbilst darbiem.
卡通	multfilma	Bērnam patīk skatīties multfilmas.
开采	iegūt	Šis uzņēmums ir atbildīgs par derīgo izrakteņu ieguvi.
开除	izslēgt	Skola nolēma izslēgt skolēnu, kurš krāpās.
开阔	plašs	No kalna virsotnes paveras plašs skats.
开朗	atvērts	Viņai ir atvērts raksturs un daudz draugu.
开明	atvērts	Vecāku attieksme ir ļoti atvērta.
开辟	atklāt	Pilsēta atklāja jaunu autobusu maršrutu.
开拓	attīstīt	Uzņēmums plāno attīstīt aizjūras tirgus.
开展	īstenot	Skola īstenoja drošības izglītības pasākumu.
开支	izdevumi	Ģimenes ikmēneša izdevumi pieauga.
刊登	publicēt	Laikraksts publicēja viņa rakstu.
刊物	izdevums	Šis izdevums iznāk reizi mēnesī.
勘探	izpēte	Inženieru komanda veic pazemes ūdeņu izpēti.
侃侃而谈	pārliecinoši runāt	Viņš sanāksmē pārliecinoši un plaši runāja.
砍伐	izcirst	Patvaļīga mežu izciršana ir aizliegta.
看待	uzlūkot	Mums objektīvi jāuzlūko šis jautājums.
慷慨	dāsns	Viņš dāsni ziedoja prēmijas naudu.
抗议	protests	Iedzīvotāji protestēja pret jaunas rūpnīcas celtniecību.
考察	apsekot	Eksperti devās uz vietu, lai apsekotu vidi.
考古	arheoloģija	Arheologu komanda atklāja senas kapenes.
考核	novērtēt	Uzņēmums katru gadu novērtē darbinieku sniegumu.
考验	pārbaudījums	Šī krīze bija pārbaudījums komandas spējām.
靠拢	tuvoties	Komandas dalībnieki tuvojās centram.
磕	atsist	Viņš nejauši atsita kāju pret galda stūri.
科目	priekšmets	Matemātika ir viņa mīļākais priekšmets.
可观	ievērojams	Šis ieguldījums nesa ievērojamu peļņu.
可口	garšīgs	Šī restorāna ēdiens ir garšīgs.
可恶	riebīgs	Šāda krāpšana ir patiešām riebīga.
可行	īstenojams	Šis plāns būtībā ir īstenojams.
渴望	alkt	Bērni alkst vairāk iespēju.
克制	savaldīt	Strīda laikā jāsavalda emocijas.
刻不容缓	neatliekams	Ūdens avotu aizsardzība ir neatliekama.
客户	klients	Klients ir ļoti apmierināts ar pakalpojumu.
课题	tēma	Šī tēma ir padziļinātas izpētes vērta.
啃	grauzt	Bērns grauž kukurūzas gabalu.
恳切	sirsnīgs	Viņš sirsnīgi lūdza visus palīdzēt.
坑	bedre	Ceļmalā ir ļoti dziļa bedre.
空洞	tukšs	Šī ziņojuma saturs ir tukšs.
空前绝后	nepieredzēts	Šo izrādi var saukt par nepieredzētu un neatkārtojamu.
空想	fantāzija	Tikai ar fantāziju problēmas atrisināt nevar.
空虚	tukšums	Pēc aizņemtā laika viņš juta tukšumu.
孔	caurums	Sienā ir mazs caurums.
恐怖	biedējošs	Šai filmai ir biedējoša noskaņa.
恐吓	iebiedēt	Pretējā puse ar draudiem iebiedēja liecinieku.
恐惧	bailes	Tumsa bērnam izraisīja bailes.
空白	tukša vieta	Lūdzu, paraksties tukšajā vietā.
空隙	sprauga	Starp durvīm un grīdu ir sprauga.
口气	tonis	Viņa runas tonis bija ļoti stingrs.
口腔	mutes dobums	Ārsts pārbaudīja viņa mutes dobumu.
口头	mutisks	Viņiem ir tikai mutiska vienošanās.
口音	akcents	Viņa mandarīnu valodai ir neliels akcents.
扣	piesprādzēt	Lūdzu, piesprādzē drošības jostu.
哭泣	raudāt	Meitene paslēpās stūrī un raudāja.
枯萎	vīst	Ūdens trūkums lika ziediem vīst.
枯燥	garlaicīgs	Šis darbs ir mazliet garlaicīgs.
苦尽甘来	grūtības beidzas un sākas labais	Pēc daudzu gadu neatlaidības grūtības beidzot beidzās un sākās labais.
苦涩	rūgts	Šai ārstnieciskajai tējai ir rūgta garša.
挎	nest uz rokas	Viņa izgāja ārā ar auduma somu uz rokas.
跨	pārkāpt	Viņš pārkāpa pāri grāvim un turpināja iet uz priekšu.
快活	priecīgs	Bērni priecīgi spēlējās zālē.
宽敞	plašs	Šī klase ir gaiša un plaša.
宽容	iecietība	Sabiedrībai vajag vairāk izpratnes un iecietības.
款待	uzņemt	Namsaimnieks sirsnīgi uzņēma viesus.
款式	stils	Šim apģērbam ir ļoti jauns stils.
筐	grozs	Viņš nesa mājās grozu ar āboliem.
况且	turklāt	Ceļš ir tāls, turklāt drīz satumsīs.
旷课	kavēt stundas	Skolēni, kas bez iemesla kavē stundas, tiks reģistrēti.
框架	ietvars	Ziņojumam vispirms jānosaka ietvars.
矿产	derīgie izrakteņi	Šis apvidus ir bagāts ar derīgajiem izrakteņiem.
亏待	netaisnīgi izturēties	Uzņēmums netaisnīgi neizturēsies pret darbiniekiem, kuri strādā nopietni.
亏损	zaudējumi	Rūpnīca šogad cieta smagus zaudējumus.
捆绑	sasiet	Lūdzu, cieši sasien šīs kastes.
扩充	paplašināt	Skola plāno paplašināt bibliotēkas krājumu.
扩散	izplatīties	Baumas ātri izplatījās internetā.
扩张	paplašināšanās	Uzņēmums piesardzīgi paplašina savu darbību.
啦	nu	Nu, neuztraucies, viss uzlabosies.
喇叭	signāltaure	Automašīnas signāltaure pēkšņi atskanēja.
蜡烛	svece	Dzimšanas dienas tortē bija iespraustas sveces.
来历	izcelsme	Šī kultūras priekšmeta izcelsme nav skaidra.
来源	avots	Ziņās jānorāda informācijas avots.
栏目	raidījuma rubrika	Šī raidījuma rubrika tiek pārraidīta reizi nedēļā.
懒惰	slinkums	Slinkums var ietekmēt mācību rezultātus.
狼狈	nožēlojams	Pēc lietus viņš bija izmircis un izskatījās ļoti nožēlojami.
狼吞虎咽	rīt kā vilkam	Viņš bija ļoti izsalcis un rija ēdienu kā vilks.
捞	izvilkt	Zvejnieks no upes izvilka tīklu.
唠叨	ņurdēt	Māte vienmēr ņurd par sīkumiem.
牢固	stabils	Šī tilta konstrukcija ir ļoti stabila.
牢骚	sūdzības	Viņš ir pilns sūdzību, bet nevēlas mainīties.
乐趣	prieks	Lasīšana viņai sagādā daudz prieka.
乐意	labprāt	Es labprāt palīdzēšu tev labot CV.
雷达	radars	Radars uztvēra lidmašīnu tālumā.
类似	līdzīgs	Līdzīgas problēmas ir parādījušās arī agrāk.
冷酷	auksts	Viņa tonis izklausījās ļoti auksts.
冷落	atstāt novārtā	Jaunais darbinieks jutās atstāts novārtā.
冷却	atdzist	Iekārtai vispirms jāatdziest pirms remonta.
愣	sastingt	Izdzirdot šo ziņu, viņš sastinga.
黎明	rītausma	Rītausmā pilsēta pamazām modās.
理睬	pievērst uzmanību	Viņš bija dusmīgs un nevienam nepievērsa uzmanību.
理所当然	pašsaprotams	Nepieņem citu palīdzību kā pašsaprotamu.
理直气壮	pārliecināts par savu taisnību	Pierādījumi bija pietiekami, un viņš runāja pārliecināts par savu taisnību.
理智	saprāts	Saskaroties ar konfliktu, jāsaglabā saprāts.
礼节	etiķete	Dažādām kultūrām ir atšķirīga etiķete.
礼尚往来	savstarpēja pieklājība	Kaimiņi augstu vērtē savstarpēju pieklājību.
里程碑	pagrieziena punkts	Šie panākumi ir projekta pagrieziena punkts.
例外	izņēmums	Visiem jāpiedalās, bez izņēmumiem.
利害	intereses	Tas skar abu pušu intereses.
力求	censties	Mēs cenšamies samazināt kļūdas līdz minimumam.
力所能及	savu iespēju robežās	Lūdzu, dari to, kas ir tavu iespēju robežās.
力争	censties panākt	Komanda cenšas panākt uzdevuma pabeigšanu pirms termiņa.
历代	paaudzes	Pagātnes paaudžu zinātnieki ir pētījuši šo jautājumu.
历来	vienmēr	Šī pilsēta vienmēr ir novērtējusi izglītību.
立场	nostāja	Viņš sanāksmē pauda savu nostāju.
立方	kubikmetrs	Šai ūdens tvertnei ir trīs kubikmetru tilpums.
立交桥	viadukts	Šis viadukts mazināja satiksmes sastrēgumus.
立体	trīsdimensiju	Šai gleznai ir spēcīga trīsdimensiju izjūta.
立足	balstīties	Uzņēmumiem jābalstās vietējā tirgū.
粒	grauds	Uz galda ir daži rīsu graudi.
廉洁	godprātīgs	Valsts ierēdņiem jāpaliek godprātīgiem un tīriem.
联欢	sanākšana	Klasesbiedri sarīkoja Jaungada sanākšanu.
联络	sazināties	Lūdzu, pēc iespējas drīzāk sazinies ar klientu.
联盟	alianse	Vairākas valstis izveidoja tirdzniecības aliansi.
联想	atgādināt	Šī fotogrāfija man atgādina bērnību.
连年	gadiem pēc kārtas	Šis apvidus gadiem pēc kārtas cieš no plūdiem.
连锁	ķēde	Šis uzņēmums pārvalda lielveikalu ķēdi.
连同	kopā ar	Lūdzu, atsūti rēķinu kopā ar līgumu.
良心	sirdsapziņa	Cilvēkam jādzīvo tā, lai nenodotu savu sirdsapziņu.
晾	žāvēt	Viņa izkāra drēbes žāvēties uz balkona.
谅解	sapratne	Ceru, ka vari izrādīt sapratni par mūsu grūtībām.
辽阔	plašs	Stepes plašums sniedzas tālāk par skatienu.
列举	uzskaitīt	Skolotājs uzskaitīja trīs piemērus.
临床	klīnisks	Šīm zālēm notiek klīniskie izmēģinājumi.
淋	samirkt	Neuzturies lietū pārāk ilgi, lai nesamirktu.
吝啬	skopīgs	Viņš nekad nav skopīgs pret draugiem.
伶俐	apķērīgs	Šī mazā meitene ir gudra un apķērīga.
凌晨	agrs rīts	Lidmašīna paceļas trijos agrā rītā.
灵感	iedvesma	Mūzika deva viņam radošu iedvesmu.
灵魂	dvēsele	Brīvība ir šī darba dvēsele.
灵敏	jutīgs	Šī ierīce reaģē ļoti jutīgi.
零星	izkliedēts	Nakts debesīs bija izkliedētas gaismas.
领会	saprast	Viņš ātri saprata skolotāja domu.
领事馆	konsulāts	Viņš devās uz konsulātu noformēt vīzu.
领土	teritorija	Katra valsts augstu vērtē teritorijas vienotību.
领悟	aptvert	Pēc neveiksmes viņš aptvēra atbildību.
领先	būt priekšā	Viņu tehnoloģija pašlaik ir priekšā konkurentiem.
领袖	līderis	Šis līderis ir dziļi cienīts tautā.
溜	izslīdēt	Kucēns izslīdēja pa durvju spraugu.
流浪	klaiņot	Jaunībā viņš reiz klaiņoja no vietas uz vietu.
流露	atklāties	Viņas sejā atklājās prieks.
流氓	huligāns	Policija aizturēja vairākus ielas huligānus.
流通	atrasties apritē	Šī valūta reiz atradās apritē vietējā tirgū.
留恋	negribēt šķirties	Absolvējot skolu, visi negribēja šķirties no pilsētiņas.
留念	piemiņai	Mēs nofotografējāmies pie skolas vārtiem piemiņai.
留神	uzmanīties	Šķērsojot ceļu, noteikti jāuzmanās.
聋哑	kurlmēms	Skola sniedz palīdzību kurlmēmiem bērniem.
隆重	svinīgs	Konference svinīgi notika zālē.
垄断	monopols	Monopols var kaitēt tirgus konkurencei.
笼罩	apņemt	Bieza migla apņēma visu ciemu.
搂	apskaut	Māte maigi apskāva bērnu.
炉灶	plīts	Virtuves plīts ir jātīra.
轮船	kuģis	Kuģis lēnām atstāja ostu.
轮廓	kontūra	Tālo kalnu virsotņu kontūra bija ļoti skaidra.
轮胎	riepa	Automašīnas riepas jāmaina.
论坛	forums	Eksperti forumā teica runas.
论证	pamatot	Ziņojumā vēl jāpamato arguments.
啰唆	pļāpīgs	Beidz pļāpāt un saki galveno.
络绎不绝	nepārtrauktā straumē	Apmeklētāji nepārtrauktā straumē ieradās senajā pilsētā.
落成	pabeigt būvniecību	Jaunā sporta halle rīt tiks oficiāli pabeigta.
落实	īstenot	Sanāksme prasīja ātri īstenot jauno politiku.
屡次	atkārtoti	Viņš atkārtoti atgādināja visiem pievērst uzmanību drošībai.
履行	pildīt	Abām pusēm jāpilda līgumsaistības.
掠夺	laupīt	Karš izraisīja resursu laupīšanu.
嘛	taču	Šī lieta taču ir vienkārša.
麻痹	bezrūpība	Ilgstoša veiksme viegli var radīt bezrūpību.
麻木	notirpis	Aukstums padarīja viņa pirkstus notirpušus.
麻醉	anestēzija	Pirms operācijas ārsts pacientam veica anestēziju.
码头	piestātne	Kravas kuģis piestāja pie piestātnes.
蚂蚁	skudra	Skudras nes pārtiku.
埋伏	slēpnis	Karavīri gulēja slēpnī ielejā.
埋没	palikt nepamanītam	Neļauj talantīgiem cilvēkiem palikt nepamanītiem.
埋葬	apglabāt	Ciema iedzīvotāji apglabāja veco vīru kalna nogāzē.
脉搏	pulss	Medmāsa mēra viņa pulsu.
迈	spert soli	Viņš spēra platus soļus durvju virzienā.
埋怨	sūdzēties	Nesūdzies vienmēr par citiem.
慢性	hronisks	Hroniskām slimībām vajadzīga ilgstoša ārstēšana.
漫长	ilgs	Viņi piedzīvoja ilgu gaidīšanu.
漫画	komikss	Šis komikss ir ļoti populārs jauniešu vidū.
蔓延	izplatīties	Uguns ātri izplatījās dziļāk mežā.
忙碌	aizņemts	Gada beigas uzņēmumā ir visvairāk aizņemtais laiks.
盲目	akls	Ieguldījumos nedrīkst akli sekot tendencēm.
茫茫	bezgalīgs	Laiva pazuda bezgalīgajā jūrā.
茫然	apmulsis	Pēc paskaidrojuma noklausīšanās viņš joprojām izskatījās apmulsis.
冒充	izlikties	Kāds izlikās par policistu, lai izkrāptu naudu.
冒犯	aizvainot	Mani vārdi nebija domāti, lai tevi aizvainotu.
茂盛	kupls	Koki pagalmā aug ļoti kupli.
媒介	medijs	Internets ir svarīgs informācijas medijs.
枚	skaitītājvārds	Viņš savāca vairākas piemiņas monētas.
美观	glīts	Šis dizains ir gan praktisks, gan glīts.
美满	laimīgs	Viņi dzīvo laimīgu un piepildītu dzīvi.
美妙	brīnišķīgs	Koncerts sniedza brīnišķīgu pieredzi.
萌芽	dīglis	Sāka rasties jaunas idejas dīglis.
猛烈	spēcīgs	Vētra atnāca ļoti spēcīgi.
眯	sašaurināt acis	Saule bija pārāk spilgta, tāpēc viņš sašaurināja acis.
弥补	kompensēt	Atvainošanās nevar pilnībā kompensēt zaudējumus.
弥漫	piepildīt	Ziedu smarža piepildīja pagalmu.
谜语	mīkla	Bērniem patīk minēt mīklas.
迷惑	apjukt	Sarežģītie dati lika viņam apjukt.
迷人	apburošs	Nakts skats pie jūras ir ļoti apburošs.
迷信	māņticība	Zinātniskā izglītība var mazināt māņticību.
密度	blīvums	Šim metālam ir augsts blīvums.
密封	aizzīmogot	Pēc atvēršanas, lūdzu, atkal aizzīmogo maisiņu.
棉花	kokvilna	Zemnieki vāc kokvilnu.
免得	lai izvairītos no	Izej agrāk, lai izvairītos no kavēšanās.
免疫	imunitāte	Šī vakcīna var uzlabot imunitāti.
