simplified	TH	example_TH	MS	example_MS	ID	example_ID
可怜	น่าสงสาร	เด็กคนนี้หาบ้านไม่เจอ น่าสงสารจริง ๆ	kasihan; menyedihkan	Kanak-kanak ini tidak dapat mencari rumah, kasihan sungguh.	kasihan; menyedihkan	Anak ini tidak bisa menemukan rumahnya, kasihan sekali.
可是	แต่; แต่ว่า	แม้ว่าฉันอยากไปมาก แต่จริง ๆ แล้วไม่มีเวลา	tetapi; namun	Walaupun saya sangat mahu pergi, tetapi benar-benar tiada masa.	tetapi; namun	Meskipun saya sangat ingin pergi, tetapi benar-benar tidak ada waktu.
可惜	น่าเสียดาย	น่าเสียดายมากที่คุณมาเข้าร่วมงานเลี้ยงของเราไม่ได้	sayang sekali; malang	Sayang sekali kamu tidak dapat datang ke perjumpaan kami.	sayang sekali; sayangnya	Sayang sekali kamu tidak bisa datang ke acara kami.
客厅	ห้องนั่งเล่น	พ่อกำลังดูทีวีอยู่ในห้องนั่งเล่น	ruang tamu	Ayah sedang menonton TV di ruang tamu.	ruang tamu	Ayah sedang menonton TV di ruang tamu.
肯定	แน่นอน; มั่นใจ	ฉันจะกลับมาก่อนห้าโมงแน่นอน	pasti; tentu	Saya pasti akan kembali sebelum pukul lima.	pasti; tentu	Saya pasti akan kembali sebelum pukul lima.
空	ว่าง; เปล่า	ห้องนี้ว่าง	kosong	Bilik ini kosong.	kosong	Ruangan ini kosong.
空气	อากาศ	อากาศในสวนสาธารณะสดชื่นมาก	udara	Udara di taman sangat segar.	udara	Udara di taman sangat segar.
恐怕	เกรงว่า; กลัวว่า	เกรงว่าฝนจะตก คุณเอาร่มมาหรือยัง?	takut-takut; bimbang	Takut-takut akan hujan, kamu sudah bawa payung?	takutnya; khawatir	Takutnya akan hujan, kamu membawa payung?
苦	ขม; ความลำบาก	กาแฟแก้วนี้ขมมาก	pahit; kesusahan	Kopi ini sangat pahit.	pahit; kesulitan	Kopi ini sangat pahit.
矿泉水	น้ำแร่	ฉันซื้อน้ำแร่มาสองขวด	air mineral	Saya membeli dua botol air mineral.	air mineral	Saya membeli dua botol air mineral.
困	ง่วง; เหนื่อย	ฉันง่วงแล้ว จะไปนอน	mengantuk; letih	Saya sudah mengantuk, hendak pergi tidur.	mengantuk; lelah	Saya mengantuk dan mau tidur.
困难	ยาก; ความยากลำบาก	ภารกิจนี้ยากมากสำหรับฉัน	sukar; kesukaran	Tugas ini sangat sukar bagi saya.	sulit; kesulitan	Tugas ini sangat sulit bagi saya.
垃圾桶	ถังขยะ	บนถนนมีถังขยะจำนวนมาก	tong sampah	Di jalan ada banyak tong sampah.	tempat sampah	Di jalan ada banyak tempat sampah.
拉	ดึง; จูง	แม่จูงมือลูกสาว	menarik; memegang	Ibu memegang tangan anak perempuannya.	menarik; memegang	Ibu memegang tangan putrinya.
辣	เผ็ด	ฉันไม่คุ้นกับการกินอาหารที่เผ็ดเกินไป	pedas	Saya tidak biasa makan hidangan yang terlalu pedas.	pedas	Saya tidak terbiasa makan makanan yang terlalu pedas.
来不及	ไม่ทัน; สายเกินไป	เช้านี้ฉันตื่นสาย จึงไม่ทันกินอาหารเช้า	tidak sempat	Saya bangun lewat pagi ini, jadi tidak sempat makan sarapan.	tidak sempat	Saya bangun kesiangan pagi ini, jadi tidak sempat sarapan.
来得及	ยังทัน	หนังเริ่มตั้งเก้าโมงครึ่ง ยังทัน	masih sempat	Filem baru bermula pukul sembilan setengah, masih sempat.	masih sempat	Film baru mulai pukul setengah sepuluh, masih sempat.
来自	มาจาก	ฉันมาจากมณฑลซานตง	berasal dari	Saya berasal dari wilayah Shandong.	berasal dari	Saya berasal dari Provinsi Shandong.
懒	ขี้เกียจ	แมวตัวเล็กของบ้านฉันขี้เกียจมาก นอนทั้งบ่าย	malas	Kucing kecil di rumah saya sangat malas, tidur sepanjang petang.	malas	Kucing kecil di rumah saya sangat malas, tidur sepanjang sore.
浪费	สิ้นเปลือง; เสียเปล่า	ทำแบบนี้เป็นแค่การเสียเวลา	membazir	Perbuatan begini hanya membazir masa.	membuang-buang; boros	Melakukan ini hanya membuang-buang waktu.
浪漫	โรแมนติก	หนังสือเล่มนี้เล่าเรื่องราวความรักที่โรแมนติก	romantik	Buku ini menceritakan kisah cinta yang romantik.	romantis	Buku ini menceritakan kisah cinta yang romantis.
老虎	เสือ	ทุกครั้งที่ไปสวนสัตว์ สิ่งที่ลูกชายชอบดูที่สุดคือเสือ	harimau	Setiap kali pergi ke zoo, anak lelaki paling suka melihat harimau.	harimau	Setiap kali pergi ke kebun binatang, yang paling disukai anak laki-laki saya adalah harimau.
冷静	ใจเย็น; สงบ	อย่าตื่นเต้นไป ใจเย็นก่อน	tenang	Jangan terlalu teruja, tenang dulu.	tenang	Jangan terbawa emosi, tenang dulu.
理发	ตัดผม; การตัดผม	คุณจะไปตัดผมเมื่อไหร่?	memotong rambut; potongan rambut	Bila kamu akan pergi memotong rambut?	potong rambut; cukur	Kapan kamu pergi potong rambut?
理解	เข้าใจ	ปัญหานี้คุณเข้าใจแล้วไหม?	memahami	Adakah kamu sudah memahami masalah ini?	memahami	Apakah kamu sudah memahami masalah ini?
理想	อุดมคติ; ความฝัน	อาชีพในอุดมคติของคุณคืออะไร?	ideal; impian	Apakah kerjaya ideal kamu?	ideal; cita-cita	Apa pekerjaan idealmu?
礼拜天	วันอาทิตย์	วันอาทิตย์นี้คุณว่างไหม?	hari Ahad	Hari Ahad ini, kamu lapang?	hari Minggu	Hari Minggu ini, kamu ada waktu luang?
礼貌	มารยาท; สุภาพ	เด็กคนนี้มีมารยาทมาก	sopan; adab	Kanak-kanak ini sangat sopan.	sopan; tata krama	Anak ini sangat sopan.
例如	เช่น; ตัวอย่างเช่น	ฉันชอบกีฬา เช่น วิ่งและว่ายน้ำ	contohnya; misalnya	Saya suka sukan, contohnya berlari dan berenang.	contohnya; misalnya	Saya suka olahraga, misalnya lari dan berenang.
力气	แรง; กำลัง	เดินมาไกลขนาดนี้ ฉันเหนื่อยจนไม่มีแรงเหลือเลย	kekuatan; tenaga	Selepas berjalan begitu jauh, saya terlalu letih sehingga tiada tenaga lagi.	kekuatan; tenaga	Setelah berjalan sejauh ini, saya lelah sampai tidak punya tenaga lagi.
厉害	รุนแรง; หนัก	เขาป่วยหนักมากจนต้องเข้าโรงพยาบาล	teruk; serius	Dia sakit dengan teruk lalu dimasukkan ke hospital.	parah; serius	Dia sakit parah dan dirawat di rumah sakit.
俩	สองคน; ทั้งสอง	เราสองคนเป็นเพื่อนที่ดีต่อกัน	berdua; dua orang	Kami berdua kawan baik.	berdua; dua orang	Kami berdua adalah teman baik.
联系	ติดต่อ; ความสัมพันธ์	คุณยังติดต่อกับเพื่อนร่วมมหาวิทยาลัยอยู่ไหม?	hubungan; berhubung	Adakah kamu masih berhubung dengan rakan universiti?	kontak; hubungan	Apakah kamu masih berhubungan dengan teman kuliah?
连	แม้แต่; รวมทั้ง	ทำไมคุณถึงลืมแม้แต่ฉันด้วย?	malah; termasuk	Bagaimana kamu boleh lupa saya juga?	bahkan; termasuk	Bagaimana kamu bahkan bisa melupakan saya?
凉快	เย็นสบาย	อากาศในฤดูใบไม้ร่วงเย็นสบาย	sejuk nyaman	Cuaca musim luruh sangat nyaman dan sejuk.	sejuk nyaman	Cuaca musim gugur terasa sejuk.
零钱	เงินย่อย; เงินทอน	คุณช่วยแลกเงินย่อยให้ฉันหน่อยได้ไหม?	wang kecil; baki wang	Bolehkah anda menukar sedikit wang kecil untuk saya?	uang kecil; kembalian	Bisakah Anda menukarkan sedikit uang kecil untuk saya?
另外	อีก; นอกจากนี้	ฉันยังอยากคุยกับคุณเรื่องอีกเรื่องหนึ่ง	lain; selain itu	Saya juga mahu berbincang dengan kamu tentang satu perkara lain.	lain; selain itu	Saya juga ingin berbicara denganmu tentang satu hal lain.
流利	คล่องแคล่ว	คุณพูดภาษาจีนได้คล่องมาก	lancar	Kamu bercakap bahasa Cina dengan sangat lancar.	lancar	Kamu berbicara bahasa Mandarin dengan sangat lancar.
流行	เป็นที่นิยม; แฟชั่น	คนหนุ่มสาวจำนวนมากชอบเพลงป๊อป	popular; bergaya	Ramai orang muda suka muzik pop.	populer; modis	Banyak anak muda suka musik pop.
留	ทิ้งไว้; อยู่ต่อ	กรุณาทิ้งหมายเลขโทรศัพท์ของคุณไว้	meninggalkan; tinggal	Sila tinggalkan nombor telefon kamu.	meninggalkan; tinggal	Tolong tinggalkan nomor teleponmu.
旅行	ท่องเที่ยว; การเดินทาง	พวกเราวางแผนจะไปท่องเที่ยวยูนนานช่วงฤดูร้อน	melancong; perjalanan	Kami merancang untuk melancong ke Yunnan pada musim panas.	bepergian; perjalanan	Kami berencana bepergian ke Yunnan pada musim panas.
乱	รก; วุ่นวาย	ลูกสุนัขทำห้องรกมาก	kacau; bersepah	Anak anjing itu membuat bilik sangat bersepah.	berantakan; kacau	Anak anjing membuat kamar sangat berantakan.
律师	ทนายความ	แม่ของฉันเป็นทนายความคนหนึ่ง	peguam	Ibu saya seorang peguam.	pengacara	Ibu saya adalah seorang pengacara.
麻烦	รบกวน; ยุ่งยาก	รบกวนคุณช่วยหยิบแก้วให้ฉันหน่อยได้ไหม?	menyusahkan; tolong	Tolong bantu saya ambilkan sebuah cawan, boleh?	merepotkan; tolong	Bisakah Anda membantu saya mengambilkan gelas?
马虎	สะเพร่า; ไม่รอบคอบ	สะเพร่าเพียงนิดเดียวก็อาจเกิดข้อผิดพลาดได้	cuai; lalai	Sedikit kecuaian boleh menyebabkan kesilapan.	ceroboh; sembarangan	Sedikit kecerobohan bisa menyebabkan kesalahan.
满	เต็ม	แก้วเต็มแล้ว	penuh	Cawan itu sudah penuh.	penuh	Cangkirnya sudah penuh.
毛	ขน; ผม	ขนของแมวตัวนี้เป็นสีขาว	bulu; rambut	Bulu kucing ini berwarna putih.	bulu; rambut	Bulu kucing ini berwarna putih.
毛巾	ผ้าขนหนู	ร้อนแล้วใช่ไหม ใช้ผ้าขนหนูเช็ดเหงื่อเถอะ	tuala	Panas, ya? Lap peluh dengan tuala.	handuk	Panas, ya? Pakailah handuk untuk mengelap keringat.
美丽	สวยงาม	เธอเป็นเด็กผู้หญิงที่สวยจริง ๆ	cantik; indah	Dia memang seorang gadis yang cantik.	cantik; indah	Dia benar-benar gadis yang cantik.
梦	ความฝัน	นี่เป็นความฝันที่น่าสนใจจริง ๆ	mimpi	Ini benar-benar mimpi yang menarik!	mimpi	Ini benar-benar mimpi yang menarik!
迷路	หลงทาง	เขาหลงทางในป่า	sesat	Dia sesat di dalam hutan.	tersesat	Dia tersesat di hutan.
密码	รหัสผ่าน; รหัสลับ	ฉันลืมรหัสผ่านบัตรเครดิตของฉัน	kata laluan; kod rahsia	Saya terlupa kata laluan kad kredit saya.	kata sandi; kode rahasia	Saya lupa kata sandi kartu kredit saya.
免费	ฟรี; ไม่เสียค่าใช้จ่าย	กินข้าวที่ร้านอาหารนี้ เครื่องดื่มฟรี	percuma; gratis	Makan di restoran ini, minuman percuma.	gratis	Makan di restoran ini, minumannya gratis.
秒	วินาที	กรุณารอฉันสิบวินาที	saat	Sila tunggu saya sepuluh saat.	detik	Tolong tunggu saya sepuluh detik.
民族	ชนชาติ; กลุ่มชาติพันธุ์	จีนเป็นประเทศที่มีหลายชนชาติ	bangsa; etnik	China ialah negara yang berbilang etnik.	bangsa; etnis	Tiongkok adalah negara multietnis.
母亲	แม่; มารดา	ฉันขอแนะนำหน่อย ท่านนี้คือแม่ของฉัน	ibu; emak	Biar saya perkenalkan, ini ibu saya.	ibu; bunda	Izinkan saya memperkenalkan, ini ibu saya.
目的	จุดประสงค์; เป้าหมาย	ฉันไม่เข้าใจจุดประสงค์ที่เขาทำแบบนี้	tujuan; maksud	Saya tidak faham tujuan dia berbuat begini.	tujuan; maksud	Saya tidak mengerti tujuan dia melakukan ini.
耐心	ความอดทน; อดทน	การให้การศึกษาแก่เด็กต้องมีความอดทน	sabar; kesabaran	Mendidik anak-anak memerlukan kesabaran.	sabar; kesabaran	Mendidik anak membutuhkan kesabaran.
难道	หรือว่า; เป็นไปได้หรือว่า	อาหารเหล่านี้ไม่อร่อยหรือ?	takkan; mungkinkah	Takkan hidangan ini tidak sedap?	masa; apakah mungkin	Apakah masakan-masakan ini tidak enak?
难受	ไม่สบาย; ทรมาน	ฉันเป็นหวัดและรู้สึกแย่มาก	tidak selesa; susah hati	Saya demam selesema dan rasa sangat tidak selesa.	tidak enak badan; tersiksa	Saya masuk angin dan merasa sangat tidak enak badan.
内	ภายใน; ข้างใน	กรุณาทำภารกิจให้เสร็จภายในสามวัน	dalam; di dalam	Sila siapkan tugas dalam masa tiga hari.	dalam; di dalam	Tolong selesaikan tugas dalam tiga hari.
内容	เนื้อหา	เนื้อหาของบทความนี้ยอดเยี่ยมมาก	kandungan; isi	Kandungan artikel ini sangat menarik.	isi; konten	Isi artikel ini sangat menarik.
能力	ความสามารถ	เขามีความสามารถในการทำงานสูงมาก	kebolehan; kemampuan	Dia sangat berkebolehan dalam kerja.	kemampuan	Dia sangat mampu dalam pekerjaannya.
年龄	อายุ	การถามอายุคนอื่นแบบตามใจชอบไม่สุภาพ	umur; usia	Bertanya umur orang lain sesuka hati tidak sopan.	umur; usia	Bertanya usia orang lain sembarangan tidak sopan.
弄	ทำ; จัดการ	ลูกสุนัขทำห้องรกมาก	membuat; mengurus	Anak anjing itu membuat bilik sangat bersepah.	membuat; mengurus	Anak anjing membuat kamar sangat berantakan.
暖和	อบอุ่น	ฤดูใบไม้ผลิมาถึงแล้ว อากาศเริ่มอุ่นขึ้น	hangat	Musim bunga sudah tiba, cuaca menjadi lebih hangat.	hangat	Musim semi sudah tiba, cuaca mulai hangat.
偶尔	บางครั้ง; เป็นครั้งคราว	ฉันพบเธอที่โรงเรียนเป็นครั้งคราว	kadangkala; sekali-sekala	Saya kadangkala berjumpa dengannya di sekolah.	kadang-kadang; sesekali	Saya sesekali bertemu dengannya di sekolah.
排队	เข้าแถว; ต่อคิว	คนที่ซื้อตั๋วกำลังต่อคิว	beratur	Orang yang membeli tiket sedang beratur.	antre	Orang-orang yang membeli tiket sedang antre.
排列	จัดเรียง; เรียงลำดับ	กรุณาจัดเรียงกล่องเหล่านี้ตามลำดับจากใหญ่ไปเล็ก	menyusun; mengatur	Sila susun kotak-kotak ini mengikut urutan dari besar ke kecil.	menyusun; mengurutkan	Tolong susun kotak-kotak ini dari yang besar ke yang kecil.
判断	ตัดสิน; การตัดสิน	การตัดสินของคุณถูกต้องทั้งหมด	menilai; pertimbangan	Pertimbangan kamu sepenuhnya betul.	menilai; keputusan	Penilaianmu sepenuhnya benar.
陪	อยู่เป็นเพื่อน; อยู่ข้าง ๆ	เวลาฉันเสียใจ คุณอยู่ข้างฉันเสมอ	menemani	Ketika saya sedih, kamu selalu berada di sisi saya.	menemani	Saat saya sedih, kamu selalu berada di sisiku.
批评	วิจารณ์; ตำหนิ	ครูแทบไม่ค่อยตำหนิฉัน	mengkritik; kritikan	Guru jarang mengkritik saya.	mengkritik; kritik	Guru jarang mengkritik saya.
皮肤	ผิวหนัง; ผิว	แม่ใส่ใจปกป้องผิวมาก	kulit	Ibu sangat memberi perhatian untuk melindungi kulit.	kulit	Ibu sangat memperhatikan perlindungan kulit.
脾气	นิสัย; อารมณ์	เขาอารมณ์ดี ไม่เคยโมโห	perangai; sifat	Dia berperangai baik dan tidak pernah marah.	sifat; temperamen	Dia punya temperamen baik dan tidak pernah marah.
篇	ลักษณนามสำหรับบทความ	บทความนี้ ฉันอ่านมาหลายรอบแล้ว	penjodoh bilangan untuk karangan	Artikel ini sudah saya baca banyak kali.	kata ukur untuk tulisan	Artikel ini sudah saya baca berkali-kali.
骗	หลอก; โกหก	ฉันไม่ได้หลอกคุณ เขามาจริง ๆ	menipu	Saya tidak menipu kamu, dia benar-benar datang.	menipu; membohongi	Saya tidak membohongimu, dia benar-benar datang.
乒乓球	ปิงปอง; เทเบิลเทนนิส	มีใครอยากเข้าร่วมการแข่งขันปิงปองไหม?	pingpong; tenis meja	Siapa yang mahu menyertai pertandingan pingpong?	tenis meja; pingpong	Siapa yang ingin ikut pertandingan tenis meja?
平时	ตามปกติ; ปกติ	ปกติเธอออกกำลังกายน้อยมาก	biasanya; hari biasa	Dia biasanya jarang bersenam.	biasanya; sehari-hari	Dia biasanya jarang berolahraga.
破	แตก; เสีย; ชำรุด	ขอโทษ ฉันทำกระจกแตก	pecah; rosak	Maaf, saya telah memecahkan cermin.	pecah; rusak	Maaf, saya memecahkan cermin.
葡萄	องุ่น	องุ่นห้าหยวนต่อครึ่งกิโลกรัม	anggur	Anggur lima yuan untuk setengah kilo.	anggur	Anggur lima yuan per setengah kilo.
普遍	ทั่วไป; แพร่หลาย	ปัญหานี้พบได้ทั่วไป	umum; meluas	Masalah ini sangat umum.	umum; tersebar luas	Masalah ini sangat umum.
普通话	ภาษาจีนกลาง	คุณพูดภาษาจีนกลางได้ดีมาก	Bahasa Mandarin	Kamu bercakap Bahasa Mandarin dengan sangat baik.	Bahasa Mandarin	Kamu berbicara bahasa Mandarin dengan sangat baik.
其次	รองลงมา; ต่อมา	อันดับแรกต้องปลอดภัย รองลงมาต้องเร็ว	seterusnya; kedua	Keselamatan yang pertama, kelajuan yang kedua.	berikutnya; kedua	Pertama harus aman, kedua harus cepat.
其中	ในนั้น; ในจำนวนนี้	ห้องเรียนของเรามีนักเรียนยี่สิบคน ในจำนวนนั้นห้าคนมาจากต่างประเทศ	antaranya; di antaranya	Kelas kami ada dua puluh pelajar, antaranya lima orang dari luar negara.	di antaranya; termasuk	Kelas kami punya dua puluh siswa, lima di antaranya berasal dari luar negeri.
气候	ภูมิอากาศ	คุณปรับตัวเข้ากับภูมิอากาศทางเหนือได้ไหม?	iklim	Bolehkah kamu menyesuaikan diri dengan iklim di utara?	iklim	Apakah kamu bisa beradaptasi dengan iklim utara?
千万	ต้อง; อย่าเด็ดขาด	คุณอย่าลืมการประชุมพรุ่งนี้เด็ดขาด	mesti; jangan sekali-kali	Kamu mesti jangan lupa mesyuarat esok.	harus; jangan sampai	Jangan sampai kamu lupa rapat besok.
签证	วีซ่า	พรุ่งนี้ฉันจะไปสถานทูตเพื่อทำวีซ่า	visa	Saya akan pergi ke kedutaan esok untuk memohon visa.	visa	Besok saya akan pergi ke kedutaan untuk mengurus visa.
敲	เคาะ	มีคนเคาะประตู คุณไปดูหน่อยว่าใครมา	mengetuk	Ada orang mengetuk pintu, pergi lihat siapa yang datang.	mengetuk	Ada orang mengetuk pintu, coba lihat siapa yang datang.
桥	สะพาน	บนแม่น้ำมีสะพานเล็ก ๆ หนึ่งแห่ง	jambatan	Di atas sungai ada sebuah jambatan kecil.	jembatan	Di atas sungai ada sebuah jembatan kecil.
巧克力	ช็อกโกแลต	ฉันชอบกินช็อกโกแลตที่สุด	coklat	Saya paling suka makan coklat.	cokelat	Saya paling suka makan cokelat.
亲戚	ญาติ	ญาติของฉันส่วนใหญ่อาศัยอยู่ที่ปักกิ่ง	saudara-mara	Kebanyakan saudara-mara saya tinggal di Beijing.	saudara; kerabat	Sebagian besar kerabat saya tinggal di Beijing.
轻	เบา	กล่องใบนี้เบามาก	ringan	Kotak ini sangat ringan.	ringan	Kotak ini sangat ringan.
轻松	ผ่อนคลาย; ง่าย	งานนี้ไม่ง่ายสำหรับเขา	mudah; santai	Kerja ini tidak mudah baginya.	mudah; santai	Pekerjaan ini tidak mudah baginya.
情况	สถานการณ์; สภาพ	สถานการณ์เกิดการเปลี่ยนแปลงอย่างมาก	keadaan; situasi	Keadaan telah mengalami perubahan besar.	situasi; keadaan	Situasinya mengalami perubahan besar.
穷	จน; ยากจน	แม้ว่าผู้สูงอายุคนนี้จะยากจน แต่ใช้ชีวิตอย่างมีความสุข	miskin	Walaupun orang tua ini sangat miskin, hidupnya bahagia.	miskin	Meskipun orang tua ini miskin, hidupnya bahagia.
区别	ความแตกต่าง; แยกแยะ	วัสดุสองชนิดนี้มีความแตกต่างอะไรกันไหม?	perbezaan; membezakan	Adakah perbezaan antara dua jenis bahan ini?	perbedaan; membedakan	Apakah ada perbedaan antara dua jenis bahan ini?
取	เอา; ถอน	ฉันจะไปธนาคารเพื่อถอนเงิน	mengambil; mengeluarkan	Saya pergi ke bank untuk mengeluarkan wang.	mengambil; menarik	Saya pergi ke bank untuk menarik uang.
全部	ทั้งหมด	ดนตรีคือทั้งหมดของฉัน	semua; keseluruhan	Muzik ialah segalanya bagi saya.	semua; seluruh	Musik adalah segalanya bagi saya.
缺点	ข้อเสีย; จุดอ่อน	คนเราไม่ควรเอาข้อเสียของตัวเองไปเทียบกับข้อดีของคนอื่น	kekurangan; kelemahan	Orang tidak patut membandingkan kekurangan sendiri dengan kelebihan orang lain.	kekurangan; kelemahan	Orang tidak boleh membandingkan kekurangan sendiri dengan kelebihan orang lain.
缺少	ขาด; ไม่พอ	คุณดูว่ายังขาดอะไร ฉันจะไปซื้อตอนนี้	kekurangan; kurang	Cuba lihat apa lagi yang kurang, saya akan beli sekarang.	kekurangan; kurang	Coba lihat masih kurang apa, saya akan membelinya sekarang.
却	แต่; กลับ	ฉันมีคำพูดมากมายจะพูด แต่พอตื่นเต้นกลับพูดไม่ออก	tetapi; namun	Saya ada banyak perkara hendak dikatakan, tetapi apabila gugup, saya tidak dapat mengatakannya.	tetapi; malah	Saya punya banyak hal untuk dikatakan, tetapi begitu gugup malah tidak bisa mengatakannya.
确实	จริง ๆ; แน่นอน	วิธีนี้ดีจริง ๆ	memang; benar-benar	Cara ini memang bagus.	memang; benar-benar	Cara ini memang bagus.
然而	อย่างไรก็ตาม; แต่	ฉันใช้เวลาอ่านหนังสือเล่มนี้มาก แต่ก็ยังอ่านไม่จบ	namun; walau bagaimanapun	Saya menghabiskan banyak masa membaca buku ini, namun masih belum selesai.	namun; akan tetapi	Saya menghabiskan banyak waktu membaca buku ini, tetapi masih belum selesai.
热闹	คึกคัก; มีชีวิตชีวา	บนถนนใหญ่คึกคักมาก	meriah; sibuk	Jalan besar itu sangat meriah.	ramai; meriah	Jalan besar itu sangat ramai.
任何	ใด ๆ; ไม่ว่าใคร	แม่เข้าใจฉันมากกว่าใคร ๆ	sesiapa pun; apa-apa pun	Ibu memahami saya lebih daripada sesiapa pun.	siapa pun; apa pun	Ibu memahami saya lebih baik daripada siapa pun.
任务	ภารกิจ; งาน	ภารกิจเสร็จไปแปดสิบเปอร์เซ็นต์แล้ว	tugas	Tugas itu sudah siap lapan puluh peratus.	tugas	Tugas itu sudah selesai delapan puluh persen.
扔	โยน; ทิ้ง	กรุณาทิ้งขยะลงในถังขยะ	membuang; melempar	Sila buang sampah ke dalam tong sampah.	membuang; melempar	Tolong buang sampah ke tempat sampah.
仍然	ยังคง; ยัง	วันนี้ยังคงอากาศดี	tetap; masih	Hari ini masih cuaca yang baik.	tetap; masih	Hari ini masih cuacanya bagus.
日记	ไดอารี่; บันทึกประจำวัน	ลูกสาวสร้างนิสัยเขียนไดอารี่ทุกวัน	diari	Anak perempuan saya membentuk tabiat menulis diari setiap hari.	buku harian	Anak perempuan saya membiasakan diri menulis buku harian setiap hari.
入口	ทางเข้า	ฉันรอคุณอยู่ที่ทางเข้าอาคาร	pintu masuk	Saya menunggu kamu di pintu masuk bangunan.	pintu masuk	Saya menunggumu di pintu masuk gedung.
散步	เดินเล่น	ตอนเดินเล่น ลูกสุนัขตามอยู่ข้างหลังฉันตลอด	berjalan-jalan	Semasa berjalan-jalan, anak anjing itu sentiasa mengikut di belakang saya.	jalan-jalan	Saat berjalan-jalan, anak anjing terus mengikuti saya dari belakang.
森林	ป่า	ป่าผืนนี้ใหญ่มาก	hutan	Hutan ini sangat besar.	hutan	Hutan ini sangat luas.
沙发	โซฟา	กรุณานั่งบนโซฟาสักครู่ ฉันจะไปชงชาให้คุณหนึ่งแก้ว	sofa	Sila duduk sebentar di atas sofa, saya akan tuangkan secawan teh untuk anda.	sofa	Silakan duduk sebentar di sofa, saya akan menuangkan secangkir teh untuk Anda.
伤心	เสียใจ; เศร้า	หลังได้ยินข่าวนี้ ฉันเสียใจมาก	sedih; patah hati	Selepas mendengar berita ini, saya sangat sedih.	sedih; patah hati	Setelah mendengar kabar ini, saya sangat sedih.
商量	ปรึกษา; หารือ	คุณมาพอดี พวกเรามาปรึกษากันหน่อย	berbincang; berunding	Kamu datang tepat pada masanya, mari kita berbincang sebentar.	berdiskusi; berunding	Kamu datang tepat waktu, mari kita diskusikan sebentar.
稍微	เล็กน้อย; นิดหน่อย	สะเพร่าเพียงนิดเดียวก็อาจเกิดข้อผิดพลาดได้	sedikit	Sedikit kecuaian boleh menyebabkan kesilapan.	sedikit	Sedikit kecerobohan bisa menyebabkan kesalahan.
勺子	ช้อน	ขอโทษ ฉันทำช้อนตกพื้น	sudu	Maaf, saya menjatuhkan sudu ke lantai.	sendok	Maaf, saya menjatuhkan sendok ke lantai.
社会	สังคม	ทุกคนใส่ใจปัญหาสังคมเหล่านี้มาก	masyarakat	Semua orang sangat mengambil berat tentang masalah sosial ini.	masyarakat	Semua orang sangat peduli pada masalah sosial ini.
深	ลึก; ลึกซึ้ง	ระหว่างพวกเรามีมิตรภาพที่ลึกซึ้งมาก	dalam	Antara kami ada persahabatan yang sangat mendalam.	dalam	Di antara kami ada persahabatan yang sangat dalam.
申请	สมัคร; ยื่นขอ	ฉันยื่นขอบัตรเครดิตกับธนาคาร	memohon; permohonan	Saya memohon kad kredit daripada bank.	mengajukan; permohonan	Saya mengajukan kartu kredit ke bank.
甚至	ถึงขั้น; แม้กระทั่ง	ทุกคนเล่นกันสนุกมาก ถึงขั้นลืมเวลา	malah; bahkan	Semua orang berseronok sehingga malah lupa masa.	bahkan	Semua orang bermain sangat senang, bahkan sampai lupa waktu.
生活	ชีวิต; ใช้ชีวิต	ในชีวิตมักจะพบเจอความกลุ้มใจบางอย่างเสมอ	kehidupan; hidup	Dalam kehidupan, kita selalu akan menghadapi beberapa kerisauan.	kehidupan; hidup	Dalam hidup selalu ada beberapa masalah.
生命	ชีวิต	เขามองศิลปะว่าสำคัญกว่าชีวิตของตัวเอง	nyawa; kehidupan	Dia menganggap seni lebih penting daripada nyawanya sendiri.	nyawa; kehidupan	Dia menganggap seni lebih penting daripada hidupnya sendiri.
生意	ธุรกิจ; การค้า	ธุรกิจของเขาใหญ่ขึ้นเรื่อย ๆ	perniagaan	Perniagaannya semakin besar.	bisnis; usaha	Bisnisnya semakin besar.
省	มณฑล	ฉันมาจากมณฑลซานตง	wilayah	Saya berasal dari wilayah Shandong.	provinsi	Saya berasal dari Provinsi Shandong.
剩	เหลือ	เหลือแอปเปิลเพียงสองลูกเท่านั้น	tinggal; baki	Hanya tinggal dua biji epal.	tersisa; tinggal	Hanya tersisa dua apel.
失败	ล้มเหลว; ความล้มเหลว	แม้ว่าฉันเคยผ่านความล้มเหลวมามากมาย ฉันไม่เคยยอมแพ้	gagal; kegagalan	Walaupun pernah mengalami banyak kegagalan, saya tidak pernah berputus asa.	gagal; kegagalan	Meskipun mengalami banyak kegagalan, saya tidak pernah menyerah.
失望	ผิดหวัง	ฉันผิดหวังในตัวเขามาก	kecewa	Saya sangat kecewa terhadapnya.	kecewa	Saya sangat kecewa padanya.
师傅	ช่างผู้เชี่ยวชาญ; คำเรียกสุภาพ	ขอโทษครับ ไปโรงหนังทางไหน?	tukang mahir; panggilan hormat	Maaf, bagaimana hendak pergi ke pawagam?	tukang ahli; sapaan hormat	Permisi, bagaimana cara pergi ke bioskop?
十分	มาก; อย่างยิ่ง	เธอทำงานอย่างละเอียดมาก	sangat; amat	Dia melakukan kerja dengan sangat teliti.	sangat; amat	Dia mengerjakan sesuatu dengan sangat teliti.
