simplified	TE	example_TE	KN	example_KN	ML	example_ML
排队	వరుసలో నిలబడడం	టికెట్ కొనేవాళ్లు వరుసలో నిలబడ్డారు.	ಸಾಲಿನಲ್ಲಿ ನಿಲ್ಲುವುದು	ಟಿಕೆಟ್ ಖರೀದಿಸುವವರು ಸಾಲಿನಲ್ಲಿ ನಿಂತಿದ್ದಾರೆ.	വരിയിൽ നിൽക്കുക	ടിക്കറ്റ് വാങ്ങുന്നവർ വരിയിൽ നിൽക്കുകയാണ്.
排列	క్రమంగా అమర్చడం	దయచేసి ఈ పెట్టెలను పెద్దదాని నుంచి చిన్నదానికి క్రమంగా అమర్చండి.	ಕ್ರಮವಾಗಿ ಜೋಡಿಸುವುದು	ದಯವಿಟ್ಟು ಈ ಪೆಟ್ಟಿಗೆಗಳನ್ನು ದೊಡ್ಡದರಿಂದ ಚಿಕ್ಕದರವರೆಗೆ ಕ್ರಮವಾಗಿ ಜೋಡಿಸಿ.	ക്രമീകരിക്കുക	ദയവായി ഈ പെട്ടികൾ വലുതിൽ നിന്ന് ചെറുതിലേക്ക് ക്രമീകരിക്കൂ.
判断	తీర్పు; అంచనా వేయడం	నీ తీర్పు పూర్తిగా సరైనది.	ತೀರ್ಪು; ನಿರ್ಣಯಿಸುವುದು	ನಿನ್ನ ತೀರ್ಪು ಸಂಪೂರ್ಣವಾಗಿ ಸರಿಯಾಗಿದೆ.	വിധി; വിലയിരുത്തൽ	നിന്റെ വിധി പൂർണ്ണമായും ശരിയാണ്.
陪	తోడుగా ఉండడం	నేను బాధపడుతున్నప్పుడు, నువ్వు ఎప్పుడూ నా పక్కనే ఉంటావు.	ಜೊತೆಯಿರುವುದು	ನಾನು ದುಃಖದಲ್ಲಿರುವಾಗ, ನೀನು ಯಾವಾಗಲೂ ನನ್ನ ಬಳಿಯೇ ಇರುತ್ತೀಯ.	കൂടെ ഇരിക്കുക; ഒപ്പം പോകുക	എനിക്ക് ദുഃഖമുണ്ടായപ്പോൾ നീ എല്ലായ്പ്പോഴും എന്റെ കൂടെയുണ്ട്.
批评	విమర్శించడం; విమర్శ	గురువు నన్ను చాలా అరుదుగానే విమర్శిస్తారు.	ಟೀಕಿಸುವುದು; ಟೀಕೆ	ಗುರುಗಳು ನನ್ನನ್ನು ತುಂಬಾ ಅಪರೂಪವಾಗಿ ಟೀಕಿಸುತ್ತಾರೆ.	വിമർശിക്കുക; വിമർശനം	അധ്യാപകൻ എന്നെ വളരെ അപൂർവ്വമായി മാത്രമേ വിമർശിക്കാറുള്ളൂ.
皮肤	చర్మం	అమ్మ చర్మాన్ని రక్షించడంపై చాలా శ్రద్ధ పెడుతుంది.	ಚರ್ಮ	ಅಮ್ಮ ಚರ್ಮವನ್ನು ಕಾಪಾಡುವುದಕ್ಕೆ ತುಂಬಾ ಗಮನ ಕೊಡುತ್ತಾಳೆ.	ത്വക്ക്	അമ്മ ത്വക്ക് സംരക്ഷിക്കാൻ വളരെ ശ്രദ്ധിക്കുന്നു.
脾气	స్వభావం; కోపం	అతని స్వభావం మంచిది, ఎప్పుడూ కోపపడడు.	ಸ್ವಭಾವ; ಕೋಪ	ಅವನ ಸ್ವಭಾವ ಒಳ್ಳೆಯದು, ಎಂದಿಗೂ ಕೋಪಗೊಳ್ಳುವುದಿಲ್ಲ.	സ്വഭാവം; കോപസ്വഭാവം	അവന്റെ സ്വഭാവം നല്ലതാണ്, ഒരിക്കലും കോപിക്കാറില്ല.
篇	వ్యాసం లేదా రచనకు వర్గీకార పదం	ఈ వ్యాసాన్ని నేను చాలా సార్లు చదివాను.	ಲೇಖನಕ್ಕೆ ಎಣಿಕೆಪದ; ಲೇಖನ	ಈ ಲೇಖನವನ್ನು ನಾನು ಅನೇಕ ಬಾರಿ ಓದಿದ್ದೇನೆ.	ലേഖനത്തിനുള്ള എണ്ണുപദം; ലേഖനം	ഈ ലേഖനം ഞാൻ പല തവണ വായിച്ചു.
骗	మోసం చేయడం; అబద్ధం చెప్పడం	నేను నీకు అబద్ధం చెప్పలేదు, అతను నిజంగానే వచ్చాడు.	ಮೋಸ ಮಾಡುವುದು; ಸುಳ್ಳು ಹೇಳುವುದು	ನಾನು ನಿನಗೆ ಸುಳ್ಳು ಹೇಳಿಲ್ಲ, ಅವನು ನಿಜವಾಗಿಯೂ ಬಂದಿದ್ದಾನೆ.	വഞ്ചിക്കുക; കള്ളം പറയുക	ഞാൻ നിന്നോട് കള്ളം പറഞ്ഞില്ല, അവൻ ശരിക്കും വന്നു.
乒乓球	టేబుల్ టెన్నిస్; పింగ్‌పాంగ్	టేబుల్ టెన్నిస్ పోటీలో పాల్గొనాలని ఎవరికైనా ఉందా?	ಟೇಬಲ್ ಟೆನ್ನಿಸ್; ಪಿಂಗ್‌ಪಾಂಗ್	ಟೇಬಲ್ ಟೆನ್ನಿಸ್ ಪಂದ್ಯದಲ್ಲಿ ಯಾರು ಭಾಗವಹಿಸಲು ಬಯಸುತ್ತಾರೆ?	ടേബിൾ ടെന്നിസ്; പിംഗ്‌പോങ്	ടേബിൾ ടെന്നിസ് മത്സരത്തിൽ പങ്കെടുക്കാൻ ആരാണ് ആഗ്രഹിക്കുന്നത്?
平时	సాధారణంగా; రోజూ	ఆమె సాధారణంగా చాలా తక్కువ వ్యాయామం చేస్తుంది.	ಸಾಮಾನ್ಯವಾಗಿ; ದಿನನಿತ್ಯ	ಅವಳು ಸಾಮಾನ್ಯವಾಗಿ ಬಹಳ ಕಡಿಮೆ ವ್ಯಾಯಾಮ ಮಾಡುತ್ತಾಳೆ.	സാധാരണയായി	അവൾ സാധാരണയായി വളരെ കുറച്ച് വ്യായാമം മാത്രമേ ചെയ്യാറുള്ളൂ.
破	పగిలిన; పగలగొట్టడం	క్షమించండి, నేను అద్దాన్ని పగలగొట్టాను.	ಒಡೆದ; ಒಡೆಯುವುದು	ಕ್ಷಮಿಸಿ, ನಾನು ಕನ್ನಡಿಯನ್ನು ಒಡೆದಿದ್ದೇನೆ.	പൊട്ടിയ; പൊട്ടിക്കുക	ക്ഷമിക്കണം, ഞാൻ കണ്ണാടി പൊട്ടിച്ചു.
葡萄	ద్రాక్ష	ద్రాక్ష అర కిలోకు ఐదు యువాన్.	ದ್ರಾಕ್ಷಿ	ದ್ರಾಕ್ಷಿ ಅರ್ಧ ಕಿಲೋಗೆ ಐದು ಯುವಾನ್.	മുന്തിരി	മുന്തിരി അര കിലോയ്ക്ക് അഞ്ച് യുവാനാണ്.
普遍	సాధారణమైన; విస్తృతమైన	ఈ సమస్య చాలా సాధారణం.	ಸಾಮಾನ್ಯ; ವ್ಯಾಪಕ	ಈ ಸಮಸ್ಯೆ ತುಂಬಾ ಸಾಮಾನ್ಯವಾಗಿದೆ.	സാധാരണമായ; വ്യാപകമായ	ഈ പ്രശ്നം വളരെ സാധാരണമാണ്.
普通话	ప్రామాణిక చైనీస్; మండారిన్	నీ ప్రామాణిక చైనీస్ చాలా బాగా మాట్లాడుతున్నావు.	ಪ್ರಮಾಣಿತ ಚೀನೀ; ಮ್ಯಾಂಡರಿನ್	ನೀನು ಪ್ರಮಾಣಿತ ಚೀನೀ ಭಾಷೆಯನ್ನು ತುಂಬಾ ಚೆನ್ನಾಗಿ ಮಾತನಾಡುತ್ತೀಯ.	സ്റ്റാൻഡേർഡ് ചൈനീസ്; മാൻഡറിൻ	നീ സ്റ്റാൻഡേർഡ് ചൈനീസ് വളരെ നന്നായി സംസാരിക്കുന്നു.
其次	రెండవది; తరువాత	మొదట భద్రత కావాలి, రెండవది వేగం కావాలి.	ಎರಡನೆಯದು; ನಂತರ	ಮೊದಲು ಸುರಕ್ಷತೆ ಬೇಕು, ಎರಡನೆಯದು ವೇಗ ಬೇಕು.	രണ്ടാമതായി; തുടർന്ന്	ആദ്യം സുരക്ഷ വേണം, രണ്ടാമതായി വേഗം വേണം.
其中	వాటిలో; అందులో	మా తరగతిలో ఇరవై మంది విద్యార్థులు ఉన్నారు, వారిలో ఐదుగురు విదేశాల నుంచి వచ్చారు.	ಅವುಗಳಲ್ಲಿ; ಅವರಲ್ಲಿ	ನಮ್ಮ ತರಗತಿಯಲ್ಲಿ ಇಪ್ಪತ್ತು ವಿದ್ಯಾರ್ಥಿಗಳಿದ್ದಾರೆ, ಅವರಲ್ಲಿ ಐವರು ವಿದೇಶದಿಂದ ಬಂದವರು.	അവയിൽ; അതിൽ	ഞങ്ങളുടെ ക്ലാസിൽ ഇരുപത് വിദ്യാർത്ഥികളുണ്ട്, അവരിൽ അഞ്ചുപേർ വിദേശത്തുനിന്നുള്ളവർ.
气候	వాతావరణం; వాతావరణ పరిస్థితి	ఉత్తర ప్రాంతపు వాతావరణానికి నువ్వు అలవాటు పడగలవా?	ಹವಾಮಾನ	ಉತ್ತರದ ಹವಾಮಾನಕ್ಕೆ ನೀನು ಹೊಂದಿಕೊಳ್ಳಬಹುದೇ?	കാലാവസ്ഥ	വടക്കൻ കാലാവസ്ഥയ്ക്ക് നിനക്ക് ഇണങ്ങാനാകുമോ?
千万	తప్పకుండా; ఎట్టి పరిస్థితుల్లోనూ కాదు	రేపటి సమావేశాన్ని ఎట్టి పరిస్థితుల్లోనూ మర్చిపోకు.	ಖಂಡಿತವಾಗಿ; ಯಾವತ್ತೂ ಬೇಡ	ನಾಳೆಯ ಸಭೆಯನ್ನು ಖಂಡಿತವಾಗಿಯೂ ಮರೆಯಬೇಡ.	തീർച്ചയായും; ഒരിക്കലും വേണ്ട	നാളത്തെ യോഗം ഒരിക്കലും മറക്കരുത്.
签证	వీసా	నేను రేపు వీసా కోసం రాయబార కార్యాలయానికి వెళ్లాలి.	ವೀಸಾ	ನಾನು ನಾಳೆ ವೀಸಾಗಾಗಿ ರಾಯಭಾರಿ ಕಚೇರಿಗೆ ಹೋಗಬೇಕು.	വിസ	വിസയ്ക്കായി ഞാൻ നാളെ ദൂതാവാസത്തിലേക്ക് പോകണം.
敲	తట్టడం; కొట్టడం	ఎవరో తలుపు తడుతున్నారు, ఎవరు వచ్చారో వెళ్లి చూడు.	ತಟ್ಟುವುದು; ಹೊಡೆಯುವುದು	ಯಾರೋ ಬಾಗಿಲು ತಟ್ಟುತ್ತಿದ್ದಾರೆ, ಯಾರು ಬಂದಿದ್ದಾರೆಂದು ಹೋಗಿ ನೋಡು.	മുട്ടുക; തട്ടുക	ആരോ വാതിൽ മുട്ടുന്നു, ആരാണ് വന്നതെന്ന് പോയി നോക്കൂ.
桥	వంతెన	నదిపై ఒక చిన్న వంతెన ఉంది.	ಸೇತುವೆ	ನದಿಯ ಮೇಲೆ ಒಂದು ಚಿಕ್ಕ ಸೇತುವೆ ಇದೆ.	പാലം	നദിക്ക് മുകളിൽ ഒരു ചെറിയ പാലമുണ്ട്.
巧克力	చాక్లెట్	నాకు చాక్లెట్ తినడం చాలా ఇష్టం.	ಚಾಕೊಲೇಟ್	ನನಗೆ ಚಾಕೊಲೇಟ್ ತಿನ್ನುವುದು ತುಂಬಾ ಇಷ್ಟ.	ചോക്ലേറ്റ്	എനിക്ക് ഏറ്റവും ഇഷ്ടം ചോക്ലേറ്റ് കഴിക്കാനാണ്.
亲戚	బంధువు	నా బంధువులలో చాలా మంది బీజింగ్‌లో ఉంటారు.	ಬಂಧು; ಸಂಬಂಧಿ	ನನ್ನ ಬಂಧುಗಳಲ್ಲಿ ಬಹುತೇಕರು ಬೀಜಿಂಗ್‌ನಲ್ಲಿ ವಾಸಿಸುತ್ತಾರೆ.	ബന്ധു	എന്റെ ബന്ധുക്കളിൽ ഭൂരിഭാഗവും ബെയ്ജിംഗിലാണ് താമസിക്കുന്നത്.
轻	తేలికైన	ఈ పెట్టె చాలా తేలికగా ఉంది.	ಹಗುರ	ಈ ಪೆಟ್ಟಿಗೆ ತುಂಬಾ ಹಗುರವಾಗಿದೆ.	ലഘുവായ; ഭാരം കുറഞ്ഞ	ഈ പെട്ടി വളരെ ഭാരം കുറഞ്ഞതാണ്.
轻松	సులభమైన; ఆరామమైన	ఈ పని అతనికి అంత సులభం కాదు.	ಸುಲಭ; ಆರಾಮದಾಯಕ	ಈ ಕೆಲಸ ಅವನಿಗೆ ಅಷ್ಟು ಸುಲಭವಲ್ಲ.	എളുപ്പമുള്ള; സുഖകരമായ	ഈ ജോലി അവന് അത്ര എളുപ്പമല്ല.
情况	పరిస్థితి	పరిస్థితిలో చాలా పెద్ద మార్పు జరిగింది.	ಪರಿಸ್ಥಿತಿ	ಪರಿಸ್ಥಿತಿಯಲ್ಲಿ ದೊಡ್ಡ ಬದಲಾವಣೆ ಸಂಭವಿಸಿದೆ.	സ്ഥിതി; സാഹചര്യം	സ്ഥിതിയിൽ വലിയ മാറ്റം സംഭവിച്ചു.
穷	పేద	ఈ వృద్ధుడు పేదవాడైనా, చాలా సంతోషంగా జీవిస్తున్నాడు.	ಬಡ	ಈ ವೃದ್ಧರು ಬಡವರಾದರೂ, ಸಂತೋಷವಾಗಿ ಬದುಕುತ್ತಾರೆ.	ദരിദ്രൻ; പാവപ്പെട്ട	ഈ വൃദ്ധൻ ദരിദ്രനായിരുന്നാലും സന്തോഷമായി ജീവിക്കുന്നു.
区别	తేడా; వేరుచేయడం	ఈ రెండు రకాల పదార్థాల మధ్య ఏమైనా తేడా ఉందా?	ವ್ಯತ್ಯಾಸ; ಬೇರ್ಪಡಿಸುವುದು	ಈ ಎರಡು ರೀತಿಯ ಸಾಮಗ್ರಿಗಳ ನಡುವೆ ಏನಾದರೂ ವ್ಯತ್ಯಾಸ ಇದೆಯೇ?	വ്യത്യാസം; വേർതിരിക്കുക	ഈ രണ്ടു തരത്തിലുള്ള സാമഗ്രികൾക്കിടയിൽ എന്തെങ്കിലും വ്യത്യാസമുണ്ടോ?
取	తీసుకోవడం; ఉపసంహరించుకోవడం	నేను డబ్బు తీసుకోవడానికి బ్యాంకుకు వెళ్తున్నాను.	ತೆಗೆದುಕೊಳ್ಳುವುದು; ಹಿಂಪಡೆಯುವುದು	ನಾನು ಹಣ ತೆಗೆಯಲು ಬ್ಯಾಂಕ್‌ಗೆ ಹೋಗುತ್ತಿದ್ದೇನೆ.	എടുക്കുക; പിൻവലിക്കുക	ഞാൻ പണം പിൻവലിക്കാൻ ബാങ്കിലേക്ക് പോകുന്നു.
全部	అన్నీ; మొత్తం	సంగీతమే నా మొత్తం ప్రపంచం.	ಎಲ್ಲ; ಸಂಪೂರ್ಣ	ಸಂಗೀತವೇ ನನ್ನ ಸಂಪೂರ್ಣ.	എല്ലാം; മുഴുവൻ	സംഗീതമാണ് എന്റെ എല്ലാം.
缺点	లోపం; బలహీనత	మనిషి తన లోపాలను ఇతరుల గుణాలతో పోల్చకూడదు.	ದೋಷ; ದುರ್ಬಲತೆ	ಮನುಷ್ಯನು ತನ್ನ ದೋಷಗಳನ್ನು ಇತರರ ಗುಣಗಳೊಂದಿಗೆ ಹೋಲಿಸಬಾರದು.	കുറവ്; ദോഷം	ഒരാൾ സ്വന്തം കുറവുകളെ മറ്റുള്ളവരുടെ ഗുണങ്ങളുമായി താരതമ്യം ചെയ്യരുത്.
缺少	లేకపోవడం; తక్కువగా ఉండడం	ఇంకా ఏమి తక్కువగా ఉందో చూడు, నేను ఇప్పుడే కొనుక్కొస్తాను.	ಕಡಿಮೆ ಇರುವುದು; ಕೊರತೆಯಾಗುವುದು	ಇನ್ನೂ ಏನು ಕೊರತೆಯಿದೆ ನೋಡಿ, ನಾನು ಈಗಲೇ ಹೋಗಿ ಖರೀದಿಸುತ್ತೇನೆ.	കുറവുണ്ടാകുക; ഇല്ലായ്മ	ഇനിയും എന്താണ് കുറവെന്ന് നോക്കൂ, ഞാൻ ഇപ്പോൾ തന്നെ വാങ്ങിവരും.
却	కానీ; అయితే	నాకు చెప్పాల్సిన మాటలు చాలా ఉన్నాయి, కానీ టెన్షన్ పడగానే చెప్పలేకపోయాను.	ಆದರೆ; ಆದರೇನು	ನನಗೆ ಹೇಳಬೇಕಾದ ಮಾತುಗಳು ತುಂಬಾ ಇವೆ, ಆದರೆ ನರ್ವಸ್ ಆದಾಗ ಹೇಳಲಾಗಲಿಲ್ಲ.	എന്നാൽ; പക്ഷേ	എനിക്ക് പറയാനുള്ളത് വളരെ ഉണ്ടായിരുന്നു, പക്ഷേ ഉത്കണ്ഠയായപ്പോൾ പറയാൻ കഴിഞ്ഞില്ല.
确实	నిజంగా; ఖచ్చితంగా	ఈ పద్ధతి నిజంగా మంచిది.	ನಿಜವಾಗಿಯೂ; ಖಚಿತವಾಗಿ	ಈ ವಿಧಾನ ನಿಜವಾಗಿಯೂ ಚೆನ್ನಾಗಿದೆ.	നിജമായി; തീർച്ചയായും	ഈ രീതി തീർച്ചയായും നല്ലതാണ്.
然而	అయితే; కానీ	ఈ పుస్తకం చదవడానికి నేను చాలా సమయం ఖర్చు చేశాను, కానీ ఇంకా పూర్తిచేయలేదు.	ಆದರೆ; ಆದರೇನು	ಈ ಪುಸ್ತಕ ಓದಲು ನಾನು ಬಹಳ ಸಮಯ ಕಳೆಯಿದೆ, ಆದರೆ ಇನ್ನೂ ಮುಗಿಸಿಲ್ಲ.	എന്നാൽ; പക്ഷേ	ഈ പുസ്തകം വായിക്കാൻ ഞാൻ വളരെ സമയം ചെലവഴിച്ചു, എന്നാൽ ഇനിയും തീർത്തിട്ടില്ല.
热闹	కలకలంగా; ఉత్సాహంగా	పెద్ద వీధి చాలా కలకలంగా ఉంది.	ಗದ್ದಲದಿಂದ ಕೂಡಿದ; ಚೈತನ್ಯಭರಿತ	ದೊಡ್ಡ ರಸ್ತೆ ತುಂಬಾ ಚೈತನ್ಯಭರಿತವಾಗಿದೆ.	കോളാഹലമുള്ള; സജീവമായ	വലിയ തെരുവ് വളരെ സജീവമാണ്.
任何	ఏదైనా; ఎవరైనా	అమ్మ నన్ను ఎవరికన్నా బాగా అర్థం చేసుకుంటుంది.	ಯಾವುದೇ; ಯಾರಾದರೂ	ಅಮ್ಮ ನನ್ನನ್ನು ಯಾರಿಗಿಂತಲೂ ಚೆನ್ನಾಗಿ ಅರ್ಥಮಾಡಿಕೊಳ್ಳುತ್ತಾರೆ.	ഏതെങ്കിലും; ആരും	അമ്മ എന്നെ മറ്റാരേക്കാളും നന്നായി മനസ്സിലാക്കുന്നു.
任务	పని; కర్తవ్యం	పని ఎనభై శాతం పూర్తయ్యింది.	ಕೆಲಸ; ಕಾರ್ಯ	ಕಾರ್ಯ ಎಂಭತ್ತು ಪ್ರತಿಶತ ಪೂರ್ಣಗೊಂಡಿದೆ.	ജോലി; ദൗത്യം	ജോലി എൺപത് ശതമാനം പൂർത്തിയായി.
扔	విసరడం; పారేయడం	దయచేసి చెత్తను చెత్త బుట్టలో వేయండి.	ಎಸೆಯುವುದು; ತೂರಿಹಾಕುವುದು	ದಯವಿಟ್ಟು ಕಸವನ್ನು ಕಸ ಬುಟ್ಟಿಗೆ ಎಸೆದುಬಿಡಿ.	എറിയുക; കളയുക	ദയവായി മാലിന്യം മാലിന്യക്കുപ്പിയിൽ ഇടൂ.
仍然	ఇంకా; అయినప్పటికీ	ఈ రోజు ఇంకా మంచి వాతావరణమే ఉంది.	ಇನ್ನೂ; ಆದರೂ	ಇಂದು ಇನ್ನೂ ಒಳ್ಳೆಯ ಹವಾಮಾನವೇ ಇದೆ.	ഇനിയും; ഇപ്പോഴും	ഇന്നും നല്ല കാലാവസ്ഥയാണ്.
日记	డైరీ	కూతురు ప్రతిరోజూ డైరీ రాసే అలవాటు పెంచుకుంది.	ದಿನಚರಿ; ಡೈರಿ	ಮಗಳು ಪ್ರತಿದಿನ ಡೈರಿ ಬರೆಯುವ ಅಭ್ಯಾಸ ಬೆಳೆಸಿಕೊಂಡಿದ್ದಾಳೆ.	ഡയറി	മകൾ ദിവസവും ഡയറി എഴുതുന്ന ശീലം വളർത്തിയെടുത്തു.
入口	ప్రవేశ ద్వారం	నేను భవనం ప్రవేశ ద్వారం దగ్గర నిన్ను ఎదురుచూస్తున్నాను.	ಪ್ರವೇಶದ್ವಾರ	ನಾನು ಕಟ್ಟಡದ ಪ್ರವೇಶದ್ವಾರದಲ್ಲಿ ನಿನ್ನನ್ನು ಕಾಯುತ್ತಿದ್ದೇನೆ.	പ്രവേശനം; പ്രവേശനകവാടം	ഞാൻ കെട്ടിടത്തിന്റെ പ്രവേശനകവാടത്തിൽ നിന്നെ കാത്തിരിക്കുന്നു.
散步	నడకకు వెళ్లడం	నడుస్తున్నప్పుడు చిన్న కుక్క ఎప్పుడూ నా వెనకే వచ్చింది.	ನಡೆಯಲು ಹೋಗುವುದು; ತಿರುಗಾಟ	ನಾನು ನಡೆದುಕೊಂಡು ಹೋಗುವಾಗ ಚಿಕ್ಕ ನಾಯಿ ಯಾವಾಗಲೂ ನನ್ನ ಹಿಂದೆ ಬರುತ್ತಿತ್ತು.	നടക്കാൻ പോകുക; നടക്കുക	നടക്കുമ്പോൾ കുഞ്ഞ് നായ എല്ലായ്പ്പോഴും എന്റെ പിന്നാലെയായിരുന്നു.
森林	అడవి	ఈ అడవి చాలా పెద్దది.	ಕಾಡು; ಅರಣ್ಯ	ಈ ಕಾಡು ತುಂಬಾ ದೊಡ್ಡದು.	കാട്; വന്യം	ഈ കാട് വളരെ വലുതാണ്.
沙发	సోఫా	దయచేసి సోఫాపై కాసేపు కూర్చోండి, నేను మీకు ఒక కప్పు టీ పోస్తాను.	ಸೋಫಾ	ದಯವಿಟ್ಟು ಸೋಫಾದ ಮೇಲೆ ಸ್ವಲ್ಪ ಕುಳಿತುಕೊಳ್ಳಿ, ನಾನು ನಿಮಗೆ ಒಂದು ಕಪ್ ಚಹಾ ಹಾಕುತ್ತೇನೆ.	സോഫ	ദയവായി സോഫയിൽ കുറച്ച് നേരം ഇരിക്കൂ, ഞാൻ താങ്കൾക്ക് ഒരു കപ്പ് ചായ ഒഴിക്കാം.
伤心	బాధపడడం; మనసు విరగడం	ఈ వార్త విన్న తర్వాత నేను చాలా బాధపడ్డాను.	ದುಃಖಪಡುವುದು; ಮನಸ್ಸಿಗೆ ನೋವಾಗುವುದು	ಈ ಸುದ್ದಿ ಕೇಳಿದ ನಂತರ ನನಗೆ ತುಂಬಾ ದುಃಖವಾಯಿತು.	ദുഃഖിക്കുക; മനസ്സ് വേദനിക്കുക	ഈ വാർത്ത കേട്ട ശേഷം എനിക്ക് വളരെ ദുഃഖമായി.
商量	చర్చించడం; సంప్రదించడం	నువ్వు సరైన సమయానికి వచ్చావు, మనం కాసేపు చర్చిద్దాం.	ಚರ್ಚಿಸುವುದು; ಮಾತುಕತೆ ಮಾಡುವುದು	ನೀನು ಸರಿಯಾದ ಸಮಯಕ್ಕೆ ಬಂದೆ, ನಾವು ಸ್ವಲ್ಪ ಚರ್ಚಿಸೋಣ.	ചർച്ച ചെയ്യുക; ആലോചിക്കുക	നീ ശരിയായ സമയത്ത് വന്നു, നമുക്ക് ഒന്ന് ചർച്ച ചെയ്യാം.
稍微	కొంచెం; స్వల్పంగా	కొంచెం అజాగ్రత్తగా ఉన్నా తప్పు వస్తుంది.	ಸ್ವಲ್ಪ; ಸ್ವಲ್ಪ ಮಟ್ಟಿಗೆ	ಸ್ವಲ್ಪ ಅಜಾಗರೂಕತೆ ಮಾಡಿದರೂ ತಪ್ಪಾಗುತ್ತದೆ.	അൽപ്പം; കുറച്ച്	അൽപ്പം അശ്രദ്ധയായാലും തെറ്റ് സംഭവിക്കും.
勺子	చెంచా	క్షమించండి, నేను చెంచాను నేలపై పడేశాను.	ಚಮಚ	ಕ್ಷಮಿಸಿ, ನಾನು ಚಮಚವನ್ನು ನೆಲಕ್ಕೆ ಬಿಟ್ಟೆ.	കരണ്ടി	ക്ഷമിക്കണം, ഞാൻ കരണ്ടി നിലത്ത് വീഴ്ത്തി.
社会	సమాజం	ఈ సామాజిక సమస్యలపై అందరూ చాలా శ్రద్ధ చూపుతున్నారు.	ಸಮಾಜ	ಈ ಸಮಾಜದ ಸಮಸ್ಯೆಗಳ ಬಗ್ಗೆ ಎಲ್ಲರೂ ತುಂಬಾ ಕಾಳಜಿ ಹೊಂದಿದ್ದಾರೆ.	സമൂഹം	ഈ സാമൂഹിക പ്രശ്നങ്ങളെക്കുറിച്ച് എല്ലാവർക്കും വലിയ ആശങ്കയുണ്ട്.
深	లోతైన; గాఢమైన	మన మధ్య చాలా గాఢమైన స్నేహం ఉంది.	ಆಳವಾದ; ಗಾಢ	ನಮ್ಮ ನಡುವೆ ತುಂಬಾ ಗಾಢ ಸ್ನೇಹವಿದೆ.	ആഴമുള്ള; ഗാഢമായ	ഞങ്ങള്ക്കിടയിൽ വളരെ ഗാഢമായ സൗഹൃദമുണ്ട്.
申请	దరఖాస్తు చేయడం; దరఖాస్తు	నేను బ్యాంకులో ఒక క్రెడిట్ కార్డు కోసం దరఖాస్తు చేశాను.	ಅರ್ಜಿ ಹಾಕುವುದು; ಅರ್ಜಿ	ನಾನು ಬ್ಯಾಂಕ್‌ಗೆ ಒಂದು ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್‌ಗೆ ಅರ್ಜಿ ಹಾಕಿದೆ.	അപേക്ഷിക്കുക; അപേക്ഷ	ഞാൻ ബാങ്കിൽ ഒരു ക്രെഡിറ്റ് കാർഡിന് അപേക്ഷിച്ചു.
甚至	అంతేకాదు; కూడా	అందరూ చాలా సరదాగా ఆడారు, సమయాన్నే కూడా మర్చిపోయారు.	ಅಷ್ಟೇ ಅಲ್ಲ; ಕೂಡ	ಎಲ್ಲರೂ ತುಂಬಾ ಸಂತೋಷದಿಂದ ಆಡಿದರು, ಸಮಯವನ್ನೇ ಕೂಡ ಮರೆತರು.	പോലും; അത്രയും വരെ	എല്ലാവരും വളരെ സന്തോഷിച്ചു, സമയം പോലും മറന്നു.
生活	జీవితం; జీవించడం	జీవితంలో ఎప్పుడూ కొన్ని ఆందోళనలు ఎదురవుతాయి.	ಜೀವನ; ಬದುಕುವುದು	ಜೀವನದಲ್ಲಿ ಯಾವಾಗಲೂ ಕೆಲವು ಚಿಂತೆಗಳು ಎದುರಾಗುತ್ತವೆ.	ജീവിതം; ജീവിക്കുക	ജീവിതത്തിൽ എപ്പോഴും ചില ആശങ്കകൾ വരാറുണ്ട്.
生命	ప్రాణం; జీవితం	అతను కళను తన ప్రాణం కంటే ముఖ్యంగా భావించాడు.	ಜೀವ; ಜೀವನ	ಅವನು ಕಲೆಯನ್ನು ತನ್ನ ಜೀವಕ್ಕಿಂತ ಹೆಚ್ಚು ಮುಖ್ಯವೆಂದು ನೋಡಿದನು.	ജീവൻ; ജീവിതം	അവൻ കലയെ തന്റെ ജീവനെക്കാൾ പ്രധാനമായി കണ്ടു.
生意	వ్యాపారం	అతని వ్యాపారం క్రమంగా పెద్దదవుతోంది.	ವ್ಯಾಪಾರ	ಅವನ ವ್ಯಾಪಾರ ಕ್ರಮೇಣ ದೊಡ್ಡದಾಗುತ್ತಿದೆ.	വ്യാപാരം	അവന്റെ വ്യാപാരം ക്രമേണ വലുതാകുന്നു.
省	ప్రావిన్స్; రాష్ట్ర స్థాయి ప్రాంతం	నేను షాన్‌డాంగ్ ప్రావిన్స్ నుంచి వచ్చాను.	ಪ್ರಾಂತ್ಯ	ನಾನು ಶಾಂಡಾಂಗ್ ಪ್ರಾಂತ್ಯದಿಂದ ಬಂದಿದ್ದೇನೆ.	പ്രവിശ്യ	ഞാൻ ഷാൻഡോങ് പ്രവിശ്യയിൽ നിന്നാണ് വരുന്നത്.
