simplified	TL	example_TL
呼啸	humaginit	Humaginit ang malamig na hangin sa labas ng bintana.
呼吁	manawagan	Nanawagan ang mga eksperto sa lahat na bawasan ang pagsasayang.
忽略	balewalain	Huwag balewalain ang detalyeng ito.
湖泊	lawa	Maraming likas na lawa sa lugar na ito.
胡乱	basta-basta	Huwag ilagay basta-basta sa sahig ang mga gamit.
胡须	balbas	Puti na ang kanyang balbas.
花瓣	talulot	Matapos ang ulan, nagkalat ang mga talulot sa lupa.
花蕾	usbong	Sa tagsibol, tumutubo ang mga usbong sa mga sanga.
华丽	marangya	Napakarangya ng mga kasuotan sa entablado.
华侨	Tsinong nasa ibayong-dagat	Maraming Tsinong nasa ibayong-dagat ang umuwi para mamuhunan.
划分	hatiin	Hinati ng guro ang mga estudyante sa apat na grupo.
化肥	abono	Naglagay ng abono ang mga magsasaka sa mga pananim.
化石	posil	Nagdisplay ang museo ng mga posil ng dinosauro.
化验	pagsusuri sa laboratoryo	Pinapunta siya ng doktor para sa pagsusuri sa dugo sa laboratoryo.
化妆	mag-makeup	Nagme-makeup siya bago umakyat sa entablado.
画蛇添足	sobrang dagdag	Magiging sobrang dagdag lang kung lalagyan pa ng paliwanag.
话筒	mikropono	Ibinigay ng host ang mikropono sa manonood.
欢乐	saya	Puno ng saya ang plaza sa pista.
环节	bahagi	Mahalaga ang bawat bahagi ng pagsasanay.
还原	ibalik sa dati	Paki ibalik sa dati ang mga setting.
缓和	humupa	Unti-unting humupa ang relasyon ng dalawang panig.
患者	pasyente	Tinatanong ng doktor ang kalagayan ng pasyente.
荒凉	mapanglaw	Mukhang napakamapanglaw ng lupang ito.
荒谬	katawa-tawa	Katawa-tawa ang tunog ng paliwanag na ito.
荒唐	kalokohan	Kalokohan ang naging desisyon niya.
皇帝	emperador	Nakatira ang emperador sa isang maringal na palasyo.
皇后	emperatris	Dumalo ang emperatris sa pagdiriwang.
黄昏	dapit-hapon	Sumindi ang mga ilaw sa kalye pagsapit ng dapit-hapon.
恍然大悟	biglang naunawaan	Matapos marinig ang paliwanag, bigla niyang naunawaan.
晃	umalog	Sa isang kisapmata, nawala siya sa paningin.
挥霍	lustayin	Hindi niya dapat lustayin ang pera ng kanyang mga magulang.
辉煌	maningning	May maningning na kasaysayan ang lungsod na ito.
回报	gantimpala	Sa huli, may gantimpala ang masipag na trabaho.
回避	iwasan	Patuloy niyang iniiwasan ang isyung ito.
回顾	balikan	Sa huli, binalikan ng pulong ang trabaho sa buong taon.
回收	i-recycle	Nagsimula nang i-recycle ng komunidad ang mga lumang baterya.
悔恨	pagsisisi	Nakaramdam siya ng pagsisisi sa mga dating pagkakamali.
毁灭	wasakin	Halos wasakin ng digmaan ang lungsod na ito.
会晤	makipagpulong	Magpupulong bukas ang mga lider ng dalawang bansa.
汇报	iulat	Iniulat niya sa manager ang progreso.
贿赂	suhol	Inimbestigahan ang opisyal dahil sa suhol.
昏迷	koma	Nasa koma pa rin ang pasyente.
荤	may karne	May karne ang pagkaing ito kaya hindi ito bagay sa vegetarian.
浑身	buong katawan	Matapos tumakbo, pawis ang buong katawan niya.
混合	paghaluin	Paghaluin nang pantay ang dalawang materyal.
混乱	kaguluhan	Naging napakagulo ang lugar nang sandali.
混淆	lituhin	Huwag lituhin ang dalawang konseptong ito.
混浊	maputik	Matapos ang ulan, naging maputik ang tubig sa ilog.
活该	nararapat lang	Hindi siya nakinig sa payo, kaya nararapat lang ang pagkabigo niya.
活力	sigla	Puno ng sigla ang lungsod na ito.
火箭	roket	Matagumpay na pumasok ang roket sa itinakdang orbit.
火焰	apoy	Pinalakas ng hangin ang apoy.
火药	pulbura	Binago ng pulbura ang paraan ng digmaan noong sinauna.
货币	pera	Nakaaapekto sa pag-unlad ng ekonomiya ang patakaran sa pera.
基地	base	Dati itong mahalagang base ng pagsasanay.
基金	pondo	Nagtatag ang paaralan ng pondo para sa scholarship.
基因	gene	Pinag-aaralan ng mga siyentipiko ang gene na ito.
机动	mobilidad	Pinananatili ng pangkat na ito ang mataas na mobilidad.
机构	institusyon	Responsable ang institusyong ito sa pagsusuri ng kalidad.
机灵	matalino	Napakamatalino ng batang ito.
机密	kumpidensyal	Kumpidensyal ang mga materyal na ito.
机械	makinarya	Nagpasok ang pabrika ng bagong makinarya.
机遇	pagkakataon	Dapat samantalahin ng mga kabataan ang mga pagkakataon.
机智	matalas ang isip	Napakamatalas ng isip sa kanyang sagot.
激发	pukawin	Pinukaw ng guro ang interes ng mga estudyante.
激励	pasiglahin	Pinasigla ng tagumpay na ito ang buong koponan.
激情	sigasig	Puno siya ng sigasig habang nagsasalita.
讥笑	kutyain	Huwag kutyain ang pagkakamali ng iba.
饥饿	gutom	Maaaring makaapekto sa kalusugan ang matagal na gutom.
即便	kahit	Kahit umulan, aalis kami sa oras.
即将	malapit nang	Malapit nang magsimula ang pulong.
及早	maagap	Dapat maagap na harapin ang mga problema.
吉祥	suwerte	Madalas sumagisag sa suwerte ang pula sa Tsina.
嫉妒	mainggit	Hindi siya dapat mainggit sa tagumpay ng kasamahan.
急功近利	mabilis na pakinabang	Hindi dapat gawin ang pananaliksik para lang sa mabilis na pakinabang.
急剧	mabilis	Biglang at mabilis na bumaba ang benta.
急切	sabik	Sabik siyang naghihintay ng balita.
急于求成	magmamadali sa resulta	Hindi puwedeng magmadali sa resulta kapag nag-aaral ng wika.
急躁	mainipin	Huwag maging mainipin kapag may kahirapan.
极端	matindi	Lalong nagiging karaniwan ang matinding ganitong panahon.
极限	hangganan	Hinamon ng pagsasanay na ito ang kanyang hangganan.
疾病	sakit	Nakakatulong ang mabuting gawi para maiwasan ang sakit.
籍贯	pinagmulang lugar	Kailangang ilagay sa form ang pinagmulang lugar.
级别	antas	Nahahati sa tatlong antas ang paligsahang ito.
集团	grupo	May sangay sa ibang bansa ang grupong ito.
给予	magbigay	Nagbibigay ng tulong ang paaralan sa mahihirap na estudyante.
季军	ikatlong puwesto	Nakuha niya ang ikatlong puwesto sa paligsahan.
季度	quarter	Naglalabas ng ulat pinansyal ang kumpanya kada quarter.
寂静	tahimik	Napakatahimik ng lambak sa gabi.
寄托	iasa	Iniasa niya sa anak ang kanyang pag-asa.
忌讳	tabu	Itinuturing ng mga lokal na tabu ang pag-usapan ito sa hapag-kainan.
技巧	kasanayan	Ang pag-master ng kasanayan ay nakapagpapataas ng kahusayan.
纪要	tala ng pulong	Inayos ng sekretarya ang tala ng pulong.
继承	manahin	Minana niya ang negosyo ng kanyang ama.
计较	pag-awayan	Huwag nang pag-awayan ang maliit na bagay na ito.
记性	memorya	Napakahusay ng kanyang memorya.
记载	itala	Itinala sa mga aklat ng kasaysayan ang digmaang ito.
迹象	palatandaan	Sa ngayon, walang palatandaan ng pagbuti.
佳肴	masasarap na pagkain	Puno ang mesa ng masasarap na pagkain.
加工	iproseso	Kailangang iproseso pa ang mga hilaw na materyal na ito.
加剧	lumala	Lumalala ang alitan.
夹杂	may halong	May halong kulog ang tunog ng ulan.
家常	pangbahay	Gusto kong kumain ng pangbahay na luto.
家伙	taong iyon	Laging huli ang taong iyon.
家属	kapamilya	Ipinaalam ng doktor sa kapamilya ng pasyente.
家喻户晓	kilala ng lahat	Kilala ng lahat ang kuwentong ito.
坚定	matibay	Napakatibay ng kanyang paninindigan.
坚固	matibay	Matibay ang tulay na ito.
坚韧	matatag	May matatag siyang pagkatao.
坚实	matibay	May matibay na batayan ang pananaliksik na ito.
坚硬	matigas	Napakatigas ng batong ito.
尖端	pinakamoderno	Namumuhunan ang kumpanya sa pinakamodernong teknolohiya.
尖锐	matalas	Napakamatalas ng isyung ito.
煎	iprito	Ipiniprito ng kusinero ang isda.
监督	pangasiwaan	Nakatutulong ang pangangasiwa ng publiko sa pagpapabuti ng trabaho.
监视	bantayan	Binabantayan ng pulisya ang suspek.
监狱	bilangguan	Nagsisilbi siya ng sentensiya sa bilangguan.
艰难	mahirap	Napakahirap ng unang yugto ng pagsisimula ng negosyo.
剪彩	gupitin ang ribbon	Ginupit ng alkalde ang ribbon para sa bagong aklatan.
拣	pumili	Pumili siya ng ilang mansanas mula sa basket.
检讨	suriin	Seryoso niyang sinuri ang sarili niyang mga pagkakamali.
检验	subukin	Maaaring subukin ng eksperimento ang palagay na ito.
简化	pasimplehin	Paki pasimplehin pa ang proseso.
简陋	payak	Nakatira sila sa isang payak na maliit na kubo.
简体字	pinasimpleng karakter ng Tsino	Gumagamit ng pinasimpleng karakter ng Tsino ang aklat-araling ito.
简要	maikli	Paki ipaliwanag nang maikli ang pananaw mo.
健全	palakasin	Kailangang palakasin ng kumpanya ang sistema ng pamamahala.
剑	espada	May nakasabit na sinaunang espada sa dingding.
溅	tumalsik	Tumalsik ang tubig-ulan sa pantalon niya.
舰艇	barkong pandigma	Ilang barkong pandigma ang lumahok sa ehersisyo.
见多识广	malawak ang karanasan	Malawak ang karanasan ng matandang ito.
见解	pananaw	May kakaiba siyang pananaw sa isyung ito.
见闻	kaalaman at karanasan	Napalaki ng paglalakbay ang kanyang kaalaman at karanasan.
见义勇为	matapang na gumawa ng tama	Pinuri siya dahil matapang siyang gumawa ng tama.
践踏	tapakan	Huwag tapakan ang damuhan.
鉴别	kilalanin	Kayang kilalanin ng mga eksperto kung tunay ang painting na ito.
鉴定	suriin	Sinusuri ng pulisya ang mga fingerprint.
鉴于	dahil sa	Dahil sa masamang panahon, ipinagpaliban ang aktibidad.
间谍	espiya	Tungkol sa espiya ang kuwento ng pelikulang ito.
间隔	pagitan	Isang linggo ang pagitan ng dalawang pulong.
间接	di-tuwiran	Magkakaroon ng di-tuwirang epekto ang patakarang ito.
僵硬	matigas	Mukhang matigas ang kanyang ngiti.
将军	heneral	Nagbigay ng utos ang heneral.
将近	halos	Tumagal nang halos dalawang taon ang proyektong ito.
将就	pagtiisan	Masama ang kondisyon kaya kailangan muna naming pagtiisan.
奖励	gantimpalaan	Ginantimpalaan ng paaralan ang mahuhusay na estudyante.
奖赏	gantimpala	Binigyan ng hari ang mandirigma ng malaking gantimpala.
桨	sagwan	Ginamit ng bangkero ang sagwan para idaan ang bangka sa pampang.
降临	sumapit	Unti-unting sumapit ang gabi sa ibabaw ng lungsod.
交叉	magkrus	Nagkakrus dito ang dalawang kalsada.
交代	ipaliwanag	Paki ipaliwanag nang malinaw ang gawain.
交涉	makipag-ayos	Nakikipag-ayos ang dalawang panig tungkol sa kompensasyon.
交易	transaksyon	Tapos na ang transaksyong ito.
娇气	maarte	Huwag masyadong maarte, hindi naman malamig ang panahon.
焦点	pokus	Naging pokus ng talakayan ang problema sa trabaho.
焦急	balisa	Balisang hinihintay ng ina ang pagbabalik ng anak.
侥幸	sinuwerte	Sinuwerte siyang nakaligtas sa sakuna.
搅拌	haluin	Paki haluin nang pantay ang batter.
缴纳	bayaran	Kailangang bayaran ng mga residente ang tubig sa oras.
角落	sulok	Nagtago ang pusa sa sulok ng kuwarto.
教养	mabuting asal	Nakikita sa detalye ang mabuting asal.
较量	maglaban	Maglalaban na ang dalawang malakas na koponan.
接连	sunod-sunod	Sunod-sunod siyang nakatanggap ng tatlong email.
揭露	ilantad	Inilantad ng reporter ang problema sa kaligtasan ng pagkain.
皆	lahat	Alam ng lahat ang mga patakarang ito.
阶层	antas ng lipunan	May magkakaibang pangangailangan ang iba't ibang antas ng lipunan.
截止	magsara	Magsasara ang pagpaparehistro bukas ng hapon.
截至	hanggang	Hanggang ngayon, dalawang daang tao na ang nagparehistro.
杰出	natatangi	Isa siyang natatanging siyentipiko.
竭尽全力	gawin ang lahat	Gagawin namin ang lahat para matapos ang gawain.
结晶	bunga	Bunga ng maraming taong pagsisikap ang tagumpay na ito.
结局	wakas	Di-inaasahan ang wakas ng kuwento.
结算	bayaran	Hiniling ng kliyente na bayaran ang gastos sa katapusan ng buwan.
节制	pagpipigil	Kailangan ng pagpipigil sa pagkain at pag-inom.
节奏	ritmo	Mabilis ang ritmo ng kantang ito.
解除	alisin	Inalis ng kumpanya ang alerto sa seguridad.
解放	palayain	Pinalaya ng reporma ang produktibong lakas.
解雇	tanggalin sa trabaho	Nagpasya ang amo na tanggalin sa trabaho ang empleyadong iyon.
解剖	anatomiya	Nag-aaral ng anatomiya ang mga estudyante ng medisina.
解散	buwagin	Matapos ang pulong, binuwag ang grupo.
解体	magkawatak-watak	Sa huli, nagkawatak-watak ang alyansang iyon.
借鉴	humalaw ng aral	Maaari tayong humalaw ng aral mula sa karanasan sa ibang bansa.
借助	sa tulong	Nahanap niya ang ruta sa tulong ng mapa.
戒备	pagbabantay	Nananatili ang mataas na pagbabantay sa lugar ng hangganan.
界限	hangganan	Kailangan ng malinaw na hangganan ang trabaho at buhay.
津津有味	buong gana	Buong ganang nakinig ang mga bata sa kuwento.
金融	pananalapi	Malaki ang pagbabago sa merkado ng pananalapi ngayon.
紧迫	kagyat	Kagyat ang oras kaya kailangan nating kumilos agad.
锦上添花	dagdag ganda	Dagdag ganda talaga ang regalong ito.
晋升	ma-promote	Na-promote siya bilang manager ng departamento noong nakaraang taon.
浸泡	ibabad	Kailangang ibabad ang beans nang magdamag.
近来	kamakailan	Malaki ang pagbabago ng panahon kamakailan.
进而	pagkatapos nito	Unawain muna ang pangangailangan, pagkatapos nito ay gumawa ng plano.
进攻	pag-atake	Pinalakas ng koponan ang pag-atake sa ikalawang kalahati.
进化	ebolusyon	Nag-eevolve ang mga organismo ayon sa kapaligiran.
进展	umusad	Maayos na umuusad ang proyekto ngayon.
兢兢业业	masipag at maingat	Tatlumpung taon siyang nagtrabaho nang masipag at maingat.
惊动	gulatin	Ginulat ng malakas na ingay ang mga kalapit na residente.
惊奇	mangha	Manghang-mangha ang mga bata habang nanonood ng magic show.
惊讶	magulat	Nagulat ako sa sagot niya.
精打细算	maingat magbudget	Lagi siyang maingat magbudget sa pang-araw-araw na gastos.
精华	diwa	Binuod ng artikulong ito ang diwa ng teorya.
精简	paikliin	Nagpasya ang kumpanya na paikliin ang management layer.
精密	napakatumpak	Napakatumpak ng instrumentong ito.
精确	tumpak	Kailangang tumpak hanggang dalawang decimal place ang datos.
精通	bihasa	Bihasa siya sa tatlong wikang banyaga.
精心	maingat	Maingat na naghanda ng hapunan ang ina.
精益求精	pagbutihin pa	Laging nagsisikap ang mahuhusay na artesano na pagbutihin pa ang gawa.
精致	pino	Napakino ng pagkakabalot ng regalong ito.
经费	pondo	Naaprubahan na ang pondo para sa pananaliksik.
经纬	longhitud at latitud	Minarkahan sa mapa ang mga linya ng longhitud at latitud.
茎	tangkay	Sinusuportahan ng tangkay ng halaman ang mga dahon.
井	balon	May isang lumang balon sa pasukan ng nayon.
警告	babalaan	Binalaan ng guro ang mga estudyante na huwag mandaya.
警惕	maging alerto	Dapat tayong maging alerto sa online fraud.
颈椎	leeg na gulugod	Maaaring masaktan ang leeg na gulugod dahil sa matagal na pagyuko.
境界	antas	Umabot sa bagong antas ang kanyang pagpipinta.
敬礼	sumaludo	Sumaludo ang sundalo sa pambansang watawat.
敬业	dedikado sa trabaho	Seryoso siyang magtrabaho at napakadedikado sa trabaho.
竞赛	paligsahan	Nagdaos ang paaralan ng paligsahan sa matematika.
竞选	tumakbo sa halalan	Naghahanda siyang tumakbo sa halalan bilang alkalde.
镜头	lente	Inayos ng photographer ang lente.
纠纷	alitan	Nalutas ng dalawang panig ang alitan sa pamamagitan ng mediation.
纠正	itama	Agad itinama ng guro ang pagkakamali sa bigkas.
酒精	alkohol	Gumamit ang doktor ng alkohol para linisin ang sugat.
就近	malapit	Maaaring pumasok ang mga estudyante sa malapit na paaralan.
就业	trabaho	Naglabas ang pamahalaan ng patakaran para isulong ang trabaho.
就职	manungkulan	Opisyal na manunungkulan ang bagong manager sa susunod na linggo.
救济	ayuda	Nakatanggap ng napapanahong ayuda ang mga biktima ng sakuna.
居民	residente	Tumututol ang mga kalapit na residente sa polusyon sa ingay.
居住	manirahan	Sampung taon na silang naninirahan dito.
拘留	detine	Dinetine ng pulisya ang suspek ayon sa batas.
拘束	mailang	Hindi kailangang mailang sa harap ng mga kaibigan.
鞠躬	yumuko	Yumuko ang aktor sa mga manonood bilang pasasalamat.
局部	lokal na bahagi	Lokal na anesthesia lang ang ginawa ng doktor.
局面	sitwasyon	Napagbuti ng negosasyon ang maigting na sitwasyon.
局势	kalagayan	Komplikado pa rin ang pandaigdigang kalagayan.
局限	limitasyon	May malinaw na limitasyon ang paraang ito.
举动	kilos	Naantig ang lahat sa kanyang kilos.
举世瞩目	pinapansin ng buong mundo	Nakamit ng proyektong ito ang tagumpay na pinapansin ng buong mundo.
举足轻重	napakahalaga	Napakahalaga ng kumpanyang ito sa industriya.
咀嚼	nguyain	Kailangang nguyain nang dahan-dahan kapag kumakain.
沮丧	dismayado	Dismayado siya matapos matalo sa laban.
剧本	script	Nire-revise ng direktor ang script.
剧烈	matindi	Matindi ang pagyanig ng lupa.
据悉	ayon sa ulat	Ayon sa ulat, ipagpapaliban ang pulong hanggang sa susunod na linggo.
聚精会神	buong atensyon	Buong atensyong nakinig sa klase ang mga bata.
卷	irolyo	Inirolyo niya ang mapa at inilagay sa bag.
倔强	matigas ang ulo	Matigas ang ulo ng batang ito.
决策	desisyon	Tinatalakay ng management ang isang mahalagang desisyon.
绝望	kawalan ng pag-asa	Matapos mabigo, minsan siyang nakaramdam ng kawalan ng pag-asa.
觉悟	kamalayan	Pinaangat ng karanasang ito ang kanyang kamalayan.
觉醒	gumising	Nagigising ang kamalayan ng publiko sa pangangalaga ng kapaligiran.
军队	hukbo	Mabilis na dumating ang hukbo sa lugar ng sakuna.
君子	taong may dangal	Dapat magkatugma ang salita at gawa ng taong may dangal.
卡通	kartun	Mahilig manood ng kartun na pelikula ang bata.
开采	minahin	Responsable ang kumpanyang ito sa pagmimina ng mineral.
开除	patalsikin	Nagpasya ang paaralan na patalsikin ang estudyanteng nandaya.
开阔	malawak	Malawak ang tanawin mula sa tuktok ng bundok.
开朗	masayahin	Masayahin siya at marami siyang kaibigan.
开明	bukas-isip	Bukas-isip ang saloobin ng mga magulang.
开辟	buksan	Nagbukas ang lungsod ng bagong ruta ng bus.
开拓	palawakin	Plano ng kumpanya na palawakin ang merkado sa ibang bansa.
开展	isagawa	Nagsagawa ang paaralan ng aktibidad sa edukasyong pangkaligtasan.
开支	gastos	Tumaas ang buwanang gastos ng pamilya.
刊登	ilathala	Inilathala ng pahayagan ang kanyang artikulo.
刊物	publikasyon	Lumalabas minsan sa isang buwan ang publikasyong ito.
勘探	pagsisiyasat	Nagsasagawa ng pagsisiyasat ang engineering team sa pinagmumulan ng tubig sa ilalim ng lupa.
侃侃而谈	magsalita nang may tiwala	Nagsalita siya nang may tiwala at mahaba sa pulong.
砍伐	putulin	Ipinagbabawal ang basta-bastang pagputol ng kagubatan.
看待	tingnan	Dapat nating tingnan nang obhetibo ang isyung ito.
慷慨	mapagbigay	Mapagbigay niyang idinonate ang premyong pera.
抗议	protesta	Nagprotesta ang mga residente laban sa pagtatayo ng bagong pabrika.
考察	inspeksyon	Pumunta ang mga eksperto sa lugar para sa inspeksyon ng kapaligiran.
考古	arkeolohiya	Nakatuklas ang pangkat ng arkeolohiya ng mga sinaunang libingan.
考核	suriin	Taun-taong sinusuri ng kumpanya ang performance ng mga empleyado.
考验	subok	Sinubok ng krisis na ito ang kakayahan ng koponan.
靠拢	lumapit	Lumapit ang mga miyembro ng koponan sa gitna.
磕	mabangga	Di-sinasadya siyang nabangga sa kanto ng mesa.
科目	asignatura	Matematika ang paborito niyang asignatura.
可观	malaki	Nagdala ng malaking kita ang pamumuhunang ito.
可口	masarap	Masarap ang pagkain sa restawrang ito.
可恶	kasuklam-suklam	Kasuklam-suklam talaga ang ganitong panloloko.
可行	puwede	Puwede sa pangkalahatan ang planong ito.
渴望	manabik	Nananabik ang mga bata na makakuha ng mas maraming pagkakataon.
克制	pigilan	Kailangang pigilan ang emosyon habang nagtatalo.
刻不容缓	hindi maaaring ipagpaliban	Hindi maaaring ipagpaliban ang pagprotekta sa pinagmumulan ng tubig.
客户	kliyente	Nasiyahan ang kliyente sa serbisyo.
课题	paksa	Karapat-dapat pag-aralan nang mas malalim ang paksang ito.
啃	ngatain	Nginuya ng bata ang isang piraso ng mais.
恳切	taimtim	Taimtim siyang humingi ng tulong sa lahat.
坑	hukay	May malalim na hukay sa gilid ng daan.
空洞	walang laman	Walang laman ang nilalaman ng ulat na ito.
空前绝后	walang kapantay	Masasabi na walang kapantay ang palabas na ito.
空想	pantasya	Hindi malulutas ang problema kung puro pantasya lang.
空虚	hungkag	Matapos ang abala, nakaramdam siya ng hungkag.
孔	butas	May maliit na butas sa dingding.
恐怖	nakakatakot	Nakakatakot ang atmospera ng pelikulang iyon.
恐吓	takutin	Gumamit ng banta ang kabilang panig para takutin ang saksi.
恐惧	takot	Nakaramdam ng takot ang bata sa dilim.
空白	blangko	Paki pirmahan sa blangkong espasyo.
空隙	puwang	May puwang sa pagitan ng pinto at sahig.
口气	tono	Matigas ang tono ng pananalita niya.
口腔	bibig	Sinuri ng doktor ang kanyang bibig.
口头	pasalita	Pasalitang kasunduan lang ang mayroon sila.
口音	punto; accent	May kaunting punto ang kanyang Mandarin.
扣	ikabit	Paki ikabit nang maayos ang seat belt.
哭泣	umiyak	Nagtago sa sulok ang babae at umiyak.
枯萎	malanta	Nagpalanta sa mga bulaklak ang kakulangan ng tubig.
枯燥	nakababagot	Medyo nakababagot ang trabahong ito.
苦尽甘来	guminhawa pagkatapos ng hirap	Matapos magtiis nang maraming taon, sa wakas ay guminhawa pagkatapos ng hirap.
苦涩	mapait	Mapait ang lasa ng tsaang gamot na ito.
挎	isabit sa braso	Umalis siya na may nakasabit na telang bag sa braso.
跨	humakbang	Humakbang siya sa ibabaw ng kanal at nagpatuloy pasulong.
快活	masaya	Masayang naglaro ang mga bata sa damuhan.
宽敞	maluwang	Maliwanag at maluwang ang silid-aralang ito.
宽容	mapagparaya	Kailangan ng lipunan ng mas maraming pag-unawa at pagkamapagparaya.
款待	asikasuhin	Mainit na inasikaso ng host ang mga bisita.
款式	estilo	Bagong-bago ang estilo ng damit na ito.
筐	basket	May pasan siyang isang basket ng mansanas pauwi.
况且	bukod pa rito	Malayo ang daan, bukod pa rito ay dumidilim na.
旷课	lumiban sa klase	Itatala ang mga estudyanteng lumiban sa klase nang walang dahilan.
框架	balangkas	Kailangang itakda muna ang balangkas ng ulat.
矿产	mineral	Mayaman sa yamang mineral ang rehiyong ito.
亏待	maltratuhin	Hindi maltratuhin ng kumpanya ang mga empleyadong seryosong nagtatrabaho.
亏损	pagkalugi	Nagkaroon ng malubhang pagkalugi ang pabrika ngayong taon.
捆绑	talian	Paki talian nang mahigpit ang mga kahong ito.
扩充	palawakin	Plano ng paaralan na palawakin ang koleksyon ng aklatan.
扩散	kumalat	Mabilis kumalat online ang tsismis.
扩张	pagpapalawak	Maingat na pinapalawak ng kumpanya ang negosyo nito.
啦	na	Huwag kang mag-alala na, gaganda rin ang lahat.
喇叭	busina	Biglang tumunog ang busina ng kotse.
蜡烛	kandila	May mga kandilang nakasaksak sa birthday cake.
来历	pinagmulan	Hindi malinaw ang pinagmulan ng artifact na ito.
来源	pinagmulan	Dapat tukuyin ng balita ang pinagmulan ng impormasyon.
栏目	segment	Lumalabas minsan kada linggo ang segment na ito.
懒惰	katamaran	Maaaring makaapekto sa resulta ng pag-aaral ang katamaran.
狼狈	kawawa	Matapos ang ulan, basang-basa siya at mukhang kawawa.
狼吞虎咽	lumamon	Gutom na gutom siya kaya lumamon siya ng pagkain.
捞	hanguin	Hinango ng mangingisda ang lambat mula sa ilog.
唠叨	magbunganga	Palaging nagbubunganga ang ina tungkol sa maliliit na bagay.
牢固	matibay	Matibay ang estruktura ng tulay na ito.
牢骚	reklamo	Puno siya ng reklamo pero ayaw magbago.
乐趣	kasiyahan	Maraming kasiyahang dala sa kanya ang pagbabasa.
乐意	malugod	Malugod kitang tutulungan na ayusin ang resume mo.
雷达	radar	Nakita ng radar ang eroplano sa malayo.
类似	katulad	Nangyari na rin dati ang katulad na problema.
冷酷	malamig	Napakamalamig pakinggan ng tono niya.
冷落	pabayaan	Naramdaman ng bagong empleyado na pinabayaan siya.
冷却	palamigin	Kailangang palamigin muna ang makina bago kumpunihin.
愣	natulala	Nang marinig ang balita, natulala siya.
黎明	madaling-araw	Sa madaling-araw, unti-unting nagising ang lungsod.
理睬	pansinin	Nagalit siya at wala siyang pinansin.
理所当然	dapat lang	Huwag mong ituring na dapat lang ang tulong ng iba.
理直气壮	may buong tiwala	Dahil sapat ang ebidensya, nagsalita siya nang may buong tiwala.
理智	katinuan	Kailangang panatilihin ang katinuan kapag may alitan.
礼节	etiketa	May iba't ibang etiketa ang iba't ibang kultura.
礼尚往来	suklian ang kabutihan	Mahalaga sa magkakapitbahay ang suklian ang kabutihan.
里程碑	mahalagang yugto	Ang tagumpay na ito ay mahalagang yugto ng proyekto.
例外	eksepsyon	Dapat dumalo ang lahat, walang eksepsyon.
利害	interes ng magkabilang panig	Sangkot dito ang interes ng magkabilang panig.
力求	sikaping	Sisikapin naming ibaba sa pinakamababa ang mga pagkakamali.
力所能及	abot ng kakayahan	Paki gawin ang mga bagay na abot ng iyong kakayahan.
力争	pagsikapang	Pinagsisikapan ng koponan na matapos ang gawain nang maaga.
历代	nagdaang henerasyon	Pinag-aralan ng mga iskolar ng nagdaang henerasyon ang isyung ito.
历来	noon pa man	Noon pa man ay pinahahalagahan ng lungsod na ito ang edukasyon.
立场	paninindigan	Ipinahayag niya ang kanyang paninindigan sa pulong.
立方	kubiko	May kapasidad na tatlong metrong kubiko ang tangkeng ito.
立交桥	overpass	Napagaan ng overpass na ito ang traffic congestion.
立体	tatlong dimensyon	May malakas na epekto ng tatlong dimensyon ang painting na ito.
立足	mag-ugat	Dapat mag-ugat ang negosyo sa lokal na merkado.
粒	butil	May ilang butil ng bigas sa mesa.
廉洁	malinis sa tungkulin	Dapat manatiling malinis sa tungkulin ang mga opisyal ng gobyerno.
联欢	salu-salo	Nagdaos ng salu-salo sa Bagong Taon ang magkakaklase.
联络	kontakin	Paki kontakin ang kliyente sa lalong madaling panahon.
联盟	alyansa	Bumuo ng alyansang pangkalakalan ang ilang bansa.
联想	maalala	Ipinaalala sa akin ng larawang ito ang kabataan ko.
连年	sunod-sunod na taon	Sunod-sunod na taon na binabaha ang rehiyong ito.
连锁	chain	Nagpapatakbo ang kumpanyang ito ng chain supermarket.
连同	kasama	Paki ipadala ang invoice kasama ng kontrata.
良心	konsensya	Dapat mamuhay ang tao nang hindi tinatalikuran ang konsensya.
晾	patuyuin	Isinampay niya ang damit sa balkonahe para patuyuin.
谅解	unawa	Sana maunawaan mo ang aming mga hirap.
辽阔	malawak	Malawak ang damuhan at hindi makita ang hangganan.
列举	ilahad	Inilahad ng guro ang tatlong halimbawa.
临床	klinikal	Nasa klinikal na pagsubok ang gamot na ito.
淋	mabasa	Huwag magpabasa nang masyadong matagal sa ulan.
吝啬	maramot	Hindi siya kailanman maramot sa mga kaibigan.
伶俐	matalino	Matalino at mabilis umintindi ang batang babae na ito.
凌晨	madaling-araw	Aalis ang eroplano ng alas tres ng madaling-araw.
灵感	inspirasyon	Binigyan siya ng musika ng inspirasyon sa paglikha.
灵魂	kaluluwa	Kalayaan ang kaluluwa ng akdang ito.
灵敏	sensitibo	Napakasensitibo ng tugon ng instrumentong ito.
零星	kalat-kalat	May kalat-kalat na ilaw sa langit sa gabi.
领会	maunawaan	Mabilis niyang naunawaan ang ibig sabihin ng guro.
领事馆	konsulado	Pumunta siya sa konsulado para ayusin ang visa.
领土	teritoryo	Pinapahalagahan ng bawat bansa ang integridad ng teritoryo.
领悟	maunawaan	Matapos maranasan ang kabiguan, naunawaan niya ang pananagutan.
