hsk_key	source_word	simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
2836:聘请	聘请	聘请	zatrudnić; zaangażować	Szkoła zatrudniła nowego nauczyciela.	inhuren; aanstellen	De school heeft een nieuwe docent aangesteld.	anställa; anlita	Skolan anställde en ny lärare.	ansette; engasjere	Skolen ansatte en ny lærer.	ansætte; engagere	Skolen ansatte en ny lærer.	palkata; ottaa palvelukseen	Koulu palkkasi uuden opettajan.
2838:评	评	评	oceniać; komentować	Nauczyciel oceni wypracowanie każdego ucznia.	beoordelen; commentaar geven	De docent beoordeelt het opstel van elke student.	bedöma; kommentera	Läraren bedömer varje elevs uppsats.	vurdere; kommentere	Læreren vurderer hver elevs stil.	vurdere; kommentere	Læreren vurderer hver elevs opgave.	arvioida; kommentoida	Opettaja arvioi jokaisen oppilaan aineen.
2843:凭借	凭借	凭借	dzięki; polegać na	Dzięki ciężkiej pracy dostał się na uniwersytet.	vertrouwen op; door middel van	Door hard werken kwam hij op de universiteit.	med hjälp av; förlita sig på	Med hjälp av hårt arbete kom han in på universitetet.	ved hjelp av; stole på	Ved hjelp av hardt arbeid kom han inn på universitetet.	ved hjælp af; stole på	Ved hjælp af hårdt arbejde kom han ind på universitetet.	avulla; tukeutua	Kovan työn avulla hän pääsi yliopistoon.
2847:平台	平台	平台	platforma; serwis	Na tej platformie można uczyć się chińskiego online.	platform; online omgeving	Op dit platform kun je online Chinees leren.	plattform; tjänst	På den här plattformen kan man studera kinesiska online.	plattform; tjeneste	På denne plattformen kan man lære kinesisk på nett.	platform; tjeneste	På denne platform kan man lære kinesisk online.	alusta; palvelu	Tällä alustalla voi opiskella kiinaa verkossa.
2852:齐	齐	齐	równy; kompletny; razem	Wszyscy ustawili stoły i krzesła równo.	netjes; compleet; samen	Iedereen zette de tafels en stoelen netjes recht.	prydlig; komplett; tillsammans	Alla ställde borden och stolarna prydligt.	ryddig; komplett; sammen	Alle satte bordene og stolene pent på plass.	pæn; komplet; sammen	Alle stillede borde og stole pænt på plads.	siisti; täydellinen; yhdessä	Kaikki järjestivät pöydät ja tuolit siististi.
2853:其	其	其	jego; jej; ich	Ta firma rozszerza swoją działalność za granicą.	zijn; haar; hun	Dit bedrijf breidt zijn buitenlandse activiteiten uit.	dess; deras	Det här företaget utökar sin verksamhet utomlands.	dens; deres	Dette selskapet utvider sin virksomhet i utlandet.	dens; deres	Denne virksomhed udvider sin forretning i udlandet.	sen; heidän	Tämä yritys laajentaa ulkomaantoimintaansa.
2857:气球	气球	气球	balon	Dziecko trzyma w ręku czerwony balon.	ballon	Het kind houdt een rode ballon vast.	ballong	Barnet håller en röd ballong i handen.	ballong	Barnet holder en rød ballong i hånden.	ballon	Barnet holder en rød ballon i hånden.	ilmapallo	Lapsella on kädessään punainen ilmapallo.
2860:签订	签订	签订	podpisać; zawrzeć	Obie strony podpiszą jutro umowę o współpracy.	ondertekenen; sluiten	Beide partijen ondertekenen morgen de samenwerkingsovereenkomst.	underteckna; ingå	Båda parter undertecknar samarbetsavtalet i morgon.	undertegne; inngå	Begge parter undertegner samarbeidsavtalen i morgen.	underskrive; indgå	Begge parter underskriver samarbejdsaftalen i morgen.	allekirjoittaa; solmia	Molemmat osapuolet allekirjoittavat yhteistyösopimuksen huomenna.
2861:签名	签名	签名	podpis; podpisać się	Proszę podpisać się pod formularzem.	handtekening; ondertekenen	Zet alstublieft uw handtekening onderaan het formulier.	underskrift; skriva under	Skriv under längst ner på formuläret.	signatur; skrive under	Skriv under nederst på skjemaet.	underskrift; skrive under	Skriv under nederst på formularen.	allekirjoitus; allekirjoittaa	Allekirjoita lomakkeen alaosaan.
2862:签字	签字	签字	podpisać	Umowę musi podpisać osobiście zainteresowana osoba.	ondertekenen	Het contract moet door de betrokkene zelf worden ondertekend.	skriva under	Avtalet måste skrivas under av personen själv.	skrive under	Kontrakten må signeres av personen selv.	skrive under	Kontrakten skal underskrives af personen selv.	allekirjoittaa	Sopimus täytyy allekirjoittaa henkilökohtaisesti.
2863:前进	前进	前进	iść naprzód; posuwać się	Zespół nadal posuwał się w stronę szczytu góry.	vooruitgaan; verdergaan	Het team ging verder richting de bergtop.	gå framåt; avancera	Gruppen fortsatte framåt mot bergstoppen.	gå fremover; rykke fram	Laget fortsatte fremover mot fjelltoppen.	gå fremad; rykke frem	Holdet fortsatte fremad mod bjergtoppen.	edetä; mennä eteenpäin	Joukkue jatkoi etenemistä kohti vuorenhuippua.
2864:前来	前来	前来	przybyć; przyjść	Wielu widzów przyszło obejrzeć mecz.	komen; aankomen	Veel toeschouwers kwamen naar de wedstrijd kijken.	komma; anlända	Många åskådare kom för att se matchen.	komme; ankomme	Mange tilskuere kom for å se kampen.	komme; ankomme	Mange tilskuere kom for at se kampen.	tulla; saapua	Monet katsojat tulivat katsomaan ottelua.
2866:前往	前往	前往	udać się do; wyruszyć do	Delegacja jutro uda się do Szanghaju.	gaan naar; vertrekken naar	De delegatie vertrekt morgen naar Shanghai.	bege sig till; åka till	Delegationen åker till Shanghai i morgon.	dra til; reise til	Delegasjonen reiser til Shanghai i morgen.	tage til; rejse til	Delegationen rejser til Shanghai i morgen.	lähteä kohti; mennä	Valtuuskunta lähtee huomenna Shanghaihin.
2870:强大	强大	强大	silny; potężny	Ten zespół jest bardzo silny.	sterk; krachtig	Dit team is erg sterk.	stark; kraftfull	Det här laget är mycket starkt.	sterk; kraftig	Dette laget er veldig sterkt.	stærk; kraftfuld	Dette hold er meget stærkt.	vahva; voimakas	Tämä tiimi on hyvin vahva.
2872:强度	强度	强度	intensywność; siła	Intensywność treningu jest zbyt duża i wszyscy są zmęczeni.	intensiteit; sterkte	De trainingsintensiteit is te hoog en iedereen is moe.	intensitet; styrka	Träningsintensiteten är för hög och alla är trötta.	intensitet; styrke	Treningsintensiteten er for høy, og alle er slitne.	intensitet; styrke	Træningsintensiteten er for høj, og alle er trætte.	intensiteetti; voimakkuus	Harjoittelun intensiteetti on liian suuri, ja kaikki ovat väsyneitä.
2878:亲	亲	亲	pocałować; bliski	Mama pocałowała dziecko w policzek.	kussen; hecht	De moeder kuste het kind op de wang.	kyssa; nära	Mamman kysste barnet på kinden.	kysse; nær	Moren kysset barnet på kinnet.	kysse; nær	Moderen kyssede barnet på kinden.	suudella; läheinen	Äiti suuteli lasta poskelle.
2880:亲朋好友	亲朋好友	亲朋好友	krewni i przyjaciele	Podczas Święta Wiosny krewni i przyjaciele przyszli do domu na posiłek.	familie en vrienden	Tijdens het Lentefestival kwamen familie en vrienden thuis eten.	släktingar och vänner	Under vårfesten kom släktingar och vänner hem för att äta.	slektninger og venner	Under vårfestivalen kom slektninger og venner hjem for å spise.	familie og venner	Under forårsfesten kom familie og venner hjem for at spise.	sukulaiset ja ystävät	Kevätjuhlan aikana sukulaiset ja ystävät tulivat kotiin syömään.
2882:亲情	亲情	亲情	więź rodzinna; uczucia rodzinne	Ten film opowiada o więzi rodzinnej.	familieband; familieliefde	Deze film gaat over familiebanden.	familjekärlek; familjeband	Den här filmen handlar om familjeband.	familiekjærlighet; familiebånd	Denne filmen handler om familiebånd.	familiekærlighed; familiebånd	Denne film handler om familiebånd.	perherakkaus; perheside	Tämä elokuva kertoo perhesiteistä.
2883:亲人	亲人	亲人	bliska osoba; członek rodziny	Gdy człowiek choruje, obecność bliskich jest bardzo ważna.	familielid; dierbare	Als je ziek bent, is het gezelschap van familie belangrijk.	familjemedlem; närstående	När man är sjuk är familjens sällskap viktigt.	familiemedlem; nærstående	Når man er syk, er familiens selskap viktig.	familiemedlem; nærtstående	Når man er syg, er familiens selskab vigtigt.	perheenjäsen; läheinen	Sairaana läheisten seura on tärkeää.
2888:轻重	轻重	轻重	ważność; ciężar	Przy załatwianiu spraw trzeba rozróżniać, co jest ważniejsze.	belang; gewicht	Bij het behandelen van zaken moet je hoofd- en bijzaken onderscheiden.	vikt; betydelse	När man hanterar saker måste man skilja på vad som är viktigast.	viktighet; vekt	Når man håndterer saker, må man skille mellom viktig og mindre viktig.	vigtighed; vægt	Når man håndterer sager, skal man skelne mellem vigtigt og mindre vigtigt.	tärkeys; paino	Asioita hoitaessa täytyy erottaa tärkeä vähemmän tärkeästä.
2889:情感	情感	情感	emocja; uczucie	Muzyka potrafi wyrażać złożone emocje.	emotie; gevoel	Muziek kan complexe emoties uitdrukken.	känsla; emotion	Musik kan uttrycka komplexa känslor.	følelse; emosjon	Musikk kan uttrykke komplekse følelser.	følelse; emotion	Musik kan udtrykke komplekse følelser.	tunne; emootio	Musiikki voi ilmaista monimutkaisia tunteita.
2898:权	权	权	prawo; uprawnienie; władza	Prawo do podjęcia tej decyzji jest w rękach menedżera.	recht; bevoegdheid	De beslissingsbevoegdheid ligt bij de manager.	rätt; befogenhet	Beslutsrätten ligger hos chefen.	rett; myndighet	Beslutningsmyndigheten ligger hos lederen.	ret; myndighed	Beslutningsretten ligger hos chefen.	oikeus; valta	Päätösvalta on johtajan käsissä.
2900:全力	全力	全力	z całych sił; pełną mocą	Lekarze robią wszystko, co mogą, aby uratować pacjenta.	met alle kracht; volledig inzetten	De artsen doen alles wat ze kunnen om de patiënt te redden.	med full kraft; göra allt	Läkarna gör allt de kan för att rädda patienten.	av full kraft; gjøre alt	Legene gjør alt de kan for å redde pasienten.	med fuld kraft; gøre alt	Lægerne gør alt, hvad de kan, for at redde patienten.	kaikin voimin; täysillä	Lääkärit tekevät kaikkensa pelastaakseen potilaan.
2902:全体	全体	全体	wszyscy; cały zespół	Wszyscy pracownicy wzięli udział w szkoleniu.	alle; hele groep	Alle medewerkers namen deel aan de training.	alla; hela gruppen	Alla anställda deltog i utbildningen.	alle; hele gruppen	Alle ansatte deltok på opplæringen.	alle; hele gruppen	Alle medarbejdere deltog i oplæringen.	kaikki; koko ryhmä	Kaikki työntekijät osallistuivat koulutukseen.
2903:全新	全新	全新	zupełnie nowy	Kupił zupełnie nowy komputer.	gloednieuw	Hij kocht een gloednieuwe computer.	helt ny	Han köpte en helt ny dator.	helt ny	Han kjøpte en helt ny datamaskin.	helt ny	Han købte en helt ny computer.	aivan uusi	Hän osti aivan uuden tietokoneen.
2910:群体	群体	群体	grupa; społeczność	Osoby starsze są grupą, która wymaga uwagi.	groep; gemeenschap	Ouderen zijn een groep die aandacht nodig heeft.	grupp; gemenskap	Äldre människor är en grupp som behöver uppmärksamhet.	gruppe; fellesskap	Eldre mennesker er en gruppe som trenger oppmerksomhet.	gruppe; fællesskab	Ældre mennesker er en gruppe, der kræver opmærksomhed.	ryhmä; yhteisö	Iäkkäät ihmiset ovat ryhmä, joka tarvitsee huomiota.
2914:热量	热量	热量	ciepło; kalorie	Ten napój ma bardzo dużo kalorii.	warmte; calorieën	Deze drank bevat veel calorieën.	värme; kalorier	Den här drycken innehåller mycket kalorier.	varme; kalorier	Denne drikken inneholder mange kalorier.	varme; kalorier	Denne drik indeholder mange kalorier.	lämpö; kalorit	Tässä juomassa on paljon kaloreita.
2919:人际	人际	人际	interpersonalny; międzyludzki	Dobre relacje międzyludzkie pomagają w pracy.	interpersoonlijk; tussen mensen	Goede interpersoonlijke relaties helpen op het werk.	mellanmänsklig	Goda mellanmänskliga relationer hjälper i arbetet.	mellommenneskelig	Gode mellommenneskelige relasjoner hjelper på jobben.	mellemmenneskelig	Gode mellemmenneskelige relationer hjælper på arbejdet.	ihmistenvälinen	Hyvät ihmistenväliset suhteet auttavat työssä.
2922:人力	人力	人力	siła robocza; zasoby ludzkie	Ten projekt potrzebuje więcej siły roboczej.	mankracht; personeel	Dit project heeft meer mankracht nodig.	arbetskraft; personalresurser	Det här projektet behöver mer arbetskraft.	arbeidskraft; menneskelige ressurser	Dette prosjektet trenger mer arbeidskraft.	arbejdskraft; menneskelige ressourcer	Dette projekt har brug for mere arbejdskraft.	työvoima; henkilöstöresurssit	Tämä projekti tarvitsee lisää työvoimaa.
2923:人民	人民	人民	lud; obywatele	Ta hala pamięci jest bezpłatnie otwarta dla obywateli.	volk; mensen	Deze herdenkingshal is gratis open voor het volk.	folket; människor	Den här minneshallen är gratis öppen för folket.	folket; mennesker	Dette minnesenteret er gratis åpent for folket.	folket; mennesker	Dette mindested er gratis åbent for folket.	kansa; ihmiset	Tämä muistohalli on avoinna kansalle maksutta.
2925:人群	人群	人群	tłum; grupa ludzi	Świąteczny tłum wypełnił plac.	menigte; groep mensen	De feestmenigte vulde het plein.	folkmassa; grupp människor	Helgfolkmassan fyllde torget.	folkemengde; gruppe mennesker	Folkemengden under høytiden fylte torget.	menneskemængde; gruppe mennesker	Festdagens menneskemængde fyldte pladsen.	väkijoukko; ihmisryhmä	Juhlapäivän väkijoukko täytti aukion.
2926:人体	人体	人体	ciało ludzkie	Ten kurs przedstawia podstawową budowę ciała ludzkiego.	menselijk lichaam	Deze cursus introduceert de basisstructuur van het menselijk lichaam.	människokropp	Den här kursen presenterar människokroppens grundstruktur.	menneskekropp	Dette kurset introduserer menneskekroppens grunnleggende struktur.	menneskekrop	Dette kursus introducerer menneskekroppens grundlæggende struktur.	ihmiskeho	Tämä kurssi esittelee ihmiskehon perusrakenteen.
2928:忍	忍	忍	znosić; wytrzymać	Ból był silny, ale cały czas go znosił.	verdragen; volhouden	De pijn was hevig, maar hij bleef die verdragen.	uthärda; stå ut	Smärtan var stark, men han fortsatte att uthärda den.	tåle; holde ut	Smerten var sterk, men han holdt den ut hele tiden.	udholde; holde ud	Smerten var stærk, men han blev ved med at udholde den.	kestää; sietää	Kipu oli voimakas, mutta hän kesti sitä koko ajan.
2929:认	认	认	rozpoznać; przyznać	Rozpoznałem go od razu.	herkennen; toegeven	Ik herkende hem in één oogopslag.	känna igen; erkänna	Jag kände igen honom med en gång.	kjenne igjen; innrømme	Jeg kjente ham igjen med én gang.	genkende; indrømme	Jeg genkendte ham med det samme.	tunnistaa; myöntää	Tunnistin hänet yhdellä silmäyksellä.
2932:如	如	如	jak; jeśli	Wynik był taki, jak oczekiwaliśmy.	zoals; als	Het resultaat was zoals we hadden verwacht.	som; om	Resultatet blev som vi hade väntat oss.	som; hvis	Resultatet ble som vi forventet.	som; hvis	Resultatet blev, som vi forventede.	kuten; jos	Tulos oli sellainen kuin odotimme.
2933:如此	如此	如此	tak; w taki sposób	Nie spodziewałem się, że problem będzie tak skomplikowany.	zo; op deze manier	Ik had niet verwacht dat het probleem zo ingewikkeld zou zijn.	så; på detta sätt	Jag hade inte väntat mig att problemet skulle vara så komplicerat.	så; på denne måten	Jeg hadde ikke ventet at problemet skulle være så komplisert.	så; på denne måde	Jeg havde ikke forventet, at problemet ville være så kompliceret.	näin; tällä tavoin	En odottanut, että ongelma olisi näin monimutkainen.
2936:如同	如同	如同	jak; niczym	Nocą powierzchnia jeziora jest niczym lustro.	zoals; alsof	Het meeroppervlak 's nachts is als een spiegel.	som; likt	Sjöns yta på natten är som en spegel.	som; lik	Innsjøens overflate om natten er som et speil.	som; ligesom	Søens overflade om natten er som et spejl.	kuin; aivan kuin	Järven pinta yöllä on kuin peili.
2937:如下	如下	如下	jak następuje	Szczegółowe ustalenia są jak następuje.	als volgt	De specifieke regelingen zijn als volgt.	enligt följande	De konkreta arrangemangen är enligt följande.	som følger	De konkrete ordningene er som følger.	som følger	De konkrete arrangementer er som følger.	seuraavasti	Tarkat järjestelyt ovat seuraavat.
2942:赛场	赛场	赛场	pole zawodów; arena	Zawodnicy już weszli na teren zawodów.	wedstrijdveld; arena	De atleten zijn het wedstrijdveld al opgegaan.	tävlingsarena; idrottsplats	Idrottarna har redan gått in på tävlingsarenan.	konkurransearena; bane	Utøverne har allerede gått inn på konkurransearenaen.	konkurrencearena; bane	Atleterne er allerede gået ind på konkurrencearenaen.	kilpailukenttä; areena	Urheilijat ovat jo siirtyneet kilpailukentälle.
2945:沙子	沙子	沙子	piasek	Dziecko bawi się piaskiem nad morzem.	zand	Het kind speelt met zand aan zee.	sand; sandkorn	Barnet leker med sand vid havet.	sand; sandkorn	Barnet leker med sand ved sjøen.	sand; sandkorn	Barnet leger med sand ved havet.	hiekka	Lapsi leikkii hiekalla meren rannalla.
2948:删	删	删	usuwać; skasować	Proszę usunąć powtarzającą się treść.	verwijderen; wissen	Verwijder alstublieft de herhaalde inhoud.	ta bort; radera	Ta bort det upprepade innehållet.	slette; fjerne	Slett det gjentatte innholdet.	slette; fjerne	Slet venligst det gentagne indhold.	poistaa; pyyhkiä	Poista toistuva sisältö.
2949:扇	扇	扇	wachlować; wachlarzować	Lekko wachlowała się wachlarzem.	waaieren; met waaier koelen	Ze waaierde zachtjes met een waaier.	fläkta; vifta	Hon fläktade försiktigt med en solfjäder.	vifte; lufte	Hun viftet forsiktig med en vifte.	vifte; blæse	Hun viftede let med en vifte.	viuhkoa; tuulettaa	Hän viuhkoi kevyesti viuhkalla.
2951:山区	山区	山区	obszar górski	Noce w obszarze górskim są bardzo ciche.	berggebied	De nachten in het berggebied zijn erg stil.	bergsområde	Nätterna i bergsområdet är mycket tysta.	fjellområde	Nettene i fjellområdet er veldig stille.	bjergområde	Nætterne i bjergområdet er meget stille.	vuoristoalue	Vuoristoalueen yöt ovat hyvin hiljaisia.
2956:伤	伤	伤	rana; zranić	Jego ręka została zraniona.	verwonding; bezeren	Zijn hand is gewond geraakt.	skada; såra	Hans hand blev skadad.	skade; såre	Hånden hans ble skadet.	skade; såre	Hans hånd blev skadet.	vamma; satuttaa	Hänen kätensä loukkaantui.
2958:商家	商家	商家	sprzedawca; handlowiec	Wielu sprzedawców wzięło udział w tej promocji.	handelaar; verkoper	Veel verkopers deden mee aan deze actie.	handlare; säljare	Många handlare deltog i den här kampanjen.	handelsdrivende; selger	Mange selgere deltok i denne kampanjen.	forhandler; sælger	Mange forhandlere deltog i denne kampagne.	kauppias; myyjä	Monet kauppiaat osallistuivat tähän kampanjaan.
2959:商人	商人	商人	przedsiębiorca; człowiek interesu	Ten przedsiębiorca często wyjeżdża służbowo za granicę.	zakenpersoon; ondernemer	Deze ondernemer reist vaak voor werk naar het buitenland.	affärsperson; företagare	Den här företagaren reser ofta utomlands i arbetet.	forretningsperson; næringsdrivende	Denne forretningspersonen reiser ofte utenlands på jobb.	forretningsperson; erhvervsdrivende	Denne forretningsperson rejser ofte til udlandet på arbejde.	liikemies; yrittäjä	Tämä yrittäjä matkustaa usein ulkomaille työasioissa.
2962:赏	赏	赏	podziwiać; oglądać z przyjemnością	Turyści podziwiają kwiaty nad jeziorem.	bewonderen; genieten van	De toeristen bewonderen de bloemen bij het meer.	njuta av; beundra	Turisterna beundrar blommorna vid sjön.	nyte; beundre	Turistene beundrer blomstene ved innsjøen.	nyde; beundre	Turisterne beundrer blomsterne ved søen.	ihailla; nauttia	Matkailijat ihailevat kukkia järven rannalla.
2963:上传	上传	上传	wgrać; przesłać na serwer	Proszę wgrać zdjęcia na platformę.	uploaden; online zetten	Upload de foto's naar het platform.	ladda upp	Ladda upp fotona till plattformen.	laste opp	Last opp bildene til plattformen.	uploade; lægge op	Upload venligst billederne til platformen.	ladata palvelimelle; lähettää	Lataa kuvat alustalle.
2964:上升	上升	上升	wzrastać; rosnąć	Tegoroczna sprzedaż nadal rośnie.	stijgen	De verkoop van dit jaar blijft stijgen.	stiga	Årets försäljning fortsätter att stiga.	stige	Årets salg fortsetter å stige.	stige	Årets salg fortsætter med at stige.	nousta	Tämän vuoden myynti jatkaa nousuaan.
2965:上下	上下	上下	góra i dół; około	Ten budynek ma łącznie dziesięć pięter.	boven en beneden; ongeveer	Dit gebouw heeft in totaal tien verdiepingen.	upp och ner; ungefär	Den här byggnaden har totalt tio våningar.	oppe og nede; omtrent	Denne bygningen har totalt ti etasjer.	op og ned; omkring	Denne bygning har i alt ti etager.	ylös ja alas; noin	Tässä rakennuksessa on yhteensä kymmenen kerrosta.
2966:上涨	上涨	上涨	wzrosnąć; pójść w górę	Ostatnio ceny warzyw wzrosły.	stijgen; omhooggaan	De groenteprijzen zijn onlangs gestegen.	stiga; gå upp	Grönsakspriserna har stigit på sistone.	stige; gå opp	Grønnsaksprisene har steget i det siste.	stige; gå op	Grøntsagspriserne er steget for nylig.	nousta; kallistua	Vihannesten hinnat ovat viime aikoina nousseet.
2967:烧	烧	烧	palić; gotować; mieć gorączkę	Woda w garnku już się zagotowała.	verbranden; koken; koorts hebben	Het water in de pan kookt al.	bränna; koka; ha feber	Vattnet i kastrullen har redan kokat upp.	brenne; koke; ha feber	Vannet i kjelen har allerede kokt opp.	brænde; koge; have feber	Vandet i gryden er allerede kogt op.	polttaa; keittää; olla kuumetta	Vesi kattilassa on jo kiehunut.
2968:烧烤	烧烤	烧烤	grill; grillowanie	W weekend pojechaliśmy nad rzekę na grilla.	barbecue; grillen	In het weekend gingen we aan de rivier barbecueën.	grillning; grillmat	I helgen åkte vi till floden för att äta grillmat.	grilling; grillmat	I helgen dro vi til elvebredden for å spise grillmat.	grillmad; grillning	I weekenden tog vi ned til floden for at spise grillmad.	grilli; grilliruoka	Viikonloppuna menimme joen rannalle syömään grilliruokaa.
2971:舍得	舍得	舍得	nie żałować; być gotowym poświęcić	Dla dziecka nie żałuje czasu na towarzyszenie mu.	bereid zijn op te geven; overhebben	Voor haar kind heeft ze er tijd voor over om gezelschap te houden.	vara villig att avstå; ha hjärta att	För sitt barn är hon villig att lägga tid på sällskap.	være villig til å gi avkall; ta seg råd	For barnet sitt tar hun seg tid til å være sammen.	være villig til at give afkald; unde sig	For sit barn er hun villig til at bruge tid på selskab.	raaskia; olla valmis luopumaan	Lapsensa vuoksi hän raaskii käyttää aikaa seurana olemiseen.
2981:深度	深度	深度	głębokość	Głębokość tego jeziora przekracza dwadzieścia metrów.	diepte	De diepte van dit meer is meer dan twintig meter.	djup	Djupet på den här sjön överstiger tjugo meter.	dybde	Dybden på denne innsjøen er over tjue meter.	dybde	Dybden af denne sø overstiger tyve meter.	syvyys	Tämän järven syvyys on yli kaksikymmentä metriä.
2983:深厚	深厚	深厚	głęboki; serdeczny	Łączy ich głęboka przyjaźń.	diep; hecht	Er is een hechte vriendschap tussen hen.	djup; stark	Det finns en djup vänskap mellan dem.	dyp; sterk	Det er et dypt vennskap mellom dem.	dyb; stærk	Der er et dybt venskab mellem dem.	syvä; vahva	Heidän välillään on syvä ystävyys.
2985:深入	深入	深入	zagłębiać się; dogłębny	Reporter pojechał głęboko w obszar górski, aby przeprowadzić wywiady.	dieper ingaan; grondig	De verslaggever ging diep het berggebied in om mensen te interviewen.	gå på djupet; fördjupad	Reportern gick djupt in i bergsområdet för att intervjua människor.	gå dypt inn; grundig	Reporteren dro dypt inn i fjellområdet for å intervjue folk.	gå i dybden; grundig	Reporteren tog dybt ind i bjergområdet for at interviewe folk.	syventyä; perusteellinen	Toimittaja meni syvälle vuoristoalueelle haastattelemaan ihmisiä.
2986:深远	深远	深远	dalekosiężny; głęboki	Ta reforma wywarła dalekosiężny wpływ.	verstrekkend; diepgaand	Deze hervorming had een verstrekkende invloed.	långtgående; djupgående	Den här reformen fick långtgående konsekvenser.	vidtrekkende; dyptgående	Denne reformen fikk vidtrekkende virkninger.	vidtrækkende; dybtgående	Denne reform fik vidtrækkende indflydelse.	kauaskantoinen; syvällinen	Tällä uudistuksella oli kauaskantoinen vaikutus.
2993:升级	升级	升级	ulepszyć; aktualizować	System telefonu trzeba zaktualizować.	upgraden; bijwerken	Het telefoonsysteem moet worden bijgewerkt.	uppgradera; uppdatera	Mobilens system behöver uppgraderas.	oppgradere; oppdatere	Telefonsystemet må oppgraderes.	opgradere; opdatere	Telefonens system skal opgraderes.	päivittää; parantaa	Puhelimen järjestelmä täytyy päivittää.
2994:升温	升温	升温	ocieplać się; wzrost temperatury	Od jutra pogoda wyraźnie się ociepli.	opwarmen; temperatuur stijgt	Vanaf morgen wordt het weer duidelijk warmer.	bli varmare; temperaturen stiger	Från och med i morgon blir vädret märkbart varmare.	bli varmere; temperaturen stiger	Fra i morgen blir været merkbart varmere.	blive varmere; temperaturen stiger	Fra i morgen bliver vejret tydeligt varmere.	lämmetä; lämpötila nousee	Huomisesta alkaen sää lämpenee selvästi.
2999:省份	省份	省份	prowincja; region administracyjny	Chiny mają wiele różnych prowincji.	provincie	China heeft veel verschillende provincies.	provins	Kina har många olika provinser.	provins	Kina har mange forskjellige provinser.	provins	Kina har mange forskellige provinser.	maakunta; provinssi	Kiinassa on monia erilaisia provinsseja.
3001:胜	胜	胜	zwyciężyć; być lepszym	Gospodarze pokonali gości dwoma punktami.	winnen; superieur zijn	De thuisploeg won met twee punten van de bezoekers.	vinna; vara överlägsen	Hemmalaget vann över bortalaget med två poäng.	vinne; være overlegen	Hjemmelaget slo bortelaget med to poeng.	vinde; være overlegen	Hjemmeholdet slog udeholdet med to point.	voittaa; olla parempi	Kotijoukkue voitti vierasjoukkueen kahdella pisteellä.
3004:湿	湿	湿	mokry; wilgotny	Po deszczu trawa nadal jest mokra.	nat; vochtig	Na de regen is het gras nog steeds nat.	våt; fuktig	Efter regnet är gräset fortfarande vått.	våt; fuktig	Etter regnet er gresset fortsatt vått.	våd; fugtig	Efter regnen er græsset stadig vådt.	märkä; kostea	Sateen jälkeen ruoho on yhä märkää.
3005:失恋	失恋	失恋	przeżyć zawód miłosny; rozstać się	Po rozstaniu długo była smutna.	liefdesverdriet hebben; verlaten worden	Na de breuk was ze lange tijd verdrietig.	få hjärtesorg; bli dumpad	Efter uppbrottet var hon ledsen länge.	få kjærlighetssorg; bli forlatt	Etter bruddet var hun trist lenge.	få kærestesorg; blive forladt	Efter bruddet var hun ked af det længe.	kärsiä erosta; saada sydänsuruja	Eron jälkeen hän oli pitkään surullinen.
3007:诗人	诗人	诗人	poeta	Ten poeta napisał wiele słynnych wierszy.	dichter; poëet	Deze dichter schreef veel beroemde gedichten.	poet; diktare	Den här poeten skrev många berömda dikter.	poet; dikter	Denne poeten skrev mange berømte dikt.	poet; digter	Denne digter skrev mange berømte digte.	runoilija	Tämä runoilija kirjoitti monia kuuluisia runoja.
3023:实验室	实验室	实验室	laboratorium	Uczniowie wykonują testy w laboratorium.	laboratorium	De studenten doen tests in het laboratorium.	laboratorium; labb	Studenterna gör tester i laboratoriet.	laboratorium; lab	Studentene gjør tester i laboratoriet.	laboratorium; lab	Eleverne laver tests i laboratoriet.	laboratorio	Opiskelijat tekevät testejä laboratoriossa.
3025:食用	食用	食用	jadalny; spożywać	Ten rodzaj kwiatu można jeść, a także parzyć jako herbatę.	eetbaar; eten	Dit soort bloem is eetbaar en kan ook als thee worden gezet.	ätbar; äta	Den här sortens blomma kan ätas och även användas till te.	spiselig; spise	Denne typen blomst kan spises og også brukes til te.	spiselig; spise	Denne type blomst kan spises og også bruges til te.	syötävä; syödä	Tällaista kukkaa voi syödä ja käyttää myös teenä.
3026:使得	使得	使得	sprawiać; powodować	Ulewny deszcz sprawił, że mecz odwołano.	veroorzaken; maken dat	De zware regen zorgde ervoor dat de wedstrijd werd afgelast.	orsaka; göra att	Det kraftiga regnet gjorde att matchen ställdes in.	føre til; gjøre at	Det kraftige regnet førte til at kampen ble avlyst.	føre til; gøre at	Den kraftige regn gjorde, at kampen blev aflyst.	aiheuttaa; saada aikaan	Kova sade aiheutti ottelun perumisen.
3028:式	式	式	typ; styl; przyrostek wzoru	Ten nowy typ samochodu elektrycznego jest bardzo popularny.	type; stijl; formuleachtervoegsel	Dit nieuwe type elektrische auto is erg populair.	typ; stil; formelsuffix	Den här nya typen av elfordon är mycket populär.	type; stil; formelendelse	Denne nye typen elbil er veldig populær.	type; stil; formelsuffiks	Denne nye type elbil er meget populær.	tyyppi; tyyli; kaavan pääte	Tämä uudentyyppinen sähköauto on hyvin suosittu.
