simplified	TR	example_TR	SW	example_SW	PT-BR	example_PT-BR
马虎	dikkatsiz; özensiz	Biraz dikkatsizlik bile hataya yol açabilir.	zembe; kutokuwa makini	Uzembe kidogo tu unaweza kusababisha kosa.	descuidado; desleixado	Um pouco de descuido pode causar erros.
满	dolu	Bardak doldu.	jaa	Kikombe kimejaa.	cheio	O copo está cheio.
毛	tüy; kıl	Bu kedinin tüyleri beyaz.	nywele; manyoya	Manyoya ya paka huyu ni meupe.	o pelo; a pelagem	O pelo deste gato é branco.
毛巾	havlu	Sıcak oldu, havluyla terini sil.	taulo	Kuna joto, futa jasho kwa taulo.	a toalha	Está quente, limpe o suor com uma toalha.
美丽	güzel	O gerçekten güzel bir kız.	mrembo; mzuri	Yeye ni msichana mrembo kweli.	bonito; belo	Ela é realmente uma garota bonita.
梦	rüya	Bu gerçekten ilginç bir rüya!	ndoto	Hii kweli ni ndoto ya kuvutia!	o sonho	Este é realmente um sonho interessante!
迷路	yolunu kaybetmek	O ormanda yolunu kaybetti.	kupotea njia	Alipotea njia msituni.	perder-se	Ele se perdeu na floresta.
密码	şifre; parola	Kredi kartımın şifresini unuttum.	nywila; msimbo	Nimesahau nywila ya kadi yangu ya mkopo.	a senha; o código	Esqueci a senha do meu cartão de crédito.
免费	ücretsiz	Bu restoranda yemek yerken içecekler ücretsiz.	bure	Ukilisha katika mgahawa huu, vinywaji ni bure.	grátis; gratuito	Neste restaurante, as bebidas são grátis.
秒	saniye	Lütfen beni on saniye bekle.	sekunde	Tafadhali nisubiri sekunde kumi.	o segundo	Por favor, espere dez segundos por mim.
民族	millet; etnik grup	Çin çok etnik gruplu bir ülkedir.	kabila; taifa	China ni nchi yenye makabila mengi.	a etnia; o grupo étnico	A China é um país multiétnico.
母亲	anne	Tanıtayım, bu benim annem.	mama	Niruhusu nitambulishe, huyu ni mama yangu.	a mãe	Deixe-me apresentar, esta é minha mãe.
目的	amaç; hedef	Onun bunu yapmaktaki amacını anlamıyorum.	lengo; madhumuni	Sielewi lengo lake la kufanya hivi.	o objetivo; a finalidade	Não entendo o objetivo dele ao fazer isso.
耐心	sabır; sabırlı	Çocukları eğitirken sabırlı olmak gerekir.	uvumilivu; mwenye subira	Kuwaelimisha watoto kunahitaji uvumilivu.	a paciência; paciente	É preciso ter paciência ao educar crianças.
难道	yoksa; gerçekten	Bu yemekler lezzetli değil mi yani?	je, kweli	Je, vyakula hivi si vitamu?	será que; por acaso	Será que esses pratos não são gostosos?
难受	kötü hissetmek; rahatsız olmak	Soğuk algınlığı oldum, kendimi çok kötü hissediyorum.	kujisikia vibaya	Nina mafua na mwili wangu unajisikia vibaya.	sentir-se mal; indisposto	Estou resfriado e me sinto muito mal.
内	içinde; içerisinde	Lütfen görevi üç gün içinde tamamlayın.	ndani	Tafadhali kamilisha kazi ndani ya siku tatu.	dentro de; no interior de	Por favor, conclua a tarefa dentro de três dias.
内容	içerik; ayrıntılar	Bu makalenin içeriği çok etkileyici.	maudhui; yaliyomo	Maudhui ya makala hii yanavutia sana.	o conteúdo	O conteúdo deste artigo é muito interessante.
能力	yetenek; kapasite	Onun iş yeteneği çok güçlü.	uwezo	Uwezo wake wa kazi ni mkubwa.	a capacidade; a habilidade	Ele é muito capaz no trabalho.
年龄	yaş	Başkalarının yaşını gelişigüzel sormak kabalıktır.	umri	Ni kukosa adabu kuuliza umri wa mtu kiholela.	a idade	É indelicado perguntar a idade de alguém sem cuidado.
弄	yapmak; hale getirmek	Yavru köpek odayı çok dağıttı.	kufanya; kutengeneza	Mbwa mdogo aliifanya chumba kuwa fujo sana.	fazer; deixar	O cachorrinho deixou o quarto muito bagunçado.
暖和	ılık; güzel sıcak	Bahar geldi, hava ısınmaya başladı.	joto la kupendeza	Machipuko yamefika, hali ya hewa inazidi kuwa ya joto.	quente; agradável	A primavera chegou e o tempo está ficando mais quente.
偶尔	ara sıra; bazen	Onu ara sıra okulda görüyorum.	mara kwa mara; wakati mwingine	Mara kwa mara humwona shuleni.	ocasionalmente; às vezes	Às vezes eu a vejo na escola.
排队	sıraya girmek	Bilet alan insanlar sırada bekliyor.	kupanga foleni	Watu wanaonunua tiketi wamepanga foleni.	fazer fila	As pessoas que compram ingressos estão na fila.
排列	düzenlemek; sıralamak	Lütfen bu kutuları büyükten küçüğe doğru sıralayın.	kupanga	Tafadhali yapange masanduku haya kwa mpangilio kutoka kubwa hadi dogo.	organizar; pôr em ordem	Por favor, organize estas caixas da maior para a menor.
判断	karar; yargı	Senin değerlendirmen tamamen doğru.	hukumu; kuhukumu	Hukumu yako ni sahihi kabisa.	o julgamento; julgar	Seu julgamento está completamente correto.
陪	eşlik etmek; yanında olmak	Ben üzgünken sen her zaman yanımda olursun.	kuandamana; kuwa pamoja nami	Ninapokuwa na huzuni, huwa uko kando yangu.	acompanhar; fazer companhia	Quando estou triste, você está sempre ao meu lado.
批评	eleştirmek; eleştiri	Öğretmenler beni çok nadiren eleştirir.	kukosoa; ukosoaji	Walimu hunikosoa mara chache sana.	criticar; a crítica	Os professores raramente me criticam.
皮肤	cilt; deri	Annem cildini korumaya çok dikkat eder.	ngozi	Mama huzingatia sana kulinda ngozi.	a pele	Mamãe presta muita atenção em proteger a pele.
脾气	huy; mizaç; öfke	Onun huyu iyidir, hiç sinirlenmez.	tabia; hasira	Ana tabia nzuri na huwa hakasiriki.	o temperamento	Ele tem bom temperamento e nunca fica bravo.
篇	yazı; makale için ölçü sözcüğü	Bu makaleyi birçok kez okudum.	makala; kipimio cha maandishi	Nimesoma makala hii mara nyingi.	o artigo; classificador de textos	Li este artigo muitas vezes.
骗	kandırmak; aldatmak	Seni kandırmadım, o gerçekten geldi.	kudanganya	Sikukudanganya, kweli alikuja.	enganar; mentir	Não menti para você, ele realmente veio.
乒乓球	masa tenisi; ping pong	Masa tenisi maçına katılmak isteyen var mı?	mpira wa meza; ping pong	Nani anataka kushiriki mashindano ya ping pong?	o tênis de mesa; o pingue-pongue	Quem quer participar de uma partida de tênis de mesa?
平时	genellikle; normalde	O normalde çok az spor yapar.	kawaida; siku za kawaida	Kawaida yeye hufanya mazoezi mara chache.	normalmente; no dia a dia	Ela raramente se exercita no dia a dia.
破	kırık; kırmak	Özür dilerim, aynayı kırdım.	vunjika; kuvunja	Samahani, nilivunja kioo.	quebrado; quebrar	Desculpe, quebrei o espelho.
葡萄	üzüm	Üzüm yarım kilo başına beş yuan.	zabibu	Zabibu ni yuan tano kwa nusu kilo.	a uva	As uvas custam cinco yuans por meio quilo.
普遍	yaygın; genel	Bu sorun çok yaygın.	ya kawaida; iliyoenea	Tatizo hili ni la kawaida sana.	comum; generalizado	Este problema é comum.
普通话	Mandarin; Putonghua	Mandarini çok iyi konuşuyorsun.	Kimandarini; Putonghua	Unazungumza Kimandarini vizuri sana.	o mandarim; o putonghua	Você fala mandarim muito bem.
其次	ikinci olarak; sonra	Önce güvenlik, sonra hız gelir.	pili; baada ya hapo	Kwanza ni usalama, pili ni kasi.	em segundo lugar; depois	A segurança vem primeiro, e a rapidez em segundo.
其中	bunların içinde; arasında	Sınıfımızda yirmi öğrenci var, bunlardan beşi yurt dışından geliyor.	kati yao; miongoni mwa	Darasani kwetu kuna wanafunzi ishirini, kati yao watano wanatoka nje ya nchi.	entre eles; dentre	Na nossa turma há vinte alunos, cinco dos quais vêm do exterior.
气候	iklim	Kuzeyin iklimine uyum sağlayabilir misin?	halijoto; tabianchi	Je, unaweza kuzoea hali ya hewa ya kaskazini?	o clima	Você consegue se adaptar ao clima do norte?
千万	mutlaka; sakın	Yarınki toplantıyı sakın unutma.	lazima; usije	Usisahau kabisa mkutano wa kesho.	não deixe de; de jeito nenhum	Não se esqueça de jeito nenhum da reunião de amanhã.
签证	vize	Yarın vize başvurusu yapmak için büyükelçiliğe gideceğim.	viza	Kesho nitaenda ubalozini kuomba viza.	o visto	Amanhã vou à embaixada solicitar um visto.
敲	çalmak; vurmak	Biri kapıyı çalıyor, git bak kim gelmiş.	kugonga	Mtu anagonga mlango, nenda uone ni nani amekuja.	bater	Alguém está batendo na porta, vá ver quem é.
桥	köprü	Nehrin üzerinde küçük bir köprü var.	daraja	Kuna daraja dogo juu ya mto.	a ponte	Há uma pequena ponte sobre o rio.
巧克力	çikolata	En çok çikolata yemeyi severim.	chokoleti	Ninapenda kula chokoleti kuliko vyote.	o chocolate	Eu adoro chocolate acima de tudo.
亲戚	akraba	Akrabalarımın çoğu Pekin'de yaşıyor.	ndugu	Jamaa zangu wengi wanaishi Beijing.	o parente	A maioria dos meus parentes mora em Pequim.
轻	hafif	Bu bavul çok hafif.	nyepesi	Sanduku hili ni jepesi.	leve	Esta caixa é leve.
轻松	rahat; kolay	Bu iş onun için kolay değil.	rahisi; tulivu	Kazi hii si rahisi kwake.	tranquilo; fácil	Este trabalho não é fácil para ele.
情况	durum	Durumda büyük değişiklikler oldu.	hali	Hali imebadilika sana.	a situação	A situação mudou muito.
穷	fakir	Bu yaşlı adam fakir olsa da mutlu yaşıyor.	maskini	Ingawa mzee huyu ni maskini, anaishi kwa furaha.	pobre	Embora este idoso seja muito pobre, ele vive feliz.
区别	fark; ayırt etmek	Bu iki malzeme arasında fark var mı?	tofauti	Je, kuna tofauti yoyote kati ya vifaa hivi viwili?	a diferença	Há alguma diferença entre esses dois materiais?
取	çekmek; almak	Bankaya para çekmeye gidiyorum.	kutoa; kuchukua	Ninaenda benki kutoa pesa.	sacar; pegar	Vou ao banco sacar dinheiro.
全部	hepsi; tamamı	Müzik benim her şeyimdir.	yote	Muziki ndio kila kitu kwangu.	tudo; inteiro	A música é tudo para mim.
缺点	kusur; eksik yön	İnsan kendi kusurlarını başkalarının iyi yönleriyle karşılaştırmamalı.	kasoro; udhaifu	Mtu hapaswi kulinganisha kasoro zake na faida za wengine.	o defeito; o ponto fraco	Não se deve comparar os próprios defeitos com as qualidades dos outros.
缺少	eksik olmak; yoksun olmak	Bak bakalım hâlâ ne eksik, şimdi gidip alayım.	kukosa; kupungukiwa	Angalia bado kinakosekana nini, nitakwenda kukinunua sasa.	faltar; estar em falta	Veja o que ainda falta, eu vou comprar agora.
却	ama; yine de	Söyleyecek çok sözüm vardı, ama gerilince söyleyemedim.	lakini; hata hivyo	Nina mengi ya kusema, lakini nikishikwa na wasiwasi siwezi kuyasema.	mas; porém	Eu tinha muito a dizer, mas fiquei nervoso e não consegui falar.
确实	gerçekten; sahiden	Bu yöntem gerçekten iyi.	kweli; hakika	Njia hii ni nzuri kweli.	de fato; realmente	Este método é realmente bom.
然而	ancak; fakat	Bu kitabı okumak için çok zaman harcadım, ancak hâlâ bitirmedim.	hata hivyo; lakini	Nilitumia muda mwingi kusoma kitabu hiki, hata hivyo bado sijakimaliza.	no entanto; porém	Passei muito tempo lendo este livro, mas ainda não terminei.
热闹	canlı; hareketli	Anacadde çok hareketli.	changamfu; yenye pilikapilika	Mtaa mkuu una pilikapilika nyingi sana.	animado; movimentado	A rua principal está muito movimentada.
任何	herhangi; kim olursa olsun	Annem beni herkesten daha iyi anlar.	yeyote; wowote	Mama hunielewa kuliko mtu yeyote.	qualquer; qualquer um	Minha mãe me entende melhor do que qualquer pessoa.
任务	görev	Görevin yüzde sekseni tamamlandı.	kazi; jukumu	Asilimia themanini ya kazi imekamilika.	a tarefa; a missão	Oitenta por cento da tarefa foi concluída.
扔	atmak	Lütfen çöpü çöp kutusuna atın.	kutupa	Tafadhali tupa taka kwenye pipa la taka.	jogar; descartar	Por favor, jogue o lixo na lixeira.
仍然	hâlâ; yine de	Bugün hava hâlâ güzel.	bado	Leo bado hali ya hewa ni nzuri.	ainda	Hoje ainda está fazendo bom tempo.
日记	günlük	Kızım her gün günlük yazma alışkanlığı edindi.	shajara	Binti yangu amezoea kuandika shajara kila siku.	o diário	A filha desenvolveu o hábito de escrever diário todos os dias.
入口	giriş	Seni binanın girişinde bekliyorum.	mlango wa kuingia	Ninakusubiri kwenye mlango wa kuingia wa jengo.	a entrada	Estou esperando você na entrada do prédio.
散步	yürüyüş yapmak	Yürürken yavru köpek sürekli arkamdan geldi.	kutembea	Nilipokuwa nikitembea, mbwa mdogo aliendelea kunifuata nyuma.	passear; caminhar	O cachorrinho ficou me seguindo enquanto eu caminhava.
森林	orman	Bu orman çok büyük.	msitu	Msitu huu ni mkubwa sana.	a floresta	Esta floresta é muito grande.
沙发	kanepe; sofa	Lütfen kanepede biraz oturun, size bir fincan çay koyayım.	sofa	Tafadhali kaa kwenye sofa kidogo, nitakumiminia kikombe cha chai.	o sofá	Por favor, sente-se um pouco no sofá, vou servir uma xícara de chá.
伤心	üzülmek; kalbi kırılmak	Bu haberi duyduktan sonra çok üzüldüm.	kuhuzunika	Baada ya kusikia habari hii, nilihuzunika sana.	ficar triste; magoar-se	Depois de ouvir a notícia, fiquei muito triste.
商量	danışmak; konuşup karar vermek	Tam zamanında geldin, hadi konuşalım.	kushauriana; kujadili	Umefika wakati mzuri, tujadiliane kidogo.	discutir; conversar sobre	Você chegou na hora certa, vamos conversar.
稍微	biraz; azıcık	Biraz dikkatsizlik bile hataya yol açabilir.	kidogo	Uzembe kidogo tu unaweza kusababisha kosa.	um pouco	Um pouco de descuido pode causar erros.
勺子	kaşık	Özür dilerim, kaşığı yere düşürdüm.	kijiko	Samahani, nilikiangusha kijiko chini.	a colher	Desculpe, deixei a colher cair no chão.
社会	toplum	Herkes bu toplumsal sorunlarla çok ilgileniyor.	jamii	Kila mtu anajali sana masuala haya ya kijamii.	a sociedade	Todos se preocupam muito com esses problemas sociais.
深	derin; geç	Aramızda derin bir dostluk var.	kina; wa ndani	Kuna urafiki wa kina kati yetu.	profundo; tarde	Há uma amizade profunda entre nós.
申请	başvurmak; başvuru	Bankaya kredi kartı için başvurdum.	kuomba; maombi	Niliomba kadi ya mkopo benki.	solicitar; a solicitação	Solicitei um cartão de crédito ao banco.
甚至	hatta; dahası	Herkes o kadar eğlendi ki zamanı bile unuttu.	hata	Kila mtu alifurahi sana, hata akasahau muda.	até; inclusive	Todos se divertiram tanto que até esqueceram a hora.
生活	hayat; yaşamak	Hayatta her zaman bazı sıkıntılarla karşılaşılır.	maisha; kuishi	Katika maisha daima hukutana na kero fulani.	a vida; viver	Na vida sempre encontramos alguns problemas.
生命	yaşam; hayat	O, sanatı kendi yaşamından daha önemli gördü.	uhai; maisha	Aliiona sanaa kuwa muhimu kuliko maisha yake mwenyewe.	a vida	Ele considerava a arte mais importante do que a própria vida.
生意	iş; ticaret	Onun işi gittikçe büyüyor.	biashara	Biashara yake inazidi kuwa kubwa.	o negócio; o comércio	O negócio dele está ficando cada vez maior.
省	eyalet	Ben Shandong eyaletinden geliyorum.	mkoa	Ninatoka Mkoa wa Shandong.	a província	Eu venho da província de Shandong.
剩	kalmak; artmak	Sadece iki elma kaldı.	kubaki	Zimebaki tufaha mbili tu.	restar; sobrar	Só restam duas maçãs.
失败	başarısızlık; başarısız olmak	Birçok başarısızlık yaşamış olsam da asla vazgeçmem.	kushindwa; kushindwa kufanikiwa	Ingawa nimepitia kushindwa mara nyingi, sikati tamaa kamwe.	o fracasso; fracassar	Embora tenha passado por muitos fracassos, nunca desisto.
失望	hayal kırıklığına uğramış; umudunu kaybetmek	Ondan çok hayal kırıklığına uğradım.	kukatishwa tamaa	Nimekatishwa tamaa naye sana.	decepcionado; perder a esperança	Estou muito decepcionado com ele.
师傅	usta; saygılı hitap	Usta, sinemaya nasıl gidilir?	fundi; bwana	Fundi, tafadhali, ninaendaje kwenye sinema?	mestre; senhor	Com licença, como chego ao cinema?
十分	çok; son derece	O işleri son derece dikkatli yapar.	sana	Anafanya mambo kwa uangalifu sana.	muito; extremamente	Ela faz as coisas com muito cuidado.
实际	gerçek; pratik	Bu sorunu açıklamak için pratik bir örnek kullandı.	halisi; ya vitendo	Alitumia mfano wa vitendo kueleza tatizo hili.	prático; real	Ele usou um exemplo prático para ilustrar este problema.
实在	gerçekten; sahiden	Gerçekten çok yoruldum.	kweli; kwa hakika	Nimechoka kweli sana.	realmente; de fato	Estou realmente muito cansado.
使	sebep olmak; yapmak	Onun sözleri beni çok duygulandırdı.	kufanya; kusababisha	Maneno yake yalinifanya niguswe moyo sana.	fazer; causar	As palavras dele me emocionaram muito.
使用	kullanmak	Çinliler yemek yerken genellikle yemek çubuğu kullanır.	kutumia	Wachina kwa kawaida hutumia vijiti kula.	usar; utilizar	Os chineses geralmente usam hashis para comer.
世纪	yüzyıl	Şimdi yirmi birinci yüzyıldayız.	karne	Sasa ni karne ya ishirini na moja.	o século	Agora estamos no século vinte e um.
是否	olup olmadığı; -ip -mediği	Onun gelip gelemeyeceğinden henüz pek emin değilim.	kama; iwapo	Sijui vizuri bado kama anaweza kuja.	se; se acaso	Ainda não tenho certeza se ele pode vir.
适合	uymak; yakışmak	Yeşil kıyafetler bana pek yakışmaz.	kufaa; kuendana	Nguo za kijani hazinifai sana.	combinar; servir	Roupas verdes não combinam muito comigo.
适应	uyum sağlamak	Kuzeyin iklimine uyum sağlayabilir misin?	kuzoea	Je, unaweza kuzoea hali ya hewa ya kaskazini?	adaptar-se	Você consegue se adaptar ao clima do norte?
收	almak; kabul etmek	Mektubunu aldım.	kupokea; kukusanya	Nimepokea barua yako.	receber; aceitar	Recebi sua carta.
收入	gelir	Onun geliri eskisinden daha yüksek.	mapato	Mapato yake ni ya juu kuliko hapo awali.	a renda	A renda dele é maior do que antes.
收拾	toplamak; düzenlemek; bavul hazırlamak	Bavulumu topluyorum.	kupanga; kufungasha	Ninafungasha mizigo yangu.	arrumar; fazer as malas	Estou arrumando minha bagagem.
首都	başkent	Çin'in başkenti Pekin'dir.	mji mkuu	Mji mkuu wa China ni Beijing.	a capital	A capital da China é Pequim.
首先	öncelikle; ilk olarak	Önce iyi dinlenmek gerekir, sonra iyi çalışılabilir.	kwanza	Kwanza unahitaji kupumzika vizuri, ndipo uweze kufanya kazi vizuri.	primeiro; antes de tudo	Primeiro é preciso descansar bem, depois se pode trabalhar bem.
受不了	dayanamamak	Hava çok sıcak, dayanamıyorum.	kushindwa kuvumilia	Hali ya hewa ni ya joto sana, siwezi kuvumilia.	não aguentar; insuportável	O tempo está quente demais, não aguento.
受到	almak; maruz kalmak	Onun romanı okurlar tarafından iyi karşılandı.	kupokea; kukumbwa na	Riwaya yake ilipokelewa vizuri na wasomaji.	receber; ser alvo de	O romance dele foi bem recebido pelos leitores.
售货员	satış görevlisi	Alışveriş merkezinde satış görevlisi olarak çalışıyorum.	muuzaji	Ninafanya kazi kama muuzaji kwenye duka kubwa.	o vendedor; a vendedora	Trabalho como vendedor em um shopping.
输	kaybetmek	Bu maçı kaybettik.	kupoteza; kushindwa	Tumepoteza mechi hii.	perder	Perdemos este jogo.
熟悉	aşina olmak; iyi tanımak	Onların hepsini iyi tanıyorum.	kufahamu vizuri	Ninawafahamu wote vizuri.	estar familiarizado; conhecer bem	Estou muito familiarizado com eles.
数量	miktar; sayı	Kayıt yaptıranların sayısı çok fazla.	idadi; kiasi	Idadi ya waliojiandikisha ni kubwa.	a quantidade; o número	O número de pessoas inscritas é grande.
数字	rakam; sayı	Lütfen sayıları açıkça yazın.	nambari; tarakimu	Tafadhali andika nambari kwa uwazi.	o número; o algarismo	Por favor, escreva os números claramente.
帅	yakışıklı; şık	O bugün çok yakışıklı giyinmiş.	mtanashati; mzuri	Amevaa kwa utanashati sana leo.	bonito; elegante	Ele está vestido de forma muito elegante hoje.
顺便	hazır yeri gelmişken; yol üstünde	İşten eve dönerken yol üstünde biraz sebze aldım.	kwa kupitia; kwa urahisi	Nikiwa njiani kurudi kutoka kazini, nilinunua mboga kwa kupitia.	aproveitar para; de passagem	No caminho de volta do trabalho, aproveitei para comprar alguns legumes.
顺利	sorunsuz; yolunda	Maç sorunsuz geçti.	kwa urahisi; bila matatizo	Mechi iliendelea bila matatizo.	tranquilo; sem problemas	O jogo correu tranquilamente.
顺序	sıra; düzen	Lütfen sırayı karıştırmayın.	mpangilio	Tafadhali usiharibu mpangilio.	a ordem; a sequência	Por favor, não bagunce a ordem.
说明	açıklamak; açıklama	Bu işin nedenini herkese açıkladı.	kueleza; maelezo	Alieleza sababu ya jambo hili kwa kila mtu.	explicar; a explicação	Ele explicou a todos o motivo deste assunto.
硕士	yüksek lisans derecesi	Üniversitede yüksek lisans yapıyorum.	shahada ya uzamili	Ninasoma shahada ya uzamili chuoni.	o mestrado	Estou cursando mestrado na universidade.
死	ölmek; ölü	Bu ağaç çoktan öldü.	kufa; mfu	Mti huu tayari umekufa.	morrer; morto	Esta árvore já morreu.
塑料袋	plastik poşet	Çevreyi korumak için lütfen plastik poşet kullanmayın.	mfuko wa plastiki	Ili kulinda mazingira, tafadhali usitumie mifuko ya plastiki.	a sacola plástica	Para proteger o meio ambiente, não use sacolas plásticas.
速度	hız	Onun koşu hızı gerçekten çok yüksek!	kasi	Kasi yake ya kukimbia ni kubwa kweli!	a velocidade	Ele corre muito rápido!
酸	ekşi	Aldığın üzümler biraz ekşi.	chachu; kali	Zabibu ulizonunua zina uchachu kidogo.	azedo; ácido	As uvas que você comprou estão um pouco azedas.
随便	istediği gibi; rastgele	Herkes istediği yere otursun lütfen.	vyovyote; popote	Tafadhali kaeni popote mnapopenda.	à vontade; qualquer	Por favor, sentem-se onde quiserem.
随着	ile birlikte; -dıkça	Ekonominin gelişmesiyle insanların yaşamı büyük ölçüde iyileşti.	kadiri ya; pamoja na	Kadiri uchumi unavyoendelea, maisha ya watu yameboreshwa sana.	com; à medida que	Com o desenvolvimento da economia, a vida das pessoas melhorou muito.
孙子	torun; erkek torun	Dede kendi torununu çok sever.	mjukuu wa kiume	Babu anampenda sana mjukuu wake wa kiume.	o neto	O avô gosta muito do próprio neto.
所有	tüm; bütün	Herkes onun hatalı olduğunu düşündü.	wote; kila	Watu wote walidhani yeye ndiye aliyekosea.	todos; todo	Todos acharam que ele estava errado.
台	makine ve cihazlar için ölçü sözcüğü	Bu bilgisayar yeni alındı.	kipimio cha mashine na vifaa	Kompyuta hii imenunuliwa hivi karibuni.	classificador para máquinas e aparelhos	Este computador foi comprado recentemente.
抬	kaldırmak; taşımak	Sırayı sınıfa taşıdılar.	kuinua; kubeba	Walibeba dawati kwenda darasani.	levantar; carregar	Eles carregaram a carteira para a sala de aula.
态度	tavır; tutum	Garsonun müşterilere karşı tutumu çok iyi.	mtazamo; mwenendo	Mhudumu ana mtazamo mzuri sana kwa wateja.	a atitude; a postura	A atitude do atendente com os clientes é muito boa.
弹钢琴	piyano çalmak	Dört yaşımda piyano çalmayı öğrenmeye başladım.	kupiga piano	Nilianza kujifunza kupiga piano nilipokuwa na miaka minne.	tocar piano	Comecei a aprender a tocar piano quando tinha quatro anos.
谈	konuşmak; sohbet etmek	Seninle başka bir konu daha konuşmak istiyorum.	kuzungumza; kujadili	Nataka kuzungumza nawe kuhusu jambo lingine.	conversar; discutir	Quero falar com você sobre outra coisa.
汤	çorba	Çorba tuzsuz, biraz daha tuz koyalım.	supu	Supu haina chumvi, tuongeze chumvi kidogo.	a sopa	A sopa não está salgada, vamos colocar mais sal.
糖	şeker; tatlı	Bir parça şeker yemek istiyorum.	sukari; peremende	Nataka kula peremende moja.	o açúcar; o doce	Quero comer um doce.
躺	uzanmak	O yatakta uyuyakaldı.	kulala; kujilaza	Alilala kitandani na usingizi ukamchukua.	deitar-se	Ela adormeceu deitada na cama.
趟	sefer için ölçü sözcüğü	Geçen ay Pekin'e bir kez gittim.	kipimio cha safari	Mwezi uliopita nilikwenda Beijing mara moja.	classificador para viagens	Fui a Pequim uma vez no mês passado.
讨论	tartışmak; görüşmek	Toplantı yapıp bunu konuşalım.	kujadili	Tufanye mkutano na kulijadili.	discutir; debater	Vamos fazer uma reunião para discutir isso.
讨厌	sevmemek; can sıkıcı	Bu hava gerçekten can sıkıcı.	kuchukia; kuudhi	Hali hii ya hewa inaudhi kweli.	não gostar; irritante	Este tempo está realmente irritante.
特点	özellik	Bu restoranın özelliği yemeklerinin çok taze olmasıdır.	sifa; kipengele	Sifa ya mgahawa huu ni kwamba chakula ni kibichi na safi.	a característica	A característica deste restaurante é que a comida é fresca.
提	kaldırmak; tutup almak	Lütfen bu çantayı kaldır.	kuinua; kubeba	Tafadhali inua mfuko huu.	levantar; pegar	Por favor, levante esta bolsa.
提供	sağlamak; sunmak	Kütüphane herkese sessiz bir okuma ortamı sağlar.	kutoa; kusambaza	Maktaba inawapa wote mazingira tulivu ya kusoma.	oferecer; fornecer	A biblioteca oferece um ambiente tranquilo de leitura para todos.
提前	önceden; planlanandan önce	Görevi planlanandan önce tamamladık.	mapema; kabla ya muda	Tulikamilisha kazi kabla ya muda.	adiantado; com antecedência	Concluímos a tarefa antes do prazo.
提醒	hatırlatmak	Ona zaten hatırlattım ama yine de unuttu.	kukumbusha	Tayari nimemkumbusha, lakini bado alisahau.	lembrar; avisar	Eu já o lembrei, mas ele ainda esqueceu.
填空	boşluk doldurmak	Bu bir boşluk doldurma sorusu.	kujaza nafasi wazi	Hili ni swali la kujaza nafasi wazi.	preencher lacuna	Esta é uma questão de preencher lacuna.
条件	koşul; kriter	O, işe alım koşullarımıza çok uyuyor.	sharti; vigezo	Anakidhi vigezo vyetu vya ajira vizuri sana.	a condição; o critério	Ela atende muito bem aos nossos critérios de contratação.
停	durmak	Araba durdu.	kusimama	Gari lilisimama.	parar	O carro parou.
挺	oldukça; epey	Bu kitap oldukça güzel.	kabisa; kiasi	Kitabu hiki ni kizuri kabisa.	bastante; bem	Este livro é bem bom.
通过	geçmek; aracılığıyla	Sınavı geçtim.	kupita; kupitia	Tayari nimefaulu mtihani.	passar; através de	Passei no exame.
通知	haber vermek; bildirim	Lütfen herkese toplantıya gelmesini haber verin.	kuarifu; taarifa	Tafadhali waarifu wote waje kwenye mkutano.	avisar; o aviso	Por favor, avise todos para virem à reunião.
同情	sempati duymak; acımak	Ona çok acıyorum.	kuhurumia; huruma	Ninamuhurumia sana.	simpatizar; a compaixão	Tenho muita compaixão por ele.
同时	aynı zamanda; -iken	O müzik dinlerken aynı zamanda ödev yapıyor.	wakati huo huo; huku	Anasikiliza muziki huku akiandika kazi ya nyumbani.	ao mesmo tempo; enquanto	Ele ouve música enquanto faz a lição de casa.
推	itmek	Arabam bozuldu, lütfen benim için iter misin?	kusukuma	Gari langu limeharibika, tafadhali unaweza kunisukumia?	empurrar	Meu carro quebrou, você poderia empurrá-lo para mim?
推迟	ertelemek; geciktirmek	Uçağın kalkış saati yirmi dakika ertelendi.	kuahirisha; kuchelewesha	Muda wa ndege kuondoka umecheleweshwa kwa dakika ishirini.	adiar; atrasar	O horário de partida do avião foi atrasado em vinte minutos.
脱	çıkarmak	Oda çok sıcak, paltonu çıkar.	kuvua	Chumba kina joto, vua koti lako.	tirar	A sala está muito quente, tire o casaco.
袜子	çorap	Çoraplarımı temizce yıkadım.	soksi	Nimeziosha soksi zangu zikawa safi.	as meias	Lavei minhas meias.
完全	tamamen	Yargın tamamen doğru.	kabisa	Hukumu yako ni sahihi kabisa.	completamente	Seu julgamento está completamente correto.
往往	çoğu zaman; sık sık	Pazar günleri o çoğu zaman parkta yürüyüşe gider.	mara nyingi	Jumapili mara nyingi huenda bustanini kutembea.	frequentemente; muitas vezes	Aos domingos, ele costuma passear no parque.
网球	tenis	Tenis oynamayı öğrenmeye daha yeni başladım.	tenisi	Nimeanza kujifunza kucheza tenisi hivi karibuni tu.	o tênis	Só recentemente comecei a aprender a jogar tênis.
网站	web sitesi	Bu web sitesinde birçok Çince materyal var.	tovuti	Kwenye tovuti hii kuna nyenzo nyingi za Kichina.	o site; o website	Há muitos materiais em chinês neste site.
