simplified	SW	example_SW
通常	kwa kawaida	Kwa kawaida huamka saa moja asubuhi.
统一	kuunganisha	Maoni ya kila mtu yanahitaji kuunganishwa.
痛苦	maumivu	Kumpoteza rafiki kulimletea maumivu makubwa.
痛快	kwa raha	Leo tulicheza kwa raha kweli.
偷	kuiba	Usiibe vitu vya wengine.
投入	kujitolea	Anafanya kazi kwa kujitolea sana.
投资	kuwekeza	Waliwekeza katika mradi mpya.
透明	wazi	Kikombe hiki ni wazi.
突出	kujitokeza	Faida zake zinajitokeza sana.
土地	ardhi	Ardhi hii ina rutuba sana.
土豆	kiazi	Nimenunua viazi kadhaa.
兔子	sungura	Mtoto anafuga sungura mmoja.
吐	kutapika	Hajisikii vizuri, anataka kutapika.
团	kikundi	Tulijiunga na kikundi cha safari.
推辞	kukataa kwa heshima	Alikataa mwaliko wa rafiki kwa heshima.
推广	kutangaza	Kampuni inatangaza bidhaa mpya.
推荐	kupendekeza	Mwalimu alipendekeza kitabu hiki.
退	kurudi nyuma	Tafadhali rudi nyuma hatua moja.
退步	kushuka kiwango	Usipofanya mazoezi, kiwango kitashuka.
退休	kustaafu	Mwaka ujao atastaafu.
歪	kupinda	Picha hii imening'inia vibaya.
外公	babu upande wa mama	Babu yangu upande wa mama ana miaka themanini mwaka huu.
外交	diplomasia	Anasoma mahusiano ya kimataifa na diplomasia.
完美	kamilifu	Mpango huu si kamilifu.
完善	kuboresha	Tunahitaji kuboresha mchakato wa huduma.
完整	kamili	Tafadhali nipe ripoti kamili.
玩具	kichezeo	Mtoto aliweka vichezeo kwenye sanduku.
万一	ikiwa kwa bahati mbaya	Ikiwa mvua itanyesha, tutaenda siku nyingine.
王子	mwana wa mfalme	Mwana wa mfalme kwenye hadithi ni jasiri sana.
往返	kwenda na kurudi	Tiketi hii inaweza kutumika kwenda na kurudi siku hiyohiyo.
网络	mtandao	Mtandao hapa ni thabiti sana.
危害	kudhuru	Kuvuta sigara hudhuru afya.
威胁	kutishia	Uchafuzi unatishia mito.
微笑	tabassamu	Alinitabasamia kidogo.
唯一	pekee	Hii ndiyo njia pekee.
围巾	skafu	Wakati wa baridi alivaa skafu.
围绕	kuzunguka	Mjadala ulizunguka suala hili.
维修	kutengeneza	Lifti inatengenezwa.
违反	kukiuka	Kufanya hivi kunakiuka kanuni.
伟大	kubwa	Huu ni ugunduzi mkubwa.
委屈	kuhisi kuonewa	Alihisi kuonewa sana.
尾巴	mkia	Mbwa mdogo anatingisha mkia.
位于	kupatikana	Shule iko katikati ya jiji.
位置	mahali	Mahali hapa ni patulivu sana.
未必	si lazima	Alichosema si lazima kiwe kweli.
未来	baadaye	Tunapaswa kujiandaa kwa siku za baadaye.
胃	tumbo	Tumbo langu haliko vizuri kidogo.
胃口	hamu ya kula	Leo ana hamu nzuri ya kula.
温暖	joto	Mwanga wa jua wa masika ni wa joto.
温柔	mpole	Anazungumza kwa upole.
文件	nyaraka	Tafadhali nitumie nyaraka.
文具	vifaa vya kuandikia	Kwenye mkoba kuna vifaa vingi vya kuandikia.
文明	ustaarabu	Kupanga foleni ni tabia ya ustaarabu.
文学	fasihi	Anapenda fasihi ya China.
文字	maandishi	Maandishi haya ni magumu kusoma.
闻	kunusa	Nimesikia harufu ya maua.
吻	kubusu	Mama alibusu uso wa mtoto.
稳定	thabiti	Bei za bidhaa zimebaki thabiti.
问候	salimu	Tafadhali nisalimie familia yako.
卧室	chumba cha kulala	Chumbani kuna kitanda kikubwa.
握手	kushikana mikono	Walipokutana walishikana mikono.
屋子	nyumba	Ndani ya nyumba kuna joto.
无奈	bila namna nyingine	Alitikisa kichwa bila namna nyingine.
无数	isiyohesabika	Kuna nyota zisizohesabika angani usiku.
无所谓	haijalishi	Haijalishi unataka kula nini.
武术	sanaa za mapigano	Alianza kujifunza sanaa za mapigano akiwa mdogo.
勿	usifanye	Tafadhali usivute sigara hapa.
物理	fizikia	Somo la fizikia linavutia sana.
物质	dutu	Maji ni dutu muhimu.
雾	ukungu	Kulikuwa na ukungu mzito asubuhi.
吸取	kujifunza	Tunapaswa kujifunza kutokana na somo hili.
吸收	kufyonza	Mimea hufyonza maji.
戏剧	tamthilia	Anapenda kutazama tamthilia za jadi.
系	idara	Anasoma katika idara ya Kichina.
系统	mfumo	Mfumo huu unafanya kazi kwa uthabiti.
细节	maelezo madogo	Tafadhali zingatia maelezo haya madogo.
瞎	bila msingi	Usikisie bila msingi; angalia taarifa kwanza.
下载	kupakua	Nimepakua programu hii.
吓	kushtua	Sauti ya ghafla ilinishtua sana.
夏令营	kambi ya majira ya joto	Mtoto alishiriki kambi ya majira ya joto ya Kichina.
鲜艳	angavu	Rangi ya gauni hili ni angavu sana.
显得	kuonekana	Nguo hii inamfanya aonekane kijana.
显然	dhahiri	Dhahiri, tayari amejua matokeo.
显示	kuonyesha	Skrini inaonyesha muda usio sahihi.
县	wilaya	Wilaya hii ina mashamba mengi ya chai.
现代	kisasa	Maisha ya kisasa hayawezi kutenganishwa na mtandao.
现实	uhalisia	Lazima tukabiliane na uhalisia.
现象	jambo	Jambo hili ni la kawaida sana.
限制	kuzuia	Hapa magari yanazuiwa kuingia.
相处	kuelewana	Wanaelewana vizuri.
相当	kiasi cha	Kitabu hiki kinavutia kiasi cha kutosha.
相对	kwa kulinganisha	Bei za hapa ni nafuu kwa kulinganisha.
相关	husika	Tafadhali toa taarifa husika.
相似	kufanana	Maana za herufi hizi mbili zinafanana sana.
香肠	sosiji	Kifungua kinywa kina mayai na sosiji.
享受	kufurahia	Wanafurahia likizo yao.
想念	kumkumbuka	Ninaikumbuka familia yangu sana.
想象	kufikiria	Siwezi kufikiria maisha ya aina hiyo.
象棋	chesi ya Kichina	Babu anapenda kucheza chesi ya Kichina.
象征	kuashiria	Mara nyingi rangi nyeupe huashiria usafi.
项	kitu	Jukumu hili ni muhimu sana.
项链	mkufu	Amevaa mkufu wa fedha.
项目	mradi	Mradi huu unahitaji miezi mitatu.
消费	matumizi	Wakati wa sikukuu matumizi yaliongezeka.
消化	mmeng'enyo	Kutembea baada ya chakula husaidia mmeng'enyo.
消极	hasi	Usitazame matatizo kwa mtazamo hasi.
消失	kutoweka	Jua lilitoweka polepole nyuma ya mlima.
销售	kuuza	Kampuni hii huuza bidhaa za kielektroniki.
小麦	ngano	Kaskazini wamepanda ngano nyingi.
小气	bahili	Usiwe bahili kiasi hicho.
孝顺	kuwaheshimu wazazi	Anawaheshimu na kuwajali sana wazazi wake.
效率	ufanisi	Kufanya hivi kunaweza kuongeza ufanisi.
歇	kupumzika	Tupumzike kwanza kwa muda kidogo.
斜	kuinama	Barabara hii ina mwinuko kidogo.
写作	uandishi	Uandishi unahitaji mazoezi ya muda mrefu.
心理	saikolojia	Kabla ya mtihani ni muhimu kurekebisha hali ya kisaikolojia.
心脏	moyo	Afya ya moyo ni muhimu sana.
欣赏	kufurahia	Tulifurahia mandhari mazuri.
信号	mawasiliano ya simu	Hapa mawasiliano ya simu si mazuri.
信任	uaminifu	Urafiki unahitaji uaminifu.
形成	kujitengeneza	Tabia nzuri hujitengeneza taratibu.
形容	kueleza	Sijui jinsi ya kueleza hisia hii.
形势	hali	Hali ya sasa ni tata kiasi.
形式	namna	Mkutano unaweza kufanyika kwa njia ya mtandao.
形象	sura	Sura yake mbele ya umma ni nzuri.
形状	umbo	Umbo la kisanduku hiki ni la pekee.
行动	kuchukua hatua	Tunahitaji kuchukua hatua mara moja.
行人	watembea kwa miguu	Unapovuka barabara, zingatia watembea kwa miguu.
行为	tabia	Tabia hii si ya heshima.
幸亏	bahati nzuri	Bahati nzuri ulinnikumbusha.
幸运	bahati	Alikuwa na bahati kupata kazi.
性质	asili	Asili ya tatizo hili ni nzito.
兄弟	ndugu	Wale ndugu wawili wana uhusiano mzuri.
胸	kifua	Anahisi kifua kimebana kidogo.
休闲	mapumziko	Mwishoni mwa wiki ni wakati mzuri wa mapumziko.
修改	kurekebisha	Tafadhali rekebisha makala hii.
虚心	unyenyekevu	Tunapaswa kusikiliza maoni kwa unyenyekevu.
叙述	kusimulia	Alisimulia kilichotokea kwa uwazi.
宣布	kutangaza	Shule ilitangaza kanuni mpya.
宣传	kueneza	Wanaeneza elimu ya kulinda mazingira.
学历	kiwango cha elimu	Kazi hii inahitaji kiwango cha elimu cha shahada.
学术	kitaaluma	Mkutano huu unajadili masuala ya kitaaluma.
学问	elimu kubwa	Ana elimu kubwa.
血	damu	Mkono wake ulitoka damu kidogo.
寻找	kutafuta	Tunatafuta njia mpya.
询问	kuuliza	Alimuuliza mwalimu muda wa mtihani.
训练	mazoezi	Wanariadha huendelea na mazoezi kila siku.
迅速	haraka	Habari ilisambaa haraka.
押金	amana	Kukodisha nyumba kunahitaji kulipa amana.
牙齿	meno	Tafadhali yatunze meno yako vizuri kila siku.
严肃	makini	Sura ya mwalimu ilikuwa makini.
延长	kuongeza muda	Mkutano uliongezwa kwa nusu saa.
演讲	hotuba	Anajiandaa kwa hotuba ya kesho.
宴会	karamu	Walihudhuria karamu moja.
阳台	roshani	Kuna vyungu kadhaa vya maua roshanini.
痒	kuwasha	Mkono wangu unawasha kidogo.
样式	mtindo	Mtindo huu unapendwa sana.
腰	kiuno	Ukikaa kwa muda mrefu, kiuno huuma.
摇	kutikisa	Upepo ulitikisa matawi huku na huku.
咬	kuuma	Mbwa huyu haumi watu.
要不	labda	Labda twende kesho.
业务	shughuli za biashara	Shughuli za biashara za kampuni zinazidi kuongezeka.
业余	muda wa ziada	Katika muda wake wa ziada anajifunza upigaji picha.
夜	usiku	Mitaani ni kimya sana usiku.
依然	bado	Bado anaishi Beijing.
一辈子	maisha yote	Alipenda muziki maisha yake yote.
一旦	mara tu	Mara tu ukiamua, lazima uendelee kushikilia.
一律	bila ubaguzi	Wakati wa mkutano, simu zote zizimwe bila ubaguzi.
一再	mara kwa mara	Alitukumbusha mara kwa mara kuzingatia usalama.
一致	kukubaliana	Maoni ya kila mtu yalikubaliana kabisa.
疑问	shaka	Nina shaka kuhusu jibu hili.
移动	kuhamisha	Tafadhali hamisha meza kidogo.
移民	kuhamia nchi nyingine	Wanapanga kuhamia nchi nyingine.
遗憾	majuto	Nasikitika sana kwamba sikuweza kukuona.
乙	upande B	Katika mkataba, upande B anawajibika kulipa.
以及	na pia	Nilinunua vitabu na pia vifaa vya kuandikia.
以来	tangu	Tangu alipohitimu, amekuwa akifanya kazi Beijing.
义务	wajibu	Kulinda mazingira ni wajibu wa kila mtu.
亿	bilioni	Nchi hii ina zaidi ya bilioni moja ya watu.
意外	tukio lisilotarajiwa	Kuchelewa huku kulikuwa tukio lisilotarajiwa kabisa.
意义	maana	Shughuli hii ina maana kubwa.
议论	kujadili	Kila mtu anajadili jambo hili.
因而	kwa hiyo	Alisoma kwa bidii, kwa hiyo matokeo yake ni mazuri.
因素	sababu	Hali ya hewa ni sababu muhimu.
银	fedha	Amevaa bangili ya fedha.
印刷	uchapishaji	Uchapishaji wa kitabu hiki uko wazi sana.
英俊	mrembo	Anapendeza sana kwa sura.
英雄	shujaa	Wazima moto ni mashujaa wa kweli.
营养	lishe	Kifungua kinywa kinapaswa kuwa na lishe ya kutosha.
营业	kufunguliwa kwa biashara	Duka hili linaanza kufunguliwa saa tatu.
迎接	kupokea	Tutaenda uwanja wa ndege kuwapokea wageni.
影子	kivuli	Kuna kivuli chake chini ya taa ya barabarani.
应付	kukabiliana	Anaweza kukabiliana na tatizo hili.
应用	kutumia	Njia hii inaweza kutumiwa katika ufundishaji.
硬	gumu	Kiti hiki ni kigumu sana.
硬件	vifaa vya kompyuta	Vifaa vya kompyuta hii ni vizuri.
拥抱	kukumbatia	Mtoto alikimbia kwenda kumkumbatia mama yake.
拥挤	kusongamana	Wakati wa asubuhi treni ya chini ya ardhi husongamana sana.
勇气	ujasiri	Ana ujasiri wa kukiri kosa.
用功	kusoma kwa bidii	Anasoma kwa bidii sana.
用途	matumizi	Nyenzo hii ina matumizi mengi.
优惠	punguzo	Duka hili lina punguzo leo.
优美	ya kupendeza	Mazingira ya hapa yanapendeza sana.
优势	ubora	Ubora wake ni uzoefu mkubwa.
悠久	wa muda mrefu	China ina historia ya muda mrefu.
油炸	kukaanga kwa mafuta	Sili sana vyakula vilivyokaangwa kwa mafuta.
游览	kutembelea	Kesho tutatembelea Ikulu ya Kale.
犹豫	kusita	Alisita kwa muda kidogo ndipo akajibu.
有利	kuwa na faida	Sharti hili lina faida kwetu.
幼儿园	chekechea	Mtoto ataenda chekechea mwaka ujao.
娱乐	burudani	Kutazama filamu ni aina ya burudani.
与其	badala ya	Badala ya kulalamika, ni bora kuchukua hatua.
语气	sauti	Namna yake ya kuzungumza ni tulivu sana.
玉米	mahindi	Chakula cha jioni kina supu ya mahindi.
预报	utabiri	Utabiri wa hali ya hewa unasema kesho kutakuwa na mvua.
预订	kuweka nafasi	Tayari nimeweka nafasi ya hoteli.
预防	kuzuia	Kuosha mikono mara kwa mara kunaweza kuzuia mafua.
元旦	Siku ya Mwaka Mpya	Siku ya Mwaka Mpya tutapumzika siku moja.
原料	malighafi	Malighafi kuu ya mkate ni unga wa ngano.
原则	kanuni	Mtu anapaswa kuwa na kanuni.
员工	mfanyakazi	Kampuni ina wafanyakazi mia tatu.
圆	duara	Mwezi ni mkubwa na wa duara.
愿望	tamaa	Tamaa yake ni kuzunguka dunia.
乐器	ala ya muziki	Anajua kupiga ala kadhaa za muziki.
晕	kizunguzungu	Ninapata kizunguzungu kidogo nikisafiri kwa meli.
运气	bahati	Bahati yangu leo si mbaya.
运输	usafirishaji	Bidhaa hizi zinahitaji usafirishaji wa reli.
运用	kutumia kwa ustadi	Tafadhali tumia maneno haya kwa ustadi.
灾害	maafa	Mafuriko ni aina ya maafa ya asili.
再三	tena na tena	Mwalimu alitukumbusha tena na tena kupitia masomo.
在乎	kujali	Anajali sana maoni ya marafiki.
在于	kutegemea	Mafanikio hutegemea uvumilivu.
赞成	kukubaliana	Ninakubaliana na pendekezo lako.
赞美	kusifu	Kila mtu alisifu ujasiri wake.
糟糕	mbaya	Hali ya hewa ya leo ni mbaya kweli.
造成	kusababisha	Mvua kubwa ilisababisha msongamano wa magari.
则	basi	Ukijitahidi, basi utapiga hatua.
责备	kulaumu	Mwalimu hakumlaumu.
摘	kuchuma	Alichuma ua moja bustanini.
窄	nyembamba	Barabara hii ni nyembamba sana.
粘贴	kubandika	Tafadhali bandika picha hapa.
展开	kuanza	Mjadala ulianza haraka.
展览	maonyesho	Makumbusho yana maonyesho mapya.
占	kuchukua	Meza hii inachukua nafasi.
战争	vita	Vita huwaletea watu mateso.
掌握	kumudu	Tayari amemudu sarufi ya msingi.
涨	kupanda	Hivi karibuni kodi ya nyumba imepanda tena.
长辈	wakubwa wa familia	Wakati wa Mwaka Mpya ni vizuri kuwasalimia wakubwa wa familia.
账户	akaunti	Tafadhali kagua akaunti yako ya benki.
招待	kukaribisha	Mwenyeji aliwakaribisha wageni kwa uchangamfu.
着火	kushika moto	Jikoni kulishika moto ghafla.
着凉	kupata baridi	Kuna baridi; usipate baridi.
召开	kuitisha	Shule itaitisha mkutano kesho.
照常	kama kawaida	Duka litafunguliwa kama kawaida kesho.
哲学	falsafa	Chuo kikuu alisomea falsafa.
珍惜	kuthamini	Tunapaswa kuthamini muda.
真实	kweli	Hadithi hii ni ya kweli.
针对	kulenga	Pendekezo hili linalenga wanafunzi wapya.
诊断	utambuzi	Daktari alitoa utambuzi haraka.
振动	kutetemeka	Simu inatetemeka juu ya meza.
阵	kwa muda mfupi	Nje kulinyesha mvua kwa muda mfupi.
争论	mjadala	Walibishana kwa muda mrefu kuhusu suala hili.
争取	kujitahidi kupata	Tunapaswa kujitahidi kupata nafasi zaidi.
征求	kuomba maoni	Mwalimu aliomba maoni ya kila mtu.
挣	kujinasua	Ndege mdogo alijinasua kutoka kwenye kamba.
睁	kufumbua	Tafadhali yafumbue macho zaidi kidogo.
整个	zima	Jiji zima lilikuwa kimya sana.
整齐	nadhifu	Vitabu vimewekwa kwa unadhifu.
整体	jumla	Tunapaswa kuzingatia athari kwa jumla.
政府	serikali	Serikali ilitoa tangazo jipya.
政治	siasa	Anavutiwa sana na siasa.
正	sahihi	Jibu hili ni sahihi.
证件	hati ya utambulisho	Tafadhali onyesha hati yako ya utambulisho.
证据	ushahidi	Polisi walipata ushahidi mpya.
支	kihesabio	Mezani kuna kalamu moja.
支票	hundi	Alilipa kwa hundi.
执照	leseni	Kuendesha gari kunahitaji leseni ya udereva.
直	moja kwa moja	Fuata barabara hii moja kwa moja mbele.
指导	kuongoza	Mwalimu alituongoza kuandika tasnifu.
指挥	kuongoza	Yeye anawajibika kuongoza hatua hii.
制定	kutunga	Kampuni ilitunga mpango mpya.
制度	mfumo	Shule ina mfumo mkali.
制造	kutengeneza	Kiwanda hiki hutengeneza mashine.
制作	kutayarisha	Anatayarisha keki ya siku ya kuzaliwa.
志愿者	mjitoleaji	Wajitoleaji wengi walishiriki shughuli hiyo.
智慧	hekima	Mzee huyu ana hekima nyingi.
治疗	matibabu	Daktari anamtibu mgonjwa.
秩序	utaratibu	Tafadhali kila mtu adumishe utaratibu.
至今	hadi sasa	Tatizo hili halijatatuliwa hadi sasa.
至于	kuhusu	Kuhusu gharama, tutazungumza kesho.
中介	wakala	Alikodisha nyumba kupitia wakala.
中心	kituo	Hospitali iko katikati ya jiji.
中旬	katikati ya mwezi	Mkutano umepangwa katikati ya Mei.
种类	aina	Matunda ya hapa yana aina nyingi.
重大	muhimu	Huu ni uamuzi muhimu sana.
重量	uzito	Uzito wa sanduku hili ni kiasi gani?
周到	makini	Huduma yake ni makini sana.
猪	nguruwe	Shambani wanafuga nguruwe wengi.
竹子	mianzi	Panda wanapenda kula mianzi.
逐步	hatua kwa hatua	Mpango utatekelezwa hatua kwa hatua.
逐渐	taratibu	Hali ya hewa inazidi kuwa baridi taratibu.
主持	kuendesha	Ataendesha mkutano wa leo.
主动	kwa hiari	Aliwasaidia wanafunzi wenzake kwa hiari.
主观	wa binafsi	Tathmini hii ni ya binafsi kidogo.
主人	mwenyeji	Mwenyeji alitukaribisha kwa uchangamfu.
主任	mkuu	Mkuu yuko ofisini.
主题	mada	Mada ya mjadala wa leo ni kulinda mazingira.
主席	mwenyekiti	Mwenyekiti alitangaza kuanza kwa mkutano.
主张	kusisitiza	Anasisitiza kutatua kwanza tatizo la usafiri.
煮	kuchemsha	Mama anachemsha tambi.
注册	kujisajili	Watumiaji wapya wanahitaji kujisajili kwanza.
祝福	baraka	Marafiki walituma baraka zao.
抓	kushika	Mtoto alishika mkono wa mama yake.
抓紧	kuharakisha	Tunapaswa kuutumia muda vizuri.
专家	mtaalamu	Mtaalamu alitoa pendekezo.
专心	kuzingatia	Darasani unapaswa kusikiliza kwa kuzingatia.
转变	mabadiliko	Mtazamo wake umebadilika.
转告	kufikisha ujumbe	Tafadhali mfikishie ujumbe kuwa kuna mkutano kesho.
装	kuweka	Tafadhali weka vitabu ndani ya begi.
装饰	kupamba	Walitumia maua kupamba chumba.
装修	kukarabati	Nyumba mpya inakarabatiwa.
撞	kugonga	Magari mawili yaligongana kwenye makutano ya barabara.
状况	hali	Hali ya sasa ni thabiti kiasi.
状态	hali	Hali yake leo ni nzuri.
追	kukimbiza	Mtoto anamkimbiza mbwa mdogo nyuma.
追求	kufuatilia	Daima anafuatilia ndoto yake.
咨询	kushauriana	Unaweza kushauriana na daktari mtaalamu.
姿势	mkao	Tafadhali dumisha mkao sahihi.
资格	sifa	Ana sifa za kushiriki mashindano.
资金	fedha	Mradi unahitaji fedha zaidi.
资料	taarifa	Tafadhali nitumie taarifa hizo.
资源	rasilimali	Maji ni rasilimali muhimu ya asili.
紫	zambarau	Anapenda rangi ya zambarau.
字母	herufi	Kiingereza kina herufi ishirini na sita.
字幕	manukuu	Filamu hii ina manukuu ya Kichina.
自从	tangu	Tangu alipohitimu, hurudi mara chache sana.
自动	kiotomatiki	Mlango huu hufunguka kiotomatiki.
自豪	fahari	Ninajivunia maendeleo yangu.
自觉	kwa kujitambua	Alimaliza kazi ya nyumbani kwa kujitambua.
自私	ubinafsi	Mtu hapaswi kuwa mbinafsi kupita kiasi.
自由	uhuru	Kila mtu anathamini uhuru.
自愿	kwa hiari	Walishiriki shughuli hiyo kwa hiari.
综合	kwa ujumla	Tunahitaji kuzingatia mambo mbalimbali kwa ujumla.
总裁	mkurugenzi mtendaji	Mkurugenzi mtendaji alitoa hotuba leo.
总共	jumla	Safari hii iligharimu jumla ya yuan elfu tatu.
总理	waziri mkuu	Waziri mkuu alihudhuria mkutano.
总算	hatimaye	Tatizo hatimaye limetatuliwa.
总统	rais	Rais alitoa hotuba ya televisheni.
总之	kwa kifupi	Kwa kifupi, lazima tumalize kwa wakati.
组	kundi	Mwalimu alitugawa katika makundi matatu.
组成	kuundwa	Maji huundwa na hidrojeni na oksijeni.
组合	mchanganyiko	Mchanganyiko huu wa rangi unapendeza.
组织	kuandaa	Shule iliandaa safari moja.
阻止	kuzuia	Polisi walizuia tabia hatari.
最初	mwanzoni	Mwanzoni sikuelewa vizuri.
醉	kulewa	Alikunywa sana na amelewa kidogo.
尊敬	kuheshimu	Wanafunzi wote wanamheshimu sana mwalimu.
遵守	kufuata	Lazima tufuate sheria za barabarani.
作品	kazi	Mchoro huu ni kazi yake.
作为	kama	Kama mwalimu, ana subira sana.
作文	insha	Mwalimu alituambia tuandike insha moja.
