simplified	DA	example_DA
形状	en form	Denne æskes form er meget særlig.
行动	handle; handling	Vi skal handle med det samme.
行人	en fodgænger	Vær opmærksom på fodgængere, når du går over vejen.
行为	adfærd	Denne slags adfærd er uhøflig.
幸亏	heldigvis	Heldigvis mindede du mig om det.
幸运	heldig	Han var heldig at finde et job.
性质	en karakter; natur	Dette problems karakter er alvorlig.
兄弟	brødre	De to brødre har et godt forhold.
胸	bryst	Han føler sig lidt trykket i brystet.
休闲	fritid	Weekenden er et godt tidspunkt til afslapning.
修改	rette; ændre	Ret venligst denne artikel.
虚心	ydmyg; åben	Vi bør lytte åbent til meninger.
叙述	fortælle	Han fortalte tydeligt, hvad der skete.
宣布	annoncere	Skolen annoncerede de nye regler.
宣传	informere om; promovere	De informerer om miljøbeskyttelse.
学历	uddannelsesniveau	Dette job kræver en bachelorgrad.
学术	akademisk	Dette møde diskuterer akademiske spørgsmål.
学问	viden	Han har stor viden.
血	blod	Der løb lidt blod fra hans hånd.
寻找	lede efter	Vi leder efter en ny metode.
询问	spørge	Han spurgte læreren om eksamenstidspunktet.
训练	træning; træne	Atleten træner hver dag.
迅速	hurtig	Nyheden spredte sig hurtigt.
押金	et depositum	Man skal betale depositum for at leje bolig.
牙齿	tænder	Pas godt på dine tænder hver dag.
严肃	alvorlig	Lærerens ansigtsudtryk er meget alvorligt.
延长	forlænge	Mødet blev forlænget med en halv time.
演讲	en tale	Han forbereder morgendagens tale.
宴会	en banket	De deltog i en banket.
阳台	en altan	Der står flere potter blomster på altanen.
痒	klø	Min arm klør lidt.
样式	en stil	Denne stil er meget populær.
腰	lænd; talje	Man kan få ondt i lænden af at sidde længe.
摇	ryste	Vinden rystede grenene frem og tilbage.
咬	bide	Denne hund bider ikke mennesker.
要不	ellers; hvad med	Hvad med at vi tager derhen igen i morgen?
业务	forretning; arbejdsområde	Virksomhedens forretning vokser.
业余	i fritiden	Han lærer fotografi i sin fritid.
夜	nat	Gaden er meget stille om natten.
依然	stadig	Han bor stadig i Beijing.
一辈子	hele livet	Hun elskede musik hele livet.
一旦	når først	Når først man har besluttet sig, skal man holde fast.
一律	uden undtagelse	Alle telefoner skal være slukket under mødet.
一再	gentagne gange	Han mindede os gentagne gange om at være opmærksomme på sikkerheden.
一致	ens; enige	Alles meninger er helt ens.
疑问	et spørgsmål	Jeg har et spørgsmål til dette svar.
移动	flytte	Flyt venligst bordet lidt.
移民	immigrere	De planlægger at immigrere til udlandet.
遗憾	beklage	Jeg beklager, at jeg ikke kunne se dig.
乙	part B	I kontrakten er part B ansvarlig for betalingen.
以及	samt; og	Jeg købte bøger samt skriveredskaber.
以来	siden	Siden han blev færdiguddannet, har han arbejdet i Beijing.
义务	en pligt	At beskytte miljøet er alles pligt.
亿	hundrede millioner	Dette land har over en milliard indbyggere.
意外	uventet; et uheld	At komme for sent denne gang var helt uventet.
意义	betydning	Dette arrangement er meget meningsfuldt.
议论	diskutere	Alle diskuterer denne sag.
因而	derfor	Han studerer flittigt, og derfor er hans karakterer gode.
因素	en faktor	Vejret er en vigtig faktor.
银	sølv	Hun har et sølvarmbånd på.
印刷	trykke; tryk	Denne bog er trykt meget tydeligt.
英俊	flot	Han ser meget flot ud.
英雄	en helt	Brandmænd er sande helte.
营养	ernæring	Morgenmad bør have nok næring.
营业	holde åbent	Butikken åbner klokken ni.
迎接	modtage; byde velkommen	Vi tog til lufthavnen for at modtage gæsterne.
影子	en skygge	Hans skygge er under gadelygten.
应付	håndtere	Han kan håndtere dette problem.
应用	anvende	Denne metode kan anvendes i undervisning.
硬	hård	Denne stol er for hård.
硬件	hardware	Denne computers hardware er god.
拥抱	kramme	Barnet løb hen for at kramme mor.
拥挤	overfyldt	Metroen er meget overfyldt i morgenmyldretiden.
勇气	mod	Han har mod til at indrømme sin fejl.
用功	flittig	Hun studerer meget flittigt.
用途	anvendelse	Dette materiale har mange anvendelser.
优惠	en rabat	Denne butik har rabat i dag.
优美	smuk	Miljøet her er meget smukt.
优势	en fordel	Hans fordel er rig erfaring.
悠久	langvarig	Kina har en lang historie.
油炸	friturestegt	Jeg spiser sjældent friturestegt mad.
游览	besøge; tage på rundtur	Vi besøger Den Forbudte By i morgen.
犹豫	tøve	Han tøvede et øjeblik, før han svarede.
有利	gunstig	Denne betingelse er gunstig for os.
幼儿园	en børnehave	Barnet skal i børnehave næste år.
娱乐	underholdning	At se film er en form for underholdning.
与其	i stedet for	I stedet for at klage er det bedre at handle.
语气	en tone	Hans tone er meget mild.
玉米	majs	Der er majssuppe til aftensmad.
预报	en vejrudsigt	Vejrudsigten siger, at det regner i morgen.
预订	booke	Jeg har allerede booket hotellet.
预防	forebygge	At vaske hænder ofte kan forebygge forkølelse.
元旦	nytårsdag	Vi har fri én dag på nytårsdag.
原料	et råmateriale	Brødets vigtigste råmateriale er mel.
原则	et princip	Man bør have principper.
员工	en medarbejder	Virksomheden har tre hundrede medarbejdere.
圆	rund	Månen er stor og rund.
愿望	et ønske	Hans ønske er at rejse rundt i verden.
乐器	et musikinstrument	Hun kan spille flere slags musikinstrumenter.
晕	svimmel	Jeg bliver lidt svimmel, når jeg sejler.
运气	held	Jeg har godt held i dag.
运输	transport	Disse varer skal transporteres med tog.
运用	bruge	Brug venligst disse ord fleksibelt.
灾害	en katastrofe	Oversvømmelse er en naturkatastrofe.
再三	gentagne gange	Læreren mindede os gentagne gange om at repetere.
在乎	gå op i	Han går meget op i sine venners mening.
在于	ligge i	Succes ligger i vedholdenhed.
赞成	være enig i	Jeg er enig i dit forslag.
赞美	rose	Alle roste hendes mod.
糟糕	dårlig; frygtelig	Vejret er virkelig dårligt i dag.
造成	forårsage	Den kraftige regn forårsagede trafikpropper.
则	så; i så fald	Hvis man arbejder hårdt, gør man fremskridt.
责备	bebrejde	Læreren bebrejdede ham ikke.
摘	plukke	Hun plukkede en blomst i haven.
窄	smal	Denne vej er for smal.
粘贴	klistre	Sæt venligst billedet fast her.
展开	gå i gang	Diskussionen gik hurtigt i gang.
展览	en udstilling	Museet har en ny udstilling.
占	optage	Dette bord optager plads.
战争	krig	Krig bringer lidelse til folket.
掌握	mestre	Han har allerede mestret den grundlæggende grammatik.
涨	stige	Huslejen er steget igen for nylig.
长辈	ældre familiemedlemmer	Ved nytår bør man hilse på de ældre i familien.
账户	en konto	Tjek venligst din bankkonto.
招待	modtage; beværte	Værten modtog gæsterne varmt.
着火	bryde i brand	Køkkenet brød pludselig i brand.
着凉	blive forkølet	Det er koldt, så bliv ikke forkølet.
召开	holde et møde	Skolen holder møde i morgen.
照常	som sædvanligt	Butikken holder åbent som sædvanligt i morgen.
哲学	filosofi	Han læste filosofi på universitetet.
珍惜	værdsætte	Vi bør værdsætte tiden.
真实	sand	Denne historie er sand.
针对	rettet mod	Dette forslag er rettet mod nye studerende.
诊断	en diagnose	Lægen stillede hurtigt en diagnose.
振动	vibrere	Mobiltelefonen vibrerer på bordet.
阵	en kort byge	Der kom en kort regnbyge udenfor.
争论	diskutere; skændes	De diskuterede dette spørgsmål i lang tid.
争取	stræbe efter; kæmpe for	Vi bør stræbe efter flere muligheder.
征求	indhente; bede om	Læreren bad alle om deres mening.
挣	kæmpe sig fri	Fuglen kæmpede sig fri af rebet.
睁	åbne øjnene	Åbn venligst øjnene lidt mere.
整个	hele	Hele byen er meget stille.
整齐	ordentlig; pæn	Bøgerne er stillet meget pænt.
整体	helhed	Vi skal overveje den samlede virkning.
政府	regeringen	Regeringen udsendte en ny meddelelse.
政治	politik	Han er meget interesseret i politik.
正	korrekt	Dette svar er korrekt.
证件	legitimation	Vis venligst din legitimation.
证据	bevis	Politiet fandt nye beviser.
支	måleord for penne	Der ligger en pen på bordet.
支票	en check	Han betalte med check.
执照	et kørekort; en licens	Man skal have kørekort for at køre bil.
直	ligeud	Gå ligeud ad denne vej.
指导	vejlede	Læreren vejledte os i at skrive opgaven.
指挥	lede; dirigere	Han har ansvaret for at lede denne operation.
制定	udarbejde	Virksomheden udarbejdede en ny plan.
制度	et system	Skolen har et strengt system.
制造	producere	Denne fabrik producerer maskiner.
制作	lave	Hun er ved at lave en fødselsdagskage.
志愿者	en frivillig	Mange frivillige deltog i arrangementet.
智慧	visdom	Denne ældre person har stor visdom.
治疗	behandle	Lægen behandler patienten.
秩序	orden	Hold venligst orden.
至今	indtil nu	Dette problem er endnu ikke løst.
至于	hvad angår	Hvad angår udgifterne, taler vi om dem i morgen.
中介	et bureau; en mellemmand	Han lejede lejligheden gennem et bureau.
中心	et centrum	Hospitalet ligger i byens centrum.
中旬	midten af måneden	Mødet er planlagt til midten af maj.
种类	en slags; en type	Der er mange slags frugt her.
重大	vigtig; stor	Dette er en vigtig beslutning.
重量	vægt	Hvad er denne kasses vægt?
周到	betænksom; omhyggelig	Hans service er meget omhyggelig.
猪	en gris	Der er mange grise på gården.
竹子	bambus	Pandaer kan lide at spise bambus.
逐步	gradvist; trin for trin	Planen bliver gennemført trin for trin.
逐渐	gradvist	Vejret blev gradvist koldere.
主持	lede; være vært for	Hun leder dagens møde.
主动	på eget initiativ	Han hjalp sin klassekammerat på eget initiativ.
主观	subjektiv	Denne vurdering er lidt subjektiv.
主人	en vært	Værten bød os varmt velkommen.
主任	en leder; en direktør	Lederen er på kontoret.
主题	et tema	Emnet for dagens diskussion er miljøbeskyttelse.
主席	en formand	Formanden erklærede mødet for åbent.
主张	gå ind for	Han går ind for først at løse trafikproblemet.
煮	koge	Mor er ved at koge nudler.
注册	registrere sig	Nye brugere skal først registrere sig.
祝福	velsignelser; gode ønsker	Vennerne sendte deres gode ønsker.
抓	gribe	Barnet greb mors hånd.
抓紧	udnytte godt	Vi skal udnytte tiden godt.
专家	en ekspert	Eksperten kom med forslag.
专心	koncentreret	Man skal lytte koncentreret i timen.
转变	en ændring	Hans holdning ændrede sig.
转告	videregive	Giv ham venligst besked om, at der er møde i morgen.
装	lægge i; pakke	Læg venligst bøgerne i tasken.
装饰	dekorere	De dekorerede rummet med blomster.
装修	renovere	Det nye hus er ved at blive renoveret.
撞	støde sammen	To biler stødte sammen i krydset.
状况	situation	Den nuværende situation er forholdsvis stabil.
状态	tilstand	Han er i god form i dag.
追	jagte	Barnet jagter hvalpen bagfra.
追求	forfølge	Han har altid forfulgt sin drøm.
咨询	konsultere	Du kan konsultere en speciallæge.
姿势	kropsholdning	Hold venligst den korrekte kropsholdning.
资格	kvalifikation	Han er kvalificeret til at deltage i konkurrencen.
资金	midler	Projektet har brug for flere midler.
资料	materiale	Send mig venligst materialet.
资源	ressourcer	Vand er en vigtig naturressource.
紫	lilla	Hun kan lide lilla.
字母	et bogstav	Engelsk har seksogtyve bogstaver.
字幕	undertekster	Denne film har kinesiske undertekster.
自从	siden	Siden han blev færdiguddannet, er han sjældent kommet tilbage.
自动	automatisk	Denne dør åbner automatisk.
自豪	stolt	Jeg er stolt af mine fremskridt.
自觉	på eget initiativ	Han lavede lektierne på eget initiativ.
自私	egoistisk	Man bør ikke være for egoistisk.
自由	frihed	Alle værdsætter frihed.
自愿	frivillig	De deltog frivilligt i arrangementet.
综合	samlet; integrere	Vi skal samlet overveje alle slags faktorer.
总裁	en administrerende direktør	Den administrerende direktør holdt en tale i dag.
总共	i alt	Denne rejse kostede i alt tre tusind yuan.
总理	en premierminister	Premierministeren deltog i mødet.
总算	endelig	Problemet blev endelig løst.
总统	en præsident	Præsidenten holdt en tv-tale.
总之	kort sagt	Kort sagt skal vi blive færdige til tiden.
组	en gruppe	Læreren delte os op i tre grupper.
组成	bestå af	Vand består af brint og ilt.
组合	en kombination	Denne farvekombination ser godt ud.
组织	organisere	Skolen organiserede en rejse.
阻止	forhindre	Politiet forhindrede den farlige handling.
最初	i begyndelsen	I begyndelsen forstod jeg det ikke helt.
醉	fuld	Han drak for meget og er lidt fuld.
尊敬	respektere	Eleverne respekterer alle læreren.
遵守	overholde	Vi skal overholde færdselsreglerne.
作品	et værk	Dette maleri er hans værk.
作为	som	Som lærer er han meget tålmodig.
作文	en stil; en skriftlig opgave	Læreren bad os skrive en stil.
