simplified	IT	example_IT
体贴	premuroso; attento	Lui è molto premuroso con la famiglia.
体现	riflettere; incarnare	Questa cosa riflette lo spirito di squadra.
体验	sperimentare; fare esperienza	Voglio sperimentare la vita locale.
天空	il cielo	Oggi il cielo è molto azzurro.
天真	ingenuo; innocente	L'idea del bambino è molto ingenua.
调皮	dispettoso; birichino	Quel gatto è molto dispettoso.
调整	aggiustare; modificare	Dobbiamo modificare il piano.
挑战	la sfida	Questa è una grande sfida.
通常	di solito	Di solito lui si alza alle sette.
统一	unificare; rendere uniforme	Bisogna rendere uniformi le opinioni di tutti.
痛苦	il dolore; la sofferenza	Perdere l'amico lo ha fatto soffrire molto.
痛快	divertente; con grande soddisfazione	Oggi ci siamo divertiti davvero molto.
偷	rubare	Non rubare le cose degli altri.
投入	concentrato; investire	Lui lavora con grande concentrazione.
投资	investire; l'investimento	Hanno investito in un nuovo progetto.
透明	trasparente	Questo bicchiere è trasparente.
突出	evidente; spiccato	I suoi punti di forza sono molto evidenti.
土地	la terra; il terreno	Questo pezzo di terra è molto fertile.
土豆	la patata	Ho comprato alcune patate.
兔子	il coniglio	Il bambino tiene un coniglio.
吐	vomitare; avere la nausea	Lui non sta bene e ha voglia di vomitare.
团	il gruppo; classificatore per gruppi	Abbiamo partecipato a un gruppo turistico.
推辞	rifiutare cortesemente	Lui ha rifiutato l'invito dell'amico.
推广	promuovere; diffondere	L'azienda sta promuovendo un nuovo prodotto.
推荐	consigliare; raccomandare	L'insegnante ha consigliato questo libro.
退	indietreggiare; arretrare	Per favore, fai un passo indietro.
退步	regredire; peggiorare	Se non ti eserciti, il livello peggiorerà.
退休	andare in pensione	Lui andrà in pensione l'anno prossimo.
歪	storto; di traverso	Questo quadro è appeso storto.
外公	il nonno materno	Mio nonno materno quest'anno ha ottant'anni.
外交	la diplomazia; gli affari esteri	Lui studia relazioni internazionali e diplomazia.
完美	perfetto; la perfezione	Questo piano non è perfetto.
完善	migliorare; perfezionare	Dobbiamo migliorare il processo di servizio.
完整	completo; integro	Per favore, dammi un rapporto completo.
玩具	il giocattolo	Il bambino ha messo i giocattoli nella scatola.
万一	nel caso in cui; se per caso	Se per caso piove, andremo un altro giorno.
王子	il principe	Il principe della storia è molto coraggioso.
往返	andata e ritorno; andare e tornare	Questo biglietto permette l'andata e ritorno nello stesso giorno.
网络	la rete; internet	La connessione internet qui è molto stabile.
危害	danneggiare; mettere in pericolo	Il fumo può danneggiare la salute.
威胁	minacciare	L'inquinamento minaccia il fiume.
微笑	il sorriso; sorridere	Lei mi ha sorriso.
唯一	unico; solamente	Questo è l'unico modo.
围巾	la sciarpa	In inverno lui porta una sciarpa.
围绕	ruotare intorno a; centrarsi su	La discussione si è concentrata su questo problema.
维修	riparare; la manutenzione	L'ascensore è in riparazione.
违反	violare	Fare così viola le regole.
伟大	grande; grandioso	Questa è una grande scoperta.
委屈	sentirsi trattato ingiustamente	Lei si è sentita molto trattata ingiustamente.
尾巴	la coda	Il cagnolino scodinzolava.
位于	trovarsi; essere situato	La scuola si trova nel centro della città.
位置	la posizione; il posto	Questo posto è molto tranquillo.
未必	non necessariamente	Quello che ha detto non è necessariamente vero.
未来	il futuro	Dobbiamo prepararci per il futuro.
胃	lo stomaco	Ho lo stomaco un po' sottosopra.
胃口	l'appetito	Oggi lui ha molto appetito.
温暖	caldo; tiepido	Il sole di primavera è molto caldo.
温柔	dolce; gentile	Lei parla in modo molto dolce.
文件	il documento; il file	Per favore, mandami il documento.
文具	la cancelleria	Nello zaino ci sono molti articoli di cancelleria.
文明	civile; la civiltà	Fare la fila è un comportamento civile.
文学	la letteratura	A lei piace la letteratura cinese.
文字	la scrittura; i caratteri	Questi caratteri sono difficili da leggere.
闻	sentire l'odore; annusare	Ho sentito un profumo di fiori.
吻	baciare; il bacio	La mamma ha baciato il viso del bambino.
稳定	stabile; la stabilità	I prezzi restano stabili.
问候	salutare; mandare i saluti	Per favore, porta i miei saluti alla tua famiglia.
卧室	la camera da letto	Nella camera da letto c'è un grande letto.
握手	stringere la mano	Si sono stretti la mano quando si sono incontrati.
屋子	la stanza; la casa	Nella stanza fa caldo.
无奈	impotente; senza alternative	Lui ha scosso la testa impotente.
无数	innumerevole; senza numero	Nel cielo notturno ci sono innumerevoli stelle.
无所谓	non importa; essere indifferente	Non importa che cosa vuoi mangiare.
武术	le arti marziali	Lui studia arti marziali fin da piccolo.
勿	non; vietato	Per favore, non fumare qui.
物理	la fisica	La lezione di fisica è molto interessante.
物质	la sostanza; la materia	L'acqua è una sostanza importante.
雾	la nebbia	Al mattino c'era una nebbia fitta.
吸取	trarre; assimilare	Dobbiamo trarre insegnamento da questa lezione.
吸收	assorbire	Le piante assorbono acqua.
戏剧	il teatro; il dramma	A lui piace guardare il teatro tradizionale.
系	il dipartimento; la facoltà	Lei studia nel dipartimento di cinese.
系统	il sistema	Questo sistema funziona in modo stabile.
细节	il dettaglio	Per favore, presta attenzione a questi dettagli.
瞎	alla cieca; senza fondamento	Non tirare a indovinare, prima guarda i materiali.
下载	scaricare	Ho scaricato questo programma.
吓	spaventare	Il suono improvviso mi ha spaventato.
夏令营	il campo estivo	Il bambino ha partecipato a un campo estivo di cinese.
鲜艳	vivace; brillante	Il colore di questa gonna è molto vivace.
显得	sembrare; apparire	Questo vestito lo fa sembrare molto giovane.
显然	ovviamente; chiaramente	Ovviamente lui conosce già il risultato.
显示	mostrare; visualizzare	Lo schermo mostra l'ora sbagliata.
县	la contea; il distretto	In questa contea ci sono molte piantagioni di tè.
现代	moderno; l'epoca moderna	La vita moderna non può fare a meno di internet.
现实	la realtà; reale	Dobbiamo affrontare la realtà.
现象	il fenomeno	Questo fenomeno è molto comune.
限制	limitare; restringere	Qui l'ingresso dei veicoli è limitato.
相处	andare d'accordo	Loro vanno molto d'accordo.
相当	piuttosto; abbastanza	Questo libro è piuttosto interessante.
相对	relativamente	Qui i prezzi sono relativamente bassi.
相关	pertinente; relativo	Per favore, fornisci i materiali pertinenti.
相似	simile	I significati di questi due caratteri sono molto simili.
香肠	la salsiccia	A colazione ci sono uova e salsiccia.
享受	godersi; godere	Loro si stanno godendo le vacanze.
想念	sentire la mancanza	Mi manca molto la mia famiglia.
想象	immaginare	Non riesco a immaginare quel tipo di vita.
象棋	gli scacchi cinesi	Al nonno piace giocare a scacchi cinesi.
象征	simboleggiare; il simbolo	Il bianco spesso simboleggia la purezza.
项	classificatore per elementi o compiti	Questo compito è molto importante.
项链	la collana	Lei indossa una collana d'argento.
项目	il progetto; la voce	Questo progetto richiede tre mesi.
消费	il consumo	Durante le feste i consumi sono aumentati.
消化	digerire; la digestione	Fare una passeggiata dopo i pasti aiuta la digestione.
消极	negativo; passivo	Non guardare i problemi con un atteggiamento negativo.
消失	scomparire	Il sole è scomparso lentamente dietro la montagna.
销售	vendere; le vendite	Questa azienda vende prodotti elettronici.
小麦	il grano; il frumento	Al nord si coltiva molto grano.
小气	tirchio; meschino	Non essere così tirchio.
孝顺	rispettoso verso i genitori	Lui è molto rispettoso verso i genitori.
效率	l'efficienza	Fare così può aumentare l'efficienza.
歇	riposarsi; fare una pausa	Riposiamoci prima un po'.
斜	inclinato; obliquo	Questa strada è un po' inclinata.
写作	la scrittura	Scrivere richiede esercizio a lungo termine.
心理	psicologico; mentale	Prima dell'esame bisogna regolare il proprio stato mentale.
心脏	il cuore	La salute del cuore è molto importante.
欣赏	apprezzare; ammirare	Abbiamo ammirato un bellissimo paesaggio.
信号	il segnale	Il segnale del cellulare qui è scarso.
信任	la fiducia; fidarsi	Tra amici serve fiducia.
形成	formarsi; prendere forma	Le buone abitudini devono formarsi gradualmente.
形容	descrivere	Non so come descrivere questa sensazione.
形势	la situazione; le circostanze	Al momento la situazione è piuttosto complessa.
形式	la forma; il formato	La riunione può svolgersi in formato online.
形象	l'immagine	La sua immagine pubblica è molto buona.
形状	la forma	La forma di questa scatola è molto particolare.
行动	l'azione; agire	Dobbiamo agire subito.
行人	il pedone	Quando attraversi la strada, fai attenzione ai pedoni.
行为	il comportamento	Questo tipo di comportamento è scortese.
幸亏	per fortuna	Per fortuna me lo hai ricordato.
幸运	fortunato; la fortuna	Lui è stato fortunato a trovare lavoro.
性质	la natura; il carattere	La natura di questo problema è molto grave.
兄弟	i fratelli	I due fratelli hanno un buon rapporto.
胸	il petto	Lui sente un po' di oppressione al petto.
休闲	il tempo libero; il relax	Il fine settimana è un buon momento per rilassarsi.
修改	modificare; correggere	Per favore, correggi questo articolo.
虚心	umile; aperto ai consigli	Dobbiamo ascoltare le opinioni con mente aperta.
叙述	raccontare; narrare	Lui ha raccontato chiaramente ciò che è successo.
宣布	annunciare	La scuola ha annunciato le nuove regole.
宣传	promuovere; divulgare	Stanno promuovendo conoscenze sulla protezione dell'ambiente.
学历	il titolo di studio	Questo lavoro richiede una laurea triennale.
学术	accademico; gli studi	Questa conferenza discute questioni accademiche.
学问	la cultura; il sapere	Lui è una persona di grande cultura.
血	il sangue	Dalla sua mano è uscito un po' di sangue.
寻找	cercare	Stiamo cercando un nuovo metodo.
询问	chiedere; informarsi	Lui ha chiesto all'insegnante l'orario dell'esame.
训练	allenare; l'allenamento	L'atleta si allena ogni giorno.
迅速	rapido; velocemente	La notizia si è diffusa rapidamente.
押金	la cauzione; il deposito	Per affittare casa bisogna pagare una cauzione.
牙齿	i denti	Per favore, prenditi cura dei denti ogni giorno.
严肃	serio; solenne	L'espressione dell'insegnante è molto seria.
延长	prolungare; estendere	La riunione è stata prolungata di mezz'ora.
演讲	il discorso; tenere un discorso	Lui sta preparando il discorso di domani.
宴会	il banchetto; il ricevimento	Hanno partecipato a un ricevimento.
阳台	il balcone	Sul balcone ci sono alcuni vasi di fiori.
痒	prudere; il prurito	Il braccio mi prude un po'.
样式	lo stile; il modello	Questo stile è molto popolare.
腰	la vita; la zona lombare	Se stai seduto a lungo, può farti male la schiena.
摇	scuotere; dondolare	Il vento scuoteva i rami avanti e indietro.
咬	mordere	Questo cane non morde le persone.
要不	altrimenti; che ne dici se	Che ne dici se andiamo domani?
业务	gli affari; l'attività	Il volume d'affari dell'azienda cresce sempre di più.
业余	nel tempo libero; amatoriale	Lui studia fotografia nel tempo libero.
夜	la notte	Di notte la strada è molto tranquilla.
依然	ancora; come prima	Lui vive ancora a Pechino.
一辈子	per tutta la vita	Lei ha amato la musica per tutta la vita.
一旦	una volta che	Una volta deciso, bisogna perseverare.
一律	tutti senza eccezione	Durante la riunione i telefoni devono essere tutti spenti.
一再	ripetutamente	Lui ci ha ricordato ripetutamente di fare attenzione alla sicurezza.
一致	unanime; coerente	Le opinioni di tutti sono completamente unanimi.
疑问	il dubbio; la domanda	Ho un dubbio su questa risposta.
移动	spostare; muovere	Per favore, sposta un po' il tavolo.
移民	emigrare; l'immigrato	Hanno intenzione di emigrare all'estero.
遗憾	il rimpianto; dispiacersi	Mi dispiace molto non essere riuscito a vederti.
乙	la parte B; il secondo elemento	Nel contratto la parte B è responsabile del pagamento.
以及	e; oltre a	Ho comprato libri e articoli di cancelleria.
以来	da; da quando	Dalla laurea lavora sempre a Pechino.
义务	il dovere; l'obbligo	Proteggere l'ambiente è dovere di tutti.
亿	cento milioni; miliardo	Questo paese ha una popolazione di oltre un miliardo.
意外	inatteso; l'incidente	Questo ritardo è stato del tutto inatteso.
意义	il significato; l'importanza	Questa attività è molto significativa.
议论	discutere; commentare	Tutti stanno discutendo questa questione.
因而	perciò; di conseguenza	Lui studia con impegno, perciò ha buoni voti.
因素	il fattore	Il tempo è un fattore importante.
银	l'argento; argentato	Lei indossa un braccialetto d'argento.
印刷	stampare; la stampa	Questo libro è stampato molto chiaramente.
英俊	bello; affascinante	Lui è molto bello.
英雄	l'eroe	I pompieri sono veri eroi.
营养	la nutrizione; il nutrimento	La colazione deve avere abbastanza nutrienti.
营业	essere aperto; fare attività	Questo negozio apre alle nove.
迎接	accogliere; andare incontro	Siamo andati all'aeroporto ad accogliere gli ospiti.
影子	l'ombra	La sua ombra è sotto il lampione.
应付	gestire; far fronte	Lui può gestire questo problema.
应用	applicare; l'applicazione	Questo metodo può essere applicato all'insegnamento.
硬	duro; rigido	Questa sedia è troppo dura.
硬件	l'hardware	Questo computer ha un buon hardware.
拥抱	abbracciare	Il bambino è corso ad abbracciare la mamma.
拥挤	affollato	La metropolitana è molto affollata nell'ora di punta del mattino.
勇气	il coraggio	Lui ha il coraggio di ammettere l'errore.
用功	studiare con impegno	Lei studia con molto impegno.
用途	l'uso; l'impiego	Questo materiale ha molti usi.
优惠	lo sconto; vantaggioso	Oggi questo negozio ha degli sconti.
优美	bello; elegante	L'ambiente qui è molto bello.
优势	il vantaggio	Il suo vantaggio è la grande esperienza.
悠久	lungo; antico	La Cina ha una lunga storia.
油炸	fritto; friggere	Mangio raramente cibi fritti.
游览	visitare; fare un giro turistico	Domani visiteremo la Città Proibita.
犹豫	esitare	Lui ha esitato un po' prima di rispondere.
有利	favorevole; vantaggioso	Questa condizione è favorevole per noi.
幼儿园	la scuola materna	Il bambino andrà alla scuola materna l'anno prossimo.
娱乐	l'intrattenimento; divertirsi	Guardare film è una forma di intrattenimento.
与其	piuttosto che	Piuttosto che lamentarsi, è meglio agire.
语气	il tono; il modo di parlare	Il suo tono di voce è molto mite.
玉米	il mais	A cena c'è zuppa di mais.
预报	le previsioni	Il meteo dice che domani pioverà.
预订	prenotare	Ho già prenotato l'hotel.
预防	prevenire	Lavarsi spesso le mani può prevenire il raffreddore.
元旦	Capodanno; il primo gennaio	A Capodanno abbiamo un giorno di vacanza.
原料	la materia prima	La materia prima principale del pane è la farina.
原则	il principio	Nella vita bisogna avere principi.
员工	il dipendente; il personale	L'azienda ha trecento dipendenti.
圆	rotondo; il cerchio	La luna è grande e rotonda.
愿望	il desiderio	Il suo desiderio è fare il giro del mondo.
乐器	lo strumento musicale	Lei sa suonare diversi strumenti musicali.
晕	avere le vertigini; stordito	In barca mi vengono un po' le vertigini.
运气	la fortuna	Oggi la mia fortuna non è male.
运输	il trasporto	Queste merci devono essere trasportate per ferrovia.
运用	usare; applicare	Per favore, usa queste parole in modo flessibile.
灾害	il disastro; la calamità	L'alluvione è una calamità naturale.
再三	ripetutamente	L'insegnante ci ha ricordato ripetutamente di ripassare.
在乎	importare; tenere a	Lui tiene molto all'opinione degli amici.
在于	consistere in; stare in	Il successo sta nella perseveranza.
赞成	approvare; essere d'accordo	Sono d'accordo con il tuo suggerimento.
赞美	lodare; elogiare	Tutti hanno lodato il suo coraggio.
糟糕	pessimo; terribile	Il tempo oggi è davvero pessimo.
造成	causare	La forte pioggia ha causato un ingorgo.
则	allora; quindi	Se ci si impegna, allora ci saranno progressi.
责备	rimproverare; biasimare	L'insegnante non lo ha rimproverato.
摘	cogliere; raccogliere	Lei ha colto un fiore in giardino.
窄	stretto	Questa strada è troppo stretta.
粘贴	incollare	Per favore, incolla la foto qui.
展开	avviare; svilupparsi	La discussione è iniziata rapidamente.
展览	la mostra; esporre	Il museo ha una nuova mostra.
占	occupare; prendere spazio	Questo tavolo occupa spazio.
战争	la guerra	La guerra porta sofferenza alla gente.
掌握	padroneggiare; controllare	Lui padroneggia già la grammatica di base.
涨	aumentare; salire	Di recente l'affitto è aumentato di nuovo.
长辈	gli anziani; i parenti più anziani	A Capodanno bisogna salutare i parenti più anziani.
账户	il conto	Per favore, controlla il tuo conto bancario.
招待	accogliere; intrattenere	Il padrone di casa ha accolto calorosamente gli ospiti.
着火	prendere fuoco	La cucina ha preso fuoco all'improvviso.
着凉	prendere freddo	Fa freddo, non prendere freddo.
召开	convocare; tenere	La scuola terrà una riunione domani.
照常	come al solito	Il negozio domani sarà aperto come al solito.
哲学	la filosofia	All'università ha studiato filosofia.
珍惜	apprezzare; fare tesoro	Dobbiamo fare tesoro del tempo.
真实	vero; reale	Questa storia è vera.
针对	essere rivolto a; mirare a	Questo suggerimento è rivolto ai nuovi studenti.
诊断	la diagnosi; diagnosticare	Il medico ha fatto rapidamente una diagnosi.
振动	vibrare; la vibrazione	Il telefono vibra sul tavolo.
阵	un breve periodo; una raffica	Fuori c'è stato un breve acquazzone.
争论	discutere; dibattere	Hanno discusso a lungo di questo problema.
争取	lottare per; cercare di ottenere	Dobbiamo cercare di ottenere più opportunità.
征求	chiedere; raccogliere	L'insegnante ha chiesto l'opinione di tutti.
挣	liberarsi; guadagnare	L'uccellino si è liberato dalla corda.
睁	aprire gli occhi	Per favore, apri gli occhi un po' di più.
整个	intero; tutto	L'intera città è molto tranquilla.
整齐	ordinato; ben disposto	I libri sono sistemati in modo molto ordinato.
整体	il complesso; nel complesso	Dobbiamo considerare l'effetto complessivo.
政府	il governo	Il governo ha pubblicato un nuovo avviso.
政治	la politica	Lui è molto interessato alla politica.
正	corretto; giusto	Questa risposta è corretta.
证件	il documento; il certificato	Per favore, mostra il tuo documento.
证据	la prova; l'evidenza	La polizia ha trovato nuove prove.
支	classificatore per penne e oggetti sottili	Sul tavolo c'è una penna.
支票	l'assegno	Lui ha pagato con assegno.
执照	la licenza; il permesso	Per guidare serve la patente.
直	dritto; direttamente	Prosegui dritto su questa strada.
指导	guidare; dare indicazioni	L'insegnante ci ha guidati nella scrittura della tesi.
指挥	dirigere; comandare	Lui è responsabile della direzione di questa operazione.
制定	formulare; stabilire	L'azienda ha formulato un nuovo piano.
制度	il sistema; il regolamento	La scuola ha un regolamento severo.
制造	fabbricare; produrre	Questa fabbrica produce macchine.
制作	fare; preparare	Lei sta preparando una torta di compleanno.
志愿者	il volontario	Molti volontari hanno partecipato all'attività.
智慧	la saggezza	Questo anziano ha molta saggezza.
治疗	curare; il trattamento	Il medico sta curando il paziente.
秩序	l'ordine	Per favore, mantenete l'ordine.
至今	fino a oggi; finora	Questo problema non è stato risolto fino a oggi.
至于	quanto a; per quanto riguarda	Quanto ai costi, ne parleremo domani.
中介	l'agenzia; l'intermediario	Lui ha affittato casa tramite un'agenzia.
中心	il centro	L'ospedale è nel centro della città.
中旬	la metà del mese	La riunione è prevista per metà maggio.
种类	il tipo; la varietà	Qui ci sono molti tipi di frutta.
重大	importante; rilevante	Questa è una decisione importante.
重量	il peso	Qual è il peso di questa scatola?
周到	premuroso; attento	Il suo servizio è molto attento.
猪	il maiale	Nella fattoria allevano molti maiali.
竹子	il bambù	Ai panda piace mangiare bambù.
逐步	gradualmente; passo dopo passo	Il piano sarà attuato passo dopo passo.
逐渐	gradualmente	Il tempo è diventato gradualmente più freddo.
主持	presiedere; condurre	Lei presiede la riunione di oggi.
主动	prendere l'iniziativa; attivo	Lui ha preso l'iniziativa di aiutare il compagno.
主观	soggettivo	Questa valutazione è un po' soggettiva.
主人	il padrone di casa; l'ospite	Il padrone di casa ci ha accolti calorosamente.
主任	il direttore; il responsabile	Il direttore è in ufficio.
主题	il tema; l'argomento	Il tema della discussione di oggi è la protezione dell'ambiente.
主席	il presidente	Il presidente ha annunciato l'inizio della riunione.
主张	sostenere; proporre	Lui sostiene di risolvere prima il problema del traffico.
煮	cuocere; bollire	La mamma sta cucinando noodles.
注册	registrarsi	I nuovi utenti devono prima registrarsi.
祝福	gli auguri; la benedizione	Gli amici hanno mandato i loro auguri.
抓	afferrare; prendere	Il bambino ha afferrato la mano della mamma.
抓紧	sfruttare bene; stringere	Dobbiamo sfruttare bene il tempo.
专家	l'esperto	L'esperto ha dato dei suggerimenti.
专心	concentrarsi; con attenzione	Durante la lezione bisogna ascoltare con attenzione.
转变	il cambiamento; cambiare	Il suo atteggiamento è cambiato.
转告	riferire; comunicare	Per favore, digli che domani c'è una riunione.
装	mettere dentro; fingere	Per favore, metti i libri nella borsa.
装饰	decorare; la decorazione	Hanno decorato la stanza con fiori.
装修	ristrutturare; la ristrutturazione	La casa nuova è in ristrutturazione.
撞	scontrarsi; urtare	Due auto si sono scontrate all'incrocio.
状况	la situazione; lo stato	La situazione attuale è relativamente stabile.
状态	lo stato; la condizione	Oggi lui è in ottima forma.
追	inseguire; rincorrere	Il bambino rincorre il cagnolino da dietro.
追求	perseguire; cercare	Lui ha sempre perseguito il proprio sogno.
咨询	consultare; chiedere consiglio	Puoi consultare un medico specialista.
姿势	la postura	Per favore, mantieni la postura corretta.
资格	la qualifica; il diritto	Lui ha il diritto di partecipare alla gara.
资金	i fondi; il capitale	Il progetto ha bisogno di più fondi.
资料	i materiali; le informazioni	Per favore, mandami i materiali.
资源	la risorsa	L'acqua è una risorsa naturale importante.
紫	viola	A lei piace il colore viola.
字母	la lettera; l'alfabeto	L'inglese ha ventisei lettere.
字幕	i sottotitoli	Questo film ha sottotitoli in cinese.
自从	da quando	Da quando si è laureato, torna raramente.
自动	automatico	Questa porta si apre automaticamente.
自豪	essere orgoglioso; l'orgoglio	Sono orgoglioso dei miei progressi.
自觉	di propria iniziativa; consapevole	Lui ha completato i compiti di propria iniziativa.
自私	egoista	Una persona non dovrebbe essere troppo egoista.
自由	la libertà; libero	Tutti fanno tesoro della libertà.
自愿	volontario; di propria volontà	Hanno partecipato volontariamente all'attività.
综合	integrato; considerare nel complesso	Dobbiamo considerare nel complesso tutti i fattori.
总裁	l'amministratore delegato; il direttore generale	L'amministratore delegato oggi ha tenuto un discorso.
总共	in totale; complessivamente	Questo viaggio è costato in totale tremila yuan.
总理	il primo ministro	Il primo ministro ha partecipato alla riunione.
总算	finalmente	Alla fine il problema è stato risolto.
总统	il presidente	Il presidente ha tenuto un discorso televisivo.
总之	insomma; in breve	Insomma, dobbiamo finire puntualmente.
组	il gruppo	L'insegnante ci ha divisi in tre gruppi.
组成	essere composto da; formare	L'acqua è composta da idrogeno e ossigeno.
组合	la combinazione	Questa combinazione di colori è molto bella.
组织	organizzare; l'organizzazione	La scuola ha organizzato una gita.
阻止	impedire; fermare	La polizia ha fermato un comportamento pericoloso.
最初	all'inizio; iniziale	All'inizio non capivo molto.
醉	ubriaco; essere ubriaco	Ha bevuto troppo ed è un po' ubriaco.
尊敬	rispettare	Gli studenti rispettano tutti l'insegnante.
遵守	rispettare; osservare	Dobbiamo rispettare le regole del traffico.
作品	l'opera	Questo quadro è una sua opera.
作为	come; in qualità di	Come insegnante, lui è molto paziente.
作文	il tema; il componimento	L'insegnante ci ha chiesto di scrivere un tema.
