simplified	TE	example_TE
零食	చిరుతిండి	పిల్లలకు చిరుతిండి తినడం ఇష్టం.
领导	నాయకుడు	నాయకుడు సమావేశంలో ఉన్నాడు.
领域	రంగం	ఆమె విద్యారంగంలో పని చేస్తుంది.
流传	వ్యాపించడం	ఈ కథ చాలా కాలంగా వ్యాపిస్తోంది.
流泪	కన్నీళ్లు కార్చడం	ఈ వార్త విని ఆమె కన్నీళ్లు కార్చింది.
浏览	చూసేయడం	నేను ముందుగా వెబ్ పేజీని చూసేస్తాను.
龙	డ్రాగన్	చైనా సంస్కృతిలో డ్రాగన్‌లు ఉంటాయి.
漏	లీక్ అవడం	పైకప్పు నుంచి వాన నీరు లీక్ అవుతోంది.
录取	ప్రవేశం పొందడం	అతను విశ్వవిద్యాలయంలో ప్రవేశం పొందాడు.
录音	రికార్డు చేయడం	దయచేసి రికార్డు చేయడం ప్రారంభించండి.
陆地	భూమి	సముద్ర తాబేలు భూమిపైకి ఎక్కింది.
陆续	వరుసగా	అతిథులు వరుసగా వచ్చారు.
轮流	మారిమారిగా	మేము మారిమారిగా తరగతి గదిని శుభ్రం చేస్తాము.
论文	ప్రబంధం	ఆమె పట్టభద్ర ప్రబంధం రాస్తోంది.
逻辑	తర్కం	అతని తర్కం చాలా స్పష్టంగా ఉంది.
落后	వెనుకబడడం	మనం ఇతరుల కంటే వెనుకబడకూడదు.
骂	తిట్టడం	దయచేసి పిల్లవాడిని తిట్టకండి.
麦克风	మైక్రోఫోన్	దయచేసి మైక్రోఫోన్‌ను అతనికి ఇవ్వండి.
馒头	ఆవిరి రొట్టె	నేను అల్పాహారానికి ఆవిరి రొట్టె తిన్నాను.
满足	తీర్చడం	ఈ సమాధానం అవసరాలను తీర్చదు.
毛病	సమస్య	ఈ కంప్యూటర్‌కు చిన్న సమస్య ఉంది.
矛盾	విరోధం	వాళ్ల మధ్య కొంత విరోధం ఉంది.
冒险	ప్రమాదం తీసుకోవడం	ఒంటరిగా అక్కడికి వెళ్లడం చాలా ప్రమాదకరం.
贸易	వాణిజ్యం	అంతర్జాతీయ వాణిజ్యం వేగంగా అభివృద్ధి చెందుతోంది.
媒体	మీడియా	మీడియా ఈ విషయాన్ని నివేదించింది.
煤炭	బొగ్గు	ఈ ప్రాంతం బొగ్గు ఉత్పత్తి చేస్తుంది.
眉毛	కనుబొమ్మ	ఆమె కనుబొమ్మలు మందంగా ఉన్నాయి.
美术	కళ	నా చెల్లికి కళ ఇష్టం.
魅力	ఆకర్షణ	ఈ నగరానికి చాలా ఆకర్షణ ఉంది.
梦想	కల	వైద్యుడు కావడం అతని కల.
密切	సన్నిహిత	మేము సన్నిహిత సంబంధం కొనసాగిస్తున్నాము.
秘密	రహస్యం	ఇది మా రహస్యం.
秘书	కార్యదర్శి	కార్యదర్శి సమావేశ సమయాన్ని ఏర్పాటు చేసింది.
蜜蜂	తేనెటీగ	పూల మధ్య చాలా తేనెటీగలు ఉన్నాయి.
面对	ఎదుర్కోవడం	మనం కష్టాలను ధైర్యంగా ఎదుర్కోవాలి.
面积	విస్తీర్ణం	ఈ గది విస్తీర్ణం పెద్దది కాదు.
面临	ఎదుర్కొంటుండటం	కంపెనీ కొత్త సవాళ్లను ఎదుర్కొంటోంది.
描写	వర్ణించడం	రచయిత గ్రామీణ జీవితాన్ని వర్ణించాడు.
苗条	సన్నగా	ఆమె శరీరం సన్నగా ఉంది.
敏感	సున్నితమైన	ఈ విషయం కొంచెం సున్నితమైనది.
名牌	ప్రసిద్ధ బ్రాండ్	అతను ప్రసిద్ధ బ్రాండ్ గడియారం కొనుగోలు చేశాడు.
名片	విజిటింగ్ కార్డు	దయచేసి నాకు ఒక విజిటింగ్ కార్డు ఇవ్వండి.
名胜古迹	చారిత్రక ప్రదేశాలు	బీజింగ్‌లో చాలా చారిత్రక ప్రదేశాలు ఉన్నాయి.
明确	స్పష్టంగా చెప్పడం	ఉపాధ్యాయుడు అవసరాలను స్పష్టంగా చెప్పాడు.
明显	స్పష్టమైన	అతని పురోగతి స్పష్టంగా ఉంది.
明星	సినీ తార	ఆమె సినీ తార కావాలనుకుంటోంది.
命令	ఆదేశం	సైనికులు ఆదేశాలను పాటించాలి.
命运	విధి	విధిని మార్చవచ్చని అతను నమ్ముతాడు.
摸	తాకడం	దయచేసి ఈ చిత్రాన్ని తాకవద్దు.
摩托车	మోటార్ సైకిల్	అతను మోటార్ సైకిల్‌పై పనికి వెళ్తాడు.
模仿	అనుకరించడం	పిల్లలు పెద్దల మాటలను అనుకరించడం ఇష్టపడతారు.
模糊	మసకగా	ఈ ఫోటో కొంచెం మసకగా ఉంది.
模特	మోడల్	ఆమె ఒక ఫ్యాషన్ మోడల్.
陌生	అపరిచితమైన	ఈ నగరం నాకు చాలా అపరిచితంగా ఉంది.
某	ఒక	ఒక ఉపాధ్యాయుడు నాకు ఫోన్ చేశాడు.
木头	చెక్క	ఈ బల్ల చెక్కతో తయారైంది.
目标	లక్ష్యం	పరీక్షలో ఉత్తీర్ణత సాధించడం నా లక్ష్యం.
目录	విషయ సూచిక	దయచేసి ముందుగా పుస్తకం మొదట్లోని విషయ సూచికను చూడండి.
目前	ప్రస్తుతం	ప్రస్తుతం పరిస్థితి తగినంత స్థిరంగా ఉంది.
哪怕	అయినా	అతను బిజీగా ఉన్నా చదువును కొనసాగిస్తాడు.
难怪	అందుకే	అందుకే నువ్వు ఈ రోజు ఇంత సంతోషంగా ఉన్నావు.
难免	తప్పదు	మొదటిసారి చేస్తే తప్పులు జరగడం తప్పదు.
脑袋	తల	అతని తల కొంచెం నొప్పిగా ఉంది.
内部	అంతర్గత	ఇది కంపెనీ అంతర్గత పత్రం.
内科	అంతర్గత వైద్య విభాగం	అతను ఈ రోజు అంతర్గత వైద్య విభాగానికి వెళ్తున్నాడు.
嫩	మృదువైన	ఈ మాంసం ముక్క చాలా మృదువుగా ఉంది.
能干	సమర్థమైన	ఆమె చాలా సమర్థమైన వ్యక్తి.
能源	శక్తి వనరు	సౌర శక్తి ఒక స్వచ్ఛమైన శక్తి వనరు.
嗯	అవును	అవును, నాకు అర్థమైంది.
年代	దశకం	ఈ ఫోటో ఎనభై దశకంలో తీయబడింది.
年纪	వయస్సు	అతని వయస్సు ఎక్కువ కాదు, కానీ అనుభవం చాలా ఉంది.
念	చదవడం	దయచేసి పాఠ్యాన్ని ఒకసారి గట్టిగా చదవండి.
宁可	ఇష్టపడటం	బస్సు కోసం ఎదురు చూడటంకంటే నడవడానికే నేను ఇష్టపడతాను.
牛仔裤	జీన్స్	అతను ఒక జత జీన్స్ ధరించాడు.
农村	గ్రామీణ ప్రాంతం	ఆమె గ్రామీణ ప్రాంతంలో పెరిగింది.
农民	రైతు	రైతులు పొలాల్లో పని చేస్తున్నారు.
农业	వ్యవసాయం	ఈ ప్రాంతానికి వ్యవసాయం చాలా ముఖ్యమైనది.
浓	గాఢమైన	ఈ కప్పు కాఫీ చాలా గాఢంగా ఉంది.
女士	మహిళ	ఆ మహిళ బస్సు కోసం ఎదురుచూస్తోంది.
欧洲	యూరప్	అతను వచ్చే నెల యూరప్‌కు ప్రయాణిస్తున్నాడు.
偶然	యాదృచ్ఛికంగా	నేను యాదృచ్ఛికంగా పాత సహాధ్యాయుడిని కలిశాను.
拍	ఫోటో తీయడం	దయచేసి నా ఫోటో తీయండి.
派	పంపడం	కంపెనీ అతన్ని వ్యాపార ప్రయాణంగా షాంఘైకి పంపింది.
盼望	ఎదురుచూడడం	నిన్ను త్వరలో చూడాలని ఎదురుచూస్తున్నాను.
培训	శిక్షణ	కొత్త ఉద్యోగులు శిక్షణలో పాల్గొనాలి.
培养	పెంపొందించడం	పాఠశాల విద్యార్థుల సామర్థ్యాలను పెంపొందించడాన్ని ప్రాధాన్యం ఇస్తుంది.
赔偿	పరిహారం చెల్లించడం	నష్టానికి పరిహారం చెల్లించడానికి కంపెనీ అంగీకరించింది.
佩服	మెచ్చుకోవడం	అతని ధైర్యాన్ని నేను నిజంగా మెచ్చుకుంటాను.
配合	సహకరించడం	దయచేసి ఉపాధ్యాయుడి ఏర్పాట్లకు సహకరించండి.
盆	కుండి	బాల్కనీలో ఒక పూల కుండి ఉంది.
碰	తాకడం	జాగ్రత్త, వేడి నీటిని తాకవద్దు.
批	బ్యాచ్	ఈ బ్యాచ్ సరుకులు ఈ రోజు వచ్చాయి.
批准	ఆమోదించడం	మేనేజర్ ఈ ప్రణాళికను ఆమోదించాడు.
披	భుజాలపై వేసుకోవడం	ఆమె కోటును భుజాలపై వేసుకుంది.
疲劳	అలసట	చాలా సేపు పని చేస్తే అలసటగా అనిపిస్తుంది.
匹	గుర్రాల లెక్కపదం	గడ్డిమీద ఒక గుర్రం ఉంది.
片	ముక్క	దయచేసి నాకు ఒక రొట్టె ముక్క ఇవ్వండి.
片面	ఏకపక్షమైన	ఈ అభిప్రాయం చాలా ఏకపక్షంగా ఉంది.
飘	తేలడం	మంచు తుక్కులు గాల్లో తేలుతున్నాయి.
拼音	పిన్యిన్	దయచేసి చైనీస్ అక్షరాల పక్కన పిన్యిన్ రాయండి.
频道	చానెల్	దయచేసి వార్తల చానెల్‌కు మార్చండి.
凭	ఆధారంగా	టికెట్ ఆధారంగా నువ్వు లోపలికి వెళ్లవచ్చు.
平均	సగటున	సగటున ఒక్కొక్కరు పది యువాన్ ఖర్చు చేశారు.
平	సమతలమైన	ఈ రహదారి చాలా సమతలంగా ఉంది.
平安	క్షేమంగా	నీ ప్రయాణం క్షేమంగా సాగాలని కోరుకుంటాను.
平常	సాధారణంగా	అతను సాధారణంగా అరుదుగానే ఆలస్యంగా వస్తాడు.
平等	సమానంగా	ప్రతి ఒక్కరిని సమానంగా చూడాలి.
平方	చదరపు	ఈ గది ఇరవై చదరపు మీటర్లు.
平衡	సమతుల్యత	పని మరియు జీవితానికి సమతుల్యత అవసరం.
平静	ప్రశాంతమైన	సరస్సు ఉపరితలం చాలా ప్రశాంతంగా ఉంది.
评价	మూల్యాంకనం	ఉపాధ్యాయుడు చాలా మంచి మూల్యాంకనం ఇచ్చాడు.
破产	దివాళా తీయడం	ఆ కంపెనీ గత సంవత్సరం దివాళా తీసింది.
破坏	నష్టం కలిగించడం	దయచేసి ప్రజా ఆస్తికి నష్టం కలిగించవద్దు.
迫切	అత్యవసరమైన	మాకు మరిన్ని వైద్యులు అత్యవసరంగా అవసరం.
期待	ఎదురుచూడడం	నేను ఈ ప్రయాణం కోసం ఎదురు చూస్తున్నాను.
期间	సమయంలో	సమావేశ సమయంలో దయచేసి ఫోన్ ఆఫ్ చేయండి.
其余	మిగిలిన	మిగిలిన సమస్యలు రేపు చర్చిస్తాము.
奇迹	అద్భుతం	ఇది ఒక అద్భుతమని వైద్యుడు చెప్పాడు.
企业	సంస్థ	ఈ సంస్థ వేగంగా అభివృద్ధి చెందుతోంది.
启发	ప్రేరణ ఇవ్వడం	ఈ పుస్తకం నాకు చాలా ప్రేరణ ఇచ్చింది.
气氛	వాతావరణం	తరగతి గది వాతావరణం చాలా సౌకర్యంగా ఉంది.
汽油	పెట్రోలు	కారుకు పెట్రోలు కావాలి.
签	సంతకం చేయడం	దయచేసి ఇక్కడ మీ పేరు సంతకం చేయండి.
谦虚	వినయంగా	అతను అద్భుతమైనవాడు, అలాగే చాలా వినయంగా ఉంటాడు.
前途	భవిష్యత్తు అవకాశాలు	ఈ విభాగానికి మంచి భవిష్యత్తు అవకాశాలు ఉన్నాయి.
浅	అల్ప లోతు	ఈ నది చాలా అల్ప లోతుగా ఉంది.
欠	బాకీ ఉండటం	అతను ఇంకా నాకు ఇరవై యువాన్ బాకీ ఉన్నాడు.
枪	తుపాకీ	పోలీసు అధికారి తుపాకీ పట్టుకున్నాడు.
墙	గోడ	గోడపై ఒక చిత్రం వేలాడుతోంది.
强调	ప్రాధాన్యం చెప్పడం	ఉపాధ్యాయుడు భద్రతా విషయాలను ప్రాధాన్యంగా చెప్పాడు.
强烈	బలమైన	అతనికి బలమైన బాధ్యతాభావం ఉంది.
抢	లాక్కోవడం	సీట్ల కోసం ఇతరులతో లాక్కోకండి.
悄悄	నిశ్శబ్దంగా	ఆమె నిశ్శబ్దంగా గదిలోకి నడిచింది.
瞧	చూడడం	చూడండి, బయట మంచు పడుతోంది.
巧妙	చాతుర్యమైన	ఈ పద్ధతి చాలా చాతుర్యమైనది.
切	కోయడం	దయచేసి పండును చిన్న ముక్కలుగా కోయండి.
亲爱	ప్రియమైన	ప్రియమైన స్నేహితుడా, ధన్యవాదాలు.
亲切	స్నేహపూర్వకంగా	ఉపాధ్యాయుడు చాలా స్నేహపూర్వకంగా మాట్లాడుతాడు.
亲自	స్వయంగా	మేనేజర్ స్వయంగా అతిథులను స్వాగతించాడు.
勤奋	కష్టపడే	కష్టపడే వారు విజయవంతమయ్యే అవకాశం ఎక్కువ.
清淡	తేలికైన	నాకు తేలికైన వంటకాలు తినడం ఇష్టం.
轻视	తక్కువగా అంచనా వేయడం	ఈ చిన్న సమస్యను తక్కువగా అంచనా వేయకండి.
轻易	సులభంగా	అతను సులభంగా వదులుకోడు.
青	నీలం ఆకుపచ్చ	ఈ దుస్తి నీలం ఆకుపచ్చ రంగులో ఉంది.
青春	యౌవనం	యౌవనం విలువైనది.
青少年	యువకులు	యువకులకు సరిపడా నిద్ర అవసరం.
情景	దృశ్యం	సినిమాలోని దృశ్యం చాలా కదిలించింది.
情绪	భావోద్వేగం	అతని భావోద్వేగాలు అంత స్థిరంగా లేవు.
请求	వినతి	అతను ఒక వినతి చేశాడు.
庆祝	జరుపుకోవడం	మేము అతని పుట్టినరోజు జరుపుకున్నాము.
球迷	క్రీడాభిమాని	చాలా మంది క్రీడాభిమానులు మ్యాచ్ చూడటానికి వచ్చారు.
趋势	ధోరణి	ఈ ధోరణి మరింత స్పష్టమవుతోంది.
取消	రద్దు చేయడం	వర్షం కారణంగా కార్యక్రమం రద్దు అయింది.
娶	పెళ్లి చేసుకోవడం	అతను వచ్చే సంవత్సరం ఆమెను పెళ్లి చేసుకోవాలని యోచిస్తున్నాడు.
去世	మరణించడం	అతని తాతయ్య గత సంవత్సరం మరణించాడు.
圈	వృత్తం వేయడం	దయచేసి సరైన సమాధానానికి వృత్తం వేయండి.
全面	సమగ్రంగా	మనం పరిస్థితిని సమగ్రంగా అర్థం చేసుకోవాలి.
权利	హక్కు	ప్రతి ఒక్కరికీ విద్య పొందే హక్కు ఉంది.
权力	అధికారం	అధికారంపై పర్యవేక్షణ ఉండాలి.
劝	సలహా ఇవ్వడం	నా స్నేహితుడు త్వరగా విశ్రాంతి తీసుకోమని నాకు సలహా ఇచ్చాడు.
缺乏	లేకపోవడం	ఈ ప్రాంతంలో శుభ్రమైన నీరు లేదు.
确定	నిర్ణయించడం	నేను ఇంకా సమయాన్ని నిర్ణయించలేకపోతున్నాను.
确认	నిర్ధారించడం	దయచేసి మీ చిరునామాను నిర్ధారించండి.
群	గుంపు	పిల్లల గుంపు ఆటస్థలంలో ఆడుతోంది.
燃烧	కాలిపోవడం	చెక్క కాలిపోతోంది.
绕	చుట్టూ తిరగడం	మేము సరస్సు చుట్టూ ఒకసారి నడిచాము.
热爱	ప్రేమించడం	అతను తన పనిని ప్రేమిస్తాడు.
热烈	ఆత్మీయంగా	అందరూ అతిథులను ఆత్మీయంగా స్వాగతించారు.
热心	సహృదయమైన	పక్కవాళ్లందరూ చాలా సహృదయంగా ఉంటారు.
人才	ప్రతిభావంతుడు	కంపెనీకి మరిన్ని ప్రతిభావంతులు అవసరం.
人口	జనాభా	ఈ నగరంలో జనాభా ఎక్కువగా ఉంది.
人类	మానవజాతి	మానవజాతి భూమిని రక్షించాలి.
人民币	రెన్మిన్‌బి	నేను కొంత రెన్మిన్‌బి మార్చుకున్నాను.
人生	జీవితం	జీవితంలో ఎన్నో ఎంపికలు ఉంటాయి.
人事	మానవ వనరులు	ఆమె మానవ వనరుల విభాగంలో పని చేస్తుంది.
人物	పాత్ర	నవలలోని పాత్రలు చాలా నిజమైనట్టుగా అనిపిస్తాయి.
人员	సిబ్బంది	సిబ్బంది అందరూ వచ్చారు.
忍不住	ఆపుకోలేకపోవడం	జోక్ విన్న తర్వాత అతను నవ్వు ఆపుకోలేకపోయాడు.
日常	రోజువారీ	ఇది నా రోజువారీ పని.
日程	షెడ్యూల్	ఈ రోజు షెడ్యూల్ చాలా నిండుగా ఉంది.
日历	క్యాలెండర్	గోడపై ఒక క్యాలెండర్ వేలాడుతోంది.
日期	తేదీ	దయచేసి తేదీని స్పష్టంగా రాయండి.
日用品	నిత్యావసర వస్తువులు	సూపర్‌మార్కెట్‌లో చాలా నిత్యావసర వస్తువులు అమ్ముతారు.
日子	రోజులు	ఈ మధ్య అతను చాలా బిజీగా ఉన్నాడు.
如何	ఎలా	ఈ సమస్యను ఎలా పరిష్కరించాలి?
如今	ఇప్పుడు	ఇప్పుడు రవాణా చాలా సౌకర్యంగా ఉంది.
软	మృదువైన	ఈ మంచం చాలా మృదువుగా ఉంది.
软件	సాఫ్ట్‌వేర్	ఈ సాఫ్ట్‌వేర్ వాడటానికి సులభం.
弱	బలహీనమైన	అతని శరీరం కొంత బలహీనంగా ఉంది.
洒	చిందించడం	అతను అనుకోకుండా నీళ్లు చిందించాడు.
嗓子	గొంతు	నా గొంతు కొంచెం నొప్పిగా ఉంది.
色彩	రంగులు	ఈ చిత్రంలో రంగులు చాలా సమృద్ధిగా ఉన్నాయి.
杀	హత్య	ఈ సినిమాలో హత్య దృశ్యాలు లేవు.
沙漠	ఎడారి	ఎడారిలో నీరు చాలా విలువైనది.
沙滩	ఇసుక తీరము	పిల్లలు ఇసుక తీరంలో ఆడుతున్నారు.
傻	మూర్ఖమైన	మూర్ఖమైన పని ఏదీ చేయకండి.
晒	ఎండలో ఆరబెట్టడం	బట్టలు బాల్కనీలో ఎండలో ఆరుతున్నాయి.
删除	తొలగించడం	దయచేసి ఈ ఈమెయిల్‌ను తొలగించండి.
闪电	మెరుపు	రాత్రి మెరుపు కనిపించింది.
善良	మంచి మనసున్న	ఆమె మంచి మనసున్న వ్యక్తి.
善于	నైపుణ్యం కలిగి ఉండటం	అతనికి సమస్యలు పరిష్కరించడంలో నైపుణ్యం ఉంది.
扇子	విసనకర్ర	వేసవిలో నేను తరచుగా విసనకర్ర వాడుతాను.
伤害	గాయపరచడం	ఇతరుల భావాలను గాయపరచవద్దు.
商品	సరుకు	ఈ దుకాణంలో చాలా సరుకులు ఉన్నాయి.
商务	వ్యాపార	అతను రేపు వ్యాపార సమావేశానికి హాజరవుతాడు.
商业	వాణిజ్యం	ఈ ప్రాంతంలో వాణిజ్యం బాగా అభివృద్ధి చెందింది.
上当	మోసపోవడం	అతను దాదాపు మోసపోయాడు.
蛇	పాము	గడ్డిలో ఒక పాము ఉంది.
舍不得	విడిచి వెళ్లాలనిపించకపోవడం	ఈ చోటును విడిచి వెళ్లాలనిపించడం లేదు.
射击	కాల్పుల శిక్షణ	అతను కాల్పుల శిక్షణ తీసుకుంటున్నాడు.
摄影	ఫోటోగ్రఫీ	ఆమెకు ఫోటోగ్రఫీపై చాలా ఆసక్తి ఉంది.
设备	పరికరాలు	ప్రయోగశాలలోని పరికరాలు చాలా ఆధునికంగా ఉన్నాయి.
设计	డిజైన్	ఈ డిజైన్ చాలా సృజనాత్మకంగా ఉంది.
设施	సౌకర్యాలు	పాఠశాల క్రీడా సౌకర్యాలు మంచివి.
伸	చాపడం	దయచేసి మీ చెయ్యిని చాపండి.
深刻	లోతైన	ఈ అనుభవం నాపై లోతైన ముద్ర వేసింది.
身材	శరీరాకృతి	ఆమెకు ఆరోగ్యకరమైన శరీరాకృతి ఉంది.
身份	గుర్తింపు	దయచేసి గుర్తింపు పత్రం చూపండి.
神话	పురాణం	పిల్లలకు పురాణాలు వినడం ఇష్టం.
神秘	రహస్యమైన	ఈ పురాతన నగరం చాలా రహస్యంగా ఉంది.
升	పెరగడం	నూనె ధర లీటరుకు కొంచెం పెరిగింది.
声调	స్వరభేధం	చైనీస్‌లో నాలుగు ప్రాథమిక స్వరభేదాలు ఉన్నాయి.
生产	ఉత్పత్తి చేయడం	ఈ కర్మాగారం మొబైల్ ఫోన్లు ఉత్పత్తి చేస్తుంది.
生动	సజీవంగా	ఉపాధ్యాయుడు విషయాలను చాలా సజీవంగా వివరిస్తాడు.
生长	పెరగడం	ఈ రకమైన మొక్క వేగంగా పెరుగుతుంది.
绳子	తాడు	దయచేసి పెట్టెను తాడుతో కట్టండి.
省略	వదిలేయడం	ఇక్కడ ఒక అక్షరాన్ని వదిలేయవచ్చు.
胜利	విజయం	వాళ్లు చివరకు విజయాన్ని సాధించారు.
失眠	నిద్రలేమి	ఇటీవల అతనికి తరచుగా నిద్రలేమి ఉంది.
失去	కోల్పోవడం	నమ్మకాన్ని కోల్పోవద్దు.
失业	నిరుద్యోగం	ఉద్యోగం కోల్పోయిన తర్వాత అతను కొత్త నైపుణ్యాలు నేర్చుకోవడం ప్రారంభించాడు.
湿润	తేమగా	వర్షం తర్వాత గాలి చాలా తేమగా ఉంది.
狮子	సింహం	జంతుప్రదర్శనశాలలో రెండు సింహాలు ఉన్నాయి.
诗	కవిత	అతను ఒక కవిత రాశాడు.
实话	నిజం	దయచేసి నిజం చెప్పండి.
实践	అభ్యాసం	సిద్ధాంతాన్ని అభ్యాసం ద్వారా పరీక్షించాలి.
实习	ఇంటర్న్‌షిప్ చేయడం	ఆమె వేసవి సెలవుల్లో ఆసుపత్రిలో ఇంటర్న్‌షిప్ చేస్తుంది.
实现	సాకారం చేయడం	అతను చివరకు తన కలను సాకారం చేసుకున్నాడు.
实验	ప్రయోగం	విద్యార్థులు ప్రయోగం చేస్తున్నారు.
实用	ప్రాయోగికమైన	ఈ సాధనం చాలా ప్రాయోగికమైనది.
时差	సమయ వ్యత్యాసం	అతను ఇంకా సమయ వ్యత్యాసానికి అలవాటు పడలేదు.
时代	యుగం	మనం సమాచార యుగంలో జీవిస్తున్నాము.
时刻	క్షణం	దయచేసి ఈ ముఖ్యమైన క్షణాన్ని గుర్తుంచుకోండి.
时髦	ఫ్యాషన్‌గల	ఈ దుస్తి చాలా ఫ్యాషన్‌గా ఉంది.
时期	కాలం	అతని విశ్వవిద్యాలయ కాలం అతనిపై గొప్ప ప్రభావం చూపింది.
时尚	ఫ్యాషన్	ఆమెకు ఫ్యాషన్‌పై చాలా ఆసక్తి ఉంది.
石头	రాయి	రోడ్డు పక్కన ఒక రాయి ఉంది.
食物	ఆహారం	దయచేసి ఆహారాన్ని ఫ్రిజ్‌లో పెట్టండి.
使劲儿	బలం పెట్టడం	ఈ సీసా తెరవడానికి కొంచెం బలం పెట్టాలి.
始终	ఎప్పటికీ	తాను విజయం సాధించగలనని అతను ఎప్పటికీ నమ్మాడు.
事实	వాస్తవం	వాస్తవాలు అతను సరైనవాడని నిరూపిస్తున్నాయి.
事物	వస్తువు	పిల్లలకు కొత్త వస్తువులపై చాలా ఆసక్తి ఉంటుంది.
事先	ముందుగానే	దయచేసి సమయాన్ని నాకు ముందుగానే చెప్పండి.
似的	లాగానే	అతను చాలా అలసిపోయినట్టుగా, ఒక్క మాట కూడా చెప్పాలనుకోలేదు.
士兵	సైనికుడు	సైనికులు శిక్షణ తీసుకుంటున్నారు.
市场	మార్కెట్	ఈ మార్కెట్ చాలా సందడిగా ఉంది.
试卷	పరీక్ష పత్రం	ఉపాధ్యాయుడు పరీక్ష పత్రాలు సరిచూస్తున్నారు.
收获	లాభం	ఈ ప్రయాణం ద్వారా నాకు చాలా లాభం కలిగింది.
收据	రశీదు	చెల్లించిన తర్వాత దయచేసి రశీదును ఉంచుకోండి.
手工	చేతితో చేసిన	ఈ బహుమతి చేతితో తయారైంది.
手术	శస్త్రచికిత్స	వైద్యుడు రేపు అతనికి శస్త్రచికిత్స చేస్తాడు.
手套	చేతి తొడుగులు	శీతాకాలంలో బయటకు వెళ్తే చేతి తొడుగులు ధరించండి.
手续	విధానాలు	విధానాలు పూర్తి చేయడానికి గుర్తింపు కార్డు కావాలి.
手指	వేలు	అతని వేలికి గాయం అయింది.
首	పాటల లెక్కపదం	ఆమె ఒక పాట పాడింది.
受伤	గాయపడడం	మ్యాచ్‌లో అతను గాయపడ్డాడు.
寿命	ఆయుష్షు	ఈ రకమైన యంత్రానికి దీర్ఘమైన ఆయుష్షు ఉంది.
书架	పుస్తకాల అల్మరా	పుస్తకాల అల్మరా పుస్తకాలతో నిండిపోయింది.
梳子	దువ్వెన	ఆమె దువ్వెనతో జుట్టు దువ్వుతుంది.
舒适	సౌకర్యవంతమైన	ఈ గది చాలా సౌకర్యవంతంగా ఉంది.
蔬菜	కూరగాయలు	ఎక్కువ కూరగాయలు తినడం ఆరోగ్యానికి మంచిది.
输入	నమోదు చేయడం	దయచేసి పాస్‌వర్డ్‌ను కంప్యూటర్‌లో నమోదు చేయండి.
熟练	నైపుణ్యంగా	అతను కంప్యూటర్‌ను నైపుణ్యంగా ఉపయోగించగలడు.
属于	చెందడం	ఈ పుస్తకం గ్రంథాలయానికి చెందింది.
数	లెక్కించడం	ఎంత మంది ఉన్నారో దయచేసి లెక్కించండి.
鼠标	మౌస్	నా కంప్యూటర్ మౌస్ పాడైంది.
数据	డేటా	ఈ డేటా చాలా ముఖ్యమైనది.
数码	డిజిటల్	అతను ఒక డిజిటల్ కెమెరా కొనుగోలు చేశాడు.
摔倒	కింద పడిపోవడం	ఆమె రోడ్డుపై కింద పడిపోయింది.
甩	విసరడం	అతను చేతులపై ఉన్న నీటిని విసిరేశాడు.
双方	రెండు పక్షాలు	రెండు పక్షాలు ఈ ప్రణాళికకు అంగీకరించాయి.
税	పన్ను	వస్తువులు కొనేటప్పుడు పన్ను చెల్లించాలి.
说不定	బహుశా	బహుశా రేపు మంచు పడవచ్చు.
说服	ఒప్పించడం	అతను చివరకు తన తల్లిదండ్రులను ఒప్పించాడు.
丝绸	పట్టు	ఈ స్కార్ఫ్ పట్టుతో తయారైంది.
丝毫	అణుమాత్రం	అతను తన అభిప్రాయాన్ని అణుమాత్రం కూడా మార్చలేదు.
思考	ఆలోచించడం	దయచేసి ఈ సమస్య గురించి జాగ్రత్తగా ఆలోచించండి.
思想	ఆలోచన	అతని ఆలోచన చాలా విస్తృతంగా ఉంది.
撕	చింపడం	దయచేసి ఈ కాగితాన్ని చింపవద్దు.
私人	వ్యక్తిగత	ఇది నా వ్యక్తిగత స్థలం.
似乎	అనిపించడం	అతను అంత సంతోషంగా లేనట్టుగా అనిపిస్తోంది.
搜索	వెతకడం	నేను ఆన్‌లైన్‌లో సామగ్రిని వెతికాను.
宿舍	వసతి గృహం	విద్యార్థులు పాఠశాల వసతి గృహంలో ఉంటారు.
随身	తనతో వెంట తీసుకెళ్లడం	దయచేసి మీ పాస్‌పోర్ట్‌ను మీతో వెంట ఉంచుకోండి.
随时	ఎప్పుడైనా	నువ్వు ఎప్పుడైనా నాకు ఫోన్ చేయవచ్చు.
随手	వెళ్తూ	బయటకు వెళ్లేటప్పుడు వెళ్తూ తలుపు మూసేయండి.
碎	పగిలిపోవడం	కప్పు నేలపై పడి పగిలిపోయింది.
损失	నష్టం	ఈ ప్రమాదం పెద్ద నష్టం కలిగించింది.
缩短	తగ్గించడం	కొత్త మార్గం ప్రయాణాన్ని తగ్గించింది.
所	సంస్థల లెక్కపదం	ఈ పాఠశాల చాలా ప్రసిద్ధి చెందింది.
锁	తాళం వేయడం	బయటకు వెళ్లే ముందు దయచేసి తలుపుకు తాళం వేయండి.
台阶	మెట్లు	వృద్ధుడు మెల్లగా మెట్లు ఎక్కాడు.
太极拳	తైచీ	పార్కులో కొందరు తైచీ అభ్యాసం చేస్తున్నారు.
太太	శ్రీమతి	వాంగ్ గారి భార్య వంట చేస్తున్నారు.
