simplified	HU	example_HU
剪彩	szalagot átvágni	A polgármester átvágta a szalagot az új könyvtárnál.
拣	kiválogatni	Néhány almát válogatott ki a kosárból.
检讨	áttekinteni	Komolyan áttekintette a saját hibáit.
检验	tesztelni	A kísérlet tesztelheti ezt a hipotézist.
简化	egyszerűsíteni	Kérlek, egyszerűsítsd tovább a folyamatot.
简陋	szegényes	Egy szegényes kis kunyhóban laktak.
简体字	egyszerűsített kínai írásjegy	Ez a tankönyv egyszerűsített kínai írásjegyeket használ.
简要	rövid	Kérlek, röviden magyarázd el az álláspontodat.
健全	tökéletesíteni	A vállalatnak tökéletesítenie kell az irányítási rendszert.
剑	kard	A falon egy régi kard lóg.
溅	fröccsenni	Az esővíz a nadrágjára fröccsent.
舰艇	hadihajó	Több hadihajó vett részt a gyakorlaton.
见多识广	tapasztalt és művelt	Ez az idős ember tapasztalt és művelt.
见解	meglátás	Egyedi meglátása van erről a kérdésről.
见闻	tapasztalat	Az utazás bővítette a tapasztalatait.
见义勇为	bátran igaz ügyért cselekedni	Megdicsérték, mert bátran igaz ügyért cselekedett.
践踏	letaposni	Ne taposd le a gyepet.
鉴别	megkülönböztetni	A szakértők meg tudják különböztetni, valódi-e ez a festmény.
鉴定	azonosítani	A rendőrség éppen az ujjlenyomatokat azonosítja.
鉴于	tekintettel	Tekintettel a rossz időre, az eseményt elhalasztották.
间谍	kém	Ez a film egy kémtörténetet mesél el.
间隔	időköz	A két értekezlet között egy hét az időköz.
间接	közvetett	Ez a politika közvetett hatást fog kiváltani.
僵硬	merev	A mosolya nagyon merevnek tűnt.
将军	tábornok	A tábornok kiadta a parancsot.
将近	majdnem	Ez a projekt majdnem két évig tartott.
将就	beérni	A feltételek rosszak, csak be kell érnünk ennyivel.
奖励	jutalmazni	Az iskola megjutalmazta a kiváló diákokat.
奖赏	jutalom	A király bőséges jutalmat adott a harcosnak.
桨	evező	A csónakos evezővel vitte a hajót a part felé.
降临	leszállni	Az éj fokozatosan leszállt a város fölé.
交叉	kereszteződni	A két út itt kereszteződik.
交代	elmagyarázni	Kérlek, világosan magyarázd el a feladatot.
交涉	tárgyalni	A két fél a kártérítésről tárgyal.
交易	ügylet	Ez az ügylet már lezárult.
娇气	kényeskedő	Ne légy túl kényeskedő, nincs hideg.
焦点	fókusz	A foglalkoztatási kérdés lett a vita fókusza.
焦急	aggódó	Az anya aggódva várta, hogy gyermeke visszatérjen.
侥幸	szerencsével	Szerencsével megmenekült a csapástól.
搅拌	keverni	Kérlek, keverd egyenletesre a tésztát.
缴纳	befizetni	A lakóknak időben be kell fizetniük a vízdíjat.
角落	sarok	A macska a szoba sarkában bújt el.
教养	neveltetés	A jó neveltetés a részletekben mutatkozik meg.
较量	megmérettetni	A két erős csapat hamarosan megmérettetik.
接连	egymás után	Egymás után három e-mailt kapott.
揭露	leleplezni	Az újságíró leleplezett egy élelmiszer-biztonsági problémát.
皆	mindenki	Ezeket a szabályokat mindenki ismeri.
阶层	réteg	A különböző társadalmi rétegeknek különböző igényeik vannak.
截止	lezárulni	A jelentkezés holnap délután zárul le.
截至	eddig	A mai napig kétszáz ember jelentkezett.
杰出	kiemelkedő	Kiemelkedő tudós.
竭尽全力	mindent megtenni	Mindent megteszünk a feladat befejezéséért.
结晶	gyümölcs	Ez az eredmény sok év munkájának gyümölcse.
结局	befejezés	A történet befejezése váratlan volt.
结算	elszámolni	Az ügyfél kérte, hogy a díjakat hónap végén számolják el.
节制	mértékletesség	Az evésben és ivásban mértékletességet kell tartani.
节奏	ritmus	Ennek a dalnak gyors a ritmusa.
解除	feloldani	A vállalat feloldotta a biztonsági riasztást.
解放	felszabadítani	A reform felszabadította a termelőerőket.
解雇	elbocsátani	A főnök úgy döntött, hogy elbocsátja azt az alkalmazottat.
解剖	bonctan	Az orvostanhallgatók bonctant tanulnak.
解散	feloszlani	Az értekezlet után a csapat feloszlott.
解体	szétesni	Az a szövetség végül szétesett.
借鉴	tanulni	Tanulhatunk a külföldi tapasztalatokból.
借助	segítségével	A térkép segítségével megtalálta az útvonalat.
戒备	készültség	A határvidék magas készültségben marad.
界限	határ	A munka és az élet között világos határ kell.
津津有味	nagy érdeklődéssel	A gyerekek nagy érdeklődéssel hallgatták a történetet.
金融	pénzügy	A pénzügyi piac ma erősen ingadozott.
紧迫	sürgető	Az idő sürget, azonnal cselekednünk kell.
锦上添花	hab a tortán	Ez az ajándék valóban hab volt a tortán.
晋升	előléptetni	Tavaly osztályvezetővé léptették elő.
浸泡	beáztatni	A babot egy éjszakára be kell áztatni.
近来	mostanában	Mostanában sokat változott az időjárás.
进而	majd	Először értsd meg az igényeket, majd dolgozz ki tervet.
进攻	támadás	A csapat a második félidőben erősítette a támadást.
进化	fejlődés	Az élőlények a környezetükkel együtt fejlődnek.
进展	haladni	A projekt jelenleg zökkenőmentesen halad.
兢兢业业	szorgalmasan	Harminc évig szorgalmasan dolgozott.
惊动	megriasztani	A nagy zaj megriasztotta a közeli lakókat.
惊奇	ámulat	A gyerekek ámulattal nézték a bűvészmutatványt.
惊讶	meglepni	A válasza meglepett.
精打细算	takarékosan gazdálkodni	Mindig takarékosan gazdálkodik a háztartásban.
精华	lényeg	Ez a cikk összefoglalja az elmélet lényegét.
精简	karcsúsítani	A vállalat úgy döntött, hogy karcsúsítja a vezetést.
精密	precíz	Ez a műszer nagyon precíz.
精确	pontos	Az adatoknak két tizedesjegyig pontosnak kell lenniük.
精通	jól ismerni	Három idegen nyelvet jól ismer.
精心	gondosan	Anya gondosan elkészítette a vacsorát.
精益求精	tökéletességre törekedni	A kiváló mesterek mindig tökéletességre törekednek.
精致	kifinomult	Ez az ajándék nagyon kifinomult csomagolást kapott.
经费	kutatási alap	A kutatási alapot már jóváhagyták.
经纬	hosszúsági és szélességi vonal	A térképen jelölték a hosszúsági és szélességi vonalakat.
茎	szár	A növény szára tartja a leveleket.
井	kút	A falu bejáratánál van egy régi kút.
警告	figyelmeztetni	A tanár figyelmeztette a diákokat, hogy ne csaljanak.
警惕	ébernek lenni	Ébernek kell lennünk az online csalásokkal szemben.
颈椎	nyaki csigolya	A hosszú ideig lehajtott fej árthat a nyaki csigolyáknak.
境界	szint	A festészete új szintet ért el.
敬礼	tisztelegni	A katona tisztelgett a nemzeti zászló előtt.
敬业	elhivatott a munkájában	Komolyan dolgozik, és nagyon elhivatott a munkájában.
竞赛	verseny	Az iskola matematikaversenyt rendezett.
竞选	indulni a választáson	A polgármesteri tisztségért készül indulni.
镜头	objektív	A fotós beállította az objektívet.
纠纷	vita	A két fél közvetítéssel oldotta meg a vitát.
纠正	kijavítani	A tanár időben kijavította a kiejtési hibát.
酒精	alkohol	Az orvos alkohollal fertőtlenítette a sebet.
就近	a közelben	A diákok a közelben járhatnak iskolába.
就业	elhelyezkedés	A kormány intézkedéseket vezetett be az elhelyezkedés elősegítésére.
就职	hivatalba lépni	Az új vezető jövő héten hivatalosan hivatalba lép.
救济	segély	A katasztrófa áldozatai időben segélyt kaptak.
居民	lakos	A környék lakói ellenzik a zajszennyezést.
居住	lakni	Tíz éve laknak itt.
拘留	őrizetbe venni	A rendőrség törvényesen őrizetbe vette a gyanúsítottat.
拘束	feszengeni	Barátok között nem kell feszengened.
鞠躬	meghajolni	A színész köszönetképpen meghajolt a közönség előtt.
局部	helyi	Az orvos csak helyi érzéstelenítést alkalmazott.
局面	helyzet	A tárgyalások javítottak a feszült helyzeten.
局势	helyzet	A nemzetközi helyzet továbbra is összetett.
局限	korlát	Ennek a módszernek nyilvánvaló korlátai vannak.
举动	cselekedet	A cselekedete mindenkit meghatott.
举世瞩目	világszerte figyelmet kelteni	Ez a projekt világszerte figyelmet keltő eredményeket ért el.
举足轻重	döntő jelentőségű	Ez a vállalat döntő jelentőségű az iparágban.
咀嚼	rágni	Evés közben lassan kell rágni.
沮丧	lehangolt	A vereség után nagyon lehangolt volt.
剧本	forgatókönyv	A rendező éppen átdolgozza a forgatókönyvet.
剧烈	heves	A föld hevesen megremegett.
据悉	értesülések szerint	Értesülések szerint az ülést jövő hétre halasztják.
聚精会神	teljes figyelemmel	A gyerekek teljes figyelemmel hallgatták az órát.
卷	feltekerni	Feltekerte a térképet, és betette a táskába.
倔强	makacs	Ez a gyerek nagyon makacs természetű.
决策	döntés	A vezetőség egy fontos döntést vitat meg.
绝望	kétségbeesés	A kudarc után egy ideig kétségbeesést érzett.
觉悟	tudatosság	Ez az élmény növelte a tudatosságát.
觉醒	felébredni	A közvélemény környezeti tudatossága ébredezik.
军队	hadsereg	A hadsereg gyorsan megérkezett a katasztrófa sújtotta területre.
君子	nemes ember	Egy nemes ember szavai és tettei összhangban vannak.
卡通	rajzfilm	A gyerek szeret rajzfilmeket nézni.
开采	kitermelni	Ez a vállalat felel az ásványkincsek kitermeléséért.
开除	kizárni	Az iskola úgy döntött, kizárja a csaló diákot.
开阔	tágas	A hegytetőről nagyon tágas kilátás nyílik.
开朗	vidám	Vidám természetű, és sok barátja van.
开明	nyitott	A szülők hozzáállása nagyon nyitott.
开辟	megnyitni	A város új buszjáratot nyitott meg.
开拓	terjeszkedni	A cég külföldi piacokon tervez terjeszkedni.
开展	elindítani	Az iskola biztonsági oktatási programot indított.
开支	kiadás	A család havi kiadásai megnőttek.
刊登	közölni	Az újság közölte a cikkét.
刊物	kiadvány	Ez a kiadvány havonta egyszer jelenik meg.
勘探	feltárás	A mérnökcsapat a föld alatti vízforrásokat méri fel.
侃侃而谈	magabiztosan beszélni	Az ülésen magabiztosan és hosszan beszélt.
砍伐	kivágni	Tilos engedély nélkül kivágni az erdőt.
看待	tekinteni valamire	Objektíven kell tekintenünk erre a kérdésre.
慷慨	nagylelkű	Nagylelkűen felajánlotta a nyereményét.
抗议	tiltakozni	A lakosok tiltakoztak az új gyár építése ellen.
考察	helyszínen vizsgálni	A szakértők a helyszínen vizsgálták meg a környezetet.
考古	régészet	A régészeti csoport ősi sírokat talált.
考核	értékelni	A vállalat minden évben értékeli a dolgozók teljesítményét.
考验	próbatétel	Ez a válság próbára tette a csapat képességeit.
靠拢	közelebb húzódni	A csapattagok közelebb húzódtak a közép felé.
磕	beütni	Véletlenül beütötte magát az asztal sarkába.
科目	tantárgy	A matematika a kedvenc tantárgya.
可观	jelentős	Ez a befektetés jelentős hozamot hozott.
可口	ízletes	Ennek az étteremnek az ételei nagyon ízletesek.
可恶	felháborító	Ez a csaló magatartás igazán felháborító.
可行	megvalósítható	Ez a terv alapvetően megvalósítható.
渴望	vágyik valamire	A gyerekek több lehetőségre vágynak.
克制	visszafogni	Vita közben vissza kell fogni az érzelmeket.
刻不容缓	halaszthatatlan	A vízforrások védelme halaszthatatlan.
客户	ügyfél	Az ügyfél nagyon elégedett a szolgáltatással.
课题	téma	Ezt a témát érdemes alaposabban kutatni.
啃	rágcsálni	A gyerek egy darab kukoricát rágcsál.
恳切	őszinte	Őszintén kérte mindenki segítségét.
坑	gödör	Az út szélén van egy nagyon mély gödör.
空洞	üres tartalmú	Ez a jelentés üres tartalmú.
空前绝后	páratlan	Ez az előadás páratlannak mondható.
空想	ábrándozás	Pusztán ábrándozással nem lehet megoldani a problémát.
空虚	üresség	A nagy rohanás után ürességet érzett.
孔	lyuk	A falon van egy kis lyuk.
恐怖	félelmetes	Annak a filmnek félelmetes a hangulata.
恐吓	megfélemlíteni	A másik fél fenyegetéssel próbálta megfélemlíteni a tanút.
恐惧	félelem	A sötétség félelmet keltett a gyerekben.
空白	üres hely	Kérjük, írjon alá az üres helyen.
空隙	rés	Az ajtó és a padló között rés van.
口气	hangnem	Nagyon kemény hangnemben beszélt.
口腔	szájüreg	Az orvos megvizsgálta a szájüregét.
口头	szóbeli	Csak szóbeli megállapodásuk van.
口音	akcentus	A mandarin beszédében enyhe akcentus hallatszik.
扣	becsatolni	Kérjük, csatolja be a biztonsági övet.
哭泣	sírni	A lány a sarokban elbújva sírt.
枯萎	elhervadni	A vízhiány miatt elhervadtak a virágok.
枯燥	unalmas	Ez a munka kissé unalmas.
苦尽甘来	nehézségek után jóra fordul	Sok év kitartás után végre jóra fordult a sorsa.
苦涩	keserű	Ez a gyógytea keserű ízű.
挎	karon vinni	Egy vászontáskát vitt a karján, amikor elindult.
跨	átlépni	Átlépett az árok fölött, és továbbment.
快活	vidám	A gyerekek vidáman játszottak a füvön.
宽敞	tágas	Ez az osztályterem világos és tágas.
宽容	tolerancia	A társadalomnak több megértésre és toleranciára van szüksége.
款待	vendégül látni	A házigazda melegen vendégül látta a vendégeket.
款式	stílus	Ennek a ruhának nagyon újszerű a stílusa.
筐	kosár	Egy kosár almát vitt haza a hátán.
况且	ráadásul	Az út messze van, ráadásul hamarosan besötétedik.
旷课	igazolatlanul hiányozni	Az igazolatlanul hiányzó diákokat nyilvántartásba veszik.
框架	keret	A jelentéshez először meg kell határozni a keretet.
矿产	ásványkincs	Ez a térség gazdag ásványkincsekben.
亏待	méltánytalanul bánni	A vállalat nem fog méltánytalanul bánni a lelkiismeretesen dolgozó alkalmazottakkal.
亏损	veszteség	A gyár idén súlyos veszteséget szenvedett el.
捆绑	összekötözni	Kérjük, kötözze össze szilárdan ezeket a dobozokat.
扩充	bővíteni	Az iskola bővíteni tervezi a könyvtári állományt.
扩散	terjedni	A pletyka gyorsan terjedt az interneten.
扩张	terjeszkedni	A cég óvatosan terjeszkedik.
啦	mondatvégi partikula	Ne aggódj már, minden jobb lesz.
喇叭	kürt	Az autó kürtje hirtelen megszólalt.
蜡烛	gyertya	A születésnapi tortán gyertyák voltak.
来历	eredet	Ennek a műtárgynak ismeretlen az eredete.
来源	forrás	A hírekben fel kell tüntetni az információ forrását.
栏目	rovat	Ez a rovat hetente egyszer kerül adásba.
懒惰	lustaság	A lustaság ronthatja a tanulás eredményét.
狼狈	szánalmas helyzetű	Az eső után teljesen átázott, és nagyon szánalmasan nézett ki.
狼吞虎咽	falni	Nagyon éhes volt, és falva ette az ételt.
捞	kihalászni	A halász kihalászott egy hálót a folyóból.
唠叨	zsémbelni	Az anya mindig apróságok miatt zsémbel.
牢固	szilárd	Ennek a hídnak nagyon szilárd a szerkezete.
牢骚	panasz	Tele van panasszal, de nem akar változtatni.
乐趣	öröm	Az olvasás sok örömet hoz neki.
乐意	szívesen	Szívesen segítek kijavítani az önéletrajzodat.
雷达	radar	A radar észlelte a távoli repülőgépet.
类似	hasonló	Hasonló problémák korábban is előfordultak.
冷酷	hideg	A hangneme nagyon hidegnek tűnt.
冷落	elhanyagolni	Az új alkalmazott úgy érezte, elhanyagolják.
冷却	lehűlni	A gépnek előbb le kell hűlnie a javítás előtt.
愣	ledermedni	A hír hallatán ledermedt.
黎明	hajnal	Hajnalban a város lassan felébredt.
理睬	figyelembe venni	Dühös volt, és senkit sem vett figyelembe.
理所当然	magától értetődőnek venni	Ne vedd magától értetődőnek mások segítségét.
理直气壮	jogos magabiztossággal	Elegendő bizonyítékkal jogos magabiztossággal beszélt.
理智	józan ész	Konfliktus esetén meg kell őrizni a józan eszet.
礼节	illemszabály	Különböző kultúrákban különböző illemtani szabályok vannak.
礼尚往来	kölcsönös udvariasság	A szomszédok fontosnak tartják a kölcsönös udvariasságot.
里程碑	mérföldkő	Ez a siker mérföldkő a projektben.
例外	kivétel	Mindenkinek részt kell vennie, kivétel nélkül.
利害	érdek	Ez mindkét fél érdekeit érinti.
力求	törekedni valamire	Arra törekszünk, hogy a hibákat a minimumra csökkentsük.
力所能及	képességei szerint	Kérjük, tegyen meg mindent a képességei szerint.
力争	minden erejével törekedni	A csapat minden erejével törekszik arra, hogy határidő előtt befejezze a feladatot.
历代	korábbi nemzedékek	Korábbi nemzedékek tudósai is kutatták ezt a kérdést.
历来	mindig	Ez a város mindig nagyra értékelte az oktatást.
立场	álláspont	Az ülésen kifejtette az álláspontját.
立方	köbméter	Ennek a víztartálynak három köbméter a kapacitása.
立交桥	felüljáró	Ez a felüljáró enyhítette a forgalmi torlódást.
立体	térbeli	Ennek a festménynek erős térbeli hatása van.
立足	megvetni a lábát	A vállalatnak a helyi piacon kell megvetnie a lábát.
粒	szem	Az asztalon néhány szem rizs van.
廉洁	tisztességes	A köztisztviselőknek tisztességesnek és feddhetetlennek kell maradniuk.
联欢	összejövetel	Az osztálytársak újévi összejövetelt tartottak.
联络	kapcsolatba lépni	Kérjük, mielőbb lépjen kapcsolatba az ügyféllel.
联盟	szövetség	Több ország kereskedelmi szövetséget hozott létre.
联想	eszembe juttatni	Ez a fénykép a gyerekkoromat juttatja eszembe.
连年	évek óta	Ezt a térséget évek óta árvizek sújtják.
连锁	lánc	Ez a cég szupermarketláncot üzemeltet.
连同	együtt	Kérjük, küldje el a számlát a szerződéssel együtt.
良心	lelkiismeret	Úgy kell élni, hogy az ember ne menjen szembe a lelkiismeretével.
晾	szárítani	Az erkélyre akasztotta ki a ruhákat száradni.
谅解	megértés	Remélem, megérti a nehézségeinket.
辽阔	végtelenül tágas	A füves puszta végtelenül tágas, a szem nem látja a végét.
列举	felsorolni	A tanár három példát sorolt fel.
临床	klinikai	Ez a gyógyszer klinikai vizsgálat alatt áll.
淋	elázni	Ne ázz túl sokáig az esőben.
吝啬	fukar	A barátaival soha nem fukar.
伶俐	ügyes eszű	Ez a kislány okos és ügyes eszű.
凌晨	hajnalban	A repülő hajnali háromkor indul.
灵感	ihlet	A zene alkotói ihletet adott neki.
灵魂	lélek	A szabadság ennek a műnek a lelke.
灵敏	érzékeny	Ez a műszer nagyon érzékenyen reagál.
零星	szórványos	Az éjszakai égbolton szórványos fények látszottak.
领会	megérteni	Gyorsan megértette a tanár szándékát.
领事馆	konzulátus	A konzulátusra ment vízumot intézni.
领土	terület	Minden ország fontosnak tartja területi épségét.
领悟	felismerni	A kudarc után felismerte a felelősséget.
领先	élen járni	Technológiájuk jelenleg élen jár az ágazatban.
领袖	vezető	Ezt a vezetőt mélyen tiszteli a nép.
溜	kisurranni	A kiskutya kisurrant az ajtó résén.
流浪	vándorolni	Fiatal korában sokfelé vándorolt.
流露	kiül valamire	Öröm ült ki az arcára.
流氓	huligán	A rendőrség több utcai huligánt elfogott.
流通	forgalomban lenni	Ez a pénznem egykor helyben volt forgalomban.
留恋	ragaszkodással emlékezni	Ballagáskor mindenki ragaszkodással gondolt az iskolára.
留念	emlékül megőrizni	Az iskola kapujánál fényképet készítettünk emlékül.
留神	figyelni	Úttesten való átkeléskor feltétlenül figyelni kell.
聋哑	siketnéma	Az iskola segítséget nyújt a siketnéma gyerekeknek.
隆重	ünnepélyes	A konferenciát ünnepélyesen tartották meg az előadóteremben.
垄断	monopolizálni	A monopólium károsíthatja a piaci versenyt.
笼罩	beborítani	Sűrű köd borította be az egész falut.
搂	átölelni	Az anya gyengéden átölelte a gyereket.
炉灶	tűzhely	A konyhai tűzhelyet meg kell tisztítani.
轮船	hajó	A hajó lassan elhagyta a kikötőt.
轮廓	körvonal	A távoli hegycsúcsok körvonala nagyon tiszta.
轮胎	gumiabroncs	Az autó gumiabroncsait ki kell cserélni.
论坛	fórum	A szakértők előadásokat tartottak a fórumon.
论证	bizonyítani	A jelentésnek tovább kell bizonyítania az álláspontját.
啰唆	szószátyárkodni	Ne szószátyárkodj, mondd rögtön a lényeget.
络绎不绝	szakadatlanul	A turisták szakadatlanul érkeztek az óvárosba.
落成	elkészül	Az új sportcsarnok holnap hivatalosan elkészül.
落实	végrehajtani	Az értekezlet előírta az új politika mielőbbi végrehajtását.
屡次	többször	Többször figyelmeztetett mindenkit, hogy ügyeljen a biztonságra.
履行	teljesíteni	Mindkét félnek teljesítenie kell a szerződéses kötelezettségeit.
掠夺	kifosztás	A háború az erőforrások kifosztásához vezetett.
嘛	mondatvégi nyomatékosító partikula	Ez az ügy egyszerű, hát nem?
麻痹	óvatlanná válni	A hosszú ideig tartó zökkenőmentes haladás könnyen óvatlanná teheti az embert.
麻木	zsibbadt	A hidegtől elzsibbadtak az ujjai.
麻醉	érzésteleníteni	A műtét előtt az orvos érzéstelenítette a beteget.
码头	kikötő	A teherhajó a kikötő mellett állt meg.
蚂蚁	hangya	A hangyák élelmet hordtak.
埋伏	lesben állni	A katonák a völgyben álltak lesben.
埋没	észrevétlenül hagyni	Ne hagyjuk, hogy a tehetségek észrevétlenül maradjanak.
埋葬	eltemetni	A falubeliek a domboldalon temették el az idős embert.
脉搏	pulzus	A nővér éppen a pulzusát méri.
迈	lépni	Nagy léptekkel indult az ajtó felé.
埋怨	panaszkodni	Ne panaszkodj mindig másokra.
慢性	krónikus	A krónikus betegségek hosszú távú kezelést igényelnek.
漫长	hosszadalmas	Hosszadalmas várakozáson mentek keresztül.
漫画	képregény	Ez a képregény nagyon népszerű a fiatalok körében.
蔓延	terjedni	A tűz gyorsan terjedt az erdő mélye felé.
忙碌	elfoglalt	Az év vége a cég legelfoglaltabb időszaka.
盲目	vakon	Befektetéskor nem szabad vakon követni a trendeket.
茫茫	végtelen	A hajó eltűnt a végtelen tengeren.
茫然	tanácstalan	A magyarázat után is tanácstalan arcot vágott.
冒充	kiadja magát valakinek	Valaki rendőrnek adta ki magát, hogy pénzt csaljon ki.
冒犯	megbántani	A szavaimmal nem akartalak megbántani.
茂盛	dús	Az udvar fái dúsan nőnek.
媒介	médium	Az internet fontos információs médium.
枚	darab	Több emlékérmét gyűjtött össze.
美观	esztétikus	Ez a terv egyszerre praktikus és esztétikus.
美满	boldog	Boldog és teljes életet élnek.
美妙	csodálatos	A koncert csodálatos élményt nyújtott.
萌芽	csírázni	Egy új ötlet kezdett csírázni.
猛烈	heves	A vihar nagyon hevesen érkezett.
眯	összehúzni a szemét	A napfény túl erős volt, ezért összehúzta a szemét.
弥补	pótolni	A bocsánatkérés nem tudja teljesen pótolni a veszteséget.
弥漫	betölteni	A virágillat betöltötte az udvart.
谜语	találós kérdés	A gyerekek szeretnek találós kérdéseket megfejteni.
迷惑	összezavarni	A bonyolult adatok összezavarták.
迷人	elbűvölő	A tengerparti éjszakai látvány nagyon elbűvölő.
迷信	babona	A természettudományos oktatás csökkentheti a babonát.
密度	sűrűség	Ennek a fémnek nagy a sűrűsége.
密封	visszazárni	Felbontás után kérjük, zárja vissza a zacskót.
棉花	gyapot	A gazdák gyapotot szednek.
免得	nehogy	Indulj el korábban, nehogy elkéss.
免疫	immunitás	Ez a vakcina javíthatja az immunitást.
勉励	bátorítani	A tanár gyakran bátorítja a diákokat a kitartó tanulásra.
勉强	vonakodva	Vonakodva beleegyezett ebbe az elrendezésbe.
面貌	arculat	A város arculata óriásit változott.
面子	tekintély	Nem akarta nyilvánosan elveszíteni a tekintélyét.
描绘	ábrázolni	A regény a vidéki életet ábrázolja.
瞄准	célozni	A lövész célba vette a célpontot.
渺小	parányi	Az ember nagyon parányinak tűnik a természet előtt.
藐视	lenézni	Nem szabad lenéznünk egyetlen ellenfelet sem.
灭亡	pusztulás	Ez a dinasztia végül a pusztulás felé haladt.
蔑视	megvetés	A hangja tele volt megvetéssel.
民间	népi	A népi művészetet védeni kell.
民主	demokrácia	Az értekezleten demokratikus szavazást alkalmaztak.
敏捷	gyors mozgású	A sportoló mozdulatai nagyon gyorsak és ügyesek.
敏锐	éles	Az újságíróknak éles megfigyelőképességre van szükségük.
名次	helyezés	Jó helyezést ért el a versenyen.
名额	kvóta	Ebben a programban csak tíz hely van.
名副其实	valódi	A szó teljes értelmében valódi szakértő.
名誉	hírnév	Ez az ügy ártott a vállalat hírnevének.
明明	nyilvánvalóan	Nyilvánvalóan tudta a választ, mégsem akarta elmondani.
明智	bölcs	A döntés elhalasztása bölcs választás volt.
命名	elnevezni	A tudósok elnevezték az új fajt.
摸索	keresgélni	A csapat még mindig új módszereket keresgél.
摩擦	súrlódás	Kereskedelmi súrlódás jelent meg a két ország között.
模范	példakép	Ő az egész iskola diákjainak példaképe.
模式	modell	Ez az üzleti modell nagyon sikeres.
模型	modell	A mérnök hídmodellt készített.
磨合	összecsiszolódni	Az új csapatnak időre van szüksége az összecsiszolódáshoz.
膜	hártya	Ez a hártya kiszűri a szennyeződéseket.
魔鬼	ördög	A történetben az ördög nagyon ravasz.
魔术	bűvészet	A gyerekek szeretnek bűvészmutatványokat nézni.
抹杀	letagadni	Nem lehet letagadni a hozzájárulását.
墨水儿	tinta	A tollban hamarosan elfogy a tinta.
莫名其妙	érthetetlen	A reakciója mindenkit zavarba ejtően érthetetlen volt.
默默	csendben	Csendben sok embernek segített.
谋求	törekedni valamire	A vállalat új fejlődési lehetőségekre törekszik.
模样	külső	A mostani külseje sokat változott.
母语	anyanyelv	A gyerekek kiskoruktól tanulják az anyanyelvüket.
沐浴	fürdőzni	A hajnali falu napfényben fürdött.
目睹	szemtanúja lenni	Sokan szemtanúi voltak ennek a balesetnek.
目光	tekintet	Mindenki tekintete a színpadra szegeződött.
拿手	erőssége	A párolt hal az ő erőssége.
纳闷儿	töprengeni	Folyton azon töprengtem, miért késett el.
耐用	tartós	Ez a cipő nagyon tartós.
南辕北辙	céljával ellentétesen cselekedni	A módszere teljesen ellentétes a céllal.
难得	ritka	Ez ritka lehetőség.
难堪	kínos	Ez a kérdés kínos helyzetbe hozta.
难能可贵	különösen értékes	Nyomás alatt is becsületesnek maradni különösen értékes.
恼火	bosszús	A berendezés megint elromlott, és nagyon bosszús lett.
内涵	tartalom	Ennek a szónak gazdag kulturális tartalma van.
内幕	bennfentes háttér	A riporter megpróbálta kivizsgálni az ügy bennfentes hátterét.
内在	belső	Ő jobban értékeli az ember belső tulajdonságait.
能量	energia	Ez a reggeli sok energiát ad nekem.
拟定	kidolgozni	A titkár éppen kidolgozza az ülés napirendjét.
逆行	rossz irányba haladni	Az az autó rossz irányba haladt az egyirányú utcában.
年度	éves	A vállalat közzétette az éves jelentést.
捏	megpöccinteni	Finoman megcsípte a gyerek arcát.
凝固	megszilárdulni	Lehűlés után a viasz lassan megszilárdul.
凝聚	összefogni	A közös cél összefoghatja a csapat erejét.
凝视	meredten nézni	Meredten nézte a távoli fényeket.
拧	megszorítani	Kézzel egyszer megcsípett.
宁肯	inkább	A nő inkább kudarcot vall, de nem adja fel az elveit.
宁愿	inkább	Én inkább gyalog megyek, mint hogy a buszra várjak.
扭转	megfordítani	Az új politika megfordította a veszteséges helyzetet.
纽扣儿	gomb	Ennek az ingnek leesett egy gombja.
农历	holdnaptár	A tavaszünnepet a holdnaptár dátuma szerint ünneplik.
浓厚	erős	Erős érdeklődése van a történelem iránt.
奴隶	rabszolga	Az ókori társadalmakban létezett a rabszolgaság.
挪	elmozdítani	Kérjük, mozdítsa kicsit oldalra a széket.
虐待	bántalmazni	A törvény tiltja a gyermekek bántalmazását.
哦	ó	Ó, végre megértettem.
殴打	megverni	A rendőrség letartóztatta azt, aki megvert egy járókelőt.
偶像	bálvány	Ő azt az írót tekinti a példaképének.
呕吐	hányni	Rossz étel után hányni kezdett.
趴	hason feküdni	A kiscica az ablakpárkányon feküdt aludva.
徘徊	tétovázni	Sokáig tétovázott az ajtóban.
排斥	taszítani	Az új anyag taszítja a nedvességet.
排除	kizárni	Az orvos először kizárta a súlyos betegséget.
排放	kibocsátás	A gyáraknak csökkenteniük kell a kipufogógáz-kibocsátást.
排练	próbálni	A színészek az új műsort próbálják.
派别	frakció	Ezen a szervezeten belül különböző frakciók vannak.
派遣	kiküldeni	A vállalat mérnököket küldött ki a helyszínre.
攀登	megmászni	Holnap a havas hegyet tervezik megmászni.
盘旋	körözni	A repülőgép a repülőtér fölött körözött.
判决	ítélet	A bíróság ma kihirdette az ítéletet.
畔	part	A gyerekek a tóparton sétáltak.
庞大	óriási	Ehhez a projekthez óriási pénzösszeg szükséges.
抛弃	elhagyni	Nem akarja elhagyni az álmát.
泡沫	hab	A pohárban sok fehér hab van.
培育	nevelni	Az iskola igyekszik nevelni a diákok felelősségtudatát.
