simplified	TR	example_TR
过滤	filtrelemek; süzmek	Bu cihaz yabancı maddeleri filtreleyebilir.
过失	hata; kusur	Bu kaza insan hatasından kaynaklandı.
过问	ilgilenmek; müdahil olmak	Müdür bu küçük işlere nadiren karışır.
过瘾	keyif verici; isteği doyurmak	Bu maçı izlemek gerçekten çok keyifliydi.
过于	fazla; aşırı	Bu plan fazla karmaşık.
嗨	hey; selam	Hey, sen de neden geldin?
海拔	rakım; deniz seviyesinden yükseklik	Bu köyün rakımı yüksektir.
海滨	deniz kıyısı	Hafta sonunu deniz kıyısında geçirdiler.
含糊	belirsiz; muğlak	Cevabı çok belirsizdi.
含义	anlam; ima edilen anlam	Bu kelimenin özel bir anlamı var.
寒暄	hal hatır sormak; kısa selamlaşmak	Buluşunca önce birkaç selamlaşma sözü ettiler.
罕见	nadir; az görülen	Bu hastalık çok nadirdir.
捍卫	savunmak; korumak	Avukat müvekkilin haklarını savunmak için çalıştı.
航空	havacılık	Havayolu şirketi uçuşu iptal etti.
航天	uzay uçuşu; uzay programı	Çin'in uzay programı hızlı gelişiyor.
航行	seyretmek; yol almak	Gemi denizde seyrediyor.
行列	saf; sıra	Gönüllüler safına katıldı.
毫米	milimetre	Bu cam parçası beş milimetre kalınlığında.
毫无	hiç; tamamen yoksun	Açıklamasının hiçbir dayanağı yok.
豪迈	yiğitçe; coşkulu	Şarkı söyleyişi yiğitçe ve güçlüydü.
号召	çağrı yapmak; seslenmek	Hükümet herkesi su tasarrufu yapmaya çağırdı.
耗费	harcamak; tüketmek	Bu proje büyük miktarda fon tüketti.
呵	azarlamak; yüksek sesle bağırmak	Baba bir kez bağırdı, çocuk hemen durdu.
合并	birleşmek; birleştirmek	İki şirket gelecek yıl birleşmeyi planlıyor.
合成	sentezlemek; birleştirmek	Bu malzeme yapay olarak sentezlenebilir.
合伙	ortak olmak; ortaklaşa yapmak	Birlikte bir restoran açtılar.
合算	hesaplı; uygun fiyatlı	Otobüse binmek taksiye binmekten daha hesaplıdır.
和蔼	nazik; sevecen	Bu doktor çok nazik konuşuyor.
和解	uzlaşmak; anlaşmaya varmak	İki taraf sonunda uzlaşmaya vardı.
和睦	uyumlu; iyi geçinen	Komşular uyum içinde geçinir.
和气	nazik; dostça	Patron insanlara dostça davranır.
和谐	uyumlu	Müzik atmosferi daha uyumlu hale getirdi.
嘿	hey	Hey, bunu duydun mu?
痕迹	iz	Yerde tekerlek izleri kaldı.
狠心	acımasız; taş kalpli	Arkadaşının isteğini acımasızca reddetti.
恨不得	hemen yapmayı istemek	Keşke hemen eve gidip dinlenebilsem.
哼	homurdanmak; mırıldanmak	Memnuniyetsiz bir homurtu çıkardı.
横	yatay; enine	Lütfen kağıda yatay bir çizgi çiz.
哄	kahkaha koparmak; gürültü	Herkes kahkahaya boğuldu.
烘	fırınlamak; ısıtmak	Ekmek fırında pişiyor.
轰动	sansasyon; büyük yankı	Bu haber ülke çapında büyük yankı uyandırdı.
宏观	makro; bütüncül	Ekonomiyi makro açıdan analiz etmemiz gerekiyor.
宏伟	görkemli; heybetli	Bu köprünün tasarımı çok görkemli.
洪水	sel; taşkın	Sel birkaç köprüyü yıktı.
喉咙	boğaz	Çok konuştuğu için boğazı biraz ağrıyor.
吼	kükremek; bağırmak	Uzağa doğru yüksek sesle bağırdı.
候选	aday	Kadın bu yıl temsilci adayıdır.
后代	gelecek nesiller	Çevreyi gelecek nesiller için korumalıyız.
后顾之忧	geleceğe dair endişe; arka kaygı	İstikrarlı gelir onu geleceğe dair kaygılardan kurtardı.
后勤	lojistik	Lojistik bölümü malzeme tedarikinden sorumludur.
呼唤	seslenmek; çağırmak	Anne kapıda çocuğa seslendi.
呼啸	uğuldamak; ıslık gibi esmek	Soğuk rüzgar pencerenin dışında uğulduyordu.
呼吁	çağrıda bulunmak; çağrı	Uzmanlar herkesi israfı azaltmaya çağırdı.
忽略	göz ardı etmek; ihmal etmek	Lütfen bu ayrıntıyı göz ardı etmeyin.
湖泊	göl	Bu bölgede birçok doğal göl var.
胡乱	gelişigüzel; rastgele	Eşyaları yere gelişigüzel koyma.
胡须	sakal	Sakalı çoktan beyazlamış.
花瓣	taç yaprak	Yağmurdan sonra taç yapraklar yere döküldü.
花蕾	tomurcuk	İlkbaharda dallarda çiçek tomurcukları büyür.
华丽	gösterişli; ihtişamlı	Sahnedeki kostümler çok gösterişliydi.
华侨	denizaşırı Çinli	Birçok denizaşırı Çinli yatırım yapmak için ülkesine döndü.
划分	bölmek; ayırmak	Öğretmen öğrencileri dört gruba ayırdı.
化肥	kimyasal gübre	Çiftçiler ekinlere kimyasal gübre verdi.
化石	fosil	Müzede dinozor fosilleri sergilendi.
化验	laboratuvar testi; tahlil	Doktor ondan kan tahlili yaptırmasını istedi.
化妆	makyaj yapmak	Sahneye çıkmadan önce makyaj yapıyordu.
画蛇添足	gereksiz ekleme yapmak; işi bozacak kadar abartmak	Daha fazla açıklama eklemek gereksiz olurdu.
话筒	mikrofon	Sunucu mikrofonu seyirciye uzattı.
欢乐	sevinç; neşe	Festival meydanı neşeyle doluydu.
环节	aşama; bölüm; bağlantı	Eğitimin her aşaması önemlidir.
还原	aslına döndürmek; eski haline getirmek	Lütfen ayarları varsayılan haline döndürün.
缓和	yumuşamak; hafifletmek; yatıştırmak	İki taraf arasındaki ilişkiler giderek yumuşadı.
患者	hasta	Doktor hastanın durumunu soruyor.
荒凉	ıssız; terk edilmiş	Bu arazi çok ıssız görünüyor.
荒谬	saçma; akıl dışı	Bu açıklama kulağa saçma geliyor.
荒唐	akıl almaz; saçma	Onun kararı fazlasıyla saçmaydı.
皇帝	imparator	İmparator görkemli bir sarayda yaşıyordu.
皇后	imparatoriçe	İmparatoriçe kutlamaya katıldı.
黄昏	alacakaranlık; gün batımı	Alacakaranlıkta sokak lambaları yandı.
恍然大悟	birden anlamak; aklına dank etmek	Açıklamayı duyunca birden her şeyi anladı.
晃	sallanmak; gözünün önünden geçmek	Bir anlık bulanıklıkta gözden kayboldu.
挥霍	savurmak; müsrifçe harcamak	Anne babasının parasını savurmamalı.
辉煌	görkemli; parlak	Bu şehrin görkemli bir tarihi var.
回报	karşılık; geri dönüş; ödül	Emek sonunda mutlaka karşılığını verir.
回避	kaçınmak; uzak durmak	Bu konudan sürekli kaçındı.
回顾	gözden geçirmek; geriye bakmak	Toplantının sonunda yılın çalışmaları gözden geçirildi.
回收	geri dönüştürmek; geri toplamak	Site eski pilleri geri toplamaya başladı.
悔恨	pişmanlık	Geçmişteki hataları için pişmanlık duydu.
毁灭	yok etmek; mahvetmek	Savaş neredeyse bu şehri yok etti.
会晤	görüşmek; görüşme	İki ülkenin liderleri yarın görüşecek.
汇报	rapor vermek; bilgi sunmak	İlerlemeyi müdüre rapor etti.
贿赂	rüşvet; rüşvet vermek	Yetkili rüşvet suçlamasıyla soruşturuldu.
昏迷	komada olmak; bilincini kaybetmek	Hasta hâlâ komada.
荤	etli; hayvansal gıda içeren	Bu yemek etli olduğu için vejetaryenlere uygun değil.
浑身	tüm vücut; baştan ayağa	Koştuktan sonra tüm vücudu ter içindeydi.
混合	karıştırmak; harmanlamak	Lütfen iki malzemeyi eşit biçimde karıştırın.
混乱	kaos; karışıklık	Ortam bir ara çok karışıktı.
混淆	karıştırmak; birbirine karıştırmak	Bu iki kavramı birbirine karıştırma.
混浊	bulanık; çamurlu	Yağmurdan sonra nehrin suyu bulanıklaştı.
活该	hak etmek; müstahak olmak	Tavsiyeyi dinlemedi, başarısızlığı hak etti.
活力	canlılık; enerji	Bu şehir canlılık dolu.
火箭	roket	Roket planlanan yörüngeye başarıyla girdi.
火焰	alev	Rüzgâr alevleri daha da yükseltti.
火药	barut	Barut eski savaş biçimlerini değiştirdi.
货币	para birimi; parasal	Para politikası ekonomik gelişmeyi etkiler.
基地	üs; merkez	Burası bir zamanlar önemli bir eğitim üssüydü.
基金	fon	Okul bir burs fonu kurdu.
基因	gen	Bilim insanları bu geni inceliyor.
机动	hareketli; motorlu; esnek	Bu ekip yüksek hareket kabiliyetini koruyor.
机构	kurum; yapı; mekanizma	Bu kurum kalite denetiminden sorumludur.
机灵	zeki; kıvrak zekâlı	Bu çocuk çok zeki.
机密	gizli; sır niteliğinde	Bu belgeler gizlidir.
机械	makine; mekanik	Fabrika yeni makineler getirdi.
机遇	fırsat	Gençler fırsatları değerlendirmeli.
机智	kıvrak zekâlı; hazırcevap	Onun cevabı çok zekiceydi.
激发	uyandırmak; harekete geçirmek	Öğretmen öğrencilerin ilgisini uyandırdı.
激励	teşvik etmek; motive etmek	Bu başarı bütün ekibi motive etti.
激情	tutku; coşku	Konuşurken büyük bir tutkuyla doluydu.
讥笑	alay etmek	Başkalarının hatalarıyla alay etme.
饥饿	açlık	Uzun süreli açlık sağlığı etkileyebilir.
即便	olsa bile	Yağmur yağsa bile zamanında yola çıkacağız.
即将	üzere olmak	Toplantı başlamak üzere.
及早	olabildiğince erken	Sorunlar olabildiğince erken ele alınmalı.
吉祥	uğurlu; hayırlı	Kırmızı Çin'de çoğu zaman uğuru simgeler.
嫉妒	kıskanmak	Onun meslektaşının başarısını kıskanmaması gerekir.
急功近利	kısa vadeli çıkar peşinde olmak	Araştırma hızlı kazanç hırsıyla yapılmamalıdır.
急剧	ani; keskin; hızlı	Satışlar keskin biçimde düştü.
急切	sabırsız; endişeli	Haber beklerken çok endişeliydi.
急于求成	hemen sonuç almak istemek	Dil öğrenirken hemen sonuç almak için acele edemezsin.
急躁	sabırsız; tez canlı	Zorluklarla karşılaşınca sabırsızlanma.
极端	aşırı	Bu tür aşırı hava olayları daha yaygın hale geliyor.
极限	sınır; limit	Bu antrenman onun sınırlarını zorladı.
疾病	hastalık	İyi alışkanlıklar hastalıkları önleyebilir.
籍贯	memleket; aile kökeninin kayıt yeri	Formda memleket bilgisini doldurmak gerekiyor.
级别	seviye; derece; rütbe	Bu yarışma üç seviyeye ayrılmıştır.
集团	grup; holding; şirketler grubu	Bu grubun yurt dışında şubeleri var.
给予	vermek; sağlamak	Okul yoksul öğrencilere yardım sağlar.
季军	üçüncülük; bronz madalya sahibi	Yarışmada üçüncü oldu.
季度	çeyrek dönem	Şirket her çeyrekte mali rapor yayımlar.
寂静	sessiz; sakin	Vadi geceleri özellikle sessizdir.
寄托	emanet etmek; umut bağlamak	Umutlarını çocuğuna bağladı.
忌讳	tabu; kaçınılan şey	Yerel halk sofrada bunu konuşmayı tabu sayar.
技巧	beceri; teknik	Tekniklere hâkim olmak verimliliği artırabilir.
纪要	tutanak; toplantı özeti	Sekreter toplantı tutanaklarını düzenledi.
继承	miras almak; sürdürmek	Babasının mesleğini sürdürdü.
计较	didişmek; küçük hesap yapmak	Böyle küçük bir mesele için didişme.
记性	hafıza	Onun hafızası çok iyidir.
记载	kaydetmek; yazılı kayıt	Tarih kitapları bu savaşı kaydetmiştir.
迹象	belirti; işaret	Şu anda iyileşme belirtisi yok.
佳肴	leziz yemek; nefis yiyecekler	Masa nefis yemeklerle doluydu.
加工	işlemek; işleme	Bu hammaddelerin daha fazla işlenmesi gerekiyor.
加剧	şiddetlenmek; artırmak	Çatışma şiddetleniyor.
夹杂	karışmak; araya karışmak	Yağmur sesine gök gürültüsü karışıyordu.
家常	ev işi; gündelik aile yaşamına ait	Ev usulü yemekler yemeyi severim.
家伙	adam; herif; alet	O adam her zaman geç kalır.
家属	aile üyesi; yakını	Doktor hastanın yakınlarına haber verdi.
家喻户晓	herkesçe bilinen; herkesin tanıdığı	Bu hikâye herkesçe bilinir.
坚定	kararlı; sağlam	Onun tavrı çok kararlı.
坚固	sağlam; dayanıklı	Bu köprü çok sağlam.
坚韧	dayanıklı; dirençli	O dirençli bir karaktere sahip.
坚实	sağlam; güçlü	Bu araştırmanın sağlam bir temeli var.
坚硬	sert; katı	Bu taş çok serttir.
尖端	ileri teknoloji; uç nokta	Şirket ileri teknolojiye yatırım yapıyor.
尖锐	keskin; sert; yoğun	Bu sorun çok keskin.
煎	tavada kızartmak	Şef balığı tavada kızartıyor.
监督	denetlemek; gözetmek	Kamu denetimi çalışmaları iyileştirmeye yardımcı olur.
监视	izlemek; gözetlemek	Polis şüpheliyi izliyor.
监狱	hapishane	Cezasını hapishanede çekiyor.
艰难	zor; güç	Girişimciliğin ilk aşaması çok zordur.
剪彩	kurdele kesmek	Belediye başkanı yeni kütüphane için kurdele kesti.
拣	seçmek; ayıklamak	Sepetten birkaç elma seçti.
检讨	gözden geçirmek; öz eleştiri yapmak	Hatalarını ciddi biçimde gözden geçirdi.
检验	test etmek; sınamak	Deneyler bu varsayımı test edebilir.
简化	basitleştirmek	Lütfen süreci biraz daha basitleştirin.
简陋	basit ve kaba; derme çatma	Derme çatma bir kulübede yaşıyorlardı.
简体字	basitleştirilmiş Çince karakter	Bu ders kitabı basitleştirilmiş Çince karakterler kullanıyor.
简要	kısa; öz	Lütfen görüşünüzü kısaca açıklayın.
健全	sağlam; eksiksiz hale getirmek	Şirket yönetim sistemini iyileştirmelidir.
剑	kılıç	Duvarda eski bir kılıç asılı.
溅	sıçramak	Yağmur suyu pantolonuna sıçradı.
舰艇	savaş gemisi; donanma gemisi	Birkaç donanma gemisi tatbikata katıldı.
见多识广	çok görmüş geçirmiş; bilgili	Bu yaşlı adam çok görmüş geçirmiş biridir.
见解	görüş; anlayış	Bu konuda kendine özgü görüşleri var.
见闻	gördükleri ve duydukları; bilgi birikimi	Seyahat onun bilgi birikimini genişletti.
见义勇为	doğru olanı görünce cesurca davranmak	Doğru olanı cesurca yaptığı için övüldü.
践踏	çiğnemek	Çimenleri çiğnemeyin.
鉴别	ayırt etmek; teşhis etmek	Uzmanlar bu tablonun gerçek olup olmadığını ayırt edebilir.
鉴定	incelemek; değerlendirmek; kimliklendirmek	Polis parmak izlerini inceliyor.
鉴于	göz önünde bulundurarak	Kötü hava koşulları göz önünde bulundurularak etkinlik ertelendi.
间谍	casus	Bu film bir casus hikâyesini anlatıyor.
间隔	aralık	İki toplantı arasında bir hafta aralık var.
间接	dolaylı	Bu politikanın dolaylı bir etkisi olacak.
僵硬	katı; sert; donuk	Gülümsemesi donuk görünüyordu.
将军	general	General emir verdi.
将近	neredeyse; yaklaşık	Bu proje neredeyse iki yıl sürdü.
将就	idare etmek; katlanmak	Koşullar kötü, şimdilik idare etmek zorundayız.
奖励	ödüllendirmek; ödül	Okul başarılı öğrencileri ödüllendirdi.
奖赏	ödül; mükâfat	Kral savaşçıya cömert bir ödül verdi.
桨	kürek; sandal küreği	Kürekçi sandal küreğiyle tekneyi kıyıya doğru sürdü.
降临	çökmek; gelmek	Gece yavaş yavaş şehrin üzerine çöktü.
交叉	kesişmek; çaprazlaşmak	İki yol burada kesişiyor.
交代	açıklamak; devretmek	Lütfen görevi açıkça açıklayın.
交涉	müzakere etmek	İki taraf tazminat konusunda müzakere ediyor.
交易	işlem; ticari anlaşma	Bu işlem çoktan tamamlandı.
娇气	nazlı; dayanıksız	Bu kadar nazlı olma, hava soğuk değil.
焦点	odak noktası	İstihdam tartışmanın odak noktası oldu.
焦急	endişeli; kaygılı	Anne çocuğunun dönmesini endişeyle bekledi.
侥幸	şans eseri; kıl payı	Felaketten şans eseri kurtuldu.
搅拌	karıştırmak; çırpmak	Lütfen hamuru iyice karıştırın.
缴纳	ödemek	Sakinlerin su faturasını zamanında ödemesi gerekir.
角落	köşe	Kedi odanın köşesine saklandı.
教养	terbiye; yetiştirme	İyi terbiye ayrıntılarda görülür.
较量	yarışmak; boy ölçüşmek	İki güçlü takım yakında karşı karşıya gelecek.
接连	art arda; peş peşe	Peş peşe üç e-posta aldı.
揭露	ifşa etmek; açığa çıkarmak	Gazeteci bir gıda güvenliği sorununu ifşa etti.
皆	hepsi; herkes	Bu kuralları herkes bilir.
阶层	tabaka; sınıf	Farklı toplumsal sınıfların farklı ihtiyaçları vardır.
截止	sona ermek; kapanmak	Kayıtlar yarın öğleden sonra kapanıyor.
截至	itibarıyla; kadar	Bugün itibarıyla iki yüz kişi kayıt yaptırdı.
杰出	seçkin; olağanüstü	O seçkin bir bilim insanıdır.
竭尽全力	elinden geleni yapmak	Bu görevi tamamlamak için elimizden geleni yapacağız.
结晶	ürün; kristalleşme	Bu başarı yıllarca süren emeğin ürünüdür.
结局	sonuç; son	Hikâyenin sonu beklenmedikti.
结算	hesap kapatmak; ödeme yapmak	Müşteri ücretlerin ay sonunda hesaplanmasını istedi.
节制	ölçülü olmak; kontrol etmek	Yeme içmede ölçülü olmak gerekir.
节奏	ritim; tempo	Bu şarkının ritmi hızlıdır.
解除	kaldırmak; gidermek	Şirket güvenlik alarmını kaldırdı.
解放	özgürleştirmek; serbest bırakmak	Reform üretici güçleri serbest bıraktı.
解雇	işten çıkarmak	Patron o çalışanı işten çıkarmaya karar verdi.
解剖	anatomi; parçalarına ayırmak	Tıp öğrencileri anatomi çalışıyor.
解散	dağılmak; dağıtmak	Toplantı bittikten sonra grup dağıldı.
解体	dağılmak; parçalanmak	O ittifak sonunda dağıldı.
借鉴	örnek almak; yararlanmak	Yabancı deneyimlerden yararlanabiliriz.
借助	yardımıyla; destek almak	Haritanın yardımıyla yolu buldu.
戒备	tedbirli olmak; alarma geçmek	Sınır bölgesi yüksek alarm durumunu koruyor.
界限	sınır	İş ve yaşam arasında net sınırlar gerekir.
津津有味	büyük ilgiyle; zevkle	Çocuklar hikâyeyi büyük ilgiyle dinledi.
金融	finans; mali	Finans piyasası bugün büyük dalgalandı.
紧迫	acil; sıkışık	Zaman çok acil, hemen harekete geçmeliyiz.
锦上添花	güzele güzellik katmak	Bu hediye gerçekten güzele güzellik kattı.
晋升	terfi etmek	Geçen yıl bölüm müdürlüğüne terfi etti.
浸泡	ıslatmak; suda bekletmek	Fasulyelerin gece boyunca suda bekletilmesi gerekir.
近来	son zamanlarda	Son zamanlarda hava çok değişti.
进而	daha sonra; ardından	Önce ihtiyaçları anlayın, ardından bir plan hazırlayın.
进攻	saldırmak; hücuma geçmek	Takım ikinci yarıda hücumunu güçlendirdi.
进化	evrim geçirmek	Canlılar çevreleriyle birlikte evrim geçirir.
进展	ilerleme kaydetmek	Proje şu anda sorunsuz ilerliyor.
兢兢业业	özenle ve sorumlulukla	Otuz yıl boyunca özenle ve sorumlulukla çalıştı.
惊动	rahatsız etmek; alarma geçirmek	Yüksek ses yakındaki sakinleri alarma geçirdi.
惊奇	şaşırmak; hayrete düşmek	Çocuklar sihir gösterisini hayretle izledi.
惊讶	şaşırmak; hayrete düşmek	Onun cevabı beni şaşırttı.
精打细算	ince hesap yapmak; tutumlu planlamak	O ev giderlerini her zaman ince hesapla yönetir.
精华	öz; en değerli kısım	Bu makale teorinin özünü özetliyor.
精简	sadeleştirmek; azaltmak	Şirket yönetimi sadeleştirmeye karar verdi.
精密	hassas; ince işçilikli	Bu cihaz çok hassastır.
精确	doğru; kesin	Veriler iki ondalık basamağa kadar doğru olmalıdır.
精通	ustaca bilmek; hâkim olmak	Üç yabancı dile hâkimdir.
精心	özenle	Annesi akşam yemeğini özenle hazırladı.
精益求精	mükemmeli daha da iyileştirmek	İyi zanaatkârlar her zaman daha iyisini arar.
精致	zarif; ince işçilikli	Bu hediye çok zarif biçimde paketlenmiş.
经费	ödenek; fon	Araştırma ödeneği onaylandı.
经纬	enlem ve boylam; ana hatlar	Harita enlem ve boylam çizgilerini gösteriyor.
茎	sap; gövde	Bitkinin gövdesi yapraklarını taşır.
井	kuyu	Köy girişinde eski bir kuyu var.
警告	uyarmak; uyarı	Öğretmen öğrencileri kopya çekmemeleri için uyardı.
警惕	tetikte olmak; dikkatli olmak	İnternet dolandırıcılığına karşı dikkatli olmalıyız.
颈椎	boyun omuru	Uzun süre aşağı bakmak boyun omurlarına zarar verebilir.
境界	düzey; alan	Onun resmi yeni bir düzeye ulaştı.
敬礼	selam vermek	Asker ulusal bayrağa selam verdi.
敬业	işine bağlı olmak	O ciddi çalışır ve işine çok bağlıdır.
竞赛	yarışma; müsabaka	Okul bir matematik yarışması düzenledi.
竞选	seçime katılmak; aday olmak	Belediye başkanlığına aday olmaya hazırlanıyor.
镜头	kamera çekimi; objektif	Fotoğrafçı objektifi ayarladı.
纠纷	anlaşmazlık; uyuşmazlık	İki taraf anlaşmazlığı arabuluculukla çözdü.
纠正	düzeltmek	Öğretmen telaffuz hatasını zamanında düzeltti.
酒精	alkol	Doktor yarayı alkolle dezenfekte etti.
就近	yakında; en yakın yerde	Öğrenciler yakındaki bir okula kaydolabilir.
就业	istihdam; işe girmek	Hükümet istihdamı artırmak için politikalar çıkardı.
就职	göreve başlamak	Yeni müdür gelecek hafta resmen göreve başlayacak.
救济	yardım; afet yardımı	Afetzedeler zamanında yardım aldı.
居民	sakin; yerleşik kişi	Yakındaki sakinler gürültü kirliliğine karşı çıkıyor.
居住	ikamet etmek; yaşamak	On yıldır burada yaşıyorlar.
拘留	gözaltına almak	Polis şüpheliyi yasaya uygun biçimde gözaltına aldı.
拘束	kısıtlamak; çekingen hissetmek	Arkadaşların yanında çekingen hissetmene gerek yok.
鞠躬	eğilerek selam vermek	Oyuncu teşekkür etmek için seyirciye eğildi.
局部	kısmi; yerel	Doktor yalnızca lokal anestezi yaptı.
局面	durum; görünüm	Müzakereler gergin durumu iyileştirdi.
局势	vaziyet; durum	Uluslararası durum karmaşık kalmaya devam ediyor.
局限	sınırlılık; sınır	Bu yöntemin belirgin sınırlılıkları var.
举动	davranış; hareket	Onun davranışı herkesi duygulandırdı.
举世瞩目	dünyanın dikkatini çekmek	Bu proje dünyanın dikkatini çekti.
举足轻重	belirleyici rol oynamak	Bu şirket sektörde belirleyici bir role sahiptir.
咀嚼	çiğnemek	Yemek yerken yavaş çiğnemelisin.
沮丧	morali bozuk; hayal kırıklığına uğramış	Maçı kaybettikten sonra çok hayal kırıklığına uğradı.
剧本	senaryo; oyun metni	Yönetmen senaryoyu gözden geçiriyor.
剧烈	şiddetli; sert	Zemin şiddetli biçimde sallandı.
据悉	haberlere göre	Haberlere göre toplantı gelecek haftaya ertelenecek.
聚精会神	tüm dikkatini vermek	Çocuklar derse tüm dikkatlerini vererek dinledi.
卷	rulo yapmak; sarmak	Haritayı sarıp çantaya koydu.
倔强	inatçı; dik başlı	Bu çocuğun inatçı bir karakteri var.
决策	karar alma; stratejik karar	Yönetim önemli bir kararı tartışıyor.
绝望	umutsuzluk; çaresizlik	Başarısızlıktan sonra bir süre umutsuzluğa kapıldı.
觉悟	bilinç; farkındalık	Bu deneyim onun farkındalığını artırdı.
觉醒	uyanmak; farkına varmak	Kamuoyunda çevre bilinci uyanıyor.
军队	ordu	Ordu afet bölgesine hızla ulaştı.
君子	erdemli kişi; centilmen	Erdemli kişi sözleriyle davranışlarını uyumlu tutmalıdır.
卡通	çizgi film	Çocuk çizgi film izlemeyi seviyor.
开采	çıkarmak; maden işletmek	Bu şirket madenleri çıkarmaktan sorumludur.
开除	okuldan atmak; işten çıkarmak	Okul kopya çeken öğrenciyi okuldan atmaya karar verdi.
开阔	geniş; açık	Dağın tepesinden manzara çok geniştir.
开朗	neşeli; dışa dönük	O neşelidir ve birçok arkadaşı vardır.
开明	açık fikirli	Ebeveynlerin tutumu açık fikirlidir.
开辟	açmak; başlatmak	Şehir yeni bir otobüs hattı açtı.
开拓	yeni alan açmak; geliştirmek	Şirket yurt dışı pazarlara açılmayı planlıyor.
开展	başlatmak; yürütmek	Okul güvenlik eğitimi etkinliği düzenledi.
开支	masraf; gider	Ailenin aylık giderleri arttı.
刊登	yayımlamak	Gazete onun makalesini yayımladı.
刊物	yayın; süreli yayın	Bu yayın ayda bir çıkar.
勘探	araştırma; keşif çalışması	Mühendislik ekibi yer altı su kaynaklarını araştırıyor.
侃侃而谈	kendinden emin konuşmak	Toplantıda kendinden emin biçimde uzun uzun konuştu.
砍伐	kesmek; ağaç kesmek	Ormanların rastgele kesilmesi yasaktır.
看待	bakmak; değerlendirmek	Bu soruna nesnel bakmalıyız.
慷慨	cömert; coşkulu	Ödül parasını cömertçe bağışladı.
抗议	protesto etmek	Sakinler yeni fabrika inşaatını protesto etti.
考察	incelemek; yerinde araştırmak	Uzmanlar çevreyi incelemek için sahaya gitti.
考古	arkeoloji	Arkeoloji ekibi eski mezarlar keşfetti.
考核	değerlendirmek; sınamak	Şirket her yıl çalışan performansını değerlendirir.
考验	sınamak; sınavdan geçirmek	Bu kriz ekibin yeteneklerini sınadı.
靠拢	yaklaşmak; bir araya gelmek	Ekip üyeleri merkeze doğru yaklaştı.
磕	çarpmak; vurmak	Masanın köşesine yanlışlıkla çarptı.
科目	ders; konu	Matematik onun en sevdiği derstir.
可观	hatırı sayılır; kayda değer	Bu yatırım hatırı sayılır getiri sağladı.
可口	lezzetli	Bu restoranın yemekleri lezzetlidir.
可恶	nefret edilesi; iğrenç	Bu tür aldatma gerçekten nefret edilesidir.
可行	uygulanabilir	Bu plan genel olarak uygulanabilir.
渴望	özlem duymak; çok istemek	Çocuklar daha fazla fırsat istiyor.
克制	kendini tutmak; kontrol etmek	Tartışma sırasında duygularını kontrol etmelisin.
刻不容缓	gecikmeye gelmez	Su kaynaklarını korumak gecikmeye gelmez.
客户	müşteri	Müşteri hizmetten çok memnun kaldı.
课题	konu; araştırma konusu	Bu konu derinlemesine incelenmeye değer.
啃	kemirmek; ısırmak	Çocuk bir mısır koçanını kemiriyor.
恳切	içten; samimi	Herkesten içtenlikle yardım istedi.
坑	çukur; aldatmak	Yol kenarında derin bir çukur var.
空洞	boş; içi boş	Bu rapor içerik bakımından boş.
空前绝后	eşi benzeri görülmemiş	Bu performans eşi benzeri görülmemiş sayılabilir.
空想	hayal kurmak; boş hayal	Yalnızca hayal kurarak sorun çözülemez.
空虚	boşluk; anlamsızlık	Yoğunluk geçtikten sonra içinde boşluk hissetti.
孔	delik; açıklık	Duvarda küçük bir delik var.
恐怖	korkunç	O filmin korkunç bir atmosferi var.
恐吓	tehdit etmek	Karşı taraf tanığı tehditlerle korkuttu.
恐惧	korku	Karanlık çocuğa korku verdi.
空白	boşluk	Lütfen boşluğa imza atın.
空隙	aralık; boşluk	Kapı ile zemin arasında bir aralık var.
口气	ses tonu; konuşma tarzı	Onun konuşma tonu çok sertti.
口腔	ağız boşluğu	Doktor onun ağız boşluğunu muayene etti.
口头	sözlü	Sadece sözlü bir anlaşmaları var.
口音	aksan	Onun Mandarincesinde hafif bir aksan var.
扣	bağlamak; iliklemek	Lütfen emniyet kemerinizi bağlayın.
哭泣	ağlamak	Kız köşeye saklanıp ağladı.
枯萎	solmak	Susuzluk çiçeklerin solmasına yol açtı.
枯燥	sıkıcı; kuru	Bu iş biraz sıkıcı.
苦尽甘来	zor günlerden sonra iyi günlere kavuşmak	Yıllarca süren ısrarın ardından zorluklar yerini mutluluğa bıraktı.
苦涩	acı ve buruk	Bu şifalı çayın tadı acı ve buruktur.
挎	kola takarak taşımak	Bez çantasını koluna takıp dışarı çıktı.
跨	adım atarak geçmek; aşmak	Hendeğin üzerinden atlayıp yürümeye devam etti.
快活	mutlu; neşeli	Çocuklar çimende neşeyle oynadı.
宽敞	geniş; ferah	Bu sınıf aydınlık ve ferahtır.
宽容	hoşgörülü; hoşgörü	Toplumun daha fazla anlayış ve hoşgörüye ihtiyacı var.
款待	ağırlamak	Ev sahibi konukları sıcak biçimde ağırladı.
款式	model; tarz	Bu giysinin modeli çok yenidir.
筐	sepet	Bir sepet elmayı eve taşıdı.
况且	üstelik; ayrıca	Yol uzak, üstelik hava kararıyor.
旷课	derse girmemek; ders kırmak	Sebepsiz yere derse girmeyen öğrenciler kayda geçirilecek.
框架	çerçeve	Raporun önce çerçevesi belirlenmelidir.
矿产	maden kaynakları	Bu bölge maden kaynakları bakımından zengindir.
亏待	haksız davranmak	Şirket ciddi çalışanlara haksız davranmayacak.
