simplified	KO	example_KO
集团	그룹	이 그룹은 해외에 지사를 두고 있습니다.
给予	주다	학교는 가난한 학생들에게 도움을 줍니다.
季军	3위	그는 경기에서 3위를 차지했습니다.
季度	분기	회사는 매 분기 재무 보고서를 발표합니다.
寂静	고요한	밤의 산골짜기는 유난히 고요했습니다.
寄托	맡기다	그녀는 희망을 아이에게 맡겼습니다.
忌讳	금기	현지인들은 식탁에서 이 일을 이야기하는 것을 금기로 여깁니다.
技巧	기교	기교를 익히면 효율을 높일 수 있습니다.
纪要	회의록	비서는 회의록을 정리했습니다.
继承	계승하다	그는 아버지의 사업을 계승했습니다.
计较	따지다	이런 작은 일로 따지지 마세요.
记性	기억력	그는 기억력이 매우 좋습니다.
记载	기록하다	역사책에는 이 전쟁이 기록되어 있습니다.
迹象	조짐	현재는 호전될 조짐이 없습니다.
佳肴	맛있는 요리	식탁에는 맛있는 요리가 가득 차려져 있었습니다.
加工	가공하다	이 원료들은 추가로 가공해야 합니다.
加剧	심화되다	갈등이 심화되고 있습니다.
夹杂	뒤섞이다	빗소리 속에 천둥소리가 뒤섞여 있었습니다.
家常	일상적인	저는 집밥을 좋아합니다.
家伙	녀석	그 녀석은 항상 지각합니다.
家属	가족	의사는 환자의 가족에게 알렸습니다.
家喻户晓	널리 알려진	이 이야기는 집집마다 널리 알려져 있습니다.
坚定	확고한	그녀의 태도는 매우 확고했습니다.
坚固	견고한	이 다리는 매우 견고합니다.
坚韧	끈질긴	그는 끈질긴 성격을 가지고 있습니다.
坚实	튼튼한	이 연구에는 튼튼한 기반이 있습니다.
坚硬	단단한	이 돌은 매우 단단합니다.
尖端	첨단	회사는 첨단 기술에 투자합니다.
尖锐	날카로운	이 문제는 매우 날카롭습니다.
煎	부치다	요리사가 생선을 부치고 있습니다.
监督	감독하다	대중의 감독은 업무 개선에 도움이 됩니다.
监视	감시하다	경찰은 용의자를 감시하고 있습니다.
监狱	감옥	그는 감옥에서 복역하고 있습니다.
艰难	어려운	창업 초기 단계는 매우 어려웠습니다.
剪彩	테이프 커팅을 하다	시장은 새 도서관을 위해 테이프 커팅을 했습니다.
拣	고르다	그녀는 바구니에서 사과 몇 개를 골랐습니다.
检讨	검토하다	그는 자신의 잘못을 진지하게 검토했습니다.
检验	검증하다	실험은 이 가설을 검증할 수 있습니다.
简化	간소화하다	절차를 더 간소화해 주세요.
简陋	허름한	그들은 허름한 작은 오두막에서 살았습니다.
简体字	간체자	이 교재는 간체자를 사용합니다.
简要	간략한	당신의 관점을 간략히 설명해 주세요.
健全	건전하게 하다	회사는 관리 제도를 건전하게 해야 합니다.
剑	검	벽에는 오래된 검 한 자루가 걸려 있습니다.
溅	튀다	빗물이 그의 바지에 튀었습니다.
舰艇	함정	여러 척의 함정이 훈련에 참가했습니다.
见多识广	견문이 넓다	이 노인은 견문이 넓습니다.
见解	견해	그는 이 문제에 대해 독특한 견해를 가지고 있습니다.
见闻	견문	여행은 그의 견문을 넓혔습니다.
见义勇为	의로운 일을 보고 용감히 나서다	그는 의로운 일을 보고 용감히 나선 일로 칭찬을 받았습니다.
践踏	짓밟다	잔디밭을 짓밟지 마세요.
鉴别	감별하다	전문가는 이 그림의 진위를 감별할 수 있습니다.
鉴定	감정하다	경찰은 지문을 감정하고 있습니다.
鉴于	감안하여	날씨가 나쁜 점을 감안하여 행사가 연기되었습니다.
间谍	스파이	이 영화는 스파이 이야기를 다룹니다.
间隔	간격	두 회의의 간격은 일주일입니다.
间接	간접적인	이 정책은 간접적인 영향을 미칠 것입니다.
僵硬	뻣뻣한	그의 웃음은 매우 뻣뻣해 보였습니다.
将军	장군	장군은 명령을 내렸습니다.
将近	거의	이 공사는 거의 2년 동안 지속되었습니다.
将就	그럭저럭 버티다	조건이 좋지 않아서 우리는 그럭저럭 버틸 수밖에 없습니다.
奖励	장려하다	학교는 우수한 학생들을 장려했습니다.
奖赏	상	왕은 용사에게 후한 상을 내렸습니다.
桨	노	뱃사공은 노로 배를 저어 강가로 향했습니다.
降临	내리다	밤이 점차 도시 위로 내렸습니다.
交叉	교차하다	두 길은 여기에서 교차합니다.
交代	분명히 설명하다	임무를 분명히 설명해 주세요.
交涉	교섭하다	양측은 배상 문제를 두고 교섭하고 있습니다.
交易	거래	이 거래는 이미 완료되었습니다.
娇气	유난스러운	너무 유난스럽게 굴지 마세요, 날씨가 춥지 않습니다.
焦点	초점	취업 문제가 토론의 초점이 되었습니다.
焦急	초조한	어머니는 아이가 돌아오기를 초조하게 기다렸습니다.
侥幸	요행으로	그는 요행으로 재난을 피했습니다.
搅拌	젓다	반죽을 고르게 저어 주세요.
缴纳	납부하다	주민들은 수도 요금을 제때 납부해야 합니다.
角落	구석	고양이는 방 구석에 숨어 있었습니다.
教养	교양	좋은 교양은 세부적인 데서 드러납니다.
较量	겨루다	두 강팀이 곧 겨룹니다.
接连	연달아	그는 이메일 세 통을 연달아 받았습니다.
揭露	폭로하다	기자는 식품 안전 문제를 폭로했습니다.
皆	모두	이 규정들은 모두가 알고 있습니다.
阶层	계층	서로 다른 계층에는 서로 다른 요구가 있습니다.
截止	마감되다	신청은 내일 오후에 마감됩니다.
截至	현재까지	오늘 현재까지 200명이 신청했습니다.
杰出	걸출한	그녀는 걸출한 과학자입니다.
竭尽全力	전력을 다하다	우리는 임무를 완수하기 위해 전력을 다할 것입니다.
结晶	결실	이 성과는 여러 해 노력의 결실입니다.
结局	결말	이야기의 결말은 뜻밖이었습니다.
结算	정산하다	고객은 월말에 비용을 정산해 달라고 요청했습니다.
节制	절제하다	음식은 절제해야 합니다.
节奏	리듬	이 노래의 리듬은 빠릅니다.
解除	해제하다	회사는 안전 경보를 해제했습니다.
解放	해방하다	개혁은 생산력을 해방했습니다.
解雇	해고하다	사장은 그 직원을 해고하기로 결정했습니다.
解剖	해부	의대생들은 해부를 배우고 있습니다.
解散	해산하다	회의가 끝난 뒤 대열이 해산했습니다.
解体	해체되다	그 연맹은 결국 해체되었습니다.
借鉴	참고하다	우리는 해외 경험을 참고할 수 있습니다.
借助	도움을 빌리다	그는 지도의 도움을 빌려 길을 찾았습니다.
戒备	경계하다	국경 지역은 높은 경계 태세를 유지하고 있습니다.
界限	경계	일과 생활에는 분명한 경계가 필요합니다.
津津有味	흥미진진하게	아이들은 이야기를 흥미진진하게 들었습니다.
金融	금융	금융 시장은 오늘 크게 변동했습니다.
紧迫	긴박한	시간이 긴박하니 우리는 즉시 행동해야 합니다.
锦上添花	금상첨화	이 선물은 정말 금상첨화였습니다.
晋升	승진하다	그는 작년에 부서장으로 승진했습니다.
浸泡	담그다	콩은 하룻밤 동안 담가 두어야 합니다.
近来	최근	최근 날씨 변화가 큽니다.
进而	나아가	먼저 요구를 이해하고 나아가 방안을 세웁니다.
进攻	공격하다	팀은 후반전에 공격을 강화했습니다.
进化	진화	생물은 환경에 따라 진화합니다.
进展	진전되다	프로젝트는 현재 순조롭게 진전되고 있습니다.
兢兢业业	성실하게	그는 30년 동안 성실하게 일했습니다.
惊动	놀라게 하다	큰 소리가 근처 주민들을 놀라게 했습니다.
惊奇	놀라워하다	아이들은 마술 공연을 놀라워하며 보았습니다.
惊讶	놀라다	그의 대답은 나를 놀라게 했습니다.
精打细算	꼼꼼히 계산하다	그녀는 생활비를 항상 꼼꼼히 계산합니다.
精华	정수	이 글은 이론의 정수를 요약했습니다.
精简	간소화하다	회사는 관리층을 간소화하기로 결정했습니다.
精密	정밀한	이 기기는 매우 정밀합니다.
精确	정확한	데이터는 소수점 둘째 자리까지 정확해야 합니다.
精通	정통하다	그는 세 개의 외국어에 정통합니다.
精心	정성껏	어머니는 저녁 식사를 정성껏 준비했습니다.
精益求精	더욱 완벽을 추구하다	뛰어난 장인은 항상 더욱 완벽을 추구합니다.
精致	정교한	이 선물은 매우 정교하게 포장되어 있습니다.
经费	경비	연구 경비가 이미 승인되었습니다.
经纬	경위선	지도에는 경위선이 표시되어 있습니다.
茎	줄기	식물의 줄기는 잎을 지탱합니다.
井	우물	마을 입구에는 오래된 우물이 하나 있습니다.
警告	경고하다	선생님은 학생들에게 부정행위를 하지 말라고 경고했습니다.
警惕	경계하다	우리는 온라인 사기를 경계해야 합니다.
颈椎	경추	오랫동안 고개를 숙이면 경추를 다칠 수 있습니다.
境界	경지	그의 그림은 새로운 경지에 이르렀습니다.
敬礼	경례하다	군인은 국기에 경례했습니다.
敬业	직업에 헌신하다	그녀는 일을 진지하게 하며 매우 직업에 헌신적입니다.
竞赛	경연	학교는 수학 경연을 열었습니다.
竞选	선거에 출마하다	그는 시장 선거에 출마할 준비를 하고 있습니다.
镜头	렌즈	사진사는 렌즈를 조정했습니다.
纠纷	분쟁	양측은 조정을 통해 분쟁을 해결했습니다.
纠正	바로잡다	선생님은 발음 오류를 제때 바로잡았습니다.
酒精	알코올	의사는 알코올로 상처를 소독했습니다.
就近	가까운 곳에서	학생들은 가까운 곳에서 입학할 수 있습니다.
就业	취업	정부는 취업을 촉진하는 정책을 내놓았습니다.
就职	취임하다	새 매니저는 다음 주에 공식적으로 취임합니다.
救济	구제	이재민들은 제때 구제를 받았습니다.
居民	주민	인근 주민들은 소음 공해에 반대합니다.
居住	거주하다	그들은 여기에서 10년 동안 거주했습니다.
拘留	구류하다	경찰은 법에 따라 용의자를 구류했습니다.
拘束	구속되다	친구들 앞에서는 구속될 필요가 없습니다.
鞠躬	절하다	배우는 관객에게 절하며 감사를 표했습니다.
局部	부분적인	의사는 부분 마취만 했습니다.
局面	국면	협상은 긴장된 국면을 개선했습니다.
局势	정세	국제 정세는 여전히 복잡합니다.
局限	한계	이 방법에는 뚜렷한 한계가 있습니다.
举动	행동	그의 행동은 모두를 감동시켰습니다.
举世瞩目	세계의 주목을 받다	이 공사는 세계의 주목을 받는 성과를 거두었습니다.
举足轻重	중요한 역할을 하다	이 회사는 업계에서 중요한 역할을 합니다.
咀嚼	씹다	밥을 먹을 때는 천천히 씹어야 합니다.
沮丧	낙담한	경기에서 진 뒤 그는 매우 낙담했습니다.
剧本	대본	감독은 대본을 수정하고 있습니다.
剧烈	격렬한	땅이 격렬하게 흔들렸습니다.
据悉	알려진 바에 따르면	알려진 바에 따르면 회의는 다음 주로 연기될 것입니다.
聚精会神	정신을 집중하다	아이들은 정신을 집중해서 수업을 들었습니다.
卷	말다	그는 지도를 말아서 가방에 넣었습니다.
倔强	고집 센	이 아이는 성격이 매우 고집 셉니다.
决策	의사 결정	관리층은 중요한 의사 결정을 논의하고 있습니다.
绝望	절망	실패한 뒤 그는 한때 절망을 느꼈습니다.
觉悟	의식	이번 경험은 그의 의식을 높였습니다.
觉醒	각성하다	대중의 환경 보호 의식이 각성하고 있습니다.
军队	군대	군대는 재해 지역에 신속히 도착했습니다.
君子	군자	군자는 말과 행동이 일치해야 합니다.
卡通	만화	아이는 만화 영화를 보는 것을 좋아합니다.
开采	채굴하다	이 회사는 광물을 채굴하는 일을 맡고 있습니다.
开除	제명하다	학교는 부정행위를 한 학생을 제명하기로 결정했습니다.
开阔	탁 트인	산 정상에 서니 시야가 매우 탁 트였습니다.
开朗	명랑한	그녀는 성격이 명랑해서 친구가 많습니다.
开明	개방적인	부모님의 태도는 매우 개방적입니다.
开辟	개설하다	도시는 새로운 버스 노선을 개설했습니다.
开拓	개척하다	회사는 해외 시장을 개척할 계획입니다.
开展	전개하다	학교는 안전 교육 활동을 전개했습니다.
开支	지출	가정의 매월 지출이 늘었습니다.
刊登	게재하다	신문은 그의 글을 게재했습니다.
刊物	간행물	이 간행물은 매월 한 번 출판됩니다.
勘探	탐사	공사팀은 지하 수원을 탐사하고 있습니다.
侃侃而谈	거침없이 말하다	그는 회의에서 거침없이 말했습니다.
砍伐	벌목하다	숲을 함부로 벌목하는 것은 금지되어 있습니다.
看待	바라보다	우리는 이 문제를 객관적으로 바라봐야 합니다.
慷慨	관대한	그는 상금을 관대하게 기부했습니다.
抗议	항의하다	주민들은 새 공장 건설에 항의했습니다.
考察	고찰하다	전문가들은 현장에 가서 환경을 고찰했습니다.
考古	고고학	고고학 팀은 고대 무덤을 발견했습니다.
考核	평가하다	회사는 매년 직원의 성과를 평가합니다.
考验	시험하다	이번 위기는 팀의 능력을 시험했습니다.
靠拢	가까이 모이다	대원들은 가운데로 가까이 모였습니다.
磕	부딪치다	그는 실수로 책상 모서리에 부딪쳤습니다.
科目	과목	수학은 그가 가장 좋아하는 과목입니다.
可观	상당한	이 투자는 상당한 수익을 가져왔습니다.
可口	맛있는	이 식당의 음식은 맛있습니다.
可恶	가증스러운	이런 속임수는 정말 가증스럽습니다.
可行	실행 가능한	이 방안은 기본적으로 실행 가능합니다.
渴望	갈망하다	아이들은 더 많은 기회를 갈망합니다.
克制	억제하다	논쟁할 때는 감정을 억제해야 합니다.
刻不容缓	한시도 늦출 수 없다	수원을 보호하는 일은 한시도 늦출 수 없습니다.
客户	고객	고객은 서비스에 매우 만족합니다.
课题	과제	이 과제는 깊이 연구할 가치가 있습니다.
啃	갉아먹다	아이는 옥수수 한 조각을 갉아먹고 있습니다.
恳切	간절한	그는 모두에게 도와 달라고 간절히 요청했습니다.
坑	구덩이	길가에 아주 깊은 구덩이가 있습니다.
空洞	공허한	이 보고서는 내용이 공허합니다.
空前绝后	전무후무한	이 공연은 전무후무하다고 할 만합니다.
空想	공상	공상만으로는 문제를 해결할 수 없습니다.
空虚	공허한	바쁜 시간이 지나자 그는 공허함을 느꼈습니다.
孔	구멍	벽에 작은 구멍이 하나 있습니다.
恐怖	무서운	그 영화는 분위기가 매우 무섭습니다.
恐吓	협박하다	상대방은 위협으로 증인을 협박했습니다.
恐惧	두려움	어둠은 아이에게 두려움을 느끼게 했습니다.
空白	공백	공백 부분에 서명해 주세요.
空隙	틈	문과 바닥 사이에 틈이 있습니다.
口气	말투	그의 말투는 매우 강경했습니다.
口腔	구강	의사는 그의 구강을 검사했습니다.
口头	구두의	그들은 구두 합의만 가지고 있습니다.
口音	억양	그의 표준 중국어에는 약간의 억양이 있습니다.
扣	채우다	안전벨트를 잘 채워 주세요.
哭泣	울다	소녀는 구석에 숨어 울었습니다.
枯萎	시들다	물이 부족해서 꽃이 시들었습니다.
枯燥	무미건조한	이 일은 조금 무미건조합니다.
苦尽甘来	고생 끝에 낙이 오다	여러 해 버틴 끝에 마침내 고생 끝에 낙이 왔습니다.
苦涩	쓰고 떫은	이 약차는 맛이 쓰고 떫습니다.
挎	팔에 걸치다	그녀는 천 가방을 팔에 걸치고 외출했습니다.
跨	건너다	그는 도랑을 건너 계속 앞으로 걸었습니다.
快活	즐거운	아이들은 잔디밭에서 즐겁게 놀았습니다.
宽敞	넓은	이 교실은 밝고 넓습니다.
宽容	관용	사회에는 더 많은 이해와 관용이 필요합니다.
款待	환대하다	주인은 손님들을 따뜻하게 환대했습니다.
款式	스타일	이 옷의 스타일은 매우 새롭습니다.
筐	바구니	그는 사과 한 바구니를 메고 집으로 돌아갔습니다.
况且	게다가	길이 멀고 게다가 날이 곧 어두워집니다.
旷课	수업을 빼먹다	학생이 이유 없이 수업을 빼먹으면 기록됩니다.
框架	틀	보고서는 먼저 틀을 정해야 합니다.
矿产	광물 자원	이 지역은 광물 자원이 풍부합니다.
亏待	부당하게 대하다	회사는 성실하게 일하는 직원을 부당하게 대하지 않을 것입니다.
亏损	손실	공장은 올해 심각한 손실을 입었습니다.
捆绑	묶다	이 상자들을 단단히 묶어 주세요.
扩充	확충하다	학교는 도서관 장서를 확충할 계획입니다.
扩散	퍼지다	소문은 곧 인터넷에 퍼졌습니다.
扩张	확장하다	회사는 신중하게 사업을 확장하고 있습니다.
啦	어기조사	걱정하지 마세요, 모든 것이 좋아질 것입니다.
喇叭	경적	자동차 경적이 갑자기 울렸습니다.
蜡烛	초	생일 케이크 위에 초가 꽂혀 있었습니다.
来历	내력	이 문화재의 내력은 분명하지 않습니다.
来源	출처	뉴스는 정보 출처를 명시해야 합니다.
栏目	코너	이 코너는 매주 한 번 방송됩니다.
懒惰	게으른	게으름은 학습 효과에 영향을 줄 수 있습니다.
狼狈	난처한	비가 온 뒤 그는 온몸이 젖어 매우 난처해 보였습니다.
狼吞虎咽	허겁지겁 먹다	그는 몹시 배가 고파 허겁지겁 밥을 먹었습니다.
捞	건져 올리다	어부는 강에서 그물 하나를 건져 올렸습니다.
唠叨	잔소리하다	어머니는 항상 사소한 일로 잔소리합니다.
牢固	견고한	이 다리의 구조는 매우 견고합니다.
牢骚	불평	그는 불평이 가득하지만 바꾸려 하지 않습니다.
乐趣	즐거움	독서는 그녀에게 많은 즐거움을 줍니다.
乐意	기꺼이 하다	저는 기꺼이 당신의 이력서 수정을 도와드리겠습니다.
雷达	레이더	레이더가 멀리 있는 비행기를 발견했습니다.
类似	비슷한	비슷한 문제가 예전에도 나타났습니다.
冷酷	냉혹한	그의 말투는 매우 냉혹하게 들렸습니다.
冷落	냉대하다	신입 직원은 자신이 냉대받는다고 느꼈습니다.
冷却	식히다	기계는 수리하기 전에 먼저 식혀야 합니다.
愣	멍해지다	그 소식을 듣고 그는 멍해졌습니다.
黎明	새벽	새벽 무렵 도시는 점차 깨어났습니다.
理睬	상대하다	그는 화가 나서 아무도 상대하지 않았습니다.
理所当然	당연한 것	다른 사람의 도움을 당연한 것으로 여기지 마세요.
理直气壮	당당한	증거가 충분해서 그는 당당하게 말했습니다.
理智	이성	갈등을 만났을 때는 이성을 유지해야 합니다.
礼节	예절	문화마다 서로 다른 예절이 있습니다.
礼尚往来	예의는 서로 오가는 것	이웃 사이에는 예의가 서로 오가는 것을 중시합니다.
里程碑	이정표	이번 성공은 프로젝트의 이정표입니다.
例外	예외	모든 사람이 참석해야 하며 예외는 없습니다.
利害	이해관계	이것은 양측의 이해관계와 관련됩니다.
力求	힘쓰다	우리는 오류를 최소한으로 줄이려고 힘씁니다.
力所能及	능력 범위 안의	능력 범위 안의 일을 해 주세요.
力争	힘써 다투다	팀은 임무를 예정보다 빨리 완수하려고 힘씁니다.
历代	역대	역대 학자들이 모두 이 문제를 연구했습니다.
历来	줄곧	이 도시는 줄곧 교육을 중시해 왔습니다.
立场	입장	그는 회의에서 입장을 밝혔습니다.
立方	입방	이 물탱크는 용량이 3입방미터입니다.
立交桥	입체 교차로	이 입체 교차로는 교통 체증을 완화했습니다.
立体	입체적인	이 그림은 입체감이 매우 강합니다.
立足	기반을 두다	기업은 현지 시장에 기반을 두어야 합니다.
粒	알	책상 위에 쌀알 몇 개가 있습니다.
廉洁	청렴한	공무원은 반드시 청렴함을 유지해야 합니다.
联欢	친목 모임을 하다	학생들은 새해 친목회를 열었습니다.
联络	연락하다	가능한 한 빨리 고객에게 연락해 주세요.
联盟	연맹	몇몇 국가는 무역 연맹을 구성했습니다.
联想	연상하다	이 사진은 나에게 어린 시절을 연상하게 합니다.
连年	여러 해 연속	이 지역은 여러 해 연속 홍수를 겪었습니다.
连锁	체인	이 회사는 체인 슈퍼마켓을 운영합니다.
连同	함께	영수증을 계약서와 함께 보내 주세요.
良心	양심	사람은 양심에 부끄럽지 않게 살아야 합니다.
晾	말리다	그녀는 옷을 베란다에 널어 말렸습니다.
谅解	이해	당신이 우리의 어려움을 이해해 주길 바랍니다.
辽阔	드넓은	초원은 드넓어 끝이 보이지 않습니다.
列举	열거하다	선생님은 세 가지 예를 열거했습니다.
临床	임상	이 약은 임상 시험을 진행 중입니다.
淋	비를 맞다	비 속에 너무 오래 젖어 있지 마세요.
吝啬	인색한	그는 친구들에게 결코 인색하지 않습니다.
伶俐	영리한	이 어린 소녀는 똑똑하고 영리합니다.
凌晨	새벽	비행기는 새벽 세 시에 이륙합니다.
灵感	영감	음악은 그에게 창작 영감을 주었습니다.
灵魂	영혼	자유는 이 작품의 영혼입니다.
灵敏	민감한	이 기기는 반응이 매우 민감합니다.
零星	드문드문한	밤하늘에는 드문드문 불빛이 있었습니다.
领会	이해하다	그는 선생님의 뜻을 곧 이해했습니다.
领事馆	영사관	그는 비자를 처리하러 영사관에 갔습니다.
领土	영토	모든 국가는 영토 보전을 중시합니다.
领悟	깨닫다	실패를 겪은 뒤 그는 책임을 깨달았습니다.
领先	앞서다	그들의 기술은 현재 동종 업계보다 앞서 있습니다.
领袖	지도자	이 지도자는 국민의 깊은 존경을 받습니다.
溜	몰래 빠져나가다	강아지는 문틈으로 몰래 빠져나갔습니다.
流浪	떠돌다	그는 젊었을 때 사방을 떠돌았습니다.
流露	드러내다	그녀의 얼굴에는 기쁨이 드러났습니다.
流氓	불량배	경찰은 거리의 불량배 몇 명을 붙잡았습니다.
流通	유통되다	이 화폐는 한때 현지에서 유통되었습니다.
留恋	아쉬워하다	졸업할 때 모두가 캠퍼스를 아쉬워했습니다.
留念	기념으로 남기다	우리는 학교 정문에서 사진을 찍어 기념으로 남겼습니다.
留神	주의하다	길을 건널 때는 반드시 주의해야 합니다.
聋哑	농아	학교는 농아 아동에게 도움을 제공합니다.
隆重	성대한	대회는 강당에서 성대하게 열렸습니다.
垄断	독점하다	독점은 시장 경쟁을 해칠 수 있습니다.
笼罩	뒤덮다	짙은 안개가 온 마을을 뒤덮었습니다.
搂	껴안다	어머니는 아이를 가볍게 껴안았습니다.
炉灶	화덕	부엌의 화덕은 청소가 필요합니다.
轮船	배	배는 천천히 항구를 떠났습니다.
轮廓	윤곽	멀리 있는 산봉우리의 윤곽이 매우 선명합니다.
轮胎	타이어	자동차 타이어를 교체해야 합니다.
论坛	포럼	전문가들은 포럼에서 연설했습니다.
论证	논증하다	보고서는 관점을 더 논증해야 합니다.
啰唆	장황하다	장황하게 말하지 말고 바로 요점을 말하세요.
络绎不绝	끊임없이 이어지다	관광객들이 끊임없이 고성으로 찾아왔습니다.
落成	준공되다	새 체육관은 내일 공식적으로 준공됩니다.
落实	실행하다	회의는 새 정책을 가능한 한 빨리 실행하라고 요구했습니다.
屡次	여러 차례	그는 여러 차례 모두에게 안전에 주의하라고 일깨웠습니다.
履行	이행하다	양측은 계약 의무를 반드시 이행해야 합니다.
掠夺	약탈하다	전쟁은 자원 약탈을 초래했습니다.
嘛	어기조사	이 일은 아주 간단하잖아요.
麻痹	마비되다	오랫동안 순조로우면 사람이 방심하기 쉽습니다.
麻木	무감각한	추위 때문에 그의 손가락이 무감각해졌습니다.
麻醉	마취하다	수술 전에 의사는 환자를 마취했습니다.
码头	부두	화물선은 부두 옆에 정박했습니다.
蚂蚁	개미	개미들이 먹이를 나르고 있습니다.
埋伏	매복하다	군인들은 골짜기에 매복했습니다.
埋没	묻히다	인재가 묻히게 해서는 안 됩니다.
埋葬	매장하다	마을 사람들은 노인을 산비탈에 매장했습니다.
脉搏	맥박	간호사가 그의 맥박을 재고 있습니다.
迈	내딛다	그는 큰 걸음으로 문 쪽을 향해 걸어갔습니다.
埋怨	원망하다	항상 다른 사람을 원망하지 마세요.
慢性	만성의	만성 질병은 장기 치료가 필요합니다.
漫长	긴	그들은 긴 기다림을 겪었습니다.
漫画	만화	이 만화는 젊은 사람들에게 인기가 많습니다.
蔓延	번지다	불길은 빠르게 숲 깊은 곳으로 번졌습니다.
忙碌	바쁜	연말은 회사에서 가장 바쁜 시기입니다.
盲目	맹목적인	투자는 맹목적으로 유행을 따라서는 안 됩니다.
茫茫	망망한	배는 망망대해 속으로 사라졌습니다.
茫然	멍한	설명을 듣고도 그는 여전히 멍한 표정이었습니다.
冒充	사칭하다	누군가 경찰을 사칭해 돈을 가로챘습니다.
冒犯	불쾌하게 하다	제 말은 당신을 불쾌하게 하려는 뜻이 아니었습니다.
茂盛	무성한	마당의 나무들이 매우 무성하게 자라고 있습니다.
媒介	매개체	인터넷은 중요한 정보 매개체입니다.
枚	개	그는 기념주화 몇 개를 수집했습니다.
美观	보기 좋은	이 디자인은 실용적이면서도 보기 좋습니다.
美满	행복한	그들은 행복한 생활을 하고 있습니다.
美妙	아름다운	음악회는 아름다운 경험을 가져다주었습니다.
萌芽	싹트다	새로운 생각이 싹트기 시작했습니다.
猛烈	맹렬한	폭풍우가 매우 맹렬하게 몰아쳤습니다.
眯	눈을 가늘게 뜨다	햇빛이 너무 강해서 그는 눈을 가늘게 떴습니다.
弥补	메우다	사과만으로는 손실을 완전히 메울 수 없습니다.
弥漫	가득 퍼지다	꽃향기가 마당에 가득 퍼졌습니다.
谜语	수수께끼	아이들은 수수께끼 맞히기를 좋아합니다.
迷惑	혼란스럽게 하다	복잡한 데이터가 그를 혼란스럽게 했습니다.
迷人	매혹적인	바닷가의 야경은 매우 매혹적입니다.
迷信	미신	과학 교육은 미신을 줄일 수 있습니다.
密度	밀도	이 금속의 밀도는 높습니다.
密封	밀봉하다	개봉한 뒤에는 봉지를 다시 밀봉해 주세요.
棉花	목화	농민들은 목화를 따고 있습니다.
免得	하지 않도록	늦지 않도록 일찍 출발하세요.
免疫	면역	이 백신은 면역 능력을 높일 수 있습니다.
勉励	격려하다	선생님은 학생들이 꾸준히 공부하도록 자주 격려합니다.
勉强	마지못해	그는 이 배치에 마지못해 동의했습니다.
面貌	모습	도시의 모습은 큰 변화를 겪었습니다.
面子	체면	그는 사람들 앞에서 체면을 잃고 싶지 않았습니다.
描绘	묘사하다	소설은 시골 생활을 묘사했습니다.
瞄准	조준하다	사수는 목표물을 조준했습니다.
渺小	보잘것없는	사람은 대자연 앞에서 매우 보잘것없어 보입니다.
藐视	얕보다	우리는 어떤 상대도 얕보아서는 안 됩니다.
灭亡	멸망하다	이 왕조는 결국 멸망으로 향했습니다.
蔑视	멸시	그의 말투에는 멸시가 가득했습니다.
民间	민간	민간 예술은 보호가 필요합니다.
民主	민주	회의는 민주 투표 방식을 사용했습니다.
敏捷	민첩한	운동선수의 동작은 매우 민첩했습니다.
敏锐	예리한	기자는 예리한 관찰력이 필요합니다.
名次	순위	그녀는 경기에서 좋은 순위를 얻었습니다.
名额	정원	이 프로그램에는 정원이 열 명뿐입니다.
名副其实	명실상부한	그는 명실상부한 전문가입니다.
名誉	명예	이 일은 회사의 명예를 손상시켰습니다.
明明	분명히	그는 분명히 답을 알면서도 말하려 하지 않았습니다.
明智	현명한	결정을 미루는 것은 현명한 선택입니다.
命名	명명하다	과학자들은 새로운 종에 이름을 붙였습니다.
摸索	모색하다	팀은 아직 새로운 방법을 모색하고 있습니다.
摩擦	마찰	두 나라 사이에 무역 마찰이 생겼습니다.
模范	모범	그는 전교 학생들의 모범입니다.
模式	모델	이런 비즈니스 모델은 매우 성공적입니다.
模型	모형	엔지니어는 다리 모형을 만들었습니다.
磨合	호흡을 맞추다	새 팀은 호흡을 맞출 시간이 필요합니다.
膜	막	이 막은 불순물을 여과할 수 있습니다.
魔鬼	악마	이야기 속 악마는 매우 교활했습니다.
魔术	마술	아이들은 마술 공연 보기를 좋아합니다.
抹杀	말살하다	그의 공헌을 말살해서는 안 됩니다.
墨水儿	잉크	만년필 속 잉크가 거의 다 떨어졌습니다.
莫名其妙	영문을 알 수 없는	그의 반응은 사람들을 영문을 알 수 없게 만들었습니다.
默默	묵묵히	그녀는 묵묵히 많은 사람을 도왔습니다.
谋求	추구하다	기업은 새로운 발전 기회를 추구하고 있습니다.
模样	모습	그의 지금 모습은 많이 달라졌습니다.
母语	모국어	아이들은 어릴 때부터 모국어를 배웁니다.
沐浴	목욕하다	아침의 마을은 햇빛에 잠겨 있었습니다.
目睹	목격하다	많은 사람들이 이 사고를 목격했습니다.
目光	시선	모두의 시선이 무대에 집중되었습니다.
拿手	잘하는	훙사오 생선은 그의 특기 요리입니다.
纳闷儿	의아해하다	나는 그가 왜 늦었는지 계속 의아했습니다.
耐用	내구성이 있는	이 신발은 내구성이 좋습니다.
南辕北辙	목표와 반대로 가다	그의 방법은 목표와 정반대로 가고 있습니다.
难得	드문	이것은 드문 기회입니다.
难堪	난처한	이 문제는 그를 매우 난처하게 했습니다.
