simplified	FR	example_FR	DE	example_DE
糖	le sucre; le bonbon	J'ai envie de manger un bonbon.	der Zucker; die Süßigkeit	Ich möchte ein Bonbon essen.
躺	s'allonger; être couché	Elle s'est endormie allongée sur le lit.	liegen; sich hinlegen	Sie lag im Bett und schlief ein.
趟	le trajet; la fois	Le mois dernier, je suis allé une fois à Pékin.	die Fahrt; das Mal	Letzten Monat war ich einmal in Peking.
讨论	discuter	Organisons une réunion pour en discuter.	diskutieren	Lass uns eine Besprechung machen und darüber diskutieren.
讨厌	détester; agaçant	Ce temps est vraiment agaçant.	hassen; lästig	Dieses Wetter ist wirklich ärgerlich.
特点	la caractéristique	La particularité de ce restaurant, c'est que les plats sont très frais.	das Merkmal; die Besonderheit	Die Besonderheit dieses Restaurants ist, dass die Gerichte sehr frisch sind.
提	porter; soulever	Soulève ce sac, s'il te plaît.	heben; tragen	Bitte heb diese Tasche hoch.
提供	fournir; offrir	La bibliothèque offre à tous un environnement de lecture calme.	anbieten; bereitstellen	Die Bibliothek bietet allen eine ruhige Leseumgebung.
提前	à l'avance; avancer	Nous avons terminé la tâche en avance.	im Voraus; vorzeitig	Wir haben die Aufgabe vorzeitig erledigt.
提醒	rappeler; avertir	Je le lui ai déjà rappelé, mais il a quand même oublié.	erinnern; mahnen	Ich habe ihn schon daran erinnert, aber er hat es trotzdem vergessen.
填空	remplir les blancs	C'est une question à trous.	Lücken ausfüllen	Das ist eine Lückentextaufgabe.
条件	la condition; les critères	Elle correspond très bien à nos critères de recrutement.	die Bedingung; die Voraussetzung	Sie erfüllt unsere Einstellungskriterien sehr gut.
停	s'arrêter; garer	La voiture s'est arrêtée.	halten; anhalten	Das Auto hielt an.
挺	assez; plutôt	Ce livre est plutôt intéressant.	ziemlich; recht	Dieses Buch ist ziemlich gut.
通过	réussir; passer par	J'ai déjà réussi l'examen.	bestehen; durch	Ich habe die Prüfung schon bestanden.
通知	informer; prévenir	Veuillez prévenir tout le monde de venir à la réunion.	benachrichtigen; mitteilen	Bitte informieren Sie alle, zur Besprechung zu kommen.
同情	la compassion; compatir	J'ai beaucoup de compassion pour lui.	das Mitgefühl; mitfühlen	Ich habe großes Mitgefühl mit ihm.
同时	en même temps	Il écoute de la musique tout en faisant ses devoirs.	gleichzeitig	Er hört Musik und macht gleichzeitig Hausaufgaben.
推	pousser	Ma voiture est en panne, peux-tu m'aider à la pousser ?	schieben	Mein Auto ist kaputt, kannst du mir bitte helfen, es zu schieben?
推迟	reporter; retarder	L'heure de départ de l'avion a été retardée de vingt minutes.	verschieben; verzögern	Die Abflugzeit des Flugzeugs wurde um zwanzig Minuten verschoben.
脱	enlever; se déshabiller	La chambre est chaude, enlève ton manteau.	ausziehen; ablegen	Das Zimmer ist warm, zieh den Mantel aus.
袜子	les chaussettes	J'ai lavé mes chaussettes.	die Socken	Ich habe meine Socken sauber gewaschen.
完全	complètement; tout à fait	Ton jugement est entièrement correct.	völlig; vollständig	Deine Beurteilung ist völlig richtig.
往往	souvent; fréquemment	Le dimanche, il va souvent se promener au parc.	oft; häufig	Sonntags geht er oft im Park spazieren.
网球	le tennis	Je n'ai commencé à apprendre le tennis que récemment.	das Tennis	Ich habe erst vor Kurzem angefangen, Tennis zu lernen.
网站	le site web	Il y a beaucoup de ressources en chinois sur ce site web.	die Webseite; die Website	Auf dieser Website gibt es viele chinesische Materialien.
危险	dangereux; le danger	Il est dangereux de grimper seul en montagne le soir.	gefährlich; die Gefahr	Abends allein auf den Berg zu steigen ist gefährlich.
卫生间	les toilettes; la salle de bains	Excusez-moi, où sont les toilettes ?	die Toilette; das Badezimmer	Entschuldigung, wo ist die Toilette?
味道	le goût; l'odeur	Les baozi de ce restaurant sont très bons.	der Geschmack; der Geruch	Die Baozi in diesem Restaurant schmecken sehr gut.
温度	la température	En entrant dans l'hiver, la température baisse de plus en plus.	die Temperatur	Im Winter wird die Temperatur immer niedriger.
文章	l'article; le texte	La partie la plus importante de l'article est le troisième paragraphe.	der Artikel; der Aufsatz	Der wichtigste Teil des Artikels ist der dritte Absatz.
污染	la pollution	La pollution de l'environnement devient de plus en plus grave maintenant.	die Verschmutzung; die Umweltverschmutzung	Die Umweltverschmutzung wird jetzt immer schlimmer.
无	sans; ne pas avoir	Ses paroles sont sans fondement.	ohne; -los	Seine Worte sind unbegründet.
无聊	ennuyeux; sans intérêt	Cette émission est un peu ennuyeuse.	langweilig	Diese Sendung ist etwas langweilig.
无论	peu importe; quel que soit	Peu importe comment je l'explique, il ne comprend pas.	egal; gleichgültig	Egal wie ich es erkläre, er versteht es nicht.
误会	mal comprendre; le malentendu	Désolé, je t'ai mal compris.	missverstehen; das Missverständnis	Entschuldigung, ich habe dich missverstanden.
吸引	attirer	Ce film est très attirant.	anziehen; faszinieren	Dieser Film ist sehr anziehend.
西红柿	la tomate	J'ai acheté des tomates.	die Tomate	Ich habe ein paar Tomaten gekauft.
咸	salé	Il y a trop de sel, le plat est un peu salé.	salzig	Es ist zu viel Salz drin, das Gericht ist etwas salzig.
现金	l'argent liquide	Je n'ai pas beaucoup d'argent liquide sur moi, mais le magasin accepte la carte.	das Bargeld	Ich habe nicht viel Bargeld dabei, aber das Geschäft akzeptiert Karten.
羡慕	envier; jaloux	J'envie le fait qu'il ait un bon travail.	beneiden; neidisch sein	Ich beneide ihn darum, dass er eine gute Arbeit hat.
相反	contraire; opposé	Ce que tu dis est exactement le contraire de ce que je comprends.	das Gegenteil; entgegengesetzt	Was du sagst, ist genau das Gegenteil von dem, was ich verstehe.
相同	identique; pareil	Ton vélo est exactement le même que le mien.	gleich; identisch	Dein Fahrrad ist genau gleich wie meines.
香	parfumé; savoureux	Les plats que tu cuisines sont vraiment délicieux !	duftend; lecker	Die Gerichte, die du kochst, duften wirklich gut!
详细	détaillé	Le plan qu'elle a fait est très détaillé.	detailliert	Der Plan, den sie gemacht hat, ist sehr detailliert.
响	sonner; résonner	Écoute, est-ce que le téléphone a sonné ?	klingeln; ertönen	Hör mal, hat das Telefon geklingelt?
橡皮	la gomme	Peux-tu me prêter ta gomme un instant ?	der Radiergummi	Kannst du mir kurz deinen Radiergummi leihen?
消息	la nouvelle; l'information	Cette nouvelle est vraiment enthousiasmante.	die Nachricht; die Information	Diese Nachricht ist wirklich aufregend.
小吃	le snack; la spécialité locale	Quand tu viens à Pékin, tu dois absolument goûter les spécialités locales de Pékin.	der Snack; die kleine Spezialität	Wenn du nach Peking kommst, musst du unbedingt die Pekinger Snacks probieren.
小伙子	le jeune homme	Ce jeune homme est très chaleureux.	der junge Mann	Dieser junge Mann ist sehr herzlich.
小说	le roman	Je suis en train de lire ce roman.	der Roman	Ich lese gerade diesen Roman.
效果	l'effet	Ce médicament contre le rhume est très efficace.	die Wirkung	Dieses Erkältungsmittel wirkt sehr gut.
笑话	la blague; se moquer de	Ne te moque pas des autres, s'il te plaît.	der Witz; auslachen	Bitte lache andere nicht aus.
心情	l'humeur	Son humeur s'est améliorée.	die Stimmung	Seine Stimmung hat sich gebessert.
辛苦	dur; pénible	Le travail de papa est très dur.	hart; mühsam	Papas Arbeit ist sehr hart.
信封	l'enveloppe	Il a mis la lettre écrite dans l'enveloppe.	der Umschlag	Er legte den geschriebenen Brief in den Umschlag.
信息	l'information	Envoie-moi tes coordonnées, s'il te plaît.	die Information	Bitte schick mir deine Kontaktdaten.
信心	la confiance	Nous avons beaucoup confiance en toi, tu vas y arriver.	das Vertrauen; das Selbstvertrauen	Wir haben großes Vertrauen in dich, du schaffst das bestimmt.
兴奋	excité; l'excitation	Les enfants ont sauté de joie en apprenant qu'ils allaient faire une sortie de printemps.	aufgeregt; die Aufregung	Als die Kinder hörten, dass sie einen Frühlingsausflug machen würden, sprangen sie aufgeregt hoch.
行	aller; convenir	Est-ce que ça va comme ça ?	in Ordnung sein; gehen	Ist das so in Ordnung?
醒	se réveiller; être éveillé	Je me suis réveillé à six heures du matin.	aufwachen; wach sein	Ich bin morgens um sechs Uhr aufgewacht.
幸福	le bonheur	L'argent ne peut pas acheter le bonheur.	das Glück	Geld kann kein Glück kaufen.
性别	le genre; le sexe	Veuillez indiquer le sexe à la deuxième ligne du formulaire.	das Geschlecht	Bitte tragen Sie in der zweiten Zeile des Formulars das Geschlecht ein.
性格	le caractère; la personnalité	Ma femme a un très bon caractère et ne se met jamais en colère.	der Charakter; die Persönlichkeit	Meine Frau hat einen sehr guten Charakter und verliert nie die Beherrschung.
修理	réparer; la réparation	Après la réparation, mon ordinateur peut à nouveau fonctionner normalement.	reparieren; die Reparatur	Nach der Reparatur kann mein Computer wieder normal arbeiten.
许多	beaucoup de; de nombreux	Il y a beaucoup de poubelles dans la rue.	viele; zahlreiche	Auf der Straße gibt es viele Mülleimer.
学期	le semestre; le trimestre	Ce semestre, j'ai choisi beaucoup de cours, dont l'art, l'histoire et l'économie.	das Semester; das Schulhalbjahr	Dieses Semester habe ich viele Kurse gewählt, darunter Kunst, Geschichte und Wirtschaft.
呀	ah; particule modale	Ah, il neige !	ach; Modalpartikel	Ach, es schneit!
压力	la pression	Il a beaucoup de pression au travail ces derniers temps.	der Druck	Er hat in letzter Zeit großen Arbeitsdruck.
牙膏	le dentifrice	Il n'y a plus de dentifrice, allons en acheter demain.	die Zahnpasta	Die Zahnpasta ist aufgebraucht, lass uns morgen welche kaufen.
亚洲	l'Asie; asiatique	La Chine est un pays asiatique.	Asien; asiatisch	China ist ein asiatisches Land.
严格	strict; rigoureux	Le professeur est très strict avec nous.	streng	Der Lehrer ist sehr streng mit uns.
严重	grave; sérieux	Sa maladie est grave.	ernst; schwer	Seine Krankheit ist ernst.
盐	le sel	Il y a trop de sel, le plat est un peu salé.	das Salz	Es ist zu viel Salz drin, das Gericht ist etwas salzig.
研究	la recherche; étudier	Il étudie cette question.	die Forschung; erforschen	Er untersucht dieses Problem.
演出	la représentation; jouer	Lors de sa première représentation, il était nerveux.	die Aufführung; auftreten	Bei der ersten Aufführung war er nervös.
演员	l'acteur; l'actrice	C'est un acteur célèbre.	der Schauspieler; die Schauspielerin	Er ist ein berühmter Schauspieler.
眼镜	les lunettes	Il porte ces lunettes noires.	die Brille	Er trägt diese schwarze Brille.
阳光	la lumière du soleil	La lumière du soleil est entrée dans la chambre par la fenêtre.	das Sonnenlicht	Das Sonnenlicht kam durch das Fenster ins Zimmer.
养成	prendre; former	J'ai pris cette habitude depuis mon enfance.	sich angewöhnen; bilden	Ich habe mir diese Gewohnheit schon als Kind angeeignet.
样子	l'apparence; l'allure	Ce vêtement a très belle allure.	das Aussehen; die Art	Dieses Kleidungsstück sieht sehr gut aus.
邀请	inviter; l'invitation	Il a refusé l'invitation de tout le monde.	einladen; die Einladung	Er hat die Einladung aller abgelehnt.
要是	si	Si tu arrives en premier, attends-moi un moment.	wenn	Wenn du zuerst kommst, warte kurz auf mich.
钥匙	la clé	Aujourd'hui, j'ai oublié d'apporter la clé.	der Schlüssel	Ich habe heute vergessen, den Schlüssel mitzunehmen.
也许	peut-être	Il ne viendra peut-être pas.	vielleicht	Vielleicht kommt er nicht.
叶子	la feuille	Le printemps est arrivé, et les jeunes arbres ont fait de nouvelles feuilles.	das Blatt	Der Frühling ist da, und die kleinen Bäume haben neue Blätter bekommen.
页	la page	Veuillez tourner à la page dix.	die Seite	Bitte schlagen Sie Seite zehn auf.
一切	tout	Tout à la maison est sous la responsabilité de maman.	alles	Zu Hause ist Mama für alles verantwortlich.
以	prendre comme; selon	Veuillez prendre cette phrase comme exemple.	als; nach	Bitte nimm diesen Satz als Beispiel.
以为	penser; croire	Je pensais que tu étais déjà parti.	glauben; denken	Ich dachte, du wärst schon gegangen.
意见	l'avis; la suggestion	J'accepte tous tes avis.	die Meinung; der Vorschlag	Ich akzeptiere alle deine Meinungen.
艺术	l'art	Je m'intéresse beaucoup à l'art.	die Kunst	Ich interessiere mich sehr für Kunst.
因此	donc; par conséquent	Il était malade, donc il n'est pas venu en cours.	deshalb; daher	Er war krank, deshalb kam er nicht zum Unterricht.
引起	causer; provoquer	Cette affaire a provoqué le mécontentement de tout le monde.	verursachen; hervorrufen	Diese Sache hat bei allen Unzufriedenheit hervorgerufen.
印象	l'impression	Il m'a laissé une très bonne impression.	der Eindruck	Er hat bei mir einen sehr guten Eindruck hinterlassen.
赢	gagner	Qui a gagné le match de football d'hier ?	gewinnen	Wer hat das Fußballspiel gestern gewonnen?
应聘	postuler	Elle veut postuler à ce travail.	sich bewerben	Sie möchte sich auf diese Stelle bewerben.
勇敢	courageux	Mon frère aîné est quelqu'un de très courageux.	mutig	Mein älterer Bruder ist ein sehr mutiger Mensch.
永远	pour toujours; jamais	Je n'oublierai jamais l'aide que tu m'as apportée.	für immer; nie	Ich werde deine Hilfe für mich nie vergessen.
优点	la qualité; le point fort	On ne doit pas comparer ses propres défauts aux qualités des autres.	der Vorteil; die Stärke	Man sollte die eigenen Schwächen nicht mit den Stärken anderer vergleichen.
优秀	excellent; remarquable	C'est un très bon médecin.	ausgezeichnet; hervorragend	Er ist ein sehr guter Arzt.
幽默	l'humour; humoristique	Le professeur Li parle avec beaucoup d'humour.	der Humor; humorvoll	Professor Li spricht sehr humorvoll.
尤其	surtout; en particulier	Il aime peindre, surtout la peinture chinoise.	besonders; insbesondere	Er malt gern, besonders chinesische Malerei.
由	par; être à la charge de	Cet événement sera organisé par nous.	von; durch	Diese Veranstaltung wird von uns organisiert.
由于	à cause de; en raison de	À cause de la pluie, le match a été reporté.	wegen; aufgrund	Wegen des Regens wurde das Spiel verschoben.
邮局	la poste	La poste ouvre à neuf heures du matin.	die Post	Die Post öffnet morgens um neun Uhr.
友好	amical; sympathique	Mon propriétaire est très aimable et m'aide souvent.	freundlich	Mein Vermieter ist sehr freundlich und hilft mir oft.
友谊	l'amitié	Il y a une profonde amitié entre nous.	die Freundschaft	Zwischen uns besteht eine tiefe Freundschaft.
有趣	intéressant; amusant	C'est vraiment un rêve intéressant !	interessant; lustig	Das ist wirklich ein interessanter Traum!
于是	alors; donc	Je voulais lui demander quelque chose, alors je l'ai appelé.	daraufhin; also	Ich wollte ihn etwas fragen, also rief ich ihn an.
愉快	agréable; joyeux	Bon week-end !	angenehm; fröhlich	Schönes Wochenende!
与	avec; et	Il est très sûr de lui et aime rivaliser avec les autres.	mit; und	Er ist sehr selbstbewusst und konkurriert gern mit anderen.
羽毛球	le badminton	Joues-tu souvent au badminton ?	das Badminton	Spielst du oft Badminton?
语法	la grammaire	J'ai appris quelques connaissances de grammaire de base.	die Grammatik	Ich habe einige grundlegende Grammatikkenntnisse gelernt.
语言	la langue	Apprendre une langue exige une certaine compréhension de sa grammaire.	die Sprache	Eine Sprache zu lernen erfordert ein gewisses Verständnis ihrer Grammatik.
预习	préparer la leçon	Veuillez bien préparer le texte.	vorbereiten; vorlernen	Bitte bereitet den Text gut vor.
原来	d'origine; d'avant	J'habite encore au même endroit qu'avant.	ursprünglich; früher	Ich wohne noch am selben Ort wie früher.
原谅	pardonner	Pardonne-moi ce que je viens de dire.	verzeihen	Bitte verzeih mir, was ich eben gesagt habe.
原因	la raison; la cause	Il a expliqué la raison très clairement.	der Grund; die Ursache	Er hat den Grund sehr klar erklärt.
约会	le rendez-vous; sortir avec	Elle a commencé à sortir avec Xiao Li.	die Verabredung; das Date	Sie hat angefangen, sich mit Xiao Li zu verabreden.
阅读	lire; la lecture	Je suis en train de lire ce roman.	lesen; die Lektüre	Ich lese gerade diesen Roman.
云	le nuage	Il y a de plus en plus de nuages dans le ciel.	die Wolke	Am Himmel gibt es immer mehr Wolken.
允许	permettre; autoriser	Permettez-moi de me présenter brièvement.	erlauben	Bitte erlauben Sie mir, mich kurz vorzustellen.
杂志	le magazine; la revue	Les articles de ce magazine sont tous très bien écrits.	die Zeitschrift	Die Artikel in dieser Zeitschrift sind alle sehr gut geschrieben.
咱们	nous; on	Combien sont nos frais de vie ce mois-ci ?	wir; uns	Wie hoch sind unsere Lebenshaltungskosten diesen Monat?
暂时	temporairement; pour le moment	Il a temporairement garé la voiture au bord de la route.	vorübergehend; einstweilen	Er parkte das Auto vorübergehend am Straßenrand.
脏	sale	J'ai accidentellement sali mes vêtements.	schmutzig	Ich habe aus Versehen meine Kleidung schmutzig gemacht.
责任	la responsabilité	Nous sommes tous responsables de cette affaire.	die Verantwortung	Wir alle tragen Verantwortung für diese Sache.
增加	augmenter	Le nombre d'étudiants a augmenté cette année.	erhöhen; zunehmen	Die Zahl der Schüler ist dieses Jahr gestiegen.
占线	occupé; ligne occupée	J'ai appelé plusieurs fois de suite, et sa ligne était toujours occupée.	besetzt	Ich habe mehrmals hintereinander angerufen, aber seine Leitung war immer besetzt.
招聘	recruter; le recrutement	L'entreprise recrute de nouveaux employés.	einstellen; die Stellenausschreibung	Die Firma stellt neue Mitarbeiter ein.
照	selon; suivre	Suis ce plan.	nach; befolgen	Folge diesem Plan.
真正	vrai; véritable	Un véritable ami t'aide quand tu rencontres des difficultés.	wirklich; echt	Ein echter Freund hilft dir, wenn du auf Schwierigkeiten stößt.
整理	ranger; organiser	Veuillez ranger les livres sur la table.	aufräumen; ordnen	Bitte räumen Sie die Bücher auf dem Tisch auf.
正常	normal	Après la réparation, mon ordinateur peut à nouveau fonctionner normalement.	normal	Nach der Reparatur kann mein Computer wieder normal arbeiten.
正好	juste; exactement	Ce que tu dis est exactement le contraire de ce que je comprends.	genau; gerade richtig	Was du sagst, ist genau das Gegenteil von dem, was ich verstehe.
正确	correct	Ton jugement est entièrement correct.	richtig; korrekt	Deine Beurteilung ist völlig richtig.
正式	officiel; formel	La compétition commence officiellement maintenant.	offiziell; formell	Jetzt beginnt der Wettbewerb offiziell.
证明	prouver; la preuve	Les faits prouvent qu'il a raison.	beweisen; der Beweis	Die Fakten beweisen, dass er recht hat.
之	de; particule littéraire	C'est une des parties de la culture chinoise.	literarische Partikel; von	Das ist ein Teil der chinesischen Kultur.
支持	soutenir	Nous deux devons nous soutenir mutuellement.	unterstützen	Wir beide müssen einander unterstützen.
知识	la connaissance; le savoir	J'ai acquis beaucoup de connaissances en lisant.	das Wissen	Beim Lesen habe ich viel Wissen erworben.
值得	valoir la peine	Ce roman vaut la peine d'être lu.	wert sein; sich lohnen	Dieser Roman ist lesenswert.
植物	la plante	Cette plante a besoin de beaucoup de lumière du soleil.	die Pflanze	Diese Pflanze braucht viel Sonnenlicht.
直接	direct; directement	Après le travail, il est rentré directement chez lui.	direkt	Nach der Arbeit ging er direkt nach Hause.
职业	la profession	Quelle est ta profession idéale ?	der Beruf	Was ist dein idealer Beruf?
只好	être obligé de; ne pas avoir le choix	Il pleuvait trop fort, nous avons dû rester à la maison.	nur können; gezwungen sein	Der Regen war so stark, dass wir zu Hause bleiben mussten.
只要	du moment que; tant que	Tant que tu fais des efforts, tu réussiras à bien faire cette chose.	solange; wenn nur	Solange du dich anstrengst, kannst du diese Sache gut erledigen.
指	montrer; indiquer	Merci d'avoir signalé mon erreur.	zeigen; hinweisen	Danke, dass du mich auf meinen Fehler hingewiesen hast.
至少	au moins	Ce bâtiment mesure au moins cent mètres de haut.	mindestens	Dieses Gebäude ist mindestens hundert Meter hoch.
质量	la qualité	La qualité de cette paire de chaussures est très bonne.	die Qualität	Die Qualität dieser Schuhe ist sehr gut.
重	lourd; grave	Cette boîte est très lourde.	schwer	Diese Kiste ist sehr schwer.
重点	le point clé; la priorité	Ce qu'il vient de dire est justement le point clé du problème.	der Schwerpunkt; der Kernpunkt	Was er gerade gesagt hat, ist der Kern des Problems.
重视	attacher de l'importance à; valoriser	Les parents attachent beaucoup d'importance à l'éducation des enfants.	wertschätzen; wichtig nehmen	Eltern legen großen Wert auf die Bildung ihrer Kinder.
周围	autour; les environs	Il y a beaucoup de magasins autour de l'école.	die Umgebung; um ... herum	Um die Schule herum gibt es viele Geschäfte.
主意	l'idée; le plan	Si tu as une bonne idée, dis-la pour qu'on l'entende.	die Idee; der Einfall	Wenn du eine gute Idee hast, sag sie uns.
祝贺	féliciter; les félicitations	Félicitations pour vos bons résultats.	gratulieren; der Glückwunsch	Glückwunsch zu euren guten Ergebnissen.
著名	célèbre; connu	C'est un acteur célèbre.	berühmt; bekannt	Er ist ein berühmter Schauspieler.
专门	spécialement; exprès	Je suis venu spécialement te voir.	speziell; eigens	Ich bin eigens gekommen, um dich zu sehen.
专业	la spécialité; le domaine d'études	J'étudie le droit à l'université.	das Fach; die Studienrichtung	Ich studiere an der Universität Rechtswissenschaft.
转	tourner; changer de direction	Tourne à gauche au premier carrefour devant toi et tu verras l'hôpital.	abbiegen; drehen	Biege an der ersten Kreuzung vor dir links ab, dann siehst du das Krankenhaus.
赚	gagner; faire un profit	Il a gagné pas mal d'argent dans les affaires.	verdienen; Gewinn machen	Er hat mit Geschäften ziemlich viel Geld verdient.
准确	précis; exact	Ta réponse est très précise.	genau; präzise	Deine Antwort ist sehr genau.
准时	à l'heure; ponctuel	La réunion a commencé à l'heure.	pünktlich	Die Besprechung begann pünktlich.
仔细	attentif; soigneux	Elle fait les choses avec beaucoup de soin.	sorgfältig; aufmerksam	Sie erledigt Dinge sehr sorgfältig.
自然	naturel; la nature	Nous devons protéger l'environnement naturel.	natürlich; die Natur	Wir müssen die natürliche Umwelt schützen.
自信	confiant; la confiance en soi	Il est très sûr de lui et aime rivaliser avec les autres.	selbstbewusst; das Selbstvertrauen	Er ist sehr selbstbewusst und konkurriert gern mit anderen.
总结	résumer; le résumé	Veuillez résumer pour nous votre expérience de réussite.	zusammenfassen; die Zusammenfassung	Bitte fassen Sie für uns Ihre Erfolgserfahrungen zusammen.
租	louer	J'ai loué une maison près de l'entreprise.	mieten	Ich habe in der Nähe der Firma ein Haus gemietet.
最好	le meilleur; il vaut mieux	C'est ma meilleure amie.	am besten; der beste	Sie ist meine beste Freundin.
尊重	respecter; le respect	Les personnes honnêtes méritent notre respect.	respektieren; der Respekt	Ehrliche Menschen verdienen unseren Respekt.
左右	environ; à peu près	Il a l'air d'avoir environ quarante ans.	ungefähr; etwa	Er sieht ungefähr vierzig Jahre alt aus.
作家	l'écrivain; l'écrivaine	As-tu lu les romans de cet écrivain ?	der Schriftsteller; die Schriftstellerin	Hast du die Romane dieses Schriftstellers gelesen?
作用	l'effet; la fonction	Ce médicament contre le rhume n'a pas beaucoup d'effet sur moi.	die Wirkung; die Funktion	Dieses Erkältungsmittel hat bei mir kaum Wirkung.
作者	l'auteur; l'autrice	L'auteur de ce livre est très connu.	der Autor; die Autorin	Der Autor dieses Buches ist sehr bekannt.
座	classificateur pour bâtiments/sièges; le siège	Il y a un petit pont sur la rivière.	Zähleinheitswort für Gebäude/Sitze; der Sitz	Über dem Fluss gibt es eine kleine Brücke.
座位	la place; le siège	Il a cédé sa place à une personne âgée.	der Sitzplatz	Er hat seinen Sitzplatz einer älteren Person überlassen.
