simplified	SL	example_SL
鲜艳	živih barv; sijoč	Barva tega krila je zelo živa.
显得	zdeti se; videti je	V teh oblačilih je videti zelo mlad.
显然	očitno; jasno	Očitno je že izvedel rezultat.
显示	prikazati; pokazati	Zaslon kaže napačen čas.
县	okraj; okrožje	V tem okraju je veliko čajnih nasadov.
现代	sodoben; moderni časi	Sodobno življenje si težko predstavljamo brez interneta.
现实	resničnost; realnost	Sočiti se moramo z resničnostjo.
现象	pojav	Ta pojav je zelo pogost.
限制	omejiti; omejitev	Tukaj je vstop vozil omejen.
相处	razumeti se; shajati drug z drugim	Zelo dobro se razumejo.
相当	precej; ustrezen; enakovreden	Ta knjiga je precej zanimiva.
相对	relativno; nasproten	Cene tukaj so relativno nizke.
相关	povezan; ustrezen; relevanten	Prosim, predložite ustrezno gradivo.
相似	podoben; biti podoben	Pomena teh dveh pismenk sta zelo podobna.
香肠	klobasa	Za zajtrk so jajca in klobasa.
享受	uživati; užitek	Uživajo na počitnicah.
想念	pogrešati	Zelo pogrešam družino.
想象	predstavljati si	Ne morem si predstavljati takšnega življenja.
象棋	kitajski šah	Dedek rad igra kitajski šah.
象征	simbol; simbolizirati	Bela pogosto simbolizira čistost.
项	postavka; naloga; projekt	Ta naloga je zelo pomembna.
项链	ogrlica	Nosi srebrno ogrlico.
项目	projekt; postavka; športna disciplina	Ta projekt bo trajal tri mesece.
消费	potrošnja; porabiti	Med prazniki se je potrošnja povečala.
消化	prebaviti; prebava	Sprehod po jedi pomaga prebavi.
消极	negativen; pasiven	Ne glej na težave z negativnim odnosom.
消失	izginiti	Sonce je počasi izginilo za goro.
销售	prodajati; prodaja	To podjetje prodaja elektronske izdelke.
小麦	pšenica	Na severu pridelujejo veliko pšenice.
小气	skop; malenkosten	Ne bodi tako skop.
孝顺	spoštljiv in skrben do staršev	Do staršev je zelo spoštljiv in skrben.
效率	učinkovitost	Na ta način lahko izboljšamo učinkovitost.
歇	počivati; ustaviti se	Najprej si malo odpočijmo.
斜	poševen; nagnjen	Ta cesta je malo poševna.
写作	pisanje; pisno ustvarjanje	Pisanje zahteva dolgotrajno vajo.
心理	psihološki; duševen	Pred izpitom se moraš psihično pripraviti.
心脏	srce	Zdravje srca je zelo pomembno.
欣赏	občudovati; ceniti; uživati v	Občudovali smo čudovito pokrajino.
信号	signal	Signal mobilnega telefona je tukaj slab.
信任	zaupati; zaupanje	Med prijatelji je potrebno zaupanje.
形成	oblikovati se; nastati	Dobre navade se morajo oblikovati postopoma.
形容	opisati; opis	Ne vem, kako naj opišem ta občutek.
形势	razmere; situacija	Trenutne razmere so precej zapletene.
形式	oblika	Sestanek lahko poteka v spletni obliki.
形象	podoba; imidž	Njegova javna podoba je zelo dobra.
形状	oblika	Oblika te škatle je zelo posebna.
行动	ukrepati; dejanje	Ukrepati moramo takoj.
行人	pešec	Pri prečkanju ceste bodite pozorni na pešce.
行为	vedenje; ravnanje	Takšno vedenje je nevljudno.
幸亏	na srečo	Na srečo si me opomnil.
幸运	srečen; sreča	Imel je srečo, da je našel službo.
性质	narava; značilnost	Narava tega problema je zelo resna.
兄弟	bratje; brat	Brata imata dober odnos.
胸	prsni koš; prsi	V prsih čuti rahlo tiščanje.
休闲	prosti čas; sprostitev	Vikend je dober čas za sprostitev.
修改	popraviti; spremeniti; revidirati	Prosim, popravite ta članek.
虚心	skromen; odprt za mnenja	Mnenjem moramo prisluhniti odprto in skromno.
叙述	pripovedovati; opisati	Jasno je opisal, kaj se je zgodilo.
宣布	razglasiti; objaviti	Šola je objavila nova pravila.
宣传	promovirati; širiti; propaganda	Promovirajo znanje o varstvu okolja.
学历	izobrazba; akademska kvalifikacija	Za to delo je zahtevana univerzitetna izobrazba.
学术	akademski; znanstven	Ta konferenca obravnava akademska vprašanja.
学问	znanje; učenost	Zelo je razgledan.
血	kri	Iz roke mu je priteklo malo krvi.
寻找	iskati	Iščemo novo metodo.
询问	povprašati; vprašati	Učitelja je vprašal za čas izpita.
训练	trenirati; vaditi; trening	Športnik trenira vsak dan.
迅速	hiter; hitro	Novica se je hitro razširila.
押金	varščina; depozit	Pri najemu stanovanja je treba plačati varščino.
牙齿	zobje	Prosim, vsak dan dobro skrbite za svoje zobe.
严肃	resen; strogo	Učiteljev izraz je zelo resen.
延长	podaljšati	Sestanek so podaljšali za pol ure.
演讲	govor; predavanje; imeti govor	Pripravlja jutrišnji govor.
宴会	banket; slavnostna večerja	Udeležili so se banketa.
阳台	balkon	Na balkonu je nekaj loncev z rožami.
痒	srbeti	Roka me malo srbi.
样式	slog; stil; oblika	Ta slog je zelo priljubljen.
腰	pas; križ; spodnji del hrbta	Če dolgo sediš, te lahko boli križ.
摇	stresti; zibati	Veter je zibal veje sem ter tja.
咬	ugrizniti	Ta pes ne grize ljudi.
要不	kaj če; sicer; ali pa	Kaj če gremo spet jutri?
业务	posel; poslovanje; delovno področje	Poslovanje podjetja se širi.
业余	v prostem času; ljubiteljski	V prostem času se uči fotografije.
夜	noč	Ulica je ponoči zelo tiha.
依然	še vedno; kakor prej	Še vedno živi v Pekingu.
一辈子	vse življenje	Vse življenje je ljubila glasbo.
一旦	ko enkrat; če	Ko se enkrat odločiš, moraš vztrajati.
一律	vsi brez izjeme; enotno	Med sestankom morajo biti vsi telefoni izklopljeni.
一再	znova in znova; večkrat	Večkrat nas je opomnil, naj pazimo na varnost.
一致	skladen; enoten; soglasen	Mnenja vseh so popolnoma skladna.
疑问	vprašanje; dvom	Imam vprašanje glede tega odgovora.
移动	premakniti; premik	Prosim, malo premaknite mizo.
移民	priseliti se; izseliti se; migrant	Načrtujejo selitev v tujino.
遗憾	obžalovati; žal; obžalovanje	Žal mi je, da te nisem mogel videti.
乙	drugi; B; stranka B	V pogodbi je za plačilo odgovorna stranka B.
以及	kot tudi; in	Kupil sem knjige in šolske potrebščine.
以来	od takrat; odkar	Od diplome naprej dela v Pekingu.
义务	dolžnost; obveznost	Varovanje okolja je dolžnost vsakega človeka.
亿	sto milijonov; zelo veliko	Ta država ima več kot milijardo prebivalcev.
意外	nepričakovan; nesreča; nepričakovan dogodek	Tokratna zamuda je bila povsem nepričakovana.
意义	pomen; smisel	Ta dogodek ima velik pomen.
议论	razpravljati; komentirati	Vsi razpravljajo o tej zadevi.
因而	zato; posledično	Pridno se uči, zato ima dobre ocene.
因素	dejavnik	Vreme je pomemben dejavnik.
银	srebro; srebrn	Nosi srebrno zapestnico.
印刷	tiskati; tisk	Ta knjiga je zelo jasno natisnjena.
英俊	čeden; postaven	Zelo je čeden.
英雄	junak; heroj	Gasilci so pravi junaki.
营养	prehrana; hranilnost; hranila	Zajtrk mora imeti dovolj hranil.
营业	obratovati; poslovati	Ta trgovina začne obratovati ob devetih.
迎接	pozdraviti; sprejeti; pričakati	Šli smo na letališče pričakat goste.
影子	senca	Njegova senca je pod ulično svetilko.
应付	spoprijeti se; obvladati	S to težavo se zna spoprijeti.
应用	uporabiti; uporabiti v praksi; uporaba	To metodo je mogoče uporabiti pri poučevanju.
硬	trd; tog	Ta stol je pretrd.
硬件	strojna oprema	Ta računalnik ima dobro strojno opremo.
拥抱	objeti; objem	Otrok je pritekel k mami in jo objel.
拥挤	natrpan; gneča	Podzemna železnica je med jutranjo konico zelo natrpana.
勇气	pogum	Ima pogum priznati napako.
用功	pridno se učiti; marljiv	Pri učenju je zelo marljiva.
用途	uporaba; namen uporabe	Ta material ima veliko uporab.
优惠	popust; ugodnost	Ta trgovina ima danes popust.
优美	lep; eleganten; mil	Tukajšnje okolje je zelo lepo.
优势	prednost; premoč	Njegova prednost so bogate izkušnje.
悠久	dolg; starodaven	Kitajska ima dolgo zgodovino.
油炸	ocvrt; cvreti	Redko jem ocvrto hrano.
游览	ogledati si; obiskati kot turist	Jutri si bomo ogledali Prepovedano mesto.
犹豫	oklevati	Nekaj časa je okleval, preden je odgovoril.
有利	ugoden; koristen	Ta pogoj je za nas ugoden.
幼儿园	vrtec	Otrok bo naslednje leto šel v vrtec.
娱乐	zabava; razvedrilo; zabavati	Gledanje filmov je vrsta zabave.
与其	raje kot; namesto da	Raje kot da se pritožuješ, ukrepaj.
语气	ton; način govora	Njegov ton govora je zelo blag.
玉米	koruza	Za večerjo je koruzna juha.
预报	napoved	Vremenska napoved pravi, da bo jutri deževalo.
预订	rezervirati	Hotelsko sobo sem že rezerviral.
预防	preprečiti; varovati se pred	Pogosto umivanje rok lahko prepreči prehlad.
元旦	novoletni dan	Na novoletni dan imamo en dan prosto.
原料	surovina	Glavna surovina kruha je moka.
原则	načelo	Človek mora imeti načela.
员工	zaposleni; osebje	Podjetje ima tristo zaposlenih.
圆	okrogel; krog	Luna je velika in okrogla.
愿望	želja	Njegova želja je prepotovati svet.
乐器	glasbilo	Igra lahko več vrst glasbil.
晕	omotičen; vrtoglav	Na ladji se mi malo vrti.
运气	sreča	Danes imam srečo.
运输	prevoz; transport	To blago potrebuje železniški prevoz.
运用	uporabiti; uveljaviti	Prosim, te besede uporabljajte prilagodljivo.
灾害	nesreča; katastrofa	Poplava je vrsta naravne nesreče.
再三	znova in znova; večkrat	Učitelj nas je večkrat opomnil, naj ponavljamo snov.
在乎	biti mar; skrbeti za	Zelo mu je mar za mnenje prijateljev.
在于	biti v; ležati v	Uspeh je v vztrajnosti.
赞成	strinjati se; podpirati	Strinjam se s tvojim predlogom.
赞美	hvaliti; občudovati	Vsi so hvalili njen pogum.
糟糕	grozen; slab	Današnje vreme je res grozno.
造成	povzročiti	Močan dež je povzročil prometni zastoj.
则	potem; pa	Če se trudiš, boš napredoval.
责备	kriviti; grajati	Učitelj ga ni grajal.
摘	utrgati; nabrati	Na vrtu je utrgala rožo.
窄	ozek	Ta cesta je preozka.
粘贴	prilepiti	Prosim, prilepite fotografijo sem.
展开	začeti se; razviti se	Razprava se je hitro začela.
展览	razstava; razstaviti	Muzej ima novo razstavo.
占	zavzeti; zasedati	Ta miza zavzame prostor.
战争	vojna	Vojna ljudem prinaša trpljenje.
掌握	obvladati; osvojiti	Osnovno slovnico je že obvladal.
涨	zvišati se; narasti	Najemnina se je pred kratkim spet zvišala.
长辈	starejši; starejša generacija	Ob novem letu je treba pozdraviti starejše.
账户	račun; bančni račun	Prosim, preverite svoj bančni račun.
招待	sprejeti goste; pogostiti	Gostitelj je goste toplo sprejel.
着火	vneti se; zagoreti	Kuhinja je nenadoma zagorela.
着凉	prehladiti se	Mrzlo je, ne prehladi se.
召开	sklicati; organizirati	Šola bo jutri sklicala sestanek.
照常	kot običajno	Trgovina bo jutri obratovala kot običajno.
哲学	filozofija	Na univerzi je študiral filozofijo.
珍惜	ceniti; varovati	Ceniti moramo čas.
真实	resničen; pravi	Ta zgodba je resnična.
针对	biti namenjen; ciljati na	Ta predlog je namenjen novim študentom.
诊断	diagnoza; diagnosticirati	Zdravnik je hitro postavil diagnozo.
振动	vibracija; vibrirati	Telefon vibrira na mizi.
阵	val; sunek; kratka ploha	Zunaj je bila kratka ploha.
争论	prepirati se; razpravljati	Dolgo so razpravljali o tem vprašanju.
争取	prizadevati si za; izboriti si	Prizadevati si moramo za več priložnosti.
征求	zaprositi za; iskati mnenje	Učitelj je vse prosil za mnenje.
挣	osvoboditi se; truditi se; zaslužiti	Ptica se je osvobodila vrvi.
睁	odpreti oči	Prosim, odprite oči malo bolj.
整个	cel; ves	Celo mesto je zelo tiho.
整齐	urejen; čeden	Knjige so zelo urejeno razporejene.
整体	celota; celoten	Upoštevati moramo celoten učinek.
政府	vlada	Vlada je izdala novo obvestilo.
政治	politika; političen	Zelo ga zanima politika.
正	pravilen; ravno; pokončen	Ta odgovor je pravilen.
证件	dokument; potrdilo	Prosim, pokažite osebni dokument.
证据	dokaz	Policija je našla nove dokaze.
支	podpreti; kos; veja	Na mizi je pisalo.
支票	ček	Plačal je s čekom.
执照	dovoljenje; licenca	Za vožnjo je potrebno vozniško dovoljenje.
直	naravnost; raven	Po tej cesti pojdite naravnost naprej.
指导	usmerjati; voditi	Učitelj nas je vodil pri pisanju članka.
指挥	voditi; poveljevati; dirigirati	On je odgovoren za vodenje te operacije.
制定	oblikovati; pripraviti; določiti	Podjetje je pripravilo nov načrt.
制度	sistem; ureditev	Šola ima strog sistem.
制造	izdelovati; proizvajati	Ta tovarna proizvaja stroje.
制作	izdelati; narediti	Pripravlja rojstnodnevno torto.
志愿者	prostovoljec	Veliko prostovoljcev se je pridružilo dogodku.
智慧	modrost	Ta starejši človek ima veliko modrosti.
治疗	zdraviti; zdravljenje	Zdravnik zdravi bolnika.
秩序	red	Prosim, vzdržujte red.
至今	do danes; vse do zdaj	Ta problem do danes še ni rešen.
至于	kar zadeva; glede	Kar zadeva stroške, se bomo o tem pogovorili jutri.
中介	posrednik; agencija	Stanovanje je najel prek agencije.
中心	središče; center	Bolnišnica je v središču mesta.
中旬	sredina meseca	Sestanek je načrtovan za sredino maja.
种类	vrsta	Tukaj je veliko vrst sadja.
重大	pomemben; velik	To je pomembna odločitev.
重量	teža	Kakšna je teža te škatle?
周到	pozoren; skrben	Njegova storitev je zelo pozorna.
猪	prašič; svinjina	Na kmetiji je veliko prašičev.
竹子	bambus	Pande rade jedo bambus.
逐步	postopoma; korak za korakom	Načrt bodo izvajali korak za korakom.
逐渐	postopoma	Vreme se je postopoma ohladilo.
主持	voditi; predsedovati	Ona vodi današnji sestanek.
主动	prevzeti pobudo; aktiven	Samoiniciativno je pomagal sošolcu.
主观	subjektiven	Ta ocena je nekoliko subjektivna.
主人	gostitelj; lastnik	Gostitelj nas je toplo sprejel.
主任	direktor; vodja	Vodja je v pisarni.
主题	tema; predmet	Današnja tema razprave je varstvo okolja.
主席	predsedujoči; predsednik	Predsedujoči je razglasil začetek sestanka.
主张	zagovarjati; stališče	Zagovarja, da je treba najprej rešiti prometni problem.
煮	kuhati	Mama kuha rezance.
注册	registrirati se	Novi uporabniki se morajo najprej registrirati.
祝福	blagoslov; dobre želje	Prijatelji so poslali dobre želje.
抓	zgrabiti; ujeti	Otrok je zgrabil mamo za roko.
抓紧	dobro izkoristiti; prijeti trdno	Dobro moramo izkoristiti čas.
专家	strokovnjak	Strokovnjak je dal predloge.
专心	zbrati se; osredotočenost	Pri pouku moraš pozorno poslušati.
转变	spremeniti se; preobraziti se	Njegov odnos se je spremenil.
转告	sporočiti naprej	Prosim, povejte mu, da je jutri sestanek.
装	dati noter; obleči; pretvarjati se	Prosim, dajte knjige v torbo.
装饰	okrasiti; okrasitev	Sobo so okrasili s cvetjem.
装修	obnavljati; renovirati	Nova hiša se prenavlja.
撞	trčiti; zadeti	Na križišču sta trčila dva avtomobila.
状况	stanje; razmere	Trenutno stanje je razmeroma stabilno.
状态	stanje	Danes je v dobrem stanju.
追	loviti; zasledovati	Otrok od zadaj lovi kužka.
追求	slediti; prizadevati si za	Vedno je sledil svojim sanjam.
咨询	posvetovati se; svetovanje	Lahko se posvetujete s strokovnim zdravnikom.
姿势	drža; položaj	Prosim, ohranite pravilno držo.
资格	kvalifikacija; upravičenost	Ima pravico sodelovati na tekmovanju.
资金	sredstva; kapital	Projekt potrebuje več sredstev.
资料	gradivo; podatki	Prosim, pošljite mi gradivo.
资源	viri	Voda je pomemben naravni vir.
紫	vijoličen	Rada ima vijolično barvo.
字母	črka; abeceda	Angleščina ima šestindvajset črk.
字幕	podnapisi	Ta film ima kitajske podnapise.
自从	odkar	Od diplome se redko vrača.
自动	samodejen	Ta vrata se odpirajo samodejno.
自豪	ponos	Ponosen sem na svoj napredek.
自觉	samoiniciativen; zavesten	Nalogo je opravil samoiniciativno.
自私	sebičen	Človek ne sme biti preveč sebičen.
自由	svoboda; svoboden	Vsak ceni svobodo.
自愿	prostovoljen; po lastni volji	Prostovoljno so se udeležili dejavnosti.
综合	celovito; povezati	Upoštevati moramo vse vrste dejavnikov.
总裁	generalni direktor; izvršni direktor	Izvršni direktor je danes imel govor.
总共	skupaj; vsega skupaj	To potovanje je skupaj stalo tri tisoč juanov.
总理	predsednik vlade	Predsednik vlade se je udeležil sestanka.
总算	končno	Problem je bil končno rešen.
总统	predsednik države	Predsednik države je imel televizijski govor.
总之	skratka	Skratka, končati moramo pravočasno.
组	skupina; oblikovati	Učitelj nas je razdelil v tri skupine.
组成	sestavljati; tvoriti	Voda je sestavljena iz vodika in kisika.
组合	kombinacija; sestaviti	Ta barvna kombinacija je videti dobro.
组织	organizirati; organizacija	Šola je organizirala izlet.
阻止	preprečiti; ustaviti	Policija je preprečila nevarno ravnanje.
最初	sprva; na začetku	Sprva nisem čisto razumel.
醉	pijan	Preveč je pil in je malo pijan.
尊敬	spoštovati	Vsi učenci spoštujejo učitelja.
遵守	spoštovati; upoštevati	Spoštovati moramo prometna pravila.
作品	delo; umetniško delo	Ta slika je njegovo delo.
作为	kot; v vlogi	Kot učitelj je zelo potrpežljiv.
作文	spis; napisati spis	Učitelj nas je prosil, naj napišemo spis.
