simplified	ET	example_ET
性质	olemus	Selle probleemi olemus on väga tõsine.
兄弟	vennad	Nendel kahel vennal on head suhted.
胸	rind	Ta tunneb rinnus veidi pitsitust.
休闲	vaba aeg	Nädalavahetus on hea aeg puhkamiseks.
修改	muutma	Palun muuda seda artiklit.
虚心	avatud meelega	Me peaksime arvamusi avatult kuulama.
叙述	jutustama	Ta jutustas juhtunu selgelt.
宣布	teatama	Kool teatas uutest reeglitest.
宣传	teavitama	Nad teavitavad inimesi keskkonnakaitsest.
学历	haridustase	See töö nõuab bakalaureusekraadi.
学术	akadeemiline	See koosolek arutab akadeemilisi küsimusi.
学问	teadmised	Tal on palju teadmisi.
血	veri	Tema käest tuli natuke verd.
寻找	otsima	Me otsime uut meetodit.
询问	küsima	Ta küsis õpetajalt eksami aja kohta.
训练	treenima	Sportlane treenib iga päev.
迅速	kiiresti	Uudis levis kiiresti.
押金	tagatisraha	Üürimisel tuleb maksta tagatisraha.
牙齿	hambad	Palun hoolitse iga päev oma hammaste eest.
严肃	tõsine	Õpetaja näoilme on väga tõsine.
延长	pikendama	Koosolekut pikendati poole tunni võrra.
演讲	kõne	Ta valmistab homset kõnet ette.
宴会	bankett	Nad osalesid banketil.
阳台	rõdu	Rõdul on mitu lillepotti.
痒	sügelema	Mu käsivars sügeleb natuke.
样式	stiil	See stiil on väga populaarne.
腰	alaselg	Pikalt istudes võib alaselg valutama hakata.
摇	raputama	Tuul raputas oksi edasi-tagasi.
咬	hammustama	See koer ei hammusta inimesi.
要不	kuidas oleks	Kuidas oleks, kui läheksime homme uuesti?
业务	äritegevus	Ettevõtte äritegevus kasvab.
业余	vaba aeg	Ta õpib vabal ajal fotograafiat.
夜	öö	Öösel on tänav väga vaikne.
依然	ikka	Ta elab ikka Pekingis.
一辈子	kogu elu	Ta armastas muusikat kogu elu.
一旦	kui kord	Kui kord otsus on tehtud, tuleb sellest kinni pidada.
一律	kõik	Koosoleku ajal peavad kõik telefonid olema välja lülitatud.
一再	korduvalt	Ta tuletas meile korduvalt meelde, et peame ohutusele tähelepanu pöörama.
一致	üksmeelne	Kõigi arvamused on täiesti üksmeelsed.
疑问	küsimus	Mul on selle vastuse kohta küsimus.
移动	liigutama	Palun liiguta lauda natuke.
移民	välismaale kolima	Nad plaanivad välismaale kolida.
遗憾	kahju	Mul on kahju, et ma sind näha ei saanud.
乙	B pool	Lepingus vastutab B pool maksmise eest.
以及	samuti	Ostsin raamatuid ja samuti kirjatarbeid.
以来	alates	Lõpetamisest alates on ta kogu aeg Pekingis töötanud.
义务	kohustus	Keskkonna kaitsmine on igaühe kohustus.
亿	miljard	Selles riigis on üle miljardi elaniku.
意外	ootamatu	Seekordne hilinemine oli täiesti ootamatu.
意义	tähendus	See üritus on väga tähenduslik.
议论	arutama	Kõik arutavad seda asja.
因而	seetõttu	Ta õpib usinalt, seetõttu on tal head hinded.
因素	tegur	Ilm on tähtis tegur.
银	hõbe	Tal on hõbedane käevõru.
印刷	trükkima	See raamat on väga selgelt trükitud.
英俊	nägus	Ta on väga nägus.
英雄	kangelane	Tuletõrjujad on tõelised kangelased.
营养	toitained	Hommikusöök peaks sisaldama piisavalt toitaineid.
营业	äri ajama	See pood avatakse kell üheksa.
迎接	vastu võtma	Me läksime lennujaama külalisi vastu võtma.
影子	vari	Tema vari on tänavalambi all.
应付	toime tulema	Ta saab selle probleemiga hakkama.
应用	rakendama	Seda meetodit saab õpetamises rakendada.
硬	kõva	See tool on liiga kõva.
硬件	riistvara	Selle arvuti riistvara on korralik.
拥抱	kallistama	Laps jooksis ema kallistama.
拥挤	rahvarohke	Hommikuse tipptunni ajal on metroo väga rahvarohke.
勇气	julgus	Tal on julgust oma viga tunnistada.
用功	usinalt	Ta õpib väga usinalt.
用途	kasutusala	Sellel materjalil on palju kasutusalasid.
优惠	soodustus	Selles poes on täna soodustus.
优美	kaunis	Siinne keskkond on väga kaunis.
优势	eelis	Tema eelis on suur kogemus.
悠久	pikk	Hiinal on pikk ajalugu.
油炸	praetud	Ma söön harva praetud toitu.
游览	külastama	Homme külastame Keelatud linna.
犹豫	kõhklema	Ta kõhkles veidi, enne kui vastas.
有利	soodne	See tingimus on meile soodne.
幼儿园	lasteaed	Laps läheb järgmisel aastal lasteaeda.
娱乐	meelelahutus	Filmide vaatamine on üks meelelahutuse vorm.
与其	selle asemel et	Selle asemel et kaevata, on parem tegutseda.
语气	toon	Tema kõnetoon on väga leebe.
玉米	mais	Õhtusöögiks on maisisupp.
预报	prognoos	Ilmaprognoos ütleb, et homme sajab.
预订	broneerima	Olen hotelli juba broneerinud.
预防	ennetama	Sage kätepesu aitab külmetust ennetada.
元旦	uusaasta	Uusaastal on meil üks vaba päev.
原料	tooraine	Leiva peamine tooraine on jahu.
原则	põhimõte	Inimesel peaksid olema põhimõtted.
员工	töötaja	Ettevõttes on kolmsada töötajat.
圆	ümmargune	Kuu on suur ja ümmargune.
愿望	soov	Tema soov on reisida ümber maailma.
乐器	muusikariist	Ta oskab mängida mitut muusikariista.
晕	pea ringi käima	Laevaga sõites käib mul natuke pea ringi.
运气	õnn	Täna on mul hea õnn.
运输	transport	Need kaubad vajavad raudteetransporti.
运用	kasutama	Palun kasuta neid sõnu paindlikult.
灾害	katastroof	Üleujutus on looduskatastroof.
再三	korduvalt	Õpetaja tuletas meile korduvalt meelde, et kordaksime.
在乎	hoolima	Ta hoolib väga sõprade arvamusest.
在于	seisnema	Edu seisneb järjekindluses.
赞成	nõustuma	Ma nõustun sinu ettepanekuga.
赞美	kiitma	Kõik kiitsid tema julgust.
糟糕	kohutav	Tänane ilm on tõesti kohutav.
造成	põhjustama	Tugev vihm põhjustas liiklusummiku.
则	siis	Kui pingutada, siis tuleb edasiminek.
责备	süüdistama	Õpetaja ei süüdistanud teda.
摘	korjama	Ta korjas aiast ühe lille.
窄	kitsas	See tee on liiga kitsas.
粘贴	kleepima	Palun kleebi foto siia.
展开	algama	Arutelu algas kiiresti.
展览	näitus	Muuseumis on uus näitus.
占	ruumi võtma	See laud võtab ruumi.
战争	sõda	Sõda toob inimestele kannatusi.
掌握	omandama	Ta on põhigrammatika juba omandanud.
涨	tõusma	Üür on viimasel ajal jälle tõusnud.
长辈	vanemad sugulased	Uue aasta ajal tuleb vanemaid sugulasi tervitada.
账户	konto	Palun kontrolli oma pangakontot.
招待	võõrustama	Peremees võõrustas külalisi soojalt.
着火	põlema süttima	Köök süttis äkki põlema.
着凉	külmetama	Ilm on külm, ära külmeta.
召开	korraldama	Kool korraldab homme koosoleku.
照常	tavapäraselt	Pood on homme tavapäraselt avatud.
哲学	filosoofia	Ta õppis ülikoolis filosoofiat.
珍惜	hindama	Me peame aega hindama.
真实	tõsi	See lugu on tõsi.
针对	suunatud	See soovitus on suunatud uutele õpilastele.
诊断	diagnoos	Arst pani kiiresti diagnoosi.
振动	vibreerima	Telefon vibreerib laual.
阵	hoog	Väljas tuli lühike vihmahoog.
争论	vaidlema	Nad vaidlesid selle küsimuse üle kaua.
争取	püüdlema	Me peame püüdlema rohkemate võimaluste poole.
征求	küsima	Õpetaja küsis kõigi arvamust.
挣	lahti rabelema	Lind rabeles nöörist lahti.
睁	avama	Palun ava silmad natuke rohkem.
整个	kogu	Kogu linn on väga vaikne.
整齐	korralik	Raamatud on väga korralikult paigutatud.
整体	tervik	Me peame arvestama tervikmõjuga.
政府	valitsus	Valitsus avaldas uue teate.
政治	poliitika	Teda huvitab poliitika väga.
正	õige	See vastus on õige.
证件	isikut tõendav dokument	Palun näita oma isikut tõendavat dokumenti.
证据	tõend	Politsei leidis uusi tõendeid.
支	loendussõna pikkadele esemetele	Laual on üks pastakas.
支票	tšekk	Ta maksis tšekiga.
执照	luba	Auto juhtimiseks on vaja juhiluba.
直	otse	Mine seda teed otse edasi.
指导	juhendama	Õpetaja juhendas meid lõputöö kirjutamisel.
指挥	juhtima	Tema vastutab selle operatsiooni juhtimise eest.
制定	koostama	Ettevõte koostas uue plaani.
制度	süsteem	Koolis on range süsteem.
制造	tootma	See tehas toodab masinaid.
制作	tegema	Ta teeb praegu sünnipäevatorti.
志愿者	vabatahtlik	Paljud vabatahtlikud osalesid üritusel.
智慧	tarkus	Sellel eakal inimesel on palju tarkust.
治疗	ravima	Arst ravib patsienti.
秩序	kord	Palun hoidke korda.
至今	siiani	See probleem ei ole siiani lahendatud.
至于	mis puudutab	Mis puudutab kulusid, siis räägime neist homme.
中介	vahendaja	Ta üüris korteri vahendaja kaudu.
中心	keskus	Haigla asub linnakeskuses.
中旬	kuu keskpaik	Koosolek on kavandatud mai keskpaigale.
种类	liik	Siin on palju erinevaid puuviljaliike.
重大	oluline	See on oluline otsus.
重量	kaal	Kui suur on selle kasti kaal?
周到	hoolikas	Tema teenindus on väga hoolikas.
猪	siga	Farmis kasvatatakse palju sigu.
竹子	bambus	Pandadele meeldib bambust süüa.
逐步	järk-järgult	Plaan viiakse ellu järk-järgult.
逐渐	tasapisi	Ilm muutus tasapisi külmemaks.
主持	juhatama	Ta juhatab tänast koosolekut.
主动	omaalgatuslikult	Ta aitas klassikaaslast omaalgatuslikult.
主观	subjektiivne	See hinnang on natuke subjektiivne.
主人	võõrustaja	Võõrustaja tervitas meid soojalt.
主任	direktor	Direktor on kontoris.
主题	teema	Tänase arutelu teema on keskkonnakaitse.
主席	esimees	Esimees kuulutas koosoleku alanuks.
主张	pooldama	Ta pooldab transpordiprobleemi lahendamist esimesena.
煮	keetma	Ema keedab praegu nuudleid.
注册	registreeruma	Uued kasutajad peavad kõigepealt registreeruma.
祝福	õnnitlus	Sõbrad saatsid õnnitlusi.
抓	haarama	Laps haaras ema käest kinni.
抓紧	aega kasutama	Me peame aega hästi kasutama.
专家	ekspert	Ekspert tegi ettepaneku.
专心	keskendunult	Tunnis tuleb keskendunult kuulata.
转变	muutus	Tema suhtumises toimus muutus.
转告	edasi ütlema	Palun ütle talle edasi, et homme on koosolek.
装	panema	Palun pane raamatud kotti.
装饰	kaunistama	Nad kaunistasid toa lilledega.
装修	remontima	Uut maja remonditakse.
撞	kokku põrkama	Kaks autot põrkasid ristmikul kokku.
状况	olukord	Praegune olukord on üsna stabiilne.
状态	seisund	Ta on täna heas seisundis.
追	taga ajama	Laps ajab väikest koera taga.
追求	püüdlema	Ta on alati oma unistuse poole püüelnud.
咨询	nõu küsima	Sa võid küsida nõu eriarstilt.
姿势	asend	Palun hoia õiget asendit.
资格	õigus	Tal on õigus võistlusel osaleda.
资金	rahalised vahendid	Projekt vajab rohkem rahalisi vahendeid.
资料	materjalid	Palun saada materjalid mulle.
资源	ressurss	Vesi on tähtis loodusressurss.
紫	lilla	Talle meeldib lilla värv.
字母	täht	Inglise keeles on kakskümmend kuus tähte.
字幕	subtiitrid	Sellel filmil on hiinakeelsed subtiitrid.
自从	alates	Lõpetamisest alates tuleb ta harva tagasi.
自动	automaatselt	See uks avaneb automaatselt.
自豪	uhke	Olen oma edusammude üle uhke.
自觉	omal algatusel	Ta tegi kodutöö omal algatusel valmis.
自私	isekas	Inimene ei tohiks olla liiga isekas.
自由	vabadus	Iga inimene hindab vabadust.
自愿	vabatahtlikult	Nad osalesid üritusel vabatahtlikult.
综合	terviklikult	Me peame eri tegureid terviklikult kaaluma.
总裁	tegevjuht	Tegevjuht pidas täna kõne.
总共	kokku	See reis maksis kokku kolm tuhat jüaani.
总理	peaminister	Peaminister osales koosolekul.
总算	lõpuks	Probleem sai lõpuks lahendatud.
总统	president	President pidas telekõne.
总之	lühidalt	Lühidalt, me peame õigeks ajaks valmis saama.
组	rühm	Õpetaja jagas meid kolme rühma.
组成	koosnema	Vesi koosneb vesinikust ja hapnikust.
组合	kombinatsioon	See värvikombinatsioon näeb hea välja.
组织	korraldama	Kool korraldas ekskursiooni.
阻止	takistama	Politsei takistas ohtlikku käitumist.
最初	alguses	Alguses ma ei saanud päris hästi aru.
醉	purjus	Ta jõi liiga palju ja on natuke purjus.
尊敬	austama	Õpilased austavad õpetajat väga.
遵守	järgima	Me peame liiklusreegleid järgima.
作品	teos	See maal on tema teos.
作为	kui	Õpetajana on ta väga kannatlik.
作文	kirjand	Õpetaja palus meil kirjutada kirjandi.
