simplified	TA	example_TA
偏差	விலகல்	சோதனை முடிவுகளில் தெளிவான விலகல் உள்ளது.
偏见	பாகுபாட்டு எண்ணம்	நாம் இன பாகுபாட்டு எண்ணத்தைத் தவிர்க்க வேண்டும்.
偏僻	தொலைந்த தனிமையான	இந்த கிராமத்தின் இடம் மிகவும் தொலைந்த தனிமையானது.
偏偏	எதிர்பாராதபடி அப்படியே	நான் அதிகம் அவசரப்பட்டபோது கார் மாறாக இன்னும் மெதுவாகச் சென்றது.
片断	துணுக்குப் பகுதி	திரைப்படத்தில் சில சிறப்பான துணுக்குப் பகுதிகள் உள்ளன.
片刻	சிறு நேரம்	தயவுசெய்து இங்கே சிறு நேரம் எனக்காக காத்திருங்கள்.
漂浮	மிதத்தல்	உதிர்ந்த இலைகள் நீர்மேல் மிதந்தன.
飘扬	அசைந்து பறத்தல்	தேசியக் கொடி காற்றில் அசைந்து பறந்தது.
撇	ஒதுக்கி எறிதல்	அவர் பழைய திட்டத்தை ஒதுக்கி வைத்தார்.
拼搏	கடுமையாகப் போராடுதல்	இளைஞர்கள் தங்கள் இலட்சியங்களுக்காக கடுமையாகப் போராட வேண்டும்.
拼命	முழு வலிமையுடன் முயற்சித்தல்	அவர் முன் சென்ற அணியை முழு வலிமையுடன் துரத்தினார்.
贫乏	பற்றாக்குறையான	இந்தக் கட்டுரையின் உள்ளடக்கம் சற்றுப் பற்றாக்குறையாக உள்ளது.
贫困	வறுமை	அரசு வறிய குடும்பங்களுக்கு உதவுகிறது.
频繁	அடிக்கடி	சமீபத்தில் இங்கு போக்குவரத்து விபத்துகள் அடிக்கடி நடக்கின்றன.
频率	அதிர்வெண்	இந்த ஒலியின் அதிர்வெண் அதிகமாக உள்ளது.
品尝	சுவைத்துப் பார்தல்	விருந்தினர்கள் உள்ளூர் உணவை சுவைத்துப் பார்த்துக் கொண்டிருக்கிறார்கள்.
品德	நற்பண்பு	பள்ளி மாணவர்களின் நற்பண்புக் கல்விக்கு முக்கியத்துவம் தருகிறது.
品质	தரம்	இந்த நிறுவனத்தின் தயாரிப்பு தரம் நிலையானது.
品种	வகை	சந்தையில் பல வகை பழங்கள் உள்ளன.
屏幕	திரை	தயவுசெய்து திரையின் பிரகாசத்தை குறையுங்கள்.
屏障	தடுப்பு	காடு காற்றுக்கு எதிரான முக்கிய தடுப்பு.
平凡	சாதாரண	அவர் சாதாரண பணியிடத்தில் பல ஆண்டுகள் வேலை செய்தார்.
平面	தள வடிவம்	வடிவமைப்பாளர் வீட்டின் தள வரைபடத்தை வரைந்தார்.
平坦	சமதளமான	இந்த சாலை மிகவும் சமதளமாக உள்ளது.
平行	இணையான	இந்த இரண்டு கோடுகள் ஒன்றுக்கொன்று இணையாக உள்ளன.
平庸	சராசரி	அவர் சராசரி வாழ்க்கையில் திருப்தி அடைவதில்லை.
平原	சமவெளி	ரயில் விரிந்த சமவெளியை கடந்து சென்றது.
评估	மதிப்பீடு செய்தல்	நிபுணர்கள் திட்டத்தின் அபாயங்களை மதிப்பீடு செய்கிறார்கள்.
评论	கருத்துரைத்தல்	வாசகர்கள் கட்டுரையின் கீழ் கருத்துரைக்கலாம்.
坡	சாய்வு	கார் மெதுவாக சாய்வில் மேலே சென்றது.
泼	சிதறவிடுதல்	தண்ணீரை தரையில் சிதறவிடாதே.
颇	மிகவும் அளவுக்கு	இந்த முடிவு மிகவும் எதிர்பாராததாக உள்ளது.
破例	விதிவிலக்கு செய்தல்	மேலாளர் அவருக்காக விதிவிலக்காக விண்ணப்பத்தை ஒப்புதல் அளித்தார்.
迫不及待	ஆவலுடன் காத்திருக்க முடியாத	குழந்தைகள் பரிசுகளைத் திறக்க ஆவலுடன் காத்திருக்க முடியவில்லை.
迫害	துன்புறுத்தல்	வரலாற்றில் பலர் துன்புறுத்தலை அனுபவித்துள்ளனர்.
魄力	துணிச்சல்	முடிவெடுக்க தலைவர்களுக்கு துணிச்சல் தேவை.
扑	பாய்ந்து செல்வது	குழந்தை திடீரென அம்மாவின் மடியில் பாய்ந்தது.
铺	பரப்புதல்	தொழிலாளர்கள் புதிய கம்பளத்தை பரப்புகிறார்கள்.
普及	பரவலாக்குதல்	இணையம் நகரங்களில் ஏற்கனவே பரவலாகியுள்ளது.
朴实	எளிய உண்மையான	அவரின் மொழி எளிமையாகவும் உண்மையாகவும் உள்ளது.
朴素	எளிமையான	அவள் எளிமையான வாழ்க்கை முறையை விரும்புகிறாள்.
瀑布	அருவி	சுற்றுலாப் பயணிகள் அருவி அருகே நின்று புகைப்படம் எடுத்தனர்.
凄凉	வெறிச்சோடிய சோகமான	குளிர்காலத்தில் மலைக் கிராமம் மிகவும் வெறிச்சோடியதாகத் தோன்றியது.
期望	எதிர்பார்ப்பு	பெற்றோருக்கு குழந்தைகளிடம் உயர்ந்த எதிர்பார்ப்பு உள்ளது.
期限	காலக்கெடு	பதிவு செய்யும் காலக்கெடு இந்த வெள்ளிக்கிழமை.
欺负	பலவீனரை துன்புறுத்துதல்	பெரிய குழந்தைகள் சிறிய குழந்தைகளை துன்புறுத்தக் கூடாது.
欺骗	ஏமாற்றுதல்	பொய்யான விளம்பரம் நுகர்வோரை ஏமாற்றியது.
奇妙	அற்புதமான	இயற்கையில் பல அற்புதமான நிகழ்வுகள் உள்ளன.
旗袍	சீன பாரம்பரிய உடை	அவள் சிவப்பு சீன பாரம்பரிய உடை அணிந்து விருந்தில் கலந்து கொண்டாள்.
旗帜	கொடி	சதுக்கத்தில் வண்ணமயமான கொடிகள் பறந்தன.
歧视	பாகுபாடு காட்டுதல்	சட்டம் எந்த வடிவிலான பாகுபாட்டையும் தடை செய்கிறது.
齐全	முழுமையான	இந்த கடையில் கருவிகள் முழுமையாக உள்ளன.
齐心协力	ஒற்றுமையாகச் செயல்படுதல்	அனைவரும் ஒற்றுமையாகச் செயல்பட்டு பணியை முடித்தனர்.
乞丐	பிச்சைக்காரர்	சாலையோரத்தில் ஒரு முதிய பிச்சைக்காரர் அமர்ந்திருந்தார்.
企图	முயற்சி	அவர் உண்மையான நிலையை மறைக்க முயன்றார்.
启程	பயணம் தொடங்குதல்	பிரதிநிதிக் குழு நாளை அதிகாலையில் பயணம் தொடங்கும்.
启蒙	அடிப்படை அறிவூட்டல்	இந்த புத்தகம் குழந்தைகளுக்கான அடிப்படை வாசிப்புக்கு ஏற்றது.
启事	அறிவிப்பு	பள்ளி வாயிலில் வேலைவாய்ப்பு அறிவிப்பு ஒட்டப்பட்டிருந்தது.
启示	பாடமாகும் உணர்த்தல்	இந்தத் தோல்வி எங்களுக்கு முக்கியமான பாடத்தை அளித்தது.
岂有此理	மிக அபத்தமான	இந்தக் கட்டணம் உண்மையில் மிக அபத்தமானது.
起草	வரைவு எழுதுதல்	வழக்கறிஞர் ஒப்பந்தத்தின் வரைவை எழுதுகிறார்.
起初	ஆரம்பத்தில்	ஆரம்பத்தில் அவர் இந்த செய்தியை நம்பவில்லை.
起伏	ஏற்றத் தாழ்வு	மலைச்சாலை நில அமைப்புடன் ஏற்றத் தாழ்வாக செல்கிறது.
起哄	கூச்சல் எழுப்பி குழப்பமளித்தல்	மாணவர்கள் வகுப்பில் கூச்சல் எழுப்பி குழப்பமளிக்கக் கூடாது.
起码	குறைந்தபட்சம்	குறைந்தபட்சம் நீ எனக்கு முன்கூட்டியே தெரிவிக்க வேண்டும்.
起源	தோற்றம்	இந்த திருவிழா பண்டைய காலத்தில் தோன்றியது.
器材	கருவிப் பொருட்கள்	ஆய்வகத்திற்கு புதிய கற்பித்தல் கருவிப் பொருட்கள் தேவை.
器官	உறுப்பு	இதயம் மனித உடலின் முக்கிய உறுப்பு.
气概	உயர்ந்த வீர உணர்வு	இந்தக் கவிதை வீர உணர்வை வெளிப்படுத்துகிறது.
气功	மூச்சுப் பயிற்சி முறை	தாத்தா ஒவ்வொரு காலைவும் மூச்சுப் பயிற்சி முறையைப் பயில்கிறார்.
气魄	மிகுந்த கம்பீரம்	இந்தப் பாலத்திற்கு மிகுந்த கம்பீரம் உள்ளது.
气色	முகநிறம்	ஓய்வுக்குப் பிறகு அவரது முகநிறம் மிகவும் மேம்பட்டது.
气势	உற்சாக வேகம்	அணி தொடக்கத்திலேயே வலுவான உற்சாக வேகத்துடன் இருந்தது.
气味	மணம்	சமையலறையில் வறுத்த ரொட்டியின் மணம் இருந்தது.
气象	வானிலை நிலை	இங்குள்ள மேடுநிலப் பகுதியில் வானிலை விரைவாக மாறுகிறது.
气压	காற்றழுத்தம்	காற்றழுத்தம் குறைவது மழையை கொண்டு வரலாம்.
气质	நடத்தைத் தன்மை	அவளுக்கு அமைதியான நடத்தைத் தன்மை உள்ளது.
迄今为止	இதுவரை	இதுவரை சோதனை நன்றாக முன்னேறியுள்ளது.
掐	கிள்ளிப் பறித்தல்	அவள் ஒரு சிறிய மலரை கிள்ளிப் பறித்தாள்.
恰当	சரியான பொருத்தமான	உன் பதில் மிகவும் சரியானது.
恰到好处	சரியான அளவில்	இந்த உணவின் இனிப்பு சரியான அளவில் உள்ளது.
恰巧	சம்பவச் சீராக	நான் நிலையத்துக்கு வந்தபோது சம்பவச் சீராக மழை பெய்தது.
洽谈	விவாதித்து பேசுதல்	இரு தரப்பும் ஒத்துழைப்பு விவரங்களை விவாதித்து பேசுகின்றன.
千方百计	எல்லா வழிகளிலும்	அவர்கள் தீர்வை கண்டுபிடிக்க எல்லா வழிகளிலும் முயன்றனர்.
牵	கை பிடித்து நடத்துதல்	அம்மா குழந்தையின் கையைப் பிடித்து சாலையை கடந்தாள்.
牵扯	சம்பந்தப்படுத்துதல்	இந்த விஷயம் பல துறைகளை சம்பந்தப்படுத்துகிறது.
牵制	கட்டுப்படுத்தி தடுக்குதல்	எதிரணியின் பாதுகாப்பு தாக்குதலை கட்டுப்படுத்தியது.
签署	கையொப்பமிடுதல்	இரு நிறுவனங்கள் ஒப்பந்தத்தில் கையொப்பமிட்டன.
谦逊	தாழ்மையான	வெற்றி பெற்ற பிறகும் அவர் தாழ்மையாகவே இருந்தார்.
迁就	ஒத்துப்போய் விட்டுக்கொடுத்தல்	பெற்றோர் எப்போதும் குழந்தைகளுக்கு ஒத்துப்போய் விட்டுக்கொடுக்க முடியாது.
迁徙	இடம்பெயர்தல்	புலம்பெயர் பறவைகள் ஆண்டுதோறும் பருவத்துக்கு ஏற்ப இடம்பெயர்கின்றன.
前景	எதிர்கால வாய்ப்பு	இந்தத் துறையின் எதிர்கால வாய்ப்பு நல்லது.
前提	முன்நிபந்தனை	நம்பிக்கை ஒத்துழைப்பின் முன்நிபந்தனை.
潜力	திறன் வாய்ப்பு	இந்த மாணவருக்கு மிகுந்த திறன் வாய்ப்பு உள்ளது.
潜水	நீர்மூழ்கல்	அவர்கள் கடற்கரைக்கு சென்று நீர்மூழ்கல் கற்கிறார்கள்.
潜移默化	மறைமுகமாகப் பாதிப்பது	குடும்பச் சூழல் குழந்தைகளை மறைமுகமாகப் பாதிக்கலாம்.
谴责	கண்டனம் தெரிவித்தல்	சர்வதேச சமூகம் வன்முறையை கண்டனம் தெரிவித்தது.
抢劫	கொள்ளையடித்தல்	வங்கியை கொள்ளையடித்த சந்தேக நபரை காவல்துறை பிடித்தது.
强制	கட்டாயப்படுத்துதல்	புதிய விதி ஓட்டுநர்கள் பாதுகாப்புப் பட்டை அணிய கட்டாயப்படுத்துகிறது.
强迫	வற்புறுத்துதல்	குழந்தைகள் விரும்பாததைச் செய்ய அவர்களை வற்புறுத்தாதே.
抢救	அவசர மீட்பு	மருத்துவர்கள் காயமடைந்த தொழிலாளியை அவசரமாக மீட்கின்றனர்.
桥梁	பாலம்	மொழி கலாச்சார பரிமாற்றத்திற்கான பாலம்.
窍门	தந்திரமான வழி	உச்சரிப்பு கற்க சில தந்திரமான வழிகள் உள்ளன.
翘	மேலே உயர்த்துதல்	அவர் ஒரு காலைக் நாற்காலி மீது உயர்த்தினார்.
切实	நடைமுறையில் சாத்தியமான	நமக்கு நடைமுறையில் சாத்தியமான திட்டம் தேவை.
锲而不舍	விடாமுயற்சி	அவர் இந்த பிரச்சினையை விடாமுயற்சியுடன் ஆய்வு செய்தார்.
亲密	நெருக்கமான	அவர்கள் எப்போதும் நெருக்கமான உறவை பேணிவருகிறார்கள்.
亲热	அன்பான நெருக்கம்	முதியவர் விருந்தினர்களை அன்பாக வரவேற்றார்.
侵犯	மீறுதல்	இந்த நடத்தை தனிநபர் தனியுரிமையை மீறியது.
侵略	ஆக்கிரமிப்பு	மக்கள் எந்த வடிவிலான ஆக்கிரமிப்பையும் எதிர்க்கிறார்கள்.
钦佩	பெரிதும் மதித்தல்	அவளின் துணிச்சலை நான் பெரிதும் மதிக்கிறேன்.
勤俭	முயற்சியுடனும் சிக்கனமாகவும்	பாட்டி வாழ்நாள் முழுவதும் முயற்சியுடனும் சிக்கனமாகவும் வீட்டை நடத்தினார்.
勤劳	உழைப்பாளியான	உழைப்பாளிகள் எப்போதும் வாய்ப்புகளை உருவாக்க முடியும்.
倾听	கவனமாகக் கேட்குதல்	ஆசிரியர் மாணவர்களின் கருத்துகளை கவனமாகக் கேட்டார்.
倾向	போக்கு	இளம் நுகர்வோர் இணையத்தில் வாங்கும் போக்கைக் கொண்டுள்ளனர்.
倾斜	சாய்தல்	கனமழைக்குப் பிறகு சுவர் சாயத் தொடங்கியது.
清澈	தெளிந்த	மலையிலுள்ள ஓடைநீர் மிகவும் தெளிந்தது.
清晨	அதிகாலை	அதிகாலையின் காற்று மிகவும் பசுமையாக இருந்தது.
清除	அகற்றுதல்	தொழிலாளர்கள் சாலையில் இருந்த பனியை அகற்றினர்.
清洁	சுத்தமான	மருத்துவமனை சூழலை சுத்தமாக வைத்திருக்க வேண்டும்.
清理	சீர்செய்து சுத்தப்படுத்துதல்	வார இறுதியில் நாங்கள் கிடங்கைக் சீர்செய்து சுத்தப்படுத்தினோம்.
清晰	தெளிவான	இந்தப் படம் மிகவும் தெளிவாக உள்ளது.
清醒	விழிப்புணர்வான	காபி குடித்த பிறகு அவர் மிகவும் விழிப்புணர்வானார்.
清真	ஹலால்	அருகில் ஒரு ஹலால் உணவகம் உள்ளது.
情报	முக்கிய தகவல்	செய்தியாளர் முக்கிய தகவலைப் பெற்றார்.
情节	கதைக்கரு	நாவலின் கதைக்கரு மிகவும் பதட்டமானது.
情理	நியாய உணர்வு	அவரின் கோரிக்கை நியாய உணர்வுக்கு ஏற்ப அல்ல.
情形	நிலைமை	நிகழ்விட நிலைமை நினைத்ததைவிட சிக்கலானது.
晴朗	தெளிந்த வெயிலான	இன்றைய வானம் விசேஷமாக தெளிந்துள்ளது.
请柬	அழைப்பிதழ்	அவர்கள் உறவினர்களுக்கும் நண்பர்களுக்கும் திருமண அழைப்பிதழ்களை அனுப்பினர்.
请教	ஆலோசனை கேட்பது	ஒரு கேள்வியைப் பற்றி உங்களிடம் ஆலோசனை கேட்க விரும்புகிறேன்.
请示	வழிமுறையைக் கேட்பது	இந்த விஷயத்தை முதலில் தலைவரிடம் வழிமுறை கேட்டு தெரிவிக்க வேண்டும்.
请帖	அழைப்பிதழ்	மேசையில் ஒரு பிறந்தநாள் அழைப்பிதழ் இருந்தது.
丘陵	மலைத்தொடர் அல்லாத சிறு மலைப்பகுதி	இந்தப் பகுதியில் பல சிறு மலைப்பகுதிகள் உள்ளன.
区分	வேறுபடுத்துதல்	குழந்தை இப்போது இடதையும் வலதையும் வேறுபடுத்த முடிகிறது.
区域	பகுதி	இந்தப் பகுதியில் வாகனம் நிறுத்துவது தடைசெய்யப்பட்டுள்ளது.
屈服	தளர்ந்து ஒப்புக்கொள்வது	அவர் அழுத்தத்துக்கு தளர்ந்து ஒப்புக்கொள்ளவில்லை.
曲折	சிக்கலான வளைவுகள்	அவர்கள் சிக்கலான பேச்சுவார்த்தைகளைச் சந்தித்தனர்.
驱逐	வெளியேற்றுதல்	காவல்துறை கலவரம் செய்தவர்களை வெளியேற்றியது.
渠道	சேனல்	நிறுவனம் புதிய சேனல் மூலம் தயாரிப்புகளை விற்கிறது.
取缔	தடைசெய்தல்	அரசு சட்டவிரோத சந்தையை தடைசெய்தது.
曲子	இசைத்துணுக்கு	இந்த இசைத்துணுக்கின் மெட்டு மிகவும் அழகானது.
趣味	சுவாரஸ்யம்	இந்த விளையாட்டில் நல்ல சுவாரஸ்யம் உள்ளது.
圈套	கண்ணி	அவர் கிட்டத்தட்ட மோசடிக்காரரின் கண்ணியில் விழுந்துவிட்டார்.
全局	முழுப் படம்	தலைவர்கள் முழுப் படத்தின் நலனைக் கருத்தில் கொள்ள வேண்டும்.
全力以赴	முழு முயற்சி செய்தல்	நாங்கள் பணியை முடிக்க முழு முயற்சி செய்வோம்.
拳头	முட்டி	அவர் போட்டிக்குத் தயாராக முட்டியை இறுக்கினார்.
权衡	எடைபோட்டு மதிப்பிடுதல்	செலவும் விளைவும் எடைபோட்டு மதிப்பிட வேண்டும்.
权威	அதிகாரப்பூர்வ நிபுணர்	இந்தப் பேராசிரியர் அந்தத் துறையின் அதிகாரப்பூர்வ நிபுணர்.
犬	நாய்	இந்த வகை நாய் வீட்டைக் காக்க ஏற்றது.
缺口	சிறு இடைவெளி	சுவரில் ஒரு சிறு இடைவெளி உள்ளது.
缺席	வராமை	அவர் நோயால் கூட்டத்தில் வரவில்லை.
缺陷	குறைபாடு	இந்த வடிவமைப்பில் தெளிவான குறைபாடு உள்ளது.
瘸	கால் ஊனமுற்ற	அவரது இடது கால் கொஞ்சம் ஊனமாக உள்ளது.
确保	உறுதி செய்தல்	கதவு பூட்டப்பட்டுள்ளதா என்பதை தயவுசெய்து உறுதி செய்யுங்கள்.
确立	நிறுவுதல்	நிறுவனம் புதிய வளர்ச்சி இலக்குகளை நிறுவியது.
确切	துல்லியமான	எனக்கு துல்லியமான நேரம் தெரியாது.
确信	உறுதியாக நம்புதல்	அவர் நேரத்துக்கு வருவார் என்று நான் உறுதியாக நம்புகிறேன்.
群众	மக்கள் கூட்டம்	மக்கள் புதிய கொள்கைக்கு ஆதரவு தருகிறார்கள்.
染	நிறமிடுதல்	அவள் தலைமுடியை கருப்பாக நிறமிட்டாள்.
嚷	கத்துதல்	நடையறையில் சத்தமாகக் கத்தாதே.
让步	விட்டுக்கொடுத்தல்	இரு தரப்பும் சில விட்டுக்கொடுப்புகளைச் செய்தன.
饶恕	மன்னித்தல்	இறுதியில் அவள் மறுபக்கத்தவரை மன்னிக்கத் தேர்ந்தெடுத்தாள்.
扰乱	குலைத்தல்	சத்தம் வகுப்பின் ஒழுங்கை குலைத்தது.
惹祸	சிக்கலை வரவழைத்தல்	அளவில்லா நகைச்சுவை எளிதில் சிக்கலை வரவழைக்கும்.
热泪盈眶	உணர்ச்சியால் கண்நீர் நிரம்புதல்	நல்ல செய்தியை கேட்டதும் அவளின் கண்கள் உணர்ச்சிக் கண்ணீரால் நிரம்பின.
热门	பிரபலமான	செயற்கை நுண்ணறிவு ஒரு பிரபலமான தலைப்பு.
人道	மனிதாபிமானம்	மீட்பு நடவடிக்கை மனிதாபிமான உணர்வை வெளிப்படுத்தியது.
人格	மனித மரியாதை	பிறரை இழிவுபடுத்துவது மனித மரியாதையை காயப்படுத்தும்.
人工	மனிதனால் செய்யப்பட்ட	இந்த நதி மனிதனால் தோண்டப்பட்டது.
人家	மற்றவர்கள்	உன்னை எப்போதும் மற்றவர்களுடன் ஒப்பிடாதே.
人间	மனித உலகம்	வசந்தம் மனித உலகை உயிர்ப்புடன் நிரப்புகிறது.
人士	துறை சார்ந்தவர்கள்	பல்வேறு வட்டாரங்களைச் சேர்ந்தவர்கள் கலந்துரையாடலில் பங்கேற்றனர்.
人为	மனித காரணத்தால்	இந்த விபத்து மனித காரணத்தால் ஏற்பட்டது.
人性	மனித இயல்பு	இந்த திரைப்படம் மனித இயல்பைப் பற்றி பேசுகிறது.
人质	பிணையாளர்	காவல்துறை பிணையாளரை வெற்றிகரமாக மீட்டது.
仁慈	கருணையுள்ள	இந்த மருத்துவர் நோயாளிகளிடம் மிகவும் கருணையுள்ளவர்.
忍耐	பொறுமை	நீண்ட வரிசையில் காத்திருப்பதற்கு சிறிது பொறுமை தேவை.
忍受	தாங்குதல்	இங்குள்ள சத்தத்தை நான் தாங்க முடியாது.
任命	நியமித்தல்	இயக்குநர் குழு அவளை மேலாளராக நியமித்தது.
任性	பிடிவாதமான	குழந்தை மிகப் பிடிவாதமாக இருந்தால் வளர்ச்சிக்கு பாதிப்பு ஏற்படும்.
任意	இச்சைப்படி	தயவுசெய்து தரவை இச்சைப்படி மாற்றாதீர்கள்.
任重道远	பெரும் பொறுப்பும் நீண்ட பாதையும்	கல்வி சீர்திருத்தத்திற்கு பெரும் பொறுப்பும் நீண்ட பாதையும் உள்ளது.
认定	தீர்மானித்தல்	இது ஒரு விபத்து என்று காவல்துறை தீர்மானித்தது.
认可	அங்கீகாரம்	அவரின் திட்டம் அனைவரின் அங்கீகாரத்தையும் பெற்றது.
仍旧	இன்னும் அதேபடி	பல ஆண்டுகளுக்குப் பிறகும் அவர் இன்னும் இங்கேயே வசித்தார்.
日新月异	நாள் தோறும் வேகமாக மாறுதல்	தொழில்நுட்பம் நாள் தோறும் வேகமாக வளர்கிறது.
日益	நாளுக்கு நாள்	சுற்றுச்சூழல் பிரச்சினைகள் நாளுக்கு நாள் கடுமையாகின்றன.
容貌	முகத் தோற்றம்	காலம் அவரின் முகத் தோற்றத்தை மாற்றியது.
容纳	அடக்கிக் கொள்ளுதல்	இந்த மண்டபம் ஐந்நூறு பேரை அடக்கிக் கொள்ள முடியும்.
容器	கொள்கலன்	தயவுசெய்து திரவத்தை கண்ணாடி கொள்கலனில் ஊற்றுங்கள்.
容忍	சகித்துக்கொள்ளுதல்	நிறுவனம் மோசடியை சகித்துக்கொள்ள முடியாது.
溶解	கரைதல்	உப்பு நீரில் கரையும்.
荣幸	மரியாதை பெற்ற உணர்வு	கூட்டத்தில் பங்கேற்க முடிவது எனக்கு மரியாதை.
荣誉	கௌரவம்	இந்த பதக்கம் உயர்ந்த கௌரவத்தை குறிக்கிறது.
融化	உருகுதல்	சூரியஒளி பனியையும் பனிக்கட்டியையும் மெதுவாக உருகச் செய்தது.
融洽	ஒற்றுமையான	சக ஊழியர்களின் உறவு மிகவும் ஒற்றுமையாக உள்ளது.
揉	தேய்த்தல்	அம்மா என் தோள்களை மெதுவாகத் தேய்த்தார்.
柔和	மென்மையான	விளக்கு ஒளி மென்மையாக உள்ளது, கண்களை குத்துவதில்லை.
儒家	கொன்ஃபூசிய சிந்தனை	கொன்ஃபூசிய சிந்தனை கிழக்கு ஆசிய கலாச்சாரத்தை பாதித்தது.
弱点	பலவீனம்	கவனக்குறைவு அவரின் முக்கிய பலவீனம்.
若干	சில	கூட்டத்தில் சில பரிந்துரைகள் முன்வைக்கப்பட்டன.
撒谎	பொய் சொல்லுதல்	குழந்தைகள் பொய் சொல்லக் கூடாது.
散文	கட்டுரைநடை	அவள் நவீன கட்டுரைநடையைப் படிக்க விரும்புகிறாள்.
散布	பரப்புதல்	இணையத்தில் ஒருவர் வதந்திகளைப் பரப்பினார்.
散发	வீசுதல்	தோட்டத்தில் மெல்லிய மணம் வீசுகிறது.
丧失	இழத்தல்	அவர் நம்பிக்கையை இழக்கவில்லை.
骚扰	தொந்தரவு செய்தல்	தயவுசெய்து பிற பயணிகளைத் தொந்தரவு செய்யாதீர்கள்.
嫂子	அண்ணன் மனைவி	அண்ணன் மனைவி செய்த உணவு மிகவும் சுவையானது.
刹车	திடீரென பிரேக் அடித்தல்	ஓட்டுநர் திடீரென பிரேக் அடித்தார்.
啥	என்ன	நீ இப்போது என்ன சொன்னாய்?
筛选	வடிகட்டித் தேர்வு செய்தல்	கணினி தானாகவே சுயவிவரங்களை வடிகட்டி தேர்வு செய்யும்.
山脉	மலைத்தொடர்	இந்த மலைத்தொடர் மிகவும் நீளமானது.
闪烁	மின்னித்துடித்தல்	தொலைவிலுள்ள விளக்குகள் தொடர்ந்து மின்னித்துடித்தன.
擅长	திறமையாக இருப்பது	அவர் சிக்கலான பிரச்சினைகளை கையாள்வதில் திறமையானவர்.
擅自	அனுமதியின்றி	ஊழியர்கள் அனுமதியின்றி பணியிடத்தை விட்டு செல்லக்கூடாது.
伤脑筋	தலைவலி தரும்	இந்த பிரச்சினை உண்மையில் தலைவலி தருகிறது.
商标	வர்த்தகச் சின்னம்	நிறுவனம் புதிய வர்த்தகச் சின்னத்தை பதிவு செய்தது.
上级	மேலதிகாரி	அவர் நிலைமையை மேலதிகாரிகளுக்கு தெரிவித்தார்.
上进	முன்னேற விரும்பும்	அவள் எப்போதும் முன்னேற விரும்புகிறாள்.
上任	பதவியேற்பது	புதிய மேலாளர் அடுத்த வாரம் பதவியேற்பார்.
上瘾	அடிமையாகுதல்	பலர் குறும் காணொளிகளுக்கு அடிமையாகிறார்கள்.
上游	மேலோட்டப் பகுதி	மாசு நதியின் மேலோட்டப் பகுதியிலிருந்து வருகிறது.
尚且	கூட	பெரியவர்கள்கூட தவறு செய்வார்கள்.
捎	செய்தி கொண்டு செல்வது	தயவுசெய்து எனக்காக ஒரு செய்தியை கொண்டு செல்லுங்கள்.
梢	மரக்கிளையின் முனை	பறவை மரக்கிளையின் முனையில் அமர்ந்தது.
哨	காவல் நிலையம் அல்லது ஊதல்	வாயிலில் ஒரு காவலர் இருந்தார்.
奢侈	ஆடம்பரமான வீண்செலவு	இத்தகைய செலவு மிக ஆடம்பரமானது.
舌头	நாக்கு	அவர் நாக்கை எரித்துக்கொண்டார்.
摄氏度	செல்சியஸ் அளவு	இன்றைய வெப்பநிலை முப்பது செல்சியஸ் அளவு.
涉及	சம்பந்தப்படுதல்	அறிக்கை பல துறைகளை சம்பந்தப்படுத்துகிறது.
社区	சமூகப் பகுதி	சமூகப் பகுதி ஆரோக்கிய சொற்பொழிவை ஏற்பாடு செய்தது.
设立	நிறுவுதல்	பள்ளி உதவித்தொகையை நிறுவியது.
设想	கருத்துக் கற்பனை	இந்த கருத்துக் கற்பனை இன்னும் விவாதிக்கப்பட வேண்டும்.
设置	அமைத்தல்	தயவுசெய்து கடவுச்சொல்லை மீண்டும் அமைக்குங்கள்.
呻吟	மெதுவாக வேதனை ஒலி எழுப்புதல்	நோயாளர் மெதுவாக வேதனை ஒலி எழுப்பினார்.
深奥	ஆழமான கடினம்	இந்தப் புத்தகத்தின் உள்ளடக்கம் மிகவும் ஆழமாகவும் கடினமாகவும் உள்ளது.
深沉	ஆழ்ந்த	அவரின் குரல் தாழ்ந்தும் ஆழ்ந்தும் இருந்தது.
深情厚谊	ஆழமான நட்பு உணர்வு	இரு நாடுகளின் மக்கள் ஆழமான நட்பை உருவாக்கினர்.
申报	அறிக்கை செய்து அறிவித்தல்	பயணிகள் பொருட்களை உண்மையாக அறிவிக்க வேண்டும்.
绅士	நாகரிகமான ஆண்	அவர் ஒரு நாகரிகமான ஆணைப் போல நடக்கிறார்.
神经	நரம்பு	அழுத்தம் நரம்பு அமைப்பை பாதிக்கலாம்.
神奇	மாயமான அற்புதமான	இங்குள்ள காட்சி மிகவும் மாயமானதும் அற்புதமானதும்.
神气	உற்சாகமான தோற்றம்	இன்று அவர் மிகவும் உற்சாகமாகத் தோன்றினார்.
神圣	புனிதமான	இது ஒரு புனிதமான கடமை.
神态	முகபாவம்	அவளின் முகபாவம் மிகவும் அமைதியாக இருந்தது.
神仙	அமரர்	கதைகளில் மலையில் அமரர்கள் வாழ்கிறார்கள் என்று சொல்லப்படுகிறது.
审查	ஆய்வு செய்து பரிசோதித்தல்	தளம் வெளியிடப்படும் உள்ளடக்கத்தை ஆய்வு செய்கிறது.
审理	வழக்கை விசாரித்தல்	நீதிமன்றம் இந்த வழக்கை விசாரிக்கிறது.
