simplified	RU	example_RU
模式	модель; режим	Эта бизнес-модель очень успешна.
模型	модель; макет	Инженер сделал модель моста.
磨合	притираться; срабатываться	Новой команде нужно время, чтобы сработаться.
膜	мембрана; пленка	Эта мембрана может фильтровать примеси.
魔鬼	дьявол; демон	Демон в этой истории очень хитрый.
魔术	фокус; магия	Дети любят смотреть фокусы.
抹杀	отрицать; стирать	Нельзя отрицать его вклад.
墨水儿	чернила	Чернила в ручке почти закончились.
莫名其妙	непонятный; странный	Его реакция показалась людям совершенно непонятной.
默默	молча; незаметно	Она незаметно помогла многим людям.
谋求	стремиться к; добиваться	Компания стремится найти новые возможности развития.
模样	вид; облик	Его нынешний вид сильно изменился.
母语	родной язык	Ребенок с детства изучает родной язык.
沐浴	купаться; быть залитым	Утренняя деревня была залита солнечным светом.
目睹	видеть своими глазами	Многие люди стали свидетелями этой аварии.
目光	взгляд	Все взгляды были сосредоточены на сцене.
拿手	лучший; коронный	Тушеная рыба - его коронное блюдо.
纳闷儿	удивляться; недоумевать	Я все время недоумевал, почему он опоздал.
耐用	прочный; долговечный	Эта пара обуви очень прочная.
南辕北辙	действовать вопреки цели	Его способ действий полностью расходился с целью.
难得	редкий; трудно получить	Это редкая возможность.
难堪	неловкий; смущающий	Этот вопрос поставил его в очень неловкое положение.
难能可贵	особенно ценный	Сохранять честность под давлением особенно ценно.
恼火	сердиться; раздражаться	Оборудование снова сломалось, и он очень разозлился.
内涵	содержание; внутренний смысл	У этого слова богатый культурный смысл.
内幕	закулисная информация	Журналист пытался расследовать подоплеку события.
内在	внутренний	Он больше ценит внутренние качества человека.
能量	энергия	Этот завтрак дал мне много энергии.
拟定	составлять; намечать	Секретарь составляет повестку встречи.
逆行	двигаться против направления	Та машина ехала против направления по дороге с односторонним движением.
年度	годовой	Компания опубликовала годовой отчет.
捏	щипать; сжимать	Она слегка ущипнула ребенка за щеку.
凝固	застывать; затвердевать	После охлаждения воск медленно застынет.
凝聚	сплачивать; концентрировать	Общая цель может сплотить команду.
凝视	пристально смотреть	Он пристально смотрел на огни вдали.
拧	щипнуть; крутить	Он ущипнул меня рукой.
宁肯	предпочесть	Она скорее потерпит неудачу, чем откажется от принципов.
宁愿	предпочесть	Я лучше пойду пешком, чем буду ждать автобус.
扭转	переломить; изменить ход	Новая политика переломила ситуацию с убытками.
纽扣儿	пуговица	У этой рубашки оторвалась одна пуговица.
农历	лунный календарь	Праздник Весны отмечают по лунному календарю.
浓厚	сильный; глубокий	У него глубокий интерес к истории.
奴隶	раб	В древнем обществе существовал рабовладельческий строй.
挪	передвинуть	Пожалуйста, передвинь стул немного в сторону.
虐待	жестоко обращаться	Закон запрещает жестоко обращаться с детьми.
哦	ага; понятно	Ага, теперь я наконец понял.
殴打	избивать	Полиция арестовала человека, избившего прохожего.
偶像	кумир; идол	Она считает того писателя своим кумиром.
呕吐	рвота; рвать	После испорченной еды его начало рвать.
趴	лежать ничком	Котенок спит, лежа на подоконнике.
徘徊	бродить; колебаться	Он долго бродил у входа.
排斥	отталкивать; исключать	Новый материал отталкивает влагу.
排除	исключать; устранять	Врач сначала исключил серьезное заболевание.
排放	выброс; сбрасывать	Завод должен сократить выбросы выхлопных газов.
排练	репетировать	Актеры репетируют новую программу.
派别	фракция; группировка	Внутри этой организации есть разные фракции.
派遣	направлять; командировать	Компания направила инженера на объект.
攀登	взбираться; подниматься	Они планируют завтра подняться на снежную гору.
盘旋	кружить	Самолет кружил над аэропортом.
判决	приговор; решение суда	Суд сегодня объявил решение.
畔	берег; у края	Дети гуляли у озера.
庞大	огромный; массивный	Этому проекту нужны огромные средства.
抛弃	бросать; отказываться	Он не хочет отказываться от своей мечты.
泡沫	пена; пузырь	В стакане много белой пены.
培育	воспитывать; выращивать	Школа старается воспитывать у учеников чувство ответственности.
配备	оснащать	Новая машина оснащена системой безопасности.
配偶	супруг; супруга	В заявлении нужно указать сведения о супруге.
配套	сопутствующий; комплексный	В районе есть полноценная сопутствующая инфраструктура.
盆地	котловина; бассейн	Летом в этой котловине очень жарко.
烹饪	кулинария; готовка	Готовка требует терпения и опыта.
捧	держать в ладонях	Она двумя руками держала букет цветов.
劈	рубить; раскалывать	Рабочий рубил дрова топором.
批发	оптовая торговля	Этот магазин в основном продает фрукты оптом.
批判	критиковать	Статья критикует эту ошибочную точку зрения.
疲惫	измотанный; усталый	После долгой поездки все были очень измотаны.
疲倦	усталость; утомленный	Непрерывная работа заставила его почувствовать усталость.
皮革	кожа	Эта сумка сделана из кожи.
屁股	ягодицы; зад	После падения у ребенка болели ягодицы.
譬如	например	Например, мы можем сначала сделать небольшой тест.
偏差	отклонение; погрешность	В результатах эксперимента есть явное отклонение.
偏见	предубеждение	Мы должны избегать национальных предубеждений.
偏僻	отдаленный; глухой	Эта деревня находится в очень отдаленном месте.
偏偏	как назло; именно	Чем сильнее я спешил, тем медленнее, как назло, ехала машина.
片断	фрагмент; отрывок	В фильме есть несколько замечательных фрагментов.
片刻	мгновение; немного времени	Пожалуйста, подожди меня здесь немного.
漂浮	плавать на поверхности	Опавшие листья плавали на поверхности воды.
飘扬	развеваться	Флаг развевался на ветру.
撇	отбросить; отложить	Он отбросил старый план в сторону.
拼搏	бороться; упорно добиваться	Молодые люди должны бороться за свои идеалы.
拼命	изо всех сил	Он изо всех сил догонял группу впереди.
贫乏	скудный; бедный	Содержание этой статьи довольно скудное.
贫困	бедность; бедный	Правительство помогает бедным семьям.
频繁	частый	В последнее время здесь часто происходят дорожные аварии.
频率	частота	У этого звука высокая частота.
品尝	пробовать на вкус	Гости пробуют местные блюда.
品德	нравственные качества	Школа уделяет внимание нравственному воспитанию учеников.
品质	качество	Качество продукции этой компании стабильно.
品种	сорт; разновидность	На рынке много сортов фруктов.
屏幕	экран	Пожалуйста, уменьшите яркость экрана.
屏障	барьер; преграда	Лес - важная преграда от ветра.
平凡	обычный; рядовой	Он много лет работает на обычной должности.
平面	плоскость; план	Дизайнер нарисовал план дома.
平坦	ровный	Эта дорога очень ровная.
平行	параллельный	Эти две линии параллельны друг другу.
平庸	посредственный	Он не хочет жить посредственной жизнью.
平原	равнина	Поезд пересек широкую равнину.
评估	оценивать	Эксперты оценивают риски проекта.
评论	комментировать; комментарий	Читатели могут оставлять комментарии под статьей.
坡	склон	Машина медленно поднялась на склон.
泼	плескать; выливать	Не проливай воду на пол.
颇	довольно; весьма	Этот результат оказался довольно неожиданным.
破例	сделать исключение	Менеджер сделал для него исключение и одобрил заявку.
迫不及待	с нетерпением	Дети с нетерпением открыли подарки.
迫害	преследовать; гонение	В истории многие люди подвергались преследованиям.
魄力	решительность	Руководителю нужна решительность в принятии решений.
扑	броситься; кинуться	Ребенок сразу бросился маме в объятия.
铺	стелить; укладывать	Рабочие укладывают новый ковер.
普及	распространять; становиться массовым	Интернет уже широко распространился в городах.
朴实	простой; искренний	Его речь простая и искренняя.
朴素	простой; скромный	Она любит простой образ жизни.
瀑布	водопад	Туристы стояли у водопада и фотографировались.
凄凉	унылый; опустелый	Зимой горная деревня выглядит очень уныло.
期望	ожидание; надежда	Родители возлагают на ребенка большие надежды.
期限	срок	Срок регистрации - эта пятница.
欺负	обижать; задирать	Старшие дети не должны обижать младших.
欺骗	обманывать	Ложная реклама обманула потребителей.
奇妙	чудесный; удивительный	В природе много удивительных явлений.
旗袍	ципао; китайское платье	Она пришла на вечер в красном китайском платье.
旗帜	флаг; знамя	На площади развевались яркие флаги.
歧视	дискриминация	Закон запрещает любую форму дискриминации.
齐全	полный; в полном комплекте	В этом магазине полный набор инструментов.
齐心协力	действовать сообща	Все сообща выполнили задачу.
乞丐	нищий	У дороги сидел старый нищий.
企图	пытаться; замышлять	Он пытался скрыть реальное положение дел.
启程	отправляться в путь	Делегация отправится завтра рано утром.
启蒙	просвещение; начальное обучение	Эта книга подходит для начального чтения детей.
启事	объявление	У входа в школу висит объявление о наборе сотрудников.
启示	урок; откровение	Эта неудача дала нам важный урок.
岂有此理	возмутительно; ни в какие ворота	Такая плата просто возмутительна.
起草	составлять проект	Юрист составляет проект договора.
起初	сначала; поначалу	Сначала он не поверил этой новости.
起伏	подъемы и спады	Горная дорога идет вверх и вниз по рельефу.
起哄	шуметь; подстрекать	Ученикам не следует шуметь на уроке.
起码	по крайней мере	Ты по крайней мере должен был предупредить меня заранее.
起源	происходить; происхождение	Этот праздник возник в древности.
器材	оборудование; инвентарь	Лаборатории нужно новое учебное оборудование.
器官	орган	Сердце - важный орган человеческого тела.
气概	дух; мужество	Это стихотворение выражает героический дух.
气功	цигун	Дедушка каждое утро занимается цигун.
气魄	размах; величие	Этот мост выглядит очень величественно.
气色	цвет лица; вид	После отдыха он стал выглядеть намного лучше.
气势	напор; мощь	Команда с самого начала играла с сильным напором.
气味	запах	На кухне пахло поджаренным хлебом.
气象	погода; метеорологические условия	На этом плато погода меняется очень быстро.
气压	атмосферное давление	Падение давления может принести дождь.
气质	темперамент; манера	У нее спокойная манера.
迄今为止	до сих пор	До сих пор эксперимент идет успешно.
掐	щипать; срывать	Она сорвала маленький цветок.
恰当	уместный; подходящий	Твой ответ очень уместен.
恰到好处	в самый раз	Сладость этого блюда в самый раз.
恰巧	случайно; как раз	Когда я пришел на станцию, как раз пошел дождь.
洽谈	вести переговоры	Стороны обсуждают детали сотрудничества.
千方百计	всеми способами	Они всеми способами ищут решение.
牵	вести за руку; тянуть	Мама вела ребенка за руку через дорогу.
牵扯	затрагивать; вовлекать	Это дело затрагивает много отделов.
牵制	сдерживать; связывать	Защита соперника сдержала атаку.
签署	подписывать	Две компании подписали соглашение.
谦逊	скромный	После успеха он все еще оставался скромным.
迁就	уступать; подстраиваться	Родители не могут всегда подстраиваться под ребенка.
迁徙	мигрировать; переселяться	Перелетные птицы каждый год мигрируют по сезонам.
前景	перспектива	У этой отрасли хорошие перспективы.
前提	предпосылка; условие	Доверие - предпосылка сотрудничества.
潜力	потенциал	У этого ученика большой потенциал.
潜水	нырять; дайвинг	Они поехали к морю учиться нырять.
潜移默化	незаметно влиять	Семейная среда незаметно влияет на детей.
谴责	осуждать	Международное сообщество осудило насилие.
抢劫	грабить; ограбление	Полиция поймала подозреваемого в ограблении банка.
强制	принудительный; заставлять	Новое правило обязывает водителей пристегивать ремни.
强迫	принуждать	Не заставляйте ребенка делать то, что ему не нравится.
抢救	спасать; оказывать срочную помощь	Врачи спасают раненого рабочего.
桥梁	мост	Язык - мост культурного обмена.
窍门	секрет; прием	В изучении произношения есть несколько приемов.
翘	поднимать; задирать	Он положил одну ногу на стул.
切实	реальный; практический	Нам нужен реально осуществимый план.
锲而不舍	упорно не сдаваться	Он упорно изучает этот вопрос.
亲密	близкий; тесный	Они всегда поддерживали близкие отношения.
亲热	сердечный; ласковый	Старик тепло приветствовал гостей.
侵犯	нарушать; посягать	Такое поведение нарушило личную приватность.
侵略	агрессия; вторжение	Народ выступает против любой формы агрессии.
钦佩	восхищаться	Я очень восхищаюсь ее смелостью.
勤俭	трудолюбивый и бережливый	Бабушка всю жизнь бережливо вела хозяйство.
勤劳	трудолюбивый	Трудолюбивые люди всегда могут создавать возможности.
倾听	внимательно слушать	Учитель внимательно слушает мнения учеников.
倾向	склоняться; тенденция	Молодые потребители склоняются к покупкам в интернете.
倾斜	наклоняться	После ливня стена начала наклоняться.
清澈	чистый; прозрачный	Горный ручей очень прозрачный.
清晨	раннее утро	Утренний воздух особенно свежий.
清除	очищать; устранять	Рабочие убрали снег с дороги.
清洁	чистый; уборка	Больница должна поддерживать чистоту среды.
清理	разбирать; очищать	На выходных мы разобрали склад.
清晰	четкий	Эта фотография очень четкая.
清醒	ясный; трезвый	После кофе он стал гораздо бодрее.
清真	халяльный; мусульманский	Поблизости есть халяльный ресторан.
情报	разведданные; сведения	Журналист получил важные сведения.
情节	сюжет	Сюжет романа очень напряженный.
情理	разум и чувства; здравый смысл	Его требование не соответствует здравому смыслу.
情形	ситуация; положение	Обстановка на месте сложнее, чем ожидалось.
晴朗	ясный	Сегодня небо особенно ясное.
请柬	приглашение	Они отправили родственникам и друзьям свадебные приглашения.
请教	советоваться; просить объяснения	Я хочу задать вам один вопрос.
请示	запрашивать указание	По этому делу нужно сначала запросить указание руководителя.
请帖	пригласительный билет	На столе лежит приглашение на день рождения.
丘陵	холмы	В этой местности много холмов.
区分	различать	Ребенок уже умеет различать левое и правое.
区域	зона; район	В этой зоне парковка запрещена.
屈服	сдаваться; уступать	Он не уступил давлению.
曲折	извилистый; сложный	Они прошли через сложные переговоры.
驱逐	изгонять; выдворять	Полиция выдворила нарушителей порядка.
渠道	канал	Компания продает продукцию через новый канал.
取缔	запрещать; закрывать	Правительство закрыло нелегальный рынок.
曲子	мелодия; пьеса	У этой мелодии очень красивый мотив.
趣味	интерес; занимательность	Эта игра очень занимательная.
圈套	ловушка	Он чуть не попал в ловушку мошенника.
全局	общая картина	Руководитель должен учитывать общие интересы.
全力以赴	выложиться полностью	Мы полностью выложимся, чтобы выполнить задачу.
拳头	кулак	Он сжал кулак и приготовился к соревнованию.
权衡	взвешивать; сопоставлять	Нам нужно сопоставить стоимость и результат.
权威	авторитет	Этот профессор - авторитет в данной области.
犬	собака; пес	Эта порода собак подходит для охраны дома.
缺口	щель; брешь	В стене есть небольшой пролом.
缺席	отсутствовать	Он отсутствовал на собрании из-за болезни.
缺陷	недостаток; дефект	В этом дизайне есть очевидный недостаток.
瘸	хромой	Он немного хромает на левую ногу.
确保	обеспечивать; удостовериться	Пожалуйста, убедись, что дверь уже заперта.
确立	устанавливать; учреждать	Компания установила новые цели развития.
确切	точный	Я не знаю точного времени.
确信	быть уверенным	Я уверен, что он прибудет вовремя.
群众	массы; народ	Люди очень поддерживают новую политику.
染	красить; окрашивать	Она покрасила волосы в черный цвет.
嚷	кричать; шуметь	Не кричи громко в коридоре.
让步	уступка	Обе стороны сделали некоторые уступки.
饶恕	прощать	В итоге она решила простить другую сторону.
扰乱	нарушать; расстраивать	Шум нарушил порядок в классе.
惹祸	навлечь беду	Неуместные шутки легко навлекают неприятности.
热泪盈眶	слезы на глазах	Услышав хорошие новости, она прослезилась.
热门	популярный; горячая тема	Искусственный интеллект - популярная тема.
人道	гуманность; гуманитарный	Спасательная операция проявила гуманитарный дух.
人格	личность; достоинство	Оскорбление других ранит человеческое достоинство.
人工	искусственный; ручной	Эта река была вырыта искусственно.
人家	другие люди; кто-то	Не сравнивай себя все время с другими.
人间	мир людей	Весна наполняет мир жизнью.
人士	деятель; представитель	Представители разных кругов приняли участие в семинаре.
人为	искусственный; человеческий фактор	Эта авария произошла по человеческой причине.
人性	человеческая природа	Этот фильм обсуждает человеческую природу.
人质	заложник	Полиция успешно освободила заложников.
仁慈	милосердный	Этот врач очень милосерден к пациентам.
忍耐	терпение	Длинная очередь требует немного терпения.
忍受	терпеть; выносить	Я не могу терпеть здешний шум.
任命	назначать	Совет директоров назначил ее менеджером.
任性	своенравный	Если ребенок слишком своенравен, это влияет на развитие.
任意	произвольно	Пожалуйста, не изменяйте данные произвольно.
任重道远	ответственность велика, путь далек	Реформа образования - долгий и трудный путь.
认定	установить; признать	Полиция установила, что это был несчастный случай.
认可	признавать; одобрять	Его план получил общее одобрение.
仍旧	по-прежнему	Спустя много лет он по-прежнему живет здесь.
日新月异	меняться с каждым днем	Технологии развиваются с огромной скоростью.
日益	с каждым днем	Экологические проблемы становятся все серьезнее.
容貌	внешность	Годы изменили его внешность.
容纳	вмещать	Этот зал вмещает пятьсот человек.
容器	сосуд; контейнер	Пожалуйста, налейте жидкость в стеклянный сосуд.
容忍	терпеть; мириться	Компания не может терпеть мошенничество.
溶解	растворяться	Соль растворяется в воде.
荣幸	честь; быть польщенным	Для меня честь участвовать в собрании.
荣誉	честь; почет	Эта медаль представляет высшую честь.
融化	таять	Солнечный свет заставляет снег и лед медленно таять.
融洽	гармоничный	Отношения между коллегами очень гармоничные.
揉	массировать; тереть	Мама мягко массирует мне плечи.
柔和	мягкий	Свет мягкий и не режет глаза.
儒家	конфуцианство; конфуцианский	Конфуцианская мысль повлияла на культуру Восточной Азии.
弱点	слабость; слабое место	Невнимательность - его главный недостаток.
若干	несколько; некоторое количество	На собрании выдвинули несколько предложений.
撒谎	лгать	Детям не следует лгать.
散文	проза; эссе	Она любит читать современную прозу.
散布	распространять	В интернете кто-то распространяет слухи.
散发	излучать; испускать	В саду распространялся свежий аромат.
丧失	утрачивать	Он не утратил уверенности.
骚扰	беспокоить; домогаться	Пожалуйста, не беспокойте других пассажиров.
嫂子	жена старшего брата; невестка	Еда, которую готовит невестка, очень вкусная.
刹车	тормозить; тормоз	Водитель внезапно затормозил.
啥	что	Что ты только что сказал?
筛选	отбирать; фильтровать	Система автоматически отберет резюме.
山脉	горная цепь	Эта горная цепь очень длинная.
闪烁	мерцать	Огни вдали непрерывно мерцали.
擅长	хорошо уметь; быть сильным в	Он хорошо умеет решать сложные проблемы.
擅自	самовольно	Сотрудникам нельзя самовольно покидать рабочее место.
伤脑筋	ломать голову	Эта проблема действительно заставляет ломать голову.
商标	товарный знак	Компания зарегистрировала новый товарный знак.
上级	начальство; вышестоящий	Он доложил ситуацию начальству.
上进	стремиться к росту	Она всегда стремится развиваться.
上任	вступать в должность	Новый менеджер вступит в должность на следующей неделе.
上瘾	пристраститься; зависимость	Многие люди пристрастились к коротким видео.
上游	верховье; верхнее течение	Загрязнение идет из верховья реки.
尚且	даже; тем более	Даже взрослые совершают ошибки.
捎	передать; захватить с собой	Пожалуйста, передай мне сообщение.
梢	верхушка; кончик	Птица сидела на верхушке дерева.
哨	караул; пост	У входа стоит один часовой.
奢侈	роскошный; расточительный	Такое потребление слишком расточительно.
舌头	язык	Он обжег язык.
摄氏度	градус Цельсия	Сегодня температура тридцать градусов Цельсия.
涉及	затрагивать; касаться	Отчет затрагивает несколько отделов.
社区	сообщество; район	Район организовал лекцию о здоровье.
设立	учреждать; создавать	Школа учредила стипендию.
设想	замысел; предположение	Этот замысел еще нужно обсудить.
设置	настраивать; устанавливать	Пожалуйста, заново установите пароль.
呻吟	стонать	Пациент тихо стонал.
深奥	глубокий; сложный	Содержание этой книги очень сложное.
深沉	глубокий; низкий	Его голос был низким и глубоким.
深情厚谊	глубокая дружба	Народы двух стран установили глубокую дружбу.
申报	декларировать; заявлять	Пассажирам нужно честно декларировать вещи.
绅士	джентльмен	Он ведет себя как джентльмен.
神经	нерв	Стресс влияет на нервную систему.
神奇	волшебный; чудесный	Пейзажи здесь по-настоящему чудесные.
神气	гордый; важный вид	Сегодня он выглядит особенно уверенно.
神圣	священный	Это священная обязанность.
神态	выражение; вид	Ее выражение было очень спокойным.
神仙	божество; бессмертный	По легенде в горах живут бессмертные.
审查	проверять; цензурировать	Платформа будет проверять опубликованный контент.
审理	рассматривать дело	Суд рассматривает это дело.
审美	эстетический вкус	У него очень своеобразный эстетический вкус.
审判	судебный процесс; судить	Открытый судебный процесс привлек внимание СМИ.
慎重	осторожный; осмотрительный	Это решение нужно принимать осторожно.
渗透	проникать; просачиваться	Дождевая вода медленно просачивается в почву.
声明	заявление	Компания выпустила официальное заявление.
声势	размах; мощь	Эта рекламная кампания имела большой размах.
声誉	репутация	Качество продукции влияет на репутацию бренда.
牲畜	скот	Пастухи погнали скот обратно на пастбище.
生存	выживать; существование	Диким животным нужно пространство для выживания.
生机	жизненная сила	Весенний дождь наполнил землю жизнью.
生理	физиология; физиологический	Сон влияет на физиологическое состояние человека.
生疏	непривычный; заржаветь в навыке	После многих лет без практики его игра на пианино стала немного неуверенной.
生态	экология	Защита лесов связана с экологическим равновесием.
生物	живое существо; биология	В океане много необычных живых существ.
生效	вступать в силу	Новое правило официально вступит в силу завтра.
生肖	китайский знак года	Какой у тебя знак по китайскому календарю?
生锈	ржаветь	Цепь велосипеда уже заржавела.
生育	рождение; репродукция	Больница предоставляет консультации по вопросам рождения детей.
省会	административный центр провинции	Чэнду с древних времен был административным центром Сычуани.
盛产	славиться производством	Здесь выращивают много качественного чая.
盛开	пышно цвести	Сакура в парке сейчас пышно цветет.
盛情	радушие; теплый прием	Мы благодарим хозяев за радушное угощение.
盛行	быть популярным; широко распространиться	Этот стиль одно время был очень популярен.
胜负	победа или поражение	Последняя минута матча решила исход.
失事	потерпеть аварию	Причина авиакатастрофы все еще расследуется.
失误	ошибка; промах	Небольшая ошибка привела к задержке проекта.
失踪	пропасть без вести	Полиция ищет пропавшего ребенка.
尸体	тело; труп	Спасательная группа обнаружила тела погибших.
师范	педагогический	Она окончила педагогический университет.
施加	оказывать; прикладывать	Родителям не следует оказывать слишком большое давление.
施展	проявить; применить	Наконец у него появилась возможность проявить талант.
十足	полный; стопроцентный	Он полностью уверен в результате.
实惠	выгодный; доступный	Цены в этом магазине очень выгодные.
实力	сила; потенциал	Общая сила команды очень высока.
实施	осуществлять; внедрять	Правительство начало внедрять новый план.
实事求是	исходить из фактов	В исследованиях нужно исходить из фактов.
实行	осуществлять; применять	Компания применяет гибкий график работы.
实质	суть; сущность	Суть проблемы не изменилась.
拾	подбирать	Он наклонился и поднял ключ с земли.
时常	часто; время от времени	Дедушка часто рассказывает о молодости.
时而	то один, то другой	Погода то ясная, то пасмурная.
时光	время; дни	Хорошее время всегда кажется коротким.
时机	момент; возможность	Сейчас не лучший момент для переговоров.
时事	текущие события	Студенты каждую неделю обсуждают международные события.
石油	нефть	Цены на нефть снова выросли.
识别	распознавать	Система умеет распознавать разные лица.
使命	миссия	Защита окружающей среды - наша общая миссия.
世代	поколение за поколением	Это ремесло передается в семье из поколения в поколение.
事故	авария; происшествие	В этой аварии никто не пострадал.
事迹	поступки; деяния	Его героические поступки широко известны.
事件	событие; инцидент	Этот инцидент привлек внимание общества.
事态	ситуация; ход событий	Правительство контролирует развитие ситуации.
事务	дела; обязанности	Она отвечает за повседневные дела компании.
事项	пункт; вопрос	Пожалуйста, подтвердите важные пункты договора.
事业	дело; карьера	Он считает образование делом всей жизни.
势必	неизбежно	Рост затрат неизбежно повлияет на цены.
势力	влияние; сила	Местные коммерческие силы очень влиятельны.
是非	споры; правота и неправота	Он не хочет ввязываться в офисные споры.
示范	показывать пример; демонстрация	Учитель сначала сделал один пример.
示威	демонстрация; протест	В центре города прошла мирная демонстрация.
示意	дать знак	Менеджер дал всем знак замолчать.
视力	зрение	Долгое смотрение в экран влияет на зрение.
视频	видео	Пожалуйста, отправь мне видео.
视线	линия взгляда; обзор	Густой туман закрыл водителю обзор.
视野	кругозор; поле зрения	Путешествия расширяют кругозор.
试图	пытаться	Он пытался объяснить свое решение.
试验	испытание; эксперимент	Ученые провели много экспериментов.
适宜	подходящий	Климат здесь подходит для жизни.
逝世	скончаться	Этот писатель скончался в прошлом году.
释放	освобождать; выпускать	Суд решил освободить обвиняемого.
