simplified	RO	example_RO
相似	asemănător	Sensurile acestor două caractere sunt foarte asemănătoare.
香肠	cârnat	La micul dejun sunt ouă și cârnați.
享受	a se bucura de	Ei se bucură de vacanță.
想念	a-i fi dor de	Mi-e foarte dor de familie.
想象	a-și imagina	Nu-mi pot imagina acel fel de viață.
象棋	șah chinezesc	Bunicului îi place să joace șah chinezesc.
象征	a simboliza	Albul simbolizează adesea puritatea.
项	un element; un clasificator	Această sarcină este foarte importantă.
项链	un colier	Ea poartă un colier de argint.
项目	un proiect	Acest proiect necesită trei luni.
消费	consum	Consumul a crescut în timpul sărbătorii.
消化	digestie	Plimbarea după masă ajută digestia.
消极	negativ	Nu privi problemele cu o atitudine negativă.
消失	a dispărea	Soarele a dispărut încet în spatele muntelui.
销售	a vinde	Această companie vinde produse electronice.
小麦	grâu	În nord se cultivă mult grâu.
小气	zgârcit	Nu fi atât de zgârcit.
孝顺	respectuos față de părinți	El este foarte respectuos față de părinții lui.
效率	eficiență	A face așa poate crește eficiența.
歇	a se odihni	Hai să ne odihnim puțin mai întâi.
斜	înclinat	Acest drum este puțin înclinat.
写作	scriere	Scrierea cere exercițiu pe termen lung.
心理	psihologic	Înainte de examen trebuie să îți ajustezi starea psihologică.
心脏	inimă	Sănătatea inimii este foarte importantă.
欣赏	a admira	Am admirat peisajul frumos.
信号	un semnal	Semnalul telefonului mobil este slab aici.
信任	încredere	Între prieteni este nevoie de încredere.
形成	a se forma	Obiceiurile bune trebuie să se formeze treptat.
形容	a descrie	Nu știu cum să descriu acest sentiment.
形势	o situație	Situația actuală este destul de complexă.
形式	o formă	Ședința poate avea loc în format online.
形象	o imagine	Imaginea lui publică este foarte bună.
形状	o formă	Forma acestei cutii este foarte specială.
行动	acțiune	Trebuie să acționăm imediat.
行人	pieton	Fiți atenți la pietoni când traversați strada.
行为	comportament	Acest tip de comportament este nepoliticos.
幸亏	din fericire	Din fericire, mi-ai amintit.
幸运	norocos	El a fost norocos să găsească un loc de muncă.
性质	natură; caracter	Natura acestei probleme este foarte gravă.
兄弟	frați	Cei doi frați au o relație bună.
胸	piept	El simte o apăsare în piept.
休闲	relaxare	Weekendul este un moment bun pentru relaxare.
修改	a modifica	Vă rog să modificați acest articol.
虚心	deschis la sugestii	Trebuie să ascultăm opiniile cu mintea deschisă.
叙述	a povesti	El a povestit clar ce s-a întâmplat.
宣布	a anunța	Școala a anunțat noile reguli.
宣传	a promova	Ei promovează cunoștințe despre protecția mediului.
学历	studii; nivel de educație	Acest loc de muncă cere studii de licență.
学术	academic	Această conferință discută probleme academice.
学问	cunoștințe; erudiție	El este foarte erudit.
血	sânge	Din mâna lui a curs puțin sânge.
寻找	a căuta	Căutăm o metodă nouă.
询问	a întreba	El l-a întrebat pe profesor despre ora examenului.
训练	antrenament; a se antrena	Sportivul se antrenează zilnic.
迅速	rapid	Vestea s-a răspândit rapid.
押金	o garanție	La închirierea unei locuințe trebuie plătită o garanție.
牙齿	dinți	Vă rog să aveți grijă de dinți în fiecare zi.
严肃	serios	Expresia profesorului este foarte serioasă.
延长	a prelungi	Ședința s-a prelungit cu o jumătate de oră.
演讲	un discurs	El pregătește discursul de mâine.
宴会	un banchet	Ei au participat la un banchet.
阳台	un balcon	Pe balcon sunt câteva ghivece cu flori.
痒	a mânca; mâncărime	Mă mănâncă puțin brațul.
样式	un stil; un model	Acest stil este foarte popular.
腰	talie; zona lombară	Dacă stai mult jos, te poate durea mijlocul.
摇	a scutura	Vântul scutura crengile înainte și înapoi.
咬	a mușca	Acest câine nu mușcă oamenii.
要不	altfel; ce-ar fi să	Ce-ar fi să mergem din nou mâine?
业务	activitate; afaceri	Activitatea companiei crește tot mai mult.
业余	timp liber	El studiază fotografia în timpul liber.
夜	noapte	Noaptea, strada este foarte liniștită.
依然	încă; ca înainte	El încă locuiește la Beijing.
一辈子	o viață întreagă	Ea a iubit muzica toată viața.
一旦	odată ce	Odată ce ai decis, trebuie să perseverezi.
一律	toți; fără excepție	În timpul ședinței, toate telefoanele trebuie închise.
一再	în repetate rânduri	El ne-a amintit în repetate rânduri să fim atenți la siguranță.
一致	unanim; consecvent	Opiniile tuturor sunt complet unanime.
疑问	o întrebare; o îndoială	Am o îndoială în legătură cu acest răspuns.
移动	a muta	Vă rog să mutați puțin masa.
移民	a emigra	Ei plănuiesc să emigreze în străinătate.
遗憾	regret	Regret că nu am putut să te văd.
乙	partea B	În contract, partea B este responsabilă de plată.
以及	precum și	Am cumpărat cărți, precum și articole de papetărie.
以来	de când; din momentul	De când a absolvit, el lucrează mereu la Beijing.
义务	o obligație	Protejarea mediului este obligația fiecăruia.
亿	o sută de milioane	Țara aceasta are o populație de peste un miliard.
意外	neașteptat; accident	Întârzierea de data aceasta a fost complet neașteptată.
意义	semnificație	Această activitate are multă semnificație.
议论	a discuta; a comenta	Toată lumea discută această chestiune.
因而	prin urmare	El învață cu sârguință, prin urmare are note bune.
因素	un factor	Vremea este un factor important.
银	argint	Ea poartă o brățară de argint.
印刷	tipărire; a tipări	Această carte este tipărită foarte clar.
英俊	chipeș	El arată foarte chipeș.
英雄	un erou	Pompierii sunt adevărați eroi.
营养	nutriție	Micul dejun trebuie să aibă suficientă valoare nutritivă.
营业	a fi deschis; a funcționa	Acest magazin începe programul la ora nouă.
迎接	a întâmpina	Am mers la aeroport să întâmpinăm oaspeții.
影子	o umbră	Sub felinar se vede umbra lui.
应付	a face față	El poate face față acestei probleme.
应用	a aplica	Această metodă poate fi aplicată în predare.
硬	tare	Acest scaun este prea tare.
硬件	hardware	Acest computer are hardware bun.
拥抱	a îmbrățișa	Copilul a alergat să o îmbrățișeze pe mama.
拥挤	aglomerat	Metroul este foarte aglomerat la ora de vârf de dimineață.
勇气	curaj	El are curajul să recunoască greșeala.
用功	a învăța cu sârguință	Ea învață foarte sârguincios.
用途	utilizare	Acest material are multe utilizări.
优惠	reducere	Acest magazin are reduceri astăzi.
优美	frumos; elegant	Mediul de aici este foarte frumos.
优势	un avantaj	Avantajul lui este experiența bogată.
悠久	îndelungat	China are o istorie îndelungată.
油炸	prăjit în ulei	Mănânc rar alimente prăjite în ulei.
游览	a vizita; a face turul	Mâine vom vizita Orașul Interzis.
犹豫	a ezita	El a ezitat o vreme înainte să răspundă.
有利	favorabil	Această condiție ne este favorabilă.
幼儿园	grădiniță	Copilul va merge la grădiniță anul viitor.
娱乐	divertisment	A vedea filme este o formă de divertisment.
与其	mai degrabă decât	În loc să te plângi, mai bine acționezi.
语气	ton	Tonul cu care vorbește este foarte blând.
玉米	porumb	La cină este supă de porumb.
预报	prognoză	Prognoza meteo spune că mâine va ploua.
预订	a rezerva	Am rezervat deja hotelul.
预防	a preveni	Spălatul frecvent pe mâini poate preveni răceala.
元旦	Anul Nou	De Anul Nou avem o zi liberă.
原料	materie primă	Principala materie primă a pâinii este făina.
原则	un principiu	Un om trebuie să aibă principii.
员工	un angajat	Compania are trei sute de angajați.
圆	rotund	Luna este mare și rotundă.
愿望	o dorință	Dorința lui este să călătorească în jurul lumii.
乐器	un instrument muzical	Ea știe să cânte la mai multe instrumente muzicale.
晕	amețit	Când merg cu vaporul, mă simt puțin amețit.
运气	noroc	Astăzi am noroc bun.
运输	transport	Aceste mărfuri au nevoie de transport feroviar.
运用	a folosi	Vă rog să folosiți flexibil aceste cuvinte.
灾害	un dezastru	Inundația este un dezastru natural.
再三	în repetate rânduri	Profesorul ne-a amintit în repetate rânduri să recapitulăm.
在乎	a-i păsa de	Lui îi pasă mult de părerile prietenilor.
在于	a consta în	Succesul constă în perseverență.
赞成	a fi de acord cu	Sunt de acord cu sugestia ta.
赞美	a lăuda	Toată lumea i-a lăudat curajul.
糟糕	groaznic	Vremea de astăzi este chiar groaznică.
造成	a provoca	Ploaia puternică a provocat ambuteiaje.
则	atunci; în acest caz	Dacă muncești din greu, atunci vei progresa.
责备	a învinovăți	Profesorul nu l-a învinovățit.
摘	a culege	Ea a cules o floare din grădină.
窄	îngust	Acest drum este prea îngust.
粘贴	a lipi	Vă rog să lipiți fotografia aici.
展开	a începe; a desfășura	Discuția a început repede.
展览	o expoziție	Muzeul are o expoziție nouă.
占	a ocupa	Această masă ocupă spațiu.
战争	război	Războiul aduce suferință oamenilor.
掌握	a stăpâni	El stăpânește deja gramatica de bază.
涨	a crește	Chiria a crescut din nou recent.
长辈	vârstnici; persoane mai în vârstă	De Anul Nou trebuie să îi saluți pe cei mai în vârstă.
账户	un cont	Vă rog să vă verificați contul bancar.
招待	a primi; a ospăta	Gazda i-a primit călduros pe oaspeți.
着火	a lua foc	Bucătăria a luat foc brusc.
着凉	a răci	S-a făcut frig, nu răci.
召开	a ține o ședință	Școala va ține mâine o ședință.
照常	ca de obicei	Magazinul va fi deschis mâine ca de obicei.
哲学	filosofie	La universitate, el a studiat filosofia.
珍惜	a prețui	Trebuie să prețuim timpul.
真实	adevărat	Această poveste este adevărată.
针对	a viza	Această sugestie îi vizează pe studenții noi.
诊断	diagnostic	Doctorul a pus rapid un diagnostic.
振动	a vibra	Telefonul vibrează pe masă.
阵	un val; o aversă	Afară a căzut o scurtă aversă.
争论	a se certa; a dezbate	Ei s-au certat mult timp pe această problemă.
争取	a se strădui să obțină	Trebuie să ne străduim să obținem mai multe oportunități.
征求	a cere; a solicita	Profesorul a cerut opiniile tuturor.
挣	a se elibera; a câștiga	Pasărea s-a eliberat din funie.
睁	a deschide ochii	Vă rog să deschideți ochii puțin mai larg.
整个	întreg	Întregul oraș este foarte liniștit.
整齐	ordonat	Cărțile sunt așezate foarte ordonat.
整体	ansamblu; general	Trebuie să luăm în considerare efectul general.
政府	guvern	Guvernul a emis o nouă notificare.
政治	politică	El este foarte interesat de politică.
正	corect	Acest răspuns este corect.
证件	document de identitate	Vă rog să prezentați documentul de identitate.
证据	dovadă	Poliția a găsit o dovadă nouă.
支	un clasificator pentru obiecte lungi și subțiri	Pe masă este un pix.
支票	un cec	El a plătit cu cecul.
执照	permis; licență	Pentru a conduce este nevoie de permis de conducere.
直	drept; direct	Mergeți drept înainte pe acest drum.
指导	a îndruma	Profesorul ne-a îndrumat la scrierea lucrării.
指挥	a conduce; a coordona	El este responsabil să coordoneze această acțiune.
制定	a formula; a stabili	Compania a formulat un plan nou.
制度	un sistem; o regulă	Școala are un sistem strict.
制造	a fabrica	Această fabrică produce mașini.
制作	a face; a prepara	Ea pregătește un tort de ziua de naștere.
志愿者	un voluntar	Mulți voluntari au participat la activitate.
智慧	înțelepciune	Acest vârstnic are multă înțelepciune.
治疗	a trata	Doctorul tratează pacientul.
秩序	ordine	Vă rog să păstrați ordinea.
至今	până astăzi	Această problemă nu a fost rezolvată până astăzi.
至于	cât despre	Cât despre costuri, vom discuta mâine.
中介	agenție; intermediar	El a închiriat apartamentul printr-o agenție.
中心	centru	Spitalul este în centrul orașului.
中旬	la mijlocul lunii	Ședința este programată la mijlocul lunii mai.
种类	tipuri; feluri	Aici sunt multe feluri de fructe.
重大	major	Aceasta este o decizie majoră.
重量	greutate	Care este greutatea acestei cutii?
周到	atent; grijuliu	Serviciul lui este foarte atent.
猪	un porc	La fermă se cresc mulți porci.
竹子	bambus	Pandelor le place să mănânce bambus.
逐步	pas cu pas	Planul va fi implementat pas cu pas.
逐渐	treptat	Vremea a devenit treptat mai rece.
主持	a conduce; a prezida	Ea conduce ședința de astăzi.
主动	din proprie inițiativă	El și-a ajutat colegul din proprie inițiativă.
主观	subiectiv	Această evaluare este puțin subiectivă.
主人	gazdă	Gazda ne-a întâmpinat călduros.
主任	director; șef	Directorul este în birou.
主题	temă	Tema discuției de astăzi este protecția mediului.
主席	președinte	Președintele a anunțat începutul ședinței.
主张	a susține	El susține să rezolvăm mai întâi problema traficului.
煮	a găti; a fierbe	Mama gătește tăiței.
注册	a se înregistra	Utilizatorii noi trebuie mai întâi să se înregistreze.
祝福	urări	Prietenii au trimis urări.
抓	a apuca	Copilul a apucat mâna mamei.
抓紧	a folosi bine; a se grăbi	Trebuie să folosim bine timpul.
专家	un expert	Expertul a oferit sugestii.
专心	concentrat	La curs trebuie să asculți concentrat.
转变	o schimbare; a se schimba	Atitudinea lui s-a schimbat.
转告	a transmite	Vă rog să îi transmiteți că mâine este ședință.
装	a pune în; a încărca	Vă rog să puneți cărțile în geantă.
装饰	a decora	Ei au decorat camera cu flori.
装修	a renova	Casa nouă este în renovare.
撞	a se ciocni	Două mașini s-au ciocnit la intersecție.
状况	situație	Situația actuală este destul de stabilă.
状态	stare	El este într-o stare bună astăzi.
追	a urmări	Copilul aleargă după cățel.
追求	a urmări; a căuta	El și-a urmărit mereu visul.
咨询	a consulta	Poți consulta un medic specialist.
姿势	postură	Vă rog să păstrați postura corectă.
资格	calificare; drept	El are dreptul să participe la competiție.
资金	fonduri	Proiectul are nevoie de mai multe fonduri.
资料	materiale	Vă rog să îmi trimiteți materialele.
资源	resurse	Apa este o resursă naturală importantă.
紫	mov	Ei îi place culoarea mov.
字母	o literă	Engleza are douăzeci și șase de litere.
字幕	subtitrări	Acest film are subtitrări în chineză.
自从	de când	De când a absolvit, el se întoarce rar.
自动	automat	Această ușă se deschide automat.
自豪	mândrie; mândru	Sunt mândru de progresul meu.
自觉	din proprie inițiativă	El și-a făcut tema din proprie inițiativă.
自私	egoist	Un om nu trebuie să fie prea egoist.
自由	libertate	Fiecare om prețuiește libertatea.
自愿	voluntar	Ei au participat voluntar la activitate.
综合	a lua în ansamblu	Trebuie să luăm în considerare toți factorii în ansamblu.
总裁	director general; CEO	Directorul general a ținut astăzi un discurs.
总共	în total	Această călătorie a costat în total trei mii de yuani.
总理	prim-ministru	Prim-ministrul a participat la ședință.
总算	în sfârșit	Problema s-a rezolvat în sfârșit.
总统	președinte	Președintele a ținut un discurs televizat.
总之	pe scurt	Pe scurt, trebuie să terminăm la timp.
组	grup	Profesorul ne-a împărțit în trei grupuri.
组成	a fi compus din	Apa este compusă din hidrogen și oxigen.
组合	o combinație	Această combinație de culori arată bine.
组织	a organiza	Școala a organizat o excursie.
阻止	a opri	Poliția a oprit comportamentul periculos.
最初	la început	La început, nu am înțeles prea bine.
醉	beat	El a băut prea mult și este puțin beat.
尊敬	a respecta	Toți elevii îl respectă pe profesor.
遵守	a respecta	Trebuie să respectăm regulile de circulație.
作品	o lucrare	Acest tablou este lucrarea lui.
作为	ca; în calitate de	Ca profesor, el are multă răbdare.
作文	o compunere	Profesorul ne-a cerut să scriem o compunere.
