simplified	ES	example_ES
握手	darse la mano	Se dieron la mano al encontrarse.
屋子	la habitación; la casa	La habitación está cálida.
无奈	impotente; sin remedio	Él negó con la cabeza impotente.
无数	innumerable; incontable	Hay innumerables estrellas en el cielo nocturno.
无所谓	no importar	No importa qué quieras comer.
武术	las artes marciales	Él estudia artes marciales desde pequeño.
勿	no; prohibido	Por favor, no fume aquí.
物理	la física	La clase de física es muy interesante.
物质	la sustancia; la materia	El agua es una sustancia importante.
雾	la niebla	Por la mañana había una niebla espesa.
吸取	aprender de; extraer	Debemos aprender de esta lección.
吸收	absorber	Las plantas absorben agua.
戏剧	el teatro; el drama	A él le gusta ver teatro tradicional.
系	el departamento; la facultad	Ella estudia en el departamento de chino.
系统	el sistema	Este sistema funciona de manera estable.
细节	el detalle	Por favor, presta atención a estos detalles.
瞎	a ciegas; sin fundamento	No adivines a ciegas; mira primero los materiales.
下载	descargar	Descargué este software.
吓	asustar	El sonido repentino me dio un susto.
夏令营	el campamento de verano	El niño participó en un campamento de verano de chino.
鲜艳	vivo; brillante	El color de esta falda es muy vivo.
显得	parecer; hacer parecer	Esta ropa lo hace parecer muy joven.
显然	obviamente; evidente	Obviamente, él ya conoce el resultado.
显示	mostrar	La pantalla muestra una hora incorrecta.
县	el condado; el distrito	Este condado tiene muchas plantaciones de té.
现代	moderno; la época moderna	La vida moderna no puede separarse de internet.
现实	la realidad	Debemos afrontar la realidad.
现象	el fenómeno	Este fenómeno es muy común.
限制	limitar; restringir	Aquí está restringida la entrada de vehículos.
相处	llevarse bien	Ellos se llevan muy bien.
相当	bastante; equivalente a	Este libro es bastante interesante.
相对	relativamente	Los precios aquí son relativamente baratos.
相关	relacionado; pertinente	Por favor, proporciona los materiales pertinentes.
相似	parecido; similar	Los significados de estos dos caracteres son muy similares.
香肠	la salchicha	En el desayuno hay huevos y salchicha.
享受	disfrutar	Ellos están disfrutando de las vacaciones.
想念	echar de menos	Echo mucho de menos a mi familia.
想象	imaginar	No puedo imaginar esa clase de vida.
象棋	el ajedrez chino	Al abuelo le gusta jugar al ajedrez chino.
象征	simbolizar; el símbolo	El blanco suele simbolizar la pureza.
项	el punto; el ítem	Esta tarea es muy importante.
项链	el collar	Ella lleva un collar de plata.
项目	el proyecto	Este proyecto requiere tres meses.
消费	el consumo; consumir	El consumo aumentó durante las fiestas.
消化	la digestión; digerir	Pasear después de comer ayuda a la digestión.
消极	negativo; pasivo	No mires los problemas con una actitud negativa.
消失	desaparecer	El sol desapareció lentamente detrás de la montaña.
销售	vender; las ventas	Esta empresa vende productos electrónicos.
小麦	el trigo	En el norte se cultiva mucho trigo.
小气	tacaño	No seas tan tacaño.
孝顺	filial; respetuoso con los padres	Él es muy respetuoso con sus padres.
效率	la eficiencia	Hacerlo así puede mejorar la eficiencia.
歇	descansar; hacer una pausa	Descansemos un rato primero.
斜	inclinado; torcido	Esta carretera está un poco inclinada.
写作	la escritura; escribir	Escribir requiere práctica a largo plazo.
心理	psicológico; mental	Antes del examen hay que ajustar el estado mental.
心脏	el corazón	La salud del corazón es muy importante.
欣赏	apreciar; admirar	Admiramos el hermoso paisaje.
信号	la señal	La señal del móvil aquí es mala.
信任	la confianza; confiar	Entre amigos hace falta confianza.
形成	formarse	Los buenos hábitos deben formarse poco a poco.
形容	describir	No sé cómo describir esta sensación.
形势	la situación; las circunstancias	La situación actual es bastante compleja.
形式	la forma; el formato	La reunión puede adoptar un formato en línea.
形象	la imagen	Su imagen pública es muy buena.
形状	la forma	La forma de esta caja es muy especial.
行动	la acción; actuar	Tenemos que actuar de inmediato.
行人	el peatón	Al cruzar la calle hay que prestar atención a los peatones.
行为	el comportamiento	Este tipo de comportamiento es descortés.
幸亏	por suerte	Por suerte, me lo recordaste.
幸运	afortunado; la suerte	Tuvo la suerte de encontrar trabajo.
性质	la naturaleza; el carácter	La naturaleza de este problema es muy grave.
兄弟	los hermanos	Los dos hermanos tienen una buena relación.
胸	el pecho	Siente un poco de opresión en el pecho.
休闲	el ocio; la relajación	El fin de semana es un buen momento para el ocio.
修改	modificar; corregir	Por favor, corrige este artículo.
虚心	modesto; receptivo	Debemos escuchar las opiniones con una actitud receptiva.
叙述	narrar; relatar	Él relató claramente lo ocurrido.
宣布	anunciar	La escuela anunció las nuevas normas.
宣传	promocionar; divulgar	Ellos están divulgando conocimientos sobre protección ambiental.
学历	la formación académica; la titulación	Este trabajo exige una titulación universitaria.
学术	académico	Esta reunión trata asuntos académicos.
学问	el conocimiento; la erudición	Él tiene muchos conocimientos.
血	la sangre	Le salió un poco de sangre de la mano.
寻找	buscar	Estamos buscando un método nuevo.
询问	preguntar; consultar	Él preguntó al profesor la hora del examen.
训练	entrenar; el entrenamiento	El deportista entrena todos los días.
迅速	rápido; rápidamente	La noticia se difundió rápidamente.
押金	la fianza; el depósito	Para alquilar una vivienda hay que pagar una fianza.
牙齿	los dientes	Por favor, cuida bien tus dientes todos los días.
严肃	serio	La expresión del profesor era muy seria.
延长	prolongar; extender	La reunión se prolongó media hora.
演讲	el discurso; dar un discurso	Él prepara el discurso de mañana.
宴会	el banquete	Ellos asistieron a un banquete.
阳台	el balcón	Hay varias macetas con flores en el balcón.
痒	picar; tener picor	Me pica un poco el brazo.
样式	el estilo; el modelo	Este estilo es muy popular.
腰	la cintura; la zona lumbar	Después de estar sentado mucho tiempo puede doler la zona lumbar.
摇	sacudir; balancear	El viento sacudía las ramas de un lado a otro.
咬	morder	Este perro no muerde a la gente.
要不	o si no; qué tal si	¿Qué tal si vamos mañana?
业务	el negocio; la actividad profesional	Los negocios de la empresa crecen cada vez más.
业余	en el tiempo libre; amateur	Él estudia fotografía en su tiempo libre.
夜	la noche	La calle está muy tranquila por la noche.
依然	todavía; aún	Él todavía vive en Pekín.
一辈子	toda la vida	Ella amó la música toda su vida.
一旦	una vez que	Una vez que lo decidas, debes perseverar.
一律	todos sin excepción; uniformemente	Durante la reunión todos los móviles deben estar apagados.
一再	repetidamente	Él nos recordó repetidamente que prestáramos atención a la seguridad.
一致	unánime; coherente	Las opiniones de todos son completamente coincidentes.
疑问	la duda; la pregunta	Tengo una duda sobre esta respuesta.
移动	mover	Por favor, mueve un poco la mesa.
移民	emigrar; inmigrar	Ellos planean emigrar al extranjero.
遗憾	lamentar; la pena	Lamento no haber podido verte.
乙	parte B; segundo	En el contrato, la parte B es responsable del pago.
以及	así como; y	Compré libros, así como material escolar.
以来	desde	Desde que se graduó, ha trabajado siempre en Pekín.
义务	el deber; la obligación	Proteger el medio ambiente es deber de todos.
亿	cien millones	Este país tiene más de mil millones de habitantes.
意外	inesperado; el accidente	Llegar tarde esta vez fue completamente inesperado.
意义	el significado; la importancia	Esta actividad tiene mucho significado.
议论	comentar; discutir	Todos están comentando este asunto.
因而	por lo tanto; así que	Él estudia con esfuerzo, por lo tanto sus notas son buenas.
因素	el factor	El clima es un factor importante.
银	la plata	Ella lleva una pulsera de plata.
印刷	imprimir; la impresión	Este libro está impreso con mucha claridad.
英俊	guapo	Él es muy guapo.
英雄	el héroe	Los bomberos son verdaderos héroes.
营养	la nutrición	El desayuno debe tener suficiente nutrición.
营业	abrir al público; estar en servicio	Esta tienda abre al público a las nueve.
迎接	recibir; dar la bienvenida	Fuimos al aeropuerto a recibir a los invitados.
影子	la sombra	Su sombra está bajo la farola.
应付	afrontar; arreglárselas	Él puede afrontar este problema.
应用	aplicar; la aplicación	Este método puede aplicarse a la enseñanza.
硬	duro; rígido	Esta silla es demasiado dura.
硬件	el hardware	Este ordenador tiene buen hardware.
拥抱	abrazar	El niño corrió a abrazar a mamá.
拥挤	estar lleno; abarrotado	El metro está muy abarrotado en la hora punta de la mañana.
勇气	el valor; el coraje	Él tiene el valor de admitir su error.
用功	estudiar con esfuerzo	Ella estudia con mucho esfuerzo.
用途	el uso; la aplicación	Este material tiene muchos usos.
优惠	el descuento; favorable	Esta tienda tiene descuentos hoy.
优美	bello; elegante	El entorno aquí es muy bello.
优势	la ventaja	Su ventaja es tener mucha experiencia.
悠久	largo; de larga historia	China tiene una larga historia.
油炸	frito; freír en aceite	Como alimentos fritos muy rara vez.
游览	visitar; recorrer	Mañana visitaremos la Ciudad Prohibida.
犹豫	dudar; vacilar	Él dudó un rato antes de responder.
有利	favorable; ventajoso	Esta condición es favorable para nosotros.
幼儿园	la guardería; el jardín de infancia	El niño irá a la guardería el año que viene.
娱乐	el entretenimiento	Ver películas es una forma de entretenimiento.
与其	en vez de; más vale que	En vez de quejarse, es mejor actuar.
语气	el tono	Su tono al hablar es muy suave.
玉米	el maíz	Para la cena hay sopa de maíz.
预报	el pronóstico; la previsión	El pronóstico del tiempo dice que mañana lloverá.
预订	reservar	Ya he reservado el hotel.
预防	prevenir	Lavarse las manos a menudo puede prevenir los resfriados.
元旦	el Año Nuevo	En Año Nuevo tenemos un día libre.
原料	la materia prima	La principal materia prima del pan es la harina.
原则	el principio	Una persona debe tener principios.
员工	el empleado; el personal	La empresa tiene trescientos empleados.
圆	redondo; el círculo	La luna está grande y redonda.
愿望	el deseo	Su deseo es viajar por todo el mundo.
乐器	el instrumento musical	Ella sabe tocar varios instrumentos musicales.
晕	mareado	Me mareo un poco al viajar en barco.
运气	la suerte	Hoy tengo buena suerte.
运输	el transporte	Estas mercancías necesitan transporte ferroviario.
运用	usar; aplicar	Por favor, usa estas palabras con flexibilidad.
灾害	el desastre	La inundación es un desastre natural.
再三	repetidamente	El profesor nos recordó repetidamente que repasáramos.
在乎	importar; preocuparse por	A él le importan mucho las opiniones de sus amigos.
在于	estar en; radicar en	El éxito radica en la perseverancia.
赞成	estar de acuerdo; aprobar	Estoy de acuerdo con tu sugerencia.
赞美	alabar; elogiar	Todos elogiaron su valentía.
糟糕	terrible; fatal	El tiempo de hoy es realmente terrible.
造成	causar; provocar	La fuerte lluvia causó un atasco.
则	entonces; en ese caso	Si uno se esfuerza, habrá progreso.
责备	culpar; reprochar	El profesor no lo culpó.
摘	recoger; cortar	Ella recogió una flor en el jardín.
窄	estrecho	Esta carretera es demasiado estrecha.
粘贴	pegar	Por favor, pega la foto aquí.
展开	desarrollarse; comenzar	La discusión empezó rápidamente.
展览	la exposición; exhibir	El museo tiene una nueva exposición.
占	ocupar	Esta mesa ocupa espacio.
战争	la guerra	La guerra trae sufrimiento al pueblo.
掌握	dominar; controlar	Él ya domina la gramática básica.
涨	subir	Últimamente el alquiler ha vuelto a subir.
长辈	los mayores; los ancianos	Durante el Año Nuevo hay que saludar a los mayores.
账户	la cuenta	Por favor, revisa tu cuenta bancaria.
招待	recibir; atender	El anfitrión recibió cálidamente a los invitados.
着火	incendiarse; prenderse fuego	La cocina se incendió de repente.
着凉	resfriarse	Hace frío, no te resfríes.
召开	convocar; celebrar	La escuela celebrará una reunión mañana.
照常	como de costumbre	La tienda abrirá mañana como de costumbre.
哲学	la filosofía	En la universidad estudió filosofía.
珍惜	valorar; apreciar	Debemos valorar el tiempo.
真实	real; verdadero	Esta historia es real.
针对	dirigido a; orientado a	Esta sugerencia está dirigida a los estudiantes nuevos.
诊断	el diagnóstico; diagnosticar	El médico hizo rápidamente un diagnóstico.
振动	vibrar; la vibración	El móvil vibra sobre la mesa.
阵	clasificador para ráfagas o episodios	Afuera cayó un chaparrón breve.
争论	debatir; discutir	Ellos discutieron mucho tiempo sobre este problema.
争取	esforzarse por conseguir; luchar por	Debemos esforzarnos por conseguir más oportunidades.
征求	pedir; solicitar	El profesor pidió la opinión de todos.
挣	librarse; esforzarse por conseguir	El pajarito se liberó de la cuerda.
睁	abrir los ojos	Por favor, abre los ojos un poco más.
整个	todo; entero	Toda la ciudad está muy tranquila.
整齐	ordenado; pulcro	Los libros están colocados muy ordenadamente.
整体	el conjunto; general	Debemos considerar el efecto general.
政府	el gobierno	El gobierno publicó un nuevo aviso.
政治	la política	A él le interesa mucho la política.
正	correcto; justo	Esta respuesta es correcta.
证件	el documento; la identificación	Por favor, muestra tu documento de identidad.
证据	la prueba; la evidencia	La policía encontró nuevas pruebas.
支	clasificador para objetos alargados	Hay un bolígrafo sobre la mesa.
支票	el cheque	Él pagó con cheque.
执照	la licencia; el permiso	Para conducir se necesita una licencia de conducir.
直	recto; directamente	Sigue recto por esta carretera.
指导	guiar; orientar	El profesor nos orientó al escribir el trabajo.
指挥	dirigir; mandar	Él es responsable de dirigir esta operación.
制定	elaborar; formular	La empresa elaboró un nuevo plan.
制度	el sistema; la institución	La escuela tiene un sistema estricto.
制造	fabricar	Esta fábrica fabrica máquinas.
制作	hacer; elaborar	Ella está haciendo una tarta de cumpleaños.
志愿者	el voluntario	Muchos voluntarios participaron en el evento.
智慧	la sabiduría	Este anciano tiene mucha sabiduría.
治疗	tratar; el tratamiento	El médico está tratando al paciente.
秩序	el orden	Por favor, mantengan el orden.
至今	hasta hoy; hasta ahora	Este problema no se ha resuelto hasta hoy.
至于	en cuanto a	En cuanto al coste, lo hablaremos mañana.
中介	la agencia; el intermediario	Él alquiló el piso a través de una agencia.
中心	el centro	El hospital está en el centro de la ciudad.
中旬	a mediados de mes	La reunión está programada para mediados de mayo.
种类	el tipo; la clase	Aquí hay muchos tipos de fruta.
重大	importante; de gran importancia	Esta es una decisión importante.
重量	el peso	¿Cuál es el peso de esta caja?
周到	atento; considerado	Su servicio es muy atento.
猪	el cerdo	En la granja crían muchos cerdos.
竹子	el bambú	A los pandas les gusta comer bambú.
逐步	paso a paso; gradualmente	El plan se aplicará paso a paso.
逐渐	gradualmente	El tiempo se fue enfriando gradualmente.
主持	presidir; presentar	Ella preside la reunión de hoy.
主动	tomar la iniciativa; activo	Él tomó la iniciativa de ayudar a su compañero.
主观	subjetivo	Esta valoración es un poco subjetiva.
主人	el anfitrión; el dueño	El anfitrión nos dio una cálida bienvenida.
主任	el director; la directora	El director está en la oficina.
主题	el tema	El tema de la discusión de hoy es la protección ambiental.
主席	el presidente; la presidenta	El presidente anunció el comienzo de la reunión.
主张	defender; sostener una opinión	Él defiende resolver primero el problema del tráfico.
煮	cocer; hervir	Mamá está cociendo fideos.
注册	registrarse	Los usuarios nuevos deben registrarse primero.
祝福	los buenos deseos; la bendición	Los amigos enviaron sus buenos deseos.
抓	agarrar; atrapar	El niño agarró la mano de mamá.
抓紧	aprovechar bien; apretar	Debemos aprovechar bien el tiempo.
专家	el experto; la experta	El experto hizo sugerencias.
专心	concentrarse; atento	En clase hay que escuchar con atención.
转变	el cambio; cambiar	Su actitud cambió.
转告	transmitir; avisar	Por favor, dile que mañana hay una reunión.
装	meter; cargar	Por favor, mete los libros en la mochila.
装饰	decorar; la decoración	Ellos decoraron la habitación con flores.
装修	renovar; reformar	La casa nueva está siendo reformada.
撞	chocar; golpear	Dos coches chocaron en el cruce.
状况	la situación; el estado	La situación actual es bastante estable.
状态	el estado	Hoy él está en muy buen estado.
追	perseguir	El niño persigue al cachorro por detrás.
追求	perseguir; buscar	Él siempre ha perseguido su sueño.
咨询	consultar; la consulta	Puedes consultar a un médico profesional.
姿势	la postura	Por favor, mantén la postura correcta.
资格	la cualificación; el derecho	Él tiene derecho a participar en la competición.
资金	los fondos; el capital	El proyecto necesita más fondos.
资料	los materiales; los datos	Por favor, envíame los materiales.
资源	los recursos	El agua es un recurso natural importante.
紫	morado; púrpura	A ella le gusta el color morado.
字母	la letra	El inglés tiene veintiséis letras.
字幕	los subtítulos	Esta película tiene subtítulos en chino.
自从	desde que	Desde que se graduó, rara vez vuelve.
自动	automático; automáticamente	Esta puerta se abre automáticamente.
自豪	sentirse orgulloso	Me siento orgulloso de mi progreso.
自觉	consciente; por iniciativa propia	Él terminó los deberes por iniciativa propia.
自私	egoísta	Una persona no debe ser demasiado egoísta.
自由	la libertad	Todos valoran la libertad.
自愿	voluntario; voluntariamente	Ellos participaron voluntariamente en la actividad.
综合	integrar; considerar en conjunto	Debemos considerar en conjunto todos los factores.
总裁	el director general; el CEO	El director general dio un discurso hoy.
总共	en total	Este viaje costó tres mil yuanes en total.
总理	el primer ministro	El primer ministro asistió a la reunión.
总算	por fin	El problema por fin se resolvió.
总统	el presidente	El presidente pronunció un discurso televisado.
总之	en resumen	En resumen, debemos terminar a tiempo.
组	el grupo	El profesor nos dividió en tres grupos.
组成	componerse de; formar	El agua está compuesta de hidrógeno y oxígeno.
组合	la combinación	Esta combinación de colores queda muy bien.
组织	organizar; la organización	La escuela organizó un viaje.
阻止	impedir; detener	La policía detuvo la conducta peligrosa.
最初	al principio	Al principio no lo entendía muy bien.
醉	borracho	Él bebió demasiado y está un poco borracho.
尊敬	respetar	Los estudiantes respetan mucho al profesor.
遵守	cumplir; respetar	Debemos respetar las normas de tráfico.
作品	la obra	Este cuadro es su obra.
作为	como; en calidad de	Como profesor, él tiene mucha paciencia.
作文	la redacción; escribir una redacción	El profesor nos pidió escribir una redacción.
